ParlaMint-BG_2022-03-24.u1	Honourable colleagues, please register. Colleagues online: Eva Miteva?
ParlaMint-BG_2022-03-24.u136	Thank you, Professor Tonev. Let us now hear the report of the Committee on Constitutional and Legal Affairs. I thought we'd finish the reports and then give the break after the break and start with the discussion. Here you go, Mr. Mateev.
ParlaMint-BG_2022-03-24.u137	Honourable Members of the National Assembly: ♪ I can't believe for the first vote on the Draft Law amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Tsoneva Guncheva and a group of MPs on 10 December 2021. At its regular meetings held on 2 and 9 March 2022, the Committee on Constitutional and Legal Affairs discussed the Draft Law amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Tsoneva Guncheva and a group of MPs on 10 December 2021. The meeting was attended by the Ministry of Health Mr. Iliya Tasev, Director of the Public Health and Health Control Directorate. On behalf of the importers, the bill was presented by the National Representative Elena Guncheva, who pointed out that in relation to the declared pandemic of COVID-19 legislative changes to the Health Act were introduced, which delegated extraordinary powers to the Council of Ministers to announce an exceptional epidemic situation and to the Minister of Health to impose temporary anti-epidemic measures. She added that the orders of the Minister of Health create unequal treatment of citizens and restrict their civil rights, such as the right to work, the right to education and the right to access public facilities. The draft amended the terms and conditions for declaring an exceptional epidemic situation, proposing the decision to be taken by the National Assembly instead of the Council of Ministers, and changing the deadlines, conditions and rules for imposing temporary anti-epidemic measures. The draft law aims to regulate at the legal level the voluntary nature of vaccination against COVID-19 and to specify the powers of the health minister to dispose of temporary anti-epidemic measures, allowing the use of immunization preparations only with fully studied medical products that have passed the standard conditions and requirements for their testing. An exception to the vaccination obligation is envisaged when medical contraindications or religious reasons are present and, as regards immunization against COVID-19, a ban on the disposal of temporary anti-epidemic measures which may lead to restriction of access to education, labour or public places is proposed. The administrative criminal liability for breach or non-compliance with anti-epidemic measures is proposed and reduced time limits for appeal of the Minister of Health's orders are laid down and the grounds for suspension of the preliminary implementation are also set out. The draft law also provides for the free provision of personal protective equipment and means of disinfection to citizens when temporary anti-epidemic measures are announced. The representative of the Ministry of Health pointed out that the Ministry did not support the proposed bill. Mr. Tasev clarified that all vaccines offered in the country are authorised for use under the Law on Medicinal Products in Human Medicine or Regulation No 726/2004 and vaccination is voluntary. On the occasion of the powers of the Council of Ministers to declare an exceptional epidemic situation, the Minister of Health should issue provisional measures, as well as the proposed restrictions on the temporary anti-epidemic measures, he added that these rights, obligations and powers were the subject of an analysis by the Constitutional Court of the Republic of Bulgaria, which, by Decision No 10 in Constitutional Case No 7 of 2020, pronounced and accepted that the provisions of the Health Act comply with the Constitution of the Republic of Bulgaria. Mr. Tasev added that state intervention to restrict citizens' rights under the current provision of art. 63 is proportionate and proportionate to the objective pursued, which is to protect the lives and health of citizens. In the discussion of the bill took part the MPs Iva Miteva and Milen Mateev. Mrs. Miteva said that from the parliamentary group of "There is such a people" believe that the legislative initiative is properly aimed at changes in the Health Act, but disagreed with the contents of the bill. She added that when establishing the provisions in force in art. 61 and 63 of the Health Act are carefully analysed and so refined to comply with the basic law, which is confirmed by the decision of the Constitutional Court confirming the powers of the Council of Ministers and the Minister of Health. The National Representative clarified that the Bill mixed the institutes of emergency and the emergency epidemic situation, and the proposed criteria for immediate danger to the lives and health of citizens defined as too wide. It expressed the need to consolidate executive legislation and acts in order to achieve clear and sustainable rules. The President of the Committee on Constitutional and Legal Affairs pointed out that the Health Act sets out the general framework for protecting citizens' lives and health and disagreed with the proposal proposing the creation of explicit rules on immunization against COVID-19 separately from the general provisions of the Health Act. Mr. Mateev said he would not support the submitted bill. As a result of the discussion, the Committee on Constitutional and Legal Issues with 1 vote, 9 votes against the Constitutional and 9 votes, abstention and abstention, proposed that the National Assembly not adopt in the first vote a bill amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Tsoneva Guncheva and a group of MPs on 10 December 2021.
ParlaMint-BG_2022-03-24.u138	Thank you, Mr. Mateev. Here you are, Mr. Ananiev, for a summary of the Report of the Committee on Regional Policy, Public Works and Local Self-government.
ParlaMint-BG_2022-03-24.u139	Thank you, Mr. Chairman. Dear colleagues! ♪ I can't believe on a bill amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Guncheva and a group of MPs At a regular meeting held on 8 March 2022, the Committee on Regional Policy, Public Works and Local Self-Management discussed a bill amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Guncheva and a group of MPs on 10 December 2021. On behalf of the importers, the bill was presented by the National Representative Elena Guncheva. The Commission received opinions from the Ministry of Health and the National Association of Municipalities in the Republic of Bulgaria. The Ministry of Health does not support the bill. On the part of the Association of Municipalities, an opinion is expressed only under § 2 of the Law and is proposed to repeal the second sentence of paragraph 2. 6 concerning the amendment of art. 63, para. 9. Following the presentation of the bill, a vote was held, as a result of which the Committee on Regional Policy, Public Works and Local Self-government by 1 vote........................................................................ and 8 votes.....................................................................................................................................................................
ParlaMint-BG_2022-03-24.u140	Thank you very much, Mr. Ananiev. Only the Report of the Commission on Human Rights, Religions and Complaints of Citizens remains. Here you are, Professor Chorbanov, for a summary of the report. Then I'm taking a break, guys.
ParlaMint-BG_2022-03-24.u141	Thank you, Mr. Chairman. ♪ I can't believe on a bill amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Tsoneva Guncheva and a group of MPs on 10 December 2021. At a regular meeting held on 10 March 2022, the Committee on Human Rights, Religions and Complaints of Citizens discussed the Draft Law amending and supplementing the Health Act, No 47-154-01-2, submitted by Elena Tsoneva Guncheva and a group of MPs on 10 December 2021. The meeting was attended by Mr. Ilija Tasev, Director of Public Health and Health Control at the Ministry of Health. The bill and the reasons for it were presented by the National Representative Angel Georgiev, who informed the MPs about all the events that came from the epidemic with a Kovid.Everything they just mentioned in the other reports. The right of movement, the right to work, the right to education and a number of other rights guaranteed by the Constitution of the Republic of Bulgaria are limited. There are frequent cases where, if no negative test or vaccination certificate is provided, citizens are not allowed to work, and many of them are fired or have problems with their employer. The distance and attendance training of students are constantly changing, and the quality of education is undoubtedly getting worse. In general, all factors relating to these measures. The Commission has received an opinion from the Ministry of Health which does not support the submitted bill. It was presented by Mr. Tasev. With regard to the proposal relating to the introduction of a prohibition on compulsory immunisation, he noted that at present, by Decree No 15 of 2005 on immunizations in the Republic of Bulgaria, the immunization against COVID-19 was defined as a recommended and non-compulsory nature. The determination of mandatory, targeted and recommended immunizations, reimmunizations, way, deadlines are subject to the Ordinance under art. 58, para. 2 of the Health Act and the legal regulation of conditions for carrying out only one type of immunization is unfounded. The Constitutional Court has ruled on the question of the legality of the measures taken and has not established the existence of infringements. The main objective of anti-epidemic measures is to control the development of the epidemiological process. In the subsequent discussion, the President of the Commission, my mercy, noted that the problems arising as a result of the continuing two years of emergency were not caused by a deficit in legislation, but by its incorrect interpretation, as well as by the weak activity and control of civil society in relation to the measures introduced. At present, vaccination policy has been strictly regulated by a regulation. The proposed changes to legislation concerning only one vaccination would, to some extent, restrict the State's ability to react adequately in view of the dynamics of public relations in this area. People's representative Vasil Stefanov paid attention to the public discussion on the proposed changes to the Committee on Health and the opinions received by NGOs and state institutions, in detail argued and united around the idea that the bill should not be supported. Following the vote, the Committee on Human Rights, Religions and Complaints of Citizens with 3 votes.....................................................................................................................................................................................................................................................
ParlaMint-BG_2022-03-24.u142	Thank you very much, Professor Chorbanov. With this, we have exhausted the reports of the Committees on the Bill. Now I'm giving it till 12:00, then we'll resume the meeting. [[After the break.]]
ParlaMint-BG_2022-03-24.u143	I'm resuming the hearing. I'm opening a discussion on the bill so tabled. Are there any people who want to make a statement, colleagues? Nikola Dimitrov, come in for a procedure
ParlaMint-BG_2022-03-24.u144	Dear Mr. Chairman, honourable Members! We'd like to check the quorum.
ParlaMint-BG_2022-03-24.u145	Mr. Dimitrov, we haven't taken a vote. The discussion may begin. An importer's opinion please, Mr. Petrov.
ParlaMint-BG_2022-03-24.u146	Thank you, Mr. Chairman. Dear colleagues in plenary, and you downstairs in the chair, who are you right now! I will make an opinion as importers of this bill. I'll stick to his philosophy. The idea that we are making this legislative proposal is in two directions. The first main part of the proposals that we make with the amendments to the Health Act concerns the announcement of the so-called exceptional epidemic situation, which so far is announced by a decision of the Council of Ministers, and we propose that this be done by an act of the National Assembly. The reasons are as follows: we believe that in the last two years it has been shown that the so-called emergency epidemic situation represents an animal, figuratively speaking, which has both paws, hands, legs, gills and wings and is presented by the various authorities as beneficial to them. Accordingly, the public bites on this presentation and takes into account what the various governments tell them, whether they are regular or professional. In fact, the purpose of this to be presented in this way is only to allow the executive to one kind of jump, to derogate the National Assembly, to drive and hang itself, and to tell what to happen in the state. I heard the Health Commission report that there was a difference between the emergency epidemic situation adopted by a decision of the Council of Ministers, on the one hand, and the emergency situation adopted by a decision of the National Assembly, on the other. I don't see the difference. The difference is only one thing, namely that when the Council of Ministers decides to introduce or extend the emergency epidemic situation accordingly, he cars and gallows does whatever he wants without absolutely no control and without absolutely absolutely no responsibility of the Council of Ministers. Only that and that is all we wish to change, taking into account the raised slogans of the ruling coalition in the formation of the present National Assembly that it will not be a rubber seal of the executive power. That is why we have decided with this legislative proposal to give him powers that no longer lie in the Council of Ministers, but that we, colleagues directly elected by citizens, can decide when to introduce this extraordinary epidemic situation and for what period. We have even pointed out a proposal for a two-month period for citizens to have clarity and predictability. And this responsibility lies on us, as the emergency epidemic situation will remind you that it concerns citizens throughout the country. It concerns all Bulgarian citizens. The second part of our proposals concerns the orders issued by the Minister of Health, which affect the rights and interests of citizens, businesses, public institutions, measures and restrictions are being created. From what we have seen in the last two years of the many issuing orders from the various ministers, we believe that there is no predictability of the measures and restrictions imposed by the ministers by these orders. That is why, with our proposal, we aim to explicitly list these measures and restrictions that the ministers can impose so that, on the one hand, no constitutional rights of citizens are violated but, on the other, citizens, public institutions and businesses know what they can expect as measures and restrictions. For example, we have provided for all public sites a five-day period of introduction of restrictions on their activities. And now, the private business will know what it can tolerate as an inconvenience with the introduction of such orders. I'll give you an equivalent example of civil law. In the last two years, when we have concluded rental contracts with tenants of commercial feeding sites, we have already included in the relevant force majeure clause a description on purpose that, if an order is introduced to limit, say, all either 30 or 50% of the capacity of an establishment, or if it is allowed to sell food only for home, but still to work, we create rights for the tenant to obtain the corresponding partial or total absolution of the respective rent. And that is one case, when the tenant signs such a contract, he has predictability and security in what environment and environment he will work. So far, good for the civil sector, and why should the Law also not have such predictability and clarity, if we describe what specific measures and restrictions the Minister of Health has the power to impose? Next, with regard to the proposals concerning the Minister's orders, we have created the power of municipalities to ensure technical security of the funds for the personal safety of citizens. Here I read an opinion from the Association of Municipalities in Bulgaria, which I am ashamed of, because they say: no, we cannot take such a responsibility, we have so far taken over only in terms of public sites, and the obligation of citizens and their personal choice was to secure protection funds. Well, when you impose measures and restrictions on them, why shouldn't the municipality take the personal means of protection? By giving you an example on many hot days the municipality buys and distributes free mineral water to citizens. So, in very hot days, the municipality can make such a commitment and make costs, but when we have, according to the majority of the exceptional epidemic situation, then the state, in the case of the municipal authority, can't intervene? Then why do we need a community at all, and why do we pay taxes at all? Do we all know that if, God forbid, the situation is much more serious, then the municipality, and without asking her, will accordingly make these costs.................. for free will help the citizens with personal protection? Then why shouldn't this be laid down in the Law so that it's clear to everyone? Next, we create obligations for the Minister, who is not deprived of the right to issue orders, to notify the National Assembly. In this regard, I read an opinion from colleagues from the Legal Commission that it was not known what the National Assembly would do when the minister informed him............................................................................................................. Uh, no, guys. The National Assembly, as we all see, has had extremely unlimited powers over the last three months. I'll give you an example right away. He can immediately accept a moratorium, and not only can he accept it, he can cancel it the next day and reschedule it again, colleagues, if he decides when he is notified by the Minister. He may adopt, by urgency, an express decision to hear the Minister, as he will soon adopt an express decision to hear the Ukrainian President. Here's what the National Assembly can do, I give you only opportunities. Therefore, the National Assembly must be informed of these orders of the Minister. The next proposal, which we consider to be very important, unfortunately, has not received any opinion and has not been discussed in the Commission, concerns the possibility and time limits for appeals against these Minister's orders, and we propose that cases be scheduled, dealt with and resolved within a very short period of time. We're proposing for a 14-day period, it could be extended. But my question is, honourable Members: why can't the appeal of these Minister's orders be within a short period of time and what is not useful in this case, since there is no opinion on this proposal, there is no such writing? Why should the Bulgarian court not be able to rule within a short period of time on complaints against these orders, when we all know that, as common administrative acts, they affect the rights and interests of unlimited circles of the Bulgarian citizens in this case, for the whole country. Wouldn't it be right for the Bulgarian court to rule quickly and say these orders are legal, are they not legal? We, in our opinion and reasons for the bill, have already indicated that, in the current order, until one hearing was scheduled on the Minister's contested order, it was at least so by the middle and end of 2021, it was cancelled by two or three other orders. We therefore believe that this proposal in particular can create legal certainty for Bulgarian citizens, and I personally do not see why it should not be adopted. [[(crowd cheering) (crowd cheers and applause)]] Thank you. [[Applause from ARGUING.]]
ParlaMint-BG_2022-03-24.u147	Thank you, Mr. Petrov. Anyone who wants to make a statement? Professor Mikhailov, you have the floor.
ParlaMint-BG_2022-03-24.u148	Thank you, Mr. Chairman. Dear Mr. Chairman, honourable Members! The BSP parliamentary group will not support this bill, and I will try to argue to its importers with the fragments they have just presented as arguments of the importer, but with feedback. We must very carefully assess our options when entering an area that is very professional, such as healthcare, and the problems associated with it, and we want to impose legal dogmas in some way to put everything in legal form. This, of course, is the attraction of every person who goes around him in the world to be somehow realized in legal situations. However, that is not possible. Health legislation, I take the liberty of telling this to my colleague, who has so carefully put his arguments before me, has an extremely rich history. It is very conservative and at the same time over the decades. I must share with the entire Chamber the great satisfaction of modern medical science that, if we are talking about a lengthy continuation of mankind's survival, it is related to the fight against infectious diseases and on this basis a very stable legislation has been built. Since the tilting of the scales two years ago in one direction, which was disastrous, here the ruling then coalition, orchestrated by one political force, was practically smashed into the Health Act, the exact word is............................. with Ebola, cholera and plague, CIVID-19. I'm not gonna say that here on the stands were colleagues who were wearing protective suits and suits, some who wore gloves in the hall and what was not happening in the first days. All of this historically in time, I also quoted it in some political debates, but the experience that we have during these two years, the experience that the Institute in France quoted for the Study of Infectious Diseases, has such an institute there, not on infectious diseases, but on the study of infectious diseases, suggests that humanity has many times contacts with such pandemic phenomena and must always make the most sensible decision. This decision is balanced. In the proposal of colleagues from the Political Party, the aging sounds very powerful to this slogan: "My authority Sovietam! " "Everything to enter the parliament, everything to be decided in the parliament, it to decide when there will be an epidemic situation. This is exactly what the members of the Health Commission fought two years ago, or at least some of the members, the decisions to be given in the hands of the professional pool, the people who have knowledge of epidemiology, of infectious diseases, and to be clothed with decisions of the Minister of Health, who bears his responsibility, which is supported by these specialists, and he assumes this responsibility on behalf of the Council of Ministers. We had also suggested, but this was not accepted by the government at the time, that an anti-epidemic plan be implemented, which is a pyramid, in which a deputy chairman of the Council of Ministers is involved as a leader. But all of this is now coming in counter-journing, the instrument is tilting in the other direction, we want a quick tribunal in three days to say whether it is appropriate and possibly to sanction the Minister of Health; we want in the parliament where 240 people exist, but of them almost nobody knows anything about epidemiology. That is why the Public Health Centre came out, it is a government body not, but a scientific organisation, with the opinion of a 161-page report in April last year, I say it to the importers in which he officially stated, and this was the conclusion of many researchers of this infection that, unfortunately, mostly political decisions were taken, not decisions tailored to the specific epidemic situation. So there was even a desire from other colleagues to put in place a similar type of law to predict how a pandemic would develop, an epidemic within a country. These aren't possible things. The legislation has checked all of this over time, and for 100 years it has been more than 100 years since the first influenza outbreak registered in 1918. Similar pandemics were present in 1958, and in 1968 the flu vaccine was established in 1948, but its effectiveness is about 30% at the moment here Professor Chorbanov is against me, he knows it very well. These are biological processes that are monitored by experts, and they offer the legislator, not to offer them solutions that are purely legal, which are equivalent to the action of an elephant in a laboratory proposed and realized by people who may be empathetic with their hearts, but not with their minds to the problems that need to be solved. This type of legislation is therefore imperfect, unacceptable and will only be a burden of the Bulgarian legal framework. We cannot support such a bill and therefore it will remain unsupported by us. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-24.u149	Thank you, Professor Mikhailov. Are there any lines, coworkers? Petar Petrov and Kostadin Angelov then in whatever order you decide, colleagues. Here you go, Mr. Kostadinov.
ParlaMint-BG_2022-03-24.u150	Again, once again, I have heard how the National Assembly should not make decisions that were in the hands of experts. This makes this meaningless then the institution of the National Assembly because I was quite impressed by the fact that two years ago members of the National Assembly's Health Committee, you say, worked against them to make decisions and to make them experts. Be assured that in every sphere of the public device there are experts who understand more than the MPs clearly, and I think there is no one who will say otherwise. Does this mean we have to disband the National Assembly? Moreover, we are talking about an emergency situation, an emergency epidemiological situation which at some point turns out to be within the prerogatives and powers of a single person who can wake up in a slightly worse mood this morning and decide that he will punish the entire people for it and give him an emergency situation. That's not normal, okay? And what we're actually proposing is a restoration of the old situation. Peter Petrov said it and explained it and read it. We just want the old situation back. If you believe that it is not normal for the National Assembly to decide as a representative body representing the entire Bulgarian people to have or not to have a state of emergency, but to decide one person. [[Heckling]] Yes, you do. No, no, if you want to answer me then it's okay. But what we are actually proposing is a very simple thing: a return to the old situation before 13 March 2020, because you all remember why this amendment was made in the Health Act. It was made with a very simple aim: not to convene each time the National Assembly to vote on a state of emergency and thus elegantly fined the Constitution. That's the truth! And you're talking about pandemics, so I don't know what you're talking about?! Where is this pandemic? It's good to have the old flu back. So I ask you very much, when you speak, do not, first of all, humiliate the role of the National Assembly in this way.
ParlaMint-BG_2022-03-24.u151	Thank you, Mr. Kostadinov. Mr. Petrov, you have the floor.
ParlaMint-BG_2022-03-24.u152	Dear Mr. Chairman, honourable colleagues, dear Professor Mihailov! I will take a reply only in relation to the beginning of your speech that if I quote you correctly: "We must bear in mind our options when making professional changes. " Professor Mihailov, I claim that I have appealed a very serious number of administrative acts in the court, which is why we have made a proposal with our bill, on which, I repeat, there is not a single opinion in question the period of examination and ruling on complaints against the Minister's orders to be much shorter, and I justified why. Because these orders affect the rights and interests of a large group of Bulgarian citizens throughout the country. This is our proposal, and I believe that just our professional opportunities allow us to do so to request an expedition from the Bulgarian Court of Justice in order to rule out complaints of citizens and organizations against these orders. That's all I'm saying. We propose that it be 14 days, of course, between first and second readings, it may be suggested that this period be greater. Therefore, if I may, I would not agree with this part of your statement that we almost do not understand what we are doing and why we are doing it. I say again: we only want the deadline to be efficient. That's it! Thank you.
ParlaMint-BG_2022-03-24.u153	Thank you, Mr. Petrov. Is there a third line? Mr. Ganev, come in.
ParlaMint-BG_2022-03-24.u154	Mr. Chairman, Professor Mihailov, with all due respect to you, what you said about making political decisions, and what you quoted as a document, excuse me. The political decision was made by GERB at five, six or 10 people who were sick to close the whole country, to put the checkpoint and all this madness that started then. That's how they formulated it. Then they decided it as a one-man solution.. Boyko Borisov, no matter who was then the Minister of Health and who turned around. There's no difference. This is a political solution, and that is exactly what it was, I suppose, let me not say that I am sure that this has been quoted in the document that you have pointed out. When such a decision on the basis of expert opinions that you have pointed out is presented to Parliament, examined and discussed here, a decision can be made and any political party can be held responsible for whether it has supported or rejected. This is exactly this place, and there is no difference between the different emergency situations being adopted, voting in Parliament, and this. Once again, I say: the country was closed with the checkpoint and all this madness began and escalated thanks to precisely such political decisions made by one person, and it was not the health minister, he was a performer simply by putting his signature on it. At the moment, we are repeating what I am going to say: we want to bring back to Parliament these decisions, important to the whole country, for absolutely everyone, to be here based on the opinions of people like you. Because you had a very strong professional speech nearly two months ago regarding the entire behaviour of the state in terms of epidemiology and about the whole thing that happened. You have made many arguments and many statistics not only of Bulgarian scientists... [[The President signaled the expiry of time.]] , but also foreign ones. I'm graduating. And it is precisely in such statements that Parliament may take a reasoned decision. And in this case, the legislation gives the Prime Minister the decision, whoever he is, to impose on the Minister of Health, to impose a measure and to close the entire country.
ParlaMint-BG_2022-03-24.u155	Thank you, Mr. Ganev. Professor Mihaylov for the doppelganger, you have the floor.
ParlaMint-BG_2022-03-24.u156	Thank you, Mr. Chairman. I'm glad we kept the good tone in this debate. I can at least be accused as a lawyer of GERB or its President or his prime ministers. I want to tell you that the state of emergency has been taken, here is Dr. Ivanov, with full consensus from the entire parliament, and for one reason only. For one reason only, mankind had no idea, there were still so-called scientific drillings, attempts to solve the mechanism of infection, of contagiosity, of the level of mortality, but there was still no data collected in the world. Each new type of infection is a focus of the entire world's non-medical and political, and any community, and this decision has not finished the Constitution at all. I must tell you, then I remember when we spoke in the media as well, I do not know the colleague who spoke of a state of emergency, have you ever been to a country where there is an emergency? I don't wish you to fall. What was in Bulgaria was rather a cartoon of a state of emergency. Indeed, there were laughs: police chased mothers into parks, banned sitting on benches. Do you remember that thing? We were categorically opposed to this as a political force. There have been overreactions, but severe measures that allow a state of emergency, not for a moment allowed the ruling coalition, then the ruling party. This was with the help of BSP and was very well refined in the vote. It was only for one month and it went through this is quite different, Mr. Kostadinov. Let's not confuse these things, because neither you are a lawyer, nor I am a lawyer, so ask the lawyers. One thing is a state of emergency, another is an emergency anti-epidemic situation. And to want to confuse the National Assembly with it is absolutely unprofessional, absolutely unprofessional! So I don't think this issue should be discussed for very long. Everyone can practice from the stands and talk about anything. Things have to go back to their normal course of action. If there are changes to the Health Act, the first thing to do is to remove COVID-19 from the order in which it is placed along with plague, ebola and cholera. This should be done if you want to know, but not involve the National Assembly in making decisions that are not of its competence. I would like to ask you, as you so badly want this National Assembly to solve such problems, when for decades a flu anti-epidemic situation is announced in Bulgaria, did Parliament vote on it, Mr. Kostadinov? An emergency epidemic situation in relation to the flu, did parliament vote on it? You didn't vote, of course. So such statements do not diminish the role of parliament, but they lower the one who makes them out of the stands. So he doesn't understand what matter he's talking about, what angle, what angle he can look at this matter from. Thank you, Mr. Chairman.
ParlaMint-BG_2022-03-24.u157	Thank you, Professor. Are there any other statements? Here you are, Professor Chorbanov.
ParlaMint-BG_2022-03-24.u158	Mr. Chairman, ladies and gentlemen of the House! In the Committee on Human Rights, Religions and Complaints, we discussed very long and wide why our parliamentary group will not support the Bill. The arguments are basically two. One part is legal. Our lawyers have prepared enough arguments and texts that we have tabled, of course, and can be read, and this is a topic that I would not allow myself to discuss. Rather, what I will comment very briefly is the context of the bill. I'll probably be the last person in this room to be declared a protector of measures and everything that's happened in the last two years. Maybe I'm one of the most negative people in the world. It was clear that much of the measures that were taken and the reaction of both the public and the state were absolutely inadequate due to the complete inadequacy of this same society to react in such a situation. The state acted more reflexively than rationally, with proper norms and measures. The problem is that precisely one such situation cannot be put into a law that we do not know how to react to. There is no way that something that is not foreseen as an idea of how it will develop, is given into the hands of an organ that is by definition much more passive and much slower. The introduction of a problem of this nature in the debates of the National Assembly represents the participation of experts, committees, much longer than is necessary for a quick reaction. The problem was that it went on for a hell of a long time. The problem was that the National Assembly in all its forms could not be a concealer of what the government was doing. It is not scary that the government has its responsibilities and that it has its legal arguments to do one or two things. Why? The government is a replica of the National Assembly. The government is voted by the National Assembly. How can there be no control over what the Minister is doing? If a parliamentary group believes that the minister is doing things that are not in line with the norms, it may request a vote of mistrust. So it cannot be said that the National Assembly does not control the Minister in any way. I did not agree with any of the measures from the first to the last minister to the present. However, the way to react to such a disagreement is strictly regulated in our Constitution, and if we do not agree with what the government is doing, we may request a proper vote of no confidence and disagree with what the minister is doing. So putting into law in this form of all these measures is at least absolutely irrational. This should be from the competence of an organ that deals only with problems, epidemiology, the development of infectious diseases, of course, vaccine prophylaxis and so on. The problem was that there was not yet a sufficiently competent body drawn up to get the public's trust, and that was also the reason society reacted so negatively. Thank you.
ParlaMint-BG_2022-03-24.u159	Thank you, Professor Chorbanov. Here you are, Mr. Kostadinov, you have the floor for a line.
ParlaMint-BG_2022-03-24.u160	Mr. Chorbanov, I understand that when a person disagrees with the Minister's actions, he wants a vote of no confidence. You said you didn't approve of any of the actions of the previous minister, the former cabinet, the current one, as far as I understand it, either. We're on the same page here. My question to you is, when are you going to ask for a vote of no confidence? [[Applause from ARGUING.]]
ParlaMint-BG_2022-03-24.u161	Thank you, Mr. Kostadinov. Are there any other lines, colleagues? I can't see. For the coat, Professor Chorbanov, please. I hope the doppelganger, not the procedure for asking for a vote of no confidence. [[Radio.]]
ParlaMint-BG_2022-03-24.u162	Mr. Kostadinov, every time you fight with your wife, you want a divorce? [[Radio, applause from IHN.]] That's my answer.
ParlaMint-BG_2022-03-24.u163	Thank you, Professor. Are there any other speeches, colleagues? Nikolai Drenchev, come in for a speech.
ParlaMint-BG_2022-03-24.u164	Mr. Chairman, ladies and gentlemen of the House! I want to bring you back to the subject, I want to remind you that we are not actually discussing medical procedures and medical problems. We are discussing a problem of separation of authorities and a problem of procedure for the way in which some very serious and responsible decisions will be made that concern a huge part of the Bulgarian people, the Bulgarian business and all aspects of our lives. This is a question which cannot be left in the hands of one person, he and the Minister of Health. This is a very serious thing, in no case should we play with the fate of the people, industry, health and anything else. We must take our work here seriously, take the reins of the administration of the Council of Ministers, respectively, of the respective minister. The procedure is sufficiently clear, it must pass through the National Assembly. The legislation adopted by the National Assembly has opportunities to be returned by the President, there is an opportunity to be revised by the Constitutional Court, while the Minister's orders are unaccounted for, irresponsible and as we have seen in the previous mandates, strongly urban, written on the knee. As soon as they are appealed and will fall into court, one order is revoked, a new order is made, and so a thousand times. We must by no means allow what has been so far to happen, because the war in Ukraine will end and come to our head again the new pandemic. I'm asking for serious treatment.
ParlaMint-BG_2022-03-24.u165	Thank you, Mr. Drenchev. Are there any lines, coworkers? There are no lines. Come in for a statement, Mr. Ganev. We'll extend your group's time as I think you have two minutes.
ParlaMint-BG_2022-03-24.u166	Mr. Chairman, the aim of the Bill.. for those who have not understood is not to be able to make single decisions that violate rights, at the same time the obligations of citizens of the Republic of Bulgaria. We've all witnessed in the past two years how we had one order from the Minister of Health, at lunch, the Prime Minister at that time canceled it, in the afternoon a third order came out. So every other day, every two of us had multiple and constant orders, which introduced a situation in which not only business, but we as citizens did not know how we were going to get dark and how we would get dark, with what mood the then prime minister would be and what the Staff would decide, which was making decisions and imposing obligations to violate any rights. The truth is that these decisions, again I say, must return to Parliament on the basis of the expert assessment of everyone who is relevant to the epidemiological situation, not experts in abdominal surgery, with all due respect to them, or other specialists who have nothing to do with epidemiology. Because when we have decisions made today for tomorrow, we have decisions that are canceled at lunch, and in the afternoon they put on quite different ones, and so every day, we come to a situation where business doesn't know what to do or what to do. We come to a situation where, to board Vitosha, you have no right to be prosecuted and fined. We get to the point that the mayors of GERB, a large part of them, started tearing out all possible seating places in the parks................................ a large part of them at GERB....................................... All this madness has taken over our entire country simply because the current Minister of Health had decided something else. This happened again with the ministers of the service whom Radev appointed. Let's put it this way, because it was he who appointed a government that decided to introduce a green certificate to limit it even more, and we have an unpredictability about what decisions affect our entire society. When there is no debate about such a thing, it is quite normal to have opposition in society. I cannot understand why the political persons who were ministers also exist in this sector were surprised that society does not accept their measures, does not comply with them, refuses to comply with them, and in no way can they recognize them, but simply because they are inadequate! That is precisely why I call again: we are giving a legislative initiative to bring back the situation in which such an important decision, such important things that are put before our society, to be put into discussion exactly in this House, so that everyone can hear them, see them and understand why they should be applied. To be applied if justified and protected. Otherwise, another foreign minister will take his fate and decide that he will sign contracts, the interior minister will decide that he will invade somewhere and do something, a health minister will introduce an emergency epidemiological situation or we will impose a Green Certificate by decision of the Council of Ministers. We're going mad! Again, let's bring the debate back right here in this room, and each of us with our voice, with our speech to be responsible, not to hide behind a flying list that limits human rights and obligations.
ParlaMint-BG_2022-03-24.u167	Thank you, Mr. Ganev. Are there any lines, coworkers? I won't. Are there any other statements? I won't. I'm calling off the discussion. First vote on the Draft Law amending and supplementing the Health Act, please, voting regime. They voted 133 MPs: 12, against 81, abstention 40. The offer is not accepted. We move on to the next item on the agenda, colleagues, namely: The amount to be reported in this column shall be the amount to be reported in this row. Importers are Kostadin Kostadinov and a group of MPs. Reports have been submitted by the Committee on Budget and Finance, which is leading, the Committee on Energy and the Committee on Health. Colleagues, who will present the report drawn up by the leading Committee on Budget and Finance? Here you are, Professor Gechev.
