ParlaMint-BG_2022-02-17.u1	Honourable Members of the National Assembly, please register. Colleagues online:
ParlaMint-BG_2022-02-17.u144	Thank you, Mr. Ganev. Andrei Chorbanov has a line. [[Replys from BSP for Bulgaria.]] Colleagues, please, no discussions through the hall.
ParlaMint-BG_2022-02-17.u145	Thank you, Mr. Chairman. I will express my personal bias on the subject with the Institute. The Institute left the BAS system with basic logic in leaving that it didn't do any scientific work. So the Institute's place is precisely in the MOEW because it performs functions and positions that are entirely consistent with this. Thank you. [[Applause from IHN.]]
ParlaMint-BG_2022-02-17.u146	Thank you, Mr. Chorbanov. Colleagues, I remind you, we have not yet reached the texts for the National Institute, but we are commenting on the name and suggestions of Mr. Drenchev and Mr. Petrov. Third line to Manol Genov? Hristo Gadget for the third line.
ParlaMint-BG_2022-02-17.u147	Mr. Chairman, ladies and gentlemen of the House, Mr. Minister! Dear Mr. Genov, I now take into account the two paragraphs you have agreed not to discuss and propose to the vote the proposals of Mr. Drenchev and Mr. Petrov. In your motives of the Commission and the text of the Report it says that they will not be allowed to be examined and voted on in substance as they are inadmissible and as they go beyond the scope of the bill adopted at the first vote. Now can you tell me, because here I notice some different standards. The proposals submitted have, by the way, been tabled under Rules of Procedure and are proposals within the time limit, in writing, as the Rules say. Secondly, some other proposals that have been tabled in the Chamber, not in the Chamber, but in the Commission and on the move, so to speak, which do not generally comply with the Rules, but they are admitted and examined. And the other is, since the proposals in them are wrong or not wrong, I am not commenting on the proposals themselves here, but I am commenting on the principle taken by the Commission and it has not admitted them, because it believes that they are outside the scope, do you think that structural reform, which would follow in the following paragraphs and is admitted by the Commission, is within the scope of the proposals in the Water Act? I do not comment at all on whether it is correct or not, either for these proposals or for the next ones, but the question is whether they are actually within the scope of the Law and within the scope of the Rules.
ParlaMint-BG_2022-02-17.u148	Thank you, Mr. Gadget, for the line. Here you go, Mr. Genov, for the back.
ParlaMint-BG_2022-02-17.u149	Dear Mr. Gajev, read the Rules of Procedure, there is a record of what, what, how. I do not want to waste the time of the Members of the National Assembly and now to explain to them which Member is saying, when a text can be adopted in the Commission, and ultimately what you are commenting on is the vote of the Members of the National Assembly who are members of the Commission. And I do not think that it is so acceptable to comment on this vote that you have the right to comment on it, of course, because you were present at the Commission in an advisory voice, you were listening, so I call you to read the Rules. Thank you.
ParlaMint-BG_2022-02-17.u150	Thank you, Mr. Genov. Are you speaking, Mr. Nankov? Mr. Drenchev is also waiting for a statement from earlier written, but before that, for a statement is Yavor Bozhankov. Then are recorded for speech Nikolai Drenchev and Nikolay Nankov.
ParlaMint-BG_2022-02-17.u151	Dear Mr. Chairman, honourable Members! GERB fell out of power, but the struggle and heritage of that government continue to tighten above us and the last example is only a few days ago, related to a huge scandal with a house in Barcelona and doubts about international money laundering worth about 10 million. lv. This scandal became the subject of debates in the European Parliament, the Bulgarian Parliament, the foreign Spanish press and the Bulgarian press, but did not become the subject of attention by the Bulgarian state prosecution or by the former governors in the face of GERB, who downplayed the scandal as media clippings. Borisov himself said that he did not have, has not had and will not have a house in Barcelona, but the media clippings in Europe referred to the competent authorities and they conducted an investigation. The media clippings proved to be of value to other people's organs. No press and no one has ever stated that Borisov has a house in Barcelona. Miss Bikini has a house in Barcelona for 10 million and the question is who bought a Bulgarian model house for 10 million in Spain. Where did that money come from? The answer lies behind a network of companies, planted persons and offshore property. This answer could not be found for two years by the Bulgarian investigators in the face of the prosecution, and she recently received 219 pages of a report from the foreign services that she has to translate, and we hope it will not take us another two years to do so. Nevertheless, our society is informed of this scandal thanks to the fourth power of the media, and here is the time to open braces and thank them that someone is still doing the work, because information leaked to our media is pointed out, I quote: "There is no evidence of legal origin of the funds invested in the capital of these companies, as there is a rule of law in Europe." The investigation there was terminated and sent to the Bulgarian Prosecutor's Office. And here is the question: what can and should we expect from the Bulgarian investigators, because what can we expect from the Bulgarian Prosecutor's Office, headed by Ivan Geshev, who has proved that when 700 million of our taxes are missing and the main players in the schemes, such as media bosses, gambling bosses, are starting to give away their former ordains and talking to whom have they carried them and where have they carried them, Gesev remains deaf?! When everyone saw the pictures, the money and the gold, the international organizations proved the authenticity of this footage, Geshev remained blind. When the European Parliament, the Monitoring Mechanism, the Venice Commission, the international non-governmental organizations and foreign embassies point to one thing, Bulgaria has a systemic problem with corruption, the controllessness of the Prosecutor General and his unlimited power, Gesev is mute. What can we expect from the prosecution, which is headed by a person who, asked about his relations with Borisov and GERB, writes texts with Borisov's PR?! On the state's indictment, we cannot obviously rely on Ivan Geshev, but the truth will find its way, it will come out, even if it costs us more years of fighting, more protests, a change in laws, a change in the entire Constitution. The truth will find its way! Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-17.u152	Thank you, Mr. Bojankov.
ParlaMint-BG_2022-02-17.u153	Mr. Bikov?
ParlaMint-BG_2022-02-17.u154	Affidavit.
ParlaMint-BG_2022-02-17.u155	Come in for a statement, Mr. Bikov.
ParlaMint-BG_2022-02-17.u156	Mr. Chairman, honourable Members, I will begin with a quote that is mine. [[Applause and applause.]] I have come so far as to quote myself from the stands of the National Assembly. The quote is from 2020, February: "This active event is repeated every year, we can put it on the holiday calendar of the state, possibly every February-March to publish an article in some foreign newspaper on the same topic. "The theme is "Barcelona Gate" 2020, February. I will now officially make an offer to bring it into our national holiday calendar to have a day of the Barcelona Gate, where the troupe will come out to repeat it, you can make Elena Yoncheva some such boss of this troupe to go out, perform this folk ritual, take some newspapers, show them. Mr. Bojankov, if he wants to, could be part of this representative group to come out and give a speech on this topic in February 20th. The other thing I have to tell you is that this job is very funny, very funny. Now that you've messed up all the schematics you've prepared, you've found yourself in a complete impasse. You don't know what you're doing for two months, you're analyzing, you're going into confuse situations, we're voting here three times a law, you're going to make a Committee on Constitutional Change, which hasn't been assembled yet, which, by the way, is a disaster, because it doesn't involve three of the seven political parties in this Parliament, and it's absolutely illegal. Now the time has come for February. "Barcelona Gate, April you can pick up the highway.. Hemus................................. to pick up all the wiretaps.............................. And before our eyes is a sharp impoverishment, inaction, brutal incompetence by the ruling majority, irresponsibility by the government and Parliament and, of course, a number of crises as a result. A number of crises that you can't handle.. you have neither the powers nor the potential to do so. A heavy, low intellectual level of the entire ruling majority. Impossible to realize what kind of situation you're in. And of course, in these situations, we get to who? To the old cops, Boyko Rashkov and others who can always come up with some active event, which, of course, is simple enough to get the effect. Because thanks to such people, by the way, communism once fell. They were protecting communism. He was so picked up, he collapsed in three days. They were so smart. Now, they've entered some kind of report. It doesn't even know if it's a report? It doesn't have a signature. You never know who wrote it. There's no telling who sent it. It's been known to be the D.A.'s office. In English, it's half, and the other half is Spanish. Fine, it'll translate. There are, shouting, photos of Boyko Borisov, and they wrote an article about Boyko Borisov, of course, that they also put a photo of him. It stays and they don't have to. But Mr. Rashkov says there are pictures inside. At the same time, as you are blabbering all this nonsense here, the next day you arrive and say: colleagues, let's have a dialogue, let's make changes in the Constitution, give judicial reform. The day after tomorrow you come back, same bullshit. Well, that's not how this job works, I'm telling you. That's not gonna happen! We have endured such dirt and attacks against us long enough, but I tell you that we will not tolerate them: there will be no political dialogue in this Chamber as long as you continue to do all this nonsense; you will have no understanding on our part on any subject; we will not be able to achieve important consensus for the country as you continue in this way. I believe that, among other things, the entire Batak that you have brought the state into, not in the last two months, but in the last one year, where this country does not work and continues to work, you should show a little more humility and see that even we, who are opposition, are worried and ready on certain topics to help you. You have enough domestic party problems that are a problem for the state and which are beginning to become state issues: who cleans up who and how cleans up? You're doing congresses. All you do is bullshit. Start, colleagues, be a little more responsible. You're not in opposition. It's not 2020, it's not 2019, it's not 2018. It's 2022. Your dream to rule is fulfilled. You all have ministers, you have committee chairmen, you have a prime minister, you have a president, you have a part of the justice system. Get a hold of yourself and start managing, not doing any of these equilibristics and shows that don't help anything. What's the point of this BSP statement, a three-minute one that can't even reach 10 minutes? Now, I'm six minutes and I'm gonna get to 10 because I have something to say, guys. [[Applause from GERB-SDS.]] Because I have something to say. And since you, on the one hand, are poor vocabulary, on the other hand, these things that you say here, you've been repeating them 50 times and you're tired of it, you're even careless about your attack on us. This attack, which is so large, you claim, cannot last three minutes in a declaration. Now you've decided, you mark some territory here, we fight for justice. No one believes you're fighting for justice. Your sense of justice can only go so far as to, for example, exclude half of your party from sitting in absentia. You can't do more than that, only that's your problem. [[Applause from GERB-SDS.]] We don't care at all. We care as much as it has to do with the state, because you're carrying everyone... Each party is buzzing inside and instead of dealing with the state there requires a very serious concentration on these problems, you have concentrated on everything else, only not on this. We have offered you a solution, for example, to the energy crisis, which you first did not allow on the agenda, then you put it on the agenda, but as a last item, so as not to look at it, this week you did not put it on the agenda, and next week you will probably put it on the agenda again, only eventually you will put it on Saturday, at 10:00 in the morning. In the meantime, you didn't come up with anything. To tell you the truth, I thought you had some kind of training to do something, and that's why you're slowing down so it's not ours, it's yours. Now I will say this to all Bulgarian citizens: no, they have no idea at all what to do. That's why they're slowing down, so they're analyzing, they're learning, but they can't learn, because it's one thing to learn, it's another to learn. You're in the phase in which you've dedicated yourself to analysis. By the way, you won't learn from analysis. There are other ways. One way is to take some action. There is a talk here, and Parliament's work is not working either, because you are deeply disorganized. By the way, I will specifically address BSP colleagues, who are still the oldest party in the ruling coalition and still have some experience, at least to start acting a little more adequate, because there are still some experienced people who have done something. Mr. Bojankov is not among them, but there are other people.
ParlaMint-BG_2022-02-17.u157	Mr. Bikov.
ParlaMint-BG_2022-02-17.u158	At least you'd be kind enough to give some tone of normality. It's your responsibility because you're the most experienced. All the other parties, God forbid, take some constructive approach, not learn so much from you, because nothing good you have brought in the last years of this country.
ParlaMint-BG_2022-02-17.u159	Enough qualifiers, please.
ParlaMint-BG_2022-02-17.u160	But at least have some rhythm at work and let's stop dealing with this shit. We are in opposition, we are from now on the ones who will attack, and any such statement will cause you damage. Remember that! It'll do you some damage in a little while. Thank you. [[Applause from GERB-SDS.]]
ParlaMint-BG_2022-02-17.u161	Thank you. Let's hear the procedure of Alexander Simov.
ParlaMint-BG_2022-02-17.u162	Dear Mr. Chairman, honourable Members! Mr. Chairman, my procedure is with you. Because in this room people began to recite themselves, and I should contribute to the discussion with a quote: Borisov is not a dictator, he is a cartoon of a dictator. Thank you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-17.u163	The next statement is by Antoaneta Tsoneva on behalf of the Democratic Bulgaria. Then we have a declaration on behalf of the parliamentary group of the party ARRANGEMENT.
ParlaMint-BG_2022-02-17.u164	Dear Mr. Chairman, honourable Members! I will make a blitz declaration and I will not try like GERB to reach the edge of the 10 minutes. But since they have the desire to deal with the festive calendar of the Bulgarians and because there are many days which they believe should be marked, starting from the Sudzhukgate........................................................................... [[speaking indistinctly]] One more day, when you can give what you need to the holy Attorney General, which gives the umbrella to your boss. Thank you. [[Applause from DB.]]
ParlaMint-BG_2022-02-17.u165	Thank you, Mrs. Tsoneva. For declaration.. Petar Petrov. Here you go, mate, you have the floor.
ParlaMint-BG_2022-02-17.u166	Dear Mr. Chairman, honourable Members! On yesterday's agenda, a significant touch was placed on society's agenda. This stroke was introduced by Prime Minister Petkov's political cabinet chief, who announced in a press conference that there would be data at the protest that the firefighters and policemen organized on Sunday at the 20th here before the National Assembly would have paid provocators. Such information was provided to them. Of course, this news has caused a lot of surprises. At first, even the media themselves did not believe this news. This news sparked a lot of discussions at first, as lightning was spread. All people wondered how the police would protest for higher wages for 2022. In the draft budget of the Council of Ministers, and in their ranks of this protest there would be paid provocators from the country? Even words were used that one of the 19 persons who were represented by the Prime Minister of the Prosecutor General, one of them had a link with the financing of this protest for me fair to the policemen who want higher pay. A little later yesterday, as this information was not disproved by those who distributed it at the press conference, it was necessary for the Minister of Interior Professor Boyko Rashkov to give a deliberate, extraordinary press conference to amend it, to correct this statement by the Council of Ministers and to specify that, in fact, the data provided to the Council of Ministers by the Ministry of Interior were expected to have paid provocators on the side of not the protest of the police and firefighters on the 20th, at 12:00 before the National Assembly, but in fact expected the protest that we from the party were organizing on the 23rd of 11:00, however, before the Council of Ministers because then he met. This information has also caused a broad public response to nothing else, but because in recent years, when the revival protested against the government, somehow very conveniently it was the mantra that, if you see, the party is this bad boy who does not comply with the laws and can always be mentioned when he has to be brought into the public order and to commit public attention that, you know, there will be some illegal action. And this isn't the first time this has happened. On the 2020 protests, the Council adopted Decision (CFSP) 2017/1294 [2] amending Decision (CFSP) 2015/994 appointing the members and alternate members of the Committee of the Regions for the period from 1 January 2018 to 31 December 2020. The anti-government protests, when the revival protested, then came the chief prosecutor on TV, on the central news and said, quote: "The Bulgarian citizens have turned beating police into a national sport. " On 2 September, eight sympathizers and members of the ARCHER were arrested on the order of the Prosecutor's Office. They were charged by the Prosecutor's Office, chaired by Geshev. Since I have direct contact with the protection of all these eight members and sympathizers of the age, who have been arrested and charged by the prosecution for hooliganism and for inflicting bodily harm on police officers, I have gone through the entire process of protecting them and I can safely say that everyone is justified to date. The pre-trial proceedings against them were terminated, and those who were immediately brought to trial under the Small Hooligan Act, of course, were all justified. However, this did not reverse what the then rulers brought out in the media that, you see, aging was those who against the law and against the foundations of the state would protest and disagree against the power. Again, the fact that I and all my supporters from the governing authorities of the AGE were part of these 130 people being tapped by the same prosecution during these same protests on the development of a state coup was passed on to the Internet for this thing, but no one did anything at all. And yesterday, when this news was released, that there was obviously some operational data about instigators, provocators, or whatever you want to call them, which would not actually be at the police protest, but would appear at the aging protest, we found out that the opposition's voice................... I apologize a moment ago for not speaking first, but we had an emergency briefing on this subject that I'm talking about right now. We will send a letter to the Minister of Interior today because we believe it is right, because we are not breaking the laws, but protesting legitimately, in the form of a request to the Minister of Interior in an urgent order to provide us with these data, which have been submitted, I quote again: one of those 19 persons who have been submitted by the Council of Ministers to the Attorney General. To provide us with this information, this data regarding who these provocators are, so that we can, of course, take appropriate action. Because there have never been provocators, there have never been paid protesters, we have never carried out acts that are not legal. And I gave you examples of this from the anti-government protests on 2 September 2020, from experience. And that is why we have expressed a firm position against involving the party's name in evidence of unlawful protests. Not with less force, we disagree with the fair demands for higher salaries of police officers to be involved, even by mistake, in speeches linking them to paid provocators. Those people who have been on the front line for two years in all possible crises - economic, political, health and so on - do not deserve statements from the Council of Ministers even as a mistake - to assume that this was some mistake. These people don't deserve this mockery, I'll call it, with their fair demands for higher wages. We must show solidarity to these people, to these protesting policemen and firefighters whose protests began yesterday in the country. Therefore, we of the 20th party, on Sunday, will support them and we will be there because we believe that their demands are fair because we believe that on yesterday they and we suffered from the same data, I will call them, for which we do not yet have information whether they are true or not, and in due order we will want them to be given to us. Because in the end, both Bulgarian policemen and we strive to comply with the law when we express our demands. We've always done it, and we'll do it from now on. That is why this declaration is also because we want to declare that we from an AGE party, when protesting, do not violate the law. When we protest, we protest because we believe that the ideas we advocate and which overlap by our supporters and members are not heard. It's the same with the police protest. Unfortunately, yesterday there were exercises on both their protest and then, with an apology, on our protest. We can't agree to that. We do not allow such exercises on our holy cause or on their holy cause, so we will also be with them on Sunday, so we will send this letter. [[The President signals that time has expired.]] And please, colleagues, for the finale I am graduating, thank you for that, and please don't experiment on the name of the opposition. It didn't do any good for any ruling power. Thank you. [[Applause from ARGUING.]]
ParlaMint-BG_2022-02-17.u167	Thank you, Mr. Petrov. 30 minutes off, till 1:40 p.m., coworkers. [[After the break.]]
ParlaMint-BG_2022-02-17.u168	Dear colleagues, please take your seats. I'm resuming the hearing. For speech there is Nikolai Drenchev. Here you go.
ParlaMint-BG_2022-02-17.u169	Dear colleagues! Law on amendment and supplement of the Water Act. This is what we are discussing, this is what we are debating. This was discussed and debated exactly a week ago on Thursday last week, it was a little later in the day. Then after reading the Bill proposed by the Council of Ministers, I took the floor and said that I would make proposals in art. Art. 43, Art. 118. If you remember, then the deadline for submitting proposals between the first and second readings of three days was reduced. By the end of the working day on Friday, I and Lawyer Petrov submitted reasoned proposals with the relevant motives. So, when we are talking about compliance with procedures and the eligibility of proposals made by ARRANGEMENT, please note that they are all made absolutely resonant and within the time limit. The motives with which the Council of Ministers makes the request for amendments to the Water Act mainly concern risk management, account for river troughs, account for huge hydrotechnical facilities, which are of great public importance, huge public danger and therefore need appropriate control. In the same direction is the proposal that Mr. Petrov and I made because, although it seems to concern the smallest consumers, those who use their own water sources, from wells of water for personal needs within 10 cubic meters, this is actually extremely important for the work of the pool directorates. Because they are forced to administer both the huge hydrotechnical sites and the small objects and every grandmother who has a well in the village and with the bucket watering the bed with vegetables she has. It is with the idea of dropping this administrative tribulation, with many Bulgarian citizens charged, and also releasing administrative capacity of the pool directorate to deal with the really serious problems in water management, this proposal was submitted. So the proposal is absolutely adequate. In this regard, Mr President, I, despite the Commission's opinion, which refused to consider it at a meeting of the Commission in substance as inadmissible, propose that it be considered in plenary.
ParlaMint-BG_2022-02-17.u170	It will be, Mr. Drenchev.
ParlaMint-BG_2022-02-17.u171	Thanks for that. I attended the three extraordinary meetings of the Committee on Environment and Water yesterday, and I am shocked by the way these meetings are taking place. I am involved in the work of two committees of the Defence Committee and the Commission for Control of the Services, and I have to tell you that there, perhaps because of the composition which is primarily of former officers, things are going in a completely different way. I would agree with the Commission's view that the proposal is unacceptable... the proposal of rebirth if immediately afterwards it was not introduced in an extremely dramatic... the softest word I use........................... the proposal to move the National Institute of Meteorology and Hydrology from the Ministry of Education and Science to the Ministry of Environment and Water.... a proposal which has in no way been communicated and discussed by the members of the Commission. Since the time that our parliamentary group has to justify the serious changes that we make, although they are quite minimally expressed in changing two of the members, will actually bring enormous benefit to the thousands, to the hundreds of thousands, to the millions of Bulgarian citizens who have their so-called water source for underground water, that is, a well, and who use water for personal needs in a miniature volume of 10 cubic meters per day. These 10 cubic meters per day are not invented by us, they are embedded in European documents and are present in the Law in its current form. Please, despite all the passions, despite the pathetic declarations that have been read so far, take a look at the proposals that we have made and tabled in the framework of the short term; to understand that they are actually referring to a huge amount of Bulgarian citizens, while the most vulnerable ones who are not able to bear the call for it is a net-cost competition and this administrative pressure which is being imposed on them to declare and prove the water supply from their sources. [[The President signals that time has expired.]] I conclude with this.. the main argument against the adoption of these proposals is that if they are not registered, there is no way to control how much is paid. Of course, this could be done through the law to control how exactly, but it is far more correct with a regulation that the Deputy Prime Minister and Minister of Environment and Water can accept, so that when there are doubts, when there are problems with water balance in the relevant pool, appropriate measurements are carried out and exactly how much water supply is controlled. I repeat: what we are going to vote on is in the interest of all the young, the most vulnerable Bulgarian citizens, and we must do our best to alleviate their existence. Thank you. And I'm asking for your attention and support.
ParlaMint-BG_2022-02-17.u172	Thank you, Mr. Drenchev. We are now in the second vote and the groups have no time limit, Mr. Drenchev. There is only a limit to the speech within five minutes. Are there any lines to Nikolai Drenchev? A line from Tsvetelina Zarkin. Here you go.
ParlaMint-BG_2022-02-17.u173	Thank you. Mr. Chairman, Mr. Minister, fellow MPs! The changes proposed by our colleagues may be miniature as texts, but as a matter of fact, as said by our colleague, are great. In fact, these are not small changes and may affect small consumers, but, as the colleague has pointed out, they are very largely hundreds, thousands, millions. Our concerns here. We have major concerns, not regarding the control that will take place, but also about the quality and quantity of water bodies, both of groundwater and surface water. And in fact this is the problem that the impact of the changes that are being proposed must be carefully assessed, which will, of course, take time and cannot happen within today. There is also a need for broad public consultation and opinion of the organisations and stakeholders concerned. That is why we cannot accept these changes. Thank you.
ParlaMint-BG_2022-02-17.u174	Thank you, Mrs. Zarkin. Are there any other lines to Mr. Drenchev? Plamen Abrovski. Here you go.
ParlaMint-BG_2022-02-17.u175	Thank you, Mr. Chairman. Dear colleagues! Dear Mr. Drenchev, as we spoke in the Commission and after the Commission, your proposal is a very good basis for future discussion. As I told you last time, this proposal is nice to do separately and give us time to sit down and work together. Thank you. But right now, there's no way.
ParlaMint-BG_2022-02-17.u176	Thank you, Mr. Abrovsky. Third line? Emil Georgiev for the third line. Here you go.
ParlaMint-BG_2022-02-17.u177	Mr. Chairman, Mr. Minister! We have witnessed a strange metamorphosis in the conference room from a procedure for adopting a second reading of the Bill for Amendment and Supplement to the Water Act, we have gone into a procedure for expiry of declarations. It seems that some colleagues in this room seem to suffer from a woman's affection, and when they stand...
ParlaMint-BG_2022-02-17.u178	Mr. Georgiev, please!
ParlaMint-BG_2022-02-17.u179	No, I said it in the best sense of the word. [[Laughter]] And when they stand on that stands, they wonder how to kill complexes. That's their problem.
ParlaMint-BG_2022-02-17.u180	Mr. Georgiev, a line to Mr. Drenchev, please.
ParlaMint-BG_2022-02-17.u181	I just wonder what shock and horror there would be in this room if reading the declarations wasn't 10, but 20 minutes. We'd be looking for an ambulance. Now get to the point. In connection with this bill, I recall a tragedy that happened 10 years ago. As a result of the chaos of river basin management, the dike of a dam broke and flooded the village of Bisser was killed there, some of them I personally knew. And I call on you to stop me from using some harsh term with my speeches and move on to the adoption of this bill, because we must finally put order in place. There are a lot of dams in the country ticking like a hell of a bomb. I hope the devil doesn't hear me, but there's a tragedy coming along with the Belly Iskar dam, Mr. Minister. By adopting this law, we will finally put the water supply management in Bulgaria under control. I call on you to proceed to the vote. Thank you.
ParlaMint-BG_2022-02-17.u182	Thank you, Mr. Georgiev. He's got a duvet from Mr. Drenchev.
ParlaMint-BG_2022-02-17.u183	Procedure!
ParlaMint-BG_2022-02-17.u184	I'm recording you for procedure.
ParlaMint-BG_2022-02-17.u185	Thanks for the lines. Indeed, water resource management poses a risk when talking about megahydrotechnical facilities, such as dams, such as riverbeds of large rivers. I've never heard of a flood caused by a well that can be drawn up to 10 cubic meters. This is for Mr. Georgiev. To Mr. Abrovsky. It wasn't the moment, I don't know why. The proposal was submitted quite in time, quite according to the Law. In the reasons we have sought to limit ourselves to two paragraphs, and the changes are in two articles that can be read. If we have to, we'll read them again. They're very easy, very obvious to digest. They were available to both the Commission and the MPs who were following the problem, so I see no reason not to be this problem now. If you want, if you reject it now, we wouldn't mind giving you the authorship of the Law to bring it in, and somehow reaping any dividends. But I do not see what dividends you will be making, especially the parliamentary group of the BSP for Bulgaria (BSP) if it does not support these decisions, because they in their election and politics, where they sat and became, said they were concerned about the small people, about the peasants, about the people who lived with their own work. At the same time, we see an absolute violation of their interests right here. From this point of view, I think the proposal is justified and now is the time. Right now is the time to see in this Chamber who is what and who is fighting for what. In today's framework, all the legislation that has been going on so far, the changes in these two articles in the Forests Act concern the most people, the most vulnerable people. This is where we can by consensus do something for people. I'm sorry I brought in this bill on my behalf. I said: because it was Friday night, the hours were running out and the time was running out. The deadline was reduced precisely here in this Chamber on Mr. Genov's proposal. So if you want, Mr. Abrovski, let's finish you as a co-author or whatever you want us to do, but let's pass this thing because it's important for all Bulgarians. Thank you.
ParlaMint-BG_2022-02-17.u186	Thank you. Mr. Abrovsky, you...
ParlaMint-BG_2022-02-17.u187	It's a personal explanation!
ParlaMint-BG_2022-02-17.u188	Why a personal explanation, what were you offended by? No, no, wait a minute.
ParlaMint-BG_2022-02-17.u189	I was mentioned.
ParlaMint-BG_2022-02-17.u190	You were mentioned, but where was the involvement? Please. There were people here who wanted to do the procedure. Come in from the DSS. Sorry, I don't know you by name. Alexander Ivanov is also for procedure.
ParlaMint-BG_2022-02-17.u191	Mr. Chairman, thank you. Dear Minister! My procedure is in the way of conduct, namely: as we know, last December there were areas in southern Bulgaria that were flooded and were in dire situation. It was then that the prime minister said in the media that he would help these areas as soon as possible. We had a question for you, Mr. Chairman, and we just received a letter saying that our question does not correspond. And our question was specific to Mr. Petkov because in his first statements on the media he said, I quote: "It is now the most important how the state can help and how this help to get to those who have suffered the most quickly. " "The Kardzhali, Smolyan and Blagoevgrad have not yet received such aid and people are waiting. Let us stop covering up the promises and commitments made by the ministers in this government, by Mr. Petkov as Prime Minister, and start working and helping these citizens because they continue to ask. Just because you're returning our questions doesn't mean the questions will stop. They have been waiting for the help the prime minister had promised them for the second month. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-17.u192	Thank you, Mr. Krastev. I don't know exactly what the question is, but follow the Rules of Procedure, we'll look at it. Here you go, Mr. Ivanov.
ParlaMint-BG_2022-02-17.u193	Dear Mr. Chairman, honourable Members! Mr. Chairman, my procedure is with you. A few minutes ago, my colleague Georgiev took a line. Unfortunately, you avoided what he began to say. He did not give any arguments in his statement on the Bill, which is being discussed today. He even made a brief retrospective of what parliamentary time was used for the declarations today by the parliamentary groups. My procedure for you, Mr. Chairman, is to observe those speaking in the tone of the bill we are discussing. Either way, today's Bill, which is viewed at second reading, is an extremely important text. Mr. Georgiev should simply make a remark to him the next time he uses the replica procedure to make such statements without respect for the procedures that parliamentary groups have in time for declarations. Thank you.
ParlaMint-BG_2022-02-17.u194	Thank you. Indeed, the speeches should also be on the texts we are discussing, and the lines should be directed at the main speech, I agree. Here you are, Mr. Anastasov, for procedure.
ParlaMint-BG_2022-02-17.u195	Thank you, Mr. Chairman. Since there is a need to have a discussion in the DPS group about the way these texts are being discussed, I ask for a 30-minute break and then we will resume the meeting. Thank you. Thirty minutes off, I want a break on behalf of the group.
ParlaMint-BG_2022-02-17.u196	Thank you, Mr. Anastasov. Fifteen minutes of interruption at the request of the DPS parliamentary group. [[After the break.]]
ParlaMint-BG_2022-02-17.u197	I'm resuming the hearing. I give the floor of speech to Nikolai Nankov.
ParlaMint-BG_2022-02-17.u198	Mr. Chairman, ladies and gentlemen of the House! These vacations are nice. However, we are calming the moods and nerves after that yellow-brown pasquil of our colleague from BSP an hour ago. This is another topic. Let's get to the point.
ParlaMint-BG_2022-02-17.u199	Mr. Nankov, please don't say that! I appeal to everyone, not specifically to the opposition.
