ParlaMint-BG_2022-02-10.u1	Honourable colleagues, please register. Colleagues online. Alexandra Milcheva?
ParlaMint-BG_2022-02-10.u237	Thank you, Mr. Dimitrov. Are there any lines to Martin Dimitrov? There's an honest Mitev here.
ParlaMint-BG_2022-02-10.u238	Mr. Chairman, ladies and gentlemen of the House! Mr. Dimitrov, I can't agree with you. I think they're looking at the numbers, but they don't seem to understand them. Someone lied to them that something is huge, but we actually have one of the smallest debts in Europe, one of the smallest deficits in Europe. Someone lied to them about having a fake pandemic, and they were all vaccinated. They seem to be watching, but they don't understand.
ParlaMint-BG_2022-02-10.u239	Is there a second line? I won't. We're going to the back of the bed, Mr. Dimitrov.
ParlaMint-BG_2022-02-10.u240	Thanks to my colleague for the line. Yeah, there's something else important about the deficit. In the budget deficit, the trend is sometimes more important than the nominal size and the trend is that it will decline in the future. As early as next year, it is planned to be 3%, then again 3, but here we will insist that there will be an even greater reduction in internal discussions. That is, when the trend is towards a drop in the budget deficit, it is reassuring for households, for citizens, for business, and for those international organisations that monitor these indicators, including, of course, the European Commission, and the prospect of Bulgaria entering the Eurozone. In terms of growth. A huge task, colleagues, is not only to achieve high growth this year, which depends, I know, on many factors. You'll say, "That's the way it is from mastering the pandemic, including." But it is even more important that we maintain the high rate of economic growth both next and next year. These forecasts that due to a general decline in consumption 2023 and 2024, we should expect lower growth, these are transcending things under proper policy. I'm using the extra time to put two topics on the table. One topic is to think about next year whether what Mr Karimanski said also mentioned that there was a public debate on the topic of a zero rate on reinvested profits. This is a matter that deserves to be discussed, to consider whether it will give us even more growth and further development. I would just like to point out to you that Estonia 1994, notice the introduction of a similar measure in 1994. And the second topic on which we can seriously think about this is: a temporary set of differentiated VAT rates for different sectors is introduced. I, Mr. Minister, like you, think that differentiated VAT is not the best policy in any case, but see what has been obtained? was given to a number of sectors and others have been denied. And now comes the logical question: when we are going to introduce temporarily differentiated VAT, why not for electricity, gas and heating? I mean, given temporarily for some sectors, why not temporarily give for others? Moreover, if we see, in this sector, things are not being handled and the regulator has been replaced. I wish success to new colleagues, efforts are being made, there are compensatory measures of the government. If we see that it does not work, it is a reasonable move, which, of a temporary nature, can also be considered and made. Colleagues, I end up with the same thing again, the high growth of the economy is possible if we improve the environment in the same way that the Baltic countries did, Romania did. We just have to do the same. Thank you.
ParlaMint-BG_2022-02-10.u241	Thank you, Mr. Dimitrov. Here you go, Mrs. Ninova.
ParlaMint-BG_2022-02-10.u242	Mr. Chairman, ladies and gentlemen of the National Assembly, colleagues and honourable Bulgarian citizens! We are currently discussing the only law in the country, the only one that affects every Bulgarian from the baby to the centenarian. It's the only law in the country that enters every home. And if you read it carefully, you'll make sure that's true. Quite logically this conversation goes through numbers and through numbers and quite logically we have radically opposite opinions on the same issue: you, as political parties, from saying that this budget takes us away from the euro area, to the fact that it accelerates the path to the euro area, from the fact that we are continuing the so far policy of GERB more than that, to the opinion of colleagues from GERB, that we are totally pushing the cycle around the economic and financial, of development and we are doing something new. Quite normal different opinions when discussing budget and budget procedures. But honourable Members, this budget is very different for us, not just because of the numbers, but because of its philosophy, which we are discussing now at first reading and which I will try to argue. The crises changed the world and imposed a change in both financial policy and state policy and sectoral policy. This in Bulgaria was combined with a change of governance. That is, we have two great reasons to stand before you today with a different budget and I will try to say why. Different in the big, otherwise with the numbers we can argue and can in any way be interpreted. Until now, both in the world and in Europe and in Bulgaria, the philosophy of withdrawal of the state from key sectors in the economy, in security, in the lives of the people, and total liberalisation of the market. It was a philosophy of governance for many years of many countries. The crises have shown that this is the wrong model and that the state must return its role to where it belongs, not just to a side monitor of the processes. Because that model led the big ones in the free market to destroy the small, the rich to become richer, the poor to become poorer and to increase the scissors of inequalities. And the crises forced governments in the world to change this policy. The state should regain its role and assist its people in this crisis. Petkov's government meets these objective and new conditions of development. We also appeal for such a policy, for an enhanced role of the state, as President of the BSP for Bulgaria. We regret that people felt it through the burdens and through the crisis, but it is obvious that the state must return. Here is your first major difference, essential, in the philosophy of the management of Bulgaria through this budget. The second significant difference is the social state. Twenty billion social expenses are not just a number. They're showing attitude. They show a new attitude towards the social theme. And notice, not just a scattering of these social costs on this little, that little, but social costs in a system aimed at different groups of society, but bound into a system. And let me draw your attention to one subject, in two words, which I notice in this budget and bind them to social costs and to combating inequalities. For me, this budget is a budget for demographic thawing. Once again, I will draw attention to the National Assembly that we have a huge national problem and challenge the meltdown of the Bulgarian people. Eight hundred thousand in recent years. And all policies are good to subdue this issue. And why am I saying that the social state and this budget are going through demographic thawing? Because this money is aimed at children and free nurseries and kindergartens, students and their health care by increasing the funding of health offices at school; children and healthy lifestyles by increasing the funds for quality food in schools; children and sports by increasing the funds for new stadiums, fields and so on; children and education by increasing the funds for scholarships; government and state and young families by increasing the funds for motherhood in the second year, children's allowance for raising a child; government and attitude towards the health of the nation as part of the problem of education for the first time we enjoy additional funding and care for municipal and remote small hospitals in mountain areas so that everyone can have access to healthcare. Of course, the additional resources for pensions, and I can continue with concrete examples. Let us not look at this statement, which is now both left and right, and centrists repeat: the most social budget is. The leftmost budget is from recent years. We can argue as much as you want with ten thousand or less, or more, objectively is the most social, but it is not aimlessly the most social. He's oriented, I sum it up like this, to the demographic question. And I do not want to exaggerate the role of BSP for Bulgaria. I want us to be modest and talk to arguments. Perhaps not all of this is due to us, but we have made a significant contribution, taking part in the government, to make this a fact. I would like to say some more things about which this budget stands out in the depths of policy making. That's the central government attitude. Dear colleagues from the older MPs, you remember what has been happening in recent years. The state was constantly transferring new and new duties to the municipalities. The state was constantly relieved of its commitments and tossed them to the mayors and not once in the budgets these new obligations were not guaranteed by money. They threw themselves at the local authorities and they said, "Get well." Now no new obligations are transferred to the local authorities, on the contrary, are relieved by some obligations, but there is an increase in funding in the matching subsidy, in capital expenditure. There's a normalization of central government relations. I hope it becomes a trend. Finally, it may seem to you that this is a point of order, but no, it is also a very fundamental issue of the management of a state... the way in which the budget is made. I pay attention to you: the capital costs, which increase almost twice, are scheduled in the budget. They are not left to be an excess which, at the end of the year, in the form of two or three billion to go as PMSs, without parliament ruling. It's not just procedural this thing, it's basic because here in this Chamber, in the National Assembly, the policy of Bulgaria is being made, including the financial one. And it wasn't a coincidence last year, and now, this government is showing respect for parliament. If we want an update, we come here, we don't do it with PMS. When we want the budget for 2021 to apply and the first three months of 2022, we come to you. We come every time you need us to be here, to explain this is also a radical difference from the current way of making politics. To know and to have order in the state which institution is responsible for and no one to exceed their rights but to control each other and restore institutionality in Bulgaria. We understand that in order to develop all policies, the most important thing is to develop the economy. I will not last long for the sector which I represent, the economy and industry you have heard from Mr. Dimitrov good data. If we do what we have set out in the budget as policies, three things are important in order to develop an economy: investments that we have staked twice as much; consumption that we expect to increase with the increase in people's incomes; and exports for which we have placed incentives in the budget. If all of this is done, we express an even more optimistic forecast of growth could become more than 4.8%. Of course, we have a lot of work to do. In the final I would like to call for you to support this budget because it has merit and they are: developed economy through the role of the state in it, a social state to help the people, and unitedly the two, I would say, a first step towards a real fight against Bulgaria's demographic catastrophe, which should be the number one priority for us all, without regard to the colors and the parties we represent. Thank you for listening. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-10.u243	Thank you, Mrs. Ninova. For speech I give the floor on behalf of the Movement for Rights and Freedoms and then Dragomir Stoinev. Thus, all parliamentary groups will have had two speeches at a time. Then I recorded Krasimir Valchev, Vladislav Panev and Ivaylo Shotev in this order.
ParlaMint-BG_2022-02-10.u244	Dear Mr. Chairman, honourable Deputy Prime Ministers, honourable Ministers! Today, from the parliamentary group of the Parliamentary Committee on Rights and Freedoms, we are obliged to express our concerns and warn that the proposed budget cannot bring us out of the raging crises, and we believe that these budgetary parameters will deepen them. The ruling majority called this budget an investment and the most social budget. We at the Movement for Rights and Freedoms and we characterize it as an election budget, a pro-inflation budget, a political lie budget, a budget of continuing the replacement or continuing the budget of the SUV because we believe that the budget is pre-election. The macroeconomic forecast is not justified. The growth of 4.8% is highest against all institutions that predict it: BNB, the European Commission - even today the European Commission has lowered the forecast by 0.2%, and the International Monetary Fund. It is strange that the highest growth is foreseen for 2022, namely 4.8%, and the following years, when the results of the coalition's management must be seen, it decreases. Most likely, the government has a short vision of governance and plans to throw away the white towel this year. It's a pro-inflation budget. A high deficit is envisaged, especially on a charged basis of 5.5% of gross domestic product. It is likely to be more, with the deficit remaining above 3% in 2023 and 2024. We pay particular attention to the evaluation of the Fiscal Council. According to them, the budget is not in line with European rules, costs are excessive without seeing their effect. There is a risk of major deficits in the future and an even greater increase in debt. The cash-based deficit amounts to 5.9 billion. BGN, or 4.1% of gross domestic product. It's a purely accounting result. If we add 2.9 billion to it. lv. from last year, really this year the expenditure will exceed the revenue by 8.9 billion. BGN, or 6.2% of gross domestic product. This is a very serious fiscal stimulus, and in a year with forecast record economic growth. This will further increase inflation, and our assumptions are that it can reach 10%. The cost is 63 billion, or 44% of gross domestic product, but this is without this 3 billion from last year. Adding it to this year and subtracting it from last year gives us a cost of 66 billion. BGN, or 46% of gross domestic product. Such blowing of costs without visible effects is a serious risk in the medium term. These costs are supported by inflationary revenues. When inflation declines, revenues will fall, but very difficult costs can be reduced. The risk is to get huge deficits in the future and even higher debt. In the Committee on Budget and Finance, we had a few questions and we had requested several references to which we did not receive an answer. I want to repeat them and ask them here. Why aren't the capital costs detailed? Thus, they are opaque and subject to the bad practices of the recent past, in which they were used as a buffer, to reduce the deficit or were transferred for subsequent years. Send us this detailed reference for planned capital expenditure. What is your project readiness for this 8 billion. lv. and what are the expected effects of their use? Will the payments on them again be concentrated in December? In line with our proposed amendments to the Public Finance Act, you have shyly indicated a small part of the expenditure in the central budget. Why not mention all costs? Send us a detailed reference to the central budget, including if some of the funds are currently available as a reserve. Why do we think this is the budget for the SUV? This is because of art. 87 in the way in which it is written: The terms, order and criteria for providing additional transfers from the central budget of the budgets of the municipalities for capital expenditure and expenditure for ongoing repairs of objects of technical and social infrastructure shall be determined by an act of the Council of Ministers on a proposal from the Minister of Regional Development and Public Works and the Minister of Finance. 87? When will you provide them to municipalities because any delay, for example, we hear about the update in July, risks projects not being able to start in this year? There's no change. The replacement continues with the new model of the SUV. Why do we think this budget is a political lie? You are most likely learning from the former prime minister, who said that the best lie is after hunting and before elections. I will quote Asen Vassilev, Deputy Prime Minister: in the election campaign of a question asked to him, are you going to build tunnels, highways and bridges? lv. per year is spent not according to purpose, so per year we can build 40 bridges or two highways from Sofia to Varna. And now at the adoption of the budget, representatives of the Council of Ministers tell us that a significant part of the external debt is intended precisely for investments. [[The President signals that time has expired.]]
ParlaMint-BG_2022-02-10.u245	Time's up, Mr. Bayram.
ParlaMint-BG_2022-02-10.u246	The 2022 budget is the biggest political lie of the year. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-10.u247	Thank you. Are there any lines to that statement? I can't see. I give the floor to Dragomir Stoynev. [[The National Representative Iskren Mitev is going to the stands.]] For a line, Mr. Mitev? No. Okay. Here you go, Mr. Stoinev.
ParlaMint-BG_2022-02-10.u248	Thank you. Thank you, Mr. Chairman. Dear Mrs. Deputy Prime Minister, ladies and gentlemen of the House! I think it is quite normal for the opposition to criticize the budget, it would be strange if the opposition liked the budget. I also understand the liberal colleagues, and I understand the colleagues on the right, but in the end, the time when the belts were tightening and tightening and it was the neoliberal theory that when you tighten the belt, you will suddenly live better. It's just that time has passed and has been disproved by modern economic theory. In Bulgaria the costs were 46% and you see, this was a very big problem and we will increase inflation. It is simply not because in Europe the average cost is about 50 and over 50%, that is not an argument for inflation. The reason for inflation is that we are a small, open economy, energy carriers are the main cause of inflation both in Bulgaria and throughout Europe and, of course, let us not forget what the European Central Bank has done with the printing of funds precisely for the recovery of economies. So right now is the time to invest, and that is why there is this programme, I very much hope that you do not deny it We, on the left, cannot be dissatisfied with a budget that doubles capital expenditure. A budget that will provide free kindergartens and nurseries for the Bulgarian children will also have 70 million additional ones to build new kindergartens. With 30% increase capital investment also in municipalities, something that has indeed not been done for a long time, and I believe that everyone in this House welcomes it. The vouchers of 80 leva. They're 200 leva away. and they can be used to pay utility services. Increasing the minimum wage is correct and there is hardly anyone in this room who is opposed to increasing the minimum wage. Moreover, there are 315 million. lv. to increase the salaries of pedagogical specialists. The theme of maximum insurance income is supposed to have some tension, but in the end we on the left have a good coalition culture and when we say that we support certain policies based on an agreement, there is no way we can bend our hands between first and second readings to push some changes. That is, we are a correct, secure partner, this is the right step in this direction, because if people want to receive higher pensions, they must also be provided for higher salaries. Isn't that right?! It's not normal for a person who... the insurance burden, the more salary you have, to get it reduced, and the one who has a small salary, to have the highest insurance burden. So here we have a justice that really has to find its place, and of course, those people who provide more, they will also get higher salaries. That is to say, I believe that the dispute is unnecessary, but in the end everyone has a right. According to the information provided by the Icelandic authorities, it is not possible to assess the compatibility of the measure with the internal market. BGN, a kind of measures in support of the business 853 million. BGN, a kind of measure in support of the government bodies I see 600 million. lv. I mean, I think the budget is really right and the budget is needed. Whether it is reformist, as there have also been such criticisms, colleagues, in the end this is the first budget of this government. We cannot expect from the first day, from the first minute, from two months of work, suddenly to start major reforms. I see they'll come with their time. However, there are also a few things that concern me a little, and someone has touched on them in the long-term forecast, as we see that the gross formation of core capital for 2022, in 2023, has increased sharply and in 2024 it has fallen. This, of course, is the reason for the Recovery and Sustainability Plan, perhaps the idea of being stimulated through this plan and internal investment, but such a huge decline in me personally seems excessive. And of course, what also bothers me is our deficit in the trade balance, that there is indeed a sharp increase in imports. That is to say, with these investments, we should still think about not stimulating foreign economies in order to import the products. What's the solution? As some of our fellow Members have said in this House, we really need to wake up this approximately 115 billion. BGN, which sleeps literally in the banks, which are needed precisely to go out and stimulate the economy, to stimulate the capital market, so that the country can really find internal funding, and not that we can expect from the outside. So, for the first budget of this government, I believe that a really better one could not have been drawn up in the two months that have passed. Thank you. [[(Applause from the BSP for Bulgaria]]
ParlaMint-BG_2022-02-10.u249	Thank you, Mr. Stoinev. Are there any lines? I can't see. We move on to Krasimir Valchev's next statement. Here you go, Mr. Valchev.
ParlaMint-BG_2022-02-10.u250	Dear Mr. Chairman, honourable Members! This budget really, and every single budget, has a difference compared to the previous ones. There is one big difference, however, that we did not seem to talk enough about until now, and that is inflation. The previous years inflation ranged between 1 and 4%, now we have every reason to believe that it will be a two-digit number. Today, the European Commission is updating its forecast. Inflation is the strongest tax. You take 10% of everything, everything goes up 10%, the Minister of Finance raises 10% more, the salaries in the budget sector go down 10%, the institutions pay 10% more for the goods and services they use. And this is the main feature of this budget. Inflation is imported, but only partially. At least 3% of inflation is due to... and this is the difference with European inflation, due to late measures to compensate for business. Late, insufficient, this is the added Asen Vassilev. He struggled to compensate for the business and the high prices of the energy carriers penetrated the final prices. From now on, we start at minus 10%. This budget starts at minus 10% and all the increases you're talking about, which Ms. Ninova listed that it was social. Why, since there are so many social increases, social costs fall? For one reason, the inflation again. 10% increase in social costs, but they will all be eaten by inflation. There's no income policy. [[Reply from "We're continuing the Change. "]] Where's the income policy? Income policy is minus 10%. Teachers only. Where's the service, where's the police, where's the community service? If it's for the people, it's for those people and families that we can list by list, we know who they are, who we can name them, forgive them. Our doubt is that Assen Vassilev likes inflation. He likes her because he takes more money with one hand, and the other brings back some of them. Moreover, he said that the consistent policy of budgetary stability was the main culprit in the last 25 years... and it stated it symbolically on 4 February last week. On the other hand, many economists tell him that the damage caused by pro-cyclical budgetary policy, by expansionist fiscal policy in the form of inflation can outweigh the benefits of expansionist fiscal policy. [[Deputy Prime Minister Assen Vassilev enters the Chamber.]] But he might have heard it, I say again, he likes it, on the one hand, with one hand to take 10 units, with the other return five, everyone is satisfied and we note that there is an increased collection. Soon data will come out on the physical volumes of excise goods, it will be seen that there is no increased collection, it will be seen that there is no 8 billion saved. lv. from leaks. If there were, couldn't you give 20 million to the Bulgarian Academy of Sciences and 100 million to the higher schools? Is that how you treat people and human capital? I don't know how you understand it, but again, this is the budget of inflation tax. We've got a big tax to pay. Thank you.
ParlaMint-BG_2022-02-10.u251	Thank you, Mr. Valchev. Are there any lines? I can't see. Please come in for a statement, Mr. Minister.
ParlaMint-BG_2022-02-10.u252	Thank you for that speech, Mr. Valchev. In the part that I heard outside the hall and in the hall, I want to address two things directly. Firstly, you probably know that one of the first things Parliament did was put a moratorium on electricity prices for domestic consumers on your proposal, by the way. One of the following things that he did, I think, in his second week of work, was to allocate the additional revenue expected under budget 2021 so as to secure the funds precisely to compensate the business for the electricity, after which the Council of Ministers adopted a decree and, in parallel, sent a notification to Brussels. So no one has stumbled, no one has slowed down, the notification for Brussels came and the February accounts have reflected both the compensation for December and January. As to whether there is an inflation tax or no inflation tax. The average annual inflation last year is below 3%. The inflation at the end of the year is 6.6 compared to December, according to recent reporting data. But if we look at the revenues in the treasury, the inflation tax, yes, there it is, there it is every year, last year it was about 3%, this year we expect it to be a little higher between 5 and 6%. If we look at the growth of social payments, they are significantly ahead of these rates. So what ultimately vulnerable groups and people who need these payments are getting ahead of inflation, and it is significantly ahead of inflation. Thank you.
ParlaMint-BG_2022-02-10.u253	Thank you, Mr. Secretary. Now a line to who? I'm sorry. Here's a line. Procedure is procedure. Mr. Wolf's line.
ParlaMint-BG_2022-02-10.u254	Mr. Valchev, I'd like to ask how inflation will affect the municipalities. Thank you.
ParlaMint-BG_2022-02-10.u255	That was a question more, but nothing. Today we are more loyal with regard to the Rules of Procedure. Here you go, Mr. Valchev.
ParlaMint-BG_2022-02-10.u256	If there's a second line, yes, of course.
ParlaMint-BG_2022-02-10.u257	I didn't see it because... Here's a second line. Is there a third? Okay, Mr. Angov, then it's you. Here you go, Mr. Mihnev.
ParlaMint-BG_2022-02-10.u258	It's very important from the highest tribune... Thank you, Mr. Chairman. It is very important that the highest tribune of Bulgaria does not cause fear. Nobody's predicting double-digit inflation anywhere. You have heard the inflation forecast of the Council of Ministers. I think that 10 points and 10% came from somewhere else, but I'm not speculating from where. Thank you.
ParlaMint-BG_2022-02-10.u259	Thank you, Mr. Mihnev. Mr. Angov, you have the third line.
ParlaMint-BG_2022-02-10.u260	Dear Mr. Chairman, honourable Deputy Prime Minister Vassilev, honourable Members! Dear Mr. Valchev, a brief line on the topic with the Bulgarian Academy of Sciences budget and the budget for science at universities. As you well know, a programme or plan has been requested how the funds we would like to provide for science will be used and what results they will receive. And instead of results, we get press conferences. Thank you.
ParlaMint-BG_2022-02-10.u261	Thank you, Mr. Angov. You have the floor for the duvet, Mr. Valchev.
ParlaMint-BG_2022-02-10.u262	Thank you. Here in the couloirs of parliament let us read also the newspaper "I-Buki" and read the press release of the Ministry of Education: We considered that because of the high inflation within the already fixed budget it is necessary to raise by 30% the additional costs of construction and construction activities of a school and kindergarten................................................................................................................................ In other words, they will build or repair 30% less schools. Do you really believe that inflation is 2.6% or that inflation is 5% or that it is 6%? Business cancels contracts, inflation hinders economic projects. It is an average year perhaps lower because high inflation rates started from the middle of last year. You're late with the compensation, you're late even then. And now you've decided not to be a higher percentage, which made business ultimately reflect them at extreme prices. This is your personal contribution over imported inflation. We will see by the end of the year, as our colleagues in the House of Rights and Freedoms said, my doubts and my words that you like inflation remain, because it is the best tool of one minister..takes more, redistribution, boasts that it collects more money, but in fact, if we impose on the tax models, we will see that there is no increased collection, that there is only one propaganda, only one deception. Minus 10% is income policy since the change came. As Telenor and I have been told, the Change will be available in your account. [[Heckling]] Okay, as a mobile operator wrote to us: The Change will be available in your monthly account. Bulgarian Academy of Sciences and Higher Schools in the last four years had between 65 and 70% nominal growth of subsidies in cumulative 8.5 inflation for the period 2017 - 2021. That is to say, they actually had 60% growth. Now they start at negative nominal height. This is the difference between this budget and previous budgets. Then, when we talked about an increase, there was an increase. Now that we're talking about an increase, we're talking 10% up. Everything from there is either a reduction or a partial compensation. Municipalities couldn't be better because they were also bled out, they wouldn't be able to keep the municipal employees. It's not optimization, it's maiming. There's a big difference between optimization and maiming. The increased capital subsidies will go to the higher value of construction and repair activities. Thank you.
ParlaMint-BG_2022-02-10.u263	Thank you, Mr. Valchev. The word is Mr. Panev.
ParlaMint-BG_2022-02-10.u264	Dear Mr. Deputy Prime Minister, Mr. Chairman, colleagues! We will, of course, support the budget because it meets the coalition agreement. Unlike the BSP, however, we would like to express some concerns about the size of the deficit and state spending. Mr. Gechev spoke about countries from Western Europe with deficits of 10 - 11% of gross domestic product. For us this is not the direction, for us the direction is rather to adhere to these 3% of the Maastricht criteria, which are important, not only to meet the criteria for the euro area, but also to our financial stability. Yes, I am worried about the data from Europe today about the increased inflation expected in the euro area and in the European Union at all. It is very likely to be above the data that is recorded today, so I see this as a serious risk. However, I consider as a plus for the budget that there are at least two serious buffers in it. One is the VAT revenue. If inflation is higher, God forbid, but still, as I expect, the VAT revenue will probably be overrun. And others are capital expenditure, where, if there are not enough efficient projects, it is better to save money than, you know, that inefficiently invested capital expenditure, whether it comes from money from Europe or from our Bulgarian budget, can actually have a negative role instead of positive, that is to say, stick out eyes instead of decorating eyebrows, or what was the expression? So naturally, we support the budget, but we have our concerns and naturally, they will also be expressed in the debates on the update after the end of the first half. Thank you.
ParlaMint-BG_2022-02-10.u265	Thank you, Mr. Panev. Are there lines? I can't see. I give the floor to Mr. Shotev. In the meantime, the remaining time of the groups. We are continuing the Change. 20 minutes, GERB-SDS 1.49; BSP 3.23; "Democratic Bulgaria" 1.26, that is to say we are approaching the end.
ParlaMint-BG_2022-02-10.u266	Dear Mr. Chairman, honourable Mr. Deputy Prime Minister, honourable Members of the National Assembly. Budget 2022 is different from any other budget made over the last 20 years. Firstly, due to the fact that three parliamentary elections took place in the previous year and until recently, our country did not have a working government. Secondly, which is even more important, budget 2022 is being constructed under an unprecedented economic, energy, social and health crisis. This naturally affects all sectors of the economy both in Bulgaria and around the world. The budget proposed by the coalition government focuses on the hopes of the entire Bulgarian society. As you can see, it provides sufficient funds at the same time for the support of private business in these difficult times, as well as to help all vulnerable groups. However, in order to speed up the development of the economy, we need more resources and more investments. The proposed budget in the National Assembly includes investment in human capital, infrastructure projects and support for citizens. Let me refer very briefly to several numbers that are set out in budget 2022. In this extremely difficult year for Bulgaria and the world we predict that the economic growth will be 4.8%, which is the biggest economic growth in the last 12 years. This economic growth will naturally lead to a reduction in unemployment from 5 to 5.5%. The Commission therefore concludes that the aid is compatible with the internal market within the meaning of Article 107 (3) (c) of the Treaty. lv. more for pensions, municipalities will receive 666 more, of which 67 for investments. The minimum amount of the fiscal reserve is also intended to remain unchanged as compared to the investments for 2021 amounting to 4,5 billion. Without a doubt, the measures we are proposing in budget 2022 are aimed at increasing economic growth. However, they will be accompanied by a drastic change in the business climate. This includes: blocking corruption, an independent judiciary, legal stability, removing administrative obstacles and a proactive policy for attracting foreign investment. Dear colleagues, I hope for constructive debates on budget 2022. It is normal for parliamentary opposition to have comments, to have criticism. I am convinced that ultimately, one way or another, our proposals will be reflected during the debates. This is because we all have the understanding that we need to respond to the severe challenges facing our country and protect our national interest. Thank you. [[Applause from "We are continuing the Change."]]
ParlaMint-BG_2022-02-10.u267	Thank you, Mr. Shotev. Are there any lines? I can't see. The word is Mr. Peter Kanev.
ParlaMint-BG_2022-02-10.u268	Dear Mr. Deputy Prime Minister, dear colleagues! I will try, within 3 minutes, which I have left, to focus on some much more, I would say, small pebbles in the shoe of the Bulgarian business, as a colleague called them, because when the Minister spoke about the investment climate, not only the big problems, the macrorama, the fight against the corruption of the macronivo are included and all those small things that concern the Bulgarian business. Colleague Gechev, Stoynev focused on some problems of macroeconomics. I'm not a macroeconomicist. I would like to recall a magnificent statement by God to forgive her, the former Minister of Finance Hristina Vucheva, who said that people have the right to their own opinion, but no one has the right to their own facts. I think that in this government, with this government, we are all entitled to our own opinion now and we can speak it calmly. I will not dwell on the numbers that have been commented. Yes, it is impressive that we have almost double investment growth, it is the impression that the social component of the budget is extremely strong, which we, as MPs from the BSP for Bulgaria, make us support, naturally, extremely strong this budget. A few words on budget philosophy. If you remember, I'll take you back in 2009. For Simeon Dyankov's post pizza. To be precise, today's pizza is much fatter, with thick stuffing, with a lot of ham and French cheese. So the budget is very different and this is a whole new philosophy. In fact, behind this allegory with pizzas lies the philosophy of new budgets, the budgets of investment, the budgets of spending. I have always said years ago that for me the budget deficit and external debt have never been a sacred cow and on this line I think your approach and philosophy is correct. I'd like to congratulate you, by the way. For the first time I see such a miracle, the Minister of Finance will withdraw proposals between first and second readings in the Transitional and Final Provisions. Because I have not once a case of going on a visit to an enterprise or factory and telling you: "We start reading your laws backwards from the Transitional and Final Provisions. Very little, just a few words literally, about the topic This is usually the family business, which is extremely busy with all regulations, overgrown with everything. Because I see that time is running out, I will very briefly say a few words about what we commented during the coalition negotiations and which, in my opinion, you should not forget. The patent tax. It's an extremely important topic. Please think about it. Accelerated depreciation of buildings. There is no way in new types of construction, in the new modern construction for 25 years to depreciate. It's a shit charge. There are no municipal elections this year. Let's see what we're doing. Every government, every municipal election comes, it's over. I didn't even comment on GERB, either, before. To doing business. You know, we're all over the charts after 100th place of business joining the elms or building permits. 100% depreciation for software, computers and all digital. The mission regulations. Let's solve this thing. We're embarrassing ourselves everywhere we go. This is in your hands, you don't need a parliament at all. [[The President signals that time has expired.]] The administrative reform. This topic has been chewed up for years! It's a weekend tax. Thank you for this, the taxation of interest rates is correct, as it is already what to benefit from... they are negative. At the least, I think we should return to the topic of Obama, on which we commented years ago on this model.
ParlaMint-BG_2022-02-10.u269	The weather, Mr. Kanev.
ParlaMint-BG_2022-02-10.u270	I'm finishing up, just one sentence. The VAT threshold has already been discussed. By the way, just one more detail. Consider carefully the balance between grant schemes and financial instruments. I think you're going in a slightly different direction. And, the second one, do not digitize just, shorten entire documents and requirements for business. Last I would just like to return you to the brave soldier Schweik, who had told you about his service in the Austro-Hungarian army: "It is extremely heavy, but in return it is prolonged. " - I wish it to you. [[Applause from BSP for Bulgaria.]]
ParlaMint-BG_2022-02-10.u271	Thank you, Mr. Kanev. Are there any lines? Here's a line, Mr. Mitev.
ParlaMint-BG_2022-02-10.u272	Dear Mr. Chairman! Dear Mr. Kanev, I agree with most of the things you said, without one. This is not a budget of investment and spending, but a budget of investment and growth! [[(Shouts from "GERB-SDS": "Bravo!" Bravo!]]
ParlaMint-BG_2022-02-10.u273	Thank you, Mr. Mitev. Here you are, Mr. Kanev. Maybe you can fix it.
ParlaMint-BG_2022-02-10.u274	I'm not fixing anything. Honestly, because he's sitting in my row and so old-fashioned showing some respect, he decided to give me three more minutes, and I'm not gonna have enough, so thank you one more time. Good luck. [[Applause from "We are continuing the Change" and "BSP" for Bulgaria.]]
ParlaMint-BG_2022-02-10.u275	We're done with the lines and the backdrops of that statement. Are there any other statements? [[Heckling]] Here you go. There's plenty of time. Again, let's say: GERB-SDS.. 1.49 minutes; DB.. 1.26.
