ParlaMint-NL_2017-05-16-eerstekamer-7.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2017-05-16-eerstekamer-7.u123	Before we continue with Mrs Vos' input, I would like to point out to the Secretary of State that his permanent taps are audible until this point. That's kind of annoying.
ParlaMint-NL_2017-05-16-eerstekamer-7.u124	Mr. Chairman. Today we are discussing two legislative proposals that are closely related, the Law on Ground-based Growth Dairy Farming and the Law on the Implementation of Phosphate Rights. This latest bill cannot be separated from the regime with the phosphate reduction plan 2017. Mr President, I see that my speaking time is still at zero. It's useful for me to be able to follow a little bit how long I'm talking.
ParlaMint-NL_2017-05-16-eerstekamer-7.u125	You've been at it for 25 seconds. I'll keep an eye on it. You signed up for 20 minutes. As soon as someone interrupts, I'll stop the clock. Then he walks on again. But I warn you in time, because when I see your piece like this, it's gonna take a little longer, and we don't have that time.
ParlaMint-NL_2017-05-16-eerstekamer-7.u126	That's why it's so important for me to keep track of time. Thank you, Mr. Chairman. I get the feeling of a theatre play, or rather a drama, with many companies. At every company, you're getting more gloomy about the happy ending. From the beginning we could see that things went wrong, but the players refused to change their game. With this bill and the phosphate reduction plan, too, the Netherlands is not at all sure that it will comply with the European Nitrate Directive. It is also not at all certain that these legislative proposals will lead to a sustainable, responsible and animal-friendly dairy farming in the Netherlands. Once again, we are making legislation more complex for companies and government, and therefore more difficult to implement and control. Since the 1980s, the Netherlands has been struggling with a surplus of manure and livestock farming that is growing out, at the expense of animals, nature, the environment and the quality of life. Where in the beginning it was mainly pigs and chickens, dairy farming has gradually taken over this role. That is extremely sad. This would not have been necessary if the authorities had previously intervened, inter alia with a view to the expiry of the milk quota. However, once that wrong decision had been made, in the eyes of GroenLinks, there was still time to prevent the matter from getting out of hand from the date on which the milk quota was abolished, namely 1 January 2015. Everyone saw coming that many dairy farmers were going to expand considerably. Scale expansion and supposedly more efficient production, that's what it was all about. That's what all the space came for now, while there was no solution for the manure. In 2013 I was at a meeting of the NZO. There some claimed that dairy farmers who were already going to exceed their quota were the people of the future. They were the smart and far-sighted entrepreneurs, who paid a fine for a glorious future for Dutch dairy farming and dairy farming. This is what my group strongly criticises the government and the sector of agriculture, the dairy sector and the banking sector. Apparently, these are dollar or euro signs rather than a vision of a sustainable, responsible development of dairy farming; they are money rather than common sense. GroenLinks and other groups in this Chamber have already asked the cabinet years ago to have a new production control system ready with the expiry of the milk quota immediately on day one, so that we would continue to produce within the environmental standards, so that we would continue to comply with the European Nitrate Directive and the Water Framework Directive. But no, at the time Secretary of State Dijksma didn't think that was necessary, under pressure from the agricultural lobby. It was sufficient to warn the sector that measures would be taken once the phosphate ceiling was exceeded. We knew that. While the dairy sector's growth was already clear in 2013, and in 2014 it was such that the ceiling was exceeded, only on 1 July 2015, when the figures from 2014 were final, the brake was put on it. As a result, there had been strong growth and a lot of investment. Painful measures, capital destruction and financial damage have now become inevitable, while a forward-looking production control policy could have prevented that. The Secretary of State is now intervening with the aim of reaching and remaining below the phosphate ceiling for dairy farming and thus maintaining the derogation. What we are missing is a clear vision of the future of dairy farming in the Netherlands. Where does this cabinet intend to go and what steps should be taken to that end? To what extent does the intervention of the Secretary of State fit in? GroenLinks advocates a dairy farming that produces sustainably, that is animal-friendly, that strengthens the environment, nature and landscape, that contributes to a liveable countryside and a good income for dairy farmers and that provides milk and products of high quality. GroenLinks advocates quality rather than quantity. The legislative process of dairy farming since 2014 shows a build-up of successive schemes, which are not always well interlinked. The future does not seem to be a coherent vision, which is so badly needed. I have one comment to make on the proposal for a law on land-based growth in dairy farming. This is a conversion of the equivalent AMvB, as the Chamber wished. However, I would like to emphasise that the title is misleading. The land-based dairy farming is, of course, only partly realised with this bill. It's only partly ground-bound. It's only half effective. That is an extraordinary pity. I am now focusing on the proposal on phosphate rights. In our view, a number of parts do not fit in with a sustainable, responsible dairy farming, as I outlined earlier. First of all, I ask the Secretary of State why he is holding on to a phosphate ceiling per livestock sector. Europe does not ask for this at all and wants the Netherlands to remain below the total phosphate ceiling. This leads to the strange situation that the Secretary of State does allow growth in the goat and meat-cow sector, but intervenes harshly in the dairy sector, including those farms which remain below the European nitrate standard of 170 kilograms of nitrogen per hectare and do not in fact need the derogation. I'd like to get a reaction to this. Secondly, we have a major problem with the system of marketable phosphate rights. This deprives the government of an important steering tool, namely to steer sustainability. Handlerability strengthens scaling and especially allows dairy farmers with a lot of money or a lot of borrowing capacity to expand. It does not matter whether enlargement is a biological or sustainable business. Quite the opposite will happen, because anyone who wants to buy expensive phosphate rights will have to be able to recover them from highly productive animals who supply a lot of milk. These are not the more extensive farms, such as organic ones, while the current manure crisis, but also the climate problem and the animal welfare questions, make it clear that we are at a turning point. Do we now opt for sustainable, future-proof dairy farming or let the market make the choices and continue on the path of scaling up, a lot of capital and thus a high pressure on high milk production, which also attracts a heavy change on dairy cows? Are we continuing to use many raw materials and more environmental pollution, which we are primarily trying to tackle with technical solutions? We think it is a missed opportunity that sustainable development is not an objective of this law. A system of non-marketable rights would have given the government the unique opportunity to steer sustainability. We also wonder whether the marketable phosphate rights will not be an expensive joke. It is estimated that the government is giving 5 to 7 billion phosphate rights to the sector from various experts. What will happen if there is a need to intervene again in the future and to remove phosphate rights from the market? The Secretary of State is convinced that this will not lead to claims for damages. He says there are no independent property rights to phosphate rights. In his view, this was also demonstrated by the ruling of the Supreme Court on marketable pig rights. But to what extent does phosphate rights apply to dairy farming one-on-one to pig rights? We would like a more detailed explanation from the Secretary of State. Is he 100% sure of his case? The Secretary of State has also been in trouble with marketable phosphate rights vis-à-vis the European Commission. The Commission considers this to be State aid and it is not allowed to help the sector to comply with the obligations of the derogation. Would the Secretary of State please explain how he was attacked by this judgment of the European Commission? Why didn't he choose the non-marketable phosphate rights at the time? My group wants a system that controls sustainability. Good proposals have been made for this, including by the nature and environmental organisations that have proposed with a coalition of land-based farmers a standard of up to 2,3 LU/ha including young cattle, with a maximum number of kilograms of milk per hectare, a closed manure feed balance per farm or region and with permanent grassland as the main objective for feed. This is a livestock farm, as it traditionally belongs to the Netherlands. Simple, clear, and verifiable. GroenLinks wholeheartedly supports this proposal, because this is the forward-looking approach that is urgently needed. The Grashoff motion of April 2016 called for an independent study on how the livestock sector could grow broadly towards a system of land-based animal rights, while simplifying legislation. What has the Secretary of State done with this wish of the House of Representatives? Does he recognise the complexity of the current regulations? Does the Secretary of State also recognise that simpler regulation is less sensitive to fraud due to greater clarity and accountability? How's he handling the manure fraud hole? How's he gonna fix that? What are the risks to the derogation of fraud and the resulting manure in, for example, Brabant? We are concerned about the increase in fertilizer use in the Netherlands. Is the Secretary of State prepared to evaluate the impact of the legislative proposals on the use of fertilizers? Then I come to the hard date of 2 July 2015. Dairy farmers who have decided to invest in expansion or start as a company, before the date of July 2, 2015 are hit hard by the system of the bill. That date determines how many phosphate rights you get. This leads to painful situations and financial problems for many companies. We very much regret that. We find it indigestible when it comes to organic dairy farmers, because they do not contribute to exceeding that 170 kilograms of nitrogen per hectare. Just the companies, which decided to expand before 2 July 2015, because there was a shortage of organic milk in the Netherlands, and the companies that decided to switch or start a business, are hit very hard by the hard date of 2 July 2015. Because on that date, precisely those farms often had few dairy cows because they were still developing or expanding their farms. My group finds it indigestible when the organic farms, which operate neatly within the European nitrate standard of 170 kilograms of nitrogen per hectare, are severely reduced and receive far less phosphate rights than they need in order to develop already before 2 July 2015.
ParlaMint-NL_2017-05-16-eerstekamer-7.u127	You're now at 12 minutes.
ParlaMint-NL_2017-05-16-eerstekamer-7.u128	Thank you, Mr. Chairman. I like that very much. The allocation of phosphate rights solely on the basis of the date of 2 July 2015, regardless of the development phase in which the company was located, and regardless of a future-oriented way of production that is or is not sustainable, is far too short of my group. It is precisely from a vision of the future of dairy farming in the Netherlands that farms that already meet all these expensive environmental and animal welfare requirements should not suffer from a problem mainly caused by the massive increase in scale and by the increase in industrial mega-farms. The Smalling motion, adopted in April 2016, called for a scheme, which does not undermine new organic dairy farmers, expanding organic dairy farms and farms that switch to organic dairy farming by the phosphate rights Act. Why didn't the Cabinet carry out this motion? Does the Secretary of State agree with us that, on the basis of this adopted motion, organic dairy farmers could expect an arrangement to be made for them if they were seriously affected by the fact that phosphate rights are granted on the basis of the dairy herd on the date of 2 July 2015? I would ask the Secretary of State to spare the biological companies and to ensure that they do not suffer from the phosphate system. This concerns 2% of the total number of farms, a legally very clearly defined group, because bound by two European Union organic regulations which are subject to very specific rules on manure, soil binding and a number of other rules, with a clear control system and a status recorded and controlled in a biological register. It is therefore a small, clearly defined group of companies. I urge the Secretary of State not to allow these companies to suffer from a problem to which they have not contributed. The phosphate duties 2018 shall be calculated on the basis of the numbers of animals on 2 July 2015. Whoever has money can buy rights in 2018 and solve problems. But those who have no money and no access to finance, they are in trouble, they are left with investments made, and often debts that cannot be paid back. This certainly applies to more extensive farms, such as organic dairy farming, and farms with rare breeds. It is virtually impossible for those companies to buy expensive phosphate rights of at least €5,000 per cow. With a low-productive animal, you're just not gonna make it back. We believe that this is an extremely undesirable development. The problem regulation, as it currently stands in the law, is very limited. The Geurts amendment calls for an extension of the scheme, including to farms which are organic or have to deal with biological conversion, but so far the Secretary of State has kept the scope for the scheme very limited. He's not willing to make more phosphate space available. We want to clarify this, because otherwise this arrangement will simply be a dead sparrow. With regard to 2017, we are concerned that the current package will bring us below the phosphate ceiling. After all, the transport track has not worked sufficiently so far. The stopper arrangement is less than planned, the Secretary of State acknowledges. The phosphate reduction regime is under attack by the judgements of the amenities court. Does the Secretary of State have a plan B if it goes wrong? In the written reply, the Secretary of State asks in reply to my question why companies with a high phosphate donation per cow in 2017 can count on an average, so low phosphate donation........................................................................................................... I'd like to get that explained. Then something about the judge's ruling in the interim proceedings. We do see a strong link between this ruling and the Phosphate Rights Bill 2018. That bill contains a problem regulation. And whoever gets into trouble in 2018 is in 2017. The measures for 2017 are closely linked to the system and measures from 2018. The Court held that the individual plaintiffs were right in the case of dairy cows and that they should not be reduced by the public authorities. According to the Court of Justice, these dairy farmers did not have to take into account that their investments before 2 July 2015 would be made by the scheme. The Court of Justice considers the maintenance of the derogation to be a general legitimate interest. The judge says that the fact that organic farms themselves have no interest in the derogation does not change that. However, the court then states that the scheme has additional adverse effects on organic holdings and that the proportionality of the scheme is even more at risk to them as the scheme seeks to solve a problem to which the biological sector is not actually contributing.
ParlaMint-NL_2017-05-16-eerstekamer-7.u129	I have just had a short debate with Mr Schnabel on the basis of 2018. It will be laid in 2017. How does Mrs Vos weigh that when it comes to the progress of the process of this law?
ParlaMint-NL_2017-05-16-eerstekamer-7.u130	What exactly is your question?
ParlaMint-NL_2017-05-16-eerstekamer-7.u131	There's a lot of legal stuff going on. The Secretary of State's appealing. There's a judge's ruling. We don't know what the problem of 2018 will look like. Does Mrs Vos think that we can deal with this further, or should we first know what is going to happen with this problem regulation, in order to know how many farmers are going to be killed?
ParlaMint-NL_2017-05-16-eerstekamer-7.u132	I certainly agree with you that there is indeed a link between the judgments of the judge, the situation in 2017 and what will happen in 2018. I have just indicated that there is a lot of uncertainty as to whether the 2017 scheme will produce enough and what that means for 2018. I agree with you that we can only make a proper assessment if we know exactly how it works. Anyway, we're standing here now and we're handling the bill. That's what I'm gonna keep doing. Mr. Chairman. In fact, the court understands all those who have entered into irreversible investment commitments before 2 July 2015 and who are therefore facing serious problems with profitability and may therefore be covered by the 2018 framework. The judge also refers to the Council of State which has already warned against this. In the end, the Secretary of State did not wish to include these dairy farmers under a problem regime, now that this would lead to demarcation problems, but the judge says that under Article 1, the first protocol of the ECHR, that argument does not matter. This approach by the judge shows the consistency between the 2017 regime, the judge's assessment in these six cases and the draft law for 2018. So we do not agree with the conclusion that we can deal with these matters completely separately. In any case, we see two important points. All companies that are in serious financial difficulties because they have made investments before 2 July 2015 will be told by the court that they will not be cut short. In addition, the court finds that organic farms are subject to additional disadvantages and that proportionality is all the more at stake for them. What is this going to mean for the reduction of phosphate production 2017 and what is plan B of the State Secretary on this point? How does he judge judgments on organic farms? I read some threatening language in the letter written by the Secretary of State on 12 May, namely that if the State is agreed, companies that have not implemented the rules relating to the judgment of the court of appeal will do so on their own account. Does the Secretary of State mean that, with retroactive effect, fines will still be imposed on companies which have not disposed of cows in the light of this judgment? I like to be clear about that. I would also like to draw attention to the rare breeds, such as sheetfielders and blister heads. The Secretary of State has made a slight adjustment to the regulations for this year. You don't have to get rid of your calves; only the adult animals have to go or go to the slaughter. And if you have, besides your rare dairy cows, regular dairy cows, you have to put them away to save your rare pets. This is not a solution to the problem. The rare animals will disappear. It is an impossible choice for a dairy farmer in a financially tight or difficult situation to dispose of your well-producing animals, thus preserving the rare breed animals and possibly getting into financial difficulties with your business. That has become clear from the many letters we have received. We believe that there is another and special interest in the game, for which the Dutch authorities share responsibility. It is a question of preserving genetic diversity; I refer once again to the 1992 Rio Convention. It is also about the preservation of cultural heritage and meaningful cultural landscape, in which these animals are image-defining. We ask the Secretary of State to exclude the rare dairy breeds, in a bottleneck scheme or in any other way. I'd like to get a reaction to this. I'll come to a conclusion. The Dutch dairy sector has gone down a dead-end path and hit a rock-hard wall. Instead of moving forward in time, towards future-proof dairy farming, the government and industry have been guided by short-term financial interests and the desire for technological solutions. The present legislative proposals again bear witness to this way of thinking. A solid vision of the future of Dutch livestock farming is lacking, and so we continue on the path of the accumulation of increasingly complex legislation, which does not contribute to a sustainable dairy farming. We are extremely critical, but we await the answer of the Secretary of State.
ParlaMint-NL_2017-05-16-eerstekamer-7.u133	In the final sentences of your contribution, you say that technological solutions have been chosen. What's wrong with that?
ParlaMint-NL_2017-05-16-eerstekamer-7.u134	I think there is far too much positive thinking about all kinds of technological solutions. For example around the manure is always thought: oh, we are going to successful manure treatment, we are going to solve that problem. The same applies to other problems, such as ammonia and so on. I believe that it has been thought unrealisticly that the technology will solve it, while it is really about the numbers of animals and about the production per animal.
ParlaMint-NL_2017-05-16-eerstekamer-7.u135	So Mrs Vos is not talking about all these ICT investments in the stables and on the tractors, remote sensing and I don't know?
ParlaMint-NL_2017-05-16-eerstekamer-7.u136	That's not what I'm talking about.
ParlaMint-NL_2017-05-16-eerstekamer-7.u137	It would be good to specify for a moment, because in no time it will be: technology against nature. That's not how reality works.
ParlaMint-NL_2017-05-16-eerstekamer-7.u138	I would like to thank Mr Schaap very much for the opportunity to explain this. That is not my intention: I am referring in particular to technological solutions which we now believe can solve all of us with environmental problems, which I do not think is the case.
ParlaMint-NL_2017-05-16-eerstekamer-7.u139	Mr. Chairman. The legislative proposals that we are discussing today have long been laid down and grounded, and they have ended up in this Chamber: the law on soil-based growth dairy farming and the amendment of the Fertilisers Act in connection with the introduction of a system of phosphate rights. The route that has been followed does not deserve a beauty prize. After all, one of the consequences of these legislative proposals is the slaughter of a total of 160,000 often healthy cows. And even though we are debating these proposals today and we are voting on them next week, there are already 90,000 genders. That is a matter of getting ahead of ourselves. Generally speaking, we deal with laws here because there is a problem that has to be solved. One problem is highlighted here: the phosphate surplus with, if we do not take action against it, a possible loss of derogation from Brussels. That derogation makes it possible for us to drive out more manure on our land than we normally would have liked. However, in the view of the SP, the problem is bigger than this alone. We are dealing with trends that we should not want. I am now proposing to use the opportunity to reverse these trends. I am talking, for example, about the growing scale of dairy farming and the additional megas. I am also talking about the fact that cows are getting out less and less, often being kept in stables all year round, and then having problems with the claws. I also refer to the disappearance of our cultural landscape of the cow in the meadow. I am talking about people who, as a result of intensive livestock farming, suffer from diseases caused by fine dust. About people who have become ill because of diseases that appear especially when large numbers of animals are kept close together. About animals that need to be killed in large numbers when an infectious disease occurs. And also about communities that are torn apart by people being played out against each other by plans for mega-stables. It would be a nice thing for me to conclude at the end of this debate that we have taken a step in the right direction. Not only to deal with phosphate problems, but also to tackle other problems.
ParlaMint-NL_2017-05-16-eerstekamer-7.u140	Let me get this straight: what is a megastal?
ParlaMint-NL_2017-05-16-eerstekamer-7.u141	A megastal I think is a big stable. Soon I will mention in my contribution an example of a farmer extending from 60 to 460 cows. I think that's a big stable; that's a megastal.
ParlaMint-NL_2017-05-16-eerstekamer-7.u142	I find the term "big stable" more appropriate.
ParlaMint-NL_2017-05-16-eerstekamer-7.u143	You also mentioned large stables and mega stables. In the meantime, everyone knows what a megastal means. When you read the papers and when you talk to people, we're talking about big stables. I'm talking about the big stables, the big barns, with the doors closed. People who cycled past do not know what is happening in those stables, what animals are standing there and how they are kept there.
ParlaMint-NL_2017-05-16-eerstekamer-7.u144	For the clarification it is equally good to note the following. Large megas for dairy cows are all as open as they can be. The wind has to blow through it, for the simple reason that the cow prefers a temperature of about eight degrees and especially not anymore. In short, these stables are not closed at all; everyone can just see what's in there, precisely because of that openness.
ParlaMint-NL_2017-05-16-eerstekamer-7.u145	And yet, if you walk past it or ride a bike, you might see in the distance some black and white or red and white and you think: they must be cows. But you don't see those animals walking in the meadow anymore. That's exactly what the Dutchman appreciates: that cultural landscape with the cow in the meadow.
ParlaMint-NL_2017-05-16-eerstekamer-7.u146	Finally, Mr Schaap.
ParlaMint-NL_2017-05-16-eerstekamer-7.u147	Just for the record, 80% of Dutch cows go outside as much as possible in the summer and that number is even increasing again.
ParlaMint-NL_2017-05-16-eerstekamer-7.u148	I have heard quite different figures than Mr Schaap, because in recent years that number has fallen to 70% and it is falling. Mr President, I shall continue with my speech. Let us first look back at the origin of the problem. Until 1 April 2015, there was a milk quota that limited the quantity of milk to be produced and thus also the number of cows and the amount of manure and phosphate. Was there room for 9% more cows at the time of the quota because we were neatly below the phosphate ceiling, friend and enemy saw coming that with the lifting of the quota the number of cows to be kept would explode. In 2013, an agreement was concluded between the then State Secretary and the sector. The organisations promised to monitor phosphate production and hoped to reduce the phosphate content in the feed. This self-regulation has been dramatically unraveled. The production of phosphate per cow was reduced by the feed track, but the increase in the number of cows increased phosphate production from 2013. In 2014, when the milk quota had not even been abolished, phosphate production in dairy farming already exceeded the limit of 84.9 million kilos by 0.7 million kilos. It didn't look like it was gonna end here. The story is significant, I say to Mr Schaap, of farmer Jan Jonkman from Mariënheem, who expanded from 60 cows to 480 cows and built a stable for this. The number of farmers who have ended or want to end their farms is high. The Ministry's "stop pot" with a compensation scheme for stopping farmers was empty within 24 hours and is reopened. The number of cows has increased by 19% in recent years. Examples of this kind of rapid growth led the then State Secretary to announce the system of phosphate rights. Mr President, the government wants to reduce phosphate emissions and the solution it chooses consists of three parts, but do we meet the objectives we set ourselves? If you read the various pieces, you will encounter quite a few goals, for example, that we are working towards a sustainable livestock farming based on soil-boundness and that we limit or limit the growth of livestock farming where it is necessary from the point of view of public health, the environment, nature, the quality of the environment or the landscape. That reads as a plea for organic, often ground-based livestock farming and should sound like music to our ears, but what are the government's proposals now? I'll walk you through those three measures. First of all, buying out quitting farmers. In itself, this was a way to quickly get rid of a number of animals. Farmers who want to quit got €1,200 per cow. This measure has an unintentional effect: especially the smaller farmers have chosen eggs for their money and stop their farms, for example because there is no successor in the family. This leaves mainly large companies that feed their cows less. The landscape is marred by large stables of which one does not know what is happening in there or which animals are being kept at all. Our highly acclaimed cultural landscape is severely affected, and not only that. In the meantime, more and more is known about the disadvantages of keeping large quantities of animals in a small area. For example, in July 2016, RIVM published the research on livestock farming and health residents. This shows that there are possible links between living in the environment of often large-scale livestock farming and health. RIVM concludes that measures are needed and insists on controlling animal numbers at regional level in relation to the quality of the environment, or in plain Dutch: a distribution policy. Also animals do not benefit from high density. It is obvious that there are times when an animal disease breaks out and it is decided to clean up a whole region of animals. For the foot-and-mouth outbreak, 260,000 cows and sheep were cleared in 2001. In 1997 and 1998, swine fever killed 2.5 million pigs. The Q-fever epidemic had serious consequences between 2007 and 2010: between 50,000 and 100,000 people were infected and 75 died. There's still patients coming in, and people are still dying. Because of avian flu, 30 million chickens were cleared in 2003, and I am not talking about preventive antibiotic use in megastories. The second measure is the generic discount. The original intention was to get everything and everyone to turn in the same amount. The House of Representatives has carried out a small repair, the partial relief of the land-based companies. This generic discount has disadvantages. We could have given our ambition for a sustainable, more land-based livestock farming a boost in the right direction by avoiding land-based and organic farms, but that has not happened. Now companies that have not contributed to the problem are being punished. I am referring in particular to organic farms. We can have the semantic discussion that also poops organic cows, but if these cows are not ground bound, there is generally an agreement at regional level with a (organic) farmer on whose land the manure is run out. There is therefore no more production than can be disposed of on land. Organic farmers do not ask for a derogation, the authorisation to drive out more manure than is permitted under the Nitrates Directive. In fact, it is reported that there is even a shortage of organic manure. Organic farmers meet strict criteria, including, for example, a closed nitrogen cycle. In other words, if all cow farmers had worked in this way, there would have been no phosphate surplus and in that sense they did not contribute to the surplus. This surplus is caused by farms that have more livestock than they can handle in manure. Recently I was visiting an organic dairy farm. A company under construction. Slowly started with dairy cows and always some cows, often born on the farm itself. A beautiful free range with two milking robots. Cows grow older than average. No derogation requested, because they do not produce more manure than they can lose. But they do have to slaughter a large part of their healthy, often young cows and to pay off that second robot in a while, the device still has to work and will have to buy expensive phosphate rights from 2018. While the phosphate surplus was not their fault, it is and will be, because it is a biological company. I find it strange to involve these farmers in the punishment. Good behavior, precisely that which contributes to our goals, is also being addressed. Instead of increasing the percentage of organic cows and rewarding them, they must bleed equally hard. Can the Secretary of State explain this again? The judge recently felt that it could not be explained. He looked at three cases: whether the scheme is laid down by law, whether the measure is justified by a general interest, and finally whether the measure is proportionate. The first two conditions are met, but on point three, the judge considers that the claimants in these cases are subject to a disproportionate burden. I would like to hear from the Secretary of State how many farmers are in the same situation as the plaintiffs. How many can such a case be brought with a reasonable chance of success? How many have done that since the verdict? Then I come to the third measure, the marketable phosphate rights. A system of phosphate rights is not a bad idea. You know how much phosphate you can produce and logically you know how many cows can host the Netherlands. The way in which rights are distributed does raise questions. Here too, you can argue that land-based farmers are disadvantaged. After all, a farmer who had less than 2.5 cows per hectare at the reference date and could therefore in principle have expanded should now buy phosphate rights for this, while he may not still cross the border which leads to a higher phosphate load than he can bear. The SP therefore believes that farmers should be allowed to have 2.5 cows per hectare of land without having to have phosphate rights. The number of rights above them must be acquired. Making these allowances negotiable is, however, the worst thing you can do. That is not only my opinion; it is also not recommended by experts who spoke to our committee at the expert meeting. The Netherlands is about to allocate EUR 5 to 7 billion to dairy farming, to rights that will be worth a lot of money. We also know that this system will end, but we still have no idea what should happen to the rights. How do you explain that to the farmer who has put himself deep into debt to buy rights, and is then confronted with the lifting of the system? Does the farmer have to be bought out again at the end of that system? The House of Representatives is convinced that the phosphate duty system will expire by 2023, as the Netherlands is expected to fall below the phosphate ceiling. So that system is not intended for the long term, but in any case we will have to talk about how to prevent us from producing too much manure again. Can the Secretary of State explain to us why he does not opt for a system of non-negotiable rights, whereby the rights go back to the phosphate bank as a farmer, and can then be re-issued? In that case, you can also work towards achieving your goals, by giving those rights mainly to farmers who bring a sustainable livestock farming closer, for example because they feed their cows, because they contribute to closing the regional cycle or because they are extensive. It follows that applications for intensive livestock farms and mega-stables are in line at the end of the line. Should the Secretary of State still want to retain the marketable rights, I would like to hear from him how he is going to prevent us from running into a situation where too many cattle have been bought because they are responding to the abolition of expensive phosphate rights after 2023. Should the Dutch government compensate farmers because they have put themselves in debt for rights that have become worthless some time later? We are talking about many billions that the sector will eventually have to cough up itself. And what do they buy for it? A piece of paper or a right. Should not the purpose of these phosphate rights be to regulate the amount of manure and the quantity of dairy cows that the Netherlands can bear, i.e. nature and the population? Would it not be much better to introduce a publicly set-up bank that regulates these rights through a system of permits that does not cost the farmer money, but brings a balance between the producer and his surroundings, and that reduces the exploitation of the animal? For there is no doubt that if there is an expensive phosphate right system, it must either be subsidised by the government, that is to say by us, the taxpayers, or by the producer. The latter will then try to squeeze as much milk as possible from its animals. This is bad for the health and longevity of the cow and promotes a phosphate surplus again. In short, is the Secretary of State prepared to work out the option of a public phosphate bank and explain it alongside the current proposal? Depending on the answer given by the Secretary of State, I am prepared to make a proposal. I have to say that these measures have focused on the short-term, the maintenance of the derogation, but that once again there is no long-term vision. Let us now seize the opportunity to adopt a law that is sustainable for the longer term, which does live up to the ambitions and which certainly gives clarity to the farmers, because they need to know where they stand. Now we can opt for health, sustainability, animal welfare and fair bread for honest work in the long term. That is why I would suggest that we push and encourage organic and land-based dairy farmers and discourage intensive dairy farmers. As always, I look forward to the answers and the future vision of the Secretary of State.
ParlaMint-NL_2017-05-16-eerstekamer-7.u149	Mr. Chairman. I've imagined a lot at the performance in the First Chamber, but not with a plaster bone. Still, I'd like to do it with that handicap. We are discussing two legislative proposals today. At the end of my speech, I will make a brief comment on the proposal for a directive on land-based growth in dairy farming, but I will deal mainly with the system of phosphate rights. That is what my fellow Members have done, with a look at the past and a look at the future. I will. After World War II, the Netherlands made a very special effort to secure food supplies. In conjunction with our location in the delta, this has led to a very innovative agricultural and horticultural sector of an impressive size, which produces much more than we need ourselves. Agriculture is therefore an important economic sector and is of great importance for Dutch exports. The other side of this has also become visible over the past 30 years: pollution of air, soil and water. The Netherlands is the largest animal manure producer per land area in the European Union. As a result, the dairy sector seems to be the victim of its own success; the industry is increasingly affected by legislation to curb manure production. Since 1987 we have known the Fertilisers Act in the Netherlands and since about 2000 the European Water Framework Directive and the Nitrates Directive provide frameworks and objectives for our country. Continuation of the derogation is an important starting point for the viability of the sector, but it must be constantly justified and scientifically substantiated in order to be preserved. The growth of the cattle sector has led to additional attention and research by the European Commission following the abolition of the milk quota system, given the concerns about poor water quality and the stagnant progress of packages of measures announced and implemented over the past 15 years. The Plan Bureau for the Environment therefore expects that the implementation gap will not be closed for the time being, in particular by the nutrient contribution of agriculture. That expectation is very recent, because it was only made public on 30 March last. A nice comparison is that with human manure, but the problem of human manure is soluble: since the 1970s and the entry into force of the Pollution Waters Act, all the sewage water in the Netherlands has been purified in large installations. That's what we're all paying for through the purification charge. The treatment efficiency of these plants reaches an average of 80 to 90%. Further optimization will be in the near future in the coming years. Animal manure, on the other hand, is spread across the land. Moreover, given the animal numbers in the Netherlands, the sector in its development depends on huge quantities of feed imported from Asia and South America. As a result, manure production is now much higher than the land and the crops can absorb. In some regions there is therefore more than 60% surplus. This means that our livestock sector is largely non-land-based and dependent on processing and exports to other countries, unlike most EU countries. Unfortunately, this situation is an undesirable breeding ground for manure fraud. In its evaluation of the fertiliser policy, the PBL came to some 30 to 40% fraud in some regions. This is a not negligible factor in the stagnant water quality. The Labour Party believes that it is important to minimise the risk of fraud, partly because this creates unfair competition for the well-intentioned companies. The recent evaluation of the PBL also calculates that the current costs of manure treatment amount to around 300 million. This contrasts somewhat with the 1.2 billion operating costs lost annually by the Netherlands in order to enable humane manure processing at a high quality level. And then I leave aside the size of the "human park" in comparison to that of the "animal park" the terms of the philosopher Peter Sloterdijk "Philosopher." In any case, it is clear that we have chosen an organisational model based on a utility principle for human manure processing, while the animal sector has a market model. With a growing world market, this has created an economic dynamic which will make it difficult or not to comply with environmental rules.
ParlaMint-NL_2017-05-16-eerstekamer-7.u150	Mr Verheijen talks about water quality and points to manure production in a rather one-dimensional way. I will come back to this later in my own contribution, but I have seen studies showing that the water quality in the Randstad is particularly worse than where the manure is produced; I have a map of Deltares and the PBL research with me. Can Mr Verheijen deepen how this can be done? He only points to farmers and manure, while it is also about things like sewer flooding, torment and waterbirds. Why does he focus only on the farmer?
ParlaMint-NL_2017-05-16-eerstekamer-7.u151	I'm not. There are many more sectors that still need to be strengthened. This has also led to a process in the Netherlands for a kind of delta plan to address water quality. They also deal with torture, birds and the like. The purifications will also be part of that. But we are discussing an agricultural dossier here today. We are talking about the contribution of the dairy sector. In my contribution, I focused on the part that can be attributed to it. In particular, it is clear from Chapters 8 and 9 of the Agency's evaluation that the surplus problem leads to the stagnant water quality that we recognise.
ParlaMint-NL_2017-05-16-eerstekamer-7.u152	Let me reword my question: how do you explain that the Randstad has a worse water quality than the regions where the farmers are, especially in the east? I charge a little, by the way, because it's not sec de Randstad.
