ParlaMint-NL_2017-11-08-tweedekamer-11.u1	The next item is the debate on the Kingdom relations budget.
ParlaMint-NL_2017-11-08-tweedekamer-11.u123	No. Neither do I with you, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u124	Humor.
ParlaMint-NL_2017-11-08-tweedekamer-11.u125	It's a long way to go.
ParlaMint-NL_2017-11-08-tweedekamer-11.u126	Please continue.
ParlaMint-NL_2017-11-08-tweedekamer-11.u127	I'd be happy to, Mr. President, if I may. My point is that when the Secretary of State brings it to the attention of the various departments, it does not necessarily have to lead to results. I expect the Secretary of State to at least indicate an ambition. What is his goal in the coming period? He must not only be the oil man of quality and try to get attention to his points. What concrete results will this bring to the various departments?
ParlaMint-NL_2017-11-08-tweedekamer-11.u128	The Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u129	I fully understand, Mr President, that there have been only a few Councils of Ministers in the past period and that the Secretary of State may need a little longer time to make it clear. The question is: in what time?
ParlaMint-NL_2017-11-08-tweedekamer-11.u130	The Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u131	It has advantages and disadvantages that you quickly have your budget treatment. Indeed, I've been in office for less than two weeks. I've had a lot to do with the Kingdom. That's extremely interesting. I am really going to go on the road in the coming time to get what the needs are and how they look at the ambitions we have. I've just set out those ambitions. I also want to invest in the relationship. We also want to indicate where things are not going well and reward where things are going well. That whole palette will eventually have to lead to signals that will hopefully be translated into other departments in the course of 2018. But I cannot, of course, at the moment in any way indicate the extent of this, because I simply have not yet spoken to the representatives and the directors of the countries and islands.
ParlaMint-NL_2017-11-08-tweedekamer-11.u132	Last question, but you don't have to.
ParlaMint-NL_2017-11-08-tweedekamer-11.u133	It is not necessary, Mr President, but I would like to make a point of order. I notice a certain irritation in you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u134	Oh, stop making these kind of comments!
ParlaMint-NL_2017-11-08-tweedekamer-11.u135	I'm going to make a point of order, Mr. President.
ParlaMint-NL_2017-11-08-tweedekamer-11.u136	Yes. It's fine.
ParlaMint-NL_2017-11-08-tweedekamer-11.u137	You've been chairing a debate all day. I understand that you are tired, but I would ask you to have a normal debate with the Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u138	And I ask you to speak with respect to me. No, you're not getting the floor. And if anyone here is tired, it's you. I'd say go home and rest. Mrs. Van Tongeren. No, you're not getting the floor. No, you're not getting the floor. You're not getting the floor. I decide who gets to speak here. Mrs. Van Tongeren.
ParlaMint-NL_2017-11-08-tweedekamer-11.u139	Thank you, Mr. Chairman. In the written reply of the Secretary of State, I received the answer that in the Dutch cities there are no problems with people from the islands who came this way because of the hurricane and that these people can register anywhere. I'd like to get a confirmation from the Secretary of State. As far as the graduation candidates are concerned, I was assured that there is no problem, but that is about being present at school. Does that also apply to the home situation? If you don't have running water at home, can't cook or have a roof over your head, it's nice to have your school open, but can you do your final exam well? So if that could be looked at by this or that department at any time, that would be worth a sweet thing to me. Then I come to my last question from the list of questions of my first term. I said that in the islands, costs have increased in many ways. We are still discussing what is an acceptable social minimum. With us, the economy is attracted. Translates that into it as well...
ParlaMint-NL_2017-11-08-tweedekamer-11.u140	Mrs. Van Tongeren!
ParlaMint-NL_2017-11-08-tweedekamer-11.u141	...that the so-called free allowance goes up? This is exactly what was in my first term. This question has not been answered in writing, so I am now asking the Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u142	Yes, but it must be really short, Mrs. Van Tongeren.
ParlaMint-NL_2017-11-08-tweedekamer-11.u143	On that last point, of the free allowance, I indicated that it would be viewed more generally. So if the board is in good shape, then there is also room to talk about that. That is what I want to say about this. As far as housing is concerned, you have received a written reply and I would like to point out that it is equally appropriate for me to have a certain portfolio as a ruler and that I am not supposed to make all kinds of statements outside that portfolio. That's different as a Member of Parliament. This means that you can raise this point with the Home Affairs budget where the Minister is also present. You also had a question about education. Here too, I am very practical. If you have concrete examples of bottlenecks, I think it would be a good idea to report them. It can have considerable impact if people are unable to prepare properly. I think we should really try to come up with practical solutions where possible, which should not even be very difficult, to solve these problems and then on the basis of concrete examples. The open posture is absolutely there.
ParlaMint-NL_2017-11-08-tweedekamer-11.u144	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u145	Then I get to the point of housing. Either the Secretary of State directs my questions to the govern ment in question or I will have to do so in writing, because I am not a spokesman for the other budget. I did get those signals. So it's gonna be a set of written questions. It's possible.
ParlaMint-NL_2017-11-08-tweedekamer-11.u146	Yeah, I'm fine.
ParlaMint-NL_2017-11-08-tweedekamer-11.u147	A remaining question from my first term on a commitment from your predecessor Mrs Klijnsma on the social minimum of existence. She's committed an investigation to the First Chamber. I asked what the situation is and when we can expect it. Could I perhaps have a second-term reaction, and if it does not work so quickly perhaps a written response?
ParlaMint-NL_2017-11-08-tweedekamer-11.u148	I suggest that we give a written response to this.
ParlaMint-NL_2017-11-08-tweedekamer-11.u149	Yeah, I'm fine. Mrs. Diertens.
ParlaMint-NL_2017-11-08-tweedekamer-11.u150	Thank you for your answer on education, pre-school and early school education, and technical vocational guidance. Could you perhaps coordinate that we get these questions for the treatment of the Education budget?
ParlaMint-NL_2017-11-08-tweedekamer-11.u151	That we get the questions?
ParlaMint-NL_2017-11-08-tweedekamer-11.u152	The answers.
ParlaMint-NL_2017-11-08-tweedekamer-11.u153	Okay, I'd like to say that, but this is also about the portfolio of the colleague from Education. So I'll pass on your request.
ParlaMint-NL_2017-11-08-tweedekamer-11.u154	Then I have one more question in response to written questions. It's about the dates we asked about the child registration and the regular registration. You say that research has already been promised by UNICEF. That's quantitative research. But they can only do qualitative research when the data is in order and they are not in order. So it's very difficult to do quality research. I would also like a more concrete answer on this.
ParlaMint-NL_2017-11-08-tweedekamer-11.u155	I'll see if I can do that in second term. If that doesn't work, I'll do it separately.
ParlaMint-NL_2017-11-08-tweedekamer-11.u156	I hear the Secretary of State talking about the structural discussion. His terminology gave me a flashback to a minister of his, the Minister for the Interior and Kingdom Relations, Mr Donner. It also did not need a great deal of vision with regard to the Kingdom. And what do I hear? Exactly the same term. That was also the period when Mr Van Raak and I thought: then we come up with a view ourselves. Doesn't the Secretary of State agree with me that it's pinching and sanding in the Kingdom? He agrees with me that we feel trapped, but that the countries also feel trapped and that there is discussion and irritation about it every time.
ParlaMint-NL_2017-11-08-tweedekamer-11.u157	The Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u158	Shouldn't we talk about that?
ParlaMint-NL_2017-11-08-tweedekamer-11.u159	The Secretary of State.
ParlaMint-NL_2017-11-08-tweedekamer-11.u160	I understand very well what Mr Bosman is saying. It is also really a fundamental point that you do not discuss in a few minutes. I am afraid that we are not entirely on the same page, but I am in favour of the practical solutions. That's right. If you are going to have that discussion at the moment, given the situation that may be more difficult than when you started that discussion at the time, it is the question where that will lead. Or that's not gonna lead down some kind of circle that doesn't pay off for anyone except a lot of frustration. My real ambition in the coming years is to reward those who run well, who set a good example and help those who are left behind to get the situation on a higher footing. We have some resources and progress has been made in certain areas. It's not all trouble and torment, but you can see quite big differences. Mr Bosman also knows that structural discussions are relevant and not relevant and that you can have them in all kinds of policy areas, but that they are never the solution. It's a lot more than that, especially here. It's about culture, about attitude, about whether you want to make something of it. I fear that a discussion about structure, which I can still understand, will not lead to improvement but rather to some kind of confusion and standstill. Given the great challenges that lie ahead, it would not be my ambition to go down that path.
ParlaMint-NL_2017-11-08-tweedekamer-11.u161	We do not agree, but I support the Secretary of State in his ambition to address it pragmatically and help where necessary. But sometimes the Statute stands in the way of pragmatic solutions, because then you have no right to, responsibility for or obligation. That's the problem. I do not want to say that the structure has to be different, but perhaps we should name it, or at least talk about it, that the structure is as it is, that it pinches where it pinches and rubs where it sheds. We have to say it's the way it is. If we want it to be different, if countries want it to be different and the Netherlands wants it to be different, then we have to have a story. That's my appeal to the Secretary of State. Again, I absolutely support his ambition to make things better for the Kingdom pragmatically and hand-to-hand with the team, but there are also some things that are not quite working.
ParlaMint-NL_2017-11-08-tweedekamer-11.u162	This is a bit of an uneven playing field. Mr Bosman has had many years of experience in this field. I am new in this area, so I will have to build up some of that experience. Mr Bosman can assume that I will name everything. I'm not avoiding anything, I'm not arguing with anyone. If it's not okay, I'll name it. Here, but also with the people I speak to. I hope, however, that this attitude will lead others to see that we have to come up with practical solutions and that the need to talk about this structural discussion will be reduced. I don't rule out changing things in the long run. I just don't want to start with that in my priority statement, because I don't think it's appropriate at the moment. But if multiple parties share the same view that things can be different and better, then you should definitely do it.
ParlaMint-NL_2017-11-08-tweedekamer-11.u163	Thank you. Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u164	Thank you for this wonderful answer. At least it was a better answer than Minister Donner gave.
ParlaMint-NL_2017-11-08-tweedekamer-11.u165	Thank you. We have arrived at the second term of office. I give the floor to Mr De Graaf on behalf of the PVV Group.
ParlaMint-NL_2017-11-08-tweedekamer-11.u166	Thank you, Mr. Chairman. I would like to thank the Secretary of State for the answers given, both in writing and orally, although the written answers somewhat caught me off guard, because they came rather shortly before the debate. If you're doing other things and you're running a program here in the Chamber all day, that's pretty surprising. Budgets do not have to be marathon debates, not even in the coming weeks, but I just want to warn you that we should not make usain bolt-like states either. We should not, because the cabinet formation has lasted so long, pass all these budgetary laws through the Chamber jackets. But okay, having said that, Mr President, I understand that we did not come together today in terms of positions, also in view of the situation in Saint Martin, which I spoke about yesterday from the PVV, I think, very nuanced. However, I am going to ask the Chamber for a number of statements. I have three motions, but before I make those if yet another answer and ask the Secretary of State for my part about Bonaire. The Public Authorities Act for the BES Islands, the WolBES, does not need to be amended to solve the question I have asked. It is a question of the neglect I have seen in the management of infrastructure and other vital infrastructure. It is therefore certainly possible to assign more powers to the deputy and the authority. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting the need to invest heavily in the vital infrastructure of Bonaire, in particular the road network;]] [[noting that decisions on these investments have been taking far too long and need to be speeded up;]] [[calls on the Government to temporarily transfer some of the responsibilities of the island council to Bonaire's authority so that its plan to invest in the road network can be implemented quickly,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members De Graaf and Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-9]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u167	And then there are two other motions which relate, among other things, to the Charter and the duty of care. They're well-known motions, but I still want to file them again. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the citizens of the Netherlands should be able to decide on their own future;]] [[calls on the Government to ensure that the citizens of the Netherlands are free to decide independently whether they wish to maintain links with the former Antilles,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the three overseas countries of the Kingdom are characterised by deep and fundamental corruption and crime;]] [[whereas, despite the Dutch taxpayer's contribution for decades, corruption and crime have not been reduced or have hardly been reduced;]] [[calls on the Government to place the interests of the Dutch people in front of those of the residents of the other independent countries in the Kingdom and to break ties as quickly as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-10]] [[This motion has been proposed by the member De Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-11]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u168	Mr President, thank you. Thank you for the answers from the Secretary of State. After two weeks, it is impressive to have a budget debate and then stand here and give serious answers. Respect for that. A large part of my input was about Saint Martin. Why? Because we as VVD are very concerned about that. And we're not alone. A lot of people with me, also on St.Maarten, are worried about what is going to happen, even in the short term and for the future. I made a big point about the election, and I will continue to do so. It's not just the head of the polling station that's worried. I understand that there is now also a majority in the States to say: let's stop the elections, because we have to get to work; we have to get to the team and distract those elections from what we have to do. So these concerns are great. Mrs Kuik mentioned a motion, but we all know that we cannot order the National Council of Ministers. This is an autonomous institution within the Kingdom. So I can only give my concerns to this Secretary of State. And then he's gonna have to see what he's doing on that Reichsminister's Council. The concerns are great and are shared by many, not only here, but also on Saint Martin. I still have a few more questions. We've had a discussion about the Coast Guard. Money was supposed to go from the Home Office to the Department of Defense. Does the Secretary of State have any idea that the money earmarked for the Coast Guard actually went to the DOD? Another point for Sint-Maarten concerns the general measure of government regarding the prison, which will expire next year. We need to be there in time to start the debate on the extension in good time. I understand they don't have time to do anything about that prison this time. In fact, we find that prison is almost empty, because the prisoners have gone to Curaçao and the Netherlands. It is therefore all the more important that the general measure of government regarding prison should be maintained and perhaps extended. That's why I'm worried and my question to the Secretary of State. Then the money from the Red Cross. In the Netherlands money has been raised for Sint-Maarten by the Red Cross. The question is: how is that money spent? Is this also via the Netherlands or did the 13 million via the Red Cross Netherlands go to the Red Cross Sint-Maarten and is it spent there? Is there any surveillance on that? Is that under control? Have you done the right thing? Again, 13 million is certainly a lot of money on Saint Martin. I am extremely pleased with the structural discussion that the Secretary of State has just had. He has my support for the pragmatic solution. Having a conversation is always the starting point. I can't impose anything on you. That has just been made clear. We are in one kingdom together, and we have a shared responsibility. We can't just step out one-sidedly. That means we have to talk about it with respect. Where there are opportunities, we must improve or change things.
ParlaMint-NL_2017-11-08-tweedekamer-11.u169	Brief question, Mrs Van Tongeren.
ParlaMint-NL_2017-11-08-tweedekamer-11.u170	In my opinion, the Red Cross is simply a private organisation that complies with anbi-schemes. That's not what this Secretary of State is about. Does the VVD want some kind of state control of NGO expenditure?
ParlaMint-NL_2017-11-08-tweedekamer-11.u171	I just asked if the money that's going to be spent on Saint Martin ends up in the right place. I think it's very wise that we all agree that the money will end up in the right place. I think that's a legitimate question. If the Secretary of State says he doesn't want to or he can't, I can understand that. But I think it is wise that we should make a serious comment on this. I think I have every right to do so.
ParlaMint-NL_2017-11-08-tweedekamer-11.u172	Finally.
ParlaMint-NL_2017-11-08-tweedekamer-11.u173	I think it's up to the Red Cross donors to ask how that money is being spent. And again my question: does the VVD group think that there should be supervision by the Dutch government of the exact spending of charities in the Netherlands?
ParlaMint-NL_2017-11-08-tweedekamer-11.u174	No, Mr. Chairman. It's about the Red Cross on Saint Martin. I can imagine that in an environment where we say things are wrong, we'll see how we can do that. I believe that we are talking about a co-ordinated reconstruction organisation and that it would be a pity if all kinds of different initiatives were to go together. I think it would be wise to link our coordination with each other, and that has nothing to do with control and scrutiny. I just want the money to end up in the right place, and I think that's a very legitimate question. There are all kinds of questions being asked here in the Chamber and you do not want to know what kind of questions are being asked, which I say are we going to do about that?
ParlaMint-NL_2017-11-08-tweedekamer-11.u175	Thank you very much, Mr Bosman. You were ready?
ParlaMint-NL_2017-11-08-tweedekamer-11.u176	No, I wasn't finished.
ParlaMint-NL_2017-11-08-tweedekamer-11.u177	Please continue. No, Mrs. Van Tongeren.
ParlaMint-NL_2017-11-08-tweedekamer-11.u178	This is a budget debate, Mr President.
ParlaMint-NL_2017-11-08-tweedekamer-11.u179	Yes, it is a budget debate, but that does not mean endless debate. You asked your question and I think Mr Bosman answered it. I suggest he move on. I'm sorry.
ParlaMint-NL_2017-11-08-tweedekamer-11.u180	Okay. The islands of Bonaire, Saba and Saint Eustatius must not be forgotten, especially after the disaster that took place on Saba and Saint Eustatius. Thanks also for the efforts of the Secretary of State and his team to do as much as possible, because the ports, especially those on Saba but also on Statia, are licelines for the people there. That's where the stuff comes in, and that's why we need to get it right. At all possible speed, things need to be improved there, because the sooner that kind of infrastructure is in order, the sooner ordinary life can start again and the sooner people can do business there and generate their own income. We talked about social housing on Bonaire. Thank you for the written answers. But I repeat again: it is really a matter of concern. So I hope the Secretary of State will also look at the situation on Bonaire with his own eyes. I have seen it for seven years and every year it is a disappointment that it has not improved. And again, the ambition on the island is there. The intention of the drivers is good, because they all want to pull it very hard. But there are always all kinds of financial difficulties that hinder it and then you have to ask yourself whether we can do that a little more conveniently. So much for my input. Thank you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u181	Thank you. I now turn to Mrs Van Tongeren on behalf of GroenLinks.
ParlaMint-NL_2017-11-08-tweedekamer-11.u182	My motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important for the Caribbean region to build hurricane-resistant and sustainable buildings;]] [[calls on the Government, together with the countries and the BES Islands, to take initiatives to promote sustainable construction and to inform the Court of Justice thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Dutch energy saving subsidies are not available to the residents of Bonaire, Sint-Eustatius and Saba in their own homes or social housing;]] [[calls on the Government to consider how arrangements for the same purpose can be implemented for the BES Islands and to inform the Court thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the role of women is important for the public administration of the Caribbean countries of the Kingdom and the Caribbean Netherlands;]] [[calls on the Government, in close consultation with the relevant authorities, to promote the social and administrative participation of women;]] [[calls on the Government to develop and support training for female top talent in close consultation with the relevant authorities,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-12]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-13]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-14]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u183	Thank you. And I would like to thank the Secretary of State once again, also for understanding sustainability. But I do have a small addition: sustainability goes far beyond where the energy comes from. Especially for a very warm country: the more isolated the houses are, the less energy is consumed for air conditioning, for example. This costs a little more at the beginning, but over the entire lifetime of the houses it saves bins with money, a lot of energy and therefore also CO emissions. Thank you, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u184	Thank you. I now give the floor to Mrs Van den Berg on behalf of the CDA.
ParlaMint-NL_2017-11-08-tweedekamer-11.u185	Mr. Chairman. Firstly, I would like to thank the Secretary of State for the very clear words. I would also like to thank him for expressing on all sides that he wants to achieve a better future for the islands. Thank you very much for that. I would also like to thank him for the clarity of the conditions he wishes to make, even if the agreements were made with a missionary cabinet of Saint Martin. Then I have two motions. The first motion is supported by Mrs. Diertens, Mr. Bosman, Mrs. Van der Graaf and Mrs. Kuik. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the BES Islands cannot provide for their own food production;]] [[Whereas the BES islands with an adequate agricultural and horticultural policy are less dependent on costly food imports;]] [[calls on the Government, in consultation with the BES Islands and Wageningen University, to explore and support the possibilities for an innovative agricultural and horticultural policy so that the islands can provide their own food production as much as possible,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Van den Berg, Diertens, Bosman, Van der Graaf, Kuiken and Van Raak.]] [[She's getting No. kst-34775-IV-15]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u186	By the way, I have to report that I forgot to mention Mr. Van Raak. He also supports this motion. The second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that, given the small scale and low capacity available, it is difficult to ensure the sustainable quality of governance in the BES islands and the associated administrative organisation;]] [[Whereas the exchange of knowledge is essential for this purpose;]] [[Whereas training programmes for young officials are an important investment in the quality of the administrative organisation;]] [[calls on the Government, in consultation with the BES Islands, to make proposals to implement trainee programmes for civil servants, with the possibility of an exchange with the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Van den Berg, Diertens, Bosman, Van der Graaf, Van Tongeren, Kuiken and Van Raak.]] [[She's getting No. kst-34775-IV-16]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u187	At such a first debate with a new Secretary of State, you ask yourself: do I have a little faith in it? And yes, Mr. Chairman, I have a little faith in it. A hell of a job this Secretary of State is facing with the reconstruction of St.Maarten. There are developments on the island now. Many Statesmen say: should we hold elections? Many members of the United States are wondering: can we make a government of national unity? Can we create a government of experts who will work with the Netherlands? I hope it's gonna happen. But we must keep a close watch on reconstruction, on the criminals of the underworld, but also on the thugs of the upper world, on the thieves of there and on the thugs of here. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[requests that, in the reconstruction of St Maarten, no contracts be awarded to KPMG,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-17]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u188	Let's not forget Saba and Statia. The people affected there, especially those on low incomes, are currently in a very difficult situation. Whatever happens on Saint Martin, Saba and Statia are ours, belong to us. That's where we can start right now. I now hear from the Secretary of State that these plans are not quite ready either. That's not good. They have to be ready, and that's just got to start now. That should not happen with ships that have to pass St.Maarten first, it simply has to go to the island itself. I have the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to pay extra attention to people living on low incomes in the reconstruction of Saba and Statia,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Raak and Chicken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-18]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u189	Let's talk about the previous motion. In the context of the text before it, this motion gives a value assessment of one company. I find that very difficult. I don't think we should do that in this room. I fully understand Mr Van Raak and his concerns, but I think it would be unwise for us, as a Parliament, to treat companies like this in this way. Unless we can actually sue people and bring them to justice.
ParlaMint-NL_2017-11-08-tweedekamer-11.u190	That investigation is ongoing. We have made this research possible together. When it comes to the Mafia, Corallo, you can see that KPMG does the books. If in Italy Corallo politicians around Berlusconi are bribed, this goes through Dutch banks. When you see things go wrong in companies, public companies, on Curaçao and St.Maarten you see that KPMG runs those companies. If you see that the illegal gambling industry is made possible all over the world by the Curaçao telephony company, that happened via KPMG. Mr Bosman may have a different opinion, but I call that 'criminal behavior'. And criminal behavior must be combated.
ParlaMint-NL_2017-11-08-tweedekamer-11.u191	Thank you. That was not quite Mr Bosman's approach, but that is all right. I will now go to Mrs. Diertens, on behalf of D66.
ParlaMint-NL_2017-11-08-tweedekamer-11.u192	Mr. Chairman. I am pleased to hear that this Secretary of State wishes to make an effort to improve relations within the Kingdom. The statement by the Secretary of State "more and less for islands" appealed to me greatly. All trust. As far as the reconstruction fund is concerned, I hope that it will be effective as soon as possible, so that people can get a roof over their heads and get back to work to build their lives. That seems to me to be the most important thing at the moment. It's gonna take our help. The terms are clear. I am looking forward to the update that the Secretary of State will shortly send us on the possibility of holding elections and the question of which governments to agree with. During my first term, I mentioned a number of themes: improving cooperation and all confidence in the economy, sustainability, children's rights and education. I am pleased that the Secretary of State is committed to these issues. Finally, I wish the Secretary of State every success in carrying out his duties. I hope that he will coordinate the policy properly so that it does not become fragmented. I'll file the next motion for that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that from the departmental responsibilities several directors are responsible for the Caribbean Netherlands;]] [[noting that the Spies Committee's report concludes that the approach towards the Caribbean Netherlands is too fragmented and that there is insufficient comprehensive approach;]] [[Whereas the ruler in charge of Kingdom relations has an understanding of the needs and wishes of the Caribbean Netherlands regarding regulation and at the same time has an insight into what laws and regulations are needed;]] [[Whereas a stronger coordinating role for the ruler in charge of Kingdom relations ensures better alignment in the area of law and regulation;]] [[calls on the Government to ensure that departments engage the Ministry of Home Affairs and Kingdom Relations in planning and budgeting with regard to the Caribbean Netherlands, so that this Ministry can play its directing role, adopt a more comprehensive approach and combat fragmentation,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Diertens, Bosman, Van Tongeren, Van den Berg, Bishop, Chicken, Van Raak, Van der Graaf and Kuzu.]] [[She's getting No. kst-34775-IV-19]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u193	I'm going to see Mrs. Chicken, on behalf of the PvdA.
ParlaMint-NL_2017-11-08-tweedekamer-11.u194	Mr. Chairman. I thank the Secretary of State for his commitments. A number of motions have also been tabled on behalf of our party. I share the concerns expressed by the Secretary of State, but also by other parties, about the elections in Saint Martin. I hope they will act wisely. We will be informed of this very soon. Mr. Chairman. The Secretary of State has started swirling. I hope that will be experienced in the islands as well. Therefore, in this case, I want to end with a piece of Bonaire's national anthem: "No strength can take away this love, as we feel for our island, even though it is small and not perfect, we love it above all else." I think that is the right approach: to love family, but also to be critical of each other. That's gonna be my start in this kingdom, too. I look forward to working together. Thank you, Mr. Chairman.
ParlaMint-NL_2017-11-08-tweedekamer-11.u195	Thank you, Mrs. Chicken. Then I will go to Mr Kuzu on behalf of DENK.
ParlaMint-NL_2017-11-08-tweedekamer-11.u196	Mr. Chairman. I didn't go home yet, because first I wanted to thank the Secretary of State for his reply and because I wanted to table two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government agreement states: "The cabinet is prepared to invest extra in the islands, provided that good governance and financial accountability are secured at an adequate level';]] [[noted the problems in the Caribbean Netherlands, including child poverty, educational disadvantages and rising food prices;]] [[calls on the Government to:]] [[develop additional investments in the Caribbean Netherlands on the basis of at least an analysis of the needs of the islands;]] [[linking investment to a concrete timetable;]] [[develop the conditions for investment;]] [[consider how the government can assist in achieving these conditions,]] [[invites the Government to inform the Chamber as soon as possible, but no later than before the Spring 2018 note,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that, over the year of implementation, departments transfer budgets to the budget of Kingdom relations and that the contributions of the departments for 2018 are therefore not yet visible in the 2018 budget;]] [[noting that this uncertainty about the money to be received could make good and planned governance in the Caribbean Netherlands more difficult;]] [[calls on the Government to consider ways in which contributions from departments to the budget of Kingdom relations can be made more easily understandable, preferably already in the budgets,]] [[calls on the Government to inform the Chamber of the results,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-20]] [[This motion has been proposed by Mr Kuzu. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-IV-21]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u197	Mr. Chairman. This Secretary of State has been working for two weeks. I wish him every success and wisdom in the coming period.
ParlaMint-NL_2017-11-08-tweedekamer-11.u198	Thank you. Finally, Mrs Van der Graaf. She did not participate in the first term due to personal circumstances, but she would like to table one motion in the second term. I'll see if the Chamber has any objection. I understand it's not a problem. Mrs Van der Graaf on behalf of the Christian Union.
ParlaMint-NL_2017-11-08-tweedekamer-11.u199	Thank you, Madam President and colleagues, for giving me the opportunity to table a motion here tonight. I would also like to thank the Secretary of State, whom I congratulate wholeheartedly. I look forward to working together. Thank you for your answers to the questions on children's rights tabled yesterday by Mr Van den Berg. I think it is appropriate to include this point in a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the position of children on Bonaire, Saint Eustatius and Saba requires permanent attention;]] [[Whereas the funds provided for this purpose were provided for by the Van Laar/Segers amendment of 1 October 2014 (34000-IV, No. 9) are last available this year;]] [[Whereas policies to improve the position of children and children's rights should be permanently anchored in public bodies and local organisations by providing technical assistance and capacity building;]] [[calls on the Government to do so. similar efforts to continue to improve the position of children on Bonaire, Saint Eustatius and Saba and to inform the Chamber of Spring 2018 on the basis of the evaluation of how it will do so,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van der Graaf, Bosman, Van den Berg, Diertens, Bishop, Chicken, Van Raak, Van Tongeren and Kuzu.]] [[She's getting No. kst-34775-IV-22]]
ParlaMint-NL_2017-11-08-tweedekamer-11.u200	Mrs Van der Graaf, Mr Kuzu has another question for you.
ParlaMint-NL_2017-11-08-tweedekamer-11.u201	I have one short question. I wholeheartedly co-signed the motion. We have also tabled an amendment. Can we also count on the support of the Christian Union for this amendment?
ParlaMint-NL_2017-11-08-tweedekamer-11.u202	Thank you for that question. I will take the amendment with me in the group and we will discuss it in the recital. I think the votes on the amendments are a little later in the year. Then we'll get back to that.
ParlaMint-NL_2017-11-08-tweedekamer-11.u203	Thank you. That brings us to the end of the second term from the Chamber. I'll suspend for ten minutes.
ParlaMint-NL_2017-11-08-tweedekamer-11.u204	I give the floor to the Secretary of State.
