ParlaMint-NL_2017-04-12-tweedekamer-3.u1	I would like to welcome the Minister and my colleagues.
ParlaMint-NL_2017-04-12-tweedekamer-3.u79	I will. In that which was meant as a general introduction to the various main topics I have already answered quite a lot of the questions. That does not apply to Mr Verhoeven's question about a laptop with a letter on it. This really falls under the protection of privacy. Whether it is a letter or not, this does not meet the three criteria I have mentioned. A peeking camera in the laptop is also covered by the protection of privacy, so Article 10. We talked about horizontal operation. We also talked about national security. Mr Koopmans emphasised the distinction between ordinary law and the Constitution. I'd like to do that again. In debates on the Constitution, it sometimes seems that everything that is not in the Constitution is free to go on. Of course it isn't. The principle of legality means that public authorities outside the Constitution are not allowed to do anything, unless there is a legal basis for it. The legislator is there so that the legal basis always remains within the constitutional frameworks, as we see it in a debate like this. In itself, therefore, there is no man overboard if something is not in the Constitution, because there is also an ordinary legislator, who then looks at whether something is in place. Mr Van der Staaij asked whether this would lead to a change in the field of child pornography, for example. That is not the case. That's not what it's about. The concept of 'telecommunications' is therefore, in fact, widely understood, in accordance with the criteria I have mentioned. I've been philosophizing with my staff. Maybe I shouldn't tell you this, but I'm still talking about whether communication through two cans with a string is tensioned between telecommunications. That idea, I think, falls on the criterion that you don't entrust the information to a third party. It's more like whispering something in the ear. This may be covered by the protection of privacy, but not by Article 13. That's the oldest phone line we used to play with as kids. It is not covered by Article 13 of the Constitution. Mr Van Raak has an amendment (33989, No. 10), which I shall deal with in a moment. On some of the points he has raised, I have already stood still in response to an interruption. Ms Özütok asked if it was ECHR proof. It is in the government's belief that it is. The concept of 'national security' is also derived from this. Mrs Bruins Slot has asked a specific question about the cloud. I've just said something about that. And passerby. Storage is considered by the Constitutionalist and by us as a, perhaps virtual, form of an external hard drive. It's actually not even virtual, because of course it's stored somewhere in the world on a hard drive. At that point, it's not on its way. This is similar to e-mails stored on your iPhone, for example.
ParlaMint-NL_2017-04-12-tweedekamer-3.u80	Storage of communication in the cloud is covered by Article 13 of the Constitution.
ParlaMint-NL_2017-04-12-tweedekamer-3.u81	This is true if there is a message, we must look at the text as well, which is entrusted to a third party who is responsible for transport and any intermediate storage. That does not apply, however, to a message that has been delivered long ago but that you leave behind. There is still a trace of this in cyberspace; it is; that is a fact. If the government wanted to do so, it would be a matter of protecting privacy.
ParlaMint-NL_2017-04-12-tweedekamer-3.u82	The Minister refers again to Article 10, but the explanatory statement on pages 6, 16 and, in my view, 36 states that storage of communication in the cloud is covered by Article 13 of the Constitution. I therefore ask the Minister to clarify in the second time when storage is in the cloud and therefore not covered by Article 13, and when the storage of communication is in the cloud and is covered by Article 13.
ParlaMint-NL_2017-04-12-tweedekamer-3.u83	I'll give you that for the second term. Mr Bosma supported the proposal. He was curious about some of the raffle edges to some of the definitions. I hope I managed to convince him in the answer. Let me see what the remaining questions are before I move on to the amendments. I went over the traffic records and the fridge. I now turn to the amendments that have been tabled. Mr Verhoeven proposed adding: if this is necessary in a democratic society. As Mr Van der Staaij has already pointed out, this is actually contrary to the Constitution's system. This is not included for other fundamental rights either. You could say you have to start somewhere, but I don't think that's a good approach. If you want this, you'd have to sit down and add it everywhere; you'd have to use a constitutional change for that. Otherwise, you'll get dissimilar articles. Some articles would have to be taken into account and others would apparently not. I wouldn't do that. It's not necessary either. This is about privacy, for example. Just as Mr Verhoeven writes in his explanatory statement, his necessity, subsidiarity and proportionality are par excellence in the criteria on which the use of special powers by a security service is subject to review by law. It is therefore fully enshrined in the law. I refer to what I just said: not everything that is not here is not valid; a lot of these things are indeed valid, because they are in an ordinary law. However, it does not fit in the constitutional system to include this now. I'd advise against that.
ParlaMint-NL_2017-04-12-tweedekamer-3.u84	That is what we are talking about, and that is what we are talking about. 12.
ParlaMint-NL_2017-04-12-tweedekamer-3.u85	Yes.
ParlaMint-NL_2017-04-12-tweedekamer-3.u86	I have just told Mr Van der Staaij, Mrs Bruins Slot and Mr Koopmans that in 2010 the State Committee gave its opinion on this issue: do you have to deal with it by article or do you have to do it with a general provision? I will go into this in greater detail in the second period. The State Committee has recommended that a general provision should be introduced, as this would compensate for what D66 is trying to regulate with the amendment. This is about countering the erosion of the term "national security" as a way of always interfering in people's fundamental rights. Why didn't the Minister take that advice? Why can't I hear him about that? He's just saying: per article we're going to do this; I don't think that's a nice way to work. That is what Mr Van der Staaij said. But the government has not said anything about the greater way in which it works, which means that it is done in all articles in which it plays by means of a general provision. At least I haven't heard from the government about that.
ParlaMint-NL_2017-04-12-tweedekamer-3.u87	Quite strictly, it's two different things. Here's what I'm talking about. If you would like to add this, it does not necessarily have to be in a general provision. Then you could also make a constitutional change. Then a number of articles will only be finished when we add this. Then why don't I? Then I come to my second argument: I do not think it is necessary, because these criteria are sufficiently laid down in ordinary law.
ParlaMint-NL_2017-04-12-tweedekamer-3.u88	That'll kill the first part of my point. The Minister says that this is not my only argument; I have another argument, and I would like to take this up with him, not to allow the first argument, which Mr Verhoeven rejected, to be the only argument, so that I actually have to agree with him. That's fine. The Minister has just said enough about the second argument. I will not respond to that now, because it leads to his advice. I will come back to this in the second term, but I will leave it for now.
ParlaMint-NL_2017-04-12-tweedekamer-3.u89	Okay.
ParlaMint-NL_2017-04-12-tweedekamer-3.u90	Excellent. Mr Koopmans, did you have a question about Mr Verhoeven's amendment?
ParlaMint-NL_2017-04-12-tweedekamer-3.u91	Yes.
ParlaMint-NL_2017-04-12-tweedekamer-3.u92	You may ask that question, but this is not always common practice.
ParlaMint-NL_2017-04-12-tweedekamer-3.u93	I've been here a few weeks, too. My question therefore concerns Mr Verhoeven's amendment. Does the Minister agree with me that if we were to try to adopt European human rights and case law one-on-one in this way, we would actually ask the European Court of Human Rights to start interpreting our Constitution one-on-one?
ParlaMint-NL_2017-04-12-tweedekamer-3.u94	That's not really a question to me. I'll write it down.
ParlaMint-NL_2017-04-12-tweedekamer-3.u95	The Minister continues the reply.
ParlaMint-NL_2017-04-12-tweedekamer-3.u96	Something just came up to me. I'll see if I can tell you right away, 'cause that'll save you. It's about the answer I owed to Mrs. Bruins Slot about the cloud. During and after transport it is indeed covered by Article 13, in so far as it is the third person who transported it. I'm correcting myself. If the government requests it from the third party, it falls within the scope of Article 13. I stand corrected. So Mrs. Bruins Slot just pointed it out. With his amendment, Mr Van Raak wants to take the judicial test for all messages. So that goes far beyond what is currently the case, regardless of the fact that we are modernising the Wiv. The bill was adopted by the House of Representatives at first reading. I can use my nose to point out a number of people who were against it at the time. So I'm gonna leave it in the middle. But also under the current Intelligence and Security Services Act, there is no need for the judge's consent if the Minister of Defense orders that a telephone call be intercepted in a crisis area. If it is necessary for national security and it is proportionate for the purpose set and the subsidiary use of other means, then the Minister may impose a burden on it. Then the supervisor, the CTIVD, will look into whether all this has happened correctly. This amendment should stop doing so. Then you can say: then you have to change the law. But then we'll go back to the Stone Age at this point. It would also be very impractical and unworkable. I strongly advise against this amendment.
ParlaMint-NL_2017-04-12-tweedekamer-3.u97	That is the point of the amendment. 10?
ParlaMint-NL_2017-04-12-tweedekamer-3.u98	Yes, it is the amendment to item No. 10. Mrs Özütok has tabled an amendment which does not go that far. It confines itself to the secret of letters. You're back to square one, in the sense that you take the technology independence out of the law. Then the letter will be treated differently from the mail. The intention of the government was precisely to drop that difference. The consequences for the practice of the amendment in respect of item No. Mrs Özütok's 11 amendments are much less draconian than those of Mr Van Raak's amendment. Frankly, not so many letters are sent open, let alone opened up to any national purpose. That is not so bad, but the beauty of Article 13, as it stands, is precisely that we remove technical dependence. We no longer have to ask ourselves whether it is a letter or an e-mail. That's actually English for "letter." I would nevertheless advise against that amendment. That was my answer for the first term.
ParlaMint-NL_2017-04-12-tweedekamer-3.u99	Thank you. We will proceed immediately with the second term of the Chamber. I call Mr Verhoeven. Speaking time is about one third of the speaking time given for the first time.
ParlaMint-NL_2017-04-12-tweedekamer-3.u100	Mr. Chairman. I would like to thank the Minister for his reply. I'll start with two motions, or I'll get caught up in my papers. The motions are about two cases I've brought in, but I haven't had a response to them yet. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[points out that traffic data should be protected under the proposed telecommunication secret as well as the content of communication,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33989-13]]
ParlaMint-NL_2017-04-12-tweedekamer-3.u101	Why does Mr Verhoeven not propose an amendment? He wants to amend the text of the Minister's proposal.
ParlaMint-NL_2017-04-12-tweedekamer-3.u102	Mr Bosma may in theory be right about that. I'll find out. If necessary, I will come up with an amendment. Then the scope is exactly the same, so that there is no need to reopen the debate in order to understand what I have been talking about.
ParlaMint-NL_2017-04-12-tweedekamer-3.u103	In the motion, Mr Verhoeven seems once again to be making no distinction. That is what we have just done very difficultly between traffic data that are substantive and traffic data that are not. Did I get that correctly?
ParlaMint-NL_2017-04-12-tweedekamer-3.u104	In the sense that we believe that most of the traffic data is substantive. Mrs Bruins Slot says that traffic data is not usually content and only reflect "location-like" things, but we believe that they are almost always substantive, especially as regards how they are applied by those who use the data to make certain people suspicious.
ParlaMint-NL_2017-04-12-tweedekamer-3.u105	The question is what Mr Verhoeven means by 'in substance'. The Minister argued that traffic data is always subject to Article 10 of the Constitution and is therefore subject to privacy. In doing so, there is a form of legal protection for these traffic data. If I listen carefully to Mr Verhoeven's speech in his first term, he is mainly concerned with legal protection. Does it make any difference whether there is legal protection under Article 10 of the Constitution or legal protection under Article 13 of the Constitution?
ParlaMint-NL_2017-04-12-tweedekamer-3.u106	That is a valid point. Article 10 deals with the protection of privacy. Some will therefore be able to run well through Article 10, but some will not. That is why we want to regulate this through Article 13. That seems logical to me, because the two groups do not overlap completely.
ParlaMint-NL_2017-04-12-tweedekamer-3.u107	I may have misunderstood the Minister, but I believe that the vast majority of traffic data is covered by Article 10 of the Constitution. The minister really had to look for an example of a traffic data where that was not the case and that was HTML.
ParlaMint-NL_2017-04-12-tweedekamer-3.u108	That is true, but that is the difference between the legal, from the Constitution, entering into the debate on this issue and looking at the practice through the work of the services. In this respect, my experience is that the concept of 'national security' and the increasing use of all kinds of data under the guise of national security are being extended. We believe that additional protection is needed to cover the practice. We are doing this by doing something about Article 13. We are very pleased that Article 10 is already doing a great deal of good. But because it often goes wrong, we think that we should take another step. However, this is more inspired by my practical experience with the services and the way in which this cabinet has made laws in recent years, using national security for almost everything to break into the privacy of citizens, whether suspicious or not. We have also had discussions and debates on this. In those debates, D66 was unable to ensure that a majority of the House voted against those laws. That is why we must always be cautious, and that is why we are taking this extra step. But strictly speaking, Mrs Bruins Slot, you are absolutely right with the way you interpret the Minister. That's how I heard it. I'm filing my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the secret of letter and telecommunications has traditionally been a guarantee against public interference;]] [[Whereas communication through private telecommunications service providers is increasing and these companies can gain a very personal insight into a person's life;]] [[calls on the Government to examine the extent to which the horizontal functioning of the constitutional articles for the protection of privacy and telecommunications secrecy are satisfied against interference in these rights by persons and how any additional constitutional protection can be developed, and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33989-14]]
ParlaMint-NL_2017-04-12-tweedekamer-3.u109	I would also like to return to the suggestions, comments and criticisms voiced by members of the VVD, the CDA and the SGP in this debate. Mrs. Bruins Slot asked me, "Aren't you going too fast?" Shouldn't you also be aware of what the Constitutional Commission said? I have just said in an interruption that the Constitutional Commission issued an opinion in 2010. Chapter 8 contained a proposal for a new telecommunications secret, limited to national security, but with the emphasis on the need to read it in conjunction with the Committee's proposal in Chapter 6 for a substantive extension of the restriction system. Or, in normal words, if, under the guise of national security, which is contained in several articles of the Constitution, you are going to violate the fundamental rights of people, which is allowed on the basis of that Constitution, then we should find a solution to that. It is proposed to do so by means of a general provision, according to the Constitutional Affairs Committee at the end of Chapter 6 of its opinion. You could follow that advice, but the government doesn't, and that's why D66 chose to do it article by article. We are therefore starting with the first article to be discussed, and that is now Article 13. In that sense, we are equally consistent. In fact, we blame the government for saying that we take national security out of the ECHR and use it as a concept to cooperate. The Constitutional Affairs Committee points out the dangerous possibility of this concept being stretched very much in order to be able to take steps at all times, to which we say: solve it. The Constitutional Commission wants a general provision, and we say: at least do it in this article.
ParlaMint-NL_2017-04-12-tweedekamer-3.u110	I really appreciate Mr Verhoeven's further clarification, but this general provision, did we not discuss it yesterday?
ParlaMint-NL_2017-04-12-tweedekamer-3.u111	That might be possible, but is there going to be one?
ParlaMint-NL_2017-04-12-tweedekamer-3.u112	I see the Minister shaking no, but yesterday we discussed precisely that general provision.
ParlaMint-NL_2017-04-12-tweedekamer-3.u113	Yes.
ParlaMint-NL_2017-04-12-tweedekamer-3.u114	That was a wonderful contribution by Mrs Van Engelshoven. That general provision was put in the fridge for a moment. Would it not be wiser to withdraw this amendment now and to allow us to discuss that general provision in the other legislative proposal? That is where the various elements are taken into account in a broad sense, and I refer to fundamental rights and the democratic rule of law. D66 had made the proposal to use the full wording of the Constitutional Commission. It is only a suggestion to Mr Verhoeven, but of course he himself deals with his amendment.
ParlaMint-NL_2017-04-12-tweedekamer-3.u115	I think that is a very valuable suggestion that I absolutely want to think about. I hereby undertake to do so. I will also have a word with my colleague Van Engelshoven. Here are two worlds coming together, regulating the world of legislation in the most elegant way, in which I think Mrs Bruins Slot would like to see a D66 step versus the rapidly changing practice of using all kinds of data to ensure national security and violating people's privacy and fundamental rights. Since this is happening at such a rapid rate, I have stated in my speech that these developments are going very quickly. I think that putting this solution in the refrigerator under elegant legislation is dangerous. Then again, we haven't arranged anything for a fast-changing practice for years. And that's why I have to weigh these two things against each other and come back to this. The Chamber will then see whether or not I withdraw my amendment. However, I take the advice to heart.
ParlaMint-NL_2017-04-12-tweedekamer-3.u116	I'll make it a little more complicated. The general provision we spoke about yesterday was the provision prior to the Constitution. This general provision is discussed in Chapter 4 of the State Committee's report. In Chapter 6, however, we are again talking about another general provision, which Mr Verhoeven is now referring to. This is an additional restriction clause. This would mean that restrictions on fundamental rights do not go beyond the purpose of the restriction and that the core of fundamental rights should not be affected. That is true; that has been advised by the State Committee and that opinion has not been followed by the government, on the initiative of Parliament. But that is something else that Mr Verhoeven is proposing.
ParlaMint-NL_2017-04-12-tweedekamer-3.u117	Yes.
ParlaMint-NL_2017-04-12-tweedekamer-3.u118	After all, the ECHR text on what is necessary in a democratic society, to which Mr Verhoeven refers, is not the general additional restriction clause referred to by the State Committee.
ParlaMint-NL_2017-04-12-tweedekamer-3.u119	That's right. I just got a note. I think it's okay to break the letter secret for now. So I'm reading the note. It states: "It is not a general provision in advance, but a general provision in terms of protection on mode of limitation." That is exactly what Mr Van der Staaij is saying. But when he says that, he is actually saying that what I am contributing as a reason for doing so, namely that the government did not accept that opinion from the State Committee, is an additional argument to regulate things by article now. After all, that was not the issue at all yesterday. So in fact Mr Van der Staaij is with me now. I thank him for that.
ParlaMint-NL_2017-04-12-tweedekamer-3.u120	Mr Verhoeven is always very strong in pulling things towards him.
ParlaMint-NL_2017-04-12-tweedekamer-3.u121	Oh.
ParlaMint-NL_2017-04-12-tweedekamer-3.u122	He is right; there is another separate debate: is the protection of fundamental rights good, or should it include additional provisions? However, it remains difficult to change into one provision now and not to have that general discussion. The D66 Group could also come up with an initiative proposal to opt for such a general restriction clause. This would do justice to the point which apparently lives with the D66 Group, whereas it does not simply refer to one provision.
ParlaMint-NL_2017-04-12-tweedekamer-3.u123	Agreed. For the sake of clarity, I am referring to the comments made on pages 54 and 55 of the 2010 opinion of the State Committee. At the bottom of page 54, it says: "The State Commission nevertheless considers it desirable to lay down some substantive conditions for restricting constitutional fundamental rights in the Constitution'. The Committee therefore says that this is necessary on the basis of the use of those substantive requirements for the restriction of fundamental rights. The Committee then writes on page 55: "In view of these considerations, the State Committee recommends that a provision be incorporated into the Constitution which imposes some general, substantive requirements on restrictions on fundamental rights." So it is exactly as Mr Van der Staaij and Mrs Bruins Slot say: then you can make a decision. Either we settle it now, in the course of the discussion of this article, because we think it is necessary. Or D66 comes up with an elegant way to do it. The speakers have made various proposals for this. I'll weigh it up. That's what they hear from me. In any case, I have done my best to respond to the doubts expressed by Mr Van der Staaij's group and Mrs Bruins Slot's group, and also those of Mr Koopmans. They say that elegant legislation is worth something. Of course, D66 totally agrees with that. But we are also dealing with a rapidly changing world. Mrs Van Engelshoven's contribution to yesterday's debate was precisely about the system of constitutional changes. That actually comes out beautifully in here. Sometimes you need another constitutional change to ensure that the Constitution also covers the practice sufficiently. Mr President, I must now try to conclude. I have already said a great deal of what I would have said without being interrupted. The Human Rights College has therefore proposed the full use of Article 8 of the ECHR. That is why we have proposed this addition. That's the Minister's advice. That disappoints the D66 Group. We will consider what to do with the amendment. Furthermore, Mr Koopmans made the point that the difference between "important" and "necessary" did not seem clear to him. I think it is very important to make up for the difference between 'important' and 'necessary'. That actually has to do with the word 'property'. It is important to protect us from terrorism, for example. This is important in the context of the objective of protecting national security. But in D66's view, that is what the discussion should always be about, so it is not necessary to listen to everyone and break the secret of telecommunications. The fact that you think something is important does not mean that you consider all the means to achieve that goal necessary. A balance must be struck. Through what we add through the amendment, we want to make that balance tighter. What means do you have to use to serve the purpose? We want to make sure that this balance is made better. That must be more than just saying: national security always justifies an exception to fundamental rights.
ParlaMint-NL_2017-04-12-tweedekamer-3.u124	I very much appreciate that Mr Verhoeven is giving this clear answer. But I'd like to get some more clarity. Based on underlying legislation, such as the Wiv, the AIVD will say that it is very important for national security to follow certain potential terrorists. Mr Verhoeven can then say: it may be important, but it is not important enough, because it must be necessary. You'll get a category of dangers to national security that he doesn't think are important enough.
ParlaMint-NL_2017-04-12-tweedekamer-3.u125	No, that's a really wrong explanation. I go completely away from the Constitution, I go to the underlying legislation and the importance of national security. We have always had debates about this in this Chamber. Every group in this Chamber considers national security to be important. But how are we going to serve that national security? Then some parties say: we need to tap citizens and we need to see all kinds of communication to make sure that we can catch those people. That's their way of serving national security. D66 doesn't always think that's necessary. Often it turns out that the information is already available, so you don't have to see everything in order to guarantee that same security. This is really about the way you want to protect national security. We do not believe that some of the interventions proposed by Mr Koopmans' cabinet and party are necessary, but we consider the objective pursued by this to be equally important.
ParlaMint-NL_2017-04-12-tweedekamer-3.u126	Short follow-up question.
ParlaMint-NL_2017-04-12-tweedekamer-3.u127	Mr Verhoeven says that in certain cases he does not want to allow the AIVD to investigate what it considers important in the light of national security. Despite the fact that this is done on the basis of a law, despite the fact that there is independent review and despite the fact that we all stand up here for the freedom and privacy of people, to lay down in the Constitution and all the underlying laws, Mr Verhoeven still considers a certain category not important enough.
ParlaMint-NL_2017-04-12-tweedekamer-3.u128	I am assuming Mr Koopmans' good intentions and that he is really not acting like he doesn't understand me by saying three more times how important it is to catch terrorists. The campaign's over. We both consider national security to be important, even just as important. But we do not think that a number of measures to achieve this national security are necessary, where the VVD considers them necessary. There's the difference.
ParlaMint-NL_2017-04-12-tweedekamer-3.u129	Have you finished your speech?
ParlaMint-NL_2017-04-12-tweedekamer-3.u130	I think so. I have dealt with the state committee; thank you for answering my questions. I shall come back to my amendment, but Members will see that. I have tried to clarify the difference between important and necessary. In any case, I have tried to respond to Members' questions. Thanks for the patience. I call Mr Koopmans on behalf of the VVD.
ParlaMint-NL_2017-04-12-tweedekamer-3.u131	Mr. Chairman.
ParlaMint-NL_2017-04-12-tweedekamer-3.u132	I'd like to finish the second term for lunch. That is why I am going to pay more attention to speaking time.
ParlaMint-NL_2017-04-12-tweedekamer-3.u133	I'll do it in a minute and a half. Our solution must be technologically independent. I would also like to mention the complications of the augmented reality. You may communicate directly and through a third party. This brings us into conflict with Articles 10 and 13. If we are technologically independent, let us also take that broader dimension into account. In addition, there is safety. It is very important that we unite in our concerns about national security. I understand that Mr Verhoeven is very concerned about this. But let us not make it even more difficult than it already is by defending security and making the very heavy test proposed by the Minister even heavier. I don't think that's in the best interest of all of us. Furthermore, it is about austerity: let us not make the bill more difficult than it already is. Let us, as Mr Van der Staaij says, ensure that it fits within the system of the Constitution. Therefore, let us not incorporate difficult solutions in this way through Strasbourg, the European Court of Human Rights. If necessary, there is also the formal law.
ParlaMint-NL_2017-04-12-tweedekamer-3.u134	Madam President. I thank the Minister for his reply. He has clearly answered all kinds of questions. I can be brief in this second term, because I have only one question left, namely whether the Minister can also assess whether this text proposal has met all the serious concerns that were raised earlier in the previous discussion. Then we have a clear view that there can also be broad support on these points and, after such a long time, we can finally quickly return Article 13, in modern form, to the Constitution. Finally, I would like to comment on the small debate with Mr Verhoeven on the amendment. I would like to make it clear to all of you that I really believe that a rapidly changing world is not a convincing argument to undermine the restriction system of the Constitution. It is not so much a question of conservative or progressive, but I see that it is really about careful or careless handling of the Constitution.
ParlaMint-NL_2017-04-12-tweedekamer-3.u135	Mr. Chairman. I would like to thank the Minister very much. It's finally gonna happen. There was already a first proposal in 1997. We have gone on for many years now and we need to adapt the Constitution to digital technology. Article 13 is about to say that everyone has the right to respect his letter and telecommunications secrecy. But that only applies to infringements by the government. However, this is very limited compared to possible infringements by multinationals, such as Google and Facebook, commercial stakeholders. That puts this whole discussion in a different perspective. I agree with Mr Koopmans that we will have to have this discussion with each other. Another discussion we need to have is the question of what exactly is national security. What exactly is a state secret? We will soon have that discussion in this Chamber. Finally, I would like to say a few words about my amendment. I don't think you're protecting the rule of law by tearing it down. I am always in favour of having infringements of fundamental rights accompanied by a legal test. Now that counts with letter secret, but not with telephone and telegraph secrecy. The Minister has chosen to abolish it for all, but of course you can do it for all. You can make the political choice to allow a judicial test. We have made that choice, and I therefore strongly recommend the amendment. However, I also believe that after so many years we should achieve this renewal of the Constitution and therefore support the proposal for the Minister.
ParlaMint-NL_2017-04-12-tweedekamer-3.u136	Thank you. We are now going to listen to Mrs Özütok on behalf of the Labour Party. I mean, on behalf of GroenLinks. Apologies.
ParlaMint-NL_2017-04-12-tweedekamer-3.u137	Thank you, Mr. Chairman. It is indeed GroenLinks. I thank the Minister for answering my questions and the explanations he has given. I understand the desire for clarity and technical independence, given the technical possibilities that are indeed going through quite a lot of growth. However, my question has not been answered as to why the protection of letter secrets cannot remain. I still don't understand. The Minister stated in his reply that the letter was still used on a limited scale. Still, he's trying to get the protection off of it. I would like to hear what the problems are in practice, because the Council of State has also said that it is not aware that the current secret of letters presents problems in practice. I therefore maintain my amendment.
ParlaMint-NL_2017-04-12-tweedekamer-3.u138	I have a question about that. The SP has made a choice. We are in favour of judicial review in all communications: letter and telecommunications. That's your choice. You can also choose not to do either, as the Minister suggests. He doesn't want to do it with letter secrets and telecommunications. However, I find it remarkable to allow the distinction now contained in the Constitution to continue. Why a judicial test if something is in a letter, but not a judicial test if it is in an e-mail, or otherwise communicated? I find that choice rather remarkable.
ParlaMint-NL_2017-04-12-tweedekamer-3.u139	The Minister made it clear what the three criteria are with regard to the differences between telecommunications and letters. I am concerned with the question: if there is legal protection, what is the reason why we should depart from it now? What the problems are is not clear to me. I can partly support the desire to be technologically independent and to protect that in the Constitution. But I do need clarification on what the practical problems are with the letter secret.
ParlaMint-NL_2017-04-12-tweedekamer-3.u140	No, it's a matter of judicial review in the event of a breach of a letter secret. That is what GroenLinks wants to maintain, but not with all other means of communication. So if you send an e-mail, a text, or send a message via other forms of telecommunications, GroenLinks says that the judicial test is not necessary. I don't understand. Then why is it necessary for a letter, but not for all forms of telecommunications? I don't think that's clear. The SP has made a clear choice: we are in favour of judicial review in all forms of communication. The Minister has also made a clear choice: he does not want a judicial review in any form of communication. That makes sense; I disagree, but that's one way of putting it. But what GroenLinks does is kind of weird to me. It says: if the information is in a letter, then there is a need for judicial review, but if exactly the same information is in an e-mail, then it is not necessary.
ParlaMint-NL_2017-04-12-tweedekamer-3.u141	It may be necessary, so I would like to know what the practical problems are with the current letter secret. I think I made that very clear. Mr Van Raak and I continue to disagree.
ParlaMint-NL_2017-04-12-tweedekamer-3.u142	Thank you very much. Then we will listen to Mrs Bruins Slot on behalf of the CDA.
ParlaMint-NL_2017-04-12-tweedekamer-3.u143	Mr. Chairman. I would like to thank the Minister for the clear answers and also for his clarification about the cloud regime. I would like to thank Mr Verhoeven for taking up the substance of his amendment. I have another question about traffic records. The Minister has, I believe, clearly explained what the appropriate regimes are about traffic data. This concerns Articles 10 and 13 of the Constitution. However, on page 8 in the note following the report, he describes a number of additional issues relating to the operation in practice. We have also talked here about working in practice. The Minister writes that the legislator and the judge are primarily appropriate to achieve a certain protection regime that is appropriate in case the government wants access to the traffic data. The Minister writes that the legislator may determine the appropriate protection regime of traffic data if the government wishes to obtain access to such data for the purpose of exercising a particular competence. Can the Minister give us a concrete example of this? What legislation does he have in mind? What is a designated appropriate protection regime? There's a second element. The Minister is right to point out that there are a lot of new developments in this area. We cannot yet predict what the traffic data of the future are, or the aggregated traffic data that Mr Verhoeven was talking about. The Minister writes very comfortingly that the instruments of legislation are adequate to respond to this new development. My question then is what these instruments are which the Minister says he can use well to deal with new developments regarding traffic data.
ParlaMint-NL_2017-04-12-tweedekamer-3.u144	Thank you very much. I'm gonna take a look at the minister to see if he's gonna be able to answer right away. That's the case.
ParlaMint-NL_2017-04-12-tweedekamer-3.u145	Mr. Chairman. I would like to thank Members for their broad support for the proposal before us. Amendments have been tabled by a number of parties. I'll be right back. If these amendments do not succeed, I hope that I can get the parties concerned to support the proposal. I'll discuss the motions first. The Verhoeven motion in part No. 13 actually has the character of an amendment. Mr Bosma pointed that out. Referring back to the discussion we have just had, the motion states that the traffic data should be considered as being taken below. However, we have had the right discussion about whether this is the intention of the proposal before us, and it is not. I therefore advise against this motion. The same applies to the Verhoeven motion in part No. 14. We talked about the initial intention to give that article of the Constitution horizontal effect, which also binds organisations and companies to a form of letter secret. On the advice of the Council of State, we have chosen not to do so. I therefore advise against asking the government to examine how possible additional constitutional protection can be developed. You then actually come back to the desire to settle it in the Constitution. For me, therefore, the constitutional aspect is a reason to discourage the motion. I can very well imagine that at some point the Chamber is looking for an opportunity to go into a completely different matter. Several speakers have pointed out that we are talking here about how citizens are protected from breaches of privacy by the government, while at the same time there are companies that make very large use of the fact that someone simply clicks "yes" or "okay." All kinds of privacy are then shared with multinationals, while that person has no idea where it's going. That is a real problem. I can very well imagine that this is being discussed by the Chamber and that this should perhaps lead to international regulation. So I agree. Mr Van der Staaij asked if I think there will be sufficient support for it if we do so. I think so. Frankly, this proposal also seeks to receive such support on a number of points of discussion. Following Mr Van Raak's contribution...
ParlaMint-NL_2017-04-12-tweedekamer-3.u146	Before you comment on Mr Van Raak's contribution, Mr Verhoeven has another question.
ParlaMint-NL_2017-04-12-tweedekamer-3.u147	I'll come back to my first motion for a second. As Mr Bosma said, perhaps you should make an amendment. However, if I am going to explicate this by means of an amendment, I am again undermining the technology-neutral nature of the law. I told the minister I understand he doesn't want to. That is why I have tabled a motion which, as usual, begins with the text 'The Chamber, heard the debate'. By tabling a motion referring to this debate, I try to point out the technology-neutral law in a certain way. The Minister may, of course, discourage the motion; he has already done so. However, I would like to point out that it is consistent to express a vote in the Chamber by means of a motion and thus give an interpretation to a technology-neutral law, as the Minister himself proposes. That is why I tabled a motion and not an amendment. In the latter case, I wouldn't be doing it technology-neutral anymore. I would make a distinction between metadata and substantive communication, and we do not really want that. After all, it is no longer technologically neutral.
