ParlaMint-NL_2017-06-14-tweedekamer-5.u1	Once again, I would like to welcome the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u91	I can tell the Secretary of State that the animal police are almost over 200 years old, and that they are getting up there this year. We once asked for 500, which everyone wondered why there had to be so many. Partly because of these kinds of things, including to control horse transports, slaughterhouses, zoos, nooses in dunes, forests and fields. It's about the return of the field police. Those 200 men out there today, they can't handle the 144 reports. Those people are all gonna go to hell. They can't handle the number of reports, and the number of animal executioners is growing. We also let in many of those sick idiots, who have a very different picture of animal welfare than we do in the Netherlands. Please do something about it, Secretary of State. I have a final question for the Secretary of State. I was indeed talking about where we might be able to reduce grafts. The Secretary of State may be able to take that up with his team. I don't have the people for that. Mr Geurts was right to say that there is not much going on against infectious animal diseases. He's just got a point there. My question is precisely whether there are no other solutions because of that excess grafting and disrupting the immune system, with all the side effects of grafting. This may also make animals more susceptible to infectious animal diseases. That was my whole point today. I hear Mrs Lodder sighing behind me, but this is a point.
ParlaMint-NL_2017-06-14-tweedekamer-5.u92	She can sigh!
ParlaMint-NL_2017-06-14-tweedekamer-5.u93	Yes, she may sigh, but she is still alive. If the Chamber supports me on this point, I would like to organise a round table to discuss how we can reduce grafts and replace them with pre- and probiotics and phytotherapeutics where possible.
ParlaMint-NL_2017-06-14-tweedekamer-5.u94	The Chamber is free to organise a hearing. To give Mr Graus an impression, for example in the outbreak of avian influenza, I would like to see grafts possible. Only you always have to deal with new variants to which such a virus adapts, which was not possible here. If we had been able to vaccinate, we would have been able to prevent the many slaughters that we unfortunately had to carry out. In those cases where it is possible, there is often something to say for vaccination, such as the Q fever we have spoken about before. The fact that vaccination can now be carried out is extremely pleasant for everyone. There are many nuances here. Perhaps it would be wise for Mr Graus to organise a hearing. Then the Chamber can exchange views with experts on this matter.
ParlaMint-NL_2017-06-14-tweedekamer-5.u95	Finally, Mr Graus.
ParlaMint-NL_2017-06-14-tweedekamer-5.u96	The use of pre- and probiotics and phytotherapeutics may prevent animals from being susceptible to infectious animal diseases. That's all I care about. So this is prevention rather than preventive grafting.
ParlaMint-NL_2017-06-14-tweedekamer-5.u97	Over the past few years, we have had a number of exchanges with each other in order to provide support from the department for the use of, but also for communication on, pre- and probiotics. I come now to the amendments and to the questions that have been put in line with them, starting with the amendment on item No. 10 by Mrs Lodders and Mr Geurts, deleting the tax base for operations other than the keeping of animals. However, eggs for hatching and for the production of vaccine hatching eggs have been levied for a long time. That is necessary, because those parts of the poultry sector pose a risk of outbreaks of diseases. So it is also in the interests of the relevant entrepreneurs that preventive and control measures are taken. It wouldn't be reasonable not to let them pay. This is now done through the levies on the keeping of day-old chicks, which are calculated on the basis of the number of hatching eggs. The bill continues this tax on its own, transparent basis. The amendment also deletes the possibility of introducing charges for operations other than the keeping of animals, other than those I have just mentioned. This includes the production, processing, transport or marketing of animal products or, for example, the preparation of feed. Those activities may also contribute to a risk of outbreak of infectious animal diseases. That is not the issue at the moment, but it is desirable that the legislative proposal should provide a basis for lifting, should this prove necessary. The AMvB option is a track, so to speak, to be able to move quickly, but the bill provides that such a new basis must always be transposed into legislation. Parliament's involvement is thus secured in the legislative proposal as it stands. I would therefore like to ask Mrs Lodders and Mr Geurts to reconsider their amendment on the basis of this information.
ParlaMint-NL_2017-06-14-tweedekamer-5.u98	Thank you for the response to the amendment. It is certainly by no means the intention to deprive existing levies of this possibility. However, that was not entirely clear. Having heard the Secretary of State, let me see what we can do with this. I'll also take a close look at the approval law. I haven't been able to find him, but it's probably mostly me. I'll get back to you on that.
ParlaMint-NL_2017-06-14-tweedekamer-5.u99	Then there is the next amendment.
ParlaMint-NL_2017-06-14-tweedekamer-5.u100	That is the amendment to item No. 11 by Mr Geurts and Mrs Lodders. It states that consultations should be held with associations of interests of natural or legal persons. Mr Futselaar responded. He asked questions about this amendment. He wondered if it was not the intention of this law to set the rates on a rational basis, so that you calculate how high they must be. That's right. At the same time, it is the usual practice to always consult representatives of interest groups when setting such tariffs. Of course, consultation is not the same as consent. It's not like they have to agree to it. We're gonna have a good time together. In fact, I think it is self-evident to do so, and that is why I think it is a sympathetic amendment. There was some discussion. I would be willing to accept the amendment, Mr President. Let me say, I am prepared to accept the amendment. Then I'll see if the Chamber is okay with that.
ParlaMint-NL_2017-06-14-tweedekamer-5.u101	I'll look around to see if anyone has any objections. That is not the case.
ParlaMint-NL_2017-06-14-tweedekamer-5.u102	Then I come to the amendment to item No. 12. That is a little more complicated, because Mr Grashoff proposes in that amendment that compensation should actually be financed from the Animal Health Fund for victims of the outbreak of zoonoses. Let me first say that the Animal Health Fund and the animal health levy are not intended to finance this type of damage. They are intended for damage caused by public measures aimed at combating infectious animal diseases and zoonoses. That is not the case in this case. It is not damage caused by government measures. It is therefore in fact an improper use of the Animal Health Fund. If there were any damage caused by State measures, the State would simply be liable to damages. It already is. Then the government will have to pay for the damage anyway. If there is no obligation to pay damages to the public authorities, this is a non-compulsory concession. This is a voluntary concession that the government finances. Then it is not appropriate to transfer them automatically to all companies in a particular sector. In specific cases, it can always be discussed whether it is appropriate to ask the business community to co-finance part of such a concession, but I do not think that there can be any automation. For these reasons, I must advise against the amendment. That brings me to the end of my reply.
ParlaMint-NL_2017-06-14-tweedekamer-5.u103	Thank you. Then we'll go to the second term. Does everyone need it? Mrs. Lodders does. I call Mrs Lodders on behalf of the VVD.
ParlaMint-NL_2017-06-14-tweedekamer-5.u104	Mr. Chairman. I would like to thank the Secretary of State for the comprehensive reply. Even if this is a technical legislative proposal, we have been able to discuss it in a fairly simple way. In my view, it should also be possible for those who are a little bit further away from this, because it is, of course, still important that we be able to work effectively both in the field of prevention and in the fight against animal diseases. I have already said in an interruption that I will come back to the amendment. I will look into this together with Mr Geurts and look further at what the Secretary of State has said. In his reply, the Secretary of State stated that he wanted to move towards greater transparency in the accountability of the costs incurred during a crisis, i.e. in the fight against animal disease. Nevertheless, I have tabled a motion which I should like to state where the emphasis should be. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that expenditure from the Animal Health Fund to address infectious animal diseases (logistics, clearing, aftercare) is not transparent;]] [[noting that it is not clear whether resources are being used efficiently and effectively;]] [[calls on the Government, in the fight against infectious animal disease, to make it clear what expenditure has been incurred on the various elements in the process of handling and disposal and logistics in the event of an outbreak and control of infectious animal diseases,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Lodders, Mr Geurts and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34570-13]]
ParlaMint-NL_2017-06-14-tweedekamer-5.u105	Mr. Chairman. I can make it quick. I thank the Secretary of State for the answers. For the moment, I take note of the answer given by the Secretary of State to my question on ceilings and risk reserves and the like. I assume that there are sound calculations on the basis of which we do not have to solve the sector's problems with public taxpayers' money. I will maintain my amendment on the Animal Health Fund. It is a matter of principle to me: a sector which is clearly responsible for people's health in a way that is apparently desired, namely by dealing with animals so intensively and so far in this densely populated country. I really think that we should draw a line here and make it clear that these risks must also be borne by the sector to a large extent. This is true once again because, precisely in this situation of victims of animal diseases, of zoonoses, it is almost impossible to trace who is the actual cause. That's not an individual company. This affects all kinds of routes for liability. Also the liability of the government cannot be demonstrated one-on-one; we have also noticed this with the Q fever. There's still a lawsuit going on, but the judge's rulings weren't positive at first. On the other hand, it is crystal clear that you cannot leave people to their fate in this way. It is therefore a matter of principle for me, and that is why I am maintaining the amendment.
ParlaMint-NL_2017-06-14-tweedekamer-5.u106	I now give the floor to the Secretary of State.
ParlaMint-NL_2017-06-14-tweedekamer-5.u107	Mr. Chairman. I'll start with the Lodders c.s. motion. in piece No. 13 in which the government is invited to make the expenditure incurred in the process of handling and disposal and logistics in the event of an outbreak and control of infectious animal diseases transparent. I already promised I'd come back to that in a letter. I shall therefore leave this motion to the Chamber. Mr Grashoff has not so much asked a question as he has made a speech. Let me be clear: I fully understand his argument. I understand that he says that there are situations in which the government has no liability for damages and there are also no companies that can be held liable because, for example, they have been negligent as a result of which people have been infected with zoonoses. People may have suffered damage, but they cannot hold anyone responsible for that damage. In fact, there is a reference to that situation. I can imagine that, in such a situation, the government would opt for compulsory compensation. I can also imagine that, together with the business community, we are looking at collective compensation for damage. This is something other than to record this in the DGF, which is not intended for that purpose, but really to compensate for damage suffered by companies by public intervention. Mr Grashoff's objective does not fit in with the DGF. This is not appropriate either because this is almost always a voluntary concession and there should be specific agreements on who contributes to the costs. I have said this as an argument for my consideration of the amendment.
ParlaMint-NL_2017-06-14-tweedekamer-5.u108	And that raises another question from Mr Geurts.
ParlaMint-NL_2017-06-14-tweedekamer-5.u109	This may be the last question in plenary for me today. This is what I'm talking about. If this amendment is adopted, entrepreneurs can object and win. That is another reason, an additional argument that I am going to pass on to Mr Grashoff. Is that what he means?
ParlaMint-NL_2017-06-14-tweedekamer-5.u110	Let me put it this way: indeed, this does not make the law stronger legally.
ParlaMint-NL_2017-06-14-tweedekamer-5.u111	The amendment I tabled does not provide for a one-to-one compensation scheme which is directly applicable. It does provide a hook in the law to do that. Indeed, this broadens the purpose of the law. But that is what we are talking about, so we are also talking about the purpose of the law; in that sense this is a circular reasoning. The amendment says that such a scheme can be introduced by General Measure of Management. This means that the Secretary of State will be given the opportunity to discuss this with the business community, to see to what extent the government can stand up to this and work out a regulation which, let me put it this way, is adequate, modest and can serve the main objectives. So I think there's plenty of flexibility in it. As a result, I believe that the legal risk which Mr Geurts pointed out is not present at the moment.
ParlaMint-NL_2017-06-14-tweedekamer-5.u112	It is appropriate to make a nuanced remark. The point is that, on the basis of the amendment, companies could be obliged to pay a contribution for non-compulsory compensation. That does indeed pose a legal risk. I do not dare to say at the moment how big that is, but if I have any further insights on this point, I will send it to the Chamber in writing and before the vote. But this presents a legal risk. The obligations now contained in the law are legally all very justifiable for the purpose, but if people are obliged to contribute and to contribute to an unobligatory concession, then so I say with the caution that suits me now, in any case, debatable or something like that will stand.
ParlaMint-NL_2017-06-14-tweedekamer-5.u113	Thank you. That concludes this debate.
ParlaMint-NL_2017-06-14-tweedekamer-5.u114	We will vote next Tuesday on the revision, on the amendments and on one motion. One motion, that's very unique.
