ParlaMint-NL_2017-06-06-eerstekamer-7.u1	I have already welcomed the Minister for Education, Culture and Science to the Upper House.
ParlaMint-NL_2017-06-06-eerstekamer-7.u96	For your information, I have one more question. Is it possible, if I may say so, to discriminate against other Europeans or other non-Europeans under numerus-fixus arrangements, or is it only about allowing the most suitable students?
ParlaMint-NL_2017-06-06-eerstekamer-7.u97	The latter is the case.
ParlaMint-NL_2017-06-06-eerstekamer-7.u98	So discrimination in that sense is actually not allowed at all?
ParlaMint-NL_2017-06-06-eerstekamer-7.u99	For a fixus training with a decentralised selection, more than one selection criterion should be considered, considering not only quantitative but also qualitative considerations. However, I have agreed with the institutions that it is not in the law that they should also take into account the population of their training. So the question of how to shape your population must also be considered. That means, for example, you don't just select girls. With regard to performance agreements, this would by far provide the best study return for a large number of training courses. And yet, even as Minister of Emancipation, with or without lipstick, bearing in mind Elske ter Veld, I do not recommend that colleges and universities select only girls. Mr Rinnooy Kan pointed out that the Erasmus programme is not only important for internationalisation in higher education. Students and teachers from other educational sectors, primary education but also adult education, can also participate in Erasmus+. It is obvious that, after higher education, it is now the MBO's turn to make use of it, because the students are also older. We're trying to stimulate that. These are more often group assignments, whereas in higher education they are mainly individual students who go abroad. A very good example of this is the collaboration between Noorderpoort, the Alpha-college and the Terra MBO. In it, students accompanied by teachers and researchers have worked on the construction of a homework home for poor school children in an orphanage in Romania. That too is internationalisation. Level 1 and 2 students came to me to present that project. It's very, very impressive to see what that's done to them. Students who often get to hear what they can't do and who will be among the lowest regions of the labour market suddenly see what they can do and what their social added value can be for others. It would be a good thing for me if we could manage to name these initiatives as Erasmus+ initiatives much more often. I'm a passionate advocate for that. Last week, I called again for this at the OJCS Council, in which we talked about the Erasmus+ programme. I had broad support for that at the time. However, calling for it is one thing; ensuring that it is put into practice is another thing. I would like to say to Mr Rinnooy Kan that the European Commission, too, is happy to see Erasmus+ further used and made accessible to all groups. This can be done, for example, by looking at simple things like simplifying administrative procedures. The legislative proposal we are discussing today is in line with my ambition to create more room for internationalisation in higher education and scientific research and thus to promote internationalisation in education and research and to remove obstacles. However, I am not blind to the risks of increasing internationalisation, as I say in particular to Mrs Gerkens, who, in my opinion, sees a lot of bears on the road and actually only risks. I say to Mr Ganzevoort: if you allow it unbridled, it can indeed lead to what you call 'knowledge imperialism', and I do not want that. This legislative proposal is therefore also intended to limit this and not allow everything, without entering into the autonomy of educational institutions. I will come back to the questions about digitalization later. I would first like to say to Mr Bruijn that this also means that there are no absolute answers in this whole internationalisation debate. This is not the answer for the next 40 years. I hope you will keep my successor sharp. The question of how you relate to national and international developments and how you can be responsive to them will have to be reconsidered over and over again. This applies in particular to colleges and universities. They must always ask themselves whether they are doing the right thing and whether they are doing the right thing. I am convinced that, although we are not taking huge steps with the proposals that are now before us, we are taking small steps, which will allow us to continue to go with the world that is so moving internationally. Having said that, I go to the questions that have been asked about the extension of the ius PhD candidate. The Court has examined this part of the legislative proposal in detail and has asked a considerable number of questions about it. I have already replied to some of them in writing, but I would like to go into some of the aspects that have been mentioned here. In the current WHW it is stipulated that only professors have promotional rights or ius PhD candidates. They are empowered, with the exception of others, to accompany PhD students. Let me remind you once again that this has not always been the case. Before 1963, the promotion law also belonged to lecturers from universities. Those were the teachers at a university with an official rank, just below that of a professor. With the disappearance of the lecturer at the university, the situation arose that only the professor of doctoral law retained. Universities and researchers, including, for example, De Jonge Akademie and PhD students Network Nederland, have repeatedly urged me, and also my predecessors, to better align themselves with international developments regarding ius PhD students. The researchers have also repeatedly asked for recognition for the day-to-day guidance of PhD courses, in fact acting as a promoter; a recognition that their fellow researchers abroad often receive. In addition, researchers in the Netherlands often have to wait a long time before a position of professor is released. As far as I am concerned, it is time that researchers were given the opportunity to be appointed as promoters in the case of proven competence. This is also in line with the wish expressed by Mr Bruijn in another context. We will then ensure that our system for young people is maximum supportive and accessible and that we are not overtaken by other countries that move faster. This is, I say to Mrs Nooren, a part of the modernisation of the university's HR policy, where the status of professor does not disappear, but where young staff are also seen and recognised for the work they do. The aforementioned letters, as well as those of VSNU, KNAW, Leiden University and Delft University of Technology sent to the Chamber, show that the proposed amendment is strongly supported by those directly involved.
ParlaMint-NL_2017-06-06-eerstekamer-7.u100	I am certainly sensitive to the arguments put forward by the Minister, but I still have a question. Apparently, we deal with it differently than in some other countries around us. However, I also understand that it is no different in Germany and France, for example. What exactly shows that mobility and, above all, the influx of talented researchers are being hampered? We received a letter from the Rathenau Institute this weekend, which at least denies it. Another question is: what shows, with the bottom line above all the interests of the PhD student and the quality of research, that our system is less of it because we have arranged this in the Netherlands?
ParlaMint-NL_2017-06-06-eerstekamer-7.u101	If you look at how we operate internationally, you will see that we deviate from many other countries that do grant promotional rights to others. The Rathenau Institute has shown this well. This shows that the ius PhD students are not exclusively reserved for professors in many other countries; take Belgium, England, Denmark, Norway, Austria, Sweden and Switzerland. Also in Germany and France there are exceptions to the exclusive right of professors to be appointed as promoters. I want to use this bill to create a level playing field, under conditions. We're not saying anyone can just get the ius PhD candidate. We also hear that the lack of a level playing field, Mrs Nooren, has also asked for a contribution to be made to the lack of an attractive location environment for foreign researchers. It also contributes to reducing various career opportunities for Dutch PhD students, Mrs Martens referred to this and thus an excellent guidance for PhD students. So the conditions, just for PhD students, I want to improve with that.
ParlaMint-NL_2017-06-06-eerstekamer-7.u102	Soon we will probably come to talk about the guidance of PhD students. I want to talk about the labour market. I read precisely in the reports of the Rathenau Institute, and I see that around me too, many researchers are keen to work in the Netherlands and therefore do not reduce the attractiveness of the Netherlands as a place of business for researchers. And about that level playing field: the Dutch research is in very high esteem and in most rankings is at least as high as, if not higher than in the countries mentioned above. So do you have to want a level playing field if it brings your level down?
ParlaMint-NL_2017-06-06-eerstekamer-7.u103	Internationally, we're doing well. We are also an attractive country for scientific research. Many of our researchers find places to work abroad. If we look to the future, after all, we are forward-looking and you also asked me to look at all the developments that are taking place now, and how we hold our position in that, we can see that this is an obstacle. I refer not only to the summary, but also to page 61 of the report Choices for the Future of the Rathenau Institute. Mrs. Martens asked about that, too. The Rathenau Institute has included a lot of elements in the scenario analysis requested by the House of Representatives. Page 60 indicates: Create the legal possibility to assign the ius PhD candidates to university professors. Then there are four scenarios. Only in the first scenario, national familiarity, it scores a zero; in all other scenarios it scores twice two pluses and once a plus. This means that the Rathenau Institute also indicates that the ius PhD students extend to university professors, is in line with the strengthening of all these scenarios of the Dutch scientific climate.
ParlaMint-NL_2017-06-06-eerstekamer-7.u104	I have no doubt that it will make us more attractive as a country if you can achieve that earlier. However, the question is whether it is necessary, whether there is apparently a gap and whether it is worth the price you might be paying and what we are probably going to talk about later, namely the fact that you are placing the final responsibility for a PhD candidate at a lower level. Does that make the PhD student any better? That's a trade-off, but I see the Minister is doing the same thing, so we'll find each other there.
ParlaMint-NL_2017-06-06-eerstekamer-7.u105	Let me at least take away a misunderstanding. Contrary to what Mr Bruijn says, I do not place responsibility for promotion at a lower level. These are professors and they have and retain the ultimate responsibility for the promoter and thus also for the promotion process.
ParlaMint-NL_2017-06-06-eerstekamer-7.u106	I have a question of a more procedural nature. Whether it is good or not and whether you achieve it or not depends on the criteria you set. How many people do you want to offer a career? When are you gonna do it right? What does that mean for the international position? Will the Minister come back to that later in her speech? The path indicated by the Minister is clear, but the view of when you do well can be different, depending on the perspective you take.
ParlaMint-NL_2017-06-06-eerstekamer-7.u107	Yes, of course. You will always have to ensure that the level of promotions, which is high in the Netherlands, does not devalue. Of course. But my view is that, with the extension of the ius PhD candidate, the PhD candidate could still benefit from this, subject to a number of conditions. I'm gonna go into that in detail. We therefore need to change this enlargement with sufficient guarantees. I therefore agree with the Members of Parliament who stress that the responsibility of a professor for the development of his or her field of expertise must be sufficiently guaranteed. Mr Bruijn spoke very strongly about this, but I have also heard Mrs Martens and others. I only believe that not all guarantees need to be incorporated into the law itself. Because I know the universities in the Netherlands as institutions that can very well take responsibility for the quality of research and have shown this again with the hand delivery, I do not think it is appropriate to regulate this from above in all cases. They also asked about overarching learning assignments. The professor holds responsibility for his or her field of expertise and in the case of overlapping teaching assignments, that is the dean. He'll be responsible for the whole thing. So someone's always responsible. We're not gonna change anything about that either. Let me explain how I feel. In the Science Vision 2025, it was announced that if the universities consider it desirable, a ius PhD candidate can be awarded. I stress "can." It is not the case that all uhd's will receive promotional rights from the entry into force of this law. For legal reasons this has been expressed in a possible extension to another staff member, who has the degree of doctor or doctor or philosophy. I say immediately to Mr Rinnooy Kan that I am impressed by the precision with which not only he but also his colleagues have read the bill. We will delete the P in the relevant article of the law that is not necessary at the next opportunity. I say to the spokesperson of the PvdA that we want to indicate that it was not the intention, in general terms, for researchers to arrange for them to be appointed as promoters. Of course, I agree with everyone that university teachers also deserve an international career. However, it is up to the university to consider whether the grant of the ius PhD students is involved. This is not being considered for the time being, as I note from the work of the VSNU and the College of Rectors. I say to Mrs Martens and Mr Bruijn that it is precisely this hand-out that helps to remove any misunderstandings or any unintended effects. We've also looked at other countries, at the level playing field. We have looked at many countries, including Europe, where university professors already have the right to promote. We have also looked at the United States. The Rathenau Institute did not go into the ius PhD students very extensively because there are many different universities there. We see that promoted researchers in the United States or the United Kingdom, for example, have the so-called tenure appointment, which Mrs Nooren mentioned, and that this includes a promotional right. These foreign researchers thus have a lead in applying for professorial positions because they have demonstrable independence and final responsibility in the supervision of PhD students. This unintentionally puts Dutch scientists behind foreign colleagues, which is very annoying and very unjustified. After all, Dutch scientists do that work but do not get the recognition that others get with their tenure track. I say to Mrs Nooren that I am very happy that many Dutch universities are increasingly working with tenure tracks, because the trouble of the Dutch system is that a professor has to leave first and that there has to be a formation place before anyone can become a professor. I myself have worked in America for a while and have seen that young people can also get a tenure track including promotional rights and eventually perspective on a professorship on the basis of their scientific achievements, and therefore less on the basis of a formation spot that is released. I therefore welcome this development.
ParlaMint-NL_2017-06-06-eerstekamer-7.u108	What the minister just said, I'm following very well. The minister just called between his nose and his lips by "final responsibility for guidance." It is incredibly important that we clarify where the final responsibility for guidance lies. Earlier, the Minister said that the professors remain responsible. According to article 9.19 WHW, the professor is responsible for the science area assigned to him. It seems to me that you have to keep this up and that it is important for the PhD student that the professor feels responsible and remains legally responsible, including for that trajectory. Then there is also the final responsibility for that route. This is without prejudice to the fact that it is a nice step that the uhd can call himself promoter, regardless of whether the professor will become a promoter. Do I understand the Minister correctly that Article 9.19 WHW remains in place and that the responsibility for that field of science and everything that is happening there for research and education remains with the professor? If not, we'll have to change the WHW. For my group and for the field, it would be a great deal of clarification if responsibility remained there in accordance with the law. That would not stand in the way of this amendment of the law.
ParlaMint-NL_2017-06-06-eerstekamer-7.u109	We're not gonna change that either. I would like to say to Mr Bruijn once again that I come back to it so much more comprehensively that the professor is responsible for the development of his or her field of expertise. That's what the law says, and it stays that way. The College for Promotions, which are the professors, is ultimately responsible for the appointment of a promoter. So that is not the professor, but those are the joint professors.
ParlaMint-NL_2017-06-06-eerstekamer-7.u110	I agree with that, but Article 9.19 WHW states that the professor is responsible not only for the development of the field but also for the content of the education to be given in that area. The PhD pathway is an educational pathway towards independent researcher. The professor is therefore responsible for these trajectories. I do not think it would stand in the way of this amendment of the law if the professor remained so. It would also be clear to the field and in the interest of the PhD student if that professor remains responsible for the promotional process in accordance with the legal text. If he gets fired from that, we are looking at something completely different, because then we have to change the WHW and then the question is whether that is in the interests of the PhD candidate.
ParlaMint-NL_2017-06-06-eerstekamer-7.u111	I see it something else. I see that the professor is indeed responsible for the development of his or her field of expertise. That's research and education. The professor can then be contacted. The Board of Promotion shall indicate and determine who, where appropriate, is appropriate to act as promoter. I think that the hand-out made by the VSNU and the Rectors College actually shows a very nice intermediate form in which the professor's responsibility for the field is taken into account. However, where appropriate, it may be decided by the Promotional College that it is ultimately better for the PhD student that an associate professor who has provided proven qualities and perhaps even more expertise on that particular field is appropriate to accompany that promotion.
ParlaMint-NL_2017-06-06-eerstekamer-7.u112	Finally, Mr Bruijn, on this point.
ParlaMint-NL_2017-06-06-eerstekamer-7.u113	I very much agree with the latter. It is only a question of whether the professor will be dismissed from his final responsibility for education in that area in which the PhD programme falls. I can't hear the Minister say that. I therefore assume that the final responsibility will remain there. This is without prejudice to the fact that it is a very good development that uhds can also act as promoters.
ParlaMint-NL_2017-06-06-eerstekamer-7.u114	Then we agree. The professor remains responsible for his or her field of expertise.
ParlaMint-NL_2017-06-06-eerstekamer-7.u115	I have the impression that Mr Bruijn thinks very individually about that right and that responsibility of the professor, while in reality it has become increasingly a collective responsibility. For me there is a part of the tension, also with article 9.19 WHW. At this very point, I have a question for the Minister, who had just referred to a shift from a formation principle to a career principle, when she spoke about the professor's appointments and tenure tracks. Does this shift not necessarily mean that there will be more professors in overlapping fields or in the same field? After all, if people can continue to grow and become professor while there is no vacancy, the overlap will only increase. This will, by definition, complicate the individual responsibility of the professor. The revision of the WHW on this point is indeed starting to be timely, namely to clarify what exactly is and is not meant by the professor's responsibility.
ParlaMint-NL_2017-06-06-eerstekamer-7.u116	I think that is a good analysis by Mr Ganzevoort, because I also think that the position of the professor is changing, also through the development of the principle of formation and career, as he put it correctly. In addition, we want to appoint more professors on the basis of their own knowledge, on the basis of their scientific insights and not just on the basis of what has ever been agreed on formation sites. Themes are getting more and more complicated. In the Science vision and agenda we also point out that research can no longer take shape within one discipline and often not even within a scientific domain. You're gonna need several people very soon. I also think that it can have an advantage for the PhD student if a uhd promoter can be in any case and not just the professor. I think that this is not the end of a discussion, but something that we can resolve in the law through the extension of the ius PhD candidate. Of course, we have not settled everything, because this overlap of fields of science and knowledge may make it even more necessary to change the WHW. I can't rule that out. I just don't see it happening right now. This is the step that I now consider logical and responsible.
ParlaMint-NL_2017-06-06-eerstekamer-7.u117	I understand that there is now no proposal to change the WHW at this point, but it might be homework for the coming years to see how these movements that are going on translate into increasing uncertainty as to what the professor's final responsibility means. We should clarify that somewhere in the years to come.
ParlaMint-NL_2017-06-06-eerstekamer-7.u118	Yes, that seems to me to be a subject that will certainly come back to the review of science, which appears every two years, and the new strategic agenda, which my successor will establish. The world is on the move and the universities are also on the move. This will also have consequences in the coming years. Mrs Martens asked the intrusive question whether the expansion of the ius PhD students was not intended to attract more PhD students and thus merely provide a financial incentive. I'm committed to really denying that. It is for substantive reasons; it is not motivated by financial arrangements. The promotion parameter has been capped since the beginning of this year in the funding of universities. More PhD students therefore means that the fee per promotion decreases. With this, the bill cannot lead to more funding. There is therefore no financial incentive. I can see that in the contents. I would also like to go back to the importance of the PhD candidate: think of a professor who may have an overview of the whole field and also has responsibility for that field of expertise. Think of a professor of African linguistics, who can hardly be expected to be a specialist in all 2,000 African languages. Or think of biomedical sciences, where an associate professor can have more sense of the medical-clinical side than the chair holder in biology. That is a very good example of what Mr Ganzevoort talked about, the overlap of areas of science. It may also be that in a new multidisciplinary research area there is no professor who oversees the whole field better than a uhd who has focused on multidisciplinary research. Finally, there are of course uhd's who already have a lot of experience in guiding PhD students but who do not get the credits for that now. This applies in particular to uhd's with an ERC grant or a Vici grant. These are all reasons, as far as I am concerned, for this enlargement, but with a guarantee of quality. Part of this was achieved with amendments from the House of Representatives. Only those who have been promoted may accompany them. That was a good addition by the House of Representatives. I say to Mr Bruijn once again that it is also unchanged that the College of Promotions is responsible for the quality assurance of ius PhD candidates. That college is made up of professors. Only professors thus determine which professor can act as a promoter or which staff member of a university, other than a professor, nevertheless has sufficient capacity to act as a promoter. That is why I say to Mrs Martens that I am not so afraid of a sliding scale because of this way of securing. Mrs Nooren asked if this is not a drop on a glowing plate. I don't think so either, but it has to be argued over and over again. We will see in the coming years whether this is really meaningful. Mr Rinnooy asked whether this also applies to visiting scholars from abroad and whether they could act as promoters. In the bill, the extension looks at another university staff member with the degree doctor or doctor or philosophy. So that can also be a foreign staff member with a Nulaanstelling. This can be solved well in that way. I now turn to the exact involvement of the professor. I have already indicated in the reply that it is conceivable that in the promotional regulations there will be an agreement for the professor in whose field the doctoral research takes place. Please note that I did not say that this consent should be given. I just said this could be a fill-in. It's up to the university itself to fill that out. I would also like to leave that to the promotional college. I myself am very pleased with the hand-out of the VSNU and the Rectors College. They can define in their own university regulations what can be the way things are going in the new situation.
ParlaMint-NL_2017-06-06-eerstekamer-7.u119	Before the Minister goes any further, I would like to comment on her response to my question about the foreign scholars. Do I understand correctly that it is also going to be possible for a lecturer appointed to a college of higher education, who has a promotion, qualified and also equipped with a nulaanstelling as a uhd, to act as a promoter?
ParlaMint-NL_2017-06-06-eerstekamer-7.u120	Yes, because it meets this definition. With regard to the hand-out, Mr Bruijn asked about the experience so far. So there aren't any yet, because that hand-out was just made by the VSNU and the Rector's College. The fact that it has now been created gives me the confidence that this is seriously being done.
ParlaMint-NL_2017-06-06-eerstekamer-7.u121	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, My question was whether the existing hand-out was actually used. I can imagine that there is no information on this, but it was just a question. However, it is not true that there was no hand-out. My first question was whether it was actually used. The other question was what the expectations are and whether we might be monitoring in an evaluation whether the modified hand-out will also be used. Again, if there is no information on the use of the existing manual, I would understand that well, but I was just wondering if there was one.
ParlaMint-NL_2017-06-06-eerstekamer-7.u122	Then I misunderstood Mr Bruijn's question. I thought he wanted to know how the hand-out works, in which it now appears that a uhd has to be sufficiently proven that he is both a good researcher and a good supervisor, that deans can present the uhd and that a procedural intermediate step is now possible, whereby the dean makes a presentation of a uhd as a promoter and the professor in the field in question has also been consulted. We cannot, therefore, indicate this; nor can I indicate that of the present hand-out. I can assure you that I am happy to evaluate this; I have just said this in the direction of Mrs Nooren. Mrs. Martens is afraid of a sliding bowl. I really am not afraid of that, because we have changed this with guarantees. Is it a drop on a glowing plate? Those are actually two extremes of a possible assessment. I think that we find the balance that we all want reasonable. I admit that after five years we will evaluate whether it is. We will also include compliance with the hand-out. That will then be part of the review of science in 2022. Several MPs, including Mrs Martens, asked me how I felt about this hand-off. I think that the hand-out is a very good balance between the professor's responsibility for the development of the field and the responsibility of the promotional college for the quality of the promotion. I hope that I have been clear about the intermediate step and the hand-out, also in relation to Mr Bruijn. The professor thus retains his or her involvement and the intermediate step implies that the dean can hear the professor.
ParlaMint-NL_2017-06-06-eerstekamer-7.u123	The Minister says she agrees with the VSNU's proposal on further quality assurance, but is this guaranteed by the law? Does the interpretation of the law have to have the Acts of this debate or is this also enshrined in the law? How else is it gonna be secured?
ParlaMint-NL_2017-06-06-eerstekamer-7.u124	I don't see any reason to have to guarantee this further, because the promotional college doesn't change. That works well and I have no reason to worry about it. The fact that the hand-out has already been adapted before this bill has been adopted gives me reason to believe that universities can very well assume their responsibilities. Therefore, I do not want to lay down more legislation than is necessary. I don't think that's necessary here.
ParlaMint-NL_2017-06-06-eerstekamer-7.u125	I would like to thank the Minister for the commitment I have requested to evaluate the legislative amendment after five years. I had asked not only to take with me the observance of the hand-out, but also the involvement of the professor responsible and the possible need in the field for a right of assent by that time.
ParlaMint-NL_2017-06-06-eerstekamer-7.u126	I have promised that I would like to include the hand-out and thus also the proposal in that hand-out that the dean can ask the professor in question for advice. If that does not happen, it will be evident in the evaluation. However, I think it would be wrong to suggest that a professor should always bear the final responsibility. I really do not agree with Mr Bruijn, because that is the responsibility of the promotional college as far as I am concerned.
ParlaMint-NL_2017-06-06-eerstekamer-7.u127	Do I understand now that the Minister says that the professor does not hold the final responsibility for teaching in the field assigned to him?
ParlaMint-NL_2017-06-06-eerstekamer-7.u128	No, the professor is responsible for his or her field of expertise, but the promotional college is responsible for designating a promoter for a specific PhD candidate.
ParlaMint-NL_2017-06-06-eerstekamer-7.u129	The latter is clear, but I was concerned about the following. So the professor doesn't have to be the promoter and doesn't have to get any other rewards, but does he continue to hold responsibility for, and therefore be approachable to, the quality of education in that area, including PhD education? As far as I am concerned, it is also fine if it is not, as long as it is clear that he is either involved or not involved. Then he can behave and then the PhD student knows who he can address if things don't go well.
ParlaMint-NL_2017-06-06-eerstekamer-7.u130	Mr Ganzevoort has just discussed the distinction between the individual case and the collective case in an interrupting debate with Mr Bruijn. I recognized that very well. You also have PhD students receiving joint promotional education. Yes, then the professor is responsible for that promotional education. But with that, the professor is not necessarily the only one who is best able to accompany the PhD candidate in a PhD course. That too is ultimately the community, the collective of professors who are united in the promotional college. That's the distinction I make.
ParlaMint-NL_2017-06-06-eerstekamer-7.u131	Finally, Mr Bruijn.
ParlaMint-NL_2017-06-06-eerstekamer-7.u132	Once, but at least the professor will continue to hold responsibility in accordance with the current law, until we amend that law. That might indeed be a good idea, if there is only clarity.
ParlaMint-NL_2017-06-06-eerstekamer-7.u133	Can I make it very simple? Can I compare it to a driver who is responsible for a total institution and a medic responsible for his part in there? For example, the promoter is responsible for the research that runs with the person who does the promotion, but the college for promotions and ultimately the board of the university about the total quality.
ParlaMint-NL_2017-06-06-eerstekamer-7.u134	Yes, you can compare it with that. The professor remains responsible for his field of expertise. Maybe I can give an example of my own promotional program. I graduated from political science. You could say that the professor responsible there was also responsible for education, also for PhD students. But I finally got a PhD with Professor Kees Schuyt, Professor of Law Sociology. My dissertation was on the border of legal sociology and political science. At the time, the promotional college agreed with Mr Schuyt as my promoter and I was very pleased with that, because he was by far the best to guide me and perhaps better than the professor in my original field. That's what we're talking about here. Again, it's the promotional college. We do not deprive the professor of his or her responsibility. We're not gonna change that either. I would not like to change Article 9.19 in this respect either. In fact, we are doing nothing but in the current situation. If the dean introduces the uhd, the promotional college will be informed of the professor's response. Mr Bruijn asked what would happen if the professor disagreed. Can he still bear the responsibility? If, in any event, the PhD college appoints a uhd as a promoter against the wishes of the professor, the final result of the PhD is and will remain the responsibility of the PhD college. That seems to me to be the place where that responsibility should lie. As I said to Mrs Nooren and Mr Bruijn, in two years' time I will have another conversation with the VSNU and the Rectors College. I will also carry out an evaluation after five years and include it in the balance sheet of science.
ParlaMint-NL_2017-06-06-eerstekamer-7.u135	May I ask how much longer you think you need?
ParlaMint-NL_2017-06-06-eerstekamer-7.u136	I'm almost done with this subject, but then I have other topics. I would like to say to Mrs Nooren that I would like to refer to the vision of science and the measures contained in it to keep the Netherlands internationally attractive, also in the context of new career paths. I have already referred to the principle of "from formation to career." The second really important topic is working in teams. This is about how someone can make a career. This can be done not only through individual publications, but also through collaboration in teams of researchers with often interdisciplinary links. One can also make a career through education. I call excellent education and multiple career paths. Thirdly, there is the creation of less flexible contracts. Again, thanks to the funding provided by the programme, universities and colleges of higher education also have to enter into less temporary contracts. I am therefore pleased that the aim of collective agreements for universities is to reduce the number of temporary appointments from 30% to 22% in FTEs. The VSNU will be able to clarify before the summer whether this target has been achieved by 2015. I think that the above shows that the university involvement in a careful expansion of the ius PhD students is really present. That is why I am confident that it will go well. We are now taking one step, which many researchers have been asking for for a long time. This step can also count on support from institutions, which have already started to do so. I'm going to refer you to the hand-out one more time. Mr Rinnooy Kan asked specifically for unused opportunities to ensure that talent eventually becomes a resident of the country where travel started. He said that nicely. I refer to the reaction to the Mei Li Vos motion. Priority has been given to this for investment by a new cabinet. These investments are also aimed at keeping the Netherlands attractive for talent. The Knowledge Coalition also linked a sum to this and called for €1 billion for research and innovation. To Mrs Nooren, who asked what we have invested so far in the National Science Agenda, I say that we have invested 30 million in the basis of a number of NWO themes, including big data, from OCW. In addition, we are exploring research facilities through the National Roadmap Large-Scale Scientific Infrastructure and attractive career paths. These are all elements of a forward-looking education and research environment. That brings me to the questions about transnational education. Let's say that the speakers have all done so too: universities and universities have long been positioning themselves in the international playing field. They work together with others through joint programmes and foreign minors. These are basically all forms of transnational education or transnational education. This bill does nothing more than regulate a variant where full training is offered abroad. Already three quarters of training can be offered abroad. What we are going to allow is that the entire training abroad is offered from a Dutch institution. I do not see any more in that, but also nothing less than an addition to the existing spectrum that can contribute to better profiling of Dutch higher education abroad and to the quality of our Dutch education. There are already many examples of institutions that are successfully engaged in transnational education. Think of big names from the US and England, but also Ghent University, which has a subsidiary in South Korea. It is important for the Netherlands and our higher education that our institutions also have the opportunity to participate in this development. I say to Mrs Gerkens that we are not doing this as a variant of market forces, but because of quality. I therefore believe that offering full education abroad, wherever it is, is a good additional option. The debate in the House of Representatives was often about initiatives in countries such as China, but I would point out that we are also working on transnational education in Aruba and Curaçao. Although the plans are not yet in place, I can imagine that a university such as Wageningen in the context of development cooperation, which Mr Ganzevoort talked about, can combine scientific knowledge and improve the lives of the local population. There too, full training can be useful. I am not saying that one should do it, but if necessary it can be helpful. However, it must be well substantiated.
ParlaMint-NL_2017-06-06-eerstekamer-7.u137	You could say that from 75% to 100% is a gradual difference, but I see it as a fundamental difference. It says something about the degree of connection with the Netherlands. Is it still there or is there a kind of holding structure abroad of a completely independent organisation? The Minister says that she considers broadening to be important, particularly for quality. I would like a little more clarification on this point, because, frankly, I do not see the added value of a wholly independent subsidiary.
ParlaMint-NL_2017-06-06-eerstekamer-7.u138	Suppose you have an education in which you are very good in the Netherlands, but not in other countries, then you are forced to work with a joint programme with teachers from both teams. If the quality of the Dutch education is beyond doubt and everyone says that it is by far the best, then this is a way to give you education abroad. With this you can guarantee the quality for students there, but also for your Dutch students and your PhD students, who may get more opportunities there.
ParlaMint-NL_2017-06-06-eerstekamer-7.u139	I see very well that it increases your room for manoeuvre, but not that it increases the quality. I just don't get that argument.
ParlaMint-NL_2017-06-06-eerstekamer-7.u140	You can increase the quality of your own education by transferring what you are good at to others in a different context. This also allows you to improve your own education further. You will not be dependent on the conditions now imposed by a joint programme. In addition, whether you like it or not, you always have to bring parts of another programme and thus other teachers. I think it can help to improve the quality and profiling of our education abroad. What are we good at? What do we want to show forerunners? The Netherlands can thus become an even better cooperation partner. Internationalisation is taking place, whether we like it or not. Retreating behind the dikes So I listen a bit to the input of the SP.... is not an option in my opinion. However, I am not saying that we should just let everything happen. I want to make transnational education possible under conditions, and these conditions are the subject of this law. However, the starting point is that internationalisation is simply taking place and is desirable from many points of view.
ParlaMint-NL_2017-06-06-eerstekamer-7.u141	I object to the Minister's statement that the SP would like to withdraw behind the dikes. That wasn't my input. In fact, on the interruptions of D66, I expressly said that the SP does not agree with that. We are certainly in favour of international education. This is happening well in all kinds of collaborations at the moment. That is why we believe that this is an unnecessary further step.
ParlaMint-NL_2017-06-06-eerstekamer-7.u142	Then maybe we don't agree. In Mrs Gerkens' speech, I did not actually hear any openness to further internationalisation. I think that internationalisation really is of added value, also for our Dutch students and teachers. My position as Minister of Education in the Netherlands is that any transnational educational initiative will have to demonstrate the added value for Dutch education. That's what's being secured with this bill, too. We cannot just get to work, because the Minister of Education must first give his assent. But my point is also that it is desirable that we continue to shape this internationalisation.
ParlaMint-NL_2017-06-06-eerstekamer-7.u143	That is certainly desirable, but not in this way. In my speech, I mentioned a number of other issues, to which the Rathenau Institute has also referred, which further threatens internationalisation and where the omissions lie. My group would like to focus on this rather than on the issues raised in this legislative proposal. We just have a difference of opinion about the way we internationalize, not about the fact that we need to internationalize.
ParlaMint-NL_2017-06-06-eerstekamer-7.u144	I think we should give internationalisation a chance. In response to Mr Ganzevoort, I also say that I am not afraid of knowledge imperialism. This is just a real political issue. If we make sure that we provide sufficient public guarantees in the regulation, and that is what this bill is about, then I think that we can very well prevent this from leading to knowledge imperialism or market-driven higher education. I am convinced that the country of residence can also benefit from the introduction of Dutch training within its system. For example, the prominent place that academic freedom occupies in the Dutch system can be an inspiration for other countries. This can be about internet use, but also about the climate of discussion we have. Students are encouraged to ask questions to professors and teachers and not only to rehearse what one has heard in the curriculum of a professor or another teacher. I am, of course, prepared to look at an evaluation, but from a positive point of view, I also say in response to Mr Ganzevoort.
