ParlaMint-NL_2017-03-21-eerstekamer-10.u1	I call Mrs Swinkels.
ParlaMint-NL_2017-03-21-eerstekamer-10.u100	I would like to say, quite apart from the whole article, that the issue raised is whether the doctrine of remuneration that has been reflected in Article 87, particularly where it relates to shares, securities and so on, is a doctrine that is working in a good way. You can find anything you want. You can criticize the existing doctrine, as laid down by the Supreme Court. We have merely considered that our legislative proposal does not change anything in this respect, and so I shall not look at it in the direction of my fellow Members, as such. I think this in itself is the reflection of what I am trying to say. Where I have given it complex publicity by referring to an upcoming article, which is therefore not yet available, that only complicates it. I hope to have restored that along this road. I come to the issue of taxation. This is a very important subject that several members of the First Chamber have asked for. It is true that the Tax Administration always comes around the corner, at an earlier or later moment. I would do well to change that for once, but I must first see if there is consensus behind this table. It's not that far. The question is whether it is important who will be the first to die of the partners. Is it now the case that the effects of inheritance law would have more effect on the longest-lived? I'd like to go into that more closely. First of all, it depends very much on personal circumstances. In advance, it is not possible to say that we have also stated in our note whether the survivor pays more or less tax than is currently the case. That also depends very much on whether he or she is the one with own funds. If there is a 'limited', I say in quotes, equity, it really doesn't matter tax. I think it is important to explain for a moment what we mean by 'limited'. Limited under the current exemption is €638,000. I dare tell you that I would squeeze my hands if I had €638,000 at my disposal, while I have quite a good job with a good salary. 70% of the people, as I have been told, do not have to deal with the problem raised, the concerns that might arise from the group that has more power, which thus exceeds that exemption. Let's say that own funds are above that tax threshold. Then there is a chance that prenup or estate planning will come into play. I believe that Mr Recourt has already said that we are not banning a prenup. In fact, I don't see it happening that that morning would be gone. If you have a company or if you have a lot of ability, I would also advise you to go and get information from an expert, whether or not a notary, and think about how you go about it. That is not the group of people we are defending here and for whom we have now tabled this proposal. Perhaps it is also good to note in general terms about taxation that we do not actually change anything at all. Mr Van Dijk also asked for this in a broader sense. In the Lower House it also came along, especially in the written round. In fact, we're not changing anything. Mrs Beuving also referred to a quote by Professor Huijgen. That's about the assumption that in the context of estate planning, the legal community is incredibly popular, because older people convert their prenup into a legal community. As rightly pointed out, marriage often ends with death. However, this does not always happen. Sometimes, for example, marriage ends through divorce, or because one of the spouses might die much earlier. All in all, it is very dependent on when and how a marriage ends. If the spouse dies who, for example, has not acquired a inheritance, then his private property shall remain unchanged and the property of the community shall be half of the estate. This means that this property will be subject to inheritance tax again. The other spouse's private property will not be taxed again until he or she dies. Well, for those who have lost me, we just want to point out that it is simply not possible to say in general that the death bill is worse or better for tax purposes. Nor do we pretend any change on this point. We want a change in civil law, because we also believe that it should be a guiding principle in this context. The tax issues should not be leading, although, of course, they are rightly raised. I have tried to answer them to the best of my ability. Finally, I would like to say something in the direction of the Chamber. This is not irrelevant and, in my view, Mr Recourt has indicated it. The MPs know it all. All this only applies to new marriages. The tax consequences also apply only to new marriages. It applies to future marriages and cases of death which, I hope, will only occur in the distant future.
ParlaMint-NL_2017-03-21-eerstekamer-10.u101	I'm doubting a little, because there's a great risk that we're gonna fall into fiscal cases. I don't want to. I can follow Mr Van Oosten's reasoning. That is what I said in the first term. He says: there are already a number of tax issues in existing matrimonial property law, with the community of goods. They concern the treatment of the home, the treatment of significant importance, and there are still a number of questions. I agree with Mr van Oosten when he says that our legislative proposal does not change that, nor did we intend to. However, I would like to repeat my question, which I also asked in the first term. If the matrimonial property regime is to be changed, would it not be an appropriate opportunity to solve the existing issues and bottlenecks, which are sometimes seen as injustices, right away? In short, I am in favour of an integrated approach here. Will Mr Van Oosten please go into that again? In my opinion, that is a missed opportunity. Although I can't wait, I'm just gonna stay away from the casuism.
ParlaMint-NL_2017-03-21-eerstekamer-10.u102	I would like to confess that I am secretly a little grateful to Mr Van Rij for the latter, Mr President. Of course, anything can always be better. I'm not gonna put that under seats or couches. There is no doubt that it will be even better on this point. But I think it was Mr Backer who said in his term: let the better not be the enemy of good. I hope I'm saying it right. We are trying to bring about a change in family law here. All the spokesmen are very involved. That's what I've been hitting since I was allowed to do this beautiful job and join these initiators. I've been able to see that this is a lot of people's business. It's just people at home getting married or already in marriage. But this also involves a lot of lawyers, experts, fiscalists, professors and so on. We pretend in all modesty to take only that step. I realize there's always more to be done, but we're restricting it to this now.
ParlaMint-NL_2017-03-21-eerstekamer-10.u103	Mr. Chairman. Because I hope to get married for 25 years this year, it was 25 years since I had the opportunity to study marriage property law. I would therefore like to begin by thanking the authors for the opportunity they have given me for this and for the hard work that has been done on the complex and socially very relevant issue of marriage property law. But I would also like to express my appreciation for what Mrs Berndsen has done in this regard, as the first initiator. The role of the cabinet in assessing own-initiative proposals is that of advisors to the Chamber, focusing specifically on whether the initiative law is enforceable and whether there are any insurmountable repercussions in other areas. With this look at the legislative proposal, I say before I go into the specific questions asked to me, the cabinet believes that there is no legal objection to the present proposal. It is a political consideration whether political groups think it is an improvement on balance, but the cabinet sees no objections and likes to leave the law to the Court's opinion. I come to the specific questions put to me, first and foremost those of Mr Van Rij. He asked whether it would not be wise to treat a bill like this as part of a broader vision of marriage and forms of society in our society. I translate that question in such a way that the first question is whether it is necessary to have such a broader vision in order to be able to handle a law like this properly. I do not think that you can say that this is necessary, because it is not unusual, even if the government comes up with a bill on this subject to put a part in a law. The environment is, of course, monitored, but it is not only done when such a broader vision exists. The cabinet will not come up with such a vision in the current missionary phase either. It is inevitably partly politically coloured. Then it would be more logical to leave it to reformers and interested parties to decide whether they would like to come to the next cabinet. Mr Van Rij also asked me: why this bill if nothing is going to change in practice? Once again, it is ultimately a political balance. What the bill essentially does is change the matrimonial property regime for the standard option if parties do not make a choice. Again, whether you think that is desirable is a political choice. Is it feasible? My answer to that is yes. Mr Van Rij also asked me about taxation. Very practical: when is the letter from the Secretary of State for Finance on the tax case presented by Mr Van Rij? The Secretary of State will send the letter this month. I am sorry that the letter has not yet arrived at the debate, but it will come in the short term.
ParlaMint-NL_2017-03-21-eerstekamer-10.u104	I'm really very disappointed about that. With all due respect to the initiators and the answers they have given to the tax questions: this letter was promised before mid-March. The law is now on March 21st. We don't have the letter. He is now promised by the end of March. That is after we have voted on the bill. This is something very important. It's about what the Secretary of State for Finance thinks. This deprives us as the First Chamber of the opportunity to respond. So I am very disappointed with this reply from the Minister and I do not think that the care of the legislative process in this House is being taken into account in this respect.
ParlaMint-NL_2017-03-21-eerstekamer-10.u105	I respect Mr Van Rij's position, but I would like to point out that the government has already indicated in the written round that there are no new tax consequences of this law. Mr Van Financiën is happy to answer the questions about specific cases, but that does not change what is the main question: are there new tax consequences? The answer to that is no. Mr Backer was the first to ask, after him also Mrs Wezel and Mr Schouwenaar, for information from the government or for people who marry. At the moment, information about the different matrimonial property regimes is available via the government website. This will also be the case if this law is adopted. The consequences of this specific amendment will undoubtedly be generated by the adoption of the law. In addition, the government believes that in future, as at present, it is very much on the way of the professions, particularly the Royal Notarial Professional Organization, to provide specific information on the various matrimonial property regimes. That's true now. The importance of this information does not change this law. Mrs Bikker asked whether an open standard is sensible when it comes to the reasonable remuneration for one's own entrepreneurship. The advantage of an open standard is that there is room for the spouses to provide themselves with the compensation they consider reasonable for the knowledge or work provided. They can therefore take into account the financial status of the company. Nor is it unusual to work with such an open standard in legislation. In the end, it also gives the judge the opportunity to assess the reasonableness and fairness in the specific case. Because open standards are used more often, there is no reason to believe that a judge would not be able to deal with them properly. Mrs Bikker also asked how this bill relates to the bill on partner alimony. That too is an initiative legislative proposal, as Mrs Bikker knows. The partner alimony regime applies by definition after the end of the marriage, while this bill concerns the situation during the marriage. The initiative legislative proposals can therefore be adopted independently or not. Mrs Bikker also asked whether additional tax revenues would be expected as a result of the own-initiative proposal. The answer to that is no, also in line with what I said to Mr Van Rij: no new tax consequences are expected, therefore no additional revenue. Mrs Wezel asked about the impact of the new possibility of digital marriage declaration. This bill does not really have any influence on that. It is an extra, modern possibility to announce marriage, a bit more modern than the classical marriage at the town hall, but does not touch the content of this bill. Mrs Wezel also asked whether it would not be preferable to deal with a more comprehensive legislative proposal, which would include this proposal. I have already indicated to Mr Van Rij that this is not necessary in order to be able to take these measures. The cabinet in missionary status won't come up with it either. Mrs Wezel also asked whether it would be better for every entrepreneur to go to the notary for information on any prenup. I immediately agree with Mrs Wezel that it is very sensible for an entrepreneur and marriage candidates to go to a notary to be properly informed about the consequences of both self-entrepreneurship and marriage as well as combinations thereof. We can't force people to do that, and that's a good thing. In any case, the legislation must ensure that if people do not want that advice and therefore fall back on the standard legislation, it is sound and enforceable. I have indicated that I believe that the initiative proposal complies with this. Both Mrs Wezel and Mr Schouwenaar asked whether the government intends to include in a legislative proposal the proposals for improvement which have been made on various sides of this law. The answer to this is that the cabinet will not do so at this stage. If the law is passed, we will experience it. If there are grounds for doing so, we can of course consider whether additional legislation is needed, but at the moment we do not intend to do so. Mrs Wezel and Mr Schouwenaar asked whether stricter rules should not be laid down by the legislator on the reasonable remuneration of companies. As I said to Mrs Bikker, the government also believes that an open standard is workable and also offers advantages, because both marriage partners can do tailor-made work on this remuneration in good consultation. Mr Schouwenaar asked about the implementation of the Bergkamp motion on broad and neutral life-form education. That motion was adopted during the examination of this law in the Lower House. The motion calls on the government to consult with professional groups on an integrated approach to comprehensive and neutral life-form education. The motion states that this information must be provided by the professions. The implementation of the motion follows logically from the adoption of the bill. In that order, we shall first await the opinion of the Chamber on the legislative proposal. If that's okay, we'll proceed with the motion. That is what we will do at that time. Mrs Beuving asked whether the proposed system was justified without a visit to the notary. My answer to that is: as much or little as the current system. Again, I would consider it very sensible if wedding candidates, regardless of whether they are entrepreneurs, were first properly informed by a notary about the consequences. However, this bill does not change that desirability. This also applies to the current construction, where partners can suddenly be held liable for debts without realising them properly. This will also be a reason in the current system to ask for good information from a notary in advance. The new system also implies that this would be sensible. If people do not do so, there is a relapse to a basic legal regime which, I repeat, is, in my opinion, feasible.
ParlaMint-NL_2017-03-21-eerstekamer-10.u106	But under the proposed system there is reason to come up with a state of application and there is a great importance to administer during the marriage. Those were reasons for me to ask this question.
ParlaMint-NL_2017-03-21-eerstekamer-10.u107	Yes, but under the current system there is also reason to ask the future partner what the capital position is and, above all, whether it is not seriously negative. If people don't do that, it could be a nasty situation. This situation would be less annoying in the new legislative proposal, but there is another challenge that arises, namely not the obligation but the desirability of administering it. Moreover, this desirability now also arises when people do choose a prenup. In practice, this is not carried out very precisely, without noticing that for this reason the prenup is currently completely unenforceable. To sum up, it does not, in my view, result in the situation suddenly becoming more complicated than it is now. In both situations, it would be wise for people to be properly informed. Mr Van Dijk asked what the government would think of a completely free choice system. In a way, there is and remains so. After all, the law regulates what happens if not elected. However, both the current legislation and the proposed legislation offer candidates the possibility to choose a different interpretation. If you were going to include a number of options in the law, I think it might be out loud; perhaps Mr Van Dijk is looking for it in that direction, then you would still have to arrange how to determine which choice is made and what happens if people don't choose. I also believe that this legislative proposal is feasible. I'm sure there are other executable variants to think of, but they're not ahead of us now. Mr Van Dijk asked whether it would perhaps be attempted to show that there was no private power at all, in order to reduce the inheritance tax. Such an attempt can also be made under the current marital property regime. The chances of success are as high or as small as under the present legislative proposal. Mr Van Oosten also pointed out that there is an exemption of about six tonnes within the marriage for inheritance duties. The group for whom this would be tempting is therefore clear.
ParlaMint-NL_2017-03-21-eerstekamer-10.u108	I have a brief question about this. The Minister says that it does not really matter and that it can be done in the current system. However, in the current system there is a community of goods and there is one asset, while in the new situation there are three assets. In my view, Mr Van Dijk was trying to say with his question that the temptation might exist to move private property to the limited community of goods in order to save a piece of inheritance tax. So there is a little less good administration. Of course, there's no temptation now, because it's in the community. It's fifty-fifty.
ParlaMint-NL_2017-03-21-eerstekamer-10.u109	Yes, but even now there are people who are changing their marital property regime again in the hope of being able to influence inheritance taxes. An example of this was also mentioned. So it's not like you couldn't plan in the current system. Some people make it a sport or a livelihood. This can be done in the current system and it can be done in the new system.
ParlaMint-NL_2017-03-21-eerstekamer-10.u110	Finally, Mr Van Rij.
ParlaMint-NL_2017-03-21-eerstekamer-10.u111	In the legal system, in the overall community of goods, there is just one asset. If one of the spouses dies, half belong to the matrimonial property and the other half to the estate. In the new situation, there are three capabilities and this temptation can therefore be present. Perhaps I see it wrong, but in my view the Minister is referring to the situation that there is a prenuptial agreement under the current regime and that there is still a final settlement clause, for example. That's something else, isn't it?
ParlaMint-NL_2017-03-21-eerstekamer-10.u112	That is something else, but the need for fiscal craftsmanship exists in some people. This can be done under the current regime, and this can also be done under the future regime. Mrs Strik asked me whether I would like to see adequate information provided by municipalities and professional groups and, if necessary, to intervene. I have already indicated that there is currently information material available from the government on the marital property regime. That will also be the case in the future, but that will always be common. I think it is desirable for people to go into this further, but then you always come to customization and you are really dependent on the notaries in particular. The division of tasks as it is now is: general information by the public authorities and specific information by notaries in particular................................................................................................................................................................................................................................................... I hope that I have answered the questions I have been asking.
ParlaMint-NL_2017-03-21-eerstekamer-10.u113	We have thus reached the second term of office. One moment, I see Mrs Wezel has a request.
ParlaMint-NL_2017-03-21-eerstekamer-10.u114	Mr. Chairman. I'm asking for a suspension.
ParlaMint-NL_2017-03-21-eerstekamer-10.u115	Is a five-minute suspension enough? It seems to me that this is enough.
ParlaMint-NL_2017-03-21-eerstekamer-10.u116	We are now ready for the second term of office. I call Mr Van Rij.
ParlaMint-NL_2017-03-21-eerstekamer-10.u117	Mr. Chairman. I would like to thank the initiators and the Minister for the very comprehensive answer to the many questions. There are three points to be made. Despite the answers to the questions, the question remains what this bill actually solves, looking at the social developments in marriage and living together. If you approach it positively, it's only a very small part of the puzzle. In the first term, I have already said that we have a great deal of difficulty with this. In terms of legal systems, implementation and legal certainty, despite the answers, there are still very serious concerns and concerns, not only with the CDA Group, but with several groups in this Chamber. As a result, I would like to make a motion on behalf of Mr Wezel of the Group of the European People's Party (Christian Democrats) and European Democrats. If it's all right, the motion is signed by enough members. The President shall: Mr Van Rij, Mr Wezel, Mr Kox, Mr Bikker and Mr Van Dijk proposed the following motion: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are major concerns within the First Chamber as to the feasibility, legal certainty and legal systems arising from this initiative proposal;]] [[expresses the wish that the current legislative proposal should be kept under review;]] [[calls on the Government, after consulting the initiators, to examine the possibility of incorporating the present initiative proposal into a new legislative proposal, taking into account the concerns and concerns expressed,]] [[and goes to the order of the day.]] [[She's getting No. kst-33987-I]]
ParlaMint-NL_2017-03-21-eerstekamer-10.u118	I can keep my second term short and finish with one request. It's actually a question. I would ask you to put this motion to the vote first next week if it comes to a vote, that is to say, for the draft law.
ParlaMint-NL_2017-03-21-eerstekamer-10.u119	It's noted.
ParlaMint-NL_2017-03-21-eerstekamer-10.u120	Mr. Chairman. I take note of this motion. It has not been submitted to me for signature, but that is perhaps understandable from the thought that I would not co-sign it. The motion does surprise me, however, all the more so because I myself believe that the initiators and the Minister have set out in a very enlightening manner a large number of questions that have been raised this evening. I refer to questions such as the premarital capacity and the transparency of the scheme. I would also like to mention the issue in which Mrs Swinkels gave a very good example of the savings that are being used. This also applies to a part of which I have said myself that there could be questions. But of course it is a very good example. If you decide to put your own money into the common account, then it is part of that. But the bill is, of course, important about the fact that, if you do not, that money will not be used to deal with the partner's debts either. That is, of course, what this proposal is about. That power does not belong to it automatically. That is clearly stated. That is why I think the proposal is an improvement. Mr Van Rij gave a personal example. That always speaks to you when you tell me how daughter comes to you with a question. Mr Recourt also spoke about a personal matter. I could do the same, but I would like to give the following to Mr Van Rij, and I do not mean that simply but seriously. We have daughters who can go to a father who can look at this matter and give good advice on it. That doesn't mean they're listening to that. However, this is about the thousands who do not get that advice at home or anywhere else, and who make a choice that they do not see. That is what this proposal is about. That's what this is about.
ParlaMint-NL_2017-03-21-eerstekamer-10.u121	That's right. I couldn't agree more. That is what I said in the first term. What we do not agree on is that the current regime is very simple for by far the largest group of Dutch people, who have no or no assets. You're getting married and it's fifty-fifty. The new regime is becoming very complicated and needs to be explained. That is exactly why we do not think it is a good proposal. We disagree on that. When I spoke about the daughters, I said quite conditionedly: if they come to me already. You'd better assume that's what they're really gonna decide.
ParlaMint-NL_2017-03-21-eerstekamer-10.u122	I think they will, Mr Van Rij. But this is indeed the point. It is about the appreciation of whether the system becomes more complicated. I thought the Minister was very clear about this. He said it's a good thing to do it. I think that is an interesting statement from the Minister. The subject of taxation has just been discussed. It would not be an obstacle for my group to go a little further on taxation. The Minister has made that clear. It is touching, but it is not a substantial change in taxation. Of course, there must be an answer, but that is not a decisive factor in my group's opinion on this. Aren't there any worries at all? Of course there are. They are also addressed and discussed extensively in many cases, as we did in the written preliminary round. In this debate, of course, you will notice that personal and family law is a sensitive area. I told you in my first term. We talk about how you look at social developments and how you understand the signs of time. And then you come to the question of whether this is an incremental improvement. Yes, even in the worst case, of bad administration and arguing about divorce, even in that case this is still better than it is now. I think that Mr Van Oosten made a very good point, that I had not yet realized myself, namely that part of the disputes are about children, but when they are about wealth, it is also about a sense of disadvantage. There is always irrationality in these arguments, but that feeling of disadvantage is reduced by this proposal. I'm gonna finish up. I started with the opening sentence of Tolstoy's second novel, Anna Karenina. The first novel was called War and Peace. I really hope that after the intensive debate we have had, we will be able to make peace on the point that there is a need for improvement here. The motion doesn't invite that, but I haven't given up on that hope yet. We have had fervent and respectful discussions about this, including in committee. My group hopes that in the end we will be able to grow towards each other and treat this bill positively.
ParlaMint-NL_2017-03-21-eerstekamer-10.u123	Mr. Chairman. Thank you to the authors for their detailed explanations and explanations of various points in the legislative proposal that lived in this Chamber. To sum up, I have signed my motion for a reason, because I am concerned that we are not putting the socially valid view of matrimonial property sufficiently into this new legislative proposal. I would like to invite the Minister to make this motion in order to look more broadly and more closely at the representativeness of the investigations surrounding it. 70% of people are married in the community of goods and it has not yet become to me what improvement is desired in this bill for those 70% of people who marry in the community of goods. That is what our opinions on this evening continue to differ. I sincerely thank the authors for the effort they have made, but I think we will continue to talk alongside each other. It is good to say that the Christian Union Group really thinks that this bill complicates the situation and that there is no freedom of choice. That was the hand-out that was done in the Lower House, but we also continue to disagree. I believe that freedom of choice is being restricted. We could find each other if steps were taken to keep the overall legal community of goods possible without going past the notary. To return to Mr Backer's comment on War and Peace, I think that is the key to peace.
ParlaMint-NL_2017-03-21-eerstekamer-10.u124	Mr. Chairman. The SP's concerns about feasibility, legal certainty and the legal system have not been addressed by the initiators and the Minister. That is why I tabled the motion with Mr Van Rij asking the government, after consulting the initiators, to examine the possibility of incorporating the current initiative proposal into a new legislative proposal, taking into account the concerns and concerns expressed.
ParlaMint-NL_2017-03-21-eerstekamer-10.u125	Mr. Chairman. I applied for two minutes, but that was before this motion was on the table. I would actually like to buy a few minutes, subject to the rule that it should be within half the speaking time in the first period.
ParlaMint-NL_2017-03-21-eerstekamer-10.u126	Are you serious or not?
ParlaMint-NL_2017-03-21-eerstekamer-10.u127	Yes. I always am.
ParlaMint-NL_2017-03-21-eerstekamer-10.u128	I thought it might be a joke.
ParlaMint-NL_2017-03-21-eerstekamer-10.u129	No, it's a serious subject and it deserves serious attention.
ParlaMint-NL_2017-03-21-eerstekamer-10.u130	Is five minutes okay?
ParlaMint-NL_2017-03-21-eerstekamer-10.u131	Fine. I know you'll correct me differently. I'll start with the motion. This one surprises me somewhat. I also don't quite understand what the meaning of it is and what is actually being asked. There is an objection to a legislative proposal and for that reason, if I read it correctly, it must be kept indefinitely. Then the government must take the initiative and come up with a more comprehensive bill. I find this a difficult course of action. We have a normal decision-making process here and I wonder why we can't just follow this. I am afraid that we will perhaps hear about this problem again in a number of years' time. Maybe it'll get a little longer. I don't think there's any need to deal with it like this. It demands something from the government. The Minister will no doubt reply to it, although I think he will remember that in the first period of time he answered the question of whether he would like to address other points as well, that we cannot expect him to do so with his present missionary status. That's a fair answer. I imagine he's gonna say that again. It is also strange how the initiators get involved with their initiative. Although I am not in the Lower House, I think I know that there is the rule that everyone else stays away from an initiative. It belongs to the initiators. I'm very curious how they're going to do this. As far as we are concerned, it is not a good motion and I am sure we will not vote in favour of it either. More generally, I think that tonight all the arguments have been mentioned and exchanged and that there is not much news left to add. The problem remains, of course, that everyone weighs those arguments differently and places a different specific weight on those arguments. That creates all sorts of uncertainties. They've been expressed here, too. However, there are also a few certainties. First of all, if we leave everything to the old, half of the inheritance continues to go to the ex, half of the donations continue to go to the ex and the woman remains exposed to all kinds of unexpected debts. It saves a lot if they're college or play debts, but they have to be paid. I don't think that's a good thing. It is also certain that large parts of real estate are fixed in public registers. So there can be no misunderstanding about that. Exclusion clauses now work well in implementation and do not give the problems outlined here. The boxes full of receipts that are mentioned are in themselves fun and also funny. I've also been laughing hard at the jokes of the SGP. I really liked them and I'd really like to hear them more. However, it is not real. That's why they're jokes and they're so much fun. They make a caricature of reality. Compliment, Mr Van Dijk, keep up the good work. Finally, there is one certainty. I can't offer any more certainty. However, this seems to me to be sufficient. Personal and family law is very problematic and depends above all on the behaviour of the spouses or former spouses. This is hard to get into rules. There's a lot of emotion. So let's do this, I think we did this piece by piece, bite by bite, in small chunks at once. After that, let's see if there are any more problems asking for a settlement. There are still a number of things in the pipeline that will be joining us soon. So we can still get to work for now. Let us, above all, do this one by one, and let us not strive for a large law in which all possible marital problems are finally resolved. Mr President, thank you for the extra time. I hope I spent it meaningfully.
ParlaMint-NL_2017-03-21-eerstekamer-10.u132	Mr. Chairman. On behalf of my group, I would like to thank the initiators and the Minister for their detailed answers. At this stage of the debate, the following points are of great importance to us. Firstly, the amendment to the first letter of amendment, to which I have already referred in detail, is, in my group's view, an unnecessary and potentially detrimental breach of the principles of this legislative proposal. I am referring here to the consequences of this change in the event of the bankruptcy of one of the spouses. Secondly, as Mrs Swinkels herself put it this evening, the proposed system is less simple than the current system. So in my words 'less simple' or in Mr Backer's words 'less clear'. Both Mrs Swinkels and Mr Backer are opposed to the justice they see in the proposed system.
ParlaMint-NL_2017-03-21-eerstekamer-10.u133	I object to this. You have now shown me twice and summarized my whole speech as 'less clear'. I'm a little shorthanded about that.
ParlaMint-NL_2017-03-21-eerstekamer-10.u134	Okay, I even heard the word "unclear." I thought Mr Backer would have met with that word, which I thought was a slip of the tongue, not to use here. I have added the text of the speech and indeed used it consciously. I think there is a point of principle. I note that both Mrs Swinkels and Mr Backer use this in contrast to the word 'justice', in the sense of the justice they see in the proposed system. Then I say, and I will take care of that: as if the lack of clarity of the basic system of matrimonial property law is not a form of injustice.
ParlaMint-NL_2017-03-21-eerstekamer-10.u135	We should not repeat the debate. I just want to make it clear that it should not be reduced to a word, because then you will be failing my contribution. I hope that we can get closer to each other on that point.
ParlaMint-NL_2017-03-21-eerstekamer-10.u136	Nor was it my intention to summarize Mr Backer's contribution. I have heard it quite deliberately use a word that is contrary to the word 'justice', which is the same contradiction I encountered with Mrs Swinkels. I then ask the rhetorical question: as if complexity or even confusion of the basic system of matrimonial property law is not a form of injustice. If it makes us feel any better tonight... In order to ensure that it may seem as if I am the only one who is fluttering it here tonight, I would point out that Mr Van Oosten himself said at some point tonight: now we are having a bit of a flurry. Yeah, that's what it does to us at certain times. So what does that mean for the many Dutch people who have a less good starting point to assess this matter?
ParlaMint-NL_2017-03-21-eerstekamer-10.u137	I would not like to add to the controversy on this point, but I would like to say something about the fluttering. You are raising a complex case position on the Bankruptcy Act. It is a complex matter, but I do not see how it has been explained by Mr Recourt in two instances and later by Mr Van Oosten. So it doesn't bother me. I'd say if you're dizzy, fine, but don't speak on behalf of others.
ParlaMint-NL_2017-03-21-eerstekamer-10.u138	Although I did not quote him with the word "dizzling," I understand that Mr Backer still needs to go into that. Mr Van Oosten's statement that we are equally confused did not refer to that very technical debate about the bankruptcy situation and that undivided share in the simple community in the absence of the letter of amendment, which was a small debate between myself and Mr Recourt. In my view, Mr Van Oosten has used the phrase 'we're here for a moment' in a different context. It is indeed a good thing that we do not catch each other on that, but I think that in practice many people are going to get dizzy. That probably doesn't even happen, because a lot of people don't deal with it in advance and they don't worry about it in advance. A lot of people won't think in advance: what if, what if? However, if an unforeseen situation such as a divorce occurs, it may prove to them that it is divisive or that the system proposed in the legislative proposal has unintended effects. This brings me to my third point: that most people will not make a state of application at the start of the marriage and will not have kept records during the marriage. Mr Recourt argued that as the marriage has lasted longer, it is less important that it has been kept up to date. The question is, however, whether many people who are involved in divorce will reason as rationally as Mr Recourt does quite understandably. The PvdA Group fears that this bill will give more incentives for the dissolution of the marriage, even after years of marriage, to say that everything has remained private or to dispute that everything has remained private on the side of the other spouse. In doing so, we fear that this bill will lead to more conflicts and divorces. Fourthly, I would like to highlight an important benefit for my group from this proposal. That advantage lies in the case of, above all, unknown premarital debts with one of the spouses. However, the question is whether this is enough for us to support this bill. As I indicated in my contribution in the first period, the final assessment of this legislative proposal will be about whether the proposed new basic system for most married persons actually, in practice, has more advantages than disadvantages compared to the basic system of the general community of goods currently in force.
ParlaMint-NL_2017-03-21-eerstekamer-10.u139	Do you think about your time?
ParlaMint-NL_2017-03-21-eerstekamer-10.u140	I'm on my last sentence. We will discuss this at our group meeting next Tuesday. The same applies to the motion tabled by Mr Wezel and Mr Van Rij.
ParlaMint-NL_2017-03-21-eerstekamer-10.u141	Mr. Chairman. First of all, I would like to thank the authors and the Minister for the answers and the explanations. They did so in a very passionate and honest way. I have already made it quite clear in the first term that I find it difficult to appreciate the substance of the legislative proposal in a positive way. In my view, the proposal considers marriage too much as a business contract. And if things are going to work out differently than expected, you need to be able to break up again without too much tears. Then I find Benjamin Franklin's advice, an American politician who also knew a lot about electricity, much wiser. He said keep your eyes wide open before marriage, then close them halfway. Focused on this bill: before marriage, you need to know what it is like to have each other, but during marriage, you shouldn't want to recalculate each other, as far as you can. I foresee many practical objections. In my view, the idea that a couple will keep records of this kind that will allow this bill to fly has a rather theoretical content. I suspect that the handling of a lot of divorces and inheritances under this bill will be quite complicated. I fear Brexit-like situations at family level. By the way, I'm sorry for this touch of populism. I still have to get used to the campaign being over. Forgive me! I would like to respond to the Minister's comment on the avoidance of inheritance tax. He is absolutely right when he says that tax shortcuts will always be crafted, but my concern, as Mr Van Rij put it, is that this bill stimulates that craftsmanship once again. In addition, I find it strange, to say the least, that the proposers did not really want to offer freedom of choice by introducing a choice system, so that there is really something to choose without having to go to the notary. In conclusion, the SGP cannot accept the present legislative proposal. We support the motion of the SP and the CDA under letter I, with the following remark. If a revised bill comes back here that is a little too similar to what is now before us, then we shall vote against it again.
ParlaMint-NL_2017-03-21-eerstekamer-10.u142	Mr. Chairman. I would like to thank the initiators and the Minister for their excellent response. The words "complex" and "unclear" have already been mentioned here several times. I would point out that our society has become complex and unclear. People divorce and then get married again. They're creating composite families. They are also called "patchwork families." Both partners may have had a lifetime before making a new commitment to another. People are more individuals. They also remain individuals after they have entered a marriage. These are all developments which require us to consider whether it is not outdated that we still have the standard starting point that the whole past passes into the estate of the new legal community. Of course, even after the adoption of this bill, people can opt for the latter. I would like to point out to Mrs Bikker that freedom of choice will not be restricted. It's just about turning the starting point. We need to keep an eye on that here. The question is which point of departure is best suited to this time of year.
ParlaMint-NL_2017-03-21-eerstekamer-10.u143	People who don't have to go to the notary now have to go to the notary. That's my point.
