ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u403	One more question about the business case. I have spent a lot of time on this in my input, so I will now mention a few different issues. I understand the Secretary of State says he wants to know more, but I know how it goes when you start a project. As time passes, you have more insight into what the deadline is. I ask the Secretary of State if it would be possible to send us a current timetable within a week or four. I understand that something unforeseen can always happen, but I just want to see how it goes. I am committed to this, including for legislative strengthening. I hope we will have the information when we have the debate on tax avoidance that has been put on the agenda this week. Can the Secretary of State agree to that?
ParlaMint-NL_2017-11-09-tweedekamer-16.u404	At four weeks I always have to think very hard: are we already at Christmas? But I understand exactly what you mean and I admit that you will get this as soon as we have a bit of sense about the precise deadlines. Is that possible in four weeks? I hope it can be done within two weeks, but I am afraid to say nothing about it now. I promise I'll speed it up. That's, I think, the most important thing.
ParlaMint-NL_2017-11-09-tweedekamer-16.u405	Your last question, Mr Van Weyenberg.
ParlaMint-NL_2017-11-09-tweedekamer-16.u406	Great, because then we would be talking about the debate. Of course, that would be fantastic. My final question is about the rulings. I'm getting signals that companies are reporting to the Tax Administration today and entering into a ruling conversation, and then when they're about out of it, they say, "You know what, I don't need that ruling; I know about what it is and I'm going to get on with it, because then I'll avoid the exchange of rulings. Does the Secretary of State recognize that signal? Is he willing to report to the Court in an overview of cases where there has been a discussion about a ruling, but no ruling has been established? Because it seems to me, and I think the Secretary of State too, extremely undesirable if this is to be the new way of avoiding the exchange of rulings.
ParlaMint-NL_2017-11-09-tweedekamer-16.u407	I have to say in all honesty that I haven't gotten those signals yet. I don't think it's impossible for people or companies to want to do that. Again, I don't think you can blame the fact that we have those rulings, because I think that advance assurance is really useful and good. I also think that we should be careful when reporting things, because we cannot, of course, report openly on the discussions we are having. But in general, I say that I will listen to it, because I had not yet heard the signals. Maybe they exist. If so, I also understand the wish to say...
ParlaMint-NL_2017-11-09-tweedekamer-16.u408	Thank you. In conclusion, very briefly, Mr Van Weyenberg.
ParlaMint-NL_2017-11-09-tweedekamer-16.u409	If it isn't, it's all the better. I hear these signals, but if they were deactivated, that would only be good news. Could the Secretary of State inform the Chamber about this before the debate on tax avoidance?
ParlaMint-NL_2017-11-09-tweedekamer-16.u410	Yeah, I'm gonna ask you about that, and you're gonna get my findings.
ParlaMint-NL_2017-11-09-tweedekamer-16.u411	I asked who's doing the research. That is not clear to me from the answers given by the Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u412	The answer was: that's what people from the Ministry and the Tax Administration are going to do, but not those responsible for issuing the ruling.
ParlaMint-NL_2017-11-09-tweedekamer-16.u413	The Secretary of State may not like me saying it, but I think it would be unwise to do it this way. I don't think it's wise to have the investigation done by people from the Tax Department and people from the Treasury Department. We know that they have close contacts with the tax advisors who write rulings. For example, they go to congresses of the tax advisory world. In the case of P&G, the ruling is simply signed without a ruling document being filled in. I understand you want to see how things went through process and procedure, but I wouldn't like to have the investigation done there. Is it possible to have the investigation done elsewhere within the State Department, perhaps by the Ministry of the Interior or the Ministry of General Affairs?
ParlaMint-NL_2017-11-09-tweedekamer-16.u414	I have two reactions to this. On the one hand, I understand what's being said. Before you know it, there's something about it: they examined it themselves, so it must not have been done properly. At the same time, I think it is important that when we ask people in our own department to do this research in the set-up we have, we have the confidence that they can do it independently and well. I don't have a problem with that. If you ask to consider, for example, the Audit Service of the Empire, which is really good at this, to play a role in it, I would say that we are thinking about it for a moment. If that's why it's up to you, I think maybe it's an idea I can take with me. If we examine this properly and properly and something comes out, I do not want people to say that we should have had it investigated externally, because then more would have come out. So it's not like that. I really have faith when I order people to investigate that specifically. Look, we just want that information, too. Of course, I would prefer it to be investigated super well and that nothing comes out of it, but it's no use to me if they investigate it and it's not finished with it. We just need to know what happened, and that's what I stand for.
ParlaMint-NL_2017-11-09-tweedekamer-16.u415	Finalizing, Mrs. Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u416	That's exactly why I'm saying it. Nor do I have the idea that it would not be good in advance, but we know from WOB requests how close the ties can be. We have been there in the interrogation committee. Tax advisors advise on legislation, write along and know to have a new escape route before the legislation arrives. I am making this proposal, not because I think the officials can't do it in advance. You could also take an independent chairman from another ministry or from the audit department. It doesn't matter, it doesn't have to be an external mission at a consultancy firm, but I think it's wise to look into that and I've heard that the Secretary of State will at least take that with him.
ParlaMint-NL_2017-11-09-tweedekamer-16.u417	Thank you. Then I am with Mr Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u418	I would have liked to have answered a question I had asked about something that is mentioned in the Millions Note: whether the government has the task of improving purchasing power or reducing the deterioration of it by non-indexing pensions. There is a very hard text on it in the Millions Note, which is literally quoted by the Council of State, with the addition that it is due to the financial review framework; as if that is not bad enough, but that is again the Council of State. Can you respond to that? Luckily, the workers get a raise. In addition, they will receive a great deal of relief, in particular from the labour cut, which is already costing 19 billion and a further billion will be added over the next four years, regardless of the indexation. What's the picture for pensioners? Of course, they're not getting a raise. They had hoped for indexation, which they were not normally entitled to. Isn't it the responsibility of the government to compensate for that? Surely you cannot give the working taxpayers a gross increase and an additional tax gift and tell the pensioners that it is a natural phenomenon that they are not being compensated and that we are not going to fix it consistently? Only if they come under 0 do we want to do something once or not. That's a hell of a difference.
ParlaMint-NL_2017-11-09-tweedekamer-16.u419	Yeah, I don't have the Millions Note on me right now. It was on page 21. I find it very difficult to respond to that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u420	Page 26.
ParlaMint-NL_2017-11-09-tweedekamer-16.u421	I don't have one either, and I don't have 28, so you won't get an answer. On the general question of whether the government has no obligations, I say off-the-cuff: I don't really think so. It doesn't make much sense to say anything about it now. If it is a serious issue and if the listeners know what the table you are talking about and what the hard line is, then I'm sure we'll have an answer for that in the second term, but not before.
ParlaMint-NL_2017-11-09-tweedekamer-16.u422	Mr Van Rooijen, may I ask whether it would be okay if the Secretary of State came back to that in second term or in writing?
ParlaMint-NL_2017-11-09-tweedekamer-16.u423	The Millions note belongs neither to this minister nor to this Secretary of State. Nor is it a phrase from the coalition agreement, but it is a sentence I have well remembered. Let him come back to it in the second term, because I have literally quoted that in my contribution.
ParlaMint-NL_2017-11-09-tweedekamer-16.u424	Then that's how we do it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u425	Short, two questions. The first question is in line with Mrs Leijten's question on as much independent research as possible. That is also in line with what the Chamber adopted in the Omtzigt/Schouten motion (25087, nr. (Parliament adopted the resolution) Let me say that for the report, because I do not think you know this motion by heart, but that is important. In doing so, you should also include the rulings that somehow did not enter that database, because they only contain the rulings of the last four years. Procter & Gamble's ruling is a ruling issued about ten years ago. They still seem to be valid. It should also be clear whether rulings are still valid that do not meet the conditions in any way. Rulings that are no longer valid: never mind, let's just say. But I'd still like the other one to be there. I would also like to mention whether new ways have emerged to enter into rulings. We sometimes hear that letters signed by two people are not exchanged. So as an advisor, you send something to the Ministry that's signed. Something will come back signed, but there's nothing with two signatures anywhere. It is based on legal certainty, but it is not a ruling. If there's such a thing going on, I'd like to hear it in this process. Then I hope I don't invent that in a procedure. That was remark one. It's more of an open encouragement to deal with that. Note two is actually a request to the State Secretary on tackling tax avoidance. Mr Van Weyenberg asked for this too. A number of measures in this area are contained in the government agreement, including those on royalties, dividends and withholding tax. But there are some more ambitious texts, I'll say, about really putting an end to those mailboxes. I think that's very important. I would actually like to ask you to cut that off from the fiscal agenda, because the fiscal agenda is about car taxes, income taxes, and I dare not say the word today even if I do not say dividend taxes. This is a strange thing. The Chamber would very much like to talk about this separately. Make it clear how exactly we're going to do that. Can that be sent to the Chamber once in the next two or three months, so apart from that?
ParlaMint-NL_2017-11-09-tweedekamer-16.u426	Thank you. The Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u427	Yes, Mr. Chairman. The first is that Mr Omtzigt agrees with Mrs Leijten's request, or at least Mrs Leijten's. That's right. That's right. Maybe I'll come back to those rulings, because from the second part of his first point comes a bit of the idea that, if there hasn't been a second signature on it, of course that's wrong; that's what I said; that's an unacceptable procedural error. This doesn't necessarily mean that a ruling was outside the legal order. Thus, that ruling can still be entirely valid and stand for what is due, but a procedural error has been made. After having checked a lot of lists, we now have 4,000 rulings in the picture that have been closed in the period from 2012. Those are old, existing and other rulings. That's 4,000, and we're gonna look into it now. However, a number of rulings from the previous period may have had a longer duration of action than five years. That doesn't happen often, because rulings are usually agreed for a slightly shorter period, but it's not unthinkable that there's anything else there. We can try to find out if there are any procedural errors in that whole and put a lot of energy into it, but, as I say a little bit to Mr Omtzigt, I personally prefer to focus on the lessons learned from these 4,000 rulings. This concerns a practice of rulings that are still valid or have just ended. Those are the existing ones and the new ones. I would rather do that than have to take a great deal of research capacity to bring out other rulings from the past. You can say you have to do that because you need to know everything, but I'm focusing on these new rulings. That's really my choice. It's hard enough to learn lessons from that as it is. I actually hope Mr Omtzigt says: okay, I get that. If it turns out that all kinds of things happen in that set that don't add up, then I can imagine that he might ask what's going on with the other one. But for the time being, I would say, we will concentrate on this. Of course, the most important thing is not what may have gone wrong in the past, but to prevent it from happening again in the future.
ParlaMint-NL_2017-11-09-tweedekamer-16.u428	Mr Omzigt, a very brief follow-up.
ParlaMint-NL_2017-11-09-tweedekamer-16.u429	Yes. I was hoping to get an answer to the second question.
ParlaMint-NL_2017-11-09-tweedekamer-16.u430	Oh, yeah, sorry.
ParlaMint-NL_2017-11-09-tweedekamer-16.u431	Then I have another follow-up question.
ParlaMint-NL_2017-11-09-tweedekamer-16.u432	The second question was actually about the request to cluster the measures against tax avoidance instead of generally taking them into account in the fiscal policy agenda. I'm tasting that a little bit. Let's see if we can get a visual on that right now. I have no objection to this in itself, but if we are going to talk about something about the capacity of the legislation and the supervisory authority and about our own department, then I would prefer that we continue to discuss it together in the context of the fiscal policy agenda. Otherwise we are going to take all these things apart again and then the whole idea of an integrated package in the form of the fiscal policy agenda has less meaning. But I think it would be a good idea to cluster this, to put together what measures we have and give to you in this respect.
ParlaMint-NL_2017-11-09-tweedekamer-16.u433	You had a very brief follow-up question.
ParlaMint-NL_2017-11-09-tweedekamer-16.u434	Yes, I hope it can be done separately, because there are so many questions here in the Chamber that I hope it can be dealt with separately. I will come back to the first point about the rulings. I am concerned that not only the rules that are in balance should be considered. I have just indicated that we have had some signals that letters are now being exchanged which are not signed by both the company and the Tax Office, but that there is one with the company's signature and one with the Tax Office's signature. These are considered to be rulings, but are not formally received as rulings under the law. What's true of that, we can't check. We want someone from outside to see whether another reality is emerging alongside the rulings, or whether it is not. That seems very important to me, except for the rulings that are exchanged. That's why it might be useful to take someone who's just a little further away from everyday practice.
ParlaMint-NL_2017-11-09-tweedekamer-16.u435	This seems to me to be a recommendation to me and I take it to heart.
ParlaMint-NL_2017-11-09-tweedekamer-16.u436	Thank you. Did we get to the third block?
ParlaMint-NL_2017-11-09-tweedekamer-16.u437	Yeah, the third block is greening. This cabinet is going to green the Netherlands, just to use a central sentence. So we are going to ensure that the climate objectives are met. This includes further greening of the tax system. The 'polluter pays' principle is very important to us. A better pricing of external environmental costs increases the incentive to reduce pollution. That's a classic greening idea. We really support that. The pricing of CO emissions will soon contribute to the objectives set by this cabinet, which are also mentioned in the Paris Climate Treaty. At the same time, higher tax revenues are used to reduce other taxes, as indicated above. The greening of the tax system is therefore beneficial for both employment and the environment. We really believe that greening is not for one thing or another, but that greening can help both employment and the environment. For greening in general, the emphasis is of course not only on pollution and non-pricing. Greening is also the move from direct to indirect taxes. You might ask yourself, is this all the cabinet does? No, but it's definitely an element that you have to include in your arrangements. Direct taxes are more disruptive. If you join indirect taxes such as consumption, you are closer to the source of pollution and overconsumption than when you charge wages, so to speak. I deal with a number of specific measures. The national CO minimum price is important. With this measure, CO emissions in the Netherlands are priced in addition to the ETS. The cabinet also balances energy taxes better, in relation to CO emissions, and reduces the burden reduction in this tax base. From 2020 onwards, the balancing scheme in the energy tax will be replaced by a more cost-effective subsidy scheme, which we believe will really contribute to achieving the objectives. The Cabinet also increases the tax rate for the incineration and landfill of waste from 2019. In particular, this measure should contribute to the transition to a more circular economy. The cabinet also improves the pricing of environmental pollution by tackling flying. First of all, of course, we want to do so in a European context. Logically, if we introduce a measure somewhere, we do not want to fly in Belgium, Germany or another border area. That doesn't help the environment. The ideal situation is, of course, that you do that with each other. By the way, a number of countries already have a flight tax, so we do not have to start completely from scratch. If it turns out that it really isn't possible, then we're just gonna start ourselves; we've built that in here a little bit. Then we know that this is not as efficient as when we do it at EU level, but we really want to examine whether a national tax on noisy or at least polluting aircraft might be possible. The cabinet also abolishes the bpm refund scheme for taxis. This may not be the greatest measure, but it does provide a strong price for CO emissions from taxis. Finally, the cabinet also reduces the landlord levy for landlords who invest in the sustainability of their housing stock. 100 million has been earmarked for this purpose. Then there are a number of questions: there are really only a few questions that have been put on this subject in the first term. Mrs Leijten asked if insight could be given in the €220 higher energy bill. I would like to thank Mrs Leijten very much for her question. It is true that the energy bill is expected to increase during this cabinet period. The tax on energy for an average household increases by about €140 during this cabinet period. This includes storage for renewable energy and including VAT. We do not recognise ourselves in a €220 higher energy bill for households. We assume €140. That is still a significant increase, but a lot less than €220. Of course, this burden increase is not an element that you have to look at in isolation, but it is part of the coalition agreement. It also includes other measures to reduce the burden on these people. Here again, therefore, the overall package is important for purchasing power development throughout the cabinet period. Finally, Mr Snels asked whether we still see room for additional thoughts. I think I've answered that before. Finally, on the tax administration. That's not quite the third block, but I promised to spend a few words on it. Maybe it's a new block again.
ParlaMint-NL_2017-11-09-tweedekamer-16.u438	Yes. In any case, we will end this part of your term. There is another question about the greening of Mr Snels.
ParlaMint-NL_2017-11-09-tweedekamer-16.u439	My group has already congratulated the cabinet on its ambitions. We support them. At the same time, we see that there are still a lot of measures to be implemented in order to achieve the objective. Earlier, I asked the Minister how he handled the opinion of the Council of State that we should get a better idea of how the burden should be shared, even in the future. He referred to Mr Wiebes, but since taxation plays an important role in environmental policy, I would also like to ask the Secretary of State to take part in that discussion on how the Council of State's opinion is being shaped.
ParlaMint-NL_2017-11-09-tweedekamer-16.u440	Well, I'd say thank you for inviting me. I'd like to go into that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u441	The Secretary of State says that the household energy bill will increase by €140 in 2021 as a result of this cabinet policy. My question is: has the SDE+ storage, the ODE storage, been taken into account? This alone amounts to €200 extra in 2021 for households. In other words: are we talking about €200 basic path plus €160 is €360 at the citizens' wallet? Or do we only talk about €160, including basic path?
ParlaMint-NL_2017-11-09-tweedekamer-16.u442	Thank you. The Secretary of State.
ParlaMint-NL_2017-11-09-tweedekamer-16.u443	I'm assuming it's including that SDE storage. I am not quite sure now, but at the same time I promise that if I say it wrong now, we will come back to that in the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u444	Thank you. That's the answer. If it doesn't turn out to be, you'll get another reaction. There are still a few final points on the greening of the tax system. I give the floor to Mr Van Weyenberg.
ParlaMint-NL_2017-11-09-tweedekamer-16.u445	I'm missing a block.
ParlaMint-NL_2017-11-09-tweedekamer-16.u446	The Secretary of State will now come to the last remaining points, which have not been mentioned before. Shall we give him the chance?
ParlaMint-NL_2017-11-09-tweedekamer-16.u447	Then I call on the self-employed to do so without putting in any staff.
ParlaMint-NL_2017-11-09-tweedekamer-16.u448	Yeah, the DBA. I've just left a few things, because we've been pushed a little bit to tempo.
ParlaMint-NL_2017-11-09-tweedekamer-16.u449	Very good.
ParlaMint-NL_2017-11-09-tweedekamer-16.u450	So it might be that the DBA refers to that, I think Mr Van Weyenberg was there. Look, I might be able to say a few words about that. Then I'm gonna leave out the answers I had prepared for that. The point is clear. We also know that it is extremely important for the self-employed to speed up the process of getting clarity; what does it all mean? This is important not only for the self-employed, but also for the person she wants to hire. At the same time, I indicated earlier in the legislative consultation that I cannot do it entirely on my own. The Minister of SZW is the one who has to make the policy about this, but I'm really trying to do it together. On day 1, when we met, we already decided: we have to work on this, because it is important. And I promise you that again. At the same time, I haven't had time to discuss with him physically in the last ten days when we're going to do that. But I do admit that I see it as an important point and that I will continue to do so together with the Minister of SZW. I think he's already promised a letter to the House of Representatives. I don't know what period he mentioned, but it's high on my radar.
ParlaMint-NL_2017-11-09-tweedekamer-16.u451	Letters have been promised, but here too, the Secretary of State has a very important role to play. The DBA Act is implemented by the Tax Administration. I would simply like to have a look at the way in which and with what timetable these measures from the coalition agreement will be implemented rapidly for the budget treatment of Social Affairs, i.e. by mid-December. The Minister of Social Affairs will deal with things, but certainly also with things from this Secretary of State. People need to know: wait a minute, I'm just above the €75, which is opt-out from now on. On date x or y.... is now the approach........................................................................................................................................ In my first term, I said that my group is constructive, but sometimes it is also sharp. At this point I am very sharp, because this has been going on for a very long time. We had to wait for a new cabinet. I would therefore like to see a specific timetable for the budgetary examination of SZW.
ParlaMint-NL_2017-11-09-tweedekamer-16.u452	Your question is clear.
ParlaMint-NL_2017-11-09-tweedekamer-16.u453	Yeah, I get the question. Again, it's not that I don't share your impatience. I'm just saying I can't promise that on my own right now. I believe that the Minister of SZW has promised a letter on this matter. I assume he would also like to have that letter with the Chamber before he discusses the budget with you. I just don't have it in front of me right now whether or not he promised that that letter would be there before that moment. I'm assuming that's the case. But I think it is most important that Mr Van Weyenberg knows that I also feel the urgency that he has and that I will certainly not hide behind the remark: oh, that is the Minister of SZW. I also really feel it as something I like and love to share with him.
ParlaMint-NL_2017-11-09-tweedekamer-16.u454	Thank you. The final answers.
ParlaMint-NL_2017-11-09-tweedekamer-16.u455	Then the IRS. At the very beginning, I said very briefly that I used the first days of my Secretary of State mainly to explore all the plans set out in the tax package 2018. We had a letter of amendment. In short, there was plenty to do. So I have not yet come to the point of focusing on the question of exactly which direction I want to take with regard to the modernisation of the Tax Office. I understand that this is an important issue, given all the previous debates. I really want to work on this and share it with you. I believe that 13 December is the best time to do so, because we will then have a discussion with the Committee on the Environment, Public Health and Consumer Protection on the issue of finance and taxation. I hope that by then I will have a little more insight into the direction I intend to take in the modernisation processes. I'd like to say one thing in advance. I said it in the legislative consultation and I want to make it clear here in the Chamber immediately in advance. This is about the feasibility of tax reforms and, in fact, of all tax measures. The change made by the Tax Administration in the coming years is significant. We all know that, and we should never trivialize it. In addition to this own modernisation battle, which will last for years, there are also many other routes that the Tax Administration must absorb. That is the fiscal ambition of this cabinet, and we have already said that it is not nauseous. That is the implementation of a series of EU legislative proposals in our legislation. For example, we also have a general data protection regulation and a digital ambition in the government agreement, which is still to be processed by the Tax Administration. At the same time, it is perhaps the most important task of me and the service to guarantee the continuity of the tax return at all times. We simply want both the provisional and the final attacks on time with the people. We want to make as few mistakes as possible. Of course, we do not want to make mistakes, but we just want to make sure that in that process, the collection of taxpayers' money, no risks are taken. Therefore, when the measures in the coalition agreement are being drawn up, we consistently take an implementation test and a fraud test, and if they are negative, we go back to the drawing board. This means that some of the processes may require more time than I do, the service or the chamber, but I just want to make sure that the measures we agree on here are ultimately feasible and not "inten" on the basic process that I have just described. I want to keep that out there, because that continuity is the main ship and that ship has to keep sailing. This also applies to the introduction period mentioned in the introduction test, because I am not going to interfere with that. I know that it is very tempting, also for myself, to say: a few months here or there, that should be possible if they work harder; pizza boxes. But that's really not what we're gonna do. We have all read the parameter letter and we all know that we have agreed deadlines for that. I am going to refer the whole time consistently back to the deadlines that we have mentioned there, because it goes wrong if we are going to bargain, even if it is only hours, weeks or months. Can't it be a year earlier? Sometimes the answer will be: I would like to, but we do not, because of the execution test. One part of this test is to recognise that there is a risk of accumulation. Sometimes we would like to take a measure in a year when we are also doing four other measures. The feasibility may be isolated, but if you want to integrate ten measures into one system at the same time, it may well fail. So even if the accumulation of measures jeopardises continuity, I will consistently sell no. Actually, I wanted to share that with you in advance. Mr Omtzig asked about the extra resources for the Tax Administration. Is that enough? It was 75 and there has been 425. So there is half a billion for it in the supplementary item. So also finance itself has measures in an additional post, so I say to those who asked for them this afternoon. This means that the phasering and the exact way in which we are going to spend it are not yet certain. I understand Mr. Omtzigt says, "I'd like to know." Is that enough? It is just too difficult to say 'yes' or 'no' to that, because we do not yet have those measures and that phasing out. In any case, I believe that the resources that are now earmarked to improve taxation are such that I have no reason to believe that there has been an incorrect estimate. There is an estimate under this assumption, but the most important thing is that the cabinet simply supports the need for modernisation and has made room for it. The tax administration needs to be more efficient, but at the same time we also need to ensure good service provision and control of the tax administration. Once again, I have not really had the opportunity to go into this phase and the measures that are needed. But I'm going to look into this in the short term to determine my course. I'd like to talk to you as soon as possible after that. I have already mentioned the AO of 13 December as a good moment for that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u456	The Secretary of State just spoke a very important phrase: "it is important that the Tax Administration gets in control." This means that it is not entirely in control, and that is something the previous Secretary of State has never dared to admit, but what we have always suspected here in the Chamber.
ParlaMint-NL_2017-11-09-tweedekamer-16.u457	And your question?
ParlaMint-NL_2017-11-09-tweedekamer-16.u458	Now the previous Secretary of State has sent the progress report to the Chamber and only 200 FTE have disappeared from the schedule, while there should be about 5,000 fewer jobs in that efficient establishment. So it doesn't go well. My question to the Secretary of State is whether, when he sends that update before 13 December, he wants to see if the resources, the timetable and the number of people needed match up. That is what we like to hear from the front and not afterwards. That's an expensive lesson we learned here in the Chamber.
ParlaMint-NL_2017-11-09-tweedekamer-16.u459	Yes, but I would add that I certainly do not have the information on this whole supplementary item, the way in which we are going to spend this 500 million and what measures are behind it, ready for the AO on 13 December. We need to take a serious look at this. We have a first agenda now. In the meantime, we have a recalibrate on that. I don't have the letter that's being mentioned right now, so I can't respond to that. It is very important that we look at exactly which systems should be first, what is needed for this, what is the situation with regard to automation. We need to test that very specifically. Once again, there is a thought behind it, but we also want to look externally, as you said yourself, at one more time to see if that is the most convenient way to do it. I really promise that, as soon as I have a little insight into that, I will be the first to want a phaser in this expenditure so that we know what to do. I am not going to be able to do that before 13 December, I know that for sure.
ParlaMint-NL_2017-11-09-tweedekamer-16.u460	It is fine that the Secretary of State is clear that we will not be able to do so and that we will be able to do so after the turn of the year, but I would urge that we do so within a reasonable period of time, to know whether it is true. Because you sometimes have an additional 150 million in an additional item, but the expenditure on the Tax Administration goes autonomously from 3.1 to 2.5 billion. They drop by 600 million in four years. And the IRS, they're almost all inspectors, people who control, people who build systems. We must know within a reasonable period of time from the Secretary of State whether the funds and the plans match. There is a considerable ambition and task here, so the question is to have an assessment before the end of January whether that is sufficient or not.
ParlaMint-NL_2017-11-09-tweedekamer-16.u461	I understand Mr Omtzigt's wish to have a date, but I am not going to give it, because I do not want to necessarily meet a date if I do not know exactly what is behind it. Next thing you know, you get the question "why did you choose that? Wouldn't it have been convenient to...?" What I promise, and again, I myself am the one who has the greatest interest in it, is that I come straight to the Chamber as soon as I know what the plans look like, to see if the budget is sufficient, whether it has been phased out too early or whether we have to phase it into another moment. There's nothing I'd like more than to set up this process together. Not only from the side of me and the Tax Office, but together with the Chamber, especially given how much that has been discussed. I hope that Mr Omtzigt does not see the fact that I do not want to set a date as some kind of obstruction, but I am a little hesitant to mention now a date that I am about to run into and think: that was not a good time.
ParlaMint-NL_2017-11-09-tweedekamer-16.u462	Clear, thank you very much. Mr Van Dijck.
ParlaMint-NL_2017-11-09-tweedekamer-16.u463	Mr President, I do think the Secretary of State is aware that this Investment Agenda has been massively abused by the departure scheme of all those 60-plussers who have left the service with a golden handshake. That is, of course, too scandalous for words alone, and we have had those debates about it. I would like to inform the Secretary of State that the same people who have left the service with a thick golden handshake should not now be hired again at high hourly rates in order to supposedly help the service.
ParlaMint-NL_2017-11-09-tweedekamer-16.u464	I totally understand that, and of course that is not the intention. For the sake of clarity, it is not the intention to use the 500 million released for a redundancy scheme either. It's totally unrelated to that. There's no way the money's going there for clarity.
ParlaMint-NL_2017-11-09-tweedekamer-16.u465	Mr Van Dijck, concluding.
ParlaMint-NL_2017-11-09-tweedekamer-16.u466	Not for a redundancy scheme, but also for hiring outsiders, who then turn out to be the previously terminated 60-plus officials, who are rehired for €200 per hour. Can you pay extra attention to this?
ParlaMint-NL_2017-11-09-tweedekamer-16.u467	I'll pay attention to that, sure.
ParlaMint-NL_2017-11-09-tweedekamer-16.u468	Mr. Van Rooijen.
ParlaMint-NL_2017-11-09-tweedekamer-16.u469	Mr Omtzig has already referred to the major cuts that are taking place in the Tax Administration independently of the Investment Agenda. I have indicated before in the Chamber that any cuts in the tax administration are unwise. The minister's predecessor said that these are different times, but I will continue to defend that statement, and that will surprise no one. The question is whether this Secretary of State will take that message with him if he looks into the Tax Administration. He's right he can't do everything in the first week. I agree with Mr Omtzigt. Is it necessary and desirable at all to make such a major structural cut? You need a big device. That is what this debate shows. The Secretary of State has big plans. There are things going on in Europe. I'm referring to digitization. I do not understand why, despite cuts being made everywhere, there is no exception for the Tax Administration. I had that discussion with the predecessor of the Secretary of State, and I will continue to do so with the current Secretary of State. Is he taking that message?
ParlaMint-NL_2017-11-09-tweedekamer-16.u470	The Secretary of State for a brief response.
ParlaMint-NL_2017-11-09-tweedekamer-16.u471	I'll take this for sure. I thank Mr Van Rooijen for his support for the processes that we really need. He's had experience with that in the past. We can't negotiate with that. I see him as someone who supports and helps me in that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u472	Did that bring you to the end of your speech?
ParlaMint-NL_2017-11-09-tweedekamer-16.u473	I'd just like to conclude, and that's just one page. Hopefully that's gonna work before 7:00, unless I say something that looks like entrapment, but I hope not.
ParlaMint-NL_2017-11-09-tweedekamer-16.u474	I don't want to challenge you for that.
ParlaMint-NL_2017-11-09-tweedekamer-16.u475	If I talk any longer, there's a better chance of that. The conclusion from the Minister's and mine deadlines is that it is the task of the cabinet to make all income groups feel that the economy, employment and public finances are improving again. There is a tax reform coming up to say so, whether a revision or whatever term one wants to use. There will be a strong tax plan consisting of three pillars. Those were my cubes. Burden relief for citizens and lower labour costs. Improving the tax location environment in which tax avoidance is addressed and further greening of our tax system. Finally, work hard on modernising the Tax Administration. All in all, a pretty ambitious package, I think. I'm really working on it. The first ten days promise a lot of good. I will certainly pay particular attention to the feasibility of the Tax Administration and the accumulation of risks. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u476	Thank you. There is one last interruption by Mr Nijboer.
ParlaMint-NL_2017-11-09-tweedekamer-16.u477	There has been a question I have put to the Secretary of State through Mr Omtzigt. It was about the effects on housing corporations of the taxation of equity and debt. Good measures are being taken by the Cabinet, but housing corporations are really threatening to enter the ship for hundreds of millions. The question was whether this is true or whether this is avoided. How's the Cabinet handling this?
ParlaMint-NL_2017-11-09-tweedekamer-16.u478	That is probably such an indirect question that we have seen it as more of a suggestion.
ParlaMint-NL_2017-11-09-tweedekamer-16.u479	Can also be in second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u480	I suggest that I return to this shortly in the second term.
ParlaMint-NL_2017-11-09-tweedekamer-16.u481	Fine, thank you. The Secretary of State has come to the end of his term, but we are not yet at the end of the first term. We still have the dividend tax block with the minister. However, unlike what we discussed earlier, but in view of the clock and the need to dine, I suggest that we suspend for a dinner break until 7.50 p.m. Then we will continue with the last block of the first instalment on the dividend tax. Mrs. Leijten.
ParlaMint-NL_2017-11-09-tweedekamer-16.u482	Mr. Chairman. We've been biting off our tongues all day about the dividend tax. I'd be happy to finish it now and then we'll have dinner.
ParlaMint-NL_2017-11-09-tweedekamer-16.u483	Mr. Ommzigt.
ParlaMint-NL_2017-11-09-tweedekamer-16.u484	I'd rather take a short break, because I'm hoping to get to Enschede tonight. If there is a need to talk about dividend taxation now, I am fine with that. I don't care. I'll leave it to you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u485	Mr. Chairman. We absolutely want a debate on dividend taxation after dinner.
ParlaMint-NL_2017-11-09-tweedekamer-16.u486	After dinner. Mr. Azarkan.
