ParlaMint-NL_2017-02-21-eerstekamer-6.u1	I would like to welcome the Minister of OCW to the First Chamber.
ParlaMint-NL_2017-02-21-eerstekamer-6.u185	In fact, I can copy Mrs Bikker's answer. She indicated that she didn't know if she had to go through the criminal justice system. Administrative law might also be a route. At least that's how I understood her. If it's different, I'll refer to her.
ParlaMint-NL_2017-02-21-eerstekamer-6.u186	I am now going to speak with joy on behalf of Mrs Bikker, perhaps. I understand from her that she does agree that it should start criminally and come to a conclusion, including a possible appeal, that the minister can act and that an administrative appeal is then available.
ParlaMint-NL_2017-02-21-eerstekamer-6.u187	I understand that Mr Rinnooy may point out that it can take an enormous amount of time at the time we enter that criminal route. I also understand that it is a deep desire that I belong not only to him, but actually to many people that there can be intervention. I am actually just as interested in the creativity surrounding this theme. The question is whether there are any routes that are faster than that very long, perhaps long-term, route through the criminal justice system. I also hope, however, that Mr Rinnooy Kan agrees with the SGP Group that judging the Minister is also a dangerous route.
ParlaMint-NL_2017-02-21-eerstekamer-6.u188	Finally, Mr Rinnooy Kan.
ParlaMint-NL_2017-02-21-eerstekamer-6.u189	Sure. We agree in that sense that we have argued here with other parties that there should be independent review. That is where we separate our ways, I think, but at least that is our answer to Mr Schalk's question.
ParlaMint-NL_2017-02-21-eerstekamer-6.u190	That would be an interesting extra debate. If we choose the route that Mr Rinnooy Kan has advocated, namely through the Human Rights College, and if it were to be adapted in such a way that the Minister or the Government could ask for an opinion there, it would still end in a judgment on a situation that has no legal force. You've been working on the Human Rights College for weeks or maybe months. I've dealt with that on a different route. That really doesn't reach a verdict within two or three weeks, because that goes very well. Then the Minister is still empty-handed, because she still has to go to court and it may take a very long time.
ParlaMint-NL_2017-02-21-eerstekamer-6.u191	May I ask another question, Mr. Chairman?
ParlaMint-NL_2017-02-21-eerstekamer-6.u192	No, I'd rather not. I think we've pretty much chewed this out. Are you going to correct something that may not have just been highlighted, Mrs Bikker?
ParlaMint-NL_2017-02-21-eerstekamer-6.u193	Mr President, you predicted that quite correctly. I have indeed said that I prefer criminal law, but I have asked the Minister to give an insight into what accelerations are possible within it. I've missed it in the written papers so far. Before my option becomes the hour-day-month-year option: that was not the intention.
ParlaMint-NL_2017-02-21-eerstekamer-6.u194	The Group of the European People's Party (Christian Democrats) and European Democrats can fully support this.
ParlaMint-NL_2017-02-21-eerstekamer-6.u195	Mr. Chairman. Students who successfully complete their education in higher education have a degree that they can be proud of and, better still, what they can do with. It's a high-value diploma. The aim of this bill is, among other things, to protect the conduct of names in education, such as college and university, and to provide degrees, such as bachelor and master, and to address the deception of unrecognised educational institutions that offer pre-recognized education. The PVV believes that this is a good thing. The explanatory memorandum states that the inspection regularly encounters new cases of misleading use of labels by higher education providers. Much has already been written and spoken of. However, the PVV still has some questions. In practice, how many students are disappointed in their expectations? To what extent does abuse of names and degrees or deception in higher education affect the value of a genuine diploma and/or the reputation of recognised educational institutions? I'd like to hear a reaction to this. In addition, this bill focuses on the sense of social responsibility. A lot has been said about that. How does the Minister define this? Article 1.3, fifth paragraph, of the Higher Education and Scientific Research Act lays down an obligation for institutions to pay attention to personal development and to promote social responsibility. With this bill, the Minister wishes to add a sentence to this paragraph: "Promoting social responsibility means at least that the institutions, including those who represent them formally or informally, refrain from discriminatory behaviour and statements." It says "at least." Can the Minister give us any more examples of what might fall under this heading? What else could be at odds with this sense of responsibility? In other words, this legislative amendment creates the legal possibility to intervene if an institution or a representative of an institution behaves or does not act in a discriminatory way. A well-known example is, of course, the Islamic University of Rotterdam. The rector of this institution has repeatedly made discriminatory statements about Kurds, Jews, Armenians and homosexuals. He also said that the beating of women should be possible. You will understand that these are statements that are completely in line with Islam, but of course they are contrary to the sense of social responsibility, at least to promoting it. It is clear that education on an Islamic basis can never be in line with the principle of social responsibility when talking about gender inequality, heterosexual and gay and believers and unbelievers. That is, of course, the order of the day in Islam.
ParlaMint-NL_2017-02-21-eerstekamer-6.u196	I have a question for you to understand. Does Mr Kops mean that, under this law, all Islamic institutions can be closed down?
ParlaMint-NL_2017-02-21-eerstekamer-6.u197	I do not mean that, but it is a very good idea from Mr Ganzevoort. Let's do that.
ParlaMint-NL_2017-02-21-eerstekamer-6.u198	If Mr Kops does not mean that, I say: I am trying to understand how he reads this law. If it is not in this law, then he cannot persevere with what he just said, namely that Islam is by definition contrary to social responsibility. If that were the case, the conclusion would be that this law applies to all Islamic schools.
ParlaMint-NL_2017-02-21-eerstekamer-6.u199	In fact, I notice that Mr Ganzevoort is always standing up in a debate, when I am sitting here, when it comes to Islam. Is that something personal about him? Could he please explain that to me? He only gets up when it comes to Islam. It's a little transparent.
ParlaMint-NL_2017-02-21-eerstekamer-6.u200	You're working on a personal matter right now, and we're not doing that here. This is about the bill we're dealing with. You have to limit yourself to that.
ParlaMint-NL_2017-02-21-eerstekamer-6.u201	Fine. I'd like to move on to the bill. With this bill, Mr Ganzevoort, the Minister will have the opportunity to intervene in discriminatory statements and/or behaviours. A motion tabled by my PVV colleague in the Lower House during the examination of this bill, in which the government is called upon to withdraw the accreditation of the Islamic University Rotterdam (IUR) in accordance with this law, has also been adopted. That's good. When does the Minister expect the doors of the IUR to be finally closed? We're looking forward to it. So the Minister wants to combat discrimination, which is what we make out of this law. The explanatory statement states: if an institution invokes discrimination based on, for example, sex, sexual orientation, race or political orientation, it infringes the fundamental right laid down in Article 1 of the Constitution. This is not acceptable to an institution which is part of the Dutch system of higher education. There is therefore also discrimination based on political orientation. Suppose the rector of the IUR, or any rector of any educational institution, had made similar discriminatory statements, for example about PVV voters, would the minister have intervened? I would like to present a case to the Minister in the context of this bill. Suppose there is a rector magnificus who believes that the current summit has failed to offer an alternative to populist parties. He also says that the Netherlands needs a new university elite more than ever. That elite has to take the Netherlands by hand just as in the past to solve problems. Why? To put a stop to the populism of Geert Wilders and the uncertainty that this calls for. After all, it is up to the university to arm the students, the upper layer of later, for the social debate against the populists. Suppose a Rector Magnificus says Wilders and the PVV must be stopped and the PVV voters, a group, put away as populists to be stopped and excluded. When the present legislative proposal comes into force, would it have an effect on this case or on a similar case? Would the Minister conclude that the expulsion of a political party and its voters is contrary to the sense of social responsibility, at least to its promotion?
ParlaMint-NL_2017-02-21-eerstekamer-6.u202	This is the first time I have come to Mr Kops. It is precisely in this legislative proposal that there is a careful procedure, with a whole step-by-step plan, through which the Minister must reach a judgment, including in the case-law as pointed out by Mr Kops. Then it is precisely not in line with this bill to ask the Minister to make a statement in this case tonight? The Minister must examine this in the light of case law and the College of Human Rights, and she must also ask for advice here and there. The Minister cannot enter into talks with the said institution. Besides, it's a fictional case. I think it is precisely in line with the bill that the Minister does not make a ruling on this. I hope she's not gonna do that either.
ParlaMint-NL_2017-02-21-eerstekamer-6.u203	This case is not entirely fictional, because it is true statements by Rector-magnaificus Kortmann of Radboud University. However, that aside: what is of course not fictitious is the example I just mentioned of the IUR. The Minister has already indicated that he intends to take action against this. In the Lower House, a motion was adopted to withdraw accreditation in line with the law as soon as the law was passed. So this case isn't that fictive. Suppose the statements made by the rector of the IUR had been about PVV voters, for example, so that there could possibly be discrimination on a political basis, what would the minister do? Would it therefore consider, as in the case of the IUR, that steps should be taken? That's the equation.
ParlaMint-NL_2017-02-21-eerstekamer-6.u204	I read the bill in such a way that, if necessary, the Minister would like to put the roadmap into effect. I do not read anywhere that the Minister has made a judgment or has already reached a decision on the institutions concerned. That's why I think we agree.
ParlaMint-NL_2017-02-21-eerstekamer-6.u205	It's like I hear the minister talking here. I'll wait for the answer.
ParlaMint-NL_2017-02-21-eerstekamer-6.u206	I welcome the example given by Mr Kops. In my own contribution I gave a similar example. I had put another one aside, namely the example in which a GroenLinks minister would find statements made by a PVV rector socially irresponsible. In all these cases, the question is how to ensure that you do not take steps on the basis of a one-sided political preference and the political opportunity of the moment. Does Mr Kops not think that this is a step too far in the light of these risks in this law? Does he consider that, on the basis of the legal guarantee, which he himself apparently considers so important in order to protect the PVV, this law needs quite a bit of adaptation?
ParlaMint-NL_2017-02-21-eerstekamer-6.u207	The answer is no. For minister and politician have a certain responsibility for education. Where other parties would prefer to go to court at all events, we think it is a good sign if the minister and the politicians once take responsibility for education and its quality. I could ask another question: why do you want to bring in the judge everywhere? That sounds to me like shoving off the responsibility. If there is discrimination in an educational institution, it is precisely the minister's job to intervene. We see that as something positive, compared to just shoving it on a judge.
ParlaMint-NL_2017-02-21-eerstekamer-6.u208	Finally, Mr Ganzevoort, on this point.
ParlaMint-NL_2017-02-21-eerstekamer-6.u209	I didn't mention the judge at all in my contribution; I was talking about a college. That's just a correction. But the point remains, of course, that if Mr Kops thinks that the Minister should be able to intervene, he or she should also be able to intervene if he or she thinks for his or her mumbling reasons that a PVV rector or for my part a GroenLinks rector is socially irresponsible. If Mr Kops does not think so, the focus he wants now is a one-sided one for Rotterdam.
ParlaMint-NL_2017-02-21-eerstekamer-6.u210	A PVV rector or a GroenLinks rector, I didn't mention that. The statements I just quoted in the case, therefore, stem from Rector Magnificus Kortmann of Radboud University, you know, that terrible left-wing stronghold in Nijmegen. In the course of examining the legislative proposal for strengthening the administrative power of educational institutions in June last year, I also put forward these statements and asked the Minister for a response. But I'm afraid it didn't work out at the time. I also understand that it's sensitive. I would like to ask for a response again today. What the PVV finds is crystal clear: education is for knowledge transfer, there is no place for discrimination nor for political indoctrination.
ParlaMint-NL_2017-02-21-eerstekamer-6.u211	The Minister needs a 20-minute suspension.
ParlaMint-NL_2017-02-21-eerstekamer-6.u212	I'll ask the spokesmen to take their place. I give the floor to the Minister for Education, Culture and Science.
ParlaMint-NL_2017-02-21-eerstekamer-6.u213	Mr. Chairman. We are talking today about a bill that contains several elements. Several members have asked questions about the names, the position of the lecturer and so on. However, I would like to start with what has become the pièce de résistance of this bill today, namely the sense of social responsibility. I think we all agree that education is not just there to teach young people knowledge and skills to qualify for the labour market. Education is also there to prepare students for society in all its facets by promoting socialisation and personal formation. In the context of citizenship, I have often debated this with the House of Representatives in recent years. I'm going to debate it again tomorrow with the House of Representatives. In the Strategic Agenda for Higher Education and Research, I indicated that higher education institutions, in my opinion, train the values of the future. They must deal with moral dilemmas in the future and they must indicate how we can shape society together. Higher education institutions therefore have an important responsibility. The people they train are going to contribute as citizens and as professionals to our rule of law, our democracy, our education and our next generation. This essential part of higher education should contribute to social education. As a minister, I am responsible for the system and for the fact that it contributes to the social formation of students. I would like to stress directly that my responsibility concerns the system and not the individual statements made by anyone. I do not have any responsibility for this, and I would never want to go into it. I do not want to express an opinion on the question of whether or not individual statements are admissible. It is my responsibility as a minister to ensure that the system is properly secured. We have established this system in the WHW and have for years been aware of the obligation for institutions to promote the social responsibility of students. This also applies to other parts of education, such as p.o. I would like to say to Mr Bruijn that it has been laid down in a different way, for example by means of key objectives which the inspection can monitor. The WHW is a general denominator, namely responsibility for students. That is not new, as I say to Mrs Martens, because it has always been in the law. Mrs Martens began her speech by saying that we are going to do something very new here, but that is only limited, because it is already in the law. As a result of a legislative amendment, this has been unintentionally abolished for non-cost institutions for a number of years. That was unintentional, and we're adjusting it now. Mr Bruijn asked for confirmation. We are indeed restoring an omission, so that non-costed institutions will be given this task again.
ParlaMint-NL_2017-02-21-eerstekamer-6.u214	I suggest that the Minister should make a point here, so that Mrs Martens can intervene.
ParlaMint-NL_2017-02-21-eerstekamer-6.u215	That is exactly what I have mentioned in my contribution, namely that it is new for non-cost institutions. I have been puzzled for a moment about the Minister's remark that she is responsible for the system, and I fully agree with that; that is obvious, but she is not responsible for the assessment of statements. We are talking here about discriminatory statements by formal or informal representatives. The Minister felt that it was a question of balancing fundamental rights, so we could read it once again. Then she'll be judging on statements, won't she?
ParlaMint-NL_2017-02-21-eerstekamer-6.u216	I shall come back to that in detail later. I want to make this difference, because many asked whether it should preferably go through the courts. I will come back to that in detail too, but in the case of discrimination, a judge can only rule on an individual through criminal law. That's not what I'm talking about here. A criminal court may rule on an individual teacher or director and impose a fine, but that does not help the system as such. That's my problem.
ParlaMint-NL_2017-02-21-eerstekamer-6.u217	I get that. The bill states that the Minister wants to be able to intervene at the level of the institution on the basis of an individual statement. My group has no problem with these two separate things. Our group has no problem with the fact that a statement could be a ground for intervention. Our group also has no problem with the Minister taking responsibility for the system to deprive the institution of recognition. It's about what's in between. That's our problem. The Minister says she's going to judge it, at least that's what the law says.
ParlaMint-NL_2017-02-21-eerstekamer-6.u218	This is the heart of the debate. I come back to this in a lot of variants and in a lot of different ways. That is precisely the question: when am I going to make a move in the system? I am talking about an institution, in this case an institution of higher education. A higher education institution can only demonstrate the sense of social responsibility or not, because that is what we are talking about here through statements by individuals. It's not about buildings or figures, it's about people. In this sense, we are talking about people who represent the institution formally or informally.
ParlaMint-NL_2017-02-21-eerstekamer-6.u219	The essential question my party raised is: when does the judge come into the picture? The Minister could have made other choices in her bill. It could have been the administrative judge. I'm asking her to reflect on that choice. Why did it move to ministerial authority rather quickly?
ParlaMint-NL_2017-02-21-eerstekamer-6.u220	I will come back to that in detail too, but the short answer is that a judge of administration can only correct me. Then I must have done something first and I have no ground to do anything right now. I'm telling you, I've been working on this file for four years. Almost all the spokesmen in the House of Representatives have repeatedly said to me: Minister, do what; act against an institution called 'institution', which has been mentioned here by name, which is flagrantly violating all our standards of social responsibility. I would very much like to explore all the alternatives. That's what I'm gonna do, but I've almost reached the bottom of the ingredient box. That is why I am asking for a balance to be struck at some point. Do we feel that we should take action against this, or do we find it so risky that we will end up with the current situation? Then I'm going back to the House of Representatives to say that I've looked at everything that's possible and what resources are available. Again, I am very willing to take your concerns into account as much as possible. I see very well, I shall come back to this in such a way that the essence of your objection, which I as a general divider formulate, is that my influence and power, or that of my successors, could be too great to allow subjective judgements to be taken into account in deciding whether an institution does not comply with its social responsibility. There are several ways to deal with that. Before I go into that, I will come back to the question of what is new about this proposal. It is not new that we should point out that uncosted institutions must also bear the sense of social responsibility, because that was already in the law. That's the only thing that's gone missing.
ParlaMint-NL_2017-02-21-eerstekamer-6.u221	I'll interrupt you for a moment for a question. You have said that you are going to discuss matters in detail, but we must take account of the order of things when interrupting. Go ahead, Mrs. Gerkens.
ParlaMint-NL_2017-02-21-eerstekamer-6.u222	I think it is a little unfortunate that the Minister has expressed a cry of despair, namely that she has reached the bottom of her potential. I believe that this Chamber, after all its wills and its ways, and all its ifs and buts, thinks that the Minister is on the right track. We are only asking for more safeguards. I would find it regrettable if the Minister said at the start of the debate: I have tried that a thousand times and I think there are still few possibilities. That's what I hear in her words.
ParlaMint-NL_2017-02-21-eerstekamer-6.u223	Mr Ganzevoort agreed to this.
ParlaMint-NL_2017-02-21-eerstekamer-6.u224	I invite the Minister not to paint the picture that we want her to do something or that she does nothing. That's not the question. The question is how we can build in the guarantee so that the Minister can do what is necessary to do without going overboard with legal principles.
ParlaMint-NL_2017-02-21-eerstekamer-6.u225	This is followed by Mrs Martens.
ParlaMint-NL_2017-02-21-eerstekamer-6.u226	That is also the approach of our group. We're willing to think with it. On the other hand, we must note that the Council of State has said that the Minister already has enough instruments to intervene. Should part of the law continue, the role of the inspection will be increased, as it will receive more points of reference for the non-costed institutions. That's what the Council of State says. All possibilities are exhausted, but in fact the Council of State says that the Minister already has enough. Can the Minister take that point?
ParlaMint-NL_2017-02-21-eerstekamer-6.u227	Thank you for the comments, in particular Mrs Gerkens. It was not my intention at all to express all this desperation now, but to point out that there is urgency as far as I am concerned. In the Lower House all parties present here have tabled or co-tabled motions on this matter and in any case supported it. I feel this general need to do something very broad across the board. I also understand the criticism. That's your room's job. That is why we have a good debate here. It is a question of whether this has been properly designed and how it can be done even better. I'm very inclined to think about that. I hear different sounds here. The suggestions I hear here about how to do so are not all consistent. So it was a bit ahead of schedule for the continuation of this debate. Back to the beginning. What is not new is that we are restoring an omission. Now the law only states a sense of social responsibility. That's pretty vague. That has been in it for quite some time and we have not had to use it before. By giving us more depth, I have found, also in the debate with the House of Representatives, that it is desirable to give more precision to this, also to make my freedom of action and that of my successors not so great that it can lead to too much subjective judgments. We have said, thinking and developing, that it is logical in itself to extend the scope of the article in question, Article 1.3 (5), not only to restore that omission, but also to give it a more detailed interpretation. Then there are more handles for the Lower House to check the minister, but also for a judge to check whether a minister intervenes on the right grounds. Then we come to the details, the discriminatory statements. They will also apply to funded education. In doing so, we are not creating a distinction between paid and unpaid, but rather a focus on what this sense of social responsibility should look like. That is a lesson we have learned from the past three years, in which we have been working on it. These are indeed institutions that infect students in the atmosphere, manner of working, tone and culture with discriminatory ideas that cannot be tolerated by Article 1 of the Constitution and cannot be justified by academic freedom, freedom of education, freedom of expression and freedom of religion. Mr Rinnooy Kan asked for that. I would like to emphasise, also to CDA, CU and SGP, that I do not wish to place Article 1 above those other fundamental rights in the order of precedence with this provision. You may know from me that the freedom of education is very close to my heart. Perhaps you have read that I recently embraced freedom of education for today at a conference at the Free University in 100 years' time. That's not what I'm here for. I consider these other fundamental rights, such as academic freedom, to be extremely important. However, I have been looking for a way to find a point of reference to address institutions to the problems we are seeing today. Then I must have a basis and then it is about the level of intervention at the institutions, not about the level of persons for whom criminal law is appropriate.
ParlaMint-NL_2017-02-21-eerstekamer-6.u228	I need an explanation on this point. The choice of giving discrimination a place here, I find a bit one-sided in the light of the total, but I get it. The Minister is right to say that it is all about culture and content, and about all the things that are at stake in an institution and which are important for social responsibility, even when it comes to discrimination. Why then choose to operate only through the concept of "at least" because that is the only thing that is operationalised when a representative speaks formally or informally? Why then not say: it is much more obvious that it means at least that there is no discrimination in culture, content, teaching programme and so on?
ParlaMint-NL_2017-02-21-eerstekamer-6.u229	Because Article 1, in my opinion, indicates that you do not want to remove groups and at the same time want to guarantee the freedom of education. When it comes to the content of education, you quickly come up with what is in a curriculum. I would not want to go into that, unless it is part of it, but it would also be confirmed by teachers and administrators who say, for example, that they want to put any group away as non-human. Then there is a problem, but now we have a title to deal with it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u230	This is a fairly coincidental answer. The Minister himself said that the core issue is all about culture and a number of other things that she mentioned. One thing is highlighted: the drivers. It is still much more logical to say that, as soon as you run into obvious examples, that was in any case the starting point of discriminatory behaviour or statements in that institution as a whole, you have a point of reference for the quality question, much more than when it comes to the statements of a driver elsewhere.
ParlaMint-NL_2017-02-21-eerstekamer-6.u231	I'll get back to you on that. Then who's making these statements? That could be someone who represents the institution formally or informally. That can also be a teacher, if it is a flagrant violation of what we normally consider to be social responsibility, for example because a group, whether it be women or gays or Muslims or Christians or anyone else, is thrown away if not equal. In doing so, I need to join Article 1 or the principle of discrimination in order to bring an institution to order. I can't do that with Rule 23, I'm just gonna say it again. I'd like to make sure of that. I will come back to that as well. The whole roadmap also raises the question of whether this ruling should be allowed on the basis of other fundamental rights. If that is the case, the next step will no longer be taken, so I say briefly.
ParlaMint-NL_2017-02-21-eerstekamer-6.u232	This is one of the fundamental elements of this debate: under what circumstances does the Minister intend to make use of her possibilities of intervention? I am glad that she is very much in favour of this. I myself suggested that it should be a sum of factors: the atmosphere, the style, the culture. I am particularly pleased with the Minister's recognition that lecturers' statements can also be avoided in that list. Rather, she seemed to want to explicitly exclude them as a basis for intervention, but now I hear her say that they can indeed figure out in that sum. Am I saying that right?
ParlaMint-NL_2017-02-21-eerstekamer-6.u233	It's possible. At the same time, there is an enormous degree of academic freedom for teachers. That consideration needs to be made. The balance of these fundamental rights must be made throughout this process. That is why we have said that if a board does not distance itself from such a lecturer or does not act in any way against it, it could do so by entering into the debate itself.
ParlaMint-NL_2017-02-21-eerstekamer-6.u234	I'm hooking up on this. My group reads in the legal text that it is about institutions, including those who represent them formally or informally, abstain from discriminatory statements. This goes wider than just those who represent them formally or informally. This is all about any flagrant violation of the prohibition of discrimination that we are talking about here. This can also be done in writing and can also be done by a lecturer, but it must be sanctioned by the institution, because it is done on behalf of the institution. My group reads it in such a way that it is provided that it is not just about people, but that it can also be about components in the curriculum or about teachers, who are, by the way, also individuals.
ParlaMint-NL_2017-02-21-eerstekamer-6.u235	Your question is whether you read this correctly.
ParlaMint-NL_2017-02-21-eerstekamer-6.u236	My question is whether I see that correctly.
ParlaMint-NL_2017-02-21-eerstekamer-6.u237	Yes, Mr Bruijn reads that correctly. I was just trying to point that out, maybe in a different word. In the end, I am concerned about the institution, but it is people who make the institution and tell the stories. So they could be teachers, too. It must be a part of the institution. I have done so in this way because at the moment I have no basis to intervene in such a situation with a non-costed institution. In the case of the non-costed institution, the measure against the institution shall consist of the withdrawal of its recognition. Mrs Bikker asked if this is proportional. I think this is the case. It must, as several spokesmen have said, be a flagrant violation of social standards on social responsibility. This must be promoted at institutional level, or at least not contradicted. We will then withdraw the recognition of the institution. The institution will then no longer be able to operate within the system of higher education recognised by the government. I cannot prohibit an institution from teaching, but I can say that the institution is no longer authorised to operate within the Dutch system. In doing so, I can protect the interests of our system and of the students, who spend a lot of time, money and effort in their training. What does it mean if an institution is no longer part of the system? The consequences of this are far-reaching. The accreditation will expire. The institution's gonna have to shut down. Sitting students should be able to complete their education. The institution is no longer allowed to grant degrees, i.e. no diplomas, to new students. New students will no longer receive student funding. So you're actually saying that the institution in question doesn't fit in with what we all see as basic principles of the higher education system.
ParlaMint-NL_2017-02-21-eerstekamer-6.u238	Do I understand correctly that the Minister says that the trial is guaranteed for at least the current students? I am looking at all the introductions this afternoon, in which it was always about the period that would go on before the recognition was actually withdrawn. That could take a few years. Should that period be considered problematic?
ParlaMint-NL_2017-02-21-eerstekamer-6.u239	This is going as fast as it can be carefully. I've heard several spokesmen say it has to be quick, but careful. The message it sends is that I say to an institution: we believe that you exceed the standards in such a way that you can no longer be part of the system because you do not take that responsibility. So we don't want new generations of students either. I heard Mr Rinnooy say that for years to come, we will be indoctrinating with texts that we all find widely unacceptable. At the same time, I don't want sitting students getting hurt. This is a starting point in higher education. We do this, for example, in the case of institutions or training courses which have to be closed because the inspection has found that the quality is far below the standards. Even then, sitting students must be able to complete their training. You can of course see if you can help them, for example by having them finish an education at another university or college. This is all possible, but it concerns the formal right of students who have started training once, in order to be able to complete that training successfully.
ParlaMint-NL_2017-02-21-eerstekamer-6.u240	As the Minister argues, it is crystal clear. But this also means that you are going to be able to say, as a minister, that I am going to refer this to the judge because I still have a few years until the judge has made a decision. If that is announced, no student will start that training in the hope that he will get a degree later, because it is not certain that this is possible. In other words, this creates uncertainty that takes a little longer than when the Minister immediately takes the recognition out. That actually divides the time pressure.
ParlaMint-NL_2017-02-21-eerstekamer-6.u241	That is why I have begun to say that I cannot ask or force an institution through the courts to stop granting degrees as an institution. I can only do that through the criminal court to get a ruling on an individual, but not on the institution.
ParlaMint-NL_2017-02-21-eerstekamer-6.u242	A large part of this afternoon's speeches were about the fact that at the moment when the criminal court said that the Minister is right in her intention to withdraw recognition, the Minister who can actually withdraw it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u243	A board judge can do that, but before that, I have to make a decision. Right now, I can't make that decision. This law is intended to give me the opportunity to make such a decision and then to have me corrected by an administrative judge if he has good arguments for it.
ParlaMint-NL_2017-02-21-eerstekamer-6.u244	But it all starts with the question of when there is discrimination. This is done by an expression of an individual. I say that the judge has to establish this, but the Minister says that we have discussed this. It places a certain heading on top of the legislative proposal, which speaks of discriminatory statements, but speaks of flagrant discrimination. What is the difference between flagrant discrimination and discrimination under the law?
ParlaMint-NL_2017-02-21-eerstekamer-6.u245	That is systematic discrimination and not once an expression. Again, it is a question of whether or not the institution contradicts or takes action.
ParlaMint-NL_2017-02-21-eerstekamer-6.u246	If someone makes a terrible statement once and doesn't contradict the institution, is that flagrant or not?
ParlaMint-NL_2017-02-21-eerstekamer-6.u247	Then it's covered by another component. That was one of the questions. In any case, it is covered by discrimination. In the Lower House we discussed this very extensively. It may also be humiliating, inflammatory texts that may be uttered once, but which are so serious I am thinking of calling for a holocaust, a jihad or whatever, that they are in themselves a reason to take action.
ParlaMint-NL_2017-02-21-eerstekamer-6.u248	Let me be clear that I would also like to reject the statements that have been discussed in the House of Representatives. It's not about that. It is a question of when we find that there is discrimination or a disgusting statement that the Minister says she has to intervene. I still find the explanation of that fluid, while the judge doesn't check it out in advance. That's where my concern lies. Does the Minister himself consider that the framework on which it has to judge whether an expression is discriminatory or flagrant violation is entirely clear or will it develop?
ParlaMint-NL_2017-02-21-eerstekamer-6.u249	That will develop. I'll get back to you on that. I am trying to get even closer to the concerns and to see what solutions there are to counter the displeasure that I feel here widely, namely whether the Minister is not given too much power to make subjective judgments. One of the reasons for referring to discrimination was not to make it too big. This raises many questions here, but my answer is that this is not a part of putting Article 1 above the other fundamental rights. That always has to be weighed. That's why I made a step-by-step plan. I will go into possible ways of giving more hands and feet to that.
ParlaMint-NL_2017-02-21-eerstekamer-6.u250	The debate has taken place and my question is no longer directly in line with it. My question concerns what the Minister said earlier about denying the recognition of competence. That is exactly what is meant by this law, and that is also a good power. I don't know exactly how the minister said it anymore, but she said something like, "I'm not gonna close that, 'cause I can't. This is in fact in line with the last question in my input on the titles that can be held if you have completed a foreign education. It is not inconceivable that we should deprive a university which we believe is not in line with our ideas and which we believe is even dangerous for our society, of the recognition of degrees which apply in the Netherlands. But that is without prejudice to the fact that if the Emirates are going to fund that institution and grant them the degrees of the Emirates, the same titles, doctor and PhD, can be held here. But perhaps the Minister will come back to those questions.
ParlaMint-NL_2017-02-21-eerstekamer-6.u251	I'll come back to all the questions.
ParlaMint-NL_2017-02-21-eerstekamer-6.u252	I suggest that we give the Minister a chance to do so.
ParlaMint-NL_2017-02-21-eerstekamer-6.u253	In any event, however, that institution does not have the protection of an institution recognised within the Dutch system. This institution may have trained students elsewhere who perform the doctor's title and can then put Dr. here for their name, but at least they have not been able to train students here with study funding. In any case, they have never been able to obtain accreditation from the NVAO. There is, of course, an important difference. Mrs Martens asked whether this would also apply to funded universities, such as Groningen or Nijmegen. Yeah, that's the same thing. It applies to all funded and unpaid institutions. Mr Ganzevoort asked whether or not a theological programme should refuse female students. No, that is not allowed, but that has nothing to do with the issue of social responsibility, but above all with the accessibility of higher education. From that accessibility requirement, it is not allowed to do so now either. How do we implement this obligation now? Let me stress, as I say to Mr Schalk, that I think it is of the utmost importance that institutions have a great deal of freedom throughout education, including in higher education, in the way in which they shape the mission of social responsibility. So it's not like I'm trying to get everyone through the same mold. It is up to them whether they deal with this in a religious or secular way. I have already said that I can only look at where people really cross borders. The context must be taken into account. That is why there is not an easy judgment; there is no list to be made that we can tick off, such as: this is allowed and that is not allowed. For example, it depends on the location. Mrs Martens also asked about this: fundamental rights, the number of expressions and their intensity. I have just given the example that one expression can be so serious that you say: it is only one, but this is so completely unacceptable that we have to act here. The starting point is that the institution will no longer be able to give credibility to the mission of social responsibility. It is also bad for the whole system of higher education if such an institution would simply remain recognized by the government and from that position can continue to make discriminatory statements. Mr Schalk also asked whether the role of the judge would be not only easier but also safer. I do not think this is the case, because it is not possible to take effective action through the courts. And those procedures can also take years. If I act, the board judge can intervene. It's gonna take time, too. But that's the trias politician, and I accept it, just like all of you. There's always some delay in that. The question is how we can ensure that we get a handle to do something, understanding the role of the judge. Mr Rinnooy Kan asked what informal representatives of institutions are. That's what it's been about for a while. They are at least the members of the board, but they can also be informal representatives, for example a spokesperson for an institution that does so on behalf of a board. They could be teachers. But not just a random statement by any lecturer, but structuralally and as part of the curriculum, and also not corrected by the board. Then it could be a teacher. Mrs Mertens had a question about the private sphere. That depends, too. For example, if you make statements via Twitter or Facebook from private accounts, that is a different story than when you do it via the social media or the internet of your institution. It's all part of the game.
ParlaMint-NL_2017-02-21-eerstekamer-6.u254	The Minister speaks of Mrs Mertens, but he means Martens. This is for the Acts.
ParlaMint-NL_2017-02-21-eerstekamer-6.u255	Sorry, Mrs. Martens, indeed. So it matters by whom, in what intensity and from what location: the institution or private. Then Mr Rinnooy Kan and Mrs Martens asked what exactly will happen if there is discrimination and how that can lead to an intervention on my part.
