ParlaMint-NL_2017-06-21-tweedekamer-6.u1	President. - I call the Group of the European People's Party (Christian-Democratic Group).
ParlaMint-NL_2017-06-21-tweedekamer-6.u100	Mr. Chairman. I thank the Prime Minister for answering the questions in the usual pleasant way. I agree with the Prime Minister that it is important to keep doing business with France and with Germany, to maintain good contacts and to invest in them. It remains that a reinforced Franco-German axis is now emerging. In order not to be forced into a position with other Member States that you are really only following, I ask the Prime Minister to pursue the path taken with determination with regard to consultation with other smaller Member States. I'm filing a motion for that. I would ask the Prime Minister to regard it as a support for the policy that is now running for some time.
ParlaMint-NL_2017-06-21-tweedekamer-6.u101	You're giving a judgment in advance.
ParlaMint-NL_2017-06-21-tweedekamer-6.u102	Yes, I'd be happy to do that, to provide a framework. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas, with the departure of the United Kingdom from the European Union, the "British brake" on the European integration process is disappearing, which seems to shift power relations within the EU in favour of France and Germany;]] [[Whereas, with the planned departure of the United Kingdom from the EU, the EU will continue to pursue further European integration to the detriment of a significant part of the democratic self-government of the European Member States;]] [[calls on the Government to invest in the creation of a broad and stable front of, inter alia, northern Member States in order to provide a necessary and effective counterweight to the "French-German axis" and to ensure the best possible democratic self-government of the Member States,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Bishop. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1236]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u103	Mr. Chairman. Independence and sovereignty; that is what the Netherlands must strive for for the Dutch, our freedom and our future. A nexit is the only way to ensure that the Netherlands regains control of its own country, its own laws, its own money and its own borders, resulting in fewer immigrants and less Islam. To that end, I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Berlin, Paris and Brussels are taking advantage of the debate on the future of the European Union to take new steps towards a European superstate;]] [[whereas this movement towards greater EU integration goes completely against the convincing "no" of the Dutch people in the 2005 referendum on the European Constitution;]] [[whereas a nexit is the only way to ensure that the Netherlands becomes free and sovereign;]] [[calls on the Government to prevent the Netherlands from being messed up in a European superstate until such time,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the government to close the Dutch borders to all asylum seekers and immigrants from Islamic countries,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Maeijer and Mr Wilders. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1237]] [[This motion was tabled by Mr Maeijer and Mr Fritsma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1238]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u104	Mr President, I have three minutes left. Three minutes and twenty seconds. I thank the Prime Minister for the answers. I am waiting for the documents, but perhaps it would be a good idea for him to get involved at the European summit at some point. After all, as a parliament, we must be able to control it. Then radicalization. He calls Bosnia and Herzegovina. I understand that he does not mention Macedonia, but please do not underestimate what is happening in Kosovo at the moment. The camps that are there of ISIS supporters and the trainings that are given there are really a danger to what is happening in Europe. There are indeed all kinds of Western Balkan strategies, but they are not working for the time being. The figures relating to refugees, I really have to say, migrants coming from Libya, are appalling. We shall be discussing this again next time. It's a problem that's out of control. I hope that the pre-accession aid to Turkey will be suspended. How can we continue to tell Turkey that what is happening there is not right and they continue to pay? Before I make my two motions, I would like to make a comment on the casual remark that the Dutch Government is thinking about sovereign debt restructuring. That means you're writing off on government debt. We understand that private bond holders might have had to write more off on Greece or Portugal. Here, however, the QE program is revenged. The European central banks have bought a third and sometimes even more of the sovereign debt available from countries. When a country writes off, the problem ends up in the public sector. In the short term, we would like to receive a commitment that I am looking for information on what the government means by a sovereign debt restructuring mechanism and what its framework conditions are. I assume the Prime Minister can promise that the Minister of Finance will inform the Chamber about this. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the President of DNB concluded that the ECB's policy leads to a 5 to 10% lower coverage rate of Dutch pension funds;]] [[noting that this is EUR 70 to 140 billion, or in the order of up to €10,000 per pension participant;]] [[invites the Government to provide an official response to these figures within one month and to indicate whether it considers action to be necessary or not,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the number of deadly terrorist attacks in the Union has increased significantly;]] [[noting that there are IS camps in EU candidate countries and Europol finds that the Balkan route is still a gateway for jihad fighters to Europe;]] [[calls on the Government to indicate the EU approach adopted by the Dutch Government to achieve greater cooperation in the field of EU counter-terrorism between EU countries and with candidate countries, and to share it with the Chamber within one month,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1239]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1240]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u105	Mr. Chairman. I have a brief question about my motion.
ParlaMint-NL_2017-06-21-tweedekamer-6.u106	Which one?
ParlaMint-NL_2017-06-21-tweedekamer-6.u107	It's about the Maeijer/Wilders motion.
ParlaMint-NL_2017-06-21-tweedekamer-6.u108	That's the motion in part No. 1237.
ParlaMint-NL_2017-06-21-tweedekamer-6.u109	In the first recital, a piece of the sentence has disappeared. This should be: "whereas this move towards more EU integration goes completely against the convincing 'no' of the Dutch people in the referendum on the European Constitution in 2005.'
ParlaMint-NL_2017-06-21-tweedekamer-6.u110	I would ask you to change the motion by hand and pass it on, and we will amend the motion. I would like to thank Mr Omtzigt and give the floor to Mrs Leijten.
ParlaMint-NL_2017-06-21-tweedekamer-6.u111	Mr. Chairman. The Prime Minister is going through Europe, looking for new friends. But one thing we already know is that the French President Macron wants to complete the European monetary union further. Merkel has joined and our Prime Minister says that it is no longer necessary in the future, so I do not really have to oppose, for example, a European Minister for Finance. If the Prime Minister has all kinds of philosophies about a future in which it is no longer necessary, then I wish him every success. But it is also time to say clearly where we stand. If the Prime Minister doesn't do that, the Chamber will have to do it. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that the European Commission is not and should not become a European government;]] [[calls on the Government, now and in the future, to actively oppose the arrival of a European Minister for Finance,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-21501-20-1241]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u112	The Brexit shouldn't be a hard Brexit. That was the thrust of the previous debates. If I ask the Prime Minister what he wants with the United Kingdom and with that United Kingdom, he is vague about it. Because, he says, we should not open the door to the departure of all kinds of other countries. In other words, we should not make the future attractive for the United Kingdom, because then even more Member States would leave the European Union. I think that is a mistake. Maybe I misunderstood? Our trade surplus has gone beyond European rules for years. The Netherlands is the best boy in the class. If a country-specific recommendation on the Netherlands states that the AWBZ is too expensive, the AWBZ is immediately thrown overboard. But that trade surplus is not being dealt with. Nevertheless, this leads to higher wages in our country. That's good for our country. It is not only the SP that proposes this, but also the Netherlands Bank, the Central Planning Bureau and the International Monetary Fund and so on. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having noted that, inter alia, DNB, the CPB, the European Commission and the IMF advocated wage increases in the Netherlands;]] [[calls on the government to indicate how the call to raise wages in the Netherlands is being implemented,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-11501-20-1242]]
ParlaMint-NL_2017-06-21-tweedekamer-6.u113	I find it too easy when it is said: we are not about that. Because we have all carried out these other things well.
ParlaMint-NL_2017-06-21-tweedekamer-6.u114	Thank you. I'm suspending the meeting for two minutes. Then we'll listen to the Prime Minister's reaction to the motions.
ParlaMint-NL_2017-06-21-tweedekamer-6.u115	Mr. Chairman. The motion in part No. 1234, by Mr Van Ojik, deals with the different scenarios and how they relate to Dutch interests. I have some difficulty with this motion because it refers to the October 2017 European Council. I do not know at all whether this will be on the agenda of the October 2017 European Council. Here's what I'm gonna do? I do not want to commit to any moment now, because that moment may not have any substantive relevance because the subject is not on the agenda. In his motion, Mr Van Ojik asked the Cabinet to inform the Chamber of how the scenarios relate to Dutch interests and previously adopted positions. I promise we'll always do that. That's what I'm saying: that's what we're gonna do. But that information comes at a time when it is also relevant and needs to be addressed here. Frankly, I would like to leave it at that. If the motion is perhaps not necessary, Mr Van Ojik could withdraw it, also because I consider the timing of the European Council to be arbitrary. Otherwise, I would have to discourage the motion, while what Mr Van Ojik wants with it in substance, I am prepared to do by means of this commitment.
ParlaMint-NL_2017-06-21-tweedekamer-6.u116	Very briefly.
ParlaMint-NL_2017-06-21-tweedekamer-6.u117	That would indeed mean that I could withdraw the motion, but with the remark that it might not be for the October European Council, but at least well in time...
ParlaMint-NL_2017-06-21-tweedekamer-6.u118	Yes.
ParlaMint-NL_2017-06-21-tweedekamer-6.u119	... to be able to conduct the discussion before decisions are taken in Europe. If that's part of the commitment...
ParlaMint-NL_2017-06-21-tweedekamer-6.u120	Yes.
ParlaMint-NL_2017-06-21-tweedekamer-6.u121	...I'd like to withdraw the motion.
ParlaMint-NL_2017-06-21-tweedekamer-6.u122	Here's to it. We're passing this part of the stenogram through... no, we don't have to, because we're all there.
ParlaMint-NL_2017-06-21-tweedekamer-6.u123	Since Mr Van Ojik's motion (No) has been withdrawn, has ceased to be the subject of a debate.
ParlaMint-NL_2017-06-21-tweedekamer-6.u124	Yeah, once. Constructive. That's the way it is. I come to the Van Rooijen/Bisschop motion on part No. 1235. This is what we're doing, so the motion is really unnecessary. I agree with Mr Van Rooijen, but, also in the context of the environment, this motion must be copied and distributed again. It would be my tendency to discourage this motion, because we are all doing this with the Benelux. There's no discussion about that at all. The Bishop's motion in part No. 1236 I really dissuade, because she assumes something exactly different from the way I look at it. I'm not afraid of a Franco-German ash. We do not need to counter that. I really dissuade that motion. We're even for that Franco-German ash. We all have axes of our own. We have a Dutch-German ash and a Dutch-French ash. There's a Franco-German axis. There is a Netherlands-Benelux-V4 axis. There's a V9, or no, nine-Member State axis coming together tonight.
ParlaMint-NL_2017-06-21-tweedekamer-6.u125	Please continue.
ParlaMint-NL_2017-06-21-tweedekamer-6.u126	It's about balance. The motions on pieces No. 1237 and 1238 I would advise the motion-Omtzigt in part No. 1239. There is ongoing discussion on this issue between Mr Omtzigt and the Minister for Finance. I think he should ask this question there. I'm not gonna do this this way right now. Nor is it on the agenda of tomorrow's European Council. Then this would suddenly come out. I therefore reject the motion for a resolution. 1239. The motion for a resolution refers to part No. 1240 is support policy. So I have no objection to it, but I don't want to send a separate letter. One of my goals is always to avoid separate letters, because we still have too few civil servants to do so. I am going to find out how we are doing what is true in the motion for a resolution. 1240 to be asked, can be included in a normal report, which we do anyway. Then it gets in there. So there won't be any separate letters. I'm not gonna do that. I do not recommend the Leiten motion in part No. 1241 for the simple reason that it is completely superfluous. I've said that here three times. I'd advise against the motion, because she's unnecessary. The Leijten motion in part No. 1242 I also advise, because we have no role in it. That is up to the social partners.
ParlaMint-NL_2017-06-21-tweedekamer-6.u127	Thank you. That's how we came to the end of... we're almost at the end. Mr. Anne Mulder.
ParlaMint-NL_2017-06-21-tweedekamer-6.u128	Mr. Chairman. I suspect you are saying that we are going to vote on these motions this afternoon. I don't know if you're gonna say that?
ParlaMint-NL_2017-06-21-tweedekamer-6.u129	Yeah, that's what I was gonna do.
ParlaMint-NL_2017-06-21-tweedekamer-6.u130	My question is: is that necessary? There is no motion on the European Council tomorrow and the day after tomorrow, so we can vote on Tuesday.
ParlaMint-NL_2017-06-21-tweedekamer-6.u131	That's right. There is no motion for a resolution on this European Council.
ParlaMint-NL_2017-06-21-tweedekamer-6.u132	Yeah, but we're gonna vote today anyway. Unless you need time to think about whether or not you are going to put the motions to the vote. Mr. Omtzigt.
ParlaMint-NL_2017-06-21-tweedekamer-6.u133	Thank you for giving us the opportunity to think about this, Mr President, but we have done so in advance. I understand that the government is not writing a separate letter, but I am assuming, for the Acts, that the information will follow within two months. I will hear from the government in which report that will be, if my motion is adopted.
ParlaMint-NL_2017-06-21-tweedekamer-6.u134	Okay. Mr. Van Rooijen.
ParlaMint-NL_2017-06-21-tweedekamer-6.u135	Perhaps the Prime Minister could also give information by letter about the agreements that Italy would have made with one of the three Libyan regimes, because that was not discussed in the second term.
ParlaMint-NL_2017-06-21-tweedekamer-6.u136	The Prime Minister would certainly come back to that. Can we still do that now?
ParlaMint-NL_2017-06-21-tweedekamer-6.u137	That's the answer I just received. I hope I can find it in the pile so soon. Yeah, here it is. It concerns Italian cooperation with Libya to combat irregular migration. On 2 February, Italy and Libya concluded a MoU on cooperation to combat illegal migration. That is not contrary to the European agreements. We welcomed this at the Malta Summit as Heads of Government. Italy is implementing it. That is allowed as long as it takes place within all agreements.
ParlaMint-NL_2017-06-21-tweedekamer-6.u138	Thank you. This brings us to the end of this debate.
ParlaMint-NL_2017-06-21-tweedekamer-6.u139	I thank the Prime Minister for his answers and suspend the sitting for ten minutes. Then we'll vote.
