ParlaMint-NL_2017-07-05-tweedekamer-5.u1	I give the floor to the Minister of Finance.
ParlaMint-NL_2017-07-05-tweedekamer-5.u162	Mr. Chairman. I said it in my first term when I quoted Mr Swank of De Nederlandsche Bank: things are creepy in the Netherlands. Despite all these positive sounds, no one in the Netherlands is making a dime of progress, while the Prime Minister has said: it is time for everyone to feel it. But no one can feel it. Only this Minister of Finance. He gets a record in taxes, which is 8 billion more than expected. And yet no one gets a dime on it. In fact, pensioners, the working poor and the breadwinners are even declining. As the sun shines everywhere, it continues to rain in the living rooms. I still see Mark Rutte standing when he said, "If the economy continues to grow, the burden will go down." A budget rule has even been drawn up to achieve this. And yet no one gets a dime on it. After the summer, new rules may apply with a new coalition. But how long will the Netherlands and pensioners be fooled? I have another question about inflation. I didn't pay much attention to that in the first period. Purchasing power has fallen, as inflation has gone from 0.5% to 1.6% over nine months. There are now sounds that inflation is falling again. I wonder why inflation has gone from 0.5% to 1.6% in nine months. As if the oil price has gone up so fast or the dollar has gone down so hard! I didn't see it. That is why I wonder if this prediction of the CPB still has a topical value.
ParlaMint-NL_2017-07-05-tweedekamer-5.u163	We must make it clear to ourselves: Mr Swank of De Nederlandsche Bank. We'll remember that. I call Mr Harbers.
ParlaMint-NL_2017-07-05-tweedekamer-5.u164	Mr. Chairman. When I hear the previous speaker, I think it will be the art of giving a short summary of your speech in the first term in the second term. In my case, that means that there is still a great deal to be done. But the place where we're going to do that is at the formation table, as far as I'm concerned. As I made clear in the first period, therefore, I do not feel that I should now support all kinds of amendments which are the only ones to cover the balance. That sounds to me a little bit like: now give out just as quickly and the shelf life will come later. We've seen that before. I don't think that's the right approach.
ParlaMint-NL_2017-07-05-tweedekamer-5.u165	Yes, I see Mrs. Leijten.
ParlaMint-NL_2017-07-05-tweedekamer-5.u166	I heard Mr Harbers invite me to say something.
ParlaMint-NL_2017-07-05-tweedekamer-5.u167	Go ahead.
ParlaMint-NL_2017-07-05-tweedekamer-5.u168	Quick distribution when it comes to charities is populist and flat. It's okay. You can do it yourself. Then you do it through the cabinet and you call it important decisions. If there is no money, there must be savings, and in the same year. I see the opposition leader, at least the opposition leader of the left, Rutte, who tabled a motion of censure against the then Prime Minister Balkenende, because he was not going to cut back, immediately.
ParlaMint-NL_2017-07-05-tweedekamer-5.u169	Do you remember that?
ParlaMint-NL_2017-07-05-tweedekamer-5.u170	Yeah, I remember that. Mr Omtzigt was there at the time and Mr Tony van Dijck, by the way. Mrs. Arib was already there.
ParlaMint-NL_2017-07-05-tweedekamer-5.u171	I've been there a long time. And Mr Dijsselbloem was there.
ParlaMint-NL_2017-07-05-tweedekamer-5.u172	So at the moment when there is a shortage of money, we need to cut down on the peddle: the whip over the citizens! But if there is money: no, no, no, we have to be careful. That's exactly what the VVD does. The VVD is always looking at "how can we cut as much as possible?', Instead of "where are the problems in society and how do we ensure that we have enough together to meet the needs?" That is precisely the political debate, and that is exactly why we are not sitting at the formation table.
ParlaMint-NL_2017-07-05-tweedekamer-5.u173	And I thought it was about the basics. While Mrs Leijten was having that debate here, I was watching TV. Mrs Leijten is twisting history a little bit. We have never made all kinds of cuts in spring notes during the year. This famous motion of censure has been submitted to the general reflections on the millions note. The point was that the cabinet did not want to make the necessary cuts even before the following year. That's the orderly way of doing things. I have argued this here throughout the first period, namely that you do not do this in spring notes and that you certainly do not do it in the middle of the year, because then you will have huge implementation problems in order to get it to the good people. There are more needs than just the 800 million mentioned by Mrs Leijten. There's only one place to weigh all that against each other. Mrs Leijten mentioned the agents, but we also have teachers and all kinds of other groups in society, such as defence personnel. I can name dozens of them. Then we would be helping a few groups here in a hurry? Then I'll give you a note that tomorrow many other people will be dissatisfied again, because they haven't been helped today. Let us therefore do it right at once. Thanks to these basic principles, Mrs Leijten does not want to take part, but we are now entering into this discussion.
ParlaMint-NL_2017-07-05-tweedekamer-5.u174	It only shows that, at the moment you're in the opposition, you're quite opportunistically able to file a motion of censure if you don't agree with the policy. It's not about trust relations anymore and you name it. That which the VVD now does about every time, she used to do so herself, when she was in the opposition. So it's not about the moment you do something, it's about the political priority you give it. You argue, like the Minister of Finance, that it is so very good that something has been done for the Marechaussee at Schiphol Airport. Of course, it would have been hard to explain to all those people who went on vacation and then had to stand in line for too long. There's money for that, but we've known for years that in the countryside you don't have to call the police if there's a break-in. No political priority is given to this. What I've been trying to do today is indicate that you can help both the masters and teachers in primary school as well as the cops and keep a budget surplus and do something about the government debt, if you want. That's what's sharp on the table here. You may give any procedural reason not to, but you simply don't want it right now.
ParlaMint-NL_2017-07-05-tweedekamer-5.u175	I don't want it because there's a better place to do it. It's about weighing how you deal with the interests of all Dutch people. I had hoped that Mrs Leijten would have felt a little touched by the final words of my colleague Mr Van Weyenberg. If you yourself have an election programme in 2012 that is far from close to a budget surplus, it is very easy, once there is a budget surplus, to come here and report to the microphone to spend it. I think that you should exercise restraint to wait until there is a cabinet that is going to see how we deal with public finances in an orderly manner over the next four years and what we can and can not arrange for as many Dutch people as possible.
ParlaMint-NL_2017-07-05-tweedekamer-5.u176	A brief final remark, Mrs Leijten.
ParlaMint-NL_2017-07-05-tweedekamer-5.u177	I understand that the VVD mentions 2012 when we chose a different strategy to get the economy in order than cuts and increase burdens, which is your strategy. But it is also typical that you did not take our 2017 programme as an example, because it was clear that our fiscal policy led to more purchasing power, lower public debt and less unemployment than the VVD. Anyway, you can say "you don't take responsibility," but we do take responsibility. You don't just take responsibility in this parliament when you're in the government banks. You take responsibility by saying yes or no to anything with 150 people. You're going to say no to six proposals tomorrow. That's your responsibility.
ParlaMint-NL_2017-07-05-tweedekamer-5.u178	The strategy of the SP was exactly the same in 2012 and 2017: short-term good figures at long-term sustainability costs. The shelf life of the SP was severely reduced. Then Mrs Leijten may, in the first term, grumble that that is in 60 years' time, but she also knows that the Central Planning Bureau said that almost all of these effects occur within ten years. So it's four years of scoring and six years later on the puffy life at the expense of subsequent generations. That's not what the VVD chooses.
ParlaMint-NL_2017-07-05-tweedekamer-5.u179	Mr. Chairman.
ParlaMint-NL_2017-07-05-tweedekamer-5.u180	Mrs Leijten, you will have the floor in a moment. Mr Harbers, will you not provoke Mrs Leijten after this?
ParlaMint-NL_2017-07-05-tweedekamer-5.u181	Well, Mr. Chairman, I haven't...
ParlaMint-NL_2017-07-05-tweedekamer-5.u182	Mr President, I will not comment on what Mr Harbers is arguing about my party after this, but I would like to say something before the record. If everyone goes to the budget chapter and our party's billing, that is precisely the exception to what the Central Planning Bureau said generically about entering that sustainability, namely that it did not apply to the AOW measures that the SP had and that it had to do with the fact that they would only fall 60 years later.
ParlaMint-NL_2017-07-05-tweedekamer-5.u183	Don't respond to that, Mr. Harbers. That was a point Mrs Leijten wanted to make.
ParlaMint-NL_2017-07-05-tweedekamer-5.u184	I call on everyone to read that chapter on sustainability very carefully. For the rest, the Minister has said sensible things in line with my expectations. He has established that it is a complicated period. I did so in the first term, and that was also the conclusion of the first term. He also said that inflation and the impact on purchasing power are a given during the year and that the Spring Paper is not a purchasing power repair debate. I hope that after the summer we will be able to have that debate in the millions note. Finally, I would like to thank the Minister for his explanation, and I do not know whether it was a commitment on long-term care funds. He said that, as a political one, we can talk later about how we are going to introduce that quality framework. Once again, I have already said in the first term that this is something that the VVD also wanted and with which we have also been the farmer on. Suddenly it was there and it was also legally binding. I think it is very good to look at it in the form of benchmarking too, so that we will soon be able to know for sure that, and to check whether, that money does indeed end up in the right places, where it is also absolutely going to contribute to the increased quality that we all want. Thank you.
ParlaMint-NL_2017-07-05-tweedekamer-5.u185	Mr. Chairman. Thanks to the government for the answers. I am very curious whether this is indeed the last plenary debate with this Minister of Finance. That is a great question mark over this debate. Unfortunately, tomorrow he will not be able to attend the final act because he will be at the G20. In view of the fact that the Dutch Government can join, I can imagine that he represents the Netherlands. I've heard his exhortation. However, I would like to make a few comments on the answers. I did not get an answer to my question about the Minister for Social Affairs and Employment's intention to do anything about enforcement around thezzp law. That was one of this government's major projects. She would do something against all those who invent all kinds of constructions that don't belong tozzp'ers. We needed a new law to do that, which resulted in thousands ofzzp'ers losing assignments, but in the end zero fines have been passed in enforcement. Now I'm not about to hand out as many fines as possible, but if you have a law to enforce and you don't manage to enforce it against all those crooked clients, you're doing something wrong. I would say to Minister Asscher: if you still want to do something this summer, you should take a look at that. I wonder what the move with the ABP premiums was exactly, a few hundred million for ABP premiums that also created pay space, including in primary education. I am very curious to see why that was not in the explanatory statement, but we will soon get that explanation. I welcome the commitment that we will hear on Princess Day how the healthcare budget works. That is the biggest item in the budget. Social affairs and care are the two biggest chunks of the budget, and I have to tell you that it is sometimes quite difficult to understand how that money is being spent. I also await the answer to the question of fines. Fines have to be distributed, but the notion of "notoir" was interpreted rather sloppyly, giving people a huge amount of fines on fines. Here, too, the IRS has been flagged back by the judge. I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the General Court is currently unable to conduct a comprehensive audit of police expenditure;]] [[calls on the Government, in consultation with the General Court of Auditors, to examine how police expenditure can be placed under the extensive investigation possibilities of the General Court and to submit a proposal for this at Prinsjesdag 2017,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Omtzigt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-4]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u186	That leaves me, hopefully for the last time, to thank the Minister for Finance, also for taking good care of the treasury. He leaves a surplus, partly thanks to the policy that has been pursued here. I wish him that he wouldn't cause a small bet on that in the summer.
ParlaMint-NL_2017-07-05-tweedekamer-5.u187	Mr. Chairman. You think there's gonna be a big wish, but there's always an edge to it. But it's okay. I would like to discuss three more points, starting with the Chicken/Van Nispen amendment. That was thrown into that very large set of uncovered amendments, but I want to get rid of it. The 1.5 million for mediation is simply covered within the budget of V and J. The amendment is properly covered, as you are used to from us.
ParlaMint-NL_2017-07-05-tweedekamer-5.u188	An amendment with cover deserves, given everything that is present, a rather special consideration. That's the exception today.
ParlaMint-NL_2017-07-05-tweedekamer-5.u189	Not with us!
ParlaMint-NL_2017-07-05-tweedekamer-5.u190	It's meant to be positive. I tried to give a generous compliment...
ParlaMint-NL_2017-07-05-tweedekamer-5.u191	It was a remark with no edge.
ParlaMint-NL_2017-07-05-tweedekamer-5.u192	Mr Van Weyenberg was so on his way to the Omtzigt camp today that I am completely surprised.
ParlaMint-NL_2017-07-05-tweedekamer-5.u193	No, I like to stay at the Van Weyenberg camp.
ParlaMint-NL_2017-07-05-tweedekamer-5.u194	It's in the Acts!
ParlaMint-NL_2017-07-05-tweedekamer-5.u195	I have a question about the cover. We found an amendment by your former colleague Recourt that was once covered in exactly the same way. We wonder to what extent money that has already been used in the past is now being re-used. I note from Mr Nijboer's body language that this is not the issue, but we suddenly find exactly the same cover as the one adopted by the Recourt amendment. I thought I'd give it to you anyway.
ParlaMint-NL_2017-07-05-tweedekamer-5.u196	That may well be possible, but then you must give me the amount; I do not have all that anymore. I think it was 1.5 million once. This is another 1.5 million. If there is a budget item of 20 to 30 million, you can use it to cover that two times 1.5 million. I have two motions. The first one is addressed to the Chamber. I was satisfied with the government's response to the purchasing power picture. But as you know, this cabinet is a missionary. I think it is important, together with Mr Snels, for the Chamber to give its opinion on a balanced purchasing power picture. Whatever cabinet there is, Princess Day will need a balanced purchasing power picture for the PvdA, which also benefits low incomes, middle incomes, benefit recipients and pensioners. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that according to the purchasing power picture in the Central Economic Plan, the highest incomes are significantly higher than modal and lower incomes;]] [[noting that people with a pension or benefit are even at risk of falling back;]] [[Whereas everyone in the Netherlands should benefit from economic recovery;]] [[calls on the government, when drawing up the 2018 Millions' Note, to take measures to ensure balanced income development, with the highest incomes not improving more than the rest of the Netherlands,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Nijboer and Mr Snels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-5]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u197	I wonder why the motion is necessary, because the Minister of Finance is so extensive and passionate that it is actually a compliment that has said that a balanced purchasing power policy and salaries in primary education should be included in the Labour Party, because otherwise it will not participate.
ParlaMint-NL_2017-07-05-tweedekamer-5.u198	That's right. But it can only be that this summer we will have a new cabinet, which still wants to make the purchasing power decision at the last minute. So I would also like this missionary chamber for the coming months, in which the purchasing power decision is taking place, to make this statement in mid-August, so that a new forming coalition is also bound to it. Indeed, this Minister has promised that. That's what I said generously. The motion is not addressed to the outgoing cabinet. She's a statement from the missionary chamber that we do attach to. Otherwise we'll be back from recess or the second week of September and we'll just have to see. That's the value of this motion. She's not addressed to this outgoing minister. A verdict is requested from the missionary chamber.
ParlaMint-NL_2017-07-05-tweedekamer-5.u199	Finally, Mrs Leijten.
ParlaMint-NL_2017-07-05-tweedekamer-5.u200	Then you can just put the outgoing minister in a position where he doesn't get a mission and isn't actually allowed anymore.
ParlaMint-NL_2017-07-05-tweedekamer-5.u201	No, it's not, because this minister is standing for his signature. This is now well known and has just been changed. So I have no concern at all about the outgoing cabinet on this point. I come to my next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas in December 2016, the Chamber through the Vermue c.s. amendment EUR 10 million has been allocated to cultural institutions and companies (e.g. performing arts) which had a positive assessment but did not award an adequate subsidy;]] [[Considering that this allocation of additional resources for 2017 has not yet been made and that no financial allocation has been made for 2018;]] [[calls on the government to come up with an adequate financial solution for these institutions and companies on Princess Day,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Nijboer and Mr Snels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-6]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u202	You will understand, Mr President, that I hope for the warm support of D66, as we have always worked together on these cultural institutions in the past.
ParlaMint-NL_2017-07-05-tweedekamer-5.u203	Mr. Chairman. You make Prince's Day arrangements on Prince's Day. I had hoped that I could have welcomed Mr Nijboer and his party with the same enthusiasm in the Stadhouderskamer, the place to live up to all the ambitions for the coming period. This all feels a little gratuitous anyway. I would like to thank the Minister for the answer. Also for the clear answer that there is a mandate of 467 million for next year on the OCW budget. He has also made it clear that this amount is no longer reflected in the CPB amounts. It's good to know. The measures relating to care for the elderly mean that there is no surplus of 1.3% but rather of 1.1%. That's less than it seemed, but I'd like to end with a positive note. I will try not to stick Mr Omtzigt's edge to it. We could not have suspected at the start of this cabinet that it would succeed in getting through the crisis, with unfortunately often very painful measures in difficult times. The good steering skills of this finance minister have ensured that public finances stand in a way that I, too, had not thought possible at the time. For that, the compliment is no different than sincere.
ParlaMint-NL_2017-07-05-tweedekamer-5.u204	Mr. Chairman. Thank you for the answers. I am still waiting for an answer in the second term to the question of the extra quality in nursing care 2017 and whether the 100 million do not go up to prices and wages. That's what I'm curious about. In addition to the previous motions tabled by my colleague, Mr Nijboer, I have another motion which has been co-signed by Mr Nijboer, which deals with the education deficit policy. All for the sake of whatever cabinet there is, whatever coalition there is, the decision-making around the Millions Note. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that a new funding system has been developed for the distribution of funds for the (municipal) deficit policy, but that due to the missionary status, the State Secretary chooses to maintain the current system for 2018;]] [[Considering that this will result in a decrease in the education deficit budget in 2018 for both municipalities and primary education of around EUR 65 million, and that this will mean that municipalities and primary schools will have to cut their educational disadvantage policy next year;]] [[Whereas educational backwardness policies contribute to equal opportunities for each child;]] [[Calls on the Government, in the 2018 budget, to refrain from the planned decline in the education deficit budget,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Snels and Mr Nijboer. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-7]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u205	Mr. Chairman. Every year, the budget of everything is consolidated. If a decision is taken to obtain less gas in Groningen, posts will be pushed. This is done within the frameworks that can be money or deficit, but it can also be between posts. But when an opposition party says that there is money left in the general budget and we would like to use it to prevent the closure of police stations and to ensure that the driving times in rural areas are not too large, but that the declarations can simply be recorded in urban areas, then that is all uncovered. I think that's weird. The money is there, and the government can move it all year round, and it can do so because it is the administration of the country, but if the Chamber is a co-legislator and certainly also with budgetary law, then that is not allowed. It's probably all the same that it's common for you to blurt that out, but I'm very sorry that everything always has to be weighed up and that the moment you come with a wish, you're too early, you're too early, you're too early until you're too late. Then you can give a you-bake to a party that then tries to do something, but that's just not part of it. This is supposed to be a serious debate. You will only be master or teacher and strike for more salary, hear that everyone wants that, see in a debate that there is money left and yet hear that it is untimely to introduce it.
ParlaMint-NL_2017-07-05-tweedekamer-5.u206	I think this is a misunderstanding. It's okay. All these amendments are legal and legitimate and they all have cover. So it's not that I can't. This Minister of Finance says for his miraculous reasons that he wouldn't do it, and that's why he betrays the amendment. But you can file that and the cover is clear. Some we support and some we do not support when it comes to more money for culture. It is then the destination that determines and not the cover. So it's okay, and there's nothing going on.
ParlaMint-NL_2017-07-05-tweedekamer-5.u207	And yet here the groups of the CDA, D66, the VVD and the Labour Party are consistently talking about uncovered amendments, which is, in fact, wrong. I think you should say that anyway. Of course I know the rules on the frameworks. I spent years looking for extra resources for care if we wanted to move something. This has also been a regular success in budgets and sometimes at other times. I know how it works, but it is actually said here by all the groups that they are uncovered amendments, and that is wrong.
ParlaMint-NL_2017-07-05-tweedekamer-5.u208	That's incorrect, and it's called framing.
ParlaMint-NL_2017-07-05-tweedekamer-5.u209	Yes, indeed, that's called framing and that's why I'm using way too much of my speaking time to explain that that's bullshit. Thank you for your support. I hope there will be another moment when you can embrace the culture. I'd like to file another motion. There are aldermen who say they'd love to escort young people to work, but they can't do it with the budget. I did not include it in an amendment, because it concerns 2018. I understand the system. I am therefore going to ask whether the aldermen can be taken into account when making the budget, and I will do so in the next motion.
ParlaMint-NL_2017-07-05-tweedekamer-5.u210	Madam President. The Minister has learned from his boss, the Prime Minister, that you sometimes have to answer amendments briefly, with one word. "Disguised," in this case. Three million AOWs won't be happy about that. They have to note that the AOW has not been prosperous for decades, even in recent years. The AOW has increased by 5% over the last three years, while the national product has increased by almost 9%. I've talked about windfalls before. As a result of problems encountered by the municipalities, also following letters from the VNG, I would like to table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the provision of welfare benefits, the basis for the minimum subsistence level, is a legal task for municipalities;]] [[Considering that the macro-budget for the implementation of the assistance in 2016 has a deficit of 270 million, that 90% of the municipalities fall short of their budget for the assistance, and that ensuring the minimum subsistence level is put under pressure;]] [[Whereas there is also a tight budget in other parts of the site;]] [[calls on the current and upcoming government, in close consultation with the municipalities, to provide structural, adequate funding for these municipal tasks, such as Wsw, protection regime and special assistance,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Rooijen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-9]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u211	Finally, on behalf of my group, I would like to express my special appreciation to Mr Omtzigt for his financial policy in recent years. I know from an earlier past, from the seventies, that those lids are difficult. Mr Andriessen resigned on his own at the time. That had never happened in the Netherlands. He was given insufficient confidence by his colleagues; I will not mention any other names of that cabinet. I note, however, that the Van Agt/Wiegel cabinet returned in 1981 with a financing deficit of almost 11%. Surely that is a difference from this Minister's legacy! I may be going to talk to the Minister about these fiscal conditions again, but I will not do so at the moment because of the time.
ParlaMint-NL_2017-07-05-tweedekamer-5.u212	Mr. Chairman. I see that some of my predecessors have already thanked the Minister in detail and also said goodbye to him. Could it be that I've missed the fact that we already have a new cabinet? I thank the Minister for his reply, but I suspect we will see him again. I also see that he is more than happy to give answers, although he himself indicated that he would like to hand over the stick to his successor as soon as possible. In my first term, I spoke about the importance of raising wages, hence my next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that De Nederlandsche Bank, the Central Planning Office, the European Commission and the International Monetary Fund have recently pointed out the importance of wage increases in the Netherlands;]] [[noting that the Minister of Finance supported this call after the last Council of Ministers;]] [[calls on the government to translate these words into action as much as possible and to inform the Chamber of how it is going to do so,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-10]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u213	My next motion concerns the development of purchasing power. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[believes that after the acid, the vulnerable in our society should now share in the sweet;]] [[Whereas there is a budgetary surplus;]] [[calls on the Government to commit itself to concrete proposals for converting the estimated loss of purchasing power among benefit recipients into purchasing power growth in 2018 in preparation of purchasing power policies ahead of Prinsjesdag and to ensure that the estimated standstill in purchasing power development for low-income workers is converted into purchasing power growth in 2018,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-11]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u214	This motion is quite similar to the motion of colleagues Nijboer and Snels. Of course, they can sign with me. I'm reading my final motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that, in the spring notes, the government does provide an analysis of macroeconomic effects but does not analyse purchasing power estimates;]] [[calls on the Government to provide an analysis of purchasing power estimates in the spring notes from now on,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Azarkan. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34730-12]]
ParlaMint-NL_2017-07-05-tweedekamer-5.u215	Apart from the political objective, I think we just have a CPB piece with a purchasing power estimate. I think Mr Azarkan saw that. We deal with purchasing power once a year or does Mr Arzarkan intend to apply the whole system of the budget and purchasing power twice a year? We're doing that now with Prince's Day. I share some of his concerns, but I'm a little afraid to let Princess Day happen twice a year.
ParlaMint-NL_2017-07-05-tweedekamer-5.u216	I don't remember saying we should do that twice. I say that we do have an interim note and analysis, but that the purchasing power estimates are missing. My proposal is very simple, namely that we are going to add it to the CEP.
ParlaMint-NL_2017-07-05-tweedekamer-5.u217	I think they're already in the Central Economic Plan.
ParlaMint-NL_2017-07-05-tweedekamer-5.u218	They're already in there, I understand.
ParlaMint-NL_2017-07-05-tweedekamer-5.u219	Not from the cabinet.
ParlaMint-NL_2017-07-05-tweedekamer-5.u220	But I'd like them off the cabinet.
ParlaMint-NL_2017-07-05-tweedekamer-5.u221	The Minister can't whisper. It's called souffling. I'm gonna take a look at the minister. Is a five-minute suspension enough? That's the case.
ParlaMint-NL_2017-07-05-tweedekamer-5.u222	Mr. Chairman. There were some loose questions. I also have to say something about some of the amendments. Then I'll go into the motions. I think that's the right order. Mr. Omtzigt went into the police. A motion has also been tabled on this subject. So I shall come back to that later on in my response to that motion. Mr Omtzig's confusion over the 300 million... No, I shouldn't say that, because of course he's not confused. We have presented it confusingly. We are releasing 300 million extra, because the higher ABP premium, which is simply a matter for employers and which needs to be financed, is, of course, at the expense of the wage area. That is why we have made an additional 300 million available for the wage package. More specifically, his question was which part of it now benefits the education sectors. That's about 200 million out of 342 million. That is the exact amount we are making available. Of these, 200 million is for education. This is an additional 0.83% of the wage bill for education. This does not mean that all sectors of education are now getting an increase of 0.83%. It's not like that. At the moment, I cannot state exactly the wage area by sector. This also has to do with the fact that the impact of the increase in the ABP premium also varies from one education sector to another. This depends on the salary composition of the employee in question in education. We are talking on average about 1% of the sectors concerned. Of the 342 million, 200 million are earmarked for education. That is 0.83% extra to the wage bill for education. In there, it's also more differentiated. This additional wage space in education comes on top of the wage space in 2015 and 2016, which was again on average in the education sector, i.e. across the sectors, plus 5%. In 2015 and 2016, therefore, 5% extra wage space has already been created in education. For this year, with this 200 million for education, we are creating an additional 0.83%. Then Mr Van Dijck asked again about inflation. He said: if it is so much higher at once, what are the budgetary and purchasing power figures worth? Inflation is estimated and determined beyond our control. This estimate will, of course, become more reliable throughout the year. This year inflation is higher than Princess Day expected. That's a gift for us. Mr Omtzigt asked about the enforcement of the law by the Minister for Social Affairs and Employment. I assume he means the DBA. I don't quite understand his question. If I think badly, I understand that Mr Omtzigt believes that the DBA fines should now be issued while the cabinet has said that it is taking time, that the introduction of the DBA will have more time and that employers and stakeholders will have more time to get used to the new system. I thought the CDA supports that, too, but Mr Omtzigt apparently wants fines.
ParlaMint-NL_2017-07-05-tweedekamer-5.u223	I filed a motion together with D66 in 2016 to start with fines for people who bottle the case apert. So it's not aboutzzp'ers who have a job and maybe an hour too much work in relation to the model contract, but about those people who force dozens of people as a zzp'er to work what are actually employee relationships. That's what the law was meant for. The Secretary of State for Finance noted that it was once the aim to be able to address this category, which could not be addressed within the framework of the VAR. This would mean that the client could not be held liable and therefore no fines were still paid.
ParlaMint-NL_2017-07-05-tweedekamer-5.u224	I suggest that the Secretary of State for Finance comes back to this. He regularly sends reports and letters about the DBA Act to the Chamber and then he will discuss it. I would like to make a general comment on Mrs Leijten's amendments. She said, "It's a shame, it's not allowed. I think Mr Van Dijck is right: it can all be done. If I used the word "uncovered," then I apologize, because they are not uncovered. The cover is found in the balance, because it is at the expense of the balance. We must be careful in this. It's just not our choice. We have, of course, made a number of choices in the preparation of the Spring Paper which have a political weighting. What do you think is a political priority right now? There's also a restriction in it. We're missionary and what do you do and what don't you do? This means that we do not want these amendments to be charged to the balance at the moment. So it's okay, it's up to the Chamber, but this doesn't change my judgment. Mr Van Rooijen spoke of my boss, the Prime Minister. I had to think about that. I have never experienced him this way; that is not the right indication under state law either, but it is not Mr Rutte's leadership style either. I never thought of him as my boss. He does indeed have a skill in dissuading motions and amendments with a great gesture. I thought I could use that, too. Then I come to Mr Snels' question, which fears that the extra money for nursing homes will be spent on wage and price increases. That's not true. His reasoning is probably: because inflation is so much higher, we have already lost the money. The wage and price adjustments specific to the care take place earlier and are therefore much more limited. The prices in the care are fixed. This is happening earlier than for the other budgets. The sharp rise in inflation is not reflected one-on-one in the cost of wages and prices in healthcare. So it really isn't. The 100 million can really be used to improve quality in healthcare. I have not yet responded to the amendment on item No. 7 by Mr Azarkan. This amendment concerns the protection of prayer homes. It is a theme that is dear to the heart. There will be no vote these weeks or we will have to vote, mostly by roll call, on the security of prayer houses. It is a subject that we are also concerned about, at least we are paying full attention to the security of prayer homes. We are convinced that this can simply be done within the resources available and to the extent necessary. The coverage of the amendment is found in the balance and I do not support it. The subject is a matter of concern, but can simply be financed within regular funds. I do not recommend the amendment to item No. 7. Then there is another one on which Mr Nijboer has come back sharply. He said stop! Wait! This can't be happening. There is cover for this. It is the amendment in part No. 4 by Mrs Kuik and Mr Van Nispen. I can no longer agree with him that the funds had indeed fallen free, but have already been used differently, partly indeed for amendments tabled by the Chamber itself to the V and J budgets. At that time, some of these funds have not been used entirely, I say to Mr Van Weyenberg, and the remaining funds have now been used differently by Minister Blok. You're exactly right, so you're going to ask me exactly what the money was spent on. I would therefore like to give you a brief letter, before tomorrow's vote, from the Minister of V and J, in which he can indicate exactly how much money had been released and when and where else they were used. This means that the coverage of that amendment has been waived. You can include this in your assessment of the amendment. So I'll give you a brief letter on that. There is another outstanding question from Mr Omtzigt about a second ruling on...
ParlaMint-NL_2017-07-05-tweedekamer-5.u225	Mr. Nijboer.
ParlaMint-NL_2017-07-05-tweedekamer-5.u226	We are both a little bit at the border of the Justice budget by one and a half million, I taste it to the Minister, and that certainly applies to myself. However, it is possible for the Chamber to find that the use of the cabinet for these unforeseen resources could be better made of this use. Even if Minister Blok suggests this and says that he wants to use this post unexpectedly for these matters, it may be that the Chamber decides that mediation is more important. It seems to me that the PvdA Group deserves that opinion.
