ParlaMint-NL_2017-11-01-tweedekamer-3.u1	The Chamber is now speaking, starting with Mr Wilders on behalf of the PVV.
ParlaMint-NL_2017-11-01-tweedekamer-3.u169	We shouldn't do that! And if you don't, you won't choose safety. In my view, therefore, I have taken up the substance of Mr Buma. Mr. Chairman. I mentioned it earlier: we must also use administrative detention. Criminals of dual nationality must be taken away from the passport in criminal acts, not just in the case of terror. Why not with a murder or manslaughter or a threat or anything else? Mr. Chairman. We must promote voluntary remigration. There are 110,000 Muslims in the Netherlands who are willing to use force for their faith. I told you. The more these people quit, the better. At last, forbid the Islamic symbols. I have already tabled a thousand motions on this subject: mosques, Islamic schools, the Koran. I will also be submitting an own-initiative proposal to this effect shortly, and I hope that this can also be discussed in more detail here. The freeing of the Netherlands from Islam must therefore be our priority. Mr. Chairman. Far away from the dream world of planet Rutte there is another reality, the reality of ordinary people with sometimes major problems: the ordinary man and woman, the families of the Netherlands, the pensioners, the people who have to work hard for their money and the people who are out of work, such as the unemployed and the disabled. They've all been screwed over the last few years. They were faced with tax increase after tax increase, rent increase after rent increase, premium increase after premium increase, own risk increase after own risk increase. But it didn't stop there. And this must be said, Mr President, because that is the context of today's coalition agreement: what else did Prime Minister Rutte do in his second cabinet? He raised the VAT. He shattered the WW. He broke down the nursing homes. He cut the housekeeping. And I can go on like this for a while. Our country has been looted. And really, honestly, millions of people have been affected by that. Mr Rutte now says that the Netherlands is doing better. Then I ask him, and I think a lot of people at home are wondering: who the hell is doing better? People don't understand. Mr Rutte says he's doing better, but who's doing better? Many Dutch people are barely able to pay their bills at the moment. My colleague, Mr Agema, has said it so many times: 800,000 people, almost a million people, are in a payment scheme at their own risk, even though they are paying their premiums properly. Since the introduction of the euro, around the turn of the century, the economy in the Netherlands has grown by 20%, but the disposable income of Dutch households hardly rose. Reports on Rutte II's policy have been published by ING and the CPB. They show that a lot of economic growth has been destroyed by his policies and that it has cost hundreds of thousands of jobs. While Mr Rutte is laughing, the reality is that half the Dutch now have less than €2,000 savings, and sometimes even nothing at all. At the slightest setback, these people get into financial trouble. Mr Rutte may not be able to imagine it, but many people at home have a problem when the washing machine breaks down. That is the reality of many people. Many people also notice that they are having a harder time because their pensions have not gone along with wage developments in recent years, or have sometimes even been reduced, while pension funds are bursting with money. How the hell do you explain that? These are the common Dutch, who often fall ill after years of hard work, before they can retire at all. These are the ordinary Dutch people Mr Rutte always talks about. He seems to have forgotten them. And the people at home, who in recent years have all paid the price of his cuts, who see that asylum seekers get everything for free, that there is no waiting list for them in the care that they do not have to pay a care premium. That own risk, what's that? They don't even know what that is. And that they do get priority for social housing. That they get free physiotherapy, for which a normal Dutchman needs to be insured. That they are given free glasses and that they are reimbursed dental costs, while many Dutch people cannot afford such supplementary insurance. Those are the common Dutch. At the same time, these people see that two thirds of all welfare benefits go to immigrants today. So their money goes to hundreds of thousands of migrants, who often have it better than they do. What do you mean, discrimination? What the people in the Netherlands need now is money in the wallet. And that without getting it ripped right out. No more chatting tricks, like on the one hand reducing the loads, but on the other hand weighing the loads. The Prime Minister, who has squeezed the Dutchman in recent years, is now going to intervene again in the mortgage interest deduction. He comes with a higher VAT, from 6% to 9%, for groceries. He comes with a fly tax, with higher tobacco taxes. He abolishes the Hills Act, comes up with a higher energy bill, and so on. And the people at home see that Africa will get the Zipcodekanjer again, Mr. Chairman. More than 1 billion extra towards development aid; single journey towards bottomless well. That money, more than 1 billion, is an entire sea container full of 50 notes on top of the four and a half sea containers that have been leaving every year. They don't go to our elders. They don't go to our hardworking Dutch either. They're leaving for Africa. That's today's practice. Who at home still has faith in a prime minister who makes these kinds of choices, who cheats on Dutch people? I said it two weeks ago in an interruption and I'm doing it again. Five years ago, Prime Minister Rutte, after the previous measures on mortgage interest relief, said: "This is it. This is what we're gonna do for the next 30 years. You can now make your decisions on the basis of this tax information." What lies. What a political scam. The VVD cuts hard again in the mortgage interest deduction. Mr. Chairman. What good is a reduction in income tax if you have to pay extra VAT? What do you have to keep your own risk if your care premium with more than €300?300! - Going up? - Yeah. What's the use of a lower-level house-to-house credit when the mortgage interest relief goes down again? What good is a lower electricity bill if the total energy bill you have to pay with your family goes up? These are all magic tricks, the work of political illusionists. Nothing's what it looks like. You get something, and you lose part of it right away. This is not the Rutte III cabinet, but the Hans Klok I cabinet. That's the name it deserves. Mr. Chairman. The tax reduction that is now being introduced is therefore largely a cigar from its own box. In part, it is also previously promised money, money that has been used in the previous adjustment of the mortgage interest rate deduction, which has been brought forward. This government's policy averages a small percentage of purchasing power per year. Structurally, as we saw yesterday, the burden is even increased by more than EUR 1 billion. You're hearing it right: raised. What are those jokes? The taxes go up in one go, but we're told they're going down. People aren't getting anywhere with a constant risk of their own. They want this reduced. That's what the CDA promised. I still see Mr Buma standing: we are faced with a reduction in our own risk. Lies! No own risk reduction, the premium goes up by €300, thanks to the CDA. People want a lower bounty. People want to rent lower. Mr. Chairman. So what should we do now? Of course, the best thing would be for this cabinet to quit immediately and the coalition agreement to go through the shredder, but I have such a feeling that I am not going to get a majority for it this week. Then I would at least like to make the following four proposals which can be done. The first is: hands off the mortgage interest deduction. Keep the Hills Act in place and do not increase VAT. In short, carry out your promises, Mr Rutte. You can afford all that, too. Pay this by not reducing the tax on large companies and foreign investors by 5 billion. Therefore, do not abolish any reduction in the Vpb rates or the dividend tax. That is about the same amount as the mortgage interest deduction, the Hills Act and the VAT. My second proposal is: close the borders for asylum seekers. Close the borders for immigrants from Islamic countries. Send back the 80,000 Syrians. 80,000: imagine what a money that is. That's gonna get us billions. Use that money, for example, to eliminate your own risk, reduce the care premium and more night nurses in care. There's another big problem. My third proposal is to stop spending on development aid. It's possible. We can work that out tomorrow. With that money, 4 or 5 billion, you can bring the AOW age back to 65 years. That's the same amount. So it's neatly covered. A lot of hardworking Dutch people would have been greatly helped with that. I come to my fourth and final proposal. This cabinet also has a budget surplus of 0.5%, 4 billion euros, in 2021 but also before that. That is 4 billion tax dollars overpaid by the Dutch. Give me that money back. You can lower the rents. You can give extra money to police and defense. You can know--I--what to do with it. These are concrete proposals that now, today, when they become reality, give people extra money in their pockets. Mr President, I will conclude.
ParlaMint-NL_2017-11-01-tweedekamer-3.u170	I have another question about Mr Wilders' economic policy. He mentioned his main proposals for improvement, and I do not see the exit from the European Union. I know Wilders said the day after the Brexit: this is an historic day, this is great, this must be done by the Netherlands as soon as possible.
ParlaMint-NL_2017-11-01-tweedekamer-3.u171	Sure, sure.
ParlaMint-NL_2017-11-01-tweedekamer-3.u172	If you see what has happened since then in Britain, growth is the lowest in Europe and inflation is the highest in Europe. Does Mr Wilders know who is paying for this? Those are the ordinary British. Does he know what has happened since his statement with the support for Europe, someone who says he wants to listen to the voice of the people? This support has grown to over 70% in the Netherlands. I am thinking of all of Mr Wilders' proposals, such as closing the borders; Mr Wilders knows that this cannot be done without enormous damage to our economy, to employment, to many ordinary Dutch people. It's bullshit what he's selling here and he's not even willing to put his most important proposal into this.
ParlaMint-NL_2017-11-01-tweedekamer-3.u173	I just mentioned it. In my first part of that story, I made six or seven proposals, and my first proposal was to leave the European Union so that we can regain control over our own borders. You can read it in the Acts. I have referred to the proposal as tough, pure and clear. I still think that we should take over our own borders, our own immigration policy. That is no longer possible in the European Union. There are so many directives, from qualification directives to family reunification directives and you name it, so you can't do that anymore. I also know that it hurts in the United Kingdom in the short term now that they have decided to leave the European Union, but I also know that it will be much better in the long term. We've been looking into that, too. As PVV, we have had reports made that it indeed hurts in the first few years. That is undoubtedly true, I am not cleaning it away. The first few years, it hurts. But after that, there is more rather than less economic growth. After that, there is more employment instead of less. I can assure you that this will also happen to the United Kingdom. So we want to get out of the European Union because we want to be the boss of our own country again and we want to be the boss of our own borders again and also because we think that we as the Netherlands should be sovereign again and we believe that things will be better in the long term. The fact that I call that, even in times when not 100% of the Dutch think so, does not make that argument any less strong.
ParlaMint-NL_2017-11-01-tweedekamer-3.u174	When Mr Wilders says 'in the long term' it is about a very long term. There are ordinary Dutch people who can't wait that long, just like the British pay a price.
ParlaMint-NL_2017-11-01-tweedekamer-3.u175	Four years.
ParlaMint-NL_2017-11-01-tweedekamer-3.u176	Not within four years is economic growth in Britain at the level that could have been there without the Brexit. The Brexit hasn't even come true yet and now they're already paying a huge price. It would be much more serious for the Netherlands, and Mr Wilders knows that. He knows it, and he also knows that in his own constituency since his own historic words after the Brexit, support for EU membership has been rising. In other words, if, like the Labour Party, you want extra money for the district nurse, for the teacher and for the police officer, then the stupidest thing you can do is follow Mr Wilders' proposal. It's eyes closed instead of borders closed. It is against the interests of the Netherlands, against the interests of all those ordinary Dutch. Mr Wilders knows. That's why he just mucked it away, he doesn't want to talk about it, but it's bad for the Netherlands.
ParlaMint-NL_2017-11-01-tweedekamer-3.u177	Again, I didn't muffle anything away. I have made seven proposals on Islam and four on the economy, so there are eleven in total. The first was this proposal. Speaking of hiding away. It was proposal 1. And I stand for it: we must leave the European Union. We have nothing to say in that supranational body. Nothing at all. We depend on the whims of someone like Angela Merkel or other leaders who can be replaced tomorrow and the whole policy goes the other way again. I want the Netherlands to decide on its own house. I'm not giving my house key to a stranger either. Everyone, all people at home want to control their own homes. They won't give the key to the rest of the street. They want to be the boss in their own house, with their own front door key, and they want to decide who gets in and who doesn't. That's what we have to do with each other. Of course, we also have to live together in that street. This can also be done outside the European Union. That's what other countries show. If Switzerland, Norway and you name it can do that, with all kinds of conditions I realize that I can. We're gonna do it, and I'm gonna keep going for it. We're going to be sovereign and we're going over our own boundaries again. I told you, we looked into it. We've had it examined by Capital Economics, a very renowned agency and a winner of the Wolfson Prize, an award that economists know what it's worth. That agency said that after a number of years, indeed two or three years, the economy will only grow more. After ten years, the economy will be even 10% larger than if we had been in the European Union for 10 years. So it is a great proposal and I will continue to argue for it. It's gonna happen sooner or later, whether you like it or not.
ParlaMint-NL_2017-11-01-tweedekamer-3.u178	Finally.
ParlaMint-NL_2017-11-01-tweedekamer-3.u179	Yes, you need to control migration at European level. You'll have to make agreements together to defend yourself against terror and climate change. You will have to do that in a European context. The examples mentioned by Mr Wilders are countries which do not have a say in decision-making, but which have to comply with the rules. Mr Wilders talks about Norway's sovereignty. Norway abides by European rules, which the Netherlands participates in, and Norway does not. That is why the British are shooting in their own foot now, because they do not want to shoot in their own foot either. No, Mr Wilders, among ordinary Dutch people there is very clear awareness "yes, there must be control. Yeah, we need to be safe. But no, we're not gonna achieve that by doing it on our own. We will have to work together in Europe. We will have to earn our money in Europe." Support for membership of Europe is growing among all Dutch, including the voters at Wilders. That's got to give you some thought.
ParlaMint-NL_2017-11-01-tweedekamer-3.u180	Yes, and we continue to strongly support the departure of the Netherlands from the European Union. That doesn't mean you can't work together. You can work very well with other countries without being in a European Union. Why should there be a European Commission that no one knows and no one has chosen and which is now in charge of our immigration policy? I don't need those people at all! Why should we depend on other Heads of State or Government such as Mrs Merkel, who will be able to change their minds again tomorrow, when we, as a small country, are bumping behind them? I want us to control our own country again. That's a hell of a proposal. The time when it will lead to a great deal of support again, if only because of what I just said about immigration from Africa from 1 to 4 billion people, one billion of whom want to come this way. That's never gonna work in Europe. The Prime Minister says that this will only work in Europe. This is not going to work in Europe. We must be in charge of this ourselves in our own country, so I predict that the end of the European Union may not come tomorrow, but the day after tomorrow.
ParlaMint-NL_2017-11-01-tweedekamer-3.u181	I was thinking: it was actually quite a long sermon from Mr Wilders on what is wrong in this country and what concerns there are. But he started his contribution with the reference to the Netherlands of old, when the churches were still a lot fuller. I was actually curious whether Mr Wilders also knows what is being spent this first Wednesday in November in many Protestant churches in the Netherlands, in the past and still?
ParlaMint-NL_2017-11-01-tweedekamer-3.u182	Yeah, I'm sure. This is an important moment: the so-called Reformation. A moment when Protestantdom, I think it was exactly 500 years ago on Monday, split off because of the so-called indulgences, even though that is perhaps too big a word of Catholicism. A moment that's important to your group, I'm sure. A moment which I understand is an important historical moment for you. It is for me, too.
ParlaMint-NL_2017-11-01-tweedekamer-3.u183	It is great that Mr Wilders even remembers yesterday's reform remembrance, but time is running out. Today is again in Protestant churches the so-called Thanksday for Crop and Labour.
ParlaMint-NL_2017-11-01-tweedekamer-3.u184	Ah, okay.
ParlaMint-NL_2017-11-01-tweedekamer-3.u185	With all the worries we have, there are always beautiful, good things that we are grateful for. It seems to me that it is a nice conclusion to your contribution to bring to light what is happening in the Netherlands today that we should be grateful for and that we should hold on to.
ParlaMint-NL_2017-11-01-tweedekamer-3.u186	The most important thing perhaps is that there are fortunately a lot of Dutch people who know the truth, who know that the fable... I have used the metaphor "Mr. Rutte's planet" in my contribution in a funny way... is a different reality than theirs. Those Dutch people are not fooled by Mr Rutte, who has lied about his entire career, with promises and other things. So the positive thing is that I have faith in the power of all those Dutch people who know that what is being said is, to a large extent, nonsense and who still have faith in the future. That is why we are sitting in the benches with twenty strong men. Mr. Chairman. I'm rounding up. I know what it's like to lose your freedom. This month means a sad anniversary to me personally. I've been in security for almost 13 years now, as it's called. That means I can't move a step without security and often a bulletproof vest. For me, losing freedom is not something vague or abstract. It is the everyday reality for me. I know what Islamic hate means. I also know what freedom means. And that fact, it obliges me. It obliges me personally. It forces me to defend the freedom of the Netherlands, to prevent what happened to me thirteen years ago from happening to the whole of the Netherlands. I am telling you that there is nothing to prevent me from doing so. No death threats, no fatwa, no criminal trials, no cordon sanitation, it's not gonna stop me. I will go through with it until my last breath, regardless of the price I pay for it. The Netherlands, Madam President, is dear to me. It's the only country we have. And it's our country. I want the Netherlands to remain a free country, even if our children and grandchildren and their children are about to grow up. That is why I am constantly fighting against the Islamisation of our country. I do that for freedom. And I do that for our freedom. Thank you.
ParlaMint-NL_2017-11-01-tweedekamer-3.u187	Thank you very much, Mr Wilders. I'd like to suspend the meeting for five minutes. Then we will continue with Mr Dijkhoff's contribution.
ParlaMint-NL_2017-11-01-tweedekamer-3.u188	I now give the floor to Mr Dijkhoff, on behalf of the VVD, who, if I am right, will speak for the first time in our capacity as group chairman. You have seen how that has happened to Mr Wilders.
ParlaMint-NL_2017-11-01-tweedekamer-3.u189	Mr. Chairman. There's a coalition agreement and there's a cabinet. That was also about time, especially because Dutch people deserve it. You work your ass off, you worry about your job and your family and about the threats to our security and our values. And then you really just want politics to get started, that we Dutch defend and protect and make things a little better. And if you saw journalists interview people over the last few weeks about the coalition agreement, then the reactions were hesitant. I saw a somewhat older couple walking hand in hand across the market, who got a microphone under their noses at once. "What do you think of the coalition agreement?" "Yes, darling, what do we think?" That journalist kept asking and saying, "But everyone is getting better, you're getting better. That's nice, isn't it?" "Well, we'll see about that," said those people. People don't quite believe it yet. They don't really believe that with this coalition agreement they actually have more money left in their wallet. That we're really gonna spend more money on loving care for our elders, that you know that grandpa's not just inside a home all day, but that they're gonna take him for a walk through his old neighborhood. That there are really more cops on the street to keep the Netherlands safe. That we don't take it anymore that biker gangs, those bangy types in those leather hoops, put pressure on people to take a weed plantation in the attic. And that education, which is so important for a good start for our children, is going to get quite a boost. That we are also seriously working to pass our country on fresh and sustainable to our children and grandchildren, so that they can smell real grass later in the park with their children and not have to buy the energy from Putin's successor. And that there is also a considerable amount of money going to defense because it is necessary for our security. That we can pick up some jihadists up over the desert and, if necessary, throw a bomb on them. That our soldiers in other countries guard the peace, to prevent the hell from breaking out there, a lot of people dying and hordes of people having to leave their country as refugees. Because unfortunately, there are crazy leaders in the world who measure their ego by the size of a rocket. And there are still fools everywhere in the world who want to blow us up in the name of Allah, who want to destroy our freedoms and values. They're not gonna make it. We'll beat them, but we're not there yet. Madam President. The lack of confidence in politics that exists seems to be hard to reconcile when you look at how well things are going in our country. We take care of everyone, everyone can go to the same, good schools, and everyone gets the same, good care. I think 90% of the world's population would give up anything to live here. We just live in one of the most beautiful countries in the world. And yet, when you listen to people, they don't always feel that way. And how we all conduct politics here also plays a role. It's too easy to shrug our shoulders on that. I therefore hope that this coalition agreement will be a basis for wider cooperation, that parties will not reject it unread simply because it can, and that we will have the opportunity to do the good things together for all Dutch people. That we do what they have chosen us to do: to protect the Netherlands and our freedoms, make things better. Because our job here is bigger than our own. This room is full of people who work hard and make long days to bring their ideals closer. Those, such as Mr Hiddema, give up a comfortable position in society for an uncertain existence in politics. Those risks, or in the case of Mr Wilders, must even accept danger for their own lives in order to continue to say what they believe in. Those, like Mr Roemer and his SP, always build from the street and on a plan not based on the average effect but on the ones hit hardest.
ParlaMint-NL_2017-11-01-tweedekamer-3.u190	I would like to refer to Mr Dijkhoff's comment on the lack of confidence in politics. Does Mr Dijkhoff not agree with me that, if The Hague does not take account of the results of referendums, such as the 2005 European Constitution on Ukraine, I can continue to be a little more ashamed of confidence in politics?
ParlaMint-NL_2017-11-01-tweedekamer-3.u191	I don't think it's wise to have a mix of representative democracy, where people say, "I vote for you; go ahead for us," and referenda, where you always ask a very limited question. I think that this combination is a recipe for mistrust and that you have to make a clear choice: either a parliament that does very little with many referendums, or, as is our tradition, a parliament that weighs all interests, seeks the solution that most Dutch people can agree with and then makes a decision, without referenda. The latter seems to me to be the wisest thing to do.
ParlaMint-NL_2017-11-01-tweedekamer-3.u192	This is evidence of an enormous arrogance. If you look at how many people are trying to get subjects on the Chamber's agenda through petitions and to ensure that referendums are written out, among other things about the drag law... that referendum is likely to take place during the municipal elections........................................................................................................................................................ Does the VVD have their backs on these people? Or does she think: because there is a gap between politics and the citizen, it is important to see how we can broaden democracy, make people more involved and give us much more support for everything we do here?
ParlaMint-NL_2017-11-01-tweedekamer-3.u193	It is above all a sign of respect for tradition in our democracy. In it, you don't look binary at half plus one, but at everyone's interests. Those interests weigh with you. Suppose you ask one day: do you want the government to do as little as possible and that you have as much privacy as possible? Then a lot of people will say yes. Suppose the next day you ask: do you want our services to have the ability to be effective and keep us safe? Then a lot of people will say yes. So you don't have to choose between doing everything or doing nothing. Then you need to find a mix with a law, in this case an anti-terror law, with the possibilities for our services to keep us safe but the safeguards in it to protect our privacy. Such a thing comes about in a negotiated democracy, as we have it. I'd like to cherish it. In the state of California, they've worked with referenda for a long time, but they didn't like it. I am a fan of our negotiated democracy, in which you take others into account and not just ask yes-no questions.
ParlaMint-NL_2017-11-01-tweedekamer-3.u194	It's obvious. Mr Dijkhoff said at the beginning of his reply that he respected tradition in particular. We also know the VVD as a party that stands for the power of the individual and believes that the individual can also make good choices. Do I hear Mr Dijkhoff say here that the citizen is not really very good at judging whether or not a particular law should be passed? In fact, the elitist comes up here, as of: we can better decide that for you.
ParlaMint-NL_2017-11-01-tweedekamer-3.u195	Mrs Thieme hears that only herself and not me.
ParlaMint-NL_2017-11-01-tweedekamer-3.u196	Those who have listened carefully to Mr Dijkhoff heard him say: one time the citizen's sister thinks about privacy and the other time the citizen thinks about privacy; we cannot conduct a policy there, so we want to decide it ourselves. That is what Mr Dijkhoff said. I'd really like him to go into that.
ParlaMint-NL_2017-11-01-tweedekamer-3.u197	What I want to point out is that I find referenda a very bad way to shape decision-making models. That goes for me personally, too. I am nothing more or less than an average Dutchman. For me, a referendum is also a very bad model to decide my choice, because every night I feel like eating fat. But when I think about how to make a good compromise in my life, I come up with: healthy eating and occasionally snacking. You have to weigh all those interests. It may be an absurd example, but that's how it works. It's just really bad...
ParlaMint-NL_2017-11-01-tweedekamer-3.u198	They do Netflixes in the VVD all the time, don't they?
ParlaMint-NL_2017-11-01-tweedekamer-3.u199	No, no, no, Mr Baudet. You didn't have the floor.
ParlaMint-NL_2017-11-01-tweedekamer-3.u200	I saw you coming, Mr Baudet, so I thought I'd beat you to it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u201	First of all, I would like to take this opportunity to congratulate Mr Dijkhoff on his group presidency. It's a nice job; I can give you that in advance. I wish you a great deal of wisdom and, above all, a great deal of strength. I like the tone you started. You've already got it. You reach out to the opposition, in the sense of: come forward with proposals, then we can see if we can perhaps come together to improve policy. I'd like to pick up that glove. We have made quite a few proposals with three parties. So I would also like to check to what extent they are not just words, but also actions. Could we talk to you about, for example, removing the discount on Wajong benefit for the most vulnerable young people who arrive hard, or the discount on community care that has been so much to do? For example, we pay this out of the dividend distribution for foreign investors, foreign shareholders. Could we do business like this today, or are they just empty words?
ParlaMint-NL_2017-11-01-tweedekamer-3.u202	I'd like to do business, but I'd like to look at the whole problem, not just a particle that's enlarged. If we look at the Wajong, I can see how it sounds. We're just saying, you can hire young disabled people for a salary below the minimum wage. That sounds like a cutback, but what we're trying to achieve is that those people have jobs, that you see someone like that, a Wajanger, standing in a booth when you're on the market. So he's got a job. The market merchant can afford that because he doesn't have to pay the full price. If the Wajanger then has too little, then the municipality can add up. What we are also doing for those for whom this situation is not feasible is setting up 20,000 additional sheltered workplaces. Is that a bad way of dealing with these people for Mr. Roemer? We want to do this in a different way than we have already done, to encourage people, to give people a chance in ordinary work traffic, so that we can see them again. In addition, we set up extra sheltered workplaces. Is that such a bad plan when you look at the whole picture?
ParlaMint-NL_2017-11-01-tweedekamer-3.u203	On the other you don't even go in, but these vulnerable youngsters you just catch. The cabinet is not there for those young people. The cabinet has radiated that everyone is making progress, but that doesn't apply to Wajangers. Work must be rewarding. Why don't we get that for you? If people with disabilities go to work, they can get paid under the statutory minimum wage. Performance by output doesn't mean that you're paid according to wealth, because you're going to work below the statutory minimum wage. So, what do you say we do that together? Mr Dijkhoff does not want to deal with the discount on community nursing. The same goes for the Wajong. Just now it was about the referendum. He doesn't want to. Will we then ban people from being paid under the statutory minimum wage if they simply work according to their assets?
ParlaMint-NL_2017-11-01-tweedekamer-3.u204	I did not go into those other examples because I was afraid to get blamed for having another long answer. However, I would like to peel these things off one by one. That is not a problem, but I would like to outline the whole picture before we discuss what is or is not desirable. I'll be back on the Wajong. If you hire someone with a disability, who is therefore less productive than anyone else who could fill that job, then you can say that you have to pay someone the full price. I think I can say something for that in principle, but the practice will be that an SME who is already having a hard time says, "I'm sorry, I'm gonna let him walk. If you can hire someone who only pays you for what he delivers, while the rest can be pushed through the municipality, then that Wajanger has a job, wherever we see him, the employer has someone employed, and the municipality can possibly supplement something. In this way we are making another attempt, given the previous system of subsidies which did not produce the result we wanted.
ParlaMint-NL_2017-11-01-tweedekamer-3.u205	In this way, you release the legal minimum wage, but that means that, if people perform according to their ability, people with a disability at all, the assistance becomes the new legal minimum wage. I am trying to peel off what Mr Dijkhoff tried in his beautiful opening, namely to reach out, but whether it is the care, the referendum, the Wajangers, or working under the minimum wage, for everything he comes up with a story of: no, we can't do that, we are not going to do that. What are your words worth now? You are trying to do a hand-out, but with the first of the best proposals, which do not cost so much money, you are immediately in a cramping position: we are not going to do that, we know better and we are going to go through with it.
ParlaMint-NL_2017-11-01-tweedekamer-3.u206	This is a bit of a shame, because if Mr Roemer himself had told the whole story, I could have just responded to the choices. By telling me just a little bit, he forces me first to defend the policy that I also approve and advocate, and then to start talking about possible adjustments. That's what we do here all the time: blotting out the other part of a point. If Mr Roemer says that we are doing something scandalous again, I must, of course, start by explaining that I do not think it is scandalous. Otherwise, I wouldn't have signed up for it. Should I say here: well, Mr Roemer is right, I haven't been paying attention? Of course, I'm defending what we stand for, but after that, I'd like to look at the effects. Does it lead to what we're aiming at, which is that those people have jobs that they wouldn't otherwise have? If all these people are going to earn less in one go while they already had a job, then I agreed with Mr Roemer that it only has bad effects. Take care of the neighborhood. There is no provision in the coalition agreement for cuts to be made. That's where more money goes next year and the next year more money goes there again. It does say that we want to slow down this huge increase in healthcare costs. We did the same with the previous cabinet. You want to conclude broad agreements so that the quality of care is good, but we all in society do not pay too much; that it lingers somewhere in between. For that you have an objective, for which the CPB has calculated. That's where the $100 million came from. I want the Minister to be given the room to conduct these negotiations, and that has yet to begin so that we can provide that good care. But that is not a cut-off of: if it is at the expense of quality, do it anyway.
ParlaMint-NL_2017-11-01-tweedekamer-3.u207	Really rounding up, Mr. Roemer.
ParlaMint-NL_2017-11-01-tweedekamer-3.u208	Mr President, concluding. Look, from day one, the Cabinet has been trying to figure out where to co-operate in the Chamber. It is well aware that 76 seats here and one seat are more across the street but a very limited margin. I want to pick up that glove. Yes, we are prepared to see where we can improve proposals, to think and join in. But there's got to be something to come back for. If the cabinet suggests that everyone is making progress, while in practice we see that the most vulnerable do not and that the people with the highest incomes are making the most progress in euros, then it is quite logical that we should say: come in our direction to see where we can help the most vulnerable. Four or five examples have passed by here. On everything it is immediately: no, njet, we defend our position. It must have come a long way!
ParlaMint-NL_2017-11-01-tweedekamer-3.u209	Mr President, it is not a no, but the image that Mr Roemer gives me is that he wants me to pay something first, and then he can talk. I recently negotiated with the trade unions; even they didn't. Of course I want to look at the problem and how you handle it. I want to look at the quality, as I just said, in the years to come, but now as a kind of symbol I have to turn in something, while I am not convinced that the Netherlands is getting better, to prove that I am working together... Then I'm gonna cut the Dutch too.
ParlaMint-NL_2017-11-01-tweedekamer-3.u210	I hear Mr Dijkhoff talking about rising healthcare costs, but why do I not hear him talk about tackling the VVD cartel with the health insurance companies, where all those former VVDs are waving off to? Hans Wiegel was chairman of the health insurance company. Edith Schippers' husband was an advisor to the health insurance company. Jan Driessen, consultant to Mark Rutte, is in the care and insurance world and now Henk Kamp has also got a job in the care world. Why can't I hear him about that?
ParlaMint-NL_2017-11-01-tweedekamer-3.u211	Yes, Mr President, Mr Baudet will never hear me talk about things that do not exist in the coming years, so neither will I.
ParlaMint-NL_2017-11-01-tweedekamer-3.u212	You see it happening, you see that one VVD person after another goes from the Chamber or from the Cabinet to the care world. You can also see that the spokesperson care on behalf of the VVD comes from the care world, from the health insurance world, here in the Lower House. This is a cartel. It is a closed world, in which people keep each other's hands above their heads and in which bureaucracy is not being tackled, but is only getting bigger. That is the underlying problem that needs to be addressed and it is really incredible that the new chairman of the political group on the first day that he is standing here says that it does not exist.
ParlaMint-NL_2017-11-01-tweedekamer-3.u213	Yes, chairman, what you see is that drivers run and if they're good at something, they end up in another place. I understand that Mr Baudet is making something of that. I even understand that many Dutch people sometimes think: gosh, we first saw that name there, and now we see him there, but that of course makes a lot of social sense. People who hold a top position at a bank have often worked at a bank before, it just isn't in the newspaper. People who come to PSV in the first place don't come running off the hockey field either...
ParlaMint-NL_2017-11-01-tweedekamer-3.u214	... but have first gained experience in a lower team. So that people who are good at something in that sector are appreciated and that is why they are being fought, yes, I find that quite logical.
ParlaMint-NL_2017-11-01-tweedekamer-3.u215	This is the most interesting defense of conflict of interest I've ever heard. I have another point...
ParlaMint-NL_2017-11-01-tweedekamer-3.u216	I'm glad to receive so much support from the Chamber. Mr Dijkhoff says that he does not believe in direct democracy, and he adds: if I could choose freely every day, I would snack every night and watch Netflix. By this he means to say that the Dutch people and the citizens in the Netherlands are not well able to take care of themselves. That's the implication. The implication is: if we leave it to the people themselves, they're gonna be snacking and watching TV all day; they can't. That is a very arrogant thought that does not convince me and does not convince most people in the Netherlands. Since the 1970s, there has been a solid majority of almost two thirds of the population of people who want more influence. I get it. I can see why Mr Dijkhoff is doing so, and I am happy to get his response because, under his reign, the time he was Secretary of State, 333,211 non-Western immigrants have come to the Netherlands. That number of 333.211 is as large as the population of the city of Utrecht. Hardly anyone in the Netherlands supports that policy. Hardly anyone in the Netherlands would have wanted that and would have voted for it if it had been put forward in a clear referendum question. The only reason that the VVD gets away with it and is still the biggest party, is because in the run-up to the elections so much unrest and diffusion has been created that people thought: well, with all the riots in Rotterdam and all the other things, we vote VVD again. You wouldn't have got away with it, Mr Dijkhoff.
