ParlaMint-NL_2017-09-07-tweedekamer-3.u1	I would like to welcome everyone, and in particular the Minister for Economic Affairs.
ParlaMint-NL_2017-09-07-tweedekamer-3.u120	That was in ten seconds! Now the second one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in 2016 only a minority of Dutch municipalities bought sustainable electricity, despite the agreement with the Empire to buy fully sustainable electricity from 2015 onwards;]] [[calls on the government to take stock of the energy purchasing policy of municipalities in 2017 and to appeal to the remaining municipalities to fail to comply with the agreement to purchase fully renewable energy from 2015,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that ABP invested EUR 2 billion more in the fossil energy industry in 2016 than the year before;]] [[noting that this does not reflect the intention of the ABP to be a fully sustainable pension fund by 2020;]] [[calls on the Government to make an urgent call for the ABP's investment portfolio to be sustainable,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that a large proportion of the SDE+ funds are spent on the production of biogas from animal manure;]] [[noting that manure production is a major waste of energy while fermentation itself produces very little energy;]] [[calls on the government to adapt the SDE+ scheme so that manure digesters are no longer eligible for subsidies and the funds released can be spent, inter alia, on (innovation in) wind energy,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Wassenberg, Mr Van der Lee and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-266]] [[This motion was tabled by Mr Wassenberg and Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-267]] [[This motion was tabled by Mr Wassenberg and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-268]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u121	Thank you.
ParlaMint-NL_2017-09-07-tweedekamer-3.u122	I give the floor to Mr Van der Lee. He speaks for GroenLinks.
ParlaMint-NL_2017-09-07-tweedekamer-3.u123	Thank you very much, Mr President, and through you also my thanks to the Minister for his reply. I'll stick to filing the next two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas Eneco is the largest producer of renewable energy in the Netherlands and thus plays an important role for our energy system;]] [[Having regard to the opinion of the Economic and Social Committee, 86f Electricity Act does not provide a sufficient basis for the Minister to assess all consequences for Eneco's vital functions in the event of a takeover;]] [[calls on the Cabinet to examine whether vital sector features and public interests in energy companies require a legal protection structure to prevent a threat of unwanted takeover,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Lee, Mr Beckerman and Mr Wassenberg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-269]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u124	My second motion is as follows. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that all SDE+ criteria applicable to biomass directly extracted from the forest (so-called primary residues) should also apply to secondary residues (snails);]] [[Calls on the Government not to award SDE+ subsidies for biomass for the time being until secondary residue users can make it clear that they can meet these criteria,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Lee, Mr Wassenberg and Mr Beckerman. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-270]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u125	Thank you, Mr. Chairman. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the share of renewable energy in the Netherlands is still far too low;]] [[noting that Eneco of the large energy companies is the most sustainable;]] [[Whereas the sale of Eneco could seriously complicate the achievement of climate targets;]] [[calls on the government to enter into consultations with the municipalities concerned with the aim of achieving a long-term sustainable vision with Eneco, which is good for the various municipalities and for the Netherlands, and not to take irreversible steps until then,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Beckerman and Mr Van der Lee. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-271]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u126	Mr. Chairman. We just had a debate on what is true. One thing is certain: this cabinet is raising the tax on energy enormously, and that seems to continue in the coming years under unchanged policies. We think this is undesirable; we want to reduce the tax and not increase it as this Minister does. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas an increasing proportion of our energy account consists of taxes and charges;]] [[Whereas more and more people are struggling to pay their energy bills;]] [[calls on the incoming government not to increase energy taxes and charges for Dutch households and companies further in the coming cabinet period,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-272]]
ParlaMint-NL_2017-09-07-tweedekamer-3.u127	Mr. Chairman. I am still waiting for Mr Madlener's motion, but I shall begin. Mrs Beckerman spoke about an article in the Electricity Act, namely Article 89. This article no longer exists, my staff have informed me. It has been replaced by Article 86f, in this case. Article 86f deals with the control of a production plant to be reported to me. In the case of such a notification of a production plant, for reasons of public security, security of supply and security of supply, I can refuse the change that is taking place there. So it's not about selling shares by a municipality, Eneco shares, to anyone. It is a question of controlling a production plant. I have already said how I see it, but I intend to send a written response to the Chamber separately on this point, so that there can be no ambiguity. I come to the first motion, the Wassenberg motion c.s. in piece No. 265, which calls on the government to encourage the use of roofs of municipal buildings for the production of solar energy. There are plenty of incentive schemes. There is a great deal of consultation between governments to keep each other focused on solar and other forms of renewable energy generation. There is really no need for me to encourage the municipalities in this further, on the basis of a motion for a resolution. Moreover, I also think that this is an understatement of what is happening in the municipal councils. There they are just as interested in renewable energy as here in the Chamber. That is why I advise against the motion in part No. 265. In the Wassenberg c.s. motion in piece No. 266 is asked the government to take stock of the energy purchasing policy of municipalities in 2017 and to appeal to remaining municipalities to fail to comply with the agreement to purchase fully renewable energy from 2015. I will leave in the middle of what is being provided with factual information, namely that there would be an agreement to purchase completely renewable energy from 2015 onwards, but I am willing to take stock of the current situation and how it relates to any agreements made. If I may read the motion in that way, I shall leave the judgment on the motion in part No. 266 to the Chamber.
ParlaMint-NL_2017-09-07-tweedekamer-3.u128	Thank you. One clarification: it was about sustainable purchasing, not specifically about renewable energy, but of course it is part of sustainable purchasing. If the Minister agrees to this, I'll hold the motion for a while.
ParlaMint-NL_2017-09-07-tweedekamer-3.u129	Thank you. I'll come to the motion in part No. 267. It calls on the government to make an urgent appeal to...
ParlaMint-NL_2017-09-07-tweedekamer-3.u130	Before you go any further, here's what I'm gonna do.
ParlaMint-NL_2017-09-07-tweedekamer-3.u131	In the motion in part No. 267 states that the government must make an urgent appeal to make ABP's investment portfolio more sustainable. I think that the ABP has a very well-considered investment portfolio and that it also takes into account desirable developments in the future, such as sustainability. The first challenge for the pension fund is, of course, to ensure that employees' pensions can remain at a good level. That's a big job already. I also know that ABP is already paying attention to the subject of sustainability. Within the way ABP is acting now, I really do not see any role for the government to come up with an urgent appeal. That is why I advise against the motion in part No. 267. In the motion in part No. 268 by Mr Wassenberg and Mrs Beckerman, the government is invited to adapt the SDE+ scheme so that manure digesters are no longer eligible for subsidies. That is contrary to the policy of the cabinet. The government's policy is to encourage manure fermentation. We are also very happy that FrieslandCampina has come up with a plan with us to realize 1,000 manure fermentation plants. We believe that the agricultural sector in the Netherlands is a fact. Given this agricultural sector, we need to look at how we can control the environmental impact and influence it positively. We believe that the fog fermentation, which also produces renewable energy, is valuable in this respect. That's why I'm not prepared to do what's in that motion. The motion in part No. Two hundred and eighty-six, I'm not sure. In the motion in part No. 269 is asked by the Cabinet to examine whether vital sector features and public interests in energy companies require a legal protection structure to prevent a threat of unwanted takeover. It's obvious it's about Eneco. I do not believe that this takeover is undesirable. I believe that it is up to the municipalities to decide for themselves. I believe that the whole set of rules and agreements in force in our country is quite sufficient. That's why I'm not prepared to do what's in the motion. I therefore advise against this motion. In the motion in part No. Mr Van der Lee c.s. asked the government not to pay any more subsidies for biomass. I can't do that. I have already made commitments for nearly 25 petajoules of biomass. That means I've made a commitment. Companies are now investing for that. At the moment when they supply electricity produced partly from biomass rather than only from coal, we consider it desirable. We have made subsidies for this. I want to keep those promises. I want to be a reliable government. Hence the motion in part No. 270 is also dissuaded.
ParlaMint-NL_2017-09-07-tweedekamer-3.u132	I would like to ask a question about the motion in part No. 269. I understand your position, but we have debated in another context the protection of unwanted takeovers in other sectors, including vital sectors. Can the House expect that the debate on energy production will continue, for example in the light of the recent PBL report, which points to the vulnerability of our energy sector to, for example, digital attacks?
ParlaMint-NL_2017-09-07-tweedekamer-3.u133	We can have a whole debate on digital attacks. That is a point which Mr Van der Lee is quite right to make. If we digitize our energy production and distribution, it has very great advantages. Electricity is produced in many different places nowadays and gas is supplied in more and more places. In order to be able to control that whole process, it is absolutely essential that we digitize the matter. But if you've digitized everything, then you're also vulnerable to hacking. These risks are very real; it is true what Mr Van der Lee says. That is why there is intensive discussion in the cabinet. There will be even more talk with the energy companies, if necessary, than is currently the case. This subject will need the attention that Mr Van der Lee is asking for in the near future, but it is not the case that my judgement on the motion will change. I'm gonna keep dissuading that motion.
ParlaMint-NL_2017-09-07-tweedekamer-3.u134	But there may be a possibility that, for example, a Chinese state-owned company will buy Eneco, while we will work on a digitized network in the future. Isn't it important that the government has the ability to prevent that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u135	The government is investigating vulnerabilities in all sectors for which this is relevant. If there are vulnerabilities, then it is certainly a possibility for us to come up with rules. We did that for telecommunications. As far as energy is concerned, it is not the case that I am currently recognising current risks. The problem is more in the vulnerability of systems. If we believe that this vulnerability is a real threat, it is possible to establish rules to remove that threat. I do not therefore believe that it is necessary to depart from my opinion on the motion, which I do not recommend. The motion in part No. 271 by Mrs Beckerman and Mr Van der Lee ask the government to consult the municipalities, with the aim of achieving a long-term sustainable vision. I have just said that I am not going to consult with municipalities on a sustainable long-term vision that is already there. There's no point, of course. The motion in part No. 271, I'm guessing. I feel like I'm making the motion in part no. 272 not yet have. Can I still have that?
ParlaMint-NL_2017-09-07-tweedekamer-3.u136	Mr Madlener is not allowed to walk to the Minister at all, but he is going to bring the motion now. He didn't hear all that, but he can't. It's kind of nice.
ParlaMint-NL_2017-09-07-tweedekamer-3.u137	Through you, Mr President, I would like to thank Mr Madlener for presenting his motion asking the government not to increase energy taxes and taxes further. He also said a lot of other things about energy taxes. I have already made it clear that between 2005 and 2020, energy taxes and the ODE, for storage, amount to €0 to €162. In the year 2020, that will be 10% of the total energy bill that the average Dutch household will pay. At the moment, this is much lower, i.e. 3% to 4% of the energy bill that is being paid. So I think we do not have a problem here that needs to be solved. I have already explained why the storage of renewable energy is there and why it is very desirable. Maybe it's a good idea for me to take a look at the environment in three countries next to each other: the Netherlands, Belgium and Germany. What are consumers now paying for electricity in the Netherlands, after everything we have done to simulate renewable energy? Currently, consumers in the Netherlands pay 20 cents per kWh, in Belgium they pay 24 cents per kWh and in Germany they pay 30 cents per kWh. So the picture is really very different from what Mr Madlener is trying to sketch. That's why I'm moving his motion in part No. 272, also having regard to the operative part,
ParlaMint-NL_2017-09-07-tweedekamer-3.u138	That concludes this debate. We shall be voting on the motions tabled next Tuesday.
