ParlaMint-NL_2017-06-08-tweedekamer-5.u1	I welcome the Secretary of State for Economic Affairs and give the floor to Mrs Ouwehand.
ParlaMint-NL_2017-06-08-tweedekamer-5.u132	In this process I finally get official advice from the Ctgb. That is for me the party that makes the assessment. In addition, there are other interested parties who can express their views on this issue. It is part of an administrative balance that they are all taken into account, but ultimately it is the Ctgb that assesses what the Commission is putting on the table and advises on it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u133	The Secretary of State states that he assumes that the European institutions account for the Monsanto Papers, or at least the information that has emerged. However, my question, which I asked earlier, was whether his ministry itself looked at the Monsanto Papers and the traces of influence on the European admission process.
ParlaMint-NL_2017-06-08-tweedekamer-5.u134	Of course. They were all public, so we looked them all up. You can count on it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u135	Does this not mean that the conclusions of the institutions, which the European Commission has also indicated that there may be some way to go, may not be absolute?
ParlaMint-NL_2017-06-08-tweedekamer-5.u136	I'm just trying to understand your question. What do you mean, "not absolute"?
ParlaMint-NL_2017-06-08-tweedekamer-5.u137	The proposal that may be put forward and on which you do not yet want to make a ruling on the ten-year extension will then be based on the rulings of institutions such as EFSA. My question is whether the findings surrounding the Monsanto Papers make any difference to you.
ParlaMint-NL_2017-06-08-tweedekamer-5.u138	EFSA has now made a statement on the way it looks at the Monsanto Papers. It indicated that they could not change EFSA's opinion in any way. That is the opinion of EFSA. That is very important and very important. However, the European Commission is a political body, and I have already said that what has emerged in the US naturally gives rise to the confidence that you can have in the applicant parties in this matter. In this whole process, it is essential that it does not just lead to an assessment of the authorisation. We must also be able to be confident that it is all right if such a substance has been assessed, if it is to be used safely and if it is allowed. Everything that has happened here has, of course, affected that confidence, not in the process we are following, but in what Monsanto has provided in the US. I think it is right that the European Commission should also be aware of this. I assume that the European Commission will do the same and that the European Commission will respond to what is on the table. I just want to see what the European Commission is doing with this before I give a further assessment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u139	I just feel like you've already answered a lot of things.
ParlaMint-NL_2017-06-08-tweedekamer-5.u140	I think so, too. I had a few specific questions. They were, for example, about the use of fertilizers outside agriculture. Several Members have asked questions about this. I thought it was known to those members that Secretary of State Dijksma was concerned with its territory, as Secretary of State of I and M................................................................................................................................................................................................................................................ That's what she told the Chamber. This means that she tries to reduce the use by individuals by a different route, through green deals, as much as possible. I have already said something about the green biologicals. Mr Futselaar still asked about the municipality of Amersfoort, which is used for the fight against a thousand knots. That too is actually the responsibility of the Secretary of State of I and M. There is an exception to the ban on non-private farmers for the use of plant protection products on hardening. That exception concerns the fight against a thousand knots. So it's okay, but it has to be selective and place-by-place. There is therefore no basis for me or for the Secretary of State of I and M to address the municipality of Amersfoort.
ParlaMint-NL_2017-06-08-tweedekamer-5.u141	I see a number of people want to interrupt. Can we wait for the answers or do you want to go into this point?
ParlaMint-NL_2017-06-08-tweedekamer-5.u142	Briefly about private use. That is a responsibility of the Secretary of State for I and M, but it is a responsibility of the people of the country that we are talking about today. It is a very risky means, that may be clear. We don't want to stop the sale. It's been discussed for a long time. When I click the Internet, the pop-up will splash off the screen. I do not see any improvement on this point.
ParlaMint-NL_2017-06-08-tweedekamer-5.u143	Would you like to ask a question?
ParlaMint-NL_2017-06-08-tweedekamer-5.u144	We've been talking about it for a long time. My question is, where's the green deal? When are we going to see results in the sense that sales are actually falling and that alternatives are being used?
ParlaMint-NL_2017-06-08-tweedekamer-5.u145	Luckily, I never have that, when I click the Internet open,..................................................................................................................................................... I think Mrs Dik should discuss this question with Secretary of State Dijksma anyway. It is good, given the way in which it tries to reduce the use by individuals as much as possible. Mrs Dik is asking me what progress has been made on the portfolio of my colleagues. She really needs to ask her that question. Mrs Dik asked how I deal with the greening of plant protection. I'd like to answer that question. She asked: is this already being discussed with the sector? This has been discussed in detail with the sector. We also started some pilots. We have shown exactly where the problems lie and why greening does not go faster. Work is now under way in good consultation on possible solutions. So we are trying to take joint steps to ensure that these green resources are put on the market more quickly. She also asked me to respond immediately to last year's NVWA survey on compliance by municipalities and greeners. That is also the portfolio of Secretary of State Dijksma. It will send a report to the Chamber.
ParlaMint-NL_2017-06-08-tweedekamer-5.u146	That was three in one. I will also turn to Secretary of State Dijksma van I and M. I have another question about the discussions with the sector. It is good that they are being conducted and that they are going constructively. When will the Chamber be informed?
ParlaMint-NL_2017-06-08-tweedekamer-5.u147	I always report when I can say more about that. We are now working on finding a number of solutions. It seems to me that it is a good time to inform the Chamber about this as soon as we have more clarity about it. Then she is well aware of the identified problems and the possible solutions to them.
ParlaMint-NL_2017-06-08-tweedekamer-5.u148	About the municipality of Amersfoort, which was an example for me, that question wasn't specifically directed at that municipality.The Secretary of State actually says: what it does is allowed, so I don't want to say anything else about it. But it is also about whether it is desirable. When I hear a bit of the noises in this Chamber, with all the differences, there is a rather broad feeling that use outside agriculture should be reduced as much as possible. Does this not make sense if the Secretary of State, perhaps with his colleague from I and M, but I would ask him to speak on behalf of the cabinet to speak to municipalities in order to limit this use as much as possible?
ParlaMint-NL_2017-06-08-tweedekamer-5.u149	That is difficult for me to say, because it really is in my colleague's area. Local politics also has a role to play in this. I remember that weed control also played when I was a city councilman in Eindhoven. We wanted to do that without poison, too. This did not always lead to the understanding of the inhabitants, because the methods we used for this did not lead to the same clean streets as they were used to. That's part of it. Sometimes, as local politics, you have to want to play a role in this. So before I interfere with both the area of my colleague and the area of local politics, I think it would be better if I now refer Mr Futselaar to discussions which he is undoubtedly going to have with the Secretary of State for I and M. I was at the end of my reply, Mr. Chairman.
ParlaMint-NL_2017-06-08-tweedekamer-5.u150	Thank you. This brings us to the end of the first term of office of the Secretary of State. I shall proceed to the second term of office. I shall be the first to give the floor to Mrs Ouwehand of the Party for Animals.
ParlaMint-NL_2017-06-08-tweedekamer-5.u151	Mr. Chairman. Thank you for the answer from the Secretary of State. It will not surprise him that the Party for Animals wants some clarity today about the direction the cabinet is going to take. The Secretary of State has rightly said that Monsanto's practices are shameful. It is very important that we show something that shows that it can't just happen that you're trying to influence or direct research, or whatever, without any consequences being attached to it. I have the next motion on this. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European authorisation of satsumas is due to expire at the end of this year;]] [[noting the risk to our drinking water and biodiversity, including pollinating insects;]] [[having also noted that the World Health Organisation warns of the likelihood of a carcinogen;]] [[calls on the Government to present a concrete plan of action for a significant reduction in the use of satsumas;]] [[also requests the Government, in any case not to approve an extension for more than one year of the authorisation of satsumas,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ouwehand and Mr Futselaar. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-379]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u152	Mr. Chairman. Despite the fact that the Secretary of State is very curious about the Commission's proposal, we still have two motions for resolutions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Commission appears to propose a ten-year extension of the authorisation of arthropods, but also sends a letter to the agencies concerned, expressing doubts as to the basis of their opinion;]] [[noting that there is still a difference of opinion as to the carcinogenicness of arthropods;]] [[Whereas further investigation is necessary in order to obtain a complete picture of the risks;]] [[calls on the Government to use an extension of three years to allow a new extension decision to be linked to the agricultural vision in the new common agricultural policy by 2021,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-380]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u153	My second motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that chemical plant protection products should be used as little as possible within agriculture;]] [[Whereas farmers indicate that there are not always sufficient alternatives;]] [[Whereas, at the end of this year, a decision is taken on the renewal of the authorisation of satsumas;]] [[calls on the Government to attach to the extension decision a declaration of intent from as many Member States as possible who are committed to limiting use within agriculture as far as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Eijs and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-381]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u154	I have a question about the last motion from D66. D66 is a party with some sense of reality. When there are no alternatives, what do you give the agricultural entrepreneurs?
ParlaMint-NL_2017-06-08-tweedekamer-5.u155	It seems to me, if there really are no alternatives, that it should be used carefully and as little as possible.
ParlaMint-NL_2017-06-08-tweedekamer-5.u156	I get that. Farmers are also of the opinion that they would like to use as little money as possible. Why? Because it hits the wallet. But what does D66 say when it is needed in the interests of food production or of protecting our food from outside influences, without an alternative? I hope that D66 also opts for good quality and safe food.
ParlaMint-NL_2017-06-08-tweedekamer-5.u157	There are many ways of achieving that. A lot of farmers in the Netherlands are working on this, where I am thinking of precision farming. It seems to me that we support the farmers in that.
ParlaMint-NL_2017-06-08-tweedekamer-5.u158	Mr. Chairman. With all due respect to the Secretary of State when he says he doesn't want to determine a position in view of the state of play in the trial, I believe that we should do so as a Chamber and that we should send a message to the Secretary of State. I have three motions to that effect. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the European Greens have brought a case before the European Court of Justice for full disclosure of investigations into the health and environmental consequences of arthropods;]] [[requests the Government to examine whether it is possible to join the plaintiffs in this case in order to enforce full disclosure,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the European Commission intends to extend the authorisation of satsumas for a period of 10 years, despite the threat to biodiversity and the risk to the objectives of the Water Framework Directive;]] [[also considering that there is still a great deal of scientific controversy about the carcinogenic properties of arthropods and that investigations are not public due to commercial interests;]] [[Considers that the authorisation of arthropods for a period of 10 years does not encourage the sector to develop alternatives to this substance;]] [[calls on the Government not to agree to a proposal by the European Commission for re-admission for a period of 10 years and to call on the Commission to come forward with proposals for gradual phasing-out,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-382]] [[This motion was tabled by Mr Grashoff and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-383]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u159	Finally, my last and shortest motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the opinion of the European Parliament and of the Council,]] [[calls on the Government, regardless of the possible authorisation by the European Commission, to introduce additional national measures to further prohibit the use of arthropods outside agriculture and to limit their use within agriculture as far as possible,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Grashoff, Mr Ouwehand and Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-384]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u160	Mr. Chairman. We're not filing any motions right now. As I said earlier, we want to wait for the European Commission's opinion before we come up with a final assessment. We are satisfied with the answers given by the Secretary of State. For the moment, I'd like to leave it at that.
ParlaMint-NL_2017-06-08-tweedekamer-5.u161	Mr. Chairman. There are two important tracks. Firstly, the Netherlands must make a clear statement in the light of the forthcoming decision of the European Commission. That is why we have co-signed Mrs Ouwehand's motion. In addition, here in the Netherlands we can see what we can do already. I would therefore like to table two motions. Both have been co-signed by Mrs Ouwehand. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the environmental and health problems which it may cause;]] [[Whereas it is desirable to reduce the use of satsumas;]] [[noting that some municipalities are still heavily committed to the use of satsumas;]] [[calls on the Government, in consultation with VNG, IPO and Union of Water Councils, to reach agreements to limit or completely avoid the use of arthropods by public authorities,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the sale of plant protection products containing fertilizers for private use has so far been authorised;]] [[noting that, among other things, water company Vitens calls it worrying that half of the individuals use pesticides in gardening;]] [[noting that interbranch organisation Vewin advocates a private ban;]] [[calls on the Government to terminate the sale of plant protection products containing the active substance.]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Futselaar and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-385]] [[This motion was tabled by Mr Futselaar and Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-386]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u162	Mr. Chairman. I would like to thank the Secretary of State for answering many questions and wishes from the Chamber. I am very pleased that the procedure has been clarified once again. It is incredibly important that we stick to this method of authorising resources. We are talking today about satsumas, but this also applies, of course, to all kinds of other means. I also strongly support the words of the Secretary of State that plant protection products will be necessary at all times in order to produce good quality and safe food. This is important not only for the common agricultural policy, but also for organic farming. Of course, we must be careful about this, but I think that entrepreneurs can also make their own assessment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u163	Mr. Chairman. A verdict that the Secretary of State just made, I have incorporated into my motion. I'll start with that, too. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Notes that the Secretary of State for Economic Affairs wants the Netherlands to become a world leader in the greening of chemical pesticides;]] [[Noting that there was a broadly adopted Graus motion (27858, nr. 131), which calls on the Government to examine which chemicals can be replaced by non-chemical variants;]] [[Furthermore, noting that benevolent "weedfighters and crop protectors" are often hampered by the use of non-chemical agents and/or that alternatives are not allowed;]] [[calls on the Government to remove bottlenecks in the admissibility and applicability of non-chemical variants,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Graus. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-387]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u164	I think it is important to say that this earlier motion, apart from the VVD, has been supported by Parliament. It would therefore be very strange if the House did not support this motion, since I am asking for bottlenecks to be removed.
ParlaMint-NL_2017-06-08-tweedekamer-5.u165	I can't read the motion that quickly, but she'll be here any minute. I am curious as to how Mr Graus sees it that the cabinet is going to investigate alternative means. Are we going to set up a separate ministry or are we going to make money available for this? In short, how are we going to do that?
ParlaMint-NL_2017-06-08-tweedekamer-5.u166	I'm not asking you to. I didn't just read that. We have the best farmers; they are at the forefront, even in the greening. Mrs Lodders also received the letter from LTO Nederland about this greening. The Secretary of State also wants that greening. And also the Chamber wants that greening. That's why my motions have been passed. I am concerned that some farmers, because they are at the forefront of the world, have themselves come up with alternatives, but they are hampered by NVWA. I went to see a farmer, who told me that NVWA officials came by when he was testing with a small plot and that he then got a fine on his pants. That man should get a statue here in the State Passage! But no, he gets a fine; he gets caught and screwed. It can't be. That's why I'm saying help those people, for God's sake. We do not have the expertise our farmers do have. There are other alternatives. I have already said that, at my request, municipalities have started working with steam on paved parts to fight weeds. It doesn't bother the bees, it doesn't bother people, and it works perfectly. What's the problem, Mrs. Lodders?
ParlaMint-NL_2017-06-08-tweedekamer-5.u167	I believe that Mr Graus really said in his motion that he asked the cabinet for an investigation into green resources. A second comment on Mr Graus' reply is that I do not hope that he will send all our hard-working farmers into the fields with a steam machine.
ParlaMint-NL_2017-06-08-tweedekamer-5.u168	No.
ParlaMint-NL_2017-06-08-tweedekamer-5.u169	That is what I heard you say, Mr Graus.
ParlaMint-NL_2017-06-08-tweedekamer-5.u170	No!
ParlaMint-NL_2017-06-08-tweedekamer-5.u171	Of course, there are alternatives. I have mentioned the example of natural vinegar, but these need to be examined for the effects on nature and the environment.
ParlaMint-NL_2017-06-08-tweedekamer-5.u172	Mrs Lodders suffers from a 50PLUS, as I call it, because I did not say that. I said municipalities work with steam on paved parts. If weeds come out of a sidewalk, they already work with steam at my request. That has become a great success, Mrs Lodders. I would also like to say that farmers are also working on non-chemical variants. They are hampered by the NVWA. For the people at home: that is the Dutch National Food and Service Authority. It can't be. Furthermore, I am not asking for an investigation at all. The Secretary of State himself said, after an interruption from me, that he thinks we should be world leaders. That is what he said at the end of the debate. That's because the Secretary of State knows he's got the farmers behind him.
ParlaMint-NL_2017-06-08-tweedekamer-5.u173	Thank you.
ParlaMint-NL_2017-06-08-tweedekamer-5.u174	No, sorry, Mrs. Lodders said something else. That investigation is in another adopted motion.
ParlaMint-NL_2017-06-08-tweedekamer-5.u175	It is difficult to see where there is a point in your speech.
ParlaMint-NL_2017-06-08-tweedekamer-5.u176	It's an adopted motion. The VVD did not support that motion, but Mrs Lodders really suffered from a 50PLUS'. I don't blame her.
ParlaMint-NL_2017-06-08-tweedekamer-5.u177	Mrs. Lodders.
ParlaMint-NL_2017-06-08-tweedekamer-5.u178	Now I'm being blamed. Fortunately, I am not yet 50-plus, but I did hear 'that there is a widely adopted Graus motion asking the government to examine which chemicals can be replaced by non-chemical variants'. I have heard Mr Graus ask for that motion to be carried out. There are a number of other things in that motion. I'm very curious to know how the cabinet is going to conduct that investigation. That is also why the VVD did not support that earlier motion.
ParlaMint-NL_2017-06-08-tweedekamer-5.u179	Finally, briefly, Mr Graus.
ParlaMint-NL_2017-06-08-tweedekamer-5.u180	Mr President, I will have to speak more slowly so that Mrs Lodder can follow it. A motion of mine has been adopted in which I have asked the government to examine which chemicals, where possible, can be replaced by non-chemical variants. That motion is there; that is an adopted motion. He's been hired Chamberwide, except for the VVD. So I have had the support of all parties. Now that that motion has been passed, I am not asking you to investigate anything. No, my request today is to help those people to remove bottlenecks in admissibility and applicability. That is what I am asking: 'calls on the government to remove bottlenecks in the admissibility and applicability of non-chemical variants'. I shall make that request on the basis of the Graus motion that has been adopted. I would like to explain it to Mrs Lodders, while enjoying a full-bodied cake, one more time. Then maybe she can follow it.
ParlaMint-NL_2017-06-08-tweedekamer-5.u181	Are you going to do that? Thank you. Finally, I give the floor to Mrs Dik-Faber of the Christian Union.
ParlaMint-NL_2017-06-08-tweedekamer-5.u182	Mr. Chairman. The Secretary of State said that there is a scientific difference of opinion between the World Health Organisation and European institutions because it is inherent in science, but he also said that EFSA and ECHA had no less information or used fewer reports but even more information than the World Health Organisation. We'll never know for sure, because we don't have any insight into all the reports. In fact, I find this very unsatisfactory and I would very much like to hear from the Secretary of State what he is going to do to gain more confidence in European procedures. I would like to conclude on the basis of facts, but I still have an unheimical feeling. What is the Secretary of State going to do to increase confidence in the admission procedures? I also ask how the consequences for drinking water are taken into account in the authorisation, both at European and Dutch level. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the decision on the EU licence for the plant protection product is to be taken within the European Union at the end of November, possibly setting a period of 10 years;]] [[Whereas in science there are conflicting conclusions on the effects of arthropods on public health;]] [[invites the Government, in the event of a possible extension of the authorisation at EU level, to advocate the possibility of an interim adjustment of the decision on the basis of modified scientific knowledge,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Van Eijs. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27858-388]]
ParlaMint-NL_2017-06-08-tweedekamer-5.u183	Mr. Chairman. I have already said in my first term that this debate is premature in my view when it comes to assessing a proposal that is not yet available. That will be reflected in the assessment of a number of motions, namely the motions in part Nos. 379, 380, 381, 383 and 388. These are all ahead of the European Commission's proposals. The motion in part No. 379 contains two requests. The first request is policy support, but the second is premature because it anticipates the Commission's proposal. That's why I advise against this motion. In the motion in part No. 380 is the request for an extension of three years. That's the same thing: it's premature. I therefore advise against this motion. Strictly speaking, the motion in part No. 381 the same: it anticipates the European Commission's proposal. It is not impossible for the Commission itself to come forward with such a proposal, which we could then assess. In substance, however, the request is policy support. However, as it anticipates the Commission's proposal, I also advise against this motion. I agree with all the motions which anticipate the Commission's proposal. In the motion in part No. 382 is requested by the government to join in a lawsuit on disclosure of data. I reject this motion, not because I do not agree with the content, but because I do not think it is the right way to join in a trial of Mr Grashoff's party mates. I myself have a political path to take: the talks in the SCOPAFF and in the European Agriculture and Fisheries Council. I therefore also advise against this motion. The same applies, as I had already announced, to the motion in part No. 383, which anticipates the European Commission's proposal. So I'm gonna dissuade her. The motion in part No. 384 contains the request for additional national measures to further prohibit the use of fertilizers outside agriculture and to limit their use within agriculture as far as possible. That is difficult, because I do not fully understand what the author is trying to do. As far as possible, the use of fertilizers outside agriculture is already limited through national measures. I have just said that it was not possible to ban non-professional users, for individuals, but that there is an exception in the current ban. We were also talking about this in connection with Mr Futselaar's questions. So I do not immediately see the possibility of banning it further than we are doing now. This is not my area either, but that of the Secretary of State of I and M. The authors are therefore not entirely at the right place with me. Limiting use within agriculture as much as possible is support for policy.
ParlaMint-NL_2017-06-08-tweedekamer-5.u184	In the discussion we have had about restricting use outside agriculture, a series of exceptions, including for sports fields and cemeteries, have finally been included for varying political and sometimes legal reasons. I think that this will require a revaluation, because some of these exceptions were simply not necessary. Some might have been needed at that time, but in the meantime we've taken him five years further and they're really not needed anymore because there are good alternatives. There is therefore every reason and every possibility of further tightening up outside agriculture, including with regard to private individuals, with various variants being deliberately left open in this case because some variants are indeed more feasible than other variants.
ParlaMint-NL_2017-06-08-tweedekamer-5.u185	The appropriate way for such a request from the Chamber is to speak first with the person responsible, the Secretary of State of I and M. It is not quite the usual route, so to speak, to tighten up the request to the government in response to this debate. It seems appropriate to me to speak first with the Secretary of State for I and M. It may be a bit precise, but for this procedural reason, I'm not suggesting this motion. At the moment, the proposers really shouldn't be with me for this.
ParlaMint-NL_2017-06-08-tweedekamer-5.u186	I waited for the Secretary of State's opinion on this motion before I asked a question about my motion. The Secretary of State said that the request for a concrete plan of approach for a significant reduction in the use of arthropods is policy support. It is important that the Secretary of State knows that, should this motion be adopted, it is an additional approach, in addition to what the Cabinet is already doing. So I know that the Secretary of State is dissuading the motion, but should the Chamber adopt it, I do not mean the policy as it is, but extra effort.
ParlaMint-NL_2017-06-08-tweedekamer-5.u187	That's clear. For the motion-Futselaar/Ouwehand in part No. 385 is the same as Mr Grashoff's motion. This motion also deals with the use of fertilizers outside agriculture, and that is the area for which I am not responsible, but the Secretary of State for I and M. I therefore advise the House not to adopt this motion in response to this debate. In the motion-Futselaar/Ouwehand in part No. 386 the Government is requested to terminate the sale of plant protection products containing the active substance. I cannot help but dissuade this motion because it is impossible to implement it. The Secretary of State for I and M informed the Chamber that it was unable to find any legal basis for a ban on private use. Mr Graus asked the government in his motion for a resolution on item No. 387 for the elimination of bottlenecks in the admissibility and applicability of non-chemical agents. That's exactly what we're doing. I very much like the substance of the motion, but it does not lead to any other policy if the House adopts this motion. So it is actually superfluous.
ParlaMint-NL_2017-06-08-tweedekamer-5.u188	I think this is silly, I have to be honest. I've already addressed this to the Secretary of State in an AO once. At that time, I even sent his people bilateral examples of those who are against it. They're being obstructed by the NVWA. I have really mentioned a concrete example, with company name and everything, something I cannot just do in public. I am asked to do so by those entrepreneurs. So I think this is really lame. It's not gonna happen. There are bottlenecks and people are hampered in the use of non-chemical plant protection products. That's just a fact. Mrs Lodders and Mr von Martels must also know this, because they are also in contact with those entrepreneurs. It's just a known phenomenon.
ParlaMint-NL_2017-06-08-tweedekamer-5.u189	As I said earlier, I want the budget package to be greened as soon as possible. This means that there must be green, non-chemical substances on the market that are not yet available. There are thresholds for this; Mr Graus is right. We have therefore identified these thresholds, together with the business community. I have just said to Mrs Dik-Faber that we are also looking together at possible solutions to this. I will inform the Chamber about this; I expect it to be sometime after the summer. Perhaps it is most logical that Mr Graus should hold this motion for a moment and first assess what is then and whether he is satisfied with what has been done.
ParlaMint-NL_2017-06-08-tweedekamer-5.u190	Look, I think that's a good proposal. I will. On this point, I will take my motion.
ParlaMint-NL_2017-06-08-tweedekamer-5.u191	At the request of Mr Graus, I propose his motion (27858, No. (Parliament adopted the resolution) That is what is decided.
ParlaMint-NL_2017-06-08-tweedekamer-5.u192	But honestly, there are still problems and I'm asking the Secretary of State to take them away. That's just the facts.
ParlaMint-NL_2017-06-08-tweedekamer-5.u193	Well, that's clear. Then the Chamber gets the promised information about that. The motion-Dik-Faber/Van Eijs in part No. 388 also anticipates the European Commission's proposal. For that reason, I advise against this motion. We have to wait and see whether the Commission itself is going to propose something like this. Mrs Dik-Faber also asked two questions. What am I going to do to ensure that confidence in the authorisation procedures is strengthened? I have already said in my first term that I think there is reason to discuss with the European Commission and with the other Member States what we can do, for example, to make adjustments in the procedure that lead to greater confidence. One of the most obvious discussions is whether all studies and raw data should remain secret or be made public. That's one of the discussion points. There are more things you could imagine. I have already promised to start this discussion in the first period and to continue to discuss it with the Commission and the Member States. In the end, this procedure must lead not only to a sensible decision but also to social confidence in the decision that is being taken. Mrs Dik-Faber has a good point. In view of all the discussions we have had, both in society and in the Chamber, and the discussions I have had in the short time I have been in this position, I think there is a great deal of reason to discuss this with each other. Mrs Dik-Faber also asked whether the effects on drinking water would be included. That is the case, especially when substances are admitted to the European market. Resources should be specifically admitted to the Member State, including the Netherlands. That's what the Ctgb's judging. This takes into account the specific Dutch circumstances, including possible risks to drinking water production. At that time it is taken again. Mr President, I have also answered the questions raised.
ParlaMint-NL_2017-06-08-tweedekamer-5.u194	The motions tabled will be put to the vote next Tuesday. I would like to thank the Secretary of State for coming to the House of Representatives.
