ParlaMint-NL_2017-11-30-tweedekamer-8.u1	We will continue to deal with the budget of Justice and Security.
ParlaMint-NL_2017-11-30-tweedekamer-8.u185	Then we'll talk about the award of points. The minister said he'd talk to the social lawyer. Well, that's of course very good, but what does the Minister have to offer the social lawyer? 'Cause for now, there's no extra money. The profits are sought in the search for alternatives. Does the Minister think that these alternatives could actually amount to some EUR 127 million? Is that the bet? Can the Minister provide a list of alternative measures, including financial data, which add up to EUR 127 million? Such a list seems very useful to me anyway for the conversation with the social lawyer. I'd like a commitment on this. In any case, we now have a system which has certain principles but which are not respected, which is unreasonable and makes the government unreliable. Hence the next motion, which was co-signed by Mr Van Nispen and Mrs Kuik. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Van der Meer Committee concludes that legal aid providers do not receive a reasonable contribution to the provision of legal aid to the underprivileged;]] [[calls on the Government to indicate in the short term how the points allocation under the current system of subsidised legal aid can be brought into line with the actual time spent by legal aid providers and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Buitenweg, Mr Van Nispen and Mr Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-52]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u186	It is good that we are looking again at how inviting the police is to victims of sexual violence. Together with my colleague, Mr Kuik, I ask the Minister to investigate whether victims themselves feel the threshold is too low and what they think the treatment of their reports has been. A further motion will follow in Mrs Kuik's term. Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u187	Thank you. I now give the floor to Mr Van Ojik on behalf of GroenLinks.
ParlaMint-NL_2017-11-30-tweedekamer-8.u188	Thank you, Mr. Chairman. For my part, too, of course, thank you to the rulers. I argued in my first term that the migration policy of the new cabinet, which is increasingly responsible for the reception and protection of refugees in Africa, was built on quicksand. I do not have the impression that I have been given the Secretary of State for this statement in this debate, and of course I regret that, but I did not really expect it. I look forward to the debates we are still having and to try again to convince the Secretary of State of the correctness of my position. For now, I'd like to table two motions. The first one is about the children's pardon. The Secretary of State said that it is difficult to describe the term "beautiful" because everyone understands something else. I understand that very well. However, I, along with a number of colleagues, have the need to ask for a political signal from this Chamber on the implementation of the current regime by means of a motion. Hence this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Scheme is intended by the legislator to resolve the issue of the residence of children who have become rooted in the Netherlands, but have not yet obtained a valid residence permit or have lost a residence permit after a period of residence;]] [[Considering that 98% of applications for the Scheme for long-term children were rejected in the last year and that a strict interpretation of the Scheme is the basis for this;]] [[calls on the Government to implement the Scheme in a generous manner,]] [[and goes to the order of the day.]] [[This motion has been proposed by members Van Ojik, Jasper van Dijk and Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-53]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u189	My second motion concerns the Dutch support for the Libyan Coast Guard. This makes the Secretary of State uncomfortable, as he himself said, but he did not want to take any consequences, at least in his first term. I'm going to call him to that with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that migrants returned to Libya by the Libyan Coast Guard are systematically subjected to inhumane detention, torture or even slavery;]] [[calls on the Government to suspend financial and operational support to the Libyan Coast Guard until guarantees have been obtained that persons captured or reduced by the Libyan Coast Guard are no longer exposed to human rights violations,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Van Ojik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-54]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u190	Thank you. Then Mr Van Dam on behalf of the CDA.
ParlaMint-NL_2017-11-30-tweedekamer-8.u191	Thank you, Mr President. First of all, a word of thanks to the three rulers for their reply. Let me also say a word of thanks in the direction of official support. There's a whole story in the budget that changes V and J. We didn't talk about that these days, but if the method of replying and also the 74 pages answer to all the questions we found on our doormat this morning is an example of how V and J are changing, then you can be happy with that official support. Oh, I hear from the rulers that it has to be "JenV changes." Yes, I think I'm changing a little less quickly than your ministry is changing. Let's just leave it at that. Mr. Chairman. I've got three motions. I would like to say one thing in advance. This morning we may have started a little unhappy, but what is the intention of this story? I believe that we in this Chamber have a democratic role to play in relation to the administration of the police. The authority lies largely in the country, with municipal councils and more such institutions, but here in the Chamber it is about the management of the police. If we look at the report of the Chicken Committee and otherwise, there is quite a lot of criticism of the role played by the Chamber in the past. I therefore believe that I should do my job here by asking the questions on that point, and that I should be sufficiently informed. I do not want to take that too seriously, but it is also an important point for the CDA, namely the division of police forces across the country. For us it is very important that there is enough police, also in Groningen, Friesland, East Netherlands and in all other places where the police density is much lower than here in the city. That's why I'm coming up with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the response times in certain regions such as the North and East Netherlands still differ negatively from the national (target) average;]] [[Considering the short-term availability of 100 million for the police, which should also strengthen the basic teams in the regions;]] [[noting that the Minister of JenV has indicated that reports in the northern media on the distribution of this additional strength are premature;]] [[Invites the Government to inform the Chamber of the current distribution of operational strength among the 10 regional units in the Police progress letter of December 2017 as well as the distribution of additional capacity available to the base teams among the 10 regional units,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Dam, Van der Graaf and Arno Rutte.]] [[She's getting No. kst-34775-VI-55]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u192	My second motion concerns the willingness to report. I would draw the comparison with the ZSM process, where a very different way of dealing with criminal offences has taken place without any additional budget or money being spent, at least in the personal sense. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there has been a decline in the willingness to report for a long time;]] [[Whereas the distance between police and citizens has increased in recent years;]] [[Whereas it is very important that victims of criminal offences should be able to make a simple declaration;]] [[Whereas making an Internet declaration is not an easy way for every Dutch person;]] [[calls on the Government to ensure that, within existing budgetary frameworks, the service concept of the police with regard to the recording of declarations is directed towards the direct recording of declarations, appropriate to the individual needs and capabilities of providers, if necessary at home with providers,]] [[and goes to the order of the day.]] [[This motion was proposed by Mr Van Dam, Mr Bishop, Mr Krol, Mr Azarkan and Mr Kuik.]] [[She's getting No. kst-34775-VI-56]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u193	Finally. Both the debate on the I and M budget yesterday and the debate here today and yesterday on JenV were concerned with road safety, especially the mobile phone. Perhaps to curb all of us impatience to use that thing behind the wheel, the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that using the mobile phone behind the wheel, e.g. by sending messages, is increasing and is a danger to road safety;]] [[Whereas during the debate on the budget of I and M, a motion was adopted concerning the definition of behind-the-storey appendecides as "reckless behaviour" in the context of the assessment of road accidents;]] [[Whereas, in addition to preventive measures, penalty measurement in which recidivism can play a role can contribute to reducing smartphone use behind the wheel;]] [[having regard to the opinion of the European Parliament and of the Council of 11 December 2014 on the implementation of the Convention on the Law of the Sea on the Law of the Sea, and in particular the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea and the Convention on the Law of the Sea and the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea and the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea and the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea, and in particular the Convention on the Law of the Sea and the Law of ……]] [[calls on the Government to ensure that the use of the mobile phone behind the wheel is regarded as "badger fact' and is included in criminal law,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Dam and Von Martels. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-57]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u194	I have a brief question about the first motion. I have intended myself, and it has been discussed here in the past, that we should no longer interfere with the police in detail. This was mainly about the top priorities we stacked. Now I read in the first motion that we should almost interfere with the distribution of capacity. Did I get that correctly?
ParlaMint-NL_2017-11-30-tweedekamer-8.u195	No, you're not. I am in favour of not talking too much about priorities in the Chamber, not saying: the police must do this, the police must do it. That is a matter of authority that should generally be placed with the mayor and the prosecutor who is the authority over it. What is at issue here is a management issue. I don't want to know how many neighborhood agents or whatever are in Unit A, B or C, I don't want to know how that's distributed. I am concerned about the distribution of capacity between the ten regional units in the country. I do think that this is an aspect that should be addressed here. These are questions on the broad lines between the region and the city, and one region and the other region. I'd like to limit myself to that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u196	I have a brief question about the motion that Mr Van Dam was the last to propose, the motion on reckless driving or at least the use of smartphones. In an interrupting debate with the Minister of Justice and Security, I received an answer: yes, the objective is to criminalise reckless driving. My question to Mr Van Dam is how that relates to the appeal he makes in this motion.
ParlaMint-NL_2017-11-30-tweedekamer-8.u197	I have been in touch with the participants in yesterday's debate. The concept of "reckless driving" in the Road Traffic Act is a concept contained in Article 6 of the Road Traffic Act.
ParlaMint-NL_2017-11-30-tweedekamer-8.u198	This was discussed at length yesterday.
ParlaMint-NL_2017-11-30-tweedekamer-8.u199	Yeah, but repetition is sometimes...
ParlaMint-NL_2017-11-30-tweedekamer-8.u200	Well, no.
ParlaMint-NL_2017-11-30-tweedekamer-8.u201	No? I'll be very brief. Yesterday's proposal is about when the blow fell. Then it's playing. It is also quite right that that should play. My proposal looks forward if the blow has not yet occurred, so to bring about a change of behavior in how people behave in traffic.
ParlaMint-NL_2017-11-30-tweedekamer-8.u202	Finally.
ParlaMint-NL_2017-11-30-tweedekamer-8.u203	Then through you both I have a very short question to the Minister. Maybe in his second term, the Minister can indicate...
ParlaMint-NL_2017-11-30-tweedekamer-8.u204	Yeah, of course he's gonna...
ParlaMint-NL_2017-11-30-tweedekamer-8.u205	... how one relates to the other.
ParlaMint-NL_2017-11-30-tweedekamer-8.u206	The Minister must give an opinion on the motion. Thank you. I now give the floor to Mrs Van Toorenburg on behalf of the CDA.
ParlaMint-NL_2017-11-30-tweedekamer-8.u207	Thank you, Mr. Chairman. I would like to thank the directors for answering the questions. I would also like to thank the officials who gave the answers last night and, as we know, were up early this morning to ensure that this new team gets here properly. Mr. Chairman. We believe in dualism. I think we showed that this morning. We shall continue to do so in the coming years. I know that there are fine subjects in the coalition agreement, but we will be breathing in the neck of the cabinet every day to ensure that what we want is carried out. Mr. Chairman. I zoom in on two parts. The first is undermining. We understand that the law is not laid down as some sort of package in the Chamber, but that we are going to see what we can bring forward, what we need to incorporate into something and what we still need to deal with in addition. That's fine. I think it is good to look at the creative possibilities that are already being exploited in the country. Can I take a good example, which is actually quite recent? The Brabant police want money from the dumpers of drug waste and want to join the criminal proceedings as a disadvantaged party. That's a very interesting case. I am very curious to see what the judge, who comes up with the ruling on 25 January, will think of that. Can this analysis also be taken into account? Is that possible? If not, what can we do? I thought it was very creative, and I think we can use it to pass a blow. Mr. Chairman. I understand that there will be a directive on money laundering. That's fine. We'll take a critical look at it. The minister also expressed concern about the bitcoins. Someone may not be allowed to exchange more than 15,000, but who will see to it? Then who reports an unusual transaction? That stays a little shady for me. In Britain, a whole process is being developed, including by the business community, for a crowdfunding system if a company does not receive funding from the bank. I think that's very dangerous. I am already heavily lobbied to get this done in the Netherlands. I'm just gonna open that up here. The first thing I said was, don't ever! But maybe I'm too scared and it doesn't make any sense. I'd love to hear that, but at least I'd like to give it to the rulers that I'm worried about it. When it comes to cyber, asylum and prostitution and trafficking in human beings, I can only refer to what I said at the beginning: we are following you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u208	Thank you. I now turn to Mr Van Nispen, on behalf of the SP.
ParlaMint-NL_2017-11-30-tweedekamer-8.u209	It is not the right of the strongest, but everyone is entitled to the right. Access to justice is a foundation of our rule of law. That's what my first motion is about. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas several investigations have shown that there are different possibilities for reviewing the system of subsidised legal aid;]] [[points out that the quality of the sustainable system for access to justice should be paramount;]] [[calls on the Government to abandon the principle that the system of subsidised legal aid must, in any event, fit within a pre-established lower budgetary framework,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2017 money remains in the context of mediation in criminal law, as its roll-out has been delayed for five months;]] [[Considers that the practice of mediation in criminal matters as implemented in 2017 should continue;]] [[Calls on the Government to take the funds already allocated to mediation in criminal matters by the end of 2017 to the year 2018 and to spend them there,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Nispen, Kikken and Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-58]] [[This motion was tabled by Mr Van Nispen and Mr Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-59]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u210	You may think: what is being proposed here is perfectly logical, because money left behind in mediation in criminal law can be used to fill a gap. That's right. It makes perfect sense, but I just got the answer: it can't be. Well, that's like "that doesn't allow the rules." If we want it to be possible with each other, we must also look at how we can solve the problem. That really is an urgent appeal to the Minister on this particular point. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government intends to experiment with regulated weed cultivation;]] [[Whereas dozens of municipalities wishing to experiment with regulated pot growing fear that they will not have enough room to develop their own, local and regional variants;]] [[Considers that varied experiments can contribute better to a successful approach to soft drugs (safety) risks and crime than a single uniform experiment;]] [[calls on the government not to base itself on one single experiment on regulated weed cultivation, but rather to introduce diversity into the experiments,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that police officers have a physical and mental appeal;]] [[noting that by linking the age of AOW to life expectancy, police personnel may retire at a later date;]] [[calls on the government to use a lower retirement age for police officers in the collective bargaining process,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the importance of access to an independent judicial authority in a rule of law, it is not acceptable, in specific cases, to declare an (higher) action inadmissible for failure to pay registry law;]] [[Invites the Government, in the interests of legal certainty, to include in the Act that non-payment of the Registry Law does not in all cases lead to inadmissibility,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Nispen, Kikken and Buitenweg. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-60]] [[This motion has been proposed by Members Van Nispen and Van Raak. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-61]] [[This motion has been proposed by Members Van Nispen, Buitenweg and Kikken. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-62]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u211	For the sake of clarity, this motion is really about the people with the lowest incomes. You can't ask them for a clerk's order. Otherwise, you'll run counter to access to justice. I asked a question about the Registry law for small money claims of €500, in which an SME has to pay €470 to the Registry. That's not in proportion. You're not gonna do that, because the risks are too great. I will not table a motion on this, but I would like to put a question to the Minister. I would like the Minister to examine how this can be done better, in the interests of small and medium-sized enterprises and trade in general. Everyone has the right to rights in the interests of trust and justice. Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u212	Thank you, Mr. Van Nispen. I now give the floor to Mr Jasper van Dijk on behalf of the SP.
ParlaMint-NL_2017-11-30-tweedekamer-8.u213	Mr. Chairman. I have two motions, the first of which concerns Libya. The government says that we are not sending refugees back to Libya, because it is clear that that country is unsafe. There's chaos, there's misery. Yet the European Union's support for the Libyan Coast Guard is controversial, because that coast guard is indeed sending refugees back to Libya. Hence the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that Libya is not a safe country;]] [[calls on the Government to avoid any accomplice in sending refugees back to Libya,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Jasper van Dijk and Mr Van Ojik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-63]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u214	Mr. Chairman. Afghanistan is also unsafe. This is said by several organisations: the United Nations, Amnesty. Mr Groothuizen reminded me yesterday that Germany would have moved back to sending Afghans back to Afghanistan. I checked that out. This is particularly about criminal Afghans, and I think that is quite an addition to be taken into account. I think it is obvious that sending Afghans back is now irresponsible. The Government recognizes this implicitly by bringing forward the assessment, that message of office. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that Afghanistan is very unsafe due to war and attacks;]] [[Whereas the Ministry of Justice and Security has requested a new notice of office;]] [[believes that until then it is irresponsible to force people to go to Afghanistan;]] [[calls on the Government to publish the new notice of office in order to establish a decision and departure Moratorium for Afghanistan,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk, Mr Van Ojik and Mr Kuik. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-64]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u215	Mr. Chairman. On the children's pardon, Mr Van Ojik has tabled a fine motion which I have co-signed. Finally, the good news. Secretary of State Harbers has promised to involve my plan for a fairer distribution of refugees in his own flexible reception plan. I'm looking forward to it.
ParlaMint-NL_2017-11-30-tweedekamer-8.u216	Thank you, Mr. Jasper van Dijk. I call Mr Grothuizen on behalf of D66.
ParlaMint-NL_2017-11-30-tweedekamer-8.u217	Mr. Chairman. Thank you for answering all the questions by the rulers. Thanks also to the support for the large package of paper that we found this morning. Mr President, it is clear that there will be a lot coming towards the Chamber in the coming months. D66 will pay close attention to the balance sheet in these proposals. As the Minister of Justice rightly pointed out this morning, the rule of law is the domain of the art of finding balance. Access to justice is very important for D66. Legal aid plays a very important role in this. I think everyone agrees on that. I shall therefore table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas several reports have already been published on the revision of the subsidised legal aid scheme;]] [[Whereas the Government Agreement provides that the system of legal aid is to be reviewed along the lines of the report of the Wolfsen Committee and the report of the Van der Meer Committee;]] [[Whereas, in accordance with the government agreement, the forthcoming cabinet period is chosen for revision within the existing budgetary frameworks;]] [[Whereas the revision of the system of subsidised legal aid can play an important role in modernising and facilitating citizens' access to justice;]] [[calls on the Government, in close consultation with the Dutch Bar Association, the Legal Service and the Legal Assistance Board, legal aid insurers, the Judicial Board, the Public Prosecutor's Office and other relevant parties, to come up with a policy vision on the main aspects of the revision of the system of subsidised legal aid, ensuring access to justice, and to send this vision to the Chamber around the summer recess of 2018,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Groothuizen, Mr Van Dam and Mr Van der Graaf. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-65]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u218	I wonder what purpose this motion serves.
ParlaMint-NL_2017-11-30-tweedekamer-8.u219	This motion should emphasise that the Court attaches great importance to access to justice and that legal aid plays a crucial role in it. This is in order to highlight the fact that the Minister attaches the greatest importance to this when he comes to work on it.
ParlaMint-NL_2017-11-30-tweedekamer-8.u220	The Minister had already recognized and underlined this. In conclusion, I note that the point system is still going down and 127 million is being cut. So again, what purpose does this motion serve?
ParlaMint-NL_2017-11-30-tweedekamer-8.u221	That is that the Chamber makes a very clear statement on this matter.
ParlaMint-NL_2017-11-30-tweedekamer-8.u222	A little along the same lines: I'm trying to understand how you think this is different from what the minister was already planning.
ParlaMint-NL_2017-11-30-tweedekamer-8.u223	I have heard the Minister say very good things, but I think it is very important for the Chamber to give its opinion, very emphatically, on this very important point. You have asked a lot of questions about this and you are on the interrupting microphone again. I simply think it is important that the Court makes it crystal clear that this is crucial for the implementation of the new legal aid system.
ParlaMint-NL_2017-11-30-tweedekamer-8.u224	Okay, so I understand that this motion is mainly intended to confirm once again the point contained in the coalition agreement by all the parliamentarians here, at least those of those four parties. Because for the rest, there really is nothing new in it.
ParlaMint-NL_2017-11-30-tweedekamer-8.u225	No. Then Mrs Buitenweg didn't listen properly. The motion is for the Court to state that access is crucial in the revision of the legal aid system and that the Minister must consult with all parties in order to establish a system to ensure such access.
ParlaMint-NL_2017-11-30-tweedekamer-8.u226	This is a bit of a pubess. This is just a pubic. This is a motion that says nothing more than what we all know, namely that legal aid, access to justice for people on low incomes, is important, so that those seeking justice are not the victims. How D66 shows up here. Can I conclude from this that you are not going to support the motion that the SP has just tabled and which simply says "go and talk to everyone, but at least make sure that it is not established in advance that the aim is to cut costs"? Is that the conclusion?
ParlaMint-NL_2017-11-30-tweedekamer-8.u227	I think we discussed this in detail yesterday. Review must take place within the budgetary framework. I explained to you at the time that I think it is very unwise to say in advance that we are going to add a bag of money and that it is much more sensible to repeat everything that I explained yesterday, in order to steer a number of crucial reforms, including with regard to the perverse incentives in the system.
ParlaMint-NL_2017-11-30-tweedekamer-8.u228	Finally, Mr Van Nispen.
ParlaMint-NL_2017-11-30-tweedekamer-8.u229	No, D66 does exactly the opposite. D66 now says: we are going to cut back on it and then I come up with a motion in which I say that I think it is very important. Beautiful words, no deeds. Too bad we lost D66 as guardian of the rule of law.
ParlaMint-NL_2017-11-30-tweedekamer-8.u230	In my view, Mr Van Nispen draws conclusions which are not based on anything. I note, therefore, that in his story on legal aid he is constantly ignoring the facts, including that people with small grants can simply apply for special assistance for registry law. I've never heard of Mr. Van Nispen. I think Mr. Van Nispen himself is taking a walk with the truth and is now trying to rub it on me.
ParlaMint-NL_2017-11-30-tweedekamer-8.u231	Then Mr Van Nispen feels compelled to give a short response. Then I will go to Mr Azarkan.
ParlaMint-NL_2017-11-30-tweedekamer-8.u232	Mr Groothuizen must interrupt me if he hears me say something that is not right and not if I no longer have the opportunity to respond with some false and false accusation. That's not how we're gonna do it.
ParlaMint-NL_2017-11-30-tweedekamer-8.u233	That's why I'm giving you the opportunity to respond. Then Mr. Azarkan.
ParlaMint-NL_2017-11-30-tweedekamer-8.u234	I too stand here blinking and blinking. I don't understand the whole motion. You have the opportunity to do something about the accessibility of the justice system for people with a small scholarship. All kinds of proposals are made by colleagues. You gave a great interview in your election campaign, in which you said how important you think it is. You do not support any initiative and now you come up with hollow phrases. You feed cynicism into politics and mistrust.
ParlaMint-NL_2017-11-30-tweedekamer-8.u235	I've just missed the question, Mr. Chairman.
ParlaMint-NL_2017-11-30-tweedekamer-8.u236	Let me repeat my question.
ParlaMint-NL_2017-11-30-tweedekamer-8.u237	No, don't.
ParlaMint-NL_2017-11-30-tweedekamer-8.u238	Do you agree with me that this will increase cynicism in politics and thus lower confidence?
ParlaMint-NL_2017-11-30-tweedekamer-8.u239	No. Mr President, I shall continue my speech.
ParlaMint-NL_2017-11-30-tweedekamer-8.u240	Please continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u241	Punishment is an essential part of the criminal law enforcement of our legal system. If we really want to make the Netherlands safer, we must, above all, prevent people from returning to prison. Early work on resocialisation is therefore essential. That's why I'm filing a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are choices for the new cabinet when it comes to the direction of the sanction execution to be followed;]] [[Whereas the coalition agreement states that the implementation of sanctions and measures will strengthen the position of re-socialization and parole;]] [[Whereas education, work and guidance during detention contribute to a promising return and reduce the risk of recurrence;]] [[Whereas at present, parole is often only shown during the detention phase;]] [[calls on the Government to examine the possibilities for reintegration policy in all p.i.Once organized in such a way that all inmates immediately upon entry into the p.i. are screened on the five basic conditions and also provide the probation organisations with a structural advisory role in this screening as advised by the Criminal and Youth Protection Board in the report Van detaineren to reintegrate,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Groothuizen, Mr Van der Graaf and Mr Van Dam. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-66]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u242	I have a brief question on this motion. Can Mr Groothuizen explain to me what the relationship is between the probation and the administration of the prison in question? How do they relate to each other? I'm gonna be very strict about this. You have the warden of the prison and you have the parole officer. Who's the boss?
ParlaMint-NL_2017-11-30-tweedekamer-8.u243	Mr. Groothuizen, who's the boss?
ParlaMint-NL_2017-11-30-tweedekamer-8.u244	I suppose the boss of the parole officer is just the boss of the parole board, but I think that's more of a question for the minister. But the point is that you're actually already looking at the moment someone enters the prison or those crucial conditions for the moment someone comes out of it are properly filled out. So, frankly, I don't see such a mix of personnel policy in that. But maybe I'm missing something. Then I'd like to hear the Minister's answer to that.
ParlaMint-NL_2017-11-30-tweedekamer-8.u245	Once again, I would ask that this question be referred specifically to the Minister.
ParlaMint-NL_2017-11-30-tweedekamer-8.u246	Let's go. Let's go. Let's go, let's Thank you.
ParlaMint-NL_2017-11-30-tweedekamer-8.u247	Mr. Chairman. Finally, I come to the issue of asylum and migration. It is good that the Secretary of State is working on the flexible asylum system. I hope that he will speed this up, especially since the flexible asylum chain programme has already been launched. It is very good that he is also going to take the measures that can be taken. If so, I hope he will send the information to the Chamber as soon as possible. An essential part of law enforcement and application is that we protect vulnerable people. Converted Christians and homosexual asylum seekers seeking protection in the Netherlands, as far as I am concerned, form such vulnerable groups. It is therefore of the utmost importance that we handle their asylum applications carefully. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is very important that all applications for asylum are handled with great care;]] [[Whereas the assessment of the credibility of converted Christians and of the sexual orientation of asylum seekers who base their fear of persecution on them should be surrounded by sufficient safeguards;]] [[calls on the Government to examine and present proposals to improve the assessment of the credibility of converts and the sexual orientation of asylum seekers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Grotehuizen, Mr Azmani, Mr Van Toorenburg and Mr Voordewind. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34775-VI-67]]
ParlaMint-NL_2017-11-30-tweedekamer-8.u248	Thank you, Mr. Chairman. I was politely waiting for the floor. And I'm not in the car, am I?
ParlaMint-NL_2017-11-30-tweedekamer-8.u249	Well, there is also a lot of complaining about the use of mobile phones in the room. But continue.
ParlaMint-NL_2017-11-30-tweedekamer-8.u250	We're not gonna get distracted. I want to ask you a question about the children's pardon. A fine motion has been tabled by Mr Van Ojik and myself. I hope, of course, that you will support it. A while back, there was the issue of that Armenian mother with her two children. They were here in the Netherlands for nine years. Your party leader Alexander Pechtold said: yes, that is painful, those children should just stay here. Do you still think so?
ParlaMint-NL_2017-11-30-tweedekamer-8.u251	I have to tell you, I don't remember that quote. For the rest, I do not know the file and I do not think it would be very appropriate if I, as a Member of Parliament, were to deal with individual cases. I haven't been able to look into that file. In my previous position, I often dealt with all kinds of individual matters. On that basis, I know that you only have to say something about individual matters if you have a full picture.
ParlaMint-NL_2017-11-30-tweedekamer-8.u252	I just saw the message on my cell phone so I looked at it and said that these children can stay in a familiar environment in the Netherlands. The predecessor of this Secretary of State, Secretary of State Dijkhoff said: no, they just have to go back to Armenia. Your party leader said about these individual cases: that is painful and should not really happen. I ask: do you still agree with your party leader, yes or no?
ParlaMint-NL_2017-11-30-tweedekamer-8.u253	This kind of thing is always poignant. It's about children, it's about people who have to go back to their country because a judge has judged it that way, but of course they're not waiting for it at all. I fully understand that, and these are poignant cases. I have just told you that I cannot comment on an individual case because I simply do not know that file. You're keeping a message for me that I haven't been able to read yet. If that's what you're saying, it's very good news for those kids and I'm glad to hear it. And for the rest, I'm gonna follow the news myself.
ParlaMint-NL_2017-11-30-tweedekamer-8.u254	The last motion concerns groups which need to be looked at carefully. You rightly mention two vulnerable groups. Can I understand the motion in such a way that it is intended that this applies to people who adhere to a minority religion and are therefore in danger? Does it also apply to Rohingya Muslims, for example?
ParlaMint-NL_2017-11-30-tweedekamer-8.u255	I've never thought about that before. I get the question. We're talking about converted Christians now. I can honestly and logically imagine nothing but that this also applies to other people who have been converted and are therefore in trouble. The same system should be used for this. I have to tell you, I've never heard of a case like this before. We have been approached by all kinds of organisations about homosexual asylum seekers. I've been approached by organizations about converted Christians. This case has never been submitted to me, but I can imagine.
ParlaMint-NL_2017-11-30-tweedekamer-8.u256	Okay, thank you. I now give the floor to Mr Verhoeven on behalf of D66.
