ParlaMint-BG_2014-10-31.u1	There is a quorum. I'm opening the plenary session. [[PHONE RINGING]] Procedure, Mr. Tzipov.
ParlaMint-BG_2014-10-31.u104	Ladies and gentlemen of the House, it's after 11:30. I'm calling a 30-minute recess at 12.05. (After the break.)
ParlaMint-BG_2014-10-31.u105	Let's move on. Mr. Kiril Tsochev signed up for a speech before the break. Here you go, Mr. Tsochev.
ParlaMint-BG_2014-10-31.u106	Mr. Chairman, Mr. Minister, honourable colleagues! My time is short, as our parliamentary group chairman is speaking and ate some of my time. So I'll be brief. I am speaking in my speech from last night's debate on the update of the 2014 budget, which provides for an increase in the debt limit to 4.5 billion. lv. The main reason is CTB. Therefore, I will propose two options with questions to BNB. The first option is without any legal changes, art. 109 of the Law on Credit Institutions "Separation of Bad Credits and Guaranteed Credits in CCB and Over-Governed Credits and Good Credits in the Bank "Victoria". There is no need to borrow with the exception of guarantees. Here my question is because we don't have any information on these cededes that are being carried out, the good wallet where it's going and whether or not that's where we're making the assignments. We need to be given data. The second option is the recovery of the bank's activities, the liquidation of the shares, the increase in the capital of the bank, the provision of the shares of the Guarantee Fund, under art. 54, para. 24 of the Public Finance Act, the Minister of Finance scored up to 1 billion. lv. on deposit in the bank for interest, the Fund is starting to act. The advantage in this case is that the Fund remains with funds of the order of 1 billion. 200 million. lv. A disadvantage is that the case of June 13-17 will be repeated with immediate withdrawal of the loans. The Bank's bankruptcy means huge losses for the economy, as it will block the work of part of the military industrial complex, of the heating and of over 30 municipalities whose accounts are located in the bank. An expensive model, but we have no data on how much the recovery will cost and how much the bank's bankruptcy will cost. Thank you.
ParlaMint-BG_2014-10-31.u107	He just said there's no recovery.
ParlaMint-BG_2014-10-31.u108	Mr. Tsochev, you have the right to request an extension of time.
ParlaMint-BG_2014-10-31.u109	No, thank you.
ParlaMint-BG_2014-10-31.u110	Thank you, Mr. Tsochev. You have the floor for lines. I can't see. Mr. Radan Kanev also signed up before the speaking break. Here you go.
ParlaMint-BG_2014-10-31.u111	Mr. Chairman, Mr. Minister, ladies and gentlemen! First of all, I would like to thank Mr. Borisov for his speech. I did it myself. He managed to very clearly say most of the things about point three that I had prepared to say. The question remains for us, but it is not an urgent question why point three should have been included in this draft decision in the first place. And isn't it time to abandon this very long-standing reflex to delay the problems when we face them, especially in this particular case? Reflex to delay leads to very large losses and very large abuses. If the reflex was not about delaying, just so we didn't face the problem first, but it was about delaying to continue the abuse, that is another matter, but I think now the majority of us, if not all of us, are aware that further delay is unacceptable, precisely because the bank's healthy assets are being devalued and reduced very rapidly. And they are an interest in the Fund and in the budget. This means for every client of the Bulgarian banking system and for every Bulgarian taxpayer. So much for point three. On item four, however, I would like to very strongly support the Commission's proposal and strongly object to the position of BSP and Mr. Zablyanov in particular. This is not about again after BNB and after the international auditors to evaluate the assets of the bank. We're talking about an international financial investigation company, the so-called "Forensic Accounting Campanis" an international reputational company to tell us where the money is. Because the money, as my colleague Martin Dimitrov said, does not get lost. There are abuses, there are attempts to cover them. The more time we waste, the more successful this money will be covered. But they are traceable, there are professionals who can carry out this follow-up and collect the necessary evidence for the Bulgarian court, the Bulgarian Prosecutor's Office and the Bulgarian investigative bodies and provide them with them. If we were against point three, it was for one main reason. We don't have to clink, we have to follow the law. It allows this money to be collected. Moreover, Chapter 7 of the Bankruptcy Act allows, after the withdrawal of the bank's license, its restructuring to continue and to seek the possibility to sell it as a whole. Therefore, such a move should not be considered impossible after the withdrawal of the licence. On the contrary, the law in force also provides for this possibility. Let us begin, as we all speak, that legality must be at the heart of our work and at the heart of our lives, to demand that everyone fulfill his obligations by law. This begins with the obligation of the BNB to establish the negative amount of capital, to withdraw the license and withdraw from the process in order to finally enter the Fund for Guarantee of Claims, whose powers were tried to be revoked at the end of the term of office of the past National Assembly. This fund must carry out all actions under Chapter 7 if it believes that this is necessary, but apart from the BNB and the Guarantee Fund, which must implement the bank laws, it must ensure that the Debt Guarantee Fund fulfils the requirements of the Commercial Law and goes on the path of insolvency on the heels of the creditors..... because opening insolvency proceedings against debtors enables their transactions carried out in order to cover up the money and the traces of the money to be in turn brought into court and declared null and void. We should finally apply the Penal Law, because if this robbery ends without convicted persons, we are once again turning deeply into the vicious circle of Bulgarian public life. Thank you.
ParlaMint-BG_2014-10-31.u112	Thank you, Mr. Kanev. The line is Mrs. Menda Stoyanova.
ParlaMint-BG_2014-10-31.u113	Thank you, Mr. Chairman. Mr. Kanev, I have already explained why we voted in the Temporary Budget Committee. 3, but after your speech, I would like to explain once again to you and the Members of the National Assembly. If the National Assembly had done their job, if the Council of Ministers, together with the BNB, had done their job and had previously transposed the European directive, whose transposition period is 31 December this year, we would not have had this debate. Because in the course of the special supervision, a special supervision of five months would have been implemented and the measures of the European Bank Restructuring Directive would not have gone bankrupt. We have tried at the first possible moment of the new National Assembly, in the situation in which we have been placed, by already issuing the report of the auditors, to give a quick chance to transpose some of the texts so that the bank can recover if possible, if there is a serious investor who wants to do so. That was the point of t. 3. So do not speculate that we had something else in mind about the state to heal and to pour money. Those were our intentions.
ParlaMint-BG_2014-10-31.u114	Any other lines? I can't see. Here you go, Mr. Kanev, for the back.
ParlaMint-BG_2014-10-31.u115	I'm afraid Mrs. Stoyanova's line was to Mr. Borisov, but he's not in the room, so I'll quote him. During the entire supervisory period, and before the start of supervision, there are many possibilities for restructuring under the current legislation, there are many opportunities for resolution under the current legislation. None of them were used. We're at the end of our first week of work here, I'm a bill that changes the possibilities for restructuring, I haven't seen. A bill to partially transpose the new directive, if that's so important, I haven't seen it. The intention of this bank to be healed and restructuring has not been stated once throughout this period. It is not understandable from there on why a new postponement was needed in order to initiate a process that could have started many months ago, but should have started many years ago. Thank you.
ParlaMint-BG_2014-10-31.u116	Thank you, Mr. Kanev. Mr. Zablyanov, a personal explanation.
ParlaMint-BG_2014-10-31.u117	Dear colleagues, Mr. Kanev, I regret that I have to repeat once again the position of the Bulgarian Socialist Party from here. We do not accept the approach of the Budget Committee to the Bulgarian National Bank. This is Mr. Professor. Gechev explained in depth why we do not accept it. Because it contradicts the principles of institutional construction because the Bulgarian National Bank is such an institution to which the National Assembly cannot tell her who to hire, what to do and who to give money to. This was explained by the manager of BNB, and the group of the Bulgarian Socialist Party shares this position. So I don't see what you're protecting. The second thing I want to say. The Reformation Block referred to 1996. Dear colleagues were then bankrupt, I believe, at the second stage nine banks, if I am not mistaken. None of the politicians then, including Mr. Ivan Kostov, declared themselves a delay, a rescue and so on, and approached according to the actual situation and the law. What happened in those 15 years between 1996 and now, tell me that here you are wondering what to do to avoid exactly the market approach? [[Replications from the Reformation Block.]] The bankruptcy is the most markety of all approaches.
ParlaMint-BG_2014-10-31.u118	Mr. Zablyanov, where is the personal explanation in what you are exposing?
ParlaMint-BG_2014-10-31.u119	Thank you for your attention.
ParlaMint-BG_2014-10-31.u120	Next up, Mr. Bayraktarov signed up for a speech.
ParlaMint-BG_2014-10-31.u121	Mr. Chairman, ladies and gentlemen of the House! Today, our task here, first of all, is to discuss the report which the Bulgarian National Bank presented to us with a volume of 61 pages. As a former bank professor, if my student had presented me with such a report, I would have written him three on the rails. I'm saying my personal assessment. Perhaps the most important thing in this report is written on page 1. 23 with a small and hard to read font that the BNB is not a party to the contract with the auditors. In other words, the BNB tells you: "Watch your work, we will not give you any information. The same BNB, honourable Members, is trying today in a very unpleasant and incorrect way to get all of us I will try not to use specialized terminology so that I can be understood by people who do not understand banking and, of course, by viewers. Dear colleagues, what does it mean to declare the bank in bankruptcy or as more popular is said in bankruptcy? First of all, this means that we can legally exempt the Bulgarian National Bank and its management from liability because according to art. 23 of the Deposit Guarantee Act, now all this deposit repayment activity is covered by the Deposit Guarantee Fund. Which of you wants here today to release the BNB for its action or inaction during all these not five months, all these twelve years? Dear colleagues, in his report BNB today tells us: "Dear ladies and gentlemen, twelve years in front of our eyes is developing a pyramid and we were blind, and we did not see that this pyramid is developing against the background of the Financial Investigation Directorate, against the background of the Financial Supervision Commission, on a Credit Registry describing all the borrowers and the companies that receive it. And there's no problem in tracking down the activities of this firm. Is it a hollow firm, even, I would say, if these companies were seriously drained VAT, for example? Moreover, honourable Members. This trap is not only based on this procedure to relieve the management of BNB of responsibility. This trap doesn't solve the problem of the depositors. Here I address the left because you have passed this Deposit Guarantee Act and this article. 23 in its depraved form. [[BSP LB.]] What do I want to tell you? This law and art. 23, colleagues, regulates the following. It regulates the procedure in which the payment of guaranteed deposits should begin. It is, in simple terms, twenty days and an opportunity to extend another ten days. However, I ask you why by chance in this article. 23 does not appear within what time does the payment of these guaranteed deposits have to be completed? Somebody answer me? In other words, the fund can pay off these deposits to people for 100 years each and has not broken the law. In other words, in no way do we solve the issue of the depositors.. those honest depositors who made the money honestly, put it in. Because to put that money in this bank... Each of you knows that a bank exists on one principle and it is called trust. First of all, this trust was backed up with state money, because we all know that the state kept some serious funds there and it is normal for the Bulgarian citizen, knowing that the state keeps his money there and that he should put it there. There's nothing wrong with that. However, somewhere you could read in this report that on June 20, there is no way I should use a special term, what were the values of the waiters in the figure money? Someone tell you in this report that the BNB has failed to fulfil its obligation, if the bank is in difficulty, to immediately call the shareholders of this bank. 80. If I'm wrong, correct me. Because the bank didn't take that action. Why? Should I remind Mr. Iskrov now that this same case was held in 2011 with another bank? There was something scarier, there were stolen deposits of the depositors. Third of July 2011, I have closed the journalistic investigation. Six months later, all the media went off. Turns out these stolen deposits were paid to artists, singers, thugs, and I don't know what. Bank supervision was silent. The D.A.'s office, too. And I'm asking you today, colleagues, what is the right decision? Yes, in no case should we damage the budget with public funds. In fact, we do not damage the budget, we damage the Bulgarian taxpayers. By the way, you should know clearly and accurately that if it comes to declaring the bank in bankruptcy, the fund has an instrument for collecting additional funds. Take a look at what's going on from here on out! It can raise these additional funds by requesting a pre-payment of contributions from banks to this fund. In other words, we will immediately load the Bulgarian honest borrowers with a higher interest rate on the loans received by them. Even more simply, we will no longer talk about saving 12% of the Bulgarian economy, but we will probably talk about about about 30% already. The Bulgarian business is so weak at high interest rates on loans. Here the gentlemen on the left are talking to me about 1996-1997. Your memory seems to be short, but I will remind you who was the chairman of the Bank's consolidation committee. By the way, you should know, fellow Members, that today the situation is no different from the one with 1996-1997. The Bulgarian National Bank is currently printing shock money on two public contracts. They're a fact. Any one of you can check them out. Two hundred million denominations. Any of you know what the total value of these 200 million denominations is... 5 billion, 10 billion, 30 billion? The Monetary Council or known more to the general public as the Currency Board has been questioned. No one knows what the value of monetary gold is, which should guarantee the course of the euro, no one knows what the value of the Currency Reserve is. I say no one knows, because we are all witnesses here today that even BNB has not seen that a pyramid exists for twelve years. That I should trust the BNB now for the reports it publishes. Because you are not so naive people to believe that the BNB wants punctual printing of money, because there are banknotes that are damaged and should be pulled out of circulation. Gentlemen, 10 billion. 800 million. lv. is the money in circulation. Are you all going to change that something doesn't sound right to me? At the very least, you sound improbable. Colleagues, I know that maybe today's decision isn't right, I know we've been put... [[The President signals that time is running out.]] Just three sentences and I'm done.
ParlaMint-BG_2014-10-31.u122	Ask for a time extension.
ParlaMint-BG_2014-10-31.u123	If I may, I'd like to extend the time.
ParlaMint-BG_2014-10-31.u124	Go on.
ParlaMint-BG_2014-10-31.u125	I know that most of us here have no responsibility, but unfortunately, we have this responsibility. I know that today lies the heavy task of making a very serious decision, which, unfortunately, is not backed up with any information. Because I have to tell you that 2012 the Financial Supervision Commission is referring to the SANS for a patent. Notice, colleagues, a patent to build wind parks on high peaks. This patent was assessed in strange circumstances in three revaluations of 547 million. Then it was listed on the Stock Exchange, and this company, which, by some strange consequence, is linked to one of the main shareholders of this bank, has become the largest public company with capital of more than 2 billion. lv. Then these shares were sold 5 BGN, today the price of these shares is one penny. By the way, this is how you drain a bank. Because the people who bought shares have drawn loans to buy and become shareholders in one other enterprise, which is actually a paper, a hollow enterprise. DANS doesn't have a row of what's going on. I ask today Mr. GNP Manager: Did you receive signals from Financial Intelligence about this pyramid, as you described it in your report? If you've received, what measures have you taken? You, honourable gentlemen of BNB, are telling us today: "Dear citizens, honourable Members of the National Assembly, you cannot believe the certified reports, because every legal person, as is the bank, each year its accounts are certified by graduated and established authorised auditors. So these auditors are also liars. They've also lied to us, respectively, to the Bank's supervision, which turns out to be the case, on documents that have flown from here to there and decided. However, I did not understand which methodology you re-evaluated the assets. In International Accounting Standards there is an International Accounting Standard 16, which obliges the legal person, if there is a sharp change in the value of the assets, to proceed immediately to revaluation. Well, damn it, was this Bank supervision blind, with strong dark glasses, that he couldn't understand that there was an asset devaluation at all, in fact there wasn't at all, or would anyone want to grab some fat assets at a price and we could be accomplices here in this robbery? Who among you knows who is the owner of BTC, the owner of Vivacom, the owner of Bulgartabac? Could these businesses have been purchased with money from this particular bank? And who's supposed to take them for cheap now? Maybe Mrs. Nino knows she was involved once as some manager in BTC?! But there are two faces here that we should ask them. One of them was successful Bulgarian at 33 years old, who turned out to be not participating in any company, but moved with ten guards. I don't know what he's paying their wages with. Well, hasn't anyone thought of these institutions to check out this successful Bulgarian, full-bodied? There's a finance minister... Because the attack, honourable Members, against this bank began precisely through the media related to this successful Bulgarian. Let's say these things. What prompted this attack? In addition to having started through these media, it is supported by a strange decision of the Supreme Administrative Court to announce precisely the Microelectronics Technology Centre in bankruptcy and the introduction of a trade union. In other words, blocking his activities, and most likely draining the assets that are valued, I think, by memory, of about a billion and something.
ParlaMint-BG_2014-10-31.u126	Mr. Bayraktarov, please navigate towards completion.
ParlaMint-BG_2014-10-31.u127	Yeah, I'm graduating. And most importantly: here was Mr. Chobanov, who, after looking smartly at me an hour ago, has already disappeared, to answer what action he has taken as a finance minister to protect the banking system, because today there is a serious question. If what this report describes to us happened at KTB, what is the guarantee that it didn't happen in all the other banks? We have today the responsibility to restore trust in the banking system and to reassure Bulgarian citizens! And most importantly, make such a decision that they are not harmed. Thank you. [[Applause from GERB and PF.]]
ParlaMint-BG_2014-10-31.u128	Thank you, Mr. Bayraktarov. You have the floor for lines. I don't see anyone who wants to. Mr. Yanaki Stoilov, come in for a statement.
ParlaMint-BG_2014-10-31.u129	Mr. Chairman, let our time be extended as well. Mr. Minister, ladies and gentlemen, MPs! Probably today's discussion concerns several hundred thousand Bulgarian citizens. It is a good thing that one of the first issues covered by the Forty-third National Assembly is the report presented by the Bulgarian National Bank. I'm going to try to speak more freely and find out what happened here in the discussion. After the statement of the Chairman of the Management Board of the Bulgarian National Bank it became clear that there are no serious investors who are ready to devote the necessary huge funds that can heal and stabilize Corporate Commercial Bank. This proposal contained an invitation to the State to allocate more than 2 billion. BGN, and others, having the assets they will receive, to be accounted for and thus to cover the difference up to this 4 billion. That's the harshest way to put it. After the statement of the President of GERB, I was under the impression that the importers of the draft decision themselves are ready to withdraw the most controversial point, which imposes the obligation of the Bulgarian National Bank to take action when the bank's own capital becomes negative and thus heals the banks. Therefore, I will not dwell on the highly inappropriate proposal contained in the draft decision. However, I call on the parties on this occasion to reconsider, to a large extent, their current policy. They continue to claim that the state is a bad owner, but whenever other bad owners bring things to the point that they will dramatically affect the interests of Bulgarian citizens, they will finally turn to this bad owner of the state to pay all the bills. And they tell us that the state could not provide any guarantees on its economic projects, but, you see, when private individuals develop a business and it has failed, the state must always have something to guarantee them! You're suggesting that we continue on this path. I think before you form the government, it's good to start revising some of your policy if you don't want to crash. Because we do not want this catastrophe to affect the whole of Bulgaria. I'm saying it as an opinion. That is why we continue to hold the President to announce the transcripts of these meetings with the representatives of the political parties, where the problems of the Bulgarian banking system were discussed, including the Corporate Commercial Bank and our position then, in the previous weeks and today, is based on the same principles. Therefore, it is understandable to me, so it can lead to a partial solution to all accumulated problems. Because what credit activity are we talking about when, among these main 138 companies, who practically hold the entire loan portfolio of the discussed bank, half have no own business or is it highly limited and their revenues are generated entirely or predominantly by third parties? We're talking over 3 billion. lv. What is this, if it is not the philosophy that banks can collect money from companies, from citizens and finally distribute it to a limited number of individuals who are inside this bank itself, of course, in most cases, directly through straw people who will take us out of some law and say: let's see who the shareholders are, who the borrowers are. But to the real benefits in many cases we will probably not get, as they are precisely in this intermediate chain or are in some offshore zone and so on. So this is the picture we're dealing with. There's another question we need to ask ourselves that I don't have an answer to, but it's very important. Is it a coincidence that, just after KTB acquires the current bank, Victoria, the Prosecution Office's police are entering the offices of KTB?
ParlaMint-BG_2014-10-31.u130	Ask your minister!
ParlaMint-BG_2014-10-31.u131	No, no, these are the actions of the Prosecutor's Office, which runs the Ministry of Interior and I am asking a question which is also curious from a financial, legal and political point of view. The other questions are about this bank's interest rate policy. As far as I know, long-term interest on total deposits was 7%, at least until the end of spring of this year, when it dropped to 5%. The Bulgarian National Bank is informed, as all banks should do and, notice, for long periods of time Corporate Commercial Bank pays on the underprivileged deposits interest that exceed twice the average for the Bulgarian bank deposit market.
ParlaMint-BG_2014-10-31.u132	Do we have to do it, the depositors?! There's a bank supervision!
ParlaMint-BG_2014-10-31.u133	I ask all these questions, yes... And what would happen, to remind those who say: it doesn't matter whether we are in the procedure of special supervision or in the procedure of bankruptcy. The Bankruptcy Act itself........................................................................................................................................................................................................................................................... From the same date, actions and transactions aimed at collecting, negotiating or securing claims against the bank, as well as executions of its monetary obligations, regardless of how they are executed, may not be carried out. Do those who offer us new delays aim to continue this? Because intercepts, disposals and other transactions are continuing at the moment and they can lead to even greater impairment of assets by hundreds of millions, while conscientious citizens are ordered to obtain the guaranteed funds. Therefore, I believe that delaying decisions with some obligation of the National Assembly to pass laws is a ridiculous act which I think has not been done so far. The legislative initiative is of the Council of Ministers or of the individual MPs. And if someone feels that in the next few days until that date at the end of the first week of November something should be proposed and changed, they should do so and Parliament should discuss it very quickly, and not adopt a decision with a wish that contains absolutely nothing. And also to draw attention to the rules of crediting deposits, because today it is said that the Deposit Guarantee Fund is not able to cover all the rights that are equivalent to 100 thousand. Euros. In addition, the Commission notes that the Bank's restructuring plan has not yet been implemented and that the Bank's restructuring plan has not been implemented. This estimate must be made, and then it will probably be that now the funds available in the Fund will almost fully cover the contracts under general conditions, without referring us again to who to raise funds and where to look for them. Furthermore, it is said that if funds in the Fund do not reach, the Fund itself, which I have seen so far, has been doing nothing, as other institutions involved in the case, may decide to raise the banks' contributions in advance for next year. Has anyone asked that question? Or everyone here comes to Parliament and says that Parliament is on the move. The Fund itself may unilaterally decide to increase the amount of this contribution threefold, that is, to ensure that additional funds are sought, we know, and so on, not to list the entire sequence of actions. And now the caretaker government, Mr. Minister, and his prime minister, are offering us huge funds, which we can still spare, just in case, 2 billion. lv. on this subject. However, if we continue like this, there is a danger that we will blow up the Bulgarian banking system because the problem is not the only problem of the Bulgarian banking system. Today we are in front of the test how we will solve this most painful problem and if we do not solve it openly, in principle and without damaging Bulgarian citizens, the risks to our banking system will not be reduced, but will increase significantly. At the end of my speech, I recommend that the importers withdraw the draft decision because it is in most of its points unnecessary, and in the one which was most contested, it is extremely dangerous. I expect no coalition of the guilty financial-political conscience to be formed today to support this project. I'm saying this for a reason, because the boundaries in it don't just go politically. We also propose a draft solution. It can also be a separate point.. depending on what you decide, with a single and clear sentence: The National Assembly accepts for information the report of the Bulgarian National Bank, expressing disapproval of the actions of the Governing Council of BNB on the supervision of the Corporate Commercial Bank. This is the logical finale of today's discussion and let all of the competent authorities continue with these actions, which should ensure the stability of the Bulgarian banking system, ensure that the depositors to the extent in which they must receive their funds in due time and from now on really act in a way that is not corporate, which is not influenced by the political situation, but who defends the Bulgarian interests, respectively the interests of the vast majority of Bulgarian citizens, business and stability of the state institutions. Thank you. [[Applause from BSP LB.]]
ParlaMint-BG_2014-10-31.u134	Thank you, Mr. Stoilov. You have the floor for lines. There aren't any. Mr. Rashidov, come in for a statement.
ParlaMint-BG_2014-10-31.u135	Mr. Chairman, Mr. Minister, colleagues! I didn't mean to make a statement. I rather wanted to see this whole fair. I just want to thank you for obviously separating taxpayers well from depositors. You mean the depositors are not taxpayers. Thank you for that. Rather, it is the depositors who pay taxes for the treasury, because these are not just the ones who pay taxes. Thank you for separating the country from the Bulgarian people. That the state is the whole Bulgarian people! How is it that at some point the money of the state becomes state, and the people who fill the banks, for which there are even BNB, they are some investors?! Secondly, thank you that 6-7 million assets sit for stealing and you are ready to fill with the money of the Bulgarian taxpayer, as you are saying to fill 2 billion to pay for someone to collect 6 billion. Is that what you're doing now? What about the rest of the money of the honest Bulgarian taxpayers?! Because next time I'll bring you my contracts with the Bank, you'll see, it's very interesting. As a naive man and an artist I realized that there was no clause in the guaranteed deposits contract, even banks hardly warn, there must be a clause in the contract that is up to 100,000. I didn't know that either. I taught him that in Bulgaria a person should just keep his money somewhere on Seychelles. You taught me! You taught us a lesson today! Well, where does the rest of the honest taxpayers' money go after 100,000? A euro?! And what are you telling me, gentlemen? The rest of the Berquet Versin which king, king! I'd like to learn a lesson from now on. That it's a lesson from Angel, who from Chicago said hello to me. Pa, 10 banks from the First Private Bank, when you started it, it's always a lesson to us! Today, this bank is not only for a lesson, to have a hack like the Bulgarian people...... we taught them to hate those who can produce money to put money in the budget to have for pensions, health care, because there is no one to put it. I can tell you that many people here who we may envy costumes on the Court of Auditors' websites are not good taxpayers, they have no savings. Yesterday I saw some people who willingly explained, rich bankers, that I was the richest among them. Colleagues, to respect the people who pay their taxes every day, to respect their funds because these are the money of the Bulgarian state, de facto the Bulgarian people are the Bulgarian state. How come at one point it's a country and the other is a depositor? I thank you on behalf of the damaged Bulgarians.. they are about 500 thousand with this Bank, thank you for helping really ten people to steal from us. Thanks for the theft. Thanks.
ParlaMint-BG_2014-10-31.u136	Thank you, Mr. Rashidov. - What's the line? I won't. Any other speeches? Mr. Yordan Tsonev, come in.
ParlaMint-BG_2014-10-31.u137	Mr. Chairman, Mr. Minister, honourable colleagues! The position of the Parliamentary Group of the Movement for Rights and Freedoms is very clear and it has been consistent since the beginning of the crisis with CCB, and there has been a crisis in the banking system at one time with other banks. This position was followed by a number of actions that I will recall now, because there are new colleagues in Parliament and also the viewers they are watching probably do not know. In the course of the election campaign, I realized that a lot of people didn't understand about our actions. Our position is dictated by three principles. Firstly, there should be maximum rapid access by the depositors to their savings, which are guaranteed under the rules of European law, in the case of the European Directive. First of all, we tabled at the end of the last Parliament a proposal on behalf of the parliamentary group - these depositors - to have access to their deposits 60 days after the announcement of the quaestura - if no decision has been taken to withdraw the licence. These 60 days ended on August 21st, the problem would have been solved. It was rejected for procedural reasons. If anyone gets up to replicate me, I'll explain how it might not have been rejected for procedural reasons if it had been adopted previously in the Budget Committee. I will not comment on which parties were absent or who voted against because I do not want to politicize, unlike my other colleagues who spoke before me. The same proposal proposed transparency. To illuminate all deposits, all loans of the persons who occupy senior state positions, because from the beginning of the crisis in KTB is spoken about this bank as a bank of power, and since the power exists, it has had 4-5-6 configurations since its acquisition in 1999, to recall the sale of 11 offshore companies, by the state-owned bank, with the approval of the Bank's consolidation company and the then government, to this day-to-day. In this regard, our proposal was renewed not in any law, as Mr. Stoilov said, where nothing would be seen. If something is not seen, you must do everything possible to see, and if, after doing everything possible, both as an investigation and with international participation, and with the participation of companies that really have great experience in investigating financial flows, then this thing is gone. I know this will take you away from throwing things at my colleagues, including Mr. Peevsky, accusations, but this is our policy and we told you at the end of the previous term, we're telling you now. Everything about the case KTB must become known to the Bulgarian public, so we are submitting this law with Mr. Peevski, signed by our President Mr. Mestan. We are ready to change in it the whole range or add things that will lead to greater transparency and guarantees, because this model really cannot be repeated. Because this model is a criminal model. Because such a hit on the banking system has not been done since the beginning of the transition. Since I'm also involved in financial analysis, I'm going to tell you that the total mass of the 17's devaluations, not the 13's bankrupt banks, is $2.5 billion. This is the total mass of the total cost of all the savings of the Bulgarian citizens "2.5 billion dollars" were they in 1997, and here we have 4 billion if we also take the non-garanted "5.2-5.3 billion." This is a severe economic, financial and reputational blow. The model needs to be made clear. That's the model who! That's the model who, let's untangle it. The DPS offers you, gives you a hand. We've done a bill, let's all join this bill, let's accept it and move on. If this turns out to be an isolated case, if we take all the steps, I think we'll have done our job so it won't happen again. To say one word again about those made without any soil, accusations that the bankruptcy of this bank, I will use this popular word, although it is not yet in actual bankruptcy, started with disclosures in the newspapers about Mr. Peevsky and his mother. That's not true! Newspaper "Capital" and the editions around it as well as the newspaper itself. "Capital" a few days ago confirmed, published the list of all these companies, which we now see in the report of the auditors of connected persons, long before the prosecution took these actions. No one took this investigation seriously then. I'm using the case to congratulate investigators from C. "Capital." All these connected companies, the whole drain mechanism was clearly described in these publications. Who did the D.A.'s investigation start against? Checking the protest network against Mr. Peevski and Mr. Tsvetan Vassilev. The prosecution has launched actions on this signal, according to the prosecution itself. Can Mr. Peevski be simultaneously subject to the inspection and simultaneously subject to the signal? Of course he can't! Then? When we speak from this tribune, we should really step on real facts and not on mythologies. We of the DPS will not tire of repeating and submitting bills and fighting against this phenomenon. When we talk about the backstage, we will talk about facts and names, we will introduce bills, we will require precise and clear action by the authorities that have such rights and obligations above all else. For this reason, I reaffirm once again the strong decision of the parliamentary group to follow this direction. So, to tell Mr. Martin Dimitrov, thank you for supporting the fourth point, it has been submitted to the project by the DPS. Thank you. It really is in this direction to investigate all financial flows from a company that deals with this and has great experience in it to get to the bottom, to get to privatisation and from there to here to see who really who is who. In the direction of transparency, I would like to say, colleagues, because it needs to be heard by both you and the viewers, and to remain in the protocol, we will monitor very carefully from here on the mechanism under which the bankruptcy procedure will be carried out. Dear colleagues, from now on, as Mr. Radan Kanev rightly pointed out and listed them, the Deposit Guarantee Fund is starting to act. He will propose to the court the trade union and he will manage the processes of acquiring the appetizing, as you have said, assets. We have suspicions that the current director of the fund will be waiting and monitoring every action is linked to an economic circle which has its representatives in the Bulgarian Parliament and he is preparing to do so. This round already acquires unguarded deposits at a haircut of 50 and 30%. We have accurate information about this, but guided by the principle of not blaming before there are precise acts and facts, we will do so when it does. I'm just warning you, we'll be watching closely the actions of this fund, one by one! You'll see where the connection is, you'll see who wanted the bankruptcy of KTB, you'll see who organized protests about it and who didn't even think if there was a little market opportunity to do something about the bank. I, as a specialist, claim that nothing can be done in this gigantic theft inside, but nevertheless opportunities had to be given, obviously they were either missed or exhausted. The next direction in which we "in the Movement for Rights and Freedoms" have moved our actions and spoken in the election campaign is to transpose European legislation, to transpose this directive, which allows resolution authorities of such banks, to have restructuring instruments of such banks, and not to the extent that the Bulgarian Parliament is now wondering, if there is a chance for a bank to be restructuring, whether we have enough tools for this and whether there are officials, and whether there is a resolution authority. Yes, Bulgarian legislation was perfect. I have personally been involved in making this legislation since 1997, but it is lags behind. The legislation changes with the terms. How many things have we changed since the beginning of the banking crisis in the world? How much? Too little! And the European legislation is changing and there the dynamics are very great, so the Movement for Rights and Freedoms will also want this to be a transposition of the directives, updating the Bulgarian financial legislation in this direction so that it can meet these challenges. Thank you for your attention. [[Applause from DPS.]]
ParlaMint-BG_2014-10-31.u138	Thank you, Mr. Tsonev. Colleagues, you have the floor for lines. Here you go, Mr. Slavov.
ParlaMint-BG_2014-10-31.u139	Thank you, Mr. Chairman. Dear colleagues! Mr. Tsonev, I was under the impression from your speech that you do not understand the three most important things that are actually being sought by this decision that we are about to vote on. First of all, are small and medium-sized investors and start paying off their deposits, which continues not to happen anymore I don't know which month. Secondly, it is sought to strengthen banking supervision and strengthen its functions so that no more such things happen in Bulgaria. Last but not least, and what you obviously didn't understand most, it's about finding out where the money is. Because the money has gone somewhere, and your bill, which you have here praised us, is exactly what it does not answer. He answers as far as the first borrower in the chain is. However, to whom he has been handing out credits, your law does not foresee revealing itself. There's the money, Mr. Tsonev. This could be understood by the international investigative company designed to deal with this thing. Your bill says about a company that has experience in financial asset operations. Such a company, when I think about it, could also be an Ivan Petrov company, which will obviously not go as far as the money actually has to go and find out where the money went. Thank you. [[Applause from RB.]]
