ParlaMint-BE_2016-02-03-54-commissie-ic333x.u1	Colleagues, the minister is available until 5:00 p.m.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u65	Madam Minister, I will not repeat what Mrs Cassart-Mailleux has already said about the KCE report. This contains a number of remarkable figures, especially about the general practitioner. However, it has a very important position in health care. In other words, it remains a challenge, on the one hand, to attract sufficient staff and, on the other hand, to ensure that the profession remains sufficiently attractive. For the profession itself, it is important to work permanently, and this is what you are doing, inter alia, to reduce administrative burdens, optimize the operation of the guards and so on. Before the summer recess, we discussed the dynamic register in committee. In this context, you indicated that you would develop scenarios for specialities and that actions would be prepared for the bottleneck specialities. Madam Secretary, can you give us an update? Where do you stand with the development of these scenarios and the development of actions for bottleneck specialities? Are there any proposals to further improve the entry of students into general practitioner training? I know that the Communities are competent for the training of doctors and the introduction of subquotas, but have there been discussions with them on possible solutions and actions to deal with the problem in general medical practice? My second question concerns my favourite subject, namely the initial examination on the Walloon side. There have been several articles on this subject. For example, there is the study by the UCL, in which there is talk of a surplus of four thousand French-speaking doctors in 2020 instead of the three thousand proposed by the Planning Committee. The problem is only getting bigger and that also means that it will be more difficult to agree on a correct term and relationship with a negative lissage. I'm starting to get a little hopeless in this file, but you already know that. I have a question following an article published in the French-speaking media concerning the discussion on the French Community Decree which provides for the installation of the medical and dental student selection test at the end of the first bachelor's year. According to some, the decree would also discriminate against students who started their training already in the academic year 2014-2015, but did not fully succeed in that first year. Students who didn't get enough results for the exams in January 2015 could opt for a cure and finish their first bachelor's degree in one year or the option to spread their first bachelor's year over two academic years. Although that last group is still in the first bachelor year, Minister Marcort's decree exempts only that last group from taking the selection test in June 2016. That would be discriminatory for the students who opted for a cure, but eventually did not fully succeed during the second sitting in September. Are you still with me? It's gonna be a soup that way, of course. Let's get that straight. I understand that this would mean discrimination. So I fully understand the question of the students, but I also understand, of course, that this filter and the associated problems that arise from it are the responsibility of Minister Marcourt. It is absolutely not for you to take responsibility for this, but what interests me here is the question of how will the number of students exempted from assessing the effectiveness of the filter be taken into account. Can I assume that the exempt students who do not have to pass a test for Marcort will be counted by you for the purpose of obtaining the quotas? Otherwise, of course, it is only a very clever way of starting with more students in the second year, although of course we do not have a message of our own.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u66	Madam President, Minister, two recent reports provide conclusions that once again illustrate the need to reform the medical supply quota policy. On the one hand, the 2014 report of the Commission de planification de l'offre médicale points to an overrun of quotas and, in its conclusions, refers to the need to take new measures for the quota of doctors in the French Community. On the other hand, the third study of the Federal Centre of Expertise in Health Care confirms the existence of shortages of general practitioners, especially in rural areas, which is very often referred to. I think there are two aspects to be distinguished: on the one hand, there are the findings concerning the forecast of quota exceedances imposed by 2018 and, on the other hand, there is of course the question of the relevance of the quotas imposed. We believe that these quotas are not relevant because they are not based on a specific cadastre. By drawing conclusions on untenable grounds, all the Commission's work is suspected of lack of objectivity and, unsurprisingly, its report has raised strong objections both from the Interuniversity Committee of Medical Students and from the Minister for Higher Education of the French Community. It should be noted that the Commission itself states that actual exceedances should be less than those projected because it does not take into account the following elements: graduates who will not introduce an internship plan in curative medicine, research mandates beyond 2014, deaths and abandonments in quotas. Madam Minister, I would like to know whether the term "abandonment" also covers the retirement of doctors, as I suppose. Furthermore, how do you explain the fact that, despite this reservation on the realities taken into account and the expectation of a dynamic cadastre, the Commission recommends that new measures be taken in the French Community? Shouldn't the Commission focus on finalizing the cadastre so that these quotas can be quickly adapted to reality? The KCE study, carried out in collaboration with the INAMI and the Scientific Institute of Public Health, which confirms the existence of shortages in rural areas, seems to me to reflect more the concerns of the actors on the ground. It is well known that in the Namur-Dinant-Luxembourg area, the age of doctors suggests stark shortages or even total shortages, which is why I have tabled a motion for a resolution with a view to quickly identifying INAMI numbers for young people who will be there. I hope that this proposal can be debated in this committee. In general, alarm bells are regularly drawn. Since the filing of my question, the UCL Medical and Paramedical Information Centre has again published a study with worrying conclusions, since it shows, in particular, that if nothing is changed, from 2021 to 2027, only 22% of Francophone physicians who are about to retire could be replaced by new ones. Shortages are already effective in some specialties. You yourself have recently confirmed a flagrant shortage of geriatric doctors in response to a parliamentary question asked by Mrs Jadin. We'd need another 700 geriatricians in our country. We have just learned that a 70-year-old doctor had to be recalled at CHR de la Citadelle de Liège because there is a shortage of specialists in blood diseases. Minister, will the government continue to deny the realities on the ground for a long time to satisfy those who, in the north of the country, continue to claim that Francophones overconsumption the medical supply, in disregard of all the studies that have demonstrated and yet demonstrate that this is not the case? Thank you for your thought.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u67	Minister, I try not to question you every time there is a report. However, there is not a month that has passed without a report highlighting the difficulties we have in meeting the needs of general practitioners and specialists. I am not asking you about the links with the organization of studies, which falls under another level of authority. What interests me is that there are doctors on the ground to meet the needs of citizens and patients. In 2015, the WHO identified a problem in responding adequately to the aging population, because there is a shortage of young people to take over doctors and, especially in general medicine, there is a problem with the distribution of these doctors. In its report on the performance of the health care system, the KCE, whose representatives we heard yesterday in committee, also highlights too long waiting times, a lack of renewal and therefore an ageing of doctors, a problem of distribution of general practitioners mainly on the ground. The number of foreign doctors who come to Belgium outside the quota has apparently increased by 33 % since 2010, as they were 504 last year. Solidaris has also published a study that highlights the aging of medical consultants and the lack of candidates to replace them. Family planning centres have long been telling us about the lack of general practitioners to perform abortions. You have had to make a royal order that allows you to retain their licence to doctors practising outside the practice, who do not participate in the guards and other obligations required by other generalists to meet this shortage problem. Each time, the answers received to these findings are that it is an illusion, that there are too many candidates in training, so there can be no shortage. Yet they're here. There is also a refusal to evaluate and organize the distribution of health actors on a territorial basis. For me, this is really a gap in the work done, in particular to make the cadastre more dynamic since this is the objective pursued. Another concern: Ms Denise Deliège and Mr Etienne De Clercq point out, in their work at the Centre d'information sur les professions médicales et paramédicales, that there are many shortages, a problem of renewal of doctors, that we will find ourselves with curves that will no longer correspond to the needs of the field because we do not take enough account of the length of the training and the renewal-ageing cycle between doctors. Everything goes in the same direction, except for the political responses given. I would also like to know what is the status of the work of the Planning Commission and all this work on the dynamic cadastre. I rest on the question of working on a territorial basis that makes it possible to approach the population, a system of care present or not present and the characteristics of this basin of care or this basin of life, no matter how it will be called. Is it not to be said that the important thing is the real labour force rather than the statistics compared with population densities?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u68	Madam President, Minister, many things have already been said. A sentence in the KCE report says everything: "The indicators on the current availability of human resources in the field of general medicine and nursing question the ability of the system to meet future health needs related to demographic change." We don't have to project ourselves in two centuries, but in the near future. It's not new! Moreover, all the elements converge. We cannot fail to make you aware of this reality. In addition, there is a study, which does not emanate from the opposition, but from Professor Deliège of UCL. Madam Minister, you are constantly pointing at the number. I will not even mention the workload, but I would like to draw your attention to the age pyramid, which is much more stable on the francophone side. We also know that the deficiencies in training are more acute in general medicine and certain specialties such as geriatrics, paediatrics and emergency workers. The faculties of medicine and dentistry rang the alarm bell on January 29. You know that I regularly come back to you in this regard. You announced that the students who finish this year would not have any problems. However, there are still those who are in the pipeline and who will be subject to the selection set up in the French Community. Of course, we can't say that we're going to take care of the graduates while saying "zut" to those who are still in the curriculum. Guaranteeing an INAMI number for those who succeed is our collective responsibility. I heard – and this is not the first time – a somewhat caricatural presentation. I am telling you clearly - and also at the N-VA - the responsibility of the French Community today is to guarantee what has been agreed. It's a form of contract. There are so many young people who need to be selected to start their studies anyway. This selection is put in place. We need to ensure its effectiveness. On the other hand, with regard to the arrangements chosen, first of all, I cannot hear the N-VA saying at the same time in its competence, it is the Community, and all of a sudden you are showing us discrimination on the terms of the French Community, even though you have forgotten it in legal terms. We'd have to review your file! The Constitutional Court ruled on this matter a few years ago. Go back to the opinion of the Constitutional Court in this case! It's implacable! The selection is in place and effective, I know it because I see what is happening today in medical schools. Madam Minister, we cannot continue to postpone the message and to repeat that there is no problem, that everything is well and that at this stage nothing must be done.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u69	You say we can't. Who are you talking about? We've got to name it!
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u70	We can't, you can't go on.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u71	I never said that.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u72	You don't know what I'm gonna say yet. You cannot continue to be passive.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u73	Mrs Fonck, stay on your question, the minister has to leave at 5:00 p.m.; otherwise there will be no answer!
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u74	I have already heard you say in plenary that there is no demographic problem or shortage. You've been saying it all over again. I repeat that all reports go in the same direction. You cannot continue to deny the evidence. Secondly, I have already said it ten times, and I do not know how to say it otherwise, is it not time that, at all levels of power, all those in charge see themselves here on the assignment of the INAMI numbers, and that the question of the pipeline between the students who are leaving this year and those who are arriving and who are already being selected today is decided? I honestly find that in relation to our young people, doctors and dentists who will graduate, there is a hostage-taking that I do not think is acceptable.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u75	Ladies and gentlemen, please know that your reply must be very brief, given the time allotted!
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u76	Madam Chair, I thank the various speakers for their questions. I have, of course, taken note of the KCE report, to which the administration of public health and health insurance have made a major contribution. This report is certainly one of the various studies that will enable the Planning Commission to set the next quotas for 2022 and subsequent years and to make useful recommendations. We are still awaiting the production of additional data by government analysts. Following the release of the physician activity cadastre in June 2015, the Planning Commission continues its work. The mathematical model of labour force evolution has been redeveloped on the basis of a more powerful statistical and computer tool to allow for more relevant analyses. The physician working group met in January 2016 to discuss the first baseline scenario. It is also general medicine that starts the long list of scenarios that will be developed by the administrative analysts. Then, such a scenario will be developed for each of the 34 medical specialties. The scenarios will be finalized so that the Planning Commission can set and validate the federal quota that will apply in 2022. Quotas must be validated by April/May of this year at the latest. The same work is being done for dentists in order to set the quotas for 2021 as well. Secondly, the Planning Commission will continue its analytical work in order to develop alternative scenarios for the evolution of the labour force. As a reminder, the basic scenario is a scenario of continuity that reproduces for the future the same trends as those observed in the past. Only the demographics are changing and, with it, the structure of the Belgian population's consumption of care. On the other hand, alternative scenarios make it possible to envisage different developments and to model the impact of political decisions or any other variation in the many parameters of the model that the Commission's medical working group will consider plausible. This work will have to be finalised in order to define the application quotas from 2023 onwards in April/May 2017. The federal level has already put in place several elements that have already contributed to improving the proportion of general practitioners, even though the upgrading of medical remuneration remains critical. (...) the various Impulseo funds to assist in the installation of general practitioners who have a follow-up at regional level. The establishment of minimum quotas for certain specialties, including general medicine, also had this objective. With the sixth reform of the state, most of the instruments available to the federal government (the Impulse Fund, the minimum threshold) were transferred to the Communities. These include "subquotas". The members of the Planning Commission are, of course, sensitive to the situation of general medicine in relation to other specialties. I would remind you that the three Communities have a representative who sits with an advisory voice in the Planning Commission and participates in its work. In addition, the Health Working Group of the Interministerial Health Conference is currently working on the drafting of a Memorandum of Understanding between the Communities and the Federal Government in order to resolve the situation of the excess number of students. In this working group, when medical supply planning issues are addressed, representatives of the Ministers of Education are also invited, since this issue concerns both health and educational implications. In 2015, the French Community adopted a decree which indeed installed a filter at the end of the first bachelor's programme. A number of transitional measures were also provided for. It is not for me to judge the content of these measures. It is solely the responsibility of the Minister responsible, Mr Marcourt. I trust that both the French and the Flemish Community will adhere strictly to the agreements on compliance with quotas. The numbers to which reference is made do not occur at the federal level, but at the level of the Communities. It is the Communities that have to decide which students receive a university certificate and thus fall within the federal quota. We've come a long way. Last November, a catch-up movement was reported to try to overcome the historical shortage of general practitioners. In 2009 there were only 92 graduate general practitioners in Flanders. That has already gone up to 209 last year. That's sensitively better. The potential would be present to get 285 graduating general practitioners in Flanders in 2017, which is another improvement. In Wallonia we also see that the direction of the general practitioner attracts more students. However, it remains the case that doctors choose their own specialty after general education. It is therefore up to the faculties and the occupational groups, as well as us, to increase the attractiveness of the professions, for geriatrics, for general practitioners, for psychiatrists and for all other medical professions in which there is a shortage. Mrs Fonck, I have an ongoing dialogue with Mr Marcourt, but he is not yet ready to sign the protocol that I have been proposing for several months. I have a lot of patience, so I'm waiting. But I am also impatient, because I understand the stress of students and their parents. And for students, it only comes in addition to the stress of passing exams. We're working three on the solution. And, as I said, I need a political agreement with the Communities. And you know very well that it's not easy.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u77	Madam Minister, before I give the floor to my colleagues, can you tell me whether it would be possible to hold a meeting in our committee with the members of the Planning Commission, before the validation of the scenarios to be held in April or May?
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u78	This is not my decision, but I can make the request.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u79	Madam Chair, Minister, thank you for your answers. It is clear that you inherited the situation. At the federal level, various measures have already been taken. You mentioned them. The work you do in collaboration with the federated entities is important. But you can't decide everything. You said that you were in contact with Minister Marcourt, but that Minister Marcourt was not ready to sign the protocol. Work must be done within the French Community, the Wallonia-Brussels Federation. As regards the attractiveness of the profession of general practitioner, work has already been done. This is a long-term work. The solution is not obvious. But we must continue to work in that direction. The figures you gave us are positive. In collaboration with universities and all levels of government, there is a need to continue to work on this issue. I thank you, in any case, for the work done. As you said, we're all worried about students, families. But I would remind you that this is a situation that you inherited. It is now time to make every effort to ensure that certain solutions are found.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u80	Madam Secretary, thank you for your reply. You outline a good evolution in the attractiveness of general medical practice and the increase in the numbers. There's still work to be done, that's right. The subquotas are in the Community's hands, but in making the profession attractive, we do have a lot to eat. I have already mentioned a number of dossiers, such as the GPs, in which we certainly still have to take steps. I am not afraid that the discussions with Mr Marcourt are still stalling. Although, I'm still a little surprised. Mrs Fonck, it is true that I should not interfere with the modalities. If that were the case, there would probably have been something quite different. In fact, it is up to the Communities to determine the modalities of the initial examination. We do have something to say here about the figure that will then be charged to show whether or not it is effective. I am tired of the games that have been going on up to now in that area and continue to happen. I will continue to follow this dossier very closely. I have often said that we must bear the consequences of the failure of the Walloon Community to accept its responsibility for years.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u81	Madam Minister, all this does not support me in the view that it is necessary to be able to reform the system on the basis of an objective cadastre which takes account of the age of doctors and the geographical and socio-economic differences between the two Communities. It's not all that pink on the side of Flanders. In reading the KCE report, it must be noted that there are also doctors in excess. Perhaps it would be better not to put sticks in the wheels respectively and to consider, in the interests of each Community, the problem as a whole.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u82	Perhaps you were not present at that time, but we have already explained in detail how the work with the cadastre works. We talked about all the modalities, from age to activity, to urban or rural geography. All these factors are taken into account and that is why we are talking about "dynamic cadastre".
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u83	Let us hope to see more clearly by April so that, at least, students, their families and everyone's needs can be met.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u84	In cooperation with the secretariat of the committee, we will see, on the one hand, whether we can organise a moment with the Planning Commission to continue the exchanges we have already had with it. I cannot accept saying that we must suffer the consequences of what is happening on the part of the French Community, even if I find that what is happening there in connection with the federal government is not ideal either. However, on the French-speaking or Dutch-speaking side, we cannot really talk about the consequences in terms of the costs of the health care system that would be due to a surplus of French-speaking applicants or physicians. Finally, the Planning Commission said that, in its dynamic cadastre, it did not have the capacity to introduce the territorial dimension. I cannot accept the idea that anyone who observes our health care system, including patients who accept deadlines, is faced with a shortage of doctors who are responsive to the needs. I therefore believe that there is an urgent need to introduce this territorial dimension, as well as an alternative way of assessing needs, perhaps by abandoning our mathematical models.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u85	Minister, work is under way on the cadastre. But clearly, quotas will only be determined for exits from 2022. However, there are major elements supported by figures: long before 2022, only two thirds of the replacement needs in the French Community - I am not talking about numbers - will be met between 2018 and 2026 if we rely only on the quotas that are currently unchanged. The work you do at the cadastre level is aimed at the 2022s and beyond, but the difficulties in terms of needs for patients will arise long before, starting in 2018. Last but not least, I am thinking of the students who have to go through the ping-pong between the federal and the Communities. A political agreement must be reached. A convention is not signed unilaterally! It is negotiated and must be signed, in this case, by three parties. I am sending the exact same message to Minister Marcourt. I would remind my colleague from the N-VA that in Flanders there is also an excess and there is no competition. There is an examination, not a competition, where the number of what has been put in place must be determined.
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u86	We don't make an exchange!
ParlaMint-BE_2016-02-03-54-commissie-ic333x.u87	The selection is decided in the French Community, which must respect the decisions taken. Compared to the work done by the deans of universities, the number of students who will continue their studies is in line with the figures determined by the federal government. It is her responsibility and she must apply it!
