ParlaMint-BE_2016-10-19-54-commissie-ic508x.u1	Question No 11269 by Mrs Willaert has been converted into a written question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u79	Mr President, ladies and gentlemen, as I have already mentioned, we have made contact with Germany, France, Bulgaria, Romania, Poland and Portugal. So we had an exchange of views with these six countries. The aim is to reach an agreement with the countries most likely to cooperate with us. But, as you said, it is easier to work with some countries than with others. I met Mr Thorben Albrecht in July in Germany, Mrs Myriam El Khomri on 21 September in Paris, Mrs Vera Ossinova on 4 October in Bulgaria, Mr Dragos Pâslaru on 13 October in Romania and, at the same time, the Portuguese Secretary of State. So here's for the meetings we've already had. A visit to Poland is scheduled for early December. On 4 October the Cooperation Agreement was signed with Bulgaria and on 13 October with Mrs El Khomri. What's changing on the property now? Two things are important here. Firstly, the agreement contains a clear political commitment to improve cooperation on the ground. This was rather difficult in the past, because even in cooperation, many countries were not prepared to do anything, and it was just a paper-based cooperation, of which nothing came into effect in practice. Now there is a clear commitment from the government to do something about it. What we will do in the first instance is look at what the inspection landscape looks like in our country and in Bulgaria and what parties we need to bring around the table in order to work out a number of concrete things. Secondly, we have agreed on this, and the first contacts are now being established to develop joint workshops on bogus self-employment and post-bus companies, on the basis of what our inspection services need to carry out checks. So we have made a very concrete list of the questions asked by our inspection services. This will be discussed point by point with the services concerned on the other hand, in order to deal effectively with the problems. Until now, these problems have not been recognised and so we could not start a discussion on how to solve them. Furthermore, there is a clear commitment to better exchange information. To this end, we need to discuss, inter alia, computer systems and the standardisation of information. There has been a very clear commitment in the agreement with Bulgaria to take the first steps in this area as well. First contacts have also been established for this purpose, and the technicians must now examine what is possible. The debate on the implementation of the French agreement has even taken a step further. We talked to Mrs. El Khomri. The ideal would be a solution at European level with a database accessible to all inspection services. This would avoid sending letters for the exchange of information. There would be direct access to data from different countries. Together with Mrs El Khomri, we have started discussions to consider, within the framework of the strengthening directive, that a few countries, four or six, are already creating this database to enable a better direct exchange of information on the various issues at European level. I think we've taken a big step forward. I also think, I dare say here, that this has also changed the mentality in the discussions on Mrs Thyssen's proposals. What do we do? As we conclude these agreements, we are also trying to indicate what we intend to do. This is primarily to deal with the real fraud associated with posting, namely the failure to respect wage conditions, false self-employment, post-bus companies, the non-payment of social contributions in the country of origin. This can be done perfectly, if there is good cooperation, under and with the current legislation. We want to be able to move forward and convince those countries that they also miss out on social contributions. I come regularly on the ground and sometimes find that workers from Poland, Romania or Bulgaria work here for two to three months without being paid and return home with not such beautiful stories. In the context of cooperation, too, we can take steps forward, and that is what they can do. They will have to understand that, if they are not prepared to deal with the cases of social dumping together, our country will lose support for the open market and the posting of workers. They are, of course, afraid of this, because their businesses depend on openness in the European internal market. That is what they can do if they come up with a clear and concrete proposal for action in the field, in which our inspection services can also join in to deal with serious social fraud and social dumping. On the other hand, they also realise that, in the light of what Mrs Thyssen is doing, a step forward will have to be taken. This can be a win-win situation for both their employees and their businesses, as well as for our consumers and businesses.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u80	Mr Secretary of State, did you answer my question about false self-employment or did I miss it? Is the approach to the bogus self-employment of the global approach in the legislation on bogus self-employment different? That's what I want to know. Will that be an extra point? How is that gonna be any different than before? We used to have control over bogus self-employment and have a law on it.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u81	It is true that we have a law in this area, but false self-employment is extremely difficult to control. We are seeing new phenomena emerging and, in order to tackle the new phenomena, we need information from the country of origin, for example with regard to post-bus companies, the cooperating partners in business. Are those people who have one share or who have multiple shares? One of the commitments in the protocol is to seek better cooperation in this area. After all, we know that our law is particularly difficult to implement if we do not get the data from the countries from which they come. There are very clear rules for the transport sector and other sectors, either in our Belgian legislation or in European legislation. But they are uncontrollable if we do not get the information from the countries from which they come.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u82	I hope that the agreement will have concrete effect on the ground as soon as possible. You have not yet given a date, but I understand that comparisons are still being made in workshops and that you cannot give a concrete answer to my first question.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u83	I can clearly say that a SPOC has already been appointed in both countries today. However, the exchange of information often also requires technical aspects. For this reason, working parties shall meet. With regard to the exchange of data, we must also provide a legal framework. That's the next step we'll take.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u84	All right, we'll follow the file closely. I hope that you will be able to achieve results in this, because that is good, also for our country, in order to safeguard many jobs. Many jobs are now being lost as a result of social dumping and I hope that we will be able to do something about it effectively.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u85	Mr Secretary of State, thank you for your response. In fact, these two agreements, to take over that of Bulgaria and that of France, are primarily political. I think this is an important step. There is, of course, a need to go further in the implementation of procedures on the ground or in the actual implementation of procedures. I have two small supplementary questions. Are there any plans in these agreements for an evaluation or monitoring to put a little pressure on the actors on the ground and thus make a concrete return? Are these agreements sufficiently public as to have a copy? Finally, I agree with you that there is a need for a single database, starting with a form of enhanced cooperation between a few States which, as we move forward, could grow and influence the approach to the subject at European level.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u86	Mr Daerden, yes, it is a political commitment at first, but concrete elements are already being implemented, for example the SPOC. This means that direct communication is now possible between the two inspection departments, the two administrations. This is necessary in order to produce more concrete elements. In addition, we have already provided files, with a view to defining the concrete points that posed a problem for inspection services. Who should we talk to to clarify the situation? An additional concrete step has been taken. I believe that, for example, when exchanging information, we must be sure of the existence of a legal basis. This requires a treaty. It's a next step. But to be able to achieve this, and to conclude such an agreement between the two services, we must clarify the situation between them. This is a debate that we are conducting, for example, for the time being with Germany. We are talking about a treaty, but that means that on both sides the legal elements are in place for this exchange of information. So we are working in stages, but we are still moving forward. The various countries have the will to continue this exercise and to achieve concrete results.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u87	Mr Secretary of State, at the end of September you indicated in a statement that the social inspection services had carried out flash checks in the transport sector. These inspections took place in 19 locations in Belgium. Some 100 employees and fifty-five self-employed were checked. Can you give us the complete results of these controls? Last year, unannounced checks showed that one in three transport companies were in breach. What about this year? Finally, Minister Peeters would be preparing a bill to combat social dumping in the transportation sector. I am somewhat surprised that he is the one who takes care of it and that you are not associated with it, unless you are informally involved. Are the results of the controls used for this purpose?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u88	Mr Daerden, thank you for your question. More than five hundred companies and more than two hundred independents were audited. For the former, the results reached 20%; for the latter, 15%. These are impressive figures, especially since some controls had been announced. This means that one in five companies is not in order in terms of national and European regulation. It was not yet possible to get the 2016 figures in time, but if we have the results, we will pass them on. My firm is also very closely involved in the drafting of the bill transposing the Koelzsch decision. That is what we did at the government level a few weeks ago. This clarifies what we need to do in Belgian law. It is a law, you know this better than I do, which is directly successful and directly relevant to the transport sector. It also provides tools to inspection services. We are always attentive to see if there are any other political measures that we can take. For the transport sector, the situation is very difficult. If we can take possible action at European level, compatible with European directives, we will do so. Mr Bellot and I are discussing these initiatives at European level, particularly on cabotage. We are looking together at what is still possible at European level.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u89	Mr.President, Mr.Secretary of State, in 2015, a report commissioned by Minister Jan Jambon demonstrated that one in four custodians did not comply with the legislation in force. The private security sector occupies almost 16,300 jobs in Belgium, but is strongly affected by social fraud, such as false self-employment, illegal work, underpaid staff, etc. At the end of September 2016, you signed an agreement with private security actors to try to combat these phenomena. Mr Secretary of State, what actors were involved in drawing up this cooperation agreement? What measures are in place in this agreement and what procedures will they change? What is planned in terms of monitoring, prevention and awareness? How will the measures contribute to a better fight against social fraud in this sector? A point of exchange of information between the inspection services and the interior will be created. What type of information will be exchanged? In your opinion, what added value does this trading point bring to the fight against social fraud?
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u90	Thank you for your question. The cooperation agreement in the caretaker sector has, as has been done for the other sectors, been concluded between the Ministers of Security and the Interior, Jan Jambon, and myself, the numerous social inspection services, the Internal SPF and the various organisations of workers and employers. Everyone was around the table to discuss and determine an action plan. You know the reasoning behind the design of this type of action plan. This is a cooperation agreement involving simultaneously information and prevention, detection of repressive actions and different sanctions. For prevention and information, actors are expected to be genuinely aware of the need to combat fraud. Discussions with the various inspection services have already shown that there has been an improvement on the ground in recent years, but more pressure needs to be put on the way to eliminating social fraud and the unfair competition that is still very present in the sector. For the detection and enforcement component, we will ensure that there is better collaboration between the different inspection services. I am also referring to the ongoing reform to improve efficiency on the ground. Here too, we talk with the different actors. There is also a coaching dimension to take care of. The various employers have committed themselves. They know the rules and must follow them. Therefore, the argument, according to which they did not know, is no longer admissible. Other elements of the protocol form the basis for more and targeted controls in the sector. There is better data sharing and also better collaboration between actors on the ground. This should also encourage practices that lead to more controls and information exchange on the ground. To this end, we have designated permanent contact points between the various parties that have signed the agreement. These contact points will have information while respecting the privacy legislation that is also part of my jurisdiction. With these points of contact, we also have the possibility to manage more effectively the parameters which are the subject of fraud and social dumping and which are in force in the sector. At this level, we are also trying to conduct the controls in the action plan. We have taken a step forward with the creation of these contact points by clarifying, among other things, elements in the employer's and employee's head and inspection services. All this will improve efficiency on the ground to combat social fraud.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u91	Thank you for this additional information. We will have the opportunity to come back to this and the others, for the follow-up of the procedures put in place.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u92	An analysis is planned each year to review developments and identify additional elements to be considered. The world is changing. An analysis therefore takes place every year.
ParlaMint-BE_2016-10-19-54-commissie-ic508x.u93	The meeting is adjourned.
