ParlaMint-BE_2016-05-25-54-commissie-ic428x.u1	Mr Dallemagne has decided to remain on a commission of inquiry.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u96	Deputy Prime Minister, the majority of the interventions of the local police concern conflicts within households. According to the director of the Namur Police Academy, it would even be an intervention out of two of the local police that will touch the family unit. Confrontations, fights, yelling that sometimes get angry with alcohol, police officers must intervene in contexts that are similar but are always different, with rigour, firmness, while using tact and psychology. These are indeed the major difficulties of interventions for domestic violence. Recently, we had the pleasure of learning that the Namur Police Academy would include in its teaching a training entirely dedicated to the management of domestic violence as early as June. From a few hours' training, it is extended to three days with a representative of the Public Prosecutor's Office, a field police officer, members of judicial institutions and the voluntary sector. The ultimate goal is to provide an integrated approach to the issue for future police officers. Finally, it is also good to know that as early as September, inspectors already in office will be able to follow this course in the context of continuing training. This is excellent news, which will improve the service offered by local police. Allow me to address these few questions. Is Namur's academy the only one to deliver this kind of curriculum? What about other academies? How many police officers could take this type of training each year? If many other academies do not provide in-depth courses in this way, with an integrated vision, do you want to encourage this type of training so that, in the medium to long term, each academy can give such an approach to future police officers? Finally, what courses are provided systematically to future police officers, which improve their work in the context of domestic violence and to protect children from such situations?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u97	Other accredited police schools also offer ongoing training on domestic violence, either in general or on more specific aspects. Since 2010, 3,481 staff have been trained, mainly in the north of the country. The Academy of Namur is however the only one so far to offer a 3 day training on the subject. Other schools prefer to offer short modules focused on specific issues. To answer your second question, it depends on the capacity of schools. Based on figures from previous years, we can estimate the number of people who can be trained at about 600 per year. For your third question, this theme is not included in the 2016-2017 federal training plan, as it was developed on the former 2012-2015 National Security Plan. This does not mean that training in this field is not encouraged. We will continue to take this into account when identifying needs. In the new project of our full security framework 2016-2019 and the National Security Plan, the theme is taken up. Under the National Security Plan, schools will adapt their training. With regard to your last question, the area of domestic violence is addressed in the basic training of police inspectors in cluster 9 on police intervention and cluster 13 on communication, where the basic and technical principles of negotiations and mediation are seen in particular from the perspective of domestic violence.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u98	Thank you for all that accurate information. Indeed, I can only hope that this will happen in other academies. Police officers are on the front line. They therefore have a major role. The protection of children is also important in this family aspect.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u99	Minister, many local police areas have recently complained of a shortage of salivary tests necessary for the detection of narcotics among motorists. As the body responsible for the provision of such tests, the FPS Justice is responsible for the centralization and sorting of applications, before allocating the order according to the needs of each police area. However, the SPF would now like to be able to transfer the management of salivary tests to police authorities, including the federal police. According to the Justice FPS, officers would have a better understanding of the realities of the field, enabling them to analyse the situation in each area and to respond in an optimal manner to requests. Minister, my questions about this are as follows. Is the current shortage of salivary tests to detect narcotics among drivers affecting all local police units? Have similar precedents already occurred or is this an exceptional situation? Does your department envisage the possibility, in collaboration with the SPF Justice, of transferring to certain police authorities the management of the centralization and distribution of salivary tests?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u100	Ms Jadin, according to recent information, the FPS Justice currently has a sufficient stock of salivary tests to respond to the demands of the integrated police. Its budget for their purchase has been revised upwards this year. My colleague from Justice will be able to confirm that. Nevertheless, a shortage of salivary tests has already occurred in the past, mainly at the beginning of the BOB summer and winter campaigns, at the end of the year when the zones and the federal police at the same time order salivary tests. This may sometimes be due to the fact that some police areas are ordering additional tests in order to build up a sufficient stock in anticipation of a possible shortage. As far as your second question is concerned, we must distinguish here, on the one hand, the purchase and, on the other, the needs and distribution of salivary tests. With regard to procurement, it is normal for the procurement process to continue to be the responsibility of the Justice FPS. This is a means used to establish the burden of proof and is borne by the costs of justice. As regards the assessment of the need for salivary tests and their distribution, it is necessary to consider the possibility of fine-tuning the procedures. Concertation between the federal police and the local police is planned to better meet the needs of the ground without exaggerating the orders.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u101	Mr President, I thank the Minister for his very comprehensive answer. I see that the arguments put forward are sufficient to respond to a situation.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u102	As part of the organisation of the future European Football Championship, which will start on 10 June, France, the organising country, has requested police support from each country participating in the competition, in order to ensure optimal security at this event. Belgium would have responded favourably to this request and planned to send eight specialized and trained agents to the world of football, who will be responsible in particular for supervising Belgian fans at least as long as the Red Devils are in the competition. And we hope it'll be a long time. How many football officers do we currently have? Do you intend to set up an additional reserve to be sent, if necessary, as a reinforcement during the course of the competition? Can you inform me in more detail about the mandate of Belgian agents deployed in France? What will be their room for manoeuvre in the event of a necessary intervention? Will they benefit as a result from equipment and weapons capable of responding to all the risks and potential threats that unfortunately pose to such events?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u103	To answer your first question, since 2004, nearly 900 police officers have received specific training, focusing on the role of spotter in football matches. The role of the spotter is to collect all relevant information about the target groups of supporters, to transmit it quickly to the head of the order service and to ensure a visible presence on the ground so that incidents can be prevented, mitigated or stopped. The number of police officers active in this field obviously fluctuates according to assignment changes and retirements, but each local police that has to manage football matches in the main national category has a sufficient pool of spotters. I am not planning to set up a supplementary pool of spotters as part of a mission to France, but my services will analyse, if necessary, any additional requests from the French authorities in order to provide an adequate response. I come to your second question: in accordance with the terms of engagement desired by the French authorities, our police officers will provide assistance in the decision-making process to the territorially competent authorities as well as assistance in the management of the Belgian supporters present. Without coercive power, police officers will have to interact with and communicate with supporters. They will encourage the reception and assistance of the public in their national language. They will also need to be able to alert local authorities to the presence of risk supporters and be able to identify them. With no judicial prerogative, however, they will provide technical assistance to investigators in the event of the arrest of troublemakers. Their flexibility will therefore be mainly limited to communication with supporters. If another type of intervention were to be considered, these police officers would disappear for the benefit of their French colleagues. Their equipment and weapons are therefore in line with the mission to be completed. Belgian police officers will also be constantly accompanied by French police officers from the National Division for Combating Hooliganism, who will take all necessary steps to ensure their safety as part of their operational commitment.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u104	Thank you, Minister, for this very comprehensive information again. This is very important and it enlightens us on part of the organization of security around these events. I understand that our forces will be present in cooperation with the French forces at the same time; this obviously has its meaning; I hope it will be a good competition.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u105	I hope so too.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u106	Debates of the European Parliament Mr Demon's 11673 was postponed. So I can ask myself a question now. I have noted that after Mrs Pas, I am the first Dutch-speaking questioner of this afternoon.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u107	Minister, last week, on 18 May, the King of Jordan came to Brussels for an official visit. Very early in the morning, part of the parliament's environment was laid down, later also a number of tunnels, including the Rogier tunnel and the Kruidtuin tunnel. This created huge traffic jams, all over Brussels. Other tunnels were also shut down, I heard from the Secretary of State for Asylum and Migration. There was no sign anywhere so that the people who came to Brussels were not aware of the consequences of this visit. They could not therefore avoid the tunnels by using alternative routes to reach their destination. I was in traffic very early myself, already before 9.15 in the morning. Strangely enough, when I got between Koekelberg and Parliament after a little over an hour and a quarter of an hour, I was stopped, less than 300 metres from Parliament. I was denied access by police officers because of my moving by car. Not just me, by the way. Also to a number of others. Our previous group leader in the Chamber was in favour of the same thing. Our group leader in the Senate was in favour of the same thing. And a few other MPs. Even when they were driving a vehicle with a P-plate. Even after presenting their badge, which should guarantee a safe passage to the neutral zone. Even with the ID. Even after a lot of pressure. Even after pressing for us to be expected for meetings in Parliament. The police stated, among other things to myself, that they had been expressly forbidden from letting anyone through, even Members of Parliament. According to my information, the neutral zone has been set up to allow Parliament to carry out its task in all circumstances, not to prevent Members of Parliament from carrying out their duties. Hence my questions. Who decided that MEPs should be stopped who wanted to go to Parliament with their vehicles? Has Parliament been informed in advance? If so, by whom? When did this happen? What was the motivation? Do you think that this security measure was proportionate to the security risk they pose to Members of Parliament? What will you follow up on this incident?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u108	Mr President, this is clearly a question pro domo and less in the general interest of our society. I put this question to the Chief of Staff of Brussels. He informed me that the traffic problems were indeed due to the King of Jordan's state visit. According to a statement, the police of the Brussels-Capital-Elsene zone did not instruct MEPs to refuse the way to Parliament. Everyone, including Members of Parliament, had permanent access to the whole sector on foot or by public transport. However, there were a few practical problems with the car. As with any state visit, the protocolary procession, consisting of the Royal Escort on horseback and vehicles, takes the entire Wetstraat from the intersection with the small ring to the intersection with the Koningstraat. It was therefore physically impossible to reach Parliament's parking entrance in the Hertogstraat by car via the intersection of Kunst-Wet. Via the Prijspersstraat it was always possible to reach this car park. The police area always disseminates the necessary information for all events where major traffic nuisances are expected. This is done by e-mailing, Twitter, publication on the website and more. If necessary, a specific e-mail will also alert the military police of the Federal Parliament. Apparently, that communication didn't go smoothly this time. The necessary arrangements were made to avoid this in the future.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u109	Thank you, Minister, for the answer, which is very strange. After all, several Members of Parliament have explicitly insisted that they should be able to move on, including via the side of the Leuvenseweg. That's where we were stopped too. It's what it was and we can't turn back the clock. A predecessor of mine in Roeselare, Mik Babylon, was a popular representative for Volksunie and had a heavier temperament. If he had stood before that, a car would probably have died. We have dealt with it a little more civilisedly and waited. However, the result was that a number of meetings started late, not only in this Parliament, but also in the Flemish Parliament.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u110	Minister, it is my responsibility that, in the field, the police teams that have been subjected to severe stress in recent times must be taken over, even more so, by the psychosocial prevention advisers. I had already had the opportunity to talk to you about this under the Act of 4 August 1996 on the welfare of workers in the performance of their work, which stipulates that the psychosocial burden of workers must be taken into account. To do this, prevention advisors have as their role the supervision of stress, conflict, absenteeism, communication, working climate, human relations, etc. The problem at present concerns those advisers, who are few in number, who are under the burden of work and are themselves subject to significant stress. You had answered this to one of my previous questions on the subject: "The budgetary conditions being difficult, it was decided, as with many federal police services, not to increase the size of the psychosocial prevention team of the Internal Service of Prevention and Protection at Work". However, there are echoes that I hear about burn-out, a large number of voluntary departures of counsellors or, more generally, an overload of work that does not make it possible to render the service expected in good conditions. Can you tell me what is the status of the personnel in the cells concerned? Have there been any cases of departure on long-term sick leave due to burn-out? What about the turnover rate in these functions? In order to respond to the distress of the officers in these cells, is there a specific second line supervision for the advisers themselves? To the extent that the workload is all the greater today as the entire police force is being called on with ever more urgency because of the general situation, are you considering strengthening the psychosocial prevention cells? If so, in what proportion and by what date?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u111	Mrs Ben Hamou, the prevention advisers are part of the Internal Service for Prevention and Protection at Work, also known as CGWB, and give advice to the authority on prevention and protection at work, on the basis of the Welfare Act 1996. These services also coordinate internally a network of trusted people of more than 100 members. As part of the optimization of the organizational table, the psychosocial prevention service has undergone significant changes and increases. Following the recent organizational framework of the Federal Police on 26 October 2015, this unit will have eight full-time staff: a Head of Service and seven counsellors specializing in psychosocial aspects of work. Therefore, a strengthening of these services has been planned. To date, the department has one head of department, one specialist prevention advisor, one prevention advisor in the course of training, one secretary and two trusted people. As far as staff are concerned, two cases of long-term illness of specialist prevention counsellors in the course of training have been recorded in recent years. With regard to the turnover rate of specialist prevention counsellors, there have been only three departures since the service was established, i.e. since 2002. As far as your second question is concerned, to date, it is always lawful for employees of this department to contact their stress team colleagues to receive psychosocial support. Stress team is an integral part of the Resource and Information Management Branch. Aware that this solution does not cover all potential needs, the Personnel Service of the Internal Service for Prevention and Protection at Work (SIPPT) has undertaken the steps to open up to prevention advisers, psychosocial aspects, a right to external individual supervision, the same system as that in place for stress team personnel. Finally, in response to your last question, I can say that, given the recent enlargement of the organic table for this service following the recent optimisation of the federal police, no further enlargement is planned. On the other hand, vacant places are gradually opened internally and externally to fill the existing organic table. The SIPPT is one of the priority staff recruitment services. In addition, advisers were made available a few days a week to deal with this transitional period. So we are in a transitional phase. The composition of this service is 9 persons (1 Head of Service and 8 Councillors). Recruitments are under way.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u112	Minister, thank you for that answer.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u113	Minister, since 5 January, persons suspected of wanting to incorporate terrorist groups abroad as a result of radicalisation may be subject to the removal of identity cards. There can only be a withdrawal after a reasoned opinion from the OCAM, which was itself preceded by a consultation with the public prosecutor's office. The whole must, of course, be based on well-founded evidence to suspect these individuals. My question today is rather practical. The press reports that five identity cards have been withdrawn since January and I would like to be informed about concrete procedures on the ground. So, can you tell me who is responsible for going to collect ID cards from individuals? Is that the role of the local police? Municipal authorities? How, in a practical way, is it organized? Are the individuals concerned informed in advance of this process? If so, by what means? If not, is withdrawal done by an unexpected visit to the individual? Are the agents in charge of this withdrawal operation - since I assume that this mission is not entrusted to a judicial officer - carrying a document signed by a judicial authority or accompanied by a judge? Are passports or other travel documents also withdrawn? What is the attitude taken in the case of binationals? Their possible foreign documents may not be removed from them by a Belgian authority? More broadly, since the entry into force of this law, how many times has it been used? How many documents were actually removed?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u114	With regard to your first question, a royal decree of 26 December 2015 describes this procedure. In this regard, two cases need to be distinguished. In the event of a decision to withdraw the identity card, the mayor of the municipality of the principal residence of the person concerned, informed of the decision, shall request the local police service to withdraw the identity card. If the person concerned is not present at his or her home, the police officers then leave a notice of passage inviting him or her to visit the local police area for the purpose of handing over his or her identity card. When the card is withdrawn, a certificate is issued to replace it by the police. When the issuance of the identity card is refused, a certificate is issued to replace the card by the municipal administration. In both cases, it should be noted that the replacement certificate issued is identical to that issued to persons who lost or were robbed of their identity cards. The aim is not to unnecessarily stigmatise persons who are the subject of a withdrawal decision. With regard to your second question, as provided for in the Act of 10 August 2015, the ministerial decision to withdraw identity cards is officially notified by registered mail within two working days of the decision. As mentioned above, the mayor of the municipality of residence of the person concerned shall also be informed in writing as soon as possible. In this way, it will seek the services of the local police area as soon as possible so that they can effectively withdraw the identity card from the person's main residence, as permitted by the Royal Decree of 26 December 2015. With regard to your third question, as provided for in the Consular Code, the decision to withdraw an identity card automatically results in the decision to withdraw the passport. I suggest that the honourable Member contact the Minister of Foreign Affairs on the practical procedure for withdrawing or refusing to issue a passport. When the ID card is removed, the information is forwarded to the Department of Foreign Affairs responsible for passports.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u115	Is that the same procedure?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u116	Yeah, it's almost the same. For the particular case of binationals, foreign documents may be withdrawn by the Belgian authorities. Finally, with regard to your last question, since the entry into force of the law of 5 January 2016, five cards have been withdrawn, while the issuance of an identity card has been refused to one person.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u117	As far as binational documents are concerned, I have not heard you correctly. The Belgian authorities are not entitled to withdraw foreign identity cards?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u118	No.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u119	The mayor will be responsible as he receives a notice, sends him to his police area and asks to proceed with the removal of the identity card. But if he doesn't, what happens then?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u120	The mayor has much more responsibilities that result from the obligation...
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u121	In this case, the responsibility is total for the mayor!
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u122	It's not total. The decision to withdraw the ID card is made by me. I then ask the mayor to ask the police zone to do so.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u123	The person concerned receives a registered mail two days before. If he is in possession of his passport and knows that he will be removed from his identity card but that the notice of withdrawal of the passport has not yet been notified to him, can he still leave our country with his passport? The two things don't happen at the same time.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u124	The passport is the responsibility of the Minister of Foreign Affairs and the identity card is my responsibility. It is the OCAM that starts the process and informs the Ministry of the Interior and the Ministry of Foreign Affairs. The latter must check whether the person concerned has a passport, because everyone has an identity card but not everyone has a passport.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u125	I will ask the Minister of Foreign Affairs about passport procedures.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u126	Debates of the European Parliament Mrs Schepmans' 11697 was withdrawn. Question No 1, by Mr De Pasquale (H-l Mrs Schepmans' 11698 and 11699 are converted into written questions.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u127	Minister, the Committee on Radicalisation of the Flemish Parliament found that only one third of the Flemish schools have a point of contact with the police, where they can go if they are confronted with radicalisation. Flemish Minister for Home Affairs, Mr Homans, said that she has identified the problem to you, as the Federal Minister for the Interior, and that you are working on it. In the same committee, your party also called for a stronger presence on the social media, including counter-story. That too would be addressed by the federal level, according to Minister Homans. Minister, in Flanders only one in three schools has a point of contact with the police. What figures are there for the whole country? What initiatives will you take to increase the number of contact points? What's the status of the file? What initiatives will you take to strengthen the presence on social media? What's the status of the file?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u128	Mr Top, there was already contact with Minister Crevits' cabinet on this matter. A number of initiatives are currently being prepared to systematise and standardise contact points. The issue is the subject of the PLP 41 circular of 7 July 2006 to strengthen and/or redirect local security policy and the specific approach to youth crime, with in particular a contact point for schools. Following last year's demand from the education umbrella, at the end of November 2015, all local police areas were registered with a view to updating the contact points list. The search for a reminiscent writing of the police department chiefs ends at the end of May 2016. Finally, I would like to mention that the measures taken in implementation of the aforementioned letter are the subject of the zonal security plans. My cabinet will consider the extent to which adequate solutions have been offered in the context of the renewal of these plans as a result of the validation of these plans. This renewal is now on the agenda, because we will be proposing the national security plan in a few weeks' time and the zonal safety plans can then be put into effect. As for your third question, at federal level there is the strategic communication team, the SSCAT or Syria Strategic Communications Advisory Team at work. That team shall develop campaigns for the twelve Member States concerned and shall be at the disposal of the Communities which shall have responsibilities in this regard. The team is subsidised by the European government. That subsidy has been renewed and increased. It works together with the United Kingdom, which has a lot of experience in this area. It is now up to the Communities to work this out, but contacts have now been established. We do not want to develop a universal campaign for the whole of Europe or Belgium. We need to understand such campaigns in the widest possible sense. It's not just about posters. It is best as local as possible and should give as little as possible the impression that it is organized by the government. The offer applies to the Communities. They can work with that team.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u129	This is a confirmation of the previous result. There's a new survey going on until the end of May. When will you have the new results of that survey of our Communities? The previous survey resulted in a third. I imagine there will be another negative response in certain police areas. What initiatives can be taken to ensure minimum service provision in all police areas throughout the country in the field of radicalisation in schools? You also referred to the zonal safety plans. That might be the anchor point.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u130	That's what I'm talking about. The results are coming in now. They'll have to be inside in the next week, but I don't know when I'll get the results. If I give you a date now, it's wet fingering. So I'd rather not do that.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u131	Mr President, Minister, during demonstrations or major events, a local area needs more people than it can deliver. To absorb this, the HyCap system exists. Also in the context of the increased threat of terrorism and the refugee problem, the government uses local police officers for support orders. There is now a system which allows the higher authorities to request a fixed percentage of local capacity free of charge. However, due to the increased number of applications, this percentage may already be exceeded halfway through this year. Each zone shall be obliged to deploy part of its operational capacity within this solidarity mechanism, with a maximum of this fixed percentage of the available effective. Annually, the performance line, or the HyCap grant, is also published annually by the zone "Police Zone" in the Belgian Official Journal in the months of April or May. On 13 May, a letter was already sent from your services to all mayors with the message that the unexpected situation causes the HyCap to be fully addressed. That is why I would have liked an answer to the following questions. First, when are the annual performance lines, or the annual HyCap support provided by the zone on an annual basis, published by the police zone in the Belgian Official Journal for 2016? Are these available now, if any? Secondly, what is going to happen once the limit of the HyCap aid to be delivered is exceeded? Thirdly, can zones refuse to send additional people under the HyCap system if the HyCap support is not yet available? What if one is above the HyCap support to be delivered? Fourthly, who will bear the cost of the bet above the HyCap support to be delivered? Finally, how will local corps be supported in their capacity problems?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u132	Mr Top, the 2016 performance line will be published in June in the Belgian Official Journal, but has been available and distributed within the integrated police since the beginning of this year. The police officers are therefore already aware of this. The mandatory Ministerial Directive MFO-2 on the mechanism of solidarity between police areas on reinforcements for administrative police missions, i.e. the HyCap, does not contain any provisions in this respect. However, Article 64 of the Law of 7 December 1998 provides that in the event of serious and imminent threats to public policy, the Minister of the Interior, when the resources of a police area are insufficient, may request the local police from another police area in order to maintain or restore public order. A working group with representatives of each police level has been instructed to improve and/or adapt the HyCap mechanism. The work of the working group is currently under way. This was done in response to the distress call of a number of mayors. Pursuant to Article 61 of the Integrated Police Act, the mandatory MFO-2 Directive should not jeopardise the performance of the local tasks of a police zone. In specific and very punctual circumstances, therefore, a police zone may be in an inability to contribute to the HyCap mechanism. However, it cannot be stressed enough that inter-politic solidarity is one of the foundations of the integrated police services. In application of Article 63, if the mandatory MFO-2 Directive is not complied with, the Minister for the Interior may, after consultation with the mayor or the police college concerned, order the implementation of this Directive by the local police. The case where a zone has already provided its full HyCap contribution, I have just dealt with question two. It should be stressed that the foreseen HyCap solidarity mechanism has never been fully addressed in recent years, while the police areas concerned have always received their full funding for federal missions. In the event of an overrun this year, a pragmatic solution will have to be developed in the light of the above. The Federal Police Intervention Corps was created in 2005 to increase the visible presence of the police on the ground, to contribute to the dismantling of the HyCap and to support local and federal police in achieving the priorities set out in the zonal and National Security Plan. The CIK continues to carry out this task fully.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u133	Mr President, Minister, thank you for your detailed explanation. I should like to add that there must be interpolative solidarity among police areas to provide as many men as possible in the event of an emergency or of questions. Because of the current problem with the increased threat, local police areas face the same problems. In addition, the police zones need their men to implement the zonal security plan at local level. That was referred to in a previous question. You refer to the 1998 law and to the fact that it is possible to apply. I suppose this can only be done in very exceptional circumstances.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u134	I didn't do it in these exceptional circumstances, with four crises.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u135	I know, but I wanted to stress that. I would like to make one more point very clear. That was also in the letter and was the reason for my question. You replied to point 4 that the HyCap capacity has never been fully addressed in previous years. I would like to point out that one of the basic principles of a budget is the one-year principle. If we have to go back to the past and ask for additional capacity from the zones, it may well be that these zones are completely flat and security in those local areas cannot be guaranteed.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u136	I didn't say we were going to act retroactively.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u137	You suggested that.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u138	That's a wrong interpretation of what I said.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u139	Looked like it anyway.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u140	That's something else.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u141	Minister, on May 1st, you adopted a royal decree setting out the National Emergency Plan for the approach of terrorist hostage-taking or terrorist attack. In particular, the absence of such a plan was highlighted in the work of the Parliamentary Committee of Inquiry on the 22 March attacks. The plan provides for the coordination of the various competent services and authorities, both judicially and administratively, with an integrated and multidisciplinary involvement of the police, intelligence, relief and other services. The plan also instructs provincial governors and the senior official responsible for the Brussels-Capital agglomeration to draw up a specific contingency and response plan for the risk of hostage-taking or terrorist attacks. My questions are as follows. Can you tell us more about this plan? How does coordination between administrative and judicial authorities, relief services, and security and intelligence services take place? By what elements have you integrated the particular dimension of "terrorist attack"? Have instructions and guidelines been issued to provincial governors for the development of specific emergency and response plans?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u142	On 1 May last, a royal decree published in the Belgian Moniteur confirmed the fact that the federal government had just adopted a national emergency plan on the approach of terrorist hostage-taking or terrorist attack. In response, questions were raised in the press. Your firm has stated that this is a confidential document and the Crisis Centre has confirmed the need to provide a framework for the management of an emergency related to a terrorist act. The idea of such a plan is not new, since it dates back to 2012. It is therefore not directly related to the attacks of 22 March. Similarly, in your policy note at the end of last year, you already referred to a "special national emergency plan to deal with a terrorist attack". The note then referred to the establishment in Belgium of a single plan aimed at managing the consequences of a terrorist attack. It is also a question of taking over the various existing measures, so that the authorities can have a comprehensive, up-to-date, coordinated and comprehensive document on the subject. Government, judicial authorities, police, intelligence, relief services: all of these entities are concerned. Here are my questions. When will this new plan be finalized? When will it be operational and effective? In addition, are there any new measures or what are the main new measures in relation to what currently exists, contained in this plan and which you could already describe or present to us? On the other hand, more generally, the level of threat remains high in our country following the attacks of 22 March; you yourself have repeated it several times. We cannot therefore wait for the recommendations of the Parliamentary Committee of Inquiry which are expected to end this year in the best of cases, in order to take decisions and launch action plans. In this context, I would like to take this opportunity to ask you whether you could describe the actions and operational measures taken following the attacks of 22 March in order to respond to the high level of threat that our country is facing, whether at the level of emergency plans or at the level of protection of the main sensitive places on Belgian territory.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u143	Ms Matz and Mr Vanden Burre, recently, terrorist groups and their ramifications have committed serious crimes both at national and international level. The threat is now multifaceted and diffuse. Coordination of the various competent departments and authorities is of the utmost priority with a view to timely detection and neutralisation. The national contingency plan for the approach to a terrorist hostage-taking or terrorist attack is now set out in the Royal Decree of 1 May 2016 which entered into force on 18 May 2016. Since 2012, the Federal Public Prosecutor's Office and the Crisis Centre Directorate-General have organized several exercises to test the emergency procedures and plans of the authorities and services concerned. The purpose of these exercises was to examine, in this area, the joint implementation of judicial and administrative procedures, to analyse the interaction between the competences of each, to train the different authorities to resolve situations that might actually arise and to improve the different decision-making processes and communication processes. These exercises have highlighted the need for a response to the management of both judicial and administrative authorities, with significant integrated and multidisciplinary involvement of police and intelligence, relief and other public services. These principles have been transposed into the contingency plan by involving judicial and administrative authorities in the management of this type of crisis. In addition, lessons have been learned. They highlighted the need to work with two structures: a management cell and an operational cell. These particularities are inherent in the risk of terrorist hostage-taking or terrorist attacks. This plan derogates in part from the crisis management structures provided for in the Royal Decree of 31 January 2003 establishing the contingency plan for events and crisis situations requiring coordination or management at the national level and the Royal Decree of 16 February 2006 on the contingency and response plan. This plan is structured in three parts. The first part concerns the scope. The second part sets out the criteria for the activation of the federal phase, as well as the warning and warning measures. The third part deals with the organisation of cells, their composition, the division of tasks between cells, the location of these cells, the missions of each cell, the interaction between these cells and the National Security Council. The provincial governors and the authority of the Brussels agglomeration competent under article 48 of the Special Act of 12 January 1989 on Brussels institutions are responsible for drawing up a special emergency and response plan for the risks of terrorist hostage-taking or terrorist attacks. Concertations are planned with them in the coming weeks in order to work with them on the implementation of this royal decree. With regard to the measures taken by the authorities since 22 March, an increase in the police and military presence, as well as other services, has been carried out throughout the country with an increased and visible presence and response mechanisms in case of incidents. These devices are oriented towards all potential targets designated by the OCAM. They are provided by the local police with the support of the Federal Police, Defence and Customs. All these arrangements are assessed on an ongoing basis at both strategic and operational levels. For obvious safety reasons, it is not possible for me to detail by target the type of measure taken.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u144	Minister, thank you. If I hear correctly, that is what was already being done in practice that is coordinated and confirmed in a plan. You refer to the deployment of forces, etc. This deployment was in place well before 1 May 2016. I assume that it is also a set of things that was done without real coordination that is integrated into this plan. These are not any new warning and warning devices that you are putting in place. You actually gather a little bit of the pieces of the puzzle that are scattered here and there, without it being pejorative.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u145	We focus on what we learned during the various exercises in the field.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u146	Is it not a little early to draw conclusions, since the committee of inquiry is also under way, in particular, on this aspect of things?
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u147	Processes, systems and organizations can always be improved.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u148	It's still a royal decree.
ParlaMint-BE_2016-05-25-54-commissie-ic428x.u149	A royal decree can also be adapted. The commission of inquiry will work until the end of the year. It is clear that if the recommendations of this commission are to be implemented, action will be taken. In the meantime, what has been learned, both from the exercises and from the situation of March 22, 2016, can already be implemented. It seems to me that these are things I have to do.
