ParlaMint-BE_2017-03-29-54-commissie-ic635x.u1	It's time, we'll start the work.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u104	Madam Secretary, thank you for your clear answer. I hope, but I can already hear it in your answer, that you will monitor the results, play briefly on the ball, follow up the case well and also communicate regularly on the matter.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u105	I think this is one of the big questions that have been asked today and an important subject. You're a thousand times right: we're putting in motion methods to help with decision-making. But the basic problem – that's what I'm talking about and I won't tell you from who – is that we give instructions to radiologists to practice this way, because it's part of the money pump for the hospital. That is the fundamental problem. And that is what we must be able to resolve. You are in no way responsible for this state of affairs, but you must be aware of it. I think it would be interesting to make a comparison between hospitals, another between the situation in Belgium and our neighbours, in order to be able to "point" clearly those who are at fault from this point of view. I know it's not just the financial aspect. There is nothing to prevent us from working on both fronts at the same time so that we can improve things, both in terms of de-listing and in terms of the budgetary means which are still too limited. The economy that would thus be generated,...
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u106	[[...]]
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u107	Excuse me, Madam President, but when you ask questions, there is no time limit!
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u108	Think about finishing, Mr. Flahaux.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u109	It would be done if you hadn't interrupted me, Madam President. So, in this context, I think we really need to act. That must be one of our priorities.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u110	It is good to remember from time to time to be synthetic. I'm not saying "stop," I'm saying "attention."
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u111	Madam Minister, I do not know why these questions were linked, because they are two very different questions. As regards the status of self-employed workers, it has been pointed out from practice that the law makes it difficult for self-employed nurses to work in institutions. For example, self-employed nurses who would like to be registered in a general practitioner's practice would not be able to do so under their statute because they could not obtain fees for, for example, practical support. Today we do see that there is a special master's programme, in which the University of Antwerp pioneered, which provides an additional training of nurses just to support that general practitioner's practice. I therefore think it is necessary to support this trend in policy terms. By the way, I hear that this would be possible in the Netherlands. The same would be true of care professionals employed in home nursing. Today this can only be done on a wage basis, not under the self-employed status. Do you recognise that today it is impossible for self-employed nurses to work under that statute at a general practitioner's office or a home nursing service? Do you have ears for solving this problem? In what way? My second question is a very different one and concerns the number of nurses in bed. I have been following this dossier for a long time and, above all, I am addressing the appalling situation in which our nurses have to work in health care today. I am talking not only about nurses in the institutions, but also about the self-employed. Today my question concerns mainly the nurses in the institutions. As far as care personnel are concerned, there is such a thing as a standard form that determines the minimum level of benefit and the funding on the other hand. I have already pointed out in plenary that this was established in the sixties. It is true that a number of adjustments have been made since then, but certainly not enough to cope with the enormous increase in care gravity, as well as the progress in medical technology evolutions. In short, people are sent home much faster today with a much more intense problem, which has greatly increased the workload during the shorter period in which patients stay in the hospital. I also asked you about the use of the budget of financial resources. I was very surprised that you did not check whether the envelopes paid to hospitals were also spent in accordance with the objectives for which they were paid out. Is it true that as a minister, you don't know how many nurses are at the patient's bed today? In itself, the opposite reasoning is made: the number of responsible beds and the care gravity determine the right to a specific envelope which includes, among other things, the nursing staff. Is there never a check on whether the money is being spent on it? In practice, we do know that, because there are studies that show that there are more nurses than there are standards at the bed, but that is what the government wants to know. So I wonder: how does this calculation happen? What is the current standard bestaffining per service? Who's checking it out in what way? If checked, are there actually more nurses on average than standards? Studies show that. Do you have any figures on that? On the basis of the calculation B2 of the budget of financial resources, should you know how many nurses are being financed? It must be possible to make that reverse calculation. I come to my final question. Are you aware that the workload for care staff in our institutions is becoming unsustainable? You promised to deal with it earlier in the reform of hospital funding. However, when you took stock of this, you did not speak and referred to the fact that it had been transferred to the Länder since the sixth state reform. I am now asking you for your opinion. Even if the norm has to be set at state level, you still have to provide the necessary funding for this. If you agree that the standard funding needs to be raised, you can contact your fellow state officials in the IMC. If these fellow statesmen agree, will you provide the necessary funding?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u112	Mrs Van Camp, you asked two questions, which have been merged by the services. I'll answer them separately. There is indeed no specific nomenclature for nurses performing benefits in kind in a general practitioner's practice. A nurse employed in a general practitioner's practice may, regardless of his employment status, charge the benefits in kind provided for in Article 8 of the Nomenclature if the conditions are met. For example, the nomenclature states that no fees are payable to the nurse when the care provided is an integral part of a consultation, visit or technical provision carried out by a physician. The coordinated law of 10 May 2015 on the exercise of healthcare professions defines the healthcare professional and lays down the conditions under which the healthcare professional can exercise his or her profession. There it is another pair of sleeves: the current legislation allows the caregiver to carry out certain nursing activities under the supervision of a nurse and within a structured crew. The minimum attestation conditions for the activities carried out by healthcare professionals are also described in the Royal Decree of 22 November 2013 amending Article 8 of the Royal Decree of 14 September 1984 laying down the nomenclature of medical benefits in kind for compulsory medical care and benefits in kind. These conditions must, of course, also be respected. The conditions laid down in Article 8 of the Nomenclature do not impose any restrictions on the employment status of the healthcare professional concerned. Regarding your question about the number of nurses in the hospital units, some data can be retrieved from the Minimum HospitalData (MZG), which can be found at the FPS Public Health, others from FINHOSTA and also from the mandatory annual reports of hospitals. Until 2014, the number of full-time equivalents per nursing unit was collected four times a year through the Minimum HospitalData. In other words, this data is a snapshot. The recognition standards indeed impose the number of VTEs per occupied bed. I can assure you, on the basis of the hospital reports on hospitalisation units, that the real bestaffin is significantly higher than the bestaffin imposed by the accreditation standards. I have a table for you that contains some illustrations of this determination for a number of bed types. You can see that for each type the presence per occupied bed is always higher than the standard. Sometimes it's much higher, sometimes it's just over. So I do not think it is right to revise those standards. We could check with the federal states. That's not an easy discussion. We can possibly talk about that in the IMC. I do not think there is much interest in this in the Länder. I could always ask. If you want, I can ask.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u113	(...)
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u114	That's all connected to that. I'll have you deliver the list. You might want to take a look at it. We're above the norm everywhere. As far as funding is concerned, you know that the BFM is a very complex issue. In the context of a different financing of the hospital landscape, we are currently having an unraveling of the BFM. We hope that we will be able to draw certain conclusions from this.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u115	Thanks! As far as the self-employed are concerned, I must certainly reread the law to which you refer, because if I understand your answer correctly, this is possible because not all benefits in kind are already included. So we need to see what's still possible there. As far as the number of nurses is concerned, I am very pleased that you would like to take up this point with your colleagues in the state. I'd love to! We are waiting in suspense for the exercise of unravelling the BFM. I believe that this is the ideal opportunity to reward hospitals that are just more committed to nursing staff and care staff at the bed. Today, funding is very performance-oriented and not at all quality-based. It may be pointed out that on average there are more nurses than the norm requirement, which means that there is no need for an increase in the number, but I think it is above all a question of funding. As a government, we have to reward hospitals that do well, for example, when they rely on more nurses on bed because we know that this improves the quality of care.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u116	In previous discussions it was mentioned that the government does not keep track of the supplements charged by deconventional care providers or institutions. Why is that? Do you intend to do so in the future?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u117	The reason for the situation you are describing is that the health insurance funds are only occasionally informed of such supplements. We are dependent on information from the health insurance funds. The patients provide proof of payment to the sickness funds, which in turn reimburse the amount. They are also not aware of the supplement. They ask the patient for information. They're getting that information, too. You often see publications about this. The Financial Transparency Act provides for a discharge for the patient, if the third-payer scheme is applicable in combination with the electronic invoicing or if reimbursed together with unpaid benefits in kind are charged. Then the patient knows what is being paid back, what is his personal share and exactly how much the supplement is. Then the patient will know, but that doesn't mean that the health insurance fund doesn't, and we certainly don't. We are now engaged in discussions with various sectors, including doctors, with a view to communicating supplements to the health insurance funds on the invoices and certificates of assistance provided. So it's not just about doctors, it's also about dentists and anyone who charges a fee. I do not have to tell you that these are not simple discussions, but we are conducting them.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u118	I'm sure it'll be a pleasure. Simple or not, the government provides for significant compensation for health care providers. We also have several consultations with them in order to use them. Then I think it is only logical that we at least have a view of the supplement charged by those who do not join the convention. I therefore hope that these talks will progress well, so that there will be more transparency on this issue.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u119	Question No 15955 by Mrs Becq is transformed into a written question.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u120	Madam Secretary, there was already a question about the mini-agreement with the doctors. There is certainly light at the end of the tunnel, but the tariff agreement with the dentists is still pending. That agreement also remains out, which means that there is no more tariff security for that profession either. It is said that about 60% of dentists are conventionated. That's a very low number. In the absence of an agreement, a large group can no longer offer tariff security to patients. Pending a new agreement, the Federation of Flemish Dentists proposes to the convening dentists to increase their fees by no more than the health index of 2.5 %. The VVT is milder than the VBT, which calls for an increase of 3 to 5 %. It is logical that there should also be an outcome here and that there should be clarity both for the profession and for the patients about tariff security; hence my question about the latest state of affairs in the consultation between you and the dentists. Are there any other professions besides dentists, doctors who have more or less a solution in sight, and the physicists who have plans to cancel the convention? Are you in favour of our many proposals that we have made to deal even more with the waste in health care, so that fees should not be affected and there should be more resources for healthcare providers? In particular, this has caused the sector's malaise. We do not support this explicitly, especially if we look at and see the many reports on it, certainly again in the recent OECD report specifically on waste in health care, how much there is to pick up there. It is irresponsible to touch the rates of our carers.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u121	Madam Minister, I will not repeat Mr Van Camp's introduction. The problem is outlined. I have already put a written and an oral question on this, but I would add that deconvention, in part or in full, is indeed a serious problem, because in this way patients really do not know what to impose. Someone who is partly deconventional is at certain hours of the week, and then there is actually no clarity at all for the patient. I would also like to add that this is certainly problematic for the health gap, because dental care is really an excellent measure of differences between richer and poorer patients. Another question has made it clear that at the Federal Committee on Patient Rights the complaints certainly last year were very often about the quality of dental care and about the peppered invoices the patients received. I have the following questions, Madam Secretary. Have you talked to the dentists? Will there be an end to the deadlock? What will you do against the deconvention trend? Will you ensure that the health gap in dental care does not widen? What measures will you take to deal with the lack of dentists in certain regions and the ageing of the profession?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u122	It is correct that no new agreement has yet been reached with the dentists. The previous agreement expired on 31 December 2016. In the meantime, further work has been carried out in working groups and the Technical Dental Council has further developed the proposals contained in the draft agreement of 15 December 2016. These were submitted to the meeting of the National Committee on Dentists and Diseases on 23 March, so this week. The working groups MyCareNet and telematics meet on the operationalisation of electronic invoicing by dentists, in order to remove the diseases of children. A specific working group looked at the particular problem of the registration of dental numbers and patient profiles. This problem is part of tackling waste and inefficient use in health care. So there is a moving consultation. I hope to be able to reach an agreement there soon too, so that patients will have further tariff security with the dentist. Mrs Van Camp, if you say that you are not in favour of these savings on fees, then I can say that those savings were actually a decision of the whole government. Your party is part of that, too. We must remain somewhat politically honest.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u123	That's what I agree with. If reforms and waste management are not implemented in a timely manner, then, of course, the time has come to take measures that are much more painful. That is why I would particularly like to see our reforms and the many proposals we have made to tackle waste as quickly as possible.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u124	Exactly. We're doing that now, and we'll do it for the dentists. The misuse and waste of resources must also be avoided. We'll all get better from that. I agree.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u125	The positive thing in your answer is that you will certainly put those dental numbers under the magnifying glass, allowing you to detect the improper use. There is indeed something going on there. Apart from that, I will continue to point out the problem of deconvention because this is at the expense of the people with the lowest incomes.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u126	In December 2016, De Standaard published an interesting article on liver disease, based on a recent study by the UZ Gent, which shows that non-alcoholic fatty liver disease has been the second most important cause of cirrhosis in the last ten to twenty years. Our diet and sedentary life explain a lot, but not everything. Sometimes the cause is genetic. Patients with type 2 diabetes often also get a fatty liver because of their lifestyle. In obese children there would also be a high risk. There is also a recent study, this time by UZ Leuven. A third of the obese children have clearly disturbed liver tests. That has to do with an excess of fructose in our diet, especially in children. We have less defenses against fructose. Obese children systematically screen for fatty livers, as American scientists suggest, is not a solution, because diagnosis can only be done through a biopsy. We know that obesity in children causes health problems and I am concerned that major diseases, such as liver problems and cirrhosis, are on the rise. What are the agreements in the Sectoral Agreement to reduce the fructose content in food intended for children? How will you enforce these agreements? Are you in favour of slimming programmes or are you thinking more of a systematic screening of fatty liver in obese children? In short, what measures do you intend to take?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u127	Ms Dedry, in 2016, a first agreement was concluded with the food sector, including soft drinks producers, with concrete commitments to reduce the average energy content of their products by 5% by the end of 2017. We are once again in consultation with the food sector and with the soft drinks producers on further energy reductions. We aim to establish concrete commitments to reduce the average sugar content in products by a further 5% by the end of 2020. There has been no specific consultations on fructose with those sectors, but we are taking that with us. It is something that also lives in the food sector. We have recently learned that a particular producer's children's ice cream would now be sugar-free and contain tagatosis. I think that's a good trend. Currently, the obese child, who is being followed in the context of an outpatient multidisciplinary guidance for weight loss, is not screened for liver damage. One can do an ultrasound, but in order to make a hepatological diagnosis, one has to do a puncture. It appears to be more problematic in children when it comes to clotting. The prevention of obesity in children is mainly related to food education, both in the family and at school. Programmes for the prevention and promotion of healthy nutrition are essential in this context. It is therefore of paramount importance that the Regions and the Communities also ensure their role in the area of public awareness and information, so that children do not start to suffer from serious diseases from an early age. At the federal level, I am putting in the levers I have at my disposal. In addition to the covenant, I also participate in actions such as healthy food at school. Furthermore, my services are investigating whether it is desirable to introduce a front-of-pack label in Belgium that can help consumers make a healthy choice. Finally, we are talking to the food industry about responsible advertising and marketing of food products aimed at children. The covenant already contains a number of agreements on this subject. The voluntary agreements that are being made on this should cover a larger market share and also become more stringent. This is all part of a joint plan of action, which I decided in March 2016, together with my competent colleagues from the Länder, in the framework of the Inter-Ministerial Conference on Public Health. The negotiations and implementation will continue there. That must be voluntary, because products must remain tasty. If not, people are buying foreign products with a fall in the consumption of their own products. For public health, this may be the wrong way forward.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u128	Madam Secretary, thank you for the answer. The answer is mainly about your agreement with the sector and the Inter-Ministerial Conference. The motion for a resolution tabled by Mrs Gerkens and myself contains a number of proposals which can be incorporated federally. I suggest you and your staff read them thoroughly.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u129	Mrs Jiroflée is absent.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u130	Madam Secretary, I asked you about this earlier. You then referred to the reimbursement of a cochlear hearing implant, but a BAHA is something completely different. Especially for children without eardrums and with a closed ear canal, as with 18q deletion, only a BAHA does not offer a solution and a cochlear hearing implant. You also referred back then to a project that ran to see what precisely determines the high cost, or that is due, for example, to supplements. Madam Minister, has that project already been completed and, if so, what has it shown? You also said that the agreement committee wanted the reimbursement to be better aligned with the indication and technological level of the hearing aid. What exactly is decided there? As I said in the introduction, a cochlear implant is fully refunded, but a BAHA is not actually. Why is that? It is also covered by the reimbursement system of classical hearing aids, while it is something completely different. For children with a working middle ear, a BAHA offers a much better and cheaper solution than a cochlear implant. Up to the age of five to six years it can be placed on a soft band and then, if the child's skull is thick enough, it can be implanted. In any case, its cost is around EUR 12 000 for both sides, of which only about EUR 2 500 is reimbursed. I checked. Parents of a child with 18q deletion are in this case at the choice: almost 10 000 euros coughing up or depriving their child of his hearing, essential for development. Why is only EUR 2 500 out of EUR 12 000 reimbursed? You referred to the supplements in a previous reply, but they cannot amount to EUR 10 000. A processor in itself has a very high price tag, which is not covered at all by 2 500 euros. 18q deletion is a rare condition, but there are some disorders in which the eardrums or the ear canal are not developed. How many people actually charge a refund for a BAHA? How often are these devices placed and refunded, to estimate whether the government has the room to raise the refund? Finally, I find it strange that children with a middle ear problem for a cochlear hearing aid and also for an external speech processor should be compensated, while children with a closed ear canal are not. In practice, it comes down to both cases, so people see that the children can't hear without the right hearing aid. They do not themselves choose what condition they have and therefore whether they need a CI or BAHA. Do you recognize that difference? What will you do about it?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u131	Madam President, Mrs Van Camp, my services are currently unable to extract the supplements of BAHA devices from the global figures of supplements that are now available. In July 2016, the Audience Insurance Institutions Agreement Committee published a restrictive list of all reimbursed hearing aids and updated them already in December 2016. This list ensures that in the future it will be possible to see how much supplement will be paid for all devices delivered after 1 October 2016. The project to adjust the reimbursement to the indication and the technological level is still ongoing and is being examined further. In the light of the European Directive 93/42, the sound processor should be classified as a class IIa medical device. These aids therefore fall within Article 31 of the nomenclature of medical benefits in kind and cannot be reimbursed by means of legislation for the implants. Article 31 provides for a refund per hearing aid delivered, with an additional refund per leg-conductor, e.g. a BAHA device. This refund is currently EUR 1 145 for one ear for children and EUR 651 for adults, with an additional refund of EUR 96 for leg-guided appliances. I'll get back to you on this. In 2015, approximately 200 hearing aids with leg guidance were refunded. The different types of devices and implants have different functionality and have been developed for specific types of hearing problems. A BAHA is suitable for a person with a mild to moderate conductive hearing problem, but not for a person who is completely deaf. As a result, there are several criteria for eligibility for a specific type of appliance. It is indeed difficult to understand that two persons, with a similar hearing problem at first sight, can therefore be eligible for a refund of a different type of appliance. As has just been explained, hearing aids and BAHAs are covered by Article 31 and the fees, supplements and conditions to be met are determined by the Audience Insurance Institutions Agreement Committee. For the other implants, the mid-ear implants and the cochlear implants, the fees and compensation conditions are proposed by the Commission as compensation implants and invasive medical devices. There are therefore two different routes for reimbursement. The methods of reimbursement for both regulations are completely different. In addition, each committee must use the budgetary envelope it has when fixing the amounts of compensation. You say it's hard for people to understand. I think so, too. However, these are two different committees and two different ways of reimbursement. And it's definitely different indications. You have a point, if you say that one will be repaid in full and the other will not. However, there is another history to it. I think the BAHA is more recent than the other. This may evolve, but there will still be two different routes.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u132	Thank you, Madam Secretary. It is good that you acknowledge the problem. The people who are confronted with this on the ground will certainly find it a boost to explain why it has been included in a different reimbursement procedure. If I understand correctly, the European directive in particular means that BAHA cannot be reimbursed like the other implants. It seems at the insurance consultation with the audiologists that it is necessary to examine whether the refund can be increased. Since I hear you say that there are only two hundred patients, this must be possible. I understand you're in favour of it as a minister. Hopefully you'll work for it too.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u133	Debates of the European Parliament 16000 by Mrs Hufkens will be converted into a written question. Questions Nos 16005 by Mrs Somers and 16094 by Mrs Van Peel are converted into written questions. Debates of the European Parliament Mrs Becq's 16025 will be converted into a written question.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u134	Madam President, Minister, I have already asked a question on this issue in the past. At that time, you said that the Committee on Orthopedists' Insurance would check whether all the prefabortheses in Article 29 of the Nomenclature are justified for reimbursement and that they would therefore re-evaluate this on the basis of the new scientific insights in the framework of a price transparency project. This would also be the case for the rescue device, which is prescribed for hallux valgus, among other things. Has this exercise been completed yet? If so, what are the findings?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u135	Madam President, Mrs Van Camp, the exercise that is under way goes a little bit wider and within the framework of the project on price transparency, in which all orthes from Article 29 of the nomenclature of medical benefits are re-examined on the basis of scientific evidence. The project also provides for a new and correct refund for all these products. This means that, in addition to a scientific evaluation, price agreements must be made within the Agreement Committee for each type of product. It is also necessary to list all the products concerned on the Belgian market. In order for this system to be fully implemented, the relevant Committee on Agreements is developing the modalities. The RIZIV is also exploring how the underlying systems can be set up. So the work goes on. So it is more than just the problem of the night splints in hallucinogenic valgus.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u136	Madam Secretary, I understand that the exercise is still ongoing. I'm gonna go back to this later.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u137	Question No 16062 by Mrs Kattrin Jadin is transformed into a written question. We're going to give Mr. Carcaci time. Question No 54, by Mr De Pasquale No 16149 by Mrs Valerie Van Peel and No 16149 by Mrs Van Peel and others, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats (Christian Democrats) and European Democrats (Christian Democrats) and European Questions No 16156 by Mr Philippe Blanchart, No 16180 by Mrs Nathalie Muylle, No 16124 by Mrs Karin Jiroflée, No 16248 by Mrs Els Van Hoof and No 16458 by Mrs Anne Dedry, No 16249 and No 16250 by Mrs Els Van Hoof, No 16295 by Mrs Anne Dedry, No 16302 by Mr Philippe Blanchart are transformed into written questions. As Mr Daniel Senesael has not told us, his question No 16306 is withdrawn. Question No 16326 by Mrs Kattrin Jadin is transformed into a written question.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u138	Madam President, Minister, the ambulance services active in emergency medical aid demonstrated to your office on March 10 to denounce the lack of resources available to the sector. The Belgian Association of Professional Ambulance Services, the Royal Federation of Belgian Fire Brigades and the Brandweervereniging Vlaanderen denounce in particular the fact that the current lump sum amounts are too low to cover the actual costs of the vehicle, fuel, the care equipment used and the compulsory presence of two paramedics who have graduated continuously 24 hours a day, 7 days a week. They also raised the issue of unpaid invoices, which are only partially reimbursed by the AMU Fund. The demonstrators asked that you support the opinion of the National Emergency Medical Relief Council, with special attention to the funding component. In the January 2017 notice, the National Emergency Medical Council issued six recommendations on funding, funding components, user tickets, fund creation, external sources of funding and synergies. I won't mention them here. They are included in the question that has been forwarded to you. Minister, can you shed some light on the discussions that took place at this meeting? What commitments have you made in relation to their request to support the recommendations made by the National Emergency Medical Relief Council in January?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u139	Madam President, ladies and gentlemen, with regard to the deployment of 1733 at national level, the new circles of general practitioners and the new guard areas should, in principle, have the possibility to join the system, starting in autumn 2017.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u140	Minister, isn't there any confusion in your answers? My question is about ambulance services. My question was attached to the one on 1733, but since its author is not present, it becomes irrelevant. That said, it's not very serious. Continue your answer, Minister.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u141	New general practitioners' circles and new day-care areas are expected to be able to join the system as early as fall 2017. To determine when the guard position could do so, it is necessary to wait until the guard position meets all the criteria that will be specified in the coming months. As you know, non-emergency transport is the responsibility of the federated entities. This agreement was reached at the Inter-Ministerial Conference this week with the consent of all the federated entities. I would like to point out that, at present, only ambulances approved under 112 are allowed to use a siren and gyrophars and, in that sense, the agreement is in fact an implementation of the existing rules according to which the use of gyrophars and sirens is reserved for urgent transport only. The agreement also provides for a new category of intermediate vehicles: ambulances primarily responsible for non-emergency transport and which, occasionally, are used in the context of 112. They will now have their own external characteristics and will have to comply with the procedures and meet the quality and maintenance requirements of a 112 system. They will also have to have an authorisation to operate this type of vehicle. My collaborators have developed a plan for urgent medical assistance. It focuses on two pillars: - first of all on a programme guaranteeing to the citizens that, in 90% of cases, one of the resources of emergency medical aid able to prepare acts of advanced life support, will be on site within 15 minutes; - a reform of the financing of ambulances, with an increase in the financing of permanent posts. As I have already said, this issue requires a budget from the Council of Ministers together with my colleague Mr Jan Jambon, Minister of the Interior. This plan is entirely based on the advice of the National Emergency Medical Relief Council. I would like to point out that ambulance services have not come to protest but have come to show their support for this plan. They had letters for all the vice-prime ministers and their cabinets. They were very nice and didn't turn on their sirens during my interviews. That says enough, I believe, about their motivations! They were also consulted during all the work carried out. I also addressed the issue of underfunding urgent medical assistance to government partners in order to be able to release the resources necessary to fund this plan. But it must be said that it is a sector that has been underfunded for years and years. In the reform of the fire services, the public health and emergency medical aid aspects were not taken into account at that time, as I believe the latter to be deplorable. It's also a file I inherited, but we're gonna try to find ways. We have a plan, but we need resources.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u142	Madam Minister, thank you. This is an extremely important issue, namely ensuring the speed and quality of care. The heart of demand is therefore good to have funding, not luxury because it is not their demand, but correct funding to ensure this quality and speed of support. In this respect, it is nevertheless interesting to compare and see that the same urgent medical aid is taken care of by ambulances in the Netherlands. It's ten times more expensive. In Belgium, for a ten-kilometre mission, we can charge a little over sixty euros. In the Netherlands, just starting the ambulance produces an invoice of six hundred to seven hundred euros. This comparison is an inquisitive one. You're going to apply for additional funding from the government. Can you already give us a deadline? It's not for me, but to relay the information to the ambulance services? Will it be before or as part of the next adjustment?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u143	As part of the next adjustment.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u144	Thank you.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u145	Minister, I would like to repeat the point with regard to the logopedia. A year ago, on March 7, 2016, logoped professional unions and insurers signed an agreement. This Convention provides for many measures. A year later, I would like to take stock of these measures. There was a section on a reform of the nomenclature with the introduction of locked-in syndrome, parental guidance classification codes and flexibility standards. Where are we? There was a component on the financial intervention of INAMI in the use of certified software, thus a telematics premium. Where are we? What are the conditions for benefiting from it? What is the work schedule? There was a part on an amendment to the Royal Decree of 20 October 1994 so that a check could be made by a logopede without a doctor's prescription, which was a nonsense, I find, first and foremost for children but sometimes adults, and therefore the families concerned and the State since it required additional consultation. So it was more expensive for everyone. Will we go back to that? There was a component on the quantitative estimate of the budgetary impact on logoped expenditure in relation to the effects of population ageing. Has this study been initiated at the CPS level? Finally, there was also a section on solutions to be brought in relation to the plethora of logopeds. Thank you for providing different answers to these questions.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u146	Madam President, Minister, a type 2 disabled child must attend special education for his or her development. He is only entitled to specialized medical supervision for five years. School infrastructure is often poorly adapted and the different types of disability are mixed, in particular type 2 and type 3, which is already not conducive to their development. School transport is also poorly managed in the sense that childcare can only be provided to the nearest specialized school, even if it is not the first choice of parents. In addition, the costs of logopaedia are not reimbursed, while for unrecognized children with type 2 disabilities they are reimbursed. Minister, why don't we pay back the costs of logopedia care?
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u147	Madam President, Mrs Fonck, Mr Carcaci, the provisions of the Convention have indeed been transposed into a Royal Decree of 20 February 2017 and come into force on 1 April 2017. Locked-in syndrome has been added to the nomenclature as a new disorder in its own right. The patient with this syndrome can obtain a health care insurance intervention in a logopedic treatment at the rate of 150 treatment sessions in the first year and 100 sessions for each of the following years without any time limit. Parental guidance allows for certain disorders to draw a number of sessions from the overall quota granted, up to 10 individual or group sessions, or to assign them to sessions in the presence of persons in charge of the child's education, to which the treatment agreement was obviously given, to teach them the specific strategies of targeted intervention to support and increase the effectiveness of the child's logopedic treatment. The flexibility standards refer in fact to the possibility of treating relapses for some of the disorders in the nomenclature, i.e. to retain a number of sessions drawn from the overall quota granted for the disorder up to a maximum of 30 % of that quota and to use these sessions after the end of the maximum total duration of treatment, as provided for in the nomenclature. This relapse should be treated within a period that begins six months after the end of treatment and ends two years after the end of treatment. It is therefore not, strictly speaking, an extension of the current treatment period – two years for most disorders – but an additional period after the end of this normal period. The granting of the telematics premium is, in fact, requested under the Convention but has not yet been the subject of extensive negotiations within the Convention Commission and a timetable is not set for addressing this issue. On the other hand, the granting of a benefit plan, called "social status", also provided for by this agreement, was the subject of the publication of a royal decree of 27 November 2017 and is applicable from the financial year 2016. The removal of the requirement of prior limitation of the initial balance sheet remains a request of the commission and involves an amendment, by the SPF Public Health, of the Royal Decree of 20 October 1994. As a transitional measure, the new version of the nomenclature in force from 1 April 2017 provides that this check-up requirement can be established by a general practitioner and not necessarily by a specialist, in order to simplify the administrative procedure for requesting interventions, since it was sometimes more difficult to obtain an appointment with a specialist than with a general practitioner. But this only concerns the balance sheet. The prescription of the logopedic treatment itself remains within the competence of the specialist physician. You know that there are waiting lists of two years or more for a child to be assessed. This is a very challenging situation. Indeed, before defining a treatment, a balance sheet is always necessary. The general practitioner is also able to make this assessment. The lists are known. I think he'll have more time...
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u148	[[...]]
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u149	No, we have to go through the generalist.
ParlaMint-BE_2017-03-29-54-commissie-ic635x.u150	(...) The order will be amended and we will continue to go through the general practitioner.
