ParlaMint-BE_2017-05-10-54-commissie-ic660x.u1	Debates of the European Parliament Mr Clarinval's 17644 was converted into a written question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u56	I've asked you several times about the ADHD medication. I have already asked a written question. I have received a lot of figures on this. In April, several newspapers reported the disturbing news that children taking the most commonly used drug against ADHD, called methylphenidate, are on average 4.7 centimeters less large and therefore have a growth delay. Your answer to my written question shows that in ten years time there was almost a doubling of the amounts reimbursed (and thus prescribed) amounts of methylfindate between 2005 and 2016. That too is disturbing. Methylphenidate is mainly taken by children. Will and can you take measures to limit their intake by minors? The reduction in growth is not a side effect to ignore. What measures will you take in the short and long term? Are there any alternative medicines that may be eligible for reimbursement as an alternative to the current most prescribed medicine? Are there any known advantages and disadvantages? What is your position on this medicine? Is its use and reimbursement still to be justified with this investigation in mind?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u57	Madam President, Mrs Dedry, from the moment I stepped in here, we are already dealing with this ADHD medication, but I was on the other side. The BCFI website has just published a report on the use of methylphenidate at ADHD and growth retardation. Growth delay is a known undesirable effect of methylphenidate. Growth retardation has already been reported with long-term treatment, but data on body height influence over adult age have not yet been available. Recently published in the media articles that draw attention to growth retardation in children with ADHD treated with methylphenidate to reduce body height at adult age. These claims in the media are based on the results of the follow-up study of the multimodal treatment study, a randomised controlled study of 1994 over a period of 14 months in which various medical or non-medical therapeutic strategies were evaluated in children between 7 and 10 years of age with ADHD. At the end of the randomised phase, the MTA study was continued as an observational study with a long-term follow-up. Results indicate a limited reduction in body height at adult age, from 2 to 2.5 centimeters in the groups treated with central stimulants. This reduction was more pronounced as the cumulative total dose was higher over those years. Methylphenidate remains a first choice for treatment in children with severe ADHD, but in children with mild to moderate ADHD it makes sense to first take specific measures within the areas where the problems occur. If this proves insufficient, methylphenidate can be started. Every year, attempts should be made to stop the medication. However, an annual re-evaluation is already contained in the current remuneration criteria. You know that this was actually freely available in 1999. That was an over-the-counter product. I mentioned that at the time. There were no figures, there was no record of how many boxes went over the counter. Afterwards it was included in the refund with the condition that there had to be a real diagnosis. There were also reimbursement criteria, which included an annual evaluation. To date, no alternative medicines are available for the treatment of these behavioural disorders. I can only clarify that as long as the companies involved in marketing such medication to the CTG do not apply for reimbursement, there can be no refund for other medicines. The Committee on Medicinal Products (CTG) in which experts from different universities, representatives of insurance institutions and representatives of the professional organizations of doctors and pharmacists are present has the task of examining the reimbursement dossier submitted by the company as soon as possible. However, we have no right of initiative in this matter. We cannot decide to examine a particular file, if there is no application, the CTG has no right to speak of it. The CTG will always base itself on the officially recognised indications mentioned in the scientific package leaflet of the medicinal product for the purpose of determining the methods of reimbursement of a proprietary medicinal product, as both efficacy and safety are examined most extensively. We certainly have a lot of attention here for various research in the field. If appropriate, the Committee will continue to analyse new available elements, which, after thorough examination of various available scientific elements, may or may not adjust the conditions for reimbursement of medicinal products based on methylphenidate in the second instance. Besides, it's not just about growth disorders. They have been identified by those long-term studies because the children must be able to reach their adult height first. However, there are also truly anorexic effects that work much faster. The children concerned cannot eat and have no appetite. They are on the verge of malnutrition. This can have far more serious consequences than two centimetres smaller than genetically planned. This is about malnutrition. You know that nutrition is necessary for the general activities to be carried out. I've always been and will be a cool lover of Rilatine. I realize that there is no alternative for some people, but when we look at consumption in our country, it is and remains far too high. We cannot explain why this is the case in some provinces. For example, we have a cluster in West Flanders. The incidence in a school is probably the same as in other schools, but there whole classes take Rilatine. I can't. It is prescribed, it is prescription medication and everyone has to take responsibility for it. I can't stress that enough.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u58	Madam President, Minister, at least we agree that there is a very big problem here in terms of prescribing behaviour. I can only repeat that all measures that can remedy this are absolutely necessary.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u59	Minister, the generalization of electronic prescriptions is in our view an inevitable and beneficial development. However, the acceleration of the tempo of its implementation on January 1, 2018 is clearly problematic. In addition to your answers already given in committee, I would like to know more about the practical aspects, because these are questions on the ground. It seems that cases of force majeure may be subject to derogations, but what does that mean? What if the identity card is lost or stolen, for example? What for people who do not have a standardized identity card (without papers, children, tourists, foreign residents...)? How can pharmacists who fear network or power failures prevent them from delivering prescribed drugs? Will they, for example, be able to deliver and regularize afterwards? What about home visits, for urgent cases? Will the handwritten prescription be refused in the event of a technical problem, including, for example, for distracted patients, running out of a medication to be taken every day? When and how will physicians and pharmacists be informed to deal with all of these practical cases? Would it not be better first to inform them correctly by addressing all these concerns, instead of imposing such a close deadline by leaving them uncertain? Is this shift not likely to increase the risk of shortages, especially in the south of the country? Not yet computerized doctors are often seniors. At the end of their careers they don't have the courage to encode their files. They would even consider early retirement because they will not be able to follow. Have you considered this aspect, which goes far beyond the problem of training? Are you advocating a solution for doctors at the end of their career? Why did you decide to accelerate the requirement to switch to electronic prescription? Have you made a preliminary assessment of the current situation? For example, do you know how many doctors already use the electronic medical record and how many doctors are geographically distributed? That's a lot of questions, but they're important in detail to complete my knowledge of the issue.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u60	Ms.Caprasse, in 2018, the electronic prescription of drugs will become more widespread and will replace the paper prescription. The paper requirement, however, remains valid for emergency situations. This will depend primarily on the urgency with which the patient needs to obtain his or her medication and the fact that the prescriber is unable to write an electronic prescription at that time. This will also be possible for physicians who are pensioners and who still want to prescribe drugs. This is the implementation of an action point within the framework of the e-Health Plan 2015-2018, which was signed by the nine ministers responsible for health in our country, in which they commit themselves to making optimal use of e-Health opportunities. The plan includes 20 action points. Organizing health care with the least amount of paperwork possible is one of the main objectives. The aim of the e-Health Plan, however, is not to push prescribers towards mandatory computerization at the end of their careers. However, I observe in the press that some doctors under the age of 50 are heading towards the end of their careers. For older and non-computerised physicians, a solution is provided, allowing so-called sporadic prescribers to make electronic prescriptions in a secure manner. This will be done in the coming months. For home visiting physicians, making available will also make electronic prescriptions in a secure manner. The paper proof of the electronic prescription will also disappear. The reading of the barcode by the pharmacist will be replaced before 2018 by reading the eID card. Therefore, the prescriber should not walk around with a printer. Having an electronic ID card is not required to establish an electronic prescription. On the other hand, the doctor must have a NISS or NISSbis number and the patient's name. Currently, patients without NISS or NISSbis numbers are not yet considered for an electronic prescription. This is for example the case for newborns and undocumented people. This and a point of action for 2017 and practical instructions will be given to actors on the ground in time and time. 2017 is a year of transition that will address the identified problems and improve and optimize the operation of the electronic circuit in collaboration with the stakeholders concerned, paying attention to the circumstances in real time. Just like the electronic prescription, paper, which is now the fall back tool for the pharmacist in the event of a breakdown or technical problem, allows him to put the administrative part in order; a fall back procedure for the pharmacist is to be foreseen. We're moving on to a system based on reading eID cards. And the ongoing analyses will have to take these scenarios into account. In addition, the prescriber and pharmacist will continue to provide clear and useful information to patients so that they can take these medicines properly. For example, in the form of a medication scheme. But you also know that it must always be indicated on small boxes. Making electronic prescription mandatory requires legislative adaptations, which will soon begin preparations and discussions within the relevant committees. In this context, additional information and practical instructions will be provided to relevant land actors, competent authorities and professional associations, as was the case when considering the amendment on 1 January 2017. An INAMI leaflet for patients will soon be distributed via public pharmacists. I do not have information here, because I have not seen it in your question, about the number of prescriptions. But it is true that this number is exponential. For pharmacists, most prescriptions are done electronically. There are childhood diseases. It's always the case. But it works better and better. In some cases, there are problems with systems, access to the Internet, etc. However, it is an intense work and it is in the interest of the patient and the doctor to inform themselves. I understand the difficulty of older colleagues who do not see any interest in it, but it must remain a minority that tends to decrease. You should know that, since 1999, the Committee on Public Health has been debating digitisation in the health care sector. Premiums and incentives were granted to computerise the system. Eighteen years later, we're still talking about it. Some doctors still refuse to work with a computer. I respect their method and don't pretend it's worse. Not at all! However, I note that nurses will be 100% computerized in two years' time. Do you see the difference? This is, for example, the case of clinical biology. We still need to know what we're talking about. I heard a doctor tell a reporter that he doesn't want to take his 12 kilo computer in his suitcase. I didn't know there were computers of such weight! Maybe in the antiquities catalogue...
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u61	Minister, thank you very much for your answers. It seems to me healthy to assign a deadline to the interested ones, because it stimulates them and makes a little adrenaline rise. However, I remain skeptical. Will all problems be resolved by the beginning of 2018? I am less optimistic about this. According to you, some doctors say they're old at the age of 50. I think it's a little exaggerated. That many of them do not have the energy to start from scratch, I can understand that it is very difficult for them. They prioritize patient care and feel that they are going to be out of date. I think that this opinion should be respected. I hope that you will put in place a permanent follow-up of the situation with a view to correcting the shooting in the event of a problem on the ground. In addition, if there is a risk of shortage, I hope that you will advise in the right direction and that things will be done at best. Nevertheless, I remain very, very distrustful, because this is a real reversal of attitudes.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u62	Madam Secretary, the vast majority of hospitals have an NMR device. This would not have been achieved by only a limited number of hospitals, as a result of the programming laid down in the CRDs of October 2006 and April 2014. I do not know if that information is correct, but in the Flemish region there would be nine general hospitals that do not yet have such a device, five if the associated hospitals are not counted. In the Brussels-Capital Region and the Walloon Region there are much fewer. In the Brussels-Capital Region there are no hospitals that do not have such equipment and in the Walloon Region only one hospital does not currently have an NMR device. If I have understood correctly, the Advisory Committee on Welfare, Public Health and Family Provisions has stated that such a system is no longer sustainable, dated and can no longer be justified in the medical field. Some even see an infringement of Articles 10 and 11 of the Constitution, as this does not ensure equal treatment. The auditorate report of the Council of State would also point in this direction. That is why I would like to put the following questions to you. Are the numbers I mentioned correct? How many Flemish hospitals have no NMR scanner, how many Walloon and how many Brussels? What hospitals are they? What will you do to adjust the programming scheme? What difficulties do you experience in this regard?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u63	The numbers are next. In Flanders 45 out of 54 hospitals have at least one NMR. In total, it's about 65 devices. Of the nine hospitals that do not have an NMR, four work in association with other hospitals. The Sacred Heart Hospital in Mol works in association with the General Hospital Sint-Dimpna in Geel. The Saint Joseph Clinic in Bornem works in association with the General Hospital Holy Family in Reet. The Saint Joseph Clinic in Izegem works in association with AZ Delta in Roeselare. The Sint-Andries Hospital in Tielt and the Sint-Rembert Hospital in Torhout work in association with the AZ Zeno in Knokke-Heist and the AZ West in Veurne. The five Flemish hospitals that do not have an NMR are the Maas and Kempen Hospital in Maaseik, the Saint Vincent Hospital in Deinze, the AZ Oudenaarde, the AZ Lokeren and the Our Lady-Van-Lourdes Hospital in Waregem. In Brussels, all hospitals have one or more NMRs. Brussels has 19 devices for 12 general or university hospitals. In Wallonia, 28 out of 37 hospitals have at least one NMR. A total of 36 devices are involved. Of the nine hospitals that do not have an NMR, three have an association with other hospitals: the Centre de Santé de Fagne in Chimay, and the Centre Hospitalier Sambre et Meuse in Auvelais. The hospital with an association for the use of a mobile MNR is the Clinique de Nôtre Dame de Grace in Gosselies, which has an association with the Grand Hôpital de Charleroi et Gilly. As far as the Centre Hospitalier de l'l'Ardenne Vivalia is concerned, this hospital does have a programmed device, but so far no recognition. The five Walloon hospitals which do not have an NMR are: the Centre Hospitalier Tubize-Nivelles, the Centre Hospitalier de la Haute Senne, the Clinique Reine Astrid in Malmedy, the Hospital Sankt Nikolaus in Eupen and Clinique André Renard in Herstal. As I have said several times on previous parliamentary questions, I follow the principles laid down in my predecessor's protocol agreement on 24 February 2014. The first additional disc of 12 aircraft was released in the summer of 2014. We note that it took until the spring of 2016 before all these devices were awarded. So that didn't happen so fast on the premises. In the meantime, the Department of Medical Evaluation and Control of the RIZIV is preparing a report to answer, inter alia, the question of whether the budget neutrality provided for in the protocol agreement has been respected. It is only after this evaluation that a further extension of the programming process can be achieved. Meanwhile, I also asked the platform BELMIP for an opinion on the NMR programming. That advice will come in the month of June. Programming remains an important federal steering tool to better tailor supply to needs and control the healthcare budget. Therefore, I do not see how the programming of NMR devices would violate Articles 10 and 11 of the Constitution. I would also point out that the protocol agreement of 24 February 2014 was widely discussed by my predecessor with the profession of radiologists concerned and that they support the current policy direction. Finally, I am not aware of any auditory report in which the federal programming would have been called inappropriate governance. We didn't find any of that. If you mention that in your question, I would like you to give it to me. I'll give it to those who have to give advice. I also have to say that in the meantime a measure has been taken that was also included in the protocol agreement, namely to have an approval number given by the RIZIV for all those devices and that we actually saw that there were many more black devices, despite some regularizations in which the black devices were whitened. So we see that new black devices are still popping up. There's been a proliferation of scanners and NMRs. The proliferation of scanners has made switching to NMRs more difficult and therefore it is also a budgetaryly difficult issue, which has really meant that it must be budget-neutral. I think we will get there, but we need to think much more about the added value of a scanner. The number of scanner tests should go down. Then there can also be NMRs and that number can rise again. Networking will also have to be done for these heavy equipment. You should also know that in the meantime a specialization is developing in all these devices. And then it can't be that one will be available in every hospital of every kind of scanner. Networks will have to work together. We're working on that. In any case, if there are waiting lists or things that are difficult on the ground, it is because too many regulations are still being written.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u64	Madam Secretary, I will put it back in a moment, and I will have you send you the auditorate report on which it refers.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u65	Madam President, Madam Minister, the Non-Invasive Prenatal Test (NIPT) is an essential step forward in the medical field as it allows, through a simple blood test, the detection of Down syndrome in utero and the provision of a very precise set of information to future parents. While the cost of the test has recently been reduced from EUR 460 to EUR 390, it is still not reimbursed by INAMI and in most cases remains the responsibility of patients. This has the effect of making the test inaccessible to women who do not have the necessary financial means. In this regard, you answered in July 2015 the question of my colleague Eric Massin, whom you had instructed the Medical Technical Council to draft a refund proposal for this test. So my questions are as follows. What is the status of this rebate proposal? Will a list of criteria have to be met in order to benefit from this reimbursement? Will this test be more accessible in the near future, allowing more women to benefit from it?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u66	Thank you for your question, Mrs. Ben Hamou. First of all, you say that patients do not have the opportunity to screen. This is not true because the other test still exists.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u67	[[...]]
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u68	I understand: your question specifically concerns the NIPT test. I have always said that I want to reimburse the NIPT test for all pregnant women who wish to do so and to include this refund in the health benefits nomenclature. I have also released the necessary resources for reimbursement and have forwarded a proposal to the competent bodies of INAMI to provide for this reimbursement in the coming months. I look forward to the final proposals adopted by the Medical Technical Council and the INAMI Insurance Committee. So it will be very soon.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u69	That's good. That's positive. For me, it's too late, but for women who want to benefit from it, it will be paid back very soon.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u70	For your next baby, it'll be in order.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u71	Thank you.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u72	Madam Secretary, this question has been going on for several years. In your answer to my last question, there seemed to be light at the end of the tunnel and you said that the studies on the reimbursement of dietician and psychologist in the case of obesity and obesity would be delivered. The report of the Observatory would have already been completed and only needs to be validated. I allow myself to ask a follow-up question on this. Can we get the report? What are the results, in summary? There was a second study of insurance institutions through the InterMutualist Agency. They would have completed a study on bariatrie and the treatment of obesity. You replied that there was a wait for a next opportunity to submit that report to the insurance committee. What's the status? What are the results of that report?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u73	Ms Van Camp, at the plenary session of 23 March 2017, the Chronic Disease Observatory approved the report on obesity surgery proposed by its members. It's public by now. Seven recommendations have been made: the improvement of the initial charge, the updating of the indications on obesity surgery, the adaptation of the nomenclature, the creation of a national register of obesity surgery, the structuring of the sector, the organisation of a rehabilitation of the surgical patients and the improvement of long-term follow-up. The Inter-Mutualist Agency has not yet published the results of its national research. We have not yet reached a decision on this issue. We, too, await this report. We can send you the closing note of the Observatory electronically.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u74	Very good! Then we'll have a report in. I look forward to sending that publication electronically.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u75	Madam President, Madam Minister, this is yet another follow-up question on Natulan. Last time, you said that the discussion had been delayed because of the budget discussion, but that the dossier would be discussed in the near future. What about the file? Is the refund coming up?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u76	Madam President, Mrs Van Camp, as I have told you, the reimbursement was already planned. However, the Committee on Medicinal Products has had too much work done with the budget. She'll be rebooting the file soon. That's what she reported. We shall then proceed to the evaluation and knowledge, after which we will take a decision on this matter.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u77	Madam President, Minister, I will follow up on the matter further.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u78	Debates of the European Parliament Mr Senesael's 17955 on sleeping aid was postponed. Debates of the European Parliament 17960 by Mrs Lalieux on the Saint-Lucas Hospital lapses, as we have not heard from Mrs Lalieux. Debates of the European Parliament Mrs Hufkens' 17974 will be converted into a written question. Question No 5, by Mr De Gucht Mrs Jadin's 17977 on immunotherapy is converted into a written question. Debates of the European Parliament Mr Senesael on hygiene standards in hospitals was postponed. Interpellation No. Mrs Onkelinx's 209 lapses due to the absence of the author. Debates of the European Parliament Mrs Muylle's 18013 will be converted into a written question. Apparently, that was already passed on.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u79	Madam Minister, in a judgment of 16 March 2017 published in the Belgian Monitor of 3 April 2017, the Constitutional Court annulled article 11 of your law of 10 July 2016 on the exercise of psychotherapy. In accordance with Article 9 § 1 of the Special Law of 6 January on the Court of Arbitration, the annulment judgments of the Court of Arbitration have absolute authority of res judicata from the time they are published in the Belgian Moniteur. The decision to annul article 11 of the psychotherapy law therefore has absolute authority of res judicata since 3 April 2017. It should be noted that the Court had already suspended this article by a judgment delivered on 22 December. When asked in committee, you replied that your lawyer would consider possible steps to comply with the decision. This time, the Court states that section 11 of the Act was annulled because it does not provide for a transitional regime for persons who, during the period prior to the entry into force of the Act, were practising psychotherapy without satisfying the newly established conditions. The Court sees this as a violation of Articles 10 and 11 of the Constitution, since the difference in treatment is not justified in a reasonable manner and undermines the principle of legal certainty and legitimate expectations.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u80	In recital B75, the Constitutional Court ruled that "persons who, prior to the entry into force of the contested law, practiced psychotherapy without satisfying the requirements of that law may continue to practice this practice, pending the legislator's taking the necessary transitional measures to remedy the unconstitutionality established by the Court." Madam Minister, having voted against this legislation for reasons already set out and on which I will not come back today, I am pleased that the Court recognizes that they can continue to do their job. But the situation in which you have plunged them is unacceptable. As a result, minister, can you let me know if her services have already conducted an analysis of this decision? If so, can you tell me whether a corrective bill will soon be introduced, taking into account the reasons for unconstitutionality raised by the Constitutional Court and providing for a transitional regime for psychotherapists in order to ensure their legal certainty?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u81	Madam President, ladies and gentlemen, on 29 March I already answered Mrs Gerkens' question No 17428 on this decision of the Constitutional Court and Article 11 of the Act. In the meantime, my services have analyzed the opinion. But it is still too early to decide on the next steps, as we are still working with stakeholders on the exact scope of this judgment. As far as I am concerned, I continue to work so that the Federal Council can start as soon as possible. Indeed, as you know, the rest of the law is still in force. In any event, it is May 10, and the same question as that of March 29 is being asked to me today. It's your right to ask questions, but I don't like to repeat myself. You must know that you were probably contacted by the same people as Mrs. Gerkens. That is how two similar questions are asked to me two months apart. In doing so, I cannot say anything more, except that we are setting up the Federal Council and that it is still time for consultation with the stakeholders.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u82	I had no bad intention in asking you the question. It's a misunderstanding. I just wanted to be reassured that psychotherapists can continue to work as before without being attacked or adopting a stance contrary to the law, since things are waiting.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u83	Madam Secretary, the West Flemish Environment Federation (WMF) has recently presented a report on the intensive livestock farming and the health risks that living in an animal husbandry area may entail. West Flanders is one of the absolute top of intensive agricultural production. Already, on average, every 450 metres there is a pig farm and there are 11.3 million chickens in the province. Within West Flanders there are some concentrated regions where activities are increasingly concentrated on fewer farms. Those are the most obnoxious companies. Within West Flanders there are also remarkable concentration movements. Activities focus on fewer and fewer farms within certain sub-regions. In Veurne, for example, between 2011 and 2015, there was a chicken holding which doubled to more than 800 000 chickens. The region of Tielt increased its already staggering concentration of pigs and chickens by less than a million. And also Oostkamp and the region of Langemark each tend to be a million head of cattle. This staggering concentration is causing more and more resistance to new stables. The health argument is increasingly being used. The WMF report is based on more than 100 scientific publications and provides an overview of a large part of the health-threatening aspects of livestock farming. There is an increasing awareness of the health effects of ammonia, a gas that escapes from livestock farming and the fertilization of the fields. It mainly works on the airways and binds with the emissions of traffic to secondary fine dust in the cities. Due to the less good condition of the West Flemish soils, there is a risk that bad bacteria will exchange genes with the bacteria from the soil, thereby building up further resistance. This in turn influences the spraying against fungi, which are starting to become immune to treatment. However, the main conclusion of the report is that there is no population survey on the health effects or that such a study is not published. "There are plenty of reasons to believe that there are disturbing evolutions in the resistance and dissemination routes of the organisms. They should encourage the government to conduct large-scale research, inform its population and introduce the precautionary principle," according to the WMF. However, the price pressure forces the livestock farmer to choose the path of scaling up which jeopardises the health of the farmer and his neighbors. Current environmental requirements do not seem sufficient to ensure the health of the population according to WMF data. Madam Minister, first of all, is there any reason why there is no population survey on the health effects or why such a study is not published? Secondly, do you intend to invest in research into health risks, specific to intensive agriculture, to residents and neighbors of livestock farms? Thirdly, will you take initiatives in line with WMF's report?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u84	Reducing the environmental impact of livestock farming and measuring the environmental impact is actually a competence of the Regions. But should it be included in the National Environment Health Action Plan, the National Action Plan on Environment/Health, where environmental and health ministers of the Länder and the federal level work together, I will certainly pay due attention to it. Because of my competence, I have to confine myself to the question of what the Regions and Communities are doing on this issue and whether they are carrying out humane biomonitoring, which allows us to measure the health effects. I am also prepared to obtain more information by addressing the High Health Council, at the request of colleagues from one or more state governments, to examine the question of the possible health consequences of intensive livestock farming, provided that the Council has the necessary time to do so. This is really a Flemish matter. I can only ask the High Health Council for an opinion if I am taken by the Minister for the Environment or the Minister for Health of the Flemish Government. I'm willing to do that, but I can't do it on my own. They must take the initiative. If there is a problem, it has to be reported to me from the Länder.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u85	Madam Secretary, I'll be sure to check. I remember that your willingness is great to jump on the wagon to investigate, if that's what you're being asked to do. You also say that you have no knowledge of any investigations that would be completed by now.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u86	Debates of the European Parliament 18053 by Mr Werner Jansen is a question for Minister Borsus.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u87	Madam Secretary, this is a short question for clarification. In a written question about the Christmas period, I asked what was going on with the checks on alcohol offences in the Kempen. In your reply you referred to controls in Turnhout, Maaseik and Hasselt. Turnhout belongs to the Kempen, but not Maaseik and Hasselt. That is why I would like to ask you whether your answer correctly indicates that the checks in the Kempen were limited to the checks indicated in Turnhout and that no checks were carried out on other Christmas markets in the Kempen in the last year? It is not a suggestive question, because the offences were very limited. I am simply asking this question for clarification.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u88	Mrs Van Camp, in your written question you refer to the Kempen, which is regarded as a geographical agricultural region which occupies a large part of the provinces of Antwerp and Limburg. On the basis of a list of the municipalities, which you added to your oral question, the Kempen only covers three quarters of the province of Antwerp. So there's a difference. In preparing the answer to your written question, the tobacco and alcohol control service was based on the geographical agricultural region, which covers the provinces of Antwerp and Limburg. What's in a word? With regard to what you now consider to be the Kempen in your oral question, I can answer that, in addition to the alcohol checks at the Christmas market in Turnhout in 2012, 2013, 2015 and 2016, alcohol checks were also carried out at the Kapellen Christmas market in 2014 and 2015. Three infringements were found in Turnhout and none in Kapellen. In the past, the tobacco and alcohol control service, with its limited staffing capacity, has given priority to monitoring Christmas markets in central cities with a higher number of secondary schools. With the recruitment of twelve new auditors, more attention can also be paid to monitoring Christmas markets in rural areas. In the case of Christmas markets, it is the municipalities that must give permission to place a juniper stand or drink stand. Each municipality must take responsibility for this. If there are only juniper stalls and drinking stalls, of course there will be problems. One should not put the cat in the milk. One must see what one allows at the Christmas market. That's how we do it in our congregation. There's a difference between a buttermilk stand and a juniper stand.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u89	Madam Minister, I will certainly not fail to be clearer in my further question and give the list of municipalities.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u90	Debates of the European Parliament Mrs Fonck's 18087 is postponed. Madam Secretary, do we still have time for a question?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u91	One more question, then. I just want to say that I've been sitting here for four hours, with a fever, and I'm really not feeling well.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u92	Shall we finish then?
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u93	No, let us deal with that question.
ParlaMint-BE_2017-05-10-54-commissie-ic660x.u94	Madam Minister, I would first like to say that this question was suddenly referred to the committee of Minister Borsus last Monday. That was weird. This afternoon I suddenly got them back, which is why I'm not really prepared and will keep it short. Belgium has a reputation in the field of medicines. Not only are many pharmaceutical companies based in our country, but we also have a very great tradition in clinical research. Recently, we have adapted our legislation to comply with European directives and to continue to perform so that we can maintain our lead position. The EEA, the European Medicines Agency, is now based in London. With the Brexit, many countries have already shown interest in attracting the EEA. I understand that, according to Minister Bourgeois, Belgium has a lot of assets in its hands. In the meantime, the various governments have apparently been together in the Consultation Committee and the Brussels Government has applied to bring the EEA to Brussels. However, we are not the only country. Ireland, Sweden, Italy, Austria, Hungary and Malta have already officially applied, but there are other hijackers on the coast. I would therefore like to hear from you what actions the government and yourself are taking to promote our country as an EEA site in Europe?
