ParlaMint-BE_2017-02-08-54-commissie-ic586x.u1	The Minister has informed us that he has to leave at 5:15 p.m. We shall then end our work.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u88	Minister, I agree with what my esteemed colleague has said. The nuclear cabinet seems to have given you the go-ahead to look for European grants for two cross-border rail projects. For me, it's important to find out more about the Mol-Hamont-Weert connection. For years now my province has been working for the further electrification of the railway link between Antwerp and Hamont, which is today limited to Mol. The rest of the route, between Mol and Hamont and from there across the border to Weert, still has to be operated with environmentally unfriendly diesel trains. You probably know that also the Dutch asking party for electrification until Weert. The province of Nederlands Limburg already stated that it wants to set aside four million euros for the project. Mr Minister, could you explain a little more about the decision of the nuclear cabinet? When will it become clear whether European subsidies will be awarded? What's the timing? What amount of European grants has been applied for? What is the estimated cost of electrification and extension of the railway line to Weert? Will funding be made available in Infrabel's multi-annual investment plan? If so, how many? Have you already consulted your Dutch colleagues on this project? Is it true that the province of Nederlands Limburg would be willing to make a financial contribution?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u89	A few months ago, the federal government announced that it would call on debt financing to realise a number of projects that were considered to be capable of generating a significant social contribution, and that in a comprehensive framework to establish a multi-annual investment plan for rail. The Kern of 2 February adopted, on my proposal and after analysis, the decision in principle to carry out, within the framework of this amount of EUR 1 billion, in particular priority dossiers for the Regions, in particular the finalization of the RER on the Flemish, Walloon and Brussels territories, as well as two other projects, namely the electrification of line 19 between Mol and Hamont and the second phase of the connection of the Athus railway terminal with the French railway network. The latter two projects were also submitted in a timely manner, i.e. by 7 February yesterday, which was the final date for submission to Europe, of the submission of a European subsidy application for the said investments under the Connecting Europe Facility programme. Many of you have intervened to raise my awareness. I gave the necessary impetus for the project to be studied for line 19 and for the Athus-France line. As regards electrification of the section between Mol and Hamont, the cost is estimated at EUR 46.3 million and the European subsidy requested amounts to EUR 18.5 million. This cost is, of course, still likely to change as studies continue. Since the Dutch State was ultimately unwilling to take over the financing of the electrification work on the Dutch side of the border, which put an end to the project to extend the electrification work to Weert, it was not possible to introduce a cross-border Mol-Hamont-Weert electrification project jointly with the Netherlands. The dossiers are now being examined by the European Commission services and the results are expected to be known by July 2017. You can count on my commitment to firmly defend these two projects. In view of the decision already taken at its core and in view of the pending European grant applications, both projects are not part of the projects which will normally be financed with federal funding in the multiannual plan.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u90	In the meantime, Mr Van Hees has also come in, and I will give him the opportunity to make a few points in the reply. The first reply is for Mr Verherstraeten.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u91	Thank you, Minister, for your commitment to the various dossiers. I would also like to express my concern here in committee. When I heard that there was an application for European subsidies, my concern was that this would lead to study work being carried out in the European Commission which would lead to delays. If you do not consider it in the Infrabel investment programme, things will be postponed. We're gonna lose time for this project. That's my concern. I hear from you that we will definitely know if there will be subsidies by the summer of 2017. However, if this is not taken into account, I would ask you to make provision for it in the traditional investment programme of Infrabel. I have already mentioned the reasons for this in the past. You speak of a cost of EUR 47 million at the moment. I told you at the time that electrification of the Mol-Hamont railway would mean an operating saving for SNCB of more than 10 million a year. Each year's delay is 10 million losses. Two years' delay means more loss than the subsidies that would be granted on the European side. If there's any clarity before the summer, I'll say yes. However, if it were to give rise to delays, I would prefer the traditional investment so that we can achieve the savings for SNCB. I would therefore like to thank you for your attention and for your commitment, but I would also urge you to take the shortest possible route which is most financially advantageous for the Belgian State.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u92	Mr Verherstraeten, I would like to give my full support to Mr Verherstraeten's reply. We are not sure today that Europe will come up with these resources. Since that is not certain, we must make a move. I would therefore also like to call for the opening of this project to be included in the normal multi-annual investment plan, because repetition works. These are relatively low investment costs, with high cost coverage, environmentally friendly electric trains instead of diesel trains, the accessibility of Belgians, Flemings to Amsterdam and Rotterdam and vice versa from Dutch to Antwerp. As far as I am concerned, it is only logical that a project which has already been carried out has been electrified up to Mol, I do not think of this as a new project being simply completed and that electrification from Mol to Weert is continued. In the totals of amounts you work with, these are peanuts. We must not let this momentum pass.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u93	Mr Van Hees no longer wishes to respond to this point, we can conclude item 41 of our agenda.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u94	Mr President, my question No. I would like to turn 16414 into a written question.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u95	It's been noted.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u96	Mr Minister, at the end of 2016 it was reported that at that time 747 ticket machines were installed in our stations and that almost every station was equipped with at least one vending machine. While in 2015 the ratio of ticket sales to ticket counter versus v. v. v. v. v. v. v. v. v. v. v. v. v. v. v. v. was around 70/30, this ratio evolved to 50/50 last year. The location of a vending machine is chosen on the basis of a number of criteria, such as visibility and accessibility. When asked how many faults are reported to the vending machines, you used to say that each vending machine needs less than two interventions per month on average. 95% of the breakdowns are detected by the monitoring tool or by lack of purchases. In the remaining 5 per cent of cases, it is a matter of slight vandalism. Except in exceptional cases, a faulty machine will be repaired within 24 hours, according to your previous answers. I have the following follow-up questions, Minister. With regard to the number of tickets sold, are there also more detailed figures available per station on sales via ticket counters and vending machines compared to the total number of tickets sold? In other words, is the ratio in all stations 50/50 or are there major differences? If so, which one? Regarding the location of machines, to what extent is the comfort for the traveller also taken into account? With regard to vending machines defects, regardless of the small number of cases in which vandalism plays a role, what are the main causes? Are there any structural problems and how will they be addressed? What cost has been involved in the recovery of vending machines in recent years?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u97	SNCB lets me know that the ratio is not the same in all stations. There are several factors that influence the use of the vending machines in stations: the availability of the counter, the type of traveler, staff guidance... For example, a station like Leuven has a relatively higher proportion of vending machines users, given the student population. From the beginning the comfort of the passengers was taken into account. The visibility, accessibility and so on are all factors taken into account for the comfort of travellers. At the end of last year, a protection was placed on the vending machines on which SNCB had received complaints about sunlight reflection, in order to avoid this as much as possible. To the extent possible and in so far as this is not contrary to the other criteria, the vending machines shall be placed under an existing shielding veil. The main problems concern the cash system, the electronic payment terminals and, to a lesser extent, the printers. I will hand you the table with the operational costs per year. For six months in 2013, this amount was EUR 600 000. In 2014, there are 580 vending machines with an operating cost of EUR 2 300 000, 45% of the costs are under the heading "Curative maintenance services'.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u98	We have been informed that Mr Cheron will no longer be coming to this committee today and that he wants to translate all his questions into written questions. These are questions Nos 16142, 16154, 16289, 16353 and 16489. The questions put together under agenda item 25, No. Mr Cheron, No 16310. Mr Van Hees, No. 16316 Question No 16356 by Mr Geerts 16283 of my own, will be converted into written questions.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u99	Mr President, before I ask my question, I would like to wish a happy birthday to our minister who, to celebrate it, has come to answer a good amount of oral questions! We can thank him for that. I thought of him to bring him some sweetness and encourage him to come and answer our questions on this particular day. Minister, a little chocolate should please you!
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u100	I received messages on Facebook or text messages telling me that a minister's birthday was being celebrated in a group and that he was not working that day. So there's still a lot of work to do to demonstrate that people work a lot, you like me! Thank you for your attention.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u101	Mr Minister, the press recently reported on the acquisition by the Belgian railway infrastructure manager, Infrabel, of a 3D simulator as part of the training of its agents responsible for the safety of track maintenance teams. In this respect, it seems that Infrabel is the first operator to make such a tool available to its agents. I am pleased to see the gradual integration of new technologies into its management and, therefore, to the benefit of rail users. This dossier contributes to Infrabel's goal of becoming, by 2022, a public body that is 100% digital. Minister, in line with the 2022 target, what are the main investment items selected to achieve this objective? Could you give us an outline? What is the overall schedule of operations? Are some of the projects considered to be priority projects? If so, which ones? What is the estimated cost to reach a 100% digital railway infrastructure manager? Do you have a fiscal scenario? Finally, what is planned in terms of human resources management to facilitate the re-appropriation and proper use of new technologies?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u102	Mr President, dear colleague, Infrabel is taking advantage of the new technological opportunities to modernise its processes and make them more integrated, modern and efficient. This digitalisation will help to strengthen within the company a culture that fosters innovation, collaboration, development, balance between results and human aspects. First of all, this digitalisation is aimed at Infrabel's core business, namely capacity management, traffic management and asset management. This will allow Infrabel to work with an intelligent infrastructure whose components send a signal when they need to be maintained or renewed or when they are deficient. The processes of financial support of human resources, in particular, are also concerned with digitalisation. In their respective fields, this will result in an overall improvement in the productivity of employees, greater user-friendliness at work, and a reduction in administrative burdens and paper use. In view of this process of digitalisation and the increase in cybercrime, Infrabel will need to progressively strengthen the protection of its data centers and its IT and telecom infrastructures. The general timetable depends, of course, on the approval of the budgets. Thus, the concentration and migration of the 31 signalling stations to 10 signalling rooms is an ongoing project. Some operations have already been carried out, namely the production of the new software for traffic management in November 2016, and the introduction of telework within Infrabel from January 2017. Infrabel ensures the continuous training of its staff. The world in which the company operates is undergoing many technological changes. This is the case, for example, in the case of the maintenance of signalling with the development of ETCS or in signal booths following the concentration of signaling stations and the implementation of the new traffic management programme. Infrabel also wants to provide the best training for all staff with management functions. In order to optimize both technical and non-technical training for the railway and to offer concrete learning opportunities to its employees and like railway infrastructure managers from neighbouring countries, Infrabel has decided to set up its own training centre: Infrabel Academy. This will provide both theoretical and practical training through the construction of a technical training hall and simulation tools dedicated to railway specialties. All buildings would be operational by 2019, at the Brussels West station.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u103	Minister, thank you for this complete answer. Indeed, as I have already said in other committees on other issues, digitisation is a development that must not be perceived negatively, through the dangers or fears that it might represent, but rather as an opportunity for the future that needs to be addressed with a positive spirit. This is what you are doing in the context of the SNCB and Infrabel missions. You have to anticipate things at best and you seem to be on the right track.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u104	Colleagues, there are still five questions to be dealt with in a quarter of an hour. The minister must leave, I propose that the questions be asked quickly.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u105	Minister, you have already answered questions about the One Man Car project. Line 132 had been mentioned and you stated that no line had been chosen. But protests continue and various communes have voted for motions against a One Man pilot project on line 132. A petition was initiated by the train attendants of the Mariembourg depot, which collected 1,400 signatures. Obviously, people do not want this project, whether it be staff or travellers. How do you respond to the signatories of this petition? What about the local councillors? Can you guarantee that there will be no One Man Car pilot project on line 132? SNCB stated that it had not decided anything. Can you tell us what concrete leads they are on the table to test this system?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u106	Mr President, ladies and gentlemen, the One Man project is still under study. SNCB informs me that the choice of a pilot experiment has not yet been made. The project is part of the federal government's request to increase the efficiency of the SNCB. Moreover, demand for such a mode of operation is fuelled by the imminent liberalisation of domestic passenger transport. The study was communicated in a transparent manner to staff organisations, which will be involved, through working groups, in a possible implementation of the project. The scope of the project has not yet been determined. However, SNCB states that omnibus trains, with a relatively low occupancy rate, are best suited. However, a partial or full application in suburban traffic around the major cities of Brussels, Antwerp, Ghent, Liège or Charleroi is an additional possibility, such as metro and trams. Investments in technical equipment such as cameras, adapted equipment, new means of communication and adapted procedures must ensure a high level of security. Before carrying out such a project, in-depth security analyses will be carried out. They will focus not only on punctuality, but also on societal security and operational safety. The latter is one of the prerequisites for obtaining the agreement of the Railway Safety and Interoperability Service, which is not under the control of the Minister of Mobility and which remains an independent authority. If the project were to emerge, the deployment would be phased in. A limited first deployment is possible from the end of 2018, depending on the investments, training and safety documentation it requires and which must be certified. The deployment would then take several years, depending on the scope for which it would be chosen.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u107	Mr President, I thank the minister for his clarification. You told us about the possibility, which means the project is not certain. You also said that the unions would be associated. These are good news in bad news. We will follow closely the development of this issue.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u108	Minister, the PTB has been looking at SNCB's tariff increases for the past 20 years. Average tariffs have increased by 65% since 1995. This is 20% higher than the consumer price index, which increased by 46% over the same period. I'm not going to give you all the details of the calculation. In any case, you will understand that this increase much faster than the price index is quite appealing. Minister, what provisions on rate increases are provided for in the new management contract? Have you ever made a decision on flexible rates, which vary between peak and off-peak hours? If so, can you clarify? Are you ready to enter a tariff freeze in the next management contract? Minister, there is clearly a price problem in rail transport.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u109	Dear colleague, every year, SNCB adjusts its tariffs in accordance with the conditions laid down in its management contract. For example, SNCB's board of directors decided to increase prices by an average of 2.93%. This increase is due to the goals achieved in terms of punctuality and the significant increase in the health index. This compliance with the current management contract has been verified by the Mobility and Transport FPS. I still have to explain to you what is included in the management contract. The latter provides that tariffs may be indexed provided that punctuality has been increased. 2017 rates are rising as a result of the 2015 punctuality improvement. You're quoting numbers, Mr. Van Hees. I'll give you another one. Between 2004 and 2014, train ticket prices increased on average by 6.5%, while wages at SNCB increased by 20.5% due to automatic indexation. You immediately understand the difficulties this may pose for the train offer within the SNCB. I have already heard the PTB fight by saying: "We are in favour of wage indexation". When you see the weight of staff salaries in SNCB, you still have to be logical. At some point, in order to allow wage increases and indexation, revenue must also be generated which is indexed and partly from ticket sales and partly from other sources. I agree. On the other hand, SNCB has to cope with a significant increase in operating costs such as, for example, the increase in electricity distribution costs along with other companies. It's much more than the index, I can assure you. SNCB informs me that the prices of the following products have been adapted on 1 February 2017: the train card, the subscriptions. Train cards (travel card, school train card, half-time card and the Railease formula) increase by 3.38%. The campus map increases by 3.38%. The standard ticket has an average increase of 2.6%. The minimum price for a journey of one to seven kilometres from the standard ticket will be 2.2 euros, an increase of 0.1 euros for the second class and the same for the second class, which increases by 0.1 euros. For the Key Card, ticket for ten routes, the price goes from 21 to 22 euros. The unit price increases in accordance with the minimum price of the standard ticket. The Go Pass had not been increased since 2013. From now on, the single journey in the second class increases by €0.2, from €6 to €6.2. The senior banknote also increases by €0.2 from €6 to €6.2. The Rail Pass price had not been adjusted since 2012. Its increase of €0.58 will be less than that of the health index. From 1 February, it will cost 77 euros for ten single trips in the second class. The Go Pass price had not been adjusted since 2014. As with the previous ticket, SNCB limited its tariff increase to 2.18%. SNCB also points out that it also offers its customers tickets at very advantageous rates such as Go Unlimited, the weekend ticket and the shopping tickets. This is the reality of the increases that SNCB has applied under the management contract developed in 2008, known as 2012 and always renewed by amendments, until the new management contract comes into effect, very soon!
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u110	Minister, you are telling us that everything is increasing and that it is normal for rates to rise too. No, it doesn't increase! There is something that is shrinking sharply: it is the state's allocation to SNCB. It's a pretty important element!
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u111	I'll show you soon, Mr. Van Hees, that... we'll see! The numbers are on the table.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u112	Minister, I look forward to your figures. In any case, on the one hand, what is strong is that prices are rising sharply, while travellers are complaining more and more about the quality of the service. This is something that travellers can no longer accept. They note a deterioration in service and at the same time an increase in costs. This double movement is quite unbearable. Furthermore, Mr Minister, if we want a genuine mobility policy, public transport should be made more accessible in terms of fares, which I believe is fundamental to the question of prices. Not only are these not more accessible, but they are growing even faster than the price index. That's how unbearable it is!
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u113	Mr President, Minister, my question concerns the various incidents that occurred at the crossings. An accident in Wavre where fortunately, a mother and her daughter had life saved thanks to the rapid intervention of Infrabel workers. There was also, more tragically, the situation in Wijgmaal of a car that had left the road standing on the road and was hit by a freight train. On February 6, four deaths at a crossing. Minister, are there regular checks by Infrabel at level crossings? How many times a year do they take place? Is there an action plan to reduce the number of crossings and increase safety at these points? Are there concrete objectives, a timetable? How much can Infrabel invest in the next ten years, unless other deadlines are foreseen? What awareness campaigns are planned by the end of the legislature?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u114	Mr President, I shall reply in the language of the question which has been put to me in writing. Both the barriers and the wiring of the road are thoroughly monitored annually by specialist technicians. The proper functioning of the barriers is, moreover, constantly monitored by traffic control and, in the event of problems, technicians are directed on the spot. In addition, the lines, including the consideration, are frequently scouted between four weeks and three months, on the basis of the importance of the line. The abolition of consideration remains the first priority for Infrabel. In 2015, Infrabel launched a new safety policy through the Interface Railways Action Plan for the rail crossings whose abolition is not planned or is budgetaryly difficult to achieve in the coming years. The following actions will be developed on the basis of this Action Plan. Firstly, in cooperation with the railway police, carry out a detailed analysis of the accidents at railway crossings mainly due to the negligence of users of railway crossings. Secondly, register parameters relating to the railways, the road situation and the environment, for the creation of a database to calculate the potential risk of accidents at public railway crossings using a statistical model and to establish a new multidisciplinary working group consisting of the railway police and local police, the BIVV, the AWV, the research body, the Mobility and Transport FPS and the relevant services of Infrabel. The timing of awareness campaigns and their theme of safety considerations and trespassing has not been chosen by chance. Studies show that the number of accidents in the winter months is increasing significantly, while there are more cases of trespassing and rail tracks during the summer months. In the short term, for example, actions are planned on the basis of a train wreck, as well as actions aimed at considering the port of Antwerp. In addition to the awareness campaign, the local police, the federal railway police and Securail are also strongly committed to considering additional controls. Infrabel also designed a special flyer, with the main rules on safety to consider and along the rail domain. Infrabel is also currently working on a best-off video of the campaign, which will be distributed through social media, among other things. The campaigns for 2018 have not yet been established.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u115	Thank you, Minister, for your answers. I would like to add an additional problem that I have seen myself in my region. These are level crossings at a stop point. To cross the other side and take the train, passengers are tempted to cross the tracks in order not to miss their train, as there is no underground passage or bridge. A pedestrian crossing would be sufficient to solve this problem and avoid deaths.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u116	Minister, first of all, I wish you a happy birthday. The January press echoed the federal police's use of two drones from the Belgian Institute for Road Safety (IBSR) to examine motorway accidents more quickly and more precisely. The aim is to clear the affected axes in a much more appropriate time frame and at the same time reduce traffic congestion and the risk of over-accident in both directions. Since 1 January 2010, the Federal Road Police of Antwerp has used 2D photogrammetry and, recently, also in 3D in the event of an accident on the motorway network. The purpose of this process is to process police findings more quickly, as they are of better quality and able to accurately determine the positions of vehicles and traces by the nearest centimeter. According to the IBSR, the use of ultra-modern drones will allow the federal police, once on site, to fly over the entire site in a few minutes and pick up everything without having to take any further action. Is there a legal framework, adapted for police purposes, for the use of drones? If so, what does it foresee? If not, are you in favour of introducing regulations and, if so, can you specify their content and timetable? How many drones, in total, does the federal police have? Are you considering purchasing new devices and, if so, can you provide more information on the number and type of devices? What is the cost of this use? What will be the implications for our daily lives? Are there risks of falls, collisions with people or vehicles? If so, what security measures are planned? If not, why not?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u117	My colleague, the use of drones by the police in the course of its mission is a matter for state aircraft and is therefore not subject to civil regulations, whether national or international. This is stipulated in Article 3 of the Royal Decree of 10 April 2016 on the use of remotely piloted aircraft in Belgian airspace. According to DGTA, there are no specific regulations applicable to the police. The Minister in charge of the Interior should be able to answer this question which does not fall within the competence of Mobility. In any event, it is not for DGTA to decide whether a legal framework for the police is appropriate. The IBSR and the police are working closely together to acquire drones and analyse data in accident research, which are important missions to better understand the causes of accidents and thereby improve road safety. According to my information, a drone is already in service and several others could be acquired by the police in the next few months. For more details on the cost of using them or on the security measures taken to avoid an incident, I can only refer you to my colleague from the interior, who should be able to answer you. I am responsible for the management of airspace, including the issuance of authorisations, but this is not necessary in this case. I'm dealing with road safety, but I know the IBSR wants images.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u118	Minister, thank you for your answers. I'm going to interview the Minister of the Interior. On the basis of what you have just told me, it is he who will have to provide the answers to my questions.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u119	Mr President, Minister, in 2016, the SPF Mobility and Transport launched the Monitor survey on mobility and road safety in our country in collaboration with the Belgian Institute for Road Safety (IBSR). This is a unique collaboration that brings together the resources and expertise of the two organizations. This survey provides a better understanding of the population's patterns of displacement. Indeed, reliable and accurate data are essential for a quality mobility policy. Both the Mobility and Transport FPS and the IBSR have undisputed expertise in the development and conduct of studies. Thus, in this study project, forces are doubled to conduct a large-scale online national survey, in which near-accidents will also be examined for the first time. On the basis of this information, I would like to ask you the following questions. How many people in Belgium were selected to participate in this survey? Is it possible to have the breakdown by age, sex and region? How much did this Monitor survey cost? How was it developed? What was the methodology used? What are the particularities of the Monitor survey compared to the previous Beldam survey of 2010? Has the Minister been able to draw any conclusions from this investigation? To what extent is follow-up planned? Will the results be discussed with the regions? Will this survey lead to concrete actions, projects or political initiatives?
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u120	Mr. Kir, the Monitor investigation is still under way. The Mobility FPS and the IBSR will be able to begin analysis of the final results from the end of 2017. A report will be published in 2018. These data, like those of the Beldam survey, which are still being used for the moment, will then be usable by all the actors involved in mobility, in particular the Regions. It is indeed essential to have reliable and precise figures in order to draw up a coordinated policy on more sustainable and safer mobility, which I wholeheartedly welcome. I will contribute as much as possible if I can make things easier. As a reminder, as part of the Monitor survey, 30,000 Belgians are interviewed. 10,000 Belgians complete a full questionnaire, 20,000 to a short questionnaire. The survey is carried out via an online survey institute. The persons are selected and the answers given are weighted so that the results are representative of the Belgian population, taking into account the criteria of age, sex and region of residence. The cost of the survey is 97 000 862 euros, which is shared between the Mobility FPS and the IBSR. The full questionnaire consists of two parts. The first part consists of a general questionnaire on the mobility habits of the interviewee and the transport subscriptions he or she has at the time the questions are asked. Subsequently, individuals are invited to complete a detailed questionnaire on their previous day's travel. The short questionnaire is submitted 20 times a year to 1,000 different people and places more emphasis on respondents' feelings about mobility issues. On the one hand, it's a subjective analysis. On the other hand, it is objective analysis, as in the case of the security monitor, for example, at the police level. Apart from the fact that this time it is a collaboration between the Mobility and Transport FPS and the IBSR, the method of investigation is completely different. During the Beldam survey, some respondents were interviewed face-to-face and others were interviewed by mail with, in some cases, telephone calls. The Monitor survey is conducted online, allowing direct checks on encoded responses, as well as interviewing more people at a much lower cost. In addition, as you mentioned, this is the first time that issues related to near-accidents will be addressed on a large scale.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u121	Minister, thank you for your complete answers. You answered all the questions. I am, like you, curious to have the results and conclusions, which will give us an opportunity to have a new debate.
ParlaMint-BE_2017-02-08-54-commissie-ic586x.u122	For the sake of completeness, I would like to add that question No. Question No 16486 by Mrs Lalieux Mrs Temmerman's 16509 has been postponed. Debates of the European Parliament Mr Piedboeuf's 16320 lapses as he has not been heard from him.
