ParlaMint-BE_2017-04-26-54-commissie-ic647x.u1	Debates of the European Parliament Mr Luykx's 17321 was converted into a written question.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u60	Minister, the question is already somewhat out of date, because the referendum has now taken place and the result is known. A referendum on a constitutional change took place in Turkey two weeks ago. The country will evolve into a presidential system where very important powers will be conferred on the President and which will allow Erdogan to stand as a candidate for several legislatures. Meanwhile, the Council of Europe has also decided to put Turkey back under full control. So I'd like to expand my question a little bit. What steps has Belgium taken in the Council of Europe? What exactly does full supervision mean? Do you know of any reaction from Turkey to that decision?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u61	Mr Van Peteghem, 51,41 percent of the voters voted against the constitutional changes in the referendum on 16 April and 48,59 percent against. The turnout was 85.32 %. With regard to the constitutional changes, the Venice Commission, a Council of Europe body, had already published a report at the end of February warning against the danger that constitutional reform might involve the democratic tradition in Turkey. According to the Venice Commission, the presidential system, which was the subject of the referendum, is likely to evolve into a personal and authoritarian regime. With regard to the campaign and the progress of the referendum on 16 April, the preliminary findings of ODIHR, the OSCE Monitoring Committee, and the Parliamentary Assembly of the Council of Europe seem to indicate that the referendum took place under unequal conditions, with both camps not having the same opportunities. The state of emergency introduced after the failed coup attempt of 16 July 2016 has led to violations of fundamental rights, which are, however, crucial for a genuine democratic process. The media coverage during the campaign was dominated by the yes camp and voters were denied access to a variety of views. The last-minute changes in voting procedures also removed an important safeguard mechanism, which was denounced by the opposition. In addition, several opposition parties have expressed suspicions of irregularities and brought an action before the Supreme Electoral Council. Those appeals have so far always been dismissed. It is already clear that the results of the referendum are very close together. This indicates that Turkish public opinion is highly polarised. It is therefore important that the Turkish authorities take this into account and seek the broadest possible national consensus before they implement the constitutional changes. The European Union and the Council of Europe should review the implementation of the constitutional changes in line with the commitments made by Turkey at international level as a candidate country of the European Union and as a member of the Council of Europe. I would remind you that the death penalty is a red line, which must not be exceeded by a state wishing to join the European Union. As far as the accession negotiations are concerned, I also note that they have been de facto suspended. The Member States of the European Union will discuss the situation in Turkey and relations with Turkey in the coming days. It is to be hoped that after the extremely tense relations and unacceptable statements during the campaign, there will be a serene atmosphere once again in the resumption of a constructive dialogue between Turkey and the European Union. It is important to keep the door open for dialogue with Turkey, not only to be able to discuss issues in which the European Union and Turkey have common or complementary interests, such as the fight against terrorism and migration management, but also to express our many concerns. I hereby confirm my comments in plenary last week, following the referendum in Turkey.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u62	Thank you, Minister, for your explanation. Of course, you answered most of the questions I had put. Thank you for the explanation, which you have already referred to in plenary. Turkey remains deeply divided after the referendum. In view of the steps Turkey will take, we still have to question the possibility of accession. We have also made this very clear in the resolution on this subject, which was adopted in Parliament. I would like to refer to my introduction. I have said that the Council of Europe has put Turkey once again under surveillance. Maybe it is for another question, but can you tell us what steps Belgium has taken and whether Turkey has responded to it?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u63	Madam President, Minister, I would like to ask you about the multiple arbitrary arrests of members and supporters of the DRM by gendarmes of the Djibouti Research and Documentation Section. Indeed, many arrests have been recorded since the beginning of March 2017. On 23 March, nine of the nineteen members and supporters of the MRD went to the public prosecutor and four of them were placed under arrest warrants. The public prosecutor justified his decision by accusing members of carrying out actions for a dissolved party in 2008. Minister, can you first give us the latest information in your possession about the situation in Djibouti? Do you have any information on the status of the four prisoners? Can you tell us if you have recently had contact with the Djibouti authorities? If so, have you mentioned this problem?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u64	Madam President, Mr Crusnière, during the month of March 2017, the Djibouti media did indeed report the arrests of several officials of the MRD, the Movement for Democratic Renewal and Development, the president of the LDDH, the Djiboutian human rights wing, and the general secretary and deputy secretary-general of the primary teachers' union. On 23 March 2017, four members of the MRD were placed under arrest after being referred to the prosecutor of the Republic of Djibouti. According to the information available to my services, these four persons are, at present, still incarcerated in Gabode Central Prison. On 12 March, the Article 8 dialogue between the European Union and the Government of Djibouti was held in Djibouti. The Ambassador of Belgium based in Addis Ababa, also accredited for Djibouti's jurisdiction, visited the country to participate in this important dialogue. The development of the internal political situation was one of the main points of the discussion with the Government of Djibouti, which was represented by Mr Mahamoud Ali Youssouf, Minister of Foreign Affairs, and Mr Ilias Moussa Dawaleh, Minister of Economy and Finance. The European ambassadors expressed concern about the exclusion of some electoral lists for the local elections of February 2017 and called for compliance with the framework agreement with the opposition at the end of 2014, which provided for the establishment of an independent and joint national electoral commission. Belgium will of course continue to monitor closely the political situation in Djibouti, including the status of the opposition. The establishment of an independent national electoral commission would be a very important step in the preparations for the upcoming legislative elections in 2018. In addition, the European Union may consider the desirability of sending a team of electoral experts for the 2018 parliamentary elections. As I have told you, it seems that a number of people are still incarcerated. We will be following their situation closely with our European colleagues, although we obviously have no consular action in this area. Political follow-up is, of course, possible.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u65	Minister, thank you for your answers.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u66	Debates of the European Parliament 17896 by Mrs Jadin will be dealt with in the Committee on Justice. Questions Nos 17911, 17912, 17931 and 17932 by Mrs Jadin have been converted into written questions. Question No 5, by Mr De Gucht Mr De Vriendt's 17963 was converted into a written question.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u67	Madam President, Minister, it has been brought to our knowledge that a Sierra Leonean partner of a Belgian NGO would have been refused entry into Belgium on the grounds that the person concerned could not have provided his biometric data. However, Article 13.6 of the Visa Code provides that the registration of biometric data may be carried out "by qualified and duly authorized personnel of an honorary consul referred to in Article 42 or of an external service provider". Minister, does section 13.6 of the Visa Code apply to all countries where we have consular representation? How do you explain that it would appear that the Honorary Consul in Sierra Leone was unable to record the biometric data of the person concerned?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u68	Madam President, Mrs Grovonius, for the record, Article 13.6 of the Visa Code reads as follows: "The collection of biometric identifiers shall be carried out by members of the qualified and duly authorised staff of the competent authorities, in accordance with Article 4, §§ 1, 2 and 3. Under the supervision of consulates, the collection of biometric identifiers may also be carried out by qualified and duly authorised staff members of an honorary consul referred to in Article 42 or of an external service provider referred to in Article 43". Article 4 § 1 expressly refers to the consulate as defined in Article 2 § 9 of the Visa Code, i.e. a diplomatic mission or consular post of a Member State authorized to issue visas and under the direction of a career consular official, as defined by the Vienna Convention of 24 April 1963 on Consular Relations. The taking of biometric identifiers by qualified and duly authorized personnel of an honorary consul is therefore only a possibility, not an obligation within the meaning of the Visa Code. However, as far as Belgium is concerned, honorary consuls have no competence in visa matters. Therefore, in order to answer your first question, Article 13.6 of the Visa Code applies to all countries where we have consular representation as defined in Article 2, § 9 of the Visa Code. As far as your second question is concerned, Honorary Consuls, wherever they are, do not have the competence to record the biometric data of a visa applicant. The text is of course at your disposal.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u69	Mr Minister, some 1,500 Palestinian detainees, according to the Palestinian Authority, started an arm with the Israeli authorities on Monday, 17 April, refusing to feed themselves, in order to demand conditions worthy of detention. Since then, Israel has stated that it will refuse to negotiate with Palestinian prisoners who have begun the hunger strike. Minister, have you had any contact with the Israeli and Palestinian authorities on this matter? If so, what is the content?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u70	Mrs Grovonius, I have not yet established contact with the Israeli and Palestinian authorities on this subject, since I have not been required to have an interview with either party since the start of this hunger strike a week ago. My services have just held political consultations with the Palestinian Authority. A broad overview of all our relations and the regional context has been carried out, but no mention has been made of this subject by the Palestinian side since these consultations took place a few days before the beginning of these events. Nevertheless, I am well informed of the situation through my services and our diplomatic post on the spot. Together with our partners in the European Union, we will see what attitude should be taken in the coming days and weeks, especially if the situation is to get worse in one way or another. In any case, it is clear that these new developments are symptomatic of a latent crisis and that the total absence of credible negotiations and of a genuine willingness on the part of the parties to engage in dialogue can ultimately only lead to further deterioration of the situation and new tragedies. It is therefore more urgent than ever to break this impasse, by refraining from provocation and by recreating, on both sides, by tangible gestures, the conditions conducive to the creation of a political horizon with a view to finally reaching negotiations leading to a two-State solution – which remains, whatever some may say, the only way to achieve a just and lasting peace between the parties. We will therefore use the next few days to maintain several contacts on this subject.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u71	Minister, a report by Global Witness states that Honduras is one of the most dangerous countries for activists, with 123 murders of activists since 2009 and impunity for the perpetrators. What structural causes and problems do you notice regarding the human rights situation in Honduras? Honduras has already taken action in recent years against violence against human rights activists and impunity. Several laws were adopted such as the law on the protection of human rights defenders and the national protection system for human rights defenders, journalists and legal practitioners. The 2016 progress report on trade treaties indicated that a special committee was set up under the auspices of the Organisation of the American States. This committee is also the forum for a human rights dialogue in which the EU holds its demarches. How do you estimate the impact of these measures, in particular as regards the scope of these measures in order to meet international and national standards on the protection of human rights? The United Nations also opened a human rights agency in Honduras at the end of last year. Has there been a positive impact on the human rights situation since the opening of this office? In order to achieve a more targeted approach to human rights situations, the National Business and Human Rights Action Plan could be an important instrument in Belgian foreign policy. What is the state of play of this plan?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u72	Until recently, Honduras was the country in peacetime with the highest number of violent deaths in the world. However, both in absolute and relative terms, there has been a decreasing trend since 2013, which was confirmed in 2015 with a decrease of 15% in the number of murders compared to 2014. In 2016, 57.9 murders per 100 000 inhabitants were registered. That's about 60. The situation of human rights defenders with indications of intimidation, threats and murder continues to be problematic in Honduras. However, it can also be seen that the situation improved in recent years and that the government that came into power in 2014 is making efforts to make progress. An agency of the UN High Commissioner for Human Rights was opened at the request of the government and, as you yourself have pointed out, several new laws for the protection of human rights activists were adopted. In 2015, Honduras accepted almost all the recommendations made in the framework of the UN universal periodic review. I follow your analysis that the National Business and Human Rights Action Plan can be an important instrument for Belgian foreign policy on human rights. The aim of the NAP is to encourage Belgian companies operating in Belgium and/or abroad and international companies operating in Belgium to respect and promote human rights, both within their own company and within their sphere of influence. We are currently in the final stage of drafting the NAP Business and Human Rights. The human rights situation in Honduras is being monitored by our Panamanian embassy in close cooperation with the EU delegation in Honduras.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u73	Mr Van Peteghem has no reply.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u74	Debates of the European Parliament Mr Stéphane Crusnière had been postponed to 17986.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u75	Madam President, Minister, Bertha Cáceres was a Honduran activist who stood up for the rights of the indigenous people in relation to project developers and founded the human rights organisation Consejo Cívico de Organisaciones Populares e Idigenas de Honduras. In 2015, she won the Goldman Environmental Prize for her activism around the Aqua Zarca project on the river Gualcarque, a sacred ground for the indigenous Lenca community. After several death threats, Cáceres was murdered on March 2, 2016. Minister, in the case of the murder of Berta Cáceres, an independent international investigation has not yet been launched. Will you insist on this with the Honduran authorities? Was independent international investigation prevented by the Honduran authorities in other homicide cases concerning human rights activists? What is the state of the investigation conducted by the Honduran authorities and the trial of those involved in this case? What protection measures did Berta Cáceres and members of her movement receive? The Grupo Asesor Internacional de Personas Expertas investigates the murder of Cáceres himself. Will you plead for an official recognition of the work of this group? Finally, what is the state of play on the Agua Zarca project?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u76	Madam President, Mr Van Peteghem, we are staying in Honduras. Belgium is following this case through the Panamanian Embassy, in close cooperation with the EU delegation. Following the murder of Berta Cáceres, the EU issued a public statement calling for a transparent investigation. The EU ambassador attended Mrs Cáceres' wake in the city of La Esperanza on behalf of all EU Member States and visited the family of Berta Cáceres one year after the murder. According to the information I currently have, an independent international investigation was not prevented by the Honduran authorities in other murder cases concerning human rights activists. The investigation by the authorities is still ongoing. Several suspects were arrested. Belgium takes note of the initiative of a parallel investigation, but it still seems premature to comment on this in the context of ongoing judicial proceedings. According to information available to me, no specific protection measures were taken for Berta Cáceres, but they were provided for members of the Consejo Cívico de Organizaciones Populares e Indígenas de Honduras. The latter was confirmed by the daughter of Berta Cáseres to my services, who received her on 6 April. Since, according to my information, no Belgian company is involved in the Agua Zarca project, I cannot answer this sub-question immediately. My services will continue to inform themselves.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u77	Minister, there has been a lot of commotion about Saudi Arabia becoming a member of the Women's Status Commission. Everyone is wondering how this could have gotten this far. The ECOSOC, in which our country is also entitled to vote, voted last week on the new members for the Committee on Women's Status. It concerns a total of 54 members. This committee is specifically committed to promoting gender equality and women's rights worldwide. For the geographical group Asia-Sille South Sea, Saudi Arabia, among others, was elected as a member. Apparently, there were only five candidates from that group that made them all elected. Saudi Arabia is bumping into the chest because they really do not approve equal rights between men and women. Women can't do anything, legally, without a man's permission. That's why all this calls for so much commotion. My questions are as follows. How did it come to this voting procedure? Normally there is no vote, but the designation is done by consensus. If one looks at foreign sites, the United States has apparently provoked this vote. We can therefore ask ourselves what they intended to do with this. Does the Trump administration intend in this way to undermine the status of women and highlight its anti-gender policy? Can you explain the Belgian attitude? Belgium also had to vote. If Human Rights Watch is applied, Saudi Arabia has only received 47 out of 54 votes. The question is how Belgium voted. How do you estimate the impact of Saudi Arabia on women's status in the Commission? What impact will they have on moving forward on gender equality? Is there any negative impact on UN policy and its specialised organisations?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u78	Minister, on 22 April Saudi Arabia was elected to the UN Economic and Social Council as a member of the Commission on the status of women. From 2018 to 2022, the country will be part of a specific body dedicated to gender equality and women's empowerment. You are aware that Saudi Arabia is almost the most misogynistic country in the world. The presence of that country in the Human Rights Council itself is a disgrace, let alone the election in the Commission on the status of women. Saudi Arabia is an example of how it should not be done worldwide. Women are victims of systematic discrimination. They can't drive. They have no political role to play. There are fundamental decisions that relate to them that can only be taken by the man. Saudi Arabia is the 141st place of the 144 countries in the Global Gender Gap Report 2016. There is therefore no equality between men and women. Forty-seven of the 54 ECOSOC countries voted in favour. There are 13 European countries in the ECOSOC, of which ten are EU countries. This means that at least six European countries have voted for Saudi Arabia, of which at least three EU countries have voted. My question is brief but important: did Belgium vote for Saudi Arabia's candidacy?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u79	Madam Chair, Minister, I am not going to repeat what has just been said. It is known that Saudi Arabia was elected to the Commission on Women's Rights by a secret vote of 47 of the 54 member states of the United Nations Economic and Social Council, of which Belgium is a member. My only question, already asked by my colleagues, is what was Belgium's vote in this context?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u80	Madam President, ladies and gentlemen, on 19 April there were indeed elections for the membership of 18 auxiliary bodies of the United Nations Economic and Social Council, including the Women's Status Commission, where 13 mandates were to be renewed in 45. The countries with the right to vote were the 54 members of ECOSOC. Belgium is a member of both ECOSOC and the Commission for the Status of Women, a mandate that expires in 2019. For 17 of these 18 auxiliary bodies, the elections were organised with a so-called clean slate situation. This means that there were as many candidates as seats within a regional group and that the election of the candidates was therefore virtually assured. In such a situation, it is customary in ECOSOC to proceed to an election by acclamation of all candidates, i.e. without a vote. Shortly before the start of the procedure, the United States unexpectedly asked for a vote on this usual practice before the elections for three auxiliary bodies, including the Women's Status Commission. The secret ballot therefore led without surprise to the election of all the candidate countries in the place available within these three bodies. In particular, Saudi Arabia was indeed elected as one of the 13 new members of the Women's Status Commission. I was not aware of the request for a vote, but I saw that it was possible for our service to vote. In order to preserve the proper functioning of multilateral bodies, Belgium's rule is to refrain from making public comments on its voting behaviour in secret ballots. However, I can tell you this. Belgium does not welcome the election of Saudi Arabia to this committee, but must note that she was the only candidate in her group in that place. Belgium, like the vast majority of United Nations member States, respects clean slates and the usual practice of not voting in such situations, for two reasons: the first is that from the moment a certain country is the only candidate for a seat in the United Nations, demanding the vote ends up delegitimizing the United Nations by developing the idea that the United Nations and its subsidiary bodies are valid only if there are only countries with which there is general agreement. I strongly advocate multilateral meetings and therefore, in this context, with countries whose opinions we do not share. This dialogue must be opened, not only bilaterally but also in all multilateral forums. Second, such reasoning can easily turn against those who hold it. Western countries are far from having a majority in the United Nations and this could result in us not being regularly elected to such bodies. Belgium has always defended multilateral diplomacy, I said. The United Nations in general and the Committee on the Status of Women in particular exist precisely to be places of debate, which means that we can meet from time to time in the face of countries with which we are deeply in disagreement, as I have just said. At least, does the committee provide a forum where we can speak clearly about these issues with a country like Saudi Arabia and involve it in such debates. It is therefore up to us, as a member of the committee, to make our views known and to counter those of the Member States with which we do not agree. As regards the assessment of the impact of Saudi Arabia on the work of this committee, I would like to draw your attention to the specific working method of this committee, which meets every March for two weeks in New York. This meeting was decided on the adoption of so-called aggrieved conclusions on a priority theme. This year, for example, the theme of women's economic empowerment in the changed world of work. The phenomenon of aggressive conclusion is a specific feature of the committee: all UN members, regardless of whether they are members of the committee or observer, can participate in the negotiations on these aggrieved conclusions, on which consensus must be reached. There is no vote on these conclusions. It is, in other words, an all-or-nothing negotiation. The impact of membership of a country such as Saudi Arabia should therefore not be overestimated. The active participation of a country in the work of the committee does expose it to the different positions on women's rights of both other countries and the numerous NGOs participating in the committee. Finally, I would like to point out that the committee is only one of many bodies, where the promotion and protection of women's rights are on the agenda, alongside the Human Rights Council and the Third Committee of the General Assembly. In addition to these intergovernmental bodies, our country attaches great importance to the work of the CEDAW Committee, which is composed of independent experts and ensures compliance with the International Convention on the Elimination of All Forms of Discrimination against Women. In other words, I can confirm that I was not aware that a vote was going to take place. I confirm what my services have said: we follow the traditional clean slate procedure, that is to say, respect for the fact that there were as many countries as there were seats to be filled. Had that not been the case, we would obviously have made a choice that would certainly not have been in favour of Saudi Arabia. However, I hear and read, including in NGO sources, that there are followers of two schools. The first is that we should not go directly to United Nations bodies with countries with which we do not agree, and the others believe that only this dialogue, this discussion, has a small chance, even if it is very weak, to change the situation. I understand the emotion that this kind of announcement causes every time. It can be discussed and changed, but I remain convinced that only direct bilateral contact, which I regularly engage with that country or others, or direct dialogue within multilateral bodies, can have an impact. I would add that, although we will probably discuss this again in other matters or in other debates, in the situation we are experiencing today, in which a number of important politicians on the international scene are questioning multilateralism, not entering into a debate with countries with which we do not agree, within multilateral bodies, has a huge risk: the setting aside of the institutions to which we are particularly committed, such as the United Nations. I repeat that I did not know, because the request came very late, but I fully respect the choices made by the diplomats, namely to continue to support the candidatures when there are as many candidates as there are seats to be filled. The choice would have been different, and I suppose I would have been informed, in another setting. It's the same appreciation we've always had. However, I want to recall my position as I have often done here: I believe that only a direct dialogue can have an impact on any country. It is too easy to say that we should go to meetings with just people who follow the same reasoning as us. There's no point. In this way it will become a small club that will no longer have any influence on countries that are in a different situation.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u81	Thank you for your reply, Minister. I understand from your reply that our country was taken by surprise by that vote. It is indeed no custom to vote on it, hence the commotion. We must also ask ourselves questions about the United States which provoked the vote. The most important question is what Trump's administration means by that. Does the Commission intend to undermine the status of women? We absolutely must oppose that. We must give it sufficient weight. The Women's Status Commission has created the Bible for equal opportunities for men and women, in particular the Beijing Platform for Action, which clearly states that sexual and reproductive rights are important. That's what Trump's administration doesn't want. It has therefore also reduced all UNFPA funds. That must also be the diplomatic question that we can ask. I believe, of course, that we should continue to debate this issue, including with the countries of the Middle East, Iran and the Vatican, countries that are struggling with the equality of men and women. I myself attended the Beijing Conference in 1995. I know which countries are traditionally opposed to these important rights for men and women and equal rights. Saudi Arabia and Iran were not immediately the countries that advocated gender equality. So we need to ask questions about what will happen in the future, including about Saudi Arabia's membership. We must be more vigilant than before, as the United States has played the game in this way. Saudi Arabia is also a country where Mr De Vriendt has referred to it. Every woman has a guardian without whom she is not allowed to do anything. She can't travel. Voting rights have recently been granted. They only have the right to vote since 2016. So that's really aberrant. They must not move or undergo any medical procedure without the permission of a man. We must, more than ever, monitor the achievements that we have since Beijing and continue to safeguard them. We must also continue to monitor our position and what is happening in the Committee on Women's Status. The power of action of that committee is not enormous. Everything happens through the UN Security Council. We must keep women's rights on the agenda there too. The Committee on Women's Status will be important as a result of the event. We must be very alert and vigilant in this respect. I understand that the Belgian attitude is 'you have not explicitly stated this 'that we have voted 'yes' because of tradition in the past. Nevertheless, I would ask that very great vigilance be shown in the Commission on the status of women and on the future agenda, so that the achievements are not put at risk.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u82	Madam President, Minister, I do not know if it was your intention, but you were very clear. You have made all kinds of excuses to justify and defend the candidacy, election and place of Saudi Arabia on the United Nations Women's Commission. You pointed out that there were as many candidates as there were seats and that we should not overestimate the impact of Saudi Arabia. You also said that we should keep the dialogue open. Minister, you did not say it literally, but Belgium approved the election of Saudi Arabia to the Committee on Women's Rights in the vote. That's obviously a good choice for you, too. That is a stump in the stomach of anyone who fights for women's rights in our country, but also in the Middle East and in Saudi Arabia itself. The inequality between men and women in Saudi Arabia is systematic. There is absolute discrimination. Saudi Arabia scores extremely badly. What example do we give when a country such as Belgium is talking about standards and values? A country like Saudi Arabia chooses to participate in that UN Women's Commission? The Committee on Women's Rights should work towards greater equality for women, gender equality, more women's rights and so on. How can this committee be an example for countries where women's rights are harmed if those other countries say that Saudi Arabia itself is on that committee? What authority does that committee have to speak to? What authority can that women's committee still speak within the UN when it has to talk about women's rights, when a country such as Saudi Arabia is on that committee? That simply cannot be explained. You and your government can organize as many conferences on women's rights as you want and deposit as much money into all kinds of funds for birth control as you want, it's hard to explain. We're standing here with the pants on our ankles. I can only guess the motives. At least I know it's not good. I find it a disgrace, I find the voting behaviour of our country shocking. I can only hope that it has nothing to do with our country's candidacy for a seat on the UN Security Council. After all, I am well aware of the need to lobby for this and of the need for diplomatic contacts. However, how far do we go and to what extent are we prepared to throw principles overboard? You didn't say it literally, but your answer was very, very clear. You say that we can debate this. I hope that we will continue to do so in the future and that we have now started doing so, but I repeat that it does not benefit the authority of the Committee on Women's Rights when a country such as Saudi Arabia is in it. You say that we should debate women's rights with Saudi Arabia. No, no, no, I'm not saying the same thing. No, you have to listen. We can discuss women's rights with Saudi Arabia, but bilaterally, directly with the country. Don't give that country authority by choosing it on the United Nations Women's Commission. That is a bad choice and we will continue to do so. We will also try to question the Prime Minister on this, because it is a government's view that will have implications and effects on what Belgium will say about women's rights in general in the future.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u83	Madam President, Minister, thank you for your answers, which, of course, ask many questions. Mr. De Vriendt has just drawn attention to several of them. I understand that we can question the attitude of the United States in this matter, that we can argue for the non-interruption of dialogue and the continuation of discussions with all countries, including those with which we do not necessarily share the same values. Nevertheless, it is shocking to know, even if this has not been said, that Belgium has voted in favour of Saudi Arabia's accession to this Commission. When we know the country's position on women's rights, it raises a lot of questions. My colleague Wouter De Vriendt highlighted an essential element. What is the limit not to be exceeded? To what extent can the debate, dialogue, be maintained? How far can one go before marking a will to break? It is vital and urgent – you have opened the door, but I hope it will be possible – that we can have a broader debate on the positions we want our diplomacy to take abroad on issues such as this and on the votes we must achieve at some point in these international forums. I have heard all the elements that you wanted to highlight regarding the desirability of continuing the dialogue. But in this particular case, our diplomacy should perhaps have shown a greater will to break and, in any case, not to vote for Saudi Arabia's admission to the Commission. Like my colleague, I hope that our position was not linked to our candidacy in the Security Council because, at times, in some cases, we must be able to adopt a clear attitude. I regret that our country did not have a clearer attitude on this vote.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u84	Madam President, Deputy Prime Minister, I asked you a few months ago about the situation of homosexuals in Tunisia and about the acts committed against them by the Tunisian authorities. I am asking you again about this. LGBTQI associations stress the existence of discriminatory practices against gays, an anti-gay law. Practices, called "homosexuality tests" consisting of a forced anal test, are intended to prove the homosexuality of arrested persons. These practices, which the National Council of the Order of Tunisian Physicians requests to stop, in addition to the fact that they do not prove anything, are a genuine rape, in the opinion of those who have suffered it. Indeed, the police force accused persons to "consent" to the clinical examination, which is for them only a means of torture and traumatizing persons suspected of being homosexual. Beyond the physical and psychological trauma experienced, whether there is evidence or not, the victims of these practices are sentenced to prison for homosexuality. Mr. Deputy Prime Minister, you responded to my first inquiry that Tunisia's path to democracy required patience in respect of all human rights. I think that, overall, you are right. Can you inform us about the advancement, with respect for human rights, women's rights and the rights of homosexuals in particular? Experience has long shown that respect for the rights of sexual minorities and women's rights are interrelated. What about Tunisia? Do you intend to ask the Tunisian authorities and the Tunisian Order of Physicians to completely prohibit this police violence against homosexuals? At a time when the known horror of the atrocities suffered by Chechen homosexuals makes the headlines, rightly leading to our indignation, would leave the situation as it stands not mean that human rights do not include those of homosexuals and respect for their physical and psychological integrity? How do you intend to act, when our Parliament has adopted a resolution calling for the decriminalisation of homosexuality in the world, so that in Tunisia this objective is finally met?
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u85	Mr Flahaux, the practice you address in your question is shocking and goes against our values. This is also the opinion of many Tunisian NGOs as well as the Tunisian Order of Physicians, which in itself is an encouraging sign. The improvement of the human rights situation in Tunisia has been undeniable since the 2011 revolution. Tunisia was the first Arab country to include in its Constitution the equality of men and women. While the human rights situation in Tunisia follows a positive trend, it must be recognized that there is still progress to be made, in particular to bring legislation into line with the new Constitution. This positive development is largely the result of developments that come under the initiative of civil society actors. This is particularly the case with the decision of the Order of Tunisian Physicians in early April to ban the tests you mention in your question. I remain convinced that if we want to see effective improvements in the human rights situation in a country, interventionist discourse is not the effective way to achieve this, on the contrary. In my view, it is necessary to adapt its approach to a number of factors on the ground, particularly on issues where the national context is not conducive to openness, as is the case with the human rights issues of LGBTI people in Tunisia. Here, support for civil society is a top priority for us. This is an important element of the European Union's guidelines on the human rights of LGBTI people, to which our country has actively contributed, as has the decriminalisation of homosexuality - identified as one of the priorities of the European Union's approach in this area. We will remain attentive to developments in the human rights situation in Tunisia and we will continue, together with our European partners, to support Tunisian civil society as a driver and driver of progress in that country. I think that's the best way to do it. As I said about other situations, but we will come back to that, direct dialogue with the authorities is essential in all bilateral or multilateral fora, as well as, of course, in such a case, immediate support for civil society.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u86	Minister, thank you for your answer. Like you, I believe that live dialogue and support for civil society are fundamental. Having said that, it is also our duty to denounce any unacceptable situation. Of course, Mr. Deputy Prime Minister, you have every latitude, competence and opportunity to see how to act in a particular country, depending on the circumstances of the country.
ParlaMint-BE_2017-04-26-54-commissie-ic647x.u87	Madam President, Minister, if the respect for women's rights – we have just talked about it – is put on our country's hands, even if there is still progress to be made, this is not the case everywhere in the world. Among the places on the planet where they are limited when they are not flouted and denied, Saudi Arabia has a special place. Recent positive developments, such as the right to vote in local elections, although modest, are an encouraging sign. But the path to real emancipation will still be long. All their lives, women are considered to be underage, indecent to a father, husband, brother or son for a widow, in an unbearable situation of alienation. This does not prevent Saudi women from using gsm or accessing the Internet. The state is letting some progress be made. I question you today about Dina Ali, a young Saudi woman who fled her country to Australia in order to escape a forced marriage. In transit to Manila airport, she made the mistake of sharing the picture of her plane tickets on Facebook. What an idea! She was arrested by local police and handed over to Saudi authorities for return to her family. Before being arrested, she promptly sent a distress call explaining that the return to her family would sign her death sentence. Deputy Prime Minister, can you give us any information about the fate of this young Saudi woman? That reminds me a little of the famous liberal broadcaster we talked about a few months ago. Is she still alive? How is it treated? In the name of human rights, no more than in Chechnya for homosexuals, we can admit that in the name of a questionable honour, Saudi families have the right to life or death over women. Can you tell us how you pleaded the fate of this young woman with the Saudi authorities, if you ever had the opportunity to do so? How do you plead the fate of Saudi women, given their freedom to move and marry, who are increasingly running away to emancipate themselves? In fact, Saudi officials have as their goal, in Vision 2030, the integration of women into economic life. What emancipatory effects does this plan produce? What changes can be expected? What is the reception and protection policy for victims of forced marriage in Belgium or Europe? How can we act to save women who refuse to abdicate their freedoms from violence and death? Madam President, I share your feeling that the inclusion of Saudi Arabia in the famous Commission will force it to evolve positively for women's rights, which is very necessary.
