ParlaMint-BE_2017-02-14-54-commissie-ic593x.u1	Question No 15981 is erroneously placed on the Committee's agenda. It is addressed to Mr Borsus.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u110	No, I made it clear. He likes to maintain blur, otherwise his article has no salt.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u111	We're with each other. There's not a lot of people left.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u112	However, we are registered. Everything said is recorded.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u113	I hope so! Everything you said earlier, you're not going to be able to deny it.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u114	Please note, Mr. Nollet, that we cannot be left alone, especially on Valentine's Day. You never know.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u115	I'll have to leave in a few minutes, but I'll talk to you later.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u116	I'd like to have your point of view. I heard and read the government policy statement, thank you. But do you, let this option be opened for after 2025, if it was up to you?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u117	Mr Nollet, I have no choice. I'm a function, I'm not just a person. In the context of parliamentary responses, it is the function that responds to you. And the function clearly tells you that I am linked to a government agreement that I have accepted, that I support and that I defend. That's all.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u118	So the position of the federal government, expressed in the agreement of the government, which you recall here, and to which you cling as a "minister" institution, will be the one that you will defend from the point of view of the pact. If I look at the ministers around the table, things are clear, so why keep the fuzzy?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u119	I repeat, I do not maintain the blur. I believe that the journalist wanted to highlight his article a little and that my more comprehensive answer, which he synthesized as he heard, does not reflect what I said, which was duly recorded. You can, with my permission, get that answer.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u120	Mr. Nollet, may I close the incident?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u121	Mr President, Madam Minister, I regret that we continue to turn around the pot. I'll go listen to the tapes.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u122	Mr Nollet, I shall take it that the incident is closed.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u123	With regard to the order of business, I would like to put the following question to you. While chairing this committee, I was supposed to speak at 2.30 p.m. in the Committee on Social Affairs, also on the order of business, because I am concerned with a matter which requires hearings. The meeting was therefore scheduled to begin at 2.30 p.m., at which time several colleagues were still present and could have chaired in my place. This is no longer the case. This commission was postponed at 4:15 p.m. for some reason. I'm called to go there. The trouble is that there is only Mr Nollet - who still has five questions - and the minister. Mr Nollet, may I ask you to be a self-president with discipline for the time I go to Social Affairs? I promised you a face-to-face.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u124	[[...]]
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u125	There's no problem.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u126	Madam Minister, it is through the parliamentary work of the nuclear safety sub-committee of 15 December 2016 that, like us, you have surreptitiously learned the withdrawal of approval of Electrabel by ONDRAF for the treatment, packaging and disposal of radioactive waste dating back to 2016. At the end of December, you asked ONDRAF for a detailed report on this file. Can you, as you promised, give us a copy of this report and present the main elements of it to us? Can you tell us if and when ONDRAF regained its approval? Have any conditions been laid down in this respect? When will the next check take place?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u127	Mr President, as regards the description of the event, I refer you to my answers to the oral parliamentary questions No 15644, No 15691 and No 15709 given in the Committee on the Economy of 10 January 2017 and to the answer of 27 January 2017 to the written question No 402 by MP Wollants, available in the Questions and Written Answers Bulletin No 0103. To my knowledge, there is no evolution to date in relation to this last answer. With regard to the report I requested, ONDRAF informed me that the report was being drafted and that it would be submitted to its Board of Directors on 24 March 2017.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u128	Madam Minister, I have not seen the answer to Mr Wollants, but if I understand correctly, the ONDRAF has not yet regained its approval.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u129	No, it's not ONDRAF!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u130	The ONDRAF did not give approval to Electrabel again! Is that right? Is that what you answered Mr. Wollants?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u131	We'll check it out.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u132	This is written question 402.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u133	We'll check it out right now.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u134	I note that the report is scheduled for 24 March. As usual, could we receive it through your co-worker or should I ask a question after that date?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u135	No! We can do that. If I forget you, I know you'll remind me. So there's no problem.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u136	We therefore await your response to Mr. Wollants.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u137	Minister, during our discussion on the subject on January 10, you failed to answer certain questions. I would therefore like to go back to it. As you know, the international experts who participated in the peer review of the comparative study of nuclear fuel management strategies have sent you a letter asking you, among other things, for the following: First, submit the study to Parliament for evaluation. On this point you have agreed, it is now up to the President to include this in our agenda. I turn to the secretary so that we can remind the president after the sitting. Next Tuesday, when we discuss the order of business, we will be able to discuss it again. Secondly, and this concerns you, the Minister, entrusting the National Programme Committee with the task of extending the consultation on options for the nuclear fuel cycle in Belgium. Thirdly, to organize dialogue with civil society in this regard and in collaboration with an independent organization. Experts said that an interdisciplinary conference with the participation of civil society and a public forum with the participation of a representative selection of citizens could provide a basis for this participatory process. Experts suggested that the King Baudouin Foundation should be asked to do so. I would like to know what specific follow-up you have given to each of these last two requests, the first being for the President. On January 10, you said that you still had to ask your collaborators the question. It can be assumed that it has been done since then.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u138	Mr Nollet, as I indicated in my answer to your question No 15657 on 10 January, the priority was the publication of this study and its erratum for all on the website of my administration, which was done, as you know, one of your questions bears witness to this. As I have indicated to you, this study can serve as a reference and a solid basis for any future decision-making process on the management of the nuclear fuel of Belgian power reactors. In this sense, it is a very useful document setting out possible new scenarios alongside the existing reprocessing scenarios or direct evacuation scenarios. That is why I wanted this study to be maintained and adapted to evolution. However, for the time being, my priority is to pursue the points set out in the government agreement and, in particular, the decision on a national waste policy B and C. The issue of extending the new scenarios for spent fuel management is therefore not on the agenda at this time. I will, of course, try to remain consistent with these studies, if the question arises at some point, but that is not part of the government agreement. As the study is available, it is open to Parliament to consider this issue. I would be interested to know the results of your work in this area.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u139	Thank you, Madam Minister. You say the priority is B and C, the choice of storage, and we'll do that, eventually, after that. That's not the priority right now. However, your choice of spent fuel management will impact the requirements for storage B and C. Depending on whether or not there is a dismantling, we are increasing from 600 to more than 3,000 m3. So, obviously, there's a huge difference. Depending on your choice of spent fuel management strategy, there is an impact on the volume of the project. That's inconsistent with what you're saying. You say that we will first choose the storage location and the storage project B and C, and then we will see if there is any time left in this government – which believes that this is not the priority, you say, but first the other – what it will be about the management of spent fuel. However, this question, for me, is a prerequisite since it determines the volume required for storage. I do not understand your answer to this hierarchy. I think you're doing things backwards in relation to that. Would you like to react?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u140	No, because technically, I'm not quite equipped to react to this aspect. I would simply say that, as you will recall, our primary concern is first of all to have a decision in principle. So everything about depth, volume and things like these is a subsidiary question. I understand that you can see an inconsistency by saying to yourself: "How can one decide on a principle of geological burial, without knowing at what depth or volume?" Intellectually – that's all I can answer right now and I'd like to test your question more thoroughly with my collaborator, in my firm, who can answer your question finer – I believe that the principle itself can be debated without knowing what decision to make on depth or volume. And it has always been said that we will proceed step by step, without taking a decision lightly. Because, even if the depth is different or the volume is different, what counts first is the societal appropriation of the principle. That is the first question to ask. I think it's important to know that. The concepts of waste B and C and spent fuel should be avoided. I repeat. The oil-spent study does not call into question the two scenarios opened today for the management of spent fuel (reprocessing or direct evacuation) but it opens up other scenarios, which include, for example, advanced systems such as MYRRHA. It should be noted that creating these other scenarios does not call into question the need for geological storage for waste B and C. That is why I say that intellectually and even concretely, there can be no direct link.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u141	Minister, I propose to come back to the matter.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u142	Yes, I think it really deserves a preliminary intellectual discussion, and a built-up exchange, to determine our step-by-step progress on this issue.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u143	I will repeat a question; I will read carefully the answer that you have transmitted for the time being. I'm not going to push you to provide other answers, otherwise we're going to improvise, when that would be better than that.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u144	What I have told you so far is quite correct. For the rest, I added that a debate in Parliament could be interesting. But this is not part of the government's agreement. So, if the majority is not determined to start this kind of debate, you'll have to do and say, we won't be able to have it.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u145	We can have a debate, but we can not have conclusions if the majority does not reach conclusions.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u146	We can always have a debate, if possible in the order of business, with everything we have to do.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u147	We'll see about this next Tuesday. I just wanted to add one more element, to which I will return later. The choice you make about spent fuel management not only has an impact on the volume, of which I have spoken a lot, but also on the type of basement that should accommodate it. Indeed, depending on its temperature, and the fact that it reacts for a long time, etc., the basement can be considered differently. That is why I will come back to this decision in a later question. This decision is for me in advance, even, of the first decision you would make to bury or not bury geologically.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u148	I would like to add, as I have already said and as you will understand, that neither you nor I are technicians working at AFCN or ONDRAF. It is therefore important first of all that these two institutions, which work in interaction and which must adopt a common position, do so. Then, of course, we will be able to discuss the proposal that has been made. I would remind you that this is a proposal that is in any case subject to public inquiry, most likely, under the 2006 SEA Act. So let us not mingle the stages of reasoning especially in technical areas which I myself do not have enough control. So I'm not going to comment on the mastery you would possibly have on these subjects technically, but if you had the same level of technical skills as people working at ONDRAF or AFCN, that would be true. First of all – and this is the prerequisite – that these interacting institutions agree to make a national policy proposal that will then be subject to broad consultation to enable the government to make the right decision.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u149	I have absolutely no claim to have any scientific knowledge of this matter. For reading a series of things and for looking a little bit at what is happening in other countries, I have tried to achieve consistency in the order of decisions to be taken. But we'll come back. I will rest the questions around that.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u150	Mr President, I read: "Until the suspension of authorisations for radiological characterisation is lifted, Electrabel stores radioactive waste in the specially designed storage building at its Doel and Tihange sites. Electrabel has informed me that it has sufficient storage capacity to cover its needs during the period during which its approvals will be suspended, a period which should not exceed a few months".
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u151	That's what I said to Mr Wollants.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u152	So, it's still suspended for now. I have the answer to the question that was related to the previous question. I'm saying that for the reports that are going to be fun, I think.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u153	Minister, the February 7th newspaper L'Echo announces that the hydropower plant at the Plate Taille dam would be interested in an increase in its size. Do you know about this file and what capacity is at stake? Can you compare this project to the project you visited in Coo? Both projects also want to see a change in the legislative framework in this area. The newspaper L'Echo suggests that the discussions skate between intercabinets because you would not produce the requested numbers. In this case, the Echo is at stake!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u154	I know who writes in which newspaper! Don't worry!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u155	I'm not worried about that or anything else, except what's happening in the world, but it's another debate. Minister, can you confirm what is claimed and clarify? What is the status of the texts "storage" and "demand management" in their respective paths? When will they get to parliament? What are the remaining issues?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u156	Mr Nollet, the bills on storage and demand management aim to bring more flexibility to the electrical system. In the same way as increasing the flexibility of the conventional production stock and the capacity available at borders, the development of demand flexibility and the development of electricity storage are tools to be put in place to meet the increased needs for flexibility, particularly in view of the intermittent nature of renewables. In this context, several manufacturers have shown some interest in both demand management and storage. With regard to the case of the hydropower plant at Plate Taille whose storage capacity is far less than that of Coo which I visited, I have not received any concrete request in this respect and I do not know the ins and outs of this project. Let us be very clear about this! Bills for storage and demand management were submitted to the Council of Ministers at first reading on 2 December 2016, and the file was submitted for the advice of the Council of State, which we received on 4 January 2017. This draft and the explanatory memorandum have been revised in the light of the opinion of the Council of State. It seems to me respectful of the Regions to wait until the revised dossier is submitted to the Council of Ministers at second reading before submitting it to the Conciliation Committee. In the meantime, the discussions and figures requested relate to the exemption from the federal assessment of storage units and the impact that this exemption has on other consumers. This was my duty at the end of the December 2016 presentation of these two bills, since I had to, in the interval between the two readings, the time that the matter came back from the Council of State, question the CREG about it, which I did. For example, on 7 December, after the Council of Ministers on 2 December, I sent a first letter to CREG. This was followed by a series of exchanges with the Commission. And I asked, by letter of 10 February, the CREG, to refine certain figures. As a first estimate, it appears that this exemption will have a very limited impact that does not compromise the competitive position of industrial consumers. However, compensatory solutions – this is included in my specifications – in order to neutralise or even limit the impact of the federal contribution on all consumers are, at my request, still under consideration within the CREG with the additional requests that I have made again recently. When I have all this package, I will be able to return to the Council of Ministers at second reading, which, if it validates the draft at second reading, will allow this project to move to the Concertation Committee and then to the Parliament.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u157	Madam Minister, thank you. I will support what you say about the importance of making our production system more flexible, and that is being done on different parameters. So I support you on this aspect: storage is one, demand management is another. I would also like to thank you for the clarifications you made in your answer, the fact that you do not have specific information on the Plate Taille. We'll see if it comes later, if the project is filed with you or not. I am more surprised, on the other hand, than the elements that you put a little emphasis on the article and which you are critical of. Personally, I did not see the problem in the article in relation to these elements.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u158	It is said that figures are not given and that this is because of it. That's not true. That's not the problem at all. So this is still a shortened way of seeing things, in the sense that figures must be provided by the CREG. It's the technical institution I work with. The CREG was reinvigorated to refine the figures because in IKW last week the request was made to have a complementary refinement to what the CREG had responded in terms of exemptions and the impact of these exemptions on storage.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u159	I just read what the reporter wrote. I don't think there's any problem. Anyway, there's no need to argue.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u160	Mr Nollet, I listened to your sentence. I will read the article and it is very likely that there is no problem but, in the sentence you are quoting, there is a judgment of value: it is said that negotiations skate without figures. That's not true. That's what you said. I heard what you read and I guess that's what's in the article.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u161	I'm not going to argue unnecessarily.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u162	Neither do I.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u163	Madam Minister, as agreed with you, I have asked your colleague Jambon about the work required on the Doel 1 and Doel 2 lids as part of the extension of their lifespan. He told me that repairs are absolutely necessary on Doel 1's lid, which is not to reassure us, but on this part, I will continue the discussion with him. On the other hand, he sends me back to you to find out the estimated budgetary impact of this necessary work and already planned during the 2018 revision. Can you therefore provide us with all the figures on this subject?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u164	Dear colleague, the base for the Doel 1 and Doel 2 LTO and the April 2015 synthesis report approved by AFCN are available to the general public on the Internet. In this report, it is stated that the decision to replace the covers of Doel 1 and Doel 2 tanks would be assessed on the basis of a complete inspection program and carried out upstream of a life extension. At that time, remember, you were talking about replacing those lids. In the meantime, this inspection program has taken place. It uses very advanced measurement technologies and has demonstrated that safety is guaranteed by performing repairs using a qualified technique and used successfully worldwide on several covers. This process is subject to a safety study, evaluated and validated by international experts and Bel V. This is what Minister Jambon told you in committee on 18 January 2017 for Doel 1. Mr Sageman d'Electrabel also told you at the hearing of Electrabel, at the nuclear safety sub-committee of 24 January 2017, that it should be noted, in this context, that replacing a lid is not necessarily the safest solution. Indeed, to replace it, it is necessary to drill a hole in the steel containment, which is a delicate and logistically complicated operation. With regard to the budgetary impact and your question, Electrabel tells me that I am committed to making the necessary investments for the operation of Doel 1 and Doel 2 until 2025, corresponding to a portfolio of about 100 sub-projects, and initially estimated at 700 million euros, like Mr. Van Troeye told you in response to your question at its hearing by the same sub-committee on nuclear safety on 24 January 2017. On this occasion, Electrabel also told you that repairing a lid was certainly cheaper than replacing it, but that with regard to the total budget of the LTO of Doel 1 and Doel 2, it was not excluded that, on other cost items, Electrabel would be faced with budgetary overruns, as for example for the Seismic Margin assessment studies which allow to verify the robustness of the installations in relation to earthquakes, beyond the design studies.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u165	All this is true; but it does not answer my question.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u166	That's all I have for an answer.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u167	My question was simply: in case, not of replacement, but of repair, not of Doel 1 and Doel 2, but only of Doel 1 (since, according to the studies, only that would be necessary), how much will the simple renovation cost, compared to the imagined replacement of the two lids, for which 80 million had been planned? That's my question. It is not a question of knowing that the total is 700 million. We knew that. It is not a question of knowing that there are still high costs on the ADM, etc. It's just that question I was asking, but I don't have an answer. Yet I had already put it to you and to Mr Jambon.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u168	Mr. Nollet, I understand. You've been very stubborn for a long time. We share that quality. Basically, that answer is all I have to give you. I said that many months ago. When this answer fits into reality, because the work has been done and the costs will be known, you will have Electrabel's answer. The only place you'll get a concrete answer is Electrabel. The AFCN, which you have already interviewed, replied that it did not know the answer.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u169	It makes sense she doesn't know her. You sent me back to her, but it makes sense she doesn't know her. It decides on the principle: do we need to replace it or not? - No matter what the cost. Today, we know that, according to the AFCN, it is not necessary to replace but to renovate. But the evaluation indicated that replacement would cost $80 million. Why do we not have the update of this evaluation information?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u170	Because I don't need it. It is absolutely not involved in the accounting or in the negotiation since the fee, which is the counterpart of the extension, is fixed.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u171	There are many things I ask you that are not necessary for you!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u172	This is an absolutely certain out-of-court confession.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u173	It is the right of the parliamentarian to ask questions and get answers.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u174	I can't give you an answer I don't have! All I have is what I told you!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u175	You have to ask them! You asked for the 80 million at the time.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u176	I'm going to ask again...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u177	Let them update that number!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u178	I'm going to ask Electrabel again to update that number.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u179	Thank you. I'm going to ask you another question.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u180	I turn to my collaborator who will register this supplementary application and who will be happy to follow up on it.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u181	I thank him already!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u182	Minister, here is another question in connection with an article in the newspaper L'Echo, and I apologize for that. It's a good reading.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u183	Is it about the box that followed the storage?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u184	Yes, but it's still in connection with the February 7th newspaper L'Echo.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u185	I don't want to alter your wonderful question score by saying that it is of no interest, but ask it! That will make you one more question.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u186	I think I didn't give you the floor.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u187	But I can still take it!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u188	I don't know if the president would agree, but either.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u189	He's not here!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u190	You're enjoying a little too much!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u191	It's February 14th.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u192	You can't do it. I'll ask my question. The February 7 edition of L'Echo reports two additional departures within your firm. They do indeed add to an already long list. One of these two departures attracts our particular attention, as it follows a serious driving problem, incompatible with a position in the firm. Can you give us the precise reasons why you considered it absolutely necessary and indispensable to "thank" this collaborator? What are the driving problems that led to this rare decision? We also have the right to question the timing of this dismissal. If problems of driving and/or position on the dossier of flexibility and storage, as explained by the agent concerned in the newspaper L'Echo, are involved, why have you collaborated for so long before taking such a decision?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u193	Contrary to what you are saying, Mr. Nollet, such problems are not uncommon in ministerial offices, which are all based on a relationship of trust. It was not me, directly, who made the answer to the journalist. I wasn't there. I was visiting L'Oréal to worry about microplastics in cosmetics. The bottom of the case is that for a while you work with people, and then it turns out that at the turn of the processing of a case, you see that this or that element breaks the legitimate trust you have in this co-worker, which is why, on a concrete basis, I carried out this dismissal.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u194	We've already had the opportunity to talk about it several times, you've separated yourself from your collaborator, but when you say it's not uncommon, whether it's related to a trust problem, that... anyway, at this point, in what you mentioned...
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u195	It is not uncommon for redundancies to occur in firms and it is not uncommon for reason to be a breach of trust.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u196	Has this ever happened to you? In this legislature?
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u197	A breach of trust, not to that extent, but a little bit with another collaborator.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u198	Because, indeed, on the first part of your answer, yes, we know, it is the life of the firms. We had already talked about other cases as well. But, for a breach of trust, you say it's not uncommon! I didn't.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u199	This can happen!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u200	I'm not saying this can't happen, but when you say it's not uncommon, I wanted to ask you about the extent of these things.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u201	But I'm neutral. When I say things at the moment, it's the truth. At the same time, I say this in a completely neutral way. Everyone's on their way. Apart from that, there is no problem. The firm has to work. Point!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u202	On this point, I agree with you. This may happen, but your "not rare" surprises me.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u203	If I observe what's going on around me, I'm far from the only one in all the cabinets that make up the government. Voluntary or forced departure is not uncommon. It is also not uncommon for trust problems to arise, because people are changing in such a way that at some point it is no longer possible to work together.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u204	I'll ask your colleagues, 'cause you're making me eat.
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u205	Don't hesitate!
ParlaMint-BE_2017-02-14-54-commissie-ic593x.u206	Having said that, we have exhausted our agenda.
