ParlaMint-HR_2012-07-10-0.u6085	I see a hand in the air, a respected representative. Here you go.
ParlaMint-HR_2012-07-10-0.u12806	Thank you too, Deputy Minister. And I thank your associate, the assistant minister. I'm closing the debate. We'll vote when the conditions are met. I'm setting a break until 3:00 p.m., and we're continuing with the final bill on dealing with illegally built buildings, second reading, P.Z. No. 95.
ParlaMint-HR_2012-07-10-0.u12807	Proposal for a law on financial operations and pre-demand settlement, first reading, PZ No. 138, the debate is closed. In accordance with the proposals of the working bodies, I am voting on the following conclusion: "1. The proposal for a law on financial operations and pre-demand settlement shall be adopted. 2. All objections, proposals and opinions will be addressed to the applicant in order to prepare a final draft of the law." Who's in? Against? Restraint? I'm asking for a result. I find that the conclusion was accepted by 92 votes to 34 against.
ParlaMint-HR_2012-07-10-0.u12808	Dear MPs and respected representatives of the Croatian Parliament can we continue the afternoon session? If we can go with the next item on the agenda. It is - Final proposal of the Law on dealing with illegally built buildings, second reading, P.Z. No. 95; The proposer of this law is the Government of the Republic of Croatia. You've received the bill in boxes. The provisions of the Rules of Procedure relating to the second reading of the law shall apply to the adoption of laws, Articles 155 to 157. Rules of Procedure of the Croatian Parliament. You may submit amendments until the end of the debate in accordance with Article 164(4). Rules of Procedure of the Croatian Parliament. The debate was conducted by the Committee on Law, the Committee on Spatial Planning and Construction and the Committee on Justice. Would the motioner's representative like to further explain the government's proposal? Yeah. Deputy Deputy Minister of Construction and Spatial Planning Anka Mrak-Taritash. Here you go, Mrs. Taritash.
ParlaMint-HR_2012-07-10-0.u12809	Thank you, well-respected Vice President of the Croatian Parliament, ladies and gentlemen of the Parliament. We propose in the second reading the Final Proposal for a Law on the Treatment of illegally built buildings. What is important and important to say is that according to this law we have conducted a very comprehensive public debate over a month in which we have visited 11 major cities in Croatia. Likewise on our ministry's website, the law was held in public debate. We received a series of remarks, we went into the whole process in a way that we went to amend and supplement the existing law, but the existing law was so amended and complemented that it still resulted in a new law. In the Croatian Parliament we were in the first reading. In the first reading, there were a number of comments, so I would like to refer this way to the remarks that were in the first reading and that we accepted. Therefore, the comments that were also very large polemic and in the public debate and in the first reading caused Article 6. Why is Article 6 important? For the reasons that this article is defined and defined buildings that can, so to speak, be legalized because it is a name that we all use. So now the number of buildings that can be legalized is significantly higher than in the existing law, and through the debate in the Croatian Parliament, there was a need to further clarify, or define. In doing so, I do not mean a significant increase, but a clear definition of buildings, or localities where it is possible to legalise it. The proposal that was in the first reading, which was related to this article 6th, said that buildings located in the building area or buildings that were found to be structured constructions can be legalized in the national park and nature park. What does that mean? That buildings that could otherwise be approved for construction in parks of nature and national parks can also be legalised. So we made it possible, then, that this type of building, or those located in building areas, and these are strict reserves, a special reserve, a monument of nature and a monument of park architecture, and they are located in building areas or found structures can be legalized. Maybe I should explain it a little bit. It was a big remark that came to the City of Zagreb from the Zoo. The zoo is located in such a space and buildings that are there, and if they did not allow it, they could not be legalized. And now it will be possible because they are otherwise located in the building area. Equally, when it comes to corridors of infrastructure with spatial plans, these corridors are much larger than really necessary, they really need smaller ones, so this law allows the specific conditions and buildings that are located in corridors after those corridors can be kept in space, i.e. they can be legalised. Therefore, those who could receive a normal construction permit procedure, i.e. a location permit, the main project will also be able to obtain a solution to the state of play in this case. So it was one big subject of remarks we had. The second topic of the remarks we had and which we referred to was the problem of the parties in the process. The problem of how to define them and the problem of how to take further action against them. We also had the comments of several constituency committees, so we have now defined clearly and unequivocally who the parties are in the process for the second reading. We have also defined how they participate in this process. There were a lot of objections here, so the reference card and the digital orthophoto from 2011. If there is a building in the space, which is determined by an eyewitness on the scene, if there are any doubts or if there are insufficiently clear images on the 2011 orthofot, then those who are older can be consulted. There were some objections to making more provisions. Of course, we accepted that and agreed. The same was the point in which the allocation of funds was made. So the proposed budget schedule is 50% to the state, 30% to municipalities and cities whose premises are legalized and 20% to the offices that issue permits. Under the current law, which is in force of the office issuing the permits, they do not take part in any part of it. So our proposal is that the offices that issue permits get 20% of the fee, 30% get municipalities and cities on whose territory the building is located, but it's important to say that they get a complete communal contribution and 50% gets the state. From these 50% the state receives is a legal proposal to finance the recovery plans, i.e. to finance the destruction of those buildings that would not continue to be retained, or which are in the space, and their owners would not submit a request. What is important and important is to say: that this law gives the possibility that all those requirements that are now in order that applicants can choose the path to go forward. So I can complete my procedure under the law that is in force today, which will cease to apply under this law, or I can complete the procedure by the basis of this law which is adopted, which is decided, so that the investor chooses to do better for him. Equally so, the ministry, that I could be operational and that this law could really make an echo, we have legal provisions that are usually used by courts. That means, in other words, that an office that hasn't done its job in years, and that's the kind of office we have. But when the office doesn't do its job, when it hasn't issued a solution in time, we can by law transfer that request to another office that will then be resolved, but the means of compensation gets not the office on whose territory is the operation, but the office that solves it. So it's one big newspaper in this law, and we're going to try this paper and other laws that we're going to make, because it seems to be operational. But what's important to say is that the law would be successful until the end we're preparing, or at a high stage of completion are three things. One thing is a guideline that will go to all the offices where there will be a form of how a solution to the state of play should look, so that it will be all over the same. And that's what we're on the trail of our wish E's license in a normal procedure. The second thing is a regulation, a regulation that defines the method of calculating compensation. You today, with this law that is in force, you have the regulation, you have several groups of coefficients. And then when you take that one garage, even in the area of the same municipality depending on where the position zone is, the fee for it moves between 800 and 22 thousand kuna, which is absolutely unacceptable. Just not for the area of one municipality, not to say that these fees are different for the entire territory of Croatia. Our regulation is based on three elements, so the fee is defined depending on the position in the space, depending on the purpose and the size. So the base is one living purpose, base one when it's located in the construction area of the settlement. Those who are, in the larger and more sensitive space, the coefficient increases, or multiplys. And the same agricultural purpose is, we're going to propose a coefficient of 0.2, or economic purposes, of some other coefficient. The same fee increases with an increase in volume. So price differences depend on the size of the building, and depending on sensitivity and those famous 100 meters to the coastal line are very sensitive. For example, the same house will be able, according to the proposed model, to pay up to 20 times as much as it will pay for the same area of the investor located in the construction area of the settlement. And there's another rulebook that was prepared by our State Geodetic Administration, and it's tied to geodetic affairs. Because here we have defined the video that the geodette is doing in such a way that this video becomes an integral part of the geodetic video that is used for enrollment in the cadastre. Under the current law, every investor for law has to pay twice, once this video applies to the Law on Legalisation, and the second time the recording for enrollment in the cadastre. This video will be part of the cadastre. So these are important things that are to be pointed out, which is related to a law that we all popularly call the Law on Legalization and here's the Government proposes to the Parliament in the second reading of law-making. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12810	Thank you, too, for your esteemed Deputy Minister of the Department of Construction and Spatial Planning. We're on our way. I'm sorry. Do the committee and the working bodies want to take the word, the Legislative Committee, the Committee on Spatial Planning and Construction, the Committee on Justice? No, I don't. Thank you very much. I'm opening a debate. Let's discuss clubs, the first club to apply for the debate is SDP and respected representative Vedran Babic. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12811	Dear Vice President, Deputy Minister with associates, colleagues and fellow MPs. We have before us the Final Proposal of the Law on the Treatment of illegally built buildings. When we make every law we always try to make it fair, unfortunately this law cannot be and we are aware of it. It cannot be fair to those citizens who respected the legislation, issued permits, paid all obligations and fees, projects and were often limited by the provisions of the spatial plans they adhered to. Especially unfair to those who legalized their buildings during the period when the penalty for illegal construction amounted to almost 150% of the amount of municipal compensation. But seeing the state of our country and respecting the fact that, according to the latest data, we have nearly 500 thousand illegal buildings, we have to pass a law like this. It is very important to know that the institute for the implementation of this law was established, the digital orthophoto map was made on the basis of the aerographic recording started on 21 June 2011. Namely, all the buildings built after this shooting will not be legalized, and this way is a draw behind which no legalisation will be possible. In addition, the provisions of this law make it clear to all that the process of obtaining permits, i.e. the solution to the state of play, is significantly simplified, making the procedure faster and cheaper for citizens. As I have already said, and said Deputy Minister, this law by introducing, or by correcting, compensation for the retention of an illegally built building in space, will clearly distinguish the amount of compensation for farmers, i.e. economic buildings. With which we can in some ways sensitize with respect to partner and similar structures. That is, the greater amounts will be paid by the owners of those buildings that are not built in accordance with the spatial plans, according to those who are. Following the above, I am convinced that the provisions in the new Law with the treatment of illegally built buildings will encourage the mass legalisation of illegally built buildings, and that this law will justify its purpose. Finally, the SDP advocates’ club submits an amendment to Article 6 of the Law on the Treatment of Illegally Built Buildings, which equalises legalisation conditions in the field of exploitation fields, mineral raw materials, or oil and gas exploitation fields, and geothermal waters with other areas with special status. It has been observed that there are a number of spatial plans in which the areas of exploitation fields are marked at the sites of existing construction, even entire settlements, and this amendment is justified. As I said, the SDP club will support this final proposal of the Law on the Treatment of illegally built buildings, in conclusion with the amendment I was just talking about.
ParlaMint-HR_2012-07-10-0.u12812	Thank you, Your Honor. The next club of representatives is the club of Croatian Labourists and respected representative Branko Vukšić. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12813	Dear Vice President of the Croatian Parliament, gentlemen of the ministry, distinguished colleagues and colleagues. Immediately at the beginning of the Croatian Labour Party supports this Law on dealing with illegally built buildings with the fact that it might be more accurate to tell buildings not buildings. And now right after the opening sentence after the support but not one but a hundred but. We ask ourselves questions we don't know how to answer, and he doesn't know I'm sure he's answering our questions or our authority. For 22 years, it's been a team of lawlessnesss. How could you buy a factory in privatisation without any Croatian dinar or kuna in your pocket? So you were a fan of the party in power, so they had a fondness for the failed banks, which of course were later rehabilitated by the citizens, and then those twenty-value banks were donated to the sites. The fact was that while one is being wrongly rich, the other are being thrown off the streets by the weaker ones. If you sued someone 10 or 20 years ago, and you had nothing to do with the court in litigation or duration or lost her. Although you have spent 40 years in the Mirovinski Fund today, your pension barely covers your directing. It doesn't matter if it's modern. By giving up summers and cars and all winter coats in the last 20 years, you've educated your son and daughter, they have a degree, they know languages, they're considered capable but they don't have a job. The neighbor's kids have a job but they don't have a degree because Dad and Mom are in the right party. I could list all the injustices that happen to Croatian citizens every day until at least 6 p.m. and you heard them all, many heard them. But be careful, and when the power is broken, it's tricky. She thinks of the poor from time to time. But to show her the great people's heart allowed illegal construction, for when she illegally built the poor new tycoons could lift their ugly buildings into heaven in national parks, in Kornati, in the Sljemen and Marian protected zone in a coastal protected belt so that it could be thrown straight into the sea from the terrace. And what was the government doing? She kept her eyes open. What were the inspections doing? And they only waved enough to get paid two, three to meet. And so it was probably around 300-thousands of various illegal objects, villas, villas, houses, househouses in places that these fairies, villas, houses or housewives revile to pain. Thousands of stables, wheels and other commercial buildings were built in the meantime, but they do not usually have so many eyes and are never citizens from obsessing but from a mere need. And now after 22 years of tiling lawlessness with one law, how do you make order? Not at all. It's Sisif's job. One good law cannot cure two decades of unemployment, only when the rule of law starts to operate where it is most needed in the judiciary that remains the cancer of the Croatian society and the Croatian state is it then that we have both as a state and as a society the chance to run from a dead spot, even in an illegal construction. In order to begin truly adequately dealing with illegally constructed state facilities, it must function in all segments. Of 300 or 400 thousand illegal buildings, only less than 10,000 citizens have submitted a legalisation request. 390,000 concluded that nothing would happen to them if they disobeyed the law. The government didn't lure them into law enforcement with even a round of payouts. In Croatia, it still pays off, 300 thousand people but also so many families who teach their descendants to skip laws wherever they can and wherever it is worth it, means 300 thousand people know that nothing will happen to them even though they will not legalize what they have illegally built. Of course, as I said in this place 20 days ago, this law and this act of law are not only legal but above all a profound moral issue. Is it morally illegal? Is it morally moral for those who patiently waited on the papers, who regularly paid for the dandelions, who suffered the torturer of bureaucracy, were they morally? Is it fair to legalize an object for those who have reviled the visor to the neighbor, who have devastated nature, who have treated everyone with impudence and selfishness? It's not moral. But I guess this power is like the one before it that allowed the legalization of illegal construction to be good government or just wants to be shown for good. But I repeat, it's easier to be good than just. We are often good because we do not know how to be righteous, and we do a new wrong with kindness. But by insisting on absolute justice, we would again make a new, perhaps even greater injustice. They're not the first citizens, and they're not the main culprits that have accumulated 300 or 400 thousand illegal objects throughout the Beautiful One. It's the charm that allowed it, it's all the authorities that have played kindness on the one hand, and on the other hand they've made their citizens unhappy. My colleagues and colleagues, if this law really comes to life, it will be the same flight to the moon, and we Croatian citizens are not yet ready for any flight. We usually fall into a break-in or into our own traps. The government will show character if it really respects at least the decision to bring down everything that was built without permission after half of June 2011 because it has to collapse. Why? That words or the rule of law are finally shown in action and it will not be difficult to bring down everything that was illegally built after mid-June 2011. There will be an interesting reaction by the authorities to the fact that by now 290 or 390 have been deafened by the law, however, thousands of citizens. What about them? Why not force them to at least register as lawless builders? These questions are not answered by this law, as no other law answers similar questions. The answer to that question is wiser than any law. The answer to that question is wiser than any law. If there is an answer to this question in Croatia, all laws will start to be respected and the rule of law will function, the government will finally become just, not falsely good. The government will finally become successful. Even though we're in opposition, we really want you to. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12814	Thank you, Your Honor. The next is the HDZ club and respected representative Josip Boris. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12815	Dear Vice President of the Croatian Parliament, distinguished deputies with associates. At the beginning of this presentation on behalf of the HDZ Representatives Club, unfortunately, we must conclude that the final draft law on the treatment of illegally built buildings was addressed within a very short period of time after the first reading in the parliamentary procedure, and that only a small number of objections from the parliamentary debate brought not only by the HDZ Club, but also by the other parliamentary representatives. We therefore get the impression that the applicant's intensity was not to discuss this law in this regular procedure and to seriously consider all the comments, proposals and opinions and, in this respect, correct and improve the original draft law. Moreover, even in the haste of the preparation of this final bill, it is not possible to comply with the text of the interpretations of the provisions with the amendments. We are aware that the issue of dealing with illegally built buildings is a sensitive and complex issue that has been trying to solve in this space for years before this law was originally passed last year there have been several legal solutions to which the intensity has been carried out systematic legislation with a view to resolving the situation in the area and ownership of real estate. The fact is that these years of laws have not received the expected success which points to an even greater need for the full consideration of the effects of the implementation of the proposed solutions from the point of view of space conservation, of the situation in space and of the equality of citizens when defining legal solutions on the conditions and procedures of law. There was also an intensities of the law that came into force in August of last year and the basis which, despite the announcements of the new Government on the hasty adoption of a new law by means of the expropriation and simplification of the procedure, 9,000 requests were taken and 600 solutions were issued. Last year, when the law was passed, it was very carefully considered to the extent to which the implementation of legalisation was justified, but all the positive effects of the well-defined model were also considered both from the point of view of achieving significant revenues and thus the possibility of greater investment in infrastructure by units of local self-government and from the point of view of the resolution of property-legal relations, real estate transport, the settlement of the situation in space, the preservation of space, the promotion of economic activity in facilities whose current status makes it impossible to carry out economic activity. Does this final proposal of the law come to us? Unfortunately, we must conclude that there is a law before us whose implementation will send a negative message to the citizens of Croatia because the proposed legal solutions have failed to find a good balance between the need for the existing situation in the area to be settled and that clear conditions and criteria are defined on the other hand in order to protect the space and non-discrimination of citizens who respected legal regulations when they were built. Here we think of this law expanding the number of possible laws of illegally built all types of buildings, including buildings, in areas protected by specific regulations and the basis of the Law on Spatial Planning and Construction. It is primarily about the protected coastal area of the sea, which is defined as an area of special interest for the Republic of Croatia by the Law on Spatial Planning and Construction. I reiterate that the Institute of the Protected Coastal Belt has introduced order into space and has contributed to the preservation of this extremely valuable space, which is also recognised by the Barcelona Convention on the Protection of the Marine Environment and the Coastal Area of the Mediterranean. It is defined by that Convention that, for the purpose of protecting and sustainable use of the coastal area, national regulations should lay down a land belt in the rule of width of 100 metres from the highest sea line in winter in which construction is not permitted. It is therefore even more surprising to us that, in the light of the non-acceptability of this observation, the Government calls for this same provision of the Convention, which defines that the said land belt can be adjusted, i.e. to determine the deviation from the mandatory detachment, among other things, for the sake of social needs. We therefore question whether it is a social need to enable the general legalisation of illegal buildings in the protected coastal area of the sea, except for maritime goods. The HDZ Club is of the view that the preservation of this extremely valuable space is a social need, not that the social need is general legalisation in a protected coastal belt. Do not impose any restrictions, legalisation possibilities in a protected coastal band, for us is extremely irresponsible from the point of view of preserving this national good, and therefore once again we call on the Government to include in this bill the restriction contained in the current draft law. In particular, and again, we point out that in the protected coastal area of the sea, it is possible to legalise buildings built within a protected coastal band of up to 100m2 without any technical documentation, which in itself proves the duality of the division of buildings into four categories according to the building gross surface. However, it is not only legalisation in the protected coastal band that is an example of the government's intention to legalise as much as possible without taking into account respect for the spatial-plann criteria, i.e. the circumstances of these spaces. It is also an example of enabling the legalisation of buildings on particularly valuable and valuable agricultural land and on the surfaces of the economic and protection forests and forests with special purpose, which prevents the current law. It is about areas that we have protected and tried to preserve from construction in accordance with the Law on Agricultural Land and the Law on Forests and therefore cannot support such solutions. We are in doubt also allowing the legalisation of buildings in the area of the cultural and historical unit listed in the World Heritage List, although here it writes with the confirmation of the public-law body or conservation department that such legalisation is possible. We hold disputed and continue to legalise lawless objects in the area of water goods. The proposed provisions of this law do not show why the water well is less valuable and sensitive or threatened in terms of the conservation of natural resources from marine goods. It is also possible to legalise and illegally built buildings in the corridor of transport and communication buildings of importance for the Republic of Croatia, as well as units of regional, regional and local self-government, provided that the public-legal authority responsible for the management of that building has issued a confirmation that it has been built in accordance with the specific conditions laid down by that body under specific rules in the procedure of issuing a local permit, i.e. decisions on the conditions of construction. Furthermore, we want to highlight another important difference between this law and the current one, which we cannot support. It is about eradicating the obligation to pay for the municipal and water contribution before adopting a solution to the state of play that the citizens of the Republic of Croatia who are building on the basis of acts that are approved to build bring about an extremely unfavourable and unequal position in relation to the owners of illegal objects that legalise their facilities after an accelerated, shortened procedure. We cannot accept the fact that the government is prepared to put these provisions in a subordinate position for citizens who, in the ordinary process, act for construction in relation to the lawless builders. However, such provisions result in a huge and unwarranted imbalance. When this law enters into force, citizens of the Republic of Croatia who apply for a construction act will have to pay in advance for a municipal and water contribution, while citizens who legalise illegal facilities are not obliged to do so before adopting a solution on the state of play. In addition, to what extent this solution will prove to be long-term justified from the point of view of the income of the unit of local self-government will show a realisation that we in our club, in such defined conditions, do not assess optimistically. We see that the proposer continues to insist on the introduced four categories of buildings with the aim of allowing for smaller buildings per surface simpler procedure with reduced documentation, as well as cheaper. However, this division can only create additional problems in law enforcement. And we continue to believe that there shouldn't be any difference, for example, between housing buildings of 380 square meters and, for example, 402 square meters. The documentation to be submitted shall be surface-dependent. Therefore, the area of the building should be taken into account when determining the amount of compensation to keep the building in place, not that it should be a criterion in the legal process in such a way as to practically reduce the amount of necessary documentation to reduce the level of compensation for the legalisation of the facility itself. During the debate in the first reading, we also had serious remarks about parties in the process. Then we noticed that the proposed law did not define parties in the procedure. However, although that provision is included, the call to the parties shall be made public by publication on the advertising board of the competent administrative authority in which the building is located which opens the question to what extent they will provide for their right to be delivered. We feel that such a provision has formalised the party's participation and that it remains unlikely that they will participate in the procedure at all. Furthermore, we also keep the law missing in part of the criteria for calculating the amount of compensation. In fact, we believe that this law should certainly include the basic criteria to be conducted by the government in the legalization of buildings. A provision which only defines that the Government will prescribe the amount and the method of calculating the amount of compensation depending on the size, location and purpose of the building, and the way in which the compensation is paid and the other criteria are kept insufficiently. Finally, we would like to point out that by allowing legislation to bring as many illegally built buildings as possible closer to almost unconditional legislation, and that they are deviated from the protection of the largest part of the coastal area other than maritime goods as well as other protected values. The proposed law confirms not only the system of spatial planning as a whole but also all the spatial plans that have been adopted, and with regard to the unequivocal objectives and purpose of the spatial plans that are in place, with unconceivable consequences for the overall situation in space, as well as the concept of possible future planning of space. For these reasons, the Croatian Democratic Community Club will be abstention during the vote on this law. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12816	Thank you, Your Honor. It is up to the respected representative Željko Šemper and the Croatian Party of Retired Party Club in the Croatian Parliament. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12817	Thank you very much, Mr. Vice President, Deputy Minister, colleagues and colleagues. This law regulates the conditions, procedures and legal consequences of inclusion in the legal system of illegally built buildings, by respecting spatial, social, economic and technical requirements. The basic institutes for the implementation of this law are the digital orthophoto map of the State Geodesy Administration, a solution to the state of play that legalises illegally built buildings and a solution to the compensation for the retention of an illegally built building in space. This law deals with the Law on Spatial Planning and Construction in a simple and easier way with the problem of their legislation. It has been observed that the orthophoto map was not available or sufficiently accessible to the administrative authorities responsible for the decision on the state of play resulting in the inability to make such solutions. It has also been observed that the administrative authorities responsible for the adoption of a solution on the state of play are not fully qualified to adopt a solution on compensation for the retention of illegally built buildings. In my debate, I will focus on a kind of object where the draft of this law with citizens has raised concerns about the new cost of legalising their buildings. Especially were the emotional responses of the pensioners, owners of the so-called The terminals in small family vineyards or what we call them in Podravina mountains. The draft did not show a big difference between such small objects with an average size of up to 50 square meters and large villas in the coastal belt. This bill, which is before us, has significantly removed the great fear of dilemmas and concerns of owners of small objects. This contributed to a comprehensive debate in the provinces where Minister Vrdoljak explained the details of this law. The implementation of this law and the legalisation of about 10,000 such facilities, the clients in Koprivnica-Kristevci County, are for pensioners who barely survive a new cost in their home budget with small pensions. Although there are newly built weekend facilities, they are mostly wooden objects, over 50 years old, inherited by their fathers, grandfathers, etc. It's my grandfather's. Such facilities are also available in other counties of northwestern Croatia, so here is an opportunity for the equivalent size of the facility and years of construction to be legalized. In discussions around the county, the minister warned the owners of such facilities that they would receive compensation for... Such objects will be symbolic. [[The speaker doesn't understand.]] It won't take too much documentation as for larger squares buildings on the coast. More than that symbolic fee, there is a fear of greater compensation from units of local and regional self-government, which will, by means of the direction of the minister, have public powers in connection with the implementation of this law. This relates to the amounts of municipal and water contribution which would further increase the costs of total legalisation. And in general for the implementation of this law, the opinion is that it will benefit the least from state and local budgets, and the biggest winners will be geodetics, architects and authorised engineers of construction for the assessment of mechanical resistance and stability. All fear their tariffs for making certain documentation by comparing the tariff of public notebooks where, for example, the certificate of an unemployed person’s licence for a particular tender stands at about 245 kuna. According to the bill, a legalisation application shall be submitted no later than 30 June of the following year, which may be too short a time for such a large number of objects. Depending on the total amount of legalisation costs of a particular type of facility, the number of applications and the overall solution to this major problem will depend. We in HSU hope that all institutions involved in the implementation of this law will take into account daily gatherings and that this will not be an excessive blow to their home budget, and this specifically applies to the pensioners of vineyards. Because this is another law that finally introduces order, and this area of life, HSU will support this law. Thank you very much.
ParlaMint-HR_2012-07-10-0.u12818	Thank you, Your Honor. The next club is the HNS club and respected representative Ivica Mandic. Here you go, Your Honor.
ParlaMint-HR_2012-07-10-0.u12819	Mr. Vice President, Deputy Minister with Associates. Here I'll take on behalf of the HNS Club a few moments to essentially determine ourselves according to this law. We as a club will surely support this law because in the law that has been in the Republic of Croatia for 40 years it is time to say enough and try to stop illegal construction. Because one of the most significant spaces the Republic of Croatia has is the space of the Republic of Croatia. And with this carelessness in the last 40 years, Croatia has not treated this problem properly. I am not going to talk here about that law that we had so far passed in August 2011, which is certainly with the same wishes as this law made to legalize as many objects as possible, but obviously the procedure was not good and the procedure was quite complicated by the legalization of existing objects. The reason why it went into the adoption of a new law, in legalising buildings in space, is because the situation in space doesn't satisfy. That there are a very large number of illegally built objects. It counts in the Republic of Croatia somewhere over 500 thousand of these objects. What is the desire of this law to try to reach a zero state that would make it impossible to further devast the space in the Republic of Croatia as one of the fundamental values of the Republic of Croatia. With this law, he tries to resolve himself in a simple way justly. The problem is very complex. About someone thinking there might be a significant problem like this that's plagued the Republic of Croatia and this space since '68. I think it's almost impossible. It is therefore good that this law allows as many users of illegal buildings as possible to legalise as many objects as possible with a modest procedure. It is important to note that standards of protection of the environment, protection of production are maintained. Also in this segment, it is very important to mention this economic part in the legalisation of objects because a large number of illegally built buildings in Slavonia and Baranja, in all agricultural areas and livestock areas from Dalmatia, Istria, Zagorje, Gorsko kotar, Bilogor has a large number of agricultural facilities and these facilities if they are not legalised by 2013 all these family-agricultural economies will lose their right to incentives. That is why it is very important for this problem to be put into this procedure and to simplify the legalisation process. What is also important is that the legislator recognized the facilities located in attractive zones and those objects located in rural areas, that it made a significant difference in the legalisation of these facilities itself. It is also expected that the adoption of this law will increase the number of illegal buildings to be legalised, increase the number of requests for legislation, facilitate and speed up the implementation of the building law process, reduce costs for applicants, speed up the process of adopting a solution. In this regard, it is important that the whole process is simpler, faster, and fairer. We're confident this law will do just that. We don't deal with the illusions that this law will solve it 100%, but if it is resolved and in 50% of the cases, I will say that this law is very, very successful, given that the very large number of buildings that need to be legalized. It is also good that the law also provided for 4 categories of buildings relating to demanding, less demanding, simple and auxiliary buildings where the legislator also predicted a certain price difference. What I said and at the beginning of the ideal law doesn't exist, but all these objects exist in space and I'm interested in what state government or any other government or non-national government would allow itself such luxury to take place in the demolition process of over 500 thousand objects. That's why I think with this law being passed and the law being applied. We think we're going to make less injustice than to keep these objects in place and keep these citizens still using spaces without any compensation. That's why I'm going to wish everyone who's going to work on legalizing these facilities, that they have a lot of luck and a lot of understanding, both from local self-government units, counties and citizens. We expect that the results of this law will bring the right results and I congratulate anyone who makes a significant contribution. Thank you.
ParlaMint-HR_2012-07-10-0.u12820	Thank you, Your Honor. The next club is the HDSSB club and respected representative Igor Cešek. Here you go, Your Honor.
