ParlaMint-NO_2012-02-15.ana.ud2287e26	The representative Per Arne Olsen will put forward two proposals for representatives.
ParlaMint-NO_2012-02-15.ana.ud2287e887	In order to be entitled to a daily allowance during the period of leave, it is provided that the period of leave is due to a lack of work or other conditions on which the employer cannot exercise influence. It is assumed that the employer has not had the opportunity to organise the work so as to avoid a permit. The background to this requirement is that employers should not automatically be able to turn compensation of employees into social security by permitting. Day payments under leave are primarily intended as a safety net in the event that the employer can expect to see to a small extent. It is not intended that businesses which generally have work only part of the year should be able to base their operations on the fact that employees may receive daily benefits under leave when the business is not employed. Usual seasonal variations must be regarded as predictable and, as a general rule, leavencies do not give entitlement to daily allowances. On the other hand, for example: abnormally severe periods of cold which render work impossible provide the basis for daily allowances. What is abnormal varies geographically and needs to be assessed in concrete terms. In the winter of 2011-2012, the Directorate of Labour and Welfare clarified the applicable rules for the assessment of seasonal variation permits. The aim was to avoid discrimination in the practice of the establishment. It has been pointed out to me that clarification has been perceived as a tightening-up, at least in cases where previous practices were not in accordance with the legislation. The Directorate of Labour and Welfare has already indicated that they will follow-up on individual issues with a view to ensuring a level playing field, such as: within a group of several offices around the country. In addition, I would like to ask the Directorate for a wider review of practices in permitting cases to ensure greater predictability of individual activities and equal treatment in similar cases. The Ministry will follow this in dialogue with the Directorate of Labour and Welfare.
ParlaMint-NO_2012-02-15.ana.ud2287e898	I would like to thank the Council of State for a good answer. I am very happy that you are willing to go into the matter, as you suggest. What I think is important in such a case is that the industries that are often referred to as seasonal work are not necessarily. Plant gardeners are one of those who aren't. They do a lot of work in the winter and make great adjustments to try to make the best use of fixed costs, for example: trucks or other equipment in which they have invested. What I did before I asked the question was to investigate among the companies. Of the 18 companies in the industry that responded, there were eight companies that said they had a discount on the daily allowance, and ten that said they didn't get it. I share the description with the Council of State, but I have a concern that even if you go into it, one will still put this industry in the same category as for example. the asphalt industry, which is a completely different type of industry. Is the Council of State concerned with the same issue?
ParlaMint-NO_2012-02-15.ana.ud2287e909	The President will remind you that all speeches must be addressed to the President.
ParlaMint-NO_2012-02-15.ana.ud2287e912	I assume that the representative and I agree on the starting point – that Nav has to make an individual assessment. I think we agree on that. So Nav has been busy ensuring non-discrimination, and that's what was perceived as an intensification. Now I'm very concerned that we have to be sure that it's equal treatment we've actually received, and that equal cases are treated equally. It's always a challenge, because it's always a challenge to know what are similar cases. That means that even if we do a very thorough review, there will be cases that may appear to be the same, which are still different. But I think we can agree that we get a proper and good review – I'll get it during March. Then I have shown by what I have done in the past, and so far also in dialogue with the representative that I think has raised an important question, that we are just concerned about companies and businesses that are seasonally based. We have to look at it in particular.
ParlaMint-NO_2012-02-15.ana.ud2287e919	I would like to thank you for your answer – very well. I am very pleased that the Council of State reports that we can get a review as soon as possible during March. I think the industry is also very concerned about that. One sees that the challenge is that where they have realized that there has been one practice and now it has changed, the employees have gone without a daily allowance and have thus been put into a difficult situation. The same thing has happened to the companies. That is why I am very pleased with that review and welcome it. What I also want to challenge the Council of State is that much of the important thing about the law of permacy is just to ensure that competence remains in the industry, that one has the opportunity to do so. I don't want any use of the legislation, but I'm concerned that piece is there. I see that many people want to avoid the legislation through, for example. percentage contracts. It may be a solution, but I'm afraid it makes the profession less attractive. Will the Council of State also include that part of the problem in the review?
ParlaMint-NO_2012-02-15.ana.ud2287e928	We clearly agree that the permitting legislation should not be abused and that it should be used where it is intended to be used. Then I think we should be aware, given the situation in Europe, that we are facing ongoing challenges related to Norwegian working life. Norway is going very well, but there is nothing we can take for granted. We cannot rule out that we are going to have more pressure related to the law on permitting. That's why I'm so concerned that at this point, before we see the pressure increase, we have to make sure that we have good practice to ensure equal treatment of similar cases. But then I am also very concerned that it is now that those who become unemployed in Norway are basically getting a new job. We have to make sure that we also have a good system for constantly having good transitions, and that is what is always the balance of the law on permitting: Yes, where there is a passing economic downturn, we need to ensure and maintain skills, but we also need to ensure that we do not keep the skills that can be used in those parts of Norwegian working life where we need labour.
ParlaMint-NO_2012-02-15.ana.ud2287e941	I am delighted to ask the Minister of Labour the following questions: «Many working part-time in public activities lose their right to service if their employment rate is less than 35 pst. or 14 hours a week. In a number of professions, many work in several part-time jobs, which together represent a higher proportion of jobs. Nevertheless, they do not qualify for a public service pension at the retirement age. Will the Council of State contribute to the total public sector labour input used in the calculation of pension entitlements for public service pensions?’»
ParlaMint-NO_2012-02-15.ana.ud2287e950	The question raised by the representative Eriksson concerns pension entitlements for those with small sizes in the public sector. The minimum limit on the right to membership in the public occupational pension scheme is 14 hours per week and 35 hours per week. position of teachers. The person with more than one job relationship below this minimum limit may exceed the minimum limit if one adds up the different job shares. For positions belonging to the State pension fund, this relationship is resolved. Here are part-time positions below the minimum pensionable age if they are combined with other positions with members of the State pension fund and the sum of the positions meets the minimum level. This applies regardless of whether the employment relationship is with the same employer or different employers. The pension management of combined positions in the municipal sector depends on whether the employee has the jobs of the same employer or of several employers. In those cases where the jobs are with the same employer and together exceed the minimum limit, the job parts are aggregated by the employer and reported to the pension provider. In contrast, when the job parts are with different employers, there is usually no such aggregation of the job parts. This is because each employer has a separate pension scheme with the pension provider. For those cases where a person has more than one job with the same employer and where there is both a State pension fund and a municipal occupational pension scheme that is a pension provider, this is not a problem either. Total job relationships will be reported here to one of the pension providers when the sum of the jobs exceeds the minimum threshold. The conclusion is that the problem raised by the representative Eriksson is essentially addressed for the benefit of each employee. Where this is a problem, the job situation is linked to two different employers in the municipal sector. In my view, this issue is a practical but affordable challenge that employers and pension providers in the municipal sector themselves should seek to solve. With the government’s proposal for a new public service pension in the context of the 2009 tariff settlement, the minimum requirement for membership of public occupational pension schemes would be lower than is currently the case. The government's arrangement would thus have made the issue Robert Eriksson raises, considerably less.
ParlaMint-NO_2012-02-15.ana.ud2287e967	I thank you for your answer. I am also well aware that this has been solved with regard to the State pension fund, but I still experience a lot of requests from different teams that you have not managed to solve it even if it is an opening for it in the legislation of the municipal sector. To give an example: a good deal of cultural workers, to use that term, who work a little at one of the music schools and have it as an employer, then you work a little at a school, and then you might work a little at the music school in the neighboring municipality. They are then out of service. If you work in two neighbouring municipalities, in small jobs, as many do, should you have also looked at the possibility of combining the total amount of work? Given that it is the municipal sector, and that it is the CLP that is the pension provider, it should be trouble-free, I think. I don't know how the council looks at it?
ParlaMint-NO_2012-02-15.ana.ud2287e974	As I think we agree, there is a problem that is limited to the municipal sector and to that situation. The representative has provided some examples. I see that it's a real problem for those involved, but it's also true that these municipal pension schemes are based on collective agreements, and I think it must be the parties that get to sit down and clean up how to deal with it. With regard to the example to which reference was made, where one has the same pension provider, etc., the parties should be able to clean up that relationship.
ParlaMint-NO_2012-02-15.ana.ud2287e979	Based on the figures I have received from the KS, there are 47,000 employees who have jobs of less than 14 hours and are still not able to earn pension entitlements. We see in many cases that they do not get other types of jobs so they can connect these jobs to get a larger job home, either. They are considered in different vicariates, which means that they save the pension costs. I took up this relationship already on March 15, 2006, which was almost six years ago. At the time, the then Minister of Renewal, Heidi Grande Røys, said that this was a problem to be considered. My question is, how far have you come from the government's position to have looked at it, and when will you get back to the Stortinge with those conditions?
ParlaMint-NO_2012-02-15.ana.ud2287e986	First, I just want to say that I'm going to address that question with the current Minister of Renewal, Administration and Church to get feedback on that particular issue. When it comes to the problem with these 47,000, it's a little bit unclear to me whether you can stop from that those people don't have service, or whether they're people who work 14 hours. It has not been given that there is any direct connection between those numbers, even my explanation in the post. I just have to repeat my answer, that this is a tariff pension scheme. There are two independent parties who are faced with this problem. It's natural that the tariff parties sit down and solve that problem insofar as they shouldn't have big, insurmountable problems in doing so.
ParlaMint-NO_2012-02-15.ana.ud2287e993	Case No. So 2 is done.
ParlaMint-NO_2012-02-15.ana.ud2287e1006	There is no record. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
