ParlaMint-NO_2012-05-24.ana.ud1972e55	The representative, Henning Skumsvoll, will put forward a proposal for a representative.
ParlaMint-NO_2012-05-24.ana.ud1972e941	It's going to be line change.
ParlaMint-NO_2012-05-24.ana.ud1972e944	The Council of State said in its speech that it is not the state that is to govern housing policy and housing development. Of course, we're quite certain that a non-detailer should address this. However, the fact is that there are governmental bodies that in many cases prevent new construction, for example: by the fact that the County comes forward with objections to municipal plans and regulatory plans, thus preventing the development that could otherwise be found. We have also been required, for example: universal design, which frame the smallest dwellings in particular. Governments and government have been exempted when it comes to student housing. Then the question is, why should one not go further and exempt from the universal design requirement for all dwellings below 55 m2?
ParlaMint-NO_2012-05-24.ana.ud1972e954	Sintef Construction Research has estimated that the increase in the cost of access to the small apartments will be about NOK 40000. That's not what decides whether the kids get into the housing market. Nor is it the case that young people must always buy a new apartment. Many young people buy older apartments, and I think it might be a way to get into the housing market. Today it is only approx. 10 pst. of the wheelchair users’ housing facilities, so with respect to reporting — it is not possible that young people have problems getting into the housing market. It is important to increase the availability of the housing stock to meet the waves of the elderly and to build many smaller apartments. Then it is important that they are available to everyone, so that we can stay longer in our own homes, and so be – had I almost said – longer master of our own lives. The dwelling is a very important key to it in the future.
ParlaMint-NO_2012-05-24.ana.ud1972e961	I record that while the peasants rage, the public servants strike and there is general dissatisfaction with the government, the Council of State Navarsete is largely dissatisfied with the Right and with the municipalities that are run by the Right. The councils pointed out that the press areas were – I was saying – a udder, and that there should be population and population spread throughout the country. Then BSU is an important tool, because you'll get more for the money if you build a house in a pig-grown stripe than in a densely built stripe. I wonder if Navarsete State Council agrees with the Ministry of Finance and State Secretary Roger Schjerva, who says that BSU ‘is the best of all that does not help. It's kind of like curing cold with cognac. Is it true that the department and government have now given up the BSU, that saving for owner-occupied housing is a measure the government is against, because it is those with the greatest income that can save the most?
ParlaMint-NO_2012-05-24.ana.ud1972e973	First two precision: I'm not in conflict with Right-Handed municipalities. I have very much respect for right-hand-ruled municipalities. Nor have I ever said that the press area is a udder, on the contrary, I work well with spokesmen and town councillors, whether it is here in the city or in other right-hand-ruled municipalities. I should have seen, of course, that they could have a different color, but that's another thing. There is also a lot of good done in Right-Handed municipalities, but that only means that one actually has to see what one can do in the Right-Handed municipalities. It's a bit like a community synopsis: a point that everyone else should do it, but one doesn't do it in the municipalities they control themselves. When it comes to BSU, as Minister of Housing, I think it's an important tool to save on your own housing. I have recorded that there are different views about it, but the government's policy is that BSU is a tool that's there and that's good. I also consider whether we should consider strengthening the scheme, if any, in connection with the housing message I am going to provide.
ParlaMint-NO_2012-05-24.ana.ud1972e980	I want to continue with the BSU system, and I heard what the council said. As I said in my post, there are a lot of people who think it should be strengthened, especially in the light of what happens when you stick to the self-sufficiency requirement of 15 p.m. Can the Council confirm that this framework will increase?
ParlaMint-NO_2012-05-24.ana.ud1972e985	I am preparing a big message about housing policy, and if not for a long time now, they will receive a big message about building policy. I am very pleased that, on behalf of the government, I can explain a policy in an area that is high on the agenda now. That's good, it completely detonates such an important area. I think maybe the world and having a home, a safe home, is one of the most important bases for living a good life. The BSU scheme – as I said in my previous answer – is important. I consider, together with the government, what will happen to her, in conjunction with other tools. We're going through the use of tools in the housing area now, and it's clear that I can't confirm or cancel anything about it today – it sure understands the representative. I'm sure we'll come back to that. It's important that we have tools that work for all groups. BSU works well for a lot of people, and I think it's important to stimulate that you can also save yourself an asset when you're going to buy a dwelling.
ParlaMint-NO_2012-05-24.ana.ud1972e994	That's the line change. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-05-24.ana.ud1972e999	Providing a stable level of housing supply must be an overall political responsibility. The last decades of the 1980s deregulation show that the market alone does not solve societal challenges. While national and local authorities are responsible for other key welfare goods such as work, education, health services, kindergartens and care for the elderly, no one has a clear responsibility for the provision of housing. It's not a satisfactory situation. The Workers' Party believes that it is a central political task to contribute to the construction of adequate housing. Norway currently has one of the least regulated housing markets in Europe. It is a paradox that in a country, how much else is a public responsibility, we do not have a clearer political position of responsibility for securing people somewhere to live. For the Workers' Party, housing is just one of the four pillars of welfare policy, together with education, health and labour policy. Altogether, these are the basis for everyone to create a good life. Now there are five million people living in Norway, and the population is growing rapidly, fortunately. The forecasting centre calculates the need for new dwellings each year to approx. 38 000. In recent years, housing has been well below this level. The housing shortage, combined with a low interest rate, high wages and good access to credit, has given rise to high price pressures in the housing market. In a few years, housing prices have increased significantly, and there is no indication that there will be any other development. Both nationally and locally, there is a need for a clearer location of political responsibility for housing. Today, responsibility for housing is fragmented and divided into several government councils, several commissions and different levels of government. In addition, no one has a clear responsibility for the provision of housing. Local authorities must take greater responsibility for meeting population developments in their own municipality. At the same time, municipalities feel that the state, in its many divisions, limits the possibility of taking this responsibility. The Labour Party wants municipalities with offensive and forward-looking housing policies to meet a country that is positive and cooperative and acts as a coordinated and constructive partner. We must both make stricter demands on the municipalities and at the same time give them the freedom to develop their own areas. Then I have to make a comment to the representative Borghild Tenden's hopes that the banks will help to curb the growth of loans. In my opinion, there is a hope that I don't think will be fulfilled, because the banks earn money on loans, and the main purpose of the banks is profit maximisation over time. That's to the extent that a good purpose, that's, but then there's no limitation in lending that's their main focus, it's the opposite of borrowing as much money as possible.
ParlaMint-NO_2012-05-24.ana.ud1972e1017	Michael Tetzschner said in his post that he looked forward to receiving a housing message marked by new, exciting thoughts. Then we must also have a discussion about the existing system of deductions or tax regimes. We were both in a panel debate a few weeks ago, and then it was the chief economist in First Securities, Harald Magnus Andreassen, who largely pointed out that there are no offers that are the main cause of the problematic price and cost growth. There are two main reasons: it's simply that very many of us have good private finances and then it's the existing deduction regime. So let's take that debate. I didn't say SV would remove the interest deduction. If we're going to put a roof, it's probably something that needs to be done over a long period of time. So I think that debate really welcomes many of us. As far as BSU is concerned, I think Geir Jørgen Bekkewold has a very good point when he says that compensatory measures are needed here. On the one hand, it was very understandable that this equity requirement came, but on the other hand, we see very clearly that it has some unfortunate consequences for those we just need to pay particular attention to, those who really have problems getting into this demanding market. In that case, it is an instrument that should be considered to strengthen, and it is a start-up loan. So that's how I feel about the background of what the Left does, making it an instrument that reaches so many, and reaches so wide. So if at the same time this is going to catch up with those who really need it, a lot of money has to be raised into the start-up loan scheme. So a little bit more about BSU. What is the problem with the existing tax deduction regime and with the BSU regime is that it is primarily those of us who have money, who have the ability and economic ability to save and invest, who get help. In this sense, strengthening the BSU, which in itself can be good for those who are able to make use of that scheme, will not happen to those who have problems already entering this market. That's what Roger Schjerva refers to, that statistics show that it's the ones that have the highest income and wealth, that already use the BSU today. And if we strengthen BSU, it's essentially the same target group that we also reach in this way. For example, in the case of the Left's proposal: the proposals No 11 and 13 proposed by the Committee on Housing, so they're completely unproblematic. But the proposal about the House Bank – to split a good competence environment into 429 smaller units – is something we do not take the chance to do.
ParlaMint-NO_2012-05-24.ana.ud1972e1030	This is a rather interesting debate. First to two important points: the reason we have a housing market in Norway is that people in Norway should have a good and safe place to live, and the main feature of the housing market and housing prices is to provide enough housing. In order to achieve the targets for the first point, it is important that we have a low-entry housing market, where the costs of housing are evenly spread beyond the period of residence. In Norway today, it is typical that it is the opposite. You have a high entry threshold, and after you have managed to become owner, you have low costs. The high entry threshold is mainly due to the high housing prices, but also to other things, such as the 15 pst rule and various document requirements. With regard to the Committee's comments, I note that when it comes to the 15 p.m. rule, the majority is very concerned about the equity of the housing owners, with reference to financial stability. When they later comment on the removal of the document fee, this is no longer so important. If a owner of a dwelling first buys a dwelling, then to sell it immediately afterwards at the same price as the person purchased the dwelling, the person will have lost 2.5 pst. of its equity. So it's hard to see that it makes sense to increase the equity requirement by 5 pst. where the justification is financial stability, while using the document fee to weaken the equity of the housing market by 2,5 pst. If the document fee had been removed, one so funded had half the increase in the equity requirement. I also think it's a cross of thought that the government parties are blessing the Financial Supervisory Board's requirements for 15 p.m. equity on the purchase of a dwelling, but at the same time will not increase the ceiling on housing savings for young people beyond NOK 150000. So it's interesting if some of the people who are opposed to the increase in the BSU limit can tell me how many places in the Oslo region you can get a dwelling of 1 million. NOK, because that's exactly what you say: NOK 150 000 is enough in equity. As regards the 15 p.m. requirements of the Financial Supervisory Authority, I think individual assessments should be opened up here. So this is a private bank that wants to lend a loan to a borrower. For example, I want to do this. believe that a newly-trained engineer, who has his whole life ahead of him, may have a slightly better ability to pay than, for example, an unskilled 50-year-old, who has incidentally managed to save a few dollars in a few years. Otherwise, Gjermund Hageseter has taken up a number of points that show what increases the housing prices, so I'm not going to get into all of these regulations here. My conclusion is that it is the politicians and a bit of excessive bureaucrats who are responsible for the rising housing prices.
ParlaMint-NO_2012-05-24.ana.ud1972e1047	This has been an interesting debate because it so clearly gets the differences between us in what we think is right to do, despite the fact that we have a fairly similar understanding of reality at the bottom. I will comment on some of the contributions, and first let me start with Borghild Trend's articles about the House Bank, which I must say I was a little confused by. Moving all the tools of the House Bank to other banks I can understand is nothing but a closure. Housing-social instruments are largely managed by municipalities today – in the case of start-up loans, housing aid and start-up grants. The House Bank is an important partner for municipalities in this work, with specific competence and with the various support schemes they manage. It's this partner left now wants to take away the municipalities. I do not understand that it can have other effects than that it affects young people and disadvantaged people particularly hard. In addition, it means that residential purposes must compete with all other purposes in Norwegian municipalities and that the unique and unique environment of the Husbank will disappear. What is most important to young people's ability to settle in their own homes is a responsible policy that ensures that people have jobs and avoid unnaturally high interest rates. In addition, more housing needs to be built, and we need to achieve a better balance between supply and demand. Several have criticised the requirements of the Financial Supervisory Authority for equity. The Progress Party and the Left, as I understand it, will vote in favour of proposals whereby the Stortinget transforms the decision of the Financial Supervisory Authority. It is an irresponsible proposal. If that's something we should have learned from the financial crisis in the United States, it makes sense to supervise the banks and control the credit market. The OECD presented its report on the Norwegian economy on Tuesday. They say a lot of things. Much is good, Norwegian economy is solid, but two things concern the OECD. One is housing prices, the other is indebtedness in Norwegian households. 12 pst. Norwegian households have liabilities of more than six times annual income. We have to take that seriously. Facilitating increased borrowings for people who can't serve debt is not the way to go. The representative Bekkewold takes up the House Bank and asks why the Workers' Party did not vote in favour of the Christian People's Party's proposal. In 2011, we also adopted a loan framework for the House Bank of 15 billion. kr. It was later extended to 20 billion. kr, because the need was there. Similarly, for 2012, we decided that the framework is 15 billion. kr, and asked the government to return to Stortinget with proposals for enlargement if necessary. Finally, I just want to say that I am pleased that the representative Hagen mentioned the imbalance in the rental market. The rental market is a very important part of the housing market. In fact, Norway has the lowest proportion of rented dwellings in Europe, and we need more. The municipalities also have an important task here, and it is a crossroads that where the need for rented housing is greatest, in Oslo, the offer is being reduced, thanks to political decisions in Oslo City Council.
ParlaMint-NO_2012-05-24.ana.ud1972e1062	This is a very important issue to debate, but even more an important issue to find solutions to. Having seen a lot of writing in the media from the Workers' Party about the housing committee they put down, which was supposed to look at the issues, I am surprised that the Workers' Party does not use this opportunity to promote any suggestions for solutions, but instead chooses to vote against all the proposals, both those which the Advance Party originally promoted, and also those which have emerged on the occasion of the case. Then this housing selection appears only as an alibi and not as a solution shop, and there are solutions that we now need. One gets the impression that here's the market that's failed, that's this frail market with free players who don't do the job, and now the state is going to come and clean it up. It shows a little that someone doesn't understand how the market works. This market depends on both the providers of housing and on those who demand it, and the demand for housing is quite free. People can buy homes and live where they want, and that's important. But when you look at the provision of housing, it's heavily regulated through government demands, through regulation plans and stuff like that. In that case, the municipalities are largely not the ones that fail, but the state rules are the ones that are being printed on the municipalities. I'm from Rogaland. The municipality of Sandne has rapporteur from the Labour Party. In Stavanger Aftenblad on 3 January you could see what the new year's date for the Sandnes rapporteur contained. He said, ‘The development of around 60,000 people over the next 30 to 40 years is at stake following strong opposition from the county council to the east of Sandnes and the town band south.’ So one has plans to expand many, many thousands of homes in this area into a growing region, but one is not allowed by the State's extension arm, the government's extended arm. This is about how one defines real policy, and how one defines many other things. Then the politicians must start to look at the demands we make from this house, which the government must follow up, not start to owe on a market. Some of the previous speakers have given the impression that the requirements here are not what drives the price level. Well, you make stricter demands, which make it more expensive to expand, you don't build out until the market price is at the level where you actually make money on it. It's pretty simple. Some people say that we in the Progress Party are bad because we don't want universal design on absolutely every apartment to be built. We're doing this because it's going to be a little bit more than a little bit more than a little bit more than a little bit more than a little bit more We want it to be possible for ordinary people to have common dwellings, and then there should be universal design on some dwellings. If the red-greens claim that this does not incur the costs of ordinary dwellings, then why do they have the same requirements except student homes? Obviously, it has to be because they see that this is expensive. Why do you think this is expensive for student homes, but not for ordinary homes? So the red-greens have a lack of logic that makes this not related. Then we get the results we now see – a sharp increase in housing prices, while a person is looking for patches on the wound instead of doing something about the cause of the disease.
ParlaMint-NO_2012-05-24.ana.ud1972e1080	It's interesting to follow the debate in the hall today. Of course, it is also the case that the proposals that have been made on the table are something that I would like to take with me as responsible for housing policy. Yes, it is that the tax policy is in the Ministry of Finance – I don't think it is changed with the first – and the planning part of the planning and building laws is in the Ministry of Environment, but housing policy lies with me. Therefore, I will present two big messages this year, which will show the government – i.e. both the Workers' Party, SV and the Center Party – its housing policy. Therefore, it is also natural that the Labour Party, which was asked for in a previous article, should put its proposals into that work and not bring them here today. We're actually in government. Why is it an exception for student housing, ask the representative Solvik-Olsen. Well, a student building uses one for a limited time of life. Most of us study while we're young. Very few people live in a student housing for older years. It's not like all of the housing needs to be prepared for the traffic jams. But a certain part of them should be that. There should be access to all the terraces, to a toilet and so that one can visit friends and friends, but all the dwellings do not need to be available. It makes sense that it's like this, there's no failure in logic from the government's side. That's logic. When we get older, on the other hand, when we have more problems with being completely functionally healthy, many of us will need furnished housing. Then such apartments will be requested. And then we're going to build them now – because it's smart – instead of building them again later. Today, I'm remodeling. The state is giving way to the conversion of existing dwellings for the elderly because many who could otherwise have offered homes cannot do so because of high doorsteps, for narrow doors, etc. It is then quite good social economy to facilitate that the housing we build today is organized, so that both I and everyone else in the hall here and the rest of the population can use the same housing throughout their lives. There are many aspects to this debate. I thought it would be quite one-sided if one just pointed to the housing supply as a problem. It's also true that what's great about this society, we have a lot of people in work, low unemployment, high incomes, high incomes and good capital, makes many people invest in the housing market. I don't have a number of how much it is, but we can't leave it alone and say that housing hasn't been an investment object, because it's been too many. We subsidize by over 50 billion. kr per year. Of course, it also has some impact on the market and how it works.
ParlaMint-NO_2012-05-24.ana.ud1972e1093	I can give the Council of State to Navarsete that it may be side-motivation for someone by buying a dwelling, that is, that one also sees it as a money placement, and that for those reasons there may be some overinvestment in a dwelling. The best way to counter this is to eliminate taxes on wealth, as other forms of savings will also be equalised. Today there are considerable benefits related to housing investment. What made me want the word again was the contribution from the representative Haugli, who was in charge of the Financial Supervisory Authority's increased equity requirements. In the debate, there is a tendency to forget that, in addition to the increased equity requirement, there has also been a tightening of the importance of what is used to assess the equity requirement. In the past, only the lending rate of the house you were going to buy was seen, and now you're also drawing other debt ratios, such as unsecured loans and consumption loans, into the overall assessment. There's a tightening up that can be good reasons to defend. Now this is not the problem with the indebtedness in this part of the housing market, because there are people coming in. I think it's quite unreasonable that it's those who are going to carry the whole weight of the equity requirement, while the rest of the housing market, where people take proceeds from a previously sold apartment on, will not feel any contraction – if that was the intention. I also want to say that the option to deny people loans with equity claims of 10 pst. is that they are in contact with the municipalities, where they must then ask for a start-up loan, which, as is known, has a zero equity requirement. I don't know, either, if you see the housing sector as a whole, if there's any contribution to the soundness of housing funding that you push people because they don't get 15 pst. equity coverage. Then they are pushed over to forms of loan where no equity is required at all. Finally, I just want to explain why we cannot support the proposals of the Progress Party on Financial Supervision, which, of course, addresses the same issue: 10-15 pst. equity. That is because what has been said is that the Financial Supervisory Authority should have an advisory function, and we cannot agree to that. We're going to have a financial supervision that is so that when they decide to tighten them up, they have to be followed.
ParlaMint-NO_2012-05-24.ana.ud1972e1106	I think this has been an interesting debate in which the lines of policy have emerged quite clearly in some speeches. I also think that the government party clearly admits – at least indirectly – that the policy that has been pursued over the last few years has not been successful in building enough housing, has been given sufficient space for housing construction. Nevertheless, I have not registered any new measures, no new solutions that will allow this to be improved in the future. On the contrary, there is an impression that the policies that have been pursued will continue, new state-level detailed requirements for energy efficiency, dense construction and passive houses will emerge – the last of which is feedback from the industry that they use relatively much effort to adapt, and there are, of course, forces and resources that result in fewer housing being built. We also get feedback that it becomes so complicated that there are many smaller builders who will have problems adapting to the new requirements and who cannot produce houses for the future. When it comes to universal design, the Council of State believes that there was no paradox in making an exception for student buildings, because there should only be a short time. I can only say that when I studied law in Bergen, I did not bid in a student building, but I bought an apartment in an ordinary block in Bergen. She was at 28 m2. There I didn't plan to stay that long, I had plans to stay there while I was studying, which I also did, at least most of the time I was studying. There was a small kitchen, there was a small shower and a small bathroom, and then there was a living room that was used as both a bedroom and a living room. I can promise that it was not possible to get any wheelchair into that apartment. Such an apartment can no longer be built because one sets these universal design requirements in all apartments. One has no lower limit. Returns from property brokers show that those who have wheelchairs, those who need universal design, do not ask for the small apartments of 30-40 m2, those who want apartments that are much larger. I would once again ask the Council of State to reconsider its view of that area.
ParlaMint-NO_2012-05-24.ana.ud1972e1125	The next speaker is the representative of Håkon Haugli – Haugli is the rapporteur on the matter and therefore has 3 minutes of speaking time.
ParlaMint-NO_2012-05-24.ana.ud1972e1128	I'll be brief. It was Mr. Ketil Solvik-Olsen's contribution that made me redraw. It is nice that the Political Spokesman of the Progress Party participates in this debate, but I think it is clear that he has not followed so closely, and would like to ask some questions that I hope he can answer when he gets the floor after me. I hear that Solvik-Olsen's explanation of rising housing prices is regulatory requirements, in particular the requirements for wheelchair access. Then I would like to know, if this is the case, why is it that in geographical areas, where the construction costs are the same, the housing prices are very different? Why is it that housing prices are rising significantly more than construction costs? And why is it that used dwellings have increased as much as new dwellings, used dwellings that are not covered by wheelchair requirements? In addition, I have a different and more fundamental question to the Financial Policy Spokesman of the Progress Party: is it only in this case that politicians should review and review the assessments of the Financial Supervisory Authority, or is there any other matter where the assessments of the Financial Supervisory Authority should be set aside because of disagreement with them? Does he agree that the Financial Supervisory Authority is doing an important job that is critical to supervision of the financial market, or should it be up to us here in this Chamber to make own assessments of what is right to do?
ParlaMint-NO_2012-05-24.ana.ud1972e1142	I mentioned that red-green politicians lack understanding of the market. This is why one of the problems you have now; one believes that one can regulate himself out of the market instead of ensuring a better balance between supply and demand. That's precisely why old dwellings increase as much in price as new dwellings, because there's so much shortage of totality of dwellings that a promise used prices for old dwellings. The level of cost of building new ones is so high that regulation is adopted that a waits to expand. Then it means that one builds out what is bill equivalent to the market price, but it also means that the houses around, which are of similar size, etc., also increase in value, because the demand is much larger than the offer. This is fundamentally about supply and demand. That's why the Progress Party argues that if one had made it easier to build some smaller homes and had not had universal organization requirements in absolutely everyone, one would clearly meet the need for housing for more people. Then a better balance in the market would be obtained, and then one would also see a greater difference between new and old dwellings in terms of pricing. It's that simple. It is just to look at some countries where one has tried to regulate, for example. availability of cars. When there is a total lack of cars, one is willing to pay very much, even for older cars. Eastern European countries, with which some parties have had very good contact, are examples of this. When it comes to universal design, I also want to say that people move a lot. It's not like the home that people buy when they end up in college is the home that they get old in. Therefore, it is important to have a diversity in the market. It is a good social economy to ensure that access and the common area are organised for all, but it is not necessarily a good social economy to ensure that 100 pst. of the housing stock is adapted to any foreseeable purpose. Then one will invest a lot in needs that will never occur. It is therefore necessary to vary the requirements of the private housing market. It's important here to make sure that people actually manage to get into the housing market when they're young. There is no point in having a dwelling where you can live from 18 to 72 years old, or 80 years old, if you can't afford to buy when you are 18, or 25 years old – that's the problem. The government has not intervened. In the case of the Financial Supervisory Authority, the Right decided at their national meeting that they would remove the requirement of 15 p.m. equity to obtain housing loans. Then I do not understand why the Right cannot support our proposal. We believe that the Financial Supervisory Authority is doing a very important job. So far, financial supervision has advised not to lend more than 90 p.m., but they have been very flexible in terms of banks. Now it's become a very strong demand for 85 pst. And we see in today's Newspaper that it makes some people take up consumption loans instead. That's the worst and stupidest way you can finance your home. But that is the result of housing policy and the policy now implemented by the Financial Supervisory Authority.
ParlaMint-NO_2012-05-24.ana.ud1972e1156	I do not want to extend the debate, but it was the case rapporteur who made me take the floor. I simply believe that the rapporteur must accept that we in the Left want both this reorganisation and that the municipalities should be given greater responsibility, and that we want to build up their competence locally. I am a little surprised that the rapporteur has no more faith in local forces. It's local you know the challenges best. Then he mentioned the concern of the first-time starters. I said in my post that we want to establish that even the initial starters must be an independent category in order to come under the scheme. The way we see it, it seems the opposite. This is an advantage for the early starters.
ParlaMint-NO_2012-05-24.ana.ud1972e1163	I couldn't avoid taking the word when I hear all the posts. First of all, I think we can agree that we have a high economic activity in the housing market, and that the high housing prices are increasingly due to higher housing costs. If we can agree on this, the measures taken by the Financial Supervisory Authority will not remedy the problem – they will reinforce it instead, and we see more examples of this now. The trend of rising housing prices is mainly due to two — or more — ratios: constant growth in construction costs over a long period of time, but also to the fact that we have a huge population growth, especially in large cities. More people want a place to live. But then we see politicians and superfluous bureaucrats putting obstacles in the way of where you can build. You are not allowed to build in forest and land – the debate on the land border is a famous and well-known debate outside Oslo’s borders as well. The same is true of Drammen: you're not allowed to build in cultivated land. Then the farmers come and will take us. Then we have the beach zone. So even though we're a long-distance coastal country, with a lot of coast, it's not allowed to build in the beach zone either. There are many debates about not being allowed to build the height either. Of course, it affects housing prices. At the same time, more and more of the existing building stock is being protected and saved, so you can't tear and build a new one. Where do you want to build? Of course, it affects market prices. Another thing is that in the big cities, for example. in Oslo and in the Drammen where I myself live, is one of the major cost drivers for higher housing prices requirements for parking. If you are building a new dwelling or apartment in the big city, you will need a parking space. Although on the other hand – other politicians, especially environmental politicians – you say: No, you prefer not to have a car, you have to use collective services. A little contradictory, you ask me. As far as construction costs are concerned, the problem is not the single good intention, but the sum of it all. Then we have the House Bank. There is no requirement for 15 pst. equity. The taxpayer must therefore be the risk takers. Who is it the House Bank lends? It's the disadvantaged in society. But there is no requirement that there should be a credit check on those applying for a loan from the House Bank. That should worry more politicians. It was also a matter of market failure. Obviously, I'm not going to get into that right now. Student housing is exempt from universal design requirements. There is, of course, an almost monopoly – only student partnerships are receiving state subsidies to build student housing. But there are many others who want to have a home where they only live in shorter periods. Someone buys, and sells when they move, and some tenants. So if you hire someone, someone owns it and has built it according to certain state requirements.
ParlaMint-NO_2012-05-24.ana.ud1972e1180	I'm going to be brief, there are some civil representatives here who say that we don't have time for this. But then the civil representatives also had to refrain from providing incorrect information to the Stortinget. So it was representative Jørund Rytman's posts that made me take the floor. He stands here and claims that the largest cost driver for housing in the municipality of Drammen, which is also my municipality of residence, is the requirement for parking. The history of housing policy in Drammen: I purchased a housing flat with contributions of NOK 50 000. Then Kåre Willoch joined the government and felt very sorry for me, who could not sell it for three times as much as I had bought it for. During the night, the price of that dwelling increased to NOK 150 000. We continued to have the aftermaths of a workers' party government in the Drammen, which had an active housing policy, which actively bought up land, organized under municipal control, had a target of building 450-500 homes a year – need-driven – and which made sure that ordinary people with normal incomes could afford to get a home. When the bourgeois took over the management of the Drammen, it was over. Then housing policy was based on agreements with private landowners, and it was over building dwellings in the Drammen for a very long time. Now, as Solvik-Olsen's representative actually says, it's the imbalance between supply and demand that drives prices in the weather. I still live in housing law – I paid NOK 540,000 in deposits. Now they're going to go about three million. kr. The housing policy of the citizens of my municipality for many years – which is about letting the so-called market run, leaving the profits of private landowners who govern the number of dwellings to be built – has led the youth of the Drammen to the point of being priced out of town. It is the story of the housing prices in Drammen – not the parking spaces.
ParlaMint-NO_2012-05-24.ana.ud1972e1195	The representative Jørund Rytman has spoken twice before, and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2012-05-24.ana.ud1972e1198	I think Lise Christoffersen might just have heard the one sentence that I had in my post. I and several of my co-representatives have framed many reasons why the sum is getting bigger. When it comes specifically to parking spaces, I think maybe I am the one in the Drama who has experienced it very closely, as I have actually experienced that claim myself. I can just ask Lise Christoffersen to take a check on what the market price for a parking lot in the Drammen is. It'll probably depend a little bit on where in the drama center it is, but it will vary between $100,000 and $20,000. It comes on top of the purchase of the apartment. It's not vision; it's a fact. For my own part it is that when I was going to turn a rough ceiling into two apartments, I was required to buy two parking spaces. This is what it says!
ParlaMint-NO_2012-05-24.ana.ud1972e1205	The representative, Mr Solvik-Olsen, has spoken twice earlier in the debate and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2012-05-24.ana.ud1972e1208	I think Lise Christoffersen's posts were good at one point, where she confirmed that there is the imbalance between supply and demand that is the driver in the prices we see now. When I claimed it in my previous post, the case rapporteur sat and shook his head vigorously and disagreed very much with it, but it is good that someone understands how the market works, and how it affects. My main argument is that it is still a fact that state restrictions on access to land and state intervention in how the buildings are to be built are driving costs up. Then we have to do something about it; don't sit down and talk about how to fix the problems that arise with a failed policy at national level over seven years of coming with rental homes and all this. I'm not against rental homes, but that's not the cause of the problem. The cause of the problem is, in short, that one has had an environmental protection minister named Erik Solheim, who has tried to stop everything because he is to protect the fiddles – to put it simply, but very true.
ParlaMint-NO_2012-05-24.ana.ud1972e1215	The representative, Michael Tetzschner, has spoken twice earlier in the debate and is given the floor for a brief comment, limited to 1 minute.
ParlaMint-NO_2012-05-24.ana.ud1972e1218	A somewhat unusual tribute came to the housing market before it was deregulated in the 1980s. Then the representative Lise Christoffersen must be a very rare bird, for there are very few who have wanted to return to the arrangements they had at the time. I remember that large groups of buyers were then made criminals – in and of themselves the sellers – by demanding and receiving money under the table. Then there was an official price – and politicians could say it was because of the successful housing policy – while everyone who was looking for housing had to go into the grey market and find money. So it was that you got all this up on the table that liberalized and also reorganized that kind of questionable turnover. My question to Lise Christoffersen is: does she really want the regulated housing market back? It's very interesting to get answers.
ParlaMint-NO_2012-05-24.ana.ud1972e1225	I just drew myself to reject that I've shook my head, because I haven't shook my head. On the contrary: I share Solvik-Olsen's analysis 100 pst. It's the distance between supply and demand that drives the housing prices. I also said that clearly in my main post. The difference between us is that this price challenge is something that Solvik-Olsen thinks is due to wheelchair demands and not the total sum of an too low offer and a lot of demand. As I said in my main post, in recent years we have experienced strong population growth in combination with a slowdown in the housing market. Fortunately, it's about to turn around. That's what's the basic challenge. I didn't shake my head.
ParlaMint-NO_2012-05-24.ana.ud1972e1232	The rapporteur then denied his dissatisfaction, which was therefore no dissatisfaction. We will continue on the list of speakers – the representative Lise Christoffersen.
ParlaMint-NO_2012-05-24.ana.ud1972e1238	I just want to correct an obvious misunderstanding. It is not just the civil representatives who have a bad time: the Labour Party has called for a meeting, so I am going to be even faster now than I was. I just have to answer the question from Michael Tetzschner – do I want to go back to the regulated housing market? Yeah, but I'm afraid it's too late. The situation that Michael Tetzschner describes, we did not have in Drammen – I told the story about the development of housing prices in Drammen – because there were the rulers in the housing laws who decided who would be bought. So all the times I bought a housing flat in the Drammen, I have not been able to pay – or have been charged – money under the table, because it was not the buyer and not the seller who made that decision – it was the rulers.
ParlaMint-NO_2012-05-24.ana.ud1972e1245	Then it looks as if the housing conditions in the Drammen in the 1970s have been clarified, and we can end this debate. Several have not asked for the floor on case No. 5th@item: inlistbox
ParlaMint-NO_2012-05-24.ana.ud1972e1261	No one has asked for the floor.
ParlaMint-NO_2012-05-24.ana.ud1972e1267	The cancellation goes to voting on the matter on today's map.
