ParlaMint-NO_2012-11-21.ana.ud530e26	The representative, Per Arne Olsen, will put forward a proposal for a representative.
ParlaMint-NO_2012-11-21.ana.ud530e851	Thanks for the answer. I think it is positive that the Council of State has addressed these issues. Access to skills and labour is, for many enterprises, a major bottleneck and a major challenge, especially in Rogaland in terms of labour market pressure there. The company now mentioned has not had permits for 15 to 20 years, and it is clear that it is important for this company to maintain competence. I hope that the Council of State can see that the practice that has been and that we are now hoping to have a change in can lead to companies having to make greater use of temporary employees instead of permanent employees. I hope that the Council of State also sees that in the event there would be an unfortunate development for Norwegian working life.
ParlaMint-NO_2012-11-21.ana.ud530e856	Now it is precisely this business in Bjerkreim and some others that is the starting point for this review because it may have been previously too liberal practice in terms of the legislation that has been, but that practice has been consistent with what has been the political leaders. If it is that it has been more difficult to get a daily allowance, then there has not been any change that we have wanted to make, and therefore it is necessary that we look at whether or not the legislation needs to be amended.
ParlaMint-NO_2012-11-21.ana.ud530e861	What I read from the Council's response is that a review of the complaints from 1 January 2012 has been rejected and that these can then be converted. Does this also mean that those who have been denied a day’s allowance can later receive these payments? It is clear that for those who have to be without income for 12 weeks — often this will be about young people in an establishment phase, who would like to end and interrupt housing savings for young people and other things that have quite significant consequences for the individual — it will mean much that they may have a expectation that if the decisions are revised, they will be able to have the daily allowance for the period they have been licensed.
ParlaMint-NO_2012-11-21.ana.ud530e866	The answer to that is yes. If decisions are taken, the money will be refunded.
ParlaMint-NO_2012-11-21.ana.ud530e875	‘The Government has promised the railway promises of the times. At the same time, we see that professional workers in Baneservice have to be cancelled because of a cut in the maintenance funds, and private operators report that they have to wind up if it is not soon to be more jobs to compete for. For example, on 12 November 2012, the VG states that no pick-up is to be carried out throughout 2013. The lack of maintenance is poor operation. Several delays may result. Why has the Railway Agency cut so significantly in maintenance funds for 2012 and 2013, and is this something that the Council of State accepts?’
ParlaMint-NO_2012-11-21.ana.ud530e882	The Government’s proposal to grant the railway for 2013 corresponds to an increase of approx. 1.4 B.C.E. kr or 14,3 pst. in relation to the 2012 balanced budget. The increase in appropriations is intended to finance the rational continuation of investment projects under way and the further planning of Follobanen as well as its operation and maintenance. It is appropriate that the proposed maintenance appropriations for 2013 are slightly lower than the corresponding 2012 allocation, which was a historically high level. However, for the whole 2010–2013 planning period, the total appropriations for operation and maintenance are approx. 2 billion. kr higher than the operational and maintenance planning framework for the first planning period in NTP 2010–2019, or – in other words – an overall follow-up of 110 pst. in relation to the planned framework adopted. For operation and maintenance, a little at the top of 5 billion has been proposed. kr in 2013. That is about the same level as the 2012 budget. The budget is divided by a little over 3 billion. NOK for operation and a little over 2 billion. kr for maintenance. This implies a reduction of 14,5 pst. for maintenance in 2013 compared to the 2012 ageing budget. The reduction is due to the fact that in 2013 there will be a need to significantly strengthen the railway works’ operating budget. There is a need to increase the level of activity in several areas, in particular traffic management, winter preparedness, development of competence, rail recruitment, public information and planning. Within the proposed maintenance appropriations, which are still of a high quality, i.e.: approximately 2 billion kr, the Railway Agency has, on a professional basis, prioritised measures which, in the view of the department, give the best effect in the short term in order to have an infrastructure where trains can walk safely and where they can proceed according to the timetable. The Ministry of Transport sees no reason to overestimate the level of assessment of how best to dispose of the funds.
ParlaMint-NO_2012-11-21.ana.ud530e893	Thank you for your reply to the Council of State. From the answer it sounds as if I should be very satisfied. What I hear, however, is that the government spends money on investment, but so let the rails fall due – will build new ones, but let the rails fall due. The size has increased annually the transfers to the Railway Agency for operation and maintenance, but much indicates that the money disappears to other things in 2012 and 2013. It's about two billion. kr for maintenance from the State budget, that is also said by the Council of State, each year in 2012 and 2013, but the acquisition calendar of the Railway Agency estimates acquisitions in the first half of this year of 130 million. Total kr. So when the government then promises the railway launch of the times and at the same time deprioritises the maintenance on the railway, I think it has to be cleaned up. The alerts on termination and non-compliance of operators because there is a drought in the market require their explanation.
ParlaMint-NO_2012-11-21.ana.ud530e898	As I have mentioned, the level of railway operation and maintenance has been historically high in recent years – at the same level in 2013 as in 2012, but in 2013 a priority has been given to the operations side to a greater extent than to the maintenance side. The priority of the operational side includes, inter alia: to have good traffic management and to have good winter preparedness. It is also necessary to ensure that railway disciplines are maintained and that there is good information, not least to the new base route model, which is now coming into force soon, and that there is sufficient means of planning. This means that a choice has been made with regard to the prioritisation of operations in relation to the prioritisation of maintenance. It is, in the opinion of the Railway Agency, a correct priority, and the Ministry of Transport will not review it in any way.
ParlaMint-NO_2012-11-21.ana.ud530e903	Thanks for the answer. I still hear that the government promises gold and green forests, but that the railway works fail in delivery. It will be expensive to downgrade maintenance, such as: doll cleaning. Then the government pushes a very high bill ahead, and the regularity, accuracy and operation of the railway suffer as a result. The railway works cannot comply with existing contracts for maintenance work – there is now feedback in the press. For the Skills Myr contract, the railway company has asked for the last 50 million kroner. The contract will be paid out in 2014 and you cannot pay today. Baneservice cancels 30 to 50 trade union workers, and in 2013 no funds have been allocated for pick-up cleaning, which should be done every year. So the track partner says they have no contracts to compete for on the whole Sørlandsbanen. Drying in the market, down-priority maintenance, and we're on arrears with the maintenance already.
ParlaMint-NO_2012-11-21.ana.ud530e910	The appropriations made by this government for the operation and maintenance of the Railway Agency have been historically high and higher than any government before us. Within the proposed maintenance appropriations of more than 2 billion. kr, the Railway Agency has, on a professional basis, prioritised the measures which, in the opinion of the Authority, are most effective, both in terms of safety and in terms of compliance with the timetable. I have to leave to the Railway Agency as a specialist body to assess what is the correct use and disposal of the available funds. It also applies to impacts and capacity, e.g.: in the case of ballast cleaning, which is one of the areas in which they have a contract with Baneservice. Of course, in the Ministry of Transport, we could overestimate that priority, but I think it is wrong to ask the Railway Agency to re-prioritize or deprioritize operations or other maintenance tasks to award contracts to a company owned by the Ministry of Transport. For the rest, track service is a company that has also had a long-term low profitability and where the market potential and the volume of its operations have been lower than expected.
ParlaMint-NO_2012-11-21.ana.ud530e919	I would like to ask the Minister for Agriculture and Food the following questions: ‘The economy in the forestry industry is relatively poor at the moment. This is due to both high costs and low prices. What will the Council of State contribute to increasing the competitiveness of our neighbouring countries and thus contribute to a better economy for industry?’
ParlaMint-NO_2012-11-21.ana.ud530e928	Norway has significant renewable forest resources. Forestry is an important district industry with a high economic importance nationally, regionally and not least locally in Hedmark. In total, 25 000 people are employed in the forest and wood industries, and in 2010 the forest industry in Norway had a turnover of 44 billion. kr, corresponding to 5,8 pst. of turnover in Norwegian industry. Forest industries operate in a free market and are exposed to competition both in the domestic market and in their export markets. The economic situation in Europe is an important reason why industry is now facing major market challenges. The best thing we can do for this sector in the future is to ensure predictable framework conditions and to pursue the economic policy of this government. In addition, the forest sector is one of the truly large transport users in this country. The focus of the red-green government on road and rail development is therefore of great importance for the competitiveness of the forest sector. According to the Norwegian Forestry Association, only the improvement at Åsta Bru in Hedmark has a value of more than 2 million. kr annually in reduced costs. In addition, the Red-Green Government has implemented a number of measures in the field of forest policy that contribute to increasing the competitiveness of forestry in a challenging market situation: The Forest Fund Scheme was significantly improved in 2007 by increasing its tax-free share and by extending its scope. An action package was launched in the revised national budget in 2009 of 70 million. kr for bioenergy, establishment of an energy tile scheme and increased framework for a three-tier innovation programme. This helped to mitigate the negative effects of the financial turmoil on employment and value added. The subsidy framework for forestry and bioenergy has been increased from approx. 203 million. kr in 2005 to approx. 340 million. kr in the 2013 budget – an increase of approximately 137 million. kr. Three-based innovation programmes have been pursued with full strength and contribute to increased wood use and innovative wood-based production and applications. An action package was implemented in the revised national budget in 2012 targeting actions for a hard hit woodworking industry, a total of 100 million. SEK, of which 50 million. kr to R & D, innovation and conversion actions from the Ministry of Industry and Trade budget, and 50 million. to increase the availability of forest resources through strengthening investments in quays, timber terminals, forest roads and cableway operations above the budget of the Ministry of Agriculture and Food. I focus on a further follow-up of the Report. St. 9 for 2011–2012, Agriculture and Food Policy, Welcome to the table, where the government helps to strengthen a number of forest, wood and bioenergy measures, as well as environmental efforts. Together with a sensible economic policy and a strong commitment to transport, the government provides a good basis for the forest industry to meet the market challenges we face. A sign that many people want to bet within forests by day is the great interest in buying the properties of Statskog, which is now being put out for a historically large sale.
ParlaMint-NO_2012-11-21.ana.ud530e957	I thank the Council of State for the answer. In the newspaper Nations, which I assume the Council of State reads, it says on November 13: «The import of timber products has increased by half a billion dollars to date this year. – Consumption is growing, but Norwegian producers lose market share, warns NHO.’ Looking at the figures, it turns out that imports of veneer, laminate and processed wood products are increasing – wood products are increasing, and wood loads are increasing. What doesn't increase is paper and cardboard, but it's quite natural when you need it less, for example. in newspapers. Isn't this number bothering the Council of State?
ParlaMint-NO_2012-11-21.ana.ud530e967	The forest and wood processing industries are highly competitive industries. Then I am very concerned that we are constantly going to be able to work on measures that ensure the competitiveness of the large and significant value chain that we have in the industry in Norway. My starting point is that there are two main measures that are the most important for the forest industry. One is transport and transport costs, that we need to have an offensive policy to reduce transport costs within the industry, among other things. with the restoration of Åsta Bru, as we do now, that gets down costs in the industry. The second is fiscal policy and fiscal policy is predictable. This was one of the major challenges in the period 2001–2005, including: the change in the average equation system several times over a short period of time, which created very unpredictability for the industry. In addition, the different grants are added. But the most important thing is transport policy and fiscal policy – economic policy.
ParlaMint-NO_2012-11-21.ana.ud530e972	I thank the Council of State for those comments. The countries we compete with and import from are not just low-cost countries. It's the rest of the Nordic region, it's Germany, but it's also low-priced as the Baltic region, for example, so it's both. To the Council of State replied: I fully agree with the idea of transport. I had that question last Wednesday, this about forestry and transportation. Forestry needs a good transportation network, there's no doubt about it. The other thing that I also agree with the Council of State — and the Council of State agrees with me, to say the same — concerns fiscal policy. We have recently seen that this is a part of the practice, for example. which is subject to very high taxes on wealth and property because of the machinery contained in a building. Another thing is the inheritance tax, for example, in order to get the next generation to take over. So we have a lot to deal with, and transportation and tax policy are part of this. So while a lot is being built and cleaned up in Norway, we still buy a lot from the rest of the world of these products.
ParlaMint-NO_2012-11-21.ana.ud530e979	We see different challenges for forestry in different parts of the country. The home state of the representative Bredvold and the undersigned have the advantage that it is close to the Swedish wood processing industry. This means that when a part of the Norwegian woodworking industry has faced challenges, there has been provision for quite a lot of mass work on the Swedish side. It illustrates how competitive Norwegian timber processing and Norwegian forestry are, because we do not receive a full stock disposal, nor is it profitable with the sawmill. So I just want to take a relationship in the end that we haven't been so much into, and it's going on in the general economic policy, because forestry is very affected by exchange rate changes. It has been a goal for the Centre Party to be able to hold back a little on the use of money over public budgets and not use the entire space for action within the action rule. We believe that the pressure in the Norwegian economy is high enough. There we have a different approach than the Progress Party, which wants to spend more oil money. We've been afraid that it would contribute to even higher exchange rates.
ParlaMint-NO_2012-11-21.ana.ud530e990	‘The various film festivals in Norway are financed mainly by taxes on the sale of DVD/Blu-ray. Developments show a sustained decline in these sales and therefore create challenges for the various film festivals. I am aware that the Ministry of Culture is working on alternative financing in the future. However, for the film festivals, the funding problem is acute, and the government does not change the state budget for 2013. How will the Council of State contribute to a solution for the festivals already in 2013 and predictability in the future?’
ParlaMint-NO_2012-11-21.ana.ud530e997	Film & Kino is responsible for the funding of the contributions to the various film festivals. The funds are distributed by an independent, wide-ranging festival support selection with Film & Kino as a secretariat. This system came into place after St.meld. No 22 for 2006–2007, the Wizard, also known as the Film Message. In the same message, it was decided that the scheme should be financed by the Norwegian Cinema and Film Fund fee. There was also something the Storting joined. From 2008 onwards, all the festivals that received funding from various public bodies received their support from the Festival Selection. The conversion made it easier for the film festivals to seek support, and that the festival support selection was independent gave the scheme legitimacy. It is right, as the representative Kambe points out, that the tax revenue of Norwegian cinema and film funds is being reduced. The fund income is derived from the videogram turnover charge. Since the DVD-salt has decreased significantly in recent years and has been replaced by electronic commerce, the revenue of the Fund has decreased. This has resulted in Film & Kino having a lot of distributions of revenue across all its posts, including the film festivals. However, the festivals have been significantly increased since the film release. This means that although the overall level has fallen slightly over the last few years, it is important to stress that the level of aid remains about twice as high as in 2007. The Ministry of Culture is now deliberating whether it is possible to impose a charge on the electronic movement of videograms. This will bring back the fund income of Norwegian cinema and film funds and contribute to more seniority for the film festivals and others who receive support through the fund in the future. With regard to the situation of the 2013 film festivals in particular, the Ministry of Culture in the 2013 budget presented the Kortfilmfestival in Grimstad and the New Nordic Films in Haugesund have partially re-entered the state budget. This means that there will be more to be distributed in the Norwegian cinema and film fund pot for 2013, and that will benefit the other film festivals.
ParlaMint-NO_2012-11-21.ana.ud530e1012	Thanks for the answer. I'm pleased with what the government has done, which I expect the Storting to join, in terms of the two film festivals the Council of State mentions. But it is a problem when the country's seven major professional film festivals make a joint letter to the entire cultural committee and say that for 2013 – despite getting more than in 2007, costs have increased since 2007 – nothing has been done. Because this is nothing new. The warning about the decline in DVD sales is not something that the department was told about just before Christmas this year or just before summer. This has been known for a long time, and so one has not managed to come up with an alternative solution that could actually have been implemented, for example. from the revised budget 2012, which had actually become effective in full from 2013. What is then my first follow-up question is: Has the Council considered putting support schemes under either the Culture Council or the Ministry's own support schemes?
ParlaMint-NO_2012-11-21.ana.ud530e1019	Some of the reasoning behind doing it this way, that one has a festival support selection, is that one thinks that the scheme one had before, where both the NFI and the Ministry of Culture also had to turn to to get support, was inappropriate. I feel that the Festival Support Selection scheme has a wide disintegration, but that the discussion is linked to their revenue and the possibilities they have for distribution. I acknowledge the point made by the representative, Kambe, that the cost side of the festivals looks different now than it did in 2007, but an increase corresponding to a double since 2007 is a considerable increase on that side. So I also think that the work done to clear out the possibility of introducing a charge on the electronic translation of videograms will have an impact on the total that the Festival Support Selection could distribute. That's what we want to do before summer.
ParlaMint-NO_2012-11-21.ana.ud530e1026	I am pleased to hear that the Council of State says that this change can be achieved from the practically revised state budget in 2013, which is now announced. We expect to see that. The council also noted that the Kortfilmfestival in Grimstad and the New Nordic Films in Haugesund have run into next year's state budget, helping to increase funding for the others. Another suggestion that has been made several times is that the Norwegian film festival in Haugesund has its own node function. The ministry has so far said no, but the impression is that there has been no more at the level of office than at the political level. My question to the new Minister of Culture, who was not at the meeting of the Minister of Culture at the Haugesund Film Festival in August, where the vast majority of former Norwegian cultural ministers and Liv Ullmann asked that this should actually happen now is: Will the Minister of Culture, for example. visit the film festival in Haugesund and launch that now is the time for node function there as well?
ParlaMint-NO_2012-11-21.ana.ud530e1033	I am happy to visit the film festival in Haugesund, but I can already inform you that I have no plans to distribute additional node status to other film festivals than the one that is happening today, which is the Short Film Festival in Grimstad. So I just want to stress in the context of the word exchange we had instead of the proposition that I imagine we'll put forward before summer at the charge of electronic translation of videograms: it's a proposition that I'm going to put forward before summer, I'm not going to decide whether this should be included in the revised version.
ParlaMint-NO_2012-11-21.ana.ud530e1040	That being the case, it is no. 2 completed.
ParlaMint-NO_2012-11-21.ana.ud530e1053	There is no record. Thus, today's map has been processed. It does not appear that anyone is asking for the word before the meeting is cancelled. - The meeting's been cancelled.
