ParlaMint-NO_2012-06-15.ana.ud2276e160	The representative, Mr Höglund, wishes to make a proposal for a representative.
ParlaMint-NO_2012-06-15.ana.ud2276e1453	It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e1456	Unfortunately, I would say, the representative Skei Grande's posts were again marked by what I would call political irony. I do not think that is necessary in many ways in a serious political debate related to very important issues. What she says is in very strong contradiction to what has been written in the statement, that the Left ‘notes that the overall impression of the government’s proposal for the revised national budget 2012 is in no way a crisis for the country’. She also pointed out to the hearings that have been held, that is quite right, that there is a complete consensus – from all over Norway – that economic policy has been sensible, it has been right, and it has created a very good development. The left writes that there is more that has gone well than there could be reason to wait. I didn't really intend to address this, but I ask, is it ironic, or is it such that the Left actually supports government policy in these fundamental areas?
ParlaMint-NO_2012-06-15.ana.ud2276e1469	I'm talking about poverty and knowledge. The representative of Kolberg thinks it's irony when you talk about poverty and knowledge, but for the Left, it's not irony. For the left, it's actually something of the most important thing to bet on. It's possible that the representative of Kolberg thinks it's ironic that someone is talking about poverty and knowledge, but I'm still going to keep talking about poverty and knowledge. Much of what we have done in terms of the economic situation has been widely agreed – there is no criticism of the Left. The left's criticism of the government is about not having used the space for action to think in the future, not having used the space for action to build the things we're going to live on in the future. When they made the big packages, there was no commitment to research and knowledge, to make the students better qualified, to do something about the school, and to bet on the new, growing business that came – no, windows and other snacks in the municipalities were the important steps. The big economic framework we can agree on – that is the device we disagree on.
ParlaMint-NO_2012-06-15.ana.ud2276e1478	One of the main reasons why Norway is doing as well — we can say with great humility — is that a policy has been put in place to reduce disparities, focusing on redistribution and focus on growth and investment at times when things have been bad, and a responsible economic policy. In the current political situation, the left chooses to ally with the right side, where the focus on decreasing differences is toned down. When the Left itself put in government, the differences increased. In other words, an economic policy in which tax incentives to business are given priority over redistribution. Doesn't Left recognize that this is a break with the main line in the Nordic model?
ParlaMint-NO_2012-06-15.ana.ud2276e1492	I notice that SV thinks it is important to fight wealth. I notice that SV is satisfied with his struggle to combat wealth. I notice that they have run a department, the Ministry of Knowledge, for seven years – and the differences have only increased. Yesterday we got figures that show that the differences in Norwegian school just increase. The differences SV should have cared about and actually fought when they're in power are the differences within Norwegian school. The differences they should have cared about, too, are helping the weakest rather than fighting the richest. We believe that it is important to bet on poverty reduction. We think it's important to bet on knowledge. We believe it is important that all the kids get the start they should have had in life – with a good school and with wise, good teachers. It is truly poverty reduction and cohesion. This has been the case for the Left for almost 130 years. We're going to fight for these equations further as well. It is not SV that has made the Nordic model – there probably left has a larger share than the SV has had in the last ten years.
ParlaMint-NO_2012-06-15.ana.ud2276e1501	In the revised national budget, the government proposes — and gets implemented — that there should be 1 000 new places of study, of which 300 in the engineering study. In view of the fact that there is a revision of the budget, there is a strong commitment. I think it's strong that the Left doesn't talk about it more in a sober way. Otherwise, it is commendable that the Left is concerned with poverty, but what is crucial, and which is really the Nordic, is the universal arrangements that guarantee the emancipation. Government parties have focused in their attitude on the three major divisions, namely the geographical distribution of the business sector, the competitiveness of the business and the labour market. The question is: Does the Left agree with the three main challenges I have now referred to? It is the most important thing to ensure agility in Norway.
ParlaMint-NO_2012-06-15.ana.ud2276e1510	First to study places: I'm glad the government will meet the Left half. While we added 2,000 new study places to our alternative state budget, the government is now proposing a 1 000 in the revised budget. This is about not being able to take over the wave of students that is coming. This government is able to present it as a problem that many young people in the future will want more knowledge. That should be a great opportunity. Then you should have built these places much earlier, so that you are ready to accept the student wave that is coming – that we have quality and proper study places to offer them, and that we are able to build this up in the areas we know that we will need it further in the future. Then we believe that the most important way to develop business is what we do through our tax system – by facilitating innovation and facilitating creativity – and also what we do through our research policy and innovation policy.
ParlaMint-NO_2012-06-15.ana.ud2276e1520	The cord shift is over.
ParlaMint-NO_2012-06-15.ana.ud2276e1523	The renowned newspaper The Economist asked last year 800 leading experts and administrators how they believed 24 different scenarios would affect the global economy. There was only one scenario that was considered positive and likely, and that is that the Internet and social media are a catalyst for rapid political and economic change. The pace of the digital revolution we are experiencing is, according to researchers, much faster than the pace of the industrial revolution. The government therefore pursues offensive policies to exploit the benefits of digitisation, to the benefit of citizens, businesses and the public sector. Yesterday, I was in this room discussing lKT-hazards, i.e. what can go wrong. But the big picture is that we have made a number of ICT investments we can be proud of. Only in the last week have both Nav and the Food Authority received international recognition for their solutions. For example, the majority of pension applications are now submitted and processed digitally. The duration of treatment is too many reduced from months to minutes. The automatic free card solution has freed up a lot of public working time and simplified everyday life for the population. Altin had some challenges for a few days in winter, but has been primarily a major success and is enormously important as simplification measures for business. Electronic prescription saves time and money and it is now being rolled out throughout the country, but not least ensures the quality of medicine when prescribed. In April, the government presented the digitisation programme. The programme describes how we will complete the management process and ensure that Norway is on the international front. Digital communication has to be the general rule, and we're changing laws and regulations to facilitate it. For business, VAT reporting is an example of just that. We further develop the common solutions, including: Electronic ID, and we are getting new solutions for, among other things. contact information and message box, which can be used across sectors. Combined with joint work, important work will take place in each sector. Nav is in front of the largest ICT-driven modernisation in Norwegian business ever. The Minister of Health will present his own big message on ICT in the health sector. The tax base and the Loan Fund will be based on their strong positions as leading ICT companies in the state – the examples are many more. We are working to enable municipalities to coordinate and participate in the work that the state is now doing. Public sector digitisation is important in itself. We save money, and it creates a simpler everyday life for people and businesses, who are waiting for online solutions in other areas. But ambitious public digitisation policies also give business a competitive advantage, because they can then be early off internationally with new ways of solving tasks. Norway has the best assumptions to achieve this. Most Nordics are digitally mature and have confidence in the use of new technologies. Being online is primarily an advantage for individuals, because the Internet is increasingly becoming the key to social and economic life. But in addition, it makes Norway an attractive country for businesses that will be far-reaching in replacing old offers with new digital ones, just as the administration is doing. During the year, I will present a strategy on how Norway can facilitate ICT to stimulate value creation in Norway — Norway’s digital agenda. It will contain some of the basic elements that must then be in place: broadband, competence, research and digital participation. It will also point to some individual areas facing a digital revolution and how government policies can contribute to a development that benefits society as a whole.
ParlaMint-NO_2012-06-15.ana.ud2276e1540	It's going to be line change.
ParlaMint-NO_2012-06-15.ana.ud2276e1543	Today, country and health enterprises have to pay 25 pst. VAT when purchasing services from private individuals. It has resulted in more expensive state services. This means a distortion of competition for individuals who want to make an offer. It must, of course, be contrary to all public simplification logic – including for the State, for which this Council of State is responsible – when it is seen that the system of neutral VAT for state and health enterprises, as proposed by the Right, has been introduced in the counties and municipalities, but, as far as the State is concerned, the government has chosen to stop it for some reason. A good example of this is the healthcare company that now builds its own laundry simply because it is more expensive to buy from private people – not because it gets cheaper, but because they release 25 pst. VAT. For society as a whole, this means wasting funds when the services could have been done differently.
ParlaMint-NO_2012-06-15.ana.ud2276e1550	I did not register what question Kambe wanted to ask, but the government has no plans to make changes to the VAT system. The fact that health businesses want to operate, for example: laundry services on their own may have many advantages for health businesses. I expect that the assessments carried out in health businesses will be made because they want to have control of the production of health businesses related to their activities. Otherwise, the Minister of Finance is present here and can certainly respond more fully to the VAT problem raised by Mr Kambe on this issue.
ParlaMint-NO_2012-06-15.ana.ud2276e1557	Governments took up ICT and some of the prices they have received, and that is probably deserved. At the same time, it is clear that some of us are involved in public activities and also see some challenges, not least in the health sector. From my own state and that region is the merger that has taken place between the hospitals, not very complete until you can talk to each other on an ICT platform that works for everyone. My question to the Council of State is: What has the Ministry and the Council of State, which have overall responsibility for ICT betting, identified from their point of view as the main challenges in the sectors, and what will the government do about it in the event?
ParlaMint-NO_2012-06-15.ana.ud2276e1564	There is no doubt that we have many ICT systems in Norway that do not talk to each other. This is because many ICT systems are built by individual institutions. Many of them have worked very well, but the challenge has been that you can't get ICT systems based on a common core wall, common components. Therefore, the government has adopted common architecture principles and standards to be used when developing new ICT systems. Unfortunately, it is not that even if we make decisions in government or enlargement, the existing ICT systems will change. It will be a great job to replace all the ICT systems. But when they are based on the common standards to which we are now adding, interaction and coordination between the different systems will be considerably easier. It's important for us to have systems that we can use across, between health companies and between other parts of the administration.
ParlaMint-NO_2012-06-15.ana.ud2276e1571	I want to follow up on what the previous questioner asked about, but then inside Nav. There we have now seen in the National Audit Office's report that it's going forward, but that it's a job to do, especially in relation to the fact that state and local government don't talk. This means that it takes a lot longer for all those involved, an increase in bureaucracy, and not least for users. How does the Council of State think about this? What time will these systems communicate?
ParlaMint-NO_2012-06-15.ana.ud2276e1578	There is a major development work on Nav's ICT systems. As I said in my post, it will probably be the largest ICT project that has been carried out in some organisation in Norway, as far as we know. It is a comprehensive work that is now on quality assurance in the Ministry of Finance, so that we are as sure as possible that we make the right choices in relation to it. It will take years before an ICT system, with all its parts, is established in Nav and can also be linked with 429 Norwegian municipalities. But we have taken a step from the government, where we have contributed funding so that Norwegian municipalities can also more closely coordinate and become an attractive interaction partner, so that the systems in the municipality and state can be more interconnected. But Nav has one of the most modern ICT systems through the pension system.
ParlaMint-NO_2012-06-15.ana.ud2276e1585	The Left and the Labour Party are united in the view that the most important thing we can do to combat poverty and balance differences is that as much as possible is able to be self-held by participation in the labour market. However, it is a major challenge to facilitate the participation of people with disabilities in the labour market. Here the public has an extra responsibility to go ahead and be a good example. As a kind of government council responsible for the public sector, the Council of State has instruments that can be used more actively for the benefit of others, such as: trainee arrangements for disabled persons. The left has proposed 100 additional such trainee places in the revised national budget. I expect that it will be voted down during the day, but is there anything the Council of State would like to include in further budgetary conferences?
ParlaMint-NO_2012-06-15.ana.ud2276e1592	The Trainee scheme for disabled people that we have established in the state is a good tool. There, we use unpaid wages available in existing businesses, and there is a constant opportunity to do so. The trainee system is a success. It provides disabled workers with useful work experience and practice in order to be an attractive worker to pursue. Equally important, I think the training that employers get to provide for the disabled has been. Finding that it is not as demanding as what you might have thought in advance is an equally important part of the whole job. We use funds to contribute both to the organisation and not least to motivating employees, but also to bringing together employers and contributing to a useful transfer of experience, so that it can become a natural part of the recruitment process for public enterprises. We'll keep doing that.
ParlaMint-NO_2012-06-15.ana.ud2276e1600	Then he is the last representative of Laila Marie Reiertsen. In the light of future line changes, the President can inform that, when there are five lines, and one assumes that all four opposition parties are asking for a line, the Progress Party will be given two lines. Then it is possible to immediately ask for both lines, so that one will have the opportunity to follow up the previous line immediately.
ParlaMint-NO_2012-06-15.ana.ud2276e1605	The council said it'll take time to get the systems to talk, and it's a terrible search for all the parties. But if it had been a lease, the government would have considered it easier, for example. in Nav, which today has a two-part rental? It has municipal rentals, often also state and municipal, and some only have government rentals. Would the Council of State have thought of it as easier to get these systems to talk?
ParlaMint-NO_2012-06-15.ana.ud2276e1610	There is no doubt that dual management in Nav can be challenging, but I think developing ICT systems for the Nav district, which will also be associated with the underlying municipalities, will be a challenge regardless of how the Nav management systems are. The most important thing in this area, I think, is that the municipalities use the established standards, use open programmes that can interact, and that suppliers are told how the state thinks. That, I think, will make it possible for those who develop different types of data solutions for municipalities to do so in the products offered to the local government sector. I believe that putting these standards into place, and that the municipalities are taking a joint approach to managing their ICT development, is one of the most important things in order to establish a good relationship between the state and the municipality in Nav's development of ICT systems.
ParlaMint-NO_2012-06-15.ana.ud2276e1617	So the chord change is over.
ParlaMint-NO_2012-06-15.ana.ud2276e1620	Some try to make it clear that Norway has so far managed well through the financial and debt crisis, which is only fortunate, that Norway is lucky enough to have oil and gas resources, and that thanks to these resources and the high oil price, Norway is doing so well compared to other countries. Understood: it's the same thing who sits in government and controls the country, the result would have been the same, politics has nothing to say. This is a gross misstatement. Norway is going well. We are lucky to have oil and gas resources – but the results are not self-evident. It does not matter which parties govern the country, either in relation to the good economic development of the country or in relation to social development in general. Both the good results and the welfare state we know today are the result of political choices and priorities and safe economic governance of the country. The establishment of State pension funds abroad is an example of such a political choice and priority. Until the mid-1990s, revenue from the oil industry was used on an ongoing basis over government budgets. However, in order to ensure a balance in the economy, it was recognised that it was important to limit the use of oil money. The SPU was created to ensure that we not only use oil revenues in the short term in each year’s budget, but also save some of the revenue for future generations – and for the sake of competitive industry – a political choice that is widely agreed on, with the exception of the Progress Party. The introduction of the rule of action is another example of a political choice. The action rule was introduced to balance fluctuations in the economy, in order to ensure good capacity utilisation and low unemployment. Petroleum revenues are phased into the economy gradually, a phase-in phase in line with the expected real return of the petroleum fund, a political choice of which there is a high degree of agreement, with the exception of the Progress Party. Development of the Norwegian welfare society, the Norwegian model, with a strong state and public services paid by the community, and good cooperation between the social partners and the state is yet another example of many political choices made on the basis of political priorities and ideology, political choices on which there is no consensus between the parties. If we look at the years that have passed since the SPU was established and the rule of action was adopted, this policy has given us an investment fund of more than 3 300 billion. kr by the turn of the year, good income to the state fund for building the welfare society as we know it today, for saving to future generations, and it has given us the opportunity to put in place massive measures against the financial crisis. The political choices made have served the country well. Anyone who wants to see it also sees that Norway is doing well, better than in almost all other countries. Gross domestic product has now grown in nine consecutive quarters. Employment is increasing. By the end of 2011, there were more than 300000 more persons employed than by the end of 2005. Unemployment is low, both internationally and historically. This does not mean that there are no challenges left to solve here in the country. We see the need for social democratic policies in the future to continue and develop the welfare society we have. We are in the process of doing that, and we are prepared to do that even after the 2013 elections. The right parties will change today's society. They want a completely different direction of society, they say – both Siv Jensen and Erna Solberg – and they say they want to rule together. But they're not clear in which direction to go, as the government is. However, the right parties, too, will make their political choices and priorities if they are to rule together, because I assume that they have the goal of shaping social development together, as today's government does, and not just manage it with oil money or bet on luck. Examples of what they want are finding out about all the things we're dealing with here in Stortinget. What's worth noting is that the political choices of the right parties are different and crack in different directions, despite their emphasis on talking to each other. In the vote on the revised national budget, the Progress Party highlights its proposal for an alternative rule of action, what they call an anchor for economic policy. They believe it will allow some of the 3500 billion of the oil fund to be disposed of. crowns more pragmatically, as they say in the setting. The right says they support today's rule of action, and that it is not appropriate to change it. What they come together, nobody knows. However, it contributes to considerable uncertainty about economic policy. The same is true in municipal policy. This week we've been dealing with the municipal proposition. The Progress Party proposes to phase out the framework funding system, while the Right will maintain this system. It should be a concern of the Municipality of Norway that the policy of these parties is so big that it will govern together and that it will agree on the political priorities. Those who say that politics is not important, that Norway's good results are a result of luck and beyond government control, suggest that the issues I have mentioned here are examples of political choices that will lead to a different social development. The progress party's alternative economic policy will give rise to a different economic development, which the SSB says has not been tested before, and which is therefore uncertain.
ParlaMint-NO_2012-06-15.ana.ud2276e1650	We're part of a world that's on its way out of an industrial community and into a knowledge society, a world that connects countries ever closer together, but that also strengthens competition between them, a world that has several strong nations that fight to be at the top when it comes to development, technology and competence. Inge Jan Henjesand from Abelia said: ‘China and India are busy. They have at least as great ambitions as us in the global knowledge economy, and they are many more than us." We're much more busy than we're aware of. We in Norway can never compete with countries like China and India when it comes to price and quantity – but we can compete when it comes to quality. But if we are to be able to assert ourselves in the international competition for knowledge in the future, we must bet on the support of this society, the technological competence we possess. We are missing 16 000 engineers in Norway today, which will be bigger. There are too few who choose engineering education, and the decline in education is far too high. This challenge is the time for the government to take on board. Several colleges around the country have done so. They've taken responsibility, they've taken hold. Several training institutions in Norway have introduced an advanced course in engineering training. Much more students have been given the opportunity to qualify for just engineering training. This offer had to be financed by the educational institutions themselves. We in the Progress Party believe that it is time for the state to take its share of responsibility and to be involved in this funding. If we are serious about investing in engineering training, you must be willing to do something more than talk about it. Targeted financial support for the forward courses is an important priority of the Progress Party, while increasing the number of study places in both the real science and technology fields. It's not just in the engineering training we have to bet. We are in a situation where the rest cut has become a little too comfortable for the government, in a situation where we see a great investment need across the UH sector. And no – it is not monopoly money that we in the Progress Party have chosen to spend on this, it is clearly about priorities. The government thinks it makes sense to spend several billion dollars on moving the Veterinary Academy from Oslo to Ås, instead of spending less than half of the sum on building a new building here in Oslo. It must be one of the strangest forms of district policy I've ever witnessed. I don't know how long the state councils have lived in Oslo, and whether this has shaped their perception of what is good district policy, but in my view, spending 4 billion is. kr to move a construction four miles outside Oslo not what will be a salutary for District Norway. 1 billion. Nor do they bear witness to a poor priority, where the symbols go ahead of both reason and results. Then it is much better to invest the government’s ‘billion per mile’ of money in construction and infrastructure in the higher education sector across the country, for example. Universitetsaulaen in Bergen, Technology Building in Trondheim or additional construction investments at the University of Tromsø. If we are to be able to get good students, we must have good students – students who have been equipped with the necessary basic knowledge and competence from 1st grade. We know that if we're going to have good learning in school, we also have to have a good environment to learn. The number of children who are subjected to violence, assault, harassment and abuse in school is as high today as it was when the government joined and when the Minister of Knowledge declared war on bullying. Little has been done, but a priority that has been a step in the right direction — albeit small — is that the Children’s Ombudsman has been given a mandate to deal with and follow up on bullying and the prevention of bullying. That is why the Progress Party has chosen to double the support for this work in our alternative budget. Finally, it is important to mention that all parties in this room have participated in and supported the church settlement. It is strange then that an important part of this agreement, namely the reform of faith training, is as under-priority and under-funded as it is. In order for the Church to have the opportunity to follow up the intentions of this reform, the role of the Church in its implementation must be strengthened, and one must increase the appropriations so that this is possible.
ParlaMint-NO_2012-06-15.ana.ud2276e1677	I believe that this debate very clearly shows two things: one is that there is a very broad uprising in the Great Britain about the economic policy of the government. We hear from the opposition that they think it is very good in Norway — as they say when they are going to formulate this. The second thing we can say is that there is no overall criticism on the part of the opposition, and that of course they are very far away from presenting an overall, clear alternative to the policy that the government is pursuing. These things can be established as we approach the end of this debate gradually. I hear a subtitle in this debate – and have heard it in the economic change for a long time – namely that they say that the reason why it is so good is that we have been so lucky, and in addition, there should be a lack of political success, as much income as the government has had. Yes, it is true that in Norway we have been lucky in many ways, and that the revenues have been large. But there is probably no one who seriously tries to claim that without strong political governance, with a view to good distribution and putting the whole country into use, we would have managed to get these financial results. Large revenues will not help if these revenues are not managed. That's what it's really about. The subtitle in addition to this is that I heard the representative Solvik-Olsen – which I now notice is not present, it may now be so – say in his post that we have to use the oil money wisely. He has a theory of the use of the rule of action that is undocumentable. If we look at the policy of the Progress Party in the field for many years – but also in the coming years – it is an over-exploitation of money, put it straight out. There is no new political vision in Norway: the Progress Party has been in charge of that policy for many years, and they are doing so today. But the new thing is – and that’s the subtitle – that the right does not distance itself from it, the Christian People’s Party does not distance itself from it, and the left does not distance itself from it. I put – and it is with all due respect, so it must not be misunderstood – the Left and Christian People's Party in a small bracket. However, the fact that the spokespersons of the Court of Justice do not make themselves clear – neither in the comments nor in this debate – in relation to the new understanding of the rule of action by the Progress Party is the most noteworthy in this debate. They still have the chance to do it, of course -- the list of speakers is still open. I'm waiting for such a mark. If that is not the case, are we at the heart of the matter, namely, the question that is then politically serious to ask: is it the case that the economic policy of the Right is on the verge of action? Is it on gli with regard to the use of money? Is it so that we can fear that the right-hand side of Norwegian policy – if they were to face the situation of forming a government – will really start overusing Norwegian money and jeopardising jobs and the Norwegian economy? Why do they not respond to it in concrete terms? That's my question. The most remarkable thing is that they simply do not do so in this debate. In the last few seconds, I'd just like to take a little visit to the representative of Solvik-Olsen, who characterised the education of Torgeir Mikalsen. Now it is that Solvik-Olsen often claims that he has broad economic education. If that's saying, that's not always what it sounds like.
ParlaMint-NO_2012-06-15.ana.ud2276e1688	We now have to deal with the revision of the national budget. The point of the revision that we do every year at this time is that we have just gained new knowledge about the budget over the year so far and have to make necessary changes because of the new knowledge. The Justice Committee has been around the country. We travel around the country and meet the various branches within the sector. Then the feedback is quite unambiguous. The Progress Party has taken into account the fact that we have now revised this part of the national budget. There is a shortage of resources in the justice sector. It is quite clear, whether you are in the police districts, in the courts or in criminal matters. There is resource scarcity, and at the same time, some shortcomings that should be unnecessary in this society, among others. in the field of ICT. It should be unnecessary for the local troubleshooter to go down to Statoil to write his sentence because there is a network that works. It should be easy to get this in place. We still have the 2005 penal code, which was adopted in 2009, which has not yet entered into force due to the ICT situation. These are some examples that we should be dealing with fairly quickly. We have good opportunities to do that. Security of life and property are among the most fundamental rights in society. It is quite clear that society must make the necessary resources available so that justice can perform its tasks satisfactorily and that the population can feel the security they need. That is why it is absolutely necessary for the police to have the resources they need. Like I said, we've been around the country. We feel that the clear signal from the police districts is that there are too tight operating budgets. That makes you have real downtime in many places. It is not possible to replace positions where people end or for example. retirees. We see that finding jobs for newly-trained police students is a challenge. It's going to be interesting to see what's going to be the reality of this year's coal leaving the Police College now, if you can find enough jobs this summer. We also see that priority should be given to investment in the police sector, and this would seriously affect the operation. We can't have it like that. There is a target set for two police officers per thousand inhabitants in 2020. About all the districts tell us that this is going in the wrong direction. You're not approaching two, you're moving fast towards one. As we see out here today, the Oslo Police have special challenges. That's why we want us to have a special bet on the Oslo Police. Oslo is what we can call our only big city with national tasks. It requires the Storting to be willing to spend extra money on the Oslo Police, not least in the light of the challenges they faced last summer.
ParlaMint-NO_2012-06-15.ana.ud2276e1703	I want to say that today we're actually in a very lucky situation. We can discuss areas of activity in the revised budget, while the parliaments of other countries need to discuss large budget cuts, high unemployment and perhaps even social unrest. There is still considerable uncertainty in the international economy, particularly in relation to further developments in the euro area. The euro area unemployment rate is now at a higher level than it was under the financial crisis in 2008 and 2009 – it is actually up to 11pst. The increasing unemployment rate for young people is giving extra cause for concern. In both Spain and Greece, the youth unemployment rate is over 50pst. Half the youth goes without a job. It's serious. It's a threat to countries' ability to grow out of crisis, and it's a tragedy for young people who can't get out and use their knowledge and skills, and who don't have the opportunity to support themselves. We do not need to look further than in Sweden to find youth unemployment solutions of well over 20 pst. Tens of thousands of Swedish youths move to Norway to get a job. This must be an important reminder for us. Krisa is not far away -- she's actually in our backyard, and at least we shouldn't believe we're immune. But the most important thing we can do is take care of the order of our own houses. It means following an economic policy where we follow the rule of action, ensuring that interest rates stay low, and that the krone price does not get too high – and not least that we make sure to keep people at work. We've managed well through the financial crisis. We have some luck, but the most important thing is that we've done a lot right over a long time. As the Chairman of the Committee and the Advocate-General of the Court of Justice said, the rule of action 'has provided self-imposed protection against policy on transfers'. Now the rule of action is actually facing a threat from the Progress Party. In a very turbulent time in Europe, where Norway differs as one of the countries where things are going well, the Progress Party wants to scrap one of the cornerstones of economic policy. The reason for this is that the rule stands in the way of the Progress Party’s overcoming policy. Until now, there has been a broad debate on the rules of action. All the responsible parties on the Stortinget have arrested him for the last 11 years. So I'm concerned that the Right, who takes the lead in governing the country, has now been more winged with regard to where they stand when it comes to the rule of action. The representative, Mr Sanner, has stated that the Right and the Advance Party are «now agreeing on the direction of economic policy». I have also not registered that someone from the Right has given as much as one comment as to the 6-page dismantling of the rule of action, so it might be interesting to hear what the Right really means. Yesterday, Stadsbyggen presented the project for the new building of the Veterinary Hog School and the Veterinary Institute. Norway's largest gardening needs to be moved, it says in our newspaper. Then I see that the Progress Party and the Christian People's Party write that they are concerned about the increase in costs. However, the reason for the increase in the cost estimate is, among other things, higher international standards for laboratories, cadaver management and infectious diseases, as well as stronger requirements for universal design, energy use and the environment. We're actually for all of these factors, and I thought the representatives of both the Christian People's Party and the Progress Party must be. These costs would have come independently of location. I'm very happy that the plural doesn't want to join any rematch right now. As I said, the Progress Party and the Christian People's Party have written in their comments that they are concerned, and the Progress Party will even stop the entire move project. In fact, a stop to the project may result in poorer international accreditation of the veterinary high ball. Movement of the Veterinary High School and the Veterinary Institute never has our district policy foundations. There are only grounds for professional and research policy arguments. It is clear in the 2008 resolution, which I recommend to the representative Hanekamhaug to read.
ParlaMint-NO_2012-06-15.ana.ud2276e1724	The treatment of the revised national budget is not the time for rematching. Nevertheless, I feel that the government is adding up to it just by making it clear that their policy does not work, just as we warned in budgetary management both last year and in the past. There was no lack of self-confidence from the government parties. The word was used as ‘recording’ in the municipal economy, and it was claimed that it was well ahead of the form in order to achieve the goal of 12,000 new health homes and nursing homes in 2015. But what do we see? Yes, at the turn of the year, there were 773 million. kr in investment grants for lucky day slots unused in the account. Indebted counties. They simply cannot afford to cover the municipal abstinence and not least provide the necessary means of operation within the current framework grant. The result is also that the provision of nursing homes and care accommodation continues. The municipalities have been informed that they can save 40 000 – 50 000 kroner per place per year, and do so – they seize that opportunity, knowing that this means a reduction in the quality of the offer, and that nursing homes are not suitable for the sickest of the elderly. Double rooms are converted into single rooms, without the lost rooms being replaced by new ones. In 2010, the net growth of lucky days places was since the elections of 1 147. The following year, net growth was below 1000 places, of which there were only 22 new hospitals – I repeat 22 new hospitals since 2009. Was it this Gro Harlem Brundtland and Jens Stoltenberg promised the old ones in 2009? No, absolutely not. Already in 2010, the government received criticism from the National Audit Office because there were too few seats. The Minister of Health promised improvement, but we see the same problems when the 2011 accounts are settled. This cannot be continued. We're talking about the health service for those who built this country. We're talking about the sickest old people and what society is going to offer them in their last year of life. Here it doesn't help with what my fractional leader calls empty mist and numbering, here's the fact that you have to deal with, and action that needs to take place. The Progress Party has argued for a number of years that we must receive state funding for the care of the elderly, and the municipalities must be responsible for the performance of the service. Then the money will come automatically, so that old, sick people can have the necessary care and care of the right quality and at the right level. Therefore, in the current review of the revision, the Advance Party has committed 500 million. kr extra for the operation of nursing homes. I was a short time ago in a debate with the representatives of Breen and Hansen under the auspices of the National Association for Public Health, and then there was a liberating recognition from the Workers' Party's representative that the care of the elderly in Kommune-Norway went for half the machine. Furthermore, we were told that both the Workers' Party and SV considered earmarking funds for the care of the elderly to remedy this. Clearly, the center party is the brake block that ensures that we cannot get the promise that Norwegian care for the elderly needs. The Progress Party believes it is a public task to organise and finance the care of the elderly. Good care for the elderly cannot depend on good or poor local economy, the ability of local politicians to prioritize or vary in demographics. Therefore, the Progress Party wants the State to have financial responsibility for the care of the elderly and for public and private actors to be able to compete on equal terms to provide services. Parental care shall be provided on the basis of the equivalence of all persons and with respect for the dignity of the individual. The Progress Party also proposes to grant 2 billion in its draft budget. to regional health establishments in order to pay off debts. Unfortunately, we see today that the high debt burden on health businesses is contributing to the reduction of service provision and the inability to invest in, for example, initial investment. medical engineering equipment. With a One of the negative outcomes we see is the rotation of health care businesses from long-term to short-term. In my home country now Phoenix House Haga loses its agreement after 22 years of successful operation. We have a screaming lack of treatment facilities, and then it is not possible to make a well-functioning offer to save 25 million. kr. I also wonder about the quality criteria used. Here it is measured how many nurses and psychologists you have employed, which makes a therapeutic society there, among other things. Former drug users are employed, poorly reported. While results — how many have become drug-free after treatment — are not at all emphasised. Health South-East has itself evaluated the offer at Haga and has seen that seven out of ten patients are drug-free after finishing treatment. This is an eye-catching good result, and that is what should be quality criterion No. 1st@item: inlistbox I would strongly ask the Minister of Health to go into this matter and make sure that Phoenix House Haga is not laid down. It takes a long time to build up good drug deals, but they can be demolished with a pen stroke if we have a government that doesn't have the ability to act.
