ParlaMint-NO_2012-10-10.ana.ud2057e26	The representative Dagfinn Højbrätt, who has been on leave, has again taken the seat.
ParlaMint-NO_2012-10-10.ana.ud2057e900	I thank you for the answer and hear what the council says, but I don't know if we have exactly the same reality. It gets the further discussion to show. First of all, we have to hold on to the fact that moving for a child, especially a vulnerable child who has suffered a care failure, is a tragedy. Whether it's a child-rescue investigation, whether it's planned from a shelter to a foster home, it's actually very exciting for a kid to have to experience it. So all the movement needs to be reduced to a minimum. The second is that the KS and the Foster Home Association are crystal clear that the figures given by the SSB are not correct – probably seriously underestimated. So the question is, will the Council of State ensure that we get a factual basis that will allow us to take a decision on this and assess it when the Stortinge will assess the whole of child protection in spring 2013?
ParlaMint-NO_2012-10-10.ana.ud2057e909	Let me first just underline that from 2013 we make extensive changes in the reporting of municipalities to the SSB, which means that we get a better basis, among other things. to conduct longitudinal studies, i.e. long-term studies, to see how the children are doing. I also have to agree initially, that shifts can be very exciting for children, and basically they are. But it may also be good for children to be moved if the care base they have is so harmful to them that for example. may damage their development. That is why I am very much in favour of the proposals in the Raundalen Committee to introduce a new principle that is a developmental principle, in addition to the principles that are already in place, and that the children's need for connection and interaction is based more on. There is also a lot of exciting research in this material that just shows children's need for stability, good care, good frameworks around them, and at least not care frameworks that damage their function or health later in life.
ParlaMint-NO_2012-10-10.ana.ud2057e918	I would like to clarify my question in the following way: when the Raundalen Committee wants to introduce a new principle as a developmental link as a principle for the assessment of care takeover, it must be absolutely fundamental that if we as a society are to take responsibility for a young person, we must give them a connection. If not, there is a public care failure. I feel that the Council of State must take more seriously in its answer, because we are talking about movements within the field of child protection. That's what we're talking about. How can we assess the Raundalen Committee's principle of commitment as a threshold for taking care if we're going to deal with it without knowing whether the kids get access to child protection, because that's actually what we're talking about. So now it's six months to make these assessments, and then there should be plenty of time for the Council of State to at least get a better overview of how many times the average number of children move in child protection. Will the Council of State take care of that?
ParlaMint-NO_2012-10-10.ana.ud2057e925	I am somewhat surprised at the intensity here now, because I fully agree that there is a need to reduce the number of movements when there are accidental movements and unwanted movements. Moves that are desired may be if it is obvious that the child is not well off, if the child, for example, is not well off. should be investigated or if other types of conditions are found to be better for these children, but then it must be planned. Personally, I have been greatly affected by a master's project that has been presented to us recently, «Listen to me», which has been developed by Janne Berge. It's about how to, among other things, by listening to children and listening properly to children can contribute to more stable relationships and fewer movements. I think we should make sure that we listen more to the children. That is why we have also proposed several changes to the law. Then we also need to follow-up with practice and empowerment. The strengthening that we are now doing of municipal child protection and supervision will also help us to reduce the number of accidental movements.
ParlaMint-NO_2012-10-10.ana.ud2057e936	This question, from the representative Per Roar Bredvold to the Minister for Agriculture and Food, will be raised by the representative Lars Joakim Hanssen.
ParlaMint-NO_2012-10-10.ana.ud2057e939	I will allow myself to ask the Minister for Agriculture and Food the following questions: ‘In the last 10 years, we have seen a significant decrease in the number of farms. Only in Hedmark has more than 2000 farms become dark since the millennium. This is done despite the need for substantial customs protection to protect the industry. Does the Council see that there are other instruments to reduce farm use?’
ParlaMint-NO_2012-10-10.ana.ud2057e949	I think it is good that the representative, Mr Bredvold, and now the representative, Mr Hanssen, are concerned that farming is being laid down, also in our home country, Hedmark. But I have to say that it appears a bit like crocodile tears, since the representative Hanssen represents a party that would have provided a much stronger farm closure if their agricultural policy were implemented, and then, as a result of a brutal economic failure in agriculture, not because of increased productivity and technology progress, which is one of the main causes of the changes in use that we are seeing now. Sufficient income opportunities are essential for many to find it interesting to produce food and farm in what is known as high-cost Norway – the cold and steep of our country. The government therefore places great emphasis on improving income opportunities in agriculture. In that work, customs protection is a support bar. Norwegian farmers must have a price for their products that are proportionate to their costs. Without proper customs protection, we would not have it. The price income represents two thirds of the gross income of the farmers. It is true, as the representative suggests, that customs protection cannot be the only means of action, and in particular not in maintaining a varied structure of use and agriculture throughout the country. That is why we are also using several other instruments, in particular budget support is important. High price revenue comes in particular to the large volume producers in key areas, such as: around Mjösa where I live, for good. It is through other means that we implement rural and structural policies to exploit agricultural resources in valleys and mountain areas throughout the country, the Eastern Valley of our country. It is through the budget support that we provide additional grants for less use to compensate for the cost burdens they have. That's where we have the shipping arrangements that reduce geographical disadvantages, that's where we have the welfare arrangements that are essential for a viable farming day, and that's where we have funds for new business development for increased value creation and more bones to stand on Norwegian farms. Budget support works in conjunction with customs protection, the role of cooperatives with reception obligations, with the quota system and concession regulation to ensure profitability and varied usage structures across the country. Most of what I have now pointed out, the Advance Party will reduce or liquidate. They propose to cut 7 billion a year. kr on the agricultural agreement and they will reduce customs protection. If this were done, the net income in agriculture would be largely away from the first year. It doesn't help to compensate for taxes when you don't have anything to tax. Those who are engaged in a living agriculture throughout the country should appreciate the government's will and ability to use a varied set of instruments to achieve just a living and good agriculture, and that we are also willing to have a well-functioning customs protection to ensure the disposal of Norwegian agricultural products.
ParlaMint-NO_2012-10-10.ana.ud2057e964	Only 14 pst. by Norwegian farmers, on a full-time basis. Many young people opt out of the profession because it is difficult to run full-time. Does the Council agree that rigid rules such as bans on sharing, the maximum price of agricultural properties, housing obligations and production ceilings make it difficult for people to be able to farm in Norway on a full-time basis?
ParlaMint-NO_2012-10-10.ana.ud2057e969	In Norwegian agriculture today there are more than 50,000 annual works. There are over 40,000 annual works in the Norwegian food industry and the country-based food industry. It's a significant and big industry that means enormously to large parts of the country. It's one of the country's most remote industries when you take the food industry and agriculture and see it together. We have a goal of increasing production, increasing food production – not reducing it – because we want that value creation, and we also believe it is an advantage for Norway to have a certain degree of self-sufficiency in food so that we do not depend entirely on imports. So the government's goal is to increase production – not tear down, which is the goal of the Progress Party. The means we use in agricultural policy are precisely to ensure that we can use the land of the country – whether it is in the most central strata around the Oslofjorden, Mjösa, in Finnmark, or in valleys like Gudbrandsdalen and Østerdalen.
ParlaMint-NO_2012-10-10.ana.ud2057e974	Every day, three farms are laid down. We haven't been through a butter crisis many months ago. As a result of the butter crisis, the authorities suspended the production ceiling on milk production in order to counteract an increasing crisis. You could do that. Then you go back to the same rigid legislation with production ceilings. Does the Council of State see that there is something wrong with agriculture?
ParlaMint-NO_2012-10-10.ana.ud2057e981	The answer to that is no. If you take milk as an example, one of the challenges is that we only use a small proportion of the milk for butter, that is, the milk fat, and well over 90 pst. we have to use for other types of products. So if we had just increased milk production to cover the entire butter demand that is right now, we wouldn't have had provision for the rest of the milk, and over 90 pst. Of the milk we had no place to use. Therefore, there is a regulatory import of butter that is currently being made by market regulators. But we have a good system in Norway, and that makes us use resources all over Norway, used the grasslands all over Norway, and there are many who are willing to invest and invest. The government is going to stimulate more investment in agriculture in the years to come, because we want to increase national production and have food production based on Norwegian resources, which creates value creation and jobs around the country.
ParlaMint-NO_2012-10-10.ana.ud2057e988	That being the case, it is no. 2 completed.
ParlaMint-NO_2012-10-10.ana.ud2057e1001	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
