ParlaMint-NO_2012-06-13.ana.ud101e55	The representative Snorre Serigstad Valen will present a draft constitution.
ParlaMint-NO_2012-06-13.ana.ud101e1338	The representative of Gjermund Hageseter has taken up the proposal he referred to.
ParlaMint-NO_2012-06-13.ana.ud101e1341	We mainly agree with the analysis by the proposers that we need larger and more robust municipalities to provide better services to our citizens, and this is best ensured by the fact that there are skilled workers who can have large enough environments to provide full-fledged services. We also want to keep the generalist municipality, the municipality that can solve the problems for its inhabitants. However, when we do not vote in favour of the proposal as it stands here, it is because we want a broader approach. We have said that the state must finally take a final responsibility for how the municipality structure in Norway is, but before we get there, we will also explore the tools that can be put in place to help promote voluntary community associations. It shall also be a matter of dialogue with the local government sector. I would also like to say that there has never been any principle from Stortinget that one does not consider how Kommune-Norge is organised. Firstly, the State has that responsibility in its overall role. The state and Stortinget can never discharge their responsibility for how the state of Norway is organised at all levels. The last major municipal merger has been carried out in this room, after thorough preparatory work in the Schei Committee. The real question is whether one can live with the structure that is now, whether one should wait until the matter is almost resolved by itself through voluntary community merger, or whether the state should give stronger leadership to get to the goal faster. So we've come to the last one. With these comments, I would like to say that we take up our proposal to attach the proposal of the Progress Party to the Minutes – not out of dissent to the intention, but because we believe that this proposal is too detailed and we want a broader approach to the positive instruments as well. I would like to add that the possibilities to decentralise to the municipalities from the county councils are also something that could increase the interest of many municipalities in finding out for themselves that it is an excellent solution to join the neighbouring municipality.
ParlaMint-NO_2012-06-13.ana.ud101e1352	The representative Michael Tetzschner has addressed the proposal he referred to.
ParlaMint-NO_2012-06-13.ana.ud101e1355	The representatives Hagesetter, Ørsal Johansen and Starheim call for incentives to continue their work with a more efficient and robust municipal structure. The proposers claim that there is an urgent need for a sharp reduction in the number of municipalities in Norway, a grip that is likely to solve all the challenges that the municipality of Norway faces in the years to come. This is an opinion I in no way share. They are promoting two concrete proposals. Proposal 1: The small municipal grant is phased out over a period of 10 years. The centre party believes that everyone has the right to settle where they want to, and that everyone has the right to equivalent welfare services regardless of the municipality in which they choose to settle. The removal of the small municipal subsidy would put the 157 smallest municipalities in the country in a position to provide equally good services to its inhabitants. For example, in the smallest municipality in Norway, Utsira, with more than 200 inhabitants, the removal of the small municipal grant would mean an income loss of more than NOK 20 000 per capita. I don't doubt in any way that they have capable local politicians, but such a grip would take away all the opportunity to maintain the quality of municipal services in line with the rest of the country. Proposal 2: Joining municipalities receive full one-off compensation from the government for the loss resulting from the non-compliance with basic and other benefits. Despite the fact that the proposal is completely impossible to understand, I'm pretty sure it's a bad idea, no matter how one chooses to interpret it. One-off compensation is easy to understand – it must mean that the entire amount is to be paid at once. The rest is completely incomprehensible. I hope the proposers can clarify the following: What does the loss resulting from the merger mean? Does it mean loss in the first year? Hardly, since the proposal is intended to stimulate community mergers. Today it's compensated for 15 plus 5 years. Does it mean loss for the first 20 years? It would in case be in line with today's arrangement in sum, and so see no significant change. Does it mean loss in the first 100 years? It would be an excessive amount, which would have hit the rest of the municipality of Norway hard, if, for example. 50 municipalities would choose to merge that same year. Or is it most natural to interpret it as if it were for the future? In my opinion, it would be a relatively demanding amount to calculate. The document refers to the fact that the proposal will also ensure that, after the one-off compensation has been paid, municipalities of the same size will receive income in accordance with the same rules. The annual framework transfer would be the same amount, yes, but the economic situation of municipalities would be very different. Let's say that four municipalities joined forces and got paid compensation for the next 50 years. They would have paid compensation for the basic grant plus other benefits – a sum of 1,500 million. kr. Saying that they were in the same financial situation as another municipality that has not cleared its debt and obtained significant equity would be incredibly strange. In addition, it says: ‘The proposers consider that the proposal, containing both the elements of whip and carrot, is a proposal that will stimulate fewer municipalities without the need for coercion by the State.’ Then I wonder what's the difference between "pisk" and "force". Without being able to speak of experience, I would think that it must be felt as relatively compelling to be under the whip. It must be much more honest to say that you want to feed the municipalities, so that they are forced to join together. Furthermore, it is claimed that municipalities must be large enough to create a competent professional environment, large enough to be attractive for new jobseekers. It has been argued all along that the cooperation reform requires larger municipalities. But what do we see? The population of the smallest municipalities is most satisfied with municipal services. It could mean one of two things. Either the same good services are provided, or the inhabitants of the large municipalities are much more demanding. Is it the small municipalities or Oslo that have the largest share of unskilled labour? Which municipalities are the worst to receive ready-to-print patients? As far as I know, it's Oslo. But I'm not going to suggest splitting Oslo into smaller municipalities. I do not share the belief that changing the municipal structure is the solution to the challenges in the municipal sector in the future. If anyone's in doubt, I have nothing against community reunification as long as it's voluntary. Everything has been arranged for voluntary community mergers. The State covers all expenditure and the breakdown grant is retained for 15 plus 5 years. What still surprises me is that only the central party rapporteurs have discovered that it is allowed to merge municipalities in Norway.
ParlaMint-NO_2012-06-13.ana.ud101e1382	I think we exaggerate the importance of municipality size. Almost a proof of this is that the disagreement among professionals is too great, it is too fundamental. It's not possible for any of us, with an overall academic environment in our backs, to be able to say that this is the optimal structure. The disagreements among professionals are too big, the disagreement among politicians is too big, and the disunity among the majority of people is too big, so it's hard to see that this is so important in the further development of our welfare society. There are relatively many people who know the answer – and there is a change in the municipal structure – but there is a lot of uncertainty about what is really the starting point for the question that should lead to that answer. But I'm also where Heidi Greni is – I'm also open that there may be a lot of good arguments for changing structure here. But as a warm follower of and with respect for the municipal maritime administration, I think Municipality-Norway can figure out this sea, precisely because there is disagreement, as I pointed out. An additional point is that it is difficult to see that for the state there is a particular problem with the municipal structure we have today. It's also a little bit related to the fact that if we're going to change this structure, no matter what approach we have to this, we're still going to be left with a municipal structure with large municipalities and small municipalities. In any case, the future state will be marked by whether we like it or not, the state has to deal with a diversity, with large municipalities and small municipalities, state policy and interaction between state and municipality, and then you have to act. Norway is once so designed that this is the Norwegian reality with today's state, and it will remain so with a changed state, as far as I can understand it. Norway is kind of a combination of both small and large, so to speak. Just that it is so rude of square kilometers in this country, with scattered settlement in parts of it, will make sure that we will definitely get municipalities with very different devices and different sizes. One additional point, and we are constantly in several debates, is that we see a desire, ability and competence to cooperate across borders, both between municipalities and, fortunately, between levels of government, towards civil and business life, etc., which is growing. Not least I notice when I'm out, that people think this is so fun, creative and good in all sorts of ways. I think that no matter how we restructure and redraw this municipal map, there will always be challenges that will make it necessary to do that kind of cooperation. People are already developing such an approach, and we still want it. As I have said in a previous debate: no one believes that the Oslo region should become one municipality. There are so many major challenges in the Oslo region that should be solved through inter-municipal cooperation, also at regional level, which I call for, and which I think we should have had much more of. I'm not sure what is the question of the answer that for some people is getting a lot fewer municipalities. Suffering if one had gone as far as perhaps the Progress Party had to dream of – 100 – one would still have a situation where the state had to deal with both large and small municipalities, and we would have had a situation where the municipalities had to become even better to cooperate than they are today. This is a demanding process that would be highly debated in all sorts of ways, and that might not give us a situation that would make our society something more well-organized than it is today. Because it's just to reduce the importance of such limits and to get better at crossing such limits that are the main challenge here, and to which we have to focus first and foremost.
ParlaMint-NO_2012-06-13.ana.ud101e1397	Although the representative Aksel Hagen in the previous debate frightened us a little bit about the fact that the Norwegian model, which has so far been understood as a social-democratic model, had moved on to become a socialist model with SV in government. I must nevertheless say that he made a good contribution now. I think more municipalities might benefit from joining forces, but such processes need to be primarily stimulated by good local cooperation solutions focusing on local democracy, good services for the inhabitants and well-functioning units. Then it is important for me to clarify that of course the Christian People's Party believes that volunteering must be the basis of municipal mergers. I also record that the Progress Party attaches great importance – at least verbally. But I have to say, in my view, that this proposal is in many ways a step in the wrong direction, so you want to force municipalities to merge using economic instruments. In the opinion of the Christian People's Party, this is a wrong approach. Then we also have to remember that for municipalities with large geographic extent, scattered settlement or peripheral location, it can be very little suitable and very little to pick up at all at municipal level, even if the population is low. It is important that such small-scale municipalities are also provided with a financial basis for providing an equivalent service to the population, and that is where the small-scale community grant comes into the picture. I am of this opinion, although in the previous debate we talked a lot about income systems, and the removal of small municipal subsidies will result in many of these municipalities getting a lower level of income and that the inhabitants of these municipalities will be able to get a lower level of service. The Christian People's Party will warn against changing the income system that way, because here we have many unintended effects. In the past, the Christian People's Party has also stated that it is important that municipalities and regions cooperate on what is useful to resolve jointly. That is why it is right to strengthen inter-communal cooperation. This is also one of the reasons why the Christian People's Party voted in favour of the joint municipal model, because we see that it can also be an instrument for strengthening intercommunal cooperation. In several areas, inter-municipal cooperation can lead to better services, more robust and interesting professional environments and also more efficient resource use. So I have said that the Christian People's Party sees that there may be several municipalities that can benefit from joining together, in order to carry out in a better way some of the statutory tasks that the municipality administers, such as. the many tasks that were transferred to the municipalities when the Cooperation Reform was launched. There are many municipalities that have challenges to provide sufficient capacity and skills to provide a satisfactory service. Community integration can, of course, lead to a better service provision, but here we also have inter-municipal cooperation that responds in many ways to those challenges. Therefore, in addition to facilitating increased cooperation, provision should also be made to enable the municipalities that so wish to have the means needed to merge. I would like to make it clear once again that for the Christian People's Party, volunteering is the basis of municipal unification. This is precisely why the Christian People's Party is calling for instruments that may allow municipalities that want to join forces – but whip is not the way to go.
ParlaMint-NO_2012-06-13.ana.ud101e1413	I note the attitude of the majority in the committee, which suggests that the proposal of the representatives of Hagesetter, Ørsal Johansen and Starheim must be rejected. The majority decided in 1995 that voluntary action should form the basis for the merger of municipalities, and the government has continued this in the Soria Mora I and Soria Moria II declarations. I also notice that the majority in the committee do not regard today's municipal structure as a big and pressing problem. A large-scale localization does not change the strange geography, unless coercion also means that the inhabitants are forced to move. Some would like to give the bridge and road money to communities that are merging. I want us to build bridges and roads for the benefit of people, regardless of where the municipal boundaries go. Representatives from the Progress Party want to make it more profitable for municipalities to merge. To do this, they have presented a proposal that makes everyday life much more difficult for those municipalities that don't have a real chance to merge. They want the small municipality initiative to be phased out over a period of time, for example. 10 years. I think that's a bad idea, because it's an important asset for a number of municipalities that meet specific challenges. The small municipality is based on regional policy conditions and is intended to ensure the level of income of smaller municipalities. Removing the small community bill doesn't have much to say in the big account. The small municipality bill is less than 1 pst. of the framework of the municipalities and is important for the 157 municipalities that received funding in 2012. Removing this suggestion, proposed by the representatives of the Progress Party, will affect many municipalities and their inhabitants – and will allow them to provide a worse service. It is also not such that this proposal prevents municipal mergers today. Municipalities that miss the small community because of a merger are now kept in full possession for 15 years after the merger, as part of the divisional approach, before it is subsequently stepped down for the next five years. The base bill is part of the cost cushioning of the income system and compensates municipalities for the costs associated with being a municipality – that one should have a basis to give both the administration and not least the service providers the opportunity to do their job. Some services are in all municipalities – because they are a municipality. The representatives of the Progress Party do not propose to remove the basic element of the income system, but they will change the way merged municipalities are compensated for loss of base values by merging. Today, the new municipality receives full compensation for 15 years as part of the divisional approach, before it is phased out for the next five years. The proposal from the representatives of Hagesetter, Ørsal Johansen and Starheim is based on the fact that municipalities that merge are fully compensated for losses caused by the loss of basic assets and other advantages. There is a bit of uncertainty as to how the representatives from the Progress Party think this should be done. The basic criterion of the income system is more than 10 million. kr in 2012. An entry bonus that compensates for an eternal annual loss may quickly become a very high amount. The representative of the Central Party has previously provided an estimate of this. I think today's divisional system is better, and it facilitates a good framework for setting up the new, independent municipality. A merged municipality has 20 years to adapt its everyday life to the new framework conditions and then receives support, in line with all comparable municipalities. I also believe that the divisional approach helps to provide a good framework for all the municipalities in the country. A large payment to a new municipality will affect the frame rate of all municipalities in the year in which the compensation is paid. Such an unseemly arrangement I think will be very unfortunate. The Government Party has also determined that the State shall cover the actual costs of aggregation. Previously, the state only covered 40–60 pst. The policy of today's government is that the starting point for aggregation should come from the municipalities themselves, and that the state should help to ensure that the aggregation is not a major item of expenditure in the municipal budgets. When you read this case, there are many questions raised, such as: How a practical person intends to do this, what will be the outcome for those municipalities that are unable to merge. It's not that one can take Sunund into a country and merge it with another municipality – or are they to be remotely controlled far away? There are many municipalities that are in such a situation. Traveling to Hedmark, with the enormous distances that are there, we see that there will be significant disadvantages for the inhabitants – unless one wants to move them. That's maybe what's really the problem, that a desire to centralize people.
ParlaMint-NO_2012-06-13.ana.ud101e1447	It's going to be line change.
ParlaMint-NO_2012-06-13.ana.ud101e1450	The installation from the state council was not in any way surprising. The birthplace was that there is no need for fewer municipalities, there is no need for municipal convergence – despite the fact that we have more municipalities today than when the presidency laws were passed 175 years ago. In our neighbouring countries, there's a lot going on at the municipal convergence front. Sweden is significantly reducing the number of municipalities. Denmark has decreased, they have come under 100. Finland is also on its way down and has the ambition to get well below 100 municipalities – 74 municipalities are probably what is suggested. Then my question is, what makes Norway different? What makes Sweden, Denmark and Finland openbert need fewer municipalities, more robust municipalities, while Norway does not have it? Can the Council of State explain what is the difference here?
ParlaMint-NO_2012-06-13.ana.ud101e1459	Yes, Norway is a different country. In the 1960s and 1970s, when most countries around us chose a centralisation line, Norway chose a decentralisation line. Maybe it was good that we didn't have the centralization force of the Progress Party at that time. It is not likely that the result would have been the same. A wise political plural chose to decentralize — building airports, high-scuits and workplaces all around the country. So we have a people's opinion that's very special in Nordic and maybe in European context – and almost in worldly context. It's life and touch in these communities, thank you very much for the people who start businesses and do industrial work, but also thank you for having a differentiated community structure, where a sister for well-functioning schools, kindergartens and care for the elderly in their communities. There is no doubt that having such a differentiated municipal structure is also important in a district policy context, precisely because our country looks like it does.
ParlaMint-NO_2012-06-13.ana.ud101e1466	Our neighbouring country also has a settlement across the country. Of course, it should be, even if you have a municipal conjugation. The central party and the state council are trying to make it so that if you have municipal conspiracies, there's also something to say about the construction pattern. Of course this is not the case. On the contrary, a good, robust municipality requires a good basis to build a building in the district of Norway. The councils have previously mentioned that it is very little to save money for municipalities to merge. At the same time, it is also noted that small municipalities are important for municipalities to have enough money to provide good services to their inhabitants. The small municipality concept is an example of large municipalities subsidising small municipalities. If there's nothing to save on getting mixed up, why do we have a small community bill?
ParlaMint-NO_2012-06-13.ana.ud101e1473	The small municipality bill has us because there are a number of municipalities that have a higher cost of providing services – because people are scattered, because there are disadvantages associated with travelling by ferry, having alleys, caring for the elderly – one has to run many, many miles to provide the elderly with a good supply in their homes. It costs money. It will not see the Progress Party, therefore the Progress Party is pursuing a centralising policy. When it comes to our neighboring country, I ran from Kiruna to Rovaniemi on Friday. It was interesting to run north from Kiruna, because there was almost no runoff along the road, and I saw one house in many, many miles. It was a little different when I went into Finland, and there were a little more houses to see, but there was a big difference between running down a Norwegian valley and following a Norwegian main road. So it's like Norway has a different busset, and the Center Party and the government are going to fight for that in the future as well.
ParlaMint-NO_2012-06-13.ana.ud101e1480	Now the Council of State answers that the small municipality is a performance that exists because it is more expensive to provide services in some municipalities. That's not what the small municipality bill is, because if two municipalities with 3,000 inhabitants merge, one of them loses 10 million. kr in income. But these municipalities will have exactly the same construction pattern, and it will cost exactly as much to deliver the services in these municipalities even if they merge, but they will still lose 10 million. kr in income. If one is a co-municipality, one does not lose it, but if one merges – as many municipalities wish – one loses these revenues. That's exactly what this Progress Party wants to do. We don't want one to lose financially to merge, we want one to have an economic incentive that makes it attractive to merge.
ParlaMint-NO_2012-06-13.ana.ud101e1485	But if it's the case that the Progress Party doesn't want one to lose on merging, why would one then take away the small community proposal? Then one can only say that the communities that join together will keep the small community proposal forever. Then there is no reason to remove it first and then say that one should compensate the municipalities with a single sum. To compensate for a one-off sum: if other municipalities do the work of central parishes, that is to say, to merge – it is certainly only the central party that perceives that it is possible to do so without being ordered from the Stortinget – they get a rather difficult sum to be drawn from the frame to the others, for example. 10–15 municipalities merge for a year. How should a person do it in practice?
ParlaMint-NO_2012-06-13.ana.ud101e1492	We are making this proposal because one has to have a financial incentive to continue voluntary community converging. It contains two grips: one is that the small municipality bill should be phased out over a period of, for example: 10 years. This will, of course, mean that small municipalities will find it more attractive to merge, because then it is not the loss of the small municipality that prevents municipal convergence, one will lose it anyway. We'll give them good time – ten years – so that they can get their word on it. It also includes fully offsetting the loss of base options that goes beyond 15 years in time. It's a loss because it's going to be a get the present value of paid out as a one-time sum. This is a carrot, and it doesn't cost the state anything, because this is expenditure that the government has in the income system today.
ParlaMint-NO_2012-06-13.ana.ud101e1497	I think we just have to say that the Progress Party has to work a little bit more on its model and look at the consequences it will have for Kommune-Noreg. It's not that all municipalities can actually physically merge, if one isn't going to get huge distances. They will then miss an important basis and funding of their services to the municipalities. The Progress Party system sketches, is something I think I've been away before as a local politician, at a time with another government, where cutting off the local economy and removing good arrangements for the smallest municipalities would force them to merge. It's not volunteering, it's coercion. There are many ways to force municipalities. One can force through law, one can force through economy, and one can force by making it impossible to operate such a thing today. What is outlined from the Progress Party suggests that one will force the municipalities by tightening up the economy, so that they do not operate well.
ParlaMint-NO_2012-06-13.ana.ud101e1506	That's the line change. The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2012-06-13.ana.ud101e1512	We have a lot of municipalities in this country, but it's a little weird when many people talk about the municipalities as if they had an absolute constant and equal size. They don't. Utsira with its 214 inhabitants is the smallest municipality in the country measured in the population, Oslo has over 600 000 inhabitants. White Island in Rogaland covers only 6.17 km2, while Norway's largest municipality is Kautokeino in Finnmark with its 9 707 km2. There are considerable differences in Norway, and there is also reason why it is appropriate to leave much of the governance and design of services to the local population. It provides more cost-effective solutions and provides better quality solutions. At the same time, we know that when we have local governance, there are differences in the welfare provision between municipalities. Some give priority to care for the elderly, while the neighbouring municipality may give priority to primary school. It's okay, but the differences can't be too big. One of the characteristics of the Norwegian social-democratic model is very small differences. It gives you confidence that you will get the help you need, when you need it, regardless of whether you live in Bergen or in the Moscows. That equivalence also gives the legitimacy of Norwegian society, a society in which we have the principle that those who have the strongest back contribute to those who have a little bit bigger should than us. For the Workers' Party, it is essential that we ensure functional, sustainable municipalities – not because we have to save money, but because both at the Stortinget and the inhabitants of the municipalities are increasingly demanding what municipalities should do in child protection, in schools, in kindergartens, in land planning, preparedness and much more. We expect service, and we expect quick answers – in short. The Labour Party will have functional and sustainable municipalities because we need to strengthen, improve and renew the welfare offer. Although many of the small municipalities are doing well, we also see that professional environments are often small and vulnerable, and with new, complex tasks and increasing expectations, recruitment of right and high enough competences is a challenge. Today's municipal map is essentially a result of the big change made in the 1960s, almost 50 years ago. The world has changed significantly since then. The representative, Hagen, is asking what the issue in the debate is. I believe the right question in this debate is: do we have the optimal and perfect organisation of the level of management in the primary municipalities, or is it such that the organisation we have today does not contribute to finding the best solutions? If it doesn't help to find the best solutions, we're going to have a discussion about what might be appropriate organization. I fully agree with the representative Tetzschner in his summary: the responsibility lies at the seventh and last in Stortinget. The size cannot avoid its responsibility for ensuring the proper, efficient and sustainable organisation of the management of Norway.
ParlaMint-NO_2012-06-13.ana.ud101e1533	The state has assigned larger and more extensive tasks to municipalities. In addition, the requirement to report to government agencies has increased. In my view, the tasks assigned to the municipalities are not related to the municipal structure of the day. The interaction reform, which was imposed on municipalities by the last major task, is demanding, and I see it as inappropriate to set up health municipalities with additional bureaucracy. We also see that there are many intercommunal companies to deal with common tasks in a region, and this is increasing. When it comes to the creation of intercommunal companies with their own governing bodies, one can see that decisions that are important to the inhabitants are often taken in closed rooms. This does not help to strengthen democracy. The centre party is set on fire with the small-scale community in the districts. In my own state, Sogn and Fjordane, a clear view of how it has gone. Population developments in Sogn and Fjordane have stagnated. We have almost the same population in the county now that we had in 1946. The same thing happens in other states, as the Center Party calls district states. It is therefore not surprising that the local government minister from the Central Party believes that we do not need fewer municipalities. We in the Progress Party are busy getting valuables instead of keeping a big public bureaucracy. Both politicians and people most in Sogn and Fjordane have said that it is almost impossible to meet spokesmen and advisers because they travel around because of various boards and regional cooperation bodies. Of what they're discussing there, it's usually just a little bit that comes out in the open room. The Progress Party has in its programme that municipal convergence should take place on a voluntary basis. I'm skeptical that volunteering works, even if we adopt good carrots. I know that in this room there are more and more, across the party boundaries, that will change the municipal structure we have today. I was happy when I recently registered that the vice-leader in the Workers' Party had a strong desire to do something about the municipal structure. I don't think it would be difficult to support such a proposal.
ParlaMint-NO_2012-06-13.ana.ud101e1548	This proposal that the Progress Party has put forward here seems to some people to want to try to doubt rather than go into reality, namely that it would be good for the creation of value in Norway and for the production of services in Kommune-Noreg that one gets larger and more robust municipalities. That is the need for the future. The background to this proposal is to make it easier to get together on a voluntary basis. No one is going to lose when they merge. It's, as it were, two grips. One is that the small municipal supplement should be phased out during a period of e.g.: 10 years. So it's that the present value, which arises after the loss of the base supplement, is going to be calculated. The present value of the future loss of income shall be paid as a lump sum. There are more, including: The representative Heidi Greni and the Council of State Liv Signe Navarsete, who has spent time on the chair to think about how this should be done. I think they get the idea of how to do this. In any case, this is an elementary economic account — how to calculate the present value of a future loss of income. It calculates an interest rate based on the underlying interest rate. To explain this simply: if a municipality loses 11 million. kr, he shall have this compensated for 15 years, and then one shall descend for an additional five years. Then it would be that if one gets a one-off sum and puts it in the bank, he should in 15 years plus five years of stepping down be so big that he will give a return of 11 million. kr in the year to come. It's very simple, and this won't cost the state anything, because this is money that the municipalities are transferring today. What will be the reality of this is that municipalities will retain the gain resulting from a municipal merger. Today, it is the country that gets reduced expenditure when municipalities join forces. Because the small municipality grant and the basic grant are falling, it becomes less able to transfer to the municipalities, while the municipalities receive reduced income and must, during that transitional period, streamline at least as much as this loss of income represents, in order to receive a plus. Not all municipalities see that they're doing it, so there's a few municipal mergers.
ParlaMint-NO_2012-06-13.ana.ud101e1559	Several have not asked for the floor in Case No. 2nd@item: inlistbox
ParlaMint-NO_2012-06-13.ana.ud101e1573	At the request of the Financial Committee, the President will propose that speaking time be limited to 5 minutes to each group and 5 minutes to the Council of State. Furthermore, the President will propose that a replacement of lines be given with up to five lines with replies after contributions by a member of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2012-06-13.ana.ud101e1582	The representative proposal from the Christian People's Party that we are about to deal with now addresses very important and current issues for Norwegian consumers. All of us have read in the media or been told stories about the complicated savings products Norwegian consumers experienced they were tricked into buying in the years before the financial crisis in 2008. We have also heard many stories about how consumers who have complained to the Department of Finance have experienced that they have been rejected when they have filed a complaint. This is why, today, a joint committee is behind a proposal for a decision asking the government to assess whether there are grounds for changes in the organisation and activities of the Financial Complaints Board which may help to strengthen the rights of complainants. The Committee would strongly stress that the financial industry is responsible for providing adequate and good advice to its customers and earns the trust between consumers and the industry we depend on for a well-functioning financial market. It is also important that consumers take responsibility for the investments they make, but they should feel confident that the financial industry provides advice on appropriate and sound placements, and that this is done in a good and informative manner, including in writing. It shall also be possible for consumers to complain in a simple way if they believe that a product different from that proposed has been obtained. Financial complaints are meant to be a low-threshold offer to consumers, but with a background in all the stories that have been told about how this is happening, it is permissible to ask questions about how it works today. The majority of the Committee, with the exception of the members of the Christian People's Party and the Left, argues that the role of business in the denominator should be continued. As pointed out in the Financial Complaints' mandate, today's model involves the individual industry taking responsibility, including financially, for the resolution of disputes. This contributes, in the view of the majority, to the responsibility of the business community itself. The minority will set up an independent State body of complaint for financial services. The Committee is strongly critical that structured, loan-funded savings products with significant risks and almost non-existent opportunities for small savers to make money were sold to ordinary people to a significant extent before the financial crisis, without intervention by the Financial Supervisory Authority. Consumer responsibility is made clear to the Financial Supervisory Authority afterwards, and the Financial Crisis Committee recommended in its NOU 2011:1 Better armed against financial crises that ‘Norwegian regulators are given a clearer legal responsibility to protect consumers’ interests and rights in financial markets’. The Committee is pleased that the Ministry of Finance, as a follow-up to it, has recently sent to the hearing a proposal to clarify explicitly in the Financial Supervision Act that the Financial Supervisory Authority should ensure that the institutions under its supervision take account of consumers. Finally, some words about the proposal of the Christian People's Party, to which the Left has also joined, to ban the sale of so-called warrants – which is also a type of complicated savings product – to non-professional investors. There is no doubt that it is worrying that the sale of these types of products is again taking place, but the majority of the Committee does not see it as a solution to prohibit the product. There will be a significant demarcation problem because product development is constantly taking place in this market, and the issue is further complicated by the fact that some types of warrants are listed so that non-professional investors can, in any case, submit an order for the purchase of that type of product. The majority therefore consider that the most appropriate way to limit this type of product is through strict requirements for advice, counseling and marketing as well as for the supervision of sales. The majority of the Committee considers that just checking this type of sale is a priority area of the Financial Supervisory Authority even today. With that I put the matter forward. I would like to express great satisfaction at the fact that, today, an overall committee agrees with the decision to ask the government to assess whether there is a basis for changes in the organisation and activities of the Financial Complaints Board which can help to strengthen the legal certainty of the complainants.
ParlaMint-NO_2012-06-13.ana.ud101e1597	Financial activities are important in a modern economy. At the same time, we know that many of the products they have are very complicated, and it takes great financial insight to understand them. Understanding these products is essential for assessing the risk. Could not assess the risk, it is quickly done that one is willing to pay the wrong price for them. In recent years, we have seen that several complex products are for sale to ordinary consumers. It's unfortunate if ordinary consumers don't understand what they're actually buying. They are led by nice and eloquent sellers to believe that here's the big upside, while you're not talking about the downside. Therefore, it is important that there is some sort of regulation of this market, that there is a financial supervision that follows what they are doing, so that not eloquent sellers are able to trick ordinary people into buying something that ultimately costs them a lot of money. You have seen some of the products that are so-called guaranteed savings products, have very little outside, but there are very large fees for those who sell them. This is not the way a market should work. The industry has a significant responsibility. I think the case rapporteur gave a very good picture of both what this is all about and what challenges a meeting is. The industry must take the responsibility that they guide private customers and not deceive them. Penalties against people in the industry who abuse this trust must be used. It is important that we have out-of-court dispute settlements so that not everything should be brought before a court. It will both complicate the work of the Court and become unnecessarily expensive for society. At the same time, we know that there are some things that don't have the economy to bring their cases into court, and having a low-threshold offer, which is also much cheaper, is very good. It is important that the industry is not controlled, for example: Financial complaints alone, but there are many external actors, who also ensure that the majority are away from industry. It does not mean, however, that all those who take up their cases are expected to be involved, because complex cases may have different outcomes from what the consumer wants. It is important that the financial complaint subject does a good job. People must have confidence that they are independent, and they must have confidence that the job is done properly. When some people feel that their case is being dealt with in two minutes at a meeting, it is difficult for them to have that trust. That's something that financial complaints themselves have to make up an opinion about. The Progress Party believes that the Financial Supervision should place greater emphasis on consumer concerns than they do today. That is why the Progress Party, together with the Christian People's Party and the Left, is promoting a proposal on this. I take up that proposal. However, we also support the proposal contained in the vote on the motion for a resolution – a tribute to the Christian People's Party, which actually manages to adopt something through a Document 8 proposal. It's not often that happens. You can do that now, and it also shows how important this matter is. We are in favour of this proposal that it be strengthened and will support this. We also hope that the government will report back to Stortinget in an appropriate manner on how this is done. In this context, the Progress Party will also focus on strengthening the competence of the Consumer Council. Because it is often those who have to file a complaint with the Financial Complaints Board. Then one looks at the Consumer Council people as the best representatives of consumers. It is therefore important that the people of the Council have both the capacity and the competence to talk more about consumers' issues than they have today. We know that those who represent the financial industry in the name of it often have top skills about what they are doing, and then they must be met with corresponding top skills from people who have different interests than caring for their own interests. But I am very pleased with the way in which the matter has been dealt with in the committee – again the honor of the case rapporteur for a good report and for a good attitude. I refer to the proposal on which the Progress Party is involved.
