ParlaMint-NO_2012-03-07.ana.ud1189e26	The representative, Arve Kambe, will put forward a proposal for a representative.
ParlaMint-NO_2012-03-07.ana.ud1189e941	I would like to ask the Minister of Health the following questions: ‘The Health Moor and Romesdal Board has chosen to maintain its decision to shut down the Nevrohome Rehabilitation Centre, which is the only multi-disciplinary offer in the region for MS patients and others with chronic neurological diseases, to save 10 million. kr. This is now being met with very strong reactions as the new supply under the direction of the health company will have fewer places and will need to be restarted. Will the Council of State, as the Chief Health Officer of the country, engage in this matter so that the offer can be maintained for these patients?’
ParlaMint-NO_2012-03-07.ana.ud1189e950	All patients should receive the services they need, both in the specialist health service and in the municipality. It also applies to people with chronic neurological diseases such as multiple sclerosis. According to Health Mid-Norway RHF, it is not correct that the Nevro Home Rehabilitation Centre is the only multi-disciplinary offer in the region for MS patients and others with chronic neurological diseases. They state that more decentralised services are now to be established for patients with neurological disease. The new offer will be established at the hospitals in Ålesund and Molde. It shall include both beds and outpatient rehabilitation. Adding the offer to hospitals will improve access to more specialities and medical services than today. Provision for this patient group will also be made by Aure Rehabilitation Centre and Mork Rehabilitation Centre. A joint admission team shall also be established in the healthcare establishment's rehabilitation service. In addition, an outpatient offer is planned at Kristiansund Hospital, starting during the last half of 2012. Health Mid-Norway informs us that the competence developed at the Nevro home will be transferred to the new units. A plan shall be drawn up for the enhancement of competence. Buildings should be adapted so that patients coming from the Nevro home get exclusive and good treatment and training space. The offers of Ålesund Hospital and Molde Hospital and the new intake team shall be evaluated. User representatives shall also participate in that evaluation.
ParlaMint-NO_2012-03-07.ana.ud1189e961	I think it is very alarming that the only people that the Council of State has heard here are those who have decided to close the offer, namely Health Moors and Romesdal. It appears that the Council of State does not have sufficient information in this matter, on the offer to be made. You have to replace 14 beds with four beds in Ålesund and four beds in Molde, i.e. eight bed places. In the case of Mork Rehabilitation Centres, there is essentially a well-organised site for stroke patients and very little associated with MS patients. The outpatient treatment department has just been linked to MS patients. The patients who use it are very skeptical and very afraid of the offer that is now being given. It will certainly be a good professional quality. The problem is that there will be many fewer people who will benefit from this, because the number of places will be reduced, and the multidisciplinary offer that is built up today at the Nevro home will not be the same. My question to the Council of State is: will the Council of State make sure to talk to the users of this centre before choosing to drop it?
ParlaMint-NO_2012-03-07.ana.ud1189e968	It's no wonder I'm dealing with the health company More and Romsdal or Health Mid-Norway RHF. It is through the regional health company that my guideline goes, and it is those who are responsible for ensuring that it is a good offer for all patient groups – including in More and Romesdal. Then the board of the health company More and Romsdal are responsible for organising the offer for their citizens. The fact that there are fewer beds, I am also aware, at least initially there are four beds in Ålesund and four beds in Molde. In addition, there shall be several outpatient areas. It is important to be able to provide more detailed services where most people live, as well as more flexible services, so that more people can be offered.
ParlaMint-NO_2012-03-07.ana.ud1189e975	My criticism is not that the Council of State has listened to the health company. My criticism is that the Council of State has only listened to the health company, and it is clear that then you only get one side of the case. When the Council of State decides to say that now we have to go down, and then you have to evaluate it afterwards, and then the users are going to get on the track, it becomes completely meaningless. So it's going to be going down the institution, and then we're going to evaluate the new one, and then we're going to see where we are. Yes, then you have already taken a good offer up with the root and removed it. I think it is sad that the Council of State so until those degrees show that this matter she will not address. I think it's regrettable, all the time, that there are a lot of the weakest patients who have a progressive course of disease, which only makes it worse and worse for the patients. Then it is important to have the security that such an offer can provide. I challenge the Council of State once again: will the Council of State, before you finally put a sentence in this matter, ensure that users are also heard?
ParlaMint-NO_2012-03-07.ana.ud1189e984	I am concerned that the patients in More and Romesdal will have a good offer. But I have to say with all due respect that I think they are better fit to carry out the medical evaluation in More and Romesdal than I should be from my office in Oslo, or we should be in Stortinget. In fact, it is those who have to make an assessment of what is now to be organised for this patient group. Then it is clear that we will follow closely all patient groups, because here it is that the specialist service must constantly assess the offer they have, whether it is good enough, whether it complies with the professional standard that is necessary. Here, it is supposed to get a better – a broader – medical offer, not a worse one.
ParlaMint-NO_2012-03-07.ana.ud1189e993	I would like to ask the Minister of Health the following questions: ‘In the newspaper Østlandingen on 18 February 2012, we were able to read about a 64-year-old drunkard with a need for a new lung, but because he is over 60 years old, he is not able to do so. Does the Council of State think it is right to have age limits for when you are too old to receive this type of treatment, thus removing all opportunities to get a decent life back?’
ParlaMint-NO_2012-03-07.ana.ud1189e1002	I am concerned that medical treatment issues are addressed on a medical basis. When questions of transplantation are relevant, each application is assessed on the basis of medical data and the patient is called for consultation. If there is a doubt, the application is assessed by transplant-fast lung physicians and thorax surgeons. The games consider, among other things:\t\t You can change the patient's biological age how lung disease that has led to respiratory failure will affect life expectancy if the patient has other diseases that will affect life prospects after transplantation if clinical changes have occurred after the first referral that will affect the outcome if there is a need for one or two lungs, and if the patient also needs a new heart prior surgery in the breast, the potential for rehabilitation during a successful transplant; There are some patients over 60 years of age who are being investigated for transplantation after such an assessment, but international experience suggests being extremely careful about offering transplants to patients over 65 years of age. The occupational environment now assesses the age criterion and what speaks against a transplant, more stringent than before. This is due to experience in the complication and risk of transplantation in elderly patients. The complaint has decided that the county is the Board of Appeal for individual patients. As Minister of Health, I am responsible for ensuring that the transplant offer as a whole is optimal within the framework adopted by the Stortinget. I'm proud that Oslo University Hospital is now among the world's best both in the number of transplants and in the overall outcome of transplants.
ParlaMint-NO_2012-03-07.ana.ud1189e1033	I thank the Council of State for the answer. This is a difficult matter – it is both the questioner and the Council of State agree on, I believe. But what this is about is setting age limits, and in this case it's 60 years old. It is clear that when a person who needs a lung has passed 60 years of age and is refused because of age – at least what the article says, and I myself have visited this man, who confirms that it is because of the age he has been given no – that means that then life is over. So brutally, you almost have to be allowed to say that. When you get no on a matter like this, it means that life is over in a relatively short time. That's what I think is bad. At least you should have a hope of getting a transplant sometime.
ParlaMint-NO_2012-03-07.ana.ud1189e1040	As I tried to refer to in my answer, there are many assessments that are made when you are faced with assessing whether a person is going to have a transplant. As far as I understand it, it's like this, at least for a lot of transplants, for example. of kidneys, increasing in age, but it is difficult for lung transplantation. So this is because when your lungs fail, according to doctors, other organs often fail, for example. the hearts. It is always the case that this must be a medical professional assessment. It's not like you have a lot of access to organs either. At least we have to be glad that this is a field that is still going forward.
ParlaMint-NO_2012-03-07.ana.ud1189e1047	I thank the Council of State for the answer. I think I put the last question into practice and refer to this article, where a person stands up with his image and name. His name is Johan Ringdahl, 64 years old. Then is my specific question: What hope can the Council of State give to Johan Ringdahl?
ParlaMint-NO_2012-03-07.ana.ud1189e1054	It is not possible in Stortinget to go into a single matter, even though I have been referred to it by the representative of Bredvold. I have to answer on a general basis, and I have tried to do so as extensively as I can. There are many factors that need to be taken into account when it comes to transplantation. It's complicated. It's complicated about age, but there's also other issues that are being assessed. I believe that those who believe that they do not receive the offer they should take this up with the county, so that the complaint may be considered again.
ParlaMint-NO_2012-03-07.ana.ud1189e1065	This question, from the representative Borghild Tende to the Minister of Labour, is raised by Abid Q. Raja.
ParlaMint-NO_2012-03-07.ana.ud1189e1068	‘The number of young disabled persons has increased by 24 pst. in four years. Nav states, according to Today's Business 24 February, that this is due to mental problems. There's a somewhat illogical conclusion, because there's almost no growth in the number of people over 30 years of age in the same period. However, training supported by Nav has become more difficult during this period. In my view, there is a main explanation for the increase in the number of young people. Does the Council of State share this assessment, and will the Council of State in that case make it easier to combine education and social benefits?’
ParlaMint-NO_2012-03-07.ana.ud1189e1075	Like the representative Raja, I'm concerned about the strong growth in the number of young people. The number of young people under the age of 30 increased by barely 1,800 or 24 pst. from 2007 to 2011 and with 719 persons in 2011. Growth can be partly explained by general population growth in this age group, at 11.4 p.m. during the period. There has also been an increase in the number of young people with unemployment benefits. While young people under the age of 30 make up 3 pst. of all disability pensioners, is 16,4 pst. by the recipients of redundancy benefits under 30 years of age. Consequently, the strong growth in 2011 can be partly explained by the conversion to redundancy benefits that came in 2010, which included persons who had previously been on temporary unemployment benefit and who have now been granted permanent disability pension. The trend of growing disability rates among young people is the same in several other countries. Research has shown that mental illness is the diagnosis group that has increased most among young people and that there has been an increase in recent years in the number of young people suffering from severe mental illness. This is a reality that we have to deal with. There is no evidence that there has been a similar increase in the incidence of mental illness among young people in the general population. The causes of unearned retirement among young people are complex. There is no simple explanation as to why more young people become disability pensioners today than before. In the crash report, Prop. 130 L for 2010–2011, which was dealt with at Stortingen in the autumn, is set up to provide a broad and integrated effort to reduce disability among young people. Many of the measures have already been implemented. This applies, for example: The new GIV project, directed by the Ministry of Knowledge, is designed to ensure that more people carry out secondary education. Cooperation between the health services and the Employment and Welfare Act is another measure that shows good results. Furthermore, from 2012, the government has launched a job strategy for people with disabilities. The strategy is precisely targeting the age group under 30. The State of Employment and Welfare has a broad range of measures aimed at people with disabilities, including support for regular education. In 2011, 19,500 persons participated in training activities in the Employment and Welfare Act. This accounted for one third of all persons with reduced working capacity. Over time, the number of persons under the age of 30 on training measures has declined slightly, while the number of participants in the measure has increased overall in the same age group. In 2004, there was a change in the rules on training aid, which in practice meant some tightening. An important reason was that, as a general rule, young people, and in particular those under the age of 26, will benefit from the State Lending Fund for Education. However, people with disabilities who need training in order to obtain or maintain work may continue to receive support. It is essential whether education is necessary or appropriate to get into work. It is therefore difficult to see that changes in the use of education as labour market measures in relation to the age group below 30 can significantly explain the growth of young people. Moreover, under 30 years of age with reduced working capacity are given priority in the allocation of labour market measures. This has been reinforced as of this year with the government's job strategy for young people under 30 years of age with disabilities.
ParlaMint-NO_2012-03-07.ana.ud1189e1088	I thank you for the answer from the Council of State, which is far on the way – and naturally – the same thing that was under pressure in today's business yesterday. It is possible that the Council of State is right – as technically – that there has been no formal change other than the transfer of support from one law to another, but we get reports that practices have changed, and that many young people with chronic illness experience that it has become much more difficult to get support and help from Nav to complete formal education and thus avoid getting into permanent disability. However, the main point in my question is the clear link between education and disability among young people. Poor health at an early age and lack of education are two factors that are very important to explain why many young people become disabled. The question will then be what opportunities the Council of State sees to make it easier and more flexible to combine education and temporary social benefits through Nav, just to prevent young people from getting into permanent social benefits. It will be profitable both for the individual concerned and for the country in the long run.
ParlaMint-NO_2012-03-07.ana.ud1189e1099	One of the most important things we do is the commitment we have through the New GIV — ensuring that young people actually complete higher education. Not having education is one of the main causes of disability. Then these rules were changed in 2004 — the limit was set at 26 years — because it must be so that most young people should use the State loan fund. There was a tendency for someone to cover their education through the Loan Fund, while others did not. At the same time, much more attention has been paid to the use of education through hubs and measures while on clarification. What has been done, in particular, with regard to the State Loan Fund, is to open up so that young people can convert their loans into scholarships. It's one of the most important things. So when you finish your education, you can turn your loan into a scholarship. I mean all in all that we have a very good arrangement now that takes into account that we have to prevent people from using the loan fund in the wrong way.
ParlaMint-NO_2012-03-07.ana.ud1189e1108	I thank you again for the answer. There is no doubt that we need to use the tools we have to counteract a trend in which more and more young people are becoming permanently disabled. In this way, the Council of State has an important instrument through Nav. Governments have shown that 20,000 received training support through Nav last year, but how many of these were less than 30 years old appears to be unclear. How many are there really? Can the answer help camouflage reality? In addition, the Riksrevision presented a report yesterday showing that Nav’s budgets have increased by almost 30 pst. during the period 2008-2010, but all significant improvements in administration have been made. How will the Council of State ensure that the increased appropriations for Nav actually go to those who need it, and not least that they are used as an active tool to get young people to complete education and get to work?
ParlaMint-NO_2012-03-07.ana.ud1189e1117	As regards yesterday’s report of the Riksrevision, it covers the period 2009-2010. The figures for 2011 -- I'm sure they'll give me the opportunity to put forward -- are of a completely different calibre. So it was a very difficult period in Nav's history, but now you see completely different numbers. So that's very good. I think we definitely share the common concern and believe that we must help young people in particular. All the measures that I am now taking are targeted specifically at young people. It is a bit of a raw priority – especially the job strategy – but I think it is important, because otherwise there is a lost work life ahead of them. I'm also busy with education. We don't very disagree, but I think we have a little bit of different documentation or view of whether the conversion we did has that effect. I mean, it doesn't have it. I believe it was a negative effect we had in the past, by the fact that some people – who were not to get it – were actually able to cover their education through government grants. Then we did it that way to prevent that association. Then, of course, we have to make sure that education is still an alternative for those who are really going to get it. That is why I am pleased that we have done so that the loan fund can now convert loans into grants for those who were actually disabled and who have completed education.
ParlaMint-NO_2012-03-07.ana.ud1189e1126	The ordinary Questionnaire has changed.
ParlaMint-NO_2012-03-07.ana.ud1189e1139	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
