ParlaMint-FR_2020-10-26-O1040.u1	The next item is the debate on the second part of the finance bill for 2021 (No. 3360, 3399).
ParlaMint-FR_2020-10-26-O1040.u71	Mrs Josette Manin has the floor to support Amendment No. 904.
ParlaMint-FR_2020-10-26-O1040.u72	It provides for the recruitment of additional research teachers. In France, researchers are too often taken over by their teaching responsibilities and taken over by administrative management functions. In terms of student numbers, they are far fewer than their counterparts in other OECD countries. It is therefore necessary to give them time for research, while allowing them to continue to disseminate their knowledge. The recruitment of an additional 25% of research teachers by 2025, i.e. 9,000 lecturers and 5,000 university professors, would reduce the annual teaching burden by a quarter. We propose to reallocate EUR 170 million for this purpose for 2021.
ParlaMint-FR_2020-10-26-O1040.u73	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u74	As I have just indicated, the draft budget for 2021 provides for the creation of 700 posts under the State employment ceiling. In addition to this there are fairly significant measures of compensation revalorisation, which will make careers more attractive. The opinion is therefore unfavourable.
ParlaMint-FR_2020-10-26-O1040.u75	Mrs Josette Manin has the floor to support Amendment No. 905.
ParlaMint-FR_2020-10-26-O1040.u76	It aims to increase the number of research and training engineers and technicians recruited in 2021, at a cost of €135 million.
ParlaMint-FR_2020-10-26-O1040.u77	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u78	In the case of engineers, technicians and administrative staff, the flow of recruitment will be higher than that of departures, which will allow for the strengthening of support and support functions in research laboratories, including scientific and technical functions. In addition, the budget path provides for re-training of engineers and technicians through recruitment. This is a major effort, and it will indeed be accomplished. I would also point out that 700 posts under the State employment ceiling will be created by 2021. My opinion is unfavorable.
ParlaMint-FR_2020-10-26-O1040.u79	Mrs Beatrice Descamps has the floor to support Amendment No. 849.
ParlaMint-FR_2020-10-26-O1040.u80	While we should welcome the upgrading of doctoral contracts – as we say and repeat – we regret that it concerns only new contracts. The salary of doctoral students whose thesis is currently funded by the university is 1769 euros gross per month, which, in our view, is not an acceptable level. We therefore propose to upgrade it by 10%.
ParlaMint-FR_2020-10-26-O1040.u81	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u82	The Research Programming Act provides for important measures to improve the remuneration of young researchers, including doctoral students. In this regard, it sets an ambitious objective: an increase of 30% in the minimum remuneration for doctoral contracts by 2027. In addition, anti-inversion devices are provided for young researchers, so as not to penalize those who were recruited before the law came into force. In my view, the amendment is satisfactory, at least in large part. I therefore express an unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u83	Mrs Muriel Ressiguier has the floor to support Amendment No. 791.
ParlaMint-FR_2020-10-26-O1040.u84	By this appeal amendment, we propose to implement a plan for the tenure of all the precariouss in higher education and research who carry out long-term functions. In 2017, according to the estimates of several trade unions and collectives, France had 23618 non-permanent teachers-researchers, on the one hand, and 19901 non-teacher contract workers employed on permanent missions, on the other. In addition, there were 5116 non-permanent researchers and 11774 engineers and technicians engaged in contractual research and training on permanent missions. Our logic is simple: if staff perform permanent or likely functions, there is no reason not to titularize them.
ParlaMint-FR_2020-10-26-O1040.u85	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u86	The majority of the 15,000 out-of-ceiling posts provided for in the Programming Act, or more than 11,000, will be for research projects. They therefore do not correspond to permanent functions. However, due to the constraints inherent in the CSD, laboratories are sometimes forced to separate from talent. This is the whole stake of the CDI's scientific mission, which will allow them to redeploy them to new projects that are the subject of new funding. In addition, contractors fall into a wide range of categories. Doctors and ATERs – the temporary teaching and research attachés – are not intended to hold permanent positions, you understand that, since they are still in a training logic. As for invited professors and lecturers, who intervene for a few weeks or months, there is also no need to consider their tenure. The opinion will therefore be unfavourable.
ParlaMint-FR_2020-10-26-O1040.u87	Mrs Josette Manin has the floor in support of Amendment No 906.
ParlaMint-FR_2020-10-26-O1040.u88	It aims to grant a minimum remuneration of 1.5 SMIC to individual teachers who cannot justify a gainful activity outside the courses they provide. Provision should be made for a minimum number of hours for these individual contractors in order to guarantee such remuneration.
ParlaMint-FR_2020-10-26-O1040.u89	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u90	The term "individual" covers, as you know, very different realities. They are often personalities outside institutions who provide professional insight or expertise in the course of training. They may also be young researchers with a doctoral contract. For young researchers, the challenge is to have funding for their thesis, with vacations being a complete one, while offering them an initial teaching experience. It is the ambition of the research programming law, which provides for the conclusion, by 2021, of almost 300 additional doctoral contracts. In addition, a very important work is being done at present to allow, within a short period of time, the monthly payment of vacations, a principle which has been laid down by an amendment to the programming law. This will be a real step forward, which will solve a real problem. The opinion is unfavourable.
ParlaMint-FR_2020-10-26-O1040.u91	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u92	First of all, I would like to point out that, most of the time, individual teachers are not in a precarious situation, far from it, since 80 per cent of them are qualified professionals from the public or private sectors who are recruited for their scientific, cultural or professional skills. They must then justify a main professional activity, either in France or abroad, of at least 900 hours per year. The amount of remuneration for the additional hour shall be EUR 41,41. You estimate that one hour of teaching is equivalent to 4.2 hours of work. This is a theoretical calculation that means that each teacher-researcher should actually devote more than 800 hours to provide 192 hours of equivalent TD course – directed work. Even by retaining this ratio, the compensation for hours worked remains higher than the net hourly SMIC, knowing that when these overtime hours are paid to public servants, they are not subject to income tax. However, the situation of individual temporary staff should be improved when they are registered doctoral students. This is why, as the Special Rapporteur has pointed out, the draft multi-annual research programming law provides for the monthlyisation of their remuneration. I therefore call for the amendment to be withdrawn; Failing this, the opinion will be unfavourable.
ParlaMint-FR_2020-10-26-O1040.u93	Mrs Muriel Ressiguier has the floor to support Amendment No. 794.
ParlaMint-FR_2020-10-26-O1040.u94	By this amendment, the group of La France insoumée wishes to increase the remuneration of individual contractors in higher education. They do not benefit from the partial payment of transport costs or the social rights associated with the payment of social contributions. They face great insecurity, which is not acceptable. The Confederation of Young Researchers estimates that more than 17,000 individual teachers have more than ninety-six TD equivalent hours per academic year, which corresponds to at least half of the teaching service of a lecturer or university professor, while receiving less than the hourly SMIC. I think it's time to do something so that they can live decently.
ParlaMint-FR_2020-10-26-O1040.u95	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u96	I will have the same argument as for the previous amendment. The effort to make monthly payments for vacations seems to me to be very important and should be implemented very quickly. And, I repeat, individual contractors come from a variety of backgrounds. Many professional workers work in parallel in the public or private sector and bring their knowledge, expertise and stone to the building of our university curricula. Unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u97	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u98	Same opinion.
ParlaMint-FR_2020-10-26-O1040.u99	Mrs Muriel Ressiguier has the floor.
ParlaMint-FR_2020-10-26-O1040.u100	You take it as an excuse or pretext that some individual contractors earn their lives honorably. We're happy for them, but what do we do with others? Do we leave them as they are and don't we give them a boost to live decently? If it's your way of looking at things, I think it's pretty desolating.
ParlaMint-FR_2020-10-26-O1040.u101	Mrs Beatrice Descamps has the floor to support Amendment No. 846.
ParlaMint-FR_2020-10-26-O1040.u102	Universities are employing more and more students as resource persons at the university library, as advisers to newcomers, or as a means of taking notes from their disabled fellows. These jobs allow many students to secure income under conditions that are often better than those of the student jobs they can find outside the university, particularly in terms of schedules. A university president tells me that these jobs also give students a better understanding of the university system. However, the proposed wages are not always attractive. Thus, while young people are and will continue to be strongly affected by the health crisis, this amendment aims to allocate additional resources to universities so that they can offer better incomes to the students they employ and, if possible, recruit more.
ParlaMint-FR_2020-10-26-O1040.u103	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u104	Your wish to upgrade the remuneration of student jobs on campuses is legitimate. They do many services to those who call them and their users – the examples you quote are relevant. In addition, some institutions have allocated own resources to make the increase of these jobs a priority; they should be encouraged to do so. However, it seems to me that, at central level, priority should be given to measures to combat student insecurity. As the Minister pointed out in the general discussion, much is being done in the budget for 2021, not to mention the €150 aid which will be paid in a few weeks to 740,000 students benefiting from a scholarship or APL. I therefore call for the amendment to be withdrawn; If not, I will give an unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u105	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u106	We probably had to explain to you that the fiscal leverage could be activated in this area, but I remind you that the contribution of student life and campus can be mobilized. This represents more than 134 million euros, which the State has decided to leave at the disposal of CROUS and universities, in particular to finance these jobs. Rather, the main challenge lies in the way in which students are paid. We must immeasurably simplify things and allow institutions to offer these jobs other than by using very heavy forms that require the service done before the remuneration is released. Students can only be paid six months after the completion of their mission. That's what we need to work on. I therefore also call for the amendment to be withdrawn; Failing this, the opinion will be unfavourable.
ParlaMint-FR_2020-10-26-O1040.u107	Mrs Beatrice Descamps has the floor.
ParlaMint-FR_2020-10-26-O1040.u108	I agree to withdraw it, hoping that what has just been announced to us by the minister will indeed be worked on and implemented.
ParlaMint-FR_2020-10-26-O1040.u109	Mr Aurélien Taché has the floor to support Amendment No. 722.
ParlaMint-FR_2020-10-26-O1040.u110	It aims to provide massive support for the creation of student housing. Currently, only 5 to 7 per cent of students have accommodation in a social residence at the CNOUS – National Centre for Academic and School Works – or the CROUS. But we know that the needs are much greater and that they will be even more so with the social crisis. Housing is the first item of expenditure for a student. Launched in 2018, the plan for the construction of 60000 new student housing units has so far only been implemented half-way through. However, an increasing number of young people will, in the context of the crisis, give up studying whether they find themselves without a housing solution. In the territory from which I am elected, I see the difficulties that may arise, while more and more students are forced to live as part-time residents in neighbourhoods that are not always adapted to this. We really need to take stock of this issue and massively support the creation of student housing. We would thus help the construction sector for which, I would remind you, the recovery plan does not provide for any measures. Investing EUR 1 billion, as I propose in this amendment, would make it possible to finance 20,000 new student housing if the State were to cover all the construction costs. But to the extent that we know that things do not work this way, this measure would represent a tremendous leverage effect. It would lead much fewer young people to give up their study projects and would support the construction.
ParlaMint-FR_2020-10-26-O1040.u111	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u112	You are dealing with a very important issue and the CROUS network provides a very precise follow-up of the operations relating to the construction plan of 60000 student housing units. It has fallen behind for two main reasons: the health crisis has, of course, not encouraged the launching or continuation of the construction sites and, above all, we are working to free up land in the major university cities. This brake, the minister seeks to lift it during each of her trips, as she did recently in Villeneuve-d'Ascq or in the Far East. On the other hand, the priority is to ensure that the full operating losses of the CROUS for the year 2020 are covered by the budget for 2021, as these amounts constitute working capital and are essential for making investments. Indeed, the recovery plan will be used quite heavily in this area. The committee's opinion is therefore unfavourable.
ParlaMint-FR_2020-10-26-O1040.u113	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u114	Unfavorable.
ParlaMint-FR_2020-10-26-O1040.u115	Mr François Ruffin has the floor.
ParlaMint-FR_2020-10-26-O1040.u116	I will introduce a similar amendment in a moment, but I would like to support Mr Taché's amendment. As he said, only 5 to 7 per cent of students are housed in housing like the CROUS. Housing is, however, the first item of expenditure for students and it is obvious that it can be a huge obstacle to education. When you live in the private housing stock, you are condemned to find a small job, because the amount of APL is far from covering the whole rent. However, I do not mean a great ambition on the part of the Government in this area, when supporting the construction of student housing would not only benefit young people, but also benefit employment.
ParlaMint-FR_2020-10-26-O1040.u117	Mr François Ruffin has the floor to support Amendment No 859.
ParlaMint-FR_2020-10-26-O1040.u118	For students, housing is the first item of expenditure; They often spend half of their meagre income there. Only 7% of students are currently housed in social housing, and in many cases these are buildings that have not been rehabilitated for twenty, thirty, forty, or even fifty years for those dating back to the 1960s. Articles attest to this. During the confinement, students – notably at the University of Lille – found themselves in nine square metres of housing, which they described as prisons without bars. They lived in a few square meters full of cockroaches, in rooms suffering from moisture, mould, a lack of insulation, with holes and plinths taken off, radiators inoperative. The ground floor door opens without a key or code, the sanitary facilities are condemned to all floors of the building and only two toilets and two showers remain available for 150 people. In this case, the argument that it is difficult to find land is inoperative. It is about spending money to ensure decent living conditions for students. And yes, as Mr Taché has said, it is necessary to launch a massive construction of student housing, so that this field of expenditure penalizes their budget much less and that more of them do not have to work in addition to their studies.
ParlaMint-FR_2020-10-26-O1040.u119	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u120	This amendment is similar to the previous one and, I repeat, the question of land ownership arises. You can't solve it with a snap of your fingers; Efforts are being made. You draw an apocalyptic picture of certain situations. For my part, I am in regular contact with the CROUS in my region and have visited their facilities. But I see how much progress has been made in recent decades, especially in relation to the time when I was a student myself. There is a real will to go much further in this area because, you are right, this is a fundamental question. We have the stimulus plan and this 60000 student housing plan for which we must be as combative as possible – and for each of her trips, the minister proves that she knows how to be. The opinion is therefore unfavourable.
ParlaMint-FR_2020-10-26-O1040.u121	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u122	This is a complex issue because, if not, it would have been a long time before things would have been resolved, given that the CROUS are institutions that can borrow to carry out renovations and that the state, like the communities as soon as they can, obviously provides its full support. Work is moving forward in a concrete way. In Villeneuve-d'Ascq the metropolis committed 10 million euros to complete the renovation of the houses. In Metz, where I was a few weeks ago, it was a global commitment of 37 million euros that was made, not only to renovate all the buildings, but, as the rooms will be enlarged, to build an additional building to compensate for the drop in the number of places. Everywhere, commitments are signed between Action logement, the CPU – conference of university presidents – and the CROUS and, at national level, the CNOUS, who will work together on this subject. The question arose no later than last week in Angers. After talking to the mayor of the city, I announce that 400 social housing units will be delivered next year. Managing the land issue, the PLU – local planning plan – and the integration of students into university cities, considering them as a chance and not as something else, are a daily task. Things are moving forward, although, of course, we can only hope that they will move even faster. Unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u123	Mrs Josette Manin has the floor to support Amendment No. 91.
ParlaMint-FR_2020-10-26-O1040.u124	This is the same request, but I maintain the amendment.
ParlaMint-FR_2020-10-26-O1040.u125	Mrs Beatrice Descamps has the floor to support Amendment No. 845.
ParlaMint-FR_2020-10-26-O1040.u126	While it was a campaign promise – it was recalled – we know that the goal of building 60000 new housing units during the quinquennium will not be achieved. So now we need to take a step point to find out what didn't work and where the student park is. As I said earlier, of course, I am not ignoring the answer that you gave in committee to my question on land, Madam Minister, which the rapporteur recalled. I also welcome the commitment of the Lille metropolis on the subject. The National Steering Committee of the 60000 Student Housing Plan has built a database allowing actors and students to compile a geographical map of academic institutions and residences, and to provide various statistics that are not well known at all. The amendment aims to provide funds so that the State can take stock of the construction and availability of student housing through this database, which it might be wise to cross with the statistics of INSEE – National Institute of Statistics and Economic Studies.
ParlaMint-FR_2020-10-26-O1040.u127	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u128	As with the previous amendments, the opinion is unfavourable. For hearing the representatives of the NOCUS and its network, I believe that the monitoring of operations is now very fine. Moreover, given the figures given by the minister in the few examples that illustrated her opinion on the previous amendment, EUR 2 million would not solve the very important issue of the lack of student housing.
ParlaMint-FR_2020-10-26-O1040.u129	Mrs Muriel Ressiguier has the floor to support Amendment No. 770.
ParlaMint-FR_2020-10-26-O1040.u130	It tends to create an autonomy allowance in order to remedy the great precariousness in which more and more students are immersed. Everyone is aware of the UNEF survey that the cost of living for students has increased by more than 3% in one year. Although the amount of grants has been raised by 1.2%, it only corresponds to 67 euros per year, and again, for the highest grants – even if this is still an appreciable gesture, it is obviously far from being sufficient. As we have already mentioned several times in our discussions, both in committee and in session, 46% of students are forced to work to finance their studies. It is time to give them the means to take up their studies decently. That is why we are calling for the creation of an autonomy allowance of 800 euros per month, which would be paid for three years to young people between 18 and 25 years of age, provided that they have qualified training and are subject to resources. For courses over three years, the current scholarship system would be maintained.
ParlaMint-FR_2020-10-26-O1040.u131	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u132	The introduction of an autonomy allowance is not a small subject. Therefore, an amendment to the PLF does not seem to me to be the right vehicle for understanding it, especially since its funding raises questions. Indeed, if I understood the summary statement of your amendment, your proposal would result in the abolition of all higher education scholarships; ...
ParlaMint-FR_2020-10-26-O1040.u133	Not necessarily...
ParlaMint-FR_2020-10-26-O1040.u134	...so some would be winners and others losers. The positive and negative consequences of the measure must therefore be the subject of thorough work. It does not seem to be a priority to destabilise our entire system of social assistance, but to give priority to the upgrading of scholarships, to taking account of more contemporary resources for their calculation, to freezing rents, to restaurant tickets at 1 euro, or to strengthening the state guarantees for student loans – not to mention the exceptional measures which will be allocated at the end of next month to 740,000 student fellows. Unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u135	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u136	Disadvantaged too.
ParlaMint-FR_2020-10-26-O1040.u137	Mr François Ruffin has the floor.
ParlaMint-FR_2020-10-26-O1040.u138	We agree with you, Mr rapporteur: it is not an amendment that should create the youth autonomy allowance, but a government project! Only, where is this project? He doesn't exist! What you propose are crumbs, alms; However, it is in a time like this, when young people are getting full of it, that we should establish a minimum youth! We're going through a trial. Youth, in particular, is experiencing a trial. Now, the strength of our country in trials like this is good to lean on it to grow up and grow the sense of justice. What happened after the Second World War, which is probably one of the most terrible trials we have experienced? A comprehensive social security plan has been introduced for old age. And at that time, it was by moving from family solidarity to the idea of social and national solidarity that, for the first time in millennia, "old age" no longer meant "poverty". What we did in 1945 for old age, we should do today for young people. We should move from family solidarity – some families have the means to help their children, others do not – to social solidarity, and then national solidarity. The political majority is 18 years old; the criminal majority is 18 years of age; Why wouldn't the social majority be at the age of 18?
ParlaMint-FR_2020-10-26-O1040.u139	The meeting was suspended.
ParlaMint-FR_2020-10-26-O1040.u140	The meeting was resumed. I have before me two amendments, Nos 725 and 727, which can be presented together. Mr Aurélien Taché has the floor to support them.
ParlaMint-FR_2020-10-26-O1040.u141	These amendments aim to upgrade grants on the basis of social criteria. Some colleagues were now proposing the creation of an autonomy allowance, to which the Special Rapporteur replied that this was not the time to destabilize our social protection system. The major crises are, however, an opportunity to make courageous decisions; But let's admit it. This afternoon we will discuss a very simple measure to protect young people in difficulty: lowering the minimum age required to benefit from the AHR to 18 years, the income of active solidarity. There would be nothing to upset; Therefore, you will certainly be in favour of these amendments. In the meantime, I'm coming back to the students. The Government has taken steps to support youth employment. On the other hand, nothing has been done either for the young people who have not studied and have no job, who find themselves in the most difficult situation, or for the students. Only €150 was finally granted to all the fellows, as well as to the young people who are affected by the LPA. Now 150 euros is an emergency aid: for a few weeks, it will reduce the cost of the races or cover the most urgent expenses. That is not what will deter tens of thousands of young people in this generation from giving up their studies, which will happen if we do nothing. [[Mr François Ruffin applauds]] I therefore propose, on the one hand, that the grants should be increased by 10% on the basis of social criteria, and, on the other hand, that the grants should be opened over 12 months rather than 10 months, i.e. that this money should also be paid in July and August. This would ensure a significant contribution to young people who will not be able to work because of the terrible situation on the labour market, who were unable to work this summer and set aside money for this academic year. They could continue their studies in complete serenity, without fear of having to give up. Let it not be said that our legislature will have let a whole generation abandon its study projects: we would not be proud of it!
ParlaMint-FR_2020-10-26-O1040.u142	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u143	In addition to what was recalled during the general discussion, the text provides for a fairly significant extension of the number of beneficiaries of social grants, which will also be upgraded, taking into account 2020 revenues. In addition, the majority has changed the terms of the award: it now starts on 25 August and has been extended to July, on an exceptional basis, for the year 2020. So it cannot be said that nothing has been done. The €51 million programmed for 2021 bear witness to this. Therefore, unfavorable opinion on these two amendments.
ParlaMint-FR_2020-10-26-O1040.u144	Mr François Ruffin has the floor to support Amendment No 879.
ParlaMint-FR_2020-10-26-O1040.u145	[[Ms. Dominique David protested]] Grantee, Amanda receives 567 euros per month. As it was not enough for her to live, she kept children: rising at five and a half o'clock in the morning, bus at six and twenty o'clock, beginning her work at seven o'clock, until eight and a half o'clock where she laid the child at the entrance to her school; Then another guard in the evening... How can we study quietly in these conditions? And, further anguish, his job – like so many others – disappeared in the spring. In the current times, it is essential to increase significantly both the number and the amount of grants; students must be able to live with it, without having to look for small jobs that are increasingly difficult to find.
ParlaMint-FR_2020-10-26-O1040.u146	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u147	Unfavorable.
ParlaMint-FR_2020-10-26-O1040.u148	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u149	Same opinion.
ParlaMint-FR_2020-10-26-O1040.u150	Mr François Ruffin has the floor.
ParlaMint-FR_2020-10-26-O1040.u151	"Same opinion"... Actually without notice,...
ParlaMint-FR_2020-10-26-O1040.u152	We've already answered you, Mr. Ruffin!
ParlaMint-FR_2020-10-26-O1040.u153	... while 39% of young people aged 18 to 24 say they have lost income, 44% feel isolated, 32% fear that they will not be able to pay their rent.
ParlaMint-FR_2020-10-26-O1040.u154	According to UNEF!
ParlaMint-FR_2020-10-26-O1040.u155	And what gestures: confetti! You are not trying to meet the expectations of a desperate youth who may become more and more desperate. Earlier, Ms Descamps proposed creating jobs at universities. I hear there are no more jobs today than 20 years ago; But, twenty years ago, they were linked to education – in colleges, high schools, universities – which had a much closer connection with education than working as a babysitter or at McDonald's. Today, your answer should take into account both decency and meaning: how to make a living and how to give meaning to one's life. On these two points, you remain silent.
ParlaMint-FR_2020-10-26-O1040.u156	The Special Rapporteur has the floor.
ParlaMint-FR_2020-10-26-O1040.u157	I gave an reasoned opinion on the two previous amendments, both aimed at redeploying EUR 400 million for the benefit of the fellows. Your amendment has the same objective and covers 92 million: the same arguments apply, quite simply.
ParlaMint-FR_2020-10-26-O1040.u158	Mr Aurélien Taché has the floor.
ParlaMint-FR_2020-10-26-O1040.u159	Mr Special Rapporteur, I have heard you respond to my amendments. No one says that nothing has been done,...
ParlaMint-FR_2020-10-26-O1040.u160	Yes, Mr. Ruffin says it!
ParlaMint-FR_2020-10-26-O1040.u161	... that there is no provision in the budgetary programmes we are considering. Indeed, I have already mentioned the exceptional aid of 150 euros; In fact, grants must be raised by 1 or 2%, construction of 60,000 student housing units is planned. We only wonder if this can be enough in the dramatic situation we are experiencing. Measures planned in ordinary times cannot be effective in times of crisis. Again, you do not answer us about the tens of thousands of young people who will have to give up their studies if we simply grant them 150 euros and revalue their scholarship by 1%, and if we do not accelerate the construction of student housing. In the face of this situation, which you cannot ignore, what do we do? Of course, there are the budgetary provisions that we adopt every year. But we were able to draw up a €100 billion recovery plan to help businesses; Why would we be unable to decide on meaningful measures, up to the crisis, for young people and students? To that, I repeat, we have no answer.
ParlaMint-FR_2020-10-26-O1040.u162	Mrs Beatrice Descamps has the floor to support Amendment No. 875.
ParlaMint-FR_2020-10-26-O1040.u163	This amendment by our colleagues Dunoyer and Gomès concerns New Caledonian students. In 2015, the average price gap between New Caledonia and the metropolis was 33 per cent; 73.4 per cent for food products, 63.6 per cent for communications, and 37.1 per cent for housing. These are the specificities of New Caledonia and French Polynesia that call for modulation of the criteria for the award of national scholarships in these territories. The inadequacy of their eligibility limits to these economic and geographical particularities leads many young people to give up their higher education, their families being too rich for them to receive a grant, but too poor to bear the cost of these studies. The aim of this amendment is therefore to transfer EUR 2.6 million from action 14, "Real Estate", from programme 150, "Superior training and university research", to action 01, "Direct aids", from programme 231, "Student life". This amount corresponds to the amount of scholarships that would be awarded to New Caledonian students who request them, but is denied because of the inadequacy, I insist, of metropolitan eligibility limits at the cost of living in New Caledonia.
ParlaMint-FR_2020-10-26-O1040.u164	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u165	It seems to me that Mr Dunoyer tabled an identical amendment last year. It aims to redeploy €2.6 million for student scholarships. However, this amount should be allocated to all scholarship students, as there cannot be any difference in treatment between them. The increase would therefore be minimal, making the scheme inoperative. I would also like to recall that the provinces of New Caledonia are also deploying some 20 territorial mechanisms to support scholarship holders on the same basis, often as grants awarded on the basis of social criteria. Finally, the opening of a debate on the differentiation of scholarships according to the territories would lead to a very complex discussion: Paris, Île-de-France and the major metropolises are also territories where the cost of living is higher than in my province, for example. For all these reasons, I express an unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u166	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u167	It is also unfavourable.
ParlaMint-FR_2020-10-26-O1040.u168	Mr David Lorion has the floor.
ParlaMint-FR_2020-10-26-O1040.u169	I would like to make a point, Mr Special Rapporteur: teachers in the overseas territories are overpaid. As you have just been told, the cost of living in New Caledonia is 33 per cent higher on average than that of the metropolis and the difference is 77 per cent for housing and 67 per cent for communications. I therefore do not understand why ultra-marine students and their families could not benefit from differential treatment in view of the over-remuneration which, I repeat, teachers enjoy.
ParlaMint-FR_2020-10-26-O1040.u170	Mrs Josette Manin has the floor in support of Amendment No 909.
ParlaMint-FR_2020-10-26-O1040.u171	The aim of this amendment is to extend the price of the university restaurant ticket to 1 euro to all students, and not just to fellows. This emergency measure, if it is welcome, only concerns scholarship students, i.e. less than 40% of our students. However, already weakened before, the student population is one of the groups most affected by the economic crisis. Food is a crucial issue in student life and, while the crisis is affecting the entire student world, and not just scholarship holders, it is essential that everyone can enjoy a meal at 1 euro.
ParlaMint-FR_2020-10-26-O1040.u172	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u173	It is unfavorable, as it was when you tabled the amendment in committee, Mrs Manin. In fact, the standard price for a meal in a university restaurant, which is heavily subsidized, today amounts to 3.30 euros. The extension of the tariff to 1 euro to all students would be tantamount to benefiting, for example, the children of deputies. Is it really a national priority to extend the benefits of these budgets to children from rather wealthy families? It seems to me that there are other priorities. Unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u174	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u175	It is also unfavourable.
ParlaMint-FR_2020-10-26-O1040.u176	Mrs Josette Manin has the floor.
ParlaMint-FR_2020-10-26-O1040.u177	I cannot understand, Mr Special Rapporteur, the expression "children of deputies". Some Members may not have sufficient resources; they may have been unemployed before their election... I understand your point, but not the expression "children of deputies."
ParlaMint-FR_2020-10-26-O1040.u178	That was an example, Mrs. Manin!
ParlaMint-FR_2020-10-26-O1040.u179	Mr François Ruffin has the floor to support Amendment No. 880.
ParlaMint-FR_2020-10-26-O1040.u180	In France, over the past 14 years, the standard of living of young people has increased by 67 euros and that of those over 65 by 2900 euros. The poverty rate among young people is now well above that of the rest of the population, with a gap of more than 10 points. In this context, the crisis of the covid-19 is a revelation and an accelerator. It is a serious mistake not to close this gap, which is already open and which will widen even further, for our young people, for the future and for the country. One of the tools to reduce this gap is for students in CROUS budgets. In particular, assistance has been removed by your government, the Minister: assistance in seeking the first job, the PFRA. We know, however, that major difficulties will arise. I was referring to my neighbour on the train earlier, but his case is representative of that of hundreds of thousands of young people who are going to find their first job. This aid, which was granted by the CROUS and paid monthly for four months, was EUR 300 for apprentices and corresponded to the annual amount of the grant which they had received so far. It has benefited 25,800 students and 2,000 apprentices. This aid, which would be very useful today, in times of crisis, has been abolished! Know, for the little story, that it was when the university presidents asked for its increase, in January 2019, considering that this was a useful measure, that they discovered at the turn of an article of the finance law that this aid was being abolished! We're asking for his recovery.
ParlaMint-FR_2020-10-26-O1040.u181	What is the opinion of the committee?
ParlaMint-FR_2020-10-26-O1040.u182	Amendment No 880 does not concern assistance in the search for the first job: it concerns social workers in the CROUS. This question of human resources is essential, but it should be stressed that it depends more on means of intervention than on the number of personnel, as we have heard during some hearings. The budget for 2021 allows for an increase in these resources, since 122 million euros are injected into the CROUS network. Unfavorable opinion.
ParlaMint-FR_2020-10-26-O1040.u183	What is the Government's opinion?
ParlaMint-FR_2020-10-26-O1040.u184	I will not go back to the unfavorable opinion of the Special Rapporteur, whom I share, but I would like to re-establish certain facts. Yes, ARPE was removed, first because it was under-consumed because the students did not use it. It has been replaced by the youth guarantee, the amount of which – 497 euros per month – is higher. In addition, this assistance offers students support by professionals in their job search, which I think is very important. [[Applause on the benches of the LaREM and Dem groups]] As we speak of the CROUS, I would like to pay tribute to the exceptional commitment of their personnel, both during confinement and during this period of re-entry. I travel on the ground every week, meeting with students, institutional and CROUS staff, which allows me to measure the extent of their commitment to support our students. I wanted to thank them publicly in front of the national representation.
ParlaMint-FR_2020-10-26-O1040.u185	Mrs Muriel Ressiguier has the floor to support Amendment No. 821.
