ParlaMint-NO_2005-06-15.ana.ud2566e113	The representative Heikki Holmås has asked for the word to withdraw a private proposal.
ParlaMint-NO_2005-06-15.ana.ud2566e943	It has been incredibly interesting to live at a time when you have been able to follow the development of Norwegian offshore oil and gas activities from 1969. There have been many things, but not least knowledge-building to become a leading nation in some sectors of offshore, pipeline and underwater technology. We've taken that development gradually. We started cautiously. We were first in the Ekofisk and further developed this elsewhere in the North Sea, and provided the basis for the technology that was used on the Worm Lange, which is now being continued with technical innovation on Snow White. But the time we started with this, we had two alternatives. Firstly, we could have waited until the technology was good enough for all the optimal future requirements. Had we done that, we would have probably still been sitting on a rock in the beach zone of the South West and spitting over a sea that, hopefully, had been as clean as it is today. The second option was to address the opportunities and challenges, exploit them and develop technologies and solutions precisely on the basis of our own experience, by participating and building skills to become world leaders. Fortunately, that was the solution we chose. That's the same thing in the Barents Sea. The choice is between sitting on land and waiting for the outside world to meet our technological requirements, and also here to seize the opportunity, solve problems and move on. The question is important, because this is about establishing a whole basic industry for the population in our northernmost part of the country. And you could also view it in two different ways. Firstly, one could base the approach taken by Kristin Halvorsen at the open hearing of the Foreign Affairs Committee in Tromsø on 18 May, stating that the development of oil and gas in the Barents Sea would hardly have a significant impact on employment in the region. Or we have the other approach, which is going to draw on the experiences we've been doing elsewhere in the country, for example. in my own country of origin, Rogaland, which is also the basis for the OLF’s assessment that there may be 3 000–4 000 new jobs in that part of the country most in need. We have learned how competent the Norwegian supplier industry is to follow up on this development. Therefore, the opportunities in the north now create optimism in the supplier industry also in South Norway, and therefore we will also see it follow, develop and flourish in the north. We know from before the resistance of the Socialist Left to the activities in the Barents Sea, and I must admit that we have unusually low expectations for the party's blessing on the employment of the country and North Norway. But when the party in this case is also opposed to partnership with the Russians to draw Norwegian environmental offshore competence into the Russian side, it reminds most of the ostrich and the head in the sand, not to say in the tundra, which might have seemed a bit cool. Does SV really believe that the activity on the Russian side will stop if the Norwegian companies get stuck on land in a red-green political stick? Of course it's not like that. We can hope that our Russian friends will see themselves profited from using Norwegian environmental offshore technology. It will benefit the Russians, it will benefit the development of business and employment in the north, and it will also benefit the best possible solutions with the best possible environmental profile.
ParlaMint-NO_2005-06-15.ana.ud2566e957	The relationship between Russia and Norway has long been peaceful and stable. We share experiences that bind us together. We have a common boundary, but we share so much more. There are today many professional and close links between Russians and Norwegians. Cross-border contact in the Barents region is extensive, and very much works well. It shall include, inter alia: for the first time Norwegian-Russian military exercise is held on Russian soil this year. This expresses mutual trust and openness. I would particularly like to refer to the people-to-people cooperation. It is a necessary resource, both for the North and for the Russians. There has been strong cooperation between people in this northern region for hundreds of years in both culture, trade and shipping. Cooperation between the population of Kola and the population of Finnmark has been particularly strong, only interrupted by the Soviet period. Today, cross-border cooperation has been resumed. The churches are today a centre of Russian competence and cross-border cooperation. This applies not least to the Barents Secretariat. It plays an important role that facilitates at regional level. It has been over 12 years since Barents' cooperation was established, and it has played a major role in making the Northern Neighbourhood a new area of cooperation. Cooperation has been very successful in education, health, culture and indigenous issues. It is primarily on the grassroots plane that cooperation has its strength. It's positive. It testifies to a strong and sincere commitment to and from the neighbours across the border. I am pleased that the Barents cooperation project should be strengthened, and that it is considered to be one of the most important instruments we have in the North Region policy. The Christian People's Party believes it is right to assess Barents' cooperation to strengthen it and make the formal structures more effective. We also believe that this will be strengthened by the establishment of an international barn secretariat. It is important to clarify that the development of the Barents region must take place on its own premises. It is the inhabitants who live and work in the region, who know the challenges, and who know which actions will be most appropriate. I am pleased that there is a broad consensus to set up a barn institute in the Churches to study issues related to energy efficiency and regional cooperation. This can be achieved through increased support to the Barents Secretariat. I am pleased that the Government has strengthened nuclear safety cooperation with Russia. The largest concentration of nuclear installations in the world is found in the Kola Peninsula. There is a potential risk to the environment and for radioactive material to be balanced. It is Russia itself that is responsible for improving the security of civil and military stocks and installations. On the other hand, the tasks are too great to allow Russia to do this alone, and international efforts are therefore necessary. As a neighbouring country, we have a particular responsibility and interest in improving nuclear safety. Norway contributes, inter alia: for the scrapping of nuclear submarines in North-West Russia. We have implemented a number of measures in Andreyev Bay, we secure radioactive sources, and we finance the disposal of waste and waste management. We have a good dialogue with Russia on cooperation in the field of maritime safety and oil protection. However, increasing Russian oil transport along the Norwegian coast is very worrying. It is a major challenge, and on the Norwegian side, we must do everything we can to reduce the risk of catastrophic pollution accidents. Such measures include the extension of territorial waters, required navigational conductors and enhanced traffic control. A clean sea and effective preparedness measures are essential for fishing interests and the environment. The role of indigenous peoples is becoming increasingly prominent in international forums, including where issues relating to the northern regions are being discussed. 2005 is declared the year of Barent's Urfolk. We now have the opportunity to focus on the situation of indigenous peoples in education, health, culture and the economy. I wonder at the consistent line of the Progress Party throughout the entire setting, which is about choosing not to comment on any of the questions that address the situation of indigenous peoples. It may seem that the party does not see the importance of or the need for indigenous people's experiences or recordings. The Sami population has for a long time cooperated across the border on clean water, better health, women’s projects, schools and culture. I hope that the Progress Party will soon be able to realize that indigenous peoples' culture and traditional ways of living in themselves are self-valued for the whole region.
ParlaMint-NO_2005-06-15.ana.ud2566e974	The issue that Stortinget has to deal with today is not based on the world’s most comprehensive big business report. I guess you could say that. SV was also critical when it was presented, in relation to the level of ambition that we thought the government had set itself, and would like it to be much higher. But I have to be able to say in this debate that I think the Stortinget has taken a responsibility to raise the perspective from the fact that many of us have discussed north-eastern issues as if it were part of district policy. Now, Stortinget has clearly confirmed that Northern Region policy is part of national policy and part of our main national interests. As such, it needs much greater political interest from all over the Storting. SV also has a responsibility to get to this. So we're talking about Norway managing 30 pst. of the total territory of the country and sea in Europe, and that at the end of a four-year period, we now need to sum up that the Foreign Affairs Committee has spent much more time on Iraq, Afghanistan and many other countries in the world, and the SV have contributed to every minute of it. Nothing of that has been uninteresting, but I think we have a responsibility to make sure that we are now more focused on Northern Region policy as well. The three main areas of Norwegian foreign policy are, in the SV's view, peace building, the possibility of participating in peace mediation in different conflicts and pooling knowledge about it, the North Region policy and, of course, the fight against poverty. On the side of this, the efforts we need to have towards Norway’s interests in relation to the EU will be much more significant. But let me say a little bit about how SV sees it that we have to follow up on this in practice, because now we've come a little bit on the way. Part of the discussion has concerned the nature of the organisation of such an increased perspective in the north. The Government has notified that it is a State Secretary who shall be primarily responsible for this. Actually, it's very unusual that the Storting interferes with it at all, or that the Government reports to the Storting how you intend to organize it. Others have proposed to have their own minister for this area. I think there are several ways to do this, but no matter how you organize it, it's when the Prime Minister and the Minister of Foreign Affairs are the foremost targets of this perspective, that we can get some way. On the other hand, whether Russia, the United States or the EU, it will be the foreign ministers and the national leaders they meet. It is therefore important that this is on top of the agenda both for the Minister of Foreign Affairs and for the Prime Minister. I do not demand that they look to the north both morning and evening, but at least either morning or evening, in the perspective that we should not only look beyond the world, but also northward towards our own main interests. What a bet of course requires is money and priority. What has happened in recent years is that our efforts have fallen. I now expect everyone to agree that we should go the other way and step up. The estate has not committed itself to a barntsmilliard, but it is located close to the corner. The next point is what concerns what kind of business to focus on. It is not without reason that many have been concerned that this message has been largely an oil and gas message for the north. Nor is it difficult to understand that it appears to be the gigantic, capital-intensive project in the north. At the same time, we in SV believe that it is our job to hold up some other perspectives for the development of the northern regions. Firstly, billions of investment will in any case not meet the needs of new jobs and new businesses in the north, regardless of whether you are in favour or against, one must also have a policy. Secondly, not just as protection, but as the potential for further development. We have a tax to manage. There are knowledge of the Barents Sea that we haven't yet discovered about the interaction between fish and other parts of nature. Here we know that tomorrow's many industries are also located. We can't manage it in such a way that it's lost. These are knowledge, technology and industrial development. The next point is infrastructure. It is essential for the development of this area. If we had got a railway from Kirkenes to Nikel, it would have been a very exciting opportunity for further development. The next point is about travel lives. Here we have a great opportunity. Finally, we have a lot to learn from the indigenous people in this area. Here, there are traditions of cross-border cooperation, where the majority in Norway have an enormous amount to learn. That there are some people in the hall who don't feel the need to learn from anyone else, they get their coat on.
ParlaMint-NO_2005-06-15.ana.ud2566e993	The North is a resource force centre that we need to focus heavily on in the future. I therefore fully agree with the majority of the Committee that there is a need for a more powerful and coordinated Norwegian policy in relation to the north. I find reason to stress that what is happening and going to happen in the northern regions is a matter that concerns the whole nation and is of great international interest. The Committee's clarification of the need for military presence in the areas to mark Norwegian sovereignty and to defend the vital interests of the region is very important. I hope that in the future we can have a more predictable and comprehensive situation for the Defence in the north. I believe that the many crackdowns on the future of defence in the north are unfortunate both for operation and for recruitment. The Workers' Party will have an active north-eastern policy of conservation, harvesting and further processing in the primary industries. In particular, the marine resources are vital to North Norway and also require close cooperation with Russia. It is necessary to cooperate across borders in such a way that security can be created and at the same time safeguard the environment and ensure peaceful development in the area. An active industrial policy for the north will be the basis for North settlement, welfare and development. When we know that 25 pst. of the world's unused petroleum resources are assumed to be located in the Arctic regions, we understand a bit of the dimensions. When we also know that the market opportunities for oil and gas from the area are very good, we see the enormous potential for industrial development in the north. In addition, we know that Norwegian companies are in the knowledge front in this area. These are conditions that will have a major impact on the economy of the country and the region. Therefore, it is so important to provide for more intensive monitoring and offensive exploration policies in the petroleum sector. I see it as very important that the future petroleum activity in the north leaves behind some of the employment and infrastructure in the country, and that the suppliers do not remain mainly in other parts of the country and beyond the borders of the country. The possibilities in the north are enormous, but I'm afraid that development will be blocked. The northern regions cannot remain like a protected area where we cannot exploit the resources that we are so lucky to possess. The part of the land requires that the elevated petroleum activity may result. Just look at the activity created after the start of the Snow White plant in Hammerfest. We need more such commercial lighthouses in the north. Of course, we need clear environmental standards and high environmental and technological requirements, but at the same time we need to be allowed to develop the area. I see it as very important that we start more petroleum activity as soon as possible, because the activity on the Russian side requires more presence of Norwegian preparedness and Norwegian competence. With the increased petroleum activity that will come to the north, it is important that the Petroleum Control Department in the north is provided with a department as soon as possible. Such an office must be added to Harstad, where the Oil Directorate already has a department, and where several oil companies are established with their own offices and a very good professional environment. I believe that this is such an important matter that it must be on the agenda already in connection with the budgetary procedure for the autumn. I have wondered that the environment in Rogaland is negative to this, but if we are to have petroleum activity in the north, such services must also be present in the area. We must all be able to cooperate on this.
ParlaMint-NO_2005-06-15.ana.ud2566e1014	The Nordgebietsmeldning is not the most comprehensive big message the world has ever seen. The representative of Halvorsen is quite right in that. In return, it's the first big message anyone's ever seen about the northern regions. Because no previous Norwegian government has found it necessary to present a comprehensive perspective on the challenges facing Norway in our northern seas. For my part, I consider the size of this big message to be quite exemplary, and I would like all of the big messages to strive for the same format. In fact, if we focus on the essential lines and the key issues, we could have a better basis for real political dissent in this Chamber. I would like to return to the perspective outlined by the Committee's chairman, Thorbjørn Jagland, at the beginning of today's debate. The reason why the Government presents such a message is, of course, the major changes that have occurred since the end of the Cold War. After the collapse of the old terror balance system, there has been a situation in which our northern regions represent a whole new challenge – to ourselves. Because we can no longer expect to get anything for free, in the sense that there is someone in our environment and of our friends who per. definition has interests in common with ours. No one! That is to say, we have to do the job ourselves, make sure that we get the enough political back coverage, make sure that our views on, for example, are taken into account. The Svalbard zone, understood by others, ensures that there are other countries that are interested in constructive cooperation with Norway in order to exploit the natural resources that lie within our sovereignty. I have registered in Nordic cooperation that our Nordic neighbours have their point of view elsewhere. For them, Nordic cooperation is becoming a pure Baltic Sea cooperation. It is also linked to the fact that, in the rhetoric of the European Union, the northern dimension of the Gulf of Bothnia ends. It's natural in itself that that's what's their focus. But we need to make them understand that the areas further north are also a common challenge for all European countries. It's a strange special note we had in a succession earlier today, of the three parties Progress Party, the Socialist Left Party and the Center Party. It's in itself a strange alliance, when you think about the ideological color these three parties have. But it's even more strange when you read – and here I find it necessary to quote – what the three parties have entered in the setting. After they have outlined this challenge, where the United States, Russia and the EU are partners we need to interact with, but which can be considered individually to have interests other than ours, they say that the answer to this is: ‘This also requires Norway to maintain a certain military presence in the north’ — a certain military presence — ‘... also in order to assert national interests if necessary’. The same note is closed as follows: ‘The arrangements and organisation of the defence should be reviewed... with a view to ensuring capacity in the north in the short and long term.’ After all the normal reading, this is classic cannon boat diplomacy. It is said that the answer to any conflict interests in the north is a national military presence. This isn't about the Coast Guard, who the Center Party leader tried to talk it over with instead. The problem of this is further reinforced by the fact that in the second context, two of the three parties, the Centre Party and the SV, have declared that developments in the relationship between NATO and the EU indicate that Norway should pursue a more independent policy, that is independent of both NATO and EU security cooperation. Then this is a classic doctrine that goes out on national military upgrading. It's amazing that especially the Socialist Left Party, with its history, was going to end up there.
ParlaMint-NO_2005-06-15.ana.ud2566e1047	It has been exciting to follow the debate on the north, and it is gratifying to note the cross-political consensus that has largely marked the speeches. The opposition parties, in their comments, have gathered in a pious desire for a strong and coordinated north-eastern policy. But when it comes to the concrete actions, they separate layers and crack in different directions. Not surprisingly, the Progress Party is the most distinguished, and it is particularly disappointing to see that the party chooses completely to ignore our responsibility for the indigenous groups. I have taken the floor first and foremost to stress the importance of strengthening Barents' cooperation. It is very gratifying that the Government in the Communication commits to further developing this cooperation by proposing the establishment of the Barents Institute of the Churches and an increase in support of the Barents Secretariat. In particular, the Barents Institute shall study issues related to energy development and regional cooperation. From the Norwegian side, there are the three northernmost states that have been drivers of regional cooperation, and the major opportunities that lie in the Barents region. It was very exciting to visit the business community of the Churches for a while, and experienced both optimism and great competence in Russia's cooperation. There is a huge market east of us, and the prospects for trade and industrial cooperation are increasing as economic growth in Russia progresses. Let me mention two important transport projects in this region that will have a major impact on future development. First of all, it's the plans made for the railway between Kirkenes and Nikel. It's a very interesting transport solution, like, for example, could become a future Russian gas transport corridor. The Committee asks for a more detailed assessment of this railway link, and the Christian People's Party will be a driving force for further investigation work. So to another transport project in the region, which has come further in development, the so-called New Corridor, which is the name of an exciting transport year between China and the United States by rail and boat, and with Narvik as the port of embarkation. Sample transports are to be carried out here already in the autumn. Freight transport between internal China and the United States by eastern route today takes about Forty days, while following the western route via Narvik, it only takes 20 days. Such a transport year will provide great opportunities for development for the Barents region. In the Christian People's Party, we are very pleased that the Government is involved in supporting this project. Developments in the Barents region are highly dependent on national but also highly dependent on international support. Here, cooperation in the Nordic region is very important. The Nordic Council and the Nordic Council of Ministers have been an important body for the promotion of north-eastern issues. The northern dimension of the EU, which was adopted by the Nordic Council in December 1997, has also played a major role in the development of the northern regions. But now there is every reason to follow closely both developments in the Nordic countries and in the EU as a whole, as regards the interest in the northern regions, as the representative Inge Wohnning has also pointed out in a previous post. Following the enlargement of the EU, there has been a sharp turn of focus in the EU. Enlargement to the east has led to increased interest in the Baltic Sea region, and the EU has committed itself to raising the standard of living in the new Member States. This is a fact, regardless of whether Norway is in the EU or not. What gives the most cause for concern is that our Nordic friends also want to spend more time and resources on Baltic Sea cooperation. In the long term, therefore, we are likely to receive less help to keep focus on north-eastern cooperation. It is therefore very important that Norway, in the work of the Nordic Council of Ministers, of the Nordic Council of Ministers and in consultations with the European Union, keep under pressure the development of the northern regions and the northern dimension of the EU. Following an invitation from the Stortinget and the Nordic Council, we will meet at the end of the month at the Second Parliamentary Conference of Barents Cooperation in Bodø. Here, the main focus will be on cooperation in Northern Europe, sustainable development and economic activity in the Barents region and the role and conditions of indigenous peoples in the Barents region. Here, the first battle will be for further development in the region we are dealing with today, and it will be particularly important for Norway to continue its driving role here in order to bring the whole of Northern Europe into line with continued efforts in the north.
ParlaMint-NO_2005-06-15.ana.ud2566e1068	Norway is north, Norway is coast. Therefore, both in our foreign policy and in our domestic policy, we need to focus on the specific opportunities and challenges associated with our interests in the North and in the coastal and marine areas. In my opinion, we need to raise five areas of the Northern Region policy: Firstly, the international community must join forces to address the environmental problems of Kola. There are huge stocks of nuclear waste here. This is one of the world's greatest environmental challenges. It's a threat to us and to the world community. Russia is not able to meet this challenge alone. It is high time that the world community, represented by the EU, the United States and others, met this challenge. The Norwegian authorities need to place this matter on the agenda more consistently. Secondly, Norway and Russia must together ensure the sustainable management of our common fish stocks. It requires that we ensure the best possible long-term management, but it also requires better control of the resource outsourcing. We have seen serious examples of Russian fishing vessels fishing illegally. Norwegian authorities need to clarify requirements for action against unregistered fishing. Thirdly, we need to use the oil and gas resources in the area to create growth and better well-being. A quarter of the world’s undiscovered oil and gas resources are believed to be in the Arctic region — a significant part of the Barents Sea. Norway must take the lead in developing its oil and gas activities in the north. We have to be active in order to have influence. At the same time, Norway must, through its own activities, mark its own interests. Then, of course, we need to impose strict environmental requirements, and we need to develop technologies that allow compliance. In this way, we can influence both companies and financial institutions to impose stricter requirements on the activity also on the Russian side. We need to develop the petroleum activity in interaction with Russia. We must have the ambition to be able to contribute to developments on the Russian side. But first of all, we need to focus on the possibilities on the Norwegian side. That is where the foremost Norwegian interest lies. This is how we have to take care of our strategic interests. This is how we will create new jobs in Coastal Finland. But this is also how we can develop technological solutions that provide competitiveness for Norwegian companies on the Russian side. Fourthly, we must contribute to social development and better living conditions for the people living in the area. New activities create jobs and revenues that will contribute to social development both on the Norwegian and on the Russian side. We need to create a stronger foundation for the communities in North Norway. But not least, new activity in the area must contribute to better living conditions for our neighbours in North-West Russia. It is also important for the stability of the area. Norwegian authorities must contribute to increased international support for economic growth in North-West Russia. And we have to help solve the health challenges in the area. Fifthly, we need to strengthen contact between people in the area. Then cultural cooperation is important. Training cooperation is then important. Contact between people and organisations is then important. Norwegian authorities need much more targeted support during this work and avoid arbitrary budget cuts that we have seen in recent years. Barn cooperation must be strengthened. There must be a separate barn institute in Kirkenes. These measures are closely related. Better living conditions in North-West Russia will contribute to stability and relaxation. Economic growth will increase the opportunities to clean up environmental problems. Similarly, Norwegian foreign policy and Norwegian domestic policy must be seen in the context. Increased industrial activity, new jobs and more stable housing in the north give Norway greater weight to identify Norwegian interests in the north. I would therefore like to warn against those who see the regional policy effort – among others. in Finnmark and in Nord-Troms – as a question of spending a few dollars more there than in other areas. Firstly, it is an independent objective to ensure the main features of our national housing pattern. Then the challenges are quite different along the coast of Finnmark than in any other part of the country. Secondly, we must have an offensive business and district policy to trigger the enormous opportunities in the area. However, active industrial and district policies in the north are also essential to safeguard our national interests in a broader international context. Norway established Barents cooperation as a channel for cooperation on development in the north. We must now strengthen this work – at state level, at regional level. At the same time, we as parliamentarians must be more involved in cooperation. There's still a lot left. Finally, it is quite incredible that Northern Region policy is not too far established as Norway’s main area of foreign policy interest. As one of the speakers said, so far it has been seen as district policy. And as someone said, so far in the period, foreign policy has been concentrated south. It is high time to recognise that this is Norway’s main foreign policy area of interest and Norway’s main industrial potential.
ParlaMint-NO_2005-06-15.ana.ud2566e1096	Finally, I fully agree with the last thing that was said. I just must have said that. In fact, I and many others belong to the first generation that has not really experienced the cold war. Today, relations with Russia are normalised – after 70 years with closed borders and communism in the east. Trade and trade with our brothers in the East have historically given the people on both sides of the border prosperity. The situation with tanks placed on the border is over, and we're all looking forward. Now there is cooperation to contribute to the development of wealth in all the countries concerned. And instead of mines and barbed wire, the theme is the link between the churches and Russia. When the wall fell, Russia had for a long time been cut off from participation in cooperation in the North Callot. Especially the daily interaction had been significantly reduced after decades of closed borders. Cooperation in the Barents region, with the Barents Secretariat at the head, was about to start the people-to-people cooperation and industrial cooperation in the same region. In retrospect, it must be said that this has been largely successful. Much knowledge and competence have followed in the wake of this work. I am therefore pleased that the Government proposed the creation of a bartending institute in the Church. The plans for such an institute are to contribute a scientific approach to border regional cooperation both in the north and elsewhere, which I believe will further strengthen cooperation in the north. Knowledge and competence are key concepts of the Northern Territory Communication of the Government. In the Communication, there is just a knowledge of the north as regards climate, environment, policy challenges and renewable and non-renewable resources that have been given attention. That's the knowledge building we have to do with other countries in the Circumpolar region. But it's also a recognition of the work done so far. I have registered that some representatives in various media have criticised the Northern Region Communication of the Government that it does not contain enough domestic policy areas. I would therefore like to take this opportunity to refer to the Government's research report, which will be discussed in Stortinget tomorrow. A significant escalation of research resources is proposed in Norway. Theme areas that are also relevant to the northern regions have been addressed in depth. In particular, marine sector and petroleum research has taken a central position. There are actually little conflicts in the Stortinget about Norwegian Northern Region policy. I think that's good for the work to be done in the north. Unfortunately, there is one area of Northern Region policy where the Stortinget deviates from its consensus, namely in the position of oil and gas in the north. I think it would be pointless to talk about industrial cooperation in the north while at the same time being against the extraction of petroleum in the north. No matter what attitude Norway has toward this activity, Russia cannot be required to do the same. I certainly believe that both Norway, Russia, the environment and the inhabitants of the northern regions will be served by petroleum activity on the Norwegian side as well. I can't say that I'm optimistic about future activity in the Barents Sea if SV wins with its resistance to petroleum extraction. Everyone living in the northern regions should hope that SV will not have any influence after the election. Industrial cooperation is essential for further development in the north. It is therefore important that we contribute through political processes to the removal of unnecessary obstacles. Unfortunately, the border crossing between Norway and Russia has been a recurring issue and attention should be paid. I am pleased that the Government aims to establish a Norwegian business contact in Murmansk. I think that would be of great help to Norwegian interests. I want to commend the Government – and Foreign Minister Jan Petersen in particular – for the presentation of the Northern Territory Communication, which sets out important and correct directions for the political challenges in the North. I also believe that there is reason to commend the Foreign Affairs Committee of the United Kingdom, which has dealt with the communication in a very thorough manner and has given the Government support for its Northern Region policy. Nordgebietpolitik is important for the nation of Norway. But I can't help because I, as a native of the north, think it's very good that the Storting spends so long and so much resources just discussing the areas that matter a lot to me.
ParlaMint-NO_2005-06-15.ana.ud2566e1124	Nelson Mandela was standing on the intercom in Tromsø on Saturday. He spoke to 18,000 met up and to the rest of the world. He spoke directly to us politicians and encouraged us to take responsibility in relation to the divided world in which we live. He challenged us to take responsibility for the millions of children who die because they don't have access to drugs, and he said that AIDS threatens the very core of our lives. When the story is written, we will then be remembered as the generation that turned its back on a global crisis, or it will be written that we did the right thing, asked Nelson Mandela. History will judge us. In 2004, more than 3 million people were killed by AIDS, while 5 million people were infected by HIV. Nowhere in the world is the HIV/AIDS epidemic growing faster than in Russia and Eastern Europe. 309 000 are officially registered as HIV positive in Russia. The experts believe that the real figure is much higher, and there is an explosive trend in the spread. Tuberculosis is also under explosive development in North-West Russia. It's actually not economics to treat everyone who needs it. You have to make a choice about who should be treated, and who should not. In fact, there is now a risk of losing control over both the HIV/AIDS epidemic and the tuberculosis epidemic in Russia. These two infectious diseases are serious. We need to focus on a strong strengthening of health work in Russia and on strengthening voluntary work. Today, I want to praise the work of the voluntary organisations in Russia, among others. Red Cross’s preventive aid project against HIV and AIDS, Redd Barna’s street children’s project and Norsk Folkehelp’s women’s aid project. These projects are good, and they are extremely important. Strengthening health work is necessary. It's our commitment to our neighbours. But it is also important in relation to the stability of the northern regions. There is no other border between two countries in the world where there is such a big distinction in terms of economics and living standards as there is between Norway and Russia. I hope the Mandela concert in Tromsø in the weekend moved the world a little bit and changed the world a little. It was a small but enormously important contribution. Tromsø has been put on the map – not for a concert, but for her social commitment, to contribute to the world, to set the agenda and to raise a case as important as HIV/AIDS. This requires both knowledge, commitment and competence. The signals were sent out strongly. The hope is that this will be on the agenda of the G8 Summit. I hope that the concert has made some headway in Norway, and that it will keep going. This obliges Norway, with its knowledge and competence, to make concrete and good proposals to strengthen this area. ‘It is far from this country. Most of it is north.” That’s how the rapporteur started the first article on the Northern Region Communication today. The debate that has been in the Chamber today shows that there is a broad consensus in the Storting on this. Increased bets and focus in the north are enormously important. It's about time it came. This must involve a new political focus, both on the opportunities and on the challenges we face in the northern regions. However, it must also involve a fairer distribution of governance, organisation and placement of both institutions and policy management in Norway. In North Norway, there are strong environments of competence in a broad and comprehensive field, and not least there is a drive and a will. It is necessary to distribute power to North Norway. North Norway is prepared to accept this power and manage it well. There are many strong environments of competence in North Norway – a huge number of them. I will quickly mention some of these environments that are important: telemedicine, the University Hospital, the University of Tromsø, the Polar Environment Centre, the Municipalities, the municipalities, research institutions, the national colleges, the Barents Secretariat – which has been mentioned many times before – The weather forecast, an enormous number of voluntary organisations and a number of companies. What I hope this will lead to is that, in the future, more responsibility is placed on both national and international tasks in North Norway, because in the north, not least has experience of cooperation in the Barents region through generations.
ParlaMint-NO_2005-06-15.ana.ud2566e1143	It is a relatively rare situation that a big-time report arouses so much political debate, so much economic attention and also commercial interest. At the outset, I think that there is reason to give reasonable commendation to the Government, and in particular to the Minister of Foreign Affairs, for focusing on the north for the first time, and not least on the possibilities of the north. I think it's part of this debate and the message that that reflects. It focuses on future perspectives, on opportunities and how to exploit these opportunities for the benefit of our nation. From my point of view, I would like to point out that what we are really discussing, far on the way, is Norway’s future – long after the oil and gas resources, which have been in focus today, and their exploitation has ended. If we manage the northern areas in a good and sound way, we will be able to harvest some of the world's richest fishing resources for hundreds of years to come – in generations to come. Norwegian Arctic cod and Norwegian spring herrings have their breeding areas in the North Sea and in the Barents Sea, providing opportunities for new products, new value creation and new employment far beyond the medium-term and, in part, the short-term perspective of the oil and gas industry. But of course, it's also important to bring in. However, I would like to stress that renewable resources also need attention when discussing north-eastern policy. It is not just Norway's future that is in focus. In many ways, this also helps to secure Europe’s future in terms of energy supply and food security in the coming years – for future generations, in fact. I would also like to emphasise that, as we are discussing it today, Northern Region policy is part of our national policy. It must not be reduced to become a discussion of what is going to happen in the churches, versus what is going to happen in Murmansk. To that, this is too important. Too many opportunities and too many resources are at stake for this to be diverted into the area of Finnmark-North-West Russia. It's about our entire northern part of the country, and it's about taking advantage of the opportunities there. I also think that what has been in focus here today, the need for coordination in government circles in order to exploit these opportunities in the long term, has come up well. Then I think it is a complete derailment to propose either a directorate or a separate minister for the northern regions. This must be anchored as far as possible in the political system, and to the extent that the Foreign Minister has not put himself in the focus and can do even better, I think he must also take on the responsibility he has and should have to coordinate both defence, environment, industry, fisheries, law and the whole range of trades within the government apparatus in this area. The second focus of the notification is the need for knowledge production and awareness-raising. If we are to gain new knowledge and growth in the north with the resources and opportunities required in the notification, it also requires knowledge production, and knowledge production requires research. As mentioned earlier, the Government has submitted, in parallel with this Communication, a research communication with fields of direct involvement in the North Sea issue. Real science, marine business development, innovation and innovation, business development and technology investment are crucial, we shall be able to achieve the development that we all want and see for ourselves in the North. Then I believe that the policy that is now being pursued by the Government with regard to upgrading the Nordic higher education institutions, including the University of Tromsø, not least in terms of technology transfer from the south to the north, possibly technology transfer of the best that has to be available internationally, in order to put it into use in the northern regions to build a knowledge-based industry in the north, is an important and proper strategy for the future. With the bet that's now happening, I think we're actually about to be able to build Norway up again to become a polar power force. I am not at least a little frightened by the concerns of SV, who are not at all able to see opportunities, but only problems related to the northern regions – also. It will be an accident for our country if this red-green option is to be based on SV's policy in the future.
