ParlaMint-NO_2005-12-13.ana.ud1051e57	The representative of Bjørg Tørresdal will make a private proposal.
ParlaMint-NO_2005-12-13.ana.ud1051e1016	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2005-12-13.ana.ud1051e1019	The representative Britt Hildeng had an excellent piece about ballast and roots, that is, our national cultural heritage. And in a line to the representative Sande earlier today, I took up what is in the Soria Moria Declaration, that our national cultural heritage also means our Christian heritage. If I understand the representative Hildeng correctly, it was of course a balance; one should not appear superior on behalf of one's own cultural heritage in the meeting with other cultures. But then it's a different side of the same thing: it's embarrassing on behalf of its own cultural heritage. There I have to say that this government is very well committed to acting embarrassed on behalf of the Christian part of the cultural heritage. Well, that's what we're seeing now, when we get over two pages in the VG today, that a school in Lillehammer with less than 20 students of ethnic origin other than Norwegian reasons why you're no longer going to serve as a school god, while the principal at one of the Oslo schools, Gran School at Furuset – and those who know that school, know that they take integration policy very seriously – says the following: «The Christian Christmas celebration has a long tradition, and it's all wrong to cut out the school divination. It's a non-themed thing with us." I also see the letter from the County of Eastfold to the schools in Fredrikstad as a response to the signals given by the new government. In a letter to a school, the county councilman, as it says in the VG, writes that jubilee services are ‘marked as illegal religious practice’. I think you better listen to Muslim Aslam Ahsan, who I also think has a party background that makes someone maybe listen to him more than others. He says, ‘I have no understanding that Muslim children should feel supported by a Christian celebration. Of course, Muslim children should be allowed not to participate [[...]] [[...]] It is sad to have to admit that we have received a government that is obviously outlawed on behalf of important parts of the Norwegian cultural heritage.
ParlaMint-NO_2005-12-13.ana.ud1051e1039	We have adjusted our position in relation to Rock City, says Ulf Erik Knudsen. Ulf Erik Knudsen based his entire argument on what has come to light in connection with hearings and comments after the case has been investigated. There is reason to remind both the Knudsen and the Progress Party that the possibility of addressing such types of investigations and hearings has been rejected several times in the Stortinget. Had the Advancement Party got it as they would, and as they have voted in the hall earlier, everything had been located in Namsos, nothing in Trondheim and nothing in Oslo. So a little walk into the representative Skei Grande. When the red-green parties launched the cultural promise, we said that 1 pst. the state budget was to go to culture, and it was to be implemented within 10 years. Schei Grande’s comment was that this was ‘patetic populist overbidder policy’. That was for approx. Two years ago. During this year's election campaign, the representative Skei Grande told me that the Left will implement this in four years. In a debate on the National Library, she even suggested that this should be carried out in one year. Then maybe it's okay to make Skei Grande's words their own and say that this is pathetic populist overbidder policy. So what are they doing in practice? What is left to do in practical policy? In this year's cultural budget we have seen that in the proposal that also had Skei Grande's signature, it was suggested 1.3 pst. increase in culture. That's to reverse, that. It's not even a compensation for price and salary growth. It is as if I were going to call my wife home and say that this year I intend to go home to the Drammen for Christmas. I'm starting today, tomorrow I'm at the Winter Bridge, and little Christmas night looks like I'm in Moss. I'm not going to use the left road map, I'm going to take the red-green train to the Drammen.
ParlaMint-NO_2005-12-13.ana.ud1051e1050	No more have asked for the word to be used for area 3. We are going to go to the debate on the 2nd framework area, the Ministry of Children and Gender Equality.
ParlaMint-NO_2005-12-13.ana.ud1051e1055	I would also like to begin by thanking the Committee on Budgetary Control for a very tidy procedure and for a good cooperation. In my post, I want to talk most about the Christian People's Party's policy, and expect the various parties to come up with their primary positions and the background for their budgetary treatment. The family is the beginning of the life-walking of a child. Family frames growth, same way the family is composed. That's why the Christian People's Party is busy giving the family better odds for happiness in its task. We therefore suggest making the life course ‘Good start’ available throughout the country, a life course that provides newly-baked parents with tools to deal with everyday life. This is particularly important at a time when very many marriages are dissolved and many children have a change in everyday life and life. If this trend can be reversed by preventive work that allows the family to live better together, this could have positive consequences, both in terms of human and socio-economic. In such a context, it is important that the work of the government from which the network has gone off in developing knowledge and competence in family protection is followed up. I am pleased that the new government will lead the system with two tracks in family protection, both church and public. Parents have the primary responsibility for raising their children. Then it is important for society to make the best possible possible way for them to carry out that responsibility in a good way. What it means, varies from family to family. Families are different and have different needs. That is precisely why the Christian People's Party is concerned that the state must facilitate different choices. When we know that 80,000 families of children receive cash support, and that very many of them want to continue with it, we don't take our families seriously by cutting 273 million. NOK in cash support. A joint committee says in its opinion that ‘a family policy tailored to the needs and needs of families is important’. Then it is incomprehensible that the government party goes in to reduce the freedom of choice of family members by cutting cash support. Right, Christian People's Party, Left, and Progress Party make suggestions in the setting where we ask the Government to make sure that there is no additional cut in cash support until we reach full child care coverage. This is a modest proposal that the government party should be able to vote for. It was this birthright they gave to infants' parents in Soria Moria. Now they need to provide them with the security they promised. Kindergartens are an important social institution, which helps parents with care and care. Kindergartens convey values and culture and encourage children to experience joy and maesterdom in a social and cultural community. That's why the Christian People's Party is investing in kindergarten. But we have a different priority than the government party. For us, full child care and equal treatment for private and public kindergartens are more important than putting down the maximum price extra for those who are already so lucky to have a kindergarten. That's what we have seen through our suggestions in the setting. Family policy is about facilitating good choices and providing parental guidance and support. First of all, it's about time and relationships. As politicians, we can't create the good conversation, but we can make it possible for parents not to be enslaved by the labour market, by facilitating good leave arrangements and the possibility of part-time work. As politicians, we cannot abolish divorce, but we can offer life courses and preventive family work. As politicians, we can't force fathers to prioritize getting together with children, but we can facilitate that parenthood is equally binding whether you're a mother or a father, and keeping your father's leave. As politicians, we cannot provide care for children who are failing by parents, but we can facilitate better cooperation between the professional community working with disadvantaged children and their parents. Thus, the Christian People’s Party supports child protection as an important partner and resource for parents. We also support the support scheme for child and youth action in larger urban communities as a targeted tool to improve growth and living conditions for children and young people with special needs. As politicians, we can't secure all children's friends, but we can bet on good kindergartens and good schools with conscious and schooled adults that facilitate play and learning and have zero tolerance for bullying. Then, projects such as ‘Shall not’ are important, and I am very pleased that the Church, Education and Research Committee has contributed funds to the continuation of this important value project. There are many challenges ahead of us in family policy. I think we're going into an exciting period, where this committee will be uplifting and discussing important things. Finally, I would like to address the suggestions in the setting to which the Christian People's Party is a co-sponsor.
ParlaMint-NO_2005-12-13.ana.ud1051e1087	The representative of May-Helen Molvær Grimstad has taken up the suggestions to which she referred. It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e1092	For the representative Molvær Grimstad and the Christian People's Party, freedom of choice is a very important concept of family policy. That's for all of us. We can see that when freedom of choice is finally about to become real, in the sense that we are getting full babysitting and low prices, parents choose to use this offer to a large extent. Surveys have been carried out by the Central Statistical Office to show that if female participation in employment had been as low as that in Germany, the value creation in Norway would have been many billion dollars lower. This would have contributed to lower tax access and less well-being in Norway. At 80 pst. by the midwives of young children are economically active, clearly important for the creation of value added. But when Minister of Economic Affairs and Trade Odd Eriksen mentions the same thing, Molvær Grimstad opposes. Is it really the case that the Christian People’s Party does not want mothers of young children to be active? Is it really the case that the Christian People's Party is now reluctant to realize that when the kindergartens get cheaper and more, there are many women who choose that rather than to be at home?
ParlaMint-NO_2005-12-13.ana.ud1051e1101	I thank the representative Gjul for his question. In the Christian People's Party, we're busy getting full babysitting, and everyone who wants babysitting will get it. But what was so strange about the Minister of Industry's performance was that it didn't sound as if we in Norway could afford the parents who wanted to be home with the children to be. We do not want a single policy to the extent that we should only stimulate one choice, that everyone should be out of work all the time. But we're making up for an option where parents themselves can make this choice. We also need to look at the value of a person’s desire to be at home — it also needs to be valued. I want everyone who wants to be active to be active. That's why it's important for us to get full babysitting. We're on the right track, but we're not in the right direction. But I think, unfortunately, it takes even longer to get full child care coverage when the government prioritizes further reduction of the maximum price, rather than prioritizing first to get full child care coverage.
ParlaMint-NO_2005-12-13.ana.ud1051e1112	A number of recent cases have been identified in which minor asylum seekers have been excluded from Norwegian reception. You have a reply to the government parties in the setting, where you say that: ‘child protection is already the responsibility of the follow-up of unaccompanied minors to reception’. You're going to say, ‘It will be essential whether the child needs a measure under the Child Protection Act. If the child lives in a proper care situation, such as with relatives, the responsibilities of the child protection service will be subsidiary.’;» How should child protection detect the situation of these children and their needs for care? There is no authorisation system, there is no supervision system for minor asylum seekers, nor is it the case that child protection investigates the situation of these children when they come to the country. These are our weakest kids, and I wonder how you have thought that child protection should know what care needs these children have?
ParlaMint-NO_2005-12-13.ana.ud1051e1127	There's an important question for the May Hansen representative here, about the minor refugees. Today, municipalities have a responsibility for the children who are in the municipality. There have been discussions about different measures and what you can do to ensure the best for these children. It is right that we point out that one refers to the responsibility of the municipalities today, and that for all children who are in Norway today, the UN Convention on the Rights of the Child applies. Children's protection law applies to all children living in Norway, including single minor asylum seekers. It is therefore important that this work is followed closely. We believe that the municipalities will follow this responsibility. If it turns out that it doesn't happen, we're going to have to follow developments within this area carefully.
ParlaMint-NO_2005-12-13.ana.ud1051e1132	The representative of Molvær Grimstad has a commitment for children and young people, and despite this, the Christian People's Party has been responsible for a municipal economy over the last few years that has made many municipalities cut short – it is lower staffing in kindergartens or fewer teachers in school. Under the Christian People's Party, we also know that alcohol consumption among young people has increased and snapped at a high level, while at the same time reducing the number of drug-free meeting places around the country. What will the Christian People’s Party do to improve the supply of children and young people around our country?
ParlaMint-NO_2005-12-13.ana.ud1051e1139	The Christian People's Party is concerned about the situation and the growing-up conditions for children and young people. That is why it has been important for us to give priority to offensive child and family policies. The growing conditions in the big cities, which have been mentioned before, are important. The municipal economy is also important in relation to the welfare provision to be provided by the municipality to children and young people. The previous government, the Co-operation Agency, granted an increased license to municipalities. We know that there was a desire to get even more funds for this, and we were about to escalate. At the same time, we were concerned that we should have a good and offensive industrial policy that created tax revenues for the municipalities, which could be involved and provide better welfare. Here are challenges ahead of us. I feel that the Christian People's Party has been offensive when this is the case, and hope that the new government will follow up part of the important work we have started.
ParlaMint-NO_2005-12-13.ana.ud1051e1144	Several have not asked for the word for a line.
ParlaMint-NO_2005-12-13.ana.ud1051e1148	The small children's parents are the clear budgetary gains with the new red-green government. As early as 1 January, the small children’s parents will notice on the wallet that the children’s playgrounds have become cheaper. For a government that had only been sitting for 24 days when it laid out its first budget, and which has moved in total at the base of NOK 10 billion, there is a very clear priority when, at the base of NOK 1 billion of these, the maximum price of kindergartens is reduced to NOK 2 250. This is a government that is serious about the nursery arrangement. The next thing we're serious about red-green is that we want full babysitting. Each stone should now be turned and turned to find out what is preventing municipalities and private developers from building more kindergartens than they are currently doing. We have an ambition to turn down the lap times and get to the measurements as soon as possible with full babysitting. The opposition is well aware that a reduction in the maximum price will further delay the development of kindergartens. The working party disagrees with the opposite. During the year, three out of four municipalities will have full childcare coverage. In these municipalities, a single kindergarten will not be built until the maximum price has been lowered further. It is only then that they have to meet any additional need, which also gives reason to build more kindergartens. Therefore, it is extremely important to lower the maximum price to NOK 2 250 from 1 January, so that there are no delays in the development of kindergartens. It is also interesting to note that when young children’s parents are given real freedom of choice through cheaper and more kindergartens, the vast majority of them choose kindergarten rather than other care options. Good, reasonable and accessible childcare facilities are important for providing equal opportunities for all children. Space in kindergarten can improve Norwegian skills for children with minority parents and can help to help children in families with different types of problems. Families in need of child protection are seen and given early help. For example, children with a minority background receive help. to master the Norwegian language. That is why the Labour Party is very pleased that the new government in its draft budget will spend 10 million. kr for free core time in kindergartens for children with a migrant background. Infant families shall have the possibility of combining care for children with work or education. The development of kindergartens so that the provision is available to children at the request of their parents is also important to ensure the well-being and good development of all children. The kindergarten shall be a common experience and the learning venue for the children, irrespective of the economic, social and cultural background of the parents. The working party believes it is important to give the family concept an extended content. The A4 family – two adults and two children – is not alone in being a family. Today, two adults with yours and mine and maybe our children are an equally common family constellation. But why make this a bigger problem than it really is? Many children experience it as very positive to grow up in this, perhaps today's big family. Lonely caregivers with children are another type of family, and gay and lesbian couples, with and without children, are a third type. But solstice also becomes an increasingly common family form. The family policy of this red-green government will be marked by rawness and acceptance for people's choice. No family forms are better than others. The love between two people is one of the most beautiful things there is, no matter what lay you have. We must guard ourselves to judge someone from whom they give their heart to. If you are heterophile, homophile, lesbian or bifile for that matter, none of us have the right to raise the index finger and say that someone's feelings are better or worse than those of others. We will continue to improve the conditions for lesbians and gays. That is why the red-green government in the budget has stepped up support for the gay organisations, to ensure that they can work to better respect the rights of this group. Child protection is currently experiencing a significant increase in the number of users of its services, and the Government has therefore granted more money to the department both within the year’s budget and in the budget for 2006 — a total of 300 million. Extra kroner. Child protection is facing major challenges, and the Government is now trying to clean up the economic mess that Buffetat has experienced in recent years. We have to make sure that the children who need help get it. We need to be sure that we provide them with a customised offer that can help them. We have to make sure that the commercial forces, which get heavier and heavier into the child's protection, don't foam the cream. We also have to make sure that we do the right things. These kids deserve to be taken seriously and given help. Children living in poverty find it brutal to be placed on the sidelines of a society that is depleted by milk and honey. One of the most important things we have to do is to combat child poverty by all means. The working party is therefore very pleased that this government is increasing its efforts to help these young people. Young single asylum seekers are also a very vulnerable group in our society. In the last few days, the media have discovered that children are victims of trafficking in Norway as early as the age of 12. The Soria Moria Declaration has agreed that the conditions for these children must be improved and that responsibility must now be transferred to child protection. In the context of the 2006 State budget, a report entitled ‘The allocation of financial resources between women and men’ has been presented. Income, employment and time use’. The report shows that there is still an unacceptable gap between women and men in income. It continues to be that women earn significantly less than men. For the Workers' Party, equality and equal pay are important in our employment policy. I am therefore pleased that the Government will now reduce an equal pay commission. The participation of fathers in the first year of life of children is important, not least in order to establish good contact between father and child, but also in order to ensure a more equal distribution of care responsibilities between parents. It's a good thing that the kids get more time with Dad. But if we're going to get on with the gender equality work, it's necessary for us girls to let boys go more at home. Fathers who take a greater share of the maternity leave also take more responsibility at home than other fathers later. I want to pay tribute to the Bondevik government for the increase in the feather quota by two weeks. But if we're going to get on with gender equality, something revolutionary has to happen at home. We don't get any further unless fathers take a greater responsibility, and not least that we girls are willing to let boys go on their way home. When fathers take equal responsibility at home as mothers, women will be as attractive as men in the labour market. Only when the girls get relief at home will the girls be able to take more responsibility, among other things. take management responsibilities in the labour market. We've got a government and not least a government council that's concerned with gender equality. After a heavy period of stagnation in the field of equality, the Workers' Party has hopes and ambitions that we will move forward in time to come.
ParlaMint-NO_2005-12-13.ana.ud1051e1182	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e1185	The representative began his post by saying that the winners this time were the families of young children. It's a truth with great modifications. The Soria Moria statement says you should not cut the cash support. Nevertheless, the government is going in to cut the cash support. We must note, then, that we do not keep the promises we have made and that we are weakening the situation of a number of families with children. From the point of view of the Progress Party, we believe that cash support should be maintained and preferably increased. My questions to the representative are: Does the representative agree that this type of breach of promises is suitable for weakening the confidence of the elected representatives? To what extent does the representative believe that she will follow the promises of the Soria Moria Declaration? And how are we going to interpret it, when you break the first two weeks?
ParlaMint-NO_2005-12-13.ana.ud1051e1194	It is obvious that the infant family is the great winner in this budget. The large majority of children are in kindergarten, and the large majority of parents will have a significant reduction in the cost of kindergarten with this government. It is not that we have made any promises that the level of cash support should be the same as under the Bondevik administration. It was the Bondevik administration that removed the infant supplement, but it kept it for those who are cash beneficiaries. What we've done now is we've removed half of the baby supplement that the cash beneficiaries get. What we agree on is that the cash support will be available until full child care coverage is achieved – and it will be the earliest in 2008 – and then the cash support will be converted. So out of the period, we're going to keep a limited cash support scheme for 1-year-olds and 2-year-olds. It's not about the level, but it's about the scheme, and we're on it.
ParlaMint-NO_2005-12-13.ana.ud1051e1201	My reply goes to the representative Gjuls – I think – rather a special approach to the concept of freedom of choice, from which she proclaimed that she was in favour. It's later that freedom of choice is kind of a theme that disappears at the moment you have full babysitting. But to use kindergarten is not to have freedom of choice. You have freedom of choice when you also have the opportunity to do other things. What the Workers' Party is now signaling is to introduce the really large class division, between those who have kindergarten space, and those who will set up differently and perhaps in the future will not be able to afford to make changes. It has not been given that the nursery service is the only charity. Freedom of choice makes sense at the moment you have real opportunities to make adjustments. I would like to have a comment on this.
ParlaMint-NO_2005-12-13.ana.ud1051e1210	It is obvious that the Workers' Party is in favour of freedom of choice, but it is also obvious that until today most young children's parents have not had a real freedom of choice. All the young children's mothers and grandchildren who today have completed their maternity leave scheme and who are despondent because they do not know what to do with the small pod on the day they return to work do not experience this as an freedom of choice. They see it as a coercion that they do not have the opportunity to find a good care provision for their children. The fact that they can receive cash support is kind of a patch on the wound. But it does not feel like freedom of choice when you are forced to choose between being at home and possibly finding other care solutions, when you really want to, is a safe and good nursery place for your children. The new government says we're going to have a real freedom of choice now by getting full babysitting, hopefully in a short time.
ParlaMint-NO_2005-12-13.ana.ud1051e1215	The logic of the freedom of choice should not be to reduce the freedom of choice by reducing the amount of cash. That's what the government does. The representative Gjul said it has our stagnation in the field of equality, but I can't agree on that. I would recommend the representative Gjul to look at the budget proposal presented by the Bondevik II Government. It was, in fact, the government, with Laila Davay as Minister for Gender Equality, who presented to the Stortinget proposals for rules of 40 p.m. representation of both sexes in public limited-liability companies. The promise was made in the autumn of 2003, but it would not come into force if 40 p.m. the representation was not achieved by 1 July 2005 without legislation. In a number of areas, equality work has been strengthened, and I share the commitment of Gjul that it is important to have a good and offensive equality policy. But trying to represent it as if there were stagnation in this area under the previous government becomes a mistake.
ParlaMint-NO_2005-12-13.ana.ud1051e1222	The stagnation related to gender equality policy was not directly linked to the previous Bondevik government. In fact, I believe that we have had a stagnation in the field of equality over a much longer time perspective, and that we now have to do vital, important action to move on. It is obvious that as long as there is still a mother who has the primary responsibility for children at home, and who takes that responsibility, when there is still a huge pay gap between women and men, and when there are still largely men who take on management responsibility in working life and in business, we have a long way to go in the same-sex Norway before we come to the goal of gender equality policy. That's why I'm very pleased that we have a Council of State and a government that realizes that we need to take some fundamental, new steps to move on in gender equality policy. I am quite convinced that the representative Molvær Grimstad also wants to be part of it.
ParlaMint-NO_2005-12-13.ana.ud1051e1231	The cord shift is over.
ParlaMint-NO_2005-12-13.ana.ud1051e1234	The party of progress is of the opinion that the family is one of the most important pillars of today's society. It is the view of the Progress Party that an active and proper family policy will bring significant societal benefits both in the short and long term. In the opinion of the Progress Party, it is very important to give the family considerable freedom in everyday life, the possibility of freedom of choice and the right to dispose of their own family situation. We will stress that the role of parents in relation to the child must never be called into question, as has been done after recent statements by the Minister of Knowledge. The public can never replace the parents in creating a safe framework and belonging to a child. The party of progress will strongly warn against those who try to weaken the role of parents in relation to the child. Kindergartens and parental training are tools that parents are to use in their daily work on assignment, and not least in teaching the child respect for the property of others and others. The party is aware that more and more couples are experiencing a breakup in their lives. This is a development that affects not only Norway but large parts of the Western world. We therefore believe that it is naive to believe that public life courses can reverse this trend. Further escalation of appropriations at such rates cannot be expected to produce any effect, other than possibly increased use of public money. The promotion party wants to adjust the price and cost of the child’s rights. In this context, the Progress Party will demonstrate that the cash support through evaluation has shown that it has been successful and has produced results for the families that have benefited from the scheme. The Progress Party will distance itself from what the Government seems to be working on reducing the payment of cash support. This frameworks parents who have planned an opportunity to be with their children in a period of their children’s lives where parents are very central and important. The Progress Party will stress that, in addition to that, the Government also deprives parents of the possibility of freedom of choice with low income. In reality, this means that once again the government has prioritised middle or high income parents. It'll be an freedom of choice just for the rich. The Progress Party will note that in order to give parents full freedom of choice, various measures will have to be taken to ensure that there will also be full childcare coverage. The compromise adopted by the Storting on kindergartens could provide the basis for full kindergarten coverage and lower parental pay. Non-discrimination between public and private kindergartens ensures a multi-site and lower-cost development. It is precisely a genuine non-discrimination that provides a cost-effective and viable childcare sector. With real non-discrimination, all kindergartens will have the motivation to limit their costs, while focusing on the quality of their services. The Progress Party believes that the unilateral debate on parental pay and coverage will, as soon as full coverage is achieved, be replaced by a stronger focus on quality in the offer. For this reason, it is important to ensure long-term sustainability for both public and private kindergartens, which is best done through genuine non-discrimination. The Progress Party will also point to the fact that many families today are dissolved, which often puts the children involved in a difficult situation. Children must not be used as a weapon in a conflict between their parents, but must be consulted on the issues relating to them. To this end, the Progress Party will point out that most children want equal association with both parents and that this must be done unless there are particular reasons to suggest that it is not for the child’s best. The UN Children's Convention also says that this is a right that individual children have. Norway has incorporated the UN Children’s Convention into its legislation, and we are therefore obliged to facilitate this for all children living in Norway. In this area, we have a long way to go. It is also important, in the view of the Progress Party, that family protection offices should be given the necessary skills to resolve the highly conflict-affected situations they face. The party to the progress is of the opinion that there is too much emphasis on measures intended to promote equality. Such measures are unnecessary and, in some cases, will prevent real equality. In principle, the Advancement Party believes that it is a matter of course that you get equal pay for equal work. Nevertheless, the Progress Party will refrain from granting positions by gender, race or sexual preference. It should be a matter of course that all positions in a society are allocated by competence. Therefore, the Party considers that it is not necessary to spend large sums on equality projects under the authority of the public authorities and has put forward a number of proposals to wind them up. The Progress Party also believes that it is important that consumer considerations are central to the work done on this budget chapter. Consumers shall have the opportunity to reach out with their complaints. The protection of consumers' rights is an essential part of a well-functioning market. Consumer authorities have done a solid job for a number of years, and the Progress Party believes that a strengthening of this area should be considered. We have also tabled a number of proposals to clean up the budget lines in this area. The Progress Party will point out that young people growing up in big cities do not always have the same network as children and young people in the districts. In addition, there is often a tougher environment, and access to drugs of different kinds is greater in big cities. It is therefore important, in the opinion of the Progress Party, that resources be allocated to enable major cities to take preventive action in order to capture children and young people in the risk zone at the earliest opportunity. The party of progress is therefore pleased with the big step forward. Until this year only the ten largest cities in the country have been covered. From 2006, it will cover the 23 largest cities, so even if the post has increased, it really means a greater struggle for the resources. One of the measures in this area is a local measure in my neighbourhood. In the Drammen we have a hall, the Nøstedhallen, for skating and the BMX. An estimated three-quarters of users come from other municipalities, many of them from Oslo, Akershus and Vestfold. We have noticed that there are discussions about how this hall is to be financed. It's actually about a national or rural site. We have taken this up in our remarks, and we have also noticed that the representative Lise Christoffersen from the Workers' Party has stated to Drammen's Official Journal that she is terrified that this measure should be taken. We expect the government to follow up in this area, so Lise Christoffersen will have the opportunity to sleep at night. Finally, some words about cash support – back to that theme. I'll record the answers we get. But when the head of the Labour Party is calling for this to be a matter of freedom of choice, I ask myself a big question. The freedom of choice defined by the position of the Workers' Party is obviously such that you have the freedom to choose what you want, only you choose what the Workers' Party has decided. It's not freedom of choice. In order to have freedom of choice, one must have something to choose from, and that is precisely the possibility of choosing from which the Workers' Party will remove. So I hope that in the future we will not hear more gross abuse of this term. In the end, it is possible to perceive that all the proposals were taken up by my colleague Karin Woldseth, so there is no need for me to address the proposals as it has been done.
ParlaMint-NO_2005-12-13.ana.ud1051e1264	It's going to be line change.
ParlaMint-NO_2005-12-13.ana.ud1051e1268	The Party considers that no group shall be required to have special measures or protection. The Progress Party wishes to liquidate the Equality and Discrimination Ombudsman. It's quite special, because still women have significantly lower wages than men, still women are under-represented in the boardrooms, still large minority groups in the country have extremely high unemployment rates. The same is true of disabled people. What are the concerns of the representative Knudsen about the causes of these systematic differences and biases? What does he think to do with this that also for the Progress Party must be seen as something completely, completely unreasonable?
ParlaMint-NO_2005-12-13.ana.ud1051e1275	In terms of unemployment among minority groups, I don't think it has much to do with gender equality policy. I think it has more to do with a flawed integration policy, such as that. The working party has been central to this. When it comes to getting immigrants to work, it is very much about being able to speak Norwegian. It's at least an experience I did when I sat down with this particular job in Aetat, that's to convey immigrants to work. Norwegian employers are not racists. In the case of women in control rooms – just to take that theme in this short period of time – there is a development that is gaining momentum. Now women are dominant in most higher education institutions, and in a short time, in a few years' time, there will also be increases in government involvement. I am absolutely convinced of that.
ParlaMint-NO_2005-12-13.ana.ud1051e1282	The representatives of the Progress Party write in the setting that you are ‘subject to figures from the Statistical Central Agency that there has been an increase in children’s responses to child protection measures of about 10 %. 6500 from 2003 to 2004». In addition, it is said that: ‘It will be impossible for the county to exercise good and adequate supervision of the protection of children’. In addition, the increase that the Government has introduced into the state child protection proposal is also opposed. I wonder: what is the Progress Party going to do in relation to all the children we now have on child protection measures, in addition to establishing child protection? What concrete measures will be taken, and what increases in the budget will be used for this?
ParlaMint-NO_2005-12-13.ana.ud1051e1299	It is true that the Progress Party is somewhat pending the figures from the Statistical Central Bureau that there has been an increase in children’s responses to child protection measures of approx. 6 500 from 2003 to 2004. It should be appropriate to look at the figures at the back, whether there are the same children receiving more measures, or whether there is a real increase in the number of children in need of assistance in the field of child protection. So we want to go in and the quality-assured numbers. We don't want, like SV does, to spend a lot of money until we're sure of what is a problem, and what problems need to be solved. For the Progress Party, this issue of child protection is so important that Karin Woldseth is going to go very thoroughly into it and into our policy in the area of his intervention later today.
ParlaMint-NO_2005-12-13.ana.ud1051e1306	Several have not asked for the word for a line.
