ParlaMint-NO_2005-03-02.ana.ud817e28	The called alternate of the Hordaland County, Pål Berberfjord, has taken the seat.
ParlaMint-NO_2005-03-02.ana.ud817e864	I thank you again for the answer, which I thought was both humble and reasonable. That humility is probably several that could have taken with them at regular intervals, I assume. What is nevertheless a paradox, and which I will address as a final question to the Council of State, is that I think it takes a long time before we take these steps that will provide improved efficiency. Does the Council of State and his counterparts, in order to use such a concept, have a conscious view of this, so that one consciously focuses on the dietary-benefit principle and old/new equipment? Because there is no doubt that new, good solutions could also provide a better and more light-headed police force in relation to the tasks we want them to do when we simplify the processes of service, not least in terms of operational relations with the public. So the question is, are you conscious enough, do you have enough strategies, and do you work analytically enough to focus on the gain by investing in new equipment?
ParlaMint-NO_2005-03-02.ana.ud817e871	I think we're aware of what we can achieve, but I think we're also both humble and realistic in that it takes time. And as I said, some of the central systems were introduced to replace manual systems. Then it's clear that you reach a point where you have to make a generation change. When making the generational shift that makes it related to other aspects of the justice sector, for example: The criminal justice chain, it's important for us to get it in place. When I'm careful, it's not because I don't have ambitions to find the solutions. It's because I have the management of a system that works under a lot of pressure. A major effort is being made in criminal matters and in the courts, and the police have been through a very necessary reform, which has given them greater competence in both schooling and police methods. When all these things happen at the same time, I'm enough to have more thoughts in your head at the same time. At least you have to sort out the thoughts in turn and in order, so you have an overview. On the ICT side, I share the representative's positive commitment: that it can give a lot. At the same time, I am humble enough to have an advance that I control. That is why, as I said, I have asked for such a plan, and I have set a deadline. It's July 1st this year.
ParlaMint-NO_2005-03-02.ana.ud817e880	With that all available thoughts are sorted out.
ParlaMint-NO_2005-03-02.ana.ud817e887	This question, from the representative of Ågot Valle to the Minister for Culture and the Church, will be answered by the Minister for Education and Research on behalf of the Minister for Culture and the Church.
ParlaMint-NO_2005-03-02.ana.ud817e890	I have this question, which I hope I get a good answer to: ‘According to a survey carried out by the Municipality’s Central Association, 59 pst will be received. by municipalities to cut the cultural budgets in 2005. Bad urban economy and reorganisations that make the cultural habits disappear as their own establishment may be causes. The consequences are getting worse for cultural life and fewer opportunities for participation and for artistic and cultural experiences. Does the Council acknowledge that she has a responsibility for culture at municipal level, and will she do something to make it possible to reverse developments for the better?’
ParlaMint-NO_2005-03-02.ana.ud817e899	The study to which Mr Ågot Valle refers is based on a simplified survey conducted by the Local Governments’ Central Association in January 2005 on the priorities of municipalities in the 2005 budget compared to 2004. The survey covered 164 municipalities and three sectors: education, health, social, care and cultural purposes. The question was whether the offer in each sector in 2005 would be extended, maintained or reduced. The result was that 36 pst. said that the cultural offer would be cut – not 59 p.m., to which the representative Valle refers. 50 pst. of the requested municipalities would maintain the offer, and 14 pst. would extend it in 2005. The Central Association of Municipalities has stated that they do not have any updated survey of municipal expenditure for cultural purposes for 2005 other than the one referred to here. The last published cultural statistics produced by the Statistical Central Agency cover 2003. From 2001 to 2003, these statistics show that the net operating costs of municipalities for different cultural purposes increased by 15 pst. Statistics with figures for 2004 will only be available after 15 March of this year. In St.meld. No 48 for 2002–03 Cultural policy towards 2014, the cultural expenditure of municipalities is reported in the decade 1991–2000. Calculated in real terms, there was a real increase of approx. 26 pst. in the net operating costs of municipalities during that period. The Culture Communication also refers to the reorganisation of the cultural sector in the municipalities. During the 1990s, many municipalities switched from pure primary selections of culture to multi-stakeholder selections, such as cultural and educational selections or culture and industry. Similar changes also took place at administrative level. A 1998 NIBR report, Culture in Weathering?, pointed to possible links between local communities and the priority of this area of action. The picture does not appear to be clear, however, and the causal relationship is not obvious either. Available statistics show that the net operating expenditure of municipalities on culture up to 2003 is not only stable but shows an increase. In order to draw conclusions with regard to 2005, more information is needed than the results that can be drawn from the questions asked by the Municipal Councils in January to a sample of municipalities. The development from 2003 to 2004 will also have an interest in assessing the latest developments in the municipal culture sector, and so we will know more about this after 15 March this year.
ParlaMint-NO_2005-03-02.ana.ud817e912	I thank you for your answer. For those of us who want to hear – and who, among other things, listen to radio – now the signals about concrete cuts in the cultural offerings around many municipalities. For a long time, cultural life in municipalities has been lawless, homeless, because of reorganisations — and also more and more moneyless. At least that's the signal we get. Then, of course, it's tempting for me to raise the need for a general cultural law and a better local economy, but I won't. The Council of State referred to a report drawn up in 1998. It was actually the Bondevik government the time it ordered. Much has happened since then. So my question is: Will the government ensure that we get a thorough survey of cultural life in the municipalities – more thorough than the one we got in the cultural message – so that we can chisel out a cultural policy that strengthens the foundations of Norwegian culture and thus also the relationship between national, regional, municipal and voluntary cultural life?
ParlaMint-NO_2005-03-02.ana.ud817e923	I don't think that on behalf of the Minister of Culture I'm going to decide on the need for further surveys of cultural life in the municipalities. The issue raised here today concerns the extent of investment and expenditure in cultural life. This is the Government, of course, very concerned. Norway is a country with very good statistics on municipal services of a different nature and with which the statistical central agency and the municipality’s own reporting system provide us. In all sectors – and, I can confirm, even within the sector that is the one I manage every day, school – there are still signs of cuts, both within school and within culture. But the government here is dependent on waiting for the real numbers. I've referred to them, and they show not only a stable development, but a growth in the appropriations for culture, just like for school. So we're going to have new numbers on March 15th, and then we're going to deal with them – as a starting point for the assessments we're doing on the economic side of the case.
ParlaMint-NO_2005-03-02.ana.ud817e932	I thank you for your answer. I hope that the Council of State will make a strong wish – not just from me, but from large parts of cultural life – about a thorough monitoring, so that we can gain new knowledge. I assume that the Minister of Education is concerned with knowledge. But since it is the Minister of Education standing here, I would like to mention that a state report, at least signals, shows that it is also cut in the library offer. The Finns have received a lot of praise for their ease of reading and good reading skills. The children in Finland can read well, it turns out. Finns have put a great deal of effort into the library offer. If it turns out that there is a cut in the library appropriations, will the Minister of Education not be alerted that this could perhaps go beyond the reading capacity of the children and the cooperation between the public libraries and the school libraries?
ParlaMint-NO_2005-03-02.ana.ud817e941	Now the Council of State has changed its identity.
ParlaMint-NO_2005-03-02.ana.ud817e944	As I said, we have to deal with more than signals. We have to relate to real numbers. But I can confirm that both the Minister of Culture and I are busy with the library offer, whether it concerns the public libraries, the school libraries or working with them. It's actually a very central part of the total effort on art and culture in and in relation to the school. The cultural school bag and the Government’s plan ‘Give room for reading!’ shall enhance pupils’ literacy and literacy skills. My impression is that there is more to bet on the school library, precisely because of the student's literacy and literacy skills. I think that's very positive. Direct comparison with Finland, I think, is a bit difficult. It is quite true that Finns have invested a lot in school library, but if you see Finnish society as a whole, I think it is. can be characterized by much less discovery than the Nordics have books at home. That's why they use the library in a slightly different way to what we, with our traditions, may have been used to. But I support the representative, Valle, that reading is important, and that the libraries are very important for culture and a source of greater literacy and better reading skills.
ParlaMint-NO_2005-03-02.ana.ud817e957	I would like to ask the Minister for Education and Research the following questions: «Inside. S. No The 268 majority stated: ‘This majority [...] supports the Ministry that publication should not facilitate the ranking of schools.’ Following the publication of the results of the national tests, several media have drawn up lists of schools in which they are ranked. [[2003-2004]] The professional group that analysed and assessed the quality of the samples and the results had strong objections to publication. In view of the ranking of the media, was it in accordance with the observations of the majority to publish the results?’.»
ParlaMint-NO_2005-03-02.ana.ud817e966	The results are public. The decision to publish the results of the national tests in 2004 at the school port.no was taken after a comprehensive examination of the quality of the tests and the reliability of the proposed reporting categories. The purpose of the study, which was carried out by a professional group from the University of Oslo and the Educational Testing Institute in Reykjavik, was two-part. It was intended to provide a basis for assessing the categories of reporting that could be defended for publication in the school portal. The second objective was to obtain knowledge that contributed to the input to improve task development, implementation and evaluation procedures for next year’s tests. The professional environments that designed the national tests in reading and mathematics had originally suggested that values should be published for several categories. However, the review team considered — after a review — that the categories did not have sufficient reliability to be reported and that they were not sufficiently different to contain valuable information separately. They therefore decided not to publish the results as planned. Instead, they proposed to combine the sub-results into a general result for math and reading skills. According to the group, this scale had high reliability and validity, and they considered that it would therefore provide meaningful value for both individual and school students. This Council was fully followed. Results from the ICT-based reading tests in English were not published, because approx. 20 pst. by the students were not able to complete the test due to technical and administrative problems in schools or in municipalities. In the case of the write test in English for the 10th grade, the group considered sensor resilience to be low and that some schools systematically overestimated their students. The panel therefore recommended not to publish results from English. However, the professional community that prepared the test, supported by language researchers, had a clearly different opinion, and considered that the results were reliable enough for publication. They justified this by the fact that it is very difficult to achieve higher reliability in open tasks where the assessment is sensor-based and that the result was surprisingly good to be the first time the teachers evaluated national tests. In view of this, the Education Directorate recommended publishing the proportion of students at or above a specific skill level. Ranking of the results published on the school portal.no has not been provided. It is possible to compare schools and municipalities. In order to create ranking lists, the media or others need to obtain information for each school or municipality and to sort and rank this information themselves. This can be done with all the information that is publicly available, including the results of national tests and examinations, and I cannot therefore see that this has become simpler or more common as a result of the school portal.no. I have constantly warned against such simplified manufacturings, but I cannot prevent that from happening. However, I believe that as a result of the debate, most people gradually understand — perhaps better, even — that such simplified presentations have little value and in themselves say little about the overall quality of a school. In addition, such manufactures may – unlike in the past – be controlled by anyone, because everyone has access to the same information. I also remind you that the school port.no contains much more indicators than the results of the national tests.
ParlaMint-NO_2005-03-02.ana.ud817e983	My question was related to the majority of the population, namely, that this majority ‘supports the Ministry that publication should not facilitate the ranking of schools’. It was also referred to the group, which was a long way to go, and that's good. But the question was simply: does the Council of State feel that she has taken on seriously the comment of the majority of the population where it is said that it should not be facilitated for ranking, as we have received a national ranking, on the netpapers? In local and regional ways, we see how schools are ranked. My question remains: how will the Council of State deal with the observation from the majority that it should not facilitate ranking? And does that mean that next time, the Council of State will publish in a different way or give another feedback to those in need of feedback? The public does not initially need feedback. It's the schools and the users who need feedback. So the question is, how does the Council of State relate to the majority's remark?
ParlaMint-NO_2005-03-02.ana.ud817e990	I don't entirely agree that only the users, as was said here, that is, students, parents, possibly schools, need this. I believe to a great extent that municipalities and counties, who are responsible for the schools, also need these results. I must remind you that what is collected from results from national tests, examinations or departures is public information. Either you download this from the web, or you pick it up on a sheet in the Education Directorate, you can, if you want, make your own ranking. The press will also be able to do that. As long as I've lived, I've seen rankings of schools in the newspapers and the media. It could happen. And no one has objected to e.g. schools can be ranked on all other indicators in the school port.no. We see quite frequently that it is ranked on the basis of the economy in schools, it is ranked on the basis of the number of PCs, the number of teachers, and you can rank on the basis of the student inspectors. We haven't arranged for ranking. We haven't ranked. We have warned against it, and we have created such a complex and nuanced system that more and more people understand how pointless it is to extract one indicator and make a ranking of it. But we can't prevent the media from doing this. They always have.
ParlaMint-NO_2005-03-02.ana.ud817e995	I agree with the Council of State that at the moment that one has the kind of information, the type of data, the public will have access to it, because it is part of the public we want to go against public administration. I can't let go of what the majority has said, because here we've got a ranking, which the majority said we shouldn't have. That's my point. And then the basic question is, how can we do this differently? And do we have to do that, if we're going to satisfy the majority's remark? I keep saying the majority, because SV wasn't in that comment. We had a different relationship to it, a different view, a different arrangement. The majority, which consisted of the government parties and the Workers' Party in this case, were quite clear that this could not be used for ranking. Then we see that it's being used this way, and that it's come out long lists, regionally and centrally. Then my question becomes to the Council of State: will the Council of State then say that a consequence of this comment must be that one cannot collect that type of data? Is there going to be a consequence of what the majority has said?
ParlaMint-NO_2005-03-02.ana.ud817e1004	No, I don't think so. And I believe that the majority has not said exactly what is now being said, that there should be no rankings, or that it should not be used for rankings. What you're saying is, you're not going to facilitate the ranking of schools. And I'm glad that the representative of Rikvam here confirms that this information is public. Then the logical consequence, as far as I understand, if you were to comply with SV's vision, must be to close the school gate.no as far as students' learning outcomes are concerned. Then we are left with a number of quality indicators in Norwegian school that are about inputs, resources, money, PCs, crowns, teachers, and a number of indicators for the learning environment of students, i.e. a user survey that is actually less influenced by facts than by learning outcomes. And so, as far as I understand, it's okay that this is used and ranked exactly as the media will, while they may need to go to the Education Directorate to get lists on sheets of learning outcomes that they might be able to rank. It has to be the logical consequence. I don't want to wind up the system of national tests – it's too important for students' learning – just because we're going to keep a secret about the quality of our schools.
ParlaMint-NO_2005-03-02.ana.ud817e1022	The question is as follows: ‘The student organisation claims to represent 140000 members, students and apprentices in secondary education. The organisation practices collective membership. When a school enrolls, all students at the school become members. In international studies, Norwegian students have scored high on so-called democratic understanding. Collective membership of the Student Organisation testifies to the limited practice of democracy. Will the State Council take the initiative to ensure that high school students individually can register and leave their own organisations?’
ParlaMint-NO_2005-03-02.ana.ud817e1031	The student organisation is the most distinguished organisation for higher education students. Nearly a year ago, the Eleven League was formed as an alternative to the Student Organisation. These organisations are not regulated by the Training Act and do not receive permanent operating grants from the Ministry of Education and Research. My knowledge of how the organisations are organised or operating is therefore limited. After I have been informed, enrollment and graduation of schools in the Student Organisation takes place by decision at all meetings where at least half of the students at the school have to apply for the proposal for it to be valid. Individual students may reserve the right to stand as a member by giving written notice to the central government of the organisation. This is stated in Section 4 of the Student Organisation’s Statute. All secondary schools shall have a pupil council and the representatives of the Council shall be elected by written vote. This is the result of the Training Act § 11–6. The same provision also states that when more than half of the students at school are present and voting, the Board is bound by decisions at all meetings on matters mentioned in the convocation to the meeting. The procedure for membership of the Student Organisation does not conflict with the Code on User Assistance. However, critical questions may be asked about the student organisation's rules on how membership is signed in the organisation. So I noticed that there has now been an alternative to the Student Organisation at the University of Eleven, and that this organisation follows the principle of individual registration. I don't see it as a task for me to intervene in how non-governmental organisations organize themselves. In this context, I will refer to the statutory principle of freedom of organisation. Students themselves have to choose which organisations they want and work for organisations to have legislation that students themselves want. I will therefore not do anything to change the student organisation's own legislation. In recent years, the Ministry of Education and Research has contributed project support and grants to welfare work in the Student Organisation. The size of government funding varies slightly from year to year. In 2004, project support amounted to NOK 700000, while the grant for welfare work in the Student Organisation was NOK 1150 000. In addition, the Student Organisation received NOK 470000 in support from the Learning Centre, primarily in connection with Operation Dagsverk.
ParlaMint-NO_2005-03-02.ana.ud817e1046	I thank you for your answer. Of course, I am well aware that the Department cannot in any way control either the business or the statutes of various student organisations. Nevertheless, signals from the high school authorities are essential. It is also the case that in the articles of association of the Student Organisation, which the Council of State correctly referred to in its reply, Section 4 provides for registration and withdrawal. But it's called collective membership, and it's also talking about the right 'to reserve yourself against being collectively associated with the Student Organisation'. My follow-up question is whether the school council believes it is a good example to give to students to use collective membership in an association of high school students. Unlike being organized as an employee, you are organized as a student here, and the school has a role model to attend to.
ParlaMint-NO_2005-03-02.ana.ud817e1057	As I said, the organisation and potential members almost have to decide for themselves what kind of legislation they want in their organization. But as I said, I have noticed that an alternative organisation has now come, based on a different type of legislation, with individual registration. That is the option, although it may not be known. I also know that the student organisation has started these days or is going to start what might be called a democracy campaign, which I do not know more about. But I'm sure they'll be very well aware of what's going on in Stortinget regarding the Student Organisation. Here they have received views from the representative of Sortevik, who is concerned with their own democracy, and which they may find it useful to discuss between themselves.
ParlaMint-NO_2005-03-02.ana.ud817e1064	In its first response, the Council of State also concerned the appropriations allocated to the Student Organisation. As far as I know, in 2004, they were raised to 3 million. kr, including operations of the day. I have to remind you that the appropriations for the association of stakeholders for the 600,000 students in basic education are under 6 million. kr. My follow-up question is: Will the Council of States look further on the basis of the allocation, so that it is based on the number of members who are actively and individually registered in the organisation and do not become a joint allocation or a total allocation to a single organisation that practises collective membership?
ParlaMint-NO_2005-03-02.ana.ud817e1071	Without considering the conclusion, I can confirm that I will go through the way we allocate funds to the Student Organisation, because there has been a certain tradition that something has gone from the Department, which has gone from the Learning Centre, now the Directorate. The overview may not have been complete and the dialogue with the Student Organisation is not good enough. We are therefore trying to clear up these issues through a dialogue with the Student Organisation that might clarify some principles for granting this type of support.
ParlaMint-NO_2005-03-02.ana.ud817e1080	I allow myself to ask the following questions to the Minister for Fisheries and Coast: ‘The Sunnmørspost of 1 February this year states that Spanish fishing vessels are engaged in uncontrolled and unresponsive fishing with nets west of the North Atlantic. In what way can the Norwegian Government contribute to the control of this fish?’
ParlaMint-NO_2005-03-02.ana.ud817e1089	On the basis of the article in the Sunnmørspost, a joint report is drawn up between the Institute of Marine Research, the Directorate of Fisheries and Irish and British institutions in January of this year. It is a preliminary study of practices related to net fishing for deep-water species west of the North Atlantic. The report is a shocking reading. It testifies to the total lack of respect for the basis of life on which fishermen and fisheries-dependent communities are based. I do not hesitate to characterize the practice that has been revealed here as reprehensible. From the Norwegian side, we have been an international driver for this problem in relation to so-called ghost fishing, i.e. lost nets that continue to fish. Such yarns represent an ethical and resource problem. They may also constitute devastating obstacles to other tools, such as jets and lines in the event of collisions with tools. Compared to the EU, this problem has been addressed a number of times, most recently during Mr Borg's visit to Norway last week. Cooperation on this problem complex is now also formalised in the 2005 Fisheries Agreement between Norway and the EU. This will be followed up by technical consultations on these issues between Norway and the relevant Member States. The species of deep water are more vulnerable because of their particular biology than the traditional species on which they are fished. At the same time, we know relatively little about the deep-living species and are therefore also worse equipped to manage them properly. In this context, Norway has taken the initiative of establishing the North-East Atlantic Fisheries Commission (NEAFC), the cooperation organisation for the management of the international seas in the north-east Atlantic, for the protection of certain sea and bottom regions. At the last meeting of NEAFC in 2004, the organisation decided to close five areas of international waters for bottom trawl, net and line fishing. It's a step in the right direction to prevent what we've been exposed to through this report. In addition, Norway has also decided to contribute to the reduction of fishing day effort by deep water species by 30 pst. for the members of the organisation. We have achieved something in order to get better control of this type of fish, but this is obviously not enough. I will follow up on the work that has now been done to highlight this irresponsible fishing and to raise this issue in the current forums, both in the EU and in the NEAFC context. The aim must be to set in motion new processes aimed at technical regulation and control and awareness-raising. The fact that this problem has been highlighted in communities between several countries, which together have contributed to the preparation of the report, gives me hope that we can move forward in this work. It's urgent. Ghost fishing, the nets left there, help to tear away the nutrient basis from those who are going to live on fish. We can't live with that. I have also made that quite clear to Commissioner Borg, and he agrees with that.
ParlaMint-NO_2005-03-02.ana.ud817e1100	I thank you for the full and good answer. This is environmental crime of the worst kind. If we are to believe in what is stated in this article, we are talking about each boat having approx. 25 miles with nets, and we talk about approx. 30 boats. Then we're up to a distance of 8 000 km. Is it an extra problem that the Spanish fleet is often registered in Germany or the United Kingdom?
ParlaMint-NO_2005-03-02.ana.ud817e1109	I have no reason to say that it allows for a greater degree of environmental crime that the fleet is registered in an EU country other than where it originally belongs. I have no reason to say that. But I can confirm that what is described in the report is credible. The Directorate of Fisheries, the Institute of Marine Research and the British and Irish institutions have jointly revealed this. I have seen the image, which was presented last week for the undersigned and Fisheries Commissioner Borg, who confirms what the report says, and what the representative of Mr. Augan is drawing out here. This is scary reading. This is so serious and so significant resource crime that we intend to have further enhanced efforts to get rid of it. This requires international cooperation. What Norway achieved last year at the NEAFC meeting was the closure of waters and the reduction of fishing days. The problem is that the yarns standing there fish 365 days a year, and scientists believe that they fish for up to ten years.
ParlaMint-NO_2005-03-02.ana.ud817e1114	There's an additional problem here, and that's that one in Spain has subsidies on the purchase of yarn. This means that one is not so careful to catch after stormy periods, etc. Would it be that there are subsidies within the image, being a negotiating card for Norwegian government powers in the quest to deal with this problem?
ParlaMint-NO_2005-03-02.ana.ud817e1119	First, I would like to congratulate the representative, Mr. Augan, who addresses this question. I believe that an increased political focus on these issues is in keeping with the fact that we are also getting through in international negotiations. Last week we took up with Commissioner Borg the subsidy element contained in yarn, which undoubtedly contributes to the fact that taking care of the tools is not as inspiring as if it had more splintered on the purse. We've taken that up. The problem with this so-called ghost fishing, that yarn is left, is also known from the Norwegian coast. That is why we have used public funds and, in cooperation with the industry, cleaned up, so that it can be removed. As I said in my main response, this is both ethical and environmentally reprehensible. In addition, legal fishing with other tools is prevented because of the use of collisions. At all: we have a lot of pressure on this, this is so serious that it affects us all.
ParlaMint-NO_2005-03-02.ana.ud817e1133	I allow myself to ask the following questions: ‘There is currently a great deal of uncertainty in the municipalities and Royal Norwegian Boat Federation, which is Norway’s only nationwide boat organisation, as to whether a port of pleasure is to be regarded as a port under port and water law. A growing number of municipalities use recreational boat ports as a source of income for the municipality fund. Has the Ministry of Fisheries and Coast assessed whether this is contrary to Section 23 of the Law on Ports and Waters, which provides that revenue from ports should be entered in their own port register, which should be used only for the operation of the port and port links?’»
ParlaMint-NO_2005-03-02.ana.ud817e1142	It's a good question, to which it's not easy to give a simple answer. The question of the local authority’s access to the charging or remuneration of users of pleasure boat ports cannot be answered with a general answer valid for all ports. The answer will depend on ownership and the organisation of the port. I can draw up some general guidelines here, but I would like to stress that each case has to be assessed in a concrete manner and on the basis of the facts in the case in question. The Law on Ports and Waterways has rules on the organisation, management and financing of municipal ports. If a pleasure boat port is private, the port and water law does not regulate the use of the fee required by the users. In the case of municipal ports, it is necessary to draw a distinction between recreational boat ports forming part of the municipal port administration, which are part of the port register, and recreational boat ports which are not established using port cash funds. If the municipality has chosen to establish a port of pleasure using the funds of the port register, it must comply with the provisions of the Law on Ports and Waterways. This means that charges levied by the municipality on users shall be used only for port purposes. Thus, the use of these fees is not allowed for other municipal purposes. If the municipality does not use the funds of the port register to establish or operate the port of pleasure, the port and water law does not impose on the municipality the use of user charges. In this case, the municipal law regulates the use of funds by the municipality. In the past, the Ministry of Fisheries and the Coast has raised various issues relating to port organisation and the use of the funds of the port fund, including issues related to recreational boat ports. Today, the power to assess such cases under the Port and Water Law § 23 is delegated to the Coastal Directorate. The Directorate must, as mentioned at the outset, consider each case in a concrete manner in the light of the facts and in the light of past administrative practices. However, the governance of municipal ports depends on whether or not this has been financed by the port fund, and then there is a different practice and a different use of the law.
ParlaMint-NO_2005-03-02.ana.ud817e1164	That was a comprehensive answer. I don't know how wise I got from the answer. It might have created even more confusion than clarification. It turns out that in many places this has led to a new property tax for boat owners. Only in Son have you now had an increase of 35 pst. per 1 % boatyard. At least it is not a goal for the Progress Party to be able to do so. Will the Minister take the initiative to clean it up in this area, so that there is a uniform approach to the small boats in the future?
ParlaMint-NO_2005-03-02.ana.ud817e1173	Yes, it was a comprehensive answer, and then, of course, I cannot decide if the representative was wiser. But I think it is important that we have made it clear that when it comes to the collection of charges by municipalities from recreational ports, there is no uniform answer. The crucial thing is how you have financed it. If it is financed as part of the port activities, the fees may also be used only for that purpose. If they are established outside the port fund, the municipalities are freer to dispose of the revenues and give priority to what they want to use them for. When it comes to changing practices, we don't see that there is a need for it. The Directorate deals with each case, but the leading thing is how the port is financed. We now have the Port and Water Law under work. We will look at – not least on the basis of the question now raised – whether there is a need to address these issues, but initially we do not see that there is a need for it. The law is clear enough, the problem is the handling and understanding of it.
ParlaMint-NO_2005-03-02.ana.ud817e1180	I thank you for your answer. It is good to go in and look at this in connection with the treatment and revision of the law. In connection with the fact that the rescue company has now taken over the voluntary registration of the boats, we have seen that some municipalities have used that register to collect taxes on boats. The intention of removing this register was that such a register should not be used to collect fees. So now this is used, and it looks very different, depending on whether a boat is registered or not. Will the Minister look at this matter?
ParlaMint-NO_2005-03-02.ana.ud817e1187	I am not sure that I can fully understand that the municipalities would levy charges from others other than those who are users of the port. You can't use any register and send bills to someone who hasn't used the port. With regard to the amount of the charge and the use of the charges, municipalities must either base the port law or the municipal law. But if you were to print fees for ships that have not visited the port, then I would think that the pleasure boat owners would have a case they could go to court with – not to the politicians.
ParlaMint-NO_2005-03-02.ana.ud817e1216	These questions are postponed to the next Question Time.
ParlaMint-NO_2005-03-02.ana.ud817e1223	I have the following questions: ‘According to a notice published in the Haugesunds Avis on 17 September 2004, the Council of State stated, inter alia, that ‘I will never dictate anyone to impose toll collection without proposing that this be done on the basis of local initiative.’ Will the Council of State follow up these opinions and take into account the views of the relevant municipalities when examining the toll project in Haugaland in the Government?’»
ParlaMint-NO_2005-03-02.ana.ud817e1232	I am familiar with working on a Haugaland package that affects municipalities both in Rogaland and in Hordaland. The Land and Transport Sub-plan for Haugaland, which is the basis of the Haugaland package, has been submitted to the Ministry of the Environment for approval. The project contains six different packages that can be realised independently of each other. According to the State Road Administration, the affected municipalities of Etne in Hordaland and Haugesund, Tysvær, Bokn, Vindaford, Ölen and Sauda in Rogaland have joined the proposal for toll collection. Carmøy in Rogaland has opposed the scheme, while Sveio in Hordaland has opened toll financing if the package is extended to projects that the municipality wants to implement. The county council of Rogaland and Hordaland county councils have agreed to a regional toll scheme on Haugaland. In the proposal for an action programme for other national road networks for the period 2006-2015, the Vegvesen Region West proposed State resources for the project. It has been provided for central treatment after the county authorities have dealt with the action programmes in spring 2005. A number of toll projects and packages are to be assessed both at local authorities and in the state road system. Several of these are of a regional nature and affect many municipalities that often have different interests. As a general rule, the county or county councils and directly affected municipalities shall join the case. In the event of disagreement, there must be an assessment and a balance between the different points of view. I would therefore like to assess the views of both the county councils and the municipalities concerned when the matter comes to the Ministry of Transport.
ParlaMint-NO_2005-03-02.ana.ud817e1241	I thank the Council of State for the answer, which I really think was somewhat disappointing. As the council said, the municipal government in Karmøy, the largest municipality in Haugaland, has said no tolls. In addition, there has been a signing campaign against tolls in the region, where well over half, up to over 70 pst. of those who gave their vote at the last roll-call election have signed this. And as if that wasn't enough, the Right-Chairman and municipal minister Erna Solberg at a member's meeting in Karmøy Right-Certified that it was not about tolls against the municipality's will. In view of this, can the Council of State not now ensure that tolls on Haugaland do not become applicable?
ParlaMint-NO_2005-03-02.ana.ud817e1250	I think it would be a bit strange if I were to deal with the matter before it came to my table, so I really have nothing more to say about the matter until it is there. I cannot assess what is inside until the matter is resolved where it is to be dealt with first.
ParlaMint-NO_2005-03-02.ana.ud817e1255	Once again, I thank the Council of State for the answer. When various car and fuel charges were introduced in its time, it was claimed that these funds would go to road and infrastructure construction. What we have experienced for many years now is that only about a quarter of the funds required from the car are ploughed back to the road sector. The car has now become a dairy cow for the state, and the money is being used for a completely different purpose than they were actually intended, while we are increasingly seeing that we need to finance the road by means of tolls. It is now approaching the budgetary conference, and it is approaching elections. It would therefore have been good to know whether the Government intends to change course, or whether it will still legitimize this modern form of highway robbery.
ParlaMint-NO_2005-03-02.ana.ud817e1264	As the Council of State knows, we are now a thought beyond the original question, so the Council of State is free to answer if she wants to.
ParlaMint-NO_2005-03-02.ana.ud817e1267	It was really a long question, but it is a question that I have received from the representative of the party of Vaksdal some times, so I expect that he is well aware of the answer: As far as road users are concerned, the cost to society of driving a car varies. Some people pay for themselves and then they do, and some don't. It depends a little on the cost to society of road accidents and environmental pressures, road wear, etc. We will probably have ample opportunity to come back to this when the budget is due.
ParlaMint-NO_2005-03-02.ana.ud817e1280	I want to ask the Minister of Defence the following questions: ‘Through the media, we have been informed that Change Property has spent money on internal collections and hired consultants, etc. at a relatively high price. The sale of defence properties shall give the greatest net possible value. The Council of State considers it appropriate to use NOK 322 000 for a collection or NOK 175 000 per person. md. to the contracted consultant?’
