ParlaMint-NO_2005-04-12.ana.ud487e67	The representative, Siv Jensen, will make a private proposal.
ParlaMint-NO_2005-04-12.ana.ud487e698	I want to pick up the thread from the interpellant, which is the importance of the content of the ransom. When the interpellant mentions that 60 pst. Of the prisoners, problems with drug use and only 5-10 pst. It tells me that someone is also struggling in prison. According to the Local Health Services Act, municipalities are required to facilitate the proper and good health care of the prisoners. This is conditional on the State also fulfilling its obligations. My claim is that this is not always the case. In the run-up to fewer pay queues and more prisoners, the prison municipalities see that they do not have the financial means to provide both the health service and the education to which the prisoners are entitled. Here the Minister of Justice may need to talk not only to the Minister of Education, but also to the Minister of Health. Education is one of the best crime prevention measures we have, and a big message unfortunately makes no summer. In general, the health problems among prisoners may be significant. They're complex, and they're more complex than the rest of the population. The municipality must require that there is some predictability in the construction of this healthcare. As you know, a new prison has been established at Vardåsen in Kongsvinger, in addition to the old prison, which has to be continued for several years. The municipality is trying to establish a health service. King's wings today have 125 prisoners, 77 of whom are in the closed section. The health service consists of two hundred pst. position of nurse and eight hours to doctor. Compared with Skien Prison, there are 82 closed settlements, and in that prison there are four hundred p.p.s. position doctor/ nurse, of which 50 pst. to play. You also have physiotherapist, etc. This difference between the newly established and the old prisons may be due to history, but it is important that these differences are corrected so that the prisoners can get the right service. The difference between the State of Skien incarceration and Kongswinger incarceration is 2.7 million. SEK for Skien and 1.5 million. kr to Kongswinger. Is the Council of State just as serious about the content of the settlement as it is about getting more prisoners in prison? It is a question that many people ask, because if not, as the interpellant has mentioned several times here, it is a place of detention where prisons are not also used as crime prevention measures.
ParlaMint-NO_2005-04-12.ana.ud487e713	First, I would have asked that a legitimate criticism of a failed policy should be an expression of distrust for the amazing job that employees and volunteers in criminal matters and elsewhere do every single day, and it often does despite the priorities and grips that this government does, and that I have pointed out on several occasions. It's about an adhoc policy and a covering up to 97 pst, which makes it terribly difficult to get something constructive done while people zone. Then the representative of Greece fell heavily to the chest that I criticized his councillor, Clemet, to counter the fact that the prisoners are going to get school. I actually think I hit the nail on my head right there. My point was that there is a long way between the objectives of communications and the actual state budgets, where the money is given priority. There are at least 26 million missing, no matter what Greece may say. to maintain an already unsatisfactory school offer. It would have been more interesting if the representative of Greece would go into a discussion about how to reverse the pattern that is pointed out in particular. The Fafo report, which shows that there is a reverse pattern of education among the prison population of what it is among the rest of the population, and of what we can do while people actually son, so that they get a school that makes them better rusty when they get out of prison, instead of making a message that has a lot of good in it, but we know it doesn't follow money. Then to the representative Ellingen. This is not primarily about the testimony of individuals or the fact that Thorkildsen has been around in one or the other prison or in the Francisco aid. But it's about documented knowledge. In fact, I doubt whether the representative Ellingen has opened the Fafo report. At least he gets annoyed every single time that report is mentioned, but then he is also the representative of a party that is largely not interested in the knowledge being documented, but who on the other hand claims to be the voice of the people into the Storting. I think it would have been very good for criminal policy if the Progress Party too had been willing to go into a discussion about what is the reason why the people who are in prison have the background that they have. And once they're served on a silver barrel, what can we do with that? Especially in relation to drug problems. That's where I agree with Dørum's intentions, but the fact is that between 5 and 10 pst. Of those who have extensive drug problems, which are therefore approx. 60 pst. Among those in prison, treatment services are available while in prison. And so they're served on a silver barrel, that's just starting.
ParlaMint-NO_2005-04-12.ana.ud487e722	I concluded early that the criticism that is being addressed politically should go to me, because I have the responsibility that I have. I allowed myself to refer solely to the effort that was made, and I think it is good that it also came out from the interpellant's side. So it's like I'm trying not to skip a single responsibility in a single budget, but just illustrate that there can be a dilemma for more people in the room. I believe to remember that in the revised national budget in the spring of 2003, a large number of people, consisting of the Workers' Party, SV and the Advance Party, decided that a series of buildings should be built. On that list of buildings, as far as I remember, it was not a single prison measure. It must be pointed out that there are some challenges also for other representatives in this room when they are busy doing something about the reconciliation queue. That is why I allowed myself to be a little humble on my own behalf. I'm not going to be humble on behalf of others, but I'm equipped with useful memory, and it doesn't seem to be a glamour to get projects out. But, of course, it is my job to bring forward the projects that I say I am fighting for, and that the Stortinget believes I am going to fight for. It was supposed to be missing, too. In terms of content, it is that the Fafo report to which it is referred, we in the department have asked because we want to have the living conditions on the table. One of the most important examples of teamwork, on which we are now doing a lot of work, is in relation to the whole health service, because it is right, as the representative Fossum said, that it is absolutely crucial. It is crucial not only in the primary health service but also in the second line service, for example: in the case of psychiatry. We put a lot of work into it against the Ministry of Health and Welfare, because this is quite crucial. In the case of groceries, it is not known what money comes from the Storing Message before the budgets come. The announcements are just clear about politics, as the Clemet State Council has done. The money is in the budgets. When it comes to thinking completely, I hold on to the following: 292 new properties have been created. It's going to be 29 more this year. It's more than Halden Prison. It is a significant effort. The Vardåsen prison is a good prison, a modern and new prison. The fact that there are supplements within existing prisons is good. That we can build new ones in Tromsø is good. The sum of these are measures that point to the longer term. The measures applied to duplication are limited but are important grants. Prolonged release is not a long-term measure. It can only last until we get bigger institutions in place, and that's the institutions I've mentioned, Halden prison first and foremost, but also the plans and work of a prison in the Inner Salt. I share the interpellant's view of how important it is to think across professional boundaries and institutions, also between municipalities and in relation to the state. I'm going to work along all those lines of progress, too, in the course of the process – cross-cutting, conflict prevention and community sanctions, and I'm also of course going to be aware of how to use the open areas right, because the interpellant has a good point, that here's something that we can develop further.
ParlaMint-NO_2005-04-12.ana.ud487e742	Then we have finished dealing with case No. 3rd@item: inlistbox
ParlaMint-NO_2005-04-12.ana.ud487e760	When children commit criminal offences, they must react quickly and in an appropriate manner. Rehabilitation and behavioural change must be central to the choice of response and must guide the design of the response selected. The parents are primarily responsible for implementing measures against children moving on the inclined plane. However, if parents do not have the power to fulfil this responsibility, child protection and, in some cases, criminal justice could also penalize the unfortunate behaviour of children. The worst thing we as a society can do to our children is to ignore the young. Clear limits in a care framework are the best of the child. It is impossible to talk about youth and crime without at the same time reflecting on the causes of illegality. When a 15-year-old robs a fellow student or sells drugs to classmates, it may be due to both difficult home conditions and a bad association. But it may also be due to lack of leisure, bullying or general dissatisfaction at school. Knowledge of the causes of crime is of primary importance in preventing illegalities. Crime must be prevented in several ways and on several fronts. Both parents, adults in the community, non-governmental organisations and the public are challenged. Efforts are required from many to raise a child! Prisoning of children under 18 years of age shall only take place exceptionally. Unconditional prison sentences are generally imposed only when the young person has committed serious crimes or is a major relapse offence. Where the offender is under 18 years of age, his age shall be weighted in a mitigating manner by both the prosecution authority and the court in relation to the measurement of penalties. When crime is committed by young people, it should, as a general rule, be responded to with other than prison: The transfer of criminal proceedings to the conflict council means that the offender is confronted with the victim in the case, and an attempt is made to find an amicable solution. The outcome of the conflict management is often a profound reluctance and understanding of the unfortunateness of the action. A little more preventive. Therefore, conflict resolution should be widely used against young offenders. Societal punishment means getting settled through a certain number of hours of social effort. This type of criminal reaction has also proved to be effective, and it is often an appropriate response when the offender is young. The Christian People's Party hopes that this arrangement will continue on a permanent basis. It is necessary to think about new and creative responses to children and young people who have committed crime. In the 2005 budgetproposal, the Government announced that it would propose anadjudicating system with the drugs programme, or ‘Drug Court’, already in the revised national budget. This means that a drug addict can be sentenced to treatment instead of to traditional punishment. Not least for young offenders, this could be a good opportunity to get life back on the straight track. The Law on the Protection of Children provides for measures to be taken in the field of detention. However, this possibility is rarely used, because access to space and resources is limited. The Christian People's Party believes that detention in an institution subject to child protection will in many cases be the best solution. The need for social protection and evidence protection could be met by a closed-ended child-residence institution while at the same time providing better care for the child than is the case in prison. It is therefore important for us to invest in the development of closed child protection institutions for young people on the slope. But most importantly, child protection intervenes early against families who are struggling with their children, so that parents can get the help they need to supervise their children and thus keep them on the right side of the law. The Christian People's Party is very concerned that the threshold should be high for the imprisonment of children under 18. However, like all other parties in the Judicial Committee, we believe that there should be an opportunity for the courts to judge prison even when the perpetrator is young. Persons under the age of 18 may at times commit such serious criminal acts that imprisonment is necessary both for reasons of general prevention and for the purpose of maintaining social tranquillity. If one imagines that it was not possible to imprison a 17-year-old rape offender, but that he could only be sentenced to social punishment, then the confidence that the decisions of the judiciary reflect the seriousness of the criminal act would be greatly reduced. In the ultimate sense, such a system could undermine respect for the rule of law, which is important to avoid. When the courts consider it necessary to imprison a person under the age of 18 — or a person under the age of 21 — the prison environment must be qualitatively different from whether the decision concerns an adult with many criminal convictions. In these cases, it is particularly important that criminal justice facilitates the situation during the detention period in order to minimise the burden on the young person. As of December 2004, 61 persons under the age of 21 were detained in Norway. At the same time, 122 youths under 21 reported imprisonment. The numbers can't be said to be insignificant. I have previously called for the setting up of separate departments for young prisoners in one or two Norwegian prisons. The aim of this proposal was precisely to ensure a qualitative second prison stay for the youngest prisoners. It is particularly important that young prisoners are provided with a well-organised educational service. We know that many prisoners in Norwegian prisons have little or no formal education — and education is an important premise for a crime-free life after an end of settlement. In addition, many are struggling with drug problems. Others need expert assistance to process evil experiences or to control aggression. Such assistance is particularly important to offer those who are early in a criminal career. The proposal on own youth services was endorsed by several teams, but also met with some criticism. The main objection to the proposal was that a number of young prisoners would have to zone far from their loved ones if only one to two such specialised departments were set up. This is a criticism that both I and the Christian People's Party take seriously. We all know that the need for contact with family, girlfriend and friends is important – even for those who pay a prison sentence. Therefore, the Christian People's Party believes that there is a need for special offers for young prisoners in all the criminal care regions of the country. I hope and believe that the Minister of Justice will pursue this proposal in the budgetary work of the coming years. During the examination by the Judicial Committee of the odelstingsproposition on new criminal law, it was decided to ask the Government for its own notification of the compensation of persons under 18 years of age at the time of imprisonment. Such a message will give the Storting a long-term opportunity to take a comprehensive review of the situation of the youngest prisoners. An overall objective of such a review must be quality improvement, individual adaptation and rehabilitation. The reason why I have today focused on the imprisonment of children and young people is that it is particularly important in these cases that criminal justice organises the situation during detention so that the burden on the young person is minimised. Societies sometimes have to react with prison sentences – also against young offenders – but in these cases the stay in prison must be particularly forward-looking. I am now excited to hear how the Minister of Justice believes that criminal services should meet young offenders, and what reactions he believes are best suited to this group.
ParlaMint-NO_2005-04-12.ana.ud487e814	I agree with the representative Einar Holstad that young offenders should meet as much as possible with reactions other than prison. Prisoning and custodial detention of young convicted persons should be avoided as far as possible and should only occur in the event of very serious offences. If young people under the age of 18 are sentenced to prison, the transfer to a child protection institution will be a possible solution. Young people will also be a good reason to transfer sentences to other types of treatment institution where they can be treated for any drug problems or other problems. To date, there have been very few prisoners under 18 years of age, and therefore there is virtually no specific regulation for young people to carry out punishments in ordinary prisons. Today’s legislation, however, provides a great opportunity to develop individualised schemes for the implementation of penalties, and emphasis is placed on making arrangements as prudent as possible. In several areas, the Guidelines on the Criminal Enforcement Act provide for special consideration for young prisoners and provide for good opportunities to derogate from the usual rules if the prisoner is young. This applies, inter alia, to: in the selection of prisons and the possibility of implementing the prison sentences with a lower level of security. Provision is also made for young prisoners to be particularly motivated to participate in training. In addition to training opportunities, the Contact Officer and Programme Activities scheme will provide opportunities for good arrangements for individualised criminal execution with emphasis on rehabilitation. These possibilities are widely used but should be further developed and improved. The use of community sanctions will often be appropriate for young convictions that need an immediate and noticeable response with clear consequences for breach of conditions. Similarly, the use of conflict resolution is an appropriate response for the youngest. The conflict council brokers both in criminal cases involving children over 18 years of age and in cases of otherwise criminal offences in which the perpetrator is under the criminal detainee. It is the prosecution authority that decides, as a general rule, the transfer of criminal cases to conflict resolution agencies where the cases are suitable for this purpose. More than 7,500 cases were transferred from the police to the conflict councils in 2004. The Ministry of Justice will review in the current year the practice of dealing with the most recent offenders entering prison. The number of persons under the age of 18 in Norwegian prisons is small, and was per year. On 5 December 2004, seven persons, three of whom were held in custody and four were sentenced. However, the number increases significantly when the group is included up to the age of 21. The number of this group was at the same time increased by 176 persons, 58 of whom were registered and 118 were sentenced. But, as I said, for the youngest group, fortunately, we have very small numbers. The Ministry of Justice is now examining proposals for a pilot project targeting young prison and custody prisoners, which contains offers specifically tailored to the specific needs and rights of young people. Rehabilitation and behavioural change will be central to the development of the offer. Furthermore, important areas will be the need for education, psychiatry and care and the proximity of caregivers. We are setting up a working group to be set up by people with high professional qualifications and experience from working with young offenders. Work shall be carried out on the establishment of a specialised unit for the youngest in each of the six regions of criminal services, in order to maintain the closeness of family, community and local networks. Units shall be manned with highly competent persons, in relation to the special needs of young people for treatment, care and proximity. For young offenders serving prison sentences, it will be central to ensuring that follow-up and motivation work from prison to home are seen in an overall context, and to seek to achieve continuity for individuals, out of prison, through follow-up to home and society. I therefore assume that the actions of the judicial authorities alone are insufficient in the field of child and youth crime. Different sectors of society, levels of government, civil society and neighbourhoods need to be conscious of their responsibilities and to work to achieve even better coordination of work both at system level and at individual level. The pilot project shall therefore be established in close cooperation with the relevant management partners. On the basis of this recognition, the Ministry of Justice set up a pilot project in 2003/2004 called ‘Snow young offenders in time — a joint responsibility for the state, the municipality and the community’. The project is run in cooperation with the Ministry of Children and Family Affairs, the Ministry of Education and Research, the Ministry of Labour and Social Affairs, the Ministry of Health and Welfare and the Ministry of Local and Regional Affairs and has its origin in an explicit desire to translate into practice an understanding that joint efforts are required from the various sectors of society such as justice, health care, school, child protection, civil society and the community in order to have the opportunity to succeed in combating childhood and juvenile delinquency. This is a project that targets young people both below and above the criminal lavallier, and is intended to run from 2004 to 2006. The Ministry of Justice's new projects include: based on the experience of the project that I have outlined here, i.e. «Snow young offenders in time». The proposal shall be based on current knowledge, research and experience and shall lead to an evaluation of an experimental activity. Let me also show that in the case of e.g. In 2003, there were 786 final judges, 79 of whom were under 18 at the time of implementation and 109 were in the 18-19 age group. In the case of conflict council cases, as I have mentioned, it was approx. 6 100 cases that went to the conflict council in 2001 and well and well 7 500 cases in 2004 after a failure in 2002. So this has taken it very clearly, and that's the result of a deliberate bet, just as the community penalty is the result of a deliberate bet -- it's been committed to it. I think I have to add that we must all succeed in thinking differently about how child protection can be out in the past. I have previously said the following, and I repeat it: then it is important that local people elected by professional development over the past 30-40 years in many cases for children have actually been sitting in budgets because the individual cases are handled by case handlers, not taking over the case handler's job, but getting insight into how children in such situations are doing. I think that is a very necessary knowledge to achieve the administrative cooperation that lies behind the representative's interpellation, and also behind important contributions that were made here yesterday when we dealt with the general part of the penal code. Local populace can by simply becoming ombudsmen for children in clamping not take the proceedings but ensure that the cooperation between the public enterprises in the community and the state's two establishments, whether local or regional, succeeds. As a small example, we are in a process of turning something into what we call ‘Stifinner’n junior’ in Oslo prison. It was such an unusual issue for child protection to enter prison that the first year paid the Ministry of Justice for the position, the second year we split it, and the third year came Oslo municipality. This may vary in many different places in the country. In many places it works in an excellent way. But it is that it often needs some bonding to get to this administrative cooperation. I used to have as an example the Barm Centre on Hamar, which is a place run by the Church's Social Service, with few employees, but many volunteers, who simply become a meeting place where different local authorities and state agencies, read: prisons and the judiciary, can meet in such a way that the people concerned are not being packed, but being seen as human beings. It made my impression in this context – I have been at the centre several times – that the rapporteur said that we need just such a place where we are freed from the roles, in order to think differently about how to pursue the profession. I think it is very necessary to achieve the purposes that the representative Holstad addresses in his contribution. Because we have a lot of skilled professionals in Norway, but in many ways we have to ask ourselves the question of how we set them free in a good way in close cooperation with each other. And it's not just in criminal matters, which is the topic, but also, as the representative took up in his interpellation, further against child protection, against the services that exist in the community. It is also representative of the fact that of the projects we have put into action in what is called the ‘Snow young offenders in time’, one, in Østfold, is precisely mobilising civil society, i.e. non-governmental organisations, where binding networks are being built. I also think taking the ADHD problem seriously is very important. I can mention here that there is a project in Bergen prison where diet is an important topic. It's based on very important research-based efforts in British prisons, and it combines sea food, which can be very good, with food supplements, just to give people the chance of a better life. I end by saying that my best example of being in advance long before one comes to prison comes from a place in Eastfold, where in a municipality we have a principal who is free. He finds a child-responsor who is free, and fortunately there is a regional child- and youth psychiatrist who says, "That's well local, good luck!" Then we get examples that youth who could otherwise have been stuttered and ended up in prison, actually turns around in time, someone who is very violent and dangerous, turns around and becomes almost a model example. So this administrative cooperation, where all the knowledge we have in society both locally and nationally, is being used, is perhaps one of the most important tasks we have to meet the challenge that the representative addressed in his question.
ParlaMint-NO_2005-04-12.ana.ud487e856	I thank the Minister of Justice for his good input. It is obvious that this challenge with children in prison cannot be solved by the justice sector alone. This is a social responsibility, this is a responsibility for parents, the community, kindergarten, school and municipal activities that can help children find themselves and their function in too many difficult and challenging societies. Prevention costs money. It must start long before children meet the police and the judiciary. Early-stage prevention is the cheapest solution. There is a link between parental care failure towards children and the challenges children represent for different municipal departments. The main challenges facing cities and populous municipalities around them are: Many of these municipalities have a registered income per person. population that is among the lowest in the country. This reinforces the challenge for these municipalities in relation to meeting children with problems at an early stage. ‘Turning young offenders in time’ means facilitating children never to become offenders. That is why multi-disciplinary and cross-disciplinary cooperation is so important. The knowledge and experience developed through cooperation must reach the children in time. We want a safe community with good growing conditions for children and young people. There are many actors both in the police and in the municipalities who are working towards this goal, and it is important to coordinate work to achieve a good result. Coordination of local crime prevention measures is no new idea. In Denmark, this work has been under way since the early 1970s and is called the SSP, which provides for cooperation between school, social services and the police. At the beginning of the 1990s, the Crime Prevention Council launched a project in seven municipalities where over three years, one tried out a model of cooperation on local crime prevention. Central actors in the project were the same as in Denmark: school, child protection, health and social affairs and police. Projects were organised differently, depending on local circumstances, and evaluated. In the autumn of 2004, 98 municipalities were registered and several were in the start-up phase. At present, both small and large municipalities have introduced the SLT, as well as several municipalities have joined forces in a joint SLT work in the form of regions. When I spend so much time on this, it's to follow up a common goal all parties have, namely, prison is not a suitable place for children. Therefore, prevention at all levels is necessary to achieve this objective. I am pleased that the children who still have to be in prison are offered a specialised unit in each of the six regions of criminal services.
ParlaMint-NO_2005-04-12.ana.ud487e869	Let me use some examples to show that once you're aware, I was once in a prison in the East where I got the story of a 15-year-old who had been sitting there, but who had started her career as a 7-year-old. It is quite serious to consider that the 15-year-old among the employees of the prison for the first time found something similar to a family. Then we must at least take into account that in the eight years that had gone from he was seven until he was 15, much must have happened, or not happened, I don't know anything about, in Norwegian communities. But at least that's for thought. This shows that, in addition to the question of the representative, Holstad, when you first got there that you should be inside, you have to meet in the special way that he spoke about, and as I replied, you have to take the other perspective: what do we do before we get there? Let me give you another example: Sarpsborg is a large township. Most will know that there have been dramatic social changes in a state like Eastfold. However, over a 20-year period, local work, by an outstanding policeman and other good forces, has led to what we can call the so-called worsting list – that is a bad word, but it is young people who have lost their feet and who are left on that list – being reduced from a large two-digit number to a low number, a very small number. When you ask them about this, you get the message that you see early, take hold early and work together. All those who cooperate are all the forces in a local environment. It is clear that the municipality is central to this, but the police are also central, so all these forces – municipalities, non-governmental organisations, police – take hold of this and do it, and then you get the results. You've been doing it for a very long time, but the results are coming. I think that some of the things that are needed to achieve what the representative Holstad wants to do with what he has brought up is just to create this Norwegian community building, to which we are quite good at, but in which it is not so easy to translate, we should call it, tabloid political sales. Because it's a good story, and good stories that are relayed and re-created, create great strength compared to rocking people. But those stories can't just be in the representative of Holstads and my own, they must be in the possession of a lot of Norwegian local citizens. And they are, too, so that when I spoke about what is going on locally, it was stretching out my hand to a collaboration between local elected representatives and at the same time some of the most decentralised we have in Norway – and what is that? Well, it's the health service, which is both state and local, and it's the police, which are state-owned, but which exist very many places locally. I think there's an effort that, in sum, can help prevent some of the situations. But first come into the prison institution, we have to think, alternatively, as I have outlined in my response to the interpellation of the representative Holstad.
ParlaMint-NO_2005-04-12.ana.ud487e878	Let me first express great joy at once that once again, completely cross-political in the Storting so clearly states that children do not belong in prison. It may sound banal, but it's not, and it's not obvious if we look across borders and look at what other countries do in relation to meeting childhood and juvenile delinquency. I think that is a value in the Norwegian political debate we should not, in fact, squander on party politics. That is why I am pleased both with what the Minister of Justice has said in the debate and with the initiative of the inter-pellant. Perhaps it can be that, when we get a closer look at how the situation of children in prison — the few who are there — can go so far as to support the proposals that SV and the Labour Party promoted in the Storting yesterday — and which unfortunately fell — which were just about clearly limiting the use of custody in relation to children, which were about limiting the use of custody prison, and which were also about limiting the length of any compensation. It was also about extending the use of community sanctions, especially in cases where people are actually responding with conditional punishment to ensure that there is some response at all. The developments we have seen in the use of social sanctions, conflict advice and youth contracts are very positive and, as the Labour Party believes, contribute to keeping the level of crime among children and young people relatively low. Nevertheless, it is a challenge, which the Minister of Justice was also faced with, to identify and define and clarify the role of child protection against juvenile criminals. It is quite obvious that the instruments of child protection and the law governing child protection should also be used to a greater extent – in the view of the Labour Party, it would be more effective – in order precisely to safeguard the interests of criminal protection in relation to adults, in particular to prevent the repetition of criminal offences and to protect other citizens, but not least in order to get children and young people on the right track. It's a pleasure to over 98 pst. in Norway, young people are never charged with any criminal offences. However, the Labour Party believes that the main challenge now may be to maintain the high percentage. The fact that municipalities first cut children’s and young people’s offers, the local solution of drug policy on the basis of the patterns of the Progress Party and the more bourgeois parties, are factors that can contribute to increasing child and youth crime. I guess that's where we get the biggest party political battle in the future. But that doesn't mean it's less important.
ParlaMint-NO_2005-04-12.ana.ud487e889	The fight against childhood and juvenile delinquency is and must be a high priority area, primarily because society has a responsibility to prevent the development of a long criminal career, to the detriment of young people themselves and their immediate surroundings. The representative of Storberget said instead that he is pleased with the agreement that children should not be placed in prison. And – yes – the representative of Storberget is right in saying clearly that children who commit minor crimes have nothing to do in prison. But the representative of the Storberget elegantly omitted is that in the case of serious and serious violent crime and moral crimes, only the Workers' Party and the SV want social punishment for these crimes. All the other parties believe that crimes such as gross violent crimes and moral crimes, gross rapes, actually deserve a different response from society than a few hours of work. There is the Workers' Party and the Swedish Labour Party on their own, and it is very happy. Right-wing opinion is important that we have instruments other than prison to use to prevent young people from getting a long leaflet, but this is true in less serious cases. Children and young people at risk for the development of illegal behaviour, risks being thrown into their local environment between police, child protection, drug care, health services and school systems, as are current laws and practices. It's just as important that we manage to get to that end and do something with the cooperation between these levels. It is important to ensure a clear position of responsibility between the various bodies meeting the offences of minors, because it is in fact where there is the possibility of changing behaviour and stopping further offences. Right wants an obligatory basis for cooperation between law enforcement, auxiliaries, parents and the young person himself. I would like to congratulate the representative, Holstad, who has taken the initiative in this interview. It's an important topic. But it can't be that we let young offenders who commit gross acts of violence, rapes and other serious moral crimes go free without society responding.
ParlaMint-NO_2005-04-12.ana.ud487e900	The representative of Holstad addresses an important topic. One has to go far in order to avoid children having to zone in prison. But it is important that criminal acts also have consequences for the perpetrator. It also applies to those under the age of 18 and to young first-time offenders. In fact, it is important for preventive reasons that young people see that there are consequences associated with crime. Then we come to the question of what kind of reaction is appropriate. The Progress Party considers it important to have a wide range of possible reactions. In particular, a range of measures is important for first-time offenders and young offenders. It is important that criminal services can meet young people in an appropriate way. Getting young people out of a criminal racetrack, you've achieved a lot, not just for the people themselves, but also for society in the longer term. We all agree that we have achieved very little if a younger person who has done something stupid becomes a professional criminal after he has been punished. This is why the content and framework of the punishment are particularly important for young people. And that's why follow-up even after the settlement is over, is very important to prevent them from coming back and becoming repeaters. However, I think it is important to bear in mind that in the Norwegian system it is going to be very much until a young person or a first-time criminal actually has to zone. Very often, these offenders have been around crime on a fairly large scale before they get a concrete punishment. Perhaps it would be appropriate to have alternative responses at an earlier stage rather than to collect prosecutions, conditional judges and others initially non-existent penalties before a prison sentence is imposed. It is important for preventive reasons that other young people are told that crime is not free only because they are young. But, as I said, it's important that we have a range of responses and a prison system that can deal with the toughest issues when young people once actually have to zone.
ParlaMint-NO_2005-04-12.ana.ud487e911	First, I want to thank the interpellant for addressing a very important topic. We've been in the debate on the radio, for example, in several rounds about exactly this earlier. What we were concerned about then was precisely whether we were going to set up our own departments, very centralised, which would lead to children not having contact with their local environment, and that the rehabilitation process would deteriorate as it were. I am very happy that it is now turned back, and that you have not intended to do it this way. I think it's good that through constructive discussions and counter-representations, we can come up with something that gets better than if you hadn't gotten those counter-representations. Then I will also give praise to the Dørum Government Council, which I believe has taken the initiative in several rounds on precisely child and youth crime, including, among other things. action plans. I know that the department is working on an action plan now, which we on SV's side are very excited about. But this is a terribly important field, and it is clear that we need to have more thoughts in our head at once. One is how to prevent children from committing criminal acts at all. This includes, among other things: important to acquire knowledge of those who have committed criminal acts. You can do that, for example. do by looking a little bit at the Fafo report, which says 30 pst. of those in prison were in contact with the protection of children before the age of 16 and the same number have had family members in prison. So this is something to which it relates a certain social inheritance. With regard to the use of conflict advice, I believe it needs to be increased. There we are in line with the Government. At the same time, SV and the Workers' Party want to take a step further and say that we want a forced transfer of matters to the conflict council, with the exception of morality. There is a right hand case that they can possibly run us on if they want to, because it will mean that in some violent cases it will be assessed by the conflict councils whether it would make sense to run a round in the conflict council, well to notice if it is voluntary on the part of both parties – so both parties have to agree to it. I have seen closely that it may make sense also in quite serious cases, because people are being held responsible in a completely different way than if they are placed in prison. They're actually going to have to face those they've done something terrible seriously against, and it can have a better effect than if they're just being placed in a prison, which for some people won't be seen as a liability. We had 48 children or minors in prison last year. The Children's Ombudsman is very concerned about this. The torture committee comes to Norway to look at this. Then we also have to relate to how we're going to handle it when they're sitting there. Here I believe that the government has not really taken over the damage, for example. In the case of children, total isolation has not been achieved, nor have enough people with adequate child-care skills been employed in prisons. And I also believe that Stifinner’s junior should get a more liberal budget.
ParlaMint-NO_2005-04-12.ana.ud487e922	It is clear that this theme does not contribute to the huge conflict in this house, and I am pleased about that. I am pleased with this consensus in relation to registering challenges and expressing agreed objectives. As far as possible, children shall not be admitted to prison. At the same time, this debate has revealed a need for better coordination between different departments, perhaps not least in understanding how to address this challenge at local level. Then I think about the prevention work in particular. I am also pleased with what has been presented in the debate on examples in which we have actually been able to show results. I want to take this with me and will also encourage everyone else to take this with me in the further work, as proof that joint effort is beneficial. I think it is important that we practice common efforts, but at the same time also raise awareness of fellow politicians at other levels of administration that this is not a challenge that the Storing alone can solve, this is a challenge that we must face together at all levels of government.
ParlaMint-NO_2005-04-12.ana.ud487e929	Let me start with a point on which most people actually agree, namely a note in connection with the treatment of the general section of the penal code yesterday, where the majority stated that they did not want a juvenile prison. No one has spoken about today either, and I would like to add: it must be one of the most successful failures that have been evaluated in Norway and in other countries. It's a path that leads to nothing but the broad loss both for individuals and for society – I have to be allowed to express myself so directly about it. When it comes to the issue that we have debated today, about children in prison, I think it is important to provide some information. The number of those aged under 18 who have been sentenced has dropped from 16 to 13 in the period 2001–04, and 95 in 2001 and 48 in 2004 were in custody. That means that as a society, we are very strict when we do this, and probably it means that in the same period, for example. There has been a rather dramatic increase in the number of conflict councils, with a dramatic increase in the level of social penalties. But I think the big challenge we are facing, which is unsolved even after today's debate, is to achieve the cooperation between good forces in a local environment – read: municipal bodies, volunteers in the local environment and state agencies. Then it is that the two most decentralised state agencies we have, the health services and the police, we find almost everywhere, and connecting contacts is very important. I used the example of Sarpsborg. I must add that Sarpsborg is a so-called SLT municipality, i.e. a municipality for the coordination of local crime prevention measures. They've invested systematically and for a long time, and it's given results. What is a major challenge is, among other things: the work of child protection. I have said from this pulpit in the past, and I would like to repeat it again: we are educating a lot of young people. These young people we put in responsible relationships with people who need help. So, for example, we're equipping. child-restraint workers with five large legal ringbusters, and then they are often pressured by budget managers. And what do you get? Then you get a life-saving case handler. If you're going to set a young person free to do a job, you're going to have staff managers who have back coverage in local politicians, who have the security to realize that you're going to develop by working with difficult things in life. So this isn't a sedentary, seductive -- it's just a challenge for all parties, that local elected representatives have to enter into an ombudsman role. Just as I, as Minister of Justice, feel in an ombudsman role for the Norwegian people, as elected by the Norwegian citizens, by standing on this pulpit, you also have to get that mentality everywhere. When you cooperate in that ombudsman role, you also release the good professionals, whether they are younger or older in years. There are some of the tools that are needed to achieve the interpellant's purpose with the interpellant, in my opinion.
ParlaMint-NO_2005-04-12.ana.ud487e941	That being the case, it is no. Four is over.
