ParlaMint-NO_2005-02-02.ana.ud299e29	The called alternate of the Troms County, Knut Werner Hansen, has taken the seat.
ParlaMint-NO_2005-02-02.ana.ud299e889	Let's agree that good telephone availability for the firm is important for the residents. Improved availability of general medical services was also a key objective of the fixed medical system. Studies have been carried out over the last two to three years to show that the availability of telephones to permanent doctors has improved. But it's not good enough, and some firm offices have poor availability. Monitoring by the supervisory authorities in 2002 and early 2003 showed that availability of fixed doctors varies across municipalities. In the autumn of 2003, as part of the evaluation of the fixed medical system, telephone availability was recorded by randomly selected permanent agencies. The study was recently published in the Norwegian Medical Association Journal. I assume that this is the investigation the representative of Alvheim refers to. The enquiry was sent to 240 permanent doctors' offices. The results are based on 100 offices and show that 66 pst. of the calls to the medical offices were answered on the first call. This means that one in three calls did not immediately lead to contact with the doctor’s office. The same survey showed that the average waiting time for a response was 25 seconds, and that in one year, fixed doctors answered an average of seven calls per person. integrates in the lists of the masters. Compared to previous registrations, telephone availability has improved, while at the same time one has experienced a very strong increase in attendance. However, there is wide variation between doctors’ offices. In 2003, the Lifetime Panel of the Statistical Centre also asked questions about how citizens are satisfied with the availability of fixed telephones. The study shows that 73 pst. I'm happy. Only 15 pst. gives a clear expression of dissatisfaction. Inhabitants who work alone, i.e. who do not work in group practice experience clearly better telephone availability than do residents who are familiar with larger medical centres. I agree with the representative that this is not good enough. In addition, one third of the residents who contact their permanent staff must call more than once in order to make contact. It is the responsibility of each municipality to ensure that the general medical service is adequate for the population. The municipality must, among other things: ensure, in cooperation with the doctors, good accessibility of the service. The municipality may require the availability of individual agreements with the local authorities. The studies show that it is likely that the service setting, interest and attitudes are crucial for telephone availability. The Ministry has recently completed a report on the fixed medical scheme. The report describes the status after two and a half years. In this also the telephone availability is illuminated. I'm about to send the report to the municipalities. In the accompanying letter, I would like to ask the municipalities in particular to provide a better availability where this does not prove to be satisfactory. I would also like to take the initiative to discuss possible actions with the Norwegian Medical Association and the Municipal Council of the Central Cooperation Committee of the PCF. If subsequent studies show little improvement on a country-by-country basis, I would have to consider imposing regulatory requirements.
ParlaMint-NO_2005-02-02.ana.ud299e904	I thank the Council of State for the answer, and I am pleased that he is grasping this. It's pretty boring, not to say seriously, in many situations, for a patient who doesn't get hold of his firmness. I have personally experienced this situation several times. According to the journal of the Norwegian Medical Association and on the TV2 news, only one of the three addresses is reached by telephone. They can't get through the phone systems. According to the calculations made by TV 2, 15 of them only correspond to approx. 10 pst. by their list patients, and by 380 doctors, 50 pst. patients. So I ask: is it the capacity of doctors or the telephone capacity that fails, or is it the service that has not received schooling in serving such an important phone? Or could it actually be that the decision maker does not believe that it is his responsibility to provide good access to patients? Unfortunately, I tend to believe the last.
ParlaMint-NO_2005-02-02.ana.ud299e913	In any case, let me make it absolutely clear that it is of course the responsibility of the decision maker to be available. That's what he's paid for. But a little clarification is needed again in relation to the fact that you never get any contact - i.e. just one of three. The fact that one of the three does not get in touch at the first call means that one of the three must call more than once. So the reason it's like this: it's probably with most people who are with the representative Alvheim, that you've experienced calling the board and not getting a response to the enquiry in the first place. So there might be several reasons for that. I think it's little because of the schooling of those who take the phone. I think it's because, as the investigation shows, there's often a greater pressure on the central table when it's a large medical community than when it's individual doctors, who often have a better secretarial staff. Clearly, there are complex reasons behind this. Municipalities may lay down conditions for this in the agreements they conclude. So, as I said in my first answer, I'm going to take this up in the Central Cooperation Committee, where both the Municipal Council and the Medical Association are involved, and see what we can do to improve the situation. We can't have it so that a large part of the population sees it as difficult to get in touch with their permanent staff, who have been paid to be ready to accept these phones.
ParlaMint-NO_2005-02-02.ana.ud299e924	I thank you again for the answer. In fact, the doctor gets paid for all his list patients. When at best half of them achieve contact, and at worst only 10 pst. does, the doctor gets very good income from that of his patients he never sees or hears from. The aim of the fixed medical system was to improve patients’ access to contact with their permanent staff. Access to social security is limited to patients’ regularity and does not apply if other doctors are selected, while the doctor is paid according to the number of patients on his or her own list. I find it strange that the Medical Association, which has ordered this study, has not itself dealt with its members and would like to contact the department. But I now expect this to be followed up, and that we will not get this type of report at a later stage.
ParlaMint-NO_2005-02-02.ana.ud299e933	Yes, of course, I share the hope that at the next check we can say that there has been a development, that the measures we have taken have worked, and not least, as the representative Alvheim himself says, that there is so much internal justice in the medical profession that they understand the seriousness of the investigation that exists.
ParlaMint-NO_2005-02-02.ana.ud299e942	I will ask the Minister for Health the following questions: ‘Is the Council satisfied with a situation where there is only a roundabout of about 400 of the 550 medical students that this spring prepares for such practices, or will he do something?’
ParlaMint-NO_2005-02-02.ana.ud299e949	I must first express my great joy at the fact that as many as 550 medical students this spring are getting ready for the tour. After six years of theoretical knowledge training and some practice, candidates shall have 12 months of practice as a medical gymnast and then six months in the municipality. After passing the tour service, they will then be qualified for authorization as a doctor. Since 1997, the number of roundabouts has increased from approximately 1997 onwards. 310 to the 750-800 per. years. The increase is mainly due to increased educational capacity in Norway, and many Norwegian young people are studying medicine abroad. In addition, medical candidates from other EEA countries and doctors from non-EEA countries have been given the opportunity to complete all or part of the tour service in Norway for Norwegian authorisation. A challenge for tour operators is that there are far more people who want to start the tour service in August than in February. This is related to the fact that there are more universities that complete the study in the spring semester than in the autumn semester. This applies to the universities of Tromsø and Trondheim, which graduate only once a year, i.e. of June. Both health enterprises, municipalities and the local authorities who have committed themselves in contracts with municipalities to receive and train new tour candidates every six months must have predictability and minimum variation from six months to six months in the number of tour operators. As of 2002, the Ministry has therefore had to put in place a system to take this into account. This means that some summer graduates may have to wait six months before starting the tournament service. Those who may have to wait are entitled to take the first place after six months. In the last three years there have been concerns about the possible lack of space in the admissions to the tour services. The concerns have been shown to be unfounded. I have to make it clear that so far all the candidates who have requested a tour site in Norway have had such a place. No one has had to wait to start the tour service. For example, in the spring of 2004, more than 500 medical students reported interest in tour services from August 2004. As of 3 May 2004, 148 candidates were on the waiting list, but no one was on the waiting list at the start in August 2004. So at the next turn, in February 2005, there are over 100 places that are not used. I can assure the representative that the department is continuously following developments in the tour services. The crucial thing for me is predictability for health businesses, for municipalities and for the firm as guides. The Social and Health Directorate and the Public Health Administration Office have established procedures to ensure that the outlying areas do not become harmful when the dropout becomes too large. For Finnmark and Sogn and Fjordane, arrangements are in place to ensure that the students who opt for the tour service in these counties before the trekking round are guaranteed to avoid any waiting time on the tour site.
ParlaMint-NO_2005-02-02.ana.ud299e962	I thank you for your answer. I thought it was a good idea to know what the situation is. But I'm probably a little surprised that the Council of State so unilaterally is busy with what the municipalities, the businessmen and the laymen have to stick to. In fact, it's also important for the individual candidate. We're talking here about a lot of people who are already out there, who are motivated for the tour service, and who have loans in the Loan Box that start to pay off, and where loss of income can be a fact. Is it so that the Council of State doesn't at all think there's any problem that the hopes of these young people -- some of them are actually also established with family, do we have to assume, after six years of education, that they're no longer custodial? If the Council of State settles down to make room for everyone, would it be possible to intensify the efforts made in spring to ensure good relations?
ParlaMint-NO_2005-02-02.ana.ud299e971	I think the general concern is evenly distributed between the questioners and the Council of State. As I said in my first answer, where I referred to the situation last spring, that is, spring 2004, when we had a lot on the waiting list, there was no one on the waiting list anymore when the reality occurred in August. Then these things settled. At the start in August 2004 - as the summer has been the problem - there was no waiting list, as far as I can see. But there has been uncertainty until the last moment for some. However, I can't guarantee that it won't be the situation until spring again, that it's a bigger start than what's capacity. It is clearly important to take both sides into account in this matter. It is also in the interests of students that they want to have sufficient guidance to provide them with a content in the Tournament service that qualifies them. I feel very much that this is reasonably well cared for.
ParlaMint-NO_2005-02-02.ana.ud299e980	Of course, it is a wish that most possible patients in both municipalities and hospitals receive the necessary health care as soon as possible. As you can see, the rotational data is an important piece to make it happen. I want to ask the council to check if there is anything in the municipalities, especially in the economy, which means that there are no more places there, and if there is something in the companies that might cause problems getting more. I would also ask him to consider the position of the Hagen committee, which has been out to the audience, where one suggests that medical students who have taken education in Norway should be given priority before those who are looking from other countries, whether they are Norwegian students who have taken education abroad, or there are foreign students. In the last week, there was also a sudden announcement that 50 seats were withdrawn while waiting. It didn't exactly tell me that the idea is far-fetched, and I also want the Council of State to look closer.
ParlaMint-NO_2005-02-02.ana.ud299e989	The last thing I'm going to do, of course. I can't answer it on the standing foot, but of course I'll check it out. We have a genuine interest in the fact that once we have increased educational capacity, it is of course important to get people out in the tour service as soon as possible and get them authorized, so that they can fill the vacancies that are available. I mentioned the name of two counties, Finnmark and Sogn and Fjordane, but also other outskirts, which both the representative Kleppa and I know well, have a special need. There shall be no lack of effort to meet the underlying issues.
ParlaMint-NO_2005-02-02.ana.ud299e1003	I will be allowed to ask the Minister for Health the following questions: ‘In the context of the withdrawal of the Vioxx medicinal product from the market, many of the patients affected have had to apply to the Enbrel medicinal product. Many of these are partially severely affected by rheumatic diseases and are highly dependent on drugs in order to function. A person in the form of a letter was first informed that the request for a refund would take 2 months, while he was informed in a new letter the same day that it could take 4 months. What will the Council of State do with this excessive duration of treatment?’
ParlaMint-NO_2005-02-02.ana.ud299e1012	As the representative of Nesvik points out, the drug Vioxx has been withdrawn from the market. It happened on September 30, last year. The reason was an increased risk of cardiovascular disease. The National Medicines Agency has made recommendations on the use of alternative medicinal products with a similar effect for the treatment of the patient group concerned. Most of these medicinal products are pre-authorised for reimbursement by the prescription scheme. According to the Swedish Medicines Agency, patients who have used Vioxx and who have had a satisfactory effect of this analgesic will normally be different from those who are currently treated with the medicine Enbrel. However, there may be cases where patients who have gone to Vioxx have entered a stage of disease progression that has affected them to use Enbrel. Treatment with TNF inhibitors, including Enbrel, should be initiated by specialists and patients must be followed closely. The medicinal product must be used with caution because of a risk of serious adverse reactions. The Rikstrøgdeverket received approx. 100 000 applications for individual reimbursement of the BIP in 2004, an increase of 15 pst. from 2003. The individual reimbursement scheme has evolved over time to become a relatively comprehensive scheme, which has given unacceptable long treatment periods for new applications in some periods. However, the Rikstrøgdeverket has introduced measures to reduce the duration of proceedings, and as a result it was reduced by 35 pst. from August to December of last year. According to the Rikstrygdeverket, the average duration of proceedings for individual applications was 3.6 weeks in December 2004. The Rikstrøgdeverket has informed the Ministry that the treatment period for the treatment of applications for Enbrel will vary according to the diagnosis of the patient. In the case of arthritis, the cases will normally be decided by the Agency and have a relatively short period of time. For other diagnostics, it will be necessary for medical expertise to assess the case, and the processing time will therefore be longer. The budget for 2005 provided additional funding to the Rikstrygdeverket to strengthen the work on individual applications. I have recently been assured in a meeting with the Rikstrøgdeverket that the processing time is still coming down. According to the Riksstrøgdeverket, it will also be such that children and serious sick people are given priority. In addition to this, I cannot comment on the specific individual matter the representative of Nesvik refers to in his question.
ParlaMint-NO_2005-02-02.ana.ud299e1027	It's true, as the Minister of Health and Health says, it's not necessarily the case that everyone who's gone from Vioxx goes to Enbrel. It has little to do with the situation of the individual and a total assessment of the patient. The problem with this question and with regard to the long treatment period is that I had a telephone call with him yesterday, and he has now returned to the medicine Vioxx, precisely because everyday life has become unbearable as a result of so much suffering from this. This isn't any person who doesn't know what he's talking about. It's actually the head of the Revmatics League. It's interesting to notice. The letters are dated the same day, 9 December 2004, i.e. after the Rikstrygdeverket has pointed out that they have reduced their treatment time by 35 pst. from August to December. So here, there's a real plug in the system that has to do something about it. My question to the Minister of Health and Health is: Will he take a look at the Rikstrygdewerk just to look at this category of patients who have now received these major plagues? Can he take these out of the pile and get them evaluated quickly?
ParlaMint-NO_2005-02-02.ana.ud299e1036	As I referred to in my first answer, I had a meeting last week with the Rikstrøgdeverket where we had a review of all these individual applications, and we went through both Section 9 and Section 10a. As far as I'm concerned, we didn't have much up to date as the representative here asks. But in the light of this call, of course, I will address the special issue with the Rikstrygdewerk in order to ensure that there is not a very long waiting period for this patient group.
ParlaMint-NO_2005-02-02.ana.ud299e1041	In connection with getting the Vioxx case and this leading attitude was in Stortinget, the other drugs in the same group were also taken and transferred from Section 9 to Section 10a, because one would be leading was. At the same time, however, the agreement with the Progress Party was that, after the hearing bodies had said their own and the consultation period had expired, a new assessment was to be made in relation to this type of case. As far as I am aware, the hearing period has now expired, and the hearing opinions have been submitted. My question to the Council of State is, how is this being dealt with now? Would you now -- I was about to say -- report on what the hearing bodies have said about this group of drugs, in what form, if any? The situation that has now arisen is that some patients are very scared and uncertain and now want a clarification of this.
ParlaMint-NO_2005-02-02.ana.ud299e1048	It is true, as the representative says, that there has been consultation on the matters mentioned, and it was my thought that, to the extent that it is - and I think it is very likely that it is - necessary to report it to the Storting, perhaps the revised national budget is the first natural round in which it can happen, if there are not quite special conditions that would require anything else. But I can't say anything more about the content of the hearing opinions right now. I actually don't have an overview of that right here.
ParlaMint-NO_2005-02-02.ana.ud299e1057	I allow myself to ask questions to the Minister for Transport: ‘In the course of a bidding round of the ferry link Mannheller-Fodnes, an unmanageable situation has arisen in which an operator is willing to pay SEK 70 million. kr in cash. Unfortunately, the system does not have legislation to reach a lucrative agreement to the satisfaction of public and, in particular, road users. Can the Council of State take the initiative to cut through bureaucracy and find a solution that can benefit road users with cheaper ferry tickets?’
ParlaMint-NO_2005-02-02.ana.ud299e1066	The granting of permits in national road ferries is based on the Professional Transport Act and related regulations. The Directorate of Road has been delegated privileges under the regulations on professional transport domestically by motor vehicle or vessel § 3. The Directorate of Road decided that the round of tenders for the ferry link Mannheller-Fodnes should be cancelled because there was very doubt about the opening of the Professional Transport Act with regulations to allow the State Road Service to pay for the granting of a permit for the operation of ferry services. Both workers under the Transport Act, Ot.prp. No 74 for 2001 to 2002, and the wording of the regulation on the use of tenders in local regular services appears to assume that there is a subsidy which is essential for the granting of authorization after the use of tenders. It is not stated in the legal basis that it should be possible to receive payment for a right. To clarify this would require a broader investigation of the issue and would not be possible within the time frame of this tender. Until now, the operation of the ferry link Mannheller-Fodnes has been dependent on a state grant. Over the period 1998–2004, the country has purchased some 8 million services. kr annually from the operator. In the context of the cancelled tender, the road authority of the State chose to base functional requirements on the ferry offer according to the long-term objective of the new standard for ferry operations presented by the Ministry of Transport in St.meld. No 24 for 2003-2004, National Transport Plan 2006-2015. This approach enabled the provider to replace current two ferries by one, thus reducing operating costs. This meant that the State was offered about 70 million. kr during a total operating period of eight years. The Road Directorate is in the context of the cancelled competition in Mannheller-Fodnes in order to investigate the legal framework for the competitive outsourcing of the national road ferry service in order to receive payments for the operation of the national road service, including the relationship with the EEA legislation. It will also have to be assessed whether competition can be shaped differently, for example: at the rate and standard of the offer. This, in turn, may lead to the need for freer pricing in the ferry sector instead of the common regulation to which the Stortinget joined in the treatment of St.meld. No 42 for 1986-87. Competence with the standard could lead to major differences in the ferry standard between connections. After these conditions have been clarified, one will come back to the question of how to organise the future holiday offer in the context of Mannheller-Fodnes. The authorisation of the current operator expired on 31 December 2004, but is extended until a new authorisation holder has been decided upon.
ParlaMint-NO_2005-02-02.ana.ud299e1079	I thank you for your answer. It looks like there's been a little luxury problem, because people actually want to pay to run the route. I find it critical that the department has not seen in advance that tenders could have such consequences. It was quite obvious that such an intersection would have to occur once, and it has not been taken into account in the design of the Professional Transport Act. In Inner Sogn there are two heavy toll projects. In addition, it appears that we get the first toll-funded race project in Norway. That means there is a toll collection on the ferry link Mannheller-Fodnes for 86 kroner return for the passenger car, 274 kroner for the truck. In addition, Springland has a return of 320 kroner for the passenger car and 1540 kroner for the return of the truck. So in addition to that, this is going to be equal to the racial protection. Will the Council of State take the initiative to use the savings to pay off the debts of the toll company financing Mannheller-Fodnes to reduce its costs to road users?
ParlaMint-NO_2005-02-02.ana.ud299e1090	We're going to have a review of the situation that has arisen here, where, first of all, there were lower standard requirements than what has been in relation to this particular ferry connection, and where it might be relevant to also look at the price of the travellers on the concrete connection. I will initially – without any local processes on the kind of questions that are being asked here – be careful to propose the connection between the ferry link and the concrete toll project in addition to the leads that are already there. It is true that this is a problem that we have not experienced before; ferry service seems to be so much more reasonable than before that we are facing the opposite problem compared to the previous one. Where we've given grants, it actually seems to go with such a good economy that there can be room for either improving the standard or lowering the prices of those who travel - or maybe even other elements that we haven't seen yet. We're now going through this.
ParlaMint-NO_2005-02-02.ana.ud299e1097	This shows that belief in competition in the market is very good, and I am pleased that the Government, together with the Progress Party, has removed more obstacles to competition, so that we can reach further in other fields in this area. I am pleased that it now appears that there is a matter of making assessments - cf. the Professional Transport Act. I hope it will come to Stortinget as soon as possible so that we can collect these savings on behalf of the road users or make changes that make it cheaper for road users to travel. I hope that an assessment is also made of whether such hard-to-load projects can lead to tariff regulation on ferry operations in these areas - that these assessments also take account of such things.
ParlaMint-NO_2005-02-02.ana.ud299e1104	We're going to, as I've said before, go through the situation that has arisen here and that in economic terms is a positive and a new experience. Of course, we are going to carry with us the wish that the travellers will benefit from this, in some way. And the way that it's going to look, whether it's in price, quality and standard, or whether it's in other ways, we have to get back to it.
ParlaMint-NO_2005-02-02.ana.ud299e1113	The question is as follows: ‘The insulated vault of the entire Krifast tunnel on rv. 70, which is also the route of origin, is in such a poor condition that it must be replaced immediately. Already in 2003 500 metres of the plate vault was removed after roof plates fell down and hit a car. This batch is now without water protection. I assume that the costs of a new vault are so large that it cannot be taken over by the ordinary operating and maintenance budget. What will the Council of State do to secure the tunnel?’
ParlaMint-NO_2005-02-02.ana.ud299e1122	It is correct, as the representative Kristoffersen points out, that the work in the Freifjord Tunnel on the Krifast link cannot be taken over the ordinary operating and maintenance budget. The costs must be borne by the investment budget. In St. prp. No 1 for 2004-2005, the work is described as follows: ‘In the Freifjord tunnel on rv. 70 has caused load damage to about 500 m of the plate vault, which is likely to have to be done for the whole tunnel over the next few years. Costs and funding will be assessed in the context of the 2006-2015 action programme.’» Work on the removal of the rest of the old vault will continue in 2005. Means have been proposed for the replacement of vaults and new technical equipment in the period 2006-2009. The proposal involves a total replacement of today's water and frost protection and upgrade of safety equipment after today's tunnel normal.
ParlaMint-NO_2005-02-02.ana.ud299e1139	I saw in the press a few days after I submitted this question, that the Council of State has put in sight money to start repairing the tunnel and securing it, as the Council of State has now explained. I'm very happy about that. The critical tunnel is in such a constitution that this work should have been initiated for the longest time. The tunnel roof is a direct danger to road users, for whom the example I have given in the question is an expression. Is it now the case that the Council of State has promoted or is going to propose an amount that ensures the necessary repair of the absolute whole tunnel - because that is essentially what it is about?
ParlaMint-NO_2005-02-02.ana.ud299e1148	It's probably saying itself that when we start this work, we have to take the whole tunnel. Thus, when this is incorporated into the action programme and allocated over the ordinary budgets, account will be taken of the need to deal with the whole tunnel. What I'm concerned about is that we can now make sure -- and we have that in the work that's going on right now -- that it's road safe to drive through the tunnel. Removing the roof plates is one element in increasing safety in relation to what it has been. Another element is that it means greater humidity and poorer lighting in the tunnel after removing these. Then it is important to me that we have a continuous monitoring and maintenance of the tunnel that makes it as safe as possible, and that we can say that it is safe in the tunnel.
ParlaMint-NO_2005-02-02.ana.ud299e1153	I think I'm legitimately concerned about the state of the tunnel, both in terms of road safety, and about the possibility of regular service through the tunnel. In addition, there are strong plans for the development of the port in Kristiansund, and through the expected increase in traffic there, inter alia. probably through a ferry to Scotland, freight traffic through the tunnel will have to increase significantly. That's why I'm very concerned about the pace of implementation. If it is to go from 2006 to 2009 before the tunnel can be said to be completed, I am deeply concerned. So now I ask the Council of State very specifically at that point: does the Council of State see any possibility that the work can be completed before 2009?
ParlaMint-NO_2005-02-02.ana.ud299e1160	When I say that this is part of the action programme, it doesn't necessarily mean you're going to spend the entire period of time improving the tunnel. It could probably make it faster. So hopefully we'll be able to have a progress here that will get you done quickly. This will allow you to benefit more from a solid and good tunnel and to ensure that it is safe. So it's my intention that we should be able to spend the necessary money as quickly as possible so that we can achieve a rational improvement in the repair of the tunnel.
ParlaMint-NO_2005-02-02.ana.ud299e1165	So we go back to question 3.
ParlaMint-NO_2005-02-02.ana.ud299e1172	This question, from Mr Ågot Valle's representative to the Minister of Culture and the Church, has been transferred to the Minister of Defence who is directing him.
ParlaMint-NO_2005-02-02.ana.ud299e1175	As the President referred to, this was a question to the Minister of Culture and the Church. I am then curious whether the Minister of Defence can answer the question I have asked. These are the following: ‘According to the media, the Swedish Defence Management cut off all operating support for the Swedish Defence Music Centre in 2005. There will be considerable consequences for the voluntary and professional music life, and in particular the working conditions for approx. 170 professional musicians. How does the Council of State assess the cultural policy consequences of the cut in operating aid and what initiatives will it take to prevent the closure of these important music workplaces?’
ParlaMint-NO_2005-02-02.ana.ud299e1184	The defence music received a commitment of 94 million in 2005. in support of the defence budget. The music of the defense today consists of five professional corps, whose primary task is to profile the defense, contribute to recruitment and create an understanding of the role and tasks of the defence in society. However, the modernisation of the defence involves reviewing all parts of the defence structure and activities in order to ensure optimum use of the resources and maximum operational capability. Therefore, the Defence Chief of the Military Investigation 2003 proposed to reduce the number of professional corps from five to three. The government followed this up in St.prp. No 42 for 2003-2004. It was suggested that, in line with the significant structural changes and reductions made in the defence's other activities, the music of the defence should be reduced by two corps, from five to three. It would give more resources to the remaining corps. For the treatment of Inst. S. No For 2003–04, Stortinget wanted to continue a structure of five professional corps. A unanimous defense committee suggested that 10 pst should be saved at the same time. in the body activity to contribute to the operational savings imposed on the defence. That is, an initial budget of about 99 million. kr must be reduced by approximately two years. Five million. kr i reduction per cent. years. That's $94 million. kr in 2005, with an additional 5 million. kr in 2006 to follow up on the Storting intention. It necessarily means much less operating material per. corps than if you had three crews, and that means a corresponding increase in the need for self-financed activities. Storing assumptions on operating savings of 10 pst. of course, for an unaltered corps structure, a challenging operating situation for the defence music. This means that both activities and the number of employees need to be reduced in order to obtain the stipulations of the Storing and adopted budgets. I would like to stress that a unanimous increase was behind these budget conditions for the defence music.
ParlaMint-NO_2005-02-02.ana.ud299e1197	What I'm asking is whether the consequences of that cut were made clear to the Storting in advance. What's happening now is that there's an order for a cut of 25 musicians' positions, and that there's no money for anything but wages, and invoicing. That means that the musicians can hardly play for anyone other than themselves, and that means that there's going to be a confusion. In the long term, there are those who are afraid that it could mean a closure. What I want to challenge is precisely the cultural policy implications, and then I want to ask the Council of State: does she agree that the defence also has cultural obligations, that this is an important part of the cultural infrastructure in Norway, and that the music villages can be culturally linked between defence and civil society? Does she agree that the cut will have major cultural policy implications?
ParlaMint-NO_2005-02-02.ana.ud299e1204	Yes, I fully agree with the questioner that culture is important for the defence, and that the defence has a cultural responsibility. We're doing that through the many old protective buildings and fast that we're taking care of, and we're doing that by just focusing on using approx. One hundred million. kr per year on the Swedish Defence Music. What we've done before is to reduce the defense by two corps, which became civil -- one in Halden and one in Kristiansand -- and so on, their cultural policy continued, but outside the Defense. The defense chief and the government proposed in the previous round was that it should be reduced by two more corps, which could become civil. Then there would be more room for defence's cultural policy activity in the three corps that were left. The challenge now facing our corps is demanding, because we must therefore deal with the budgets adopted by the Storing. I think this example might illustrate that at a later stage it might be natural to look at the whole number problem one more time.
ParlaMint-NO_2005-02-02.ana.ud299e1213	The repeated resistance to cutting off the Defence Music Corps shows that people really have a great heart for the Defence Music Corps. I am very pleased that the Minister of Defense acknowledges that the Defence Corps also have cultural policy obligations. The majority of the Committee on Culture, Culture, Education, Information and Sport stated in the Culture Communication that the Music Centre of the Defence Agency had to be properly operated. There are probably different solutions to this, but I want to launch one idea for the Minister of Defense, namely to establish the music stations as foundations, in line with, for example. the defence museums. This means that responsibility is subject to a government, which in turn is subject to the Ministry of Defence, and that it is possible to associate with members from several parts of society. How does the Minister of Defence view such a very good idea?
ParlaMint-NO_2005-02-02.ana.ud299e1220	I will always be open to various suggestions that allow the music culture represented by the Defence Corps to continue and be preserved. That was to the extent that the government tried when we wanted to reduce the number of corps, because we thought that the remaining corps could then get more liberal means to carry out their activity. I feel that I am bound until now by the very clear guidelines I received from Stortingen on this matter a short time ago, and that this must at least be a majority solution for the impositions and leaderships that I have so far had to comply with. I would also like to add that today's reality is that all parts of the defence that are allocated a budget must stay within it, even when it is difficult. We also have a policy to ensure that if anyone actually exceeds their budgets, the exceedances must be covered in the following year. That means there are tough frames for our music. It is therefore desirable to be able to find other solutions, such as: So as we've seen before, some of the corps actually become civil.
ParlaMint-NO_2005-02-02.ana.ud299e1229	Let's move on to question 13.
ParlaMint-NO_2005-02-02.ana.ud299e1236	I want to ask the Minister of Defence the following questions: ‘In connection with the rental of parts of former Haslemoen military camp for civil use, it is forgotten to send rent claims of more than 2 million. kr. When at the same time you know that the defense is struggling financially, how is the Council of State satisfied with such a serious failure of the routine, and what will she do to ensure that the proceeds of the Defense are also put into the correct system?’
ParlaMint-NO_2005-02-02.ana.ud299e1245	I would first like to say that I am pleased with the questioner's commitment to just housekeeping with heads and ears. In these times I think it's worth remembering. However, I would like to stress that the defence property at Haslemoen was discontinued and transferred to the Defence Building disposal project Change Eiendom on 1 August 2004 for sale. So the sale is the goal, but it will take some time before the sale is completed. Defence builds indicate that the sale is scheduled to take place during the first six months of 2005. In the meantime, it is correct, as the questioner is concerned, that several temporary contracts have been concluded with various private tenants for the rental of parts of the tenant. Thus, the former military camp is in partial use until sales are carried out. Defence constructions reported in a letter dated 2 February 2005 that their revenues from the renting of Haslemoen amounted to 3.2 million. DKK in 2004. In addition, the figure was 1.1 million. kr outstanding due to late billing. The invoice was sent in December, but due to disagreement with the tenant concerned about the actual rented area, Defence Building did not collect the payment before the end of the year. I find it a little unnatural to go into the specific issue of disagreement, but I refer to the fact that disagreement about the amount of the rent is now being managed in a dialogue between the Defence Building and the tenant. However, defence builders stress that late billing is to be avoided, but in this case there is no financial loss for the defence. There will be a question of accruals, and therefore the year in which the income is accounted for. It is important to exploit the properties of the defence economically and generate income. It is also important that decommissioned military camps such as Haslemoen do not become empty during the sales phase. Thus, we avoid damage and other deterioration of buildings and equipment, which can easily occur if the camp is not in use. Activity means that the property also appears more attractive to buyers. The total amount of external rentals of end-of-life property from Defence Buildings is very limited and the lease term is mainly short-term. Defence constructions reported in that letter that the total income of such rentals in 2004 amounted to 19 million. kr. This is 2 million. kr more in income than the forecast of 17 million. kr. So in this case, at least evolution has gone in the right direction.
ParlaMint-NO_2005-02-02.ana.ud299e1262	I thank the Council of State for the answer, which was both complementary and partly explanatory. Of course, I do not think it is right to go into the details of the matter. But the question is in place, as it may seem that not all details were agreed and regulated, and that bills were not sent out in time. I hope that Defence Construction has brought with it, and that their procedures and treatment are improved. Of course, everyone can improve - including Defence Buildings. At the same time, I understand that the defense may have problems dealing with all matters as well, as it is a very extensive and quite large building mass The defense will sell or rent out in the period we are in. It may be particularly difficult to rent or sell parts of a military camp. However, income, like expenditure, must be treated correctly, for the best of all.
ParlaMint-NO_2005-02-02.ana.ud299e1271	Of course, I fully agree with the questioner in that. Defence construction is important for the defence's total income, because rent and sales revenue benefit the rest of the defence, and can be transferred to investment and important activity in the defence sector as a whole. Therefore, it is important to be careful with, among other things. sending out rental requirements in time. We have also received the insurance of Defence Construction that they have had a review of the procedures. Finally, I would like to remind you once again that in this case, Defence Building has fortunately sold more properties at a higher price than what was in the budget assumptions, and they have also earned higher rental income than what was in the budget assumptions.
ParlaMint-NO_2005-02-02.ana.ud299e1278	I thank the Council of State once again for the answer and would otherwise stress that the sale of Haslemoen will mean a lot to a community, in line with other communities where the defense sells property. It is positive, everyone thinks, that relatively many traders around have been given the opportunity to operate their business, in this case at Haslemoen, while the sale is being prepared. It's both small and big companies that seriously run their businesses, and they thrive on Haslemoen. This must be borne in mind in this case, and you have to arrange - insofar as it is not already in order - a proper treatment that gives both the defence and business a good cooperation too. It seems to me that, in this case, the big community will take it further with it when you finish your business in a district where a large part of the business has been based on the activities of the Defence. And I think the defense does.
ParlaMint-NO_2005-02-02.ana.ud299e1283	Then I can only briefly confirm that the Defence Building emphasises such considerations as the questioner here drew up. This was also the background to the fact that the sales process was given a slightly extended period, not least on the initiative of local representatives at Stortinget before Christmas. I would also like to refer to previous answers in the Questionnaire on this particular issue.
ParlaMint-NO_2005-02-02.ana.ud299e1291	This question, from the representative of Gunnar Halvorsen to the Minister of Defence, will be raised by Rita Tveiten.
