ParlaMint-NO_2005-04-14.ana.ud1391e41	The representative of Morten Højlund will make a private proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e675	Initially, I would like to thank the interpellant for putting this matter further on the agenda, for this is a very important matter to discuss. It's quite obvious that the will to do something is present in this room, but the problem is just that it takes such an infinite amount of time. If we were to angle this up to, for example, In fact, the Stortinget decided that all those who wanted it would be moved out by 2005. Now we're almost halfway through the year. It is referred to, for example: the top-level funding model for particularly resource-intensive users. Yeah, it's in place. But we should not forget that at the same time, the so-called relocation grant has been removed from the municipalities that had these people in the institution, which was very helpful when it comes to establishing an offer outside the institutions at that stage. The evaluation of the top funding model in 2005 is very important. I believe that this should be done so quickly that we have time to put forward proposals for amendments, and at the latest in the 2006 budget. It is said that an evaluation will be carried out during 2005, and you will not be finished until the end of the year, and then you will have to postpone until 2006 to take a decision on it – and then time goes by. I think it's been long enough. The last number we have on so-called young people in hospitals in Norway today is 132. And it's right that the Council points out that approx. half have said that they want to move out. But the question we have to ask ourselves is, what rights does this group have that are either about to move into an institution or are in a separate home, but that has a daily life that, in my opinion at least, is not sufficiently organized, so that they have a decent life? What are we going to do with this? I don't think the reference we make to the Social Services Act is enough. The Social Services Act provides a number of recordings such as: are linked to particularly large challenges and particularly large financial resources. I think we need to look at how we can attach rights and better facilitate a worthy life for these people – and it's a paradox after all these debates we've had. This week this is the second debate in the case of young people out of nursing homes, and then it's strange that we're still in a situation where there's more moving in than moving out of nursing homes! We can't actually live with that anymore.
ParlaMint-NO_2005-04-14.ana.ud1391e688	Over the last 10-15 years, the Storting has adopted several major reforms that have been of great importance to Norwegian municipalities. The HVPU reform was in many ways maybe the first of these. Since then, we have had elderly reform, psychiatry plan, hospital reform, rus reform and kindergarten reform. In common with all these reforms, they have made new and major demands on the municipalities and municipal services and services. Another common denominator is that the vigour and willingness of the Storting to adopt reforms has not always been accompanied by an equal willingness to take responsibility for the funding of the reforms, perhaps with the exception of the kindergarten reform. Thus, over the years, there has been an ever-increasing gap between the tasks that local authorities have to perform and the legitimate expectations that this has created for the population, and the ability and resources of local authorities to solve the tasks and meet expectations. As a result, the situation in many municipalities has become such that different groups of help and assistance groups can be set up against each other. In parallel with the fact that new groups in need of support and assistance have received political focus from both the Stortinget and the political authorities in each municipality, others may, for example. mental retardation, getting into the background and thus getting a worse offer. Most people with mental retardation need a long-term and complex service provision. This places great demands on both resources and competences. Some are very resource-intensive, and there is a question of whether the funding mechanism for resource-intensive users is good enough to ensure a good and worthwhile offer. I don't think so. I don't think it's good enough now to end the unworthy situation that we've had for too long, that more people have been in, with still a lot of young people with disabilities placed in nursing homes and that new ones actually move in. Then I register that the Minister of Health and Health is engaged in municipal freedom of action. Yeah, that's important. However, municipal freedom of action must also have an economic space to ensure that municipalities are not forced to choose which groups and individuals of needing help should be given priority. Here at Stortinget, more people with great pathos have mentioned how unworthy this is, and we cannot discharge ourselves from our responsibility to help make the economy so that we end these unworthy conditions.
ParlaMint-NO_2005-04-14.ana.ud1391e701	The Christian People's Party is concerned that the care and care of people with mental retardation should not become a balancing post. We are also concerned that young people with disabilities should have the opportunity to move out of hospitals if they want to, at least no one should be there against their will. Therefore, I would like to thank the interpellant for a commendable initiative when he focuses on the rights of this group. It may not be the family members who, in each individual situation, are forced to fight by the fact that the disabled are given the care and the dishes they are actually entitled to. However, I see no need to go into all of these dishes, when I found that the Minister of Health answered well the question of the possibilities and remedies that this group has. But I want to emphasize that one has to build on some of the purposes of the HVPU reform and that it is important that one manages to follow up, so that it becomes more than just words. One of the major objectives was that this reform should end the institutional services for people with developmental disabilities. It is not without reason that this reform, at least what I know mainly from my area in the West, was called housing reform, which has received both criticism and praise. But the important thing about this reform was that the developing world should be able to live a life as far up to the normal as possible. Then it becomes relatively unsustainable for young people with disabilities to be in hospitals against their own will. The Christian People's Party is occupied by the fact that human dignity is fixed once and for all, like a great staff stone. I'm glad that in this interpellation debate, regardless of the political party, there is very much support for this field, that a non-grading people is based on performance and functional levels. I thought this debate very well shows that it is not the colour of the party that determines what interest you have in this, but that there is a genuine interest in this room to ensure that not only those who come into the matter that the interpellant takes up, but also young people in general who are at the hospital, will get the help they need. I would like to point out two tools that I thought could be used more widely to improve the ability of a municipality to decide for itself. This applies to the individual plan of social services laws, that they are used in such a way that those with disabilities receive a more holistic and co-ordinated service provision. The second is for user-controlled personal assistance. So here it came up that one is going to evaluate the top finance model. I think it's a good idea that he's now being evaluated, and that one can see that there's something that needs to be changed to make this unsustainable situation better.
ParlaMint-NO_2005-04-14.ana.ud1391e716	First, honey to the interpellant, which addresses a problem that occupies a lot of municipalities. There may not be a lot of people, but still too many – of the weakest people we have in this society. There has been talk about the major reforms. The HVPU reform is one of the largest and one of the first of such major reforms, where a transferred task to the municipalities and thus charged them with expenditure that was not – and is not – taken into account to ensure through funding to the municipalities. The Central Party has proposed that such reforms should – and should – be assessed and covered financially by those who adopt such reforms and require other levels of government to perform these tasks. That's not happening. Those who most often adopt and assign such tasks to the municipalities are the state in the case of landfilling and management. These tasks are transmitted, preferably in fine words and formulations, that this is done in the name of near democracy, for the benefit of the users and the close, good and adapted solutions. But it's not like that. In practice, tasks are read over to the municipalities that they cannot solve, tasks that we are discussing here afterwards as unsolved and inadequate, where we are talking about unworthy solutions and relationships. The reason for many of these unworthy circumstances and solutions lies in the fact that we have not taken into account and assumed responsibility for the availability of adequate funding and resources to solve the problems associated with these so-called reforms. The Minister of Health and Welfare referred to the system of state top funding for resource-intensive users. It is in many and many very good, and in principle the Centre Party has fought for such an arrangement and got it into principle. But the scheme is not good enough in practice. The threshold before government funding systems break down needs to be reduced. I think it has to go down to a level that corresponds to the cost of a nursing home. But I know that in some municipalities there are very small margins and differences that trigger the requirement that people move into a nursing home. Therefore, the amount limit must fall to this level. Sufficient co-financing by the State must be provided. This means that most of this amount should be State-owned, and not least, the calculations for this should be good and well known and done in such a way as to be fair to both users and municipalities, those who are to carry out the work. Then it must not be as it has now been, that unforeseeable and uncertain have been introduced into this, which means that, despite this scheme, people are moved from their homes, where they thrive, and into institutions — and more often older institutions.
ParlaMint-NO_2005-04-14.ana.ud1391e729	This is a chance I have to seize when I have it, to praise both the committee and not least the interpellant for addressing the challenges you face. Probably a lot of desperate parents look at their young. They often have them in their homes. When they don't do it anymore, providing institutional space for some municipalities can be putting them in a nursing home. It's tragic. I think the municipalities are doing everything they can to avoid getting into that situation. It's critical, it's media postings, and it's actually going to be like that if they can't follow up on the intentions of the Storting. The last representative who was up here, from the Center Party, was in the middle of a moment that I think is worth taking with me further into the work. Where is the State funding package to be implemented? Should it be before approx. 700,000 kroner net? This is an assessment theme. We also see that the county council often gets engaged, but there are very few cases where the municipalities are required by the county council to offer a better offer than the one outlined. When I stand here now, I also want to ask for an assessment in the case of parents and relatives who take their parents abroad – in that context, the municipalities no longer have any responsibility for someone who is mentally retarded and who needs care. Nor does a person who has arthritis, and who has better benefit from being in a warmer country, have any responsibility for following up. It may also be appropriate to consider a regulation stating that such a service offer should have a stronger protection. But otherwise, I think that the support the Stortinge provides is good to take into the community when we're going to distribute the tight frames and funds that are. When, for example: for support contacts for the mentally retarded group, this may be some of the resources that need to be saved in some municipalities. This has at least some focus on.
ParlaMint-NO_2005-04-14.ana.ud1391e739	Let me start by thanking good colleagues for their strong commitment. What is quite obvious in this matter is that here the Storting has one will. This is not the case for the party-political dividing lines, we agree. We agree that young people should not live in a nursing home against their will. It's as simple as that. Young people should not be allowed to live in a nursing home against their will. We have also, for once, taken the consequences of our political will by establishing a more or less good system to contribute financially to the municipalities. I think the post from Harald T. Nesvik was very good. So we have repeatedly adopted this, and every time we debate it, we are completely crystal clear in our views. And yet, as Nesvik says, we experience that there are more young people moving into a nursing home than moving out. We can't live with it. We can't live with it for the sake of the people involved, but we can't live with it for the sake of ourselves either. It must be possible to put power behind such a position. Now we have to think: what are we going to do to put power behind that position? I believe that, on the basis of this and several debates, it should be natural for the Minister of Health to have a conversation with Health Director Lars Hanssen and stress that the Stortinget, that the authorities, clearly state that it is not acceptable for young people to be placed in hospital against their will, and so clearly express it through their own economic system – among other things. to avoid this. As a result, it should be clear that, if such questions are raised in appeal proceedings, not by the county council, but by the local health authorities exercised by the county council, it must be unthinkable that the complainant should not be supported. At least there could have been an operational action to end this debate, whether the Minister of Health could be willing – he does not have to respond spontaneously – to consider taking such a conversation, so as to make sure that the head of the Health Inspectorate also has the understanding of the Stortinget so far as the degrees expressed his will in this question are concerned.
ParlaMint-NO_2005-04-14.ana.ud1391e748	I look at the welcome of the representative, Mr. Hansen, as a relatively modest measure. I'll definitely do that. But what I intend to do now after this debate is to get me a detailed overview of the approx. 130 who are in the hospital: how many exactly are there who want to move out? How many people don't have that need? Of that half, approximately, that we don't want to be there, how long has each of them been there? And what is the individual plan in each municipality? What time horizon do they have to get this down to micro, so we're absolutely sure that we're talking about safe and good realities? You can definitely imagine that a significant number of them. 60-65, which is in a hospital, but which does not want to be there, is going into other housing conditions, but you are there until further notice, until something has been done about this. Then the situation is very different than if there is someone who is permanently placed in a nursing home, for life. So there are two things: I'm definitely going to take the call in relation to the Health Authority when it comes to dealing with individual cases, but – perhaps the most important thing – I'm going to start this investigation and get the members of the Social Committee to know as soon as it's practical.
ParlaMint-NO_2005-04-14.ana.ud1391e762	As a result, the interpellant debate has ended.
ParlaMint-NO_2005-04-14.ana.ud1391e768	Then we're ready to go to voting.
ParlaMint-NO_2005-04-14.ana.ud1391e775	During the debate, Mr T. Nesvik put forward two proposals on behalf of the Progress Party.
ParlaMint-NO_2005-04-14.ana.ud1391e810	During the debate, Mr Alvheim put forward a proposal on behalf of the Progress Party. The proposal reads as follows: ‘The Government is asking the Government to ensure that when children and young people under the age of 18 are referred to Psychiatric specialist health services, this should be considered as immediate help. Investigation and treatment shall be initiated within three weeks.» The Socialist Left Party and the Central Party have expressed their support for the proposal.
ParlaMint-NO_2005-04-14.ana.ud1391e827	The President will then propose that the statement by the Minister of Health at the Stortinget meeting on 11 April 2005 on the situation in the field of mental health protection be annexed to the minutes. – It shall be deemed to have been adopted. In Case No. No voting theme is available.
