ParlaMint-NO_2005-04-06.ana.ud1176e28	The representative, Jan Simonsen, will make a private proposal.
ParlaMint-NO_2005-04-06.ana.ud1176e897	It is true that the promise of knowledge involves many changes in school, and it is particularly important that parents get good information about what the reform involves so that they can follow their children in school everyday. As regards information on the reform, the Knowledgelift has its own website. In addition, the Ministry’s, Education’s and Parent’s websites provide information on the reform. I have also attended large information meetings around the country. In October, I informed about the reform at a large meeting of municipal parents, and during the January–March period, I have held six large information meetings in the evenings around the country for students, parents, teachers and other interested people. There has been a good deal of excitement about these meetings, and there has been an opportunity for questions and answers at each meeting. Written questions have also come to the ministry from engaged parents after the meetings, and of course we have answered them. All the new curricula have been sent to an open hearing, and there is full opportunity for parents to deliver hearing opinions by the deadline of 10 May. On the first Monday, a separate information brochure is sent to all parents on the consultation process. Both the Education Directorate and the Parental Committee for Primary School have published their curriculum drafts and information on the consultation process on their websites. Parents wishing to give a hearing opinion may either do so as an individual or use the existing bodies, such as the parents' job selection at each school or municipal parental committee, if it is established in the municipality. In recent years, all first-rate parents have received a brochure at the start of school informing them about the rights and duties of schools, parents and students. This leaflet is also to be issued in the autumn of 2005. In addition, the Ministry, in consultation with the Parental Committee for Primary Schools, shall send information to all parents with primary school children on the extent to which the reform has come in the autumn of 2005 and on its impact on pupils. Of course, we will also consider the kind of needs in the coming years after the reform takes place.
ParlaMint-NO_2005-04-06.ana.ud1176e908	I thank the Council of State for the answer, pointing out that many important and correct things have been done and will be done. I would like to stress that the process of change also goes beyond the very introduction of new curricula. Not least, there is an important part that comes when new curricula are in place. So for follow-up: that's how many changes happen especially in high school. In connection with St.meld. No 30 for 2003-2004 it was correct that the majority of the majority of the population stopped the Government’s proposal to remove the parental council, but there was no stop order for the Government not to further develop and strengthen cooperation between home, school and pupils at individual and school levels for secondary education. Has the Government forgotten or abandoned the work of developing and strengthening cooperation in home-schooling for parents with high school students? The question of follow-up is, therefore, particularly given that there are major changes specifically in secondary education.
ParlaMint-NO_2005-04-06.ana.ud1176e917	I think that is a correct and important point of view – of course, students and parents related to secondary school also need to be informed about the reform. Now, as the reform is gradually being implemented, the needs will be slightly different. But it's an important reminder in and on its own, because I have the impression that there's quite variable cooperation with parents in high school. At the same time, I have the impression that it works very positively for the school where it is good. I also remind you that the Stortinget has decided, on a proposal from the Government, that the so-called educational plaque, which is a basic quality obligation for schools and training places – as binding as the curricula for subjects – is now to apply both to primary and secondary education, while the old so-called Bridge, which was, as it were, the same place in the curricula, was only to primary school. The cooperation at home-school is also mentioned. This means that it is the responsibility of the school in this respect. So I'm taking this with me as a useful and important reminder.
ParlaMint-NO_2005-04-06.ana.ud1176e924	I thank you for your attendance at that point. My second follow-up is directed towards the Parental Committee for Primary School, i.e. the national body which is responsible for the interests of individual parents on a national basis. In the context of the 2005 budget, the Government’s proposal to amend the location and mandate of the Parental Committee for Primary Schools was suspended by a majority. While it is enjoyable, it is equally full that the Parental Committee for Primary School has a central role to play in the process of change that is now to be carried out, and it is a major task for an existing national body. It does not have the resource allocation reflected in any way. My follow-up question to the Council of State is how she will ensure that a continued parental selection for primary school, with the same mandate and the same location as before, will also be able to fulfil its important role in the process of change currently taking place.
ParlaMint-NO_2005-04-06.ana.ud1176e933	Let me just make it clear that although there was a slightly divergent view of the organisation of parental cooperation and the freedom of the municipalities in this regard, there is no disagreement about the goal, that we want parents who are engaged and have influence in the school. I also want to add that I experience it so that we have a very good cooperation with the Parental Committee for Primary School, which is relatively recently established by this government. I note that the representative, Mr Sortevik, is concerned with the allocation of resources to the Parental Committee for Primary Schools in connection with the great promise of knowledge, that it will also be given increased and important tasks, and that I take with me as a view that I will seriously consider in the ordinary budgetary processes.
ParlaMint-NO_2005-04-06.ana.ud1176e940	Question 7 also goes to the Minister of Education and Research, who has received a lot of questions today — but this is the last in this round.
ParlaMint-NO_2005-04-06.ana.ud1176e943	It's all right, President!
ParlaMint-NO_2005-04-06.ana.ud1176e952	This shows that the Council of State manages an important department! I have the following questions: ‘According to a study carried out by the Council of Culture Schools, 25 000 children are in line for a cultural school place. At the same time, the differences in parental payment are increasing. 60 of the registered municipalities charge more than NOK 2000 per person. student space. Some municipalities charge more than NOK 3 500 per person. Possible values are: space, space, space. Does the Council share the concern that increasing disparities may threaten the objective of making room for everyone who wants to participate in the cultural schools and that there will be increasing differences in the ability to achieve cultural competence, and what will she do to meet these developments?’
ParlaMint-NO_2005-04-06.ana.ud1176e963	Designation of the music and cultural schools grant was removed from 1 January 2004. At the same time, these funds were put into the framework of the municipalities. According to the information system of the Primary School, which is a statistical database to which the municipalities themselves report, the number of children participating in the offer of music and culture schools has increased from 103 000 in the 2003–2004 school year to 107 000 in the 2004–2005 school year. It is therefore important to point out that while waiting lists are available to enter the music and cultural schools, the capacity of schools has increased. The maximum parental payment rate was unchanged at NOK 1 600 from 1993 to 2004. If this rate had followed the general price increase, it would have been NOK 2 161 in 2005. According to the Norwegian Council of Culture Schools, the survey is not completed and the figures in it are also not quality assured. However, GSI statistics show that in the 2004–2005 school year there is only one municipality that costs more than DKK 3 500 per year. student place, and 21 municipalities that charge more than NOK 2000. The GSI also shows that the average payment rate for the 2004–2005 school year is DKK 1500 per year. student placement, an increase of NOK 234 from the previous year. I do not think this shows a trend towards increasing differences in the cultural skills of Norwegian children, but I will of course follow developments closely.
ParlaMint-NO_2005-04-06.ana.ud1176e972	The study of the Council of Culture Schools is based on a study of 71 pst. by the municipalities of the country, so we are wise to take this seriously. It shows a trend towards increasing differences in parental pay and that too many are in line. This means two things: first, that one is far away from the goal of being a cultural school space of 30 pst. by primary school students, a goal also to the Right joined in the processing of the message «Not Just to Light» and, secondly, that there will be more people who cannot afford a cultural school place. It means less access to cultural competence. It will be important and dramatic for the future. Because in the future there will be an increasing demand for cultural competence. Do the Councils agree with the importance of cultural competence? And if she is: To achieve the goals set by the Storting, action is needed. Can the Council of State assess the lawfulness of the right to cultural education with the roof of the parental payment?
ParlaMint-NO_2005-04-06.ana.ud1176e979	I believe that there is no basis for drawing the conclusions that are drawn here. So the grant and ear tagging were removed from 1 January 2004. That's about. one and a half years ago. We have official Norwegian statistics from the primary school information system. I think I have. The Ministry has been in contact with the Norwegian School of Culture Council and has been confirmed that this study has not been completed. We then note that there are more children in the cultural school now than it was last year and that the average price of the student places is still below the maximum rate until 2004. So I don't think that's the basis for drawing these conclusions. When it comes to the kind of action proposed by the representative here, my answer is that it is not relevant for this government. We appreciate local democracy. I believe that if we don't allow anything to be left to the local politicians, there is really no local democracy. I trust that the sense is roughly the same, and that there is a lot of sense in the individual local government to take care of the cultural school. This also indicates developments.
ParlaMint-NO_2005-04-06.ana.ud1176e986	I agree that the municipalities have taken their responsibility. It is the state that did not take its responsibility until the earmarked grants were put into the framework. I am aware that it was something like believing in Christmas Eve to wait for a positive answer to my question about action. It shows that there is a need for a change of government. A red-green government has committed itself to providing cultural schools for those who wish to do so – what the government parties have also participated in. I think the Council of State debats the study that the Council of Culture Schools has done. I was at a conference a little while ago where there were several representatives of the Councils of Cultural Schools who could report that there were parents who had now pulled their kids out of the cultural schools because they couldn't afford to let them go there. But now let it go. The Council of Culture Schools is, of course, a centre of competence, and the Council of Culture Schools has developed regulations that can remedy the situation now. Is the Council of State at all willing to consider the regulations developed by the Council of Culture Schools, i.e. the Centre of Competence of the Council of Culture Schools?
ParlaMint-NO_2005-04-06.ana.ud1176e997	I am in principle willing to assess everything, but then there must be a basis for it to be necessary. As far as I can see, the municipalities have taken their responsibility. They've gained greater freedom to give priority, because we're no longer earmarking this and detailing the price. As a result, more children now receive the offer and the average price remains below the maximum price. It is the priority of the municipalities when they have been given freedom. I find that a red-green government intends to do something else. For me, it's the same thing as weakening local democracy. Then there is an alternative to choices to weaken local democracy. I do not believe that is necessary in Norway. I believe there is already too little room for action for local politicians to allow us to maintain respect for local democracy in the long term and make it meaningful to be local politicians. As far as the attitude to studies, etc. is concerned, I take it seriously. But it will be exciting to see, if SV ever enters government offices, how SV will then deal with official Norwegian statistics, whether it means something, or whether there will still be half-complete surveys, media essays and random statements that will govern policy.
ParlaMint-NO_2005-04-06.ana.ud1176e1010	My question goes to the Minister of Health: ‘A regular in Oslo has called one of its list patients into an ‘annual health check’. The letter of formal notice states: ‘We remind you that this is outside the fixed medical scheme and costs 950 kroner.’ In the case of questions to the doctor’s office, the patient’s record is checked, and the sister answering the enquiry claims that the patient has entered into such an agreement with the doctor. She claims that the health check is outside the fixed medical system, and that the doctor has a number of hours he can dispose of freely. How does the Council of State view such an action by a permanent resident?’
ParlaMint-NO_2005-04-06.ana.ud1176e1019	The fixed doctor-municipal agreement covers curative activities, i.e.: diagnosis and treatment in case of disease or suspicion of disease. In its activities as a medical practitioner, the doctor is bound by the fees agreed between the State, the Municipal Council of Local Councils and the Medical Association, as shown in the standard tariff. Both the standard rate and the reimbursement rates of the public interest are confined to curative activities and do not include purely preventive services. The doctor is bound by these tariffs in all his curative practices, regardless of whether it is within or outside the opening time agreed with the municipality. Every permanent medical practitioner performs in addition medical work which is not covered by the standard tariff but is paid by the contracting entity. Some of these are required by law, such as medical statements for social security, courts and child protection. Within defined limits, the municipality may impose on the local authority the official medical work of nursing homes, health centres, etc. Health certificate for driving licences or vaccinations when travelling abroad must be paid by the client at the expense of the doctor. In this category, any routine health checks of a purely preventive nature will also fall. The fixed medical system shall cover the needs of citizens for health care at general medical level. A person who is in the fixed medical system has the right to come to the permanent medical practitioner under normal conditions when he/she considers that he/she has a health need for it. If a permanent resident makes a general offer of annual health checks to the population on its list on the side of the fixed medical scheme, it may give the impression that the fixed medical system itself is not sufficient to meet the health needs of its inhabitants. It could be an unfortunate signal to send out to the population.
ParlaMint-NO_2005-04-06.ana.ud1176e1028	I thank the Minister of Health for the answer, as I see it so that the Minister of Health agrees with me that the decision-makers cannot summon their list patients to their private practice in order to achieve greater financial gain. My concern, however, is that this may be the top of an iceberg, and that more decision-makers than the one involved in this case operate in the same way. I am therefore asking the Minister of Health if the Department is aware of the fact that several doctors have this kind of double practice that affects the list patients, but patients are not really aware of it. In this case, there was an up-and-coming patient who reviewed the attempted fraud, but I'm afraid that quite a few patients at all would not have responded, but would have been happy to have an hour with his doctor. In view of this specific matter, will the Minister of Health ensure that the decision-makers are given the necessary clarifications of their responsibilities for their list patients and that this type of private practice cannot be accepted?
ParlaMint-NO_2005-04-06.ana.ud1176e1037	I cannot answer Mr Alvheim's question on an assumed scale, but we should not ignore the fact that there is more than this simple case where this can be a reality. It will be a practice on the side of what has been the intention of the entire fixed medical system. On the basis of this question, I can and will take this up with the Medical Association. And in the light of such a meeting, we'll see if there's a need to clarify the provisions that apply to what activities a doctor may have in addition to what has been agreed between the State, the Medical Association and the municipality in question.
ParlaMint-NO_2005-04-06.ana.ud1176e1044	Thank you. I'm pleased with the answer.
ParlaMint-NO_2005-04-06.ana.ud1176e1053	I have a question for the Minister for Transport: ‘The State Agreement between the Swedish and Norwegian Governments gave the premise for a common toll scheme at Svinesund for the financing of new bridges. The agreement is broken by the Swedish Constitution, because it is added to the toll collection on the old bridge to finance the development costs of the new one. Does the Council of State think this will mean that the drivers will release extra toll loads over a long period of time?’
ParlaMint-NO_2005-04-06.ana.ud1176e1062	The plan has been to start the payment of tolls on both new and old bridges at Svinesund, as the new bridge is open for traffic. New bridge will be opened to traffic on 10 June this year. As the representative Hedstrøm points out, some problems have arisen on the Swedish side related to toll collection there. The solution chosen there is an internal Swedish issue. Discussions are ongoing between the authorities of the two countries in order to ensure that a system is found as soon as possible to implement the toll collection agreement. The Ministry of Transport aims to return to Stortinget with a briefing on this in an overall proposal at the end of April 2005.
ParlaMint-NO_2005-04-06.ana.ud1176e1074	I thank the Council of State for the answer. This with toll collection on the Swedish side is, of course, an internal Swedish matter. But I have gained experience that the Swedish Ministry of Finance has produced a memo on the movement of the two bridges, the new and the old Svinesund Bridge, that toll collection is considered a tax rather than a tax. So even if a constitutional amendment is not necessary, there must be a new law, possibly a regulation, and this law must be consulted. You also need to know about discounts, fares, and the things you hear in good time before you start toll collection. This will take time. Does the Council have any opinion as to how long can the drivers pass over the Svinesund Bridge free of charge? I expect you to work to get common solutions, first and foremost.
ParlaMint-NO_2005-04-06.ana.ud1176e1081	It's absolutely right that we work to find common solutions. We have an agreement that's at the bottom, and that's what we're working from. But if it were to be that way over time you are in a situation where tolls are not paid, it would mean that it would have to be paid longer. So we want us to get started as soon as possible with the toll collection, and then preferably when the traffic opens, so that we can end the toll collection at the time of the intention. In addition to that, I find it difficult to make assessments of how to attack this in Sweden, and what assessments are made in relation to Swedish legislation. We'll get back to Stortinget with a briefing on this.
ParlaMint-NO_2005-04-06.ana.ud1176e1088	I thank the Council of State for the additional response. With regard to toll payment of road systems, including bridges, this is something new and untapped in Sweden. And based on the information I've collected, it seems that the Swedes will agree to different rules for this from what we have in Norway, and that there will be problems with a coordinated collection at Svinesund. I expect that the Road Directorate and the Department have looked at these things in terms of the time aspect of putting in place proper arrangements. Is the Council of State now facing a problem that the collection costs may be higher because it is becoming more difficult to coordinate the collection?
ParlaMint-NO_2005-04-06.ana.ud1176e1095	It is a goal for us that the collection costs should be as low as possible, so that people who travel on the road and pay their tolls will experience that they will get the most possible road solution and infrastructure solution for the money spent. We have the agreement that lies at the bottom, and that's what we're working from the point of view of the solutions that need to be put in place. In addition, it is difficult for me to comment on this further before we can get back to Stortinget with the matter.
ParlaMint-NO_2005-04-06.ana.ud1176e1104	I want to ask the Minister of Defence the following questions: ‘The defence may save millions of people liable for protection from civil servants. As an example, 38 sheltered auxiliary chefs in Troms could be replaced with a few civilians and thus saved the defense for 3 million. kr annually. Does the Council of State agree that it is necessary to consider what our soldiers should be used for, that the defence is more likely to allow soldiers to be soldiers, and that more ‘sivile’ services are handled by civilians?’
ParlaMint-NO_2005-04-06.ana.ud1176e1113	For a long time, there has been a aim to reduce the use of guardians in support services, simply because the guardians have to have an interesting and relevant service and because it will help to raise the status of the first-time service. Therefore, it could have been tempting to answer very briefly and well and only answered yes to this question. In fact, the question mainly reflects the government's policy on key issues in the modernisation of defence: We need to turn the operation from support activities to operational services.We need to raise the status of those under protection.We need to use civil resources in areas that do not require specific professional military competence. However, it is important that one measure does not slow down the implementation of the other. During the current planning period, the Stortinget has given a very high priority to a reduction of 5000 annual works, because it provides the largest operating savings and at the same time is a prerequisite for carrying out structural rationalisations. The defence now assesses different models of regional support activities, including: based on the minimum use of protective agents in such functions. At the same time, we need to ensure that the current solutions meet the need to continue and further develop the apprenticeship system in Defence, and this includes the cooking profession. We must not forget that for some guardians, service in support functions can be meritorious in relation to future civil careers. Nor should we forget that the defense needs to cook both for exercises and for international operations, and that this is part of an overall competence that the Defense needs. The defence should be able to continue to offer e.g.: cooking services for those who wish to do so and for those who, for various reasons, are unable to provide the initial operational service. I would also like to add that according to a study carried out by the MMI in November 2004 among those who have completed the initial service, 81 states pst. that they enjoy much or quite well in the initial service, and 75 pst. states that they were very or quite satisfied with their duties. That means there's a lot of good in today's protective duty. However, the objective is clear: the number of soldiers in support functions shall be reduced to a minimum and the human resources shall be adapted to maximise cost-saving effect. The reduction of annual works is planned, so that it is possible to adjust the layout of the individual departments as well. It can open up arrangements such as those outlined at Setermoen, as the representative Bredvold uses as an example in his question.
ParlaMint-NO_2005-04-06.ana.ud1176e1144	I thank the Council of State for the answer, which was an answer that I am very pleased with. It is clear that the defence budgets are to defend as much as possible – and, as far as possible, to the pointless end. So as much defense as possible for every penny, that's good. When you see that by reducing the number of soldiers in certain services, which in certain situations can be carried out by civilians, thus saving money, you have to be right. In this way, I interpret the Council's response as positive. At the same time, it is true that the Storting decided that we should reduce the number of employees by 5,000 men, which is not easy, but I understand and agree that we are on the right track. I believe that the Council of State and other defence friends should come to a good solution to this. Because it is clear that in certain positions a number of civil service soldiers can be replaced with permanent civil servants. So I thank the Council of State for the answer and do not have any follow-up questions.
ParlaMint-NO_2005-04-06.ana.ud1176e1156	I am pleased that the answer is considered satisfactory. It's starting to become a weekly tradition that we two have our passions here, and that's actually a nice part of the job. I am pleased that we have a common objective, both that protective workers should have a meaningful service, and that within the reduction target we should manage this in a flexible way.
ParlaMint-NO_2005-04-06.ana.ud1176e1168	I will be asked a question to the Minister for Modernization: «In the treatment of St.meld. No 17 On State supervision, the government parties, the Workers' Party and SV entered into an agreement in 6 points. [[2002-2003]] Paragraph 5 deals with the conditions and rights of employees. This was clarified in the year's budgetary procedure and supported by the same batches. The government's objective was that the maximum number of employees should choose to move with, and the agreement specifies that additional incentives should be provided to achieve this. This is not done well enough and employees are treated differently. What is done to follow up the contract?’
ParlaMint-NO_2005-04-06.ana.ud1176e1177	The government wants the removal of supervision to be such that most of the employees move with it. A wide range of economic instruments have therefore been put in place for employees to achieve this objective. The allocation of the State budget for each supervisory move is based on a cost model designed to address the challenges and specificities of the various supervision activities, such as: in relation to the age and education profile and relative to the distance from the new geographical location, adapted to the different assumptions of the supervision in the process before them. My department has concluded a central special agreement with the main associations of the state that regulate the use of instruments in the geographical movement of enterprises. There are, among other things: different solutions for commuting schemes, wage subsidies for standing in position, cover for removal costs, cover for tour expenses and extra mortgages in the State Pension Fund. It is also possible for employees who are unable to move, to receive termination benefits and study benefits. In the case of workers exempted from the mobility obligation, it is possible to apply for a waiting wage. This applies mainly to older workers, who are assessed as local jobseekers in accordance with Aetat’s legislation. The Ministry of Modernisation, in consultation with the main associations of the State, has made it possible for the employer to determine how the various financial instruments can best be used within the centrally provided framework. In addition, the Ministry of Modernisation has set up its own programme of career development, which is an offer to all staff in the supervision during relocating. The measure is partly financed from the budget of the Ministry of Modernisation. The heads of staff of the supervisors have received their own network offer and follow-up. The use of career development as a tool to improve the basis for decisions on further job choices for individual employees. The action has been very well received. The Ministry of Modernisation has confirmed from the various supervisory bodies that the processes are in line with planned progress plans and that there are no serious difficulties in maintaining and recruiting employees for supervisory purposes. In cases where specific challenges arise, such as: have been made in relation to the Air Safety Authority, the circumstances will be submitted to the Stortinget as its own case.
ParlaMint-NO_2005-04-06.ana.ud1176e1190	I would like to thank you for your answer. We get various enquiries from employees in the various supervision units that say that one is divided into key personnel, not key personnel, and not wanted to be part of a transfer staff. Of course, it is cheaper for these inspections to employ, for example. office staff in the various locations. It's not hard to recruit, and it gets cheaper when you move out. We're quite concerned about this, and we've clarified this twice by a majority, and we re-examined this in the committee when examining the budget for the year. We've clearly said that here you need to stimulate everyone to move, regardless of whether you're a key employee or not. I want to challenge the Council of State: can the Council of State say quite explicitly that this is an offer for all employees?
ParlaMint-NO_2005-04-06.ana.ud1176e1199	I stress that when transferring supervision, it is a clear objective that the maximum number of employees should move with. There is a significant instrument that has been made available for supervision to achieve this. There will always be some major challenges in such a process for single employees, but I have every reason to trust the leaders who are responsible for the relocation of these supervision. I have every confidence that the employees' interests are well taken care of, and that the instruments are used as Stortinget has foreseen. This does not mean that every employee can expect – let's say – equal treatment. After all, it is absolutely necessary to adapt the instruments to the individual worker in question, and that room of action has, of course, the Heads of State or Government. As I said, I have confidence that the manager uses that tool well and with the employee's interests in mind.
ParlaMint-NO_2005-04-06.ana.ud1176e1204	Thanks for the answer. However, we have clearly said in a majority, in an agreement, that employees should have the opportunity to move out, have equal opportunities, and that they should be stimulated, and that is the responsibility of the Council of State. We also said that the right of preference must be made real, as Stortinget promised in connection with the treatment of St.meld. No 17 for 2002-2003. The case was raised by LO State at the time the Ministry of Labour and Administration, now the Ministry of Modernisation, in June 2004. A group of parties assessed whether the State’s preference could be improved. No matter what this main association proposed, the proposals were totally rejected by the ministry. I could imagine to hear why it worked this way.
ParlaMint-NO_2005-04-06.ana.ud1176e1213	My impression is that along the way in this process there has developed a very good cooperation between the main associations and my department as head of the Ministry of Employers, and that the processes associated with the relocation of supervisors are now in a good position with relatively small problems, problems that are manageable in each case. I stress that where challenges might arise that have a greater scale, of course, the Storting will be briefed on that. I think we are now at a crossroads where we can enjoy the follow-up to an important decision, where we spread important skills jobs across Norway. I think we're doing a job now that means that this shift of supervision will be characterised as successful and hopefully will be a further lead to continuing this policy.
ParlaMint-NO_2005-04-06.ana.ud1176e1222	I allow myself to ask the Minister for the Environment the following questions: ‘New figures from the Statistical Central Bureau show that construction in the coastal zone continues to the same extent as before. In 2004, 72 p.m. of the exemption applications from the construction ban granted. This leads to an increasing proportion of the beach zone becoming for the few who are being built, while the public is getting poorer access. What will the Council of State do to reduce the construction of the coastal zone?’
ParlaMint-NO_2005-04-06.ana.ud1176e1231	I'm particularly busy avoiding bad construction in the beach zone and ensuring traffic for the public. I am therefore pleased that the representative Klungland should focus on this. The numbers that are referred to here are not finite. Final figures for exemptions for new buildings in the 100 meter belt along the lake for 2004 are not available until mid-June. However, I would like to highlight the need for an offensive and forward-looking coastal zone management. Strandsona is mentioned in St.meld. No 21 for 2004-2005 on the government's environmental protection policy and the state of the state of the state of the state of the state of the state of the state of the state, which was submitted just before Easter. The message suggests a number of actions and tools to improve the coastal zone management. The government will challenge municipalities, county councils and county councillors to a strict practice in dealing with planks and exemptions in the 100 meter belt. The government will set up your local government to clean up coastal zones. The government will secure and fix the most attractive areas in the beach zone. The government will establish a nationwide coastal zone management network. The Government will give priority to coastal zones in the follow-up to the Planlov selection process. The practice I want for the beach sonals comes, among other things. as expressed in the decision of 22 March of this year on the Post and Telecommunications Authority’s office building in Lillesand. I chose to take countermeasures from the state to the order and did not confirm the regulation plan. I mean, the location of the building in the 100-meter belt is in conflict with national coastal zone policy. I believe that the measures I have taken will provide a better development for the coastal zone in the future.
ParlaMint-NO_2005-04-06.ana.ud1176e1254	I notice what the Council of State says, and thank you for that. This is a matter that we in the Workers' Party have raised repeatedly, and we have basically received the same answers, regardless of government councils. I do not think it is good enough to show an example in Lillesand in relation to the Post and Telecommunications Authority, when one is now facing a situation in the neighbouring municipality where there is talk of the Christian People's Party, the Right and the Advance Party granting a derogation for 853 sea arcs to be built into cabins. I have asked the Council of State earlier about this, and he said that it is the municipality that is responsible for land management, and that they will have a cooperation with the county council and the county council. Today there is a look-up in the Fädreland friend where they from the county municipality say that the municipality has not made contact, and that the county municipality or county has not been involved in the picture in relation to the situation that has now arisen in Kristiansand. What will the Council of State now do to ensure that there will be proper proceedings in that municipality?
ParlaMint-NO_2005-04-06.ana.ud1176e1265	I do not want to go into the specific matter that is being dealt with in Kristiansand tied to the sea arcs on Flekker Island. It comes about that there is a case that can well end up in the department, and if she does, I will of course decide on the matter. In my dialogue with the statesmen, I have stressed and asked that an add up to a very strict practice associated with the handling of matters in the coastal zone, and that is because the developments we see today cannot continue. That's why I have taken the initiative to meet with the statesmen and asked for a firm practice. Yesterday I had the joy of being with all the country's country spokesmen. I also asked the county councils in their planning cases to take care of the beach area issue in order to get to a strict practice. I mean, I have the tools today to keep it up. In all the cases that come to me, it is important for me to put up a strict practice just to take care of the beach sun.
ParlaMint-NO_2005-04-06.ana.ud1176e1274	With the evolution we see in relation to the beach zone, it should soon be up to the Council of State that it might have to do more than just talk and recommend. So now it turns out that the municipality after the municipality does not follow up what the council says. We in the Workers' Party want stronger regulation in order to have more stringent practices in this area. Former Minister of Environmental Protection Børge Brende refers to the possibilities of municipalities if these sea arcs are used illegally. For example, he shows that they can be imposed, that they are liable under criminal law when using a sea bow, and that they can use the law on planning and building and, where appropriate, provide for periodic penalty payments to implement the law. Are there any things that the current Minister for the Environment will consider?
ParlaMint-NO_2005-04-06.ana.ud1176e1283	As I said in my first supplementary answer, I don't want to comment on the things that are currently going on in Kristiansand, and that's because we don't know about the developments further, and about the things that might come to the department. That's why I don't want to say anything about it right now. But I want to refute that this is just talk. So we're giving instructions to our statesmen about a strict administration. As a result, all plans that conflict with the national targets will object and thus end up in the ministry. We also know that when it comes to the specific issues, the statesmen can react to them, and they will then come to the treatment of a member of the prison. So the policy that's being pursued, with the strict practice, becomes important when it concerns both the specific issues and the planning issues.
ParlaMint-NO_2005-04-06.ana.ud1176e1288	So the ordinary questioning strategy is over.
