ParlaMint-NO_2005-03-18-lower.ana.ud778e45	The representative, Torbjørn Andersen, will make a private bill.
ParlaMint-NO_2005-03-18-lower.ana.ud778e784	A short note at the end. The representative Reikvam says that SV approaches this issue in a principle way and is a little tired because he meets criticism that he has done so. I think to the extent that it is very good that he tries to approach this in a principle way, but then he has to be able to tell what the role of the state should be in relation to religions. Therefore, it is wrong to say that this debate is not about whether or not to have a religious-supporting policy. Because then he doesn't take inward that even a state has to deal with religious communities and different religions. The State must recognise that there is freedom of belief and that there are some fundamental rights to be met. Then it's also about the state having to facilitate conditions so that religious communities can work in line with their mission. In fact, something else is to say that the state should not have a religious-supporting policy. I think that the principal idea behind Mr. Requam's speech today was deficient. Finally, I would like to say that I am pleased that the representative Blackevik quoted the strong comments of the Advancement Party on the training of faith, and I am pleased that there is now also a stronger commitment to it. I will insist that in budgetary terms, the Progress Party has been restrained in facilitating the reform of the faith. But I like new signals.
ParlaMint-NO_2005-03-18-lower.ana.ud778e795	I need to be able to clarify what I thought was nonsense – it is an expression that should not be used, I understand. I am asking for a reason for calling something of what the representative, Mr Rikvam, said, a customs duty. The point for me was to stress that the fundamental debate is important and serious. I'm kind of admiring how a mind can hold on to the principle here, while I'm a little concerned about reality, whether one should be able to cope with the principle. What I meant was not fully expressed right in the representative's posts, was that we pushed something at the Church. We have tightened up the Church's possibility, and that's what I thought it was not quite right to express that way. We have streamlined the Church's ability to use the school and the school. We don't push anything, but we say that in those cases that are absolutely necessary, a few laws should still be given. That's what's important for me to emphasize here. The fundamental debate is quite interesting, and I am very much in agreement with the principle that the representative has, but at the same time we must live in the real world. In fact, in the example of the two that stand on the pier, if we're going to break the principle, they won't be offered confirmation training. That's the offer I don't want to take from them. I know that Church is good at creating all sorts of arrangements, both in relation to trust training and in relation to confirmation training in particular, and they are not in school as before – all of this I am very well informed about. It must also be possible to do this without having to hold the elephants back perhaps until the day after, or having to move on to the furniture to receive confirmation training, or such things. That's what makes us some people in principle. We see, however, that here we must have a practical approach to the principles that I believe most people here agree with.
ParlaMint-NO_2005-03-18-lower.ana.ud778e802	I am sorry that it is actually necessary to have some three-minute posts on a Friday afternoon. It was a formulation that the representative Rikvam used in one of his lines, which I would like to comment on. He says that the majority say that belief training is still going on in school. That's actually not what we're doing. We say in our legal text that faith training should not take place in the school's time, but that in exceptional cases it can do so, and then in agreement with the municipality. So, as the Council of State says, this is a strong tightening. The principles are there. I don't just agree to some extent with the principles that the representative Rekovam so strongly advocates, I fully agree with him, but it is such that principles without any practical thinking in addition are almost worthless. There must be opportunities to have practical approaches that can make this an offer to all. I think the example of the Council of State of these who are on the pier is very good, because that is what is real in many places. Then I find out that I have not received an answer to my question about how SV will really prevent the communities from adding faith training to the SFO, even outside the SFO premises. There is no such legislation, nor should it exist, which allows the State and Stortinget to regulate the provision of leisure time in our 432 municipalities, as SV clearly wishes. I'm glad that this code does not exist, I'm glad that the majority does not want it to exist, and I'm glad that there should still be a freedom to provide the good leisure opportunities in the many municipalities, even if there is an SFO activity. So I'd like to say in the end that I hope that the great consensus we've had in these years about the principles behind the training of faith, regardless of how a person wants to finance it, still has to be there. So this is a reform that is too important for it to be squandered in disunity about individual questions and individual details, which, after all, is. We must not forget what is the great perspective and the great visions of the training of faith, and there we must really stick to the great consensus we have had in raising it further. The broad majority I hope is still there.
ParlaMint-NO_2005-03-18-lower.ana.ud778e818	The President fully understands that a person is clarifying the content of the legal text. I have previously practiced vague laws in this area in my life. Otherwise, one might refrain from rhetorical things.
ParlaMint-NO_2005-03-18-lower.ana.ud778e821	Some of us don't speak in the sequences. Now that I am the case rapporteur, I would like to make some comments. For the left, we are very clear against the state church system of today. We believe that there is a need for a clear distinction between the community institutions we have, both in terms of life's views and religious background, and their role in our society in relation to the different religious communities. We want a review that clearly separates this. I believe we have now joined in. Fanatism is something that is not only reserved for different religious outcomes or sects, fanaticism can be found in many areas. I believe that what is in the SV's comment on the SFO is having very many strange effects in reality, because that means that one says that there are a number of activities that one is not allowed to do because the municipality operates with a voluntary offer. It is a rather unique wording we have here today, because that means that a party in our Parliament believes that as long as a voluntary offer is made by the public, some others should be disqualified from engaging in other voluntary offers at the same time – at the same time! It is a unique and quite fundamentalist position. It is quite amazing that we really have it today. It's special, what we're doing today, and I think it might have come out of focus with the other discussions. This is about the freedom to choose, and here you want to take away a freedom. It's all right in itself, but now you want to dissuade some right to have another type of voluntary activity. Seen in historical relation to the origin of the SFO, and seen in historical relation to what it was the parties that wanted to introduce this scheme, thought it would be, it is also quite unique. I don't think SV would have dared to stand on that position if they had thought they would have a majority for this today, because it could have opened up interesting discussions relating both to human rights and to the right to engage in voluntary activity in other areas – yes, indeed the right to freedom of organisation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e832	Rolf Rikvam has had the word twice and gets the word for a short remark, limited to 1 minute.
ParlaMint-NO_2005-03-18-lower.ana.ud778e836	I don't know if there's any sense in trying to repeat what I've said before about our remarks. It's obvious that Trine Skei Grande has not read our comments. We have written clearly what is the purpose and what is the reason for these comments, while also saying ‘when this means that children have to choose between SFO or faith training’. So her claim falls on her own unfairness, because that's not what we write, that's not what we mean, just that it's clarified. Then I want to say one more little thing, and it's about religious-supporting politics. When we dealt with the paper on faith training, we discussed religious policy by saying that all religious communities, all life-vision societies, should receive support. It wasn't just the Norwegian Church, it was everyone. This was a way to secure everyone by providing public funds, so that all religious and life-viewing societies could similarly carry out their training of faith, that is, to facilitate everyone. That's what religion policy is. What we are discussing today is not religious policy. We are discussing the relationship of the Norwegian Church with a few areas, and then there is no religious policy. We must not in any way interfere with religious politics in this. The debate on religious policy must be taken into account. We get a lot of chances in the next period. In the end, I'm sorry about what I said to Jan Olav Olsen, this with the majority saying that one should add it to school time. The right thing is, of course, that you can make an opening for it to be done, just to clarify it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e848	OK, we accept the clarification. Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 427]]
ParlaMint-NO_2005-03-18-lower.ana.ud778e866	When I take the floor in this case, it is to express pleasure to the Council of State that she promoted a proposition on this matter, and glad that it is a unanimous vote by the Committee. It is stated in the Committee's proposal for Decision II: «Liabilities from the time the King has been established». At the same time, the statement under Summary begins, that «the council may derogate from the rule on age limits for proponents». It is clear that this is now being met with great expectation by some leaders of freedom, as we call them. Their problem, as it has been presented to me, is tied up with the fact that we are now going into a season where, among other things. Weddings get a greater extent. It is therefore desirable that this law be implemented relatively quickly. The reason why I take the floor here is to recommend – and request – the Council of State that the implementation of this law can take place quickly, so that the county can apply for a derogation, which this allows. As it is now, the statesmen say consistently no. There are some leaders who want to be able to make weddings in the spring months and in the summer, so my contribution is summed up as follows: The time the King determines must not be far ahead of time.
ParlaMint-NO_2005-03-18-lower.ana.ud778e873	It's nodding from a particular team. Several have not asked for the floor on case No. 4th@item: inlistbox [[Footing, see page 430]]
ParlaMint-NO_2005-03-18-lower.ana.ud778e883	The odelsting shall then vote against the case No. 1 to 4.
ParlaMint-NO_2005-03-18-lower.ana.ud778e947	The party of progress has announced that they will oppose it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e960	It is voted over the title of the law and the law as a whole. The President assumes that the Progress Party also opposes the title of the law and the law as a whole.
ParlaMint-NO_2005-03-18-lower.ana.ud778e974	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1017	The party of progress has announced their opposition.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1239	The Socialist Left Party has announced that they will oppose it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1298	The party of progress has announced that they will vote against it.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1407	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1417	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1425	Four proposals have been put forward during the debate. It's: the proposals No 1 and 4, by Eva M. Nielsen on behalf of the Labour Party proposal No. 2, by Arne Sortevik on behalf of the Progressive Party, the Socialist Left Party and the representative Jan Simonsenproposal No. 3, by Arne Sortevik on behalf of the Progress Party and the representative Jan Simonsen
ParlaMint-NO_2005-03-18-lower.ana.ud778e1499	The President assumes that the Socialist Left Party and the Central Party are against this paragraph. The President also assumes that the Advance Party and the Workers' Party will vote in favour of the vote.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1521	There is a proposal here, No. Four, from the Workers' Party. The proposal was submitted after 8 p.m. Ninety-nine, but the president will suggest that there is still a vote over. The proposal reads as follows: ‘In Act No. 7 June 1996 No. 31 on the Norwegian Church is amended as follows: The church meeting may approve direct elections to the Council of Churches and the Council of Bishops. Further conditions are laid down by the Church Meeting.» The proposal and the vote will be replaced by a vote.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1534	We will first express our primary position related to section 24 seventh paragraph. Then we will vote subsidiaryly afterwards.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1541	Then we vote first on proposal No. 3, from the Progress Party and the representative Jan Simonsen, as far as Section 24 is concerned, the new seventh paragraph. The proposal reads as follows: ‘In Act No. 7 June 1996 No. 31 on the Norwegian Church is amended as follows: The church meeting may, without prejudice to the provisions of the law here, approve trials with a two-year term of office and direct elections to the Council of Churches and the Council of Bishops. The conditions for each experiment are determined by the Church Meeting.»
ParlaMint-NO_2005-03-18-lower.ana.ud778e1561	Then we go to where we were a moment ago. It is therefore a matter of proposal No. Four, from the Workers' Party. Alternatively, between the proposal and the vote. – Are there any more recordings now?
ParlaMint-NO_2005-03-18-lower.ana.ud778e1568	If we vote as an alternative, we will not have the opportunity to vote against what we are going to vote against, namely direct elections to the Council of Churches and the Council of Bishops, which is part of the seventh term. So we can't vote alternately. First, we must vote on the Labour Party's proposal, and then we must be allowed to vote against direct elections to the Council of Churches and the Council of Bishops.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1573	Yeah, that's got to be okay. That is when proposal No is voted on. Four, from the Workers' Party.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1588	President! I have voted wrong. I ask that the vote be taken again.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1595	We're going to do that. We might have a challenge now. [[Small pause]] The question is whether there is majority support for the Workers' Party's proposals. If it gets a majority, the setting will fall away. There's been a little bit of a fuzzy signal, to say it like this. At least it has not been fully captured at the presidential table how the individual parties behave. But it shook its head. I'm interpreting it so that we can take up the proposal, as it was originally put up to, and then...
ParlaMint-NO_2005-03-18-lower.ana.ud778e1604	Is it possible to divide the voting between the sixth and the seventh terms?
ParlaMint-NO_2005-03-18-lower.ana.ud778e1611	We're done with the sixth term. I had, to put it straight out – with the experience both yesterday and today – appreciated that someone prepared their vote before a sitter and will vote. Now let's take up the proposal from the Workers' Party. Those who support it, use the pre-button and sit...
ParlaMint-NO_2005-03-18-lower.ana.ud778e1618	President! We have stated that we will vote subsidiaryly when the Labour Party's proposal is set against the vote. We have made that clear in advance. But now we're going to have a different voting arrangement than what we've decided before voting.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1625	From what is now said, the President must ask the Socialist Left if they intend to vote against both sides.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1628	We will vote against direct elections to the Church Council.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1635	What terms? Will the Left Party vote against both sides or not? The content I can't go into right now.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1638	We're going to be in parts of the setting. But we shall vote against what goes on at direct elections to the Council of Churches and the Council of Bishops. We've prepared that.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1645	It's going to be very hard to break up sentences. But I'm holding on to what I said before. The vote should be clarified before voting, and especially if one is to go so far as to break up sentences. The president takes a little hour out, so we're going to clarify how you're going to vote. Pronounced after a delay
ParlaMint-NO_2005-03-18-lower.ana.ud778e1654	Now I'm not the president completely, but the other vice president. My advice to those who have such proposals is that they definitely clarify voting in advance. Now we're going to follow the strong request of the Socialist Left Party and vote over a sentence in the middle of a paragraph. We can do that, because the president assumes that there is no majority for this. Those who support the proposal of the Socialist Left Party that the words ‘and direct elections to the Council of Churches and Bishops’ be taken out of the seventh paragraph of Section 24 use pre-button and sit. Those who vote for the setting for this part of the paragraph use the counter-button and get up.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1673	We can now vote alternatively between the Committee's position on the rest of the seventh paragraph of Section 24 and the Labour Party's proposal? - It's nodding.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1694	There is an aberrant proposal here. That is proposal No. 2, from the Progress Party, the Socialist Left Party and the representative Jan Simonsen. The proposal reads as follows: ‘In Act No. 7 June 1996 No. 31 on the Norwegian Church is amended as follows:§ 36 is replaced by the following: Confirmation training may not be added to the school’s time.’;
ParlaMint-NO_2005-03-18-lower.ana.ud778e1729	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1739	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1775	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1785	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_2005-03-18-lower.ana.ud778e1796	There is no record. The President wants all the good Easter!
