ParlaMint-NO_2004-02-10.ana.ud2319e45	The representative Knut Storberget, who has been on leave, has once again taken his seat.
ParlaMint-NO_2004-02-10.ana.ud2319e782	I think there may be a conflict between liberation and coordination, just as I think there may be a conflict by not releasing and coordinating. The question is: what control signals do you give in the case of a stand-off, and how do you do that? I have stated a few times that I do not believe that everything that has happened to exemption in Norway – even if you have used the same concept as for example. the right has stood for – necessarily has been the implementation of our policies. It's like not enough to drop the detail management from Stortinget and appoint a former State Secretary from the country's largest party as the leader to necessarily release according to the right principles or modernise. It is very important that there are proper control signals. One of the important things about our government's modernisation programme is that we should delegate the possibility of taking decisions locally. At the moment more decision-making powers are delegated downwards, e.g.: in the social fields in which the State cooperates with the municipalities, there is a greater opportunity for local coordination. At the same time, this is a reason why we believe that municipalities should have more of the responsibility: the politicians who are closer to the processes.
ParlaMint-NO_2004-02-10.ana.ud2319e794	The power selection points to something similar to the power statement, namely that deregulation and reorganization have led to the centralisation of certain tasks. The Council of State has no emphasis on geography and coordination as important factors in urban policy and regional policy. I want to give the Council of State the opportunity to elaborate on how it looks at a strategy for a better regional distribution of government activities. Will the Council of State agree to a strategy that will increase the commitment to rural policy, strengthen infrastructure and increase regional power to achieve such a goal?
ParlaMint-NO_2004-02-10.ana.ud2319e799	It is true that deregulation and reorganisation lead to more centralisation. But then one has to ask the question: why does it happen? This happens, among other things: because technology makes things change significantly. We can use computer-based technology, for example. implement a simplified treatment of all people's declarations, which means that we don't need to have an equality office in each municipality. We need to have offices that have better skills and that have a different kind of competence than before, and they obviously have to work together in larger units. It's awfully easy to talk about such concepts without talking about what is the world of reality. Should we, for example, do this? had as many phone calls as we have today, with the technology in 1950, we had all been sitting and plotting telephone cables to handle it. It is clear that the type of jobs disappears at the moment technology evolves. I am in favour of a strategy for regional investment. But I'm assuming that we're not necessarily going to agree on what the content at that time is going to be.
ParlaMint-NO_2004-02-10.ana.ud2319e808	The Labour Party believes that there is a need for a capital message because the Capital Region is special. But after listening to the state council here today, it is clear that she still believes that there is no reason why we should have a separate capital message. The problems that lie here are to be dealt with in completely different ways than through a special message. But now it's like right-wing representatives at Stortinget are of a different opinion, and that's good. Now we get at least a majority to have a message. My question to the Council of State is therefore: does the Council of State continue to agree that the capital area does not have special challenges, both in relation to the East and in relation to the rest of the country, but also in relation to other metropolitan areas in the Nordic countries and in Europe?
ParlaMint-NO_2004-02-10.ana.ud2319e815	I have to say that I am a little surprised to get a line that assumes that I should have said something that I have not said anything about so far in the debate. One assumes that I have said that we do not need a capital message, but I have not yet stated the question at all. I think we could have had debates where the premises were rather to be open in relation to the questions. I see many reasons why we should focus specifically on the capital. I'm a little uncertain about what the premises are for why we're going to deliver a capital message. I feel that the premises for the Workers' Party are moving towards spatial planning. I would like to remind you that a NOU has been delivered that has a full review of this question. The answer cracks all the ways. Two governments before this government did nothing more about it, precisely because there was no clear answer. So it would have been quite possible for Karl Eirik Schjøtt-Pedersen to press on to get this to the Stortinget, when he himself was in government at that time. It's one of the themes. The second theme, which was also addressed by Bjørgov Froyn in his post, concerns many different areas and social issues, and about making great expectations of this. We're going to make a message where, in that case, we're going to talk to the Municipality of Oslo about how their definition of the main problems is. Then we have to take that as a starting point, and look at how we coordinate the state in relation to it.
ParlaMint-NO_2004-02-10.ana.ud2319e825	The cord shift is over.
ParlaMint-NO_2004-02-10.ana.ud2319e828	President, can I have the floor for a manifest misunderstanding?
ParlaMint-NO_2004-02-10.ana.ud2319e835	No, not after a string exchange with five lines. Let's go back to the list of speakers. Tore Nordtun is given the opportunity to climb the pulpit, and get to hold for the whole 5 minutes.
ParlaMint-NO_2004-02-10.ana.ud2319e840	Thank you, President! I believe that this message addressed by the Stortinget today is a step in the right direction in terms of an effective and comprehensive metropolitan policy in Norway. In the context of a modern regional policy, this will have to be taken into account, with urban policies and prospects for the development and future of the major cities, in a number of areas that have been done in the past. I'd like to mention three observations that I think we can agree on. One is that these urban regions play a very important role in the settlement, not only for this big city, but also for the settlement and employment opportunities in the districts – in other words far beyond the city’s borders. The second point is that urban regions are also centres for a formidable value creation, they are centres for knowledge development, and they contribute to the development of a robust business life with international competitiveness as well. And we can't ignore the third point either. It is that in these cities we have the worst living conditions, not least for individuals and individuals. And a goal of geographical cohesion of living conditions in Norway requires a special investment in big cities if we are to achieve a cushioning and improvement policy that we can be proud of. I'll quote from the message: ‘The major cities and metropolitan regions are particularly vulnerable to the adverse consequences of the lack of coordination of government policies.’ This is a very important observation and an important point. The need for state coordination of state policies is reinforced in the metropolitan regions due to greater pressures and pressures on infrastructure, housing markets, social services and other conditions. This we must take in when we set up our budgets, when we decide the strategic appropriations, when we take our strategic decisions. One of the problems in urban development is the lack of coordination of planning, not least of land use in terms of transport and agricultural land. The new Plans Act must provide for the most comprehensive planning possible. In particular, there is a need for a new regime for planning in metropolitan regions. The metropolitan regions include several municipalities, not least in the area I come from, the Stavanger region, where we have many municipalities that are infiltrated into the same labour market, in the same housing market, in the same experience market, etc. However, models are needed in which municipalities and metropolitan regions can jointly arrive at and adopt a binding plan for the future shape of land use. As I see it, the Plan Committee has not found any good solution to just these questions. In my view, the proposal that the sub-plans should have a binding effect on land use is not entirely satisfactory. But I assume that the big cities will be able to play the role they are intended to play in regional development, both in their respective parts of the country and in Norway, by just systematically investing in big cities across a broad field, and in culture, in research and education, in innovation, in internationalisation, and in communication. If we don't have a broad commitment in all these areas and coordinate properly, the big cities will suffer for a long time to come. In other words, there is a call for a stronger willingness to address the proposals of the major cities to abolish the distinction between national cultural institutions and regional sub-institutions and to assume overall responsibility for the financing of the main cultural institutions in Norway. I have also missed the will to step up research efforts, both in relation to and outside universities and higher education institutions, in the metropolitan regions, as part of a Norwegian policy for innovation and increased competitiveness. Doing colleges, among other things, in Stavanger and Agder to universities will contribute very well in such a direction. Finally, I would also like to point out transport investments around the metropolitan regions, which can provide opportunities to maintain a scattered settlement, by involving municipalities on the outskirts in the labour market of major cities.
ParlaMint-NO_2004-02-10.ana.ud2319e867	I will be commended to the Municipal Committee for its proposal that we need a separate Capital Communication, and will also refer to the majority of the Committee, which points to further consideration of the specific challenges and opportunities of the entire Capital Region. The Council of State now said in the line exchange that it was important to talk to the Municipality of Oslo first and foremost, and that is good and good. But as others have stressed, a capital message must have a slightly larger perspective and not just stay within narrow municipal boundaries, but see the whole of Stor-Oslo in a context. When you read the comments in the settings, you can get the impression that some parties believe that positive development and growth for the metropolitan regions in general and the Oslo region in particular are to the detriment of District Norway. This is a big and serious misunderstanding, a misunderstanding that unfortunately has cost taxpayers billions of dollars over many years, and unfortunately has not been shown to prevent either the relocation or the closure of jobs in exposed districts. The Capital Region is an engine for national development in very many ways, not just a hub and a meeting place, but a particularly important region for research and development and innovative industrial development. A quick look at the source of tax revenue in Norway also clearly shows that Oslo and Akershus are important – not to say decisively – for good welfare services throughout Norway. However, in order to be the necessary national engine and an attractive region for Norwegian as well as foreign companies, something more than a repatriated country is required without willingness to make the necessary priorities. The centre party and SV point out in their comments an opinion of the Executive Director of Oslo Teknopol, Knut Halvorsen, which indicates that infrastructure development in the Oslo region does not keep pace with the growth of the region. And here we are at one of the core problems: today's policy, in addition to the policy that has been pursued for many years, unfortunately contributes to a slow suffocation of the Great Oslo. In this house, with few exceptions, there has been no willingness to ensure that road capacity in this region rises to an acceptable level. Lack of infrastructure development in the Oslo region is not an isolated problem for those living here, but equally a national problem. The industry in the districts needs a road system to get the goods to customers, whether they are in Norway or abroad. Therefore, the truth is that what is good for the Oslo region is good for Norway. Another example where the Oslo region loses is in the fight for public seed resources. The central eastern region must not participate in the new cereal funds, and the potential for growth in new innovative enterprises, such as small and medium-sized enterprises. thus considerably reduced in relation to existing research environments in Oslo and Akershus. Here we are witnessing a policy that actively undermines business start-ups in Oslo and Akershus. The Capital Region — and its positive development — must become a national priority task. As a country on the outskirts of Europe geographically, it is important to pool the resources needed to create regions that can also be attractive internationally. We see that this has happened in other European countries, for example. in Ireland. Government parties are strongly attached to good general conditions, and that is good and good. However, if we are not willing to prioritise our national engine separately, we do not get an Oslo region that can be the necessary vitamin injection for nutritional development throughout Norway. Even more wrong is it when you think, as you do from the centre party and part SV, that the districts can only be strengthened by weakening the big cities and, in particular, Oslo, by both forcing jobs and actively preventing further growth. Those who believe this is a matter of allocating resources and jobs between cities and districts in Norway are siding with reality. Today's industrial policy and regional policy must be about creating conditions for growth in an internationalised world, where the struggle is not between Ørsta and Oslo, but between Norway and London. If we lose that fight, we will in the long term also undermine the possibility of well-being and good living conditions throughout the country.
ParlaMint-NO_2004-02-10.ana.ud2319e884	Major cities play a special role in national value creation, among others. as a result of its function as a centre of competence. Major cities also have a specific role to play in providing a wide and specialised welfare, service and cultural provision. The question is whether metropolitan cities are better able to carry out these tasks as part of this message. I hope so, but I'm skeptical – I don't believe it. The government says that one of the objectives of urban policy is: ‘Give all equivalent opportunities to live the good life of the big city through social and economic well-being and a working day in security’.» I wrote that down. There are many old, young and middle - aged people who want to live in the cities. Let them live there, let them live there, let them live the good life, but then the state can't coerce the big cities. I also believe that there is a need to change the criteria for transferring funds to big cities, and that requires concrete action. It's in the big cities we have some of the biggest social challenges. This is due to problems related to both alcohol and psychiatry, and to the integration of refugees and immigrants. These are tasks that big cities need to have resources to meet. The Labour Party believes that the focus must now be on housing policy, cultural provision, integration, crime prevention, workplaces and transport problems. The government describes these challenges, but does not do enough with them. If everyone is to have equivalent opportunities, there must be more and cheaper housing and rental facilities in the cities, and the state must participate. In my opinion, it is entirely unmistakable – and not desirable either – that everyone should be able to own their own dwelling. That Right and Erna Solberg want such a policy, is not surprising, but I'm more surprised that the Christian People's Party is involved in this pitch and run-up. The mountain, in Hordaland, is the big city I know best. There are 460,000 people in all of Hordaland. Half of these cages in Bergen, and 60,000 to 70,000 in addition to these, have less than an hour's journey from Bergen, so that over two thirds of the people live in the nearby area. It is clear that this region has a common labour market and that very many cultural services in Bergen are also available to the regions around it. It is quite necessary to point out that investment within and around urban areas can be an opportunity to maintain bus services in municipalities around and to involve them in their labour markets. We have to look at the region as a whole as a community. Then a cooperation is needed, then a concrete action is needed – and that is absolutely necessary. I believe in local self-government. The cities and the capital have also developed before this message came. We need to take concrete decisions that can enable the big cities to achieve the equivalence of the supply they want from the government. Housing policy is, in fact, the most important thing if you are going to think about bridging differences between peoples, cushioning poverty problems, which in our country is the largest in the big cities. Then there is a need for concrete action, and this message points out very little. She describes the situation very well, and then we're told that it's in the budgetary context that we're going to come back to concrete measures, and I look forward to that, because it's absolutely necessary if we're going to be able to say that everyone is going to live the good life in the cities, where most people in the country actually want to live. They will then have to improve the chances in the big cities of implementing these measures, and it is absolutely necessary to be concrete.
ParlaMint-NO_2004-02-10.ana.ud2319e908	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2004-02-10.ana.ud2319e911	First, with a heart attack, I have to say that most of the issues in the big city announcement have been on the political agenda for at least 20 years – so far without significant results. The most important thing that has come out of the discussion of the big city announcement by the Municipal Committee — and it is to be truly commended to them — is that today a decision is taken by the Stortinget asking the Government to present its own capital message. We need a message that addresses the capital, but also the tasks, challenges and resources of the Capital Region today and in future Norway. It is also an organisation in the Oslo region, with its numerous and different regulatory regimes in the many municipalities, its fragmented land and economic development, despite the fact that we have one transport area, one labour force area and one economic area. Last night I got a good example of the need for overall coordination in the capital region. People at a meeting in the Alna area in Groruddalen asked to reduce the speed of E6 through the valley, the roaring traffic machine that split Norway's most populous valley into two. But those who live in North Akershus will get to Oslo Center as soon as possible. A Capital Communication must take the environmental problems of the Groruddalen seriously, promote concrete proposals and provide funding for them. It is state institutions that have been the main contributors to the grubbing-up of the Groruddalen for decades. Here it does not help with pleasant comments – here it really needs action, and we are waiting for that. The labour market situation requires an active industrial policy, based on an interaction between state and municipal measures, based on regional advantage. The Capital Region has very special assumptions — and in fact also a very special responsibility, in my opinion — to develop industry based on knowledge. We have approx. 50 pst. of the country's knowledge environments. Here companies also find a comprehensive network of subcontractors and services. Here is proximity to markets, port and airport. The technology-based industry currently accounts for approx. 13 pst. by the Norwegian industry, while the figures for Sweden and Finland are 48 pst. and 51 pst. In order to create a positive economic development and bring about dynamism and innovation, we also need to invest in knowledge-based industry. But then the state authorities must understand that we must have a government instrument that also strengthens the establishment of Oslo and other metropolitan regions. It is again about the willingness to spend money in these regions as well, and it includes the new seed resources, which were also mentioned by a previous speaker.
ParlaMint-NO_2004-02-10.ana.ud2319e924	It is important and right that problems, challenges and living conditions in metropolitan regions are put on the agenda, as in this Communication and this debate. There is no doubt that the largest cities and neighbouring municipalities have both social problems related to drug use and crime, environmental problems related to pollution of different kinds, and, in addition, lack of reasonable housing, to mention something. At the same time, we should not forget the positive elements, for example. that in sensible land-use planning, most of our major cities are surrounded by areas with great recreational potential, which we hardly find in such proximity to population concentrations in other countries. It is an explicit policy that new public oversight, directorates and other institutions not required to be in the capital are established in other parts of the country in order not to put further pressure on the capital and to give other regions pleasure in building skills in such areas. This is good and good, but we must not forget that the establishment of such supervision and public offices in Eastfold, Buskerud, Westfold and Telemark also leads to further traffic towards the capital. It is beyond doubt that the disadvantages for people along the E18 Mosseweg and near the E18 between Oslo and Asker and along the E6 through the Groruddalen are high due to cows, exhaust gases and extremely high traffic density. Existing plans to establish new eco-friendly trajectories for these transport years, in the first row of E18, should be pursued, while significantly improving collective services in these regions. With a substantial proportion of the population of Norway in these areas, prioritying these projects is both environmentally sound and profitable. This is also important for businesses throughout the country to be able to produce their products. Today, metropolitan regions are struggling with both these problems and the economy. The lack of proximity that often characterises a busy metropolis, makes many people feel a lack of contact and established networks that are particularly difficult. These are challenges that should focus on further work. There is reason to enjoy the pilot schemes under way to test out reorganisation, new ways of solving tasks, etc., and to focus on planning development projects to take account of environmental factors. The government has in St.meld. No 31 for 2002-2003 points to a number of solutions. Let's hope we can gradually see the contours of an efficient, environmentally friendly and social metropolitan region within the economic framework we have in the years to come. It requires good cooperation between government and population growth, on the one hand, and local politicians in our metropolitan areas, on the other, in order to identify the necessary measures. It will require a great deal of willingness for open dialogue in further work.
ParlaMint-NO_2004-02-10.ana.ud2319e940	It is very good to read in the settings of this big message, but I would like to point out in particular the possibilities one has to create exciting jobs in the big cities and their surroundings. We point to the importance of providing closer interaction between universities and colleges, research environments and enterprises and the industrial development environment in these areas. I want to start with Oslo and Akershus. In order for you to look at Oslo, you also have to bring what we call the Oslo region. The Industry Committee has just spent two days visiting exciting research and business environments in Oslo and Akershus. During this visit, Vice-Chancellor Torger Reve pointed out at BI the opportunities offered by enhanced and active cooperation between the education and research communities and the business community in Oslo and Akershus. We have the University of Oslo, BI – located in Sandvika, but to move to Oslo – University of Akershus, IT Fornebu, Campus Kjeller AS, Bioparken in Ås, to mention some of the exciting opportunities for development in the Oslo-Akershus area. In addition, major hospitals in the region are also an inspiration for research and development. These environments need to be nurtured and inspired, and they need to be given the opportunity to seek state research and development funding. Although it is the Minister of Industry's table, I would like to point out the importance that the Government is now taking seriously the opportunities that lie, among other things. in the Oslo region, and the re-introduction of funds to seed funds, which also embrace the large cities. The Oslo region has a high level of knowledge capital but is nevertheless lowly represented in terms of research and innovation, compared to other countries in Europe. There is too little contact between the authorities and the research communities. There is little interaction between these environments and the public and business sectors. There are a number of forums and advice to organise cooperation between municipalities and regions in the county. Only in Akershus do we have four such forums and advice for business development: the Follow-up Council, the Cooperation Council of Lower Rome, the Upper Rome-rich Development and the Western Region. In the past, Oslo Municipality was completely absent from this cooperation, but this has fortunately changed, after pressure from people in the environment. But there are also other big cities in the area. The western region of Akershus, to which I belong, also sees great benefit in looking towards Buskerud. In the Western region, Bærum, Drammen, Hurum, Lier, Lower Eiker and Røken are included, as are Asker. Fortunately, cooperation has also been seen in Oslo and Akershus. Oslo Teknupol, a company developed in the Municipality of Oslo and Akershu County, is looking at the development of business. They say that they should contribute to the contact and interaction between research and development environments and businesses, that they should market the region internationally, which is very important, and that they should also facilitate information in the business world via the Internet. The state must also be involved and contribute.
ParlaMint-NO_2004-02-10.ana.ud2319e955	During the debate, there are many topics that have been addressed, but there are also some questions that have not been answered. I got a question from the Labour Party that I'm going to answer quite briefly. I was asked why the Center Party is not for the whole day's ball. Let me just say that we want to strengthen the contents of the school, give several hours to today's teaching, because we think it's necessary. We believe that SFO should be voluntary and design locally. Then the Right Center Party made a visit to the lack of faith in local self-government. I am very pleased that the entire committee says that it is important that the big cities are given sufficient economic resources to solve their problems. Then there is a plurality, which includes both the Right and the Centre, which says that increasing the use of framework funding can contribute to greater local self-government, but we also say that it ‘presites consistency between tasks and resources’. I take for granted that the Right follows it up. So for government activity and a need for greater coordination. The choice of power now clearly shows that it is fooling itself to believe that the relocation of 900 annual works from Oslo has contributed to so much more coordination and decentralisation of government activity. In the 1990s, there was a centralisation to the Oslo area. It shows the effect selection. The number of annual work went down in small towns and districts. It's increasing by 7 pst. in the central part of the country, but with 15 pst. in the Oslo region. In 2000, the capital region had 45 pst. of the annual work of state nuclear power. This is explained by both technological changes, reorganisation and deregulation. From that point of view, we believe that there is a need for an involvement, not as SV says, a relocation of jobs in the cabin and the weather, but an assessment of how one with state activity can contribute to a more balanced regional development. Then we thought it important to look at a plan when it concerns the establishment of a new state enterprise, but actually also a better distribution of the business we have today.
ParlaMint-NO_2004-02-10.ana.ud2319e969	It's rarely the Stortinget focuses on the capital and the big cities. This debate is therefore important. In particular, it is gratifying that a unanimous committee has joined the proposal to ask the Government to present a major report on the metropolitan region. It citizens for the opportunities to further focus on the peculiarities of Oslo, both as a big city and as a capital. I hope that this unanimity can be interpreted to mean that the Stortinget has come to recognize that Oslo is in a special position, also in relation to the other big cities. From time to time in celebrations and in ideal planning documents, the importance of the big cities is referred to, and they are often described as motors of economic development. But we who represent the big cities, and who are also trying to take care of the big city's interests daily, get right as it is, backwards in the meeting with the concrete priorities that this hall does, because in the day-to-day world, the big city's representatives come to a minority when resources are to be allocated. We experience it in a concrete way when money is allocated to transportation. We have major discussions on tunnel development in the Oslo and Oslo areas, while tunnels in the West and North Norway are defined as necessary. We experienced the lack of understanding of the tasks of the capital when the majority of the population, across the parties, decided to move out state jobs from Oslo, despite their economic importance to Oslo and to the country as a whole. And we experience that SND funds are prioritised away from the big cities and Oslo, despite the innovative industrial potential that lies in the cities. I'm not drawing this forward to be angry or negative on a party day like this, but I'm going to remind you of everyday practice when so many people have expressed their understanding and willingness for a big cities policy. I therefore hope that we from the big cities in the future will experience the positiveness expressed here today, also in everyday life, when real resources are to be allocated.
ParlaMint-NO_2004-02-10.ana.ud2319e978	A unanimous committee has asked the Government to present its own capital message. That might make sense. Oslo has a special role, which many people have had, both because the city is the capital, because it and the region are much larger than the others, and because Oslo is both the county and the municipality. Therefore, the notification should, for example: discuss how to build under Oslo as a capital. I was a little worried when I read in the notes that the majority, all except the government parties, are calling for an assessment of Oslo's future as the capital. I thought we had a capital, and that Oslo would still be the capital. But I'm a little worried when the majority wants to assess this capital function, and I'm asking, not least, my co-representatives from Oslo to explain whether they would be willing to move the capital from Oslo. We should consider adding more tasks and roles to Oslo and its surroundings. We should go on with task differentiation. We have different needs, and it requires different solutions. Bjørgov Froyn pointed out that Oslo was Norway's biggest junction and should be concerned with the notification. We should also consider the importance of the capital for the position of Norway internationally and as an engine for the entire eastern region. If Oslo is to be a good capital for the city's inhabitants and for the rest of the country, we must give the city space for action and freedom. We have to give diversity good growth conditions. Therefore, it would not make sense if the Capital Communication became an action plan for Oslo, to be adopted by the Stortinget. There I think maybe some people have gone a little far in their wishes. I'm glad it's not a majority to make key action plans for the big cities. The working party and the SV want it. They say, on the one hand, that metropolitan regions themselves must draw up urban development objectives and be responsible for their implementation. But on the other hand, they say that we should have this action plan, and then suddenly we should not take responsibility. Then you have to have government action plans. I have to ask if we who are sitting in this room really believe that we know so much better than our metropolitan politicians what is best for the population in their areas. My answer is no. What we need is a big deal that takes local politicians seriously and makes sure they have sufficient room for action. For example, Oslo does not need any state directive on cooperation in the region. A year ago, such an initiative was taken. The Oslo region was established – a cooperation between 46 municipalities, where land and transport planning, industrial development and international marketing are central. What you need is no more, but less government control. Although population growth and increased mobility exert pressure on areas and require flexibility – and this flexibility is only freedom that can give – we therefore need more freedom of action, not less.
ParlaMint-NO_2004-02-10.ana.ud2319e989	The size of the store is at least not relevant to move.
ParlaMint-NO_2004-02-10.ana.ud2319e992	That's what the President said!
ParlaMint-NO_2004-02-10.ana.ud2319e999	If you're going to move the capital, I'm going to point out Fredrikstad as a good alternative! There is one policy objective that often remains in the Storting settings: it is an overall objective to ensure an equivalent welfare provision for all citizens. The sentence is most commonly used in district policy contexts. When we find the wording again in this setting, it's an important recognition that it's in the big, but also in the smaller, cities that we're far from this goal. If this important objective is to be achieved, the key is to provide cities with economic space for action as well as better consistency between income and tasks than today. Therefore, the current review of the income system will be the most important follow-up to this notification. The results obtained will be crucial for success, both in welfare policy and in urban policy. Words and objectives must be followed up with action, both in the income system and in the other areas pointed to in the adjustment. The broad opening up of a good rural policy has been important and correct. No one will be served with the impoverishment of the districts. At the same time, we must recognise that districts also depend on the importance of cities in economic, social and cultural terms. When people move from more pig-grown strokes to cities, they no longer move from leisure and poor welfare offers. It shifts to greater choice, more diverse cultural services and often less developed welfare services. More and more people want an urban lifestyle. That policy must take over. We can no longer regard urban life as a regrettable misunderstanding we are forced into, a bad alternative to life where self-storage is alpha and omega. Once the government has restricted major cities to regional centres, the perspective becomes too narrow. I am pleased that the Committee in its position also points to the same challenges posed by popular urban areas such as Fredrikstad, Sarpsborg and Drammen. But also other cities – such as Moss, Halden, Skien, Tønsberg and Porsgrund – have many of the same challenges, both in terms of providing their inhabitants with sufficient of the welfare services that this house has promised, and in terms of law, that its inhabitants should have. If these challenges are to be solved, we need to have an income system that does not ignore the huge gap between tasks and incomes in these cities as well. In addition, cities in the east face a challenge because they are in the gravity of the capital. Therefore, the challenges of these cities need to be discussed in the light of this, and it should be addressed to the Capital Communication requested by the Committee. In addition to this, I would like to highlight the need for a solution to traffic in urban areas. It is absolutely necessary to find better and faster solutions than in the perspectives we have now. This is particularly true in the Oslo area, where there is a need for rapid and strong upgrading of the railway. Traffic cooling problems are everyday problems affecting most people in this area. At the beginning of the 1980s, the objective was double to Halden by the turn of the century. It has not yet reached Moss. The flight bet shows that it's useful. Now we have to get an equally rapid improvement in rail capacity in Oslo and the entire eastern region.
ParlaMint-NO_2004-02-10.ana.ud2319e1020	I find it strange that the Right Party, and also the Workers' Party, are no longer more open to looking at a freer tax as an opportunity for cities to use their own resources. It would be important, precisely because in cities you have a lot of resources, as it's pointed out. It's not just bad and difficult in cities; there's also a lot of resources there. Why do you not want to give the people of cities and politicians the opportunity to decide whether they want a tax-free policy, or whether they want a tax-free policy, for example? will have better well-being and public transport? It seems that SV had been tricked. It had given the politicians and the people of cities a great deal of freedom and trust. So to this with the state and coordination: I think parts of what the Council of State said might suggest that the state should still have the freedom to crack in all directions in its proceedings. That's the problem. When we talk about local freedom, it must be about local democracy's ability to make different choices. Then it must be that the state has some overarching leadership in its policy areas that are to be governed, but within it the various agencies of the state must be in charge of that geographical area. And whether it's a city or it's a municipality, they should be able to participate in the premises that are there. Now like the state is given the freedom to crack in all directions, and a little on their own premises. I would like to quote from a letter from the Ministry of Labour and Administration sent to the municipality of Arendal, which goes to SATS. It says: ‘Delegation and decentralisation of powers are key principles for the government’s modernisation of administration. In line with this, the type of decisions that this is about is – i.e. whether the floors should be co-located or not – ‘added to the floors. There would be a clear violation of these principles if the ministries were to intervene directly in this type of localisation issue.’ This is a very good example of the fact that the government has said that cooperation is needed here, but then the government has made a policy that says that this can allow the states to decide the sea. It's a problem. It's also a problem if you don't have a mission in the state budget to take full responsibility for society, but you get a mission that says: run sectoral policies and look after your own budgets, or else you can do what you want. Many local politicians may feel that this is how the state behaves in many areas. I think it is important that the Council of State now clarifies whether she believes that the various agencies of the state should be allowed to burst in all directions at their discretion, on the basis of the principle that the most important thing in a modern state is that the states determine seas.
ParlaMint-NO_2004-02-10.ana.ud2319e1034	Some speakers from the Right have given the impression that an action plan for the major cities should be a detailed management of what is going to happen in the big cities. Of course not. Providing more mortgages, providing better financing for youth rentals, providing better housing support, offering better language provision, and ensuring the financing of the district theatre, do not involve detailed management of major cities, but it means that large cities are given better room to carry out their production and, with it, have a greater capacity to act as a development centre in their area. Then there has been a question about the capital message. Is it supposed to be an action plan for Oslo? No, it shouldn't. There are different premises for the different parties, and I record that the government parties do not actually have the premise that they finally agreed to have such a message. But as full as possible, it points out, among other things. on the part of the Workers' Party, the SVs and the Centre Party, that there are obvious coordination challenges in the Capital Region. There are coordination challenges related to land disposal, as the Council of State also pointed out. There are coordination challenges related to housing, where local communities around Oslo do not have, we should say, an urgent desire to get more housing because of the challenges it brings, and the costs it brings. There is a clear need to coordinate public transport, so that you don't stand at a stop and wait for the next bus that's going to the exact same place, because there are other customers of the collective service. These are issues that need to be discussed through how better coordination and a better whole of the overall provision in the capital region can be achieved. The working party has addressed this type of issue in a previous big city survey. When the Council of State asks why not the previous Labour Party government has taken this up, I have to be allowed to show that unfortunately we did not get so far that we received a big city message. However, when a metropolitan notification is presented, it is striking that this type of coordination challenge is scarcely mentioned if it is mentioned at all. I therefore find reason to point out that when the Council of State says that she has to coordinate this with the Municipality of Oslo, it becomes too narrow. This is precisely the challenge of looking at how a single metropolitan region works in the best possible way. It is then that the contact and challenges in the region as a whole, and not in the individual municipalities, are the most crucial. I therefore assume that the Council of State is looking closely at the premises contained in the comments of the majority of the Committee, and that she is helping to highlight the coordination challenges that lie there, and that, naturally, the whole of the region is being involved in those assessments, and not just the Municipality of Oslo in isolation.
ParlaMint-NO_2004-02-10.ana.ud2319e1043	For the first time, we've been given a big-city message that discusses big-town policy in its full scope and provides a holistic urban policy that will give all equal opportunities to have a good life in the big city. The urban policy is based on cooperation and dialogue between the cities and the state. The Christian People's Party wants freedom of action for the big cities and for the other municipalities. Strengthening local democracy and increasing municipal freedom of action are overarching goals for the Christian People's Party. Central politicians are not required to provide detailed governance, but to provide a good framework for policy-makers in the big cities to take responsibility for their own city and for their urban development. Unlike what speakers from the Labour Party have said earlier today, in the Christian People's Party, we will make provision for local politicians to take the final decisions. We want to give the big cities greater responsibility and greater freedom. We believe that local politicians are best placed to assess the scale of the problems and to give priority to the measures needed. We believe that challenges require different solutions, depending on local circumstances. Cities must take responsibility and create visions for their development. State should be involved in realization, not in detail management. Therefore, the metropolitan message should not be a detailed guide to local policy. It is probably important to ensure the balance between the city and the region around it. There is no contradiction between good urban policy and good rural policy. Major urban politicians are facing an exciting future if they take on the challenges and responsibilities that are now being given through more tasks and less detailed legislation. But the big city doesn't have to be itself enough. Close and constructive cooperation both with surrounding municipalities and, not least, with the county council is necessary to be closed down in the development of a strong city in a strong region. There are big differences between cities. It is therefore very alarming when the Labour Party proposes detailed common solutions for all major cities. This is a central detail management we don't want to be in. The Christian People's Party points out that local politicians should focus on infrastructure, environmentally sound urban development, industrial development, growing conditions, the provision of elderly people and on disabled people and cultural services. Central politicians are responsible for simplifying legislation and providing financial framework transfers adapted to local circumstances. Poverty is a big city phenomenon. There are many people with drug problems and psychiatric problems in the big cities. Therefore, it is important that we take an extra thank you for them, as this government has suggested, and through the treatment of the metropolitan message we get tools to influence and get a proper development in the big cities.
