ParlaMint-NO_2004-04-02.ana.ud1842e51	The representative of Ingvild Vaggen Malvik will make a private proposal.
ParlaMint-NO_2004-04-02.ana.ud1842e788	Finnish Nokia and Swedish Ericsson appear as technological adventures. The Norwegian gas and oil adventure is based on high-technology that is not at all behind this, it is only different and partly more advanced. A shining example is that through research and technology development, it has been possible to expand the Worm Lange field and take the gas into land. A few years ago, this would be a technical and economic impossibility. Very many are pleased with the decision the Storting can make today. We have too many examples of gas pipes going directly from the fields to receivers outside Norway. Today, we are breaking this bad circle, and we are adopting increased value creation in local communities, in the region and in our country. We can't always be familiar with just being a commodity producer. We are helping to facilitate the industrial development of the gas, new jobs, continued technological development and hope for industrial gas processing. Gas-based industry is already developed on the Tent Goods, and the possibilities for further development there and elsewhere are huge, only the authorities and oil companies will. The Worm Lange gas and the landing to the Augra provide great opportunities. I am therefore very pleased that the Stortinget today in clear order believes that 25 million. kr should be included in the project, so that the gas can also be used to develop local industry. This means that comprehensive gas use on land is facilitated. It's very uplifting, as mentioned earlier here today, that a very large company like Hustadmarm has given a signal that they want to use the gas in their production. It could be an initiative involving others in regional exploitation for both industrial, transport and housing purposes. In addition, it is essential that the gas price at the landing site reflects the fact that the costs are lower than those of gas transported throughout the continent or England. I have hopes that when the oil company Shell is going to operate and further develop the Worm Lange field, it will mean a strongly strengthened operating organisation in Kristiansund and new and exciting tasks in the region. I want to give credit today to the oil companies that have taken on a major technological challenge and also what I would call social responsibility. I also give a great deal of credit today to local politicians and administrations, to More and Romesdal County Municipality, to the project organisation «Ormen till More» and to others, including the Department and the Council of State. Without this powerful and sustained effort from all of us today, we had no landing case on the Storting case map.
ParlaMint-NO_2004-04-02.ana.ud1842e803	I want to join those who think this is a great day for More and Romesdal, Aukra and surrounding municipalities. But I also want to join in what Mr Nesvik said, that this is also a great day for the nation of Norway. It's a huge boost we take as we now go from what many thought would be the solution in the early phase of the expansion of the Worm Lange. We simply saw that there was an offshore solution, and that we had to see the gas going along the coast and abroad. I want to praise the justice for the work they've done, and the communication they've had with the community. I would also like to commend the way the cases have been handled in the various bodies in More and Romesdal, where they have been told that when the legal entities have become aware of a place of landing, everyone will go for it. Here I have to highlight the ‘Orms of More’ project, where a very good job has been done. But unfortunately I can't give the same rose to SV. I agree more and more with the representative Olav Akselsen when he says that SV does not have an industrial policy. For I just have to say, what would Norway be if we were to follow its policy within oil and energy for the past 30 years? But one can be sure that the day we're going to start distributing the values that are created through the Worm Lange, then SV is going to be with and share good. There should be no doubt about it. And they ask a lot of questions. If one listened to, one might notice that the representative Langeland has a dialect that comes from a district that may have just got the most good out of what was found out in the North Sea. What would Norwegian road construction, tunnel construction and shipyard construction be if it hadn't been for what happened in the North Sea? Technological developments in the North Sea have resulted in Norway being one of the world's leading nations when it comes to a good deal of industrial construction and industrial development. This doesn't want SV to be on, but they will distribute well. We're the other people who are involved in making decisions so that we get value creation. Ein has brought the opera into the debate here. Yeah, 22 operas create as much value for distribution as Worm Lange, I just think it's SV that looks like that. Otherwise, I will support the speakers who have said that it is now important and correct that we start taking more advantage of the gas in Norway, that we are not just a commodity producer and deliver it to the rest of the world. Let's use the gas in Norway for the best for all of us!
ParlaMint-NO_2004-04-02.ana.ud1842e818	Recently, there have been a wide range of media lookups that have focused on an ever-increasing increase in greenhouse gas emissions. The evening post says today that the power crisis caused the CO2 emissions to explode. Just taking into account our global environment and our international responsibility for reducing greenhouse gas emissions has been the background for resistance to Worm Lange from local SVs. In my opinion, there is no doubt that St.prp. No 41 have been promoted and now treated at an irresponsible pace. Such rapid treatment of a very large, complex and difficult case makes it impossible in practice for the Storting to verify what the Ministry of Oil and Energy claims, namely that the expansion of the Worm Lange is a socially viable and robust project. The decision base is too thin, the lack of impact assessments is obvious and the unanswered issues are many. The representative of Brustad wants local politicians to be happy. I am afraid that this hastening work that the Stortinget is now doing, gives further reason for congratulations and to cross fingers so that no such irresponsible proceedings will have serious consequences. At the same time, I would like to extend a special greeting to the local actors and politicians who have fought hard against the project and the landing at Aukra. Even if we lose this case, it gives me optimism and confidence in the future to see local politicians from Aukra SV, like Olav Hauge, raise their voice and speak a massive local majority in opposition to our global environmental responsibility and our climate commitments. In the long term, I am convinced that this type of argument will be realised, that we will see the impact of a more responsible climate policy than what we are looking at today's call for as much gas as possible to the Norwegian people and the construction of gas power plants as soon as possible.
ParlaMint-NO_2004-04-02.ana.ud1842e829	It's a great day for Moors and Romesdal and the whole country. Møre and Romsdal are getting their position confirmed today as a gas node in Norway. It is a great pleasure for me that the Storting says yes to extract the gas from the Worm Lange field, and not least that the gas is being landed on the Augera. I am pleased that the builders chose to ‘drag the Worm to land’. In this way, the ratio is better placed to enable the gas to be used for local and regional value creation. The Christian People's Party is aware that the gas can be used in the region for local value creation. Landing the gas to Nyhamna may be a driver for the maintenance and further development of local industry. Business and industry in the region, etc. Hustadmarmor, mentioned by many, has shown great interest in exploiting gas resources. It is a pleasure to record that the builders are interested in contributing to the local use of the gas by facilitating the situation in the plant so that the gas can be passed on to local distribution once the local projects are ready. The size wants the builder to facilitate the delivery of both high-pressure and low-pressure gas. There is reason to believe that the gas price will be favourable, as the freight rate for Nyhamna is lower than for the continent. Through the methanol factory on the Tjeldbergodden, the moorings have already gained experience with the gas industry, and through the environment around Shell's base for the Draugen field in Kristiansund, there is today a great deal of competence in the region in extracting petroleum resources. The Worm Lange field is the second largest detected gas field on Norwegian base. With investments of SEK 66 billion, the expansion will help to maintain the level of investment in Norwegian capital up to the start-up in 2007. This will give work to the Norwegian supplier industry otherwise – about 60,000 annual works throughout the construction phase and 100 annual works during the operational phase, which will provide valuable jobs and incentives for business both in the municipality and in the region and perhaps in the country. Mortars have a long tradition of using natural resources for the creation and development of the region. It is gratifying that developments continue by ‘The Orm is now being dragged ashore at Aukra’. I would like to congratulate the municipality, the county council and local business community on this day. A long and targeted work has now been closed.
ParlaMint-NO_2004-04-02.ana.ud1842e846	After listening to the posts in Stortinget today, one almost believed that it was May 17th that stood before the door, and not the Easter break. I just have to admit that there's every reason to come up with the big words, that's the absolutely factual basis, because it's a big and important matter in which the Storting decides. Let me also add that there is every reason to give honor to and congratulate Hydro, who – in this context as a development operator – has done a very good job. Since the representative Mr. Ingvild Vaggen Malvik raised the greenhouse gas problem, I would just like to add that it underlines the importance that we can get started on a technology that handles some of the major climate emissions we have on the Norwegian base. We have done well with that technology, but it is obvious that when we get gas power plants with CO2 handling, we will also get a positive account of emissions on Norwegian base in a completely different way. It's an important issue, and the government is very concerned about it. We also have the opportunity to come back to this. At the same time, I would like to point out that the climate accounting is more favourable in relation to the export of gas from Nyhamna than the representative from Vaggen Malvik said. We should bear in mind, not least in view of the significant export of gas to the United Kingdom, that this gas will replace more polluting heat from British coal-fired power stations, thus contributing to a positive environmental account, because CO2 is a global greenhouse gas. We also have to consider that. In fact, this project is also an important environmental measure in many respects.
ParlaMint-NO_2004-04-02.ana.ud1842e857	I guess you shouldn't get annoyed on such a good day. Nevertheless, I would like to say a few words about the debate we have had. To this end, the Storting should be able to choose the processing mode and landing site. Although I feel that I have an experience, perhaps more than most people in the hall, to evaluate large projects, I won't feel particularly competent to go into all the details and try to say, how are we going to process this, and how are we going to do this? We don't have that competence. Here we've got a setting, after a long process. I feel reasonably confident that the landing site has also been carefully assessed, precisely because some of the licensees have had other interests initially, and so this has been reflected back and forth and found a solution. I feel very well about it, and have in no way any ambition to overdo such a position. And then it's said, "Now the council and the council must follow this closely." In principle, I agree with that. But it is clear that the most important thing is that those who are builders know that if things go wrong, it will have certain consequences later on. It's not easy for us to stop this in the middle of the pipeline between Norway and England. So there's a lot of things we can't do, but of course, we have a very big interest in now calculating these things in a good and proper way. So Hallgeir Langeland says that we have to remember that the government has a majority of SV in some of the issues relating to gas and climate – that's right. However, I would also like to say here that this is not our first choice. So ask Hallgeir Langeland State Council what it will cost to get this line and infrastructure. Yeah, that's pretty typical what SV is asking about. I would like to ask from my side: what will this give the Norwegian people, and what will there be of jobs and opportunities in this district? It is significantly more important in my opinion. And I'm pretty sure that's going to look pretty good. That is why I wish the whole region every success with the project again!
ParlaMint-NO_2004-04-02.ana.ud1842e871	I initially didn't intend to take the word, because there's a lot of repetition in descriptions of a project that there's so much agreement about. So I just want to limit myself to congratulating those who are closest to this project: Norsk Hydro, Aukra kommune and Møre and Romsdal, and, of course, our country. As others have been involved, this is a project that is formidable, and will mean a lot to all of us for many, many years to come. However, when I choose to take the floor, it is primarily because I, as committee leader, feel a bit taken by Mr. Ingvild Vaggen Malvik's accusations that the committee has carried out irresponsible proceedings. I really want to refute that strongly. This is a matter that is not new. This is a matter that has been through very thorough processes before it came both to the ministry, from the ministry and beyond to the committee, and then to the Stortinget. We have carried out the same processes that relate to all matters, with travel activities, extensive meeting activities, open hearings, etc., and we have concluded that this was a time-critical project that required a quick clarification. And so it's that SV doesn't agree, and that's what we're told, and we're also happy that the objections that Ingvild Vaggen Malvik and Hallgeir Langeland have made today don't get a majority. Then at least we get others to attend the party, because this is kind of 17 May and Easter and a lot of good parties at once for Norway, Aukra and those who are involved, and then we'll look forward to looking at the opportunities this gives. But I strongly reject the fact that the Committee has carried out an irresponsible examination of this matter. I guess SV would not have said this if the conclusions had been more in favour of SV.
ParlaMint-NO_2004-04-02.ana.ud1842e882	The President hopes that the debate will not last until the next celebration. [[Laughter]]
ParlaMint-NO_2004-04-02.ana.ud1842e887	That view also shares Langeland. But there's a lot of things that have come up on the pulpit, and that makes it necessary for SV to comment on a couple of things. The one comment goes to Onarheim, poor, who has not got its first choice met. To keep the government position, he has to thank SV. That's a strange way to say it, even though I know that Onarheim is pretty clumsy about working with an environmental party that has a different policy than what he and NHO have. But now Onarheim's party is also in government, and then he has to move forward in relation to it. Onarheim has partners there who are not as eager as he is to build gas power plants on all noses. The option for Government and Onarheim is to go to other gamemates than SV, and then there are two left. One is the Progress Party. They have a policy that Onarheim is probably very satisfied with financially, and that is stable and easy to decide on. A lot of good thoughts about that, I think Onarheim has. The second is the Workers' Party, which until now has promised eight gas power plants in Norway. It will cost something to get them built, and I assume that Onarheim will talk to Per-Kristian Foss before he goes to the Labour Party and make them his first choice. It's okay that we're not the first choice, but I'd like to listen to Onarheim say who's his first choice, because he has to have a first lover -- not just a second lover. There have also been some comments on the SV's responsible industrial policy, a policy in accordance with the international commitments that one has, among other things. Linked to climate. We note that some parties are not at all interested in short-term environmental policy or climate policy, but in all areas only a large Ole Brumm party criticising SV for our desire to have a direction towards industrial policy that takes care of our climate commitments. We note that some parties did not think this was important, but operate on having money for everything. SV has on its territory a security of supply associated with a package that all parties must read carefully. There we offer power, 20 TWh, into the market – among others. to provide Ormen Lange, if appropriate, by 2010. There is much more than that. from the five gas power plants promised by the Workers' Party and others. So there's another direction for someone who wants to use the knowledge and fulfill international agreements.
ParlaMint-NO_2004-04-02.ana.ud1842e902	Several have not asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 2457]]
ParlaMint-NO_2004-04-02.ana.ud1842e918	At the request of the Committee on Family, Cultural and Administrative Affairs, the President will propose that speaking time be limited to 5 minutes to each of the groups and 5 minutes to the Council of State. Furthermore, the President will propose that five lines of response be given to comments by members of the Government within the allocated speaking time. In addition, the President will propose that those who sign up to the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_2004-04-02.ana.ud1842e927	Spokesman! - I'm sorry! President! [[Laughter]]
ParlaMint-NO_2004-04-02.ana.ud1842e934	It's just fun!
ParlaMint-NO_2004-04-02.ana.ud1842e937	Now I was in the city council in Moss, sorry! As rapporteur for Mr St.meld. No 28 for 2003–04, on sibling moderation in parental payments, etc., I am pleased that we have, in a timely manner, again come to the fore in most areas. We have processed the message in record time, because the regulations will apply from 1 May 2004, when the maximum price of NOK 2 750 per person. the month of 11 months and an annual parental payment of EUR 30 250 shall be introduced. The Committee agrees on everything except for the arrangement of the sibling moderation. It was said here in the previous case that it is ‘17. May’» We have said every time we have reached the goal so far in this case, that it is Christmas Eve, May 17 and birthday at once. In the spring of 2003 the Stortinget adopted new provisions of the Children's Gardens Act on parental pay and equivalent treatment in the context of the treatment of Ot.prp. No 76 for 2002–2003. Consequently, this notification relates to the introduction of rules on sibling moderation in the regulation on parental payment in kindergarten. Furthermore, the Government briefs on the rule on the rule of economic equivalence in relation to government grants. The implementation of the kindergarten agreement is the largest reform in the kindergarten sector ever. On 1 May 2004, the Regulation on parental and financial equivalent treatment of kindergartens in relation to government grants will enter into force and the funds will be introduced from the same date. In the 2004 state budget, the allocation to kindergartens increased by approximately DKK2.2 billion compared to the 2003 budget. State and municipality should cover about 80 pst. of operating costs from 1 May 2004. The nominal level of the municipalities is assumed to be maintained. It is absolutely necessary for us to put in place this reform, which a unanimous increase has said, to be fully financed. The Committee also unanimously stresses that the reform of the kindergarten should be fully financed and that the public subsidy should be adjusted regularly to make up about 80 pst. Unfortunately, what we have seen in 2003 is that many municipalities have reduced their efforts by eliminating sibling moderation. Some municipalities have increased the parental payment and graduated rates have been removed. It is absolutely necessary that the municipalities now follow up what the Storting has decided, so that we get a maximum price, full kindergarten coverage, sibling moderation, intext-graded rates and economically equivalent treatment for private and municipal kindergartens. It is gratifying that we have received about 10,000 new kindergartens in 2003. We have not achieved our objective for 2003, but it is good that our kindergarten settlement has stimulated municipalities and private individuals to build and invest in kindergartens despite uncertainty and short deadlines. What full babysitting will mean by the number of places, we only know when we get step 2 in the maximum price scheme in place. Then we'll see the real need. We know from experience from Sweden that its lower price, the more people want space. The disagreement within the Committee shall be governed by the regulations governing sibling moderation. The majority, the Labour Party, the Advance Party and SV, promote a proposal that all kindergartens with government grants should offer a minimum of 30 pst. sibling moderation for child number two and minimum 50 pst. moderation from third and upward children. I want to stress that this is a minimum. The government parties and the Central Party want the municipalities themselves to determine the level and other detailed rules. The majority have always been clear that we want central leadership in the sibling mode and that it should be fully financed. The development of municipalities in 2003, where municipalities use nominally less for kindergartens than in 2002, makes this even more necessary. The Committee asked at the beginning of the budget. S. No 2 for 2003-2004 on a briefing on the introduction of municipal obligations for the provision of economically equivalent treatment between public and private kindergartens. The government is proposing to return to the question of phase-in in the 2005 budget. A unanimous committee emphasises that equivalent financial treatment is to be achieved and asks the Ministry of the Revised National Budget to present a proposal to do so. It must be understood in accordance with those comments by the Committee.
ParlaMint-NO_2004-04-02.ana.ud1842e965	We are now in the implementation phase of the large kindergarten agreement that an overall committee came up in June last year. It's demanding, and there's a lot of detail to put in place. There are many municipalities to build kindergartens, and many have to adapt to the new requirements now set by the state. In this round, there are really only two questions the Stortinget is invited to take a decision on. That is the question of sibling moderation, and that is the question of income upgrading, given that we ourselves asked for it in the budget procedure last December. We see that the department has suggested that the regulation should state that it is sibling moderation, but the ministry does not address the type of moderation it should be. That's a different understanding than the one we have of the equation that we came up with. When we say that we should have national rules for sibling moderation, we believe that then those rules must be specified. It's not enough just to say that there should be sibling moderation, because then we could have said it in the June agreement last year. The majority have come to the conclusion that we need a minimum level of 30 pst. for the first sibling and 50 pst. for the remaining siblings. It is absolutely necessary if we are to ensure what has been the intention of the reform, that all families with children should have cheaper kindergartens. In the worst case, we could have risked that the maximum price combined with the removal of sibling moderation could have resulted in some families actually having to pay more in their own money than before, at least in phase 1 of the maximum price scheme. When phase 2 of the maximum price scheme comes from August 1, I think all families, regardless of sibling mode, will get out better. With regard to the second question, income moderation, income graduated schemes, we are of the opinion that it should be clear that there should be income-adjusted payment rates. This means that there are free or low-cost schemes for those with the worst means of payment. It's been a little discussion, but there's two sides of the same thing. Here, it is difficult to establish national standardised rules, for what is low income varies according to what a person receives for money, and it varies from place to place in Norway. There are different levels of costs. There are different social assistance schemes. That is why we believe that the national requirement here is good enough by requiring that there be arrangements, and then you get to find local adjustments. In this context, we have been briefed in the Committee on the work to ensure equal treatment of private and public kindergartens. As we see it, it's not for treatment here. We've been briefed, and it's natural to take that briefing. That's what you do with that kind of thing. But we still underline the importance of equal treatment being the result. It was an important premise in the big deal. Some parties may have put more emphasis on it than others. But the nursery arrangement is a whole, where all the important things of all parties are to be included. I want to underline, and I want to ask the Council of State in its statement to respond to or give feedback to, what the Committee says is natural that when we get a real financial equivalent treatment in the municipalities, the earmarked state subsidy, the pediatric rates, is also equal to private and public kindergartens. Different rates have now been introduced. We agreed because it had to compensate for local authorities not giving equal support to private and public kindergartens. When we get into a situation where the municipalities actually have to do it, and it is gradually phased in and put in place, then a unanimous committee believes that the earmarked state subsidies also have to be equal. I hope the Council of State can confirm that she intends to follow it up.
ParlaMint-NO_2004-04-02.ana.ud1842e984	St.meld. No 28 addresses, as the rapporteur has explained, the introduction of rules on sibling moderation in the regulation on parental care in kindergartens. In addition, the Government briefs on the equivalent treatment of public and approved private kindergartens in relation to the government grant, as requested by the Stortinget in the past. In the attitude of the large nursery arrangement, as several have referred to, which was treated last spring, it was said from a unanimous committee as follows: ‘The Committee agrees that the sibling should be moderated.’ We believe that the Government has followed up. All public and approved private kindergartens shall provide sibling moderation based on national and general rules that will be provided for in the parental pay regulation. This means that parents or nurses with more than one child in kindergarten in the same municipality should be offered a reduction in parental payment. This shall apply whether the children are in the same nursery or in two different kindergartens and whether one is private and the other is public. A sibling moderation shall be provided both for children with full-time facilities and for children with part-time facilities. This will mean an improvement in relation to the situation we have today, because all kindergartens and siblings in each municipality will be covered by this scheme. The right considers that the level of sibling moderation and other detailed rules should be determined by the municipality itself on the basis of an overall assessment in relation to other moderation schemes. But the majority, the Labour Party, SV and the Advance Party, now require the Government to design the regulations for sibling moderation so that all kindergartens with government grants will offer a minimum of 30 pst. sibling moderation for child no. 2 and a minimum of 50 pst. for child no. 3 or more children. We think this is unfortunate for several reasons. A national minimum standard could in practice become a maximum standard. We know that introducing a maximum price from 1 May already involves a strong state regulation of kindergartens. A defined national level of sibling moderation could result in a redistribution from parents with the worst paying capacity to sibling moderators. We believe that this is a somewhat poor policy for distribution. In fact, a majority of the hearing bodies, including the Municipal Councils' Central Association, support the Government's proposal that they decide the level themselves. In addition, I believe this is a override and a detailed management of the municipalities. In the municipal election campaign last fall we witnessed almost a Norway championship in ‘we will give the municipalities the most freedom of action’. SV announced a course conversion, and the electoral programme had as a continuous rhetoric that municipalities had to get greater self-determination and be subject to less state governance. So that's how long it lasted! The Labour Party is committed to talking about freedom of action and increasing municipal autonomy and less state regulation. In practice, they are now doing the opposite. The party of progress has, in essence, never been particularly concerned with local freedom. They continue to promote proposals involving over-management of municipalities. What is the majority's proposal in money? Well, between 11 million. and $15 million. kr – that's 11 million. DKK for 2004 and 15 million. kr on an annual basis from next year. This means that the opposition believes that the municipalities are not competent to control themselves. Most certainly do not show much confidence in local self-government. 95 pst. children are currently in kindergartens with sibling mode arrangements. The municipalities have shown that they handle this in a good way, and the Right has confidence that local politicians will be able to organise the moderation systems in a social and good way in the future. But it's not going to be like that. The majority override the rapporteurs, municipalities and local self-government. I think they show little trust in the municipalities. And I believe that the rapporteurs from both the Labour Party, the SV and the Progress Party are not particularly enthusiastic about what is now happening. But let it be quite clear: it is not the government that has suffered defeat in this matter, it is the municipal autonomy, the local politicians and the municipalities.
ParlaMint-NO_2004-04-02.ana.ud1842e1015	If there are people who have suffered defeat, some have also won. It has all the parents with all the hundreds of thousands of children who now have a predictable economy. It goes towards spring and summer – also in Stortinget. And just as surely as the blue road pees out of the field, it's just as sure that Stortinget gets a babysitting debate. This time, the requirements for sibling moderation and an indication of the rules for non-discrimination apply. In the case of sibling moderation, the Progress Party shall agree with the Working Party and SV on a minimum rate of 30 pst. for the first child and 50 pst. for the others. Otherwise we refer to the posts that the Working Party and SV have. But the big nursery agreement is on several pillars. For the Progress Party, equal treatment of private and public kindergartens is the most important thing. First of all, to ensure the operation of the 42 pst. by the kindergartens operated by private persons. Secondly, to ensure that there are enough kindergartens, that no one has to wind up, but that there are enough kindergartens for those who want them. What we're not interested in is that some of the private kindergartens have to wind up because of the Storting's decision on the maximum price. Therefore, it is important – and I cannot stress enough how important it is – that the Government actually comes back to the revised national budget for 2004 and presents an approach that ensures non-discrimination. There's a lot of uncertainty out there among the private kindergartens about how this really gets to be. I have daily enquiries from both municipal and private kindergartens where frustration is arousing. They do not know what is happening, they do not know what obligations the municipalities have under the regulations that have already been sent out. Many private kindergartens have a huge gap between costs and income. And I have an understanding of this. It is almost impossible to operate a business with as unclear and uncertain a framework as the private kindergartens are now facing. The first phase of the reform will come into force in just under a month's time, and neither the municipalities nor the private kindergartens are absolutely sure of its consequences. That's why we have to get this in place as soon as possible. We have to give parents and kindergartens a guarantee that what Stortinget has decided is actually implemented. If private kindergartens are to turn out unlucky, the government must also be willing to change its non-discrimination regulations, so that there is no doubt that private and public kindergartens should – and I stress – be treated equally and equally. Snuble words such as ‘moderate non-discrimination’ should not be found either in the regulations or in the documentation surrounding the regulations. We do not want or want to take a rematch on non-discrimination. But then the Council of State must assure me that we can expect her to come back to the revised budget with the necessary solutions. Here it is important that we are crystal clear and do not leave any room for doubt: private and public kindergartens should be treated equally. And I hope that this will be clarified in the revised national budget for 2004.
ParlaMint-NO_2004-04-02.ana.ud1842e1032	In the spring of 2003, Stortinget adopted the most comprehensive child care reform of the time. In this we asked the Government to come back with a case of sibling moderation and an orientation on equivalent treatment. The first stage of the maximum price is now 1 May, and the first phase of equivalent treatment. I have had many telephones from kindergarten owners and municipalities who have had many questions about how this should be done. I would therefore like to commend the Ministry of Children and Family, which has held regional collections to clarify and provide good information on how this should be handled in a practical way. It has been so successful that we in the Kommunal Report have been able to read about a pediatric director in Ullensaker who is now looking forward to 1 May, because now he has got the tool he needs to implement what we have decided. We come back to the phase-in of economically equivalent treatment. I think it's very wise to take this step by step. No one wants this to go wrong, and we therefore need to assess the impact on kindergartens and municipalities before we go further. But today, it's the sibling moderation we're discussing. The size agreed that the sibling should have moderation. How this is to be done, the Storting did not say anything about it. The government has submitted national regulations on sibling moderation, which stipulate that parents with more than one child in kindergarten in the same municipality should be given sibling moderation. This applies either to children in the same nursery or to two different kindergartens, and to a child in a private kindergarten and one in a public nursery. Moderation shall be offered whether full-time or part-time. Local rules and levels must be determined by the municipalities themselves. I register today that it is only the Right Party, the Christian People's Party and the Center Party that recognizes the efforts the municipalities have actually made in this matter. The Labour Party, SV and the Progress Party will set this effort aside. What kind of effort am I talking about? 95 pst. by all children today in kindergartens with a sibling mode offer. The average level is 32 pst. in public kindergartens, in private it is 22 p.m. When the average is 32 pst, that means that many have left over and many have under this percentage. When a majority in this hall today says 30 pst. for siblings no. two, this may be a rise for those under 30 p.m., but the danger, when there are so many conversions and restrictions in income, etc., is that this will not be a minimum standard, but can quickly become a maximum standard. We believe that the municipalities know their families and their needs. At 95 pst. already in kindergartens offering sibling moderation shows that municipalities have taken their responsibilities in this area. I think it is sad that a majority will take such an overwhelming step in a matter that the municipalities have taken so well into their own hands. Overarching the local People's Government is to be done with caution. I remember representatives from SV who, in advance of the previous municipal election campaign, were high on the track to praise the local People's Government. It was almost perceived as a new programme statement – now we should have a new course. But now, when it's almost four years until the next time we're going to have a municipal election campaign, this might not be so important. I could understand this if this was something the municipalities had not taken hold of, but our municipalities have shown that they have done so. That the Workers' Party, like the State Party, also wants this overgovernment of the People's Government, is probably not so strange, nor is it that the Progress Party, which sometimes really wants to have just one direct line in from the people of the state and otherwise remove several sections, does it. The Christian People's Party will vote against Roman numerals I and II. We recognise the local people's regime. We believe that when it comes to knowing the families, the municipality can do this best.
ParlaMint-NO_2004-04-02.ana.ud1842e1058	It makes sense that it is now a long way to go to agree on the regulations governing changes in the kindergarten law prior to the next stage of the agreement on kindergartens adopted by the Stortinget. The Central Party, like the Committee as a whole, believes that there should be sibling moderation in the reform and that it should be available in all kindergartens. However, we have chosen not to support the wish of the Workers' Party, the SVs and the Advance Party to determine the concrete rates of moderation through regulations. There are two reasons for this: one is that we believe that there must be a limit to how detailed the state should actually govern the plans of the municipalities for siblings. In our opinion, this goes simply too far in a detailed management of the state. The second reason, perhaps even more important, is that due to the country's preliminary under-financing of this reform, it needs to be able to hold further discussions before the next stage can be implemented. It's a fact that the real increase in government subsidies this year to implement the reform is actually only 80 million. kr. Of the 485 million. So kr that's in the discretionary pot and the discretionary grant, it's just 80 million. kr representing a direct government grant. It's completely inadequate, so this is a question you have to get back to in the context of the revised national budget. The centre is also concerned about the need to obtain an income grade for places in kindergartens. We are concerned that when we now have a situation in which we have detailed control over sibling moderation, while still under-financing the reform, the question of place valuation can become a balancing item on an inadequate basis. The main problem that today’s debate is starting from – and we have to address it in the future – is that the state has still not provided the full funding that is promised. We have to get back to that, and we don't get to that in the future. If not, we will repeatedly end up in this kind of detailed crossroads that we are facing today. When the Advance Party, the Workers' Party and the SV are accused by the government parties of detailed regulation, there is something in it, but I would also like to say that the Right and Christian People's Party must remember that there is no freedom of action without the resources promised are actually granted. It'll be a little hollow to talk nice today about local government and local maritime governance and freedom of action and push it forward as a honeymoon, if at the same time you don't intend to fulfill the promises made by the state regarding the resources of the reform.
ParlaMint-NO_2004-04-02.ana.ud1842e1073	From 1 May onwards, private kindergartens have a public finance guarantee. For the first time, with the equivalent treatment regulation, municipalities are given a statutory financial responsibility for the private kindergartens. The rules providing for equivalent treatment provide government grants to private kindergartens which ensure continued sound operation when the user payment is reduced. In the nursery agreement, the Committee agreed on the wording as follows: ‘The Committee agrees that the sibling should be moderated’. The Government established the principle that the sibling should have moderation and elaborated this in such a way that moderation should apply whether the sibling is in the same nursery or in two different kindergartens, and whether the nursery is private or public. In the consultation note on sibling moderation, the Government asked for views on an option of 30 pst. moderation of siblings. I see some advantages with such a clear rule. It's easy to relate to. It ensures the same moderation rate for all parents with more than one child in kindergarten, regardless of the municipality in which you live. However, a fixed percentage of sibling moderation was not the government’s recommended alternative. There are several reasons for this. First of all, we know that sibling moderation is given in most kindergartens. 95 pst. children go to kindergartens offering sibling moderation. This tells me that the municipalities are evenly setting up their user payments in a social way. I hope that municipalities today offering better sibling moderation than the national rates will maintain these arrangements and rates. But we should not be surprised if some will not get better at national rates. At this time last year, the parties played on their municipal election program. Then there was a high season for paroles on less state detail management and increased municipal autonomy. SV Vice-Chairman, representative Øystein Djupedal, announced course conversion on behalf of his own party. You should now accept municipal elections – even those you didn't like, called it. It is possible that such principles only apply in election years, and that is not the case this year. The government's overall policy is to strengthen local self-government, and that is what we stand for in election years and in intermediate elections. The government, with its proposal, wanted to give municipalities more space for action. We believe that whoever's wearing the shoe knows best where it's pressing. I think the municipalities themselves could elaborate the details of the reform. I think it would give a very good social arrangement on the parental payment as state-rated rates. Of course, I fully support the idea that the moderators for those with the lowest payment capability should not be weakened. This is a matter of great importance to the Government, and it is also laid down in the kindergarten agreement. A majority of the Committee requests that the regulation on sibling moderation be designed in such a way as to provide for a minimum of 30 pst. for child number two and minimum 50 pst. for third children and more children. The government will follow up on this. The ministry closed yesterday a series of meetings for the municipalities to enable them to handle the regulations that are in force. We have produced a guide for the practice of the equivalent treatment rule. Personally, I have also met with some rapporteurs on the reform of kindergarten. Feedbacks are that the reform is good, and that municipalities are happy to be able to lift the nursery facilities and offer their population full childcare facilities at moderate prices. At the same time, however, there is concern about the time pressure. I have recommended that municipalities find flexible transitional arrangements in cooperation with private kindergartens. I'm glad that the committee saw the need for a prompt treatment of St.Maltigation. No 28, so that with the decision today, we can finally get the last pieces in place before 1 May, even if it gets tight under this date. Finally, I can answer the representative, Giske, yes to all the questions. We're going to follow up the nursery arrangement. It says about equal state subsidies as well as phase-in. That's what we're now taking a big step in relation to.
ParlaMint-NO_2004-04-02.ana.ud1842e1102	It's going to be line change.
