ParlaMint-NO_2004-04-28.ana.ud2420e28	The representative of Åsa Elvik will make a private proposal.
ParlaMint-NO_2004-04-28.ana.ud2420e916	It is the slaughterhouses themselves that are responsible for ensuring compliance with animal welfare rules. Similarly, carriers are responsible for ensuring compliance with animal welfare rules for animals during transport. Animal welfare is part of the EEA Agreement. The harmonisation of EU-Norway legislation allows ESA to verify that our welfare rules for animals in slaughterhouses and during transport are in line with EU legislation and that they are properly enforced. ESA carried out an inspection in 2003. ESA itself decided which slaughterhouses were to be visited. A representative of the State Animal Health Authority, who was then the responsible authority, took part in the inspection. Unfortunately, a number of critical issues were identified, where the existing legislation was not complied with. This was the case both in slaughterhouses and during transport. The State’s animal health surveillance reacted immediately after the inspection had been carried out. Among other things, sent letters to the veterinarians with instructions to carry out supervision in all the slaughterhouses of the country. At the same time, work was started to address the inconsistencies that exist between EU directives and Norwegian provisions. Animal welfare and animal welfare are a theme that strongly embraces the Minister of Agriculture. He has asked the Food Authority, which is now responsible for supervision in this area, to give priority to animal protection in slaughterhouses and for transport in the current year. A new inspection is planned for all slaughterhouses and for some transport to slaughterhouses during the first six months of 2004. The procedures will be reinforced and there is a possibility of withdrawing the approval of slaughterhouses which do not comply with the essential requirements of the Regulation. In the past, responsibility for supervision was divided into two levels. Animal health surveillance was responsible for the supervision of the transport of animals to the slaughterhouse area, where the Food Safety Authority took over the responsibility for supervision. The establishment of the Food Authority — a single supervisory body — will provide the supervisory authority with far better opportunities to follow-up cases than in the past. Finally, I would like to inform you that the Ministry of Agriculture is pursuing the objectives and measures of improved animal welfare provided through the treatment of St. Announcement. No 12 for 2002-2003, on animal husbandry and welfare, including: complete review of the applicable animal protection law.
ParlaMint-NO_2004-04-28.ana.ud2420e935	Thank you very much for your answer! It is right as the minister says, that last year we had a thorough handling of this matter, about animal welfare, where SV was particularly concerned that we should have a treatment of animals that are as gentle as possible from the time they are born, and until they are killed. But when reports show that on some animals slaughtering is started before they are dead, and just as when we hear that some animals have actually been standing for 17 hours without water or food in the slaughterhouse before they are slaughtered, or that chickens and hens are transported in boxes with holes at the bottom, so that the feet are crushed during transportation, we become alarmed. We had hoped that it was not necessary for the EFTA Surveillance Authority to carry out this inspection, but that we actually had procedures in Norway to ensure that such things were avoided, and that we were not dependent on someone coming from outside and putting ourselves in place, which is what has really happened. But I am very pleased that the minister says that you have reacted immediately. I am also very pleased that you will consider withdrawing the approval if the slaughterhouses do not follow this up in the future.
ParlaMint-NO_2004-04-28.ana.ud2420e948	I can assure the representative Ryan that the Minister of Agriculture will follow developments in this area with the eyes of the argus. As mentioned in my answer, ESA has revealed an improvement potential. Measures have been put in place that the Food Authority is now implementing. On behalf of the Minister of Agriculture, I would like to say that he is of course familiar with the work SV has completed, and the comment they had. If I am going to summarise the measures, I can say this in the following way: differences between the EU and Norwegian legislation will be corrected. It is important and proper that the transport should be carried out as carefully as possible. And there is now a course for animal transport drivers. – There is a question I know that SV has taken up. The Ministry of Agriculture is also actively organising the conditions for small-scale production around the country, where it will be possible to slaughter and process and sell the products locally. In addition, legislation on the protection of animals in slaughterhouses will be revised and it is also such that under the direction of the Norwegian Research Council, a project is in place to assess the research needs in the field of animal welfare. Stunning and killing methods are among the things that will focus on.
ParlaMint-NO_2004-04-28.ana.ud2420e959	I thank you again, and I just want to say that at least from our side we will focus on this question also in the future. What's desirable is that we don't ask any more questions of this kind in the questionnaire, but we're going to have a preparedness and focus on this question. If necessary, we will of course come back to Stortinget with it again if you have not tightened up!
ParlaMint-NO_2004-04-28.ana.ud2420e966	Then we can see that the Minister of Agriculture, whom I represent here, has his eyes on the matter, and the representative Ryan has his eyes on it. The result must be good!
ParlaMint-NO_2004-04-28.ana.ud2420e971	So we go to question 7.
ParlaMint-NO_2004-04-28.ana.ud2420e978	I will ask the Minister of Justice the following questions: «According to the Official Journal of the Bergen 28 March d.o.b. delivered a shopkeeper both thieves and evidence at the police station in Sogndal. The police were not interested. Is the Council of State saying that there is a correct response from the police?’
ParlaMint-NO_2004-04-28.ana.ud2420e987	Through the Directorate of Police I have obtained the following information in the case: ‘Friday 19 March 2004 c. %d %s %d %s" is "%d %s" 1700 report a shopkeeper in Sogingen Storsenter about the shop. The message was given by another person on behalf of the shopkeeper. The person they thought they were adding to the store was the perpetrator, who was still at the store. The message was received by the Operation Centre in Florø. At that time, there were no public service servants in Sogndal. The operator at the operating centre assessed that there was no basis for calling out crew overtime. It was agreed that the shopkeeper would deliver a message about the robbery at Sognal Police Station on Monday 22.3.04. The notifier was then turned over by telephone to one of the service providers who had a watch service in the district. The report stated that formal notice was given to the police on the following Monday. No agreement was made that the store owner should bring the suspect. Monday March 22nd, 2004, the shopkeeper met with the suspect at Sogndal Police Station. The store owner explained that there were several items taken from the mall, but that suspects were a sign of fresh work with only one item in their pocket. This item was a sponge for NOK 29.50. This was the only item that the shopkeeper was sure the suspect had taken. The shopkeeper thought that suspects had taken more both from his store and other shops at the centre, but he could not do any closer to the suspicion. The serviceman received and registered the shoplifting message from the shopkeeper. He also accepted the evidence, which was photos from the center's surveillance camera. These files were attached to your project. The store owner was briefed that the suspect would be called in at a later date. The suspect is an asylum seeker and known by the police in Sogndal from before. The reason the police couldn't remove him immediately was that he didn't speak Norwegian and very poor English. The police had no interpreter present. In addition, the police would have tried to dismiss something more, because they had some other issues they would dismiss him if at the same time. On Monday 5 April 2004, the suspect was deflected with the help of an interpreter. The case is still under investigation.’ I have no handling of this matter on the basis of the statement from the Police Directorate. However, I can inform you that the penalty framework for Naziry was lifted on my proposal, in order to enable shop clerks or sentinels to apprehend nostrils and then to notify the police. This amendment was adopted against the votes of the Workers' Party and the Socialist Left Party.
ParlaMint-NO_2004-04-28.ana.ud2420e997	It is clear that there are different circumstances that make the police unable to do things right away. I understand that. But when Lensmann Borlaug says to Bergen's magazine that they can't always explain the public why they make the choices they make, I respond. If you can't tell the public what to do, and why to do it, you don't create the trust that's absolutely necessary between the police and the people. The fact that this is a small trifle both in substance and in what is a chair is a little subordinate. But it should be so that when someone from whom it is trusted goes to the police, the police will take it seriously. It's a completely dependent on trust.
ParlaMint-NO_2004-04-28.ana.ud2420e1004	Of course, I fully agree with the representative regarding the last sentence that was expressed. Since the representative addresses the question, she naturally has a right to a proper answer. I have given this statement on the basis of information I have received from the Directorate of Police, which is, of course, based on local information. It is done the way I explained, so that you have reacted to the matter. You have dealt with the person responsible, i.e. the shop owner, and you have followed up the matter. What is an additional point, and of which I am not going to do a big political number, is that in its time, I thought – and I still mean – that it was right to tighten up the criminal provisions for Nazism, and that one could react with what is called citizen's arrest. It enabled the shopkeeper to do what he did in this case. He acted in accordance with the law. As far as I can see, he was also correctly received by the police, and the matter has been followed up. But the representative and I agree on one thing, and it is absolutely essential that you understand how the police act. That is why I have also taken the initiative of the police officers meeting with the rapporteurs in the different municipalities in their districts to discuss the general nature of communication between the population and the police.
ParlaMint-NO_2004-04-28.ana.ud2420e1013	It is a good initiative, which I will support, because it is unlikely that one has the necessary trust. After information from local authorities, until yesterday, the shopkeeper had not heard anything from the police. Of course, it's not quite good, either. When you start such a business, of course, the shopkeeper should also be informed about this. As I said, things aren't the biggest. But it's important that those who are going to use the police, whether they've been from a nostril or a nostril, have the necessary trust in the police. It's incredibly important. I support the Council of State in the last initiative that he said he had taken in relation to both the municipality and the police, because even if it's a small matter, it's very important in many communities.
ParlaMint-NO_2004-04-28.ana.ud2420e1022	I am aware that what can be a small matter one place, is always a big matter for that one. That's the way it is. It goes on the relationship with the state of law. That was why in my day I actually promoted the change of laws that allowed people to react to Nazism there and there. I have received a statement that, in my opinion, explains that the police have reacted in a comprehensive manner. But the representative and I agree that it is very important that the contact is good locally. After visits, for example: In Sogn and Fjordane police districts, I know they're paying attention to it. As a follow-up to what the police have done in the past, I have just underlined this contact between the management of a police district and local rapporteurs. It's the way that what's going on the table comes on the table. I'll quote my late mother-in-law, who had a golden principle. She said: abb – everything on the table. The representative and I share this point of view.
ParlaMint-NO_2004-04-28.ana.ud2420e1033	I have the following questions for the Minister of Justice: ‘The lack of money in the Eastfold Police Department has reached an unacceptable level. Significant budget cuts in the current year reduce the efforts of the agency in the fight against everyday crime. An increasing number of Eastern folds indicate that the cuts are safe. Limited resources mean, for example, that in Halden there is only one official to secure the city at night. Will the Government contribute funds to the revised budget to remedy the situation?’.»
ParlaMint-NO_2004-04-28.ana.ud2420e1042	The question the representative raises is important, and it was also raised in the spontaneous question time a week ago, but he will of course get the answer he needs. First of all, I would like to say that it is not correct that, overall, Eastfold police districts have had significant budget cuts for the current year. The situation is that, as part of the implementation of Phase I of the police reform, operating centres were established in all police districts. In addition to the 24-hour operations centre, one through the police reform has sought to increase the operational capacity of the police district. It is therefore wrong to look at how many men are ever connected to a police station at night. In the Halden-Fredrikstad-Sarpsborg area, the distance is often small, and I have been assured by the chief of police that Østfold has a stronger police operation than before, especially when one needs to invest more resources on serious missions. I gave an example of such a mission a week ago, namely a collection of twelve men and three dogs in a situation on the whales where it was very serious. As the police chief sees it, this has strengthened the preparedness of the police district. The police chief has also stated this in an excellent article in Fredrikstad Blad – a newspaper that I also notice the representative Hedstrøm has used in an article – where he has invited to a dialogue. There are now staff on active duty to receive messages at any time, and to send out patrols where there is a need. The Operation Commander has a commanding capacity and an overview of all patrols in the police district, and can use and strengthen resources significantly better than in the past. As a result of Phase I of the police reform, a significant number of positions have also been released from administrative to police operations. In addition, it can be mentioned that Eastfold police districts have significant tasks at the national border, and the district currently has 65 persons in custody, mainly in prison for drug trafficking and other border-related crime. Otherwise, after the reform, the police in Eastfold have made a significant contribution to organised crime in other ways. The district has had the main responsibility for the so-called methanol case with several hundred visions, and has otherwise rolled up environments behind the thefts of boats and boat engines for several million. This is, of course, a situation that is resource-intensive and may require internal re-priorities on the part of the police officer. The Ministry of Justice is continuously assessing the situation of the police's resources, and I will come back to this in budgetary terms.
ParlaMint-NO_2004-04-28.ana.ud2420e1055	I thank the Council of State for the answer. The reality description provided by the Council of State is different from that of the many policemen and the inhabitants of Eastfold have of the situation. The situation is completely unacceptable, both for the police and for the public. Priorities are being made, as the Council of State was concerned, every day, but the difference in the offer that can be made, and what is the real need, is enormous. We have had a number of ‘incidents’ lately that have gone to life and health loose, where the police have not been able to move out because of lack of resources. Many find this unacceptable. What will the Council of State do specifically to improve the situation, in addition to what he has described in his main reply?
ParlaMint-NO_2004-04-28.ana.ud2420e1064	I built my main response to the efforts of the police in Eastfold. I guess the representative thinks it is commendable to follow the methanol case. You don't plan such a thing, but when it shows up, you have to take it very seriously. I assume that the representative also thinks it is commendable that thefts of boat engines are being solved. It's the most everyday crime that affects people, and you're actually going into it. I assume that he also thinks it is commendable that you have policemen rolling in front of you, so that they can get together, like at Whaler. Then there's the general situation where I've never hidden the fact that the police have a tight budget. That's why I said I have to get back to it in budgetary terms. I get to quote myself from the spontaneous question hour, where I said that the challenges the police are facing, among other things. in view of the situation in Stavanger, will be discussed and addressed in the context of the revised national budget.
ParlaMint-NO_2004-04-28.ana.ud2420e1073	I thank the Council of State for the additional response, and we are meeting the revised budget. The rapporteurs in Eastfold are now gathering together, because they will also make demands in this situation. They believe this is so serious, especially in the cities, that they will make a request to the Ministry. We meet the revised budget, and then the parties also have the opportunity to submit their proposals, if we feel that this is not being followed up in a good way.
ParlaMint-NO_2004-04-28.ana.ud2420e1080	It's the way we always go about the budgets we have. The representatives of the Grand Duchy affect the budgets under consideration. However, let me say the following to the satisfaction of everyone, myself included, also the representative Hedstrøm and others who belong to: The budget for the current year was a settlement between the government parties and the Workers' Party. The 2003 budget agreement, concluded between the Government Parties and the Progress Party, strengthened the police budget by 46 million. kr of a total reinforcement of approx. DKK 5.7 billion. In other words, in the budgetary agreement, the Progress Party prioritised 99 pst. of what entered into the agreement, in areas other than those related to the fight against crime.
ParlaMint-NO_2004-04-28.ana.ud2420e1091	I will allow myself to ask the Minister of Justice the following questions: ‘All the more often, the police are facing armed criminals. The tragic police killing in Stavanger is just one example of this. After the signed experience, a light-arming of a police car will cost approx. NOK 125 000. It is today that there are exemptions from passenger car charges for light armoured vehicles for public use. In the case of a police car, savings in charges will be NOK 120 000. When arming police cars is almost free, why is this not done to a greater extent?’
ParlaMint-NO_2004-04-28.ana.ud2420e1100	After the robbery and the killing of a police officer in Stavanger, the Police Directorate has set up a fast-working group, including the police. shall assess the need for new and better equipment for the police. The use of so-called armoured vehicles is part of this assessment. I have been informed that this group will complete its work before the summer. In parallel, police data and material services are currently carrying out tests on two uniform call-out vehicles with fire protection. The level of protection chosen implies an additional cost of approximately NOK 75 000, even with a tax exemption. Both vehicles have been rebuilt in Norway. If the evaluation of the test shows that the test is successful, the task of building the vehicle may be published in tender. Vehicle fire protection could then be offered to the police districts. Police officers are responsible for the acquisition of materials, and so far there has been little demand for vehicle fire protection. In the Stavanger case, a type of weapon and ammunition was used that was so strong that the armor type that is now under test would not have been sufficient. In this case, the police vehicle had to have a heavy relief ring. This is only delivered from the factory. Such a vehicle would be too heavy for normal patrols and would cost at least 3,5 million. kr. The Directorate of Police states that guidelines for the use of armoured vehicles will be drawn up as soon as the Stavanger team has submitted its proposals. I would add that I attach great importance to this group both in terms of police equipment to move, i.e. cars, and how they are equipped, i.e. the debate that has led to forward-looking storage, and how this forward-looking storage should be. Now that the police have started this group, with – as far as I can see – policemen with good operational background, it is because I want it to be worked out. For me it is important to know that the work will be available approx. in the middle of June, so we can call it a fast-working group.
ParlaMint-NO_2004-04-28.ana.ud2420e1115	I thank the Minister of Justice for the answer so far, and it is positive to hear that he is concerned about the security of his servants outside. It is essential for them to feel secure and to be properly and rationally maintained. At the same time, I'm a little surprised to hear that there has to be such a negative episode like the one in Stavanger, to put a real focus on this. The Minister of Justice is otherwise busy being proactive, being ahead of the problems. So now we have an episode that we would all be flattered about. My fear is that we're always behind us, and we're acting after the negative things have happened. So I want a more offensive position from the Minister. In addition, I could imagine hearing the Minister's reason that it is today that ambulances and fire trucks are exempt from charge – that is a call-out vehicle – while the police's call-out vehicle is actually not. I could imagine making the minister explain the logic in this context, or the lack of such.
ParlaMint-NO_2004-04-28.ana.ud2420e1124	The last question was raised, explained and examined in the context of the budget for the current year, and the representative then presented its comments. The majority of the population then chose to have the scheme that now exists. Let me make it quite clear that, of course, the security of the police is crucial. Of course, that safety is linked both to vehicles and to other equipment, which is listed here. But it might also relate to something else, which in the debate was expressed in an excellent way by the head of the Police Union in Rogaland, I think it was, saying that we can't rely on fighting street strikes, but that we have to be in the forefront. So the answer is, to take a word that the representative probably agrees with me in: intelligence, intelligence, intelligence – that is, that you can be in the forefront. That is why I have also stressed the need to have a rapid transmission of the work that has been ordered in the past, and that is looking at the police's methods to get in at an earlier time.
ParlaMint-NO_2004-04-28.ana.ud2420e1131	I thank you again for the answer. I fully share the Minister's view that we should be prepared. But with the word "prepared" I hope that we will be in the forefront. Being prepared afterwards is something defensive at my discretion, even if we don't manage to prevent everything. It's about, as I see it, that you always work consciously and have an attitude to also maybe be able to predict what we hope to avoid should happen, and that you also have a certain degree of thoughts about how to deal with it in that case, cf. what was done in connection with the planned World Bank meeting here, where you worked well in advance. Then I want to address what the minister started his last answer with, namely that when the Justice Committee last fall took up the tax exemption, a majority rejected it. At the same time, I register that the minister will not answer what I asked for, so I will take the opportunity to ask again: since it is such that there are exemptions from the charge on a fire and ambulance non-pressurisation vehicle, why don't you have the same system for the police emergency vehicle?
ParlaMint-NO_2004-04-28.ana.ud2420e1138	Let me say that the Norwegian charging system is not always logical. It is a mixture of the purpose of the levy and budgetary considerations. There's no reason to wrap it up. Ultimately, this is about budget sizes and how the budgets should be. I have no objection to having a fair debate on it – of course not. The budget for which I am responsible, I am responsible, and the representative has the right to drill in this. But let me add as a summary, in order for there to be no doubt, that in order to combat the raw and tough and cynical form of crime we see, we must of course think of security, as the representative addressed first, and I pointed out to the directorate now. I've been busy for a long time, and I'm still. The other security is the one in front of it, and it's linked to other police efforts – let's call it a test effort. It is also an expression that I will come back to the revised national budget with the main framework for what I would call a new, eaten national unit in the police, just to go after the most serious forms of organized crime.
ParlaMint-NO_2004-04-28.ana.ud2420e1150	This question, from the representative Arne Lyngstad to the Minister for Education and Research, will be answered by the Minister for Fisheries on behalf of the Minister for Education and Research.
ParlaMint-NO_2004-04-28.ana.ud2420e1153	I will be asked the following questions: ‘The NRC notified on 22 March that approx. 400 young people in Akershus are at risk of standing without an apprenticeship for the autumn. It may seem that this is a problem that affects the whole country. In addition to private, it is important that public institutions also think more about the long-term and offer apprenticeships. Does the Council share the view that we can face a general shortage of apprenticeship places, and what does the Council of State think must be done to ensure sufficient space?’
ParlaMint-NO_2004-04-28.ana.ud2420e1162	The placement of apprentices takes place both in the spring and in the summer, but mainly in the autumn towards school start-ups. For example, in 2003 there was an increase in the number of problem drug users. per 1 % 1 May only distributed 1 200 apprentices, while the final figure per October 1st was almost 9,000 apprentices. Therefore, it is difficult to have a feeling about the situation on a country-by-country basis in October on the basis of Akershus estimates from the month of March. However, there are two challenges that constantly affect access to apprenticeship places in relation to the need. One is the economic development. We know that companies draw the most apprentice contracts when the prospects are good and the demand for goods and services is high. Fortunately, the government’s economic policy provides for increased employment and growth, so that the demand for apprentices can be expected to increase. The second challenge is that in the next few years there will be strong growth in the higher education colleges. This growth is coming across the country, but Akershus is the state that will experience the strongest growth. It is a challenge for the county councils that they have to meet with more activity to get employers to establish more places for apprentices. The effort must, as also pointed out by the applicant, be directed towards both private and public employers. In this context, I would like to stress that the students who are entitled to training under the Training Act will in any case receive the training they require. Those who do not get a contract with an apprenticeship will receive the final education in school. Although this training will not provide these students with the same company experience as the apprentices, they will receive the same training as the basis for the same examination. For the time being, I see no basis for the ministry to do anything in relation to apprenticeships. However, if the preliminary figures obtained in May on apprentice contracts were to give signals of particular problems, the Ministry and the Council of State would deal with these issues with the social partners. As you know, neither the ministry nor the county authorities have any opportunity to oblige companies to sign apprenticeship contracts, but active dialogue with the parties has largely succeeded in obtaining the number of apprenticeship places needed.
ParlaMint-NO_2004-04-28.ana.ud2420e1180	I thank the Council of State for the answer. Some apprenticeship places are very important to get good vocational training. I'm of those who are at the moment a little concerned about access to apprenticeships. Akershus is mentioned in my question. They wear with strong growth in the student coals. Also in my own county, Nord-Trøndelag, the training offices say that it is now more difficult to get apprenticeship space. It could be a little bit cyclical. In the Christian People's Party, we believe that these biases, such as: due to business cycles, we may need to think more about mobility across county boundaries in order to provide sufficient apprenticeship space. In addition to economic activity and increasing student numbers, it is linked to the increased interest in the professions. I am pleased with the willingness to engage in dialogue with the social partners. I'm aware that the government can't impose jobs on apprentices, but the government can stimulate it, and I think that's what needs to be assessed in the future.
ParlaMint-NO_2004-04-28.ana.ud2420e1191	The counting date for the statistical basis for the number of apprentice contracts entered into is set at 1 October, and that is when we actually get the full overview. But the Council of State fully agrees with the questioner that having an offensive attitude is important in motivating companies to deal with apprenticeships. Then it's enough that we have to be even more willing to look over the county boundaries. Personally, I have experience that apprenticeship places in another state work well, so the county boundaries must not become a barrier in this context. But the county councils have undoubtedly an important role to play. The Ministry has established cooperation with the social partners on vocational training in order to have a continuous focus on this with professional recruitment and on having a sufficient number of apprenticeship places. So this is an interaction between schools, county councils and governments.
ParlaMint-NO_2004-04-28.ana.ud2420e1198	Thank you again for your answer. I am pleased with the active dialogue that the Government wants to add up with the social partners. I think it's necessary in the time we're moving forward.
ParlaMint-NO_2004-04-28.ana.ud2420e1205	The Minister of Education is concerned about this and will follow it up in line with what has been said here.
ParlaMint-NO_2004-04-28.ana.ud2420e1214	I have the following questions for the Minister for Fisheries: ‘In connection with the ‘Rocknes’ spill, land was discovered in the Vatlestraum, which is part of the narrowest and most busy part of the ship’s trail to and from Bergen harbour. The reservoir has very unclean waters, with insufficient map documentation. Among the ships in operation are also larger tonnages with dangerous, polluting and large passenger ships with a high bunker capacity. Will the Council of State impose sailing restrictions in Vatlestraum?’
ParlaMint-NO_2004-04-28.ana.ud2420e1223	The government has a strong focus on coastal maritime safety in order to prevent accidents. With a coastline of 82,000 km, it is an extensive and challenging work. The accident with «Rocknes» has naturally given particular attention to the area of the Vatlestraum. The coastal works have now re-examined the safety of maritime traffic in this area. In the main trails north of Bergen, i.e. The Sture and Mongstad areas, the Coastal Plant has established its own sailing regulations due to the oil tanker traffic in the area. This area is currently being monitored by Fedje traffic centre. The Coastal Authority now assesses whether sailing rules should also be introduced in the main link south of Bergen, which includes, inter alia, the following: Watercourse dreams. At the same time, the Coastal Zone Assessment on the coverage of the Fedje traffic centre should be extended to include the entrance from the south, through the Vatlestraum and into Bergen. As a first step, there is a partnership with the Defense, which has camera surveillance of the Vatlestrum. The plan is to give Fedje central access to these images. This measure must also be seen in the context of the work of the Coastal Works on ship mutual warning procedures before they arrive at the Vatlestraum from the north or south. The aim is to ensure that larger ships can sail in the middle of the Vatlesroom without encountering any other traffic. I would also like to remind you of the international rules on the prevention of collisions at sea, the so-called maritime rules, such as: sets out specific requirements for the adaptation of navigation and the passage of narrow waters such as the Watershed. The coastal works have also taken action in relation to the marking of the water in the Watershed. Floating watermarks have been issued for the particular reason. At the same time, the Hiller lamp is adjusted to this reason. Furthermore, the Coastal Station investigates the possibility of removal of the relevant land in the Vatlestrum. Similar assessments are made in relation to the establishment of an alternative link through the Kobbeleia west of Bjorøy, in order to possibly separate north and south traffic in the waters concerned. The coastal works therefore assess a number of measures for the Vatlestraum. The sailing rules for the Vatlestrum must be seen in the context of the other measures, and I think it is right to await the entire work of the Coastal Works before deciding whether or not to introduce such provisions, but we have an opening.
ParlaMint-NO_2004-04-28.ana.ud2420e1242	I thank you for your answer. It is unquestionably positive that measures are in the process of being evaluated. This tragic accident is just as full of a reminder that we're dealing with the fairway of innskjär. What's special is that it's also densely populated, partly on both sides, and close to the fairway itself. In this context, we also get a reminder that it is important not only to look at the volume of traffic, but also the types of traffic we have. And as I mentioned in my introductory question, there are two types of traffic that give cause for concern. One is dangerous cargo, where tankers, for example, go. high-explosive product as petrol. Then – happily – there is a strong increase in cruise traffic to the port of Bergen, but the ships are getting bigger and bigger, and they have more and more bunkers loaded on board. Does the Council of State see that this is a particular risk and that there is a particular risk associated with this area? And does the Council of State think that the two main measures suggested are now being properly secured?
ParlaMint-NO_2004-04-28.ana.ud2420e1251	I visited Mongstad yesterday and met with local authorities, port authorities and maritime authorities. There is one thing going on again, and there is a strong commitment to having the highest possible preparedness and the highest possible certainty in what can well be characterised as risk area no. 1, namely the area south-north of Bergen with the large traffic going there, whether we are talking about oil, passengers or other shipping. The tragic accident of «Rocknes» shows how vulnerable the coast is, when an accident such as this can be avoided, with the consequences it has, among other things. for the environment. It takes six months from the accident, until we've done a complete clean-up after a relatively limited oil spill because of the risk involved. When we review the Vatlestraum with the background to the "Rocknes" accident, we look at, as I explained, all the elements, and we're going to draw a conclusion. But we've already taken measures to make shipping safer beyond this place.
ParlaMint-NO_2004-04-28.ana.ud2420e1258	The size has previously dealt with two Document Nos. 8 proposals related to oil protection in the area concerned. Will this area be dealt with in the notification of the total oil protection preparedness adopted by the Storting? And will local authorities, including The municipality of Bergen, the municipalities of Sotra and Hordaland County, are given the opportunity to make recordings that are based on safety and traffic restrictions?
ParlaMint-NO_2004-04-28.ana.ud2420e1263	We're going to, we've said, deliver a big message on these questions before Christmas. Yesterday I was presented with an analysis of the situation in Hordaland, led by former Countess Ravndal, a useful input into the work we are going to do. In addition, unfortunately, we have – if I may say so – a practical test through the ‘Rocknes’ accident. I consider that it may be necessary to postpone the submission of the notification in order to provide all the evaluations and assessments on which the ‘Rocknes’ accident is based. In case it would help to postpone the cancellation message, I will, of course, return to Stortinget. But I think it is important that all the experience we have now gained – unfortunately in the event of an accident – is also the basis for the analyses and measures we are going to promote for the Stortinget. It'll be more important for me to bring in all these things and hear all the implication than necessarily to keep pace. I hope the Storting will agree with that, if necessary.
ParlaMint-NO_2004-04-28.ana.ud2420e1273	I have a question for the Minister for Fisheries: ‘The ESA claims that the Norwegian crew rule on Norwegian fishing vessels is contrary to the EEA Agreement’s rules on the free movement of labour. This is contested by the Norwegian authorities. Does the Council of State consider that this part of the Act of Participation is such a fundamental part of Norwegian fisheries policy that Norway must bring it before the EEA Court, if necessary, in order to have the ESA’s position tested?’
ParlaMint-NO_2004-04-28.ana.ud2420e1282	The ESA decision is linked to the second paragraph of Section 3 of the Fisheries Prohibition Act concerning nationality and residence requirements for skippers and crews on board Norwegian fishing vessels. The background to the case is that in 2000 a Norwegian registered vessel was fishing with a Dutch captain and crew who did not meet the requirement for residence. On this basis, the Norwegian shipping company was fined, but brought an action before Norwegian courts claiming that the fishing ban law violates the EEA Agreement rules on the free movement of workers. The shipping company did not cooperate. The judgment is now valid, but the shipping company complained to ESA, who has taken the matter up. ESA is of the opinion that, by maintaining the nationality and residence requirement, Norway infringes Article 28 of the EEA Agreement and Articles 1 and 4 of Council Regulation (EEC) No 1612/68 on the free movement of workers within the Community. In Norway's contact with ESA, we have maintained that there is no breach of the EEA Agreement. Fisheries policy, resource management and access to resources fall outside the scope of the EEA Agreement. This implies that the agreement does not regulate resource management, regulation and quotas, structural policies and fishing rules. In our contacts with ESA, we have stated as Norwegian views that fisheries policy also includes access to the setting of nationality and residence requirements. The ESA does not dispute that the fisheries policy falls outside the EEA Agreement, but claims that this does not give Norway the right to restrict the free movement of workers. The Government considers the criterion of residence to be an important condition in relation to the real relationship between fishing vessels and Norway and coastal communities. The case is in principle, as it concerns an area which is initially exempted from the EEA Agreement. Furthermore, it is principled that the ESA’s interpretation would deter Norway from applying a criterion allowed under the EU fisheries policy in order to maintain links with the coastal communities. Following the ESA’s decision, Norway has been given two months to comply with its decision. In accordance with Article 31 of the ‘Agreement between the EFTA States on the establishment of a Monitoring Body and a Court of Justice’, the ESA may bring the matter before the EFTA Court if Norway does not act after that decision. The second option, as I understand it, is that the representative of Bastisen asks that Norway bring the case before the EFTA Court in accordance with Article 36 of the same agreement. Such a case may be brought on the basis of lack of competence, material maladministration, infringement of the ‘Agreement between the EFTA States on the establishment of a Monitoring Body and a Court of Justice’ or of the EEA Agreement, rules of law governing their application, or abuse of powers. As far as I know, no EEA/EFTA country has made use of this procedure, which I consider to be less practical in the present case. The question of the competence of ESA will be raised from the Norwegian side if ESA chooses to sue Norway. In the case of the reasoned opinion itself, it is to be assessed in accordance with the guidelines applicable to such cases. As part of this assessment, the Government will address all legal and political aspects of the case, including the management of ESA. So it won't be right for me to go into more detail at this point in time.
ParlaMint-NO_2004-04-28.ana.ud2420e1303	I thank the Council of State for the answer and have an additional question. Fisheries policy is not part of the EEA Agreement. Nevertheless, ESA claims that the free movement of labour is one of the fundamental principles of the EU and that the Norwegian Act of Participation must be set aside. But is it that the free movement of capital is one of the fundamental principles of the EU? We have been granted a derogation for investments in the Norwegian fishing fleet. Should we not have also been granted a derogation in the matter of manning the fishing fleet?
ParlaMint-NO_2004-04-28.ana.ud2420e1310	This case is linked by ESA to the former Fisheries Borders Act, now the Fisheries Prohibition Act, which deals with nationality and residence requirements for skippers and crews on board Norwegian fishing vessels. The law of participants is not the basis for this, but it is right that the law of participants has a reference to nationality and residence requirements in the Fishing Prohibition Act and could therefore be affected by raising such a problem. However, this will raise other legal issues of establishment in the fishing industry than those which have so far been raised by ESA, so it is important to keep these two relationships apart. With regard to the rules of establishment of the EEA Agreement, Norway has a clear exception which allows us to continue to apply restrictions to foreign nationals who wish to establish themselves in fishing or in companies that own or operate fishing vessels. What this matter is about, is that at least 50 pst. by the crew and the skippers on board the vessels must be Norwegian or resident in Norway.
ParlaMint-NO_2004-04-28.ana.ud2420e1317	I thank you again for the answer. Until now, the Norwegian Governments have raised the issue of veto or bring it before the EFTA Court. Does this mean fear of sanctions from the EU? What fears will the Council of State have if Norway brings the Act of Participation before the EFTA Court?
