ParlaMint-NO_2004-06-17.ana.ud979e245	The representative Audun Bjørlo Lighthouse will make a private proposal.
ParlaMint-NO_2004-06-17.ana.ud979e1237	I am a little surprised, but not surprised, when the Workers' Party and SV disagree with the market thinking in the municipal sector. They believe that the development of municipalities should be politically directed, and this can be partly agreed, but it should be politically directed at the market, i.e. the population, conditions and premises. Research shows that the trend both in Norway and in other countries is that we move to more market thinking, and that the population will be able to choose what offer they will have and how they will have these offers. This cannot and should not govern politicians. Citizens must have the freedom to choose. Karin Andersen mentioned in his article the nursery arrangement and that it is now being added that there is room for everyone in the nursery, i.e. Anyone who wants to. Now it's going to be like this once that everyone is going to fit in a kindergarten, hopefully not in the same one. Most municipalities have several kindergartens, both municipal and private, i.e. the choice of parents. The same holds that the Progress Party should apply in several areas, including: in the care sector and school. This can happen when the money follows the user and competition so that the quality of the services is improved and service providers have to compete for users and residents. The market, i.e. citizens, shall direct the development of the municipalities, not the politicians. It is regrettable that the socialists want a sort of democracy, with the slogan: choose us, and we will rule you.
ParlaMint-NO_2004-06-17.ana.ud979e1246	The Social Committee discussed earlier in our St.meld. No 45 for 2002–03 Improve the quality of municipal care services. Here, too, tenders and competitive tendering are a central instrument of the Government. But then the question is whether this is an effective tool, both in terms of costs and quality. That's what the big message says a lot about. In the case of costs, the Government of Great Britain states that: "It is therefore difficult to say exactly about the potential for cost reductions in the local government sector on a general basis." Furthermore, in connection with Aplan's investigation in Trondheim: "The investigation does not show any significant cost-reducing effect of the competitive launch." What goes on to say is: "When it comes to the use of supply competitions, most studies indicate that this has the greatest impact on costs in the short term." It is therefore true that when a service is put out for competition, those who want to enter this market and win the competitive bidding process will put in a low price and these costs will gradually rise. So it's the way that competitive outsourcing itself makes it possible for those who work in this sector to run even faster and do the work in even shorter time. What about the quality? Econ has summarized experiences from both Sweden and Norway about this. They conclude by: "ECON's analyses do not show significant findings relative to changes in "objective" measurable or user-defined quality." In summary, then, what we have from experience and serious investigations gives little reason to say that costs or quality are affected in a positive way by the outsourcing and outsourcing of competition. In spite of this, the Government Parties and the Advance Party will nevertheless facilitate more competitive outsourcing and tenders in the municipalities. In the light of what I have said, this can only have one reason: the ideological. The government also says in St.meld. No 45: "The drug target of being exposed to competition itself acts as an incentive to operate the business more effectively." Well, it's the threats that are going to make the services better, and not cooperate with the employee.
ParlaMint-NO_2004-06-17.ana.ud979e1283	Much of the debate has been about competitive outsourcing and privatisation. The last speaker was referring to this with ideology. I must be allowed to say that for the Progress Party, we have no principle that everything should be privatised. There's no desire on our part that we privatize everything, that's not the goal. For us, the goal is for those in need of services to be more able to determine the quality of the services they receive. It's not that because if we use a tendering principle and get more competition into the picture, it's released in relation to people running faster, and there's going to be more pressure in the workplace. The authorities are still the ones to regulate. I think it is a little sad that when you talk about competition and services, it should be so black and white. Competition works in many other areas, and then I think it can also work in this field. I would just like to comment briefly on the proposal No. 16, 17 and 18, from the Progress Party. As regards proposal No: 16, there is an almost equivalent proposal from the Workers' Party, SV and the Centre's Party in the vote, i.e. proposal for Decision V. The only difference is that we believe that if there is to be any proposal for that type of plan, there must be thoroughness on the basis. Then we have to spend some more time, and I don't think that such discussions will lead to any results if we are to get this into the 2005 budget. That is why we propose here that the Government should be able to submit a proposal in the 2006 municipal bill. As regards proposal No: 17, it is only a clarification of the agreement we have concluded with the government parties that the Government of the State budget for 2005 follows up the agreement between the Ministry of Social Affairs and the host municipalities in 2005. It's a clarification, it might be a little unclear, what's in the notes and in the agreement, but from the Progress Party it's very important that we follow up that agreement. I regret that proposal No. 18 is a little bit unclear. The point of view of the Progress Party is to include the 14-municipal group in the compensation scheme for the employer’s contribution. We believe that this matter is not fully resolved yet, and that the Government should consider whether these 14 municipalities should also be included in the compensation scheme in which the rest of the Municipality-Norway participates.
ParlaMint-NO_2004-06-17.ana.ud979e1297	I'd like to comment on two aspects. One is the partial reversal of corporation tax. When the government here provides a model where seven municipalities, from the South and the North, seem to get more money, for example. Six out of 21 municipalities in Rogaland seem to get more money, the rest get less, it's a model that the Center Party cannot accept. We also have ears in relation to the point of view that comes in. I would like to remind you that both the KS and the LVK think one should look at such a conversion in connection with the work that is going on about the income system. There is now an insecurity created from the plural on how the situation turns into the fall. There was a similar insecurity at that time last year. Then it was a rush and a psychiatry. Then the government got back into a separate case, but there was no change in a comma in the distribution relative to what was in the municipal proposition. I hope that the Progress Party here has protected itself a little better than last year. Then there have been various debts when it comes to black measurement. I thought it would be just as crazy whether we did a black polling or a beauty measurement of the situation in Kommune-Noreg. Our approach is realism. It's said from both the Workers' Party, SV and the Center Party that we want simplification. We want modernisation and more efficient, but we want them to be involved. The centre party believes that the best resource the municipalities have is happy and qualified to add. This means that, in addition to modernisation, there is a need for consistency between tasks and resources and the need for a plan to correct the economy. The last two recordings have arrived in the last 24 hours. The City Council in Lillesand has taken decisions to protest against both government and big business in the local economy. The President-in-Office of the right shall meet with the Council of State on this matter. The second recording is from the education director in Rogaland, who finds reason to report when it is due in the school. It's not a black measurement to be realistic about the future. It is the most important thing we have in this country. It's about securing a good school for our children.
ParlaMint-NO_2004-06-17.ana.ud979e1308	Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 3484]]
ParlaMint-NO_2004-06-17.ana.ud979e1323	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2004-06-17.ana.ud979e1338	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2004-06-17.ana.ud979e1353	No one has asked for the floor. [[See page 3487]]
ParlaMint-NO_2004-06-17.ana.ud979e1368	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2004-06-17.ana.ud979e1383	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2004-06-17.ana.ud979e1400	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2004-06-17.ana.ud979e1415	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2004-06-17.ana.ud979e1430	No one has asked for the floor. [[See page 3488]]
ParlaMint-NO_2004-06-17.ana.ud979e1446	No one has asked for the floor. At the request of the Church, Education and Research Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 12 and 13 are treated together. [[See page 3488]] - It is deemed to have been adopted.
ParlaMint-NO_2004-06-17.ana.ud979e1475	At the request of the Church, Education and Research Committee, the President will propose that the debate be limited to 1 hour and 40 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Right 20 minutes, Advance Party 15 minutes, Socialist Left Party 15 minutes, Christian People's Party 10 minutes, Center Party 5 minutes, Left 5 minutes, Coast Party 5 minutes. In addition, the representative Jan Simonsen will have a speaking time of 5 minutes. Furthermore, the President will propose that there be a replication of up to three lines with replies after the speeches of the main speakers of each party group and five lines with replies after the contributions of members of the Government within the allocated speaking time. Furthermore, it is suggested by those who have to sign up for the speaker list in addition to the allocated speaking time, that they have a speaking time of up to 3 minutes. - It is deemed to have been adopted.
ParlaMint-NO_2004-06-17.ana.ud979e1486	It is an exciting setting we have for treatment today. The follow-up to the 'Culture for Learning' school message has triggered many debates throughout School-Norway. I would like to thank the Committee for constructive contributions and for the challenges I have had as rapporteur-in-Office. It's been both rewarding and demanding, and I'm glad to say that we're presenting an attitude that shows that we're together on the school's goals: giving children and young people education, personal development, knowledge and skills. The Committee stresses the role of the school as a cultural and valuer and that teachers are the school's main resource. This is why we are united in facilitating a historic lift of skills that is of central importance to the development of a better school. Greater local freedom for schools must be followed up, including: by up to 25 pst. hours in a trade may be disposed of locally. We will strengthen counselling, develop parental cooperation, have several hours in childhood, renew youth, maintain the right to special education and improve adapted training for all. The basic skills shall be integrated into the new curricula for all subjects. There are also a number of minority proposals in the vote, which I expect the individual parties to comment on themselves. I would further point out that there is a majority behind the government's school reform on all the essential points. In addition to the above, it is a majority, of the Party of Advancement and Government Parties, in order to introduce admission requirements for teacher training, to simplify the structure of secondary education and to increase the requirements for study competence. Together with the Workers' Party and the Advancement Party, we agree to introduce mandatory second language foreign language at the youth level, and national tests should continue to support learning and ensure adapted training. Together with the Workers' Party, the Advance Party and the Centre Party, we agree to introduce the freedom of method for schools by abolishing the "Broen" and introducing the "School Plaka/Teaching Plaka" instead. One of the problems in school is that much is regulated at the level of detail. Therefore, more than in the past, we will trust the teachers and give them the freedom to choose the organisation and design of teaching. For the Christian People's Party, the role of the school consists of two equally important elements: it must form and educate. They're equivalent and mutually dependent. "The most important story in the ten-year comprehensive school syllabus is still the record of the merciful Samaritan," wrote Alfred Oftedal Telhaug in the Evening Post last autumn. "The school's task is to develop students both as citizens, as cultural people and as fellow human beings." He further points out: "The students cannot evolve as independent and creative people without the strenuous work of acquiring knowledge and skills." "No independence without knowledge, no creativity without knowledge." The School Communication introduces five basic skills which are to be provided throughout the curricula for all subjects on each subject’s premises. These are reading, writing, billing, digital competence and verbal expression. The school shall also develop students through work on values, ethics and culture. Learning and skill objectives shall not be at the expense of the role of the contractor. The education of the general public shall characterise the entire curriculum and be continuous in the course of training. Skills must not reduce the need for ethical, social and cultural competence. The school shall contribute to the overall competence of the students. This is why the interaction between the educational and educational role of the school is so important. To develop a good school, we need many and competent teachers. Teachers are the school’s most important resource! The Christian People's Party is particularly pleased that the teachers are now to be given a level of competence. Over the next few years, NOK 2-3 billion will be spent on this. It's a good investment. We need motivated and committed teachers to create a better school. Education research shows that the teacher is crucial to the student’s learning outcomes. It is therefore important for the development and learning of children and young people that we have good enough teachers in school. The role of teachers is under strong pressure to constantly adapt and address new challenges. Therefore, we need to have a good teacher’s training and contribute to the appreciation and respect of the teaching profession. Parents are engaged in school every day. That's what I'm talking about. That's what I'm talking about. That's what I'm talking about. I have received many enquiries from worried parents who are concerned about the school. This is good, because the parents have a big impact on the students' relationship with the school. At the same time, we know that the quality of parental cooperation varies greatly from school to school. In several schools, cooperation has been vitalised by the fact that schools and parents themselves have established local cooperation venues. The Christian People's Party wants to provide opportunities for new channels for participation. That way, we can revitalize parental cooperation in school. The legal provisions of the School/Home Cooperation Training Act shall be maintained in order to underline the right of all parents to cooperate with the school. But it is a fundamental problem that the members of the Parental Committee for Primary School - FUG - are appointed by the state and not directly elected by parents. On the one hand, the FUG Consulting Body and the Ministry’s adviser are on behalf of parents; on the other hand, the FUG shall provide advice and information to parents. That is why the Christian People’s Party wants school parents to have their own elected and independent speakers before the authorities. This will give parents a real influence over children’s school days. A solid lashing from below and contact with the basic plan are prerequisites for a parent sample at national level. The primary responsibility for child education lies with the parents. The outcome of the school's efforts will depend on the interaction between home and school. The Christian People's Party will therefore strengthen this interaction and stimulate parents to participate in the school's work. Training in Norwegian is being strengthened. We have two parallel writing languages in Norway. Knowledge of and use of both forms of writing enriches our Norwegian language. For this reason, written training is continued in triplicate. At the same time, measures shall be implemented to improve training in new Norse. The Ministry will set up a national centre for neo-normous training. The activities are set up in conjunction with the Ivar Aasen Institute at the Högskulen in Volda, which is to guide the development of the subject's content, working methods and assessment methods, contribute to the development of competence and provide guidance to schools in the work on motivation and learning of neuron. I believe it was a good agreement with the Workers' Party about the model we found in the Norwegian exam. I am pleased that there will be one written exam in Norwegian in primary school where students will be tested in both primary and secondary objectives, and that the mid-term exam will be converted into a draft subject. In addition, national samples will contain tasks in both target forms. The extent of this is determined by a more detailed assessment and in cooperation with the professional communities concerned. The Christian People's Party will strengthen the advisory service. A high-quality educational and professional advisory service can contribute to safer choices, less delays and better opportunities for individual students to realise their skills and facilities. The central part of the advisory role is acute competence for individual guidance and support for students in their choices. It is therefore necessary to establish more provision of continuing training. Vocational and training guidance should also be included in teacher training in order to enhance competence. Recent research shows that a significant percentage of today’s school students have some major mental problems, including: as a result of the value pressure under which they live and the lack of adult contact. The Christian People's Party believes it is essential to take the problems of young people seriously. A good social educational counselling service is therefore also important. The Christian People's Party has previously highlighted and will again stress the importance of the renewal of youth. The cancellation message follows up on this with, among other things. propose better adapted training, more practical content and greater possibilities for immersion through programme proposals. The review of reform 97 concludes that there is a particular need for changes at the youth level. Therefore, efforts are needed to increase the level of knowledge and thus also be able to do more with the learning environment. Research and educational development in relation to youth must therefore be strengthened. When up to 25 pst. The number of hours can be used for local organisation, giving schools great opportunities to achieve better adapted training. The Government’s strategy for entrepreneurship in training should stimulate the growth of youth enterprises. This is linked to the school and contributes to varied and practical training. The objective of renewing youth must also be given priority in terms of increasing the competence of teachers in youth. In the case of secondary education, it is important to remove structural barriers that prevent students from completing the training. We are therefore making some adjustments to the Government's structure, so that there will now be nine vocational education programmes and three study specialists. I'd like to mention an incurrency. On page 36, first column of the configuration, three words must be removed, namely: "media, communication and", so that there will be standing "a real depression in the field of design". Media and communication are maintained as a separate educational programme, so that design and crafts stay together. Natural management is shifted to natural use in the professional programme and one of the four programme areas will be called the social sciences and the economy. Design subjects shall have 1309 years and ethics shall be included in the curricula also in the vocational training programmes.
ParlaMint-NO_2004-06-17.ana.ud979e1550	The representative, Elsa Scarbøvik, has fixed a bug. It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e1555	An important issue for the Workers' Party has been to expand the hours at primary school, at kindergarten, so that we can get more space for basic education, physical activity and homework. I recorded last year that the parliamentary leader of the Christian People's Party, Jon Lilletun, said this was a socialist airlock. In the budget agreement for the current year, we agreed to extend the hours from the harvest. Then came the Government, with the Christian People's Party, proposing to extend further from next year by. We are very pleased about that, but there are still too few hours compared to the arrangement for which the Workers' Party and SV are in favour. Does that mean that the "red danger" is a little less, and that the Christian People's Party will help us realize our "airlock," or, I would say, our vision for primary school with an increased number of hours? And will they agree to take a step further when we have completed what is now getting a majority here in the Storing today?
ParlaMint-NO_2004-06-17.ana.ud979e1564	I don't know if there's any point in realizing an airlock. The Christian People's Party has agreed on the five hours that are now coming to the harvest, and that it is expanded by another three hours next year. Then the Christian People's Party wants to prioritize resources in a different way, namely by focusing on the teachers. Now we want to give priority to the level of competence of teachers. It costs money to expand school hours, and in addition, you need teachers to teach in these hours. It turns out from studies that it's very dependent on the teacher how the dividends of these hours are going to be. That's why we've now prioritised the issue of professional competence for teachers and not any further expansion, for the time being, at the nursery.
ParlaMint-NO_2004-06-17.ana.ud979e1571	Case rapporteur Skarbøvik of the Christian People's Party has spoken hotly for increased room for action to the schools. It is a principle that the Progress Party supports and subscribes to. What is important is that the increased space for action is not a space for saving, but a space for quality development. Therefore, we are somewhat surprised that the Christian People's Party is not concerned with strengthening supervision, so that when, on the one hand, we increase the space for action and have confidence that the traders are acting sensibly, we are also guarded afterwards by strengthened supervision, as we see it in many other European countries it is natural to compare with. Then the representative Skarbøvik of the Christian People's Party spoke warmly about parental influence. Further to the idea of supervision, we also see from countries that we can gain experience from giving parents a role in supervision. Will the Christian People’s Party help strengthen supervision and also give parents influence?
ParlaMint-NO_2004-06-17.ana.ud979e1578	I fully agree with Mr Sortevik that it is important to increase the scope for action. And we're now going to fix that. At the same time, quality development will also be strengthened. That is why I believe that we are aware of the fact that this is getting better, among other things. also through the national tests, and through good follow-up by the education directors, and it works well. The Christian People's Party is therefore pleased with what is now being added to it, that you can follow up on how school development will now progress, and that parents will be involved in school. I strongly underlined that I now wanted a new model for parental organisation by building it up from below. Parents are therefore given a representative body so that they can follow up even better and be representatives of schools and parents.
ParlaMint-NO_2004-06-17.ana.ud979e1583	Elsa Scarbøvik said that the teachers show confidence in the setting and message and that they are given greater local freedom. I have a hard time seeing what that means. I see that 25 pst. hours shall be available locally, but there are also strong indications in the majority of the observations. We're going to maintain the exam, we're going to have curricula the same way as before, the "Broen" is going to be replaced by "Placard," and it's also going to be regulation. We're going to have tests that are mandatory, and there's going to be several mandatory subjects in almost the same hour. Where is local freedom? It's very difficult to see where it is, and what this implies by local freedom. On the contrary, it becomes a central government that makes local freedom less than it has been in the past, because we know that there is something that governs activities now, and that characterizes what happens in school, it's central tests. And now we don't just get the exam, but we're going to have new tests that everyone is going to be subjected to. So, this is no more local freedom, rather the opposite.
ParlaMint-NO_2004-06-17.ana.ud979e1588	I think we're adding up to a larger local freedom. The 25 pst. is not a trifle, it's not just something. That's actually 25 pst. of each subject's number of hours, and it may give a large number of results in terms of adapted training for each individual student. In addition, there must be still curriculums, but they must be different in that there are clear objectives to be set. But the way to achieve this goal is full freedom for the individual learner to figure out. What's big is just to take away the bridge, where there was a lot of control about how to achieve that goal. It's not in the new "school poster," so here it's less central management, while SV is holding the "Broen" and wants a clear method. SV was involved in the introduction of national tests. I can't see there's any big difference in this right now. We've agreed on this in Stortinget in the past, and we're going to go on with this.
ParlaMint-NO_2004-06-17.ana.ud979e1597	The cord shift is over.
ParlaMint-NO_2004-06-17.ana.ud979e1600	A good basic education is the entrance to full participation in society. Good education provides the basis for personal growth and a life of active action in common with others. The public school is the most important common meeting place in our society. Ensuring equal rights to education and creating a good school where different children can meet and develop with others has been and is very important for the Workers' Party. No children are equal, but everyone has the right to have the same opportunities. It is therefore important for the school to meet the individual’s learning needs and to ensure appropriate training. Not everyone has the same prerequisites for learning. This has been a common goal in school policy for many years. But unfortunately, we have to find that primary school has not been able to provide full equivalent training to all students. In the evaluation of L97, it is called inter alia: that the school seems to be best suited to those who are common and average. The evaluation of Reform 97 correctly shows that there is also a lot of good going on in primary school. The school is generally well reported by students, teachers and parents, but the evaluation also reveals that, unfortunately, there are considerable differences between classes, between schools and not least between municipalities. There is broad political agreement on many of the proposals that come from the quality committee's setting and are now presented in St.meld. No 30, Culture for learning. At the same time, the treatment of the Church, Education and Research Committee reveals that there are still political differences in education. But in my opinion, the main difference between the different parties doesn't go on content and quality at school or what students are going to learn, even though this is also clear nuances. The main contradiction between the right and the left is related to resource input and to the amount of Community resources they will allocate to ensure good quality of initial training. The compromise between the government parties and the Progress Party in a case earlier here today about the municipal economy does not promise well in following up all the good intentions we are making here today. The last working party was in government, we put down the Quality Committee. The aim was to increase the quality of basic education. The biggest message presented just before Easter by the State Council, Klemet, is based largely on the Quality Committee's settings. I am pleased that the Council of State has moderated Clamet in relation to a previous overdramatisation of the weaknesses of the Norwegian public school, and that she now determines that we have a good starting point to make the Norwegian school even better. It may have a basis in all the knowledge she has now gained. I am pleased that the fundamental objectives of the overall curriculum are being pursued and that the principles of reform 94 are being continued. Someone joins in reforms when they have been working for some time! The working party, together with the SV and the Centre Party, has a different approach to an overall aim of competence for the students. Of course, basic skills are important, but we believe, like the Quality Committee, that social skills and learning skills include: must be included as a central element. There has been a lot of debate about the national tests, and I think that the setting and joint comment between the Labour Party and the government parties is a good continuation of how one thinks about the national tests. I have recorded that the Council of State has also taken over some of the criticisms and questions about form, publication, time and that one should also have other criteria in relation to quality in school, which are to be used as a basis for an overall quality assessment. With that foundation and the fact that the Storting has joined in the introduction of national tests, I believe that it promises well in the future. I would also like to emphasise the compromise that the Workers' Party and the Government's parties have entered into with regard to the cross-target training. This is a very good basis for ensuring the widest possible consensus on the follow-up to secondary school education, which needs to be strengthened. I would just like to mention that we are maintaining the examination systems both in primary and secondary schools, even if it is made a draft course in high school. We also introduce testing in lateral dimensions in national samples. It seems a little strange to be in touch with the Right to introduce testing into lateral dimensions, but at least that is the content of the compromise. That is a good compromise, which I also believe is well accepted in the target movement and seen as a good basis for many possibilities. Of course, it is regrettable that government parties do not go far enough in extending school day. We believe that an extended and fixed time frame for the school day can enhance the quality of primary education. The working party therefore proposes to increase the number of hours by a total of 12 hours in its setting. Through this proposed increase in the number of hours, it is possible to achieve the objective of counselling, strengthening the central subjects of Norwegian, math and English and introducing physical activity every day. The working party believes that it is important that the students, especially in the first steps, are guaranteed a complete set-up. In this context, we also feel that the school leisure system belongs naturally. It's used by tens of thousands. We believe that the SFO should continue to be a voluntary offer to those who need it. Despite the fact that the scheme is a municipal responsibility, we find it regrettable that there are large differences in service provision and price between the different municipalities. A majority of the committee has previously asked the Department for a plan for the development of the SFO, and we find it a pity that the Department does not find reason to make such a plan. The Labour Party believes that small teaching groups and good teachers are essential in order to achieve the goal of more adapted and better training. At the same time, we believe that it is important that the students belong to an organisational unit and that they have a master teacher to deal with. That is why we support the proposal on basic groups in the vote. We believe it is important that the students are part of a social unit that is not too large. This will provide students with security while allowing the responsible contact teacher to follow up more closely on the individual student and home school contacts. According to the recommendation of the Quality Committee, the Working Party believes that such a group should be limited to 12-15 students. We register the government parties do not want to support this. I guess we think that's a little bit strange given the evolution we've seen in group sizes since the class division was lifted last year. The Labour Party is disappointed that the Government will build new barriers between professional and study preparation, including: by imposing stricter requirements on study competence. It bears witness to my opinion of a somewhat old-fashioned attitude, where universities and colleges should only be reserved for a certain type of student. The working party primarily considers that all those who have completed secondary education should be prepared for study. In this context, there is reason to recall that this was also the majority’s proposal in the Quality Committee, among others. with the following reasons: Initial training is significantly enhanced by a strong emphasis on basic competence/skills. Initial training has been extended and the adapted follow-up of the individual has to be reinforced. An adjusted curriculum and a renewed structure of secondary education provide increased depression and specialisation. There is a trend, both nationally and internationally, towards a reduction in the boundaries between education and training levels. For example, real competence is a principle used for admission to further studies. Quality reform means that higher education students are better followed up and that the learning environment is strengthened. In addition, several pilot projects have been successfully carried out. It is also confirmed in the recommendations of the Ministry. Since the 1970s, a basic objective for the development of secondary education has been to maximise the equivalency between practical and theoretical training. This development is trying to break the government. It is therefore a small pleasure that, despite this, the Government does not fully support its objective of making a clear distinction between professional and study-preparing directions. I refer then to the transfers made by the Committee in relation to the individual in the field of vocational education and training. The Labour Party is also pleased that a Joint Committee wishes to restore some subjects with general study competence to the vocational study programmes. A majority oppose the Government's proposal to weaken parental participation by asking the Ministry to maintain cooperation committees, parental councils and school committees. A majority of the Committee also wishes to maintain the role, responsibilities and organisational links of the FUG. We in the Workers' Party are very pleased about that. Parental participation is necessary and one must not put the parents in the position that they must first fight for new structures before they can take part in their responsibilities. It is important that we bet and strengthen the common school, so that it is not weakened as a Community arena. It is a fact that the level of education of parents still has a lot to say for pupils. Therefore, if we are to achieve the goal of tailor-made training for all, we cannot accept that already existing school-level differences are reinforced by fundamental changes in school. It is then important that the changes proposed here be continuously evaluated and that they be followed up with enough money.
ParlaMint-NO_2004-06-17.ana.ud979e1660	The President wants to ask if any proposals should be made.
ParlaMint-NO_2004-06-17.ana.ud979e1663	That's what I'm going to do. I thank you for the reminder, and take up the proposal from the Labour Party in the vote.
ParlaMint-NO_2004-06-17.ana.ud979e1668	The representative of Vidar Bjørnstad has taken up the proposal he referred to. It's going to be line change.
ParlaMint-NO_2004-06-17.ana.ud979e1673	There is a broad consensus on the teacher's importance for the school environment, the student's ability to get professional benefits, for well-being, for social climate in the class and for the school as a whole. The good teacher is in many ways gold worth to the school. This is why the Government has proposed - and the majority will support it - that admission requirements be introduced for teacher training. It's the Workers' Party against it. Does not the Workers' Party see the great importance that the teacher has for a better school? In the event that the answer to the question is yes, has not the Workers' Party considered a single action to be taken to ensure that the best students are recruited for teacher training and also to ensure that they are maintained in the school community?
ParlaMint-NO_2004-06-17.ana.ud979e1680	I fully agree with the representative of Voie that the teacher is the most important person in the school in terms of training. We support virtually everything that is said about skills development for teachers in the paper, and also the suggestion that one will spend 2-3 billion kroner on strengthening skills development, not just for teachers, but for school staff. Of course, it remains to be seen whether we can manage to bring this into the budgets of each year, because we are not adopting a budget here today. There must be a call back to the ministry for us to meet a plan for the use of these funds. In terms of admission requirements, we had a full review of teacher training half a year ago. We don't think there's any basis for going in and changing parts of this. We believe that, in isolation, setting admission requirements today will remove the focus from what is most important, namely the content of the education that teachers receive in higher education.
ParlaMint-NO_2004-06-17.ana.ud979e1687	The representative Vidar Bjørnstad from the Workers' Party was at the end of his article on parental assistance, and spoke hotly for it. The Advance Party is pleased that the Workers' Party is talking hot for parental assistance, because there is little about it in the Workers' Party's own programme. With one exception, there's nothing there. The exemption states that: "allow pupils, parents and teachers to participate in the evaluation and quality development of school and education". At the same time, the Labour Party says that they are strongly reserved to provide parents with information on the results of national tests. How can this be related? What information will the Workers' Party allow parents and supervisors to get about the school's results? And should the school's results be measured against something? Are they to be measured against national results, against regional results, against county results, against local and municipal results, or are they not to be measured at all? Is it perhaps the answer from the Workers' Party, that the results in school are preferably not to be measured?
ParlaMint-NO_2004-06-17.ana.ud979e1699	If one is to take part in the views of the Labour Party on parental responsibility and parental participation in school, it is not just to read the batch program. But it is actually in the setting here today that our positions are being deepened, which we very much agree with the Progress Party on. In the case of national samples, they have two purposes. One is to measure a national average, and one can do by taking a statistical sample. However, the main objective is for national tests to be educationally supportive for each school, teacher and school owner. This means that we must follow the unanimous view of the Storting that compulsory tests should be carried out for several years. We don't go against publication, but we say that the assessment of the form, how and at what level, we want the ministry to cooperate with parent, student and teacher organisations. It is actually the same scheme as the State Council itself expressed in a letter to the Education Association.
ParlaMint-NO_2004-06-17.ana.ud979e1708	SV is alone on a proposal where we ask the Government to consider investigating and making proposals for changes to the purpose paragraph. Today, we have a purpose paragraph that says that the school should help parents to give their children a Christian sentence. In a pluralistic society, where different religious and life views live side by side, it is clear that we cannot have such a paragraph. We know that the Value Commission set up a separate school group. This school group proposed a new purpose paragraph. It was a proposal that had broad support, from the Norwegian Church and most of the great religious and life views here in the country. In my opinion, we should seize this opportunity, where there is a broad consensus to go in and make changes to the purpose paragraph, just to give this signal to the different religious and life-view societies. Why will the Workers' Party not be involved in such an SV proposal? [[President clubs]]
ParlaMint-NO_2004-06-17.ana.ud979e1717	It will be answered by Vidar Bjørnstad.
ParlaMint-NO_2004-06-17.ana.ud979e1721	He will.
ParlaMint-NO_2004-06-17.ana.ud979e1726	The working party does not wish to take part in any stunt decision on an important theme relating to the purpose paragraph. [[Laughter]] It has been grounded since the previous round, when there was a broad consensus in the discussion about the CRL subject. We believe that there is a basis that can still be found there. I do not remember any of the hearing bodies that have been on the door to us in connection with the big message, thinking that there is a discussion that there was some point in taking this into account. So we don't see any grounds for resuming that discussion, but we think that it came about in 1996/1997, is a sensible position that brings together the widest possible support.
ParlaMint-NO_2004-06-17.ana.ud979e1733	The cord shift is over.
