ParlaMint-NO_2004-10-27.ana.ud698e27	The called alternate of the Hordaland County, Pål Kårbø, has taken the seat.
ParlaMint-NO_2004-10-27.ana.ud698e911	I'm not satisfied with the answer. It's okay that the number may have decreased somewhat, but 389 died due to misdosing of drugs is a lot. In comparison, 280 die in traffic. It's serious. A study on why this happens will not be started, after what the Council of State says. I have not received an answer to that either. Maybe the doctors are overworked. We've got games on guard 24 hours a day. What is being done by the Ministry of Health to map this? What is being done to solve the problem? I have not received an answer to that, but perhaps the Council of State can give an answer?
ParlaMint-NO_2004-10-27.ana.ud698e916	: I'll try – as far as I can and the memory requires it. Let me first make it clear: there are not 389 people who have died in intern medicine departments. I said there had been 389 cases of adverse events. In 2003, the total number of unexplained deaths in the home medical departments was eleven, i.e. neither 1 000 nor 389. Many of these are caused by overdoses. The reasons for mismedication are not distinguished. But what is quite clear is that all such deviations are reported in a system that the Health Inspectorate is reviewing, and they go in and look at the quality assurance procedures to minimise this. As I said, any unexplained death is one unexplained death too much. The figures were thus found in the survey carried out at Akershu University Hospital from 1993 to 1995. The indication that we now have from the Health Inspectorate's report after the hospital reform goes in the opposite direction to what you can read between the lines at Bastisen, namely that this should have increased. On the contrary, it seems that we have gone the right way.
ParlaMint-NO_2004-10-27.ana.ud698e925	I have just participated in a TV program where the harness received more attention than this problem. Selenium is an animal, and it's amazing that animals get more attention than humans. I think it is time for a searchlight to be set on this also in the staging room. I thank the Council of State for the answer, but I don't feel reassured.
ParlaMint-NO_2004-10-27.ana.ud698e930	Of course, it is not nice to help increase the anxiety of the representative Bastisen, but to control the media's focus and balance between sales and health is at least outside my area of competence. I can sometimes share the frustration that the representative has obviously had. I have also had frustration in my 26 years as a politician. It's not always media having a proportional relationship to the importance of a matter, objectively speaking, and the headlines. But let me say that I feel that the media are very much following the health care system. I think that's very important. That we not only have health supervision and formality, but that the press is also concerned about individuals, I think is an important contribution to attention. In terms of sales, I think the undersigned and the Bastisen have a relatively equivalent relationship to it, which currently has the only two in this hall, as far as I remember, which has seagoing time from the fisheries.
ParlaMint-NO_2004-10-27.ana.ud698e942	I would like to ask the Minister for Health the following questions: ‘An alarming increase in the number of swing door spaces in our hospitals is reported. Among other things, the patient ombudsman in Nordland makes clear that the situation is unacceptable, and that many are affected because hospitals do not do their job. In particular, this situation appears to affect patients in psychiatry and geriatry. What will the Council of State do to bring this development to an end?’
ParlaMint-NO_2004-10-27.ana.ud698e951	The representative of Lutvold takes up the presence of swing door spaces at the hospitals. With swing door spaces, I understand patients who are being printed and inserted repeatedly, and with short spaces. The reason why this happens is complex. The proportion of patients with chronic diseases is increasing. This is due to the fact that the proportion of elderly patients is also increasing. These patient groups account for many of the hospital stays and many of the lay days. While the group is 75 years of age or older, it is 11 pst. by the population, they have 25 pst. of all the stays and actually 1/3 of all the days spent in our hospitals. Many people need repetitive services, on the one hand planned, and on the other due to acute deterioration. Statistically, these may appear as swing door spacers, without having received any poor offer. Patients are treated both at home and in hospitals. Even patients in the final phase of life will be able to have many introductions, because it is desirable that they be at home for periods of time. This is a desired development, which leads to an increase in the number of cleaning operations. This does not mean that the service is functioning badly. At the same time, I must acknowledge that I also receive signals that the relationship between services and communication between levels is not always good enough. This gives cause for concern and action. Hospital discharges may at times be too poorly prepared, and schemes envisaged by the Storting through legislation are not always properly followed up. I am thinking in particular of the provision on individual levels, which is such an important tool, used correctly, that I have asked all health companies to report on what they will do to fulfill the intentions of the Stortinget here, with a particular focus on mental health. In the field of mental health protection, we have recently seen examples of both patients being outsourced after a short period of time and that the receiver has not been there or has not worked properly. I have taken this into account, and I expect the regional health companies here to follow up. Reimbursements are not a problem linked unilaterally to hospitals and emergency services. They must be seen in the context of both the district psychiatric centres and the services provided in the patient’s neighbourhood, not least housing provision in the community context. Good services can prevent unnecessary accommodation if we see both municipal services, inter-level cooperation and the use of outpatient teams in the context. Health Nord has a lower number of emergencies than the national average and the expansion of DPS has not been completed. This means that not all DPS have sufficient capacity or competence to receive all patients discharged from hospital emergencies. Health Nord has, among others: in order to ensure smooth and simple transfer and outsourcing procedures for patients admitted to hospitals, in their 2004 management paper, instructed all their hospitals to review outsourcing procedures and procedures. I would like to highlight the importance of developing and stimulating good systems for interaction between the different levels of services. That, I think, is a contribution to the survival of a part of the swing door problem.
ParlaMint-NO_2004-10-27.ana.ud698e968	I thank the Council of State for the answer, and first have the following comment on psychiatry: I think it is very important that these district psychiatric centers are now being expanded. As far as I know, centres that have been planned by the previous hospital owner are not realized, and have not been put into service. The Minister of Health should contribute to this. Then for housing in the municipalities. It is important, but at the same time, it is important to have a closeness of care that both the district psychiatric centres and a good municipal economy and staffing can contribute to a sheep’s well-being. So to what may be the main cause of many of the swing door spaces, and to what the council itself was talking about: an increasingly older population. By 2020 it will be 40 pst. more people in this country who are 70 years of age or older. I guess that means that those with chronic diseases and complex disorders will just increase. Then my question to the Minister of Health: Is it right to reduce hospital capacity and remove beds when we see that the need is increasing, that the bedtime may be too short today, and that there is incomplete investigation, treatment and follow-up?
ParlaMint-NO_2004-10-27.ana.ud698e979	First of all, what goes on in district psychiatric centers. Once the psychiatry recovery plan has been completed as determined by the Stortinget in 2008, 75 such centres shall be established. In addition, we shall have ambulance teams associated with them. So as far as I remember on the go, it's somehow between 60 and 65 of these that now for all the practical measures are done. Most of them have been implemented, and the funding plans we have put in place and the commitments we have made are the remaining ones. It's obvious that it'll help for that category. With regard to the second part, which is linked to an increasingly older population, it is clear that the older proportion of the population will increase over the next 20–30–40 years. It will also mean that they will confiscate a much larger number of beds in hospitals. It is one of the most important factors in long-term hospital planning. Acute medicine for the rest must be expected to be at the same level. The big variable is the number of older ones. Medical technological development now means that we are treating far more of those who are 80 years old and older than we did in the past. It also has a bearing on the problem of cleaning.
ParlaMint-NO_2004-10-27.ana.ud698e986	The President will draw attention to the fact that there is a little clock on the intercoms, so that you can keep track of the time.
ParlaMint-NO_2004-10-27.ana.ud698e989	I think what the council says is important, and I notice in particular that he admits that there is a greater need for a larger number of beds in hospitals, among others. because of the growth in the number of older people. Then there must be a wrong signal that is now sent out, when e.g. Health South has been told to cut one third of its building mass – that probably also means a cut in the number of beds. It cannot be to meet the needs outlined for 2020, which will actually come much earlier in some regions. When the patient representative in the Nordic region says that hospitals are not doing their job, it is the responsibility of the Minister of Health and Health to look at the cause. Do we put too much stress on bedtime and economics now in relation to the big goal, that the patient should be put first? Everyone has agreed, even though we disagree on health reform and other things. If it's the case that the patient comes in second order in relation to economics, efficiency and rationalization, then we have to take another step and make sure that we have the economy, capacity and resources enough to treat people adequately before they go out. Among other things, the term ‘completed patient’ has been changed to ‘ready-to-print patient’, and the problems it poses have not been addressed, for example: for the community health service.
ParlaMint-NO_2004-10-27.ana.ud698e996	There is no doubt that the future will require more days to lie. I feel quite convinced of that, given the evolution we have. At the same time, I think we have to recognise that, although it may sometimes be desirable politically to focus very heavily on the economy, that this is the cause of all the disgustingness of the health care system, it is a fact that we have had historical increases in hospital appropriations in the last five to six years that far exceed the overall growth of the budget and that now take a historically high share of GDP. There is no doubt that there has been one of the main reasons why we have had the waiting time down. We are now in a situation where the waiting lists in many contexts are actually planning lists. I believe the long-term planning we have in place and the coordination and capacity we have is reassuring. Because there are very well-known sizes how many of us get older and how old we get.
ParlaMint-NO_2004-10-27.ana.ud698e1005	I allow myself to ask the following questions to the Minister for Transport: «The road authorities of the Member States terminated the agreement with the Alarm Centre 110 on monitoring the tunnels in Sogn and Fjordane this year and moved it to Lærdal. The council claimed that this would not compromise security, as there was a 24-hour guard in Lærdal who took over the surveillance. Nine months later, Vegvesenet has now decided to drop the same daily crew and move all night-time surveillance/control to Bergen from 1 April 2005. How does the Council of State now assess the safety of the Sogn and Fjordane tunnels?’
ParlaMint-NO_2004-10-27.ana.ud698e1014	I would first like to stress that the termination of the economic agreement between the State Road Administration and the Alarm Centre in Florø has not led to any change in the function of the Alarm Centre in terms of monitoring the tunnels. Nor will there be any change to this in connection with the closure of the daily crew at the Vegvesen watch centre in Lærdal. It is the State Road Service that is responsible for monitoring and warning. The tunnels on the road network are continuously monitored and controlled by five regional road traffic centres in Norway. In the West Region, the road traffic centre is located in Bergen. This means that the tunnels in Sogn and Fjordane are monitored from the road traffic centre in Bergen, as well as the guard station in Lærdal. The State Road Service has stated that the night-time closure of the Lærdal watch centre will not result in any change in the level of preparedness, alert procedures or interaction between the State Road Service, the Alarm Centre and the local rescue facilities. The Bergen Road Traffic Centre will act in the same way as the Lærdal Guard Centre, and local knowledge will be maintained through training and close cooperation between the centres. In principle, the whole country today can be monitored from anywhere with communication lines, sufficient competence in traffic engineering, electrical and IT competence. Given that it is not the State Road Service to move out to the tunnels in the event of various incidents, it has no significance for security if the surveillance is now moved to Bergen. In order to ensure safety and preparedness, it is an objective to have a crew of at least two persons at night at all road traffic centres. Safety is better ensured if there are two persons on guard in the same place than if there is one person in two different places. On the basis of the statement I have received, I consider that the preparedness and safety of the tunnels in Sogn and Fjordane and all the tunnels in the West Region are well maintained.
ParlaMint-NO_2004-10-27.ana.ud698e1027	The Council of State pointed out what the Vegvessen think about interaction and preparedness, that the new decision will not go beyond interaction, and that local knowledge is preserved. It is only a pity that the local rescue and emergency missions see it in a completely different way, for example. because, for the second time, the Road Service only makes a decision without informing its partners. The Council of State pointed out in its answer to my written question in winter about the same issue that interaction and cooperation should now be improved, and thus security should also be preserved, because one would have closer cooperation. As I said, the local rescue and emergency seats react that they are not hearing; the fire department or AMK centre has been asked for the ratio. Then I have to ask the Council of State whether she thinks that decisions of this kind, without consultation or without asking what local actors think, are a example of good cooperation locally.
ParlaMint-NO_2004-10-27.ana.ud698e1036	If that's the case, it's not an example of good cooperation. I want, and it's in our entire policy, that we should have open rounds on that kind of question. That means we're going to go through a bunch of laps where we might find more sensible ways to do our problems. From this I have great confidence that the State Road Administration has made proper assessments in the organisation. So I would like to stress that I am concerned that the communication should be good between the stakeholders. And if that's how it hasn't been good dialogue, I'm sorry.
ParlaMint-NO_2004-10-27.ana.ud698e1043	I appreciate the fact that the Council of State says so. We have plenty of tunnels in Sogn and Fjordane, and we also have the world's longest, which is the Laerdal Tunnel. Before a built Lærdal tunnel, a relevant department, both central and local, gather and create an emergency plan with both technical equipment, security and daily standby where daily staffing at the Lærdal watch centre was central. So now the Vegvessen has taken decisions on the partial closure of the watch centre, this central centre which is decisive and an important part of the emergency plans locally, without the relevant authority, local authority, being heard. The AMK Center has also been busy with local expertise, not only to close a tunnel, because they can do so from a central bank in Bergen. The point is that in Sogn and Fjordne we are surrounded by a lot of race, and there is a lot of uneasiness, especially in wintertime, and having a local expertise on how unearthly frames is important when sending out rescue forces on the road to reach the place where it happened. The problem is that the local etats think this is a security threat. Then my question is: does the Council of State think that the local authorities are worried about the safety of the tunnels unwarranted?
ParlaMint-NO_2004-10-27.ana.ud698e1052	I believe that it is very important to bring local knowledge, and it is absolutely right that that knowledge should be acquired locally as well. What has been stressed by the State Road Service is precisely, as I have been briefed, that local knowledge is also to be found at the road traffic centre in Bergen, which is responsible for night monitoring. I would like to remind you that the daykeeping is still in place where it has been, and it is also intended that it should be. As I said, the Road Service has assessed it there that it is better to have two on guard at the same time in one place that can have control and overview of these tunnels, than to have one on watch alone in two different places.
ParlaMint-NO_2004-10-27.ana.ud698e1061	I have a question for the Minister for Transport: ‘The application procedure for a concession for the establishment of a civil airport at Rygge airstation is lengthy. Rygge Civile Airport has been working on the case for five years and is waiting with the Defense, who is a concessional candidate, for the treatment to be ready. Will the concession be granted, and if so, when may the concession conditions be available?’
ParlaMint-NO_2004-10-27.ana.ud698e1070	The issue of the establishment of a civil airport at Rygge Aviation Station has a significant interest both as a basis for new travel offers and as regards societal impacts. The project also has a significant economic impact on those responsible for development. Therefore, the conditions for any concession are an essential part of the concession treatment itself. I expect a decision in the matter to be made within a relatively short time.
ParlaMint-NO_2004-10-27.ana.ud698e1077	I thank the Council of State for the answer. The deadline set by Eastfold’s representatives and those interested in this civil airport was by the end of October. But when you say ‘can’ and ‘relatively short time’, I understand that it will take a lot longer, so that we have to wait again for the final decision. We know that the Council of State issued a government note on 18 June with a recommendation to establish a civil airport. It concerns 350 000 people, all municipalities are in favour of this development, and business is also positive. Although the Council of State cannot now give a final answer as to whether concession will be granted, it must have come very far in this treatment since you can give answers «in a relatively short time». Is it likely that the Government will stop these aerodrome plans? It must be possible to give a signal today.
ParlaMint-NO_2004-10-27.ana.ud698e1086	We have not dealt with this matter completely – it has not been dealt with by the Government. I have to be allowed to use the time necessary to make a decision on this. If I could have given an answer today, the matter had been resolved. So it's not.
ParlaMint-NO_2004-10-27.ana.ud698e1091	I thank the Council of State for the additional response. Many people now feel that fiber optics is being operated – not especially by the department, but I recall that those behind this civil airport have now been working seriously for five years. So at least I want to make a request to the Council of State that she is now trying to cut through ‘in a relatively short time’.
ParlaMint-NO_2004-10-27.ana.ud698e1098	I'll do that.
ParlaMint-NO_2004-10-27.ana.ud698e1106	I would like to ask a question to the Minister for Transport: ‘The ferry situation in the Bokenfjord link on the E39 between Mortavika and Arsvågen is very important, not least for commercial traffic. When it is now said that more and more cars, this leads to more and more cars. for the loss of business. The problem of oversitting has increased strongly in recent years. What action will the Council of State take to improve the situation of this important coastal route link?’
ParlaMint-NO_2004-10-27.ana.ud698e1115	In 2003, 8.3 pst. of the traffic recorded as remaining in the national road ferry link E39 Mortavika-Arsvågen. The high traffic associated with holidays, holidays and weekends is the main reason why so many cars remain on the ferry terminals. Traffickers also experience waiting time in connection with workshop stays for the ferries in the connection. In the national transport plan 2006-2015, a new long-term standard for national road ferries is set. For parent road connections such as E39 Mortavika-Arsvågen, the long-term objective is that the number of remaining cars should not exceed 2 pst. measured over a year. However, this objective must be seen in conjunction with the available resources in the national road transport operation. The state road transport services are working to improve the efficiency of national road transport operations, including: through increased competitive outsourcing. The benefits of this work could be used to improve the offer. The Government has decided to suspend the national road ferries E39 Mortavika-Arsvågen and E39 Halhjem-Sandvikvåg with requirements for new gas ferries from 1 January 2007. This is in line with the Government’s objective of increasing the domestic use of natural gas. The Directorate of Roads, as a privilege authority, has administrative responsibility for the outsourcing of competition in this sector. It is in this context, among other things. the requirements for the number of remaining cars to comply with the new NTP target. This week the outcome of the competitive outsourcing in this connection became known. The new gas ferries to be built will be larger than the existing ferries on E39 Mortavika-Arsvågen. There will be half-hourly departures in the most traffic-intensive periods. Furthermore, travel time for road users will be reduced. This will result from the repair of ferry terminals and from the fact that the new ferries will keep significantly higher speed than the current ferries. There will also be more departures than today. Overall, this will contribute to efficient traffic management that ensures good user accessibility.
ParlaMint-NO_2004-10-27.ana.ud698e1128	I thank the Council of State for your answer. I'm in the long term, and it's good that we get gas ferries, which hopefully will fill the measurements, but it takes too long. The problem is very now, and I'm reacting to the state council saying that it's not that dangerous, because it's only on weekends, and it's only holiday and leisure. So it's going to be 10 pst. that remains, there are 100,000 cars left on the berth. There's no other connection in Norway that's close to such a big overlap. I react, as I said, to the fact that the Council of State minimizes it. I also see that it's done from the Road Directorate in a response to the County Council. This is without comparison the most important road link we have in the West, on the Coastal Road. There is the highest pass. In extreme cases, people have to wait three to four hours, and there are miles of cows. It can be resolved in the short term by 2.5 million. kr per year. It must now be possible.
ParlaMint-NO_2004-10-27.ana.ud698e1137	I now register that I am being interpreted in such a way that I minimize this. When it's over 8 pst. which is left on the average, it's a very high number, I want to underline that. That's why we've been concerned that we need to put new solutions on this route, and that's why we've been running this competition round now. The Road Directorate is going to go through this and see if other solutions are possible along the way. Because I fully agree with the representative that the overtaking is too high, and I take that very seriously.
ParlaMint-NO_2004-10-27.ana.ud698e1144	I am happy to hear that the Directorate of Roads will go through it. In the next year's budget, we can read that it's 55 pst. of the vacations in Norway that meet the long-term targets by default, so we have a job to do, and he's not small. It might be useful to know if either directorate or department has an overview of which link is worse, if they have a priority plan for what to upgrade, and if it is possible for us to know something about it. It seems to me that this connection in Rogaland is very poor. If it costs 2.5 million. To clean up a problem that at least includes 100,000 cars, we can quickly calculate that it is NOK 25 per person. Car. I'm pretty sure the social benefits of spending the $2.50 million. kr is quite large, so I hope that the Road Directorate will also consider the proposal pointed out by Rogaland, once again.
ParlaMint-NO_2004-10-27.ana.ud698e1149	Now I'm a little uncertain about what the question was about. But let me just sum up: we've been through the round that's been on gas ferries now, making sure that five new ferries are added, which are far above the level that you tend to have when it comes to phasing in new ferries. It's because it's absolutely right, as the representative here says, that there is a need for some replacements in the Norwegian ferry fleet, and it's important that we have a good highway link. This is part of the infrastructure both for people who live there, and for people who work there. The state road authority has an overview of which links there is a greatest need to do something in relation to them. When we have then chosen to prioritise this connection high and we have run the round that has now been run, it is because it is one of the most important connections we are facing.
ParlaMint-NO_2004-10-27.ana.ud698e1157	I allow myself to ask the Minister for the Environment the following questions: ‘St.meld. No 15 states that the costs arising from the state’s core game management are covered. [[2003-2004]] The people have a good idea for this, but the money is to be used for paid work. The municipality of Elverum received NOK 10 000 in the year, while the municipality’s barrage of wild game hunting teams so far have an unmet claim of approx. NOK 76 000. This is not particularly true for the municipality of Elverum, but applies to all municipalities affected by predatory problems. Does the Council believe it is right that the harvesting of predators that do harm should be carried out in the same way?’
ParlaMint-NO_2004-10-27.ana.ud698e1166	I want, like the Storting, to make the management of predatory game more similar to the management of other species. In order to achieve this, the regulation of stocks shall, as far as possible, take place through the use of licence and quota hunting, not by way of damages. Using license and quota hunting will allow local hunters to hunt predators in line with the other huntable species. For such hunting forms, there will be no compensation for the costs associated with the killing of predatory game. When the damage is caused, I would like to make it clear that this is a tool that can be used to stop or prevent acute damage to the buff and tamrein where it is not possible to prevent any other way. The compensation for damage caused by local killings is covered within the framework of the means of prevention and mitigation. The compensation shall cover the actual costs of the killing attempt. There is no way to use the compensation for salary or the loss of labour of the locally organised hunters in connection with the implementation of field rights. The majority voted on this issue in 1997. A large number of votes voted in line with current practice. This practice has continued in the Roofing Game Notice, which was handled by the Stortinget in May this year. In addition, it is open so that the county councillors can use discretionary tools for local felling. After I have been informed by the County of Hedmark, such an allocation has been granted to the South-Eastern region, which also includes Elverum. Finally, I would like to point out that from April next year, there will be the new regional predators who will be given the primary responsibility for the allocation of funds to cover the actual costs associated with harm-reduction attempts.
ParlaMint-NO_2004-10-27.ana.ud698e1177	I thank you for your answer. It is now the case that local statesmen have received funds, and they have also distributed these funds. But, as the Minister for the Environment himself says, it is not possible to cover the actual costs that you have, despite the fact that it says so. The Ministry of the Environment itself says: Fell trials are normally conducted by a local fallout team appointed by the municipality. It seems that the Ministry of the Environment takes it for granted that in a few hours' notice members of the said hunting teams take 14 days' unpaid work to do a job for the state, and it is a little strange that funds are allocated to the organisation and administration of the killing team, but not to the tasks they are going to perform. Why is there no money for this, as in these cases it is the job itself?
ParlaMint-NO_2004-10-27.ana.ud698e1184	I think what the representative Hult is dealing with shows how reasonable the conversion that has been made through the last wild game message is, just that we're adding a quota and license hunt. That's what's supposed to be our main tool to get the policy we have on this, according to what's in the Robbery message. Obviously, what we're going to use politically here now will be licence and quota hunting. So in those cases that we're forced to use the damage trap, it's given the means at our disposal, but it's going to be to cover the actual costs. But I believe that in the long term, including with the new predatory game policy that has been set up, this will be a smaller and smaller challenge, precisely because it is licence and quota hunting that will take over.
ParlaMint-NO_2004-10-27.ana.ud698e1189	I thank you for your answer. I have also read the message that exists, and I also see the solutions that the Minister for the Environment uses here, with quota hunting and licence hunting. But today's issue is and remains unresolved. There has been a lot of hunting for pests for which killing has been authorised, and there are a lot of municipalities that have now ruled out local killings where people may have had 20 days of unpaid work in the forest to trap an animal for which permission for killing has been granted by the state. It is quite unreasonable that these hunters should pay for this themselves, as it is a task imposed on them by a higher body. Wouldn't it be natural to make sure that at least what has been done is cleaned up before you set guidelines for what's coming?
ParlaMint-NO_2004-10-27.ana.ud698e1196	The state is in charge. It is not the case that all responsibility is left to the municipalities when it concerns the collection of pests. Among other things, the SNO, the State's natural supervision, is significant if assistance is requested from the SNO. There's also some case where the SNO is given the assignment. So the state is involved and takes responsibility through the SNO. So we're involved in covering the actual costs of hunting teams. This is a policy on which there is broad agreement in the Storting. But the most pleasant thing about it is that we have now been given a change in the predatory game policy that will make this an increasingly smaller challenge, because we are now adding to a much higher level of licence and quota hunting, which does not entail costs either for the local hunting team or for the state.
ParlaMint-NO_2004-10-27.ana.ud698e1203	That being the case, it is no. 1 finished.
ParlaMint-NO_2004-10-27.ana.ud698e1214	There is no record.
