ParlaMint-NO_2004-02-11.ana.ud831e28	The representative of John I. Alvheim will make a private proposal.
ParlaMint-NO_2004-02-11.ana.ud831e1520	This question, from the representative Steinar Bastesen to the Minister for Fisheries, will be answered by the Minister for Transport on behalf of the Minister for Fisheries.
ParlaMint-NO_2004-02-11.ana.ud831e1523	I have the following questions for the Minister for Fisheries: ‘Great concentrations of mercury have been found in the fishing area outside Fedje, where the German submarine U-864 is after the loss of war. There is a large amount of mercury on board the submarine, and mercury is one of the most dangerous pollutants. It has been pointed out that raising the submarine is the best solution to the problem. What is the status of averting a more serious pollution situation in the fishing areas around the submarine, and what will the Council of State do to remedy the situation?’
ParlaMint-NO_2004-02-11.ana.ud831e1532	In the autumn the Norwegian authorities received information from the submarine historical environment in Germany that the submarine U-864 had approx. 70 tonnes of metallic mercury as well as minor amounts of thallium and uranium oxide on board when it was lowered in 1945. The Coast Guard Authority decided to carry out a step-by-step and thorough investigation of the potential risk of contamination from the wreckage. The first two steps have been to investigate the presence of mercury in the wreckage and to investigate the possible absorption of mercury into living organisms in the area. In the autumn of 2003, soil sediment samples were taken at wrecked sites. Very high concentrations of mercury were detected in some of these. Fish were also sampled from breeding establishments in Fedje. No abnormally high levels of mercury were detected from the farms. In January of this year, wild fish and benthic animals were sampled in the area. Four different species of fish were sampled and crabs within a radius of 1 to 2 nautical miles from the wreck. The results for cod and sieving are consistent with those found in fish from the Barents Sea, while the level of mercury in Sweden is slightly higher. Uer is the most stationary of the four species sampled, and the result can therefore be interpreted as if there were a local source of contamination. However, all fishing teams had lower levels of mercury than the maximum level in the EEA territory. Therefore, the conclusion of the study is that it is safe to eat fish from this area. The analyses of crabs are also below the maximum level, with the exception of a tangential sample. The coastal works will carry out several analyses of crabs, so that the situation of this species in the area can be clarified. Food surveillance has been kept informed of the ongoing analytical work and will be provided with the results of the new analyses. Tests have also been carried out to clarify possible uranium contamination. The State radiation protection system has measured values from 10 samples on the seabed. None of the sediment samples contained abnormally high concentrations of uranium, and the samples indicate that the uranium in the sediments is from natural sources. The preliminary assessment of the coastal facility is that there appears to be no immediate risk of acute mercury contamination from the wreckage as long as this is kept calm. The results of the new analyses decided upon will be an important basis for the assessment of the action to be taken if appropriate. All relevant professional environments will be included in this assessment. The coastal works have carried out a comprehensive survey of the conditions surrounding the wreck and further investigations will be carried out. It has also decided to set up a group of experts on action in the field of mercury pollution. The task of the Group will be to make recommendations on further action. This shows that the Kystsverk takes the matter very seriously and does a thorough work on which I do not think there is any reason to change. It is important to have the best knowledge of this waste in order to make the right decisions in relation to further action, and this is what the Coastal Agency is doing. Finally, I would also like to remind you that the wreck of U-864 is a grave site for 73 people. It is therefore important that the wreck be treated with due respect in relation to any action taken.
ParlaMint-NO_2004-02-11.ana.ud831e1553	I thank the Council of State for the answer, and I find that there is no answer to the question. There is no status and no plan for how this should be handled. Is this the same status for the other wars we have along the Norwegian coast? It starts to become a lot of them. Have any studies been carried out on the status of the other wrecks? Can the Councils answer that? I am aware that this is outside her area, but I ask now anyway.
ParlaMint-NO_2004-02-11.ana.ud831e1560	It's clear that when there's such knowledge about wrecks of this kind that we have outside of Fedje, it's a big challenge. Clearly, with such large amounts of pollutants, it is a challenge. It is therefore important to make a proper assessment of the nature of the measures to be implemented. The fact that we have now analysed the environmental conditions of fish that are stationary, and fish that go over larger areas, that we know what that means for the fish, for our food, and that we also know what it means for the future of this area that is affected by these environmental challenges, is that knowledge we must have before we know how to proceed in dealing with this type of ship. Now we have this submarine concretely, but to the extent that there are other environmental bombs – to call it that – we have to analyze what the state is like and what is the best way to go about it.
ParlaMint-NO_2004-02-11.ana.ud831e1565	I thank you again for the answer. It's quite right, as the Council of State says, that it's important to keep a clean fish, and to do that, we have to have a clean sea. There can be no doubt in the market about what we have in Norway: we have clean fish. It is therefore urgent and important to have a plan for dealing with this problem. Because it is a problem, as I have said before, in many parts of Norway. But it's a problem that may not have been taken seriously until now. So I hope we get back to this case, for the last word is not said in this case.
ParlaMint-NO_2004-02-11.ana.ud831e1572	I also believe that this is a very great challenge. Obviously, we have to take such things seriously. We're a coastal nation that depends on the resources we have in the sea, and we have to manage them in a good way. And when we have such coastal pollution problems – and what I know best, this submarine at Fedje – these have to be handled with caution. We don't know per. Today about raising the boat will create a bigger problem than handling it where it is. We first need to figure out how to get this environmental bomb that's there, either by raising or by covering the wreck, or whether there are other methods. That's what it's working on right now, so it's working on a plan of measures.
ParlaMint-NO_2004-02-11.ana.ud831e1588	This question has been raised.
ParlaMint-NO_2004-02-11.ana.ud831e1595	‘UN Maritime Organisation, IMO, Resolution A.931, imposes unconditionally on survivors of ship accidents the payment of compensation in the event of an accident and death. Through the media, there have been allegations that Norwegian companies conduct a practice contrary to this resolution. What will the Council of State do to ensure that Norway and Norwegian companies comply with this resolution?’
ParlaMint-NO_2004-02-11.ana.ud831e1602	In the event of an accident, it is important that injured and survivors are promptly and reasonably compensated for as they may require. The IMO resolution on shipowners’ contractual liability for personal injury and death is precisely based on this. It is in everyone's interest that the settlement of claims after ship accidents is concluded without excessive delays, so that all parties can move forward. It is not unusual that there is disagreement about an insurance settlement. If there is disagreement on the compensation following a ship's accident but agreement on individual parts, settlement of the part of which there is agreement shall not be withheld. In the majority of cases of compensation for personal injury or death following ship accidents, victims or survivors are settled promptly and fairly. The IMO Resolution sets out guidelines for the liability of shipowners under the working agreement between shipowners and employees for compensation in the event of personal injury and death and aims to ensure that shipowners have financial security for such compensation and to ensure that payment is made promptly and in full. Norway supports this resolution. In general, the Government attaches great importance to the development of a global regulatory framework for shipping through the work of the IMO and it is important to comply with the IMO Code. Norwegian ships are subject to Norwegian regulations, under the NIS Act. This legislation was in place before the adoption of the IMO Guidelines and was used as a model for the development of the Guidelines. Combined with the tariff agreements, the Norwegian rules give equivalent rights and protection to the international guidelines. In the case of foreign ships, our influence will primarily be through our continuous work in the IMO and the ILO.
ParlaMint-NO_2004-02-11.ana.ud831e1615	I thank you for your answer. I'm also very pleased that the Council of State says that from the Norwegian side we attach great importance to putting these international rules into place. Obviously, there are a lot of unprofessional actors in this area. If Norwegian riders have the possibility to claim, it is important that we get international standards. It is also so that within this industry there are many that are being exploited. There are many poor countries recruiting seafarers. What the claim has been made in this round is that the survivors of such accidents must sign that they declare all future claims for payment. As far as I am aware, this is contrary to this resolution. My question is, in fact, whether the Council of State will do anything to Norwegian companies operating in the insurance market to ensure that one also complies with the resolution in this area.
ParlaMint-NO_2004-02-11.ana.ud831e1624	First of all, I have to say that we should be careful to comment on individual matters relating to non-Norway shipping companies and non-Norwegian ships. With regard to the IMO Conventions and those recommendations, they are implemented differently in Norwegian legislation. In this case, it is based on recommendations. My recommendation is that all companies involved in the maritime cluster should follow the ILO and IMO recommended rules. But it has developed what I would call an unfortunate practice in some international shipping companies, by concluding agreements between shipowners and employees' organisations that actually involve the possibility of having disclaimer clauses in respect of rights that can go beyond what is contractual. It is a reality that we have to deal with, but on the Norwegian side, we strongly recommend that we do not operate that way.
ParlaMint-NO_2004-02-11.ana.ud831e1633	We are talking here about people who are in a very weak negotiating situation with this industry. An IMO resolution is, in my view, the same as a UN resolution, and Norway is otherwise very keen on complying with UN resolutions. It's okay enough that this is a recommendation. I hope that the Council of State will confirm that Norway will work to make this a convention, so that it becomes an international law. When claims are made that Norwegian companies break these resolutions – which is the same as breaking a UN resolution – do not the Council of States then have an own responsibility to try to ensure that they do not? In my opinion, Norwegian authorities should have a hold to ensure that we have proper working conditions on board these boats, and ensure that they are given what they should have in accordance with this resolution.
ParlaMint-NO_2004-02-11.ana.ud831e1645	I do not ignore the fact that you do not know all the elements involved in this case, as in many other cases where there is a conflict. No Norwegian company is therefore party to this case. It is a company which, through a Norwegian company, has insured against the settlement of death in the event of an accident, but the contract applies between the trade union of the employees and the shipping company, which has reinsured its relationship. As far as I understand, it is not that the insurance company, against the wishes of the shipowners, withholds settlement, but there is a conflict between the shipping company and the employees' organisations as to how large this should be, and at what time the money is to be paid. It means – given that it is correct, which I have reason to assume is – that a Norwegian company is in some way a third party to this, not that it is a matter of self-interest with the Norwegian insurance company to withhold something that the shipowner believes should be paid. I don't think that's the case. The problem is, therefore, that some international shipping companies have developed contracts, which are also accepted by trade unions in other countries, which are not in reality in line with what we have in the NIS Act and that of Norwegian ships.
ParlaMint-NO_2004-02-11.ana.ud831e1655	I will ask the Minister for Transport the following questions: ‘The traffic accidents in Hedmark and Uppland cost between 2 and 3 billion last year. kr. The counties have 14 pst. of the national road network and 12 pst. of the works of traffic but receive only 3 pst. of the investment funds at the disposal of the public. State councils are often in the media on road safety and zero vision, it is good to play out, but will the Council of State help to change this division of appropriations in order to increase investment in areas with major road accidents?’
ParlaMint-NO_2004-02-11.ana.ud831e1664	I refer to my answer to question 19 in the Question Time on Wednesday 28 January of this year from the representative Per Roar Bredvold regarding the accident load on E6 between Hamar and Lillehammer and other loaded sections. The Government and the State Road Administration are systematically working to increase road safety. Priority is given to measures to reduce the most serious accidents. This has been followed up in the 2004 budget, with priority being given to measures aimed at meeting accidents, road accidents and accidents involving vulnerable road users. In addition, road safety gains result from the route investment measures. An important measure to reduce the number of meeting accidents is to build physical divisions between driving directions. The Directorate-General for Roads is working on a proposal for a strategy for the use of semi-trailers on two- and three-field roads. In the priority between the routes concerned, the accident reduction effect of the measure, the lifetime of the measure, in relation to any subsequent extension to four-field roads and costs, will be carefully assessed. As part of the work of the National Transport Plan 2006-2015, the state road authority has identified approximately 2 700 km of highway with a particularly high accident load. This represents about 10 pst. of the total length of the national road. Work is under way to carry out road safety audits on these roads in order to identify measures that can help improve the accident situation. Simple and effective immediate action will be prioritised. In the context of the National Transport Plan 2006-2015, a more comprehensive presentation will be made of the Government’s road safety effort, including standard improvements and a faster and more coherent deployment of the most trafficked and accident-prone parts of the main road network. The government will expand highly trafficked tribal roads into four-field roads. The distribution of the economic framework for the tribal roads and other national road networks will be addressed in the context of the national transport plan in spring 2004. Finally, priority will be given to projects for the development of the pedigree network on a route which will be part of the work on the action programme, which will be dealt with locally in the spring of 2005 and set out in the autumn of 2005. The action programme for other national road networks will receive the same progress.
ParlaMint-NO_2004-02-11.ana.ud831e1679	It's good and good to have strategy, and it's clear that the Council of State has an incredibly long-term strategy. She realizes that there must be physical middle parts and that there must be four-field motorway. It is good that the Council of State has discovered. But as early as 1964, the Vegvesenet had planned a four-field highway from Oslo to Hadeland, with the middle parts. This was in 1964, it was up in Stortinget, and it was adopted. Why, then, will the Council of State start re-establishing a new strategy now, when the plans are already there – 40 years old? It's just to open a drawer and pull out the plans! The accidents at Rv 4 have very often had tragic outcomes last year — and it has also continued into this year with tragic accidents. That way the Vegvesen would build 40 years ago. Do we really need a new strategy?
ParlaMint-NO_2004-02-11.ana.ud831e1686	It is that each of us has to deal with the annual budget frameworks we have. I also remember that Lofast, for example. was planned in the 30's already, so to believe that this is the project you have spent the longest time planning, is not correct. There are many wishes around the country about projects, and what I'm concerned about is that we get to solve the challenges we have on road safety every single day. That means that as long as we don't have four fields and middle parts where we want to, we have to deal with it, and we have to look for the most traffic-proof ways to move here in the country. This means that we need action – physical measures as well as attitudes, as well as trained skills in those who are going to drive a car on Norwegian roads. This is about everyone taking responsibility for the traffic situation we are part of.
ParlaMint-NO_2004-02-11.ana.ud831e1693	I am very pleased that the Council of State confirms that she is interested in building out where there are major accidents, and where it is most possible to pick up in terms of road safety. It is clear that the expansion that has now been in Eastfold and Westfold in recent years has shown that there are four-field roads with middle parts that are the great advantage when you have to have the accident figures down – and so they have gone down in these areas. Is it finally confirmed that the Council will turn the road appropriations in the next period into the roads that have the most traffic, and where do we have the greatest accident load?
ParlaMint-NO_2004-02-11.ana.ud831e1700	The question I now got is really about the entire national transport plan, so I want to refer to this one, which comes in the spring.
ParlaMint-NO_2004-02-11.ana.ud831e1709	The question is as follows: ‘The regulation plan for the Iondal Tunnel in Hordaland triggers impact assessment requirements and the investigation has been carried out by the West Road Region of the State and was available in final and revised form on 19 December 2003. The investigation has 10 thematic reports. None of these were submitted when the County Committee and the County Committee discussed the matter and took a decision in January. In a protocol note, the County Committee requested the interim reports. Will the Council of State ensure that interim reports are made available to the public and to the hearing bodies?’
ParlaMint-NO_2004-02-11.ana.ud831e1716	All technical reports drawn up in the context of the impact assessment of road projects shall be public and thus accessible to all who wish to see the reports. However, it is not common to send the interim reports to all the hearing bodies. A derogation from publication is the cost report, where the details of the report are excluded from publication for the purposes of a subsequent bidding round. The cost estimate itself is, of course, part of the impact assessment report. With regard to this specific case, the Swedish Road Administration informed that some of the technical reports were not completed when the impact assessment was sent to the hearing. This is due to a lack of time. Based on local wishes from the county council and the municipalities concerned, the state road authority has set up a very tight progress plan on the plan project, with approved control plans for the project during the summer of 2004. Therefore, the Road Administration chose to send out the impact assessment report before the quality assurance of some of the technical reports was completed. The fact that some of the technical reports were not completed does not mean that the results were not available. The various subjects are discussed in the main report. This procedure was briefed on both the trade and county committees. All the technical reports for this impact assessment have now been completed and made available to the public and hearing bodies. Traffic analysis, which is the last and most comprehensive of the technical reports, is expected to be published on the Road Administration’s Internet site during this week. I would like to stress that the general rule is that all professional reports are completed and publicly available before such matters are put to public consultation and treatment in elected bodies. I would like to ask the State Road Administration to assume that this rule is being followed.
ParlaMint-NO_2004-02-11.ana.ud831e1729	I thank you for a reasonably clear and clarifying answer. However, I would remind you that when the impact study reveals that separate sub-theme reports have been drawn up on such important factors as road costs, traffic analysis and transport economy, I assume that the reports have just been prepared to ensure good quality in the main investigation itself. I assume that the Council of State, on the basis of what she has said, agrees that it is not satisfactory that the state political bodies that are going to decide on the main report should either wait for the interim reports or actually not get them at all.
ParlaMint-NO_2004-02-11.ana.ud831e1738	I would like to emphasise once again that my position on this is that all professional reports should be completed and publicly available before such matters are put to public consultation and treatment in elected bodies. I believe that this is important to ensure the quality of what has been done. For me, this is a signal that we need to review the progress plans we have in such processes at times. It is important that we ensure that the quality of the reports is good enough, that the decision-making framework is good enough – and that it is available.
ParlaMint-NO_2004-02-11.ana.ud831e1745	In a process such as this, information from relevant projects is also used. In the context of the Jondal tunnel, a very relevant project is to refer to, namely the Folgefonn tunnel, which was built a short time ago, to the same mountain plateau, driven from two sides simultaneously by one private and one State driver. I have understood that the Road Directorate has determined in its own circular that final reports will be drawn up from major roadworks, assuming that this has been done for the Folgefonn tunnel. Does the Council of State consider such final reports to be internal and therefore not public? Does the Council believe that such reports should be used openly as an experience base, even when new impact assessments are being made for similar projects — even in the neighbourhood?
ParlaMint-NO_2004-02-11.ana.ud831e1754	I believe, as I initially said in my reply, that such reports should be publicly available. There may be elements in terms of costs, where there may be reason to be a little restrictive before having rounds of tenders – when to have them. But what goes on is experience, both in terms of the construction and design of tunnels and other physical and technical challenges, I think, should be public. It's important that the public get to know this, and that we can learn from it professionally.
ParlaMint-NO_2004-02-11.ana.ud831e1762	I have the following questions for the Minister for Transport: ‘A collective solution between Lysaker and Fornebu has been an important prerequisite for the further development of the Fornebu area. There is now considerable uncertainty about progress in the development plans due to the Ministry’s requirement for further investigation. Will the Council of State contribute to a rapid clarification and follow up on the prior assumption of the State co-financing of a collective solution to Fornebu?’»
ParlaMint-NO_2004-02-11.ana.ud831e1771	I would like to stress that I think it is important to move on quickly to find a comprehensive and good collective solution for the Fornebu area. I would therefore like to contribute to a rapid clarification. At the same time, it is important to ensure a sound decision-making basis for the use of State resources for the project. Therefore, in a letter dated 3 December last year, I asked Akershu County Council for an overall statement of case and a recommendation as to which solution is considered to be the best regionally. On this basis, there is now a dialogue between the Ministry of Transport and Akershu County as a basis for further progress in the matter. I also show that it was granted 2 million. kr for further planning of the Fornebu track over the State budget of the year. However, the size has not taken a decision on the final collective solution for the Fornebu area.
ParlaMint-NO_2004-02-11.ana.ud831e1782	I thank you for the answer, although I do not think it was uplifting. As I stressed in my question, I believe that a collective solution is absolutely essential for the expansion that will take place at Fornebu, with 6,000 homes and 15 000 jobs. The state itself has been an important driver for high levels of exploitation. There have always been two important premises in the planning process, which have been going on for many years. One is that Akershu County Municipality should be responsible for the plan and in cooperation with, inter alia: Mr Oslo and Mr Bærum have to put forward a plan-making proposal. The council should now have received on the table a letter from the Municipality of Oslo, Akershus County Municipality and the municipality of Bærum, which shows that they agree on a solution related to the Autobahn. Then it should be in place. The second is State cofinancing. It did not even mention the Council of State in its reply. It is the promise that is absolutely crucial in relation to a financing solution for a runway operation of the Fornebu area, in addition to what is to lie there as a landowner’s contribution. I think that the intervention of the Minister of Transport, what she has said in the media, has largely contributed to the uncertainty and uncertainty as to what is really the basis of the promises made by the State in the planning process. I then ask the Council of State directly: can the Council of State say here and now that she is standing by the promise that the State has made, and that, among other things. was it included in letters from the Ministry in 2001 and in the National Transport Plan for the current period?
ParlaMint-NO_2004-02-11.ana.ud831e1795	It is true that the government of Stoltenberg promised up to 600 million. kr for this solution in the autumn of 2001. This we have said that we will follow up. In order for us to be able to go in with these funds, a quality assurance is required for this project. We have asked Akershu Municipality to get some reviews and facts on the table. We have received an answer, but we have not received an answer to what we are asking for. But one step further in this process has been taken through the agreement of the Municipality of Oslo and the municipality of Bærum on solutions. I have also requested this. That has now finally been answered, and I am very pleased about that. This means that the process has progressed a long way. Then the ministry is also interested in contributing, in order to get on the table the necessary assessments that need to be made when we are going to spend so much money on a project.
ParlaMint-NO_2004-02-11.ana.ud831e1802	I think the other response of the Council of State was more positive. I understand that the Ministry of Transport and the Government will ensure the quality of the project. Now they've been in this planning process in many contexts along the way. I am pleased that the Council of State stresses that she will follow up the promise that she will contribute up to 600 million. kr to a path solution for Fornebu. So the council says she'll contribute to a quick clarification. I'm glad. I would like to hear the Council of State's assessment of the time perspective in relation to a quick clarification, because I understand that if one is to have the ability to coordinate track management to Fornebu with, among other things. a development of Lysaker station linked to the double-track Skøyen — Asker, it will be absolutely essential — and economically viable — to coordinate the two development processes. My question is therefore: When does the Council of State assume that she can take a decision on this and follow it up with proposals for appropriations also from Stortinget?
ParlaMint-NO_2004-02-11.ana.ud831e1813	It is absolutely right that it is important to see the Fornebu solution in connection with Lysaker station. We'll take that into account when we're dealing with both of them. There has also been great freedom for Akershu County to find a collective solution in the case of Fornebu. However, we have to make demands when we use money from the state. When we're willing to add up to 600 million. In this project, we require that we know what the money goes to, and that we know that it is a good and sensible project. We haven't finished that job yet – we don't have any facts on the table. But we have to have a good collective solution, and that's why we all have the same intention of doing this. Earlier today, we have had too fast progress, and we feel that we have had too poor a political, local, etc. basis for decision-making. I can refer to a number of other processes, where we've been pressured so much in time that we've risked getting into solutions that maybe haven't been the best. That's why I think we need a good collective solution for Fornebu, and we need to have a right pace in the process. That's why I can't promise you a date.
ParlaMint-NO_2004-02-11.ana.ud831e1823	I am delighted to ask the following questions to the Minister for Local and Regional Affairs: ‘Despite repeated attempts, Agder Police District has failed to expel three notoriously criminal foreigners. One is, for example, convicted in criminal proceedings nine times. The crimes qualify individually for expulsion, but the UDI decided that they would stay in Norway. Will the Council of State take action to facilitate the detection of notoriously criminal foreigners?’
ParlaMint-NO_2004-02-11.ana.ud831e1832	Let me start this answer that I have started many answers to questions in the foreign field earlier. I know that the representative Simonsen is aware that the Foreign Affairs Directorate and the Foreign Affairs Department are dealing with expulsion cases and other matters under the Foreign Affairs Act. Neither the department nor I have the opportunity to intervene in dealing with such matters. I have full confidence that the directorate and the company will handle the relevant facts properly in today's law. That means I don't want to go into an exemplification based on individual things. On the other hand, I would like to say a little about what is our general work in relation to expulsion rules. The expulsion rules are such that foreigners who are convicted of crimes with a certain lower penalties can be expelled. However, it is also a condition that the expulsion does not constitute a disproportionate measure to the foreigner himself or his family. The criminal offence and its severity should therefore be weighed against an assessment of its relationship with Norway. Points of emphasis in this assessment include, inter alia: whether the foreigner has come to Norway at an early age, how long the foreigner has lived in Norway, whether the foreigner has a spouse, child or other family in Norway with which they are in contact, whether expulsion will lead to family splits and what relationship the foreigner has with the home country. There are some special constraints. In cases where the foreigner is born in Norway, and later has a permanent residence here, he/she cannot be expelled under the law. If the foreigner came to Norway as a child and has lived for a long time in Norway, the seriousness of the criminal offence(s) for which he is convicted will have to be significant before the foreigner reacts to expulsion. One of the reasons for this is that Norwegian society has to take greater responsibility for its criminal career when the foreigner has had his or her childhood in Norway. Norwegian authorities also have obligations under international rules in this area, including in particular: The European Convention on Human Rights and the United Nations Convention on the Rights of the Child, which is now incorporated into Norwegian law. This proportionality assessment is now being carried out by the Ministry. It is currently not regulated. We are working on an attempt to change the foreign regulation, which means that we should also make a regulation with clear regulations – proportionality assessments. The reason for this is that we are working to improve the situation of people who are subjected to violence and harassment by foreigners who are assessed. Among other things, the proportionality assessment here may be wrong in relation to those who are victims. Therefore, the proportionality assessment will focus on whether the foreigner poses a threat to anyone in Norway. The proposal will be sent to the hearing in a short time. In the light of the same considerations, the Government has also proposed to lower the lower penalty framework for expulsion. It's a proposal that's been out for consultation. This will include, inter alia: facilitate the expulsion of aliens convicted of a restraining order and of physical insults, which are associated with much family violence. We will follow up on these matters in an odelstingsproposition that will be sent to Stortinget during the spring. With regard to the issue of repeated infringements, this will also be regulated in relation to the proportionality assessment. I want to see if it's properly regulated in the proportionality assessment regulation that we're now dealing with. But we cannot escape the fact that some people – either because they were born here, but they don't have Norwegian citizenship, or because they have lived here for a long time – could actually have been involved in significant criminal activity without us being able to expel them. It can be very clear in border countries in terms of international conventions.
ParlaMint-NO_2004-02-11.ana.ud831e1847	We know this problem. Often, there are notoriously criminal foreigners who can be expelled, but who have long lived in Norway and are married to Norwegian girls. UDI then believes that they have sufficient links with Norway so that they can continue to live here and commit criminal acts. In my opinion, it is entirely possible to live in other countries – there are actually quite a number of people who do. It must be possible for these criminal foreigners to take their families to their countries of origin if they are expelled and still want to be related to their families. They can, for example, go back to Morocco and bring the families. What I want is a clear signal from the political leadership of the UDI that it is, in principle, unacceptable that notorious criminals are allowed to operate freely in our country when they have the opportunity to expel them, even though they may be married and have lived in Norway for a long time. When the possibility of expulsion is present, Norwegian communities will be served by expulsion. Although the decision is taken by the UDI, political signals from political leadership are of course useful.
ParlaMint-NO_2004-02-11.ana.ud831e1856	This is an area where political signals are not to be used. That's what this hall has decided. This shall be regulated in the form of regulations and laws. So that's why we're working to regulate which assessments UDI should actually do. I disagree with the representative Jan Simonsen about automatic expulsion, and I know that from many previous debates. So you have to take into account the others that are also affected by an expulsion, for example. have children’s rights and rights of contact. So we have a lot of cases where we show people who have been involved in serious criminal activity, but who have family and children, precisely on the basis of the principle that the family can be reunited in other countries under the European Convention on Human Rights. There will be an assessment of the gravity of what you do, the closeness of your contact with Norwegian society, and, if necessary, the closeness of your contact with your children. Particular attention is paid to the children in these assessments.
ParlaMint-NO_2004-02-11.ana.ud831e1865	I just notice there's a disagreement here. These are cases where the police have wanted these people expelled. There are people who have been imprisoned nine times in Norway and who are thus notorious criminals. They can be reunited with their families and take care of their children by living in countries other than Norway. I hope that the regulations you are now working on become more stringent. But with the attitude of the Council of State, there may not be much hope of it.
ParlaMint-NO_2004-02-11.ana.ud831e1872	So, as I said, we're going to step up the deportation requirements in the law. Of course, it will also be reflected more strongly in relation to the assessments UDI has to make on the proportionality bit. However, I would like to stress that I cannot take a position on the claims that Jan Simonsen now makes regarding these individual issues. First of all, the Storting has passed a law in which individual cases are not dealt with politically. The second is that I have no knowledge of either refuting or verifying the claims made by Jan Simonsen in relation to these individual matters. I also don't know anything about family relationships, what relationship they have, and I can't go into an assessment of whether it would have been easy for them to reunite in another country or not. We'll probably have a discussion about this here in Stortinget, because it's among other things. suggested that those who come to the country before they reach the age of 14 years, i.e. before the criminal deputies, should not be deportable at all. It's an assessment that's now being made by the law commission, so I think we're going back to legal regulation in this area in a relatively short time.
ParlaMint-NO_2004-02-11.ana.ud831e1885	I have a question for the Minister for the Environment: «In budget entry. S. No 8 for 2003-2004 the Economic and Social Committee pointed out in particular that the run-off situation of Eastfold has created major problems for the watercourses and that priority should be given to the county in its efforts to prevent and reduce run-off. The Morsa project needs resources to achieve the regulatory objectives of water quality. What state instruments are planned by the Council of State?’
ParlaMint-NO_2004-02-11.ana.ud831e1894	There are some watercourses in Eastfold that have problems with overfertilisation. Measures to achieve the desired water quality must be implemented in these watercourses. This is also the case in the Hobøl-Vansjövastre, where important work is being done through the Morsa project to reduce pollution. I am very concerned that this work will succeed. The Ministry of the Environment has therefore for several years provided financial support for reducing the pollution of the Hobøl-Vansjössträge over the grant item for overall water management. For the 2004 government budget, this budget line was included in the framework grant in the budget of the Ministry of Local and Regional Affairs, which the Storting had no comments on. The main objective of the government with the inclusion of earmarked grants in the framework grant is, as is known, to ensure greater freedom of action for the local government sector. The two main sources of pollution problems in the Hobøl-Vansjössläge are agricultural activities and sewage discharges from separate sewage treatment plants. Several measures have already been implemented to improve water quality, both in relation to sewage emissions and in agriculture. With regard to the control of emissions from separate waste facilities, municipalities have the power to impose the necessary requirements. As regards environmental measures in agriculture, the Minister of Agriculture has explained it in his answer to question 8, from May Hansen, earlier today.
ParlaMint-NO_2004-02-11.ana.ud831e1905	I thank the Council of State for the answer. That's absolutely right, and it's also gratifying that the Council of State wants to follow up the Morsa project. We have come a long way, but we have to get far further behind this project in order to get down to self-cleaning in terms of emissions, for example. of phosphorus. All political parties are committed to the polluter-pays principle. However, it is clear that the agricultural policy followed by the 1970s channelling decision will stimulate the development of the central East through subsidies and aid schemes for the uniform cultivation of cereals. That makes us get huge emissions of nitrogen and phosphorus. One can therefore say that the State has an indirect responsibility. We know that there are still huge emissions, and that for example. in Lake Water is algal growth, toxic blue green algae. That development will be irreversible for decades before we see improvements, if you don't go a little more actively to work. Doesn't the Council of State mean that it is necessary to take greater responsibility to save Eastfold's ruined watercourses, including the Hobøl-Vansjössträge?
ParlaMint-NO_2004-02-11.ana.ud831e1916	As I said in my first answer, the Minister of Agriculture has answered the same question earlier today. He also established the sectoral responsibilities of primary industries and agriculture in relation to the run-offs from agriculture. Much has also been done in agriculture in recent years to limit these run-offs in relation to both bottom tightness, side densities and other types of drainage. Like the representative Hedstrøm, I am very concerned that the water lake is still to be used as a drinking water source and is a recreational and open-air area. I'm familiar with the Morsa project, I've been there myself, and I know they're doing an innmari good job. At the same time, I am concerned that the polluter-pays principle should underpin the efforts to reduce pollution in the Hobøl-Vansjö watercourse. The grant granted by the Ministry of the Environment has now been incorporated into the framework grant for municipalities, which the Stortinget did not oppose.
ParlaMint-NO_2004-02-11.ana.ud831e1923	I thank the Council of State for the additional response. I've been given an overview of the development of county quotas in terms of funds for specific environmental measures and territorial measures, and they haven't increased in the last four years, to say that. Although agriculture is now doing something, as the Council of State stated, should there not be more drastic measures and stronger instruments to do so? If it had been an enterprise that had polluted as agriculture does, it would have been about environmental crime. Is it not soon a climate on the part of the Ministry to use stronger instruments to bring this to a happy end?
ParlaMint-NO_2004-02-11.ana.ud831e1932	The Ministry of Agriculture must respond to its sectoral responsibilities, as the Minister of Agriculture has done in a good way earlier today. So to my sector responsibility, as far as the drain side is concerned, it's the scattered settlement that primarily contributes to the poor water quality in the watercourse. These are emissions from cabins, individual households and smaller house clusters. It is the municipality that is responsible for and has the authority to provide the necessary instructions for the purification of such emissions. We have been informed that the municipality has taken the necessary decisions for this piece. There is nothing to suggest that links to municipal sewerage or the construction of separate sewerage facilities are more expensive here than in other comparable regions of the country. As regards the aid granted to this area for environmental measures, it may seem that it has fallen as this money has been raised by the Ministry of the Environment and transferred to the Ministry of Local Affairs as a framework grant, to which the Stortinget had no counter-representation. But now it is up to the municipalities and the various sectors, including agriculture, which the representative also pointed out correctly, to take this responsibility.
