ParlaMint-NO_2004-12-07.ana.ud735e44	The representative, Karin Andersen, will make a private proposal.
ParlaMint-NO_2004-12-07.ana.ud735e970	The Christian People's Party is concerned with the important role of maritime transport. Maritime transport is dominant in freight transport to and from abroad. It is positive to facilitate the development of ports into efficient connecting points with the land-based transport network. The work on the fairways of the Svelvik stream, Drøbaksundet and the Teldsundet is a priority in the budget. In addition, work on maritime safety and preparedness for acute pollution is also a high priority. In this context, I would like to highlight the literally vital tasks of the Coast Guard and the Rescue Company and the affordable way in which they carry out their work. The Christian People's Party will work to strengthen its role in the Norwegian transport system. We therefore think it is positive that the Ministry of Fisheries and the Coast is working on a review of the whole structure of fees under the Coastal Zone, with a view to keeping costs at the lowest possible level. The Christian People's Party is pleased that we found room in the budget agreement for extended support for the national road ferries. The Boknafjord connection and the Tau connection have received funds for capacity expansion, and from 1 January, night-travel services are now possible on the routes Volda-Folkestad and Halsa-Kanestraum. In Utkan-Norway, many of the residents are dependent on the ferries, and we want to underline how crucial it is that we now have increased capacity, increased frequency and extended opening times on several ferry routes. The rapid pacepiece at Stokmarknes has been a heartchild of the Christian People's Party for many years. It is very important to keep the 110-year history of Hurtigruta as a very important means of transport and communication for the coastal population. The fast route is also an important part of coastal cultural history, which is a state responsibility to contribute to caring for. The fast route ship «Old Finnmarken», taken ashore in the Stokmarknes, is at risk of being lost. The ship must be built in. The Christian People's Party has always believed that the financing of such a superstructure had to take place in a shattering layer between public and private interests. The attempt to transfer all responsibility to the Ministry of Transport was, in our view, an error, which is now dead. The Christian People's Party is therefore very pleased that, in the agreement with the Advancement Party, it has agreed to add 5 million. kr in support of the Hurtigrutemuseet Old Finnmarken Foundation for 2005 to save the boat until the financing of overcrowding is in place. The municipality of Nordland, as a regional development actor, is responsible for setting up a selection of representatives from the municipality of Nordland, the Ministry of Culture, the Ministry of Social Security, the Municipality of Hadsel and the Foundation of Hurtigrutemuseet Gamle Finnmarken. The committee is given the important task of finding good solutions for the preservation of Hurtigruta’s history and Old Finnmark. As rapporteur for Mr St.meld. No 16 for 2003-2004 About the transport standard and the purchase of transport services on the coastal route from Bergen to Kirkenes – for the period 2005-2012 – I would like to express my joy at the result we are discussing today. The case has been disputed in this house, and it has been a great commitment from the coastal population. It is therefore gratifying that a unanimous increase now in two rounds has set up an operational basis for the Hurtigruta for eight years to come. Socio-economically, I am convinced that Hurtigruta’s significance for Norway far exceeds the amount for which we buy transport services during the period. Now it's the responsibility of companies to provide economically sustainable operations for Hurtigruta in the future, so that we avoid new rounds similar to what we've had this year. The 2005 Transport Budget is very good for my own home country, Nordland. More than 800 million must be used. kr in the county of different transport measures. A major road project will be completed and new ones will be launched. In particular, it is gratifying that the Nordlandsban will receive a proper upgrade with automation, train radio and new crossing tracks. Finally, I would like to give the Christian People's Party full support for the priority of aviation security that the Minister for Transport attaches so much importance to. There is no doubt that the migration process as Norwegian aviation is in the process of being implemented. The conversion process shall proceed. But no one should ever be in doubt that security has first priority. I am pleased that there is a broad consensus between Storing and the Department that nothing is more important than ensuring safety in the air. At the same time, it must be clear that the ongoing process of conversion is necessary and will continue, even if the pace is slowed down. Let it be clear that the Christian People's Party will continue to move the entire Air Safety Authority to Bodø.
ParlaMint-NO_2004-12-07.ana.ud735e994	If not for too long, a few hundred people will stand out here and demonstrate. There are people from the Railway Agency who are going to try to tell us about their concerns. They won't stand out there because they want to tell the representative Kjästad that this is a power demonstration of trustees. They'll stand out there and tell them they're worried about their own job, and they're worried about the safety of those who use trains in Norway. That's the picture of the situation: we've got increasing security. In a short time, insecurity is present in the air, now it's coming on the track, and we'll see it also along the coast. This is the real challenge we face in this debate on transport. It seems like the government's representatives here in the hall are doing what they can to get away from what's the main problem, and they're kind of telling literary fiction because reality isn't what you want to write or talk about. It's a concern, and it's a problem. In this budget position of the majority, something that emerged the last time we had an agreement with the Progress Party, something that no one knew in advance: a junction in Fauske. At first they thought it was a error, but it turned out it was true. It was a little humorous. But now Fauske shows up again, and not only does it show up again, but it shows up with a budget of 22 million. kr – for a non-projected measure. So uncertain is the measure of saying that if it doesn't become 7.5 meters away, and if the parking spaces don't disappear, it can't be done. Then you have to figure out something else to spend 22 million. Add kr. If I were to turn this equation into a per. Consisting and placing it in Oslo, the State of Oslo owes at least DKK 3 billion to road projects for 2005. In the Grorud Valley, 130,000 people live in one of the most polluted areas in the country. 250 million. kr they are waiting for, according to the Fauske model. Now, of course, it should be the Progress Party that should be at the head of it, to show that they are interested in what are the major challenges. Because there is no doubt that if Groruddalen had received 250 million. NOK, I will promise that we had completed projects to spend this money on. And I think we would have been so liberal that we would have said that if you take some parking spaces, it's totally OK, and if you can't get a 7.5 m width on all the roads, it's totally OK, because this is what we're going to be able to use to solve the political challenges. What is being demonstrated here today is a serious way of dealing with the challenges of transport. Then the question is, does this hall give the answer? I am very uncertain about that after the debate that has been going on to date. My starting point for the article today was a completely different one. That means I would then offer some comments on some chapters in the budget position that I would otherwise have concentrated on. But let me say something that is a point: the reorganisation of the Coastal Works is a measure that the industry itself wonders a little bit about, because here one constructs an idea of a market that no one knows where. The Coastal Directorate, who was asked to discuss this topic, says itself that this is a risk project, because the market is so small, and they say that as an opportunity you might find strategic alliances, a larger entrepreneurship company, for example. Mostly, you might be able to establish it. But no: from 1 January 2005, this will be implemented, and in line with all other reorganisations, it will be at an enormous pace. I feel a certain discomfort, and I feel that there is a brutalization of working life. I feel that there is a harassment of public employees.
ParlaMint-NO_2004-12-07.ana.ud735e1012	From the Ministry of Fisheries and the Coastal Ministry's budget at approx. $2.50 billion is close to 40 pst. to the coastal management – unloading, security, ports and lighthouses. It also reflects the fact that the Government prioritizes a clean and rich sea. The prerequisite for this is safe and environmentally friendly maritime transport. The result of such a policy provides a basis for value creation and coastal settlement. I am pleased that the majority of the Grand Duchy today endorses the Government's proposal. In addition, my sector is added 5 million. kr for further work on the City Tunnel. Of course, I will follow up the Storting's intentions in the budgetary statement, and will, in accordance with what the Government said in the National Transport Plan, invite local and regional authorities and other stakeholders to cooperate in order to clarify the basis for any procurement. A significant part of the Coastal Plant’s activities is user-funded. This is a recognised principle and, of course, it is a challenge for both the Coastal Administration and the ports to operate as cost-effectively as possible in order to limit the level of costs of maritime transport, which in turn is an important competitive factor when users choose the mode of transport. Losing and traffic control services and 34 pst. of the costs of lighters and brands, user-funded in the 2005 budget. The coastal fee is increased in line with that objective. The government is also working, as previously announced in the National Transport Plan, on a review of the structure of fees and charges in coastal management and in a comprehensive transport sector. As part of the streamlining of the public sector, the Government has proposed to transform the production of the Coastal Works into a State limited liability company from 1 January 2005, such as: The last speeches were on the table. This gives us a desired distinction between the Coastal Authority tasks and production activities. At the same time, we can continue and further develop the high level of competence of the Coastal Administration staff in the development and maintenance of major ports, major navigation installations and fairways. The result of a new organisation and competitive outsourcing will provide more ports and more maintenance for the money Stortinget grants for the purpose at all times. And because of the need for expansion and initial investment in, inter alia, fishing ports are large, more production for each krona is also a good investment. Recently there has been a debate on Norwegian presence on Jan Mayen after the Loran C phase out. The Meteorological Institute has notified that they are assessing their activities on the island. When Loran C is phased out on 1 January 2006 because of a lack of interest in the system, I will return to the question of infrastructure and staffing on Jan Mayen in the 2006 budget. I also point out that the Government recently took the decision to move into the development of the Galileo satellite navigation system with the EU, and it would be natural to see this also in relation to Jan Mayen. With regard to matters that the Committee has affected regarding oil protection preparedness and other safety, I would point out that we are going to present a large-scale notification in a short time. There, these themes will receive a broad and thorough treatment, and the Stortinget will thus have the opportunity to give its way, in its full breadth. However, I would like to stress here that the 2005 budget is a commitment to safe maritime transport and preparedness. At the beginning of 2005, an automatic ship identification system, known as AIS, is established along the coast and will be used in the traffic monitoring of Coastal Stations. Work on new traffic centres in Vardø is planned and will be completed by 2007. The cooperation with the Coast Guard and the Rescue Company is good, and I give them both credit for the way they carry out their duties. The government has prioritised the Rescue Company in all the budgets we have provided, and this year the SEK 60 million subsidy ceiling is broken. It is also a recognition of the voluntary efforts made by the Society's broad organisation around the country. The 2005 budget for preparedness for acute pollution is a continuation of the commitment for 2004. A change in the cost allocation between the Coast Guard and the Coast Guard in respect of the 2005 towing boat capacity implies a technical reduction in the Coast Guard budget, while increasing the efforts of the Coast Guard within the Ministry of Defence budget. It is therefore not correct, as stated in the minority's remark, that the budget for preparedness has been weakened. The establishment of State tug capacity from 2004 onwards represents a significant increase in the response to acute pollution and, as I said, we will return to the full scope of these issues in the short-term forecast. Let me just end by saying that the Government is continuing the effort on measures for accessibility and safety in the fairways. Priority will be given to the maintenance of navigation installations in 2005. We have proposed the completion of the repair of the fairways in Tjeldsundet, Svelvikström and Drøbaksundet. It is a priority from the Swedish Coast Guard Agency that we should complete the most possible projects before we start new ones. There has been a tendency to start so many projects that you have not been able to finish them, either in ports or otherwise. But the priorities we have set will mean a significant improvement in the safety of navigation and the emergence of highly trafficked traffic controllers.
ParlaMint-NO_2004-12-07.ana.ud735e1042	It's going to be line change.
ParlaMint-NO_2004-12-07.ana.ud735e1045	I was in my main post dealing with the question of turning the Coastal Works manufacturing activities into an AS, and I referred to the investigation carried out by the Coastal Directorate, where you were very sceptical about this project, because it was so risky because of the small market in which you were going to compete. It was recommended that a strategic alliance be sought with a larger entrepreneurship company. Has this been entirely uninteresting to the ministry before they now submit their own proposal, which is a direct transition to an AS? And point two: Is it not worrying that the suspension also announces that at least 40 of the 103 employed there today will be subject to a cutting that will take place as soon as possible?
ParlaMint-NO_2004-12-07.ana.ud735e1054	The transformation of the Coastal Works’ production activities into a state limited liability company is part of the government’s efforts to improve the efficiency of the public sector. But there is also a statement of trust for the employees in the production activities of the Coastal Works, the skills they stand for, and in order to meet open competition. It is true that there is a limited market. But there is also a niche production that requires special competence. The government has assessed all forms of organisation, including the issues raised by the questioner in its article, including: in the case of alliances. We have come to the conclusion that an organisation such as a state limited liability company will produce the best results in the long term. But we do not underestimate the challenges such as: the employees are in the process of being reduced by the volume of the contract in the market.
ParlaMint-NO_2004-12-07.ana.ud735e1061	When the preparedness for emergency pollution was transferred from the State pollution control department to the Coastal Agency, a small department took care of and ensured that there is no contamination from the many wrecks that lie along the Norwegian coast. In 1997, the State Pollution Control Authority carried out a review, the so-called ‘Waste Report’, which prioritised 15 wrecks that it felt had to be secured in order to avoid oil pollution. One of the top priority wrecks is at the end of what has later become a salmon fjord, namely at the end of Namsen. On the question of whether nothing should be done to ensure the HMS ‘Bitten’, which is at the end of Namsen, the Council of States responds to a new review in 2005, probably similar to that carried out in 1997. Isn't it soon that we get to do something with these wrecks? And don't we really know quite well what the score is?
ParlaMint-NO_2004-12-07.ana.ud735e1070	It's part of the reality along the coast that a significant number of wrecks are there. It is also the case that the Coastal Plant continuously monitors the wrecks that must be considered to have a potential as a pollution hazard. The coastal works do this continuously, and in that way we will also be well prepared if it has to be intervened in relation to individual wrecks. The situation, as assessed by the professional authorities now, is that there is no basis for doing anything more. These are also issues that we will address in the context of the Storing Communication, and this will be a good opportunity to elaborate on the points of view.
ParlaMint-NO_2004-12-07.ana.ud735e1077	The budget proposal states that the vows of the Coastal Plant are almost unchanged from year to year. Yes, the 2004 balance is lower than the 2003 balance. The 2005 budget is approximately at the 2003 level, if we keep the traffic centre in North Norway outside. At the same time, we know that the Coastal Plant has many and large unsolved tasks. There are many tasks that await both port side, rental marking, and so on. Is the Council of State satisfied with the developments that have been taking place in the vows of the Coastal Agency?
ParlaMint-NO_2004-12-07.ana.ud735e1084	Coastal tasks related to ports, related to safety and to traffic controllers and navigation are considerable. There will always be a question of priorities. In recent years, the Government has chosen to prioritise safety, not least in view of the risks posed by increased traffic. Then you can not, like the representative Ringstad, pick out individual items in that bet and say that there is little left for the rest. Not least, we have given priority to building up a towboat capacity along the coast. We have chosen to give priority to the development of traffic centres in the northern regions, just to have a safe coast and to contribute to the clean sea. We could probably have wished we had additional funds from time to time. But in the priority that the Government has done, I am pleased that we have gained a focus on some areas within the area of responsibility of the Coast Guard, as well as that we have built up a renewed trust with the Rescue Company by increasing their appropriations each year, and that we have a very good cooperation with the Coast Guard. You have to see these things in context and not calculate the way that Jorunn Ringstad is doing wrong.
ParlaMint-NO_2004-12-07.ana.ud735e1089	It's true, as the Council of State says, that the Coastal Production will operate in a niche market. That was a little bit of my point, too, that it was a niche market. But the Coastal Production has a handicap in this niche market, they don't have equipment for dredging. When they enter a competition, it is part of this niche market, i.e. a niche in the niche, which does not require the production of the Coastal Works to be able to operate if they do not have the necessary equipment. The question is then: will the Council of State ensure that this future Coastal Plant Production as an AS company will have the financial opportunities to invest in that type of equipment? So I just want to say one thing that doesn't affect the Council of States, in and of itself. On page 40 of the Committee’s opinion, it is a wording relating to the Loran C system which states that it will be closed with effect from 1 January 2006. That is correct for Norway. There are other parts of Europe where they will still have an operational Loran C system. So to the extent that there is doubt about that wording on the part of the committee, I have corrected it.
ParlaMint-NO_2004-12-07.ana.ud735e1096	Then it's Heidi Sørensen, who gets the last line. No, first of all, the Council of State must be given a reasonable answer. There might be some of the points with this question mark.
ParlaMint-NO_2004-12-07.ana.ud735e1102	One alternative was that the representative Froyn and I had a conversation in the hiking hall, but it may well be easy to answer from the Stortinge pulpit. It's right, as the representative says, that it's a niche market. That does not mean that the Coastal Works Production as a limited liability company has to limit itself to what they have the competence to do today. Dredging is to a large extent restricted to equipment, but it has port development competence. I'd like to await the board's and the administration's proposal on expanding the market, if they find it interesting. I will take a strong distance from the character of the representative Froyn in his main post, that there is a harassment of state employees, implicitly also in the Coastal Production. That's not right. We have great confidence that the Coastal Works Production employees will be able to face the competition offensively. That's the signals we've been given so far. Otherwise it would not be possible to convert it into a limited liability company. I trust this company. I have faith that they will win the competition in the future.
ParlaMint-NO_2004-12-07.ana.ud735e1111	I did not quite understand the answer I received from the Council of State instead. The response we received from the Ministry in the budget setting was that a new full review was to be carried out in 2005 of the situation for all wrecks. To me, it looks like it's about the same thing you did in 1997. In 1997, it was concluded that there were a number of wrecks where action had to be taken. I'm a little concerned that what's going on here is that we've moved a unit from one department to another department, that you don't take your professional assessments, and that you do everything over again. The result is that the necessary measures are being postponed. Six wrecks are being monitored. From the wreck that lies at the end of Namsen, it has been observed to be spilling oil. At that time it should have been time to draw the conclusion already reached in 1997 that action should be taken.
ParlaMint-NO_2004-12-07.ana.ud735e1118	If the representative with his question suggests that the Coastal Works should not have competence or should not take information from other departments, the Coastal Works have been poorly followed. This is undoubtedly our leading body with competence in what is happening on the coast, as with its presence, as well as in the monitoring of wrecks, reviewing the status of those who are there, and having a preparedness when and if action is needed. When you have a full review, and when you have a continuous monitoring, you are also prepared, both in the department and in the Coastal Agency, to intervene when and if it is considered necessary. The Coast Guard is not a new operator on the coast. I want to take a strong distance from suggesting that the Coastal Plant does not take this seriously.
ParlaMint-NO_2004-12-07.ana.ud735e1123	The President was injured to call this a Question Time, and it has its reason that there were good questions and good answers. The cord shift is over.
ParlaMint-NO_2004-12-07.ana.ud735e1128	Good and fair distribution is an important objective of the Labour Party's policy. About 100,000 people today are unemployed in an economy that is going quite well. This must be an expression that the fight against unemployment is not high enough priority given by the Government. The working party has, in its alternative budget, over DKK 1 billion more for transportation than the Government. This is an important contribution to increased employment, to better supply in scattered areas and not least to the business environment. This Government loves privatisation and cuts professional rights. This has become an exercise for them – I will soon compare this with England and Margaret Thatcher's methods of cracking the work of the movement. This government is not going to do it. It's a choice for the next harvest, and I understand that the government is very busy. There is not enough evidence to support the privatisation of public services and tasks on the contrary. It can be demonstrated that privatisation is often more expensive and less expensive than the public can provide. The government is attacking employees' pay and employment conditions through its race for privatisation. Everything can, of course, be privatized. This pure Right Policy is like pure madness, and this is the Christian People's Party to implement. The Sem Declaration mentions, among other things:\t\t You can change the settings of the grid. \t\t «The governance process will extend the use of competitive outsourcing in the public sector.» There are a lot of people out there who are afraid of the next bidding round, because it's just the pay and working conditions of the employees that they want to cut in to achieve the ideological goal of the Government. The Right-Original Government operates an unsocial distribution policy with a strong privatisation lever. The Labour Party believes that the Government’s proposals on the budget for transport are ambitious in view of the challenges Norway faces in the transport sector. In addition, the Government does not take seriously the decision of the Storting regarding the treatment of the national transport plan in spring 2006–2015 that more money should be spent on transport over the next 10 years. The Labour Party will point out that Norway is a country with significant challenges and great opportunities in the transport sector. We must continue to build the country. There is a great need to maintain, renovate and build new roads. The same applies to the railway network. Unfortunately, the government parties and the Progress Party kept one of their promises at the year's budget. It was the promise of more privatisation and a share company. The Government and the Progress Party, last with this budget, have, together during this great period, ensured that society has provided important road, rail, postal, aviation and port governance opportunities. Ideology has triumphed over reason. To date, the government has not been able to provide a single figure showing that their policies have provided more road, rail or postal services for the money. We in the Workers' Party are afraid that this policy will cost far more than the win will ever be. The fact that the railway works, responsible for the safety itself on the railway track, are suitable for privatisation seems rather incomprehensible. Which Norwegian or foreign companies have the insight and local knowledge that can make the network as secure as the Railway Agency can do? While there is a safe potential for efficiency improvement also within the railway works, it should be possible to achieve it by means other than privatisation, which only creates uncertainty and uncertainty. As regards the item, the Workers' Party has invested more money in its alternative budget to reduce the dividend requirement in the Item Norge AS. Unfortunately, in its budget, the government has increased the dividend requirement for next year, despite the fact that at the beginning of the year the majority of the population agreed to a significantly lower level. The Workers' Party believes that the Government's dividend policy is dangerous, as it could lead to further demands for efficiency and downsizing in an already pressed enterprise. We in the Workers' Party will also express our strong concern that the Post Norway AS as an important Norwegian infrastructure is also at risk of weakening as a result of further liberalisation of the postal market. The working party enters into the budget to stop the conversion of the traffic stations. We ask that this come back to Stortinget after the matter has been better investigated in view of the concerns of the users of the services. The government is also in favour of liberalising the taxi industry. The Labour Party is also opposed to this. The working party knows that those who want a wage to live off must work double shifts. Full liberalisation of the taxi industry will probably lead to tougher working conditions and reduced safety. Nor is it without reason that the government is facing great opposition to the proposal in the districts. In the course of the budgetary procedure, the Workers' Party also requires the Government to arrange the compensation scheme for the differentiated employer's fee. The Workers' Party believes that the Government must follow up compensation funds for increased employers' fees, because the level of filling is too low. It is important that the projects planned to be implemented with compensation funds are followed up as planned. These are important projects, especially for the business community in the districts. Finally, I would like to state that it is good that there is now a solution to the matter regarding the Hurtigrutemuseet in Stokmarknes.
ParlaMint-NO_2004-12-07.ana.ud735e1169	I am proud of the government budget for 2005. This year, too, there is a strong commitment to trade, both in terms of more money and new conversion measures, which in turn will provide more transportation for the money. If we see this four-year period as a whole, there has been a lot of activity in road development across the country. A total of 44 road projects with an estimated cost of more than 200 million. kr has been started or completed. The main roads are and become the backbone of our transport system, and for this reason they will have to maintain a consistently good standard. It is also necessary to see longer distances in context, important strain viruses such as E6 in Eastfold, E18 Oslo-Kristiansand, E39 Kristiansand-Stavanger and E6 northwards to Lillehammer. On these sections, and on many others, the Government has forced the development of the action plans adopted. This stands for respect. At the same time, we also have a great deal of investment in the secondary national road network and in racial areas. This is important in order to maintain the scattered settlement we have in the country, as well as to be able to strengthen and improve the emergence of our business life. In 2005, approx. 490 million. kr is used for projects and measures to protect against race on the road network. Safety and good transport services in everyday life are crucial for all of us. Traffic safety and prevention are important to achieve our objective: zero vision – no fatalities or injuries in traffic. We're going to bet a lot on this field, 470 million. in 2005 for specific road safety measures. That's 70 million. kr more than in 2004. If you include tolls, it'll be about. 540 million. kr. The measures taken are aimed at the most accident-affected routes we have, for example: in the development of quadruple roads, the construction of physical divisions between directions, more lighting of roads, cross-repair, improvement of driving licence training and more controls. The government is also continuing to invest in public transport. Better public transport and more environmentally friendly urban transport are important. Increasing car traffic often creates queue problems, especially in and around our big cities. This creates problems for business and difficulties in the handling and handling of goods. That is why we are strengthening, among other things: the 40 million reward scheme. NOK 115 million. kr in 2005, in order to improve public transport and reduce car use. This will provide room for better collective provision and reduced collective rates. Increased competition, conversion and efficiency have been and are important to the Right. We are proud of what has been started or proposed by the Government so far. Our goal is always to focus on providing the best possible offer to transport users, and we will continue to pursue this policy, unlike what we have heard from the socialist side today. They do not dare to change one component to make it better for our passengers and users. I look forward to 2005 for Agder. In this context, the level of activity will increase in both public transport, road development, racial protection and road safety measures, as well as in the middle of accident-affected road sections. Finally, I would like to say a little bit about Document No. The 8 proposal, in the case of traffic stations. We want to attach this protocol. The change in the structure of services in the road and vehicle areas is a follow-up to Stortingen's treatment of the reorganisation of the state road system. The aim is to create a better and more decentralised service provision throughout the country, and services should be provided wherever possible where users are. It is also in line with the Government's desire for a more efficient and modern state administration.
ParlaMint-NO_2004-12-07.ana.ud735e1197	The Labour Party has spent a billion dollars more in its alternative budget than the Transport Government, to improve the visibility of business, to improve the transport capabilities of most people and to facilitate people to live and work in all of Norway. After the Workers' Party's opinion, it is necessary to invest in both road and rail. Increased deployment of the rail network is an effective way to reduce traffic corks around large cities, improve road safety and reduce environmental problems. The government party did not keep what they promised for the current NTP period. This shows the government's own numbers, the deficit is 3,800 million. kr. This happens despite the fact that there have never been as many oil crowns in the Norwegian economy as under this government. But it's for tax-free money, because it's both social and industrial policy. But there's one promise the Government has kept, and it's the promise of competitive postponement, read: privatisation. This raw run that Right has set up when it comes to the Railway Works Drift, which to everyone's surprise gets a whole-hearted support from the Christian People's Party, and of course from the Progress Party, can mean that nearly 1,000 people with a high level of competence in this field are missing their jobs. Last Sunday, the State Council of Skogsholm stated that this transformation had to be based on camaraderie and lack of an overview of security. Now I have heard today that she herself takes a distance from this use of words, and that is good. But I haven't heard anything that says it's necessary for security to do this grip that the Council of State does. Clearing roles has nothing to do with putting off competition. If necessary, of course, the Council of State must address this issue so that the roles are clear and the security is preserved. In the debate today, one after the other of the government parties has almost surpassed each other in boasting about the amount of money that has been allowed to the transport sector. Compare with what? I ask. It's pointless to come up with these numbers when one failed to say that in the last three years, under the Bondevik II government, 196 billion oil crowns were used, while in comparison 10 billion oil crowns were used for the two years the Stoltenberg government created the budget. More money has been spent on everything in these last three years, but what is the highest priority from the Government's side is tax-free, so they have not been able to keep their own plans when it comes to promises to the transport sector. The Labour Party has kept the financial framework that we promised, and in our alternative budget, we would spend more money than the Government provided. Hordaland is a state with a lot of big toll projects, which means that every hordal thing pays thousands of dollars every year to run on our roads. Still, people are willing to pay more if they get something more. A large county road project in Hordaland is the Jondal tunnel. We will return to the financing plan, but one of the commitments was that the state would participate with 50 million. kr. There was disappointment in Hardanger when the government’s government budget was presented, but the Stortinget has fortunately arranged it. The working party has added the 50 million. kr taken from the country’s side. This should also have been done by the Government Party and the Advance Party. But I still hope that Hordaland County will be able to create a credible financing plan with the 30 million. kr as the plural today licenses. It is important for Hardanger and Jondal municipalities that municipalities can be linked when it comes to infrastructure. Then you can also look at the municipal boundaries. The competition has been a mantra here today. No one mentions social accounting when the different sectors are exposed to competition/privatisation. People get final packages from them in their 40s and early retirement in their 50s. A lot of people go into unemployment, and a lot of people get unemployed. This is unworthy of the individual and unworthy and expensive to society. After the Workers' Party's opinion, the most important task is now to get out of work and include more in the labour market. This post-competitive situation is going in the opposite direction. The Labour Party will dry what is needed, but it is absolutely reprehensible to do what the Government Party and the Advance Party do today. And when the Progress Party today says that they've got their whole program through when it comes to privatisation, together with the Christian People's Party, Left and Right, it speaks its clear language.
ParlaMint-NO_2004-12-07.ana.ud735e1218	We're going into the last fiscal year for a four-year period with fantastic transitions in the transport sector. There is evidence of a lack of understanding of the modernisation when the opposition to the processes of change creates new, but limited, concepts such as ‘AS-certification’, or, even more misleading, ‘privatisation’. That, of course, is not what this is all about. For the Coastal Works, this is not just about the outsourcing of the Production Coastal Works. It is also about extracting the synergy effect after the integration of state preparedness for emergency pollution, it is about cost and income control in the pilot and traffic centre activities, and it is about developing the Coastal Plant as a port establishment. Here it is important to facilitate intermodality, for example. to maximise the transition of cargo from road to keel. For the same reason, it is important to review the full cost situation of the Coastal Plant, with a view to keeping costs to the lowest possible level. This review will also address several issues, including the cost orientation of the fee structure. It is also necessary to undertake work to elucidate the interface between maritime transport and road transport and the degree of transition that can be achieved with reasonable means. For the Coastal Works, the budget has also focused on the tug capacity in North Norway and oil protection for the rest. The traffic centre in Vardø shall end after the timetable. The deployment of Automatic Identification Systems will be completed in 2004 by the Council of State. The agreement indicates that 5 million will be granted. kr to determine the basis for the invitation to tender for the Stad tunnel. It's an important thing. The setting quotes from the national transport plan, which states that this project ‘should be considered in the context of the future overall transport structure of the region’. Cooperation with local and regional authorities, as well as with shipping companies and private operators, is envisaged in order to find a solution to move forward with this project. There is reason to remember that the Stortinget has previously also granted money to the City Ship Tunnel. This amounts to DKK 6–8 billion for a pre-project – together with the two most affected county municipalities. In line with the legislation on measures above 500 million. kr this pre-project has been subjected to external quality assurance with the main stamp ‘approved’. We are aware that the Coastal Agency already has dialogue with local parties, which is in line with St.meld. No 24 for 2003-2004. There is perhaps reason to remember that despite some events with the city’s fast route, St.meld. No 24 excluded the fast route from the Stad ship's tunnel due to the size, of course. However, it is important that the Ministry of Fisheries and Coastal Fisheries and the Coastal Works confirm that the planned cross-section of 980 m2 is agreed with the local parties, in order to provide a clear basis for the planning of tenders. To finance it is to say that there have been no world champions in this process from the debating fractions; there is currently no funding in the national transport plan for this project. A representative of the Government Parties has referred to the budget in 2006 as the first rounding turn, and it can certainly be accepted, in the same way that a list candidate from the Central Party has considered whether or not to be 700-800 million. kr, it may have been an excessive step in the revised national budget to have this project fully financed. Nevertheless, it is for the Minister of Fisheries, the Ministry and the Coastal Agency to harmonise calls for tender with funding, as also mentioned in the external quality assurance contained in the national transport plan.
