ParlaMint-NO_2004-06-16.ana.ud568e49	The representative of Ola D. Glötvold will make a private proposal.
ParlaMint-NO_2004-06-16.ana.ud568e1021	The Minister of Foreign Affairs, for the most part, celebrates his presentation of the problems of terrorism in the extremely conflict-affected situation in the Middle East and Afghanistan. In this context, he should perhaps also take into account the problems of international society in dealing with the acute situation in Kosovo. Of course, it is important to focus on conflicts in the world that have come out of control. It is good that Norway can play a positive role in relieving such conflicts, but the Coastal Party considers it at least equally important that Norway focusses on how to prevent conflicts and prevent limited conflicts from escalating. In this work we will be able to find several of the answers to what is the cause of international terrorism. The Ministry of Foreign Affairs should be able to engage more actively here than in practical policies and stimulate research. A major cause of conflict is the distortion of the distribution of power and resources. Therefore, individual countries should be guaranteed control of their own resources. This improves the possibility of equalising inequalities within the country and provides a basis for real democracy. The Coastal Party wishes international cooperation between independent and state-run nation states. The Minister of Foreign Affairs mentions the EU’s neighbouring country policy as an important instrument for increasing stability and developing the Middle East region. Increased trade, reform and modernisation in this area are absolutely necessary. It must be taken as a matter of fact that Norway should have the same approach to the Middle East as the EU. On the contrary, Norway should be on guard against the role of the EU as a major economic power. It's not the people and the real values that are being focused on. The Coastal Party is increasingly concerned that the EU is changing its policy towards developing countries. Formerly very favourable aid agreements are increasingly being replaced by agreements involving counterparts from EU countries, such as the United States and Japan. market access, the liberalisation of the capital market, etc. In addition, the EU buys fish quotas in poor African countries and in the economic zones. In order to help these countries build their own fishing industry and their own industry, Norway, which has the best assumptions, can provide self-help to these countries. I guess I'm one of the few, maybe the only, who's worked in a developing country. I've been in Somalia for two years, fishing for the World Bank. Teaching the people of developing countries fishing is much better than providing them with emergency aid. By fishing, they can have food. But we're giving emergency help. I don't think the wheel is invented in the fishing industry in Somalia yet. They pulled their guts on the rack when I was there, and I think they're doing it today. And the shrimp pass, which goes around, wasn't invented, it wasn't used by the fishermen. Maybe there's too little money to sell yarn cards? Maybe that's why they're not being used, and in developing countries, they're still hanging around. Gradually, Norway should strengthen efforts to build alliances between autonomous and popularised states fighting for common interests in the WTO and the United Nations. The coastal party will continue to work towards an equivalent level of regional cooperation between western Nordic countries, inter alia. to ensure control of the large resources we have in the Norwegian Sea. We're a major force in the Norwegian Sea - so far. The question is, is it politicians who have to decide, or is it private? This cooperation should be a model of regional cooperation in other parts of the world and could provide a clear alternative to the EU model, creating centralisation of power and bureaucracy, democratic problems and imperialism. The question is, who should own the natural resources that I talked about? Is it private that has to own them, or are we politicians who have to control them? I also have to deal with another question, and it's about the difference between the assets and the money. Real estate is the natural resources and the values we have in the country. We have no control over money. Now this government is trying to sell capital and turn it into money. They sell bit by bit and turn it into money, and take away the real control of real values, which are natural resources. This is happening today -- privatisation, of course, it's called. Can the Government really believe that it is the one who has money, who is going to get the most out of the natural resources, and who is going to own those natural resources, and that you are going to deprive this house of ownership and political control over them? The coastal area is opposed to Norway being sold bit by bit.
ParlaMint-NO_2004-06-16.ana.ud568e1042	Yes, I suppose that is also the representative Nybakk, but I am not sure whether this is the topic of today's debate. This debate takes place in return at a very historic time: in front of a very important NATO meeting and after the enlargement of both the EU and NATO. For many years, such debates would be marked by expressions such as'stability' or 'Norwegian foreign policy'. The cold war was both stable and predictable. Following the fall of the Berlin Wall, both foreign and security policy is highly unpredictable. At the same time, foreign policy and international policy are getting much closer today to people's everyday lives. The terrorist attacks in Madrid, for example, may lead to a discussion in the kitchen of Ola and Kari if they are going on vacation to Spain. The future-optimism that marked the years after 1989 is significantly weakened. We have had warriors and ethnic cleansing in the Balkans, and we see that there is still concern there. We still see poverty in post-Soviet areas, we have nuclear material on the avei, and the nuclear waste in North-West Russia, according to Bellona, is enough to make a large number of so-called "dirty bombs". It burns in the Middle East, we have war in Iraq, we still have instability in large parts of Africa, and we have the emergence of terrorism. All of this creates uncertainty and uncertainty about the future, including for most people. But there's a lot of positive happening. Maybe we could say 1 May this year marked the definitive end of the cold war. Europe was reassembled to one continent. The EU was expanded by ten new Member States. One month earlier, NATO was expanded by seven new countries. Several of the countries we are talking about here were not even independent states 15 years ago. We probably forgot. The EU enlargement to the east is likely to represent the greatest solidarity promise since the Marshall Plan, and is a significant contribution to a more peaceful and more stable Europe. Together with NATO enlargement, the EU is now the guarantor of continued democratisation in former Eastern Europe, including well-being, human rights and democracy. The EU is also likely to contribute to the improvement of human rights in Turkey. NATO is going to this summit as a pan-European and transatlantic defence and security alliance. The next steps that should now be taken must be in the direction of the Balkans. It is interesting to look at the Adriatic cooperation between Croatia, Albania and Macedonia, but also Serbia-Montenegro and Bosnia-Herzegovina should be involved as soon as possible in institutional cooperation, preferably as a PFP country – Partnership for Peace countries. Of course, they need to be assessed individually, but there is still a need for a regional approach in the Balkans, in my view. When we dealt with the defence reform a week ago, we very well clarified the principles of Norwegian participation in international operations. Everyone, with the exception of the Progress Party, felt that both legality and legitimacy were necessary, and it had to be clearly enshrined in international law. The UN gives a mandate and chooses to whom the mission is to be given. Nevertheless, the majority of the Defence Committee felt that participation in UN operations should be increased within the limited capacities of Norway. The same majority also argued that Norway should oppose preventative warfare and pre-emptive war. There is a broad consensus in the Storting about our involvement in Afghanistan. We have made Afghanistan a cooperation country for Norwegian aid, and we are participating with stabilisation forces, which we are likely to do for years to come. New Norwegian officers and soldiers will be going to Kabul in a short time, and this time with a large amount of women. Why? These girls can make an invaluable effort to ensure that Afghan women come to work or school. They can also communicate with women in a completely different way than male officers can. Finally, I would like to remind the Minister for Foreign Affairs of the responsibility I believe Norway has to ensure that Security Council Resolution 1325, that women should be included in all peace negotiations and in the democratic process following a war, and that we also ensure that the world community follows that resolution.
ParlaMint-NO_2004-06-16.ana.ud568e1065	Let me begin by saying that it is with a certain amazement that I am recording the disparaging -- I must say almost ridiculous -- of the value of having staff officers in Iraq who have been expressed by some of those who have made contributions here today. We have to take with us that it happens at the will of the United Nations. For our part, we believed that the basis of the 1511 resolution was good enough, and that is further reinforced in Resolution 1546. In a situation where we agree to prioritize Afghanistan's efforts in relation to what we actually have of capacity, we have come up with an offer to contribute with staff officers. It actually seems to be well received. I think it must be a troubling situation compared to those who actually do this important job that is valued on the spot. I think one should accept the Workers' Party's justification for their Iraq position, which is that these are capacities. But it's interesting to see that there's a gap from the Workers' Party to the SV, which gives a more fundamental reason that it's alarming - yes, historically alarming - that we're present with staff officers in Iraq. So it's alarming that we're following up a UN decision. What I really want to spend the most time on is the Middle East conflict, which many people have been involved in, is crucial for the further development of the whole region. I am basing the Foreign Minister's clear demonstration in the statement that there is a conflict of a fundamental political nature and therefore also requires political solutions. As it has been for several years, the main elements are the question of borders, i.e. the settlements, for that matter the wall, and, secondly, the refugee question, which is very sensitive. Less sensitive is not the third element, the status of Jerusalem. Of course, violence and terror dominate attention from day to day. It is a general view that a final solution must lead to two viable independent countries. Fortunately, it also seems to be the opinion of the majority of both population groups. It is an inspiration for those of us who are involved differently in negotiating work in the region. The question then is how to get it done. I think it is absolutely essential, as the statement shows, that the Roadmap for Peace is still at the root. I remember that in a conference in New York last summer it was a main theme if not the road map now was dead. I think one should be very careful with such descriptions. We don't have better tools to deal with. We're going to hope that the road map has nine lives. Secondly, the Quartet must commit itself more and more directly. To the extent that the chairman of the Committee has been involved in an earlier report, the Committee: It can be done in different ways. But it is clear that what is going to happen - or probably happen - in Gaza, will require follow-up, and that it will be done in a context of other developments, under a certain control. It might seem like it's absolutely necessary when you see what's going on in the field in the same area right now. I then think of the changed course of the wall, in the direction of the settlement of Ariel on the West Bank. It may seem that there is an absolute need for things to be seen more in context. Thirdly, in addition to military and political instruments, one must use economic instruments to show that there is a better future for both populations, in cooperation with the other countries around the Mediterranean. It's obviously far ahead, but we have to start going the right way soon. To succeed, I think there are three groups that have to contribute, and that one has to bring all the way. It is for the first party itself that has to go to the negotiating table. Secondly, it is the international community with the Quartet, where I think Norway has contributed and still has contacts and channels to contribute through. Thirdly, it's not least the region itself, i.e. the Arab world, which must contribute. I had the opportunity to attend a meeting in Amman in Jordan the week before 17 May, where the Presidents of Parliament from all neighbouring countries to Iraq were present. One of the purposes was to challenge the region itself to cooperate on its own future. The question is how these Arab countries will evolve, and which way they choose. That gives a hope of 60 pst. by the population in the UNDP survey says they are choosing a democratic direction for the future. The question then is what they put in it. If they put in free elections, freedom of expression and representative political leadership, I think they're in. But I think they also expect a separate element of culture and tradition in the way it's designed, and then I think it's absolutely necessary that, for our part, we show that we live up to our own values -- international law, conventions -- when we're on foreign land.
ParlaMint-NO_2004-06-16.ana.ud568e1091	I am pleased that there is a broad majority in this Chamber to concentrate our international efforts in areas where we can achieve results. The situation in Afghanistan is becoming increasingly critical, and lately the working conditions of humanitarian organisations and relief workers have become even more difficult. There have been a number of tragic killings. It happened with the Bergens-Legend Egil Kristian Tynæs and four of his colleagues a short time ago, where the Taliban claimed they were behind, and with the Norwegian soldier Tommy Rødningsby, who died in a rocket attack in Kabul. I also want to express compassion for the survivors. It makes a strong impression, and gives us a closer look at the brutality that is taking place in that region. The international community has a great responsibility to contribute to the development of stable democracy in Afghanistan, and the big question is which instruments we can contribute to meet this objective. Norway has made Afghanistan a major cooperation country for our assistance, and it is a good initiative. In the SV, we have also supported our contribution to the international security force, ISAF, which has a clear UN mandate, but we have asked critical questions to extend this force to other areas of Afghanistan through the so-called PRTs or stabilisation teams. This scepticism is related to the fact that the effect of this expansion seems unclear. It also applies in relation to the humanitarian space, upon which the humanitarian aid organisations are fully dependent in order to carry out their activities in Afghanistan in security. There's nothing to suggest that this room is being expanded when military use comes in, rather on the contrary. SV has also pointed out that stabilisation teams under the direction of ISAF are to be led by Operation Enduring Freedom, which is the coalition, with the United States at the head, which led and partially waged the war against terrorism in Afghanistan. It is essential, in our view, for the legitimacy of ISAF that they are not mixed either in command or operational terms with Operation Renewing Freedom. This gives reason to ask questions as to whether it is wise to extend the ISAF operations in the regions of Afghanistan if it is not possible to guarantee the safety of ISAF without the support of Operation Renewing Freedom. We can't gamble with security. Then it is better to operate in more limited parts of the country. This is a real problem. There are many NATO countries that hesitate to send forces into Afghanistan because of the security situation. The warlords in Afghanistan mainly finance their activities with income from drug production. This is the greatest threat to possible democracy in Afghanistan, and this must be more fully addressed by the international community. I would ask the Minister for Foreign Affairs to give this work a higher priority. The situation in the Balkans is unstable. The uprising in Kosovo in the spring showed us that there is a very long way to go before peaceful coexistence between ethnic groups becomes a daily diet in this region. The road to collapse in these societies is pretty short. Norway will reduce its military presence in Kosovo this year, and we support that. At the same time, we believe that efforts to contribute to the reconciliation and establishment of democratic institutions in these countries need to be stepped up, so that countries do not fall apart and become the backbone of heavy international crime. The Secretary of State in his speech raised the fear of the proliferation of weapons of mass destruction, and that it is the United Nations that must have the leading and coordinating role in this work. Resolution 1540 is a good starting point for this work. This resolution gives the Security Council a central role, while stressing the importance of global disarmament and non-proliferation agreements. The resolution requires all countries to step up their efforts in this area. At the last preparatory conference before the next non-proliferation supervisory conference, there were hardly any points of light. It goes the wrong way for global disarmament and non-proliferation work, not least because the United States now chooses to withdraw gradually from this work and rather prefers to put direct pressure on other countries, while at the same time expanding its arsenal of nuclear weapons for special applications and establishing its missile defence. SV expects the Government to make considerable efforts to ensure that the disarmament and non-proliferation regime is not weakened next year, but reinforced to all those who hold or can obtain weapons of mass destruction. If we get in the situation that these agreements are being undermined, the probability that we will experience a new giant arms race will also be imminent in space. According to the Swedish SIPRI, about SEK 6,400 billion was spent on military purposes last year - an increase of 11 p.m. from the previous year. There's nothing to suggest that upgrading will give people on this globe greater security, rather on the contrary.
ParlaMint-NO_2004-06-16.ana.ud568e1110	The Middle East and North Africa currently represent a foreign and security policy challenge affecting the whole of Europe, in line with what the Balkans are doing. Geographical distance does not protect Norway in a world that is becoming ever smaller. A conflict in the region or a political, economic or social breakdown in a country in the region therefore also affects Norway. Many in this area do not trust the West. In the Western world, we have to take a lot of the blame for that. When we demand democracy and respect for human rights, we demand this from all, regardless of nationality and religious and political affiliation. We demand it from close friends and from allies. We demand it from ourselves, and we have to live up to it. We must therefore condemn abuses of human rights, no matter who commits them. Therefore, Norway has also been ready to condemn the arrest in Abu Ghraib prison in Iraq. I took this up directly with President Bush when I met him in Normandy last weekend. I clearly said that the treatment of prisoners was unacceptable, contrary to international conventions, and that it has damaged the reputation of the West in the Arab world. The government has also addressed the treatment of prisoners on the Guantanamo base with the United States. There are no valid excuses for violating human rights and international humanitarian law. We must condemn assault, even if they are meant to prevent terrorist attacks. We must condemn terrorist attacks and other attacks, even if they are intended to combat an occupying party. The intention does not sanctify the means. This does not mean that we equate all the abuses we condemn, nor that we equate those responsible for the various abuses. But human rights and international humanitarian law apply equally to all. There's no excuse to break them. The reports of the UN Development Fund on human development in the Arab countries are alarming. They show a region characterised by poverty, uneven distribution, deficits in democracy and a lack of respect for human rights. The reports have been written by persons from the region. This is just one of several signs that many in the area want a change. Several Heads of State or Government in the Middle East and North Africa now call for reforms. This is a good start. Norway and other Western countries must assist reforms in the region. We can't passively see that the gap is getting bigger. We must promote cooperation between Western countries and the countries east and south of the Mediterranean, based on common values and objectives. This cooperation must cover trade, culture, human rights and security issues. Cooperation must be based on mutual respect. We need to help reduce economic and social differences, and we need to combat enemy images and stereotypes that create tensions between population groups and regions. Many conflicts are being explained today with religious contradictions or fanaticism, not least in the geographical area we are now talking about. Often we have to do with a dispute about territorial control, ethnic groups' demands for autonomy or strong nationalism. Although this is sometimes not a religious theme, it often does not have much to do with religion - rather, on the contrary. Instead of being part of conflicts, I think religion can be turned into a part of the solution. All too often, religious faith is distorted and abused to create hatred, mistrust and thus a base for conflict and war. I have great faith in promoting meetings between religious leaders. I myself have had the pleasure of facilitating such meetings, and even participated in them, among others. in Sarajevo, Bethlehem, Cairo, and New York. I intend to follow this up elsewhere. Living faith is, as Gandhi once said, an acceptance of the brotherhood between all people. Religious leaders are therefore the first to show understanding of other religions and to work for tolerance. Religious leaders can, with greater credibility than others - in word and deed - counter the poison extremists spread in the name of religion. By discussing differences and similarities in religions, we can identify common values, such as human dignity, reconciliation and respect for the holy. This is how we can work together for human rights, peace and development, based on a common understanding of the objectives. The challenge is to bring this understanding from the religious leadership and down to the grassroots. Tolerance is a prerequisite. Without respect for the faith and full freedom of religion of others, it is difficult to talk about human dignity and human rights. We all have to tolerate that others are not exactly like us. We have to tolerate other customs and other beliefs. We have to tolerate other religions, without even giving up what we think is right. At the same time, we must make demands. We cannot compromise on the human rights, which are coming out of human dignity. Human dignity is a cornerstone of the great world religions. The international work for religious dialogue must be strengthened and coordinated. This is an important part of a strategy to meet the challenges in the relationship between the West and the Muslim world, particularly in countries in the Middle East and in North Africa. It is hardly any other political issue that occupies the population of the Middle East and North Africa more than the conflict between Israelis and Palestinians. There is probably no issue that means more to the credibility of Western countries in the region. It's not easy to find a permanent solution. It must satisfy the legitimate demands of the Palestinian people on its own country. It must also provide Israel with security. Large victims are required from the parties. The Palestinians must stop the terror, and Israel must withdraw completely from occupied territories. We welcome Prime Minister Sharon's notice of withdrawal from Gaza as an important first step. But it has to be negotiated in line with the Roadmap for Peace, as presented by the so-called Quartet. Those participating in it must coordinate their efforts to bring the parties back to the negotiating table. The occupying powers of Iraq, the United States and the United Kingdom have a special responsibility for the success of the democratic process in Iraq. But other countries also need to participate actively. It would be a disaster not only for the Iraqi people, but also for the credibility of the West, if this process did not succeed. Resolution 1546, adopted by the United Nations Security Council on 8 June, provides a good basis for this and for the cessation of the occupation. Humanitarian aid from Norway to Iraq will be continued. We will also participate in the multinational force to assist in the stabilisation process, with some staff officers, and contribute to the establishment of a new Iraqi defence under democratic control. We know today that Iraq hardly had the weapons of mass destruction that the United States and the United Kingdom claimed to justify the war. This shows that the Norwegian line that the UN inspectors should have more time was the right one. But we cannot rule out countries in the region wanting to acquire such weapons. We must try to stop this very dangerous development. Those who have or are about to acquire such weapons should follow Libya’s example. If not, they contribute to building up a deadly race that could have disastrous consequences, both for the region and for the rest of the world. Norway will continue its active Middle East diplomacy, where peacemaking and democratisation are the key objectives. We have a moral duty to do this, but it is also in our own interest. At the same time, we will promote cooperation between the West and the countries of the Middle East and North Africa across a wide range of areas, based on mutual respect and common values.
ParlaMint-NO_2004-06-16.ana.ud568e1146	It's going to be line change.
ParlaMint-NO_2004-06-16.ana.ud568e1149	I agree with the Prime Minister that Prime Minister Sharon's plan of withdrawal from Gaza must be welcomed. It's a historic chance if it's the first step to a complete withdrawal from all the occupied areas, and if it happens in a way that doesn't create more evil blood. I've taken up five points in my post that I think are important for the latter to happen, among other things. that a plan to this end is negotiated between the parties to the United Nations and that the UN Security Council is responsible for confirming that a withdrawal has taken place and, where appropriate, when it has been concluded. Another important point, which I believe is very crucial, is that the dwellings that Israel has had, and other buildings in Gaza, are not leveled with the earth, but left to an international body, for example. The World Bank -- against compensation, of course -- so that the Palestinians can benefit from these buildings gradually. The opposite would create very much bad blood. I want to ask the Prime Minister about these points, and the others that I brought up in my post.
ParlaMint-NO_2004-06-16.ana.ud568e1161	It is my impression, after the intervention of the head of the Committee on Foreign Affairs, that we broadly share the analysis of the situation in the Israeli-Palestinian conflict, and also of the way forward. As I also said in my post, the withdrawal from Gaza is a first step, and it must be complete. It is the parties who have to negotiate a final agreement, but it is quite clear that they need to be assisted in it. The United Nations Quartet, the EU, Russia and the United States must increase their efforts to find a framework for getting the parties to the negotiating table. But I also think it's a good idea -- and it could be a cornerstone of everything -- that the UN, which is also part of the Quartet, can confirm such a plan through its Security Council. I also agree with the views of Jagland on the fact that houses and other buildings that Israel is evacuating are not being destroyed, but that Israel is being compensated for them, and that they can benefit the Palestinians. Nor can I see anything but that the other points of the five that Mr. Jagland presented in his speech are well in line with the government's policy.
ParlaMint-NO_2004-06-16.ana.ud568e1175	International terrorism is among the things that are now growing and that all countries must fight. Many of the acts of terrorism have obviously been carried out by Islamist fascists or Islamic fundamentalist organisations such as Al Qaida and other fundamentalist organisations. They probably also have representatives in European countries. There have been terrorist acts in Madrid, and there is growing unrest in other countries. Does the Prime Minister agree that what now appears is actually an advance for Islamist fundamentalism and fascism? And how does the Government want to prepare Norway for any acts of terrorism? Does the Prime Minister agree that the fight against Islamist fascism is something that would make sense to stop this wave, and what does the Prime Minister think about the features seen in many countries exposed to terrorism?
ParlaMint-NO_2004-06-16.ana.ud568e1182	International terrorism, together with the proliferation of weapons of mass destruction, is the two greatest threats we are facing today in terms of international peace and security. It is obvious that terrorism has its roots in the Islamic fundamentalist environment, which, unfortunately, we also have to count on is spread across large parts of the world, and with groups in Europe as well. They have to be controlled. That is the broad consensus. The question is how to combat them most effectively. Sometimes a person has to use military instruments, but it becomes increasingly obvious that they are not sufficient. Should a fight against terrorism, one must also analyse its roots and have a wide range of instruments, and that was exactly what I was in my post. It has to do with culture, social, economic and political conditions, and creating a growing understanding among and a dialogue with moderate forces within these environments with which one can come to terms - a broad field to combat terrorism. I do not have one-sided belief in military instruments.
ParlaMint-NO_2004-06-16.ana.ud568e1189	I am pleased that the Prime Minister can now state that he himself has raised with President Bush a clear protest against the treatment that Iraqi prisoners have been subjected to in Abu Ghraib prison, and that he is so resolute in his distance from the abuse we have seen, which is totally unacceptable. I see that the Prime Minister has nothing to give in relation to how international law is to be interpreted. It is very important that Norway's voice is very clear on this, and I would like to thank the Prime Minister for his contribution. Then I wish the Prime Minister were with us to sum up what has been achieved in the fight against terror under the leadership of the United States since the war against Iraq. From many teams in the United States, it is now established that the fight against terrorism has taken many steps back, and that the war against Iraq has recruited more terrorists, created more evil blood, has simply made the world a more dangerous place than before the war, and not the opposite. Does the Prime Minister agree?
ParlaMint-NO_2004-06-16.ana.ud568e1196	As I said in my post, and also in the line to Carl I. Hagen, terrorism is a growing problem. It is true that we have also seen acts of terrorism in Iraq after the war. Now there was no very good relationship in Iraq before either, and more and more of what happened during Saddam Hussein comes out. It was also a gross violation of international law and human rights. But we've also seen an example of that afterwards. This underlines what I have said, and which is a key point for me: terrorism cannot be attacked by military means alone, but in some cases it is necessary. There was a broad political consensus also in Norway that in the case of Afghanistan it was necessary. We knew that Al Qaida had its main network in this country. It had to be broken down. I think we have achieved a good deal in that way, but the father is of course always that it spreads to other countries. So let's see. It has to be controlled. The Iraq war was against Norway. It was a war that was actually not started because of the terrorist argument, but because of the possibility of weapons of mass destruction. They don't turn out to be there, as far as we know.
ParlaMint-NO_2004-06-16.ana.ud568e1205	We are very pleased with the way in which the Prime Minister underlines the need to live up to international humanitarian law and that everyone has a duty to do so. We are also pleased that he condemns the abuses in Abu Ghraib prison in such clear order, and that he discusses this with Heads of Government around. Then the prime minister is well aware that our participation in various international operations also makes us vulnerable. And my question is what concrete action is being taken on the part of the Government to ensure that our soldiers can't get involved in any kind of assault. I have full confidence in our soldiers, but I wonder what steps you take to ensure that they can't be attached to this either. There is dialogue with partners, for example: in Afghanistan? Is this considered appropriate?
ParlaMint-NO_2004-06-16.ana.ud568e1212	It is clear that participation in international peace operations, as Norway does, and as we should continue to do, also brings Norwegian soldiers up in difficult situations, which can be both a military and a security challenge, but of course also a humanitarian challenge. I feel quite certain that in the Norwegian defence there is such a clear training in international conventions and the right to prison and other issues relating to war and war-like situations, that the awareness of what is not allowed is great. It is quite clear that what has happened in Iraq has become a powerful reminder of it. We have discussed this on the Norwegian Government team, and I can assure you that our Minister of Defence is aware of this and will ensure that the signals go into the system, that Norwegian soldiers of course should never take part in acts contrary to international law.
ParlaMint-NO_2004-06-16.ana.ud568e1219	I fully share the Prime Minister's view that the objective does not sanctify the means, and that in the fight against terrorism it is a great responsibility for the democratic West to ensure that human rights and international law are respected. The prison treatment in Abu Ghraib and Guantanamo Bay has been largely nerdy in negative feelings toward the West and has done great damage. I am also pleased that the Prime Minister is addressing this in various forums. My question to the Prime Minister is, what was the concrete Prime Minister's question to President Bush about the treatment of prisoners at Guantanamo Bay?
ParlaMint-NO_2004-06-16.ana.ud568e1228	As for the Guantanamo base, our foreign minister has addressed this with his colleague and the American authorities. That's why the Norwegian view of it is very well known. What I was given the opportunity to discuss with President Bush now in Normandy a week and a half ago was the prison treatment in Iraq. I explained that in my article. The speech was loud and clear, and President Bush replied that he agreed that this was unacceptable and that those responsible were to be prosecuted.
ParlaMint-NO_2004-06-16.ana.ud568e1235	The cord shift is over.
ParlaMint-NO_2004-06-16.ana.ud568e1239	All right, first of all, a little side note. This debate has revealed that the SV and the Workers' Party are still living on each of their own globes in terms of the vision of NATO, and it is going to be exciting to see in the continuation what kind of globe the designed majority government on the left-hand side intends to settle on if it should become relevant. Just as the fall of the Berlin Wall on 9 November 1989 was a turning point in history, the terrorist attack on the United States on 11 September 2001 is a turning point of historical dimensions. The attack has led to major changes in most international issues. What has been on the international agenda is, in particular, the question of what threats are currently at the heart of peace and security, how to combat these threats, the patterns of cooperation that have developed to protect themselves against the threats. The international community's fight against terrorism must have a comprehensive perspective. Adequate military instruments must be part of a larger whole, where civil, political and economic instruments are also important. It is only through such an overall approach that one will be able to address the causes of terrorism. Why is it so important to focus on the cause, and not just on the specific acts of terrorism? In my view, the reason for this is that terrorism has become a global threat today. Terrorist organisations use the channels created by globalisation to hit innocent people in the most spectacular way possible. They are organised in loose international networks with support structures in several regions. These terrorist networks have comprehensive channels of funding, intelligence and access to weapons. There is a shift towards ever closer links to organised crime. The complex expression of terrorism requires complex responses from the international community. For us in Norway, it is of great importance to stress that the EU and NATO are an indispensable institutional framework for combating terrorism. The reason for this is that Norway views its foreign policy interests related to a multilateral and institution-based international system. International law shall prevail. The UN shall provide the basis for Norway’s foreign policy. Regional organisations such as the EU and NATO shall contribute to ensuring the necessary instruments and efficiency for the UN. Therefore, these regional organisations are a prerequisite for an effective UN system. Without that, the entire UN system is suspended. Such an approach is the very basis for understanding the management of current safety challenges. An excellent example of how different instruments can be combined in a comprehensive perspective is the EU Stability Pact for the Balkans. The Stability Pact was adopted at the Cologne European Council in 1999. The EU was the initiator, but more than 40 partner countries and organisations have joined this pact. The challenges facing the EU and the rest of the international community in this region today clearly demonstrate the need for a comprehensive and broad approach to security. Security is first and foremost linked to the reconstruction of civil infrastructure, security sector reform, the principles of rule by law, but it also involves a longer-term change of state security measures that are initially linked to thinking about how to cooperate with other countries. The treatment of national and ethnic minorities is also highly important in this region. Military presence is part of a larger whole, with the aim of rebuilding the Balkans in such a way that the countries of the region can eventually achieve full membership of the EU. This is based on the same logic as the enlargement of the EU and involves an objective to extend the Western European peace zone to the Balkans. Although the prevention of conflicts around the world is an objective in itself, it can also be seen as a way of bringing to life the underlying causes of terrorism and international crime. It explains why this EU initiative has received increased attention in the period since 11 September 2001. Conflict prevention in third countries has been defined by the EU as one of the main instruments in the fight against terrorism. In my opinion, this overall approach, which the EU strategy for the Balkans involves, is an example that can be used with great benefit in other regions as well.
ParlaMint-NO_2004-06-16.ana.ud568e1258	After hearing the last posts, I will continue where the previous speech ends, because what is happening in our part of Europe is an essential part of Norway's international work to create stability and peace. The Balkans is one of these areas, where Inge Wage was in. I just want to give some additional comments on what Inge Wage says, not in contradiction, but in accordance with what he says, and a little more concretely. Firstly, during this week, we experience Croatia being invited to start negotiations on EU membership, after all, in the next year. It is a further step in the direction that Inge Wohnung pointed out that Europe and European cooperation are an instrument for stability and development. What is important is the EU and Europe, and Norway is influencing the EU to think in a holistic way in such a context, and that one sees the Europeanisation of this remaining region in southeastern Europe as one of its main objectives. It is laid down in Thessaloniki Decisions, etc. as a goal, but it says some action. The start of Croatia is positive. I would also like to highlight the takeover of the military forces in Bosnia-Herzegovina during the year or the start of next year as additional measures. It is then important that one sees this as part of a general Europeanisation of the area, in the sense that Europe takes on greater responsibility. For Bosnia-Herzegovina, it should mean that one sees a clearer fusion of military presence and political responsibility, in other words that one sees this in conjunction with the dismantling of the High Representative's role, that the EU is given a clearer responsibility, that the integration strategy becomes a very clear part of it, and that Bosnia-Herzegovina can start an approach to the EU in practice. It is also important that one sees this EU cooperation in the context of NATO's cooperation in the area, and I am very pleased that the Government has shown such an active attitude that NATO should take greater responsibility for military and security cooperation in the area. That is the debt in relation to Bosnia-Herzegovina and Serbia and Montenegro. Then it's important to use the strategy to work together to change, instead of confrontation to change. It is important that the Government keeps that line. I fully support what the government has done, and I hope that there is also the line ahead, given that it is better to take advantage of the positive forces that exist, to change the necessary key points, than to wait until the changes happen, because they may not happen. It says that an area that I want to take very concretely. This is the relationship with Kosovo, which is actually the only real problem that remains. Here it is important that one thinks in the same direction that we were in with Bosnia-Herzegovina, that it is a fusion of military security and political work that is the way forward. In other words, when it comes to the presence of the UN through UNMIC and KFOR, there is a need for much stronger coordination, because the security of the area cannot be maintained in the long term by military presence if the political reforms do not work. It is also important that civil administration be able to carry out concrete reforms in key areas and that they develop an authority to enable them to do so. A Europeanisation in this area could also be a way to go. There is little help in saying that by raising the standard of living, national ambitions disappear. They may want to, but they don't. The Kosovar Albanian national ambitions are no worse than other national ambitions, and they will not be lost if a lot is thought of them. If the UNMC is thinking about the national ambitions, it will not be gone. It is important to understand that there is an actual reality that there are such ambitions and that it must be backed up by the policies that are being pursued. The conclusion is that the role of UNMC in the area needs to be re-examined quite extensively, and I believe that conversion is plausible in a different context from what one sees from rather extreme national forces both in Serbia and in Kosovo. But it's important that the civil administration becomes more efficient. I hope that the Norwegian government will also help to streamline the civil administration, to try to bring the situation out of that area, and that one in the meantime is willing to sustain the military presence needed for security. But military security is not a permanent solution in the area. There must be a political solution. New measures are also needed.
