ParlaMint-NO_2019-12-04.ana.ud111e37	The representative, Lars Haltbrecken, will present a proposal for a representative.
ParlaMint-NO_2019-12-04.ana.ud111e1234	This budget was to be the last budget to achieve the climate targets for 2020. The climate agreement was concluded in 2012 and in 2013 the right-wing parties took over. They promised to strengthen this. Now, seven years later, we know the phase: there was no reinforcement, there was a breakdown, we're not close to being where we were supposed to be. Then it's actually almost not to believe that the climate minister doesn't have a single thought about why we didn't get there, except that it's the red-greens' fault. It is such a shameless discharge that it is difficult to take seriously. In meeting the greatest challenge of our time, I think everyone needs to think new, everyone needs to be involved and take their share of responsibility. And we in the opposition do that, the Workers' Party thinks we have to think again. That's why we haven't just created an alternative budget, we've created our own climate budget, which shows how we're going to cut as much as we've committed ourselves to. Where the government wants to buy allowances abroad in order to get free, we want to invest in Norway and do the cuts nationally. In our budget we show how to halve emissions over the next ten years. We want to invest in new technology so we can create jobs across the country. Norway can never compete to be the cheapest on pay, but we will compete to be the best on climate and environment. We want Norway to go ahead with capturing and storing CO 2. It will mean a lot to Norway's emissions, but it will also mean a lot to the world's emissions if we are involved and drive new technologies. Here the government has provided little other than party speeches, and we have already received notice of new postponements, but the climate crisis does not have time for it. We'll bet on environmentally friendly transport, which gets people and lasts where they're going in a faster and better way, but with lower emissions. We want to make a big effort on environmentally friendly ferries and on public transport, but then the starvation that the state politicians have met, where they have to choose between cuts in welfare, cut in the collective offer or places at secondary school, has to end. They would not have to do that if the Workers' Party's alternative state budget were adopted. We will also set up a CO 2 fund for business transport, so we can get to climate friendly trucks. Here the NHO, LO and the environmental movements are ready with a setup, but the government has melted the door again. It is a bad business policy, and it is a bad climate policy. We also want a greater commitment to the second major environmental challenge, namely loss of nature. And we will not cut the climate aid to the poorest countries, as this government has done. Now we're actually down in half what Espen Barth Eide and Heikki Holmås gave the last year in the red-green government, in 2013. Our climate policy is green because it cuts emissions, and it's red because it does it in a fair way. We want more electric cars on the roads and think it should be supported. But we do not believe it is right that the richest people who buy cars up to 1 million kroner. kr, shall do so without paying a krona in value added tax. We pay VAT when we buy bicycles, bread or milk. We believe that you should also do that to buy a Porsche that costs $1 million. kr. It's always worth choosing environmentally friendly, but we're going to end the sponsorship of the very expensive cars. Step Skei Grande believes that this is envying the rich, we believe it is an example of good and fair climate policy. You really don't have to scratch your head and wonder why this government doesn't succeed in climate policy. We have a government party that still has a seminar on whether climate change actually exists, and with government councils that believe that climate change is a kind of socialist conspiracy to increase taxes. We have another party leader who believes that the environmental movement is a threat to human dignity, and we have a prime minister who this week went to the climate summit without serving a single new message in addition to saying that in the case of the climate crisis, she would not have chosen exactly that word. This is not to rust Norway for the future. The results of this government's climate policy are internal conflict, there are broken promises and no great promises. In order to solve the greatest task of our time, politicians with greater vision and with more power of action are needed. To achieve this, we need a new course for Norway and a new government.
ParlaMint-NO_2019-12-04.ana.ud111e1261	One of the main challenges we face is to get people involved in the changes that need to be made to reduce the climate pressure, while at the same time being able to create new jobs. People have to experience that it is organised to make good choices in everyday life, that they are allowed to participate when the company adapts or changes production, that as politicians we are able to prioritize what is effective, and that policy is knowledge-based. The Labour Party sees the need for energy and climate policies to build on business policy to address climate challenges and ensure value creation so that we maintain well-being. The petroleum industry has a unique productivity, and we have to recognise that it is demanding to replace that value creation with sufficient new, profitable jobs. We therefore need more knowledge to succeed in adapting to the low-carbon society. The working party is critical that government parties choose to reduce energy research programmes such as CLIMIT. It is critical that the government is also unable — even now — to put in place an extension of the research agreement to Mongstad TCM, which has actually evolved into one of the world’s leading research environments. We also need an investment decision to establish a full-scale value chain for CO2 capture and storage. Here, Norway has the opportunity to create a new industry related to the capture of CO2, which will provide both climate impact and profitable jobs. Indeed, it is the industry that has been the best to reduce climate emissions so far. It has happened as a result of the company's continuous ability to change, but also as a result of the fact that we have been able to make demands. But the industry has demanded that we be even clearer, as when we had the call for the coast route and now also with the speedboats. Norway has strong adaptive professional environments in many areas, but especially in the maritime, marine and energy sectors. It also includes the supplier industry and the power-processing process industry. But almost all conversion depends on the fact that we have enough power available. We need to be able to use energy more wisely, but also produce more renewable energy, so that we can be competitive in the future as well. It is therefore worrying that several parts of the country do not have sufficient power to meet the increasing demand from the transport sector, power-processing industry, hydrogen production, the electrification of the socket, data centres and new industrial activities. We have a polarization discussion about the use of natural resources. We've experienced that with wind power in particular. It's timely. Everyone wanted wind power when it was unprofitable. Now that it's profitable and with industrial opportunities, no one will have it anymore. Then I think wind power on land. We have to look at whether the distribution of what is created is correct. We need a stronger legitimacy for our policies, where we are much clearer about the relationship between values created, jobs and local anchoring, and we need to work more closely across sectors. The discussions we are now discussing on the distribution of power and farm tax, and which we are also going to have in terms of wind power both at land and at sea, depend entirely on the creation of justice in terms of compensation for the use of natural resources, and the transparency of the arrangements, while not undermining the principle that municipalities should be able to offer equivalent services to the entire population. Liquid sea wind opens up exciting possibilities. Wind capacity in Norway, and especially in our marine areas, is second largest in the world. We have world-class subsea competence and have every opportunity to take a global position. But we have to be able to manage the sea areas so that we take into account the fisheries. It is unfortunate when the petroleum management is not harmonised with the Marine Wind Energy Act, as we now experience with Tampen, where the fishing interests are perceived to be overrun by Equinor. Norway is a major producer of energy in oil, gas and hydropower. This means that other areas might get too little attention. I'm thinking especially of barley, which stands for 40 pst. emissions, and more efficient use of energy sources such as waste heat, forest — or waste, as it is called in Oslo — sewerage, agricultural emissions, etc. Wise political action is needed to put this type of energy into use.
ParlaMint-NO_2019-12-04.ana.ud111e1287	The Labour Party wants to facilitate climate-friendly transport across the country. Therefore, the Workers' Party is moving in to strengthen Enova to facilitate zero-emission solutions in the transport sector. An infrastructure must be developed for charging stations throughout the country and in the most central ports. There is a need to develop mechanisms to stimulate the construction of green ships in all ship groups. The Labour Party believes that business transport needs stronger instruments to achieve the objective of halving emissions by 2030 and to accelerate technology shifts. A binding environmental agreement on emission reductions will be an important instrument. The sale of electric cars has increased and continues to increase. Petrol and diesel cars are still losing market shares. Several choose environmentally friendly electric cars when they are going to buy a new car. Now there are almost 140,000 electric cars on Norwegian roads, in addition to approx. 70 000 chargeable hybrid cars. The lack of range for electric cars has long been an argument for not choosing an electric car. The car manufacturers have found solutions for this. Now the biggest obstacle is the lack of charging structure, and 149 municipalities are still without the possibility of fast charging. These are not equal opportunities across the country. The districts get the worst out of this statistics. That there are few places that offer fast charging leads to queues and higher prices. Finnmark County is the only county without high-speed charging networks – there is only one station in the Churchnes and one in Alta. The size has decided that in five years' time all new cars will be electric cars. It will be impossible to achieve in Finnmark, and today’s situation is unacceptable. In 2016, the first bidding round was, and no one applied for it. The government has not taken the necessary action, but has left the whole responsibility to Enova and high-speed charging operators. Although investment aid of 100 p.m. is provided, the tariffs on power and lack of support for operations are challenging for builders, so there have been four years without any particular progress. This summer, the deadline for Enova’s tenders to expand high-speed charging networks was extended in Finland. Only Fortum was searching, in cooperation with seven local power companies. They have made an offer with 25 charging stations covering the whole of Finnmark and Nord-Troms. It was estimated that the tendering process would be launched in August, but still, a little more than six months after the deadline, it is not yet clear whether any of the development will take place. Governments seem to leave the management and responsibility for setting up the necessary charging networks to Enova and the charging operators, and it may seem that Enova has little news to report. The working party will bring Finnmark to the transition to zero-emission cars. It's a shame the government is nodding and not sharing our ambitions. Several have obtained electric cars in Finnmark according to promises that a high-speed charging network would be built. The electricity car’s share of new car sales is about 11 pst. At the same time, many people cannot switch to electric cars because of a lack of charging networks. If Finnmark is to be involved in the transition to zero-emission cars, charging infrastructure must be in place throughout the country. I see that the Council of State has been present throughout this debate. I wish he could tell the residents of Finnmark that they can feel confident that they will have access to a high-speed charging network.
ParlaMint-NO_2019-12-04.ana.ud111e1302	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2019-12-04.ana.ud111e1307	An overall objective of energy policy is to ensure high value creation through efficient and environmentally sound resource management. In that way, my region, Agder, is in a unique position in the world. Today, the surplus of power we have in Agder is half of Norway's total power surplus, and it comes from renewable hydropower. This is unique in the context of the world. An important prerequisite for this is a forward-looking business that abilities and wants to make sustainability business. At the same time, Agder is a technology region with strong environments of competence, such as: The desert cluster, the NODE companies, the Agder Energie and the UIA. Agder will now use its position with renewable resources, excess power and competence to reduce its own emissions, but not least to increase the value creation in the region. The vision is to keep electrifying. Cooperation between Electric Region Agder and more than 50 private and public actors has agreed on a common objective. We have to make sustainability business and show the private business that green solutions can be profitable, rather than constantly choosing new regulations. Projects where each region and each municipality takes advantage and creates new values will be crucial for how we solve the challenges facing the world. Agder shall be a region for the development and testing of tomorrow’s energy solutions. The goal is ambitious, but fully achievable, and the work is well under way. We are about to become a global exhibition window for new climate and energy solutions. I would encourage representatives in this room to look to the south. In an increasingly interconnected world, Agder is almost the rest and represents an excellent opportunity for Norway to show its way into the future.
ParlaMint-NO_2019-12-04.ana.ud111e1326	I think that if the young people who were fighting for their future outside here had heard this debate, they would have become quite angry. So this isn't about what we did 15 years ago, 10 years ago, 6 years ago or last year, this is about what we're doing now, what we're doing next year, what we're doing in five years to achieve our goals so that the climate doesn't go bananas. We have to cut emissions, we have to create jobs that people can live on. It is possible to do much more than what we do today, and the government has not used the possibilities we have. I'm in the municipal committee, and the SV in the municipal committee takes responsibility for the areas we have so that we can cut greenhouse gas emissions and use our energy wisely. There we propose, together with the Workers' Party, inter alia: to change the guidelines for rural policy instruments, so that they contribute to climate action in the new jobs. I'm very surprised that the other parties are not in it. To the Workers' Party, which was up on the speaker's chair and talked about rational energy use: we suggest that we have energy-efficient, flexible heating solutions and do not use the power to heat up construction with. The government has now put to death the proposal that they have been required to implement. Now you're going to let out the heat and guys for the crow. It's stupid. Electricity is very important, and we have to use it for important things. We have proposals on how to use different subsidies into the housing and building sectors, so that rehabilitation, accessibility, accommodation and energy upgrades go hand in hand. Why doesn't the Stortinge agree? That makes sense, it will cut unnecessary use of electricity and unnecessary CO 2 emissions in constructions and installations – very sensible. We also take responsibility for the ability of municipalities, which are a major manager of this, and in particular of biodiversity, to receive compensation and help upgrade to extreme weather, but also have competence in their administration to deal with the important decisions they need to make in terms of the environment, biodiversity and climate. But the majority vote it down. Finally, in the case of ferries and boats: Yes, there are many tenders to be sent. SV suggests that all the increased costs now borne by the counties should be compensated for in the local economy, and we must do so because there is a large increase in the cost in the first years of this conversion. There's no reasonableness in that the counties are going to take it, but they're in advance now. Then you simply have to put that money on the table, so that the counties can afford to implement a zero-emission tender, and do not conclude contracts that will lead to emissions for many years to come.
ParlaMint-NO_2019-12-04.ana.ud111e1342	The climate crisis is humanity's greatest common challenge. The Climate Panel report shows that although the temperature rise stops at 1.5 degrees on average, the temperature may be 3–3.5 degrees warmer on average in Norway. Neither is it obvious that we reach the goal of 1.5 degrees. It means very big changes in people's lives, and most likely the consequences will be more severe north as the warming is strongest as you approach the poles. The climate change we are already recording leads to lasting and dramatic changes. Climate change leads to more rainfall, more heavy rainfall and extreme weather. So we must be prepared for more frequent floods and escapes. The NVE has an important task of identifying risks and preventing and limiting the damage caused by flooding and slipping as a consequence of, among other things. climate change. It is important that NVE facilities have staff with the right experience and competence to advise municipalities and entrepreneurs and to assist with planning. Many municipalities have not carried out danger zone monitoring and can benefit from NVE in land planning to ensure against the risks associated with slip and floods in watercourses. In December 2016, the NVE submitted a report stating that today’s level of funding does not allow many hedging projects to be implemented. Furthermore, the NVE shows that increased appropriations could lead to a reduction in the cost to society of floods and events — both direct costs for the repair of buildings and infrastructure, as well as costs of accompanying and infrastructure disruptions. In addition, we know that many people who live and live in flood and racially exposed areas feel a great deal of uncertainty and fear. All experience shows that it is wiser and cheaper to prevent damage rather than repair in retrospect, which is confirmed and well documented, among other things. the Swedish public investigation SOU 2007:60. The investigation shows that the costs of preventing damage to roads and bridges due to pace, race, degradation and flooding were estimated to be about four times lower than by repairing. The need for increased appropriations and their impact is well documented. Therefore, the Workers' Party wants to increase the allocations for climate adaptation and flood mitigation. The grants will address climate change and extreme weather, floods and rapids, monitoring, prevention, security, equipment and knowledge. We have to make it easier for the water to find its way into the earth with green, open areas, let the trees delay the water and have a grid that takes away the precipitation. More rainfall and extreme weather are leading to increased pressures on the water and sewerage sectors, where there is already a major lag in maintenance and upgrading. The Labour Party therefore proposes 42 million. in addition to the government's proposals for climate action and adaptation in municipalities. We're increasing the framework for securing county roads, for securing highways and for the general county economy.
ParlaMint-NO_2019-12-04.ana.ud111e1359	Resources are distributed throughout the country, and it is important to use the whole country. The centre party is concerned with the practical measures on the environment and climate. Living in the pact with nature is about use rather than protection. Valuation based on green and renewable resources has built the country as we know it today, ensuring the development of technology, equality and much, much more. With a living rule of people, fair distribution and sensible administration, we can keep the values in claim. National and local ownership is an important part of the solution – without it acting as if government parties have taken it in. In the government, there is greater sympathy for European interests than for Norwegians. Short-term renewable energy is an enormous competitive advantage and a good thing for citizens as well as for travel lives, but did the government see the value of having popular governance in Norway during the ACER debate? No, no, no. So the government value of a popular and open process related to EU climate legislation and the impact on Norwegian forestry? No, no, no. And then we get another sad chapter for the maritime court: the NorthConnect foreign table. Why listen to local and Norwegian interests, believe? The predators want fewer of them, and they want them removed from the individual pastures. Furthermore, national initiatives for supplementary protection and wind energy plans without involving the relevant municipalities and parties are not reliable. You can't look at the districts as one big potential area of protection. People live and work there, too. The main climate action is at the seventh and last a total change in consumption and choice of individuals, municipalities and businesses. In our alternative state budget, the Central Party proposes several million kroner for climate action in the municipalities where people live. We want increased investment in climate research in agriculture, increased investment in research institutes – which makes us use the research – and to take an active carbon binder more actively in use: the forest. If we're going to get green investment, we need access to funds to invest with to get less risk and more success. This is what the Centre Party is proposing today because we have an enormous faith in the future. We have faith in a green and better society. We have faith that individuals can make wise and good choices when they have the opportunity to do so. We believe in carrot over whip.
ParlaMint-NO_2019-12-04.ana.ud111e1374	As I have been registered as independent during most of the debate, I allow myself to make some personal views in this climate debate. First, a statement: Had most in this assembly lived in the time of the Emperor’s new clothes, they had stood in the first row and rejoiced over the beautiful clothes of the emperor, where he walked naked around the street. So some factual information: a number of representatives have stated that we need to achieve the objectives, so that we can prevent the climate crisis. What can we really do? Absolutely nothing. Norway's emissions of the life-giving gas CO 2 are 0,1 pst. of the total emissions. That's 0.1 pst. of the 0,04 pst. CO 2 in the atmosphere. And of those 0,04 pst. CO 2 in the atmosphere, comes between 3 and 5 pst. from man-made activity. It's not even measurable. The majority of this assembly has had ambitious goals for years to reduce. What was said in 1989 about the reduction up to 2020 must have been more than half. What does the same majority have to do? Well, in 2018 we had exactly the same emissions as we had in 2008 – 35.5 million tons. Some Roses China. What is China's situation, which stands for 27 pst. global emissions? They have increased emissions by 199 million tonnes in a year. The sad thing is that the majority of this House is now spending 40 000 million. kr for so-called reduction of the life-giving gas CO 2 – money that could have been used to strengthen hospitals, strengthen districts, reduce taxes, reduce taxes for people most. A lot of people say, "Are there any scientists who agree with you, then, Hagen?" Yeah, I can name 500. ‘There is no climate emergency’, says the European Climate Declaration, signed by 500 named scientists – unlike the United Nations Panel on Climate Change, where government missions are located, not scientists, creating ‘summary for policy makers’, summaries for policy makers. They're appointed by governments, and they're negotiating formulations just like other politicians. It's not science based at all. I can give you 500 names. Gradually it's grown to 700. I don't have the names of the last 200, but I have 500 names on people behind it. The majority here do not seem to be able to mention the names of the people in the IPCC, the climate panel.
ParlaMint-NO_2019-12-04.ana.ud111e1403	In this debate, I have tried to get answers to what the government will do to prevent the use of palm oil-based biofuels. What will they do to prevent us from running with an orangutan on the tank? The reason I have asked is that next year the government will postpone the fee that could prevent the use of palm oil, and they will also increase the sales requirement. However, the government will not introduce requirements that exclude the use of palm oil. On the contrary, the government parties are in favour of repealing decisions aimed at preventing the use of palm oil in public procurement. A 2017 decision stating that the public should ensure that they do not buy biofuels based on palm oil, the government proposes to cancel, and they receive full support from the government parties in Stortinget. So the government will weaken its protection against palm oil. Government lots will weaken the protection of the rain forest and weaken the protection of the orangutan. Government parties are more concerned with making up their own climate policies than they are with global emissions and the world's rainforest. There is still time in the debate. It is still possible for government parties to say what they specifically intend to do to prevent the sale of palm oil in Norway next year. So far in the debate we have not received an answer to that.
ParlaMint-NO_2019-12-04.ana.ud111e1412	That's right, representative Haltbrecken, that I'm coming right after you. I can help you a little bit to respond to what you're asking for. I said earlier, in the line change, that we have reduced more than 200 million litres of fuel with deforestation risk. This year we're probably taking out another 50 million liters, and we're approaching zero in Norway. We have no opportunity to prohibit fuels with deforestation risks for international trade legislation, so SV does not have that possibility either. The possibility we have is to impose user charges on all biofuels, and that happens on 1 July 2020. It'll take away the benefit of the biofuels we don't want. Another advantage is that biogas receives further enhanced benefits. Biogas is also not possible to trade between countries. Now Finnish State Gasum is on its way into Norway and will build several biogas plants, several filling stations. Biogas is therefore one of the answers that comes – along with advanced biofuels that do not come from the deforestation of rainforests. There's a lot of palm oil production in the world. It will be in fuel, and that challenge shifts Norway to other countries. This is the case, but we in Norway have gone ahead and shown that it is possible to take biofuels without, and at the same time to remove the fuel with deforestation risk. We are approaching the end of the debate. When we are in biogas, we also have a structural challenge. Everyone needs to be involved in the challenge we face in order to reduce the climate pressure. Today, we have a municipal sector that is quite small-scale and has no ability to build large industrial biogas plants. There is a debate that I do not hear anyone dare to approach. We've been through a municipal reform, but we haven't taken hold of the large biological resources that lie there, which we can't use in the municipal sector today. We have to look at how we're going to get them into the circuit. Currently, municipalities have the possibility of charging and liability. They don't dare bet. There is too much risk for many small municipalities, so we have to do structural action, and that also applies to the waste sector. When the representative Norderhus asks for a circular economy, the government is just working to put these structures in place so that more resources can enter the circuit and not get out.
ParlaMint-NO_2019-12-04.ana.ud111e1423	I would like to remind you that we do not use ‘you’ from the pulpit, we refer to the representative.
ParlaMint-NO_2019-12-04.ana.ud111e1429	Norway is a rich country with some fantastic opportunities. If there is one country that really has the ability to implement a shift from fossil solutions to renewable solutions, it is Norway. However, if we are to cope with that transition, it is absolutely essential that provision be made for people to live, work and live a good life throughout Norway. That's the experience, the history and the knowledge that people have in the countryside and in the city of all of Norway in managing the natural resources, we have to build on in the future. With the policy of centralisation and the increasing taxes imposed by this government on people and businesses in Norway, it becomes more difficult to achieve the objectives we have for the conversion of the Norwegian economy. That is why we need a new policy, a new course that facilitates the exploitation of the rich resources we have in Norway, to an even greater extent. Not least, we need to use the rich forest resources we have, and make sure to plant, care for, cut and use more forests – to strengthen long value chains based on the exploitation of forest resources. We need to establish a green investment company that can facilitate the strategic integration of the state to facilitate new transformations, new investment on a broad scale, in order to bring in the new solutions. So to the debate on biofuels. The majority now do, firstly, that one is not willing to impose new requirements to prevent palm oil in the Norwegian biofuel market. At the same time, the operators wishing to use biofuels in the Norwegian market who also want to contribute more Norwegian biofuels and Norwegian biofuels production ensure unforeseeability. It is a very unwise policy, both for Norwegian industry and for the environment and the climate. We have to go in the opposite direction and make sure to cancel the increase in fees that affects, for example, important companies such as Yara and their ammonia production, which will receive 25 million overnight. kr in increased taxes, which will result in a shift of Norwegian production out of the country. We have to go the other way.
ParlaMint-NO_2019-12-04.ana.ud111e1438	First, until the representative Haltbrecken: the use of palm oil goes down. Last year it was 93 million litres, and it is expected to be lower this year. We do a lot. We work closely with the industry on how to reduce the use of palm oil. We've put in place an advisor from Diffi on how to make public acquisitions of palm oil free. The Directorate-General for the Environment provides information on the content of fuels, so that consumers and other easier to follow. We also follow up on the processes within the EU, we work internationally for deforestation-free value chains, and we have close and close cooperation with Indonesia on how to better manage rainforests. Otherwise you might wonder something through the discussion. Today, it is clear that climate and environmental policies are driving business development across the country. We see it in all municipalities – along the coast with what we do to put in place green shipping, and with what happens with sea wind, and what companies it is that get the bids from Equinor when they start with Hywind Tampen. Within biofuels, there are investment plans across the country. We've seen it before in the case of biogas. Much is happening in the construction sector. The use of wood is increasing. A lot is happening in high technology, whether it is autonomous systems in shipping, or it is they that are fully in the front line with the charging of electric cars. The working party wants a CO2 fund, but a CO2 fund is a worse solution and would take longer to put in place than the government's zero-emission fund, which is already operating, and which provides significant support for smaller companies for the conversion to zero-emission vehicles – 3000 already since it was launched in August. We have to use Enova, it's an instrument that works. In Finnmark they will pay 100 pst. to be able to put in place quick chargers. They are negotiating with Fortum and are now also entering areas in Lofoten and elsewhere where there is a lack of fast chargers. Finally, the Centre Party, which will cut climate charges, which will cut forest protection, as proposed by the government, and which will not have additional protection either. It seems that no herds of predators are small enough for the centre party to be satisfied. They should take into account the core of the predatory agreement, namely that the two-part objective is to meet both the predatory game and the grazing industry. The grazing industry in Norway is viable, and we have not suffered any less losses to predators since before 2000.
ParlaMint-NO_2019-12-04.ana.ud111e1453	To the Council of State, it is well said that cuts in the voluntary protection of forests are largely offset by increased appropriations to bet on forests as climate action. And that's exactly where the difference between the central party and the left lies: we want to use nature as climate action, while the left one-sided rates of protection. This debate shows that there is a broad consensus that we are going to achieve the climate objectives, but that we disagree on the measures. The council said that even the engine story had to change, so I should talk a little about forest. The carbon uptake in Norwegian forests was 25 million in 2017. tonnes of CO 2. It corresponds to about half of Norwegian greenhouse gas emissions. If we don't do anything about the recording in the woods, it will go down in the years to come, and we can't afford that. Forest as a climate action is an effective measure, it is environmentally friendly and it is cost-effective. Estimates show that we can increase the uptake in Norwegian forests by around 2.5 million tonnes per year over the next 70–100 years. But then we must have measures and efforts, such as: denser forest planting, fertilisation and forest plant processing, which in turn will increase the growth and uptake of carbon. This is nature's own system of capture and storage. If we don't do anything, the recording in the woods and on Norwegian land will go down. We don't have time for that. Estimates made in a report by NIBIO, the Directorate for the Environment and the Directorate for Agriculture show that a forest plan with a potential for afforestation of up to 1 million. dekar, will provide additional recording – yes, as much as 75 million. tonnes of carbon up to the turn of the century without significant negative environmental impacts. It's strange that only the Center Party is talking about these possibilities as climate action. It is strange that the government does not focus on this effective, environmentally friendly and green environmental action. The Minister for Climate Change talks about the need to convert the engine saga, and we may need a different fuel for motor saga, but much more important is the use of Norwegian forests and land for climate change.
ParlaMint-NO_2019-12-04.ana.ud111e1469	2020 will be a sad year for the green values. We do not achieve the climate objectives that were set, nor do we achieve the objectives of halting the loss of biodiversity. I have studied the state budget posts that affect the natural diversity in Norway, and there is no good reading. There are some small flashes of light here and there, but at all events no bet that will point out a new and correct course. In fact, the Minister for Climate and Environment may want something and try something, but all the good intentions are turned to the ground by the elaborate Monica Meland in the Ministry of Municipal Affairs, the fossil-freest oil and energy minister and the speedy and slightly asphalt-like Minister of Transport. There is no easy task for a Minister for Climate and Environment from the Left. There are many out there who don't understand what the left does in this blue-blue bed. The Natural Panel, which is as well scientifically based as the Climate Panel, clearly states that it is the wrong land management that is the greatest threat to natural diversity. I have addressed this issue in several contexts here from the pulpit, and that the grips that have deliberately been taken from this government mean that important natural areas are being destroyed, both as habitats for species and as outdoors for humans. It's going to be easier to build and build up, it's declared policy by this government, and it's certainly been. State Council Elvesuen can do something, sail if much of the cancers are undoubtedly going to put plastics on the wound for all that the hostile state councils are doing. But the state budget testifies that Elvestu does not take strong enough action on this sector, either because he does not want to, or because he loses his way into government in important areas. It concerns means of registration, protection and restoration of nature. It's tragic that we don't know what we have of natural values here in the country. Without knowledge of what is available of species and habitat types and where they exist, any natural management, any expansion and any forestry risk sports. Therefore, a nationwide ecological base map is usually absolutely crucial. So to what's being protected. The majority has decided that we, for example: shall protect 10 pst. Of our forest, but with the appropriations this government adds up to, it will take over 30 years to reach this goal. I must probably live as long as Helge Ingstad in order for me to experience it. It's too long. At the same time, a number of protected forest areas will be high. Equally important is protecting individual species that are threatened, and then we're talking about priority species, and that list should be longer than the government adds up to.
ParlaMint-NO_2019-12-04.ana.ud111e1484	The representative Lars Haltbrecken has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2019-12-04.ana.ud111e1489	I hear that both the representative Kjeseth and the state councillor Elvesuen are trying to tell me what they intend to do to prevent the use of palm oil next year. Most of it is wishful thinking from government parties. It could have been said that palm oil should not count within the scope of the marketing requirement when it is to be achieved, and then requirements must be made for sustainability criteria to be met for the palm oil sold within. The requirements for the use of advanced biofuels could also be further enhanced. According to a report issued to the government prohibiting the use of palm oil, a ban could have been imposed. I read from the report: The investigation concludes that a ban on palm oil could be lawful under the EEA Agreement, the WTO legislation on public acquisitions and the relevant EFTA trade agreements and the investment agreements to Norway, as long as the State can demonstrate with sufficient weight that biofuel production leads to higher emissions.
ParlaMint-NO_2019-12-04.ana.ud111e1496	I am proud to represent the Oslo Workers' Party on Stortinget – a party in the Workers' Party that has already decided in 2014 to introduce the climate budget in the Municipality of Oslo if we won the 2015 elections. We also decided to use the purchasing power to set high environmental requirements in municipal procurement. Both parts we run the Municipality of Oslo after today. Control tools are crucial if we are to get the green shift. The climate crisis is not a problem we can leave to anyone else, somewhere else at a different time. The crisis has to be solved by us, it has to be solved here, and it has to be solved now. That's why we took climate leadership and went in order for Oslo to be at the forefront of climate work among the cities of the world. To do that, we need to build higher, denser and greener. We have to make it easy to travel collectively, go or ride bicycles, so that people leave the car alone. Limiting queues, corks and chaos from car traffic is imperative in order to cut greenhouse gas emissions in cities. We went to the election to cut emissions. Oslo's emissions are going down. We wanted to use Oslo Municipality's purchasing power to set high environmental requirements and change the construction industry. The changes are on the way. In Oslo we want fossil-free construction sites. The next step is to get an emission-free engine park. The emissions from the construction sites in Oslo account for 22 pst. the transport emissions in Oslo and derived from the heating and drying of construction, construction site processes and plant machinery. We can do a lot with the construction industry. Demands for the green shift and more stringent environmental requirements. With the Workers' Party at the head, Oslo takes climate leadership – here and now, in our time. Now we have to show way and take climate leadership nationally. I am therefore very pleased that we on Stortinget for the third time have promoted a climate budget along with our alternative state budget. In 2019, we could expect responsible parties to show how Norway will cut enough emissions to meet its climate targets – just as the batches show how they will collect and distribute revenue to the community. Think if the government could take climate leadership on the international arena. Then we could stand in the first row and participate in an international climate bridge – something would have happened!
ParlaMint-NO_2019-12-04.ana.ud111e1507	The weather in Norway is probably one of the things that makes us Norwegians. We talk a lot about weather, we're very busy with weather, and we have a lot of weather. In the Committee's position, too, very much attention is drawn to how weather affects local communities and the population, how rainfall has increased by 18 pst. Since 1900, and that rain is what is increasing the most, but that we will also get more smelter floods and increased avalanches. I just want to take this with weather and agriculture first, because there is no doubt that we must have food in the future as well, and that Norway must also contribute to this large community of both consumption and production. Then, among other things, we must: have an active pasturage that allows us to have Norwegian food on Norwegian resources. It assumes that we have a field we can use, where the grazing animals get out, and that we also have research environments, such as NIBIO The onion, where knowledge has been built on the relationship between grazing and CO 2 emissions that have been groundbreaking. Active policies for the protection of ants have also been a problem for agriculture, and one almost forgets how ants are an important basis for both innovation and active development in many places in the country. Of course, it is okay as long as it is not agriculture, but agriculture must be stopped. Then it's back to the weather. The Climate Risk Committee believes that the natural damage regime should be more targeted against prevention. Overwater is a problem in cities and agglomerations, but not least in the districts where race and migration can be a threat to life, and building damage caused by floods and floods is replaced annually by about one. 2 billion. kr. There is no doubt that the effort needs to be made here. I can refer to Skåk Municipality, which last year had a flood in October, which was quite incomprehensible and totally unexpected and nothing the community was equipped to resist. Fortunately, we were able to set up, but it shows that prevention needs to be much better. Weigh the municipality, which is a neighbouring municipality up in the Ottawa Valley, with TEK17 has now regulated its entire center, Waggåmo, so that it is almost the construction stop after the TEK17 requirements where eleven Finna run through. Then there is necessarily protection and stopping what kind of action you can potentially do, which is a huge problem and perhaps hinders the further development of this community. That's why the Center Party believes that we need more funds for step-by-step and flood prevention, and we're adding 550 million. kr. In addition to what the government is proposing, it has to do with this.
