ParlaMint-NO_2019-03-13.ana.ud100e28	The representative, Martin Henriksen, will put forward a proposal for a representative.
ParlaMint-NO_2019-03-13.ana.ud100e1043	I take this as a very good signal that the Storting now wants to take the sample report out of the drawer again. The government was very clear that we wanted to go on with several of the proposals and explore how we could improve and simplify the resource area, while preserving the rights of users. In fact, the size also said no so that we were not even allowed to investigate further. But this I take as a very good signal that there is a will in Stortinget to actually look at the resource area. There is today a great potential for improvement in both who is responsible and how this should be organised in a way that is better for users and better for the public that is to manage it. So yes, I'm willing to look at it. I wanted to do it earlier, too, but got to put my foot down for it. But I take this as a very good sign that we can now look at this area again, and then, of course, I will take the initiative.
ParlaMint-NO_2019-03-13.ana.ud100e1053	‘Norwegian oil and gas industries have been a spearhead for high competence and proper working conditions. Trustees in the sector are now notifying that rentals with low job rates are continuing. This will over time undermine both the competence of the sector, HMS and the attractiveness of the industry to Norwegian youth. Does the Council of State see the link between working conditions and industrial competence, and will the Council of State do something to stop the spread of rentals with short contracts and low percentages?’
ParlaMint-NO_2019-03-13.ana.ud100e1060	It is easy to imagine that good and predictable working conditions will attract good candidates with the right skills, and in a larger image also ensure productivity, stability, security, cooperation and recruitment. This is true in most industries, not just this one. There is a broad consensus that fixed, direct employment, with decent working conditions, must be the general rule in Norwegian working life. I also believe there is a broad consensus that extensive use of rentals for the same reason is not desirable, either in the petroleum sector. Fortunately, working conditions and the level of HMS in the petroleum sector are well above good and companies are serious. My specific responsibilities for this sector are specifically linked to the supervision of HMS through the Petroleum Control Authority. Petroleum monitoring shows that they have seen an increase in the use of rentals in some areas of the sector. Through their supervision, they have been informed that, among other things: may be the result of the conversion process through which the petroleum industry has undergone and which has led to a significant downturn in some operators. When an increase in activity is seen, companies have had problems recruiting workers with the relevant skills. The industry has also developed over time new activity management models, according to the Petroleum Control Authority, which are planned for major fluctuations in activity, resulting in reduced predictability for suppliers in view of manning needs. Petroleum supervision is concerned with following up rentals in such a way that there are no negative impacts on health, the environment and safety. In the case of short contracts and low job rates, legislative changes have recently entered into force. There is no prohibition on low job rates, but the agreed employment rate must be real. The termination fraction may not be lower than that for which the employee is planned by the employer at the time of the contract. I assume that the rules are being followed, and that the intention of the changes in the rules is not undermined by creative solutions or mere circumvention. The new rules have only worked for a little over two months. As previously notified, the government is also reviewing the enforcement of the rental rules with a view to measures to prevent illegal rental. However, it is far too early to conclude that further measures are needed in the area of renting.
ParlaMint-NO_2019-03-13.ana.ud100e1077	The Council of State points out that predictability is important in order to attract the necessary skills in any industry. It's impossible to disagree with that. But we know how important it is when young people are going to choose a course of education, that predictability is needed, and not least predictability in order to get a job, an orderly job, a regular working hours and a full job. When much has been left to the law and much has been left to the contract work, it is important that all the social partners follow up, and I would like to be given a clearer signal or could say a little more about the job that is going on.
ParlaMint-NO_2019-03-13.ana.ud100e1082	I'm a little uncertain about what the representative really asked. But there is no doubt that the transformation that the oil sector has undergone has been incredibly demanding, with large reductions over a long period of time. Approximately 50,000 lost their job as a result of the oil price drop, persons employed in oil industry jobs. Now it's rise times, and we also hear, as I said in my first answer, that many of the companies are struggling to reach people. What's also important to remember is that when the oil price fall was a fact, you looked at, "Who's losing the job?" There were very many young people who lost their jobs in the oil industry. The majority of young people under 30 in Rogaland who lost their jobs had not even completed high school. Making sure that more young people now complete high school, get their letter in order before they start working, is extremely important. Because you know you lose your job when you're young and you're not educated, you're vulnerable. If you lose your job as a good adult without education, you're even more vulnerable.
ParlaMint-NO_2019-03-13.ana.ud100e1089	We all know that the fall in the oil price hit many very hard. I am very happy that you have increasing activity, which means that many of those who stood without a job come back to work. But I want to say that when you now have to do things differently from the oil and gas industry – cheaper, more efficient, more sensible – to cut costs, you get to bet on technology. It may not be the employment and the employment rate of each employee to help reduce costs. We need to take care of the law and the contract work, and then you get to cut costs in other areas.
ParlaMint-NO_2019-03-13.ana.ud100e1094	I agree that a cost cut should not affect health, the environment and safety. The employer has a responsibility to ensure that everything related to the HMS is followed. Of course, it is not up to the individual employee to take care of this by himself. The government now issued a major communication on health, environment and safety on Norwegian pedestal last year, where we announced more measures to improve this. The size joined the HMS message. Then it is important to stress that the industry itself is responsible for the high level of safety. We have a high level of safety on the Norwegian base. I also feel that the industry is concerned about securing it in the time that comes. I feel confident that now as the industry needs people, they will also be concerned about recruiting people with good skills and ensuring that those they recruit, also acquire good competence, to meet both the innovation needs and the security needs.
ParlaMint-NO_2019-03-13.ana.ud100e1104	‘In 2019, The Stortinget decided to reverse the period of one’s permit until 26 weeks. On the same night as the Stortinget debated this, I received a letter from the directors of Leirvik AS, Kværner Stord, Westcon Yards, Advantec GE, Wärtsilä and industrial cluster Sunnhordland, which says in particular: "Predictable law on leave, with the continuation of today's system, is one of the most important conditions needed by the industry to maintain competitiveness." Will the Council of State listen to the industrial environment in Sunnhordland before the presentation of the revised national budget?’
ParlaMint-NO_2019-03-13.ana.ud100e1111	In the last two years, employment has increased over the period considered, and the number of unemployed has decreased throughout the country in almost all sectors. Unemployment has not been lower in ten years, and in this situation we need to set up the instruments of labour market policy to increase labour supply. Permitting rules must also apply. We have a long experience of adapting the permitting legislation to the labour market situation, and therefore, in line with better economic prospects, from this year on we have reversed the extension of the legislation that we carried out after the oil price drop in 2014. When a growing number of enterprises experience recruitment problems, it is unfortunate that skilled labour is running out over a long period of time. It weakens labour market mobility, and various analyses and studies show that the use of leghold traps both overall and in weeks decreases when the rules are tightened. Several remain employed. To the extent that more people are resigned, the labour force that can go to other sectors of growth and that also reports labour shortages. However, the government is following developments in the labour market closely and will also assess the establishment of labour market policies, including: in the light of the economic outlook. We will also do that in advance of the revised national budget in ours.
ParlaMint-NO_2019-03-13.ana.ud100e1122	It is a goal that the supplier industry is working to get more bones to stand on. The risk associated with deliveries related to price, cost and implementation is higher in areas where the industry has not delivered before. Does the Council of State see the possibility of falling back on the legislation of permitation as an important noise cushion for industry in order to be able to involve them in their competence when entering new areas, a noise cushion that reduces the risk and lowers the threshold of conversion work in each enterprise? If the company has to pay for the cancellation, we will at least not be converted.
ParlaMint-NO_2019-03-13.ana.ud100e1127	As I said in my first answer, the permitting code is something that has been adjusted up and down in line with the economic cycle. It's always been like that, and it's also natural to do that. When the government proposed to extend the permit code after the oil price fall, it was a controversial measure. It was a measure taken by the government to give the parties to the wage settlement a handshake. Initially, LO and eventually the NHO wanted it, but there were no other social partners who thought this was the right action to take. But we did it as a handshake in a demanding paycheck. Now progress is in the right direction, it's a good labour market. There are also many other governments that have contributed to helping with the need for conversion. We have strengthened BIO funds, BIA funds, industrial research and innovation, etc. We also see that there is a significant shift now along the coast and also in several of the companies to which the representative refers, such as: has taken place through the other measures put in place by the government to facilitate the need for conversion.
ParlaMint-NO_2019-03-13.ana.ud100e1134	Thank you very much for your answer. I'm watching an opening. But the Council of State has a very macro-economic approach to this. Is it possible for the Council of State to assume that some kind of exemption from this normal rule or a special scheme for enterprises in a particularly difficult situation can be granted? I'm thinking of differentiation from industry or geography, and I'm thinking in particular of Leirvik AS's special competence in large aluminium structures, which is really environmentally friendly and has a future going on. The company has added 300, and as the director says in a conversation with me: he can take the PC home in the basement and rent out all the people, spread it around, but then he doesn't get to develop the company, so they are competent and equipped for new assignments.
ParlaMint-NO_2019-03-13.ana.ud100e1139	Now we have general instruments, we don't have industry-oriented instruments, even down to individual businesses. It would be difficult to have a system where you would have one scheme per business, almost speaking. It would be a demanding piece of legislation, and it would probably also be a law that would be illegal, i.e. a law that would be contrary to the procurement rules, if we were to be as fine-skinned as the one that the representative is talking about here. But the government has been busy contributing to the transition. We already said when we went into the government, we have to get more legs to stand on. We are too oily in Norway today, and if anything happens to the oil industry, we will have major challenges. We barely managed to say that before the oil industry suddenly got a shot for the bow, with the consequences we've seen. That was the background to the fact that the government has now also invested heavily in intra-corporate change, in the various BIA funds and also in industrial research and innovation, which have doubled in our period, precisely because we are committed to providing businesses and industries with incentives to convert to new times.
ParlaMint-NO_2019-03-13.ana.ud100e1149	This question, from the representative Eirik Sivertsen to the Minister for Defence, will be answered by the Minister for Justice and Immigration on behalf of the Minister for Defence, who has been removed.
ParlaMint-NO_2019-03-13.ana.ud100e1154	‘How did the Council of State ensure that Norwegian suppliers were evaluated in the acquisition of drones by the Defence Agency at 152 million. krona, and why were no repurchasing agreements for Norwegian industry negotiated in the contract with the US supplier?’»
ParlaMint-NO_2019-03-13.ana.ud100e1159	I will be allowed, on behalf of the Minister of Defence, to answer the representative Sivertsen's questions. Let me start by stressing that the government is working purposefully to provide the Norwegian defence industry with framework conditions that enable the industry to develop further into internationally competitive actors. This is important for our national security interests and in line with our national defence industry strategy. The Norwegian defence industry is developing very well and demonstrates its international competitiveness in many areas. This is primarily due to good work in enterprises and their ability and willingness to be innovative in a demanding market. But there is also evidence that government policy is producing results. Demands for industrial cooperation are an important tool in the government’s strategy and contribute to ensuring the ability and ability of the Norwegian defence industry to maintain and further develop its own competences and technologies in key areas. The representative here raises questions about a concrete acquisition of drone equipment to the defense. Preparation for acquisition started as early as 2015. As a procurement authority based on the needs of the defence, defence equipment has taken a number of aspects into account in the decision to acquire this system from the US authorities through so-called Foreign Military Sales. This will include, inter alia: secure access to military technology subject to export restrictions. Defence equipment assessed at the time of acquisition that there were no Norwegian producers able to meet the defence needs for such systems. The contract between the Norwegian and US authorities was concluded in December 2017. Thus, in this particular case, no industrial cooperation was established according to the routines. Before the agreement with the US authorities was concluded, an industrial cooperation agreement would have been concluded with the manufacturer. Defence equipment indicates that there have been internal misunderstandings in the process of concluding industrial cooperation agreements leading to the deviation. After the announcement in 2018 that an agreement was not established under the normal procedure, the Swedish Armed Forces have worked to establish a cooperation between the manufacturer and the Norwegian industry. Dialogue between the parties is now under way and the possibilities for cooperation are further explored. On the other hand, such cooperation could not take place within the framework of an ordinary industrial cooperation agreement. Defence equipment itself has taken steps to prevent this from happening again. The procedures for the decision-making process on the conclusion of the contract were updated in 2018 and are fully implemented. Defence equipment has underlined the seriousness of the matter and has put in place the necessary procedures to ensure that it does not happen again.
ParlaMint-NO_2019-03-13.ana.ud100e1174	From that answer it can be concluded that the Minister of Defence has not taken any special measures to ensure that repurchases are made. Repurchase is a central part of defence acquisitions. Evenly, there are repurchase agreements for all the acquisitions you make, but here, according to a Deputy Director of Defence Equipment, it is missing. It's missing for us. The question that then arises is the other areas in which this type of error or deviation exists, which the Council of State chose to call it. I note that it has now been discovered that there has been no control here and that it can clearly be misunderstood on such a central element, but can the Council of State respond to whether there are other areas where this type of repurchase agreement has failed, so that it has not been ensured that investments in military material ensure development and capacity in Norwegian industry?
ParlaMint-NO_2019-03-13.ana.ud100e1183	As far as I know, I don't know about any more cases, but it's a natural question, which can be raised in writing on a later occasion. What's important here is that, from the point of view of defence equipment, you admit that there has been an anomaly, there has just been a mistake, and you've been through procedures and procedures to make sure that this doesn't happen again. The decision-making processes on contracts are up-to-date in 2018 and are now fully implemented, and we must therefore assume that this time, we will avoid such things happening in the future.
ParlaMint-NO_2019-03-13.ana.ud100e1192	I will return to the first answer from the Council of State. It is difficult to disagree that ensuring that Norwegian industry is given a mandate, and any direct assignment, helps to build capacity, competence and develop Norwegian technology, thus strengthening its market position and export revenue opportunities. I have been working with drones since 2014, when the Technology Council released a report called Droner in the Arctic, and one of the main findings of that report is the identification of a possible new industry in Norway. It has also been discovered by the government. You have a drone strategy, and you have a north-eastern strategy that says that North Norway is going to be one of the most innovative and innovative regions. At the top of it all, the long-term defence plan has said that Andøya should be considered as a national drone centre. However, it is not chosen to contact the Norwegian drone industry in order to examine the possibilities of acquisitions in order to ensure the need for defence. Why didn't they contact the Norwegian drone industry?
ParlaMint-NO_2019-03-13.ana.ud100e1199	There are several companies in Norway that develop drone technologies, from very small to large actors. In this case, a number of assessments relating to the acquisition, including technical availability and risk mitigation measures, have been made such as recognisable equipment from the same supplier and similarity to previously used systems. The supplier may offer so-called ‘family of systems’, i.e. multiple systems can be operated from the same ground-based control station – that is, good synergies. Cooperation between allies on security of supply has also been emphasised by the fact that the selected systems have been sold to several different NATO countries, inter alia. Denmark, the United Kingdom and Germany. These are so-called shelf purchases, which do not require development. Furthermore, the availability of technology has been stressed, which was ensured by acquisition via the US authorities through the so-called FMS. As I said in the introduction, at this acquisition time, it was estimated that the technology you wanted in this purchase was not available.
ParlaMint-NO_2019-03-13.ana.ud100e1213	I would like to ask the Minister of Justice the following questions: ‘The Swedish Government recently submitted a legislative proposal on new data storage rules to the telecommunications operators, requiring them to store IP addresses for 10 months. As early as 2011, the size decided on storage obligations for 6 months, but this has not been implemented for various reasons. The current Minister of Justice pointed out in a reply to me in Stortinget on 11 January 2017 that, among other things, Kripos and the police in Bergen, who are working against child abuse online, are asking for legal provisions on the storage of IP addresses. When the government plans to draw up a bill on national rules for storing IP addresses, etc. at the premises of the telecommunications operators.’;»
ParlaMint-NO_2019-03-13.ana.ud100e1222	Information on who has used a given IP address is often very important for police work against Internet-related crime. In many cases, such information is crucial, for example: when the police detect or receive information that a Norwegian IP address can be linked to Internet-related child abuse, and there is no information other than the IP address that can help identify the perpetrator. In addition, information on IP addresses may also be essential to identify the victims of network crime and to prevent them from being subject to further abuse. Today, Internet service providers can store information on which subscription has used a given IP address for up to 21 days for billing and security purposes. This means that in many cases the information has been deleted when the police will later become aware of an IP address that can be linked to criminal offences. Kripos has stated that this results in a large number of cases that cannot be resolved and that insults are not identified. I believe it is very important to consider whether to impose an obligation on Internet providers to store this information in an extended manner. It will improve the ability of the police to meet the challenges of today’s crime scene, where technological developments have provided new opportunities for criminals, both to commit crime and to avoid criminal prosecution. In the request decision No: 944 15 June 2017 asked the Swedish Government ‘to determine the legal space for the general storage of IP addresses and relevant traffic data to be extended’ and ‘to what extent privacy and international obligations can be taken into account’. The Ministry of Justice and Defence has started work on addressing these issues. It has not been clarified at this stage when the investigation will be completed. It is important that the issue is thoroughly addressed in order to ensure that such action will be within the framework of the Constitution and the international commitments of Norway. Norway is not free to base Sweden’s assessment of international obligations, including: because these assessments need to look at how actions will work together with other Norwegian legislation. In addition, it is important to carefully assess how storage obligations can be as effective as possible across different technical solutions used by Internet providers, in particular different techniques that allow a large number of subscribers to use the same IP address at the same time. This is of great importance for the best possible contribution to the police’s deterrence and resolution of Internet-related crime.
ParlaMint-NO_2019-03-13.ana.ud100e1237	I thank the Council of State for an answer that showed that he sees how important this is to combat crime. I would like to add to what has been said about child abuse online – which has often been developed in connection with the need to store IP addresses – that this will also apply to different types of organised crime, terrorism, online extortion and different new criminal practices emerging in the digital world. So this is a very urgent question — considering that the police in Norway are quite helpless when you don’t have the storage of IP addresses to investigate some of this crime, and have been dependent on receiving assistance from other countries, such as Italy, in important criminal cases. So I just want to ask the Council of State: when the Stortinget, and I also believe the party of the Council of State, was involved, asked for this investigation in June 2017 – two years ago – does not the Council of State think it should be time to start concluding in that investigation?
ParlaMint-NO_2019-03-13.ana.ud100e1246	I'm also impatient, and I wish these questions were simpler than they actually are. The request to investigate the legal area referred to some of the issues that they thought were important for us to cover in the investigation, among others. international commitments. Then I think it is important that we take it seriously, and that we are absolutely sure that we are making a proposal that is within the international commitments, if such a question is to come to Stortinget, and that all the technical solutions have also been properly and thoroughly evaluated. However, like the representative, I believe that an investigation should be put in place and completed as soon as possible. Then it will be up to politicians – when the investigation is available – to decide how to assess it.
ParlaMint-NO_2019-03-13.ana.ud100e1255	I thank you for the additional response – which I perceive so that we are on the same track. It is a fact that in the case of the representative proposal in 2017, from the Christian People's Party – Hareide, Ropstad, etc. – there is only one party that opposes our going into this, and that's one of the government parties: the left. I guess that's not a question that is so easy for the Council of State to answer, but I have to assume that an investigation does not imply that the government has infinitely internal drawdowns on whether to promote anything or not, because it is obviously a large majority of the Storting that wants such a kind of legislation, when you get a good and proper framework for it. So I just want to encourage the Council of State to make the most of the progress in the matter. There are a lot of things online where this tool is needed.
ParlaMint-NO_2019-03-13.ana.ud100e1264	The size has asked the government to answer the question, and of course we will. It was an overwhelming majority. The request decision did not contain a decision on the outcome, it was a wish to investigate it. Of course, we're going to do that, and we're trying to do it as fast as we can.
ParlaMint-NO_2019-03-13.ana.ud100e1272	This question, from the representative Steinar Ness to the Minister for Fisheries, will be answered by the Minister for Oil and Energy on behalf of the Minister for Fisheries, who has left. The question will be raised by the representative of Liv Signe Navarsete.
ParlaMint-NO_2019-03-13.ana.ud100e1277	‘Next AS is a new entrepreneur enterprise in Sogn and Fjordane that has developed a unique environmental project for salmon farming without lice, in line with Report. St. 16. The company has access to approved new technology and 3 billion. krona for a unique bet, but lacks enough concessions to realize the project. Next AS is also the only actor in Sogn and Fjordane who now has an approved application for development concessions. How will the Council of State help to ensure that Next AS has the necessary framework conditions to realise this project?’
ParlaMint-NO_2019-03-13.ana.ud100e1284	The Ministry of Economic Affairs and Fisheries received in January the complaint setting from the Directorate of Fisheries where Next AS partially refuses its application for development permits. The matter is dealt with in the department, and it is therefore difficult and not correct to comment on this particular issue in concrete terms. In general, the number of permits granted to companies applying for development permits may be emphasised to be based on a professional assessment of the actual need for authorisations in the requested project. The development authorisation system provides operators with a risk-relief for the development of projects involving significant innovation and significant investments. These are comprehensive and complex issues, and all complaints that are pending are carefully assessed, as is the case in the Directorate-General for Fisheries at first instance. In addition, it would not be appropriate to comment on individual cases pending final decision.
ParlaMint-NO_2019-03-13.ana.ud100e1295	Sogn and Fjordane are in a red zone, which, following the traffic light system, needs to be controlled over the lice problem in order to grow in an industry that is very important for employment and value creation, both in coastal communities and in the whole. The marine industries are one of the strongest assets of Sogn and Fjordane, and a single bedrock has great enthusiasm for this project, which can lead to a huge number of jobs, and where investment is 3 billion. kr – something that is not a everyday food in our county. Now representatives of the party to the Council of State, the Progress Party, and also the spokesman in Os, have said that the Progress Party is difficult for this project. Representatives from the Left and Christian People's Party were at the NRK yesterday and said the same thing. The Labour Party and the Center Party have been united on the bench about this. Is it to understand, then, that there is the Right who will be the restrictive party to a government handling of such a question?
ParlaMint-NO_2019-03-13.ana.ud100e1302	I agree with the representative of Navarsete that the aquaculture industry is important for Sogn and Fjordane. It is important for Norway as a whole – it is important for the whole coast. I think we can agree that had it not been for the aquaculture industry, our coast would definitely have looked different, especially where I come from. The development concession scheme is just to be able to pick up the opportunities and natural assumptions we have as ports to use the sea to produce amazing food. I just notice that the development concession scheme has been very well implemented. There's a lot of interest, there's been a lot of applications. And then I ask for an understanding that, on behalf of the Minister for Fisheries, I cannot comment specifically on a matter that is being dealt with and that is not decided.
ParlaMint-NO_2019-03-13.ana.ud100e1309	I thank you for your answer, and of course I understand that. At the same time, it is important for us from the county to take up this matter and get attention around her. For those who have received several – very many – development concessions, they are the big companies. We don't have this in Sogn and Fjordane. We're in a red zone, and this very project, which can help solve the lice problem, can be the key to Sogn and Fjordane getting a future viable diet, which is now shut down. So my sincere appeal, no matter what minister is standing here, is that the government looks closely at this application and also looks at it from a social perspective. Both the government and I come from parts of the country where it is not obvious to get that kind of investment, nor of course to get new technology in. So instead of asking more questions, I want to send an in-depth call from a group of states that one of them will meet this application.
ParlaMint-NO_2019-03-13.ana.ud100e1318	The invitation is registered and listed. So it's that the development concession scheme follows criteria that make those who are applying have to qualify, as I was in my main response. I can't say anything more than what I've already said. The exposure is registered, and this is now for treatment in the department and will get its decision once you have done the job that you have to do.
ParlaMint-NO_2019-03-13.ana.ud100e1329	Before I start on my question, I would like to make it clear that there is a ‘pressure residue’ in my question. I've informed the department about that too, but I'll make it visible when I read it. It is not always as easy to know where the line should be: ‘Norway is now governed by the right and the Progress Party has the Minister for Oil and Energy. There is a majority in the Storting to impact on Northland IV for oil extraction. Does the Council of State have any plans to propose such an impact assessment for the Storting, and why has the Right Party and the Advance Party failed to make such a proposal during their nearly six years of government?’ It says ‘Northern IV’ in the question, which should of course be said ‘Northern VI’.
ParlaMint-NO_2019-03-13.ana.ud100e1340	I can confirm that, as the Council of State, I have absolutely plans to implement what is government policy. My responsibility is in this way that of petroleum. It is beautiful and well formulated in the Granavolden platform. The main objective of the government’s petroleum policy is to facilitate the profitable production of oil and gas from a long-term perspective. The government will pursue a stable and long-term petroleum policy. The search policy should contribute to that precisely. New, profitable findings that ensure income, value creation and employment are important to maintain our welfare society. Established practice for the implementation of concession rounds on Norwegian soil to provide the industry with access to new attractive exploration areas is thus an important support element in this policy. On the issue of opening up new areas, the government's policy is anchored in our political platform, the Granavolden platform. In line with the platform, the government will not propose opening it up to petroleum activities or impact assessment under the Petroleum Act in the areas outside the Western Seabed, Lofoten and Senja in the period 2017-2021. Nor will the Government undertake petroleum activities at Jan Mayen, the ice edge, Skagerrak or the Mortars during this period of government. Prior to the Granavolden platform, this was first anchored through the cooperation agreement with the Left and Christian People's Party and then through the Jeleia declaration. So this has been the government's position throughout the period that the representative Haukeland Liadal is asking for. That me and the Progress Party, the party to which I belong, have a different primary position, on which we have gone to elections, is well known. However, in a majority government, compromises must be made, and in this case, the compromise led to the failure of the Progress Party.
ParlaMint-NO_2019-03-13.ana.ud100e1353	I thank you for a good and constructive response – I want to focus on it. The Oil Directorate is worried. They have said on several occasions that they are concerned about search sites after 2021. In my estimation, the Right Party-Fremskrittsparte-Christian People's Party-Left Government is still running towards that time period. Now that we see that we have a majority in the Great Britain, the government, even though the time is running out, chooses not to look at the possibility of gaining more knowledge about the Northern Ireland VI area, because that's what we're talking about today. What is the oil minister's plan and response to the employees of the Oil Directorate, as well as to the many thousands along the coast who work in the industry, in terms of exploration areas and that one does not want an impact assessment?
ParlaMint-NO_2019-03-13.ana.ud100e1362	When we talk about this particular area, I must be allowed to remind the representative of Haukeland Liadal that the Workers' Party has spent eight years in government ahead of this government, and I did not register that proposals were made for the impact assessment of Nordland VI and Nordland VII. It is not possible to conceal that the sea areas outside the Western Baltic Sea, Lofoten and, to the extent that Senja is also part of the Norwegian base resource base, but Norwegian base – I was saying – consists fortunately of more than just the Lofoten and the West Pole. Assigning attractive search areas is precisely what ensures that we have activity on a Norwegian base and that there are ring effects. I believe that this government has proved it. There have been 411 extraction permits since we joined – 83 in January, which was a record award.
ParlaMint-NO_2019-03-13.ana.ud100e1369	I thank you for the answer, and there it came: A debtor of former governments – the Bondevik government, for that matter, the Stoltenberg government, etc. I believe that the concern of the Oil Directorate, which is clear that we are approaching 2021, the year when exploration activity will go down, gives all cause for concern. However, Norway is currently operating in about 100 vulnerable areas, about 100 SVO areas on Norwegian pedestals that can be equated with e.g. Northland VI. Former State Council Solvency Horne said in 2017 in the election campaign of the Federation of Industry that her main election vow to Rogaland was to ensure that there was an impact assessment in the Nordic Region VI as well as the LoVeSe area. Does the Council of State think that former councillor Horne has kept his promise to his constituents along the coast and in Rogaland?
ParlaMint-NO_2019-03-13.ana.ud100e1376	There is no secret what has been in the various government platforms since accession in 2013. It has been very clear that it has not been the government’s policy to investigate the impact of Northland VI, Northland VII and Troms II – just as it is formulated in the last government platform. I've given an explanation of why it's like this. There are different opinions about this between the four government parties. Then you have the compromise on this, and the compromise is expressed as it is. This fight has been lost by my party, which also belongs to former State Councillor Solvency Horne – to which the representative Haukeland Liadal referred. I also record that it is not just in the government's parties that we discuss the impact assessment of Nordland VI and VII.
ParlaMint-NO_2019-03-13.ana.ud100e1386	‘When Statoil and Hydro were merged in October 2007, there were major discussions as to whether this would result in the new company being given too much market power. Since then, we have been through a few downs in this industry, the last time at the fall in oil prices in 2014. We now see that there is a strong pressure on wages in the supply industries of the petroleum sector. What has the government done to ensure that Equinor does not have too much market power on Norwegian soil?’
ParlaMint-NO_2019-03-13.ana.ud100e1393	Over 50 years we have developed a Norwegian oil and gas industry that has created enormous values for Norwegian society. It has given us great ring-effects, and it has given us nutrition development, definitely, throughout the country. The most important thing to maintain employment in the supplier industry is to maintain the level of activity of the socket. For this reason, government policy consists of three main pillars: stable, predictable framework conditions, allocation of attractive exploration space and active research and development efforts. The oil industry is a global and cyclical industry. We also know that there is a significant competitive advantage in having a large domestic market, where all parts are internationally competitive through the ups and downs that are and that have been. We now have a much greater diversity of operators and owners in licenses than we had 20 years ago, and the number of field operators has almost doubled in this period. This is the result of a conscious policy and a successful petroleum policy. Equinor’s strong position on Norwegian soil is the result of a conscious desire from the 1970s to build a strong Norwegian oil environment. The company has developed a broad competence and knowledge of Norwegian continental shelf, and we are actively using this to create long-term values on the base. The company, I believe, therefore also has great self-interest in diversity and competition in all parts of the supplier industry. The government has recently investigated the competition situation on Norwegian soil at the request of Stortinget. As reported in the budget proposal for 2019, this investigation concluded that there was no need for regulatory action. An overall Energy and Environment Committee joined this assessment just before Christmas, and nothing has changed since then. Over time, companies face different challenges through up and downtime. They themselves are responsible and the best to adapt to the prevailing market conditions, and I think that is a wise division of labour. In addition, a large domestic market for industry in both the short and long term is the best guarantee for maintaining good, profitable jobs in the future.
ParlaMint-NO_2019-03-13.ana.ud100e1414	Thanks for the answer. I would like to refer to a special agreement between the parties on a yard in Rogaland, a supplier of Equinor, which I have been given insight into. There has been an agreement on a wage reduction of 10 p.m., and the agreement says that without this wage reduction, the company had not been given the assignment they are currently working on. This is an employee group that has had no particular wage growth in recent years, and there is reason to believe that this is true of several suppliers. This means that the increased billions of Equinor profits have recently been paid by ordinary workers, and ordinary workers are the most important business cluster we have here in the country. Does the Council of State consider this to be a development serving the nation in the longer term?
ParlaMint-NO_2019-03-13.ana.ud100e1419	The Council of State does not know the specific matter to which reference is made here. I also refer to the answer given to a previous question in the Chamber today, from the Minister of Labour and Social Affairs Anniken Hauglie. The most important thing the government can do is to make sure that there is activity on a Norwegian base. That's what this government has done. We have had a division of labour that has served this country well, where companies make the commercial decisions within frameworks and laws and the state allocates land. We have. And the best way we can ensure that there is competition and activity on a Norwegian base in the future is by doing what the government has done, namely granting new extraction permits.
ParlaMint-NO_2019-03-13.ana.ud100e1426	I thank you again for the answer. I would like to take a matter that the Council of State should know about, because in a number of articles and in the manager of the last edition of the newspaper Maritim Logg, from the maritime organisations, they strongly correct the use of Equinor's market power. It is claimed, inter alia, that: that Equinor uses the power to maximize his profit. We hear that shipping companies rather leave their ships at bay than let them sail for Equinor – with great losses. The maritime cluster is an important cluster of competences on the road towards new industries, for example: renewable energy production. In addition, we know that fixed posts in maritime transport have been replaced with temporaryity to a large extent. Does the Council of State believe that this is a sustainable way of maintaining such a cluster of competences?
ParlaMint-NO_2019-03-13.ana.ud100e1431	I have a great deal of understanding of the challenge that the maritime industry has faced, and to the extent that it is also facing, after a period of historical oil falls. If there is something I feel secure about, it is that there is competitiveness in the Norwegian maritime industry, which means that it will be present both on the Norwegian base and on the other sockets around the world. The most important thing we can do as authority and as government is exactly what we're doing, assigning the area to look at, where it might be found, where there might be activity. And if we're going to have a maritime nutrition in Norway in the future, that's exactly what's one of the most important tools, that there's a need for the maritime industry.
