ParlaMint-NO_2019-05-08.ana.ud164e28	The representative of Audun Lysbakken will present two proposals for representatives.
ParlaMint-NO_2019-05-08.ana.ud164e886	Eating disorders are a serious disorder. This includes overeating, although this is not yet a diagnosis according to the diagnostic system used in Norway today, the so-called ICD-10 system. We know that a large proportion of obesity suffers from overeating and depression. National Professional Guideline on Eating Disorders came in 2017. This includes overeating disorder. The guideline refers to the investigation, treatment and follow-up of persons with eating disorders in primary and specialist health services. Psychotherapy is a highly recommended treatment for suffering. In addition, diet, physical activity and operation are current treatment interventions. All mental health care clinics for children and young people and adults across the country provide services to people with eating disorders. All health regions have established regional units for the treatment of particularly severe eating disorders. Local and regional health services have important tasks in terms of treatment, referral and follow-up. Good practices for cooperation between somatic and mental health services are important. The first package courses for mental health and drug use are implemented, so that all patients with mental health disorders are now referred to the package sequence. The first package steps that came were general, in the sense that they included all patients referred to, regardless of the type of mental disorder. Packing processes for the investigation and treatment of serious eating disorders for children and young people are now also being implemented. This process applies to all types of eating disorders. The aim is greater predictability, better interaction, shorter waiting times, better investigation and treatment procedures and greater patient involvement. Several package sequences are also planned in the area. The Ministry is aware that overeating was included in the update of the diagnostic system presented by the WHO in 2018, ICD-11. Experience has shown that it takes some time for new versions of the diagnostic system to be implemented in Norway, as this is a rather perceptive work on translation and revision of code works, etc. It is believed that this may involve greater attention on the psychological side of obesity, but it is too early to say what practical consequences this has. I understand the concern behind the question from the representative Grung, as it has not always been easy to get good treatment for overeating disorders. However, I assume that, among other things. the package trajectories will be an important tool to ensure that all patients are well investigated and treated for the eating disorders.
ParlaMint-NO_2019-05-08.ana.ud164e903	Thanks for the answer. The challenges associated with this suffering, which includes a lot of people, are both stigmatic and paralysing the threshold and looking for the auxiliaries. Although it has been better organised once inside, there is still a lack of resources and status related to working within the treatment system for this group. At the same time, we have guidance on what to do. From my time in the Health Committee, I remember one thing: It took an average of 17 years from guidelines in place until they were implemented. When it is so extensive, and when you know what obstacles exist – even if you have done something in the middle – what will the Minister do to ensure that you get enough resources and that this is prioritised, given how many have been affected by this suffering?
ParlaMint-NO_2019-05-08.ana.ud164e912	I am, in the same way as the representative Grung, concerned about the moment it takes before new guidelines and new knowledge are implemented in healthcare. The new national vocational guidance for eating disorders came in 2017. This includes overeating disorders. I believe that the precisely package trajectory — that methodology — helps to speed up the implementation of new knowledge and new treatment methods in the service, because a person is working more systematically with this. Generally speaking, we work for and implement a strengthening of the treatment provision in the field of mental health. We all agree that there is stigma attached to overeating and overweight problems as an eating disorder, and there is a threshold that we have to lower.
ParlaMint-NO_2019-05-08.ana.ud164e921	One way to lower that threshold is maybe through cooperation with non-governmental organisations. In Norway, an organisation called ROS, Consulting on eating disorders, which was the only one that received funding from the 1 million-dollar volunteer pot, was built. kr. Now, suddenly, there are two organisations – a new one has arrived – and the amount is divided into two. It creates difficult challenges and unforeseeability for organisations that are now building up. The number of users who contact has sessioned. It also turns out that you can prevent quite a lot at the first threshold, by sorting between those who really need treatment and those who need less assistance. How will it be ensured that the skills built up in non-governmental organisations targeted at this target group are strengthened?
ParlaMint-NO_2019-05-08.ana.ud164e928	Yeah, I'm familiar with that issue. When part of the work in this area is done by non-governmental organisations, it must also be possible for other organisations to be set up. Then we have to have a fair management of the allocation of funds to the organisations that meet the criteria. And then we're going to come back to an assessment of whether there's a need to raise this pot at a later stage.
ParlaMint-NO_2019-05-08.ana.ud164e933	So let's go to question 6.
ParlaMint-NO_2019-05-08.ana.ud164e941	‘Centralisation has not made births safer. There's a distance from birthplace that's a crucial factor in survival for mother and child, a birth is never without risk. The size of the population has reduced the number of deaths caused by a decision in May last year to secure current food establishments, so further cuts in food supply will be against the will of politicians. How can the Council of State let the Helgelands Hospital investigate a hospital structure that will give birthing women a longer way to a food supply?’
ParlaMint-NO_2019-05-08.ana.ud164e948	Fortunately, the strong centralisation of the food supply that took place when state politicians ran the hospitals, which is the model the Centre Party wants to go back to, has stopped. The representative Mossleth asks how I can let the Helgelands Hospital investigate future hospital structures. The answer is that it is the Helgelands Hospital, and not least the municipalities of Helgeland, who themselves took the initiative on what would be the future hospital offer at Helgeland. They asked me to initiate this investigation. In this connection, I visited the hospitals in Helgeland, Brønnøysund Municipality and other affected municipalities in the autumn of 2015. It provided the basis for seeing that there was a great deal of agreement that there was a need for change, even though one at that time was not ready to conclude on where the various offers should be. I then held a business meeting in 2015, which meant that Health Nord was given the mandate for the further investigation work. The Helgelands Hospital has a large geographic area. I understand that there is a great deal of commitment and attention around the discussion about changing the organisation of the service provision, especially the food supply, but there are no decisions made. There must be good processes in the future. I point out that the future food supply at the Helgeland Hospital was also the subject of the board seminar last week, where challenges with distances were highlighted in the health company's board of directors. The next milestone is the board meeting in the Helgelands Hospital in October/November. The matter shall then be dealt with by the Board of Health North, before it is likely to end up on my table at the end. There is no active centralisation of food institutions today, by which the representative Mossleth tries to create an impression. In the national health and hospital plan, we have said that the distribution of smaller food departments and feeding rooms must ensure that we are close to the food supply even outside the large women’s clinics. In fact, in the national health and hospital plan, we have drawn up a hospital map for Norway that ensures a decentralised hospital structure, so that people no longer need to wake up to newspaper headlines that their local hospitals should be closed down, such as this. was then the Center Party was in government. There were two areas that were not completed. It was the Inland, and it was Helgeland. In both areas, the local initiative to discuss the hospital structure, which at that time had not come far enough for us to draw conclusions. Those processes are currently in progress. Conclusions will be drawn at a later stage, but it is important to have a decentralised hospital service in Norway. There's going to be more activity in the smaller hospitals, not less activity.
ParlaMint-NO_2019-05-08.ana.ud164e961	Governments have to deal with the decision taken by the Stortinget last May that food supply should not be reduced. The resource group that recommended the hospital structure in Helgeland consists of eight members. Six of them are men – and none of them are from the guerrillas. In the first proposal, birthing women were not even mentioned, there was no room between urban and housing price assessments in the report. I have to ask again. With the decision made by the Stortinget in May that there should be no more closures, in memory: How could the Council of State, as the top authority, have made changes without ensuring food institutions, when we know that women get up to four hours of driving time with the proposal made by the resource group?
ParlaMint-NO_2019-05-08.ana.ud164e968	If the Central Party considers that that decision does not mean that there may be any changes in the structure of the two areas that we pointed out at national health and hospital level that local processes are in progress in, the Inland and Helgeland, it is a rather alarming position. Then I have to ask the representative to contact the Central Party in the interior and inform them that all their participation in the process in the Inland must stop, because the Central Party in the Inland is also involved and are the suppliers of the changes that are being discussed there. So it'll be a very eye-catching position to take.
ParlaMint-NO_2019-05-08.ana.ud164e973	I record that the Council of State does not say anything about what he thinks of women who are born with the proposal available, getting four hours of driving time to a food institution. At the same time, we are very aware that midwife Schjelledrup-Eriksen has been very clear that there is three times the risk of death to be born outside of the food establishment than within. Feeding during transportation or on the bath floor leads to a greater risk that something might go wrong, and it is physically impossible to provide good birth care in a car. What does the Council of State look like in four hours' time to the birthplace?
ParlaMint-NO_2019-05-08.ana.ud164e978	This will be a very central theme of the work now taking place in the Helgelands Hospital. As I also said in my first reply to the representative: it was among other things. the recent theme of the Governing Board to have a discussion on these issues. So this will be important in the future discussions on how the structure should look on Helgeland. Of course, the structure related to food and emergency services is one of the most central issues discussed in the determination of the hospital structure. So trying to make it look like this isn't a theme is directly wrong. There is a significant strengthening of the overall supply in Norway. Women who give birth are more satisfied now than they were in 2011. We have a strong build-up of the number of midwives in the municipalities. The threat of a solid or a continuous centralisation of the hospital offer under the Central Party in government is no longer present in the same way.
ParlaMint-NO_2019-05-08.ana.ud164e985	So we go back to question 5.
ParlaMint-NO_2019-05-08.ana.ud164e993	«We are lucky to live longer. By 2040, the number over 80 will triple. In the districts in particular, there are several older people. This also increases the need for health care. In Namsos we have a local hospital to help both old and young. We know that locally educated people like to stay where they studied. So when Nord University is threatening to drop nurse training in Namsos and several health professionals, how will the Council of State ensure that local hospitals can recruit qualified health professionals?’
ParlaMint-NO_2019-05-08.ana.ud164e1000	Health and care services depend entirely on the training of adequate personnel in the university and higher education sectors with the skills required by the service. I am familiar with a proposal from the administration of North University on fewer places of study and to drop nurse training in Namsos, which has created a lot of local resistance. It's not surprising. We know that hospitals and municipalities that are close to study places that train health professionals have easier access to staff. This applies both after completion of the study and during the course of the study, as students often contribute with shifts on weekends and holidays. The Management Board of the Nordic University shall examine the matter on which the representative Kjerkol is based in June. In a letter to the university, the Minister for Research and Higher Education wrote that she believed that the board carefully assessed the views expressed by various actors. In particular, they need to consider how the need for health businesses can be met. State Council Nybø considers it important that the study structure of the Nordic University facilitates access for all parts of the region to good skills and labour, and that in this respect it is important that the board assesses the impact of the study structure on other parts of the working and social life and how the need can be addressed in places where major changes can be made. I assume that good dialogue is ensured between the university and the health and care services in the area. Health and care services work both to attract and train health professionals and to ensure that they remain in the service. We know that offering permanent jobs, a good professional environment and the possibility of continuing training contribute positively to attractive jobs for health professionals. We need good access to nurses and other health professionals across the country, and we rely on the university and higher education sectors to train enough health professionals with the right skills in good cooperation with healthcare. At the same time, health and care services must continue to work to maintain staff, including: through development of competences. Competence will also be one of the main themes of the new National Health and Sickness Plan for the period 2020-2023, which we are planning to submit to the harvest.
ParlaMint-NO_2019-05-08.ana.ud164e1011	There is a lack of nurses throughout Norway — the Council of State also knows that. Only in Trøndelag is it estimated that 1 650 nurses and specialist nurses are missing, and building a nurse training takes several decades – it takes generations, those who run it will claim. For the municipality of Namso, which is a large Norwegian municipality with its 12 000–13,000 inhabitants, 95 pst. by nurses recruited from the training in Namsos. In the neighbouring municipality of Overhalla there are 85 pst. It is clear that recruiting without this good access to highly qualified nurses will be a major challenge. Then I hear you point out that the Council of State Nybø has sent me a request, but I think what you need is assurances that you still have to train nurses in this region who have problems and who do not queue first to recruit.
ParlaMint-NO_2019-05-08.ana.ud164e1018	Now, the administration of North University has made a proposal. It's out at the hearing. I think everyone has come up with the important and significant objections that have been raised to this proposal. The next step in this matter is that the board of directors of the University of Nord will deal with the matter, and I have great faith that they have the ability to see, hear and get the arguments that are being put forward. For my part, it is important – and it is a general message that we give both to the university and higher education sectors and to the health sector – that the two sectors need to have a continuous dialogue, so that one works together and solves the common needs that one has. I think the representative is drawing up important and important points in this matter.
ParlaMint-NO_2019-05-08.ana.ud164e1023	It is important to have predictability in the healthcare system, and a hospital such as the Namsos Hospital, which is an emergency hospital, has been established by the Council of State through the previous National Health and Hospital Plan as an emergency hospital. That means they're a significant educational institution, and they're dependent on having activity and what we're talking about as selective activity, in order to be able to be there with enough volume to handle the acute functions that the Storting has said they should have. When the Stortinget adopted the National Health and Hospital Plan, once again this mantra was confirmed that we should centralize what we need, but decentralize what we can. In this process, Health Nord-Trundelag has asked for decentralised functions from St. Olav. The only thing they were offered was ritual circumcision for boys. I think the Council of State can see that they felt like a little provocation. But this is an exercise we have to succeed in. How has the Council of State intended to succeed better with this in the time ahead of us?
ParlaMint-NO_2019-05-08.ana.ud164e1030	The representative is quite right that, through the treatment of the national health and hospital plan, we have removed the doubts that have occurred in the past that the hospital Namsos will continue to be an emergency hospital in the future – that should be the case. That is why it is important for me that my fellow Councillor Nybø, in his letter to the North University, highlights the importance of their decisions underpinning the needs of other sectors. This discussion – regardless of the outcome – should have no doubt that we are still going to have an emergency hospital in Namsos, we need that. Then we are constantly working towards health regions to ensure that they work according to what is also government policy, namely that the major hospitals depend on the small hospitals. This means that the major hospitals must also be willing to give up tasks to support the existence and basis of the smaller hospitals in the future.
ParlaMint-NO_2019-05-08.ana.ud164e1037	Then we go to the next question, question 7.
ParlaMint-NO_2019-05-08.ana.ud164e1045	‘The planning of a new hospital structure on the Helgeland coast is based on a disputed report from an external resource group. In an alert from the trustees, it appears that 17 meetings were held between the resource group and two persons in the hospital management – where employee representatives were not involved, and where the minutes were first published monthly thereafter. It is unclear who appointed the resource group, and trustees were not involved in the appointment. Does the Council of State believe that this has been a reliable process?’
ParlaMint-NO_2019-05-08.ana.ud164e1052	Planning and investigating the new hospital structure in Helgeland has been going on for many years, and I referred in a previous question to the background and the start of the process. In order to obtain an external assessment and input, the Management Board of the Helgelands Hospital decided to set up an external resource group in 2018. The Management Board of the Helgeland Hospital adopted a mandate and was involved in the process of the composition of the resource group. On the board of directors there are four employees. The external resource group should use its experience, professional knowledge and competence and provide advice based on relevant information from previous phases of the project, from other relevant projects and from the National Health and Hospital Plan. Health Nord reports that there has been a meeting between the external resource group and the Helgeland Hospital, but the content of the work of the resource group has not been the subject of meetings. Health Nord states that the Helgelands Hospital has not had any insight into or ability to influence the work or conclusions of the resource group before they were presented in the preliminary report on 3 December 2018. The work of the Resource Group has been in consultation for the period from 3 December 2018 to 1 March 2019. Over 100 responses were received from different hearing bodies. On 19 March 2019, the Resource Group delivered its final suspension after having reviewed the hearing replies. It maintained the previous recommendation to build a joint emergency hospital for Helgeland, located to the largest city – Mo i Rana. It's hers from one of the members of the group, who instead recommends localization in Lake Sandness. The recommendation from the external resource group is one of several elements that form part of the decision-making basis for the Chief Executive’s recommendation to the Management Board of the Helgelands Hospital. No decisions are made. There must be good processes in the future. The next milestone is the board meeting in the Helgelands Hospital in October/November. The matter shall then be dealt with on the Board of Health North and, where appropriate, on my table. No decision has yet been taken on the future hospital structure in Helgeland. Work to ensure a good and broad decision-making base forms part of a phase in which a societal analysis of the changed hospital structure is to be carried out in a long-term perspective. The government, of course, follows closely the discussions and is concerned that there will be a solution that is in the best interests of Helgeland.
ParlaMint-NO_2019-05-08.ana.ud164e1067	I notice that the Council of State believes that 17 meetings between an external resource group and two specific people in the lease should not have had any significance for the content of what they are working on. It does not buy me. We know that 20 trustees at the hospitals in Lake Mosjön and Sandnessjøen have provided a warning that they refer to very specific examples that trust leaders have been excluded from meeting and are not involved in decisions. They point out that this is a breach of the main agreement for the process now taking place in the future with the Helgelands Hospital 2025, which has seen the requirement to add to processes that make major changes to the enterprise. Trustees now require the process to be stopped until they are given real influence. My question is whether the Minister of Health will listen to those who have confidence and stop the process. Or is he satisfied with the way this process has gone?
ParlaMint-NO_2019-05-08.ana.ud164e1076	Firstly, the representative cannot give me opinions that I have not expressed. I referred to information from Health Nord. I did not express my assessments of this. Secondly, the alerts to which the representative refers are handled in line with the legislation of Health Nord. Thirdly, employees are represented on the board of the Helgelands Hospital with four employees. The board of directors of the Helgelands Hospital is now leading this process until the Governing Board meeting scheduled for the month-end of October/November. It is from where this process must now be managed, and then I have to decide on the conclusions and assess the quality of them at a later stage.
ParlaMint-NO_2019-05-08.ana.ud164e1085	My question goes to the Minister of Health and owes his assessments of this process. I do not ask for the health care provider's assessments, because I know them. Now we also know that the district manager of emergency medicine and surgery in Lake Sandness has alerts. He has even resigned his position in protest against a process that he cannot trust anymore. I thought it should worry the Minister of Health. The head of the division also tells us that he's been alerting internally for years without any consequence, and we know that the new groups that are going to figure out new themes are going to be responsible for being wrongly composed and led by people who have a self-interest or a special view of what the result is going to be. My question now is this: Is the outcome decided in advance? And I have to ask again, does the Minister of Health do well to ensure that hospital planning takes place that way? Is the process a cause for concern?
ParlaMint-NO_2019-05-08.ana.ud164e1094	The reason I reacted was that the representative said that ‘the Council of State is mine’ – and I have not stated that. I just referred to what Health Nord has informed us about, and I'm worried if the representative starts repeating that what I said in that area was my opinion – because that's not the case. My assessment of the process comes when a conclusion has been reached — whether the basis for the conclusion is good enough. We're not there yet. This means that it is not pre-defined in this case, because the boards of the Helgelands Hospital and Health Nord here conclude by recommending significant changes to the hospital structure in Helgeland, it will be a matter for the business meeting. I have no conclusion on this matter. So definitely no, there's no pre-conclusion here.
ParlaMint-NO_2019-05-08.ana.ud164e1104	«Specialist Health Service Act § 1 states that the population must have equivalent health services. In the process of planning the future hospital structure on the Helgeland coast, the external resource group has recommended a structure whereby the population of Brønnøysund will have four hours of travel to the hospital in the summer. This does not provide equivalent services in practice. Will the Council of State change the mandate of Health Nord RHF, so that a hospital structure with two full hospitals can be investigated on the Helgeland coast?’
ParlaMint-NO_2019-05-08.ana.ud164e1111	It is challenging to find the best possible hospital structure for Helgeland, which has a small population spread across a large area. Helgeland now has three emergency hospitals, but there is no emergency hospital in Brønnøysund. A central theme in all the options discussed is the building of a district medical centre in Brønnøysund, so that the population of Brønnøysund gets more close to specialised health services than they have today. The purpose of the work on the new hospital structure in Helgeland is to develop a safe and equivalent hospital provision for the population in the future, with good quality of service. The recommendation of the external resource group is only one of several elements which form part of the case base of the Executive Director when preparing a recommendation to the board of the Helgelands Hospital. The board has also asked for further assessment of a number of different issues that have been highlighted by the management seminars and investigations in winter and spring 2019. In addition, it has been decided to carry out a societal analysis of the changed hospital structure in a longer-term perspective, and this work provides a broad opportunity to influence and to ensure the best possible decision-making basis. Municipalities and county councils are invited to make recordings of themes that the social analysis should shed light on. Health Nord states that a collective trade union environment will have one hospital in Helgeland, but in the mandate from Health Nord, it is decided that a two-sick house model should also be investigated, in addition to the 0 option, which is a continuation of today's structure. For all options, the developed district medical centre has just been adopted in Brønnøysund, taking into account the distances of specialist health services currently available. There will be a good opportunity for further involvement of the community, employees, trustees and politicians in the further work on setting up a future hospital structure for Helgeland. There are no conclusions made, either by the board of the Helgelands Hospital, by the board of Health Nord or by me as a business meeting.
ParlaMint-NO_2019-05-08.ana.ud164e1124	The Council of State does not answer the question. Governments know very well that the Health Nord Board in September 2016 asked to investigate the following hospital structures on the weekend coast: One is the 0 option, which has been with all the time. The second is a major emergency hospital. The third is a large emergency hospital and one emergency hospital. None of the three options means that one should look at two full hospitals. A full hospital requires emergency medicine, emergency surgery, x-ray, laboratory, anaesthesia and maternity. I repeat the question: will the Council of State, as the Prime Minister has just spoken about in the oral question procedure, proceed with two full hospitals in the further work – thus changing the mandate that Health Nord has given to the hospital?
ParlaMint-NO_2019-05-08.ana.ud164e1131	Now the term ‘complete hospital’ is a term that may have to be the representative of Lundtigen. It's not an official term for a hospital. And the two-sickness model is something that also needs to be investigated, in addition to the 0 option, and then one of course has to relate to the different hospital models that are also described in the National Health and Hospital Plan, adopted by the Stortinget. This is why a two-sickness model will also be investigated, in addition to the 0 option and having one large, combined emergency hospital in Helgeland, combined with a more decentralised specialist health service than you have today, among others. in Brønnøysund.
ParlaMint-NO_2019-05-08.ana.ud164e1136	I agree that the terms here have gradually become complicated, but I have learned them. What is in the mandate is a major emergency hospital and an emergency hospital. Governments know very well that there is a difference between a large emergency hospital and an emergency hospital. What I'm talking about is a major emergency hospital and another major emergency hospital, which means emergency medicine, emergency surgery, x-ray, laboratory, anaesthesia and maternity. Will the Council of State investigate it? The alternative is that here will be, for example, birthing could receive four hours of maternity leave, which is longer than the previous report by the representative of Battle Violence Vedum. He said from Oslo to Otta. No, it's not from Oslo to Ottawa – it's from Oslo to Dombås, what can happen now if the Council of State does not intervene and give the mandate to have two major emergency hospitals investigated, along with the 0 option to be investigated under the law.
ParlaMint-NO_2019-05-08.ana.ud164e1141	Yes, ‘acute hospitals’ and ‘large emergency hospitals’ are concepts according to national health and hospital plans, and both types of hospitals are full hospitals. It is clearly not a population base in Helgeland for two major emergency hospitals, and therefore it is not in Helgeland today either. What is needed is the three options that are now being explored. In addition, all of these three options will involve a more decentralised specialist healthcare service, including: through a district medical centre in Brønnøysund.
ParlaMint-NO_2019-05-08.ana.ud164e1149	This question, from Kari Henriksen to the Minister for Labour and Social Affairs, is answered by the Minister for Health on behalf of the Minister for Labour and Social Affairs, who has been away.
ParlaMint-NO_2019-05-08.ana.ud164e1154	‘Bosnia, who were over 27 years old when they arrived in Norway in 1993, have pension rights other than other asylum seekers/refugees in Norway. They had a collective residence, not on an individual basis. As a result, they did not receive the same pension rights as other asylum seekers/refugees, which are currently affecting several Bosnians when they are retired. Will the Council of State address this injustice and consider measures to ensure that this applies to Bosnians receive a fair pension?’
ParlaMint-NO_2019-05-08.ana.ud164e1161	On behalf of the Minister of Labour and Social Affairs, I would like to reply that in the 1990s, Norway already chose to give Bosnians a group stay after a collective assessment because there were acts of war in their country of origin. However, the individual was then informed that the basis of residence had an impact on social security rights. Individuals were therefore also informed of the possibility of applying for an individual residence, which could give a more favourable status in terms of social security benefits. However, there is reason to recall that these specific provisions only guarantee the right to a full minimum level of pensions without a curtailment in the absence of a social security period. Those who came to Norway from Bosnia-Herzegovina have already been here long enough to meet the entry-level conditions of three years of social security, and they will have a significant self-earning of social security, which ensures that the minimum pension rate – 1/40th for each year they have been a member of the social security system. I would like to mention that Bosnian immigrants and their Norwegian-born children are described in a report from the SSB 2016 as the integration winners. They actively participate in the labour market regardless of sex, and the proportion of high-level education is actually slightly higher than that of the entire Norwegian population. This means that as a group they have been and are able to earn pension entitlements in addition to the minimum level of pension granted to persons with refugee status. If a person who has received collective protection has not earned the right to a full minimum pension because of a lack of social security, he is in the same legal position as other immigration groups and also Norwegian citizens who have stayed for a long time abroad. I would like to take the opportunity to mention that in the preparatory work on the introduction of specific provisions in the population's backlog in 1971, it was stated that refugees are not a homogeneous group. It was mentioned that some people would or could be granted social security rights in other countries as well. Those who have earned a pension in their home country may be paid in Norway under bilateral agreements. In any case, those who have not earned entitlement equivalent to benefits from the minimum pension level may receive supplementary benefits which ensure an overall benefit at the level of the minimum pension.
ParlaMint-NO_2019-05-08.ana.ud164e1174	I would like to thank you for your answer. In Agder there are many Bosnians. This is a relationship that has occupied many, and several have contacted Arbeiderpartit teams, both in Lvgal and in Kvinesdal. They have been involved in this issue, because it is perceived as unfair that it affects the older group of Bosnians in particular. As the Council of State says, this is a group that is largely well integrated, and has been major contributors to Norwegian society. However, I would like to ask the Council of State with its answer, as I experience it, confirm that the government will not take any initiative towards the Bosnian groups. Nasiha Haramba of the Bosnian Women's Association has taken this up in Utrop in 2019, and Refika Suvalic brought it up in Dagbladet last year. Will the government not take any initiative towards the Bosnian group to have a discussion about this?
ParlaMint-NO_2019-05-08.ana.ud164e1183	Now I can't answer if the responsible state council has had or plans to have meetings on this topic with the people involved, but the answer is, this was a matter that the individual was made aware of when one had the opportunity to receive collective protection. An individual assessment could also be chosen at that time, and it was informed that this could have an impact on social security rights. We have this special arrangement for those with refugee status. It's a system we've established. Adjusting e.g. the rights of that group will trigger discussion of others, which will experience it as unfair, for example: Norwegian nationals who have resided for a long time abroad, who will not receive the same rights.
ParlaMint-NO_2019-05-08.ana.ud164e1190	Thank you for that. It is true that information was provided that it was an individual assessment. Many Bosnians report back that in the information flood that came, many did not get this. My question, however, is whether the Council of State will communicate to the Council of State responsible for this, and ask that an initiative be taken towards the Bosnian association, so that these matters are discussed, and that there is information on this issue that they are allowed to take part in. It's true, as the Council of State says, that there may be other consequences, but I think it's important that the state and the government take an initiative to discuss it, so that it becomes a unified understanding of what is actually going on, how it can possibly be solved, and what costs or costs it has for other groups of society.
ParlaMint-NO_2019-05-08.ana.ud164e1197	I have had conversations with the responsible State Council on this issue in advance of the Questionnaire, and she is very aware of the issue. Even if I answer, that does not mean that the responsible State Council has not brought the question and the issue, but I cannot now, from the Stockholm Chair, answer on her behalf about the further follow-up of this.
ParlaMint-NO_2019-05-08.ana.ud164e1211	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2019-05-08.ana.ud164e1224	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2019-05-08.ana.ud164e1236	This question has been postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2019-05-08.ana.ud164e1250	This question has been withdrawn.
ParlaMint-NO_2019-05-08.ana.ud164e1264	This question has been withdrawn.
ParlaMint-NO_2019-05-08.ana.ud164e1278	This question has been withdrawn.
ParlaMint-NO_2019-05-08.ana.ud164e1286	This question, from the representative of Solfrid Lerbreck to the Minister of Research and Higher Education, will be raised by the representative of Eirik Faret Sakariassen.
ParlaMint-NO_2019-05-08.ana.ud164e1291	I allow myself to ask the following questions to the Minister of Research and Higher Education: ‘‘That the University of Stavanger shall be treated in the same way as the other universities in terms of funding. There is no room for discrimination on the part of the UiS.’ This said the current Minister of Research and Higher Education in Stavanger Aftenblad in 2013. Can the Council of States confirm that she will ensure that the UiS is treated in a non-discriminatory manner with the other universities in terms of funding, and what has been done?’
ParlaMint-NO_2019-05-08.ana.ud164e1300	The Ministry of Knowledge uses framework financing as one of the governance tools for universities and higher education institutions with State funding. The framework allocation consists of basic funds and performance-based disbursements and supports institutions' economies by enabling institutions to determine their own priority activities and areas within their profile. The basic funds are largely historically contingent and reflect priorities from governments and accumulation from the establishment of institutions back to 1811 until today. The baselines reflect factors such as: subject and study portfolio, construction and infrastructure and specific national efforts and tasks. The result-based exclusion is based on a common national funding system that is essentially the same for all institutions. For the sector as a whole, the basic funds constitute 67 pst. of the framework appropriations in 2019, while the results-based statement is 33 pst. The University of Stavanger has a basic appropriation of 69 pst. and thus is slightly higher than the average for the sector. Since 2013, when I was elected to Stortinget, there have been investments in new study places and recruitment positions in several budgetary agreements with the Left as a budgetary partner. In addition, the University of Stavanger’s good results have ensured that they have had the highest real growth among state universities and colleges. The real growth rate for UiS has been 30 pst., while the average in the sector has been 12 pst. during the same period. Much of the growth is due to the fact that in the period 2014–2019, UiS has received funding for increased annual admissions to 442 new study places and 117 recruitment positions. This was a deliberate priority in budgetary negotiations to correct some of the historically contingent bias on the basis. In addition, the university has had a nominal growth in performance-based counting in the financing system of 179 million. kr since 2013. It's 55,4 pst. versus 47.7 pst. in the sector as a whole. In 2019, UiS has a budget of 1.6 billion. kr. Since the introduction of the performance-based funding system in 2002, the sector has changed. The new universities and many of the higher education institutions have invested in a capacity increase in the production of credits to finance master's and doctoral programmes, which have produced good results in what is the result-based funding.
ParlaMint-NO_2019-05-08.ana.ud164e1311	I am absolutely sure that the Council of State and I are equally happy about the good results of our both local universities. But the core here is that the council has made some promises, and not even been alone about it. Bent Höie, Solvency Horne, Olaug V. Bollestad and Iselin Nybø promised in 2013 that they would ‘change the funding system for the university and higher education sectors so that the University of Stavanger will receive equivalent funding with the other universities’. So you've had the opportunity to do exactly what you promised. Then the simple question is, Why has it not been done?
ParlaMint-NO_2019-05-08.ana.ud164e1316	It is quite correct, as the representative says, that the University of Stavanger was one of the things I went to vote on when I was elected to the Stortinget in 2013. I spent a lot of the last big time fighting for what was my constituency university, and it's a job that I'm very proud to have done, and that's got a big impact on the University of Stavanger. As I referred to in the previous answer, the University of Stavanger has had a significant growth from 2013 until today. To compare with when SV had State Council in the Ministry of Knowledge: In the eight years, the University of Stavanger received 363 study places. So far, under the blue-green, it's been assigned 442 places of study. The red-greens gave 38 recruitment positions in eight years, while with the Left in the head along with the rest of the government parties they have given 117.
ParlaMint-NO_2019-05-08.ana.ud164e1323	The promise was very clear, and when these four parties joined together, there was a local expectation that one would fulfill it, especially when one had a majority. Because it costs as much to train a nurse in Stavanger as in Trondheim, it costs as much to train a lecturer in Kristiansand as in Bergen, and it costs as much to train someone in life sciences at North University as in Oslo. Nevertheless, the so-called old universities have a better funding than the so-called new ones. Is the Council satisfied with that?
ParlaMint-NO_2019-05-08.ana.ud164e1328	There's a difference in the funding that the different universities have, and as I said, it's because of the priorities that previous magnification and former governments have done since we started up with universities. We had a round in the previous magnification period where we agreed on a financing system. That system of financing is essentially constant in this period as well. What has been important to me, and which has been important to the University of Stavanger, is that the parties that are now behind the majority have shown a will and an ability to strengthen that university. And not just a little bit: there have been significant reinforcements by the University of Stavanger with these government parties, and I know that the University of Stavanger is aware of that, and that they have greatly appreciated it. Not least, the recruitment positions they have been given have been of great importance. And it's not just for the university it matters. It means something to our entire region, to our county and to our country, that we have a strong and good university in Stavanger.
ParlaMint-NO_2019-05-08.ana.ud164e1336	‘20. In February, the Council of State in the Questionnaire said: ‘To cooperate with the United Kingdom, we shall do — whether it becomes a hard breeze or an agreement.’ In March, the Council of State in the British Isles was to get more information on what measures we should consider further. Towards the end of Easter, the Norwegian Council of State warned Norwegian students against applying to the United Kingdom. Have there been and are negotiations on student exchanges in order to ensure conditions and scholarships between our two countries, similar to those we have under the Erasmus+ programme?’
