ParlaMint-HR_2020-11-12-0.u9691	It is now up to Mr Domagoj Hajdukovic, who will be the SDP's position. Here you go.
ParlaMint-HR_2020-11-12-0.u12561	Thank you very much. Now we're going to individual debates and the first one will be a respected representative of Mira Bulj. Here you go.
ParlaMint-HR_2020-11-12-0.u12562	I'm sorry the minister left, but it's you from the tax administration, isn't it? You're staying, you can also give answers to questions that I'm going to ask, mainly about charges from those who have a disproportionate property, but I'm going to end it. Here, I think that the economy in the Republic of Croatia is, like all my colleagues so far, that they have, that we have a burden, too many parafiscal burdens, the predecessor listed them, I'd just say that there are so many illogical paranoias that you can't believe. Five hundred, however, I'd rather mention here, so more than five hundred. But here you'd say first that the economy, 2/3 of the RH, simply doesn't exist, it's been killed, jobs have been killed. We have the potential to open jobs, we have potential in terms of, say, Gorski kotar, the wood industry that should be the most developed, we don't. Why don't we have it? Because with all import, export, import and export lobbys operating to export our balvanies for a small price, there is a further value being created in third countries, but I would say here and give a proposal, that, not the minister here, that he thinks, that the moratorium for 5 years on all taxes and giving in the area, undeveloped mountainous areas of entrepreneurs, and that in this way, new jobs are opening up in the Dalmatian Zagora, no one will come to you in the zone, very few entrepreneurs and therefore people are moving out, if we did not allow 2/3 of rural areas after the destruction of agriculture, regardless of what some say here, the government boasts that agriculture is progressing, in rural areas we have no more jobs because the entrepreneur has no interest to come into undeveloped areas. With the maximum dispensation of businessmen and workers in these areas we will revive the opening of new jobs and this is the only chance to bring our people back to undeveloped areas, to Dalmatia Zagora, to Lika, to Gorski Kotar, to Slavonia. Only. Because everything is centralized, everything in Zagreb, around Zagreb and a few cities. It's all about economic activity, and in our neighborhoods nothing or very little. Here, there are mayors from underdeveloped areas, Drnish, Imotski, we also have a mayor from these parts, so that we should simply relieve people who want to invest and invest in these areas to create new jobs. And we can do this very simply and nothing we lose with it, except demographically repair those areas, but it's a moratorium for a few years, whether it will be 5, 3, why because the entrepreneur is not worth going down from Zagreb. Its energy is more expensive, it is further away from the market, it has to pay for transport, so we would encourage people to invest and invest in these areas and remain a labour force and I believe that from abroad our people would return to their homelands because none of the hearts leave their home. And now I'd like to ask you a tax question. So disproportionate property, said the minister that somewhere around 50 years old is on average, about 500 thousand kunas, to be 600 thousand kunas to millions of kunas, so that's very little, we've even asked as a bridge for a larger number of years, unfortunately it's as an amendment to.../incomprehensible/... not accepted in previous changes. I think we're tribbing, because the people are angry at it, one part of the people of the Republic of Croatia is rich in an unknown way, no one known, some who didn't have five kunas in my pocket, in my son's 90s, are now rich people. If they got Lotto, I apologize to them from here. But I don't see how they became the owners of social objects at the largest, at the best locations and I ask you one more time and I ask you an answer, to tell me, what will be a much better solution? What's done, what you're doing with the tax administration, it's minimal, I think, we see that money is unevenly divided, we have a huge injustice towards our citizens. Here, thank you.
ParlaMint-HR_2020-11-12-0.u12563	Thank you very much. We have some replicas, the first respected representative of Ante Kujundzic, 0sprost is the first respected representative of Nikola Grmoi.
ParlaMint-HR_2020-11-12-0.u12564	Thank you. Dear fellow Bull, I have one replica regarding this taxation of disproportionate property. The only two MPs here in HS when it went into tax reform and when Minister Maric wanted to even reduce the rate to an disproportionate amount of property were colleagues Kristic and me who warned about it and asked for the rate to increase and not to reduce the years to explore the disproportionate property. Earlier, disproportionate research could be made since 2005, and the changes proposed by Minister Maric can only investigate disproportionateness for the past six years. That old man's golden age, Sanader can't be explored at all when counterpart Bacic is some correlation with bags and others, we can't investigate that. So we're asking to increase... /Speakers speak at the same time./...
ParlaMint-HR_2020-11-12-0.u12565	Thank you very much. The answer of the esteemed Representative Bulj.
ParlaMint-HR_2020-11-12-0.u12566	I know this is a reduced period of time for those who robbed Croatia to simply be to make it impossible even more, it was legal for the robbery at the time of these amendments to the law, and I know that we asked for it. I personally liked to come to the Law on the Origin of Assets, if possible to make it all together, can't one individual or 15 or 20 MPs, and that law would be highly enforceable through the Tax Administration. And as for the very money of the people who robbed the Republic of Croatia, I don't think the IRS did anything, that she guessed, kept quiet, that the money was of course that Sanader, you mean Sanader. Well, I wouldn't think of Sanader as much more guilty than Ivo Sanader, but... Evey Sanader and they were worshipping him. Thank you very much.
ParlaMint-HR_2020-11-12-0.u12567	We've got one breach from the Rules of Procedure, and the Honorable Representative Jelkovac has taken it up. What did the Rules of Procedure get hurt in?
ParlaMint-HR_2020-11-12-0.u12568	Thank you very much. The Honorable Chairman is injured. 238. The Rules of Procedure of his colleague, Grumoje, for insulting his fellow MPs with his unfounded insinuations. It is done again in this House, and I ask you to give a warning to the representative. Thank you.
ParlaMint-HR_2020-11-12-0.u12569	Thank you very much. I estimate that the Rules of Procedure have not been injured, but I agree with you that MPs should be very careful in making any claims about other MPs because there is a way if they think that someone broke the law to report who violated the law and did their civic duty. Therefore, it is not a place here that one advocates for anything accusing other MPs, be justified, be unwarranted, be completely fictional and false, it simply is not a place here. That's not why we're here, and that's not why the citizens sent us here. I suggest we stop these injuries to the Rules of Procedure, please. Okay, I'll give it to you now. ... No, I didn't, I wouldn't give you a warning either, but I'm asking you to let it be over with. [[The intruder doesn't understand.]] Okay? Here you go.
ParlaMint-HR_2020-11-12-0.u12570	So a colleague of mine broke the Rules of Procedure used the violation of the Rules of Procedure and I never mentioned any crime or accused anyone of crime at all. I said that my colleague Bacic was mentioned at the time in the correlation with certain bags and that's the fact. The media wrote about it means it was mentioned in the correlation with certain bags. If that's where you claim there's a crime, it's even more worrying.
ParlaMint-HR_2020-11-12-0.u12571	Thank you very much. The next violation of the Rules of Procedure was raised by the respected representative Bačić, I hope that we will end this one.
ParlaMint-HR_2020-11-12-0.u12572	Thank you, Vice President. He's been injured. 238 colleagues of Grumoja and colleagues of Bulj repeatedly insult me and disrespect me in the same way and you should react. He knows very well, and he's lying and it's also known that I've never carried any bags or Sanader or anyone else. The fact that I, as chief secretary of HDZ, made a statement about what happened at one point when I was not the party's chief secretary does not mean that I carried anything unlike him and Mosta who prescribed tariffs for their ministers that it would also be the minister of internal affairs and justice that certain parties would be charged with the services to raise criminal charges and then to the Mosta's fund for income.
ParlaMint-HR_2020-11-12-0.u12573	Thank you very much. Now let's end with these pseudo injuries of the Rules of Procedure and I ask that in the future, I will not give anyone a warning, but please stop that. We have another replica of the respected representative Ante Kujundzic again from a distance. Here you go.
ParlaMint-HR_2020-11-12-0.u12574	Thank you, Chairman. I hope you and your colleague Bull are friends again.
ParlaMint-HR_2020-11-12-0.u12575	We weren't enemies or we were friends ever.
ParlaMint-HR_2020-11-12-0.u12576	So, fellow Bulj, the whole story of some tax reform is actually best manifested or shows that, for example, Croatia is more expensive according to EUROSTAT data in Croatia, and the purchasing power of citizens compared to most other Member States is much worse, more specifically only Bulgaria is below us. The consumption per capita in Croatia is more than 20% lower than the EU average, and an even more devastating figure that Croatia has not moved from the dead spot over the past 11 years to only one percentage point, from 64% to 65% of the EU average GDP. I note in fact that again real Croatia is far from this paper. Thank you.
ParlaMint-HR_2020-11-12-0.u12577	Thank you very much. The answer of the esteemed Representative Bulj.
ParlaMint-HR_2020-11-12-0.u12578	First of all, I'd like to say hello... And the land of property. [[You don't understand.]] Well, yes, in Croatia, it's loaded with taxes and food. We have the most expensive food but not only do we have the most expensive, we have the most uncompetitive farmers because of the parafiscal loads, of course because of import lobbys, and that's the greatest burden. We have import lobbies that import harmful bad food into the Republic of Croatia, and they earn fat on it and there is much more expensive food in the Republic of Croatia, which is the same quality as in other European Union members. So we are on the tail of the EU's poor food markets due to the fact that Croatian villages are being disabled and legally destroyed through taxes and impose parafiscal on agriculture. Of course they play a big role here and not only these taxes, but also import lobbys and pests within the agriculture ministries that should protect the Croatian village and peasants and work opposite. That's why we have to take our taxes off the Croatian... Thank you. [[You don't understand.]] [[Thank you very much.]]
ParlaMint-HR_2020-11-12-0.u12579	The next individual debate will be a respected representative of Branko Bačić. Here you go.
ParlaMint-HR_2020-11-12-0.u12580	Thank you, Mr. Vice President. Dear Secretary of State, Mrs Peric has already spoken on behalf of the Croatian Democratic Community Representatives' Club about our position in this fifth round of tax reform. What I'm trying to say is that tax reform as this government implements in five circles is a single whole package of laws that should be seen beyond the very context of pay increases on the one hand and for reasons why tax reform itself does not determine the level of pay, but it is an employer's decision, and tax laws, above all, define how much of that part will be taxed on income to the Republic of Croatia or the state budget. The tax reform should already be seen in the context of the entire fiscal policy in the Republic of Croatia, and this government is implementing a good fiscal policy in the Republic of Croatia speaking budgets that have recorded a regular surplus of the state budget since 2016. Therefore, when a tax policy is defined then to a responsible government, especially a government that records a relatively high share of public debt in relation to GDP, the primary interest is that through tax reform, by defining tax revenues, the state has a balanced budget and that the expenditure party is covered by the revenue side. For what? Because the situation as its consequence then has a reduction in both absolute and relative public debt. The reduction of public debt then involves clear and orderly finances, the reduction of interest obligations and, consequently, clearly leads to an improvement in credit ratings. The improved credit rating resulting from the investment rating enables new investments on cheaper loans and loans, and all of this clearly encourages new business activities and leads to improvements and better charging of the state budget. And the better filling of the state budget, which is then the result of such a reform, also allows for greater social giving. We are in the mandate behind us to witness the improvement of all kinds of social giving and parental and maternity benefits and then to clearly and other givings that we are extended to include children's allowance etc. Furthermore, it makes it possible to increase pensions clearly. All together then leads to a clear increase in consumption. So when we talk about tax reform, then we cannot only bring it down to one category to which the tax reform applies, but should be seen in the system of the entire fiscal policy of the Republic of Croatia. And speaking of salary increases, we can also observe employers. The state is the largest employer in the Republic of Croatia, and in the past 4 years, all of its employees whose Croatian government, or the Republic of Croatia, is an employer, have been increased salaries by almost 14% by 20%, and also during 2021, according to the signed agreement with the Government, this will also apply to employees in education. Therefore, this does not mean that by making such changes in income tax that automatically reducing income tax results in an increase in salary. Where wages are contracted to the net amount does not mean that by cutting income taxes, there will be an increase in salary, but where the salary is contracted in gross amounts if the employer clearly respects his contract then there is an increase in salary. And what the Prime Minister pointed out this morning and what the minister said this morning is that, by analysing these four tax reform packages, it was found that the largest increase came in the positions of those employees who have the lowest salaries in relative terms. But it's almost the same ratio, and when we talk about the absolute amount, he was already saying this morning how much there's been an increase in salary, for example, for those salaries that are about 4 thousand kuna and those salaries that are about 10 thousand kuna, and we see that it's both in absolute and relative amount. the minimum wage went better through this proposal for tax reform. [[Intruder Reiner: Thank you.]]
ParlaMint-HR_2020-11-12-0.u12581	Thank you very much. We have a few replicas. Let's take it in a row. She's the first respected representative of Sandra Bencic.
ParlaMint-HR_2020-11-12-0.u12582	Your Honor, first of all, wages must always be negotiated in gross amounts, not in net amounts. So that's the rule of the Labour Act, so I hope they're all agreed that way. The second question, I'm sure you'll agree that on your salary, not necessarily an increase of 1,500 kuna, not to you, not to me, not to any of us. So I'm asking you when you're already advocating this reform from the aspect that it doesn't matter what we're going to pay for 1,500, and to someone just 15 kuna, are you ready to propose, adopt the proposal that we're going to go with, which is that we're going to cut the odds in a way that we're left with the same pay, and to increase the coefficients for those who in this, in this house, have the salaries of 3,500 kuna and barely make ends meet? Are you ready to say okay, we'll give up that part, cut the odds, but increase it and re-use it for those who really have salaries ma and below the media pay in the Republic? Thank you.
ParlaMint-HR_2020-11-12-0.u12583	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12584	I thank respected MPs, so I will support that kind of tax reform and that kind of tax reform of the amendments to the law that will allow the Republic of Croatia to keep all its citizens on track to raise wages. And as I was saying at the outset, I see tax reform in the context of the overall fiscal policy because a good fiscal policy that takes care of a balanced budget leads to a significant reduction in the interest paid by the Republic of Croatia. This tax reform allowed us, for example, to pay less than EUR 100 million at the expense of the Republic of Croatia's interest this year. And as for the salaries of government officials and officials to whom the Republic of Croatia, the Republic of Croatia, is an employer and to whom the Republic of Croatia pays salaries, we have established two categories of basics which, relating to employees' salaries in, in state bodies, whether they are officials or whether they are officials. So she's been paid a lot of times. Officers based on an increase in the base which was not the case with [[Intruder: Thank you]] State officials, I assume you're familiar with that. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-12-0.u12585	The next replica of the respected representative Marijana Puljak, please.
ParlaMint-HR_2020-11-12-0.u12586	... Here, do I hear from you now? [[Speaker not enabled]] [[Intruder: microphone, microphone]] Here's a thank you. Dear colleague, so I can agree with you, so with the tax burden downsizing, that's always what we welcome and, and we support. But my question is, when are you going to catch yourself more seriously with a reduction in the cost of the state? In fact, here is the effect of this reform on JLS will be 2 billion kuna and it is already announced that this will be resolved by the JLS' compensation measures directly from the state budget. Wouldn't it be wiser and smarter to say that we get rid of it in a way that we go into a more serious reform of local self-government that will also reduce the burden and this kind of public administration? Here, thank you.
ParlaMint-HR_2020-11-12-0.u12587	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12588	Thank you, ma'am. It's a pulac. As for the downsizing of JLS, if you're referring to the reform of local self-government, I'm opposed to a significant reduction in JLS. Because I think there are a number of JLSs, even the least they were the engine of development in that space. I can, and I've quoted professors many times. Akrap, our biggest demographic who said that the abolition of small municipalities in Croatia would be a demographic wasteland. Because where there's an organized local self-government, there's an executive power that, being held there by a local chief or mayor much more money in that JLS invested than that JLS was involved with some larger JLS. That's, I'm witnessing thousands of examples where the JLS have invested a lot, a lot more than that. which is their budget. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-12-0.u12589	The next replicas of the esteemed representative of Maria Jelkovac.
ParlaMint-HR_2020-11-12-0.u12590	Thank you very much. Dear colleague, I think it is very important to stress that it is necessary to look at the overall tax reform which, therefore, began in the previous term and pointed out that until now what has been done in this regard has led to tax relief, and that they are citizens with the lowest incomes already outside the tax shears. And what's still very important is that the whole system is being taken care of all the time, and that the JLS's too, in order not to get in trouble because of some reduced revenues, will be replaced by the Balance Funds, which we remember at the time of the SDP government was not the case, and some JLS have been brought before bankruptcy practically, which I think was really bad.
ParlaMint-HR_2020-11-12-0.u12591	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12592	Thank you, dear colleague Jelkovac. Of the 2 million and 700 thousand taxpayers, income tax in Croatia is the basis of these all circuits of tax reform 2/3 has been freed in general of the obligation to pay income tax. So as much as we reduce income tax, they can no longer apply to it because they simply don't, their employers don't pay income tax at all. But we forget that by cutting the profit tax, we left most of the employers with the funds that, in general, are good employers, these funds are then directed to all workers, count that the satisfied worker is the best worker on the one hand. On the other hand, it is possible for those who have the lowest wages that almost 1,000 kunas of non-taxable fees are directed to each of their own, each of their employees, and thus make up for what we are saying today is that there will be no uniform wage increase but that those who are paid by this reform will be even higher wages, and those who are paid less that they will not in this sense and so much increase He's paying. [[Intruder: Thank you]]
ParlaMint-HR_2020-11-12-0.u12593	The next replica of the respected representative Grozdana Peric.
ParlaMint-HR_2020-11-12-0.u12594	Thank you very much, esteemed colleague. Well, as part of these tax reforms, there's also a constant reduction in profit tax. When we know that there are countries in the environment that have 9 or 10% profit tax, then this reduction to 10% in us is quite significant when we look at the environment and the possibility of actually starting any job, in this way and employment, and we know that now over 93% of the taxpayers who, therefore, are in this 10% group, so we've practically opened up to others and we've encouraged and expected, and also by the revenue projections that have always been and were correct, that they're not actually reducing income from profit tax, but they're growing, despite the rate coming down.
ParlaMint-HR_2020-11-12-0.u12595	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12596	Thank you, dear colleague Peric. Yes, I agree with you. We here, today perhaps less talk about that by 4 years ago, all employers in Croatia were covered by a 20% profit tax, that this, for this 5 wave of tax reform, 95% of all employers were doubled in their profit tax rate. Therefore, at this point, 93% of the salaries according to this will now be paid only 10%, and I say, by 4 years ago, they paid twice as much tax on profits. But here, I'm going to use your question, to Mrs. Devereaux. Puljak replied, I forgot this earlier, and that the Law on Amendments and Supplements to the Law on the System of Local Self-Government, which is just, seems to me to be in my consultation, in public consultation, that almost double the number of local officials, for me by 620 seems to be reduced by the number of local officials, so Deputy Mayor, the mayor, etc., so that there will also be a significant reduction in the obligations of the units of local self-government. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-12-0.u12597	Thank you. The next replica is the respected MPs Katarina Peovic.
ParlaMint-HR_2020-11-12-0.u12598	Good afternoon. Here, I'm curious, so on what basis is repeated several times, which is why this optimism arises that by reducing the profit tax, and we have one of the lowest profit tax rates in Europe, we're going to stimulate economic growth. We don't have any evidence of such a claim at all. On the other hand, we have one of the highest VAT rates in Europe, and to actually bring down the rates for the poorest and by raising the non-taxable share of income, we do exactly what we need, which is to enable people, to increase consumption, that is, that is, the group of people who would spend most of their salary. On the other hand, you're denied the CNB report that says that mostly they're above the 30 grand, they're the richest, accumulated savings, they're not reinvested, as indicated here somewhere [[Intruder: Thank you.]] It's gonna happen. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-12-0.u12599	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12600	Thank you, Vice President, dear colleague Peovic. Yes, Croatia, you are right, there is, I think, the lowest, direct tax in Europe. And when it comes to income tax and profit tax. When it comes to special taxes, indirect like VAT, that's where we have the highest rate. Yes, it could be offset in a way that even eliminates a certain tax, and that reduces VAT rates to 21% and that is, out of opportunity, but this requires a much more systematic approach in terms of defining tax policy according to direct taxes, according to profit tax and income tax. Therefore, I believe that this way that the government is now working in a way that reduces the direct taxes that in some ways lead to pay increases, leads to increased consumption, and the increase in consumption, increases state resources in the budget, and in this way we can intervene according to all the social categories that we talked about earlier.
ParlaMint-HR_2020-11-12-0.u12601	Thank you. And the last replica is the esteemed representative of Nikola Grumoya.
ParlaMint-HR_2020-11-12-0.u12602	One simple question, Mr. Bačić. Can you answer me, are you afraid that, here, the Bridge is going to make a suggestion that a disproportionate amount of property can be explored for a period of time, so let's put it in 2000, will you support such a proposal, or will we stay only for these last six years where every year one year we can explore we lose? Will you support the proposal to put it in, for example? Since 2000 to investigate the disproportionateness of property?
ParlaMint-HR_2020-11-12-0.u12603	Dear Representative Bačić.
ParlaMint-HR_2020-11-12-0.u12604	Thank you, Mr. Grmo. I don't have any problem with that, since you're already asking me questions. As far as I'm concerned, my property has been questionable since I was born, so you're asking me. The question may be for you, for maybe you or for some of your friends at the Bridge. For all that is in line with, with all the laws that define both property and which define criminal proceedings, I am to enforce the laws in a way that as much as possible with these items as possible in history, according to each of us who is here in HS and in the Republic of Croatia. As for me personally, when a law is harmonised and concerns the issue of origin of property with all the positive legislation in Croatia, I am in favour of the government proposing that deadline that is most deeply intruding in history and as much as possible within the scope of as many years as possible.
ParlaMint-HR_2020-11-12-0.u12605	Thank you very much. The next individual debate will be a respected representative of Domagoj Hajdukovic. Here's your buddy, Grmo.
ParlaMint-HR_2020-11-12-0.u12606	I'm looking for a break on behalf of the Most Club to consult on these facts presented by my colleague Bacic now in response to my question. I would also like Minister Maric to return here to the assembly, this is a new moment, as the HDZ government has just gone to a reduction in the scope of years when a disproportionate amount of property can be explored for only the past six years. HDZ Representatives' Club President Branko Bacic has given support to go as far as possible in history as possible. It encourages me, and in fact, I understand it as one message that the HDZ Representatives' Club will support our proposal that the lack of proportion of property can be explored until 2000, if it is necessary to go further into the past and here, we will give such an amendment to the second reading of this tax reform, and given the statements of one of the key people of HDZ, the 3rd man of HDZ, we could say in general and 3rd man in the country after the Prime Minister of Plenkovic and Croatian Parliament President Gordan Jandrokovic this is a good message to all Croatian citizens that anyone who has used in any way who cannot prove the origin of his property and where there is a certain disproportionate impact on the Tax Administration and our institutions. I'm looking for a break on behalf of the MOST Club.
ParlaMint-HR_2020-11-12-0.u12607	I'll let you have the apartment, of course. Honorable MP Bacic has raised a breach of the Rules of Procedure. What's hurt?
ParlaMint-HR_2020-11-12-0.u12608	Thank you, Mr. Vice President. Article 238 has been injured. The Rules of Procedure of the Croatian Parliament because Mr. Grmoya did not exactly convey what he asked me in his replica. I said I personally don't have any problem with which year it's even going to be possible to question the origin of the property, that's my personal attitude. But then I added that such a law must be in accordance with other laws, first of all it seems to me to me to be the Law on Criminal Procedure and other laws that mean in a certain sense and antiquity. Is it five years, fifty years is all the same to me, but it is in our interest, in Croatia, to examine everyone's property.
ParlaMint-HR_2020-11-12-0.u12609	Thank you very much. It's not a breach of the Rules of Procedure. For the second time, I'm asking all my colleagues and colleagues not to abuse the institution's breach of the Rules of Procedure instead of the replicas. I'm going from now on because, first of all, I prayed nicely, obviously it doesn't work to start giving warnings, and then notices with taking words, so if you need to get away from the session. I see when we try to stick to the Rules of Procedure and jurisdiction and order, it doesn't work. Comrade Grmoy, what is the injured Rules of Procedure, please tell me?
ParlaMint-HR_2020-11-12-0.u12610	Mr. Vice President, you yourself admitted that my colleague Bacic hurt the Rules of Procedure and you did not punish him.
ParlaMint-HR_2020-11-12-0.u12611	.../Intruder Reiner: I have not punished you before, and you have also injured the Rules of Procedure./...
ParlaMint-HR_2020-11-12-0.u12612	You had no reason to punish me. So you had no reason.
ParlaMint-HR_2020-11-12-0.u12613	Of course, you never have any reason and you can insult anyone, and no one can....
ParlaMint-HR_2020-11-12-0.u12614	I'd just like to say that Mr. Bacic is a deeply doubled person. He has his own personal attitude and has something called a collective stance that prevails in HDZ. So personal attitudes are obviously not important.
ParlaMint-HR_2020-11-12-0.u12615	Okay, you've exhausted your time. I won't give you a warning this time. Next time to everyone, I don't care what party, why, how. I will warn anyone who abuses the breach of the Rules of Procedure, and then they will follow the other punishments in a row. Of course, now we'll take a break as requested. I'll see you at 14.58. Party at 14.53 p.m. [[CONTINUATION AFTER MEETING IN 14.57 HOURS]] Here you go.
ParlaMint-HR_2020-11-12-0.u12617	Thank you, Mr. Vice President. The respected representative of the ministry, colleagues and colleagues, and here in this and last term, however, was the first in the past several tax reforms proposed by the HDZ government. I could describe them through two cartoons or two pictures any way you want. The first is one day, and you take the other, and that's the most common tax reform. So it's not a tax charge, it's simply a redundancy of the tax press from one group or citizens or entrepreneurs to another and vice versa, or we would say to the people, "Smuggling from hollow to empty," and the other is super high reform, we take those who have little to give to the rich or give to everyone the same, but I give to everyone by their incomes or property to those who have a lot more, those who have less give. As far as it is, such a linear approach honestly I think the speakers spoke before me because unfortunately in Croatia we have an inequality very large, and especially when we talk about revenues, about wages about economic inequality then it is huge. Now HDZ's government is heading in the same direction again. Despite the difficult health, economic and social crisis in which we are in and where we are not seeing the end, at least not yet we have some encouraging announcements, but it is still on a very long stick with the intention of reducing the rate of taxation from 36% to 30% and rates from 24% to 20%, so it will minimally increase the salaries of people with lower salaries if it even increases them as if I am not mistaken and my colleague Bačić spoke, who today receives a large majority of employees in Croatia and will lead to a significant growth in high wages, which today receives a significantly smaller number of better-standing citizens. If we look at the average salary in Croatia it is not so bad, but if you consider that the large majority of employees receive minimum wage, and that only a few with a nat average high wage increases that percentage then the situation is actually very different. What would it mean to be translated into numbers and letters, or what will our citizens receive? If we take and assume that despite this reform, despite all the wages will grow, then the net salary now amounting to 4.294 kuna and 40 limes will grow by 17 kuna and 60 limes. You'll agree to a very large increase that's not even enough to comply with inflation. Let's take a close double salary means the same net of 8,710 kuna and 40 limes it will grow by 281 kuna. So you see here immediately the disproportionate we're talking about, so of 4,300 is much more common than the 8,700, but let's take a double salary of this 8,700, so the net salary of 16.953 kuna and 60 limes will grow by 774 kuna and 40 limes. So that's where you see the parallel that I'm trying to pull that those who have get more, and they don't get less. A much fairer approach would be to make it possible for those who have less than what the people say to the already fat geese to rub their necks. Thank you.
ParlaMint-HR_2020-11-12-0.u12618	I did. We have one replica, two pardons. He is the first respected representative of Goran Ivanovic. Here you go.
ParlaMint-HR_2020-11-12-0.u12619	Thank you very much, Mr. Vice President. Dear Domagoj, I think in these things when it comes to tax reform, employers and the state must be partners there absolutely no, there is no dispute. We heard from Minister Maric's statement that according to this latest reform that will soon be brought by the employer, he can pay 13,000 kuna untaxable means he will not pay a dime, a cut, a contribution to any of his workers. Can you tell me how many employers will be willing to pay that, that means 1,000 kunas practically monthly and whether the government can in any way influence that we have employers to go to hand and we have to do it for the sake of a complete economic picture gives a minimum wage. Why is that, why does it happen when the government does everything to make the economy better.
ParlaMint-HR_2020-11-12-0.u12620	Thank you very much. The answer of the respected representative Hajdukovic.
ParlaMint-HR_2020-11-12-0.u12621	Well, I agree with you that the government can't do much, so the more the majority of the salaries are agreed in the net amount, if it's agreed in the net amount then the reform just means that the employer will pay less, if it's agreed in the gross, then it's something else. However, the government can do something else, we have talked about it many times, the government can relieve entrepreneurs, it can improve business conditions or business atmosphere, it can stimulate investment, it can do a lot with a smart tax policy, let's say, for the development of our end of Croatia where we both come from. I have repeatedly suggested so-called. tax oasis or reliefs for certain industries related to geographical parts of Croatia. Why say in eastern Croatia where we already have a successful IT industry would not, through tax discharges, stimulate them to work there more, hire more and thus bring life back to our region.
ParlaMint-HR_2020-11-12-0.u12622	The next replica is the respected representative Zeljko Pavić. Here you go.
ParlaMint-HR_2020-11-12-0.u12623	In fact, you've already responded partly to what I was about to say. In fact, it's about us having to sort of agree to the employer that part of the money he saves through taxes or through some other burdens that the state didn't take to actually give to the workers. Now the state has allowed a part of the money to be paid untaxable, believe me, a large number of employers will use it but for their own benefit, not for the benefit of the workers and it is not good and it needs to be prevented. That's why we need to find mechanisms to prevent it and help workers who are really at risk. Thank you.
ParlaMint-HR_2020-11-12-0.u12624	Dear Representative Hajdukovic.
ParlaMint-HR_2020-11-12-0.u12625	My colleague Pavić absolutely agrees. In fact, we were also witnessing when both this government and the government passed and a lot of governments reduced taxes, reducing some taxes. Let's just say it was on children's equipment to cut child food taxes and so on, but that didn't result in a price reduction but only the markets raised margins, so this is what this is all about. This disbursement that the employer pays for the same amount so I'm talking about gross should bring more likely not in the net because I say our salaries are usually agreed on in net amounts, rather than in gross. So we actually relieve the employer of what is good on the one hand, but on the other hand, employers should bear in mind that a satisfied worker is a good worker and that as much money as possible should be directed towards the worker because in this way it increases his productivity, satisfaction and ultimately the quality of life, consumption from which they can indirectly benefit. Thank you.
ParlaMint-HR_2020-11-12-0.u12626	Thank you. We have one violation of the Rules of Procedure, a respected representative of Mandaric. What's hurt?
ParlaMint-HR_2020-11-12-0.u12627	Thank you, Mr. Vice President. Col. Hajdukovic hurt his Rules of Procedure when he says that most of the employees in the Republic of Croatia are on a minimum wage, which would mean that the most people on the Minimal are not standing. Thank you.
ParlaMint-HR_2020-11-12-0.u12628	This is not, of course, a violation of the Rules of Procedure, nor did you refer to the article, so I give you a warning. The next individual debate will be respected representatives Ivana Posavec Krivec. Here you go.
