ParlaMint-HR_2020-11-05-0.u9682	Mrs Barbara Antolic Vupora will be the position of the SDP Representatives' Club.
ParlaMint-HR_2020-11-05-0.u11052	Thank you very much. Mrs. Devereaux. Vesna Nadj will begin with individual discussions and will have his own personal discussion. Here you go.
ParlaMint-HR_2020-11-05-0.u11053	Dear Vice-President HS, Honored Ministers, colleagues and fellow MPs and representatives of HS. Before us is the rebalancing of the State budget of the Republic of Croatia for 2020. on page 741. This is the rebalance of the budget on the situation of the pandemic Covid-19, and in the City of Zagreb also on the conditions after a devastating earthquake when they are at the door of the winter period, and the reconstruction of the house is in the phase of the first programme of measures to rebuild buildings damaged by the earthquake. In a situation where the government expects a deficit in the state budget of €24.8 billion or 6.7% of GDP, while the general government's deficit of €29.5 billion or 8% of GDP is expected to be 87.3% of GDP rightly expected by the Government of the Republic of Croatia to show a vision in solving the problem, strategic thinking and determination to reduce all unnecessary expenditures and all budgetary resources aimed at projects aimed at preserving the health of citizens, their social security, and at the function of developing the economy in order to get out of the crisis as quickly as possible. However, none of these 741 pages show any of them. Only a bureaucratic reduction or increase in individual positions is seen. Why is that? Because structural reforms are missing, because a populist policy is being conducted for the benefit of certain groups in society, which are expected to be re-supported in the elections first in the local one, which will be held in May next year, as well as in the next parliamentary ones. And that is why Minister Maric, who has established restrictions on individual resolutions and has asked that expenditure cuts could not have been made better budget rebalances because this is an administrative professional rebalancing that will not change the structure of income and expenditure and have strategic definitions. If it had decided to implement a real reform of the local administration, then Minister Malenica would have had his hands cut off to reduce the number of current 428 municipalities, 128 cities and 20 counties, not only to abolish deputy mayors, mayors and mayors. No one doubts that these officials are going to get caught up in some frontal and second high-paying, well-paid places. The need for judicial reform is also constantly being discussed, and the situation in the judiciary seems to be getting worse and worse, court proceedings take years, sometimes decades, land books are not in line with the land disaster and the real property situation, which makes investment impossible. If there were no EU funds we expect to withdraw funds from, there would be no chance of getting out of this crisis after the pandemic. But at the same time, they are not the funds that will self-inflicted into the budget from the European Funds. Someone has to design EU projects and these projects must be, they must be, they must be controlled in design and implementation. And we wonder if this budget rebalance shows that administrative capacity is being strengthened to withdraw funds from the EU funds? At the position of the Ministry of Regional Development and EU Funds, the position of staff expenditure is reduced by 6 million 750 thousand kuna. Thus, only at the position of the Operational Programme of Competitiveness and Cohesion from 2014 to 2020 is the position of expenditure for employees reduced by a million and 122 thousand and 600 kuna. When it is known that our administrative capacities by the ministries are insufficient to withdraw funds from EU funds and that we have an outflow of experts to design and implement projects in the private sector from public administration due to lower salaries in public administration, how will we keep experts in public administration and on EU projects? Then we'll pay those same experts through public procurement through private consulting firms really irrationally. Finally, is it not time for the burden of this crisis to be borne by those who are above average income, but still do not pay their tax obligations? How can it happen that Nadan Vidosevic still owes more than 13 million kuna, while a certain Mirko Orapić has as much as 46 million tax debts? Don't you think there's an early alarm in the IRS somewhere that doesn't allow tax debt to grow that way? I doubt they'd let a cheese and cream salesman in Dolco grow that much tax debt. As important as it is to spend the budgets rationally, it is so important to collect them and not only from European funds, but also from citizens who obviously did not touch the crisis because they took from the state and did not pay their tax obligations. It's time for a change, and if this direction continues, we're not getting it right. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11054	Thank you too, Mrs. Nadj. Mrs. Mirela Ahmetovic will have her debate now. Here you go.
ParlaMint-HR_2020-11-05-0.u11055	Thank you very much, Vice President. Dear Minister, gentlemen of the Ministry. The budget rebalance shows a 25 billion kuna budget gap and it is now seen that the government has done nothing in the previous four years. It is evident that all their praises about the surplus budget are actually an empty story or that this surplus was created not because our economy was booming, but because all the projects that were planned were not successful, so the expenditure remained at a lower level. But therefore, very successfully from Croatian citizens collected all the commitments they could collect, and this is a surplus that the government boasted about and let's stop lying. It didn't come down to 25 billion because of the crown. Like three months ago, he was gone, and before the crown, billions of debts were in health care. The SDP managed to partially resuscitate the debt by 2015, but then the bat takes over HDZ's government and the debt returns to the same level again, and new debts arise in parallel. Doctors who depend on the lives of people are not paid for their work but are paid management contracts in public enterprises. Did you predict the final payment of overtime to the doctors? You're not. You've increased your deficit in local self-government units. We can talk about the crown crisis. It'd be easier. However, local self-government units did not have income from income tax at expected levels. In particular, in my unit of local self-government in the Omistry, total revenues fell about 10% of the budget. At the same time, the fall did not follow the reform of local self-government. She was followed by an increase in tasks for local self-government. And not only that, they are accompanied by the racketeering of the Ministry of Justice and the State Geodetic Administration, which is valued by the suspension of the restoration of land books if local self-government does not pay extras to their employees. Citizens pay for something they already paid for, so how many times do these same citizens have to pay for the same thing? What are the debts of public companies in Croatia Airlines, Croatian Railways, Plinacro? You've reduced the economic downturn from 9.10 to 8%, and that's only because the tourist season was better than you expected. Are you telling me it's your fault? It'll be because of the famous cro-cards. Remind us how much money you threw at that comedy. What did you do for occasional carriers? Nothing. Slovenia has provided its own grants for the financing of machinery and equipment. What have we done? Turn your head. Done. In the wake of the biggest economic crisis, you've let the citizens go, even those who owe for the profession. While there were 100 infected were supposed to go to elections, so you've put the populists off, and today, when 2,000 of them are infected, you're sitting on top of them. Yes, debts must be paid absolutely but you do not pay them and threaten the delivery of medicines to patients. But you've increased the cost of developing the energy system. I call on you to call this item in the budget the development of the Hungarian energy system. So you pay 17 million kuna to the INA financial adviser Mol Hungary, i.e. the item is increased by 2.5 million kuna or 17% to advise you to teach Croatian oil to the Hungarians to help work with their refineries and to shut down our refineries. Bravo. Thank you for the financial advice the citizens paid out of 17 million kuna. So there's no confusion, we pay for special representation and counselling for the INA or Mol another $11.5 million, but that's okay. And finally, it'll all work out. Citizens need not worry about the 25 billion deficit, not the public debt of 330 billion, nor the breakdown of the health system, nor the performance, nor the closure of Croatian refineries, nor the 20,000 jobs of occasional carriers. Everything will be settled with money from European funds. No colleagues and colleagues. Let's stop underestimating the intelligence of Croatian citizens. We don't have European funds in our bags, we don't even have it in the register at Minister Maric's. In order to withdraw these funds at all, we need to bring in a national development strategy, we need to bring in a recovery plan, we need to prepare EU projects, these projects have to be approved, they have to be investment or reform, and if there are abuses, we will pay for the penals as well. Finally, by respecting health and economic circumstances, a serious budget rebalancing should be provided under 1. to provide additional funds and raise salaries or at least to pay overtime to doctors and medical staff. Ensuring additional funding for social assistance to a population not covered by regular social programmes, which you have reduced, and among them will be those from the contigence of those implemented. Ensure funds for the engagement of all who have experience and knowledge of the withdrawal of EU funds because the existing state apparatus is not capable of doing so. The deadline is short, especially for so-called. The crown fund. And finally increase the level of non-taxable income from 4 to 5,000, to 5,000 to boost personal consumption as the biggest generator of Croatian GDP. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11056	Thank you, too. Mrs. Katica Glamuzina, go ahead.
ParlaMint-HR_2020-11-05-0.u11057	A colleague of Ahmetovic.
ParlaMint-HR_2020-11-05-0.u11058	I'm sorry, I didn't see. I didn't see it. Here you go. Here's a replica. I didn't see it. There you go.
ParlaMint-HR_2020-11-05-0.u11059	You'll get used to it. Everything's fine. My colleague Ahmetovic, at the very beginning, is replicating. You said the government was successful from the citizens. You made a bit of a mistake because there are large amounts of taxpayers' debts that happened to have gone out of date after six years. with Mr Vidosevic, 13 million kuna with former HDZ representative Lucic and his wife, over one million kuna, has not been successfully collected.
ParlaMint-HR_2020-11-05-0.u11060	Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11061	There have been successful gatherings through legislation and imposed on Croatian citizens at the time of this government, but what would certainly contribute to strengthening our budget and our economy is a final calculation of corruption, and I trust in large and pompous announcements to amend the Law on Local and Regional Self-Government, where it intends to introduce so-called. transparency of spending public money. Well, I guess the guarantee of that transparency will be Mr. Dario Hrebak, I expect that transparency which has been successfully introduced in both Bjelovar and Omislj. I hope it's not gonna be modeled at the Treasury because it's definitely not transparency.
ParlaMint-HR_2020-11-05-0.u11062	There's more replicas? There is. Yeah, I haven't seen Mrs. Grozdana Peric. Here you go.
ParlaMint-HR_2020-11-05-0.u11063	My colleagues, you mentioned the payment of overtime, and you forgot exactly in health that your government has suspended the payment of overtime of doctors and nurses and that these lawsuits have arrived for payment of this government.
ParlaMint-HR_2020-11-05-0.u11064	Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11065	I haven't forgotten Mrs. Peric, but I haven't forgotten the debts left by your HDZ government under your Ćaæ's patronage, so the SDP government had to first resuscitate everything possible and impossible that Ćaća left to the SDP government in order to then reduce the debt in health until 2015. But here comes the HDZ and then all these debts accumulated again and now he's acting crazy like doctors aren't doing their job, they're not being paid overtime, even Minister Beros calls doctors personal medicine, etc., etc., etc. So, no, I haven't forgotten anything, and I'm going to remind you of that every chance I get.
ParlaMint-HR_2020-11-05-0.u11066	And finally Mr. Zeljko Pavić.
ParlaMint-HR_2020-11-05-0.u11067	Your Honor, you're also the Chief of the Omiscillation, I'd like to ask you one piece of information if you happen to know. In fact, you know for a fact that no national strategy has been adopted, no strategies have been adopted for neither the county nor the municipalities, we know that without these strategies there are no programmes, no projects and no withdrawals of money from the eu funds. Can you please tell me, given that you're the Commissioner, whether you know it or if something seems to have taken some time to bring in all these strategies and to move into withdrawing money? Thank you.
ParlaMint-HR_2020-11-05-0.u11068	Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11069	My strategy for the development of my municipality was adopted within the time limit prescribed by law and it covers four years of periods, and as far as I can see, the National Strategy for the Development of the Republic of Croatia crosses and legal deadlines, namely it was already due in the 3rd month. I hope it's over by the end of this year at the last minute. But let us not be surprised later why we are not withdrawing EU funds if it is not such as colleagues from HDZ and colleagues from the ministries justified the delay in withdrawing funds by means of a godless European procedure. No, we are slow and we are inefficient in the withdrawal of European funds and therefore our citizens have no more quality life than they can have.
ParlaMint-HR_2020-11-05-0.u11070	Thank you very much. You don't have any more replicas if I get it right. Thank you. Mrs. Mariana Petir will now speak. Here you go.
ParlaMint-HR_2020-11-05-0.u11071	Thank you, Mr. Vice President. Mr. Minister with his associates. My colleagues and colleagues. The rebalancing at this point leads to a budget deficit of 8% of GDP or almost 30 billion kuna, including 8 billion kuna paid and what will be paid to help the economy. 2.5 billion kuna refers to tax write-offs, but an even greater amount generates a decline in economic activity reflected in the decline in income. Unlike the measures to help the economy put into operation in March, which were primarily financed from domestic sources and savings at the level of existing budgets, the current aid measures should be financed primarily from European funds. For next year, the Recovery Plan includes a document that will include reforms and investments, and should be revived by the end of next year while advances from European funds can also be used at the same time. The biggest focus of this rebalancing is on the economy and the preservation of jobs and on the health care system. Although we have in some ways lost everyone because of covid and recession, we can still say that the budget is fully put into the service of preserving health, human life and jobs in the economy and the state administration. In all of this, even farmers who produce food for us and are real guardians of Croatian rural space are not forgotten. The budget rebalancing planned to increase €270 million for the Ministry of Agriculture, and most of that increase concerns the national share in co-financing of measures under the Rural Development Programme of the Republic of Croatia and 81 million kuna. The rebalancing provides additional funding for other small-value state support, and will provide funding for the closure of the three-year programme of the Government of the Republic of Croatia to support the livestock sector as well as a full payment of aid to small farmers to deal with the consequences of the covid-19 crisis. With a positive assessment and proposed increase in funding on the items promotion of agriculture and rural development, the School Honey Day scheme and the project "Slavonia, Baranja and Srijem". Part of the project planned has been reduced because some projects have been implemented or are already in the final phase. The national wine envelope was used at 95%, and part of the promotional measures this year due to the current Covid crisis situation was planned in the following year, resulting in a reduction of funds. The reduction of resources in the fisheries operational programme is the result of a series of audits and controls which have affected slower spending than planned. In addition to the above, this operational programme has been last accredited, and the assessment by the Ministry of Agriculture that all planned activities will be completed in early 2021 with a debt write-off position, according to my information, the Ministry of Agriculture is obliged to return to the EU the 11 million kuna budget for errors made in the management and control system from 2012-2015. Given that we will have 4.5 billion euros for agriculture and rural development in the next EU budget period, we need to ensure a more efficient and fair distribution of these funds in order to obtain added value from those investments. A part of the problem in agriculture can be solved without much money. In addition to a better organisation, a stronger association of manufacturers, the integration of primary production and processing, stronger food supply chain controls, in order to combat fraud and unfair commercial practices, inspection controls on what comes from imports, are placed on the market. We know that agriculture is extremely important for the supply of food, and no one is doubting that we need to make every effort to achieve self-sufficiency in food production as much as possible. In this way we protect the interests of the state, our interests as a consumer, as well as the interests of farmers because we allow them to make a decent profit, to live honestly and to educate their children. Thank you very much.
ParlaMint-HR_2020-11-05-0.u11072	Thank you, too. - Mrs. Crescent. Barbara Antoliæ Vupra will now. And it's got replicas. Excuse me. Yes, Mr. Brumnic, please.
ParlaMint-HR_2020-11-05-0.u11073	... /Intruder: microphone, microphone./ [[Specially enabled.]] Comrade Petir, I am very interested in where you found information on helping the Croatian economy from domestic sources during the crown crisis when the funds given to help pay for jobs are less than the assistance we received from the EU to prevent the crown of the crisis. [[The speaker doesn't understand.]] So, I'd like to ask you an answer to that. By the way, I see you've been doing a lot of farming, and I'm glad to see you're taking care of the farmers. I don't remember this government doing any action, or paying for one aid at the beginning when blocked markets were blocked, but leaving those farmers, convicted, would even say to the mercy of a market that didn't exist. Here, thank you very much.
ParlaMint-HR_2020-11-05-0.u11074	Thank you. Here's your answer.
ParlaMint-HR_2020-11-05-0.u11075	Thank you, pal, for your rep. So far, it has been paid to help economies over 8 billion kuna with this package of tax laws, which are now addressed in accordance with the parliamentary procedure and additional discharges and reliefs, this aid will climb to more than 10 billion kunas. When it comes to agriculture, yes, I have been worrying for years about agriculture and farmers and I am trying to interest others in this subject because I find it extremely important to support our farmers. The government, as in other segments, has introduced in the agricultural segment the intervention Covid measures to which farmers were most damaged. As far as they have information, these payments are under way.
ParlaMint-HR_2020-11-05-0.u11076	Thank you. There are no other replicas. - Mrs. Crescent. Now, here you go. She's gone. He's losing his right. Mr. Branko Bacic. Here you go.
ParlaMint-HR_2020-11-05-0.u11077	I would like to thank Mr. Vice President, the esteemed Vice President, the esteemed colleagues and colleagues. I was going to say a little bit more about the rebalancing of the budget itself, which I'm going to talk about clearly, but I'm just going to say a little bit, and I'm going to encourage it with this lively debate of Mrs. Ahmetovic, remember exactly the budget rebalance, the budget and the work of the SDP government she had previously praised. As I was also a parliamentary representative at the time, so I remember, I remember you are a very successful government that was rated as the 5th worst government in the world in the company of Mauritania, Chad, Angola and in this pleasant society, the government lost the elections in 2015, which was clearly expected. Speaking of which, Ahmetovic Health and Health Rehabilitation by the then Government, I would remind you that in 2012 when it was made after the elections, when the state budget was made in March, it seems to me that in 2012, then the SDP government reduced indeed the contribution to health insurance by 2%, while at the same time increasing the VAT rate from 23% to 25%. And it was like dispensing entrepreneurs who wouldn't have to pay so high, according to their position to contribute to health insurance, but very quickly, it seems to me even on the rebalancing that year, or already on the next budget they kept an orderly VAT rate of 25%, but immediately they returned the same rate they had reduced to 13 to 15%, rehabilitated health insurance, rescheduled the costs and debts in health care, which were again raised to about 5 billion kuna by the end of the term. So the lady was not at the assembly at the time dealing with local politics now deals with national policy, but I think it's worth reminding her how things were then. In the end, if it were so successful, we would not have lost twice in the order of the parliamentary elections in 2015 and 2016 when they were already, not to say what was the situation in the agricultural sector and with the Minister of Agriculture then, that they were practically ahead of the loss of funds from the entire financial envelope due to the unemployment and miswork of governments, I would not have given a more difficult assessment. Yeah, let me get back to the budget rebalancing for a while. So, to state that this minus this deficit of the state budget has nothing to do with the crown should really live in another world, in another world, in another galaxy, and not in this world and in the Republic of Croatia when we know that for 3 years we've recorded the surplus of the state budget, we've managed finances neatly. At the time of the SDP, we have reduced our credit rating to the level of garbage now he is in this crisis and with this deficit of the state budget, which is confirmed by all credit agencies, returned and at the level of the investment rating. At the same time, struggling with the biggest crisis that has ever been in our power, we can and can deal with all these difficulties and so far it has been unmarked that every 3 workers in Croatia who work in the private sector receive compensation for, and support for the job from the state budget. 607,000 Croatian workers receive support for preservation, for their place of work to preserve it, and this support is aimed at 107,000 employers and somewhere over 8.8 billion kuna. So that's what this rebalancing recognizes, and that's what this rebalancing carries. Since I don't have much time yet, I'd like to thank the minister, he left and thanked the ministry. I have read and congratulated the Government as an islander, and I have been contacted by a large number of entrepreneurs in the Croatian islands, and we have returned to the position of the Ministry of Regional Development to support island employers for 9 million kuna, and this support is otherwise defined by the Island Act in a way that each island employer who has a seat on the island for each worker who has a residence on the island is singled out one salary per year at the level of monthly salary for developed islands, and half of the salary for the developed, and the entire salary for undeveloped islands. Well, here we go. Thank you. This measure has been recognised and returned to island employers. [[Thank you very much.]]
ParlaMint-HR_2020-11-05-0.u11078	Thank you. Stay here, stay here. You have more replicas. The first line has Mr. Boric.
ParlaMint-HR_2020-11-05-0.u11079	Thank you very much, Vice President. You have rightly warned colleagues from the SDP about the time when they had responsibility for the state and everything they did. It also means reducing the contribution and returning, so raising VAT, cutting wages, borrowing by almost 100 billion of this public debt more and of course they continued in such a rhythm, and they are not surprised that they have lost the elections three times in a row and continue on. Destroy whatever you see on the road, it's just their policy, and we need to understand them. They are against this budget, they are against providing funds to healthcare professionals, they are against ensuring the normal functioning of the system, they are opposed to building these infrastructure projects, they are bothered by all this, they are all irrelevant. We simply live with such people, we have to understand them because they say democracy allows everything and such opinions, only the question of what kind of messages they send to Croatian citizens is. That if we're really in a state of emergency, as they say, we should tear it all down. What do we do after that? That's the question.
ParlaMint-HR_2020-11-05-0.u11080	Thank you very much, time. Here's your answer.
ParlaMint-HR_2020-11-05-0.u11081	Thank you, Mr. Vice President. My colleague Boric, you are only part of what you stated, so I will complete you more. In April 2012, despite HER's consent that the electricity price could be increased by 8% in Croatia, electricity prices increased by 25%. Which was a blow to the standard of Croatian citizens should not even be described, which is at an annual level of around 2.5 billion kuna. So that's one, pretty big, big increase. There was an increase in the price of gas, if you remember. At that time, Mrs Ahmetovic also said the government was doing it neatly, and the public debt increased by 70 billion kuna. They inherited a public debt in Croatia at 60 percentage points, and when they left in 2015 it was almost 80%. Therefore, when it comes to the state budget, the rebalancing of the state budget was not my intention, and I had no intention of going back to the past, in history, but when I sit here and listen to remarks about this kind of budget rebalancing, in these conditions. With this kind of financial consolidation, then we have to answer that. [[Intruder: Thank you.]]
ParlaMint-HR_2020-11-05-0.u11082	Thank you, thank you very much, time. Mr. Brumnic's injuries to the Rules of Procedure You can't give up the replica now. [[Intruder: No, not replica.]] And Mr. Pavić was a violation of the Rules of Procedure, I'm sorry. Mr. Pavić, breach of the Rules of Procedure.
ParlaMint-HR_2020-11-05-0.u11083	The Honorable Vice President in violation of the Rules of Procedure, Article 238, this has nothing to do with the subject. What does it have to do with this budget rebalance that happened five years ago? Somebody explain it to me.
ParlaMint-HR_2020-11-05-0.u11084	There was a replica here.
ParlaMint-HR_2020-11-05-0.u11085	Well, you've said yours and we're moving on now. Let's move on. Uh, now it's Mr., Mrs. Jelkovac's turn.
ParlaMint-HR_2020-11-05-0.u11086	Thank you very much, Mr. Chairman. Dear fellow Bačić, that you have well noticed how particularly fellow Ahmetovic in his debate is very dissatisfied with this rebalancing, and he thinks that as far as the SDP government is concerned, they have done very well, and in these conditions in which we live today, Covid of the crisis after the earthquake in Zagreb and the surrounding area we offer such rebalancing and it is not good, and let us remember that we have also agreed with the budget and the rebalancing and realisation of funds and European funds much more than their government has done, let us also remember how much wages and pensions have grown in the past term and all of this thanks to the work of this government that continues and announces for this mandate, and we also see through the tax reform that has been achieved so far, and is also announced in the next tax reform.
ParlaMint-HR_2020-11-05-0.u11087	Thank you very much. Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11088	Thank you, Mr. Vice President. Dear colleague Jelkovac, that this budget rebalance and the budget that we are going to discuss next week are talking about the work of this government, and I was saying it yesterday when I spoke on behalf of the club about the annual report by the Government of the Republic of Croatia where I stated that all of this we can and what we are doing and such massive support to Croatian business-preservers and numerous government interventions throughout that time. I would also remind you of the intervention in shipbuilding, see what happens with "3. In May," they talk about how under these conditions the government can also pay those commitments that come from previous calls, remember those 4.5 billion that the "Oiler" debt for guarantees given by the Government of the Republic of Croatia were still able to make a consolidated budget, have a budget surplus and this way prepare... [[The speaker doesn't understand.]]
ParlaMint-HR_2020-11-05-0.u11089	Thank you. Time. She's a colleague of the vice president of the Voice.
ParlaMint-HR_2020-11-05-0.u11090	Comrade Bačić, you in HDZ will become a truly measured unit of shamelessness. You have found your colleague Ahmetovic to explain the square of the circle and accuse of something of Zoran Milanovic's government. You left us a burnt, robbed and devastated country, 10% deficit, 8% in debt. We cleaned up after you and instead of apologizing not to us but to the Croatian public for everything you've done by 2015, you dare accuse someone. Otherwise for your information, Croatia officially exited the recession in 2015 after 6 years and pulled it out precisely this Zoran Milanovic and left you with a positive rate of GDP growth of 2.4% on whose wings you could breathe and do something these few years. Shame on you.
ParlaMint-HR_2020-11-05-0.u11091	Thank you. Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11092	Mr. Vice President, this at least required a reminder to the Vice President at home. Here's when we hear this from the vice president's mouth I really find it strange that we can support a parliamentary representative like this as vice president of the house. So, thank you for your comment, Madam Vice President. We're in charge of that, but behind us are projects. You're going to Zadar today, when you're going to Split and I'm going to Dubrovnik on the highway. The great debt, Mrs. Voter, I let you go. Our creation of public debt has its reflection on investment. And you're in charge of twice as many miles of highways, 70 billion kuna, and you've stopped everything. Investment in non-financial assets during the SDP government was at least in Croatia's history, so no government has invested less in investments, which is the government which is in charge of 70 billion kuna at the same time, and you want us to be ashamed. You might want to think about what you're saying.
ParlaMint-HR_2020-11-05-0.u11093	Time, thank you. Mrs. Anamaria Blažević replica.
ParlaMint-HR_2020-11-05-0.u11094	Thank you very much. Here in this issue you have been in the local government for a long time, you know how many local budgets and any tax reform that has brought to local budgets, but here is the same speech, we now have compensatory measures, we have fiscal balances, we have also in projections a large amount planned for fiscal balances and for the co-financing fund that I was talking about today 500,000 kunas in 2015 was paid from the Fund for Co-financing in Rebalance is now €119.4 million. As for 2015, when we mention it, 66.7 million kuna is total paid out of eu funds, total, so I think it says enough about this rebalancing today.
ParlaMint-HR_2020-11-05-0.u11095	Thank you very much. Here you go, Mr. Bacic.
ParlaMint-HR_2020-11-05-0.u11096	Thank you, Mr. Vice President. Dear fellow Members Blažević, that this is the European funds are a special story of their agreement and payment from the agreed funds, it is for not to compare. But when you talk about income or about the financing of units of local self-government or perhaps better told by compensations to reduce income tax thus reducing one of the basic incomes of the local self-government unit, not once in four rounds of tax reform we did not reduce income tax by reducing the income of local self-government units on the other hand did not respond to the compensatory measure. So, at that time on the one hand, we've decentralized a number of government affairs, so if you want this last one where we've brought down the state administration's affairs to the level of county administrations, we've also had fiscal decentralisation. And that's why all our budget rebalancing and budgets always had the support of the alliance of cities and municipalities in Croatia because they knew that they did not lose their basic assets.
ParlaMint-HR_2020-11-05-0.u11097	Time, thank you. Mrs. Maximchuk.
ParlaMint-HR_2020-11-05-0.u11098	Thank you very much, Vice President. In your debate, you also said that after three years of surpluses, of course it is Croatian, but the world economy has hit extraordinary circumstances, the health system was to be maintained, jobs preserved, but we see that social care benefits have been made in the amount of 2.6 billion kuna. They continue to pay their personal disability, aid allowance and minimum fees, child allowance, maternity leave, and we see only a 50.5 million kuna increase in this item compared to last year. We also see that we have an increase of 260 million kuna on the agricultural item, so it's almost as much as last year, but here in the debates we can only hear negatively and badly.
ParlaMint-HR_2020-11-05-0.u11099	Here you go, answer me.
ParlaMint-HR_2020-11-05-0.u11100	Your Honor, Mr. President. Dear colleagues Maximchuk, this second budget rebalance for 2020. The main thing that it is saying is how and how this one is, and then 13th on the day of the Republic of Croatia, when it has drawn up the draft budget for 2020. which today, I say, we are discussing in a second rebalancing is the best indicator of the government's work. He was consolidated, so we were already back then, we had, on that budget, third time I say, a balanced budget without a government budget deficit. So this deficit that we're talking about today from the state budget of about 25 and a half billion kuna is the only result of why we couldn't even assume when we brought it in and that's, and that's the best indicator of how we worked and how we worked. And yesterday I said, now I'm going to repeat, precisely because of this government's work and the government's orderly financial business, financial consolidation for me today for interest on, on the debts we've raised only for 15 billion kunas we issued to the bond in February we pay 100 million EUR [[Intruder: Thank you]] less interest. [[/Intruder: Thank you very much.]]
ParlaMint-HR_2020-11-05-0.u11101	Now he really is Mr. Brumnic's replica.
ParlaMint-HR_2020-11-05-0.u11102	Dear colleague Bačić, I would not like to recall the past if I were you, what you have left this country in an amannet, or what your governments have done so far. Leaving Zoran Milanovic to clean up after you, you and Sanader, that's something I think is hard for anyone to clean up. So as far as that goes, I think the debate is groundless. And as for when the country's largest deficit is right now. And the deficit your minister presented is not the one that's the thing. Now the question is asked, and that question should be asked there on the right hand side of the pay phone when you vote, and you vote to get cheap loans. What's next after that? We had this company that had these, like, healthy finances. And she was selling those healthy lovers in her day. [[/Intruder: Thank you very much.]] Here, thank you very much.
ParlaMint-HR_2020-11-05-0.u11103	Thank you. Here's the answer.
ParlaMint-HR_2020-11-05-0.u11104	Thank you, Mr. Vice President. Dear colleague Brumnic, we left you the country in 2011. which was a full member of the EU and we have completed these negotiations, the government has completed the negotiations, a government which you have inherited, which has lost the elections, but has left you a country which is a member of the EU, a member of NATO, and don't forget that the fact that we have become an EU member was the wind in the back of the government of Zoran Milanovic and the government of the SDP. That fact that we left the state. We are in very difficult conditions when very Europe has not managed to expand at the last minute of those negotiations and we have become a full member. But at the same time with such a leverage of the European Funds, you have additionally charged us with 20% of GDP and 60%, respectively. Public debt increased to 80% during the government.
ParlaMint-HR_2020-11-05-0.u11105	Thank you very much. No more replicas, no more replicas, thank you very much. Maybe someone malicious realized that there was a discussion about who was worse, and I realized that there was a discussion about who was better, so we can continue the debate. Mrs. Devereaux. Grozdana Peric.
ParlaMint-HR_2020-11-05-0.u11106	Let's just remind ourselves once again what happened in this period, so right now when we look back at what was done, we now have 54 open competitions in the European Structural and Investment Funds and the value of these tenders is over 147 billion kuna. So, if it wasn't working and it didn't, then there wouldn't be this many competitions, or the value of these competitions. The colleagues also mentioned that this part of the assistance coming from the EU is increasing. So, in 2018, we had a realisation here, in 2019 over 14 billion, in the plan this year is increasing to 19 billion, and for further as you saw in the 2021 plan to 25 billion. So what was so far in the envelope of the multiannual financial framework that we had rights from 2014 to 2020 was EUR 10.7 billion, so they were increased in this envelope, and the increase would not have happened and happened if you did not use them, you do not negotiate, because Europe and all EU control mechanisms are very much monitoring what they are spending. But in addition, I would just like to point out that when colleagues say what has happened significantly and you're justifying everything from this pandemic. So is it possible for Europe and the EU to recognise that there is a decline in the economy by 7.5% or almost 7.5%, so developed countries, and we in these conditions, so we had a decline of up to 15% in this previous quarter and now what is planned to be 8%. If you look at what was happening and what the government had done at the right time, therefore recognising everything that was going to happen, that it would have to lock up the economy, that it could not live normally and work normally, that in these conditions, were actually two packages of measures that were to help the economy and entrepreneurs and citizens were for entrepreneurs with a 20% drop in traffic or later this April that was for a 50% drop in income. When in this way it actually helped over 600 thousand people, employees have safe incomes, then we can say that really many people don't understand what happened and what's happening and what's waiting for us at all, and everything that's created here in these, in this deficit that's planned by the end of the year, actually this certainty that everything can be financed and that everything can work no matter what happens, not just with us, but in the whole world. So once again, I would like to point out that precisely with these measures that have been taken, normal life has been made possible and is trying to use it to the fullest extent possible for the economy to recover and to target this very European asset to what will bring us a new value.
ParlaMint-HR_2020-11-05-0.u11107	Thank you very much, we have one replica of the respected representative Dalia Oreskovic.
ParlaMint-HR_2020-11-05-0.u11108	So in turn, I am listening to the replica of individual representatives from the HDZ ranks. I really don't understand how you're all not uncomfortable together. So you can't bring the full rebalancing down to measures taken for the purpose of dealing with the coronary crisis, nor can you say that anything in the Republic of Croatia currently works normally, nor can you claim that Croatian citizens and opposition do not see and understand what is happening. There is an extreme irresponsibility of the authorities in spending and the purpose of the amounts financed, whether from our budget, whether they withdraw from EU funds. As well as the number of procedures in which the EU commission is seeking to repay its funds, here is obviously the end of someone's private pockets, and as an eclectic example of something that should not have happened in Croatia, I will quote 2.5 million kuna of incentives paid to former Minister Tolusic. I wonder if this power is taking over. Anything to be inappropriately bad [[Thank you very much.]] I.D. rules? [[Intruder: Honored representative Peric, please]]
