ParlaMint-NO_2002-05-22.ana.ud696e28	The called alternate of the Rogaland County, Inger Lise Aarrestad, has taken the seat.
ParlaMint-NO_2002-05-22.ana.ud696e889	It's going to be exciting to see the review we're going to have. And as I said, I don't think about the council when I'm talking about status in this area. But I still want to say that there's so much volume on that type of surgery, and it's so important that you don't have to enter and operate again and again and thus get poor functioning. That's why I think it's important that this becomes a subspeciality. After what I've learned, the surgeons' association is concerned that there is going to be subspecialized surgery. What's good about this is that it doesn't cost any particular money, because it's just about organizing the healthcare system, because it's about elective treatment. So there's no big cost associated with this out in the hospitals.
ParlaMint-NO_2002-05-22.ana.ud696e896	I note that there is a great deal of agreement between the questioner and me on the importance of having good quality of these important health care functions. Then, for my part, I have to wait for the professional advice that it is announced that I will get, before I go on to take my position on the question that has been raised here.
ParlaMint-NO_2002-05-22.ana.ud696e904	I allow myself to ask the Minister for Health the following questions: ‘There is an EU Directive amending the advertising rules to allow pharmaceutical companies to advertise prescription medicines for asthma, AIDS and diabetes for a trial period of 5 years. This Directive is EEA-relevant. There is a risk that the Directive could lead to increased medical consumption. Furthermore, the risk of people getting the medicine they're advertised for is increasing, not the one that's best for the individual. Will the Council of State contribute to preventing the implementation of the Directive in Norwegian law?’
ParlaMint-NO_2002-05-22.ana.ud696e913	I would like to draw your attention to the fact that the directive, which the representative Haga raises on his question, is not a separate directive, but one of several elements of the proposal for a new general EU directive on medicinal products for human use. Furthermore, the new proposal for a Directive on medicinal products for human use is part of a revision of EU pharmacological legislation. The proposal has been sent from the Commission and is being examined by the political bodies of the European Union. The Norwegian authorities are strongly concerned with the design of EU legislation on medicinal products and the implications of this could be expected to have for the Norwegian legislation in this area. The concerns of the Norwegian authorities relate in particular to the risk of over-use of medicinal products and the desire to optimise the rational use of medicinal products. Furthermore, it has been stated that if this Directive is to be adopted in the form in which it is now adopted, it is necessary to establish clear guidelines and control of such advertising. In formal and informal forums where this Directive has been discussed, the Norwegian authorities have expressed their clear concerns about this part of the proposal. The concerns of the Norwegian authorities are shared by our EFTA/EEA partners. The Commission is made aware of this by letter of 15 March 2002. The European Parliament, where the matter is now under consideration, has also been made aware of the views of the EFTA countries on the issue of advertising. We have therefore used the channels we have through the EFTA cooperation to express our views. I will ensure that these views will continue to be followed up in an appropriate manner during the EU's further examination of the Directive, including at political level. Finally, I mention that I am aware that this point in the proposal for a directive is also subject to discussion within the EU.
ParlaMint-NO_2002-05-22.ana.ud696e926	I thank the Council of State for the answer, and I am glad that the Government expresses considerable scepticism through what has now been said, that we should get advertising on these medicines. I just have to say that I think it's very worrying that we should end up in a situation where we get this kind of advertising, because people need to know about the drugs and not need to be exposed to speculative advertising. It will be a fact that the positive aspects of a drug will be overplayed in an advertising context, and the negatives will be underplayed. But then I would like to ask the Council of State how he views the possibilities of winning with the Norwegian views, and when he also points out that the matter is to be dealt with at political level, what it really means.
ParlaMint-NO_2002-05-22.ana.ud696e933	I have expressed my views on the issue of advertising, and I broadly agree with the representative Åslaug Haga now said in that way. With regard to the possibilities of reaching the Norwegian viewpoints, it is difficult for me to give a final assessment of it. However, the fact that the EFTA countries and our EEA partners are united here, and the fact that there is also a debate within the EU on the same issue, at least gives cause for optimism as compared to the fact that it may be possible to influence the outcome of the process in the EU. The follow-up from our side will then take place in the ordinary channels. I would also like to address this in the contacts I have in Brussels on this and other matters.
ParlaMint-NO_2002-05-22.ana.ud696e942	I am pleased that the Minister of Health confirms that he will discuss this issue in his contacts with the EU. It is essential that these matters are also dealt with at political level. There is a danger that one will not achieve what is Norwegian, and my question to the Minister of Health will then be how he views a situation where, under the EEA Agreement, Norway will be required to open up advertising, and whether the Minister of Health considers this issue to be so serious and important that he will assess whether Norway should put its foot down in such a situation and say: No thanks, we do not want this in Norwegian law.
ParlaMint-NO_2002-05-22.ana.ud696e949	The question that the representative Haga is now asking is a hypothetical question, to which I do not think it is right to answer, and at least not at this point when we are in a process in which we are seeking to influence the EU with the good arguments we have for the position we have from the Norwegian side. I have the belief in these arguments that they will actually be able to join in and move the case. I don't think it's appropriate to wonder what might be the situation if we don't get there.
ParlaMint-NO_2002-05-22.ana.ud696e957	I will ask the Minister for Health the following questions: «In the Official Journal of the Bergen of 16 May 1990. it is claimed that hospitals in the West are being fed with food for food for food for food for food for human consumption compared to hospitals in other parts of the country. Western hospitals get 970 million. less than if the money was distributed in relation to the population, as in the other regions. This leads to poor hospital provision for patients in our region. Can the Council of State confirm these numbers and will the Council of State take the initiative to ensure a fairer distribution of funds?’
ParlaMint-NO_2002-05-22.ana.ud696e966	The starting point for the distribution of appropriations in 2002 was the continuation of the actual consumption of counties in the specialist health service, without making major economic redistribution in the first year of the reform. This applies to all regions in 2002. In examining the 2002 State Budget, the Stortinget concluded this principle for the allocation of appropriations between health regions as outlined in the budget proposals of the Stoltenberg Government and in the supplementary number of the Bondevik Government. Population shares are not a sufficient parameter to compare the expenditure needs between regions. In previous transfers to county municipalities, the calculations also included other sizes such as age composition, distance criteria, mortality, etc. to capture geographical differences in expenditure needs. Health West RHF has a relatively lower spending requirement measured by these criteria than when looking at the population share alone. In addition, in previous transfers, there was also a specific grant to the three northernmost counties, which also contributes to the fact that the distribution of funds does not correspond to population shares. However, I have now carried out a full review of the entire funding system. The Government has set up a separate body to look at the total funding of regional health enterprises. This sample, led by Professor Terje P. Hagen, will present its position at the end of this year with a view to making decisions and monitoring the work of the sample possible, including the allocation of funds to regional health enterprises from 2004. I also aim to assess compensatory measures in relation to any adverse distributional effects of transfers in the work on the 2003 budget.
ParlaMint-NO_2002-05-22.ana.ud696e977	I'd like to thank the Council of State for the answer, which I think is opening up, that there may be some changes in relation to the distribution that is. When it comes to this selection to look at future funding, I am aware that it is included in the mandate. reads: ‘support the objective of an equivalent offer of health geographically and between patients and groups of patients’. And when you look at the answers in Bergen's Official Journal over the last few weeks about how the situation is in Haukeland, as I know best, since I'm from Hordaland – the head of psychiatry is protesting, cancer is moving home, one has been waiting for years for equipment for stroke patients – you can't say that the spending needs are met when it comes to the Western hospital region. It is clear that similar relationships may well point to many others too, but there is no doubt that Haukeland is an effective hospital, it operates well, but needs more money.
ParlaMint-NO_2002-05-22.ana.ud696e982	I can confirm that the sample that has been reduced will review the financial assumptions for the objective of an equivalent health provision. The fact that, as a consequence of the work of the sample, there may be changes in the distribution of regions between regions is an absolute possibility. At the same time, both the representative of Frøiland and I have been in politics for so long that we both know that these distribution issues between counties and regions in our long-term country are demanding, and that the operations to be done will be redistribution operations, some will lose and some will win. In this way, I think it's important to be clear that there are demanding processes. But we're going into them. We believe that this is phase 2 of the health reform, the hospital reform, which we have now put on the rails.
ParlaMint-NO_2002-05-22.ana.ud696e987	I share the opinion of the Council of State that it is difficult to redeploy. But a million people who live in this region in the west, are entitled to an equal supply as well as the rest of Norway. The job that the Hagen selection is going to do is going to be important and demanding for both the council and the council, but at least I'm glad that work has started. And then I have a hope for the last sentence in the Council of State's answer, that one will evaluate compensation in relation to next year's budget. This selection does not present its setting until the end of this year, so it is two years until it has any effect, but one will also look at the next year's budget. It's very important and absolutely necessary.
ParlaMint-NO_2002-05-22.ana.ud696e992	I can confirm what I said in my first response that we will also consider any compensatory measures in relation to major imbalances, in connection with the work on the 2003 budget.
ParlaMint-NO_2002-05-22.ana.ud696e1001	I have the following questions for the Minister of Health: ‘Studies commissioned by the Ministry of Social Affairs and Health show that cooperation between hospitals and the care and care services in municipalities is partly deficient and problematic in relation to patient treatment when outsourcing/repatriation and follow-up. It is unacceptable that the patient is made a throwaway between the different levels of health care. What will the Council of State do with this?’
ParlaMint-NO_2002-05-22.ana.ud696e1010	As pointed out in the question, cooperation between specialist health services and care services is not always optimal. Sometimes it has undesirable consequences for patients. I agree with the representative, Mr Grötvold, that this is not acceptable. It is an objective that the patient should as far as possible experience the provision of treatment as a whole, and not as a fragmented system because responsibility is based on different institutions and at different levels. The law takes this relationship up several places. In particular, I would like to point out the requirement of individual level in the Special Health Service Act and the obligation to provide guidance to municipal health services in the same law. The Health Business Act provides that undertakings also cooperate with other actors where this is necessary in order to promote the objectives of the undertaking, such as: are described in the purpose paragraph of the Specialist Health Services Act. I've been including the relationship in the management documents for this year. Depreciation of pre-treated patients has been particularly highlighted here. It is assumed that each health enterprise establishes good cooperation and interaction practices with the community health service. Through such good cooperation relations, a secure rapid outsourcing and good follow-up of the patient after hospitalisation can be achieved. The municipal payment requirement for pre-treated patients provides that the municipality is to cover costs for patients who have been completed but are in hospital pending a municipal offer, subject to specified conditions. The background to the law and the regulation was that experience had shown that the problems of pre-treated patients were greatest in those cases where there were no cooperation procedures for the transfer of pre-treated patients from hospitals to the municipality. Experience has shown that the regulation has not worked as provided for in some cases. In this context, I can inform you that the Ministry of Social Affairs is working on proposals for revision of the regulation, inter alia. assessing the reduction of the time before the payment obligation occurs and the adjustment of the payment rate. However, it must be recognised that there is a lack of capacity for municipal institutional sites, especially for the elderly. There is a strong pressure on the municipal service, while Corridor Asians are experienced in the specialist health service. These are concrete and practical problems that require practical action by undertakings. It is this study from FAFO and the Foundation for Social and Business Research shows. The study is now being followed up with further work at FAFO, where during the autumn an example collection of good cooperation relations will be completed between the different levels of the treatment chain. This is ordered by the Social and Health Directorate, and the Ministry of Social Affairs will follow this up. Furthermore, I want to show you that you are working on developing the hospice sites and hospitals. The cancer plan also contains moments within this area. It will be able to remedy the situation of cancer patients who feel that the inter-level cooperation relationship is not satisfactory. I would also like to point out that the report shows that good forms of cooperation between levels are not necessarily a product of good economy. Good formal and informal cooperation channels also have a strong and positive effect on the patient’s perception of the flow and coherence of treatment provision.
ParlaMint-NO_2002-05-22.ana.ud696e1025	I thank the Minister for the answer and I agree that good forms of cooperation are important. But I also think there are other grips that need to be taken here. The study conducted by FAFO and SNF shows that there is the greatest problem with elderly patients, cancer patients, psychiatric patients, dying and drug users. Some of these groups were also attended by the Minister of Health. I think it is important that, among other things: the group of older people is given a different status in the Norwegian health system. Professor of Medicine at the University Hospital in Akershus, Jan Eriksen, points out that some older people do not receive adequate treatment in any way and are sent home without having fulfilled their requirements. Thus, the weight of care and the weight of treatment are still very high in the first line service. I would like to ask the Minister of Health: Is it not true that we are now looking at, among other things. the funding mechanism for part of these patients with complex disorders, and that we also look at what we need to equip up in the first-line service and care services to ensure that these patients are well cared for?
ParlaMint-NO_2002-05-22.ana.ud696e1034	I agree with the initiative of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities that all people, regardless of age and social status, are entitled to an equivalent offer and a proper offer in healthcare. That's our goal. At the same time, there will always be a tension between the specialist health service and the first line service in terms of what is a pre-treated patient ready to be printed. I don't think any action can completely eliminate that tension. However, I believe – and this report also shows – that where good practices and relationships are established, there are far greater opportunities to create a context and a whole in the treatment chain that patients experience as good and positive. As far as the financial instruments are concerned, I would like to point out that they are now under investigation in the case of hospitals, and in particular where they are being investigated. look at how they should be developed further. And in the case of the first line service, I refer to the treatment of the seniority plan and the follow-up and its termination.
ParlaMint-NO_2002-05-22.ana.ud696e1043	I would like to point out that the study that we have both shown shows that this problem has increased in the last five years. There are also conclusions to suggest that the effectiveness and cost-effectiveness stress in hospitals have increased this problem because the patient needs to be printed more and more quickly, and because those with complicated disorders do not receive treatment beyond what they are admitted to, perhaps after a rapid and immediate diagnosis. I therefore believe that this is a resource issue that we need to look at in a broader context. Hospital funding with the ISF model and the DRG system needs to be considered in relation to the complex disorders, so that they are better covered and properly treated. The community economy, with first-line healthcare services, needs to be upgraded, as is the care sector, which is actually the social minister's table. Interaction is important. I would therefore like to ask the Minister for Health: Should it not, together with increased resource availability and improved distribution keys, be taken as a thank-you for better cooperation between these different levels, by looking at the entire healthcare system from the first line up to the specialist service in a wider context?
ParlaMint-NO_2002-05-22.ana.ud696e1052	I think it is unusually important that, through both legal economic and organisational instruments, we achieve a better whole in treatment provision, and especially in relation to the group of people with complex disorders, who need longer periods of time: the chroniclers, often older people and people with complex disorders. Here we are not good enough, but I believe that actions such as individual plans, actions aimed at developing the inter-level cooperation procedures, and adaptations to the funding system can help solve this.
ParlaMint-NO_2002-05-22.ana.ud696e1057	So we go back to question 3.
ParlaMint-NO_2002-05-22.ana.ud696e1064	This question, from the representative Per Roar Bredvold to the Minister of Culture and the Church, will be answered by the Minister of Oil and Energy on behalf of the Minister of Culture and the Church.
ParlaMint-NO_2002-05-22.ana.ud696e1067	I allow myself to ask the Minister for Church and Culture the following questions that will be answered by the Minister for Oil and Energy: ‘When a pastor and a parish priest are married while living in each of their parishes, an unusual situation arises. This is now the case in the municipality of Eidskog in Hedmark. Does not the Council of State, on a general basis, consider that the existing legislation is somewhat square and that there should therefore be room for more flexibility, and perhaps all the more so that the obligation to live should be based on voluntary activity?’
ParlaMint-NO_2002-05-22.ana.ud696e1076	There is a practice of exempting residence when the obligation would prevent a spouse from living in the same dwelling. The scripture says, "What God has joined together, men shall not separate." For what the representative describes, Bredvold, this means that it will be a curative matter for one of the spouses to be exempted from the obligation to live. The question of the priest's place of residence was probably a matter with which the congregations concerned were also familiar during the process of adding a new pastor. Most performances in the Norwegian Church are assigned to residential housing. The system of residence for clerics has a long tradition. It is justified both in people’s needs for easy access to the pastor and in the possibility of movement and recruitment, in particular to the outings. In addition, the dwelling is often used as a work tool in the congregation. For the community, it is often felt as enriching that the pastor is part of the local environment. Prest who do not want to live in the presbytery may apply for an exemption from the obligation to live. Exemptions are granted when there are particular reasons. As an example, I can mention health issues, or that the pastor is approaching retirement age. In addition, applications for a residence waiver will have to be decided upon following a concrete assessment of both the merits and the personal circumstances of the individual case. The priest’s wish should be given great weight, but the duty of residence should not be liberalised to such an extent that the arrangements for housing for services are phased out, without the consequences being clarified and accepted both in the performance and in the Church. The issue of housing was raised at the last General Assembly of the Norwegian Church in September 2000. About two thirds of the assembly then voted to keep the obligation to live. When the performance accepts the obligation, it is probably due to the fact that it will be difficult to keep an offer of housing, without the obligation to live in the dwelling that is made available. This is an assessment agreed by the Ministry of Culture and the Church.
ParlaMint-NO_2002-05-22.ana.ud696e1087	I thank the Council of State for a good answer. I interpret it to you that the case will be resolved for the best of all. That is to say, one dwelling obligation is waived, and that is good. But it should nevertheless not be a matter, it should be a matter of course, as I see it, that the priests themselves must be allowed to determine where they want to live and how they want to live. The Glåmdalen newspaper of 16 May says: ‘Egil Sundby, Director of the Information Service Fund, says to Glamdalen that there are no guidelines on how the Fund is to deal with this type of dispensation request from the place of residence.’ And: ‘It is not that easy for a person to obtain a dispensation from the place of residence.’ That's where it comes in that there must be more flexibility in such matters, but I interpret the answer from the Council of State to that it will now be.
ParlaMint-NO_2002-05-22.ana.ud696e1103	In such cases as the representative Bredvold mentions here, there is an established practice that an exemption from the obligation of dwelling will be granted. It goes without saying that a parole pair should live in the same dwelling, and therefore they will receive a dispensation. With regard to the other part of Bredvold's point of view, namely that the priest himself should decide where to live, that question clearly belongs to the place of residence. It's not like that, as the arrangement is in the Church today, that the priest himself can decide this. Under certain specific conditions, a dispensation may be granted, but it must be assessed on a case-by-case basis, as I detailed in my first reply.
ParlaMint-NO_2002-05-22.ana.ud696e1110	I thank you once again for your answer. But the guidelines, at least as I interpret them from what was said in that article, are relatively vague, and perhaps they are simply missing. You have to look at this, so you get guidelines that are both flexible, simple and easy to deal with. Today's society is changing, and I think there are more priests today than it was before who want to get their own home, so to speak, to slip into the community.
ParlaMint-NO_2002-05-22.ana.ud696e1117	The question of the place of residence of the priests has been addressed in different contexts. Of course, there are different arguments, but overall, the Norwegian Church's clergy have also come to the conclusion that this is a decent and good order. As I referred to, a broad majority at the last general meeting agreed that the duty of living for the priests had to be continued, based on the arguments that are positive in relation to this. Of course, it is also true that in some cases there are good reasons for evading the obligation to live. After the information I have, there is a flexibility and an understanding in the system that allows a pastor who has good arguments, whether he approaches retirement age, there is a disease inside the picture, or there are other good reasons, which in this case, as the representative Bredvold now mentions, that the housing obligation can be waived. But as a general scheme, there is still a requirement for priests in the Norwegian Church.
ParlaMint-NO_2002-05-22.ana.ud696e1129	‘The Ministry of Oil and Energy has consulted on the draft action plan for waterborne heat. The draft contains no proposals for action, but only describes the current state and use of instruments. What has the Council of State planned to do to ensure that the action plan will also contain proposals for action?’
ParlaMint-NO_2002-05-22.ana.ud696e1136	Int. S. No 263 for 2000-2001 the Stortinget has asked the Government to draw up a national action plan for the development of waterborne heat infrastructure. In the context of this action plan, the Ministry has requested input from the industry on the objectives of a water-borne focus on heat, the barriers facing the industry, and any proposals for action. In order to ensure that the views of the industry are comprehensive, parts of the action plan based on industry input have now been sent to the parties involved for consultation. The Ministry of Oil and Energy is further working on the part of the action plan covering the follow-up of the Ministry and other authorities to waterborne heat investment. I can thus assure the representative Heidi Sørensen that it will be a separate chapter on action and follow-up by the authorities when the action plan arrives before the summer.
ParlaMint-NO_2002-05-22.ana.ud696e1145	Of course, I'm very happy to hear that. What surprises me about the starting point of this action plan is the description of reality. There has been no review of the resource base we might have taken into account, either in the case of bioenergy, in the case of process heat, or in the case of heat pump access. Nor has it been assessed which parts of the country have the best access to these resources. It is natural to think that Grenland has good access to process heat. It is natural to imagine that the Østerdalen has good access to forests and should give priority to bioenergy, while coastal areas, such as in Sogn and Fjordane, have a unique opportunity to use heat pump technology. An action plan for waterborne heat, where we are going to provide new and important infrastructure for the future, needs to look different from part of the country to part of the country, but it does not seem that any such action has been taken when creating this action plan, and it concerns me.
ParlaMint-NO_2002-05-22.ana.ud696e1152	Now it may seem that the representative Sørensen has read more in this action plan than I myself have had occasion to do. I think it is most appropriate to discuss the content of this plan when it actually exists, and so it will do so before the summer vacation. But I can assure you that a number of the issues that the representative is now addressing will be a natural part of this action plan. I would also like to assume that in the consultation round that has now been discussed, recordings of the kind that the representative Heidi Sørensen addresses will also be commented on. After all, a consultation round shall be of benefit to the Ministry. So to the extent that there is constructive and good input, also in the direction that the representative now suggests, the ministry will, of course, take it into account and incorporate such views into the action plan. I would also like to refer to a debate which must come after a completed action plan in the department, and not in advance, as I now have the understanding that the representative Sørensen will be invited to.
ParlaMint-NO_2002-05-22.ana.ud696e1159	Of course, I have a great deal of understanding for that. But of course, it also raises some concern – this action plan has been a heartchild since I was in the Energy Committee in 1997 and we started talking about this – when I read a draft that does not contain much more than what we presented in the 1997 investigation. It is then a little worried about the length of time between the adoption of an action plan and the implementation of actual actions. We've definitely come to that point that we need actions and concrete instruments that trigger this. That is why I am also keen to hear about the timetable for the oil and energy minister. If he has as little as he gives the impression now, it will probably keep it hard if this is to be finished by June, as it has previously been announced.
ParlaMint-NO_2002-05-22.ana.ud696e1166	I have no indication that we would not be able to complete this plan before the summer holiday. I'm a little indeterminate at the time, but before the summer holiday means before the big vacation starts. It will then be possible for both the industry and politicians to get involved in this. I note the great expectation that the representative of Heidi Sørensen has of the action plan. With the considerable expectation, I hope, of course, that I can meet those expectations positively. But when I hear the representative, I am a little uncertain whether I can meet the expectations in all parts. But it's an important document. This is about an energy resource that has been used far too little. My intention with this document is to get a boost and a renewed commitment and focus in relation to this unused energy source.
ParlaMint-NO_2002-05-22.ana.ud696e1177	This question, from Karita Bekkemelme Orheim to the Minister for Children and Family Affairs, will be raised by the representative Eirin Faldet and answered by the Minister for Social Affairs on behalf of the Minister for Children and Family Affairs.
ParlaMint-NO_2002-05-22.ana.ud696e1180	Since there are two temporary workers standing here, we're going to do the best part. I ask the following question: ‘By outreach on 12 May 2002, we heard that the conditions surrounding our child protection institutions are not good enough. Lack of supervision and quality is a fact. Mr Bondevik II drew up a draft law which would have ensured an approval system for private institutions. Will the Government now change its mind on this matter and promote the necessary legislative proposals that are ready for decision in the ministry?’
ParlaMint-NO_2002-05-22.ana.ud696e1191	This question was addressed at Odelstinget as late as April 18th this year. The reason for this was that the representatives Mr Bekkemel Orheim and Mr Faldet put forward a proposal for an approval system in Document No. 8:29 for 2001-2002. The proposal was identical to the proposal for approval submitted by the government of Stoltenberg i Ot.prp. No 15 for 2001-2002 which was subsequently withdrawn by the current government of Ot.meld. No 3 for 2001-2002. The proposal provides for a new provision allowing the Ministry of Children and the Family to regulate the quality requirements of child protection institutions and a specific authorisation system for private institutions. In the proposal, the county council is proposed as an approval body. The only reason why the proposal was withdrawn by the current government is the ongoing work on the future organisation of the county council's tasks in the area of child protection and family protection. If the county council is no longer to carry out child protection tasks, it is not appropriate to maintain the proposal on the county council as an approval body. The proposal for a new organisation has been consulted. Four alternative models were proposed in the consultation note: continued county responsibilities, overall transfer of all tasks to municipalities, overall transfer of all tasks to the state and a shared solution where the county council functions are shared between the state and the municipality. The hearing period expired on 5 April this year. Int. O. No 36 for 2001-2001 when the proposal by Mr Orheim and Mr Faldet was examined, the majority of the Committee stated that the proposal for an authorisation system should be treated as part of the overall review of the tasks of the county council in the area of child protection. The proposal was discussed at Odelstinget on 18 April this year and was not taken as a result of the majority for the same reason. The current government is in favour of an authorisation system, as expressed by the Minister for Children and Family Affairs a number of times earlier this year. As soon as the Government has taken a decision on future organization, a proposal will be submitted to the Stortinget. It may be added that such a proposal on quality requirements and approval arrangements was included in the consultation note on future organisation.
ParlaMint-NO_2002-05-22.ana.ud696e1202	I have to say thank you for the answer, and I am pleased that the Government is taking a positive view of the further development of this matter. The proposal as such is based on the fact that we are a little scared. We've heard from newscasts on television that the conditions around our child protection institutions are not good enough, and the lack of supervision and quality of the offer given to some of our most badly hit children is a fact. That's why it's urgent to start a system that makes a quality assurance child's home, because that's what it is. I accept that one will see this in connection with the tasks of the county council, but can one not yet use the county council, which, of course, has qualifications in this area, as an authorisation body – until further notice?
ParlaMint-NO_2002-05-22.ana.ud696e1211	As mentioned above, the Government is in favour of an approval scheme. When this has not been achieved, it is linked, as also mentioned, with the future organisation. This is not a work that will take winter and spring. The starting point here is that as soon as the Government has taken a decision on a future organisation, a proposal in relation to the approval system will be submitted to the Stortinget. On behalf of the Minister for Children and Family Affairs, I dare say that it is the same care and attention to this as the representative for the Fall, and the attitudes are the same.
ParlaMint-NO_2002-05-22.ana.ud696e1218	The reason I'm stressing this a little bit is that the children who have room in such an institution may need more security, closeness and love and a professionally well-organized offer that takes care of the individual child's particular life situation. The public is responsible for these children, and then it is also the responsibility of the public to ensure that the offer is as good as possible and that it is of good quality. And that's why I stress this with a public approval of the institutions as soon as possible. For these children don't have time to wait, and we have a system that the public is responsible for them. And then I hope that the Minister of Social Affairs will take back to the Minister of Children and Family that this is actually a matter of urgency.
ParlaMint-NO_2002-05-22.ana.ud696e1223	Yes, the Minister of Social Affairs will bring it back. These children need a very special attention; it is fully understood by the Government, but it is closely associated with organisation and responsibility. And as I said earlier, as soon as the organisation is completed, what goes on follow-up, with proposals in relation to the approval system and quality requirements, will be sent to Stortinget.
ParlaMint-NO_2002-05-22.ana.ud696e1240	This question has been raised.
ParlaMint-NO_2002-05-22.ana.ud696e1246	This question, from the representative Siri Hall Arnøy to the Minister for Children and Family Affairs, will be answered by the Minister for Health who directs him.
ParlaMint-NO_2002-05-22.ana.ud696e1249	‘The gay health committee, which for 20 years has been the main partner of the authorities in the HIV prevention work against men having sex with men, is now threatened by closure following a 3 million grant. kr current year, a reduction in the upper edge of 25 pst. in relation to the allocation in 2001 and 32 pst. in relation to 2000. The size has previously underlined that HIV/AIDS prevention work still needs to be targeted at the most vulnerable. How does the Council of State think this can be done if the Health Committee has to be shut down?’
ParlaMint-NO_2002-05-22.ana.ud696e1256	As the Council responsible for this matter, I will answer the question from Siri Hall Arnøy, in agreement with the Minister for Children and Family Affairs. For the 2002 financial year, the budget has allocated 26.6 million. kr to cap. 719 entry 70 Action plan against the HIV/AIDS epidemic and infectious diseases. The funds shall cover several important purposes and not just HIV prevention alone. In addition to following up this work through the new strategy plan for the prevention of HIV and sexually transmitted diseases, the funds should also go towards high priority objectives within the Action Plan to counter antibiotic resistance, national contingency plan for pandemic influenza and other infectious diseases. The amount earmarked for the prevention of HIV and sexually transmitted diseases is in the year 16 million. kr. These funds are distributed to the Directorate for Social and Health by 12 million. kr, to the National Institute for Public Health of 3.6 million. and for a life-cycle project on people with HIV/AIDS at a research institution of 0.4 million. kr. The rest is assigned to the other purposes that I mentioned for antibiotic resistance of 8 million. kr and for the protection of infection in general by SEK 2,6 million. kr. The Social and Health Directorate is now responsible for allocating funds for these purposes. For 2001, the Health Commission applied for 4.79 million. NOK and received SEK 4,075 million. kr. For 2002, the application was nearly 6.5 million. kr. The Directorate has, as the questioner points out, committed 3 million. kr for 2002. Of this amount, the Health Committee has already received 1.8 million. DKK in advance, so that the balance for 2002 will be SEK 1,2 million. kr. The amount of the application also included expenditure on prevention of drug use and suicide and attempted suicide, and the Social and Health Directorate has shown in its letter of commitment that this must be seen in the context of the follow-up of St.meld. No 25 for 2000-2001 Life years and quality of life for lesbians and gays. The Health Committee may also seek financial support through channels other than the grant scheme to prevent HIV and sexually transmitted diseases. In the follow-up to the Storing Communication, several departments have used information resources, such as suicide prevention among homosexuals. Recently, the Ministry of Children and Family had a call for such funds, from which the Health Committee can and should apply for grants. On this basis, I cannot see that a continuation of the work of the Health Committee would be on government grants. It is very important to prevent HIV and sexually transmitted diseases among men having sexual relations with men, and our cooperation with non-governmental organisations, both the Health Committee and the LMA, is central to this. At the same time, the Strategy Plan for the Prevention of HIV and Sexually Transmissible Diseases presents many other major challenges. It is more important than ever to strike a proper balance between targeted efforts towards particularly vulnerable groups and general measures for the general population. It is also important to intensify the prevention of sexually transmitted diseases as well as the prevention of HIV. Important initiatives in the future are: the level of knowledge and information in the population must be improved; the gender perspective should be strengthened into plans, priorities and actions; the prevention of asylum seekers, refugees and others with a migrant background; and stigmatisation and discrimination against people with HIV and AIDS should be combated.
ParlaMint-NO_2002-05-22.ana.ud696e1271	I thank the Council of State for the complementary answer. Of course, I am pleased that the Council of State's position seems to be that the intention of the Storting in terms of prevention should be fulfilled, and that the Health Committee will also have to be able to continue its work. As I understood the council, he believed that the important thing now was not what post this money came from, but that it was money. Of course, it's a good and practical approach that I share. But equally, I would like the Council of State to clarify this further, as the Council of State also referred to the Health Directorate. Is it true that the Council of State believes that it will be necessary for the Health Committee to receive more money, from somewhere, in order to be able to do its important work?
ParlaMint-NO_2002-05-22.ana.ud696e1278	I believe that all parties are served that the application procedure does not take place in the Grand Duchy's Question Time. What I can say is that, in my opinion, 3 million. a significant amount of money for preventive action in the field of health. In addition, once the Storting has allocated money to the action plan, which is a result of the news of gay and lesbian living conditions, and money is spent on measures such as: the prevention of suicide, which was included in the Health Committee’s application to the Social and Health Directorate, I believe that this should be the basis for creating an economic basis for the activities of the Health Committee that are acceptable to them. But if that's the case, the Health Committee has to judge for itself, I can't judge that.
ParlaMint-NO_2002-05-22.ana.ud696e1285	I will not follow up on going into the individual grants in more detail. We might get back to this once we've seen how the distribution of funds has been.
ParlaMint-NO_2002-05-22.ana.ud696e1300	This question has been postponed to the next Question Time.
ParlaMint-NO_2002-05-22.ana.ud696e1306	This question, addressed to the Minister for Fisheries, will be answered by the Minister for Social Affairs on behalf of the Minister for Fisheries.
ParlaMint-NO_2002-05-22.ana.ud696e1309	I have the following questions to the Council of State: ‘Norwegian fishermen are currently represented by Norway’s Fiskarlag and Norway’s Coastal Fisheries Team. Although both organisations represent fishermen, Norwegian fisheries authorities differ between the two professional organisations. Norway’s Coastal Fisheries Team has difficulties in obtaining the right to consult and does not receive representation in relevant forums such as the Regulatory Council and the Norwegian-Russian Fisheries Commission, where the Norwegian Fisheries Team is represented. What will the Council of State do to remedy this discrimination?’
