ParlaMint-NO_2002-12-18.ana.ud519e28	The representative of Olav Gunnar Ballo will make a private proposal.
ParlaMint-NO_2002-12-18.ana.ud519e953	I thank you for your answer. I want to say in the beginning that the lighting of things is a service that we cannot fail in. Both the property turnover and some other conditions assume that there is a service that we can trust in the future. That is why, at least from the Labour Party side, we will follow this process closely. That is also the background to the question. I think that there is reason to ask now whether there have been any calculations in the Ministry regarding the economy in the reorganisation of the clearing of things – it was a matter that was up for the debate, without me thinking that we got some clear answers to that – and whether one would actually save crowns in relation to the quite extensive reorganisation to be carried out, taking into account both the property costs, operating costs and the annual work that has now been planned to carry out this extensive organisation. Will you be able to save at all?
ParlaMint-NO_2002-12-18.ana.ud519e960	I have already referred to the answer I gave in Stortinget when the matter was dealt with, and I do not have any new information suggesting that I should respond in another way. Of course, it is very good that the opposition follows this case. The government does, too, because we are obliged to do a good job. We will go further with the job, as I expressed when the matter was being dealt with in the Storting, and as far as I remember, we have mentioned it in the budget proposal for 2003.
ParlaMint-NO_2002-12-18.ana.ud519e965	I am not satisfied with these answers – partly on the basis of the fact that the debate never clarified the financial framework for this project, which, in my opinion, is very bold, and which we probably have to address in Stortinget several times. I now experience in many ways that reference is made to an answer that does not really exist in relation to the question of economics. That's the one. The second, which I also think is close to dealing with, and which the Council of State so far had in mind in its first answer, is the question of whether it is actually now considered that the disclosure service will come closer to the users, as the Minister of Justice has also stated several times, taking into account that the state budget in the case of the state's mapping works says that the merger of the county card offices is now approaching. Will this mean that the object intelligence service is getting closer to the users?
ParlaMint-NO_2002-12-18.ana.ud519e970	I have previously referred to information known to the Storting through the Ministry of the Environment's budget proposal, so I like to repeat it very much. In the context of a map conversion, such conversion, if any, shall not have negative consequences for the reorganisation of the directory. That's what I'm thinking. I have no information that would indicate anything else. Of course, it is very commendable that the representative Storberget is following a case, and is also holding the debate again, which was held when we had the deliberations on the issue. I just have to repeat that the assumptions underlying the majority of the Storting and that the Government is obliged to follow, we will follow. If there are different views, of course we will act accordingly, and say from to the Stortinget. It is my general obligation to provide information, just as it is my job to follow up what the majority has instructed me to do. So I follow both guidelines. It's the rules of the game that apply.
ParlaMint-NO_2002-12-18.ana.ud519e979	I allow myself to ask the following questions to the State Council Dørum: «A contracting entity finds that the manager does not keep accounts, attachments are missing, VAT, employer's fee and tax payments are not paid, and, worst of all, million amounts are lost by the client's bank account. The companies went bankrupt and reported to the police, who ordered the cases. What will the Council of State do to investigate, prosecute and punish economic fraudsters, and what will the Council of State do to prevent fraudsters from hiding behind new companies and/or new identities?’
ParlaMint-NO_2002-12-18.ana.ud519e988	The representative Dybevig addresses a serious problem, and we are aware that people who have been involved in bankruptcy appear relatively quickly in new companies. It's probably often the case that these have also had a personal financial gain from the bankruptcy. The cost of this type of crime to society is high and it is therefore important to combat it by effective means. I would like to stress that it is the government's expressed premise that the fight against economic crime must be continued and strengthened. After the police reform, the number of police districts reduced to 27, we have made it easier to pool and use the expertise of the police and the resources effectively. At the same time, this competence needs to be built up, as we have gained experience with in Ecoteam Vestfold Telemark. It is also important to point out that interdisciplinary cooperation is necessary, not least against the tax rate and the use of aid auditors. In a number of bankruptcies, financial crime is suspected during the settlement process. However, there are no permanent means in place to investigate this further. The Ministry of Justice is working on legislative changes such as: will address measures that may help to secure means of accommodation in the event of suspicion of crime. The Ministry of Justice will also follow up NOU 1999:23 Indebtedness crimes, developed by the Criminal Felony Council. The study proposes simplifications in the Chapter of the Criminal Code on Indebtedness Crimes, such as: deals with the issue of competitivity. I would also like to mention the establishment of a cooperation project between the board of directors and the police in bankruptcy cases to combat financial crime. The scheme is managed by the Directorate of Police and Ecocrim. It may also be appropriate to mention the Bankruptcy Board, which is working for effective, practical, performance-oriented and similar bankruptcy treatment at national level. The Council is appointed by the Ministry and gives a number of opinions and recommendations on bankruptcy proceedings. The Council is committed to contributing to measures that better enable residents and police to pursue competition crime effectively. In conclusion, I would like to mention that the Committee of Senior Officials on Economic Crime has initiated a project to be managed by the Directorate of Police. The project is a two-year project and will provide a basis for assessing the effectiveness of joint controls in the fight against economic crime. The pilot project shall primarily focus on new start-ups in the Oslo restaurant industry. In my opinion, it is doubtful that cooperation between control agencies is at the heart of the fight against economic crime, and in this context also the criminality of competition.
ParlaMint-NO_2002-12-18.ana.ud519e1007	I thank the Council of State for the answer. I record that he says that a number of agencies are working on these issues, and that you are on the way to building up the competences of the different agencies, including the police. I'll take an example. To get to the bottom of this problem, I think it's important to give some examples. If you don't use examples, it'll easily be a theoretical exercise. The persons who commit this type of crime are losing their assets in the company. So they leave the debt behind, and then the company is bankrupt, and then there are actors who have claims in this company, who don't get their money. This repeats itself and repeats itself to many, many times. I can take an example from this industry, where the actual advertising of a company that operates in this way reads, "A partner gets better capital management." So here the companies feel that the funds are going to be completely gone. It must be in the interests of the State that taxes and employers' contributions are paid, that the rules of the Accounting Act are followed and that annexes are attached. Will the Council of State ensure that the police take hold of these cases when they get the cases, instead of laying them down, as they often do now?
ParlaMint-NO_2002-12-18.ana.ud519e1018	Of course, that's what the representative says, that it's through the examples of life that you learn, and it's necessary that it's like this for everyone. There are several things that can be done effectively with this. First of all, housing needs to provide sufficient resources so that, as conscientious housing managers, you can do the job you want to do. In addition, there are many conscientious housekeepers who, with the current funds, get things that they send on, but where the police are not good enough. That is why I stressed that we had to build up the competence of the police in both investigation and further prosecution, and I referred to the example that I have learned from the cooperation between Vestfold and Telemark, which has been very good, and which I want to take along in Police Norway. This is a development of competences that we in Police Norway also see in other areas. We are looking at it in the fight against violence in society; we are soon looking at it in the fight against trafficking and against child and youth crime. And then you have to be good. So it's important that there is a cooperation with other agencies, like you, for example. have been seen in the restaurant industry in Oslo, where local authorities cooperate, towards state agencies and the police. It is when the kind of events happen that you almost get a kind of picture in the sectors that possibly cheat, that the panic group has arrived. There is every reason to create creative panic among those who want to undermine the seriousness of most people by cheating. These are the instruments that we focus on, but it's just to admit that we haven't had enough capital in our homes to support our good estate managers or enough expertise in the police. Then it is important to press on to build up both parts, and I can assure the representative that it has a high priority from my side.
ParlaMint-NO_2002-12-18.ana.ud519e1029	I want to deal with this with the landlord, because there are actually issues where the landlord has had money and has had the opportunity to investigate and find out what has happened in these matters. However, it has not been easy to get an overview of the economy, says the board of directors, and they are rejected when they seek contact with the people involved. They often go underground, but when they're imprisoned, taken care of by the police, they start talking out. In fact, a landlord says that for some people, this is a business concept, playing money out of people. It's been good money for someone. It's a million-dollar business for some people. However, the administrators have submitted a final report to the Eco section of the Oslo Police Chamber for the third time in the same company. The tax authorities and tax authorities have done the same, but the cases were dismissed after a few days. This is today's system, and I would say that today's system in a way rewards adultery and fraud. And then I'll ask the question: how are we going to re-enter the confidence of the open, free market if the oversight role is not working properly enough?
ParlaMint-NO_2002-12-18.ana.ud519e1036	The representative occupies the situation with good and new examples that I have described earlier. I have said before, and I would like to repeat it: there are very, very many very good and conscientious landlords who, despite often inadequate means, do a good job, and who often experience that their cases are being handed over to the police. At that time, it is very important that the police have sufficient competence to deal with matters, and in this context, cooperation with the police has also been initiated in relation to the tax rate in order to take advantage of the jurisdiction of the tax administration. Positions have also been created as poltirevisors. All of this is to strengthen competence, so that you can get into matters at an early stage. I want to refer again to the good experience we have just had in building such competence in a cooperation project between Vestfold and Telemark, and there are experiences that we will take with us in Police Norway to ensure that the competence becomes more general. The representative is quite right that there are new forms of crime that are refining old forms of crime and that it is dangerous in this area. People who have previously escaped for various reasons try again with new refinements. We can't let these people go, because at the end of the day, there are often many small business people left with bills and debts. They are crushed by these people, as I say, having a university degree in crime, and then we have to fight them with tough enough tools. And that's what I'm going to do.
ParlaMint-NO_2002-12-18.ana.ud519e1048	I would like to ask the Minister for Health the following questions: «Health East is currently dealing with a case of restructuring the hospitals in Akershus. There are proposals for the closure of Stensby hospitals. Akershu County Authority has invested several tens of millions in the last years before state acquisition. Many were afraid that pressure against closure could increase after state acquisition. Does the Council of State consider that it is within his power to stop a closure even if it is decided by the Health East Board and, if so, will he use such an authorisation?’
ParlaMint-NO_2002-12-18.ana.ud519e1057	The question raised by the representative Rikham concerns several different aspects relating to the organisation of hospitals in health establishments. Regional health enterprises have a comprehensive responsibility for the implementation of health policy in line with the decisions taken in this Chamber. Through the treatment of St. Prop. No 59 for 2001-2002 on the hospital economy, Stortinget has called on regional health businesses to implement significant conversion and efficiency measures, precisely in order to improve the impact of the use of healthcare resources. At the same time, the business model presupposes that important individual decisions are submitted to the Ministry of Health and that decisions are to be taken by the Enterprise Meeting, which is, in practice, the Minister of Health. The size has provided the general framework for the issues to be addressed for such a decision in the Health Business Act. I would like to stress that when such matters are presented to the Department, we need to be given the best possible explanation of the effects that these changes will have on the provision of services to patients. However, this should not block any migration and efficiency that provides better healthcare to patients and better use of resources. Health East has rightly assessed different approaches to the future use of Stensby. The board of Akershus University Hospital re-examined the matter of Stensby on Friday 13 December and decided not to continue the work of investigating the hospital's liquidation. Akershus University Hospital will instead use Stensby more effectively through increased and specialised ear-nose-neck activities, more planned surgery and increased intra-uterine activities, while emergency surgery will be discontinued. This conversion of operations has been planned for the new year in 2003. This also means that Health East does not continue further investigation into regional consequences in the event of the closure of Stensby. The specific issue raised by the representative Rikham is therefore not relevant, but in general, according to the law on health companies, I have the opportunity to stop any hospital closure. Of course, it must be carefully assessed for each proposal in terms of its consequences. At the same time, I would like to add that the role of the Stortinge in the management of health policy is important, and I want to take care of it through the planning and reporting system that the Ministry is now working on, as I also briefed on in the budget debate in this Chamber a week ago. The health business planning and notification system will be included in the Health Ministry's annual draft budget towards Stortinget as the basis for Storting's management of the specialist health service. In this context, it would be natural to report significant individual cases that have been dealt with.
ParlaMint-NO_2002-12-18.ana.ud519e1075	I thank you for your answer. In any case, it was clarifying in one area, which goes under the authority of the Council of State to stop decisions – in the Health East in this case. He can, and he was probably also concerned that he might do so if there is a reason for it. So to the concrete – Stensby Hospital: It is right that it has been decided that it should not be closed, but it should be through a dramatic restructuring. It's going to have completely different functions. That is to say, what is going on in emergency response is no longer going to be part of this hospital. The hospital shall operate largely electively. It implies, as I said, that it gets a completely different function. Then my question to the Council of State, as he said that the issue is no longer relevant because the hospital will continue to exist, but with a completely different function than it has had in the past: Does the Council of State believe that the decision taken in relation to the conversion of the function will allow him to intervene, as he may now have authority and can do so?
ParlaMint-NO_2002-12-18.ana.ud519e1082	I will, in consultation with the regional health establishments, keep reviewing the existence of cases, in particular in the context of the restructuring of the specialist health service, which suggest that the issues should be addressed at the business meeting. I have mentioned the possible closure of the hospital as an example of a matter that I would normally say must be dealt with by the owner. The question of division of work between hospitals and the restructuring of the division of tasks between hospitals, and neighbouring hospitals, will not normally be such as to require the presentation of the Ministry of Health. In that case it must be that there are very special aspects to the matter which warrant it. I don't think that's the case, as I'm briefed on, as far as the plans for Stensby hospitals are concerned.
ParlaMint-NO_2002-12-18.ana.ud519e1087	This is an important signal to the people of Upper Rome, who have this hospital as their local hospital, as their emergency hospital, within some areas. That means, as I now understand it, that the Council of State does not see the need to have this matter brought to its attention at the business meeting. This is a minor adjustment, a smaller restructuring. It's actually a little bit surprising. I'll almost say that it's not just a little bit, but quite surprising. This means that the kind of decisions, quite extensive and quite significant changes in the hospital structure, have moved away from the public space and been put in an enclosed space. So I'm going to ask the Council of State to think again if not also restructurings that have such consequences as this is about should be something he gets presented at the corporate meeting.
ParlaMint-NO_2002-12-18.ana.ud519e1092	I have a relative when it comes to assessing what are matters of importance and which should be raised to the business meeting. That access I intend to use to implement what I perceive as the adopted health policy of the Storting. But I do not intend to use it for a detailed management of the hospitals in terms of their organisation, and in terms of the division of work between hospitals, because that was not the aim of the hospital reform decided by the majority of Stortinge. In this balance, I also want to be aware that hospitals will be managed through open processes. It is not that the process of restructuring the specialist health services in the Health East has been a closed process. On the contrary. All investigations have been made on the Internet, and there have been open discussions. The fact that the matter has aroused great commitment is a result of the fact that it has actually been an open process.
ParlaMint-NO_2002-12-18.ana.ud519e1102	I allow myself to ask the Minister for Health the following questions: ‘Finnmark counties are larger than Denmark. Concern has now arisen as to whether the Nord RHF health region facilitates the closure of one of the hospitals or emergency services in one of the hospitals. Can the Council of State confirm that both Hammerfest Hospital and the Church Hospital shall have emergency medical functions in both places?’
ParlaMint-NO_2002-12-18.ana.ud519e1111	Finnmark’s specialist health service is organised in a single enterprise – Health Finnmark HF. This entity has the practical responsibility for providing the whole county population with a specialist health service that is professionally good when they need it. Health Nord has responsibility for the health region Nord. Regional health enterprises have a comprehensive responsibility in line with the decisions taken in the Stortinget. Through the examination of St.prp No. 59 for 2001-2002 The Stortinget has called for regional enterprises to implement conversion and efficiency measures in order to improve the impact of health resources. In this context, the regional health enterprise has launched investigation work to see how best to meet the challenges of the future. This involves reviewing the tasks of enterprises and the organisation of the service provision. The constant specialisation of medical subjects and technological developments means that no organisation or structure can last for a very long time. A responsible follow-up to the ‘supplier’ responsibility means having a look at the organisational and structural changes that should be made to ensure a continuous high-quality service provision for the population. In the case of emergency services, Health Nord has recommended to their health care establishments that they have an 113-centre in each health care establishment. This is an organisational change – when it happens – that has no impact on the emergency medical supply of units that do not have 113-centres. The purpose of this change is to further improve the quality of the management of emergency situations. In Health Nord’s plans – as they have been submitted to the Ministry by notification of 1 December this year – there are no plans for either hospital closure or emergency services in Kirkenes. And Health Nord has also clearly stated that they don't have any intentions about it either. I feel that Health Nord is very conscious of the size of the health region, not least Health Finnmark's huge geographical area. I am sure that the regional health company in its work will facilitate a good health service in Finnmark – both around the Church Hospital and Hammerfest Hospital. Regarding the specific questions of the representative Schjøtt-Pedersen, I will not be able to answer them without undermining the positions and authority of Health Finnmark and Health Nord. However, I would like to make it quite clear that matters that involve a significant change in the service offer should be presented to me before a final decision is taken. And the closure of a hospital will be such a decision which is clearly to be raised to a political level by the Minister of Health. It follows from the Health Business Act.
ParlaMint-NO_2002-12-18.ana.ud519e1124	I thank the Council of State for the answer. Of course, the provision of welfare services does not depend solely on how many doctors there are per year. the population, but also the distance to treatment. Finnmark is a large state. The distance between Kirkenes and Hammerfest is almost like the distance between Oslo and Trondheim. Of course, it is for the Workers' Group that both the Church Hospital and Hammerfest Hospital are to be passed. There was also a foundation under the government of Stoltenberg. It will be of great importance to the public’s security of the Minister of Health that both the Church Hospital and the Hammerfest Hospital should consist of emergency medical facilities both in both places.
ParlaMint-NO_2002-12-18.ana.ud519e1133	I refer to what the responsible health company, Health Nord, has said about this. I will quote from a press release they sent out on December 13: ‘There are no plans or intentions to close emergency preparedness in the hospitals in Finnmark. Health Nord will guarantee that Finnish mark-ups will have a high-quality specialist health service and accessibility adapted to the very special geographical and communication conditions of Finnish mark-ups. This means that the solutions can't be the same as the ones you can have where there are a few miles between the hospitals. At the same time, technical quality requirements must also be met in Finnmark. In some situations, closeness to offers and professional quality requirements may conflict with each other. Then professional quality solutions must be satisfied.» I assume that what Health Nord here says is a confirmation that they share the view that the representative Schjøtt-Pedersen here expresses.
ParlaMint-NO_2002-12-18.ana.ud519e1143	Let me first note that the Council of State and I agree that the issue of possible hospital closures cannot be decided by health companies alone. I also assume that emergency medical functions are involved in relation to this. I record what the Council of State refers to in relation to the decision of the regional health company. At the same time, the Council of State has stressed that the health business does not have any intention to close hospitals. He also says, as far as I understand, that you don't have any intention of decommissioning emergency medical functions. Can the Council confirm that he will stand by the fact that there will be two hospitals?
ParlaMint-NO_2002-12-18.ana.ud519e1150	I believe that I have already answered this additional question from the representative Schjøtt-Pedersen, who I have put behind what Health Nord has said about exactly this, and which I have quoted in my first supplementary reply.
ParlaMint-NO_2002-12-18.ana.ud519e1158	I have the following question for the Minister of Health: «The party in Akershus pronounces to the Evening Post to be the Newspaper. 20 November d.o.b. the fact that the fixed medical system has made it easier for addicts to obtain A and B preparations. What can and will the Council of State do with this problem?’
ParlaMint-NO_2002-12-18.ana.ud519e1170	I assume that the representative Alvheim is aiming for a report in the Newspaper from the same date. Reference is made to a letter from the county doctor in Akershus to the Ministry of Health, where he has raised the question of access to information by permanent residents in the register. The county doctor believes that access to information on who is the patient’s permanent staff will facilitate better communication between decision-makers. As a result, the fixed medical system can significantly reduce the problem of drug users going to more doctors to access A and B medicines. I can therefore immediately conclude that the county doctor does not believe that the fixed medical system has made it easier for addicts to obtain A- and B- preparations. The problem of so-called play shopping, i.e. drug users go from doctor to doctor to prescribe addictive drugs – A and B medicines – have existed for many years. An important step towards reducing the possibility of such medical shopping is the introduction of the fixed medical system. Almost all residents have a fixed doctor who is responsible for responding to their needs in relation to general medical care. Especially in relation to the printing of A and B medicinal products, it is important to have information about the patient’s medical history. Therefore, in line with good medical practice, the resident should be informed to address his or her permanent physician if necessary. According to note section 7 of the regulation on the fixed medical device, the doctor is responsible for the person’s record and for updating the medical history and use of medicinal products. If a doctor prints medications to patients other than his/her fixed patients, the doctor should ensure that the prescriber is notified afterwards. The physician should therefore have strong professional reasons for printing A or B medicinal products in cases where patients do not wish to identify their permanent physician. As a supervisory body, health supervision and county doctors have a significant focus on prescribing addictive drugs. In the context of contributing to sound recruitment practices, the Health Inspectorate published in 2001 a guide on the recruitment of addictive drugs by doctors. Health authorities are concerned that the requisition of such drugs should be followed up with a view to avoiding abuse. Feedback to the decision maker may be simplified if it is able to obtain the name and address of the settler through access to information in the registry. It can provide feedback in cases where the patient does not remember who the doctor is. As is the case today, the social security fund has direct access to the permanent register. Information on who is the resident’s permanent staff can be obtained by telephone with the permanent office in the county. The social security system may provide information on who is the resident’s permanent resident, to AMK centres, medical guards and hospitals in situations where the resident himself is unable to provide the name of the permanent resident or to consent to the information being obtained because of the loss of consciousness or confusion of any kind. With regard to access to the fixed medical records, I can inform you that the Ministry of Health, in cooperation with the Swedish National Agency, is working to find good technical solutions for the electronic transmission of data from the register. I will ensure that the question of who should be given access to information in the permanent register in this context will be reconsidered. The Ministry will then take the view of the county doctor in Akershus in such an assessment.
ParlaMint-NO_2002-12-18.ana.ud519e1185	I thank the Council of State for the answer. One of the intentions of setting up the permanent medical scheme was to reduce the alleged toy shopping that was in the market. However, I am very much in doubt whether it was as extensive as you would at the time. Here again we have an example of the fact that the fixed medical system has not responded to expectations, although this case is not the most serious defect in the fixed medical system. My question again to the Minister of Health will then be: What is the reason why county doctors do not have access to the regular lists, and will the Minister of Health change this?
ParlaMint-NO_2002-12-18.ana.ud519e1194	The basis for access to the information contained in the fixed medical records is that they are reasonably needed in their service to care for the patient’s interests. That is what is the basis for AMK centres, medical services and hospitals in situations I described in my first answer, being given such an opportunity to get this information. However, I would like to assess, in the context of our current assessment and work, together with the Rikstrygdeverket, on technical solutions for the electronic transmission of data from the permanent registry, whether such access is a legitimate need for the county doctor.
ParlaMint-NO_2002-12-18.ana.ud519e1201	I thank the Minister of Health again for the answer. I find it strange that the supervisory authorities should not have this possibility. The county doctor in Akershus and the health director suggest to prevent abuse that patients must inform the consultant who is his or her regularity. Will the Minister for Health ensure that there is a change in current legislation so that this system can be implemented fairly quickly?
ParlaMint-NO_2002-12-18.ana.ud519e1210	Let me say, in relation to Mr Alvheim's remarks, that I believe that the fixed medical system has actually responded to expectations in many areas. No later than today, we have one thing in the news that shows that we have had a much better medical coverage after the introduction of the fixed medical system. With regard to the specific issue, I will ensure that it is assessed in the context of the review we now have, together with the Rikstrygdeverket, with regard to the practical access to the permanent register. And then the regulatory issue will also be re-examined.
ParlaMint-NO_2002-12-18.ana.ud519e1220	I would like to ask the Minister for Health the following questions: «Health West presented on 9 December this year its proposal for new emergency functions in the health region. The emergency services at the hospitals at Stord, Voss, Nordfjord and Lærdal are being closed. It is also proposed to shut down the maternity wards of local hospitals. The proposal involves the closure of the hospital in Odda. The plans give rise to strong reactions in local settings. Are emergency preparedness and local hospital closures in line with the Government’s health policy priorities, and what do the Council of State think of the proposed measures?’
ParlaMint-NO_2002-12-18.ana.ud519e1229	The Health West Board started work on a strategic plan in the spring of 2002. It has been made possible to best meet the intentions and objectives of the hospital reform, which included, among other things: implementation of a project on functional distribution, on the division of labour, between hospitals. This is also in line with the Stortinget treatment of St.prp. No 59 for 2001–02, on the hospital economy, from this spring, requiring regional health establishments to implement significant measures of conversion and efficiency in order to improve the impact of the use of healthcare resources. The background to the functional distribution project is that Health Vest will assess whether better organisation of today’s services can provide patients with a more equivalent range of services, both in terms of quality, availability and economy. On 9 December this year, Health West published an interim report proposing the possible future organisation of emergency services in the region. This interim report shall be part of the overall assessment of the functional distribution project. I have been informed that the proposals in the emergency project will be examined in the first instance in the new year by the functional division working group and the strategy process management group. Thereafter, the report of the project will be submitted to the local health establishments for treatment before being dealt with by the Health West Board in the month-end of February/March 2003. In other words, no consideration has been given to any of the proposals in the report submitted. In order to ensure good participation until decision-making, a broad discussion process has been set up, with the possibility of input from different target groups before final management. For example, it is added. up to a formal consultation round including regional and local authorities, in addition to user committees and the business organisation. I do not think it is appropriate to go into a specific discussion about the measures in question here and now. However, I would like to stress that there are no proposals for total closure after the removal of the specialist health services mentioned in relation to the local hospitals in question, as the presentation of the question may give the impression. I believe that it is the scheme for the further process to which the Health West submits, in a good way, seeks to safeguard the Storting's intentions of transparency and participation. A final decision by the regional board is far from being reached. That is why I do not think it appropriate to comment on individual measures. But I can assure the representative Bjørlo Lysbakken that, for my part, I will have a special vigilance in relation to proposals that can be said to break with adopted health policy here in the Chamber, and I will not hesitate to take advantage of my opportunity to raise decisions to the business meeting, if these are matters of importance, and on matters that I doubt will be in line with the adopted health policy of Stortingen.
ParlaMint-NO_2002-12-18.ana.ud519e1240	I thank you for your answer. I think, unfortunately, it is not suitable to reassure all those who are now concerned that they will lose their emergency response in their neighbourhoods. I would like to show that Odda Municipality has said that they are very concerned about the plans that have been put forward. Health Fonna has launched an alternative savings plan that will protect emergency preparedness at Stord. There's a strong local commitment around these issues. I therefore think it is right — on a purely general basis — to call for a clearer response from the Minister of Health to the policy objectives of this. Is the centralisation of emergency preparedness in the West in line with the Government's political objectives? Or does the Minister of Health agree with us that it must be an objective that there should be a good emergency response also at the local and smaller hospitals in the region?
ParlaMint-NO_2002-12-18.ana.ud519e1249	It is national health policy to ensure that there is a high-quality and reasonably close emergency preparedness throughout the country, including within the area of responsibility of the West Health. Clearly, it would be a matter of national importance if the Health West were to take seriously the issue of laying down individual hospitals within its area of competence. Then I will use the authority that the Health Business Act gives me to lift decision-making responsibility to a national and political level. However, when the process is in an investigation phase, I ask for respect for the fact that the responsible bodies must be allowed to carry out an investigation into efficiency measures – as the Stortinget has foreseen – without the Minister of Health pointing out in advance that he likes that action, which he does not like. It would be contrary to the intentions of the reform, as adopted by a majority in this House.
ParlaMint-NO_2002-12-18.ana.ud519e1258	I thank you again for the answer. I wish I could clear up the signals, but I am pleased that we still get a clear signal that the Minister of Health will follow this closely. I refer to the fact that the Minister for Health has been quoted in the Official Journal of Bergen on 13 December on the following: ‘It would be natural for me, as a hospital owner, to enter into dialogue with Health West on the reorganisation of emergency functions.’ I would like to ask the Minister of Health if he can promise – I understand – that the type of degradation proposed here will not be adopted without it first coming to the Minister of Health's table. I would also like to ask how the Minister of Health will take the initiative in the dialogue he mentioned in the interview with the Official Journal of Bergen, and how he will follow this up.
ParlaMint-NO_2002-12-18.ana.ud519e1270	I would like to ask you at a suitable time to be informed about the plans that exist, once they have moved further into an investigation phase. I would like, together with Health West, to assess whether such plans or proposals are in place which suggest that the decision should be raised to the business meeting, which is the Minister for Health. I will do so in close contact and in dialogue with the Health West, as I have notified.
ParlaMint-NO_2002-12-18.ana.ud519e1279	I allow myself to ask the following questions to the Minister for Development: ‘National Agenda 21 is the concrete Norwegian follow-up to the Johannesburg meeting. The Prime Minister also said that the International Financial Institutions must also be more closely involved in the follow-up to the International Environment Summit. How does the Council of State see this going, and what initiative will be taken from the Norwegian side to get this process going?’
ParlaMint-NO_2002-12-18.ana.ud519e1288	Norway attaches great importance to the involvement of multilateral financial institutions in international processes, such as the follow-up to the Johannesburg meeting. It is because these institutions have considerable financial resources and great political significance. We are actively working to make institutions' activities more sustainable, not least in order to emphasise the relationship between environment, social development and poverty. The message from Johannesburg was just to see the environment, poverty and economic development in the context. Norway has provided funds for a World Bank fund for sustainable development and poverty established in 1999 and it has this very objective. It has contributed to addressing the challenges in these areas of the World Bank, which has led to a significantly better integration of these issues into the Bank's work. The Fund shall have, inter alia: funded World Bank work on «World Development Report 2003: Sustainable Development in a Dynamic World». This report, which was received very well — including by many NGOs in Johannesburg — underlines the importance of different national and subnational institutions for sustainable development, which is very positive. Following the Johannesburg meeting, the World Bank has set up its own working group which now assesses how the institution will follow up the meeting. Norway has close contact and dialogue with the Bank on this process and is monitoring funding through this Sustainable Development and Poverty Fund. For Norway, it is important to involve all relevant actors in key multilateral processes. The international financial institutions are among the heaviest, and we will therefore continue to work actively to draw them more closely into the follow-up. In the context of the preparations for the Monterrey Conference on Financing for Development in March 2002, we worked on the Norwegian side to draw with the G-24 Group, which includes representatives of the medium- and low-income countries of the Bretton Wood institutions, i.e. the development team. This was done not least because it is important to establish a better dialogue between this u-country group and the G-77 u-country group in the United Nations. Strengthening dialogue between them could also contribute to better integration of Bretton Wood institutions into UN processes in general, and in the follow-up to the Johannesburg Conference in particular. The Conference on Financing for Development in Monterrey demonstrated the importance of active and constructive cooperation between the UN and the financial institutions, a cooperation that also reaches the country level.
ParlaMint-NO_2002-12-18.ana.ud519e1299	I thank you for your answer. If we look back a little bit to Local Agenda 21, which is still going on, the National Agenda 21 is his follow-up. What characterizes Local Agenda 21 was that everyone was for him and a lot of people were messing with it, but few knew what it was really about. Local Agenda 21 was primarily a challenge for all world communities to engage in dialogue with local people, whether they were municipalities, county councils or some other political body. That dialogue with the local population was important. I would like to ask the Minister for Development whether she can imagine that the IMF and the World Bank can enter into such a dialogue. How does the Minister for Development think that this could happen, if necessary?
ParlaMint-NO_2002-12-18.ana.ud519e1308	To this end, with a local dialogue with the population: in the context of what has happened with the so-called PRSPs, the Poverty Reduction Strategy Papers, known to the representative Jacobsen, it has been important for the Bank and the IMF to really challenge the countries to be in a dialogue with popular organisations, movements and representatives of civil society, locally and nationally. In some countries, consultative processes have been carried out around the country with organisations. In other countries, such a dialogue has taken place more centrally. It is not unnatural when we are now also working to ensure that these so-called PRSPs also contain a sustainability perspective, i.e. to take into account what is called sustainable development or sustainable development, in new designs of the PRSPs, that sustainable development can also be discussed with civil society and the population in line with these procedures.
