ParlaMint-NO_2002-06-17-2.ana.ud761e30	The representative of Ursula Evje, who has been on leave, has once again taken his seat.
ParlaMint-NO_2002-06-17-2.ana.ud761e1187	Ulf Erik Knudsen has taken up the proposal he referred to.
ParlaMint-NO_2002-06-17-2.ana.ud761e1190	In this case, as in the previous case, SV is part of the majority of the committee, and in order to save some speaking time, I will refer to the case rapporteur Lånkes' detailed introduction and also Froy's descriptions, to which I can largely agree. At the same time, I would like to take the opportunity to commend the case rapporteur, Ola T. Länn for both this case and the previous cases, for a good process in important and comprehensive matters. The idea of the development of Bjørvika is exciting. It's about to be a huge lift to develop an area in the capital that's been neglected for a long time. It is now likely that many good forces are moving in the same direction. This is where the capital of Norway was located about 1,000 years ago. As roads and crossings are removed, the ruins of the Middle Ages have also appeared, and the Medieval Park is established as a great area for recreation, cultural events and festivals. So, the area is a great and natural place for a monumental building like the new opera. The lower tunnel plan is, as I see it, a prerequisite for both the location of the Opera and the further development of Bjørvika as a city. It is therefore essential and positive that the lower tunnel can now become a reality as a sprawl layer between state, municipality and users. It is also great with the broad consensus and understanding that it is too precisely this project in the Committee. Bjørvika is so far the city of opportunity. As usual, there are many different interests and opinions associated with such a project. On the part of SV, it would have been desirable for the municipality to be a heavy partner in the project, not least in view of the overall development of the site. I'm critical of a corporate structure that will give private investors too much influence. However, when this has not been the case, we believe it is important for the municipality to use its regulatory authority, order regulations and other instruments in order to steer further development. On the SV side, we want a city with a high proportion of housing – and in this context we do not necessarily talk about high housing – and solutions that focus on the environment. It's also important that standard and design don't make it just those with the most money that can take this part of the city, like we do. then in the development of Aker Brygge. Another SV requirement in this context is that a proportion of reasonable rental dwellings are included in the negotiations. It is important that those who are now to take decisions in the development of Bjørvika as a city take into account the Opera and the Medieval Park as the precursor to the development of the urban district.
ParlaMint-NO_2002-06-17-2.ana.ud761e1207	St.meld. No 28 for 2001-2002, the development of Bjørvika, is much about road development in Bjørvika. In my post, I want to focus on this very side of Bjørvika's development. In the national transport plan, it was found that the Bjørvika project is essentially an urban development project with relatively little to say for traffic management. We can all be sure that the road system in Bjørvika today is a traffic machine that is not particularly beautiful to look at, but that, after all, works quite well for the traffic. If you look at the road conversion in Bjørvika based on traffic economic profitability, the net benefit of the project will be poor. If this project were to be given priority in terms of road economic profitability, the project would come down well on the priority list in the Oslo area. In St.meld. No 28 a financing plan for the national road conversion in Bjørvika has been submitted on the basis of a cost estimate that is very uncertain. Solution selection, lower tunnel, is complex for both installation and operation. The estimate of costs is uncertain because there are difficult basic conditions, pollution in the ground, uncertainty about the extent of cultural memory and requests for high standards on the infrastructure. Only when there are approved and detailed plans and when external quality assurance of the road project is implemented can one expect uncertainty in the estimate to be reduced to about 10 pst. In other words, it is a very uncertain estimate that is leading, and therefore also a very uncertain financing plan. In the national transport plan, it was said that the Ministry of Transport would have a comprehensive funding plan before finalising its priorities for the National Road Conversion Project in Bjørvika. In St. Report. No 28 no prioritisation of this project has been said for other projects, but it is suggested that the state and the public authorities should assume the primary responsibility for the financing of the national road conversion. The government says in the message that the state's role is, among other things, shall relate to the financial and implementing responsibilities of the national road conversion. Of the cost, over DKK 1 billion will go over the state budget, 350 million. kr within the national transport plan frame and the remainder as a separate supplement to the road budget without this being at the cost of the national transport plan frame. It has also been foreseen that any increase in costs associated with the conversion of roads should be added to the national transport plan frame. What is not clear about the message is whether the Bjørvika project is now top priority, and whether this will push other projects out in time, or whether it will be made so simple that most of the cost the state will take, will come as a complement to the traffic jam. A few days ago, Stortinget debated the collective announcement. In that debate, there was a great deal of agreement that collective action should be increased. Yes, several parties thought the collective effort had to increase far beyond the government's proposal. We also know that there are many unsolved transport tasks in the Oslo area, in the central Austland and other places in the country that had sorely needed increased privileges. However, for none of these measures, there is a willingness to find means outside the national transport plan framework. The road conversion in Bjørvika is also not decisive to build the Opera. In St. pp. No 48 for 1998-1999 About a new opera house it became clear that road conversion was not necessary to build the Opera. [[II]] In the setting and the debate about the Opera, this was just underlined by all parties supporting the construction of the opera. On the other hand, it was up to 50 million. kr in order to ensure access to the operator’s service for pedestrians and road vehicles. Deceptive Minister for Culture, Anne Enger Lahnstein, said in the debate: ‘In the case of Bjørvika, the proposition is careful to clarify the prerequisites for the Government to recommend such a location in a subsidiary way. It is only a solution where the opera house is disconnected from urban development, which can be recommended.’ The centre party also sees no reason to connect these projects today. The centre party welcomes an urban development in Bjørvika. But in the plans contained in the message, there are very many uncertain elements, yes, there are more uncertain elements than is certain. Of the cost, more than DKK 1 billion will be passed on the state budget as means of transport, within or outside the national transport plan framework. Yes, the sum of the State budget may be higher if the road conversion is more expensive than the cost estimates provided. Since the road conversion in Bjørvika has little impact on the traffic development in the area, the Center Party believes that it is not right to use means of transport for this project.
ParlaMint-NO_2002-06-17-2.ana.ud761e1228	The Bjørvika area is an important node with significant noise and air pollution, hitting St. meld. No Twenty-eight soberly fixed. Without becoming unparliamentary, I'll probably take a little bit stronger in. The original urban week under Ekeberg has been a garbage dump for several state missions over several decades. Bjørvika has been lying fallow for years, and may have been said to have looked like a pig's path. Full of particulate matter, heavy transport and — at least before the arrival of the new Thon hotel — with the Postgiro building as the foremost eye-catcher, surrounded by a roaring traffic machine and scrap heaps. The Bjørvika has been called the largest of all street children around the Central Railway Station, orphaned and without support. I dare say that if this area were located in any other big city in Europe, we would have long ago had a comprehensive development and development project where the municipalities, state and private interests had known to take advantage of the values that lie right here. Because here it's not anything. There is no other place in the country where there are ruins of such importance as in the Middle Ages town of Bjørvika. And with so visible and exciting remains of the power struggle state/church and king/bisp, the two centres of power of the Middle Ages, both marked by magnificent churches and castle facilities. When Bjørvika now receives the extension of support contact and Stortinget sketches a propulsion plan for the construction of a lower tunnel that removes the traffic machinery, there are also opportunities for developing a new and exciting part of the city. Yes, the entire district can actually become a historical exhibition, a visualization of the crafts of the century, urban development, living conditions and culture, an illustration of Oslo, but also Norway's identity. In order to achieve this, the majority today advocates the sharing of responsibility between the State and the drivers for the financing of the national road conversion and sees it as positive that the landowners in the Bjørvika area agree to establish a joint development company and an infrastructure company owned by it. Gradually, the district is to be developed with dwellings, with medieval museum, cafes and, of course, the beautiful opera building, which was debated in the previous case. Then we can eventually be proud of this area, as with the new main aerodrome and the flight train, in addition to Oslo S, of course, is the main gateway to Norway. So let's not forget that. This is the first impression of American tourists, of in-vehicles, of European businessmen and potential investors and entrepreneurs. It has been a long and thorough job to solve the problems associated with Oslo Havn's areas in Bjørvika. Let me just mention it very briefly. Here Oslo port is now given the opportunity to dispose of the properties of the port cashier in Bjørvika for other than port purposes, but for the best of its ports. The lower tunnel in Bjørvika and the clearances that have now arrived are a prerequisite for opening Oslo east towards the fjord – from Alna, from Ekeberg, from Akerselva and from Old Oslo. Sometime in 1995, Sissel Benneche Osvold, commentator in Dagbladet, wrote an article about Old Oslo. She wrote: The assumption for all urban development is that people become residents even in the center. It is the best response to street violence, which thrives best in empty and senseless public spaces. I can join them too. In conclusion, I would like to do as Mr Froyn did, to congratulate both the nation and Oslo on the new landmark, not to say the main gateway to Norway.
ParlaMint-NO_2002-06-17-2.ana.ud761e1254	I first want to assure the representative Nybakk that Bjørvika actually has a support contact. It's called the Cooperative Government, also known as the Government of Bondevik II. That's what they say. In the big news that the Stortinget is addressing today, the Government is proposing increased investment in Bjørvika to realise the development of one of the most exciting, attractive and challenging urban areas in Norway. An important part of the background to the proposals put forward by the Government is that the assumptions on the part of the Storting, after the government's assessment, would lead to the country's new opera being in a junction of 100,000 cars a day, and it could not. Nevertheless, the Opera is not the only reason, and perhaps not the main reason for proposing state involvement in the development of Bjørvika. The state has to take responsibility for the country's capital, the state has a responsibility for the environment, and the state has a clear responsibility to clean up after itself in an area that has long been destroyed by a state-built road transport machine. The Bjørvika project can be a profitable project, both socio-economic and business-economic. The business-economic gain consists of the property values that may be triggered by the development of the site. In addition, the socio-economic value includes the environmental benefits, the traffic gains, the benefits of a more attractive environment for the Opera, and the contribution Bjørvika will provide to a more exciting and well-functioning capital. This last – the capital gain – I would like to underline is a gain that will happen to the whole country. The capital does not live in and for itself. It lives in and for the country as a whole. And those of us who are not from the capital, and who do not live in the capital, have almost as much pleasure in a well-functioning capital as those who actually live here for the day. In the work on this matter, the Government has placed a great deal of emphasis on establishing a structure and a division of responsibilities that can contribute to the realisation of the project in a way that at the same time limits the responsibility of the State and the financial contribution of the State. In order for the project to be realised, the profitability of the landowners must be higher than that foreseen in previous discussions. It was not realistic to assume that landowners could pay the bulk of the costs related to national road conversion, nor was it realistic to assume that the project would be economically viable for a 20-25-year extension period. Therefore, in the scheme presented to the Stortinget, it is provided for an extension over a 10- to 12-year period and, at the same time, it is provided that the State and the road users finance the sinking tunnel and the adjacent road areas. With these assumptions, the landowners consider the project to be profitable, even when taking into account the risks associated with the project. The state's contribution to the project is three-thirds. Firstly, the state takes responsibility for the national road conversion. Secondly, Oslo Havnevesen is allowed to engage in the project while limiting its liability through the establishment of a subsidiary. Thirdly, the State has a coordinating responsibility for the parties involved and for further development in the area. The government is therefore proposing that the State assume financial and implementing responsibilities for the conversion of the national highway. It has been said in the debate that the lower tunnel has limited traffic importance. That's pretty much right, but constrained doesn't mean zero. The traffic value of the tunnel is large enough to defend a not insignificant part of the total cost, and in the context of the high environmental benefits and urban development gains involved, there is no doubt that the State’s contribution to the sink tunnel can be fully defended on a socio-economic basis. In this respect, let me also make it clear to the representative Knudsen that the DKK 2.8 billion that is the cost estimate in the paper, of course, is an estimate, but it is not such that this is an estimate that could be just as likely to be NOK 8.5 billion. The DKK 8.5 billion to which the representative Mr Knudsen refers is an estimate of the total infrastructure costs for the whole of the Bjørvika area, including all the infrastructure costs to be covered by the landowners, and partly by the Municipality of Oslo. So this has nothing to do with the number $2.8 billion. The difference between DKK 8.5 billion and DKK 2.8 billion is a rough estimate of the infrastructure costs actually to be borne by people other than Oslo and road users. There is something in itself about the value that others attach to this project. In order not to go beyond other road projects as far as is strictly necessary, the Government, as mentioned above, wants funds for the State budget project to be substantially added to the NTP framework. What lies within the NTP framework is what can be defended on a purely traffic-related basis. In addition, the Government proposes that the citizens of the city and surrounding areas take their share of the bill through a high level of user funding, a high proportion compared to other road projects in the country, and which we must bear in mind are extra high, taking into account the fact that the citizens of Oslo are going to do here, are involved in financing an urban development that really benefits the whole country. The Progress Party has asked questions as to whether the landowners really support the consensus referred to in the Storing Communication, expressed in concrete terms in the Declaration of Will of the Municipality of Oslo and the Landowners respectively. In order not to be further speculated about this, I, as the representative Knudsen had in mind, took the end of last week's initiative for a conversation with the parties involved. I also had a meeting with Oslo Port Government. I think it's fair and reasonable, with the big interests at stake here, that when the parties want a conversation with the Council of State, I'll set up. I would like to make it clear that during the meeting with Oslo Port Board I did not put the weight on – it would not have been great to contribute, with my 72 kg. What I did, on the other hand, was to answer questions from the Oslo Port Board, and in particular questions relating to whether the state was willing to continue to take a coordinating responsibility for the further development of the case. And I could confirm that. I would also like to make it clear that the Port Board reiterated without reservation its statement of intent, after they had thus expressed the deep concern of the representative Knudsen earlier this day. The concern was no greater than that they so clearly and unequivocally repeated their declaration of intent the same evening. I can therefore assure the Storting that all parties are in favour of their declarations of intent, and that there is therefore a willingness to resolve the questions that remain unresolved in line with the instructions given in the notice and in the printed attachments. In this respect, I can also assure the Storting that my department will follow this matter closely, and that the Ministry of Labour and Administration will coordinate the work on the necessary agreements that need to be put in place during 2002, as a result of the Storting's agreement to the notification. It was just supposed to be missing! As the State Council that has brought the matter before Stortinget, it is my responsibility to ensure that the conditions of the case are met, and that the case is followed up in a proper manner. Let me conclude by saying that the Government is very pleased that it has been possible to reach agreement between the landowners, the Municipality of Oslo and the State, an agreement that ensures the development of an exciting area. I would also like to say that there has been a very positive attitude on the part of all parties – Oslo Port Government, the Municipality of Oslo and the private landowners – and it has been a willingness to find a good agreed solution for an area that deserves to be gathered on the task. It will be very exciting to see developments that will lead to the country’s capital being given a living part of the area that caused the country’s capital to take its old name back in 1925 over the course of 10–15 years.
ParlaMint-NO_2002-06-17-2.ana.ud761e1289	It's going to be line change.
ParlaMint-NO_2002-06-17-2.ana.ud761e1292	I think it's nice that the Council of State now essentially confirms my, ECON and HolteProchekt's claim that this whole thing will cost Norwegian society $8.5 billion in addition to the costs of the opera building itself. The Council of State is an avid follower of increased car taxes. Among the drivers, there is a significant concern about what the opera and Bjørvika development will cost them. The road manager in Oslo has already outlined the increase to NOK 20 from the new year. This is just the beginning. So what's going to be the next one-- $30, $50? What does the Council of State see as the result of this project the increase in tolls in Oslo? And where will he say stop? After all, according to the articles of the Council of State, this is a project of limited importance, in order to quote his own point of view in the paper. With regard to the situation in Oslo Port Government, I just have to refer to my main post and note that the Port Government saw significant weaknesses in the project on 13 June, when the Council of State, in a letter to the Progeny Group of 11 June, had said that it was a broad consensus. I won't go deeper into the matter, but just notice that I think it's a bit of a funny time, at 5 p.m. 21 in the evening, to meet with Oslo Port Government.
ParlaMint-NO_2002-06-17-2.ana.ud761e1301	Since the clock is now 22, I'm not going to comment on the last observation by the representative of Knudsen. When it comes to the question of what the total cost would be, let me make it clear: Yes, this is a big investment project. There's a terrible lot to do. No one has said that there is no significant investment involved for the parties concerned. The only question is: how much are taxpayers and road users required to bear? So they should not be charged NOK 8.5 billion. They will be charged costs, estimated at a total of around DKK 2.8 billion, for a solution that will provide a better traffic solution, which will allow the development of a part of the city, and which will also involve cleaning up the garbage that traffickers and the state have left behind in Bjørvika in the past. I would like to clarify: I am not a special member of the car tax system. I am in favour of having user funding and taxes to the extent necessary to finance what is reasonable joint activities in Norway. But I am very much in favour of the polluter paying. So in this case, the road user and the state have to pay in excess of the traffic value, largely the pollution they have caused to the area today.
ParlaMint-NO_2002-06-17-2.ana.ud761e1310	In St. pp. No 48 for 1998-1999 Renewed opera house made it clear that road conversion was not necessary for the construction of operas. [[II]] This was underlined in the setting and during the debate on the Opera from all parties supporting the opera construction. The national transport plan identified the Bjørvika project as an urban development project. It was also said that the Ministry of Transport will have a comprehensive funding plan before taking a position on the priorities of the National Road Planning Project in Bjørvika. St. Message No. On the other hand, 28 do not say anything about prioritising this project against other projects, but it is clear that a ‘special supplement in the road budget has to be granted without this at the expense of the NTP framework’. The Council of State also underlined this in its statement, and any increase in costs shall be added to the national transport plan’s framework. Normal transport policies around the whole country are to be given priority within a divided framework. For example, if we: in Møre and Romesdal or in other racial groups prioritize racial protection, it goes beyond the soft road users and the construction of pedestrian and cycle roads, because the frame does not extend. So my question to the Council of State is, Is the Bjørvika project top priority? And will this push other projects out in time? In the case of which project? Or is it so simple that this brief and good comes as an addition to the travel frame? And if the latter is the case, what will it take for other parts of the country that experience night road connections and racially dangerous school grounds to get off the grid to realize their projects?
ParlaMint-NO_2002-06-17-2.ana.ud761e1326	It is not common – I had almost said unfortunately – to put transport projects into the Ministry of Labour and Administration's budget. When the arrangement here is exceptional that the main gravity of the State's contribution to the sinking tunnel will actually come above a different budget than that of the Ministry of Transport, it is precisely to indicate that this is about much more than transport. It's about urban development, it's about cleaning up, and it's about getting an environment for the Opera. This means, of course, that Bjørvika comes into competition with all other good purposes in Norway, because this government has a budgetary discipline that implies that priority should be given to something else. But it is very clear that, in addition to the pure traffic value of this tunnel, Bjørvika is not going to compete directly with other transport projects, but of course it is going to compete with all other good purposes on a general basis, which any good action in any area must do.
ParlaMint-NO_2002-06-17-2.ana.ud761e1331	The council informed Stortinget that Oslo Havnevesen had in a way approved the existing plans. My first question to the Council of State is: Where in a port government protocol does it say anything that Oslo Havn has authorized to set up its own company, HAV Eiendom AS, with the properties located in Bjørvika? Paragraph 2: Where do the Board's protocols state that it is desirable to involve Oslo Havnevesen as an organisation through such a property company and to be the main shareholder in Bjørvika Development AS? Last Thursday at his meeting at 4 p.m. 15 took the Portevesen by seven against four votes – the head of the Port Board was among the four – the following decisions: ‘Oslo Havnevesen looks very seriously at the situation that has now arisen in the context of the development of the Bjørvika area. The Management Board of the Port Service expresses considerable uncertainty about the further development of the Bjørvika area and including the development of a possible HAV property company. The board of the port services believes that the responsibility now rests with the Government and the City Council of Oslo to make a proposal for further progress so that the decision of the Stortinge on the Bjørvika area and the decision of the City Council on the Fjordby is implemented in accordance with adopted plans. In this connection, the Port Board refers to the signals given by the Government just before Easter and the follow-up made by the Port Service. The case is otherwise for information.’ As a result of the collapse of the governor, who had suffered a considerable defeat, the state councillor Norman, State Secretary and Mayor Erling Lae, and then had a new board meeting where the only thing that happened was that the relatively meaningless declaration of will of 30 April was repeated. There is no concrete place to cover the Council of State's claims that the landowner, Oslo Havnevesen, is interested in participating in this.
ParlaMint-NO_2002-06-17-2.ana.ud761e1347	As the representative of Hagen will know, as an annex 2 to the paper, there is a statement by the Chairman of the Management Board of Oslo Portvesen and by the representative of the private landowners and other landowners, a declaration of will specifying in detail that the HaV Eiendom AS will be established. This declaration of will has been twice confirmed by the Oslo Port Board, by 13 June at the latest. I would also like to clarify that the representative Hagen's description of what happened on 13 June is directly incorrect. I had long before there was any board meeting in Oslo Port Board on 13 June, asked for a meeting with the stakeholders to get a confirmation that there were no problems before the Grand Prix. I was informed at that meeting, which was after the first meeting of the Port Board, that the Port Board was concerned about the further process. On that basis, I was invited to Oslo Port Board to clarify a number of questions. What emerged very clearly from the meeting in Oslo Port Government was that they were not concerned about what had happened so far, they were not concerned about the process until the decision of the Storting, but the concern they had was who would be responsible for coordinating the further process, because they felt that the state at this time might have thought of abdicating from the process itself. When they confirmed what I have also said in Stortinget now, that it is obvious that the state has a coordinating responsibility for the parties in the further process to follow the decision of Stortingen, they reiterated their declaration of will without any reservations but that they took note that the State wanted to coordinate the further process. So the description given by the representative Hagen of both the facts and what Oslo Port Government has or has not adopted is directly contrary to reality.
ParlaMint-NO_2002-06-17-2.ana.ud761e1357	I don't think we can clarify exactly this tonight. It will be up to the further debate that follows, what the former port director says, and what the members of the board of Oslo Harbour, who were present at both of these meetings, say. There are a lot of people here who know what happened, and I think my description is far more correct than that of the council. My question was not answered. When has the government of Oslo Portevesen ever committed in a way to Oslo Portevesen? They have a declaration of will of 30 April – which is relatively staggering in terms of reservations – repeated on Thursday evening. But I quoted the entire ruling decision, it was taken on a free basis. The proposal made by the Labour Party's board member Knut Roger Andersen thus received seven votes. It is the Chairperson who has signed this Declaration of Will that the Council of States now refers to as an annex to the Great Britain Communication. Note this: it is the Chairperson, not on behalf of and on the basis of a decision of the Governing Board. What happened on Thursday was that the chairman lost, his proposal got four votes. Another concern was given seven votes. That's why. No one was notified at the board meeting at 0 p.m. 15 o'clock that there would be a new board meeting. Twenty-one in the evening. It was because at that time the board took a decision without the enormous political pressure that saw the government parties – especially the Right – and the Labour Party came with its members on the Port Board. It was massive pressure that made it happen. Why else would a new board meeting be necessary some hours after the board had suspended its own board of directors on a free basis? Why in the world was not the Council of State and the Secretary of State and the Head of the City Council invited to the Governing Body meeting that was at 8 p.m. 15? And then I have one last question: will the Council of State guarantee that the state will never provide a guarantee for Bjørvika Development AS and all that will be of urban development work?
ParlaMint-NO_2002-06-17-2.ana.ud761e1369	To the last question: I can't issue any guarantee as to what future governments or future magnification might find to do, but what I can guarantee, is that the government in which I sit, as long as I sit as the Council of State, will not issue such a guarantee. When it comes to the question of what has happened in Oslo Port Government, I'm actually starting to wonder if the representative Hagen is particularly well informed. Let me read the printout of the minutes of the Oslo Port Board at a meeting on 13 June, where it says – Case 48 : ‘Decision:Oslo Havnevesen is on its declaration of will of 30.4.2002. The Port Board assumes that the State takes a coordinating responsibility at the AAD for the further development of Bjørvika and that binding agreements are reached between the parties during the autumn of 2002 [[by the end of September]] What actually happened – let me just repeat it – was that I had asked for an ordinary meeting with the head of the port board, with the representative of the OSU, Bjørn Sund, and with the mayor of Oslo to get a clear insurance policy before going to Stortinget, that everything was fine. Then the head of the Port Board informed us that there was a great deal of concern in Oslo Port Government for the further process. On that basis, I said that I would be willing to ask on the Port Board if I was invited to clarify these questions. At that meeting I was made aware that there was a great deal of concern about the further process. If the representative Hagen had read the decision carefully that he read up from here, and that went on what the port administration decided in the afternoon, he would see that it went on the further process until the creation of the property company. So the concern was that there was no one who could help coordinate the further process, given that the state would be done with the decision that I hope Stortinget will take today and Odelstinget tomorrow and then Lagtinget. When this question was clarified, everyone, including the proposer of the decision taken earlier in the afternoon, expressed that they had no problems with the declaration of intent or any real concern for the further process.
ParlaMint-NO_2002-06-17-2.ana.ud761e1390	Several have not asked for the word for a line.
ParlaMint-NO_2002-06-17-2.ana.ud761e1394	In his main post, State Council Victor Norman said that the landowners, based on risk assessments, had found that this development of the city would be economically profitable and therefore had made commitments. We have now been confirmed that the commitment is a non-binding declaration of intent by the Chairperson, which has been confirmed twice by the Board of Directors, on 30 April and 13 June. I also have the protocol from which the Council of State now reads, from which it merely repeats a declaration of will – the only place in a protocol where the issue of centrality is concerned, namely that Oslo Havn should be forced – not given an opportunity, as it says in the public documents – that the properties of Bjørvika should be incorporated into a separate limited liability company, HAV Eiendom AS. It has been made clear that nothing else of the port's assets is going into that company, only the areas, with a little money subsidy also from the Municipality of Oslo and possibly other landowners. This company should, as far as I can see, be the main shareholder in Bjørvika Entwicklung AS, which will be responsible for the development work – without state guarantee as long as Victor Norman is the Council of State. Then it becomes interesting: who is going to provide a guarantee for a small company with little equity, but with some properties that might be profitable, and loan them the large funds for the development work, in the hope that the sale of the developed properties will cover all the investments? Victor Norman said that the business-economic profitability was assessed by the landowners. It would have been interesting to present the note on the business profitability of the investments from Oslo Havnevesen. It's possible the director has made one, which no one else knows about. But it is quite clear that the former director of Oslo Portvesen for many years strongly warned against this. His attitude was to sell the properties to those who were going to develop this, and let some professionals on property development stand for it. It would have been interesting if the Council of State could say when Oslo Havnevesen in the crucial bodies has been presented with a single business-economic profitability analysis which they have found satisfactory in order to deposit their properties. Of course, when it is incorporated into a limited liability company, the rest of the Port Service will not be able to be exposed. But in relation to this company analysis, which I so far see Norman is doing well, that it will be a good profit for Oslo Portevesen to be with all the development work through a subsidiary, which is again the main shareholder in Bjørvika Development: if it does not go so that it is a great profitability, if it is actually such that you lose all the money, then who is it to fund Oslo Port's further development of new container port and port relocation? Of course, the whole purpose of Oslo Harbour has been to realise its values in order to get funds to invest in the new container port to be built. Doesn't the Council at all see that here it can actually seem like you're raping these properties, if it goes wrong financially, if it's going to be a huge loss? Then the port has lost the properties that were to be realised to further expand the port. It would be interesting to see who will grant loans to Bjørvika Development, without any special equity, without a municipal guarantee, without a state guarantee in a gigantic corporate economic risk project. That's one of the reasons why we're warning against this, and of course we don't want to be involved in what I call the Theft Act, the change in the port law that's happening tomorrow, which just aims to force Oslo Havn to get a legal right to be deprived of property, which to date has not been anything but the director of Oslo Havn, who is a politician, who has gone in for it. When Oslo Portevesen really only wanted to sell its properties and not become a major shareholder in a risky urban development, why could the Council not respect the fact that the port law has always been such that it is the best thing in the port, which should be the basis for the management of the properties paid by the port users, who are consumers again? We are at risk for the future of getting an extra high port charge in Oslo because so much of their money has been lost by forced participation in a risky development and property adventure.
ParlaMint-NO_2002-06-17-2.ana.ud761e1405	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2002-06-17-2.ana.ud761e1408	For one who has been a city government politician in Oslo, who is happy in Oslo, and who also has visions for the use of the Oslo Seaside, today is good. It is not right, as the representative Knudsen said, that urban development began with a single project. It's wrong. The Fjordvision came before Stortinget decided to add the Opera in Bjørvika. Unlike some other representatives, I believe that there is every reason to believe that we will succeed in the development of Bjørvika, not least because of the good cooperation climate that has developed between the Municipality of Oslo, the State and the Landowners. In fact, according to my information, this also applies between the State and the Port Service/Port Board. A unanimous port administration is behind the agreements negotiated, and it is pleased with the coordination and enforcement responsibility that Norman has assumed. All parties are pleased with his support contacts. The good thing about this fissure layer is that those who want to use the lower tunnel most have the best opportunity to enjoy opera performances and otherwise have orchestral space when a beautiful new part of the city rises, are the inhabitants of Oslo and its surroundings. We also want to contribute the most, but we get the most. The state contributes SEK 1.15 billion out of DKK 2.8 billion, i.e. 41 pst. of the costs. More attention has been paid to user financing of this project than is the case for most others. I am pleased that it is only the Progress Party that will vote against, and that does not see the enormous potential that lies in Bjørvika, and that will still have containers, noise, air pollution and closed sea edges for the population. There's not much progress in that. Because what's going on? We're getting rid of Norway's biggest junction today, which has led to significant noise and air pollution. We're getting rid of Norway's most expensive intersections measured in land costs, we're going to open Oslo against fjords, we're going to provide housing and nutrition, and we're going to create a significant cultural powerhouse. We open up important parts of our national cultural heritage to the public – the Middle Ages Park and the ruins of two churches, the Church of Mary and the Cathedral of St. Hallvard. Until now they have been hidden and partly under a motorway. It is a courageous project, which involves an important development of the country’s capital, and thus also has a national significance in addition to being a location for new opera – a magnificent building that deserves a beautiful neighbourhood.
ParlaMint-NO_2002-06-17-2.ana.ud761e1419	The case of the development of Bjørvika has, of course, also been within the transport committee. Conversion of the national road is a very central part of the development project. Regardless of the construction of the opera, the conversion of the road system in Bjørvika is desirable and will facilitate traffic diversion through Oslo. The size has been given multiple times before joining such a conversion. Having said this, there is no reason to hide that the funding of the new highway has created strong and understandable debate. Debates in the European Parliament the insecurity of costs. Lower tunnel construction is based on known technology, but complicated, and security is enhanced by poor ground conditions and ground contamination. The debate is also based on a fear that the national road conversion in Bjørvika will lead to road construction reductions in the rest of the country. These are not reactions that are culturally hostile and anti-Bjørvika, but a clear confirmation of the enormous need for a better path to save human lives and to provide growth and development in both districts and central struts. As a transport policy, I am therefore very pleased with the much-needed clarifications made by the Government and the Committee. The national road conversion should not go beyond road projects outside the Oslo area, and the Committee also suggested that the state funds for the road project should come in addition to full compliance in the period 2002-2005 as a whole. These formulations create a community of fate between Bjørvika development and road construction efforts in other countries as well. The fact that one thing is now being done completely depending on the other is the reason why the debate has stopped part of it. I hope that these arrangements will be met so that the Bjørvika tunnel can be accommodated by rolling out the national transport plan. It is in the next plan that the start of this process will be put in place, and with the commitments made by the Committee, I feel that the Transport Committee and the Stortinget have made a clear order that, without proper implementation of the objectives in the present period, there will be no national road change. But at the same time, I'm absolutely sure that both of these things will fall into place, and that we're going to have a conversion that the multiple has outlined. Both Oslo, the motorist here in the long term and the rest of the country will be on fire.
ParlaMint-NO_2002-06-17-2.ana.ud761e1428	The representative of Hagen's attempt to maximise the treatment of urban development for Bjørvika has only one rational purpose, and there is a search for possible arguments that everything is happening is wrong. What Hagen is doing is that he is simply wrong. His entire crisis image is a construction and remains a construction, no matter how many times one should possibly be able to repeat it from this pulpit. Had it been true, we would have had a situation that we should all have taken responsibility for discussing, but the truth is, in fact, as the Council of State has explained. In Oslo port government there have been concerns on the road, in different forms and with different content. These have been solved on the way. The first problem for Oslo Havnevesen was that they did not have an independent legal role in the process, because the Port and Water Law was in the way. We will solve this tomorrow through the proposal from the Committee on Transport. Today, Oslo Portevesen, and with the Oslo Harbour Government, has come to the point where they have got a place in the process they can be satisfied with. But their concern was, as the Council of State said, the future and the role of the state in the future process. And that's what we've been trying to take care of. That means that this illustrious meeting in two rounds on 13 June was not so dramatic, and I can say on my own behalf that it was definitely not after a significant or ‘massive pressure’, as it was stated, from the Workers’ Party, in relation to the Labour Party’s representatives in the Oslo Port Government, that the Workers’ Party also contributed to the clarification that was made. To the extent that I had any participation in that process, it was with all kindness and an extensive form of diplomacy that brought the ambiguities to clarity. That's what we were supposed to do, and that's what we're supposed to do before we get the decision it's made today.
