ParlaMint-NO_2002-02-06.ana.ud218e28	Magnar Lund Bergo will make a private proposal.
ParlaMint-NO_2002-02-06.ana.ud218e970	I thank you for that. I noticed, of course, that the Council of State said he'd give Health Mid-Norway some time, and I'm willing to do that in a number of different things. But just in this case, where we are talking about a big decision in line with the draft budget in St.prp. No 1 Appendix No 4, which envisages that the agreement will apply from 2002 and will not begin to apply during 2002, and it is specified in the budget, it must be expected that it will take place shortly. In fact, I think we should be able to expect it now. We have already come over one month into the new year, we are now writing February 2002, and there is still no agreement in place. So my question to the Minister of Health is whether he wants to contact Health Mid-Norway to find out where this matter stands, and possibly get ahead of the matter.
ParlaMint-NO_2002-02-06.ana.ud218e975	I tried in my first response to the representative Nesvik to state that that was exactly what had happened. There has been contact with Health Mid-Norway. It has been confirmed to me that the process is well underway. I undertake to ensure that Stortinget's intentions are respected, and then the representative Nesvik should also be reassured about that.
ParlaMint-NO_2002-02-06.ana.ud218e983	I allow myself to ask the Minister for Health the following questions: ‘Health Nord has decided to cut 60 million. krona at the University Hospital of North Norway without a previous public debate. The cut threatens a good, safe and complete hospital offer in North Norway. Will the Council of State instruct the Governing Board to reverse this decision, and how will the Council of State ensure that such decisions will not be taken in the future without public transparency and debate?’
ParlaMint-NO_2002-02-06.ana.ud218e992	As stated in the additional government number of the draft government budget, with such a great transition as is now taking place for public hospitals, there will be some uncertainty about the overall budgetary situation. It is therefore warned to the Storting that there will be a review of the budgetary situation in relation to the revised national budget in spring. In this situation, on the basis of the Storting budget decision, emphasis has been placed on maintaining the high level of treatment established in 2001 in hospitals, while stressing measures to improve the use of hospital resources in line with the intentions of the reform. This is the framework for the budgetary follow-up that is now taking place in regional health businesses. I am aware that there are significant challenges to this both for regional health businesses and for health businesses, in this case for Health Nord and the University Clinic in North Norway. I record that Health Nord places emphasis on both productivity-enhancing measures and that there is a long-term perspective on improvement measures. In this situation and with the assumptions I have given here, I do not find it right to intervene in the health of the North's budgetary follow-up. I also add that any intervention of the proposed type will break with a very important element of the new business model, namely the overall responsibility of the boards of regional health companies. I trust that it will be worked out on the basis of strategies to further develop a good health service and a good university clinic for the country. For its part, the size will have the opportunity to return to the hospital economy in the revised national budget. There are also questions of transparency and debate in the decision-making process. I remind you that the new business model has the task of implementing the health policy decided upon by national democratic bodies, with the Storting at the top. The implementation of these decisions with loyalty and force is also an important democratic element. Nor is it the case that the framework conditions laid down by the Storting for the new undertakings imply that their implementation takes place in some form of complete closure. The disclosure law applies to undertakings. I expect an active follow-up of information from companies. I have now asked companies to set up user committees, which will also contribute to greater transparency. As is well known, the proposal for health enterprise law proposed regional Council bodies, precisely on the basis of the aim of strengthening contact with local policy environments. This was one of the few provisions of the bill that was not adopted by the Stortinget. However, in the further dialogue with enterprises, I would like to stress that appropriate forms of contact can be developed with regional and local administrations. The new business model shall combine two important considerations — nationally defined health policies shall be implemented in a loyal and effective manner, and their implementation shall be carried out with the good participation of those affected. There are principles that I will focus on following up on further efforts to implement this major reform.
ParlaMint-NO_2002-02-06.ana.ud218e999	I would first like to thank you for your answer. SV has previously responded and been very critical to closed board meetings in healthcare companies. Governments in Stortinget replied to questions from SV that they initially agreed to open processes around health policy, but that they wanted to gain experience from both models, i.e. from both closed and open meetings of the Governing Board. What has now happened in Health North is a result of closed processes. Health policy has been removed from people – from popular influence, from debate and from engagement around the issue. Result: Only through the media has it been known that it has been decided to cut 60 million. kr – without getting a reason why the cuts have happened and how they could have been done, i.e. how one could have prioritised differently. Does the Minister of Health see this issue, which is very important in the north, both for public and political commitment and for confidence in good health policy?
ParlaMint-NO_2002-02-06.ana.ud218e1010	When the reform was adopted, I think the Stortinget was strongly concerned with the overall political and popular governance of health policy. That is why they wanted to bring together an overall responsibility for hospital operations in this room. This reform provides for an exemption and accountability of hospitals as undertakings by the appointment of members on the boards of undertakings, not as representatives of political parties or of geographical regions, but by virtue of their personal suitability. I think it'll be a threat to democracy if we drag these board members into party political processes. But when that is said, I would also like to say that I think a lot can be done in developing a good dialogue – hearings, contact meetings, county planning processes, etc. – between the enterprises and the regional elected bodies, i.e. the municipalities and counties. I'll work for that. And then – as the representative Lena Jensen was in the house – we are going to gain experience from the companies that have actually chosen open meetings and see how it has worked. I'm going to have a prejudiced attitude in the assessment of those experiences. But it's a little early to draw the conclusion after six weeks.
ParlaMint-NO_2002-02-06.ana.ud218e1021	I would like to thank you for your answer. Health policy is one of the most important policy areas in Norway, ensuring that health services are easily accessible, secure and equal throughout Norway. A 60-million-dollar cut. kr to Universitetssykehuset Nord-Norway is a real and big cut. One of the most important arguments for the state to take over hospitals was easier access to resources and easier access to governance. When Troms County was in charge of hospitals in the north, it was tough, but through a popular and broad debate, it was possible to ensure a good and secure hospital service – which often also affected other important policy areas in the county. The Council of State says that he wants a review of the revised national budget and that he will follow up the question of open/closed board meetings. I hope that the Council of State has taken inward the signals that have come from the north, and the signals that have come from different political environments, in relation to how difficult the open process and the open debate about maintaining a good hospital in the north are.
ParlaMint-NO_2002-02-06.ana.ud218e1032	I can assure the representative Lena Jensen that I am most closely following developments in the way the reform works. I think it is important to follow developments with an open mind, regardless of the point of view of the reform when it was adopted. It was not that everything was very well, that it was not cut in operation, and that there were no geographical differences during county operations. On the contrary, of the waiting list numbers from the last year of county hospitalisation, there are large geographical differences between counties in waiting times. I want to use this reform actively and constructively to create better available health services and to create less geographical differences. And if anyone thought that the reform was going to give the hospital directors direct access to the state fund, they've been wrong. I think we need to talk about that clearly.
ParlaMint-NO_2002-02-06.ana.ud218e1041	In line with the notified changes, we are now going to question 13.
ParlaMint-NO_2002-02-06.ana.ud218e1047	This question, from the representative André Kvakkestad to the Minister for Education and Research, will be answered by the Minister for Health who directs him.
ParlaMint-NO_2002-02-06.ana.ud218e1050	I want to ask the Council of State the following questions: ‘The size sought to facilitate the conversion of foreign education into equivalent approved Norwegian education. It is also Stortinget's wish that one can build on education to acquire full competence without having to start all over again. Human dieck therapists from the Netherlands have previously been approved as physiotherapists if they have taken additional subjects in addition. Why has this practice now changed?’
ParlaMint-NO_2002-02-06.ana.ud218e1059	Initially, I would like to clarify that the authorisation system for healthcare professionals is intended to contribute to the safety of patients and to the quality of healthcare as well as to the confidence of healthcare professionals and healthcare professionals. It is therefore a fundamental condition for obtaining authorisation as a healthcare professional to apply for, among other things. have been trained to meet the relevant professional requirements. The Health Act regulates 27 different health professionals’ groups that may receive authorisation. Human dieck therapists are not an authorised group in Norway and therefore the professional title is not protected either. This means that a person with general education can pursue the profession and call himself a folkdieck Gymnast in Norway without applying for an authorisation or licence. It will be the health care employer in Norway who will decide whether there will be a need to add persons with such training. After I have been informed, the Dutch folkdieck education does not qualify for authorization as physiotherapist in the Netherlands. For this reason, neither does Council Directive 89/48/EEC on the mutual recognition of diplomas apply to applications for authorisation as physiotherapist in Norway. However, Norwegian folkdieck education follows the same framework as physiotherapy training and both qualify for authorisation as physiotherapist in Norway. The past practice to which the representative Kukkestad refers is long overdue. Later, the requirements for training as a physiotherapist have changed several times, both in the EU and Norway. The assessment theme for the recognition of applicants for foreign education is whether the foreign education is equivalent to Norwegian education or whether the applicant can otherwise demonstrate the necessary skill. In December 2001, both the State Office for Health Professionals and the Board of Appeal of the State Health Personnel Department rejected a specific application from a person with a Dutch so-called Cesar education, who in the Netherlands is equal to the human-dieck education. The refusals were based on an in-depth assessment by the University of Oslo of Dutch education and were among others. justified on the fact that the training has many, and also significant, shortcomings in relation to Norwegian humandieck or physiotherapy training. The higher education institution could therefore not consider Dutch folkdieck education to be equivalent to Norwegian human-dieck or physiotherapy training. It was also stressed that the training of complainants does not qualify for authorisation as a physiotherapist in the Netherlands. In my opinion, the assessment of Dutch human thickness training by Norwegian health authorities seems reasonable as it also does not lead to authorisation as physiotherapist in the Netherlands. Let me also say that I am generally concerned with contributing to simplifications in the authorisation schemes in this field. I would therefore like to take the initiative to review the whole authorisation system with a view to maximising simplification within the regulatory framework we have and, if necessary, to come to the Stortinget with proposals for legislative changes in order to contribute to further simplification.
ParlaMint-NO_2002-02-06.ana.ud218e1076	I would like to thank the Council of State for the answer. But what was the starting point for the question was not only whether the current training that he has is to be approved, but also whether he can also be given the opportunity to take additional training instead of re-starting completely. I understand that you don't want to do anything about it. Furthermore, it is worth noting that the Oslo High School provided two answers to the question of whether this should be accepted — a yes and a no. The Department of Health and Human Diocese and Physiotherapy Training concluded that this should be approved. Does the Council of State wish to take an initiative to focus more on the additional training you can take to qualify, rather than to put everyone on the school bench to take the same subjects and the same professional combinations that you have already taken? Since it cannot be appropriate either for the economy or for the school capacity or for the individual?
ParlaMint-NO_2002-02-06.ana.ud218e1085	For the sake of order, let me draw attention to the fact that we are now moving into the frontier country towards the responsibility of the Minister of Education. I will therefore refrain from making any real-life assessments of the question of how and on what basis to build a course of education in Norway with a foreign education. The general scheme is that it is initially the educational institutions themselves who have to assess the value of foreign education and what it is worth in relation to what might be built on in Norway. But let me in general say that we are busy having a good access to health professionals in Norway, also with foreign education and origin. It has to be done in a clean manner, and it has to be done on a good professional basis. I will be constantly looking for simplifications in the administration and in the legislation on this, so that we can have a smooth supply, based on soundness.
ParlaMint-NO_2002-02-06.ana.ud218e1094	I agree that this almost belongs to the Minister of Education and Research, and that was in itself the Council of State I wanted to get answers from. It is a little strange that the Minister of Health did not see this in the question, where it says that ‘it is also Stortinget’s wish that one can build on education in order to acquire full competence’, etc. That the government then chose to let another state council answer, I just got to take note. Is it the case that the Minister of Health could expect to take an initiative with the Minister of Education and Research in order to get a clearer policy on continuing training for foreign education as well, instead of starting from scratch, to start all over again?
ParlaMint-NO_2002-02-06.ana.ud218e1101	I will not go into any polemics with the representative Kukkestad about who answers what questions. However, the specific question asked by the representative Kukkestad is linked to authorisation as a physiotherapist in Norway, and it is the responsibility of the health minister. Therefore, the two Councils agreed on this division of labour. I am aware that information related to the education sector is part of the premise for this issue. From the Ministry of Health we have a good dialogue with the Ministry of Education and Research on these issues. We are concerned that there should be a link between what the education sector is doing and what the health sector is doing in relation to how we value foreign education. I will be allowed to come back to this.
ParlaMint-NO_2002-02-06.ana.ud218e1108	So we go to question 2. This question, from the representative of Marit Nybakk to the Minister for Foreign Affairs, will be answered by the Minister for Development on behalf of the Minister for Foreign Affairs.
ParlaMint-NO_2002-02-06.ana.ud218e1117	I have asked the following questions to the Minister for Foreign Affairs, and have accepted that they are answered by the Minister for Development. Otherwise it had to be postponed a week, and it's too long, because here's the matter of time: ‘A woman in a Muslim state in Nigeria has been sentenced to death by stoning because she has born a child after divorce. Does the Norwegian authorities do anything to influence Nigeria’s central government to intervene?’
ParlaMint-NO_2002-02-06.ana.ud218e1126	Nigeria is characterised by considerable internal tensions, not least in the north, where eleven of the Länder have introduced Sharia legislation on their own. Together with the traditional rivalry between the three largest ethnic groups — Yoruba, Hausa and Ibo — these tensions can have very serious consequences for the further development of the country. The Norwegian authorities have received several requests from individuals to communicate to the President of Nigeria that he must pardon that woman – Safya Hosseini Tungar Tudu – who has been sentenced to death in a Sharia court in the state of Sokoto for having a child outside marriage. Safyia Hosseini has filed an appeal against the judgment of Sokoto State Sharia Court of Appeal. The anchor should initially have been dealt with in January, but is provisionally suspended until 18 March. The outcome may be appealed to the Federal Court of Appeal and the Nigerian Supreme Court. If these were to support the stone sentence, the governor of the State of Sokoto must finally approve the execution of the stone. President Obasanjo and the Nigerian Government thus have no formal influence in the proceedings, and the Sharia Court judgment has been very contrary to the wishes of the President and the Federal Government. The federal authorities have inter alia: sent three lawyers to assist the defense of Safya Hosseini. This should be the first time a Sharia verdict has been filed in Nigeria. Safyia and her family are also supported by a Nigerian Human Rights Organisation (BAOBAB) with a high level of competence on Muslim women's rights. Our embassy in Lagos follows the case against Safya Husseini carefully. Neither Norway nor other Western countries have so far resorted to public criticism of the judgment. This assessment is in line with recommendations from the human rights community and Safya's own lawyers in Nigeria, who consider her position to be very vulnerable. It goes without saying that we will continue to follow this matter very closely. We will maintain close contact with other countries and human rights organisations to see if there is anything more we can do. We hope that the Federal Appeals Board will uphold the death sentence of the Sharia Court of Sokoto State.
ParlaMint-NO_2002-02-06.ana.ud218e1143	I would like to thank the Council of State for a thorough answer, for a thorough explanation. It's a very special case. In the Muslim state of Sokoto, a 35-year-old woman has committed the crime of giving birth to a child after a completed divorce. It's also very special in Nigeria, and the Council of State, of course, knows that you have Sharia legislation, because it's a Muslim minority we're talking about, and it's a fundamentalist minority. It's a barbaric -- and I'll almost call it an old-fashioned -- manner that we're talking about. It is also true, as was said, that the Land itself determines this legal system. I also want to add that 3,000 people have been killed in riots just since the Sharia legislation was introduced two years ago, and that this is probably not the last thing we see. I believe that the international community cannot accept the atrocities committed against women in such societies. The Safyia case is now becoming an international symbol case. Although Western governments keep a low profile, the international press is very concerned about this matter. I will therefore continue to ask the Government to exercise the discretion it must be to exercise the pressure, at any time, in this case.
ParlaMint-NO_2002-02-06.ana.ud218e1154	I just want to first reserve maybe the expression ‘oldestestestimate’ for other kinds of practices. I do not know if there is written evidence for this. Besides, this is not a matter of using any sense of humor. This is very serious, and I share the representative's assessments of it. There's no doubt about it. President Obasanjo is in a very difficult situation when several states self-declared to introduce sharia legislation. It is quite correct, as the representative says, that there are considerable tensions in Nigeria, not only ethnic but also partly religious in relation to the very use of Sharia legislation. The government attaches great importance to women's rights. What we have to do in this case is consider how we should do it in such a way that we take care of Safya's case in the best possible way. As I said in my first answer, her position is considered very vulnerable, and that means that we also need to make a very careful assessment of how this should be handled in relation to the environment in Nigeria. We don't want to risk her getting into an even more difficult situation, so that's the basis. However, the exposure is very heavy.
ParlaMint-NO_2002-02-06.ana.ud218e1163	I'm not going to be in any definition debate, but it's probably not entirely random that stoning in English is called Biblical Punishment. Then I would like to stress that Norway holds the Human Rights Tab very high, and the Council of State is among those who have done so. Isn't it time for us to take seriously the trampling on women's human dignity and the deprivation of human rights that we see in more and more countries? Also, because Sharia legislation is spreading, this is happening in several countries. We see that male elites use religion and culture as a tool for social control of women and resort to cruel abuse. I mean – and I know that the Council of State agrees with me on this – that you can never be culturally related to human rights. I would like to ask the Council of State whether it is such that the Government will also in its international human rights exposure intensify its efforts to prevent such judgments from being passed – i.e. trying to improve the overall human rights situation for women.
ParlaMint-NO_2002-02-06.ana.ud218e1170	There is no doubt about the Government's commitment to women's rights. An important human rights fight that is also particularly topical now is women's rights in Afghanistan, which is a country that we can also see will be enshrined in Sharia legislation for the new government. It's not yet clear, but it can go in that direction. This means that the importance of focusing on women's rights is all the more important, and also the importance of doing so in a way that can be achieved. So here it's important to keep the tab high. At the same time, it is important to find tools and ways to influence which allow a reasonable chance of impact and success. So here you also have to use cultural competence, even though I fully agree with the big business representative's assessment that it's not that it can mean that we can go on chords with fundamental rights. It is therefore important to have both an instrument debate and an instrument debate. And just for the representative's briefing: the new director of the UNDP, UNFPA, is a Saudi woman. She's working a lot on just these questions, and I think it can be exciting in the future.
ParlaMint-NO_2002-02-06.ana.ud218e1179	We're going to go to question 11.
ParlaMint-NO_2002-02-06.ana.ud218e1186	I will ask the Minister for Oil and Energy the following questions: ‘After the Minister of Oil and Energy’s meeting with Natural Power and their owners last week, there has been considerable doubt as to what is the Government’s position on the concessions given to the company for the construction of gas power plants. Can I therefore ask the Council of State to explain what signals were given in response to the forces of Nature, and what are the Government's views on the possible extension of the company's concessions?»
ParlaMint-NO_2002-02-06.ana.ud218e1195	On Tuesday 29 January, a meeting was held in the Ministry of Oil and Energy at the request of Naturkraft AS. The company wanted to discuss a possible cooperation programme for the deposit and clean-up of CO2 in gas power plants and any conditions for the extension of natural power concessions with regard to the entry into service of the two planned gas power plants at Kårstø and Kolsnes. In the meeting I was willing to consider any extension of the concessions based on a cooperation on the construction of CO2-free gas power plants. I stressed that the conditions were so far not discussed in the Government. In the light of the reactions that emerged after the meeting, the matter was discussed in greater detail with the other government parties. The conclusion was published in a press release on Friday 1 February and can briefly be summarised as follows: The Minister of Oil and Energy's call and proposals for Natural Power have the government's support. If the force of nature does not find that it would seek the extension of concessions under these conditions, the matter will be dealt with in an ordinary manner. Section 18.3 of the Pollution Act with regard to new technologies that are commercially available will be given decisive importance. The government sees it as very important to establish framework conditions for the realisation of CO2-free gas power plants. Time is working for this. In order to achieve rational, robust and forward-looking solutions, we are now assessing a variety of incentives, framework conditions and models in a dialogue with the industry. I am pleased that there seems to be increasing support in the Storting for such a policy. The Government has decided that a project group, chaired by the State Secretary of the Ministry of Oil and Energy, will develop proposals to specify the measures and support mechanisms of this cooperation programme. The size of these proposals will be able to be addressed later this year when the landfill notification on the use of gas is addressed.
ParlaMint-NO_2002-02-06.ana.ud218e1211	The working party is also committed to using it at all times as environmentally friendly technology, including in relation to gas power plants. It has to be clear. I am pleased with the retreat that Steensnæs now actually does, and as he also did on Friday, for the signals given in the encounter with Nature Power and their owners were most contradictory. On the one hand, a demand was made for the construction of CO2-free gas power plants, but at the same time the company was not to be given the time they thought they needed to develop the technology to achieve that goal. In addition, it was quite clear – as I understood Right’s reaction, and as our reaction was – that the waters with which the Council of State operated were contrary to the majority of the Storting. Because I feel that the Council of State with this answer is not quite clear, I would like to ask: can the Council of State now guarantee that the company will have the time they are asking for, so that it will be in line with what a majority in Stortinget wants?
ParlaMint-NO_2002-02-06.ana.ud218e1220	I can assure the representative Sylvia Brustad that I am going to continue the fight for the gas power plants to be built in this country to be CO2-free, and I am, as I said, glad that there is increasing support in the Stortinget for this. So now, natural force has made it clear that there is no commercial basis for the construction of such conventional gas power plants. This, of course, gives us an opportunity to get through in collaboration with Natural Forces to build CO2-free gas power plants. But, of course, if such cooperation is to be established, it means an obligation for both parties, and this must be clarified with the force of Nature. My suggestion in the meeting with Natural Power was just to give time. I offered Natural Power to extend the conventional gas power plant concessions to commit cooperation in the case of CO2-free gas power plants. Today, conventional gas power stations are no alternative. But I can say that the Government will of course deal with the assumptions that the Storting at any time determines – in this case as in all other cases.
ParlaMint-NO_2002-02-06.ana.ud218e1227	I thank the Council of State for the answer, and I am happy for what he says. After this meeting, it was at least clear that the Council of State had made clear demands for the extension of the concession. It was contrary to what a majority in the United Kingdom wanted, not because a majority in the United Kingdom does not also want the most environmentally friendly technology available at all times, but because the company itself says that they need more time to get to the technology that can provide as close as possible CO2-free gas power plants. Let me then – just to make it clear – ask one more time: Can the Council of State guarantee that the company will have the time they need to approach a technology for CO2-free gas power plants, and – if they believe that it is not possible to do so – that they will still have time and opportunity to build what they have actually received?
ParlaMint-NO_2002-02-06.ana.ud218e1236	It is not possible to apply concession treatment in Stortinget. I also did not receive any concession treatment during the meeting with Naturkraft. If natural force requests an extension of the concession period, it shall be subject to the normal procedure, with the consultation rounds, the appeal period and the appropriate procedure necessary. From this I will base the Storing's assumptions and the treatment framework. However, I stress that Section 18.3 of the Directive will always be based on the best technology, and in this case it will also be arduous if natural power finds it difficult to build conventional gas power plants.
ParlaMint-NO_2002-02-06.ana.ud218e1244	This question, from the representative Karita Bekkemelm Orheim to the Minister for Children and Family Affairs, will be raised by the representative Oddbjørg Ausdal Starrfelt.
ParlaMint-NO_2002-02-06.ana.ud218e1247	I would like to ask a question to the Minister for Children and Family Affairs: ‘The evaluation of free short-term kindergarten offers for all 4- and 5-year-olds in Old Oslo city shows very positive results. The Councils of State have called for the introduction of this scheme only for immigrant children throughout the country. Will the Council of State implement this, or will she ensure that this offer benefits all children?’
ParlaMint-NO_2002-02-06.ana.ud218e1256	First of all, I have to point out that the claim in the question is incorrect. I have not proposed introducing a scheme for immigrant children only. It is true, as the representative of Orheim says in the question, that the evaluation of the offer of free short-term kindergarten in Old Oslo shows very positive results. I have to make it clear, for the sake of order, that this is just the offer for the five-year-olds who have been evaluated. The four-year-olds’ offer was launched later and is planned to be evaluated by the end of this year. When all the evaluation reports are available, of course, I will also carry out a thorough review of the results of the trial project as a whole. In this round, however, I will first carefully evaluate the results obtained for the 5-year-olds before deciding whether to continue a free kindergarten offer. We have not concluded on the issue of whether the offer should only be given to children with a minority background, or whether it should include all children, or be a scheme for children with language difficulties, regardless of ethnic background. A State Secretary’s own committee has discussed various integration measures in relation to children and young people. In this context, a cross-ministerial working group has been set up to investigate and propose different models of Norwegian training for pre-school children with a minority language background and their parents. In practice, this usually means mothers. The working group shall work quickly and shall also assess and assess the consequences of any continued free part-time offer. In the first instance, it may be appropriate to test more models of such Norwegian training in several municipalities and urban areas than Old Oslo, but a decision on this needs to be taken at the back of the recommendations of the working group. I can assure you that the will to do something is there, and that the focus will be on the possibility of better Norwegian knowledge and language training in a prevention perspective, as the Prime Minister has also pointed out in the Questionnaire earlier. It may then be natural to link some of this follow-up to the revised national budget.
ParlaMint-NO_2002-02-06.ana.ud218e1267	I thank the Council of State for your answer. I'm glad that the claim is not correct, but I'm returning the question if the Council of State is open to offer only to immigrant children. I would like to point out that it can have negative consequences for integration very quickly, because it will cause irritation among Norwegian parents who do not receive corresponding free supplies. What we have uniquely offered in Old Oslo is that it has our free for everyone within that district. It's 98 pst. by the young, and so it has our success. I have actually visited these kindergartens, and we extended the evaluation period precisely because the measure was so positive. So I have to ask you one more time: is the Council of State still open to offer only to immigrants? Or is she at least aware that this can give negative effects to these kids?
ParlaMint-NO_2002-02-06.ana.ud218e1276	Like the representative, I have also visited two of these kindergartens, and that was a great experience. The question is whether a targeted action like this, linked to the needs of some children for better Norwegian training and better integration, will work negative if not all children receive the same offer. It's an interesting issue, but it's a long step to go, from a limited attempt in a metropolitan part of Oslo where the majority of the children actually come from different minorities, to the proposal on the issue, namely, free kindergarten for all children, which the Workers' Party here is calling for. Following the evaluation round and the work currently under way, including: in the working group, I am committed to finding the best solutions for children who need language training before school starts, as well as better integration. I am sure that we will be able to find arrangements that will solve the problem that has been raised.
ParlaMint-NO_2002-02-06.ana.ud218e1285	Once again, I thank the Council of State for its answer. The workforce has ambitions to get kindergartens much cheaper, and that they should be free of charge for those who think least, because we are fans of graduated rates. I might well want to ask about the views of the Council of State on this, because in addition to this free offer, which is probably primarily intended for special urban areas where there are large sections of immigrants, it will be important to use other tools to reach those who have the least income, and who may also have a home-living mother who does not pay extras to send the kids to kindergarten. I have to say that the Council of State has created a little wild reire about the price – whether it is NOK 1500, as the Christian People's Party has said, or NOK 1500–2,000. In addition, I would like to ask, does the Council of State have a system of grading these nursery bets?
ParlaMint-NO_2002-02-06.ana.ud218e1294	We have a clear objective of reducing kindergarten prices in Norway. We have a clear plan for this by the end of 2005, which I have said several times before in Stortinget. Perhaps one of the most important tools will be a change in the funding mechanism, which I expect the representative to know, that it will be a first step on the way. Then we will follow up on what the Storting has also been dedicated to, namely getting public funding up to 80 pst., and that the parents will then pay 20 pst. of the operating costs of kindergartens. We work intensively for this. This is a major reform which will lead us to arrive at approx. halving the nursery prices by the end of this period. That's our goal, and we're working for it.
ParlaMint-NO_2002-02-06.ana.ud218e1301	Question 13 has already been answered.
ParlaMint-NO_2002-02-06.ana.ud218e1307	I will be allowed to ask the following questions to the Minister for Education and Research: ‘Holden Free School Foundation wants to establish a new school at Idd. Their application is now in the department. According to the Education Association in Halden, the school will have an entry code that excludes students who need special education. What does the Council of State think of this?’
ParlaMint-NO_2002-02-06.ana.ud218e1316	The Halden Friskole Foundation applied on 14 September 2001 for the approval of a primary school under the Private School Act. The rules on admission, annexed to the application, show, inter alia, that: that the school wishes to make a specific assessment of its ability to accept students who need additional resources. It is clear from the Private School Act that schools approved by law cannot impose requirements for admission other than the public school. If the school application exceeds the school’s capacity, the school may give priority to applicants for the school’s purposes. This is evident from the pre-worker of the law. Students in private schools approved under the Private School Act have the same special education rights as students in similar public schools, and the respective home municipalities of the pupils cover the costs of special education. This includes, inter alia: that a school approved under the private school law cannot refuse an application for admission because the student needs special education. In a letter dated 28 September 2001, the Ministry recommended the Halden Foundation to make several changes to the application. The Ministry has, among other things: recommended by the Foundation to delete the point in the Input Regulation which deals with the admission of students with the need for additional resources. The Ministry has received feedback from the letter of the Foundation on 4 December 2001. The letter states that they do not wish to comply with the Ministry’s request to delete the point of the regulation that concerns admission of students with additional resources. The application is being examined in the department, and I intend to settle the matter within a short time.
ParlaMint-NO_2002-02-06.ana.ud218e1327	I thank the Council of State for the answer. Based on what the Council of State now says, Halden Friskole does not want to delete the point that we, among other things, want to delete. I'm talking about here, about excluding those who need special education, I kind of understand that she'll be very sceptical about approving such an application. It says, among other things: in the application that the intake assessment will include ‘if the student requires resources that the school is unable to provide’ — it is clear that there may be a great deal — and ‘if the environment is able to accept the student’ — and what does that mean? The Workers' Party believes that this would be a violation of the private school law, and that it is therefore not possible to approve such an application. Now we hear here that Halden Freiskole will not withdraw the point of the application that we are talking about here. Does the Council agree that the application cannot be accepted?
ParlaMint-NO_2002-02-06.ana.ud218e1341	I can assure the representative Sign Eye that I intend not to break the private school law. The law allows the Council of State to exercise discretion, but there are a number of parts of the law that are not subject to discretion. As far as such applications are concerned, I think it is most appropriate for the applicant to receive an answer to the application directly and not via the Spokesman of the Grand Duchy. I assume that I am not going to approve schools that reserve the right to refuse admission applications from students because they need special education. I can probably add that in connection with such applications it is not unusual that there is a dialogue between the ministry and he is applying for individual elements of the application, and that I have been given certain indications that such a dialogue is taking place. If necessary, it must be completed before we finally decide on this application, and then I will inform the applicant of the answer.
ParlaMint-NO_2002-02-06.ana.ud218e1350	Once again, I thank the Council of State for the answer, and I understand that the Council of State also believes this is a violation of the private school law. Now it's also the case that Halden Free School requires a quarter of the teacher's salary to go back to school, as a sort of hard work. There may be ideological reasons for that, and it's a voluntary arrangement. The working party believes that it must be a matter of concern to have such a scheme as to pay. It is clear that such systems exclude large groups of teachers, for example. Lonely caregivers. Otherwise you have to be married to someone who makes a lot of money, or be in special stages of life etc. which allows you to take a job in such a school. Kristin Clemet has previously stated that private school should contribute to more diversity. Does the Council of State think that these restrictions that emerge here contribute to more diversity?
ParlaMint-NO_2002-02-06.ana.ud218e1359	I do not know all the aspects of this application in detail, but the private school law is such that some criteria, requirements, are absolute. Besides, there's a great deal of discretion, and it's not so very perceptive if that discretion is exercised a little bit different from different political managements. I have previously stated that I think it is an unfortunate large room of discretion. I believe that it creates a small degree of predictability and legal certainty for applicants. We therefore intend to revise the private school law, simply because we do not think it is that good. With regard to the individual details of this application, I am unable to comment on them here and now. I have entered this application at the point where I got a question. In addition, I do not know all the details of the dialogue between the applicant and the department, including: because some of the dialogue took place before the government change.
ParlaMint-NO_2002-02-06.ana.ud218e1370	I have the following questions for the Minister for Fisheries: ‘The salmon agreement between Norway and the European Union expires at the end of the month of June/July 2002 and must therefore be renegotiated. In the current salmon agreement, Norway has a minimum price scheme of approx. 25-26 kroner, while the current salmon price on the EU market is about Sixteen dollars for breeding. Norwegian breeders are therefore forced to break the minimum price rules if they are to be able to sell salmon on the Union market. What will the Government do in the short and long term to ensure a stable and profitable market access for Norwegian salmon on the EU market?’
