ParlaMint-NO_2002-06-18-2.ana.ud2212e76	Can the President ask for a withdrawal in silence? Please, Councillor Børge Burnde!
ParlaMint-NO_2002-06-18-2.ana.ud2212e1206	The representative has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1211	In previous years, the Progress Party has been with the Right to want to sell to state companies. The party argued in principle that the State should reduce its holdings in companies in which the State is the owner or the joint owner. By the time the 2001 budget was examined, the Progress Party, together with the Right, stated that the two parties would have a degressive plan in all companies in which the State holds interests. It is clear that the Progress Party has now adopted a different position. I have heard that one of the reasons for the turnaround of the Progress Party is that the state has become so rich and has so much money. I would therefore like to inform the representative Hedstrøm that the state has not become much richer during the last year. Moreover, last year there were also quite certain forecasts of where the rich state of Norway would be in 2002. I therefore ask that the representative Hedstrøm provide an explanation of what makes the reality of the Progress Party so completely different from state ownership from 2001 to 2002.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1220	It is true that the Progress Party earlier went further than the Right, and would go faster than the Right for the sale and sale of state businesses. But with our new program, adopted at the national meeting last year, there has been a shift. We still want to sell and sell state-owned businesses, especially non-strategic companies, but we want to hurry slowly. Most of us remember the centurion's anniversary. He then predicted a reduction of 60,000 industrial jobs in Norway up to 2010. So it's gradually changed, and even though it's going to be the national meeting and program every four years that might be the best thing to do for each party when it changes policy, it's crystallized by this ownership announcement. We want to speed up sales and sales because we want a plan in place first. We do not want the values to be transferred to the Petroleum Fund and invested in Chase Manhattan Bank, The Coca-Cola Company, Ford Motors, The Texas Company, without creating a single job in Norway, or creating special ringing effects for Norwegian industry. That planlessness takes the Party of Advancement away from. That's why we want to figure out different fund structures. We look at our neighbouring country, Sweden, where the AP funds and pension funds – yes, they actually have funding solutions ready – have been used since the 1960s with success for Swedish industry and with good returns internationally. What they're arguing about in Sweden is how much of the money they're going to put in Sweden and how much internationally.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1229	Several have not asked for the word in reply, and we go back to the ordinary list of speakers. I'm sorry, the president didn't ask Sanner to speak, did he ask for the floor before the president ended the change of line, or while the president did?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1234	Now, Mr. President.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1241	But it doesn't work, sorry, you get to stick to the rules. Olav Aksensen is next speaker.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1246	The world is in total change. Globalisation is growing. The land limits are getting smaller and smaller. This is what we see in most areas of society, but it is particularly true for business. Mergers and acquisitions are taking place at an increasing rate. Size becomes more important and important in most industries. It's about buying or being bought, eating or being eaten. Size and network are essential to close, and access to capital is essential to hang with. The market is also in total change. While a few decades ago business was largely based on the further processing of local raw materials for a local market, today competition from enterprises located in whole other parts of the world is becoming increasingly widespread. Sub-contractors and customers may also be located on the other side of the globe. Global business is becoming more and more daring together. Crises in other parts of the world also affect Norwegian business, which includes: looked after the terrorist acts in the United States on 11 September last year. Norway has a small and very open economy, and even very large Norwegian companies are becoming small in an international context. It provides special challenges for Norway. For the Workers' Party, a part of the good life is to have good, stable and interesting jobs for the inhabitants and a secure income base for future generations. It is therefore important for us to ensure that some important companies are run from Norway and that companies have headquarters and important functions as research and development departments located here in the country. We have to avoid Norway becoming a branch country where all business is directed from abroad. Unfortunately, the message we are discussing today does not answer the challenges we are currently facing. I don't want to criticize the Government for that, because when the ideology that the state should have the least possible, controls the content, it has to be that way. But for those who have a wider perspective, for example: How to keep Norwegian companies informed, this message will be too narrow in content. Only ownership provides the basis for corporate governance. Private Norwegian ownership is limited. Therefore, only an active State involvement can ensure the necessary ownership. The government will sell down to one-third in strategically important companies. By owning one third of the axes in a company, the state will easily come into a state of stress if the other owners gather against the state. If the state only owns the minimum of them needed to have negative control over a company, a company will also be prevented from using the axes in a trade, for example. Hydro did when they took over Saga. Therefore, according to the Labour Party’s view, the State should have a buffer so that the power of action is greater than a mere ownership of a minimum of what is necessary to have control in a company. Fortunately, the government's proposal for a massive state hall in key Norwegian companies is not getting any more today. If the Government had implemented its plan, the axans would have been transferred mainly to foreign owners, while the revenues received by the government from the sale would have been placed in foreign business through the oil fund. Norway is currently in a unique financial situation and has abundant access to capital. According to the Labour Party's view, we should take this opportunity to see if it was possible to use any of that capital wealth to meet the challenges of the globalised economy giving Norwegian industry. We should see if it was possible to combine state capital wealth with business capital requirements. The government's strategy to strengthen private ownership is essentially tax havens. In order to improve the knowledge of how a tax conversion will work, the government has reduced a public selection to review the tax system and make proposals for changes. We in the Workers' Party support this work, but we will of course be quite free to consider the suggestions that may come with the selection. Similarly, we wanted to find out if there are other ways to strengthen Norwegian ownership. Such a way could be the creation of a Structural Fund. But even if we in the Labour Party support the allocation of such a fund, we will of course also be free here to evaluate the contents of such a fund when it is finished. In the same way that we in the Labour Party want to know more about how changes in the tax system will turn out, we also want to know how such a fund could work. This knowledge has Government for unknown reasons of panic in order to get. Yes, so big is the panic in the government party that they have paid SEK 1 billion to let go of acquiring this knowledge. I cannot understand other than that there must be a very expensive payment too little. For the Labour Party, I would at least say that we will of course go towards the creation of a Structural Fund, if it has the negative consequences that some claim. But unfortunately, that knowledge doesn't allow us to gain in this game. With the exception of throughput to sell Entra Eiendom AS and Raufoss ASA, the government has suffered total defeat in this matter. About the only thing left of the message is the ability to sell police stations, emergency printers' offices and other public buildings, so that the state has to hire them back. What kind of logic is behind such a scheme, I have to admit that I have trouble seeing, but that they want to transfer values to the private ones, there may be no doubt about it. At the sale of Raufoss ASA, there is a high risk that the company will be extinguished by a large foreign competitor and that production will be moved out of Norway. I thought it was stupid that the plural took this chance today. The state will be the most important owner of Norwegian business for a long time. Therefore, it is particularly important that the State exercise a professional ownership, both in order to safeguard the capital invested in the company and in order to safeguard those companies owned by the State in whole or in part. The government wants to collect as much as possible of that state's own, in one department. I'm overindulging that this is not the best way to manage the values and companies owned by the state. There's too much spreading in that state to be able to get an offensive owner's follow-up by collecting all one owner in one place. I am therefore very pleased that a multiple will oblige the Government to set up a selection to look at better ways to organise the country's ownership. In one area, I agree with the Government. The general framework conditions must be in place to have an up-to-date business. I can only note that Norwegian export rights business wear more than in very many years. We have problems with high interest rates. We have an unusually strong crown price – the strongest in ten years – and in the last few years we have had very expensive wage settlements. This is now reflected in reduced halls, reduced revenues and missing surpluses in very many Norwegian export companies. Many jobs are as a result of this delay and are at risk. I cannot see that the Government has contributed significantly to improving the situation of Norwegian export companies today. Later in the week, we will deal with the revised national budget here in the Chamber. I just have to say that the government doesn't use it the ability to improve the framework conditions for our industry. It's a shame, because now it's starting to rush. If we are not able to reverse this trend, I am afraid that the issue of ownership will be subordinated. Therefore, we in the Labour Party benefit from revised national budgets to propose a business package. With a less expansive approach than that of the Government and with specific measures aimed at the business community, we show that we are taking the challenges seriously. Unfortunately, there were no multiples to take these necessary steps in the right direction in this game. In the Labour Party, we are pleased that today there will not be a majority of the government's grand plans to sell in and out of a number of Norwegian companies. With the plural scheme, everything is now at the ready of an ever-increasing and important commitment from the state. This is in line with the long-standing Labour Party policy. It is positive that the majority this evening is behind this line, and I expect of course that the Government will take note of this, and that the various proposals that are being presented to us today are followed up. Finally, I want to put forward the suggestions that the Labour Party is behind alone or together with others.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1288	Olav Akselsen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1294	I record that it is a little selective what kind of knowledge the Workers' Party is calling for, almost on a case-by-case basis. Now the government parties and SV are accused of not wanting to know about this so-called state-owned Structural Fund of considerable size. In terms of this knowledge, I think, to be honest, we know a lot of the tracks, we know the suppliers, we know the business ideas, and we actually know a little bit about the attempts to practice this. We don't have to go very far from here, to the neighbouring municipality where we find some of the traces of the practical results in terms of IT fornebu. The funny thing is that yesterday in the kindergarten debate, as there was perhaps even more need for knowledge, the Workers' Party did not want this kind of knowledge that you want others to take in on other matters today. What's a little strange, though, is that we can't find any principal traces of the Labour Party's ownership policy. If you sit in the position, you get to the Stortinget, as you did in June of a year ago, when you asked the Stortinget for a quick treatment to get a mandate for a quick sale in Telenor ASA. This time one sanctifies by saying that we go in principle for 51 pst. What is it that has fundamentally changed in this year, other than that the Workers' Party from being in position has come into opposition? At the same time, there is reason to remember that the Workers' Party acknowledges that we are missing Norwegian ownership environments that are able to meet the challenge we are talking about here today. What kind of strategy does the Workers' Party really have to strengthen and upgrade the Norwegian ownership environment? We find none of these desired traces in the comments on this matter here today.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1305	In this context, the most important thing for the Workers' Party has been to see a stopper for the Government's uncritical plan to sell out of Norwegian business. Thank God we've done that. If you read our comments, you'll see that there's a principle line at the root of our position in this area. The Labour Party has always meant that the state should play an important role in Norwegian business. There are, of course, examples of poor state ownership, as there are examples of poor private ownership, but in Norway we have good experience in my view that the state can play a positive and important role in business. So that's the way I did it in my post, that the world is changing completely, and that means that we have other challenges today than what we had a couple of years ago, and that should also be right inward. Today, if the state sells out, one will be very much bought up by larger foreign competitors, and these companies will instead become branches of foreign companies. When it's related to Telenor, it's asked what's the principal difference from last year. It's not there. The only thing the working party does today is confirm and specify what we stood for last year. Last year, one was in an entirely up-to-date and acute situation where Telenor was negotiating to take over another company, and in that context, one might have to use the axes. The working party has opened up for the use of axes, and it has always been suggested that if Telenor is to buy up in another company, they should do so, among other things. by using the axes, and if the country's ownership interest in the company is to fall, it shall be by watering out the country. Now we have a government that is very busy selling out in the most possible way by the state's own, and so we had to clarify this, so one here didn't sell down to one-third in Telenor.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1316	The Chairman of the Committee noted the urgent need for instruments to strengthen Norwegian industrial activities. He was also concerned with this with taxes, that the conclusions of the Skauge Committee would be awaited, and that the Workers' Party would draw its conclusions in the light of it. In this attitude, an overall business committee shows that the tax and tax level as a percentage of GDP is above the average in Europe and that we have schemes that favour passive ownership. It is more beneficial to invest in Hafjell and Blindleia than in business and take a risk and collect a profit that way. For the Progress Party, it is very important to get rid of the property tax. But a majority of the committee, which is not a majority here in the Chamber, says that there are policy considerations for distribution that have been most important when there have not been changes in the current wealth tax. Therefore, it is proposed to investigate how taxation of food wealth can be eliminated without any progeny or distributional consequences. My question to the manager is: can the Workers' Party participate in the removal of the property tax on food wealth if the containment is provided to such a device?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1327	For many years, we have heard the claim that the level of taxation in Norway is much higher than in other countries in Europe. New distributions show that this is not the case. The level of taxation is about the same as that in our competitors, but the arrangements are different. The background for having a tax is twofold: it is intended to obtain revenue from the State, but for the Workers' Party, the distributional effects have always been important. The Labour Party insists that we want to smooth out in society. This means that those who have the strongest back should also bear the largest stockpiles and thus contribute more to the treasury through the tax haven. So it's like there's going to be a deal going on. We wait for it with voltage, and we have no locked positions in advance. We want, of course, tax models that will stimulate commercial activity in Norway and also make it possible to own and operate commercial activities in Norway. But at the same time, it will always be important from the Labour Party to take care of the distribution policy aspects of tax issues. When it comes to the specific proposal, I would like to point out in the vote that we also want to join in and evaluate that question.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1338	Under the hood. 2.2 The Labour Party, the Socialist Left Party and the Centre Party have reached the following conclusion: ‘The build-up of competences, innovation and dissemination of technological innovations mean that countries with higher levels of government have not had lower economic growth than countries with higher private impacts.’ My comment about the Akselsen must be: there is no evidence here that having a strong public ownership gives a better gain. So we could come to the opposite conclusion, that it might make sense to use more private ownership. Item No 2: When does the Labour Party see a more favorable time to begin thinking about strengthening private ownership, that is, perhaps the state is selling out? And point number. 3: Isn’t there a danger that the state may become too dominant as a business owner, as is the situation in Norway today?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1352	This line probably shows that we are primarily on different globes when we evaluate this question. We now experience a globalization without equal. And it is that in very many industries where Norwegian companies claimed well a few years ago, among other things. in the rigging industry, there is today, despite the fact that one had large international companies and a high international competence, no Norwegian owner’s environment again, no Norwegian company, simply because these companies have been purchased from abroad. That's why I had hoped that one could take in this new knowledge and try to get rid of some of the ideology that's been driving this debate for the last ten years. I believe that the Labour Party has done so far in the way. State ownership is no longer an end in itself, nor is it such that the Labour Party will use state ownership to govern, as was done in the 1950s, 1960s, and in part 1970s. We want to control laws and regulations and have the same rules for private companies. So it's like we have completely different challenges. Part of the challenges is to take care of and further develop enterprises with Norwegian owners. As we see it, the only guarantee that it can happen is that the state has a large part of these companies. Of course, it is not such that we can prove that the fact that the state has a large proportion of Norwegian business has helped Norway to develop better than others. But at least I think our experience proves that state ownership in business can be very well combined with positive development and efficient operation, unlike what many have claimed.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1363	The cord shift is over.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1366	Let me begin by commending the case rapporteur for his work on this big, heavy and important matter. He has – as usual – prepared the matter well, although I have to stress that this time it will probably come to the conclusion that I do not adhere as much to his recommendations as has been usual. The abuse of the ownership message has caused several surprises. However, when we vote tonight, I am pleased that the Government's proposals are essentially given a majority, although somewhat variable majority. The Storting Message has its background from the Sem Declaration, where the objective is that the State should clear up its ownership of the business and at the same time define what you want with ownership on a case-by-case basis. The paper is a thorough political craft, which addresses several fundamental issues that require a great deal of clarification. However, the political stability and firmness of positions and programme declarations in this house is not what it once was. Therefore, the matter has created great room for surprises. In some cases during the process, I have asked myself whether there is an equally strong motivation for individual parties to apply to the Government scratches in the paint as to stand by previous positions and attitudes. In the context of the 2001 State Budget, the Right Party and the Progressive Party agreed on the following comments: ‘The members of the Committee of the Progressive Party and the Right point out that it is not a natural task for the State to engage in business. The starting point for a well-functioning economy is that private enterprises operate in a market where regulation is limited to competition, safety and environmental requirements. The best means of promoting national ownership, employment and growth in business are competitive framework conditions and a low level of taxation. These members stress that the State should therefore concentrate on creating competitive framework conditions and designing transparent legislation. Private, competent ownership can help to strengthen the market contact of state enterprises, provide them with access to a wider technological and commercial environment and a wider international interface. Those members consider that, in this context, the State should liquidate its business exposure to companies for which special considerations do not provide otherwise.’;» On this basis, the following proposals were made: ‘The Government is asked to submit a degressive plan for the state’s interests in the Norwegian business community. The proposal should include a decommissioning plan for all enterprises in which the State holds interests, where appropriate an assessment of the specific considerations that should remain State ownership.’;» That is exactly what the government has provided, in line with the comment I referred to. It is therefore sad to see that the Progress Party then until those degrees have changed the political side and the stand. When the Progress Party, which has the case rapporteur in connection with this message they themselves have requested, now wants the opposite of what they did a little over a year ago, you can really talk about the emperor's new clothes. The Ownership Communication is precisely in line with the request of the Right Party and the Progress Party just over a year ago: to make a clear distinction between the different roles of the State as sectoral policy authority, supervisory authority and owner respectively. In today's globalised world, the role of both the owner and the regulatory authority should and should be primarily focused on acting predictable and professionally, and not least on being able to distinguish between their different roles. Then I have to add that it is with great relief that I can state that the proposal to investigate the need for and organisation of a government structural fund of significant size will fall. Forces from the Norwegian Investor Forum do not exactly talk about small amounts of money when they refer to the amounts they deem necessary by the State as a contribution to increasing the capital strength of their own and, where appropriate, of others. I am pleased that the government parties got an SV into an agreement that helps to phase out the Structural Fund, and at the same time helps to increase the capital strength of business development in District-Norway. I recognise the arguments of the proposers who want to fire off the Structural Fund start-up shot. It is interesting to note that while most politicians, with many exceptions, have been the enthusiasts to distribute oil money to at least individuals, some of the richest billionaires in the country are applauding the Structural Fund idea. State funds in the billion class would mean that ordinary workers had subsidized the richest in Norway with risk capital. The proposal of the Workers' Party, the Progress Party and the Centre simply violates the idea that we need to create the framework conditions so that everyone can get a fair return on their investments, not that those who are most economically equipped will also get the best conditions from the State. Another scare picture presented in the debate on the ownership notification is the claim that ‘Norway is bought up by non-residents’. According to the UN publication World Investment Report, foreign direct investment in Norway in 2000 amounted to DKK 53 billion, while Norwegian direct investment abroad amounted to DKK 73 billion. In the public debate, the concern is that foreign owners have become too many and too large, not that there is usually a positive outcome for the country with entries of foreign ownership. There is further reason to be amazed at the reverse operations of the Workers' Party in their attitudes to individual enterprises with state ownership. Where one was previously to give authority to the Government, these are now withdrawn. Yes, the working party is now also acting with a so-called 10 pst buffer. additional state ownership, to be placed at the top of the 34 pst limit. Whoever you do not trust in in this guarding process, I had hoped that we could get an answer tonight. I had probably expected that the Workers' Party, which has taken on the ambition to become new and modern, had given us some signals on how to strengthen private ownership in Norway, how to facilitate the stimulation of private ownership environments. But the one looking in the setting, unfortunately, is looking in vain. Finally, I will address the proposals from the Right, SV and Christian People's Party, no. 1 and 2. With regard to the Committee's recommendation to Decision V, it is to be seen as following up by the Government on what may result from the selection work proposed in proposal No. 11th@item: inlistbox In this context, I would recommend that the government parties vote in favour of these proposals.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1407	Ivar Kristiansen has taken up the suggestions he referred to. It's going to be line change.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1412	The Government Parties agree to explore a system of regional funds to contribute to the strengthening of capital to the districts of Norway. There is nothing in the attitude as to whether there should be one or more regional funds. There is nothing about the arrangement of this or these funds. Should there be a variant of SND Invest, which the Storting has decided to privatise, or should there be an extension of the so-called regional seed funds? In the evening post yesterday we could read claims that there was a written agreement and promises of NOK 1 billion for this fund. So it could be good to ask the representative Kristiansen to give more information about what the government has been thinking. I also expect the Department, the Minister of Industry and the Government to be informed about this when it comes to such large amounts. And is there going to be all the appropriations in the 2003 government budget for these regional funds? As far as this is concerned with a structural fund, I do not understand that there are problems in finding out. We got a letter from Jan Reinås. He is not a member of the Norwegian Investor Forum, but of the NHO, which is close to the Right, and they are very busy linking Norwegian natural resources to mature companies to help get Norway out of the commodity clamp. I think it is a very good proposal he has made, and that should have deserved further investigation. And I can't really understand that the government parties had anything against this, but instead prioritizes, if that's right, $1 billion to fund a regional fund for the districts.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1420	I notice with considerable interest that now tonight is trying to tone down the ambitions of this so-called State Structural Fund of considerable economic importance. I am not so sure that it is quite representative of what you really want, and I feel quite confident that the proposers, who have the ambition to establish this fund – probably in the order of 50-100 billion kroner – are serious about this. I find no other signals so far in the debate and in the hearings we have had, among other things. with the Norwegian Investor Forum, which has indicated that this is not serious. And with the consequences that we see this getting, where we reduce the possibility of the Petroleum Fund's returns, and send this out on a new, uncertain and many more risky sails, it should just be lacking that we do not vote against this. Then the agreement with SV for small money is to be counted, for the benefit of District Norway and the company development in District Norway, in relation to this experiment that you now want to investigate, and probably want to get started. It is quite correct that the government parties have signed a written agreement with SV. The amount of 1 billion that is implied by Hedstrom is part of the agreement. It is also part of the agreement that the Government has a deadline of 1 February 2003 to investigate the issue of the organisation of the Enterprise Development Fund. But this is very serious from the point of view of the partners.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1427	In recent years, the Storting has granted large amounts to Statkraft so that they have had the opportunity to make various purchases. We have seen that Statkraft has been very offensive on the track in a number of parts of the country where you want to buy up county, municipal and private e-works. In the Communication, we see that government parties clearly signal that they want to convert State power into AS in the long term, and we also want, as it says, to include ‘strategic alliances’. I believe that many of the municipalities and county councils that have sold parts of or all of the e-works believed that when they sold to Statkraft, they were sure that this became public property in the future. One felt sure that selling to Statekraft was selling to the state, and so one wanted to make sure that this was the property of the Norwegian people, if not municipal, so at least stately. My question to Kristiansen will therefore be as follows: Is it not Right that if you create a limited company of Statkraft and start to enter into strategic alliances, then the Norwegian ownership will gradually become watered down, and that you can experience that there will eventually be foreigners taking over Norwegian hydropower properties? And doesn't it seem to be problematic to those municipalities that have sold in good faith to Statkraft, that you can see that it will be foreign owners who will actually control their natural resources in the future?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1434	With regard to the EU competition authorities, it may be necessary that this case be adequately investigated, so that we can obtain answers to the questions asked by ESA in particular. the institution of the place of residence. Furthermore, I think that there are some people in this room who have a somewhat nostalgic relationship with Statkraft. And you have the full right to have that. It would certainly just be missing that you don't have it too. But I think that time is over, as I suggested someone goes around and thinks, that Statkraft has as a business idea to act as a kind of supplier of cheap power, especially to the industrial hub in Norway's country. Unfortunately, that time has passed. Nor is it any longer near being the business idea of Statkraft. They have long other ambitions, including: being a major player in the northern European market. Therefore, I believe that if we go the way of letting Statkraft become a possible public limited liability company, it will give the company more flexibility. It will give them greater access to capital on the free market, and it could also open up the possibility of being a solid player in a possible Nordic solution. But these questions I think we and Ryan's representative have a number of opportunities to come back to. I have not heard that someone in the Right Party or in the Government Party has put some leadership in order for us to sell ourselves under a controlling post in Statkraft.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1439	The representative Kristiansen did not spend much of his speaking time talking about the Right's own policy, but basically stayed more concerned with other parties' policies. Among other things, he mentioned: the need for predictability and professionalism of state ownership. Of course, you can ask yourself how professional and predictable it is to take 84 pst. the return on State power of a revised national budget, when a dividend profile of 50 pst has already been established. of annual earnings per year years. It is not certain that the company perceives it as very professional, but now leave it. He also pointed out the lack of firmness and consistency in relation to the previous position of individual batches. Let me dwell a little on that, because the central party is behind a proposal in this setting that deals with the tax conditions for private, active owners. We are concerned that private, active owners should be given better conditions, also in relation to institutional investors. Many of them are today in a situation where they are plagued by exactly the same competitive disadvantage as other mainland industries feel, both acute export problems and problems in relation to the strong dollar price. In such a context, it could be natural, as a first step, to remove the taxes on wealth on economic assets. There is a proposal on the right-hand side in the past that they have voted in favour of, but which they have not joined in this vote. We know today that there is no majority in the Storting to remove the entire wealth tax, as the Right wills, but it has been a majority earlier in this Chamber to remove that part of the wealth tax that deals with economic assets. The question is – if you demand a little firmness and consistency from others – whether there is firmness and consistency in the Right to agree on a proposal that they have previously voted for to remove the taxes on wealth for economic assets?
ParlaMint-NO_2002-06-18-2.ana.ud2212e1448	I don't think anyone in this country is going to have to lose sleep because of the concern that it's not very high on the Right's ambition list to get the property tax removed in Norway. But it would look strange if the government were now to get a random menu of proposals from the Central Party that go in a lot of different directions, while at the same time they have reduced the Skauge Committee, which is just sitting and investigating these questions, with a clear marching earth from the Government and an ambition that is clearly moving towards not only what the representative Arnstad wants, but also seeing this in a slightly wider context. When I say ‘in a slightly larger context’, I’m not quite sure that our roads and the Central Party’s roads are going completely parallel, at least not if we’re going to cross any borders. So I don't know if there's any reason to be surprised that the Center Party chooses Statkraft as the company with which you have the greatest sympathy in this ownership debate. I think there are many others who could have deserved to get a lot more attention. There is hardly one company in this country that has received more state attention over the last few years than exactly State power. They have almost been in line to offer the company billions in renewed equity, and they have certainly received about everything they have asked for. I'm not sure that's going to be the situation in the future, but I'm not able to share the same concern about the financial sustainability of State Power to meet the future, as the representative Arnstad does. There are other companies that deserve more consideration.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1455	The cord shift is over.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1458	SV wants the state to be a large and heavy owner in Norwegian society. We want the state to have significant ownership of Norwegian natural resources. We know – sail if one can be accused of being nostalgic when one says it – that historically we have built this country by having control of the large natural resources, harvested by the large natural resources and built it that way. We should also be able to do so in the future and to facilitate future generations to reap from these resources. Likewise, we're concerned that we're going to be heavy owners within a part of the locomotives. We have a few heavy locomotives in Norway, which in a way are crucial for an up-to-date business. Here, too, we believe that the State should have a significant role. The third thing that I want to do is about the infrastructure block, the state has control over important areas of infrastructure like telecommunications and electricity, so that we make sure that we get an equivalent offer across the country and can have both hands on the steering wheel in such important areas. So someone wants to ask, why is it so necessary for the state to do this? First of all, the state has to make money on it. SV believes that there is nothing to suggest that the state should not be able to make good money to be the owner of these important companies. Secondly, we must safeguard the resources of the Norwegian people. We must safeguard the resources of the Norwegian people where we have a dualistic thinking. There is a dualistic thinking in some areas where you have to make money, but sometimes you also have to take socio-economic considerations into account when making different decisions. We can't build a society where we only think business economy. Then we get a society that at least SV doesn't want to. That doesn't mean we're saying that we're not going to have companies that make money, because it has to be the focus of every business. Make the most of the money, but not at any cost! And sometimes there are other reasons that need to be taken care of in addition to the business economy. Thirdly, it is important that we own these important businesses, so that we can pass them on to future generations. Our descendants also deserve to be allowed to take care of the oil in the North Sea, the farms, the power plants, etc., and not only had to look at them after we left them to others other than the Norwegian state. We see in the message that the government is adding up to a significant sale for which there is no majority. What's the problem of sales, someone says. Well, the problem with sales is that it's the beginning of something that we really don't see the end of. Or maybe we'll see the end of it. A good chess player is always seeing three-four moves forward. And it's possible that the Minister of Industry is an excellent chess player, where he sees three-four moves forward, where he starts by converting from businesses to AS, so in the next round it becomes partial privatisation, so in the third term it becomes even more partial privatisation, and then in the fourth term it's chess math, over and out, away with it. That's the problem when you start this carousel with sales. That's why we in SV are very critical of any sale, because it's the beginning of something that we fear can become dramatic for the Norwegian community. If we had had famine in the country, we had been missing, and we had no clothes, and the kids had no food, SV would have had a dialogue with the Government to sell out part of the state property, so that we could get the people food and clothes. But as far as I know, there is no need in Norway today – from Finnmark in the North and to Agder in the South – where there is a great lack of money. That's why we don't need this money. It's actually a problem for us what to do with this money when we get them in. And then it's too incomprehensible that in such a situation, where we have too much money in society, we're going to get even more money, while getting rid of important businesses and important natural resources, where we can actually keep the whole source and harvest every year. We don't rock at all, we harvest every year. There must be a much better way of managing these businesses. The practice of ownership is another theme of the message. During the hearings in the committee, we had, among other things: Kongsberg Group inside. They told us in the committee that the state had been an excellent owner when they were going from being a weapon manufacturer to bet on maritime technology. Former State Council of the Right, now chairman of the Municipal Bank, was in no doubt that the State was the best owner. So there are many examples that show that the state is actually an excellent owner. But in some areas, the state is a poor owner, and there the Minister of Industry has a special responsibility to make sure that you get closer and do a better job. And one of the areas where we are too bad owners is in relation to Statkraft, when we give them so unpredictable framework conditions that we jump back and forth in terms of dividend policy. It is added to the funding. I'm not going to go into all the areas where it's added up to funding, but let me stay with the fund that SV is most happy to have in place during this treatment. It is the fund that is to go to nutrient-poor areas in the districts. We submitted the proposal in Stortinget on 9 January. It was not much to hear about it then, but we see that the proposal has matured quickly. Today, we have a majority to set up an Enterprise Development Fund for the most economically poor areas in Norway, where the population is about to give up, where there is actually a need to move away because there is a shortage of jobs. For us in SV, it's a big day when we've got this nutrition development fund in place, and I want to quote one of the directors of the SND, who says that this is one of the most important decisions being made in relation to Norwegian district policy, where one in a way turns a pessimism into an optimism in the most vulnerable areas of Norway, where we're now going to take a boost to get jobs and activity up. Therefore, we are pleased that we have reached an agreement with the government parties where we have already set aside NOK 1 billion, so that we get started with this important work. SV is pleased that there will be significantly less sales of state enterprises than it had been provided for. In the message, it has "a smaller and better state ownership". After this treatment it will probably be called a slightly smaller and much better state ownership. Finally, I would like to address the suggestions that SV has made.
ParlaMint-NO_2002-06-18-2.ana.ud2212e1481	The representative Ryan has taken up the suggestions he referred to. It's going to be line change.
