ParlaMint-NO_2002-12-17.ana.ud1638e61	The representative of Sylvia Brustad will make a private proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e1374	Sigrun Eng has taken up the suggestions she referred to. It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e1379	First, I would like to say that it is hardly added to the highest profile of the cord change in this case, at least not from our side. There is reason to consider something that the Workers' Party spokesman had at the end of his statement, which is quite correct in the Ministry's recommendation, where reference is made to a number of other railway projects which must have a certain priority and perhaps be realised before, and also to other sections of Bergensbanen which should be assessed in competition with this curtailment route. So the Workers' Party says in a joint comment with SV: ‘These members will demonstrate that the construction of the Ringerix track with stop points will relieve E16 and E18 and postpone the need for road development in this area.’ We know, at least in relation to private cars, that it's assumed by traffic count that it can drop by one percentage point from 84 pst. to 83 pst. And with the perspective that perhaps the bulk of the population will put on realization, the question is, how are road users going to read this comment from the Workers' Party, where the Ringeriksbanen and the abbreviation Bergensbanen are going to cover the road requirement in this area?
ParlaMint-NO_2002-12-17.ana.ud1638e1393	I'm hearing the right signal about their involvement in this case. It only reflects what is in the option. I take note of that. Now it's so that a local in the Ring Kingdom and the whole region has signaled that it's path they want. They haven't asked for the recovery of E16-E18 so far, to take that bit. So E18 is a different direction on the road. But it goes without saying that if they don't get a path, they can, tomorrow, or for the sake of it today, demand to get a four-field highway according to the road standard. In the Skui valley, which is starting towards Solli Height, road traffic is today at 36 000 cars, and above Solli Height it is at 14 000 cars. It goes without saying that if you don't want to relieve commuting traffic, but instead give full gas, with all the jobs that are now flowing in Ringerijk, they have to have more roads. They need to be more able to reach the labour market, and then the road requirement will come immediately.
ParlaMint-NO_2002-12-17.ana.ud1638e1402	The Labour Party and the representative Sigrun Eng are keen followers of this railway, and they are allowed to do what they want to do, even though the costs in 2000-krone are charged to several billion kroner. We all remember another course that was at the discussion stage a few years ago, the Gardermoban, and the costs it ended up at. I have read the minutes from that time, and it was Sissel Rønbeck who was the case rapporteur, if I don't remember completely wrong, and promised that this would be a golden course. It should have a return of 7 pst. We all know what the Gardermoban got into. I have a question for the Workers' Party and the representative Eng: is there any limit to how much this expansion will cost, or will the Workers' Party want the track to be built at any price?
ParlaMint-NO_2002-12-17.ana.ud1638e1411	One of our proposals in the vote for which the Labour Party will vote is the proposal for the Kroksund option, with a cost framework of DKK 3.5 billion in 2000. When the representative Nistad is now trying to compare this project with the excesses on the Gardermoban, I think he will remember the unexpected costs that came, the leakage and all the other things that resulted in great costs, as well as the fact that – after the Gardermoban was determined in this house – it was added with new distances to make that path more accessible from among others. Mr. Nistad's area. As an counter-question – even if a non-exact question should be raised in such a case – I would like to ask: What kind of cost will a new four-field path have in this area? I think he's going to split up higher than the 3.5 billion. If it were to crack with 10-20 pst., it would still be within the frame of all such calculations. And as I said in my post, there is not one project in this country that is so well paid out. I actually believe in those who say that they have done a bit of thorough work.
ParlaMint-NO_2002-12-17.ana.ud1638e1420	Sigrun Eng said in his post that the Workers' Party has always been in favour of the Kroksund option. That's not right. When the agreement between the Workers' Party and SV, which helped to get the Ringeriksbahn on the map in 1992, was adopted, there was nothing about trajectory choices. When the case was up last, in 1996, the government of Kroksund cancelled, but in a joint remark from the Workers' Party and SV was asked to investigate both options. No position was taken on Kroksund. That's when the Workers' Party is going for Kroksund. One thing is a fact that if SV's alternative transport budgets had been adopted in the period from 1992 until today, we would have been building the Ringeriksban. The 1994-1997 Railway Plan earmarked 150 million. kr to the track, starting in 1997. This did not happen, and in the last six, if not seven, years of the 1990s, the Workers' Party has been sitting with the government and having the Minister of Transport, so they will probably have to take a considerable responsibility for not getting started with the Ringeriksban. My question to Sigrun Eng is: Does she agree that there is a lack of priorities for the railway that is why we haven't already started? Does Sigrun Eng also agree that there must be a completely different investment on the railways in the years ahead, if the Ringerix Railway is to be realised at all for the next 10 to 15 years, and that the Workers' Party must also invest more in rail than they do in the budget of the year?
ParlaMint-NO_2002-12-17.ana.ud1638e1429	When I said that the Labour Party has gone all the way – that is, it has not been stated in the Transport Committee, but in other contexts – has gone for the Kroksund option, that is right. I have not stated what SV meant in that matter, but that there were two alternatives, is quite correct. Here we go, sir. Hansen argued that SV's alternative budget had almost cut because the track was there today. Yes, it may be, but as I also said, things take time, and when it concerns the distribution work – listening to everyone who is going to say that, taking seriously all the objections and taking seriously all those who have had something to come to us – one in the proposition sees that the list of hearing statements is quite long. This means that we don't have to come anymore today. To SV's alternative budget – to the extent that one can see it as a realistic budget: rail does not cover the whole country, and SV is reasonably hard-handed in handling it when it comes to cutting down on the road. I'm not sure if we'd be able to get enough of ourselves to create a multiple for that. I don't think so. When it comes to the further bet on the views of the railway and the Workers' Party, I am probably in agreement with the representative Geir-Ketil Hansen in his view on the signals we have received from the Railway Agency, especially on the reorganisation, the confusion and possibly the closure – the ghosts that are there. We're going to take care of the capital that was once invested, and we're going to have to join forces around, almost to say, the main pulse wounds that are placed around the country. The biggest problem that I see in connection with what has been going on for years is the move of money away from the railway, or, perhaps it's more right to say, the lack of filling up the framework that we've been trying to give here.
ParlaMint-NO_2002-12-17.ana.ud1638e1441	The cord shift is over.
ParlaMint-NO_2002-12-17.ana.ud1638e1444	It is not unusual to, among other things. environmental issues, cultural issues and soil protection must be assessed in a commercial project. But it's rare that all of these elements get so heavy into a project that they're doing in line for the Ringerix Path. After many options have been rejected, we are now left with two alternative paths, the Kroksund option and the Åsa option. Although adaptations and mitigation measures have been abandoned, both of these options will lead to major interventions, with consequences for the environment, natural resources and communities. This makes the Ringerix path a very difficult option. And I want to focus in my article on the trajectory options for the Ringerix track, because that's the proposition we're dealing with, debt. If it was only necessary to assess which options are cheapest, shorten the travel time most and after the forecasts will generate most traffic, the choice would no doubt be the Kroksund option. But we can't ignore the interference consequences that this option leads to. There are many heavy arguments against the Kroksund option. The route will go through the central parts of the plain landscape in the Ring Kingdom, an area that is a national priority cultural landscape. The sum of interventions will trigger major negative landscape impacts and lead to a change in character in this important landscape. The Ring Kingdom plain has traces of one of the oldest inland settlements in the country. Hole and Ringerike municipalities have very many automatically protected cultural memories and thus also the greatest potential for new findings. Although the Busund option's trajectory has been withdrawn in relation to the most culturally-historical sensitive areas, the line will go into an area with great potential for discovery of ancient memory under cultivated land and come in direct conflict with automatically peaceful forest cultural memory. Many areas of the Ring Kingdom are protected by the laws of nature conservation. The route of the Kroksund alternative will require intervention in Viksasen nature reserve and will go near Lamyra nature reserve. The Kroksund option may also have an impact on parts of the Northern Tyrifjord wetland system by allowing the bird to change its behaviour and reduce bird populations due to the risk of collision and nutrient loss. The Åsa corridor is considered to be less conflictful when it comes to landscape. This corridor also has fewer automatically peaceful cultural memories, but the trase of its day zones east of Steinsfjord touches on valuable cultural memories. Nevertheless, the Åsa Corridor is less contentious than the Kroksund Corridor when it comes to cultural memory and the cultural environment. The Åsa corridor will also provide the best overall assessment for the natural environment. It is worth noting that both trasé options for the Ringerix path will lead to positive noise improvements along the existing path. The number of dwellings exposed to noise will be reduced. Both options will result in buildings being decomposed, but there will be fewer buildings on the Kroksund corridor. The Åsa corridor is considered the best for outdoor and recreational activities. In view of the seizure of cultivated land, it is the Kroksund option that comes out worse. There are also some arguments that speak specifically against the Åsa option. Part of this trail goes under a nature reserve that is particularly vulnerable to drainage due to a protected lake. Regardless of the sealing methods, it is uncertain whether the line will lead to damage to the nature reserve. Furthermore, on parts of this trajectory there are items of alum discs. This rock has no practical use but can instead represent a pollution problem when landfilled. The rock contains sulphur bonds, so that drain water from deponia can be aggressive to concrete structures. So there are good arguments for and against both of these alternative lines. When selecting an option, the various arguments must be weighed against each other. The hearing evidence in this case is not clear, but shows different emphasis on different arguments and thus different conclusions. According to such an overall assessment, of the two alternative Busund corridor and the Åsa corridor, the Åsa corridor is the best. We will also show that when the decision on the Ringeriksbana was made for approx. 10 years ago, it was considered that the project should not delay priority investments on, for example: Eastfoldbana and Westfoldbana. This should continue to be established.
ParlaMint-NO_2002-12-17.ana.ud1638e1467	First of all, there might be reason to reflect for a few seconds that the setting is based on St.prp. No 66, for 2001-2002, which is about Ringeriksbanen etc. In the case of ‘m.m.’ there was a narrow gap in cap.10 that brought considerable political tension into this room, and I doubt that we reach the same heights today. So this is just about choosing a trasé corridor for the Ringerix track, and those who are trying to bring in a tempo debate for the Bergensbanen abbreviation, are actually not getting there with that line in this setting. History shows that the level of ambition of the Storting in 1992 was significantly higher than today’s situation suggests. At the time, the start was estimated to be in the period 1994-1997. The NSB was given the planning task, and it was actually a formidable challenge. In reality, size has some difficulty in choosing between the two crystallised options: the Kroksund option and the Åsa option. This option has also appeared as a real dilemma for the government party, which finally joined the Åsa option. In terms of adverse reactions, this was the least of two subpoints, not least from an environmental point of view, and the environment is the dominant theme of this argument. In fact, the Åsa option represents an additional cost of an estimated 700 million. kr. This option also does not add anything to the short-term debate plus compared to the Kroksund option. The difference is only in a few minutes in travel time. Nor is the Åsa option generating the largest growth on the Sandvika–Hønefoss local route. This brings the project over the Åsa option to a cost-benefit of 0.8 against l,0 for the Kroksund option. The market share of close traffic is currently, on the basis of the traffic census, virtually zero for train journeys. I6 pst. by travellers using buses, and 84 pst. of which travel by car. Traffic calculations suggest that with the new Ringerix Railway, even private cars will be reduced by only l pst., from 84 pst. to 83 pst. The number of local train travellers will increase to l0 and 12 pst. for Åsa and Kroksund respectively, and this is done at the expense of the bus travellers, who will fall from 16 pst. to 6-7 pst. In addition to the cost level, which is significant, there is the cost difference of 700 million and the different emphasis on significant environmental challenges related to each option that is most focused on this dilemma, the trajectory choice for the Ringerix Railway. In the case of cultural memories, it is shown that the Hole Municipality has traces of human activity back to the younger Stone Age and Bronze Age. A path over Kroksund will pass through the central parts of the plains of the Ring Kingdom, which many people have entered here, and although the selected line has been somewhat withdrawn in relation to the culturally most sensitive areas, it will still come in areas with great potential for the discovery of ancient memories under cultivated land. There is also a conflict here with automatically peaceful cultural memories in forests. In the case of the natural environment, it may be pointed out that the Kroksund option concerns nature reserves and wet land systems. An important reason for not choosing the Kroksund option is precisely that Norway’s obligations under the Ramsar Convention cannot be fulfilled. It should also be mentioned that the Kroksund option, which goes to the greatest extent today, in addition to splitting the cultural landscape both functionally and visually, will capture far more than twice the total agricultural area in relation to Åsa. It's actually about a twelve hundred dean for the Kroksund option. Anyway, it's a problem whose large area is tied over a long period of time. Therefore, through today’s decision, the Storting will release the one investigated route for other purposes, and that is in itself an advantage for the landowners, residents and municipalities concerned. It will therefore be my task to recommend the Committee's setting.
ParlaMint-NO_2002-12-17.ana.ud1638e1486	It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e1489	I'm almost touched by tears, I, over the Right's environmental exposure just in this case, well dressed in that they're in lack of railway policy. The right has shown over the years that they have been involved in cutting on the railway, and the bet this year is at best the price increase plus the bet on the collective part of public purchasing. And the question is, is Right's railway kingdom just the commuter Gardermoen-Ski-Asker? Or does the Right mean the same thing as the Labour Party, that we must take care of the investments that we have made, and rust up and renew, as the EU and Europe do otherwise? Starvation of the Railway Station is the reality today. When will Right have the backbone of choosing away, dropping down, the non-rewarding sections? Then the triangle Ski-Gardermoen-Asker would disappear, while my mountain track would pass. Long-rangers don't have public purchases. It's intercity and local train pulling that pot. Based on all the information currently provided by the representative, Mr Hoddevik, I would like to remind you that there are more than 3,000 daily commuters from the Ringerix region today. It is expected that there will be more separation, not least if we are to take seriously the signals given by the sitting government, that the increasing contraction of the Oslo region should be placed in this area. It would be interesting to right what kind of view Mr. Hoddevik has on my sketch of what is Right's railway policy. Is it local traffic that costs, or can we, as a little bit more peripheral, make it possible to have a bulging transport, which is already there today?
ParlaMint-NO_2002-12-17.ana.ud1638e1500	I'm afraid that the representative, Sigrun Eng, in the change of line will succeed in making this a budget debate, or part of the national transport plan in terms of progress and investment in the railway sector. This is and shall be a debate on a difficult trajectory on the Ringerix track, and it is obvious that we are all in a difficult dilemma. Here there are different considerations that need to be weighed against each other. Cost level and intervention are important elements of those assessments. Our ambition has been to put behind us one trajectory and at least get to do that part of the job, so that the area that is being chosen away can be used as an alternative. We have nothing else to be ashamed of when it comes to an honest priority between rail and other important purposes in the transport sector. I am referring to the fact that the railway sector can hardly be treated with a vote, rather in the budget that we have behind us, when we take into account the tough priorities that a tight budget requires. We will also meet in future debates on the priority of the different sections in terms of realisation. Today, however, the government parties have chosen to stick quite concretely to the trasé elections that are the case, alongside the GSM orientation that has had different revolutions in other settings.
ParlaMint-NO_2002-12-17.ana.ud1638e1514	The representative of Hoddevik is quite right that this is not about the pace or priority of the Ringeriksbanen. We're going to come back to that when we're going to debate the national transport plan, where we're going to balance the different routes and decide what we should give priority to first, and what we should give last priority to. Like Mr. Hoddevik, I am pleased that we have managed to make a trasé choice. Now we know what we're going to work hard to get a higher priority than it has today. I think it was an element of retrospective clarity – if I may call it that – in the posts of the representative Hoddevik. At the same time, it was somewhat sad when he could say that when one reads the debate on the Ringerix Railway, which was ten years ago, the Stortinget appears to be more railway-interested and taken up than the Stortinget appears today. It is something that the sitting government and all the governments that have been sitting for the last two years should be able to take inwards. I would like to ask Mr. Hoddevik: Does he himself think it is a cross of thought that ten years ago the Stortinget was more concerned with the most environmentally friendly form of transport we have than we are today?
ParlaMint-NO_2002-12-17.ana.ud1638e1525	I waited with the pen to find the conflicts, but ended up writing little on my block. However, I will try to answer the question that came at the end of this row. What did the Stortinge mean, in essence, in the debate on the 1994-97 programming period? Well, what's in the record, it's obviously meant. If they were more railway friendly than we are today, it's a little hard to say. Realism may be part of the assessment we're also going to focus on. In my post, I tried at least to focus on an honest approach to the proposition that is constantly about progress and priorities. I would like to see – in isolation, from the point of view of the Committee on Transport – that we could put ourselves at a higher level of ambition in terms of both rail and, in fact, other sectors that are just as close to me. However, based on today's debate, I choose to carefully consider the matter that exists. I am so happy to be with SV in some factual assessments of the dilemmas we are in, in this trajectory.
ParlaMint-NO_2002-12-17.ana.ud1638e1534	Several have not asked for the word for a line.
ParlaMint-NO_2002-12-17.ana.ud1638e1537	The party notes that the total passenger transport between Oslo and Bergen via Hönefoss is very small. Overall, passenger traffic along routes such as Oslo-Trondheim, Oslo-Kristiansand-Stavanger and Oslo-Svinesund/Corn Sea is of greater importance because there are a number of small and medium-sized cities along the route. This is not the case between Bergen and Voss and Oslo-Hønefoss. The route as a means of transport along the whole Oslo–Bergen route could under favourable circumstances be increased by a few hundred road users per. day, and therefore never become sufficient to defend high-speed rail investments. Passenger traffic between Bergen and Oslo is only approx. 5 000 people per year daily, of which almost 4000 travels by air between Gardermoen and Flesland. Railway as a means of transport for travellers to complete the route between Oslo and Bergen is approximately 500 journeys per day. day(s) An optimistic estimate is a doubling of this to approx. 1000 journeys if the route is modernised substantially or if a new track is built in a new line. The traffic on the route between Hönefoss and Oslo is slightly larger, approx. 20 000 passenger trips together for rail, bus and car. Of this it is only approx. 1500 travelling by train. Of the total traffic of 20,000 people, it is likely that 5,000 people travel all the way from Oslo to Hønefoss or vice versa. This is very modest compared to other transport routes. There is too little traffic base to defend investment in modern railway facilities, because market opportunities are in any case very small. In the proposition, the Ministry itself has estimated the increase to be approximately. 1,200 travels daily. The progress party indicates that there must in any case be a strong road between Oslo and Hønefoss, and will therefore give priority to E16 on the route rather than railway investment. The investments are estimated at DKK 3.5 billion for the line over Kroksund, and DKK 4.2 billion for the line over Åsa. Such calculations are experientially very inaccurate. So we're afraid that the final sum could be between 6 and 8 billion dollars. The capital expenditure, based on 7 pst. interest, will run up to approx. 500 million. kr annually, or approx. 700 kroner per year. passenger based on current traffic, which is approx. 2000 passengers per day(s) When the operating costs and the costs of rolling stock are added, it goes without saying that the cost per passengers can get up to an amount of well over NOK 1000 without further delay. per 1 % travel. The party of progress perceives that the government is really not proposing to build the Ringeriksbanen, which we agree with the Government. Therefore, we believe that it is more reasonable not to take a decision on the two existing trasé options and rather to finish the work on the new railway. The Progress Party is concerned that a choice of trasé will create expectations among those who want a new path built and that the trasé choice of a path that is not to be built is unnecessary. Another good side effect of completing the project now is that it is not possible to link these areas this year to something that is not realized in any case. We therefore propose that ‘The work on a new line between Sandvika and Hønefoss be completed’. I have put forward our proposal.
ParlaMint-NO_2002-12-17.ana.ud1638e1557	Kenneth Svendsen has taken up the suggestion he referred to. It's going to be line change.
ParlaMint-NO_2002-12-17.ana.ud1638e1562	The representative from the government party said instead that it was an honest wish that this should be a debate on a trasé election, and the representative from the Progress Party says very clearly that they are some with the government that the Ringeriksbanen should not be built. Who is honest, and who says it they really mean? That's what I think I'm talking about. I think the idea is whether or not to select the most expensive route here is that it is not built. So I want to praise the Progress Party at least because they say what they mean, even if I'm completely disagreed with them – let's just say that! Building railway is expensive in this country. When you read the comments of the Progress Party, there are basically too few people in this country to build the railroad! But it's now one time that there's only 4.2 million people here, and they're a little bit scattered around. Bergensbana has ours and is important for the people who live both in Bergen and on Voss and along the course. Now, when you're talking about the number of people commuting from the Ringerix area, that's a big number. But, says the Progress Party, this does not defend the investments. They're talking about how much road you're going to build in the area to transport these people between regions, for example. from the Oslo Ringery Area. Now neither does Kenneth Svendsen know how much investment a four-field motorway will require, but is this the hold of the Progress Party in the future as well? Can we expect that the will to invest on the railway and maintain the infrastructure that lies here will not exist at the Progress Party because there are too few people? It is sad, I think, to note, but that is my question: Is this the Progress Party I believe?
ParlaMint-NO_2002-12-17.ana.ud1638e1571	It's always nice to boast and to be commended for being honest and saying it the way it is. Now I don't think the boast from the Workers' Party was an invitation to government cooperation, which we hoped for when we got boasts from the other parties. But boasting is always nice to get. So to bet on the railway in the years ahead. We have invested heavily in road construction in our alternative state budget, and road construction to Bergen is also very important to us. In our alternative state budget, we spend over 5 billion more on road construction. The simple reason is that the road is a more flexible solution. It reaches many more people, and it is no more than fair and fair that the drivers who have paid approx. 40 billion kroner in car-related charges, gets something left. A fraction of this, approx. DKr 12 billion, the Government in its budget proposal now adopted, is taking steps towards this, while the Progress Party is putting in approx. 16 billion kroner to build the road. Road is a much better alternative. It reaches business much better, and after traveling around and listening to what the business community in District Norway and also in Bergen and the areas that want, is the first commandment: More road, more road! There is no unanimous demand for more rail in these areas. The Progress Party has chosen to listen to the population and to the business community and to give them what they want, that is, more way.
ParlaMint-NO_2002-12-17.ana.ud1638e1580	A week ago, we had the Ministry of Transport budget up for debate in the Chamber. Then we found out that the Progress Party will bring down the Nordlandsbahn. I wonder if we'll get another news today. The comments written by the Progress Party in this setting about the Ringeriksbanen have only a natural conclusion: The Bergensbanen is not life-created – neither as it is now, nor with the Ringeriksbanen. If Kenneth Svendsen is so busy being honest with the people most, and if he's actually going to have all the billions he has in his alternative state budget, he gets to take the consequences of it and come up here and say that the only sensible thing is to put down the Bergensbanen. That, in any case, would have been the consequence of the Progress Party's policy. It is a good thing that, sometimes – if not every day, but at least occasionally – you will see some of the backside of the Medal of the Advance Party's policy.
ParlaMint-NO_2002-12-17.ana.ud1638e1587	It's quick to get a little surprised in this room. I was just in the pulpit and proud of the Workers' Party, because they boasted of the Advancement Party that we were so very honest. Now the representative Sørensen has been up here and said the exact opposite, that we might not be quite so honest anyway. Then she brought the news that the Progress Party is going to put down the Nordlandsban. If we said something about it in the transport budget, there is no news today. Then it was in case of news when we dealt with the transport budget. Of course, that's no news. There is enough SV who have a small wish to make some assessments and therefore draw a conclusion. That conclusion is that the Nordlandsbanen and Bergensbanen are to be closed. The Progress Party has not said anything about this. On the other hand, we have said something about what we want to bet on in the future. We do that based on the fact that Norway is a scattered area. Railways travel on a distance between two points with little possibility of swinging away, for natural reasons. As I said before, we've been listening to business, and we've been listening to the people. The population wants more money to go, because then they get easier from home. It goes as well-known very little railroads into the doors of people. That is why we have said that we want to bet on the way. It's more natural to use the road. It is better organised and easier to use by the population. As I said, in the years to come, we are going to give more money.
ParlaMint-NO_2002-12-17.ana.ud1638e1596	Several have not asked for the word for a line.
ParlaMint-NO_2002-12-17.ana.ud1638e1599	When Bergensbanen was built, it cost two state budgets. It was at the time you had visions and willingness to build the country, but it was also before you invented what is called diet-benefit analysis. If the food-benefit analysis had been invented 150 years ago, it could perhaps be concluded that the country had not been built. It would simply not have been profitable enough to build the country. The cost-benefit analysis of routes is difficult. The track we built almost 150 years ago to Bergen was well paid down for approx. 130 years ago, and that we still benefit from that capital, it's hard to see through dietary calculations. The Ringerix track is for my part about nothing less than actually trying to think a little visionary. I have come to the conclusion that the Ringerix Railway, even with the most expensive option, does not account for as much as one percent of today's state budget. It sounds like something difficult to do, even considering that it would be an infrastructure which, hopefully, would also be located for at least 150 years. At the same time, I would say that I am very pleased that a majority today is in favour of a trasé elections on the Ringeriksbanen. It wasn't obvious. When Stortinget had this case dealt with by the previous crossroads, it was not possible to make a decision on the crossroads because it was too difficult, and the case was sent back for further investigations. It is true that, as the rapporteur says, this matter has been well investigated, and that has been done by Stortinget, because it has been so difficult, especially because there are so large environmental values associated with the area. My assessment is that the government has conducted a good discussion and has fallen to a good point of view when you have chosen Åsa-traseen for the Ringeriksbanen. It has been referred to a horse trade that at least the former representatives Myrvoll, Opseth and Rønbeck were involved in their time. In the case of that horse trade, it must be said that the Laerdal Tunnel is built. We're now discussing the trasé choice for the Ringerix track, and we're not going to create any more evil blood and rip up old wounds. The Committee has received a letter today from the Forum Nye Bergensbanen. They're not angry at the Trasé Committee. On the other hand, they're furious because we're not getting ahead of the project. For my part, it's important to notice that. The enthusiasts behind this sat during the hearing here in the building and underlined that it was not the trasé choice that was important to them, but that it was continued in the project. And the fact that we've managed to make a decision on trasé choices is a very necessary prerequisite for continuing to work on getting ahead of the project. We have not been able to fulfil what the New Bergensbanen Forum will, namely get some obligating statements that we will get ahead in the Ringeriksbanen. I would have liked the committee to have a government fraction with a much larger heart for the railroad than the case. At the same time, I cannot leave the lack of a beating heart for the railways in the government fraction of the Committee on Transport is crucial for a trajectory. I'm going to have to go in and see what are the real arguments for and against, and what trasé choices make it most likely that the most likely jobs are to make this a project that's being realized. The difference in travel time between the two trasé elections has been the subject of debate. In the last round, it was 10 minutes. That's a big difference. In this round, with the new plans, the difference in travel time is 2 minutes. So the Åsa option takes you two minutes more from Bergen to Oslo than you do over Kroksund. I can't let it be crucial to choose the otherwise most environmentally destructive option. It is fundamentally sensible – and we must insist – to realize a project that shortens the journey time on Bergensbanen by almost an hour. The environmental values of Ringrike are high. This way, it's very complicated almost no matter what you're going to do, because it almost pop up protective nature reserves, cultural memories, etc. At the same time, it imposes a special responsibility on us to be kind when we plan projects in such an area. What has been most burdensome for SV's position has been that the area is included in something called the North Tyriford wetland area. It has international protection status through the so-called Ramsar Convention for the Protection of Wetlands. Through many years of work in the environment movement, I know that it is not always as easy to get an understanding of the significance of these wetlands. While we have protected the buckets and buckets of snowbergs in national parks in Norway, we have been very poor to care for the areas that have the most plant and animal species, namely our wetlands. Very few of them again we have managed to take care of. When you've been out fighting for some wetland area, it happens that you meet some old friends who might say yes, we understand that we're going to take care of these foxes, for example, but what are we going to do with this swamp? That's when I have to say that this swamp is really important. It disappears at least a hundred species of plants and animals every day from the surface of the earth, and they disappear because their habitats are being destroyed. Wetlands are some of the most important areas of life we have to take care of if we mean anything by protecting species diversity, protecting plant and animal species. Especially are birds happy in the wetlands, because that's where they find food. In Northern Tyrifjorden wetlands there are birds that find food, birds that fly from Jutland on their way to Svalbard to nest. They have an intermediate landing area there. Shortbread is one of them. So would anyone say, well, can't that fly somewhere else to eat? Still if everyone had thought so, that it would fly somewhere else and eat? That's how plant and animal species are eradicated. The Ramsar Convention operates in such a way that countries report areas, and it is the systems as those that receive international protection. In many ways, the Ramsar Convention works in the same way as the UNICEF list of cultural heritage memories. There are areas we should be especially proud of, especially careful with and especially concerned with. The Northern Tyrifland wetlands area is such an area we'll be especially proud of and especially careful with. An overall assessment of the environmental impact has led us to fall on the Åsa option. We feel safe about that choice, even when an overall environmental movement has done the same thing. We have received letters from Nature and Youth, from the Federation of Nature Conservation, from the Association of Tourists, from the Association of Norwegian Hunters and Fishermen, from the World Natural Fund, etc., which has all drawn exactly the same conclusion. We are proud to have managed to grasp this trajectory, and we promise to use all the forces we have to work to make the Ringerix track a reality. I think we've chosen the line that makes us have most people working with us for it. Finally, I would like to address the proposal that SV is left alone in the setting.
ParlaMint-NO_2002-12-17.ana.ud1638e1629	Heidi Sørensen has addressed the proposal to which she referred. The regulatory time for tomorrow's meeting is over. The President, however, suggests that we finish the line change after this post, and hopes that the hall will be able to agree to it. It'll be a string change.
ParlaMint-NO_2002-12-17.ana.ud1638e1636	In 1992, a historic compromise was reached that could secure a ring rail and lay a foundation for the future of the Bergensbanen. In this historic compromise SV was active with. Today we write 2002. SV is actively involved in ensuring that the Ringerix course is history. It'll be an idea. But they're trying to spice with some music and other nice things. What you don't make sure is money. There's no exact plan, but there's an idea, and you have to live on this good idea. That is regrettable, because this is an important project for Bergensbanen and an important project for the Oslo region. With the Busund option, and with an active willingness to solve this, we had set up a comprehensive transport plan of great importance for the area. So SV has been saying no to this. SVs in the affected area say something else. So the SV on Stortinget has chosen a different position than the SV on the local level. I have great respect for many of the arguments, and they have also meant a lot to us in terms of environmental and nature protection, but I cannot take inwards the Secretariat of the Ramsar Convention as a kind of theological temple, where truth is established. I have to somehow use my head in this as well. There is obviously not a will of SV to do something about it. My question to SV is: How about credibility in terms of public transport after this?
ParlaMint-NO_2002-12-17.ana.ud1638e1645	That was violent! Let me remind you of the agreement that Opseth, Rønbeck and Myrvoll stood for. There was nothing – not one word – in the agreement that that path would plow through protective wetlands. It didn't say anything about it. What it said, on the other hand, was to start in the 1994-1997 planning period. In the ten years that have passed, the Labour Party has had the Minister of Transport in seven of them. In seven of those years, the Labour Party has notorily broken that compromise. And then you're going to hear a force-salve from the same party -- when we finally manage to make a trasé choice that you can go for -- that we, of all those who have made sure that Opseth has got his Laerdal tunnel, which opened two years ago, are going to be some lifting breakers in this context. It falls on its own unreasonableness. So to the seriousness of this. We promise to work for the Ringerix Railway every day. I am a little uncertain about the signals from the Workers' Party, but I am happy that we – remember – stand together in this setting to work for the Ringeriksbanen. I hope that is something the Workers' Party does not go away, and I am happy if it is confirmed. Because we're busy getting this path built. And if it's true that we're talking about credibility in relation to public transport, I think it's being tested on whether the track is being built or not, it's going to be tested on who's willing to open up money for it – when we get the debate that comes with the national transport plan – and it's going to be tested on who's willing to prioritize it. I look forward to that.
ParlaMint-NO_2002-12-17.ana.ud1638e1652	My historical knowledge tells me that when Bergensbanen was built, he costs one government budget. It was before the cost-benefit was invented. So I have a little bit of feedback. I had the main post from the Labour Party and I didn't say one word about the time use and the difference there, just so it's clear at least. Otherwise, I actually thought that the post that was kept by the representative Sørensen was very visionary. That was typical SV. Perhaps ‘environmental romantic’ is the right word. But if we stick our finger in the ground, does the representative really believe that this is ever realized? So I looked at the national red list, with this card bear. She's not named. Ergo is not a trusted species; she is more likely to count, I believe. My specific question concerns this Ramsar Convention. When one says that one is interested in protecting all wetlands around the city of Hønefoss – Sokna, Begna and Storelva, which surrounds the city on all sides – what kind of development will there be in that city? Is this town supposed to be a bird town? Or what's the actual idea? We must, of course, be able to develop and have something to live on in this country. I have to hand it over to my heart to say that I have problems in my own party – and now I am talking to myself, but I think it's true – to defend that the kilo price of swans is 700 million. kr if it should go with some if the Busund option was selected, when SV is now betting on the most expensive option. I don't think it's going to be that easy to get a multiple for that re-priority there.
ParlaMint-NO_2002-12-17.ana.ud1638e1671	The president has also heard about bird mountains, but "bird town" was new.
