ParlaMint-NO_2002-05-29.ana.ud356e28	The called alternate of the Akershu County, Harald Espelund, has taken the seat.
ParlaMint-NO_2002-05-29.ana.ud356e1196	Now I'm not going to prejudge my answer to the next question in this questionnaire, such as. is used by elderly patients. But again, I have to say that the claims are quite loose with the representative Haga. The fact that the hospitals are run as a clean shop, where did Haga come from? Hospitals are operated on the basis of a statutory responsibility to provide sound health care to the population of the region. It's not about profit-based business. The fact that we have a funding system that rewards treating as many patients as possible is not an expression of profit! It's an expression that it's actually going to be that hospitals are going to be premiered to get away from the queues, and not as it was before, where they were actually rewarded when they had long enough cows. I will, like the representative Haga, be on guard against all aspects of development that can move towards a more commercialised health care system. But as a characteristic of the hospital service we have today, the representative Hagas's wording is very poor.
ParlaMint-NO_2002-05-29.ana.ud356e1208	I allow myself to ask the Minister for Health the following questions: ‘In Rome’s magazine of 3 May, Professor of Medicine Jan Eriksen asserts: ‘Illness, old patients with many disorders are sent home from Norwegian hospitals without getting help because they are too expensive to treat.’ Eriksen reasons this by saying that health business boards are only concerned with money. In addition, geriatric teams for old patients are at risk of closure for resource reasons. What will the Council of State do to counteract this development?’
ParlaMint-NO_2002-05-29.ana.ud356e1217	In my previous period as a health minister, I had the pleasure of providing a big message about health care values. For me, it was important in this way to highlight the values on which healthcare should be based. I am concerned that public health services should be based on a fundamental respect for the individual and that healthcare should realise ideals of equal access for the population to important health services, irrespective of residence, economic and social conditions. With this background, it would be very serious for me if it were like the premise for the question suggests: patients are sent home because they are too expensive to deal with the management only of money important measures for elderly patients are at risk of being abandoned. Let me say that the healthcare that Stortinget has adopted is not going to be that way. I believe that what is referred to here is also not a proper general description of the situation. Enterprises’ mission is to provide good health care in accordance with the objectives and priorities set by overall policy bodies. There is no doubt that the new business system is based on health policy objectives and that there is no adequate provision whatsoever for a system dedicated only to money. The setting of a framework for resource use is part of the overall governance of public resource use, which, of course, does not have to be interpreted in such a way that only the economy is now set up. I also add that conscious and efficient use of resources does not have to be made up of anti-patient measures — on the contrary, effective use of resources can increase access to healthcare. And some of the patients who respond when they're in hospitals are often poor organization and use of resources. Of course, there is a link between the economy of enterprises and the healthcare that can be provided. I have already referred in several answers in this Question Time to the review carried out by the Government, and to the proposals under consideration in the Grand Duchy. It is now in Stortingen's hands to decide what is going to happen in relation to it. The five regional health establishments, whose primary task is to provide the regions with the necessary health care, have six overall objectives: to promote public health in order to combat disease, injury, suffering and disability. They shall contribute to ensuring quality of service, an equivalent offer, good use of resources, a service offer tailored to patients’ needs and a service offer available to patients. The provision of a number of patient groups would neither be appropriate nor appropriate without direct cooperation with primary health services. The cooperation with the municipalities I think is one of the most central in the case of geriatric patients, and that is something that we closely follow up with the enterprises. It is an objective that patients should experience as much as possible the provision of treatment as a whole, not as a fragmented system, because responsibility is based on different institutions and at different levels. In the law, this ratio is taken up in several places, among others. in the case of requirements for an individual plan for patients with complex and long-term needs.
ParlaMint-NO_2002-05-29.ana.ud356e1242	I thank the Minister of Health for the answer. I am also pleased that he underlines the values underlying our health care system. In the case of my own home country – Health West, Health Bergen and Haukeland hospitals – the resource situation actually forces health care companies to make large cuts in the current year. In Haukeland Hospital, we are talking this year – even with the additions that have been announced – about a cut of 150 million. kr. At the same time, we know that there are plans at Haukeland Hospital in Bergen for a battlefield and for rehabilitation, but these are not funds for investment, and they are not funds for operation. And the idea of building further – and better – offers, for example. within geriatry at Haukeland Hospital, one can only look long after. Does the Minister of Health think that it is important that older people, with complex disorders too, can receive an optimal treatment offer in the sense that they are adequately investigated so that they can be followed up both in hospitals and by the community health service at home?
ParlaMint-NO_2002-05-29.ana.ud356e1251	I have never tried to create the impression that a state acquisition of the specialist health service would solve all the problems in the hospitals, problems that are well known over many years. On the contrary, I have been criticized for being too modest in my ambitions in relation to what the reform would accomplish in the next two years. But I believe that the reform will provide a basis for addressing the main challenges both in terms of investment and operation, not least when we get the new system of investment in hospitals in place from next year. It has been the assumption that it will come from 2003. I'd like to say to the representative of the Skjälaa that yes, that's important. It is particularly important that the weakest groups of patients, including those who are ill, are given priority and benefit from a comprehensive healthcare system. It is important for me, as Minister of Health, to look at it.
ParlaMint-NO_2002-05-29.ana.ud356e1258	I also thank you for that answer and hear the good intentions. But the situation in hospitals is not, in fact, such that hospitals and health businesses can give priority to this group, because the emergency function, etc. requires a lot. I would like to challenge the Minister of Health and ask if he intends to set up a hospital for this type of patient who requires a lower level of purely treatment, but who needs treatment, so-called a semi-intermediate service – for the hospitals, it is not possible to treat.
ParlaMint-NO_2002-05-29.ana.ud356e1265	I just want to say that a large part of the immediate help function in the hospitals is about this particular group of people, so that putting immediate help up for the treatment of the elderly is not going to be right. But I'm actually concerned that we can get more of these half-way services. We are taking some action in the hospital proposal that the Government made on 3 May in relation to the treatment of cell poison patients and dialysis patients, and we have appointed a sample – which will work over this year and deliver its stop at the end of the year – to look at the financing of hospital services. The sample has just been asked to look at the financing of the two-way service, which is to provide a basis for the type of services requested by the representative of the Kellerlaa.
ParlaMint-NO_2002-05-29.ana.ud356e1275	I will ask the Minister for Health the following questions: ‘The Council of State announced on 22 May a review of the geographical breakdown of financial resources of health enterprises. Will he also initiate a review to secure users and communicate dialogue with the enterprises?’
ParlaMint-NO_2002-05-29.ana.ud356e1284	There are two important issues to be addressed: the dialogue between users and municipalities with enterprises. For both groups, there are strong arguments for their involvement in dialogue with health businesses. It has therefore been important for me to facilitate participation and dialogue in the systems that are now being developed for businesses. So the short answer to both representatives of Meltveit Kleppa's question is: Yes, I have, and I want to do it. But let me elaborate it a little bit. For users, the Health Business Act requires that users and their organisations be influenced and involved in dialogues. In my view, this has been followed up with regard to regional health enterprises requiring the establishment of user selections, and also with the requirement to ensure that health businesses maintain dialogue and participation in relation to users and their organisations. There are now established user selections, I have been informed, in all five regional health companies. For my part, I have good experience with user selections from other contexts, and I therefore consider this a very important measure to have good and systematic contact with users and their organisations. As regards the municipal sector, I point out that in the proposal for a health company law, it was proposed that all regional health companies should set up Council bodies, such as: was intended to support the desired contact with regional and local political bodies. As you know, this was not adopted during the Grand Duchy's treatment of the law. In view of the fact that this solution was not relevant, the Ministry of Health has continued to work on other approaches that can facilitate good dialogue with municipalities and municipalities. There has also been dialogue between the Ministry and the regional undertakings on this subject. As a result of this process, a letter from the Ministry of Health issued on 2 May this year clarifying that all five regional health establishments will be in contact with regional and political bodies. On the other hand, such work is already in progress. As a result, development processes are in progress to ensure that enterprises have the necessary dialogue with municipalities and county councils. I think this is important. Municipalities and county councils have an important ombudsman role on behalf of the population in their areas. In addition, both the municipalities and, in particular, the county authorities have a responsibility for social planning which implies that there must be good venues for dialogue and contact with such an important community service as the healthcare and hospital services are.
ParlaMint-NO_2002-05-29.ana.ud356e1295	There is – rightly – concern in many user organisations and thus among many patients in relation to the lack of dialogue. Let me give you one example: the Rogaland Rev Mathematicians Association had before a good dialogue with the County Health Board. They got told about their needs, and their positive experiences, for example. with the Revmatism Hospital in Haugesund, was important for the elections in Rogaland took. Where should they now go to influence, for example: where the necessary maintenance of the buildings of a hospital which is very special but which has a very important function in relation to a large group of chronically ill people is involved? It is good and good to give information to the management board to consult the users. Does the Council of State mean that it replaces the elected bodies that were previously responsible?
ParlaMint-NO_2002-05-29.ana.ud356e1302	The size has adopted a new management model for the hospitals, and of course it is my responsibility to implement it. I believe that, in terms of user involvement, the new business system should not in any way stand behind the user contact that must have been there before the reform came into force. The fact that enterprises have now needed time to consolidate, to set up and set up these schemes for a few months is not an indication of a lack of priority. From my side, it's a deep commitment because I think hospitals are getting better if these user samples, systematic user contacts and user studies work well. I'll make sure that happens. I'm quite clear that the popular government of the health sector has moved into this room for hospitals. But in addition to that, there should be a good user dialogue, and there should be a good dialogue with elected local bodies.
ParlaMint-NO_2002-05-29.ana.ud356e1309	It is good that the Council of State expresses its commitment. For my part, I would like to stress the anxiety I feel about the chroniclers, and would ask him to follow up. In this way, I am not satisfied with the answers that the Minister for Health has so far given to several other questions in this Question Time, because he seems to be satisfied with the funds that he has now allocated to entrepreneurs. It's a fact, of course, that here some people are telling us about cuts in existing supply. There is even greater cause for concern when it comes to the chroniclers, because they are often the ones who come to the rear. I'd like to ask the government council to show commitment not only in words, but also in action, and then he has to do far more than he's done at this time to figure out how the chroniclers now experience the actual situation in relation to the corporations.
ParlaMint-NO_2002-05-29.ana.ud356e1314	I hear the representative Meltveit Kleppa believes that I don't know enough about the chroniclers' everyday life, and she can. I think it's hard to really get into it, without having been there or being very close to such people in everyday life. So that's what I'm going to remember. But when it is made so that as Minister of Health I am very satisfied with the means the hospitals are given for the current year, the answer is that I am not. That is why I have put forward proposals for substantial additional appropriations, and of course I am behind the proposal that I have presented to the Stortinget. And then it's the representative of Meltveit Kleppa and her colleagues in Stortinget who will decide if this is good enough, and I seem to record that you think it's not. We'll get back to that in another case in this room.
ParlaMint-NO_2002-05-29.ana.ud356e1321	Now we go to the 18 and 19 questions.
ParlaMint-NO_2002-05-29.ana.ud356e1329	‘The traditional way of living of the Gypsy includes extensive travel activities. Cigarettes are still available in Norway, which travels in the summer half of the year. In this group, there are children who don't go to school. Probably we're talking about between 30 and 70 children. They need training to enable them to participate in society. What will the Council of State do to ensure that gypsy children in Norway are trained, and how will she proceed to achieve this?’
ParlaMint-NO_2002-05-29.ana.ud356e1336	All children living in Norway have a right and an obligation to primary education. The right to primary education occurs when the child is likely to be in Norway for more than three months. Primary school education begins when the stay has lasted for three months. If the parent or the person responsible for the child is intentionally or negligently responsible for the child’s absence from training, he or she may be punished by fines. It is the State Education Office in each State that supervises the compliance of the municipality with the Training Act, including the right and duty of children to training. However, the school system in Norway is not sufficiently adapted to families with extensive travel activities. St.meld. No 15 for 2000–2001, national minorities in Norway, have been treated in the United Kingdom. In the light of this Communication, the Ministry of Local and Regional Affairs has set up a coordination committee for national minorities, including: The Ministry of Education and Research is represented. During the autumn, the Committee shall submit proposals for several concrete actions to national minorities, including school measures to the Roma and Roma population. I want to make sure that this coordination committee addresses the issue of the representative of Apelthun Säle. In addition, I can inform you that one of the concrete actions mentioned in the Annual Report on National Minorities in Norway is to assess whether ICT, in combination with school-supported contact networks in relevant areas, can be adapted to the training needs of the Roma and Roma population, who are travelling part of the year. When the selection setting is available, this will be carefully assessed, inter alia. in the Ministry of Education and Research. Both the assessment and the implementation of any action must take place in close cooperation with the Roma and Roma people themselves.
ParlaMint-NO_2002-05-29.ana.ud356e1353	I would like to thank the Council of State for its answer. I have had conversations with people who have said that they have never gone to school, that they cannot read and write, and that they have had great difficulties in life, not least to hide their disability. Most of these were well-grown human beings, and so this is a result of past sins. It is alarming, I think, that in 2002 too there are children falling outside, with the problems it will bring. We know the responsibilities of parents, but ultimately it's society's responsibility to teach these children. The Roma and Roman people are often traveling outside Norway too. Can the Minister of Education envisage Nordic cooperation on controlled home education for these children, possibly with travelling teachers?
ParlaMint-NO_2002-05-29.ana.ud356e1362	I agree with the representative of Apelthun Seele that this is important. We know that education and knowledge are important to everyone, and these children, who are innocent, can later in life discover it. Then it might feel too late. These too, of course, have requirements for adapted training. We have to say that it is more demanding to provide this group with adapted training than many other groups. But on the other hand, this is a fairly small group, as it emerges from the question that has been asked. I also believe that today we have opportunities for more flexible forms of training, which should enable us to develop the imagination and creativity that is needed to provide a good offer. The idea of bringing this up in Nordic cooperation I will take with me. I am not going to meet my Nordic colleagues for a long time, and I am already going to deal informally with the question of whether this is something we could look into in the Nordic context.
ParlaMint-NO_2002-05-29.ana.ud356e1371	I'm very pleased with that answer. It is quite clear that the case is demanding, but it is also limited in scope. Flexibility is what we need to invest in. Now it is that new technologies often provide new opportunities – the Council of State said a little about it. Although Gypsies live in a traditional way, technology has also reached this society to some extent. I am pleased that the Council of State believes – as I believe – that it is possible to reach children and young people via the Internet and to provide adequate training. There is also a good tool for basic education, which could lift children out of the knowledge gap. This was certainly more a comment than a question, but I thought a must use the full width to achieve the flexibility needed to reach these children, so that we don't get grown up without basic knowledge in the future.
ParlaMint-NO_2002-05-29.ana.ud356e1380	I'm taking these advice and these ideas with me, and maybe I can just add that these are not the only children who are traveling parts of the time they go to school. Many children of disfellowshipped parents, e.g. use information and communication technologies to keep in touch with Norwegian training activities. I take these ideas with me and will come back to this in the light of the selection setting that I mentioned in my answer.
ParlaMint-NO_2002-05-29.ana.ud356e1390	I have the following questions for the Minister of Education: ‘I refer to headlines in the newspaper ‘Education’ of 12 May 2002 on the ‘Everyday light for school leaders’ course, where it appears that school staff are not entitled to make seizures of, among others. dangerous objects from pupils. This restriction represents a major challenge in relation to the provisions of the Training Act on Rules of Procedure, and not least in relation to the practical problems of order faced by employees in today's school. What will the Council of State do to remedy this situation?’
ParlaMint-NO_2002-05-29.ana.ud356e1399	Let me first say that the school has a duty to provide a safe environment and a good learning environment for the students. In order to follow up this obligation, I believe it is important that schools have internal rules of procedure. This Regulation should be clear and clear, not to be misunderstood, drawn up in cooperation with students and parents, teachers and school leaders and enforced when it is broken. Everyone in school, teachers, students and parents, needs to know what is acceptable behavior. The Rules of Procedure may vary over time and between schools, but must, of course, be defined within the framework of the Training Act and the rules applicable in general in Norwegian society. For example, there are rules of procedure. list items that are not allowed to be carried or used at school, such as: mobile phones, weapons or, for that matter, candy shops, and explain the penalties/reactions that will accompany a breach of the rules. Whatever the rules, I think it is clear that everyone has the right, and the duty, to prevent criminal offences. However, the instruments used must be proportionate to the gravity of the criminal offence and directed at the perpetrator and, in school context, not normally directed towards the whole class or school. I therefore do not agree with the claims made in the magazine ‘Education’. I would like to add, I believe, that the staff of the school can intervene and remove visible or easily accessible weapons or other dangerous items from the students. Where there are more vague suspicions, e.g. What students may be involved must be left to the police, as elsewhere in society, to investigate and confiscate. I have registered that there is uncertainty in the school about these questions. I have therefore started working on a separate circular that will make this clearer, clarifying the conditions I have mentioned above and that may be in use from school start-up in the fall.
ParlaMint-NO_2002-05-29.ana.ud356e1410	I thank you for your answer. We can quickly agree on what is ‘sound reason’, but it obviously reinforces actions based on common sense if the jus is also on the side of reason. I am therefore glad that at least we can get some sort of cleaning through a circular. But if it's all about the same point of view, it still leaves an unexplained situation in relation to the juxe specifically. In my opinion, a clean-up should be carried out which also clarifies and covers what is legally possible, so that if situations arise in which it is put at the head, it should be clarified for all school staff, both school managers and teachers, in such a way that they feel on a safe legal basis if they consider that there is a basis for sequestration, irrespective of the object. It is also an independent point that the instrument to be used by teachers should be legally clear, so that in their role model they do not actually act contrary to or on the edge of the legislation in force.
ParlaMint-NO_2002-05-29.ana.ud356e1417	Now I believe that the answer I gave instead is also consistent with the law. I'm aware that there may be lawyers who might think otherwise, but we're probably not completely familiar with the phenomenon that lawyers can have different opinions. I therefore believe that I gave an answer that was not only sane, but also enshrined in law and regulation, and which can and should be enshrined in a school regulations. Sun sense came almost at the top of the juxtaposition. I also agree with Mr Sortevik that if, in the work on this circular, we find that it is difficult to provide clear guidelines on what kind of school regulations you can have in very important areas – one must say that this with weapons is very important – we should, if necessary, also take the legislative initiative. But our interpretation is that the way the law is now, the way the training law is, and the way you have the opportunity to design the school regulations, you are on a secure legal basis if you do what I say, so intervene and remove ‘visible or easily accessible weapons or other dangerous objects from the students’. Going to unaddressed research is probably different, but I don't think that's the issues the teachers and schools have addressed.
ParlaMint-NO_2002-05-29.ana.ud356e1424	Finally, will the design of the circular also cooperate with the Department of the Law Department of the Ministry of Justice, in order to make every effort to clarify any ambiguities related to the legal basis for seizures? I want to remind you that we are talking about quite different types of objects – mobile phones can be of the relatively unproblematic ones. As we move along an axis further towards weapons – knives and percussion weapons – we are inside a completely different and far more serious problem.
ParlaMint-NO_2002-05-29.ana.ud356e1429	We now have lawyers in the Department of Education and Research, too, but it is a relatively normal procedure that if you move into areas of law, there is also a contact with the Department of Law. I don't know exactly the procedures for how to do it when drafting a circular, but I'm taking this advice with me, and I'm going to make sure that what we're sending out is a patent.
ParlaMint-NO_2002-05-29.ana.ud356e1434	We then go back to question 13.
ParlaMint-NO_2002-05-29.ana.ud356e1440	I would like to ask the Minister for Development a question: ‘The fight against poverty is an expressed priority area for Norwegian development policy and for the World Bank’s PRSP programmes [[Strategic document on poverty reduction]] Will the Government work to ensure that poverty reduction is given the main priority through the use of all tools within the World Bank and the IMF?’
ParlaMint-NO_2002-05-29.ana.ud356e1449	Let me first make it clear that the Poverty Reduction Strategy Paper, the PRSP, was launched as a joint initiative of the World Bank and the Monetary Fund, the IMF, in 1999. This marked the beginning of a more comprehensive approach by the two institutions to poverty reduction, integrating monetary, fiscal, structural and social factors, so as to maximise the poverty reduction effect. An important principle is that countries themselves should have ownership of their PRSP. The design of the strategy is based on the developing countries’ own priorities, which the World Bank and the IMF then support. To support the implementation of the PRSP, two lending instruments have been launched, the World Bank's Poverty Reduction Strategy Credit, PRSC, and the IMF's Poverty Reduction and Growth Facility, PRGF, respectively. Thus, the two loan instruments PRSC and PRGF, which were also in the presence of the representative, do not override the PRSP in each country. Both are based on the priorities expressed by developing countries themselves through their PRSP. In principle, the primary objective of these instruments is not to promote economic liberalisation and deregulation. Whether this is the case depends on the situation in each country and their PRSP. In this case, it will take place within a framework within which national institutions are able to ensure that the social dimension, which the representative is also involved in, is safeguarded. We are very conscious of the link between the macroeconomic effects of the measures prescribed by the PRSPs and their social consequences. Analysis is therefore carried out both in advance, while action is being taken and subsequently taken to ensure that they actually give a positive count to the poor. The World Bank and the IMF are developing an approach to Social Impact Analysis, as it is called, to support the national PRSP process and to ensure a better basis for policy decisions and the order of reforms and actions. However, it is important that this work is anchored in and implemented by the countries themselves. Many developing countries have major capacity problems in carrying out such analyses. Therefore, we must ensure that national capacity is strengthened. From the Norwegian side, we follow this work very closely. According to the Government's Action Plan on poverty reduction, we will contribute to the priority of the fight against poverty in the work of the World Bank and the IMF. In general, Norway will continue to work actively to ensure that the PRSP approach ensures as much as possible a country-wide – i.e. national ownership – effective and poverty-reducing development, and not least that the World Bank and the IMF, as well as other development actors, should base these objectives on their commitment to countries.
ParlaMint-NO_2002-05-29.ana.ud356e1462	I thank you for your answer. I think it is good for the Council of State to give a clear response to priorities. Now it is no surprise that there will be different assessments of the kind of policies that promote development and of the kind of policies that promote a fair form of development – probably also between the Council of State and me and between the different environments involved in the policies of the World Bank and the IMF. However, I am interested in challenging the Council of State on this, because we have seen many accusations in relation to the World Bank that have been made about such a contradiction, between a policy that promotes the liberalisation of the economy and a policy for combating poverty. Does the Council of State see that it can be the kind of contradiction, and is it the areas in which she wants to intervene in order to give poverty reduction an active priority?
ParlaMint-NO_2002-05-29.ana.ud356e1472	I first want to give the representative an honor to put this question in focus. It is very important that the Storting also engages. Although it may be technically complicated, it is nevertheless important for billions of people. Of course, we have poverty reduction as our main priority. As the representative is aware, there may be slightly different assessments of what is best considered to lead to the objective. What's our main goal is that there shouldn't be one recipe that's going down the heads of every country. On the contrary, one must turn it around and say that countries themselves should develop a strategy — the national poverty reduction strategy — which will then form the basis for both the assessment of macro-economic measures and the assessment of social and structural measures. Here's Norway on the track. Of course, we are not entirely in line with the policies of the IMF and the World Bank. Every year, Norway has been fighting for the most poverty-oriented policy possible. In my opinion, the World Bank has now come very far. We are concerned that the IMF should come as far as possible, and then operate through a policy that, as we understand, is completely poverty-reducing in each country.
ParlaMint-NO_2002-05-29.ana.ud356e1479	I thank you again for the answer. I could finally imagine asking the Council of State a little additional question about what she sees the Government can do to come up with those who are now criticizing the World Bank's policy, meeting, and what kind of action the Government can take to capture that kind of criticism. If the Government is to meet the objectives set by the Minister of Development here, an active apparatus is needed to capture any potential contradictions of interest. So what kind of thoughts do you have about the follow-up of it?
ParlaMint-NO_2002-05-29.ana.ud356e1486	In my opinion, a good part of the criticism that has been in recent years is primarily legitimate in relation to the policy pursued by the World Bank in the 1980s, and partly in the early 1990s, i.e. the old structural adjustment programmes. It has, among other things, This is reflected in an analysis that Norway has been involved in funding, the SAPRI analysis, which reflects the criticism that the representative has expressed. In my opinion, and according to Norwegian assessment, the Bank has changed its policies in a number of areas and takes care of in a different way to what was previously the case, the main consideration of poverty reduction in individual countries. It will always be the case that there may be a basis for analysing whether or not a measure has been taken, whether or not the correct dosage has been selected, and whether or not one has always been equally targeted, and we will have a good analysis of that at all times. This is the background to the Social Impact Analysis instrument that is now being implemented, to review macroeconomic policies and to review their social impact, as well as the policies of both the World Bank and the IMF, precisely to see how this can be better achieved in the next round. So here we are in a process that, in my opinion, provides a very good basis for caring for some of the critical approaches that many people have come with. But I would like to stress that I feel that part of the criticism is more directed to the bank ten years ago than the bank we know today.
ParlaMint-NO_2002-05-29.ana.ud356e1497	‘The natural pearl Gevilvatnet has suffered significant damage as a result of watercourse regulation. In 1997 the municipality of Oppdal asked for a revision of the operating regulations, without the NVE having taken this into account. The county therefore followed up in 2001 with a requirement for revision, a requirement that has not yet been addressed by the Ministry of Oil and Energy. Does the Council of State consider that the treatment period for such cases is satisfactory and does the Council of State consider that the current legislation works well enough in relation to such natural damage?’
ParlaMint-NO_2002-05-29.ana.ud356e1504	The question from the representative Vaggen Malvik relates to a complaint from the Sørde-Trøndelag county council regarding the refusal of the NVE to reconsider the operating regulations for Driva power plants. The operating rules shall concern, inter alia, the following: Offered in Oppdal municipality. The county council had demanded that the NVE amend the operating regulations in order to ensure better filling of the water supply in the spring. The Directorate of Nature Management promoted a similar enquiry on behalf of the Environment Group of the Gevilvatnet, Oppdal Municipality and County Council of the South Trøndelag where the NVE was asked to assess the adverse effects of the regulation of the Gevilvatnet. The NVE gave its assessment of the case on 12 May 2000. The NVE concluded that the adverse effects resulting from the regulation were not greater than expected when the concession was granted and that all material damage that has occurred was assessed during the concession treatment. Because the county council in its letter asked for the NVE's assessment of the case, no formal decision was taken that could be appealed against. On a later occasion, the NVE drew attention to the fact that it was possible to require that the conditions be changed in accordance with its own change provisions of the operating rules. Therefore, in October, the South Trøndelag County Authority requested that the operating regulations be amended, with the same justification. NVE rejected the requirement for conversion. The complaint from the county council was sent to the Ministry of Oil and Energy by letter of 19 December last year, and a decision on the matter can be expected in the near future. In view of the fact that it was only in October last autumn that there was a formal requirement to start an audit case, I cannot see that a dry six-month period is an unsatisfactory procedure. Both the NVE and the Department have needed to get into the matter thoroughly and have, among other things, obtained opinions from the Ministry of the Environment and the regulator. In addition, in this case, we have waited for work to be done between the regulator and the municipalities concerned with a view to finding agreed solutions to improve the flooding of the Givvilvatnet. After I have been informed, this work is in the final phase, and the regulator aims to send an application for a change to the operating rules before the holiday. With regard to Vaggen Malvik's other questions, I am of the opinion that we have a code that is good enough to capture any accidental natural damage or damage that is of such a scale that it has not been possible to predict them at the time of the concession. I refer here to the general ‘emergency’ provision contained in the Manoeuvring Regulation, but also to the statutory access to audit of previously granted regulatory concessions. In conclusion, and on a general basis, I would say that the take-up of such matters as this is very large. While the regulatory framework is adequate, longer processing time than may be desirable in some cases may be necessary for the purposes of procedural capacity. For reasons explained, I still believe this is not the case in this case.
ParlaMint-NO_2002-05-29.ana.ud356e1528	First, I would like to thank you for your answer. I would argue that this is a rather special matter. And when the Council of State argues in its response that the NVE considered the damage that the Grant Water received, as already assessed in the concession treatment, and also points out with the importance of a formal application for a change to the Manoeuvring Regulation, I think it is a little strange. Oppdal City Council adopted a unanimous decision as early as November 1997, asking for a change in the operating regulations as a consequence of the damage caused to the Salvage Water. And then I think it's a little strange that the NVE did not see the application for the change as a formal enquiry when it came from Oppdal municipality. That's what I think with respect to reporting is a little strange. Otherwise, I would like to point out that when it comes to the use of the emergency paragraph – notice the term ‘emergency paragraph’ – it must mean that you have to have a quick treatment if it is to have a function. And if you're going to let this out for years -- we're writing now in 2002, and the first time this case showed up, it was in 1997 -- then you can hardly call it an emergency paragraph.
ParlaMint-NO_2002-05-29.ana.ud356e1539	First of all, let me say that, as a complaint authority, the Ministry has to deal with the appeal periods granted, and the complaint has to be filed on a formal basis. I consider this matter to be an important environmental issue. I see the environmental aspect related to the regulation of Givvilvatnet and actually have a considerable hope that the regulator, together with the municipalities and county councils concerned, will come up with an amicable scheme. I mentioned that in my answer, but I also think that the questioner, who is concerned about the environmental aspect of this matter, should be satisfied that in this case the department will give itself the time to go through all the aspects of the matter. It reflects the seriousness and the thoroughness that I believe this important matter deserves. I hope we can deliver an answer quite quickly. I have also mentioned that, but above all, I hope that there will be an agreement between the regulator and the relevant stakeholder organisations that will resolve this issue satisfactorily.
ParlaMint-NO_2002-05-29.ana.ud356e1548	In a letter from the municipality of Oppdal of 22 March, it appears that voluntary solutions will no longer be sufficient, and doubts are expressed that the necessary measures can be agreed with the regulator. Oppdal Municipality wants to change the control height to a maximum of 10–11 meters, and that you have to find a solution that is satisfactory for Oppdal Municipality. Then my question is very specific to the Council of State: Do you want to follow these signals from the municipality of Oppdal?
ParlaMint-NO_2002-05-29.ana.ud356e1553	I do not want to prejudge the treatment that the department is about to carry out. As I said, I hope that there can be a sensible and sufficiently environmentally friendly solution, a natural solution, linked to the dialogue between the regulator, the power plant, and the municipalities concerned. Based on the solution you arrive at, and the application that such a solution may subsequently lead to, I will take a position on this. However, on an independent basis, the Ministry will deal with this complaint and, of course, also in its work, it will take care of the important environmental concerns associated with the Water of Grant.
ParlaMint-NO_2002-05-29.ana.ud356e1563	I allow myself to ask the Minister for Oil and Energy the following questions: ‘According to the Sem declaration, the use of mini-power plants shall be increased. At the same time, a project is rejected for the construction of a mini-power plant in the Inner Sage River. The project is supported by local environmental authorities. The government's reason for its refusal was that the project had previously been rejected by the previous government. We had hoped that old stuff of thought would be thrown out when the Bondevik II government took over the department. Will the Council of State bring up its fresh costs, read the Sem statement and review the matter?’
ParlaMint-NO_2002-05-29.ana.ud356e1572	As the representative of Vaksdal points out, the Sem Declaration states that the use of mini-power plants should be increased. This does not mean, however, that such an authorisation is to be granted without exception for the development of power plants. An environmental assessment of the project must also be carried out in these cases. In the case referred to in the question, permission has been given to the mini-power plant itself in the Inner Sage Watercourse and to the regulation of a neighbouring water. On the other hand, no permission has been granted to regulate the Kroquat. Attention has been paid to the fact that this area has an untouched character and is a wetland area that is a shelter and nesting area for ducks, peacocks and large loams. As long as permits for the construction of mini-power plants are not applied for in a protected watercourse, such applications are very rarely rejected. The ministry has therefore gone through all the arguments in this case in full width twice. It is not possible to avoid the fact that regulation of Krokvatnet would cause such damage and disadvantages to the general interest that it does not exceed the benefits of regulating that water. When the respondent asked the department to look at the matter for the third time, I therefore did not find a basis for reconsidering the case, as no new arguments had been found in the case. So in this particular case, the consideration of the environment must therefore count more than the development interests. This is also well in line with the objective of the Sem Declaration. I can also confirm that it has been discarded from the offices of the department. There are fresh costs in place. The Council of State has read the Sem declaration, and the matter has been re-examined.
ParlaMint-NO_2002-05-29.ana.ud356e1583	I thank the Council of State for the answer, which I really found disappointing in the light of what is stated in the Sem Declaration. It says on page 17: ‘Co-operation management believes that the potential for future hydropower deployments in relation to the value of securing the remaining natural areas means that the epoch of large hydropower deployments is over. In view of the natural experiences of future generations, there is a restrictive attitude towards further watercourse development and that we leave the vast majority of the watercourses that remain untouched. On this basis, the cooperative organisation will carry out a review of the protection against watercourses. The existing hydropower structure needs to be better exploited and the use of mini-power plants increased.» We all agree that the development of mini-power plants alone will not solve the problems of a huge deficit in the domestic power balance. However, mini-power plants will still contribute positively, and mini-power plants will also remedy the serious power situation we sometimes have. In addition, those engaged in rural activities are now encouraged to find additional incomes and new economic pathways in addition to farming. In this place, there has also been a previous power plant without the major problems. On this basis, will the Council of State review the matter, so that the beautiful words in the Sem declaration are now converted into action?
