ParlaMint-NO_2002-10-23.ana.ud1679e28	The representative of Steinar Bastesen will make a private proposal.
ParlaMint-NO_2002-10-23.ana.ud1679e960	My question goes to the Minister of Social Affairs, who answers it instead of the Minister of Health: ‘The Court of Auditors has strongly criticised the follow-up to the Psychiatric Plan in the Ministry. It is documented that psychiatric outpatients only treat from 0.8 to 1.4 patients per year. day, and waiting lists only increase. Will the Council of State now impose greater professional activity on enterprises in the outpatient psychiatric clinics?’
ParlaMint-NO_2002-10-23.ana.ud1679e969	The national audit has highlighted weaknesses in the department's planning requirements for county municipalities. However, whether or not the department should have more detailed planning work in the county municipalities is a multi-page issue. Over many years, there have been signals from Stortinget that the State should not override the municipal sector. The Ministry chose to meet with the county councils in order to reach an agreement on which development projects should be implemented. The county councils have also received written feedback on the plans that have been detailed. This has been time consuming because the plans were different. Action to strengthen the service has been taken in parallel with the planning process. Statistics show that mental health protection activities for both adults, children and young people have increased as resources have increased. The number of new referrals to mental health protection has increased significantly in recent years, while the treatment activity has kept pace with the influx of new patients. The central unit is not the number of waiting lists, but the actual waiting time for treatment. The productivity of mental health protection in the paediatric population has increased from 1.2 to 1.4 interventions per year. annual work per year a day from 1998 to 2001, an increase of about 17 pst. In the service for adults, the number of institutional stays per year is higher. annual work increased by approx. 10 pst. It must also be said that a lot of work is done in outpatient clinics, which are not automatically registered as consultations. However, productivity appears to be low both in outpatient clinics for children/youth and adults. This has also been documented in several reports earlier. As part of the work on the escalation plan, we have introduced new tools to improve this. These include: develop a manual on the organisation and working arrangements of outpatient clinics and work has been undertaken by the Ministry on the review of the outpatient reimbursement system with a view to facilitating better resource use and increased productivity. This shows that efforts are being made to strengthen the provision of services in the field of mental health protection and that some of the presentations of mental health protection that have been promoted in the public sphere do not give an overall picture of developments in recent years. That being said, the challenges are still great. It is a dilemma that productivity is still too low at outpatient clinics. The hospital reform is based on a clearer governance of the specialist healthcare service. Clear demands have already been made for improvements on this point in the 2002 governance papers for regional health enterprises. This shall be further followed up in 2003 with clear performance requirements for a marked productivity increase in outpatient clinics, as also announced in St. pp. No 1st@item:
ParlaMint-NO_2002-10-23.ana.ud1679e980	I thank the Council of State for the answer. The national audit confirms what many of us have said for a long time, namely that maps and terrain within the psychiatry plan do not match. It is incomprehensible to me that the department will spend a whole two years approving the psychiatry plans for the municipalities and county municipalities, and that until today the department has not been able to obtain the full and complete overview of the situation in the psychiatry. It's a fact, despite the fact that we've had an escalation plan in psychiatry that's been going on for years. Does the Minister of Social Affairs think that the situation description of the psychiatry in the state budget proposition is correct and adequate for the situation experienced by psychiatric patients today?
ParlaMint-NO_2002-10-23.ana.ud1679e989	First of all, I would like to stress that the Riksrevision has not expressed strong criticism, but that it is the words of the Evening Post. The representative Alvheim and the undersigned fully agree that productivity needs to be improved. In this respect, we have strong instruments precisely because we own hospitals, regional enterprises. In the past, we had to deal with it differently in relation to the county council. Now we have the opportunity to make demands through the governance documents. It has already been done for 2002, and it will be followed up because it is a strong need. I fully agree with the representative that we need to improve productivity, and it is clearly within the follow-up plan that it should be increased. This is a clearer control, and there are also performance requirements. There is an improvement in productivity, but that is not enough, and it has to be followed up further.
ParlaMint-NO_2002-10-23.ana.ud1679e1001	Once again, I thank the Council of State for the answer. An improvement in productivity can hardly be said to be when waiting lists just increase. It has been demonstrated that treatment is available from 0.8 to 1.4 patients per day. day work in the psychiatric outpatient clinics. Then something must be tearing wrong. What do all these people do a day? It should be the department going in and looking at, one has to figure out how the work is actually going on in the clinics. Do they have too much freedom there? I think it is necessary that the department now intervenes in relation to the psychiatry and provides for a greater activity and productivity in terms of patient treatment. Do I now perceive the Council of State that this will be mentioned in the governance document that comes to businesses from next year?
ParlaMint-NO_2002-10-23.ana.ud1679e1008	Those numbers, from 0.8 to 1.4, are numbers that are taken from a letter, I guess, to SV's group and relate to one institution, Nic Waal. The actual numbers are from 1 to 3. The starting point is that the management documents contain clear requirements for improved productivity. I have noticed the representative's views and questions, and will bring it back to the Minister of Health.
ParlaMint-NO_2002-10-23.ana.ud1679e1026	This question has been withdrawn. Questions 12 and 13 will be taken up in response to questions 23.
ParlaMint-NO_2002-10-23.ana.ud1679e1035	‘The County Ironing Offices report that about 95 pst. the organisation grants to enterprises to compensate for the costs incurred by the employer to facilitate the return of the sick and disabled to the labour market are unused after the scheme has worked for 9 months. What will the Council of State do to implement the measures adopted by the Grand Duchy at a reasonable pace?’
ParlaMint-NO_2002-10-23.ana.ud1679e1042	As one of the measures contained in the Memorandum of Understanding, an organisation grant scheme has been put in place from spring 2002. The organisation grant shall compensate for the additional costs/interactions of the establishment in relation to specific business-internal organisational measures. The grant is provided at a daily rate of 250 kroner and up to 500 kroner if the employer can prove higher expenditure. The grant may be provided in combination with active sick leave, graded sick pay or rehabilitation benefits in the course of work training. The organisation grant may also be granted to a worker at risk of sickness. It is true that by the end of September 2002, i.e. after six months of operation, the scheme had paid SEK 4.9 million. kr in the organisation allowance, of which 2 million. kr was paid only in September. This shows that the use is increasing, and I expect growth beyond the harvest as the measure becomes better known. The payment is made in arrears, and this also implies a certain amount of inertia in the case of payments. At the end of August, a total of 352 cases were granted. However, the reports of the Rikstrygdeverket have been received from the counties are positive. The grant is perceived as an appropriate instrument and is used in a variety of situations. These include, inter alia: reorganisation of work, training in new work and internal and external courses. The facilitation grant is a new measure, and it will take some time before it becomes known and used on a larger scale. The Employment Centres, which are established in all the counties, inform in different contexts about the instruments of the Memorandum of Understanding. In concluding cooperation agreements with the employment centre of the social security system, enterprises are provided with detailed information on the various instruments of popular concern, including: organisation grants. Per. On 5 October there are about 1 150 public and private enterprises, covering about 18 p.m. by all employees, agreed upon. An additional 1,200 companies will enter into a short-term agreement. Establishments concluding a cooperation agreement are provided with a separate contact person in the work centres providing advice and guidance on sick leave in general and in assisting in difficult individual cases. The Rikstrøgdeverket has provided for a liberal use of the organisation grant in the framework of the regulation. Particular attention has been paid to the targeted use of the grant scheme to achieve the objectives of the Memorandum of Understanding. In addition to the social security system, the social partners must focus to an even greater extent than they have so far on information on the instruments contained in the commitment agreement. There is good cooperation between the social partners and the social security system, both centrally and at state level, and I expect this to lead to a faster knowledge of the tools in the enterprises.
ParlaMint-NO_2002-10-23.ana.ud1679e1053	The Council of State describes a number of good measures contained in the Memorandum of Understanding, but what is the starting point, and what she says little about, is why progress in using these instruments is so weak. It seems that this is not enough pressure from the Government. However, despite the fact that the use of the instruments has been very short, the need for an evaluation is underlined one year after the agreement has been concluded. Some government councils have also threatened to reduce the sick pay scheme if they do not achieve 20 pst. reduction of sick leave. Then I have to ask if it is such that it is desired to change the sickness pay scheme that the Government does not make more progress with regard to the use of the instruments at its disposal.
ParlaMint-NO_2002-10-23.ana.ud1679e1058	Let there be no doubt: an agreement is an agreement. What is important now is to make the Memorandum of Understanding work, with the instruments in place. The answer is short and good: No, there is no hidden agenda for not using the tools, and then in a way to advance an evaluation. There is an evaluation in the agreement. We'll take it when that time comes. Now it is important to make the agreement work, and it is important to make the instruments work where they should. It's been a short time. We have put extra pressure on it, and I also see that the use of the precisely planned grant has increased in recent times. But it's too early to say anything now. We follow it anyway. We would like the funds to be used more, because here there are resources and opportunities to help those who need it specifically in the individual workplace. But then also all the parties to the agreement have a responsibility to just make this known and to make it work out where it's going to happen.
ParlaMint-NO_2002-10-23.ana.ud1679e1063	I thank you for your answer. I am pleased with what the Council of State says, that you do not have a hidden agenda here. However, it is true that a very short time has come to try out the instruments contained in the commitment agreement – one thing is the organisation grant, another is the wage subsidy for companies recruiting disabled people. Strengthening the Rikstrøgdeverket with 600 new jobs is something that also depends on. There are few large, heavy, state-owned enterprises included as IA companies. The same is true in the private sector, where you have very few that are drawn as IA companies. On this basis and in order to have time to test the instruments before evaluating, I would like to ask whether the Council of State will help to extend the deadline for evaluation. Now nine months have passed since the agreement was concluded. There are three months left, and you know that you're depending on how to deal with the instruments that were meant to be.
ParlaMint-NO_2002-10-23.ana.ud1679e1072	An agreement is an agreement. In the agreement concluded between the parties, there is also an obligation to evaluate it, with the experience we then have, to provide the means available and the result obtained. All work centres are in place in all 19 counties. We have received feedback that this works very well. What is one of the challenges is that we see that there are big differences between the states in terms of including both public and private enterprises. This is also something we follow up, because the most important thing now is to make the agreement work and get more people to end up about it.
ParlaMint-NO_2002-10-23.ana.ud1679e1080	This question, from Steinar Bastesen to the Minister for Economic Affairs and Trade, will be answered by the Minister for Local and Regional Affairs as the appropriate representative.
ParlaMint-NO_2002-10-23.ana.ud1679e1083	I have the following questions for the Minister of Economic Affairs and Trade that I understand will be answered by the Minister of State: ‘Foreign vessels may sail from port to port in Norway with cargo, as opposed to NIS registered. These vessels do not pay many of the taxes and charges that NIS ships have to pay. This leads to unfair competition. It is also not checked whether the employees of these foreign ships have a work permit in Norway. Why is this not checked to a greater extent, and what will the Council of State do to correct this?’
ParlaMint-NO_2002-10-23.ana.ud1679e1092	I am aware that police districts seem to vary in scope to carry out checks on residence and work permits on foreign ships going to Norwegian ports. I have also understood that this is mainly due to uncertainty as to how the rules currently in existence are to be understood and interpreted and how they can be implemented. The Ministry is therefore currently working on clarifying and reviewing the rules for a more manageable regulatory framework that can also be implemented. I would like to stress that this work is difficult, because Section 6 of the Foreign Affairs Act requires a work permit for work carried out by non-residents in the Reich, but at the same time this is to be adapted to the international agreements we have. There it is also clear that the international agreements and obligations we have mean that we are to be held back from requiring work permits for crews of foreign ships operating in several Norwegian ports and serving ports outside Norway at the same time. This is in line with the Norwegian principle and the position of the flag State principle and the international practice set out by Norway. It has been difficult for the police to enforce the law as it is today, because it has required clearer rules. The Ministry is now working on rules, and assesses the issues of exempting – because there is an exception clause in the Foreign Affairs Act – this area from the work permit requirement, or of making more practical rules in the area that the police can actually follow. In fact, today's practice of not controlling this has evolved and existed almost all the years since we received today's Foreign Affairs Act, but there have been strong forces that have wanted us to make changes in this area, and they have shown this different treatment. I would like to stress that different treatment may not primarily apply to NIS-registered ships, but NOR-registered ships, which are currently those operating along the coast, and who experience that foreign-owned ships may have lower costs due to crewing from home or other countries.
ParlaMint-NO_2002-10-23.ana.ud1679e1099	I thank the Council of State for the answer. Section 6 of the Foreign Affairs Act reads as follows: ‘Foreigners who intend to work for or without remuneration or who will engage in acquisitions in the rich must have a work permit.’ Furthermore, there is a deepening of the Directorate for Foreign Affairs: ‘Foreign crews on board ships operating in Norway when engaged in Norwegian domestic voyages must, as a general rule, have a work permit. Except for persons covered by the EEA Agreement. For the purposes of this Regulation, domestic voyage means a ship between Norwegian ports which then embarks goods/passengers in a port and delivers the goods/seats of passengers in another Norwegian port. No distinction is made here between Norwegian and foreign registered ships.’ If the Ministry of Local Affairs needs help, there's help getting at the Shipowners' Association, and I'd like to help get that help. Here the law that was adopted by noblesting and laying applies, and it must apply as much to the Ministry of Local Affairs and the Ship Inspection as it applies to us representatives who are in this room.
ParlaMint-NO_2002-10-23.ana.ud1679e1116	So it is not quite clear that Section 6 of the Foreign Affairs Act can only be interpreted from the wording there; it must also be interpreted in the light of the international obligations we have. This means that in the case of those ships that not only go between Norwegian ports but also serve ports outside Norway, work permits are not necessarily required after today’s legislation. That's why it's been hard to draw these boundaries. But we expect to be able to conclude on how to draw them in a relatively short time. We have now worked through issues related to this, and are just before being able to make a decision and clarify the situation. But I want to remind you that this situation has been unclear since the law came. And what is today's practice on the political front is the practice that has been in all these years. Now we're going to make sure that we get a consistent practice and a state of law.
ParlaMint-NO_2002-10-23.ana.ud1679e1121	I thank you again for the answer. I am not surprised that the NOR vessel, and also most of the shipping companies, are lying with their broken backs, when they have to pay two thirds more at the cost of having crews on board the ships. In addition, foreign vessels are bunkered without VAT and without the charges imposed in Norway. «Section 49 of the Foreign Affairs Act details the geographical scope of the law. Therefore, ships engaged in domestic voyages are covered by the law, and foreigners working on board ships must be authorised to work. And here it doesn't matter which nation the ship is registered in." I quote Bodø County Councillor and Police Department. They go on to say, ‘It should then be reasonable to state that non-residents on board Norwegian or foreign ships engaged on domestic voyages shall be authorised to remain and work on board.’ If I have a rocket that goes out to date, or I have a doctor who goes out to date, then you can be absolutely convinced that the Skip Control is on me right away and get it fixed. However, in the case of a work permit for foreign workers on board non-resident ships in Norwegian waters, this should not be the case! How's it going?
ParlaMint-NO_2002-10-23.ana.ud1679e1140	I would like to stress that I agree that the situation in which we have not practised the law has not been good. That is why we must ensure that practice and law are consistent. But it's not that simple, because many of the foreign ships that go between Norwegian ports also serve ports in other countries and take intermediate cabotage on these routes. What is essential for Norway is that Norway also has other shipping interests, where Norwegian vessels in the NIS register that do not go to Norwegian ports depend on other countries also exercising the possibility that ships coming from abroad can operate their coast with intermediate loads. If we were to remove that possibility, we would be able to limit the absolute majority of Norwegian shipping, namely the NIS fleet's ability to have profitability on part of the transport routes in other parts of the world. That is why we also need to look at the whole of how we are going to practice and implement the NIS legislation. But I promise the representative that this will be clarified quite soon, and then we will have a law that can be practised.
ParlaMint-NO_2002-10-23.ana.ud1679e1148	«The passengers with the ferries to and from Lofoten have experienced waiting times for the summer to come by car to and from Lofoten for one day. Especially long waiting times have been in the ferry connection between Bodø and Lofoten. The lofoot is one of Norway’s most attractive travel and holiday destinations, national and international. The waiting times in the summer queue have been totally unacceptable. What will the Council of State do to improve the ferry capacity to and from Lofoten before the next trip life season in 2003?’
ParlaMint-NO_2002-10-23.ana.ud1679e1155	State expenditure on national road ferries has increased significantly in recent years. For 2003, the State budget proposed a budget of well over 1090 million. The level of funding for 2002 is approximately the same, and this is expected to lead mainly to the continuation of the offer in 2003 as for 2002. With regard to the ferry capacity in Lofoten, it is such that the ferry traffic is significantly higher in the three summer months than in the rest of the year. The reason for this is the large tourist flow to the area during the summer period. If you look at the traffic for the rest of the year, the ferry capacity of the Statens vägvesen meets the service targets in relation to the number of remaining cars. The state road transport services are working to improve the efficiency of national road transport operations, including: by increasing the use of tenders, for which the Stortinget opened in spring following a proposal from the Government of the new Act on Professional Transport. I am concerned that any gains from this work can be used to improve the offer. Against this background, I would like to work towards an improvement in the capacity of ferry services in Lofoten in the summer of 2003. This could be done by smoking a ferry from the Rogaland area released when a new catamaran is put into operation in the Stavanger-Tau link in May 2003 into the Lofoten ferry services.
ParlaMint-NO_2002-10-23.ana.ud1679e1166	This summer, we experienced a traffic increase of 15 pst, respectively, on the Bodø–Røst and Værøy connections – Mosques. and 19.8 pst. in the months of June and July. So it's not just that the capacity is bad as it is today, but the capacity is getting worse because of a significant increase in traffic. The remaining cars were 8.2 pst in July. Svolvær-Skutvik, which is the second main connection, had a remaining average of 24.7 pst. and a traffic increase of more than 30 pst. I would like to thank the Council of State for a positive response, where she addresses the problem and seeks to remedy it. This situation is now, it is a major obstacle to local business, which has a lot of its cash in and out during the summer. In addition, Norway’s reputation as a destination is in fact affected when tourists travel from southern Europe and are waiting one day to arrive at the final destination. I doubt that the Council of State or Norwegian transport authorities would otherwise have accepted such a waiting time for other parts of the Norwegian traffic link.
ParlaMint-NO_2002-10-23.ana.ud1679e1173	It is quite right, as the representative Voie points out, that there are many cars left in these summer months. Of course, it is a difficult dilemma that there is so much difference in capacity needs between winter and summer. I have to say I think it is very happy that we have this traffic, and that the Lofoten is a very popular destination for many in the summer. That is why I am concerned that we should find the best possible solution to this, and the Swedish Road Administration has a work going on to facilitate a solution here.
ParlaMint-NO_2002-10-23.ana.ud1679e1180	I also think it is very positive that the Council of State is following up the recommendation of the Stortingen to establish a national road link to bid. Will there also be work to ensure that the ferry service in the West Fjord Basin can be offered, both in terms of frequency, call points and the most rational way to serve local, business and international travel?
ParlaMint-NO_2002-10-23.ana.ud1679e1185	The purpose of putting these holiday offers on offer is just to get a win, and that we think it is useful for people regardless of whether it is in the West fjord or in other parts of the country. It is not an end in itself to have a tender for the purpose of the tender, but it is precisely in order to obtain a profit by offering a better offer to those who depend on this mode of transport.
ParlaMint-NO_2002-10-23.ana.ud1679e1194	‘Statoil has decided to transfer the transport of propane gas to North Norway from rail to road. [[Moose Sea]] According to Statoil, NSB Vergos did not provide a satisfactory transport offer. Road gas transport poses a safety risk, in addition, is contrary to the environmental policy objectives of transferring more freight from road to rail. Will the Council of State take the initiative in finding a solution so that this gas transport can continue to be transported by rail?’
ParlaMint-NO_2002-10-23.ana.ud1679e1201	I got a similar question in January this year from the representative Inge Ryan. As I pointed out at the time, it is my job to ensure framework conditions in the various transport sectors that lead to a transport distribution that benefits society as a whole. I will therefore continue to work to see if the framework conditions of the sectors are right today, including infrastructure capacity and charging. However, I cannot directly intervene in the freight market by imposing obligations on companies to choose transport solutions. CargoNet, which is owned by the NSB and Swedish Green Cargo, and which is the main player in goods on the Norwegian railway network, has stated that the transports to which the representative Hansen refers came earlier from Statoil’s gas plant in Sweden. Statoil, however, has changed its internal logistics, which means that they will take the gas from other plants, and after I have been informed, have a buffer in Hommelvik and Stjørdal 2 to 3 miles northeast of Trondheim. CargoNet's nearest freight terminal is Trondheim, so if the gas is to travel by train, it must be transported by road to Trondheim before it leaves by train northwards. I am aware that CargoNet has long been in dialogue with Statoil about a combined solution where semi-trailers/containers are lifted on the train in Trondheim for transport to the lake. I note that this solution has not been found satisfactory by Statoil. Hommelvik/Stjørdal-Mosjøen via Trondheim will not be long enough for the train to compete with the car, which can drive this distance directly without having to take the roundabout about Trondheim. As regards the safety risk of this transport going on the road, I would like to point out that it is continuously working to improve the road standard on the route between Trondheim and Fauske. The main projects being carried out on the current Trondheim-Mo route in Rana are the conversion of the road past Steinkjer and the tunnel through Korgfjellet. In addition, a number of smaller measures will be implemented in Northern Ireland with a view to wide-ranging extension and improvement of the curve to improve the accessibility of heavy traffic and thus reduce the risk of accidents.
ParlaMint-NO_2002-10-23.ana.ud1679e1212	I cannot say that I was satisfied with the answer, because there is nothing in the answer that the Council of State will follow up and try to help to keep this transport going by rail. The Council of State indicated that she had answered a similar question in January this year and that she considers it her primary task to contribute to the compliance of the framework conditions for the carriage of goods with the objective of the national transport plan. A revised national budget has been examined and a new national budget has been presented since January. Then it is tempting to ask the Council of State: Where in the State budget this year do we again find measures to help more goods move from road to rail?
ParlaMint-NO_2002-10-23.ana.ud1679e1221	I feel that we are concerned with a big and interesting and comprehensive question, which goes beyond the specific question I have received. I would like to comment on it anyway. It's important that we keep the infrastructure up to date, not least on the railway side, and when we're going to give a tight budget priority, we've prioritised this within the railway for next year. Furthermore, I would like to make a comment in relation to what is the question today. I still believe that it would not be right for me, as the Council of State, to make decisions for different businesses on which logistics solutions they are going to go for. Especially if it means both detours and extra costs, it's not certain that society has earned it. It is important that we provide good solutions for both businesses and the environment, but we cannot impose charges that bring costs and perhaps environmental impacts on both companies and communities that we do not want.
ParlaMint-NO_2002-10-23.ana.ud1679e1228	We're dealing here with one case – and that's not the first one, it's been other cases as well – where the transport of gas, propane gas, that is dangerous load, is transferred from rail to road. Finally, I would like to ask the following question: When one sees that development may go the way that the transport of dangerous goods is transferred to the road, in this case in an area of poor roads and changing climatic conditions, what will the Council of State do specifically to reverse this development?
ParlaMint-NO_2002-10-23.ana.ud1679e1233	I am concerned that we should find the best solutions for the transport of dangerous goods, and I believe that the representative of Geir-Ketil Hansen is also concerned about this. On the other hand, I want to be careful about imposing business solutions that might mean a greater risk factor because you have to both transport a part by road and you have to try to find a railway solution, and that results in an even longer transport of dangerous substances. I am going to appear in my further work to be concerned both with facilitating environmentally friendly transport and safety, not least safety in the transport of dangerous goods. In this context, the improvement of road standards is also very important, because we cannot escape the fact that some dangerous goods will be transported by road in any case. So we have to think about both the railway and the road.
ParlaMint-NO_2002-10-23.ana.ud1679e1243	I would like to ask the Minister for Transport the following questions: ‘The Minister of Transport is setting up a working group to look at current traffic training in the school. Does the Council of State think that regular driver training should be more included in school, and will the Council of State take the initiative to also consider different measures to integrate such training into primary and secondary school?’
ParlaMint-NO_2002-10-23.ana.ud1679e1252	Children and young people are a vulnerable group in traffic, and I think it is very important to give these groups better conditions to move safely in traffic. The establishment of the Working Party on Traffic Training at School is a follow-up to the National Transport Plan — NTP. The Group shall take a closer look at the need for improvements in traffic training in schools as part of work to improve road safety. The working group shall initially not look at driver training, including, for example: the moped driver training offered in individual schools. With this new working group, I would like to focus on the training that takes place before the age of driving licences, which will increase understanding of traffic and improve attitudes towards the traffic of children and young people. I therefore do not think it right to change the mandate of this working group to remove the focus from this important issue. However, the more specific training for motor vehicle drivers mentioned by the representative Rye is obviously important for road safety on Norwegian roads. A high proportion of accidents in Norway are caused by driver-related factors, including high speed. According to the National Transport Plan, the Road Directorate is now working on the conversion of current driver training. As the first part of this, I intend to introduce a basic, common-substance driving course for all those who are going to take driving licences for light vehicle categories, i.e. moped, motorcycle and passenger car. This basic traffic course will provide initial knowledge of the traffic system, interaction between road users and understanding of risks. The focus is on attitudes in traffic and is intended to give participants greater reflection and awareness of safe behaviour in traffic. In connection with the introduction of such a course, I see it as natural, in cooperation with the Ministry of Education and Research, to work to ensure that such a course can be offered as an elective course in the school. I can assure you that the Department and the State Road Administration are actively working to improve driver training on the basis of the leadership of the National Transport Plan. In the further work on the conversion, I would also like to assess in more detail the relationship that the representative Ryen is dealing with, and I am definitely taking the recording with me.
ParlaMint-NO_2002-10-23.ana.ud1679e1263	There are many ways to do road safety prevention work, including through school, and to some extent it is already happening today. There is already a national choice subject called driving and driving training, which takes into account the theoretical knowledge part of driving training. When we know that the theory course is no longer mandatory, and that this leads to many young people choosing not to take it, as it means a cost of perhaps NOK 1000 to NOK 2 000 extra, I look at this to offer such a course through school as a cost-effective way of running traffic training. How, then, will the Council of State proceed to coordinate this traffic basic course that she is talking about, in relation to the offer that already exists? And how can we ensure that other elements of traffic training that are already offered to older students in school today are also taken care of?
ParlaMint-NO_2002-10-23.ana.ud1679e1268	I feel a bit of a need to distinguish between what's going on in driver training, which the representative Stenberg Ryen is concerned about – which I think is very important, and on which we have a lot of work going on, both in the department and in the Road Directorate – and what's going on in child and youth training, from kindergarten to high school, in traffic and traffic behaviour. In the case of driver training, it requires slightly different knowledge from that of other types of road users, such as cyclists or pedestrians. In terms of theoretical knowledge courses, I fully agree with the representative of Stenberg Ryen that there is a need to have a proper theoretical platform, whether you are training on mopeds, motorcycles or cars. This is being worked on in the State Road Service, so we need to make sure that we have a system that takes care of theoretical knowledge.
ParlaMint-NO_2002-10-23.ana.ud1679e1277	I thank you for the answers so far. I think both the Council of State and I realize that there is a need to look at traffic training in school as a whole. There are also other aspects than the provision of theoretical knowledge courses as an elective subject. This could be done, for example, by: are also concerned with rules of absence, with regard to the type of absence to be carried on the diploma, with regard to the possibility of absence during driving hours in a pot which is not to be placed on the certificate, and such matters. I had hoped that the Council of State could beat two flies in a taste when she first set up a working group to look at traffic training in the school, so that all these conditions could be looked at and cared for. I wonder, what's her plan to include the higher levels of primary and secondary education?
ParlaMint-NO_2002-10-23.ana.ud1679e1282	I think I've got a lot of constructive contributions here in terms of traffic training, and I'm going to take them with me. When we reduce this working group, it's for it to look at the traffic training that goes on not to be the driver. What I'm very concerned about is that we're going to develop further, for example. that children should learn to behave like cyclists in traffic. Today, there is no uniform way to do this. Schools do it differently, and parents do not know what kind of training the children have received, and what responsibility they have, for example. It has. A lot of these aspects are why we're going through and we're going to get a cover, so we can figure out how to move on. In the case of driver training, there is a greater work going on in relation to how we can take care of both the theory side, which the representative Stenberg Rye is concerned about, and which is very important, and what goes on practical experience. I'm going to take with me the recordings I've received here, and I'm going to look at them also in relation to the work going on to facilitate driver training.
ParlaMint-NO_2002-10-23.ana.ud1679e1297	I have a question for our Honourable Minister for Local and Regional Affairs: ‘The Directorate for Foreign Affairs has now decided to place an asylum reception for persons aged 0 to 15 years at Vårli, Moss. [[UDI]] The municipality is without influence, in addition to the fact that neighbours and others involved feel overwhelmed. Local people have protested against the establishment, and signing lists have been sent to UDI and the municipality. Does the Council of State consider that local self-government is adequately protected when the UDI concludes agreements with a private lessor/seller without any influence on the decision by the municipality or the residents concerned?’»
ParlaMint-NO_2002-10-23.ana.ud1679e1306	The question of whether municipal autonomy has been weakened in connection with the establishment of state reception has been raised on several occasions, including: for the examination of a Document No: Eight motions for resolutions tabled by Mr Simonsen on 18 April this year. The representative Simonsen then proposed that the State should not be able to establish asylum reception facilities in a municipality if the municipality does not want it. All parties, except the Advance Party, opposed this and concluded that there is a national responsibility where the municipalities cannot have a veto right. Norway is obliged under international agreements and conventions to deal with asylum applications and to provide protection to those in need of protection. The UDI is responsible for ensuring that reception points are adequate at all times and that the reception points are known to be located in one municipality or another. For the Foreign Affairs Directorate, it is important to establish good cooperation and dialogue with the host municipalities and neighbours. However, in some situations, when inflows indicate that new receptions need to be established at a high pace, the Foreign Affairs Directorate must nevertheless have the opportunity to do so. To date, around 600 lone minor asylum seekers have arrived in Norway this year. In comparison, every last year there have been about 550 single minors. The age group is 0-15 years approximately. 10 pst. by the lone minor applicants. There is now also a differentiation of the offer of lone minor asylum seekers. The reception outside Moss, to which the representative refers, is part of this differentiation. The reception shall have 25 seats and shall accommodate lone minors from 0 to 15 years of age. The establishment is in line with St. ermeld. No 17 for 2000-2001 the asylum and refugee policy in Norway and the views of the majority of the Committee in Finland. S. No 197 for the same year. It was concluded that the offer to the youngest single minors should be strengthened by the establishment of separate sections with enhanced staffing for this group. We also have a department for this age group in the municipality of Flora in Sogn and Fjordane. Since many of the children have family in the eastern region, it was desirable to have a department here as well. This will be the country's smallest asylum recipient. It will be 24-hour continuous staffing with qualified staff. The move shall take place gradually, which will give the municipality better time for its preparation. The children shall have the most normal life possible, with school, homework, play and leisure activities. Reception facilities will often be controversial, especially if the reception facilities are large. But the fear of this reception, which is the smallest of the country, with room for up to 25 of the very smallest of the lone minors, I have little understanding of.
ParlaMint-NO_2002-10-23.ana.ud1679e1319	I thank the Council of State for the answer. We are now beginning to see some long-term consequences and effects of an overly liberal asylum, immigration and refugee policy, and I am fully aware of the regulatory framework behind it. But when there are protests coming from all over the country, and we know that at this reception that the Council of State describes as very small, it is likely that children and young people with severe trauma will come, and we know from experience that crime is increasing, the number of winning crimes is increasing and there will be riots and unrest in the neighbourhoods, shouldn't you at least consider putting asylum recipients a little away from cities, dents and centers in order to try to counteract any of these negative consequences and effects? And another thing: Should you not take the people on board – I know you have to place this somewhere – so that this can take place a little more flexibly and flexibly in the neighbourhoods?
ParlaMint-NO_2002-10-23.ana.ud1679e1328	It is clear that the objective should have been that we should have been able to do this in a way that was better than creating acceptance, and have time around the establishment of individual receptions and creating good relationships between neighbours and municipalities. It's not always possible to do that. Among other things, this year there has been a need to establish a relatively large number of asylum recipients, especially from the autumn of last year to the spring of this year. When it comes to the reception of lone minor asylum seekers, it is very important, in my opinion, that they receive their own reception, and when we have a lack of their own reception facilities, not least for the most vulnerable group – that is, children between 0 and 15 years of age – I do not think that the lesson of consequences that now the representative Hedstrøm says is the result of asylum reception elsewhere is correct in relation to this particular group, and that there is necessarily evidence of what is being said. It's about 25 children under the age of 15 who are going to have a close follow-up in the day-care centre, which is stronger than any of what we have at other asylum receptions, and we can't say that they should be placed far inside the shed. We're going to make sure these children have normal rights that are being fulfilled in our society as well.
ParlaMint-NO_2002-10-23.ana.ud1679e1335	I want to tell the Council of State that there's an intermediary between putting them in the blackest shade and in a dense urban area, so we don't have to overdramatize this. Another thing is that Moss municipalities' representatives themselves have stated that there will be significant challenges, especially with regard to education for these children. I read a letter from the Municipal Councils' Central Association that shows that where there are children and young people who are very resource-intensive, the state does not cover the total expenditure. They overrun the municipality with regard to the location of reception, but they do not follow up with sufficient means. Will the Council of State ensure that this reception is covered by all the expenditure of the State?
